Hybridization REF	TCGA-A2-A0ES-01A-11R-A115-07
NCOR2	0.1865
TNFRSF9	-0.319
MFSD8	0.519
ALX1	-4.05466666666667
NOL1	-1.76175
PODN	2.8005
TIAL1	-0.8585
HIST1H1E	-2.3085
NPY6R	0.09125
TM4SF4	0.80075
CORO2A	-0.194
ETNK2	0.268
APOE	0.1766
ANGPT4	-0.278
HDGF2	-0.57625
G30	1.3965
ST8SIA4	-0.61925
F2RL1	0.99225
FAM19A4	-3.3795
CCAR1	-0.37725
B3GNT7	0.14075
OPHN1	0.2629
DSCR6	-1.137
C21orf13	1.0595
GAS2L1	0.406333333333333
RFX3	0.220666666666667
COPS4	0.400875
BCHE	-3.172
BCL2	3.130125
HBZ	-3.3695
ARL13B	0.501125
MAPBPIP	0.41
MYO15B	-0.083125
SPZ1	-0.7645
KIAA1324	3.55011111111111
PLCL2	0.197
C4orf29	-0.75525
WDFY2	-0.134125
ZNF284	-0.5145
NAALADL1	1.4415
DUSP5	1.09716666666667
PXDN	0.18975
SLMO1	-1.4555
TNXB	0.8966
BIRC7	-1.52675
A4GALT	1.13533333333333
TIMM22	-0.02525
FAM110C	0.8715
TOMM34	-1.1785
ABHD9	0.315
ADAM32	2.209
CRHBP	-0.012
AQP2	0.30525
LOC130355	0.955
ZNF187	0.573833333333333
ZNF816A	0.2745
F7	-0.206375
CNOT1	-0.7279
SLC13A4	-1.29125
ZBTB11	-0.463
B3GALT5	-0.1225
EXOC2	0.917833333333333
IRS1	2.0121
TMEM1	-0.0279999999999999
MRPL34	-0.311333333333333
SAMM50	-0.5375
CDC42EP3	1.149
HSF2	-0.4848
MFN2	0.23975
TSPAN7	0.546
NUCB1	0.255
RHOH	0.034
ARL16	-0.744
TACR1	0.2655
SFRS5	0.627833333333333
SNX25	-0.13375
RHBDF1	0.0733333333333333
PCDH18	3.13633333333333
HMG1L1	-0.0895
MYO5C	1.963125
MAPK10	1.4355
LDHAL6A	-0.4235
NUDT12	1.428
NCAM1	-0.353625
GLIS2	-0.133
GGTL4	-0.409
DAPP1	-0.13525
ATF7	0.963375
KIAA0748	-0.3945
NFIL3	1.03775
TM6SF1	1.2053
SEZ6	0.068625
NANOS3	0.1345
DNAJA3	-1.01666666666667
CLDN6	-2.6775
CIITA	2.62822222222222
EPHA4	0.157333333333333
FANCC	-0.6385
CMTM3	0.63775
PSG3	0.0707142857142857
MRPL15	-0.9275
C21orf59	-0.088
PLCXD2	-1.3725
C2orf34	-0.38975
UBE2L6	1.14525
MED14	-0.269
HP1BP3	-0.2251
C6orf208	-0.176
TPBG	1.111
OSR2	0.371125
XPC	0.291666666666667
KLHL7	-0.664666666666667
CCR3	-0.286166666666667
AGTPBP1	-0.400833333333333
PCSK6	-0.512533333333333
STAT5A	-0.8192
FAM18B	1.00025
LONRF2	1.03083333333333
PTPN2	-0.323125
SF3A3	-0.987
EFCBP2	-0.44375
HCFC1	-0.762166666666667
AHNAK	1.2434
ACTR5	-0.50025
KIF14	-3.56714285714286
TENC1	1.74425
HEATR5B	1.063
YIPF2	0.334
MYEOV2	1.227
DUSP18	0.97325
KIAA1012	0.17725
AHR	0.4975
C17orf53	-2.27466666666667
PTPRH	-2.243
ATP6V1C1	0.3167
TAS2R3	-0.808
LOC440356	-2.921
COQ10B	0.67375
PSMF1	0.427583333333333
SORBS2	3.3355
NFE2L2	0.821
TMCO7	-0.45725
SH3PXD2A	-0.1475
SH2D2A	-1.484
SPINK5	-2.10275
MRPS24	-1.204
OPA3	-0.194
TRAF7	-0.197833333333333
C4orf35	-0.178833333333333
MT1G	0.860875
MGC39545	0.76375
HS1BP3	-0.0614
OR2B2	-0.188
CHRM4	0.6065
SFRP2	3.3865
RIC3	2.5015
ART1	-0.0385
C6orf1	-0.006125
DUS4L	-0.75475
C10orf104	0.889
TNFAIP6	2.551
RTEL1	-2.0215
CCT4	-0.6663
ZNF709	0.5315
CHMP6	-0.104666666666667
UPP2	1.39125
CYP19A1	-2.08125
CD151	-0.0875
NDUFA13	-0.428666666666667
ARFRP1	-1.21033333333333
FAM26B	1.758
CRYBA1	-2.368
MRPL41	-0.553333333333333
NPFFR2	-1.709875
HRH2	0.231
SCAMP3	-0.687166666666667
MTMR6	0.8286
MTG1	-1.42833333333333
UBTD1	0.42925
CRABP1	-2.0835
FLJ33790	0.1622
KIAA1908	0.205166666666667
GPR158	-0.9985
PACSIN3	-0.14
OMD	4.22666666666667
CATSPER1	-1.17033333333333
HOXB8	-2.365375
FBXO46	0.4945
OAS1	1.69683333333333
SVIL	1.086
PHB2	-0.90825
ADCY3	-0.2805
NDRG2	2.32383333333333
ERMAP	1.0485
APBA2	-1.86016666666667
IGSF9	1.24375
WNT6	0.241928571428571
MYCBPAP	1.463
ATP2B2	-0.564
CPVL	-0.036
TRAM2	-0.680833333333333
NOP5/NOP58	-0.71375
ZNRF4	-0.44775
TLK1	0.294
MTMR12	0.401285714285714
ZNF384	-0.232166666666667
FAM9B	-3.781
RPN1	0.2344
PMVK	0.782
EIF3D	0.2079
SIX2	-0.8105
HPS1	0.413285714285714
RNF7	0.63375
PSKH2	0.5645
KCTD13	-0.772333333333333
CSMD3	-0.575888888888889
FBF1	-0.028
IL8	-0.800375
SERPINB13	0.965
FBXL20	0.00625
BLR1	0.8545
SH2B1	-0.1335
RFNG	-0.27075
RAB20	1.03283333333333
RBM7	0.16475
POLR1A	-0.775333333333333
TMPRSS4	-3.1535
TAF9	-0.511875
TERF2	0.195666666666667
TNFRSF1A	0.761333333333333
ACADVL	-0.0556666666666667
GTF2H5	0.27625
EDG8	0.00833333333333333
C9orf140	-2.22425
UST6	0.2465
ZBTB8OS	-0.8105
ZNF710	0.042
GPR174	-2.6005
ATP6V0A2	-0.87475
KIAA0319L	-0.0955
XKRX	-0.123
DOPEY2	0.7601
SDHD	-0.204833333333333
SUMF1	1.3955
OSM	3.24425
OPN3	-1.01275
DAGLB	-0.320666666666667
PPFIBP1	0.1929
TRIM63	-1.55425
C10orf53	null
LYPD3	0.687666666666667
BCL7A	-0.058875
AGER	-1.5295
TCF19	-1.641
SAT2	0.414
PFTK1	0.3005
GABRE	-2.395
C15orf38	0.882
FIS1	-0.235
KCNV2	-0.24275
CLPS	0.01725
PPCDC	-0.881125
FOXN2	-0.105833333333333
NT5E	-1.8691
CD83	0.5205
IL18	1.388
VPS16	-0.3335
IGFBP2	-0.083
NOTCH2	1.21525
SIGLEC1	3.59542857142857
CD93	6.0335
SULF2	0.0385
CEP164	-0.457875
P53AIP1	2.7355
TOR2A	-0.454166666666667
ZNF136	0.692
MGP	4.248
CCDC144A	-0.8398
TRPC1	0.0358333333333333
SMS	-0.4305
MAPK7	-0.286666666666667
RRAGC	0.573
PARD6A	-0.193166666666667
NUB1	0.5185
SYNGR4	-0.6335
OR11H12	0.04
WIF1	4.931875
GCH1	0.39575
OR11H4	0.355
SLC44A5	0.446
GPRIN2	1.33116666666667
LOC401431	-0.3585
CPA4	-2.4343
MELK	-3.16233333333333
IL15RA	0.97875
CUL3	1.281625
HMBOX1	1.14325
PODXL	-1.19775
CCT6B	1.43133333333333
COMTD1	-1.40925
MUC20	1.22333333333333
GPX2	-2.113625
ITK	0.128625
FBXL5	1.7275
C13orf27	-1.509
DEFA5	-0.7865
TRHDE	1.727
MTP18	-1.10116666666667
UQCRQ	-0.5638
ITGB2	1.65966666666667
CSRP2BP	0.06125
TAS2R44	-0.034
PHPT1	-0.43625
FAM44C	-0.29
ERH	-0.69025
MPHOSPH1	-1.5595
MORC1	-1.124
PARVB	-0.873
LAMA1	-1.54808333333333
PGBD3	0.347
GIMAP6	4.351
AREG	3.648
LIPT1	0.522
MGC99813	-1.01
C1orf201	-0.0018333333333333
GRIN2A	-1.10044444444444
MAN2C1	-1.1185
NSUN5	-1.2765
SF3B5	0.181
MYC	-0.5481875
NRXN1	1.42083333333333
ZNF18	0.061
SPDYA	-1.24016666666667
SLC37A1	0.912
DECR2	-0.54925
ANKRD38	1.14557142857143
SPTLC3	-0.707416666666667
SUPT16H	-0.78175
DTWD2	0.27975
ULBP1	0.018
ZADH1	0.3865
OIP5	-3.864
IL10RB	0.0978333333333333
OTUB2	-0.58675
VWA3A	-0.0725
SPIC	-0.44125
OR6C4	0.113
PSCD4	0.622166666666667
DPY19L2P2	-0.0255
TRAPPC6A	0.486
C21orf2	-0.123333333333333
CEMP1	-0.4375
LIN7B	-0.2175
E2F7	-3.09883333333333
VCP	-0.3749375
LAMA3	3.11975
BGN	1.11325
GPR160	1.58916666666667
COCH	-5.17366666666667
GPR81	2.58633333333333
APOBEC3F	-0.37575
tcag7.1017	-1.02225
C1orf32	-0.028
SCGB1D2	5.71625
FLJ43987	-0.5685
C6orf170	0.4585
KLK9	-0.075
GPD1L	1.0975
VPS37B	0.43975
ATG3	-0.104333333333333
ADAMTS17	1.977
KLHDC2	0.5115
NDUFV2	-0.45025
BLK	-2.51325
MATN4	-1.946
GPM6A	2.05557142857143
GBP4	3.678
TMEM162	0.580333333333333
PKP2	1.102
HRASLS	0.0615555555555556
MMP1	-5.7785
SFXN3	-0.3893
FSD1	-2.395
ST6GALNAC3	-1.33516666666667
CA12	3.0821
NCOA6	0.1325
C19orf58	-0.3052
PPP4R1	0.0738333333333333
MAN1A2	0.0586666666666667
IKBKAP	-0.418
UPF1	-0.226833333333333
KIAA1219	0.62425
WNT16	1.65633333333333
SNW1	0.116
IL18RAP	3.997
RPP30	-0.289875
CDC40	0.113285714285714
SETD3	0.364666666666667
SLAMF6	1.03825
ELK4	-0.6345
TRIM47	0.122666666666667
ACOX3	1.164875
TRIM6	1.132875
KIAA0372	-0.308
TP53AP1	1.1345
SMURF2	-0.6385
ADAD1	-0.73375
EBP	-1.6832
KRTAP13-2	-0.4475
FLJ36874	-0.9375
TOR1A	-0.00583333333333333
P2RY4	0.3315
GPBP1	0.257
TRPV1	-0.37975
ADAMTS12	0.644
PES1	-0.5523
ATG4A	0.5735
MAGEA10	-5.1325
WFS1	1.27425
CC2D1B	-0.323
PABPN1	-0.83475
SLC25A30	1.23925
SLCO1C1	0.991166666666667
SLC22A5	1.13525
KIF23	-2.64166666666667
SYN2	1.1345
ASPN	8.502
CENTG2	0.16825
QSOX2	-1.8073
FLJ10815	-0.4875
STK24	0.3464375
SPEG	0.4983
STK10	-0.312
DACT2	1.307
AAAS	-0.63075
SSX3	-1.19342857142857
ABCD3	0.9313
C4orf12	0.99625
PARVG	0.803333333333333
FIG4	0.9085
C9orf46	1.45325
TMCO6	-0.926
IGHMBP2	-0.70625
DUS2L	-1.15366666666667
FAM3C	0.7120625
TMEM16D	-1.11575
DCTN4	0.6605
KCNH3	-0.28725
EIF2AK2	0.81275
AP1S3	0.5175
CST4	1.082
PAM	1.0766875
NUTF2	-0.826
CITED2	0.975
SLC39A4	-1.38175
C2orf52	-1.7315
GRM3	-0.8465
C12orf49	0.268875
CCDC49	-0.2136
GRAMD1B	-1.70357142857143
FNDC4	1.67325
SIAH2	0.73125
GDPD4	-0.92975
C21orf87	0.43275
ATP5A1	-0.178833333333333
C16orf63	-0.4325
LOC388135	-0.378166666666667
ATP5J2	-0.904125
MMP3	1.0235
EMID2	-0.6935
CRHR1	0.279
WDR70	-0.0885
C13orf31	1.13825
ZFAND1	0.29125
CCL18	5.1315
C3orf49	null
RINT1	-1.9805
KIAA0408	-0.652333333333333
F13A1	5.624
SLC10A1	-0.222333333333333
OGN	4.7725
GIPC2	0.379666666666667
XPO6	-1.01266666666667
LCE1A	0.4275
FMR1	-0.4018
LOC374920	0.24075
DUSP3	0.021
ANKMY1	-0.2195
C7orf50	-0.37775
BBS9	0.0278
UNC119B	-0.1775
C9orf72	1
MGC35440	-0.555
ENTPD6	-0.36375
PPP1R2P9	-0.0320000000000001
ERCC4	-0.24775
FAHD2B	0.1365
HMHA1	-0.1085
HACL1	-0.4195
RAD23A	-1.22933333333333
FAM83B	-1.47525
PPP5C	-0.731166666666667
RNASEH2C	-0.822875
C9orf153	-0.792
SCAMP4	0.63825
GHITM	0.2152
NDUFB7	-0.1745
ADCYAP1	1.82566666666667
SP110	2.04583333333333
MAP3K7IP2	0.93925
DHH	-0.115
AGRN	0.485357142857143
WDR33	0.0643333333333333
CEP290	-0.803333333333333
PRPS1L1	-2.20183333333333
KLRA1	-0.427
GPR97	-0.2235
CHD7	-0.625333333333333
TLR10	0.5775
SLC30A8	-4.292
HIC1	1.27433333333333
IAPP	-1.0285
RXFP4	-0.0805
GP1BB	-0.19325
SHQ1	0.078
NKX2-3	0.145666666666667
API5	-0.1595
FTHP1	0.353
MOV10L1	-0.00740000000000003
TRIM6-TRIM34	2.35283333333333
ADHFE1	1.818
FAM117A	0.1855
DDI1	0.660333333333333
CDON	0.364833333333333
TRIM73	-0.5785
IGKC	4.255
MMP14	-0.831666666666667
DYNC1LI1	0.060375
C11orf66	0.84625
TRBV3-1	-1.52975
FASTKD5	-0.27525
BIVM	-1.63875
LHX4	0.545666666666667
CXCL2	2.4388
RAB2B	-0.672333333333333
IZUMO1	-0.92775
MAP3K15	-0.8915
FAM19A2	0.971833333333333
ZC3H8	-0.622666666666667
ZMAT1	1.823375
SPINK5L3	-3.74375
SLC10A6	1.6115
APPL2	0.7455
CARD10	0.126166666666667
LOC402176	-0.1535
EEF1D	0.4809
RAB6A	0.4339
C12orf5	-0.74125
PAPOLG	0.23275
MSRB2	0.6565
BCR	0.603888888888889
PUS3	-0.16325
TIAM2	0.74725
ZNF317	-0.243
CHD2	0.230785714285714
FZD5	-1.55872727272727
NUDT8	-2.18175
ZNF763	0.7545
PRC1	-2.91244444444444
ABCB9	-0.141666666666667
SPATA3	-0.181
TRAK2	1.204625
STAB1	2.78425
LRRTM2	1.33533333333333
psiTPTE22	0.1445
DBI	0.52525
SERPINA11	0.725
NAT5	-0.00275
C20orf58	-2.6675
RPS6KA4	-0.750666666666667
FLJ90650	0.0805
TGFBRAP1	-0.3385
CHRDL2	0.78175
FAHD2A	-0.2935
CNTN1	0.465
BBS4	-0.37
TMEM181	0.6275
MINPP1	-0.23625
MPHOSPH6	0.384083333333333
HOXC10	0.2268
ITPKB	0.051625
CLPTM1L	-0.616
MEOX2	1.92566666666667
ATP6V0C	0.196875
PRPF8	-0.632
TMC5	2.815
FKBP3	-0.3895
PLEKHB2	-0.0685
OR4D6	0.043
ZNF544	-0.1724
D2HGDH	-0.8275
RPL18A	-0.8776
HEL308	0.1365
MPP6	-2.719
TCERG1	-1.41375
KRT16	0.814
KLF17	0.22275
KLF5	0.237375
CDR1	2.18775
VCX3A	-3.385
FBLN2	2.486125
C14orf104	-0.06275
HBE1	-4.9223
OR4S2	0.8525
C1orf108	-0.426333333333333
ROBO4	3.80566666666667
CPEB4	1.562875
C11orf80	-0.764333333333333
BCKDHA	0.110333333333333
MYOC	4.67225
GIF	-1.1015
CKMT1A	0.586
RPL3	0.9019
THBS1	2.038625
APOO	-1.105
ARMCX1	2.0375
HSZFP36	1.01925
SNAPC5	-0.2585
EIF4ENIF1	0.5605
ZNF433	0.35625
TNFRSF21	-0.23225
TMPRSS7	-0.0805
SPATA18	2.4738
HPDL	-3.6705
MKL2	1.7114
TBX3	1.05969230769231
C21orf93	-0.0417999999999999
DAXX	0.01775
ELMO1	0.687125
RGS13	2.1046
TAF11	-0.301
UNC13A	-2.82085714285714
LOC653314	-0.5059
ORC3L	-0.46925
IMAA	-2.9795
TARBP2	-1.0985
CABIN1	-0.5041
TRIOBP	0.192875
HIST1H2AC	0.0906250000000001
RGS22	-1.95683333333333
NCOA1	1.53716666666667
IL25	2.3505
SNCG	2.673
GPR6	0.201
AMDHD1	-2.61166666666667
CHEK2	-1.33825
C6orf142	-0.16825
DRD4	0.03675
C14orf68	-1.54225
GDF11	-2.35825
SEMG2	0.309
CD247	-0.58675
CDAN1	-0.861
RBMX2	0.0415
TGS1	-0.41425
OIT3	0.095
SYF2	0.95575
MCM4	-3.103375
PKHD1L1	1.960375
CEP192	-0.5935
IFT88	0.84575
RPL9	0.352357142857143
RAB32	0.40575
DDX43	-2.722
P2RX2	0.127
OR5D18	1.361
UBE1	0.156833333333333
SLC24A1	1.07075
ARHGAP5	0.0925
CETP	-0.85875
KIAA1731	-1.542
SLC9A4	-0.1535
PTPN6	0.82325
BAHD1	0.4175
GRIK3	0.287
CACNB2	-0.4665
PDE10A	-0.728
DGCR14	-0.41025
PCDHB9	0.202666666666667
RHOQ	0.621333333333333
MAP3K4	0.3205
KTI12	-0.440666666666667
RPL23AP13	-0.12175
GNG11	0.42075
CLCN3	0.689333333333333
GPAM	-0.673125
VSTM2A	-0.918
SLAMF7	1.50466666666667
INTS2	-1.0295
PPP2CA	0.2889
LRP12	0.266
SEC14L2	3.24933333333333
DKFZP586H2123	4.56825
MC3R	-1.142
CIRH1A	-1.54033333333333
HIST1H2AB	-0.556833333333333
POLH	-0.402875
MGC16703	-1.89616666666667
SNAPC2	0.152
FILIP1L	2.763
RASGRP4	0.34
LRRC1	1.4525
GAS1	2.072
PRAC	-0.79575
DGKA	0.306666666666667
NT5C3	-0.8685
PEG3	-0.854833333333333
NADK	-1.17925
PRR17	-1.27075
LOC374569	-0.39975
SGSH	0.402
NLRP8	1.91
GALT	-0.385
MCF2	-2.5325
ZNF263	0.3315
TACSTD1	1.5915
TYR	-6.612
ATP6AP2	0.6555
RNUXA	-0.06675
ABHD10	0.0419
GDPD2	-1.80825
SLC35C1	-0.39575
UBE2A	0.10625
HERC5	0.692666666666667
FAM112B	-4.90266666666667
FBXL16	0.27525
DKFZP434A0131	-0.529
ELA3A	-2.943
RBM41	-1.105
HAO2	0.89725
RNH1	-0.3105
SHANK2	1.725
OSBP2	-1.591125
DAK	-0.761833333333333
C3orf58	0.523416666666667
TCL1B	-0.583
KBTBD2	-0.0895
SUGT1L1	1.56375
UBE2E2	0.698833333333333
MYL9	2.774
CDC23	-0.718833333333333
PBXIP1	1.6035
CXorf40B	0.628
NBL1	1.3165
RTBDN	-0.1405
RAB11FIP5	0.153375
TTTY13	-0.3245
SCOTIN	0.197333333333333
SOHLH1	-0.298666666666667
CDKN1A	1.39007142857143
NCK1	0.20475
ZNF550	-0.000749999999999994
SAPS3	-0.339416666666667
SPIN3	0.219166666666667
MAGEE2	1.541
MIS12	-0.421333333333333
OR8H2	0.049
KIAA0774	-0.079
UNC5D	-2.107
CUL7	-0.5165
LIPC	-2.68933333333333
DIO1	-0.66925
C20orf11	0.0804
CTRL	-1.358
HS3ST2	2.29275
PAK4	0.435666666666667
CCRL1	3.272
RNF10	-0.158625
ZNF567	0.393
ZNF660	0.214
TCEAL3	1.18925
MAGOH	0.153
CENPB	-0.895666666666667
C19orf7	0.28925
LOC388965	0.40575
ZCCHC13	0.4085
JMJD1A	-0.3678
HIST1H4H	-0.823
TBRG1	-0.1722
GPC3	-1.67775
TAF1C	-0.82825
EBNA1BP2	-0.871333333333333
CIAPIN1	-0.71825
PDGFRA	0.6355
CSTB	-0.556625
CENPI	-3.334
GTF2E2	0.488833333333333
RPP21	-0.719
CCNF	-2.19616666666667
KCNQ3	0.4525
FAM79A	1.618
SLC22A12	0.3155
NOVA1	1.96016666666667
FZD3	1.0294
AKAP8	-1.00275
SOCS5	0.693625
CFDP1	-0.01125
DLG5	1.5625
PGM5	1.53375
C1orf144	0.0661666666666667
HDAC10	-2.0715
RND2	-0.15325
C20orf199	-1.26525
RNMT	-0.5485
SLURP1	0.0245
ASTN1	1.448
SH3BGR	2.18
MYCL1	0.0147142857142857
ZHX1	0.0418333333333333
CENPK	-4.80875
FOSB	4.1107
LOC643406	0.49
C2orf59	-1.213875
TMEM135	0.09125
SLC27A2	-0.23375
KRT33A	1.919
OVOL1	1.3685
PAMCI	-1.13116666666667
S100A7	-1.943
ZNF789	-0.891
HARS2	-0.40525
RPL23A	-0.530333333333333
TCF23	-0.3745
UPF3B	-1.68275
C17orf78	0.283
HLA-DOB	0.615833333333333
C14orf142	0.4555
TEKT5	1.57883333333333
DMWD	0.1665
POLD1	-2.43066666666667
GSCL	-0.8505
CALD1	1.5022
SCRT1	0.224833333333333
AIG1	1.88
UNC84B	0.697
ZNF404	-0.92875
TMED6	-2.27525
KIAA1462	-0.615
LRRC27	1.7732
PYGO1	-1.7715
PIGU	-0.888
ALAS2	-3.96933333333333
WRNIP1	0.14775
CNNM3	-0.0645
ZNF2	0.6115
ST3GAL5	-0.640583333333333
MRPL23	-0.98125
TSSK6	-0.5335
PSMA6	-0.701
C16orf70	-0.5295
KIAA1602	-0.1995
ALMS1	0.255
DCN	3.804
TMEM132D	-0.51975
SUCLG2	0.37325
ABHD14A	-0.09075
DEXI	-0.4015
AMPD2	-1.2745
IFNAR2	-0.706
CYB5A	1.9044
TLOC1	1.4722
NXF5	-0.7972
NRBF2	0.565125
KCTD3	1.27725
ITGAE	-0.841666666666667
SLC30A3	-1.86733333333333
ZRF1	-1.084
IFRD2	-0.943625
XAB1	-0.17875
PYCR2	-0.476666666666667
SERPINB3	-5.853
TMLHE	0.2034
GEFT	-0.108125
ABCA5	0.43575
EMR4	-1.53433333333333
TSFM	-0.24875
HIST3H2BB	-1.807
ARHGEF19	0.51825
TSPAN17	-0.240333333333333
ABCC8	2.6385
MAP1S	-0.000666666666666665
C22orf36	0.867
BNC2	0.1585
HIST1H4A	-1.45
NDUFS3	-0.677666666666667
WDR3	-0.952833333333333
XKR4	-0.6055
TTC33	0.0147857142857143
STMN2	3.994
CPN2	-0.758833333333333
HSPC105	1.025625
PCOLCE2	-0.702
C3orf55	2.266
KLHDC9	2.0095
TBC1D23	0.199875
ATXN2L	-1.43791666666667
MAP2K3	-0.0230833333333333
SCAP	-0.0145
ZNF486	0.197666666666667
C20orf96	-0.32025
NARS	-0.8175
ADAMTSL1	-0.372142857142857
PRCC	-0.1095
CCDC126	1.69991666666667
ZNF675	0.56575
CALCOCO1	1.76025
ANKRD43	2.66325
CWF19L2	0.339666666666667
ZBTB32	1.35483333333333
BRAF	0.223
ODF4	0.5895
MGC14376	1.998
HORMAD1	-2.56283333333333
AAK1	-0.313333333333333
PEBP1	0.569583333333333
TNFSF5IP1	-0.176166666666667
DKFZp564N2472	0.1125
RMND1	-0.001875
IGKV1-5	4.45
COL1A2	2.4315
SERPINA5	1.39575
AANAT	0.258
C19orf21	-0.520166666666667
GEMIN5	-0.64075
UBR4	-0.411666666666667
LTBP3	0.941666666666667
AMHR2	-2.78816666666667
PROCR	-0.0915
MYBBP1A	-1.3525
C20orf39	-0.328
ZNF697	-0.671625
PASK	-1.1574
ZNF776	0.646
RFXDC2	-0.52975
KIAA0467	0.27275
C10orf96	-1.762
ZNF503	-0.35275
GULP1	-0.31325
KCNE4	-0.798
DKFZp434K191	-0.92725
LOC196913	-2.895
BHLHB4	0.2405
CH25H	2.4195
LOC81691	-1.53616666666667
ALPL	1.56435714285714
COL12A1	1.717375
FOLR3	-1.04
GPR123	-0.260875
TRIM62	0.161785714285714
ABLIM1	1.648
MAST3	-0.33775
RHBDD1	0.352
LOC338809	-0.1165
RYBP	0.5395
TTC26	-0.61
ZNF22	0.860666666666667
ISCA2	0.02225
RDM1	-3.33725
PIGM	0.0855
GNB3	-1.631
ACTR2	-0.2928
HMGB1	0.3335
EDG1	4.40916666666667
SOAT2	-2.956
OR10AD1	-0.3045
RAP1GDS1	0.311083333333333
LCE1F	0.6495
ESM1	-1.583625
RCN3	1.81475
CREBL1	-0.885
DBNL	-0.543333333333333
PTGER3	3.00975
USP30	-0.229333333333333
BCL2L12	-1.3055
KIF26B	1.1015
ZNF416	0.25375
ZNF225	0.2835
C17orf70	-0.91325
ZNF554	0.897
RAE1	-1.4505
TNIK	0.59
ACTN3	0.6415
MGC45922	0.0095
CCNA1	2.42383333333333
RYK	0.786
IL26	-0.169
LRP3	0.338833333333333
QARS	-0.2295
SOX7	1.60871428571429
BID	-0.752375
OR2S2	-0.7305
CXCL14	4.7455
C11orf47	-1.661
MGC29891	-0.277666666666667
HSPB8	1.7025
PRDM14	-2.336
NUFIP2	0.16125
MNAT1	-0.911857142857143
ZDHHC2	0.286166666666667
MBNL2	0.916875
ADD3	1.376875
CSNK2A1P	-0.772
KLK6	1.525
TMEM111	0.162
KIAA1279	1.1045
NUBP2	-0.6965
RAB42	-2.20725
ID3	-0.6694
TM9SF1	0.299
MDP-1	-0.50275
POU4F2	-0.67475
IQCK	1.35925
C16orf14	-1.82775
CAPN3	-1.714125
FAM43B	0.35325
RECQL	-1.04975
AP1G1	-0.321428571428571
CTNNBL1	-0.415166666666667
ECHDC1	0.0498333333333333
SMARCC1	-0.7496
FOXQ1	-2.343125
GNAI3	0.00916666666666666
POLG2	-1.73225
CD4	1.112375
ITLN1	-1.13825
EBI2	5.274
IRF1	0.395
PTPRE	2.17
PTK2B	0.23075
NXNL2	2.6005
SOX4	0.714944444444444
TSPAN3	0.178666666666667
SH2D1A	-2.35016666666667
C8orf58	-0.38
USP20	-1.04275
DUSP22	-0.02025
CALB1	-2.80633333333333
L3MBTL2	0.982583333333333
MCRS1	-0.767
TMEM118	-2.23733333333333
C18orf8	0.191333333333333
FLJ10241	-0.051
GJA12	0.9175
PKD1	-0.403833333333333
ZFP3	0.864
JAM3	0.21675
LAPTM4A	1.6228
DIRC2	0.51425
KIAA2022	0.335833333333333
MYOM1	1.70266666666667
TRPM8	-1.399
MOP-1	0.22175
PHKG2	-0.774625
ZNF650	0.6125
KIAA1522	1.405625
PSG8	-0.676666666666667
DDX19B	-0.164
MOBKL1B	-0.179
DIAPH2	0.462166666666667
PTPN12	0.51825
CLN8	-0.0689999999999999
CRYZL1	0.188833333333333
CRY2	1.035
FCGR2B	4.4705
PNPLA4	1.854875
ZNF454	0.5845
DKFZp434B1231	-0.08275
CLDN11	1.5251
RFWD2	0.054
CIB2	-0.465666666666667
MXRA8	3.337
HRK	-1.084375
MAML2	0.87025
C4orf31	1.2205
C6orf192	0.33025
COG6	0.414875
FAM5B	0.06475
NFATC1	1.1676
SEPT10	0.072
SCYL1	-0.5476
RPP40	-1.11225
SCOC	1.0219
KIAA1450	1.26025
CTDSPL2	-0.4505
TBX5	2.02466666666667
NAPG	-0.796
RHD	-4.71
C14orf45	2.43416666666667
ZBTB22	1.6685
PLCG1	-1.2895
ANKRD10	-0.702125
AQP7P2	1.98325
TAGLN2	-0.143166666666667
HTR2C	-0.71575
SLC16A7	-0.585666666666667
C17orf83	0.187333333333333
TSGA14	-0.591833333333333
MDH1	-0.54575
PPP3R2	-0.0491666666666667
DCBLD2	-1.40578571428571
RBM33	-0.746375
DPH3	-1.15275
SYT10	-2.6638
FMO4	2.677375
THYN1	-0.0275
DRD5	-1.155
OTOR	1.40483333333333
PGRMC2	0.4465
KATNAL1	0.091
PAQR6	-1.3395
UBE2I	-0.64
C14orf28	1.02825
C8orf70	1.4565
FLYWCH1	-0.7225
ANGPTL3	-2.5125
GLRX2	-0.7125
ATP11A	-1.04878571428571
ARL5B	-0.00212500000000001
MUC16	-1.75525
SLC25A5	-1.39642857142857
ACRC	-0.87775
MYO1C	-0.39275
FAM89B	0.456
FAS	1.646625
KIFAP3	0.753
GLRA2	-0.346
BTN3A2	0.2817
CNKSR3	0.903375
CSTF3	-0.968
ARPM1	1.3095
KIAA1530	-1.432
C9orf150	2.37916666666667
PRKCI	-0.52925
tcag7.1015	-1.75575
SOD3	1.149
ZNF574	0.3235
CYP21A2	1.7115
RPL12	0.4195
COMMD2	-0.1455
WIZ	-0.283
LOC344405	-0.89725
ALDH4A1	-0.403176470588235
CRYAB	3.78
COPA	0.115066666666667
PCDHGA7	0.689166666666667
KIF11	-2.40616666666667
RASD2	0.68475
SLC26A3	2.7125
ZNF175	-0.091
JAKMIP2	-2.366
C8orf4	4.22183333333333
PTHLH	2.47825
SLC40A1	4.70258333333333
