Hybridization REF	TCGA-BH-A0HK-11A-11R-A089-07
SH3PXD2A	0.6058
SH2D2A	-2.18525
SPINK5	-1.037
MRPS24	-0.943
OPA3	-0.149375
TRAF7	-0.31
C4orf35	0.2565
MT1G	0.792875
MGC39545	-0.15725
HS1BP3	0.0289
OR2B2	0.3895
CHRM4	0.052
SFRP2	3.50816666666667
RIC3	1.65475
ART1	-0.509
C6orf1	0.0055
DUS4L	-1.076
C10orf104	0.94925
TNFAIP6	2.43775
RTEL1	-1.76775
CCT4	-0.6944
ZNF709	0.1275
CHMP6	0.1545
UPP2	0.19475
CYP19A1	-1.5635
CD151	-1
NDUFA13	-0.505666666666667
ARFRP1	-0.990166666666667
FAM26B	1.98575
CRYBA1	-1.9425
MRPL41	-0.687833333333333
NPFFR2	-0.488875
HRH2	0.2155
SCAMP3	-0.623166666666667
MTMR6	1.2364
MTG1	-1.2025
UBTD1	0.82775
CRABP1	-0.8435
FLJ33790	-0.0675
KIAA1908	0.217333333333333
GPR158	-2.67325
PACSIN3	-0.376
OMD	4.337
CATSPER1	-1.56983333333333
HOXB8	-0.45825
FBXO46	-0.0835
OAS1	0.376166666666667
SVIL	1.65625
PHB2	-0.7105
ADCY3	0.827
NDRG2	3.319
ERMAP	1.1317
APBA2	-1.5625
IGSF9	1.1525
WNT6	0.799928571428571
MYCBPAP	0.203
ATP2B2	-0.1826
CPVL	0.2214
TRAM2	-0.552833333333333
NOP5/NOP58	-0.80075
ZNRF4	-0.0935
TLK1	0.29875
MTMR12	1.1145
ZNF384	-0.328
FAM9B	-2.611
RPN1	0.5895
PMVK	0.42
EIF3D	0.2793
SIX2	-0.30225
HPS1	0.460214285714286
RNF7	0.23825
PSKH2	0.214
KCTD13	-0.459833333333333
CSMD3	-0.5019
FBF1	0.416
IL8	-4.15675
SERPINB13	0.472166666666667
FBXL20	-0.60375
BLR1	0.1855
SH2B1	0.152
RFNG	-0.146
RAB20	1.4085
RBM7	0.56925
POLR1A	-0.713833333333333
TMPRSS4	-3.678
TAF9	-0.794
TERF2	0.387166666666667
TNFRSF1A	1.14591666666667
ACADVL	0.234833333333333
GTF2H5	0.0035
EDG8	0.0283333333333333
C9orf140	-2.242
UST6	0.1375
ZBTB8OS	-1.12225
ZNF710	0.197
GPR174	-1.4715
ATP6V0A2	-0.60575
KIAA0319L	-0.507
XKRX	-0.357
DOPEY2	0.2587
SDHD	0.0545
SUMF1	1.571
OSM	2.45325
OPN3	-1.41325
DAGLB	-0.7285
PPFIBP1	0.8933
TRIM63	-0.747
C10orf53	-0.8445
LYPD3	0.9025
BCL7A	-0.230375
AGER	-1.45766666666667
TCF19	-1.418125
SAT2	0.47375
PFTK1	0.41
GABRE	-1.832875
C15orf38	0.7408
FIS1	0.2505
KCNV2	-0.20375
CLPS	0.07375
PPCDC	-0.990375
FOXN2	0.724833333333333
NT5E	-0.6209
CD83	1.296
IL18	0.171375
VPS16	-0.3115
IGFBP2	0.356833333333333
NOTCH2	0.7285
SIGLEC1	2.500625
CD93	5.6905
SULF2	-0.00225
CEP164	-0.25375
P53AIP1	1.37833333333333
TOR2A	-0.412833333333333
ZNF136	0.70925
MGP	3.6199
CCDC144A	0.186666666666667
TRPC1	0.885666666666666
SMS	-0.744
MAPK7	-0.1065
RRAGC	0.92575
PARD6A	0.313
NUB1	0.1165
SYNGR4	-0.29875
OR11H12	0.0375
WIF1	3.10475
GCH1	0.38525
OR11H4	-0.1785
SLC44A5	0.8825
GPRIN2	2.37333333333333
LOC401431	0.161
CPA4	-2.0437
MELK	-5.26166666666667
IL15RA	1.13725
CUL3	1.13125
HMBOX1	0.4615
PODXL	0.18975
CCT6B	1.62633333333333
COMTD1	-1.133
MUC20	1.61633333333333
GPX2	-2.406
ITK	-1.15775
FBXL5	2.02975
C13orf27	-1.4535
DEFA5	-0.0075
TRHDE	-0.234
MTP18	-1.04383333333333
UQCRQ	-0.9306
ITGB2	1.54516666666667
CSRP2BP	-0.1515
TAS2R44	0.026
PHPT1	-0.1205
FAM44C	-0.38425
ERH	-0.79925
MPHOSPH1	-1.89533333333333
MORC1	-0.5225
PARVB	-0.958
LAMA1	-1.73091666666667
PGBD3	0.2065
GIMAP6	4.0385
AREG	0.045
LIPT1	0.2225
MGC99813	-1.2695
C1orf201	0.136333333333333
GRIN2A	-0.4197
MAN2C1	-1.2
NSUN5	-1.25575
SF3B5	0.28975
MYC	0.6614375
NRXN1	2.61075
ZNF18	-0.1815
SPDYA	-0.2945
SLC37A1	1.045
DECR2	-0.47025
ANKRD38	0.465625
SPTLC3	-0.697333333333333
SUPT16H	-0.35725
DTWD2	0.85025
ULBP1	-0.433
ZADH1	0.215
OIP5	-4.96275
IL10RB	0.3035
OTUB2	-0.6265
VWA3A	-0.0705
SPIC	0.139666666666667
OR6C4	0.0605
PSCD4	0.714666666666667
DPY19L2P2	-0.13
TRAPPC6A	0.420166666666667
C21orf2	-0.0303333333333334
CEMP1	-0.54575
LIN7B	-0.4055
E2F7	-4.208
VCP	-0.1891875
LAMA3	3.13958333333333
BGN	0.20925
GPR160	0.7115
COCH	-3.82916666666667
GPR81	1.85966666666667
APOBEC3F	-0.43625
tcag7.1017	-1.244
C1orf32	-0.0145
SCGB1D2	5.88275
FLJ43987	0.0745
C6orf170	0.21575
KLK9	0.26
GPD1L	1.03425
VPS37B	1.198
ATG3	-0.0763333333333334
ADAMTS17	0.1145
KLHDC2	0.512
NDUFV2	-0.5905
BLK	-2.6765
MATN4	1.863
GPM6A	1.70475
GBP4	3.22316666666667
TMEM162	0.0393333333333333
PKP2	1.7315
HRASLS	0.160111111111111
MMP1	-5.6155
SFXN3	0.1775
FSD1	-2.1865
ST6GALNAC3	-0.225666666666667
CA12	1.7176
NCOA6	-0.0405
C19orf58	-0.4861
PPP4R1	0.6475
MAN1A2	0.389833333333333
IKBKAP	-1.2495
UPF1	-0.4605
KIAA1219	0.61775
WNT16	1.72366666666667
SNW1	-0.01725
IL18RAP	2.92375
RPP30	-0.14925
CDC40	0.3995
SETD3	0.550333333333333
SLAMF6	0.1015
ELK4	-0.15
TRIM47	0.82
ACOX3	1.084
TRIM6	0.829
KIAA0372	-0.139833333333333
TP53AP1	0.506
SMURF2	0.65625
ADAD1	0.26425
EBP	-1.5093
KRTAP13-2	-0.055
FLJ36874	-0.951833333333333
TOR1A	0.0613333333333333
P2RY4	-0.266
GPBP1	0.17075
TRPV1	-0.60825
ADAMTS12	0.786
PES1	-0.2363
ATG4A	0.6005
MAGEA10	-4.73125
WFS1	1.07825
CC2D1B	-0.533
PABPN1	-0.59225
SLC25A30	0.608
SLCO1C1	0.916333333333333
SLC22A5	0.6225
KIF23	-4.06533333333333
SYN2	0.275833333333333
ASPN	6.49183333333333
CENTG2	0.9735
QSOX2	-1.7404
FLJ10815	-0.2595
STK24	0.0504375
SPEG	0.7003
STK10	-0.348166666666667
DACT2	2.873
AAAS	-1.12975
SSX3	-1.423125
ABCD3	0.5959
C4orf12	1.154375
PARVG	0.312
FIG4	1.179
C9orf46	1.13025
TMCO6	-0.764
IGHMBP2	-0.66925
DUS2L	-0.868333333333333
FAM3C	0.859625
TMEM16D	0.084375
DCTN4	0.47
KCNH3	0.98725
EIF2AK2	0.80075
AP1S3	0.34075
CST4	-0.988
PAM	1.857
NUTF2	-0.12125
CITED2	0.7401
SLC39A4	-1.1185
C2orf52	-0.997
GRM3	-0.287
C12orf49	0.486875
CCDC49	-0.0193
GRAMD1B	-1.495875
FNDC4	1.48025
SIAH2	-0.272375
GDPD4	0.10075
C21orf87	0.074125
ATP5A1	-0.0408333333333333
C16orf63	-0.484375
LOC388135	-0.674166666666667
ATP5J2	-1.08975
MMP3	-1.27775
EMID2	-0.58575
CRHR1	0.27475
WDR70	0.03525
C13orf31	1.44275
ZFAND1	0.919
CCL18	3.70016666666667
C3orf49	-0.236
RINT1	-0.7255
KIAA0408	-0.505833333333333
F13A1	4.9525
SLC10A1	0.411333333333333
OGN	5.47225
GIPC2	1.20766666666667
XPO6	-1.12833333333333
LCE1A	0.6405
FMR1	0.4086
LOC374920	0.03875
DUSP3	0.3535
ANKMY1	0.042
C7orf50	-0.43475
BBS9	0.3234
UNC119B	-0.099
C9orf72	1.15325
MGC35440	-0.22425
ENTPD6	-0.49425
PPP1R2P9	0.53825
ERCC4	-0.179
FAHD2B	-0.129
HMHA1	-0.8805
HACL1	-0.27775
RAD23A	-0.498833333333333
FAM83B	-0.382
PPP5C	-0.844833333333333
RNASEH2C	-0.315125
C9orf153	-0.16
SCAMP4	0.423375
GHITM	0.2074
NDUFB7	0.116375
ADCYAP1	1.0835
SP110	1.1995
MAP3K7IP2	0.66075
DHH	-0.475
AGRN	0.424071428571429
WDR33	0.245666666666667
CEP290	0.308
PRPS1L1	-1.86366666666667
KLRA1	-0.0935
GPR97	0.1385
CHD7	-0.807833333333333
TLR10	1.8515
SLC30A8	-0.855
HIC1	1.8735
IAPP	0.0085
RXFP4	-0.0385
GP1BB	0.143
SHQ1	0.3925
NKX2-3	0.118166666666667
API5	0.0105
FTHP1	0.216
MOV10L1	0.405
TRIM6-TRIM34	2.377
ADHFE1	1.20875
FAM117A	0.53975
DDI1	0.168166666666667
CDON	0.733666666666667
TRIM73	-1.0605
IGKC	4.5375
MMP14	-0.834333333333333
DYNC1LI1	-0.0755
C11orf66	0.4525
TRBV3-1	-1.37325
FASTKD5	0.2885
BIVM	-0.781
LHX4	-0.2915
CXCL2	3.0152
RAB2B	0.0196666666666667
IZUMO1	-0.332
MAP3K15	-0.659125
FAM19A2	0.5355
ZC3H8	-1.19633333333333
ZMAT1	1.18525
SPINK5L3	-2.34575
SLC10A6	1.4405
APPL2	0.65675
CARD10	0.422833333333333
LOC402176	0.082
EEF1D	0.6699
RAB6A	0.4169
C12orf5	-0.282875
PAPOLG	0.42975
MSRB2	0.40025
BCR	0.897555555555555
PUS3	0.04725
TIAM2	0.4205
ZNF317	-0.389
CHD2	0.280857142857143
FZD5	-1.15140909090909
NUDT8	-1.06825
ZNF763	-0.1865
PRC1	-3.63066666666667
ABCB9	0.179166666666667
SPATA3	-0.17725
TRAK2	1.245125
STAB1	2.766
LRRTM2	0.46
psiTPTE22	0.18525
DBI	0.3835
SERPINA11	-1.57825
NAT5	-0.06875
C20orf58	-2.425
RPS6KA4	0.0095
FLJ90650	1.71
TGFBRAP1	0.329
CHRDL2	0.191625
FAHD2A	-0.358666666666667
CNTN1	0.671
BBS4	-0.3059
TMEM181	-0.058
MINPP1	-0.17225
MPHOSPH6	0.3855
HOXC10	-0.2668
ITPKB	0.67625
CLPTM1L	-0.615375
MEOX2	2.33066666666667
ATP6V0C	-0.094125
PRPF8	-0.360666666666667
TMC5	2.54375
FKBP3	-1
PLEKHB2	-0.019875
OR4D6	0.4525
ZNF544	-0.7239
D2HGDH	-0.9925
RPL18A	-0.7122
HEL308	0.08325
MPP6	-1.6715
TCERG1	-1.14575
KRT16	2.3845
KLF17	-1.03375
KLF5	1.315875
CDR1	3.059
VCX3A	-4.761
FBLN2	2.960875
C14orf104	0.07925
HBE1	-5.0523
OR4S2	0.22
C1orf108	0.294333333333333
ROBO4	3.7925
CPEB4	1.156625
C11orf80	-0.537
BCKDHA	0.319833333333333
MYOC	4.45775
GIF	-0.219
CKMT1A	0.3605
RPL3	0.8464
THBS1	1.784
APOO	-1.6445
ARMCX1	2.0725
HSZFP36	0.74375
SNAPC5	-0.2035
EIF4ENIF1	0.5205
ZNF433	0.2775
TNFRSF21	0.05925
TMPRSS7	0.038
SPATA18	1.7365
HPDL	-3.1795
MKL2	1.3866
TBX3	0.841615384615385
C21orf93	-0.0791666666666667
DAXX	-0.33125
ELMO1	0.67175
RGS13	3.00266666666667
TAF11	-0.37075
UNC13A	-2.056375
LOC653314	-0.5895
ORC3L	-0.5775
IMAA	-2.885
TARBP2	-1.0885
CABIN1	-0.4386
TRIOBP	0.6028125
HIST1H2AC	-0.78
RGS22	-0.659
NCOA1	1.68033333333333
IL25	0.8775
SNCG	2.4695
GPR6	-0.093
AMDHD1	-1.63566666666667
CHEK2	-0.998625
C6orf142	0.72725
DRD4	-0.08475
C14orf68	-1.183
GDF11	-2.7485
SEMG2	0.3925
CD247	-1.3025
CDAN1	-1.0905
RBMX2	0.253666666666667
TGS1	0.17825
OIT3	-0.34625
SYF2	0.5225
MCM4	-3.002875
PKHD1L1	1.96175
CEP192	-0.663
IFT88	0.82475
RPL9	0.342357142857143
RAB32	0.84125
DDX43	-0.85325
P2RX2	0.0633333333333333
OR5D18	0.507
UBE1	-0.371666666666667
SLC24A1	0.6005
ARHGAP5	1.46275
CETP	-0.95
KIAA1731	-1.13533333333333
SLC9A4	0.5135
PTPN6	0.44675
BAHD1	0.413
GRIK3	0.3995
CACNB2	-0.2744
PDE10A	-0.235
DGCR14	-0.2845
PCDHB9	0.614833333333333
RHOQ	1.45916666666667
MAP3K4	0.0685
KTI12	-0.348333333333333
RPL23AP13	-0.978
GNG11	1.44425
CLCN3	0.756833333333333
GPAM	-0.14325
VSTM2A	0.755
SLAMF7	2.05166666666667
INTS2	-0.93925
PPP2CA	0.5901
LRP12	0.508466666666667
SEC14L2	2.02388888888889
DKFZP586H2123	4.79975
MC3R	-0.1645
CIRH1A	-1.02783333333333
HIST1H2AB	-1.05233333333333
POLH	-0.614625
MGC16703	-2.03266666666667
SNAPC2	0.021
FILIP1L	2.51175
RASGRP4	0.4195
LRRC1	1.38575
GAS1	3.337
PRAC	-0.94075
DGKA	0.018
NT5C3	-0.69925
PEG3	-1.31383333333333
NADK	-1.1795
PRR17	-0.30675
LOC374569	-0.0715
SGSH	0.3975
NLRP8	0.6015
GALT	0.0784
MCF2	-0.903
ZNF263	0.19375
TACSTD1	0.563333333333333
TYR	-6.7086
ATP6AP2	0.61725
RNUXA	-0.09175
ABHD10	-0.0864
GDPD2	-1.26325
SLC35C1	0.03725
UBE2A	-0.165375
HERC5	-0.485666666666667
FAM112B	-4.977
FBXL16	0.55875
DKFZP434A0131	-0.82225
ELA3A	-2.51
RBM41	-1.12125
HAO2	0.28925
RNH1	0.577375
SHANK2	1.61183333333333
OSBP2	-1.456875
DAK	-0.825333333333333
C3orf58	1.11416666666667
TCL1B	-2.037
KBTBD2	0.012375
SUGT1L1	0.884
UBE2E2	1.0425
MYL9	2.969125
CDC23	-0.753666666666667
PBXIP1	1.2975
CXorf40B	0.187
NBL1	2.01
RTBDN	-0.098
RAB11FIP5	0.62725
TTTY13	-0.7595
SCOTIN	0.0745
SOHLH1	-0.556
CDKN1A	1.89842857142857
NCK1	0.38675
ZNF550	-1.2105
SAPS3	0.144
SPIN3	0.1195
MAGEE2	0.8125
MIS12	-0.505333333333333
OR8H2	0.186
KIAA0774	0.144833333333333
UNC5D	-1.973
CUL7	-0.6185
LIPC	-1.875
DIO1	0.16725
C20orf11	0.0425
CTRL	-1.08375
HS3ST2	1.97675
PAK4	0.313833333333333
CCRL1	4.95425
RNF10	-0.18675
ZNF567	0.02425
ZNF660	1.0915
TCEAL3	1.21275
MAGOH	0.151666666666667
CENPB	-0.365
C19orf7	0.548
LOC388965	0.51275
ZCCHC13	0.9175
JMJD1A	-0.9916
HIST1H4H	-2.032
TBRG1	-0.2259
GPC3	-1.009875
TAF1C	-0.7455
EBNA1BP2	-0.809666666666667
CIAPIN1	-0.389
PDGFRA	1.16622222222222
CSTB	-0.84725
CENPI	-3.11183333333333
GTF2E2	-0.748
RPP21	-0.80125
CCNF	-2.11833333333333
KCNQ3	0.6885
FAM79A	1.838
SLC22A12	0.061
NOVA1	1.53683333333333
FZD3	1.3457
AKAP8	-0.4185
SOCS5	1.7215
CFDP1	0.051
DLG5	0.65375
PGM5	2.02066666666667
C1orf144	-0.0434166666666667
HDAC10	-2.1575
RND2	-0.12375
C20orf199	-1.388
RNMT	-0.40125
SLURP1	0.259125
ASTN1	1.059625
SH3BGR	2.182
MYCL1	-0.584625
ZHX1	0.687166666666667
CENPK	-4.7635
FOSB	3.7723
LOC643406	0.342
C2orf59	-1.02375
TMEM135	0.1665
SLC27A2	-2.49425
KRT33A	2.9295
OVOL1	1.169875
PAMCI	-1.05183333333333
S100A7	-0.375
ZNF789	-1.4325
HARS2	-0.52075
RPL23A	-0.9435
TCF23	-0.31625
UPF3B	-1.853
C17orf78	0.114
HLA-DOB	0.555333333333333
C14orf142	-0.131333333333333
TEKT5	-0.055
DMWD	-0.0975
POLD1	-2.28166666666667
GSCL	0.0265
CALD1	1.9156
SCRT1	-0.226833333333333
AIG1	1.38675
UNC84B	1.27075
ZNF404	0.82575
TMED6	-3.47025
KIAA1462	0.884
LRRC27	1.24583333333333
PYGO1	-0.335
PIGU	-0.7285
ALAS2	-3.10883333333333
WRNIP1	0.0895
CNNM3	-0.0035
ZNF2	-0.30025
ST3GAL5	0.297666666666667
MRPL23	-0.51475
TSSK6	-0.377
PSMA6	-0.85025
C16orf70	-0.64225
KIAA1602	0.18825
ALMS1	-0.139833333333333
DCN	5.158
TMEM132D	-1.0455
SUCLG2	0.8945
ABHD14A	0.3895
DEXI	0.0653333333333333
AMPD2	-0.877666666666666
IFNAR2	0.179333333333333
CYB5A	1.7305
TLOC1	1.599
NXF5	-0.869333333333333
NRBF2	0.504375
KCTD3	0.792
ITGAE	-0.9505
SLC30A3	-2.16733333333333
ZRF1	-1.2155
IFRD2	-0.539125
XAB1	-0.1775
PYCR2	-0.7095
SERPINB3	-3.73
TMLHE	0.361
GEFT	-0.538375
ABCA5	0.113
EMR4	0.117666666666667
TSFM	-0.55175
HIST3H2BB	-2.31725
ARHGEF19	0.69025
TSPAN17	-0.3255
ABCC8	2.343
MAP1S	0.0616666666666667
C22orf36	0.4595
BNC2	0.0537142857142857
HIST1H4A	-1.21375
NDUFS3	-0.6275
WDR3	-0.820166666666667
XKR4	2.05825
TTC33	0.615428571428571
STMN2	3.6635
CPN2	-0.0741666666666667
HSPC105	1.211
PCOLCE2	1.83525
C3orf55	2.2345
KLHDC9	1.1805
TBC1D23	0.296
ATXN2L	-1.5065
MAP2K3	1.2885
SCAP	-0.21925
ZNF486	0.432166666666667
C20orf96	-1.0035
NARS	-0.48725
ADAMTSL1	0.243571428571429
PRCC	0.0563333333333333
CCDC126	2.78658333333333
ZNF675	0.28875
CALCOCO1	1.22575
ANKRD43	2.48975
CWF19L2	0.731666666666667
ZBTB32	0.1145
BRAF	-0.05125
ODF4	0.1705
MGC14376	1.883
HORMAD1	-0.247166666666667
AAK1	0.154916666666667
PEBP1	0.553416666666667
TNFSF5IP1	0.335
DKFZp564N2472	0.52625
RMND1	-0.532875
IGKV1-5	4.29
COL1A2	1.94458333333333
SERPINA5	-0.771875
AANAT	-0.0515
C19orf21	-1.9635
GEMIN5	-0.51125
UBR4	-0.1735
LTBP3	1.17266666666667
AMHR2	-2.45133333333333
PROCR	0.14375
MYBBP1A	-0.9995
C20orf39	-0.685833333333333
ZNF697	-1.272625
PASK	-1.4904
ZNF776	-0.0863333333333333
RFXDC2	-0.20875
KIAA0467	0.24125
C10orf96	-1.14125
ZNF503	-0.1945
GULP1	0.893083333333333
KCNE4	1.04616666666667
DKFZp434K191	-1.125625
LOC196913	0.1085
BHLHB4	0.1985
CH25H	3.44575
LOC81691	-1.52866666666667
ALPL	1.18121428571429
COL12A1	1.268625
FOLR3	-1.14333333333333
GPR123	0.000375000000000006
TRIM62	0.0942142857142857
ABLIM1	1.869
MAST3	-0.17375
RHBDD1	0.398166666666667
LOC338809	-0.0215
RYBP	0.86775
TTC26	-0.744
ZNF22	1.232
ISCA2	-0.323
RDM1	-4.1185
PIGM	0.442
GNB3	-1.6185
ACTR2	0.3038
HMGB1	0.31915
EDG1	4.7825
SOAT2	-3.007
OR10AD1	0.269
RAP1GDS1	0.07275
LCE1F	0.284
ESM1	-1.091125
RCN3	1.6845
CREBL1	-0.9655
DBNL	-0.245666666666667
PTGER3	2.608
USP30	0.1245
BCL2L12	-1.43333333333333
KIF26B	0.84
ZNF416	-0.15275
ZNF225	-0.3175
C17orf70	-0.66875
ZNF554	0.214
RAE1	-1.74883333333333
TNIK	0.616333333333333
ACTN3	1.0335
MGC45922	-0.1655
CCNA1	1.13766666666667
RYK	1.40933333333333
IL26	-0.242
LRP3	0.181166666666667
QARS	0.01125
SOX7	2.32214285714286
BID	-0.659125
OR2S2	-0.177
CXCL14	4.70475
C11orf47	-0.664
MGC29891	-0.191333333333333
HSPB8	2.7244
PRDM14	-1.506
NUFIP2	0.8325
MNAT1	-0.473125
ZDHHC2	0.599
MBNL2	1.474875
ADD3	1.49875
CSNK2A1P	-0.67625
KLK6	3.17716666666667
TMEM111	0.1893
KIAA1279	0.62375
NUBP2	-0.3735
RAB42	-1.5825
ID3	-0.2496
TM9SF1	0.20975
MDP-1	-0.2845
POU4F2	0.359
IQCK	1.1115
C16orf14	-1.75925
CAPN3	-1.13475
FAM43B	0.027375
RECQL	-0.4
AP1G1	-0.350357142857143
CTNNBL1	-0.107833333333333
ECHDC1	0.312
SMARCC1	-0.3016
FOXQ1	-2.1835
GNAI3	0.0045
POLG2	-2.6205
CD4	0.773375
ITLN1	-0.4625
EBI2	4.26975
IRF1	0.70775
PTPRE	2.2929
PTK2B	-0.11725
NXNL2	0.651
SOX4	0.140222222222222
TSPAN3	0.264333333333333
SH2D1A	-3.50916666666667
C8orf58	-0.0665
USP20	-0.90825
DUSP22	0.180083333333333
CALB1	-2.19983333333333
L3MBTL2	1.04141666666667
MCRS1	-0.41975
TMEM118	-2.99333333333333
C18orf8	0.327666666666667
FLJ10241	0.005
GJA12	2.0405
PKD1	-0.1225
ZFP3	0.225
JAM3	0.82725
LAPTM4A	1.4232
DIRC2	0.39025
KIAA2022	1.10516666666667
MYOM1	1.86516666666667
TRPM8	-1.63116666666667
MOP-1	0.11575
PHKG2	-1.156125
ZNF650	0.629875
KIAA1522	1.237375
PSG8	0.8935
DDX19B	0.0295
MOBKL1B	-0.1455
DIAPH2	0.424666666666667
PTPN12	0.13925
CLN8	0.4168
CRYZL1	0.485166666666667
CRY2	1.68058333333333
FCGR2B	4.1965
PNPLA4	1.458
ZNF454	0.9085
DKFZp434B1231	-0.0905
CLDN11	1.4498
RFWD2	0.165166666666667
CIB2	-0.343666666666667
MXRA8	3.304125
HRK	-0.77325
MAML2	1.3485
C4orf31	1.4825
C6orf192	0.759
COG6	0.439125
FAM5B	2.42975
NFATC1	2.0931
SEPT10	0.945
SCYL1	-0.3041
RPP40	-0.92475
SCOC	1.1865
KIAA1450	1.17925
CTDSPL2	-0.4135
TBX5	1.411
NAPG	-0.46625
RHD	-4.55925
C14orf45	1.69333333333333
ZBTB22	1.58
PLCG1	-1.322
ANKRD10	-1.186875
AQP7P2	2.64
TAGLN2	0.587333333333333
HTR2C	-1.01816666666667
SLC16A7	1.187
C17orf83	-0.19275
TSGA14	-0.53725
MDH1	-0.75
PPP3R2	0.2745
DCBLD2	-1.18107142857143
RBM33	-1.097
DPH3	-0.722
SYT10	-0.218833333333333
FMO4	1.996125
THYN1	-0.07275
DRD5	-1.125
OTOR	0.531375
PGRMC2	0.3732
KATNAL1	0.603375
PAQR6	-2.96
UBE2I	-0.847
C14orf28	0.67325
C8orf70	1.58675
FLYWCH1	-0.62825
ANGPTL3	-1.42925
GLRX2	-0.694166666666667
ATP11A	-0.441928571428571
ARL5B	0.21025
MUC16	0.14175
SLC25A5	-1.17957142857143
ACRC	-1.486
MYO1C	0.0355
FAM89B	0.805333333333333
FAS	1.577375
KIFAP3	0.8445
GLRA2	0.253
BTN3A2	0.2075
CNKSR3	0.15175
CSTF3	-1.365
ARPM1	1.32
KIAA1530	-1.3055
C9orf150	1.7305
PRKCI	0.8675
tcag7.1015	-1.47525
SOD3	2.39325
ZNF574	-0.00375
CYP21A2	0.8015
RPL12	0.32
COMMD2	-0.04375
WIZ	0.10025
LOC344405	-1.05425
ALDH4A1	-1.18452941176471
CRYAB	3.7105
COPA	-0.0405333333333333
PCDHGA7	0.214
KIF11	-2.92825
RASD2	0.610375
SLC26A3	1.7875
ZNF175	-0.5625
JAKMIP2	-2.552125
C8orf4	2.24633333333333
PTHLH	2.51525
SLC40A1	3.6595
OR7D4	0.205
PCDHB17	1.5585
CD36	4.512
C6orf203	0.142
PRKG2	0.297
LOC400566	0.779
ANAPC13	0.39925
SLCO3A1	0.479
ZNF692	-2.3645
FANCL	-1.8315
SH3GLB1	0.65375
C12orf61	0.49
KBTBD6	0.9735
SUPT5H	0.10175
XRCC6	-0.5242
HUS1B	0.664
FAM133B	0.00135714285714286
LOC728276	-0.5655
KCTD18	1.17475
SOS2	1.06516666666667
CCDC99	-2.316
C1QTNF5	2.868
NNAT	1.33066666666667
USP16	0.3065
LARS	-0.76775
ZBTB2	0.525875
ABO	0.575166666666667
TRAF3	-0.49675
GALNT5	-2.891
NAP5	0.434375
ALG14	0.584333333333333
KIAA0515	-0.272615384615385
WDR75	-0.934666666666667
TEX261	-0.0133333333333333
LY86	0.92975
LOC389072	-0.7585
FLJ13611	-0.039
MRGPRX2	0.3195
SNRPA	-0.967375
OR2G2	0.2465
GPRASP2	2.081
C7orf42	0.6837
C9orf163	-0.859
CYP11B2	-0.129
FCRL3	0.524666666666667
PRDX1	-0.66125
FGB	-5.0835
COX17	-0.242666666666667
C16orf33	-1.3375
PIWIL1	-0.158
FOLR1	-0.411333333333333
KIAA0082	-1.548
FREQ	-0.328
TMCC2	-0.9965
TCF12	0.285166666666667
ZNF721	0.15275
FAM130A2	1.1775
POU4F1	-2.00025
SNRPF	-1.675875
SGIP1	1.28133333333333
ZNF641	0.7885
EMG1	-0.354
PRRG4	1.586
HIRA	-2.319
MYNN	0.4245
AEBP2	0.418666666666667
TBXA2R	0.149666666666667
ISL2	-1.5035
PCDHB11	0.997
RNF144A	-0.208375
MARCH5	0.66725
DULLARD	0.0135
DCLRE1B	-0.476
ITGA8	0.90925
TP73	0.082625
PRKCD	0.686
NDUFB4	-0.52225
ATP13A4	1.614875
ANTXR2	0.729166666666667
COL4A3	0.337166666666667
MYO10	-1.3526
SLC6A18	0.22575
PEX1	-0.258
TMEM74	-0.160333333333333
RBM19	-0.24675
TAPBP	0.2449
RUNX1	1.013625
MID1	0.7455
GPR64	1.64333333333333
RASEF	3.9915
GABRG1	0.411625
MYO16	-0.35025
DBF4	-2.23166666666667
TSHZ2	4.18325
RIPK2	0.212375
PPTC7	0.922
KIF4B	-2.1285
LRRC31	1.849875
ZNF540	1.00175
EFNB3	0.431333333333333
LOH12CR1	0.1025
STON2	0.499333333333333
GLP1R	0.48
CSTF2T	0.73125
IREB2	-0.78825
GRSF1	-0.249
PDCD7	-0.347333333333333
LRRC43	0.2905
CNR1	1.28416666666667
IL1F7	-0.4245
C12orf64	0.1105
FAM69B	-0.848
NR2E1	-1.381
MS4A6A	3.1142
FTL	-0.3932
C7orf36	-0.04025
PCLO	0.8333
DYRK2	0.70575
ARIH2	-0.04775
SAMD7	0.3435
SCNN1D	-1.418
SLC32A1	-0.760125
C22orf25	-0.202666666666667
MRPS18A	-0.5157
GPR112	0.3165
EARS2	-1.37775
ERN2	0.192
ATPBD3	-0.394333333333333
PRH2	0.0605
CDKN2D	-0.949333333333333
PGLYRP2	1.1865
TRIM40	-0.4435
SEC14L3	0.987833333333333
SLC22A1	-0.126
BTN2A3	-0.4605
RASA4	0.2595
CCNL2	-1.31225
MYBPC3	0.2145
GJA4	3.276
CDC42SE1	0.749875
TRPV2	-1.32425
MYPN	-3.4577
SIM1	0.455
CDADC1	0.696333333333333
ZFHX4	1.9875
NIBP	0.235833333333333
ADAMTS19	-1.17
ABTB2	-0.54825
TSPYL2	0.335875
EIF2S3	-0.2991
SOX30	-0.511
AP2A1	-0.482166666666667
DKFZP564O0523	0.596166666666667
LOC285398	0.0655
