Hybridization REF	TCGA-BH-A0C0-11A-21R-A089-07
KIAA1908	0.471833333333333
GPR158	-2.27125
PACSIN3	0.026
OMD	3.55166666666667
CATSPER1	-1.55083333333333
HOXB8	-0.85475
FBXO46	0.276
OAS1	1.8775
SVIL	1.47825
PHB2	-0.225
ADCY3	0.437
NDRG2	3.56416666666667
ERMAP	1.463
APBA2	-0.977666666666667
IGSF9	1.88425
WNT6	0.946785714285714
MYCBPAP	1.11475
ATP2B2	-0.5661
CPVL	-0.6543
TRAM2	-0.977916666666667
NOP5/NOP58	-0.879
ZNRF4	-0.233
TLK1	0.158125
MTMR12	0.363928571428571
ZNF384	-0.296166666666667
FAM9B	-3.16825
RPN1	0.1859
PMVK	0.7445
EIF3D	0.4823
SIX2	-0.602
HPS1	0.321571428571429
RNF7	0.11875
PSKH2	0.0615
KCTD13	-0.69
CSMD3	-0.0563
FBF1	-1.015
IL8	-6.022625
SERPINB13	0.5095
FBXL20	-0.167
BLR1	0.108
SH2B1	0.506833333333333
RFNG	-0.032
RAB20	0.392666666666667
RBM7	0.6655
POLR1A	-0.418833333333333
TMPRSS4	-3.80175
TAF9	-0.868
TERF2	0.4285
TNFRSF1A	0.244833333333333
ACADVL	0.191166666666667
GTF2H5	0.025
EDG8	0.379833333333333
C9orf140	-1.8025
UST6	0.039
ZBTB8OS	-1.045
ZNF710	0.117
GPR174	-1.3025
ATP6V0A2	-0.8975
KIAA0319L	0.0988333333333333
XKRX	0.1915
DOPEY2	0.58
SDHD	0.201083333333333
SUMF1	1.45225
OSM	0.28575
OPN3	-0.6035
DAGLB	-0.660333333333333
PPFIBP1	0.409
TRIM63	-4.0415
C10orf53	1.007
LYPD3	0.6285
BCL7A	0.362625
AGER	-0.944666666666667
TCF19	-1.261
SAT2	0.84875
PFTK1	0.0505
GABRE	-0.447
C15orf38	0.3536
FIS1	0.2565
KCNV2	-0.114
CLPS	0.02425
PPCDC	-0.7485
FOXN2	0.211
NT5E	-2.4572
CD83	0.1875
IL18	-0.034125
VPS16	-0.091
IGFBP2	-0.732666666666667
NOTCH2	0.94225
SIGLEC1	2.425875
CD93	4.865
SULF2	-1.156
CEP164	-0.073125
P53AIP1	2.016
TOR2A	-0.377
ZNF136	0.65025
MGP	3.7489
CCDC144A	1.18183333333333
TRPC1	0.918666666666667
SMS	-1.30833333333333
MAPK7	-0.266833333333333
RRAGC	0.7095
PARD6A	-0.6785
NUB1	0.445333333333333
SYNGR4	-0.3755
OR11H12	-0.2345
WIF1	4.969625
GCH1	-0.343
OR11H4	0.026
SLC44A5	1.4185
GPRIN2	2.93366666666667
LOC401431	0.79025
CPA4	-1.9194
MELK	-5.63077777777778
IL15RA	0.59
CUL3	1.588
HMBOX1	1.281
PODXL	-0.80575
CCT6B	1.56233333333333
COMTD1	-1.12475
MUC20	0.851
GPX2	-1.57825
ITK	-1.0605
FBXL5	2.0565
C13orf27	-1.4645
DEFA5	-0.043
TRHDE	0.0555
MTP18	-1.34083333333333
UQCRQ	-1.0937
ITGB2	0.957083333333333
CSRP2BP	0.52475
TAS2R44	0.1535
PHPT1	-0.47625
FAM44C	0.075
ERH	-0.89225
MPHOSPH1	-1.62283333333333
MORC1	-0.5445
PARVB	-1.73025
LAMA1	-1.03225
PGBD3	0.26475
GIMAP6	4.25175
AREG	-1.77266666666667
LIPT1	0.9525
MGC99813	-1.13325
C1orf201	-0.0853333333333334
GRIN2A	-0.671111111111111
MAN2C1	-0.546
NSUN5	-0.75925
SF3B5	0.15125
MYC	-0.61225
NRXN1	2.18025
ZNF18	0.09575
SPDYA	-0.571375
SLC37A1	0.6195
DECR2	0.02175
ANKRD38	1.21575
SPTLC3	-0.6805
SUPT16H	-0.595875
DTWD2	0.29175
ULBP1	-0.8505
ZADH1	0.376
OIP5	-4.852
IL10RB	0.103833333333333
OTUB2	-0.156125
VWA3A	0.276666666666667
SPIC	0.180333333333333
OR6C4	0.0075
PSCD4	0.928333333333333
DPY19L2P2	-0.597
TRAPPC6A	0.781166666666667
C21orf2	0.146333333333333
CEMP1	-0.122
LIN7B	0.1525
E2F7	-3.95266666666667
VCP	-0.344875
LAMA3	3.42366666666667
BGN	-0.443
GPR160	1.02816666666667
COCH	-4.17216666666667
GPR81	2.17166666666667
APOBEC3F	-0.6015
tcag7.1017	-0.82475
C1orf32	-0.005
SCGB1D2	6.33075
FLJ43987	0.41
C6orf170	0.764
KLK9	0.283
GPD1L	1.2985
VPS37B	0.34425
ATG3	-0.0803333333333333
ADAMTS17	0.0825
KLHDC2	0.710833333333333
NDUFV2	-0.79875
BLK	-2.591
MATN4	-0.5215
GPM6A	1.41975
GBP4	3.4695
TMEM162	0.00283333333333333
PKP2	0.133
HRASLS	-0.165555555555556
MMP1	-5.89625
SFXN3	-0.4078
FSD1	-2.3025
ST6GALNAC3	-1.104
CA12	1.5626
NCOA6	0.182
C19orf58	-0.8047
PPP4R1	0.0196666666666667
MAN1A2	-0.0135
IKBKAP	-0.987
UPF1	0.024
KIAA1219	0.68825
WNT16	0.347333333333333
SNW1	0.00687500000000001
IL18RAP	3.21625
RPP30	-0.253875
CDC40	0.210857142857143
SETD3	0.274166666666667
SLAMF6	-0.10325
ELK4	-0.7855
TRIM47	0.640333333333333
ACOX3	1.4125
TRIM6	0.995375
KIAA0372	0.328833333333333
TP53AP1	0.747875
SMURF2	-0.4485
ADAD1	0.23025
EBP	-1.4743
KRTAP13-2	-0.1735
FLJ36874	-0.535833333333333
TOR1A	-0.609833333333333
P2RY4	-0.0745
GPBP1	0.28325
TRPV1	0.39325
ADAMTS12	0.193666666666667
PES1	-0.4715
ATG4A	0.361166666666667
MAGEA10	-4.8025
WFS1	0.82075
CC2D1B	-0.613166666666667
PABPN1	-0.6365
SLC25A30	0.592
SLCO1C1	0.738
SLC22A5	1.09375
KIF23	-4.402
SYN2	0.872333333333333
ASPN	5.32216666666667
CENTG2	0.415
QSOX2	-1.4646
FLJ10815	-0.178833333333333
STK24	-0.065875
SPEG	1.1355
STK10	-0.712666666666667
DACT2	3.2345
AAAS	-0.57475
SSX3	-1.45775
ABCD3	0.265
C4orf12	1.363875
PARVG	0.170333333333333
FIG4	0.91025
C9orf46	0.76325
TMCO6	-0.1125
IGHMBP2	-0.426
DUS2L	-0.939333333333333
FAM3C	0.17125
TMEM16D	-1.703375
DCTN4	0.833
KCNH3	1.27375
EIF2AK2	0.804
AP1S3	-0.303
CST4	-0.1105
PAM	0.503625
NUTF2	-0.766
CITED2	1.0813
SLC39A4	-1.01075
C2orf52	-0.5335
GRM3	-0.0505
C12orf49	0.04925
CCDC49	0.2727
GRAMD1B	-1.482375
FNDC4	1.37325
SIAH2	-0.28575
GDPD4	0.108
C21orf87	0.033
ATP5A1	0.112833333333333
C16orf63	-0.307875
LOC388135	-1.81266666666667
ATP5J2	-0.995875
MMP3	-4.43925
EMID2	-0.27075
CRHR1	0.034
WDR70	-0.00375
C13orf31	0.51075
ZFAND1	0.8775
CCL18	2.86833333333333
C3orf49	0.0785
RINT1	-0.5495
KIAA0408	0.0253333333333333
F13A1	3.891
SLC10A1	0.7025
OGN	4.20725
GIPC2	1.43316666666667
XPO6	-1.05316666666667
LCE1A	0.1655
FMR1	0.1706
LOC374920	0.272
DUSP3	-0.294
ANKMY1	0.0435
C7orf50	-0.48875
BBS9	-0.1807
UNC119B	0.377625
C9orf72	0.388
MGC35440	-0.97
ENTPD6	-0.012875
PPP1R2P9	-0.0235
ERCC4	-0.58725
FAHD2B	0.324
HMHA1	-0.621
HACL1	-0.366
RAD23A	-0.786666666666667
FAM83B	-0.548
PPP5C	-0.587833333333333
RNASEH2C	-0.747875
C9orf153	-0.51675
SCAMP4	0.285625
GHITM	0.215
NDUFB7	0.0355
ADCYAP1	-0.8676
SP110	1.40016666666667
MAP3K7IP2	0.98075
DHH	-0.2295
AGRN	0.558142857142857
WDR33	0.3985
CEP290	-0.00016666666666667
PRPS1L1	-2.51883333333333
KLRA1	0.031
GPR97	-0.0325
CHD7	-0.78025
TLR10	1.99375
SLC30A8	-1.0545
HIC1	1.4205
IAPP	-0.23
RXFP4	-0.135
GP1BB	-0.03275
SHQ1	0.1365
NKX2-3	-0.113833333333333
API5	-0.12575
FTHP1	-0.1365
MOV10L1	0.233
TRIM6-TRIM34	1.92916666666667
ADHFE1	2.2415
FAM117A	0.7155
DDI1	-0.104166666666667
CDON	0.0206666666666667
TRIM73	-0.7785
IGKC	4.6385
MMP14	-1.33183333333333
DYNC1LI1	-0.336625
C11orf66	0.85175
TRBV3-1	-1.42925
FASTKD5	-0.217
BIVM	-1.054
LHX4	0.04725
CXCL2	2.4301
RAB2B	0.0826666666666667
IZUMO1	-0.881
MAP3K15	-1.00325
FAM19A2	0.745
ZC3H8	-0.211833333333333
ZMAT1	2.38575
SPINK5L3	-3.5745
SLC10A6	0.886
APPL2	0.577375
CARD10	0.465666666666667
LOC402176	0.472125
EEF1D	0.7617
RAB6A	0.2658
C12orf5	-1.57125
PAPOLG	0.649
MSRB2	0.40825
BCR	0.429
PUS3	-0.15775
TIAM2	1.14
ZNF317	0.111333333333333
CHD2	0.169071428571429
FZD5	-1.31595454545455
NUDT8	-0.10775
ZNF763	1.052
PRC1	-3.69044444444444
ABCB9	0.118166666666667
SPATA3	0.00175
TRAK2	0.72975
STAB1	2.406
LRRTM2	0.920333333333333
psiTPTE22	0.1605
DBI	0.934
SERPINA11	-1.98275
NAT5	-0.16275
C20orf58	-2.13825
RPS6KA4	-0.3705
FLJ90650	1.50375
TGFBRAP1	-0.047
CHRDL2	-0.6865
FAHD2A	0.019
CNTN1	1.3155
BBS4	0.0514
TMEM181	0.1745
MINPP1	0.053
MPHOSPH6	-0.0618333333333333
HOXC10	0.4738
ITPKB	0.268125
CLPTM1L	-0.631125
MEOX2	2.56066666666667
ATP6V0C	-0.222875
PRPF8	0.00916666666666667
TMC5	1.9215
FKBP3	-0.911
PLEKHB2	-0.761625
OR4D6	0.038
ZNF544	-0.6434
D2HGDH	-0.06625
RPL18A	-0.2662
HEL308	0.29375
MPP6	-1.798
TCERG1	-0.87525
KRT16	0.0366666666666667
KLF17	-0.75675
KLF5	1.8605
CDR1	2.909875
VCX3A	-3.894
FBLN2	1.372625
C14orf104	0.11625
HBE1	-4.6151
OR4S2	0.2965
C1orf108	-0.897833333333333
ROBO4	3.6955
CPEB4	0.480125
C11orf80	-0.0883333333333333
BCKDHA	0.355333333333333
MYOC	3.84175
GIF	0.288
CKMT1A	0.6305
RPL3	1.4262
THBS1	1.001
APOO	-1.48875
ARMCX1	2.2885
HSZFP36	1.32425
SNAPC5	-0.328
EIF4ENIF1	0.89475
ZNF433	0.83525
TNFRSF21	-0.1815
TMPRSS7	0.2025
SPATA18	1.9208
HPDL	-2.957
MKL2	1.321
TBX3	1.49261538461538
C21orf93	-0.186
DAXX	-0.233
ELMO1	0.321625
RGS13	1.08
TAF11	-0.47225
UNC13A	-2.533
LOC653314	-0.0559
ORC3L	-0.00275
IMAA	-2.5085
TARBP2	-0.94825
CABIN1	-0.4368
TRIOBP	0.2790625
HIST1H2AC	0.138125
RGS22	-1.97883333333333
NCOA1	1.77766666666667
IL25	1.7875
SNCG	2.2435
GPR6	0.201
AMDHD1	-0.375
CHEK2	-1.353125
C6orf142	1.28075
DRD4	0.0155
C14orf68	-1.4095
GDF11	-2.809
SEMG2	-0.2065
CD247	-0.55475
CDAN1	-0.58825
RBMX2	0.169833333333333
TGS1	0.13675
OIT3	0.30425
SYF2	0.89825
MCM4	-3.321625
PKHD1L1	1.850125
CEP192	-0.3735
IFT88	1.04375
RPL9	0.739571428571429
RAB32	-0.249
DDX43	-0.39725
P2RX2	-0.159333333333333
OR5D18	-0.3465
UBE1	-0.17175
SLC24A1	0.994
ARHGAP5	0.859
CETP	-1.924
KIAA1731	-0.795
SLC9A4	0.2075
PTPN6	0.4395
BAHD1	0.3055
GRIK3	0.4015
CACNB2	-0.0132
PDE10A	-0.99625
DGCR14	-0.05675
PCDHB9	0.652166666666667
RHOQ	0.466166666666667
MAP3K4	0.43025
KTI12	-0.577333333333333
RPL23AP13	1.102
GNG11	0.617
CLCN3	0.565333333333333
GPAM	0.236125
VSTM2A	-0.1455
SLAMF7	2.83883333333333
INTS2	-1.00375
PPP2CA	-0.1193
LRP12	0.558933333333333
SEC14L2	3.039
DKFZP586H2123	4.866
MC3R	-0.4085
CIRH1A	-1.12416666666667
HIST1H2AB	-0.968166666666667
POLH	-0.6775
MGC16703	-1.94433333333333
SNAPC2	0.124
FILIP1L	0.83175
RASGRP4	-0.00799999999999995
LRRC1	1.505
GAS1	2.91475
PRAC	-0.92725
DGKA	-0.099
NT5C3	-0.778
PEG3	-1.55775
NADK	-1.4725
PRR17	-0.461
LOC374569	0.19725
SGSH	0.133166666666667
NLRP8	0.8555
GALT	0.3225
MCF2	-0.591
ZNF263	0.517
TACSTD1	0.857833333333333
TYR	-6.6572
ATP6AP2	0.38425
RNUXA	-0.15775
ABHD10	0.2367
GDPD2	-1.37325
SLC35C1	-0.1495
UBE2A	-0.427375
HERC5	0.531666666666667
FAM112B	-4.86566666666667
FBXL16	0.34875
DKFZP434A0131	-0.57725
ELA3A	-2.6265
RBM41	-1.245875
HAO2	0.543333333333333
RNH1	0.23875
SHANK2	1.886
OSBP2	-1.447875
DAK	-0.527666666666667
C3orf58	1.77175
TCL1B	-0.7975
KBTBD2	-0.115875
SUGT1L1	1.6745
UBE2E2	1.043
MYL9	3.051375
CDC23	-0.807333333333333
PBXIP1	1.2083
CXorf40B	0.6395
NBL1	1.57975
RTBDN	-0.163
RAB11FIP5	0.32425
TTTY13	-0.5335
SCOTIN	-0.0989166666666666
SOHLH1	-0.866666666666667
CDKN1A	-0.917071428571429
NCK1	0.601
ZNF550	0.33825
SAPS3	-0.2405
SPIN3	0.715333333333333
MAGEE2	0.543
MIS12	-0.179166666666667
OR8H2	0.087
KIAA0774	-0.0065
UNC5D	-1.832
CUL7	-0.264
LIPC	-2.79416666666667
DIO1	0.8835
C20orf11	0.3372
CTRL	-0.87825
HS3ST2	0.889
PAK4	0.366166666666667
CCRL1	2.78675
RNF10	-0.098875
ZNF567	0.656
ZNF660	0.2915
TCEAL3	0.6595
MAGOH	-0.262666666666667
CENPB	-0.455833333333333
C19orf7	0.506125
LOC388965	0.1505
ZCCHC13	0.755
JMJD1A	-0.4409
HIST1H4H	-1.787
TBRG1	-0.0785
GPC3	-1.58175
TAF1C	-0.30425
EBNA1BP2	-0.885333333333333
CIAPIN1	-0.6245
PDGFRA	1.13944444444444
CSTB	-0.769125
CENPI	-3.37
GTF2E2	-0.7345
RPP21	-0.498
CCNF	-1.78566666666667
KCNQ3	0.3725
FAM79A	1.84475
SLC22A12	0.151
NOVA1	0.910833333333333
FZD3	0.6583
AKAP8	-0.78725
SOCS5	1.3255
CFDP1	-0.119
DLG5	0.35825
PGM5	2.00583333333333
C1orf144	-0.1995
HDAC10	-1.2185
RND2	-0.129
C20orf199	-0.73375
RNMT	-0.76
SLURP1	0.14175
ASTN1	0.56125
SH3BGR	2.43325
MYCL1	-0.64075
ZHX1	0.802
CENPK	-4.76325
FOSB	1.9105
LOC643406	0.196
C2orf59	-1.933875
TMEM135	0.289
SLC27A2	-1.2705
KRT33A	2.9505
OVOL1	1.042
PAMCI	-0.447833333333333
S100A7	-1.2855
ZNF789	-0.4945
HARS2	0.06125
RPL23A	-0.3815
TCF23	0.07625
UPF3B	-1.21
C17orf78	-0.022
HLA-DOB	0.709666666666667
C14orf142	0.0841666666666667
TEKT5	1.16666666666667
DMWD	-0.054
POLD1	-1.90516666666667
GSCL	-0.317
CALD1	1.6711
SCRT1	-0.121166666666667
AIG1	1.23225
UNC84B	1.275
ZNF404	0.148
TMED6	-1.3635
KIAA1462	0.075
LRRC27	1.2975
PYGO1	0.1915
PIGU	-0.774
ALAS2	-3.514
WRNIP1	0.23625
CNNM3	0.1045
ZNF2	0.70875
ST3GAL5	-0.338
MRPL23	-0.54425
TSSK6	-0.031
PSMA6	-1.0645
C16orf70	-0.4055
KIAA1602	-0.05625
ALMS1	-0.187
DCN	3.5505
TMEM132D	-0.95775
SUCLG2	0.97925
ABHD14A	0.1425
DEXI	0.1585
AMPD2	-0.9285
IFNAR2	-0.4325
CYB5A	1.5431
TLOC1	1.3066
NXF5	-0.871333333333333
NRBF2	0.258625
KCTD3	0.655
ITGAE	-0.7695
SLC30A3	-2.12516666666667
ZRF1	-1.2545
IFRD2	-0.48625
XAB1	-0.20725
PYCR2	-0.8035
SERPINB3	-4.769
TMLHE	0.4165
GEFT	-0.664125
ABCA5	1.2505
EMR4	0.0586666666666667
TSFM	-0.63975
HIST3H2BB	-1.50475
ARHGEF19	0.72275
TSPAN17	-0.9115
ABCC8	3.8415
MAP1S	0.000499999999999999
C22orf36	1.21575
BNC2	-0.681428571428571
HIST1H4A	-1.312
NDUFS3	-0.670666666666667
WDR3	-0.744333333333334
XKR4	0.03225
TTC33	0.434714285714286
STMN2	3.66675
CPN2	-0.441666666666667
HSPC105	1.378125
PCOLCE2	-1.02925
C3orf55	2.3635
KLHDC9	1.78533333333333
TBC1D23	0.078875
ATXN2L	-1.26683333333333
MAP2K3	0.01725
SCAP	0.12625
ZNF486	0.619833333333333
C20orf96	-0.30125
NARS	-0.25225
ADAMTSL1	-1.03421428571429
PRCC	0.0916666666666667
CCDC126	1.68666666666667
ZNF675	0.5225
CALCOCO1	1.46975
ANKRD43	2.503
CWF19L2	0.701
ZBTB32	0.087
BRAF	0.0325
ODF4	0.38625
MGC14376	0.497833333333333
HORMAD1	-2.0635
AAK1	-0.179083333333333
PEBP1	0.359583333333333
TNFSF5IP1	0.197666666666667
DKFZp564N2472	0.418
RMND1	0.016125
IGKV1-5	4.49975
COL1A2	0.0348333333333333
SERPINA5	-1.0625
AANAT	0.0035
C19orf21	-2.47216666666667
GEMIN5	-0.42225
UBR4	-0.387
LTBP3	1.019
AMHR2	-2.98466666666667
PROCR	-0.69025
MYBBP1A	-0.5555
C20orf39	-2.00133333333333
ZNF697	-0.947125
PASK	-1.243
ZNF776	0.0985
RFXDC2	-0.273
KIAA0467	0.616
C10orf96	-1.1695
ZNF503	0.93875
GULP1	0.651
KCNE4	-1.25583333333333
DKFZp434K191	-0.005
LOC196913	-0.265
BHLHB4	0.0905
CH25H	1.16
LOC81691	-1.16083333333333
ALPL	1.23135714285714
COL12A1	1.360625
FOLR3	-0.785
GPR123	0.071375
TRIM62	-0.100714285714286
ABLIM1	1.28433333333333
MAST3	-0.23875
RHBDD1	0.614833333333333
LOC338809	0.0605
RYBP	0.12925
TTC26	-0.929125
ZNF22	1.106
ISCA2	-0.121
RDM1	-3.859
PIGM	0.307
GNB3	-1.119
ACTR2	-0.1685
HMGB1	-0.15345
EDG1	3.51133333333333
SOAT2	-3.42375
OR10AD1	0.162
RAP1GDS1	0.00674999999999999
LCE1F	0.1595
ESM1	-1.212375
RCN3	0.72875
CREBL1	-0.55575
DBNL	-0.391
PTGER3	2.154625
USP30	-0.0643333333333333
BCL2L12	-1.41383333333333
KIF26B	1.24275
ZNF416	0.721
ZNF225	0.509
C17orf70	-0.613
ZNF554	1.2055
RAE1	-1.176
TNIK	0.2575
ACTN3	1.0255
MGC45922	-0.17
CCNA1	0.584333333333333
RYK	1.1775
IL26	-0.438
LRP3	0.140333333333333
QARS	0.39975
SOX7	1.55164285714286
BID	-0.982875
OR2S2	0.388
CXCL14	4.86625
C11orf47	-0.428
MGC29891	-0.386833333333333
HSPB8	0.8581
PRDM14	-1.571
NUFIP2	-0.235
MNAT1	-0.446875
ZDHHC2	0.0744166666666666
MBNL2	1.565125
ADD3	1.360625
CSNK2A1P	-0.904
KLK6	1.60166666666667
TMEM111	-0.0118
KIAA1279	0.8355
NUBP2	-0.349
RAB42	-2.71
ID3	-1.0894
TM9SF1	0.436
MDP-1	-0.31625
POU4F2	0.39975
IQCK	1.399
C16orf14	-1.3815
CAPN3	-0.346875
FAM43B	-1.05825
RECQL	-0.989
AP1G1	-0.266214285714286
CTNNBL1	-0.162833333333333
ECHDC1	-0.284666666666667
SMARCC1	-0.4291
FOXQ1	-1.252
GNAI3	0.0811666666666667
POLG2	-1.057
CD4	0.639625
ITLN1	-0.11225
EBI2	2.7165
IRF1	0.32125
PTPRE	1.3006
PTK2B	-0.04175
NXNL2	0.023
SOX4	0.483611111111111
TSPAN3	-0.185166666666667
SH2D1A	-3.14766666666667
C8orf58	-0.109166666666667
USP20	-0.35425
DUSP22	-0.263083333333333
CALB1	-2.17366666666667
L3MBTL2	1.20416666666667
MCRS1	-0.381
TMEM118	-2.98533333333333
C18orf8	0.00833333333333333
FLJ10241	-0.013125
GJA12	1.28775
PKD1	-0.0433333333333333
ZFP3	1.311
JAM3	0.389875
LAPTM4A	0.9215
DIRC2	-0.0995
KIAA2022	1.06033333333333
MYOM1	2.22183333333333
TRPM8	-2.02016666666667
MOP-1	0.03375
PHKG2	-0.802125
ZNF650	0.750125
KIAA1522	1.479875
PSG8	-2.2965
DDX19B	-0.161
MOBKL1B	-0.552
DIAPH2	-0.277916666666667
PTPN12	0.21725
CLN8	-0.2302
CRYZL1	0.553833333333333
CRY2	1.18216666666667
FCGR2B	2.9855
PNPLA4	1.695625
ZNF454	1.3275
DKFZp434B1231	-0.1035
CLDN11	1.0728
RFWD2	-0.0926666666666667
CIB2	-0.182166666666667
MXRA8	3.06625
HRK	-1.058875
MAML2	1.41775
C4orf31	0.59775
C6orf192	0.59525
COG6	0.572
FAM5B	0.79575
NFATC1	0.5518
SEPT10	0.5405
SCYL1	-0.2392
RPP40	-1.1235
SCOC	1.0948
KIAA1450	0.852
CTDSPL2	-0.54625
TBX5	1.66816666666667
NAPG	-1.22975
RHD	-4.25325
C14orf45	2.34233333333333
ZBTB22	1.097
PLCG1	-1.2865
ANKRD10	-0.359625
AQP7P2	2.72775
TAGLN2	-0.836
HTR2C	-0.857
SLC16A7	0.585166666666667
C17orf83	-0.10225
TSGA14	-0.864333333333334
MDH1	-0.57775
PPP3R2	-0.145833333333333
DCBLD2	-1.49392857142857
RBM33	-1.515875
DPH3	-2.14175
SYT10	-1.13966666666667
FMO4	3.13275
THYN1	0.034
DRD5	-1.154
OTOR	0.360125
PGRMC2	0.3793
KATNAL1	0.3465
PAQR6	-1.3735
UBE2I	-0.81075
C14orf28	1.088
C8orf70	1.6355
FLYWCH1	-0.20125
ANGPTL3	-0.9815
GLRX2	-0.905
ATP11A	-0.853714285714286
ARL5B	-0.651375
MUC16	-1.882
SLC25A5	-1.286
ACRC	-0.01575
MYO1C	-0.05275
FAM89B	0.694
FAS	1.317125
KIFAP3	0.75425
GLRA2	0.599
BTN3A2	0.6686
CNKSR3	0.46675
CSTF3	-1.21333333333333
ARPM1	1.02825
KIAA1530	-1.061
C9orf150	2.1215
PRKCI	-0.217
tcag7.1015	-1.4705
SOD3	1.967
ZNF574	0.364
CYP21A2	-0.3815
RPL12	0.91725
COMMD2	-0.3605
WIZ	-0.11675
LOC344405	-1.4835
ALDH4A1	-0.921235294117647
CRYAB	3.93025
COPA	-0.0211
PCDHGA7	0.108333333333333
KIF11	-3.05783333333333
RASD2	0.462
SLC26A3	2.4605
ZNF175	0.5335
JAKMIP2	-2.80075
C8orf4	0.5855
PTHLH	1.4535
SLC40A1	3.17458333333333
OR7D4	0.181
PCDHB17	1.225
CD36	4.92342857142857
C6orf203	0.9318
PRKG2	-0.2545
LOC400566	1.02225
ANAPC13	0.1115
SLCO3A1	0.2955
ZNF692	-1.1145
FANCL	-0.695
SH3GLB1	0.41675
C12orf61	0.0785
KBTBD6	0.9425
SUPT5H	0.261625
XRCC6	-0.5524
HUS1B	-0.9511
FAM133B	-0.136857142857143
LOC728276	-0.086
KCTD18	1.219
SOS2	1.0155
CCDC99	-1.8315
C1QTNF5	2.178
NNAT	2.10266666666667
USP16	0.426
LARS	-0.542625
ZBTB2	0.167875
ABO	0.218833333333333
TRAF3	-0.92975
GALNT5	-2.7985
NAP5	0.60575
ALG14	0.273666666666667
KIAA0515	-0.00688461538461539
WDR75	-0.768833333333333
TEX261	0.162
LY86	0.4555
LOC389072	-0.0435
FLJ13611	-0.1685
MRGPRX2	0.212
SNRPA	-0.55175
OR2G2	-0.137
GPRASP2	2.4845
C7orf42	0.3609
C9orf163	-0.493
CYP11B2	-0.247
FCRL3	0.686833333333333
PRDX1	-0.74775
FGB	-7.31883333333333
COX17	-0.604333333333333
C16orf33	-0.92125
PIWIL1	-0.117833333333333
FOLR1	0.2525
KIAA0082	-1.1485
FREQ	-0.974
TMCC2	-1.015
TCF12	0.332833333333333
ZNF721	0.896
FAM130A2	2.08425
POU4F1	-2.268
SNRPF	-1.73275
SGIP1	1.74433333333333
ZNF641	1.23266666666667
EMG1	-0.55525
PRRG4	0.5055
HIRA	-2.34075
MYNN	0.495833333333333
AEBP2	0.219083333333333
TBXA2R	-0.422666666666667
ISL2	-1.65
PCDHB11	0.9435
RNF144A	-0.522125
MARCH5	0.532625
DULLARD	0.0791666666666667
DCLRE1B	-1.12016666666667
ITGA8	0.963
TP73	0.326875
PRKCD	0.69125
NDUFB4	-0.47675
ATP13A4	2.884
ANTXR2	0.0721666666666667
COL4A3	0.712666666666667
MYO10	-1.6217
SLC6A18	-0.07475
PEX1	0.1745
TMEM74	-0.0786666666666667
RBM19	-0.158
TAPBP	0.194
RUNX1	0.6345
MID1	0.9015
GPR64	0.554333333333333
RASEF	3.39375
GABRG1	0.227625
MYO16	-0.32425
DBF4	-2.07883333333333
TSHZ2	4.3545
RIPK2	-0.5535
PPTC7	0.0155
KIF4B	-2.0805
LRRC31	1.04825
ZNF540	3.439
EFNB3	0.465
LOH12CR1	-0.076875
STON2	0.523833333333333
GLP1R	0.48825
CSTF2T	0.35725
IREB2	-1.141625
GRSF1	-0.04925
PDCD7	-0.219833333333333
LRRC43	1.019
CNR1	1.48016666666667
IL1F7	-0.8675
C12orf64	0.0955
FAM69B	-0.51825
NR2E1	-1.52033333333333
MS4A6A	2.4871
FTL	-0.9647
C7orf36	-0.000499999999999997
PCLO	1.442
DYRK2	0.38375
ARIH2	-0.07575
SAMD7	0.034
SCNN1D	-0.6175
SLC32A1	-0.905375
C22orf25	-0.406166666666667
MRPS18A	-0.4158
GPR112	0.2225
EARS2	-0.479
ERN2	-0.0585
ATPBD3	-0.390166666666667
PRH2	-0.4295
CDKN2D	-1.14266666666667
PGLYRP2	1.80775
TRIM40	-0.03725
SEC14L3	0.245666666666667
SLC22A1	-0.112
BTN2A3	0.015
RASA4	0.462
CCNL2	-0.719833333333333
MYBPC3	0.2655
GJA4	3.16275
CDC42SE1	0.129375
TRPV2	-2.042
MYPN	-3.7412
SIM1	-0.005
CDADC1	0.700666666666667
ZFHX4	1.5855
NIBP	0.124166666666667
ADAMTS19	-2.313
ABTB2	-1.25225
TSPYL2	0.699625
EIF2S3	-0.2679
SOX30	-0.26775
AP2A1	-0.330833333333333
DKFZP564O0523	0.732833333333333
LOC285398	0.173
CDH18	-4.12475
CHL1	4.750125
GATS	-0.9674
TBC1D2B	0.3495
OR1J1	0.364
GSN	3.20366666666667
DPCR1	-0.011125
GARNL4	-0.569333333333333
SMARCA5	-0.72475
PLEKHG3	0.935166666666667
ZBTB45	0.4675
FRMD6	1.309
PLS1	0.298666666666667
DGKZ	-0.16
EFNA1	1.5232
WDR85	-0.376
ANK2	0.86425
PAGE4	-0.742666666666667
SENP6	1.8165
AKR7A2	0.139
FKBP10	-2.5715
VEGFC	-1.0515
LARP1	-0.608
SRBD1	-0.02225
ITGB6	3.2935
SLC1A2	-0.718142857142857
INVS	-1.0815
MPO	1.43875
MOBKL3	0.1443
CUTL2	2.07275
KLK2	2.99541666666667
VIM	0.29825
REG1B	0.023
