Hybridization REF	TCGA-AQ-A04H-01B-11R-A10J-07
C4orf28	0.74
KIAA1211	0.866416666666667
RPS27L	-1.616
TATDN3	0.24725
PDCD1	-0.07925
OR5P2	0.6495
IFIT1L	1.4415
MIPOL1	-0.66875
OR51D1	0.3415
C1orf92	-0.620666666666667
LAMP2	0.0700555555555556
CAT	-0.245666666666667
C16orf80	-0.01775
C15orf32	0.2015
ZNF746	0.23475
C1orf76	-1.1395
ATXN1	-0.047
LAMC2	0.38875
SLC2A7	-0.133
CPOX	-0.76775
APH1B	0.999333333333333
LOC442245	-1.3355
CTNND1	1.443
GABRG2	-0.808125
MADCAM1	-0.389666666666667
F5	-3.119125
SEMA4F	0.427666666666667
NUDCD3	0.813875
PDZD11	0.6285
TRIML1	-0.1385
GCNT3	-2.92816666666667
TMEM120A	0.71925
CNDP1	-0.5995
N4BP1	0.579625
SLC35F2	-1.940375
LCP1	-0.988166666666667
IGBP1	-0.1651
DCAKD	0.233875
ELA2A	-0.786
C12orf56	-2.497125
PITRM1	0.248
GUK1	1.02216666666667
RASSF8	-0.9671875
OR2A14	0.29375
ADM	-3.83633333333333
FGD3	0.110833333333333
GHRHR	0.146333333333333
RHPN2	1.246
C4orf39	-1.51633333333333
VPS72	0.18725
SERF2	0.978111111111111
CD22	0.791166666666667
CD47	0.2005
PPIC	-0.2645
IMPDH1	0.847916666666667
ACP6	0.0278333333333333
PRKACA	0.1505
PPP1R1A	-0.82625
TRPV3	-0.1545
ASXL1	-0.049625
C17orf55	-0.403333333333333
FXYD1	-0.5965
LMOD2	0.2025
ANKRD33	0.1005
LCE2C	0.018625
ZNF620	0.5295
DKFZP566E164	-0.0445
VSIG2	-0.61025
KIAA1128	0.4035
USO1	-0.309666666666667
NUDT4	1.04071428571429
CLDN1	-1.57757142857143
OR4Q3	0.4405
FASTK	-0.0726666666666667
ICOS	1.24333333333333
LDB1	0.28
GSTA5	-1.0595
ABCC1	-1.18083333333333
FAM54A	-0.91075
PCBP2	-0.344833333333333
NUP205	-0.921
ACTA1	-1.56666666666667
GABBR2	-1.857
PIP5K1B	-2.19816666666667
AGXT	-2.32816666666667
RNF181	0.475
ATP8A2	-0.8345
AFTPH	1.432875
FGF21	0.2275
FCER1G	1.41625
SNTB1	-1.10175
SLC24A3	-1.47175
TXNL4B	-1.1406
RPL10L	-0.6595
LOC389517	-0.417
TSGA13	0.1305
SHOX2	-1.00366666666667
ITGA7	-0.4405
KCNIP2	-0.366166666666667
KLF13	0.8524
ZFAND2A	-0.25775
CEACAM1	-0.925357142857143
PFKFB4	-0.729
MED19	0.58925
LRRC57	0.304833333333333
RNF11	0.8905
ANKRD32	-1.72325
P117	0.1665
OBFC2A	-1.26916666666667
POLD3	-0.324666666666667
RAB18	2.520125
TPH2	-0.157333333333333
PHB	-0.2333
JDP2	-0.131166666666667
MORF4L1	-0.2656
POU2F1	-0.80425
CNNM2	-0.769916666666667
LOXHD1	0.215833333333333
ZC3H15	-0.06675
ELK3	0.781166666666667
FAM111B	0.53875
CBLC	2.8375
SBNO1	0.14225
ANKMY2	-0.96125
PLEKHA5	0.09475
DHX58	1.92883333333333
ARCN1	-0.321
TREML1	0.2405
KNCN	-0.109
SEC24A	-0.97825
PSCA	-1.06225
MGC24125	0.789333333333333
DNA2L	-1.07425
CIB4	-0.252
HIGD2A	-0.433
TBX6	0.0901666666666667
TTLL5	-0.898333333333333
SGK3	1.42666666666667
GCN1L1	-0.32325
AMOT	-0.3068
LDOC1	1.23466666666667
NRK	-0.162166666666667
ASB9	-3.038
NAT1	1.6682
TRAFD1	0.47575
PEAR1	0.860166666666667
FAM36A	0.09525
OR1S2	0.3695
LOC388323	-1.955
PGS1	0.162
LEPREL1	-2.755
TFF1	-3.443
HAP1	0.15225
EPHB2	-1.004
ACTG1	1.52216666666667
ZFP42	-0.605333333333333
HAVCR2	-0.177
NME1	-0.814
SNX26	0.0065
LACTB	-0.121166666666667
ZKSCAN2	0.5225
C5orf35	-0.385
ANKS3	-0.8755
RBM28	-1.0065
DKFZP586P0123	-0.67225
HNRNPA1	-0.3865
BCAS3	-0.975166666666667
FLJ20184	0.1415
POLA2	-1.25683333333333
TMC7	-0.332833333333333
HSD17B6	0.331
ZNF658B	-0.3845
TTTY10	-0.230333333333333
RANBP9	0.593333333333333
CPNE7	-3.28383333333333
EVL	1.18217647058823
LNX1	0.0997500000000001
IFNA21	0.09
CFD	0.9645
PYCARD	0.401666666666667
MYBPC2	-1.981
ENPP3	-1.90233333333333
ACSL4	-2.12075
LOC440258	-0.244
TMEM176B	2.90583333333333
SOX2	-4.629
SCO1	-0.438
COMT	-0.053
AOC2	-0.40825
PDLIM5	0.631071428571429
SPHK2	0.436666666666667
NXPH2	0.269
GPR108	0.259
RAD51L1	-0.822666666666667
TMEM54	1.4845
LETMD1	-1.38888888888889
SLC6A17	0.1845
KRT75	0.586
STT3B	-0.664
CD3EAP	-0.423833333333333
TMEM63A	1.037
DUSP13	2.11625
CD1C	-0.9115
LASS2	1.63166666666667
AVP	0.041
PITPNM1	-0.3035
FLJ22795	-3.268
MCTP1	-2.064
TRIM68	-1.97966666666667
UCK2	-1.67033333333333
ABHD1	0.22725
FAM50A	0.6995
RNASEH1	-0.804666666666667
PCP2	2.4675
OR52H1	0.0895
C20orf149	1.86525
RBP5	-0.750666666666667
HYAL3	1.41325
CLPB	-1.296
SMNDC1	-0.4165
DONSON	-1.759
FLJ27523	0.24875
BARHL2	0.197
SLC30A9	0.528666666666667
TMPRSS11B	0.06475
E2F8	-1.2085
CCDC25	0.31
C14orf48	0.0465
C20orf116	0.186625
TSPAN11	0.0335
YIF1B	-0.962666666666667
FAM12B	6.11525
OR1L6	0.248
HPN	0.8445
NBN	-0.056875
C14orf94	-0.647833333333333
OCLM	0.0695
ZSCAN18	1.6877
L3MBTL	-0.9069
TSTA3	0.603166666666667
RAC1	0.472
C19orf15	0.454333333333333
NFE2	-4.06475
KLK14	0.3585
ARSF	0.2655
MAST2	0.200833333333333
AMICA1	1.90433333333333
GTF2A1	-0.417875
ATP1A3	-0.02125
TC2N	0.9634
PNKP	-0.11625
ODZ2	-0.403125
MATR3	0.301375
S100P	-1.487625
KRT82	0.0105
CA13	-0.792
PROZ	-1.3895
AASDH	0.764375
C19orf40	-1.07616666666667
DCK	0.231538461538462
FAM5C	-1.81366666666667
SLC6A4	-3.237
MID1IP1	-1.17575
TESSP5	0.1375
TMOD4	-0.339333333333333
DOCK2	-1.13683333333333
TUG1	0.55725
NUP214	-0.5045
DPYSL2	-0.244136363636364
GOLM1	-0.861
MPFL	0.17225
SOX13	0.30225
SDCCAG8	1.4211
KEL	-2.547
NUP210L	-2.6505
GK	-0.21425
DNAJB1	0.39725
ALPK3	0.3795
CHID1	0.0227
CYLC2	0.164166666666667
IKZF5	0.6565
C8orf51	0.684166666666667
PPM1J	1.5475
GIMAP8	3.3185
GPR101	0.0105
NR2F1	-1.449
ACAD8	-0.19
RBM35A	1.64475
GNAI2	1.20666666666667
METTL8	-0.454333333333333
SLC39A7	-0.25
FBXO8	1.2635
CAMK1	-0.54675
RFC3	-1.550125
FAM129A	-1.21457142857143
ILF2	-0.136
FGFBP3	-1.862875
NOM1	-0.821666666666667
PSMA3	-0.1
ASCC3	-0.3056
ZYG11A	-0.41475
SOX21	-1.31675
LYRM1	0.42925
DEFB1	0.65
LOC91431	-1.7835
OR7C2	1.2345
FAM46B	-2.61675
TMEM18	0.036875
ARHGAP30	0.446833333333333
TMEM86A	1.74725
EPHA2	-1.29883333333333
C10orf46	0.6689
TCHH	-1.37116666666667
C3orf30	0.170333333333333
LOC285636	0.669
PAIP2	0.717
CYP2U1	-0.927875
C12orf34	0.97975
SARS2	-1.10216666666667
ZCWPW1	1.4925
SAMD12	2.047625
KIAA1430	0.446
ACAT1	0.292
MEOX1	2.24616666666667
ADAMDEC1	4.96275
PHKA2	-0.932
CARD11	-1.42633333333333
CALML4	-1.582
TSSC1	0.21275
TMEM45A	-2.56433333333333
MPP7	0.035875
POU1F1	-0.209
SLC2A13	-1.2673
FBN2	-1.635
ZC3H7A	-0.0356
LAIR2	-1.71275
ST3GAL1	0.930166666666667
LCT	-3.3715
GEMIN8	0.867666666666667
KLF16	0.2361
HIF3A	-0.3789
FAM44A	0.523357142857143
AQP10	-1.2749
PLA2G2A	-2.292
FOLH1	2.08883333333333
C20orf186	0.2765
MAPKAP1	0.51325
SPRR2D	-1.362
UBQLN4	-0.364166666666667
RSHL1	-0.0148333333333333
PIAS3	0.695
MRPL24	-0.028
GREB1	-1.291125
FAM27E3	-2.332
NUP62CL	0.136
NEUROG3	-0.0455
REEP3	0.3815
MARK1	-1.243875
LMBRD1	0.82575
PRPF19	-1.2145
PNMT	2.981
CTGLF1	-1.024
SLC25A16	0.59
EIF2B3	-0.634
RPA2	-0.18075
PAK6	1.537
CCDC26	-4.289875
SEMA3E	-0.406875
MXD4	1.2442
TNFSF10	3.8814
SMARCB1	-0.367166666666667
DTX3L	0.755666666666667
PLA2G4E	0.4285
PPAP2A	1.4505
ULK1	-0.970083333333333
TAS1R3	0.097
SLC2A3	-3.46063636363636
ARID3A	-1.7335
GNG5	-0.06475
ACOX1	-0.7719
KIF5B	0.73925
NUP153	-0.7015
MUC7	-0.05
CSDE1	-1.00778571428571
CLPTM1	-0.215
C3orf23	-0.21125
LRRC17	-1.51766666666667
TTYH3	-1.07475
ATP5B	-0.776
ELF3	2.445
CPSF3L	0.447666666666667
ZNF665	0.663166666666667
TLR6	-0.3127
GPI	-1.352875
RAD9A	0.339
NDST4	-2.8955
AGPAT3	0.9065
MAGI3	2.274
ADORA2A	1.61975
CACNG7	0.1625
CAMK2D	0.226071428571429
CCHCR1	-0.56675
RPS27A	-1.07075
OR10G7	0.213
GCM2	0.287
FAM135B	0.515
E2F1	-0.16175
PLCB3	0.47
OR2AE1	0.3345
COIL	0.9305
CDC25C	-0.776166666666667
RAB11FIP2	-0.00149999999999999
TSC2	0.43175
CTGLF5	-1.111
CCDC108	0.112
OR13C4	0.18525
C10orf81	1.966
PTPRB	1.93075
ACP2	1.077
LAG3	-0.72375
MRPL54	0.207
LOC201175	0.233
ITGB1BP3	-1.89625
SPTAN1	0.5545
SIPA1L2	-0.8285
RCAN2	-0.0495
CDX2	0.77
ECOP	-0.20225
ACTR1A	0.145214285714286
PPARG	-1.71433333333333
BBS10	-0.0966666666666667
TMEM44	-0.6165
BPIL2	0.1435
CITED1	-0.892
IRF6	5.072
PRDM4	0.650666666666667
RRP9	0.00816666666666666
OR10H4	0.334
IL31RA	-0.7985
GNB1L	-1.037
MYBL2	0.00349999999999999
ZNF407	0.281833333333333
PPIG	-0.0736666666666667
TTC18	2.91
RPSA	-0.51
MAPT	1.4045
MRE11A	0.0409285714285714
C8orf37	0.131333333333333
RASGEF1C	-0.430666666666667
STBD1	1.1425
CTAG2	0.731833333333333
MGAT5B	-2.746
ECM1	4.046
RLN1	-0.1325
PARP14	0.4491875
EPB41L1	1.5614
HOXA3	-1.19391666666667
MAGEA9	-4.64525
RPS8	-0.469333333333333
RPS19BP1	-0.56325
FOXJ2	0.633125
C10orf76	0.289
IL17RE	0.2435
C10orf65	-0.17675
ZNF343	-0.586333333333333
FBXO33	-0.022375
UHMK1	1.4383
LY6G6C	0.32125
FGF19	-2.53275
C14orf128	-1.40233333333333
IFIT2	0.852875
TIGD1	-1.09525
S100G	0.7875
GUCY1B3	3.3955
NR3C1	-0.8216
CORO1B	1.73016666666667
PARP11	0.54525
DNALI1	5.04616666666667
OR4N4	0.126375
MAP2K6	-0.9345
FSTL4	0.0025
ANKRD47	1.64875
TMEM171	-1.9645
PNLIP	-0.00449999999999999
YY1	0.3865
CCDC138	-1.57133333333333
AASDHPPT	0.1827
CKS1B	-0.2951
MCM3	-0.5895
ANAPC7	-0.444166666666667
FAM110A	2.60075
CDC37L1	0.892666666666667
THTPA	0.933
NBPF20	-0.265
WDR24	0.433
NPTX2	-3.52925
CBLB	0.229833333333333
CETN1	0.161833333333333
RPUSD1	0.309
FAF1	-0.7575
CDK6	-3.1397
HMX2	0.479
CSK	-0.936333333333333
TEAD2	0.36425
SNAP25	1.2075
TUFT1	1.3766
TMTC3	0.924833333333334
LCK	-2.46825
SGOL1	-0.697
AKTIP	1.74075
FURIN	0.25175
SOX12	0.0025
DEFB103A	-0.243
RAMP1	4.52075
KIR3DX1	-0.189
GAS2L3	-0.37575
PDE8A	-0.8197
EDN3	-0.55625
GMIP	0.38525
SF3A2	0.161
FN3KRP	0.795
SMAD7	1.27625
RHBDD2	0.55
OR11H6	0.282
PPP1R3B	1.2763
C9orf23	-0.1575
CADPS	-2.36625
GOLGA8A	-3.57
TMEM57	1.25516666666667
RGL3	0.965
S100A14	3.25325
FGFR2	0.982
XRCC3	-0.437
RTN4RL2	0.475
MGC3771	1.2925
GH2	-0.00933333333333333
BTBD2	0.5895
LMO2	0.088
RDBP	-0.00962499999999999
ACRBP	-1.6025
AMY2A	1.39675
DUOXA1	-0.0505
PTK7	-0.897666666666667
TWF2	0.6085
FAM80A	-0.69825
TNNI2	-3.60566666666667
GLT25D1	-0.335
OCC-1	-1.927
CYC1	-0.361166666666667
RPL22	-0.441181818181818
MORN3	1.7575
DISP1	0.84075
PRB2	0.1785
CHUK	-0.0325
HR	1.0255
CCDC134	-0.219125
DENND4B	-0.838
C14orf130	-0.074625
RAB33A	-1.804
DCST2	0.375
TNMD	-2.39425
PEX7	1.55775
FAM62A	0.376625
SRD5A2L	0.33275
IL22	-0.24825
RPS26	-0.7305
HOXC5	0.449
SPATA6	0.3345
FLJ38482	1.211875
ZNF234	-0.022
C18orf22	0.6305
SPATA22	0.29825
THOC1	-0.43425
CYP7B1	1.35875
KCNC3	0.29625
C8orf42	-1.1565
ALDH1B1	-0.135
CCDC100	0.1138
ARMC4	0.5725
FAM18B2	0.056
SLC44A1	0.38275
FBXO17	-2.50766666666667
C6orf107	0.12675
C19orf29	-0.01725
ZC3HAV1L	-0.5855
PARP6	0.0053
SULT2A1	-4.8415
C1orf159	-0.0035
TMC1	-0.109
CHST14	0.228375
GAMT	0.134333333333333
SMCP	0.075
TSPAN33	0.0569166666666667
MIDN	0.61925
NOX4	1.60875
RNASEN	-0.0399
TBX1	-1.32916666666667
SALL2	-0.92125
C10orf35	1.432
CYP2E1	-0.31875
LRFN2	2.7115
ACO1	-1.0445
IQCG	1.1773
MEGF9	2.01075
TM7SF4	1.243
PLEKHA1	0.644866666666667
STK33	-3.20875
C1orf210	3.144
SNUPN	-0.32
KIAA0406	0.08
C20orf29	-0.59475
TMEM55B	0.55425
OSTM1	-0.408625
CLCN7	0.661
OTP	0.187
FLJ23049	-0.86075
HEATR4	-0.004
MAP3K10	0.2145
PCDHGA9	0.3815
AMDHD2	1.6215
LCTL	-1.7045
PDCD2L	-1.968
CABLES2	1.142
SLC5A9	-0.70925
CLCA2	-2.40516666666667
MGC16025	-1.345
STRAP	-0.239333333333333
C20orf196	0.084
RRBP1	-0.129166666666667
NAT13	-0.24725
MAT2B	0.39925
CSNK1D	-0.328666666666667
KIR3DL1	0.3715
PRKAG3	0.7205
ZNF599	0.9665
PRM3	1.091
PER2	1.6535
ASPHD1	-3.189
PRMT6	-0.83125
KCNE1L	-1.24314285714286
FAM118A	-0.586
TAF4	0.27675
NDUFB6	0.16125
TRIM9	-1.57933333333333
PMFBP1	-1.23775
KY	0.3515
DKFZp762E1312	-2.39554545454545
CSMD1	-1.5795
TBP	-0.176833333333333
OR1Q1	0.2645
RETNLB	0.546
HPGD	0.667285714285714
DNAJC12	3.01933333333333
FKBP1B	-2.29925
ANKRD24	-0.283
CXXC5	2.16516666666667
IL3	0.21475
DRAM	0.9774
PTCH1	-1.98075
TP53BP1	-0.44775
SLC17A7	-0.179875
COL25A1	-1.0697
AMACR	0.53
RHCG	-0.429
VPS13A	-0.813083333333333
FAM55D	0.1675
PRPF38B	-0.809916666666667
OSBPL6	0.395
PFDN5	-0.4609
CMTM6	1.115875
KCNK12	-1.73975
RP2	0.9105
C16orf52	-1.6615
PICK1	1.4355
IFNE1	-1.592
SEMA4B	0.46675
TYRO3	-2.3655
OR12D2	-0.2275
CSNK1A1	1.1645
FANCF	1.80825
LONP2	1.34575
TBL1Y	-0.61925
LDOC1L	0.097875
CCNC	0.358
C3orf60	0.9175
CHKA	-1.8075
UBAP1	0.44475
MAP3K1	0.278
ANKRD9	-0.41525
FAM92A1	-2.28533333333333
GAB2	-0.3075
AZU1	0.1885
DIS3	-0.5735
C21orf109	-1.362
IQCB1	0.25875
SPATS2	-0.621666666666667
EFCAB3	0.17725
PRB3	-0.01025
FUZ	0.0351666666666667
ZNF813	0.209875
BMPER	-1.17066666666667
HEG1	-0.0795
ALS2CR11	-1.77275
SURF2	-0.2995
PSMC1	-0.0238333333333333
OR2D2	0.253
SLC7A8	1.19283333333333
C4orf40	0.3615
SPATA7	0.00725
MAZ	0.702166666666667
PIN4	1.04075
PDE1A	-0.4605
TAF6L	0.1815
OR2T34	0.418
KIAA0284	1.37
ACADS	1.02045454545455
MKRN2	-0.416
C18orf56	-1.85425
MS4A6E	-0.0821666666666667
GALNT4	0.3873
C22orf31	0.2295
FLJ36070	-0.113
PSME4	-0.1045
TFG	0.1953
EPHX2	1.20375
ANXA5	-0.541625
KRTAP1-1	-0.141
BATF	2.00275
KARS	-0.9075
MSTP9	0.2095
GPR26	-0.136375
CCDC72	0.52925
TEF	0.659166666666667
FOXK1	-0.0767
PRLHR	0.216
EMX1	3.2035
C11orf30	0.09975
ICK	0.846875
THSD7B	0.02075
C21orf100	-0.917
DUOX1	0.1855
EFCAB4B	-0.55975
UBE2G2	-0.589833333333333
C3orf54	0.49325
PARP1	0.18475
FAM60A	-1.1185
C6orf146	0.337
OR9K2	0.28
DDX55	-1.10333333333333
RPS15	-0.0591666666666667
ZNF618	0.783125
DKFZp686D0972	0.44925
SSPO	1.2575
SHFM3P1	0.750666666666667
CPA6	-0.8735
JAG2	1.5905
DEFA3	1.20725
PPBPL2	-0.113666666666667
CD34	4.820375
SLCO4A1	-2.61275
AFG3L1	-0.798166666666667
SHD	-0.7405
RP13-122B23.3	0.0558333333333333
PRKCSH	-0.5825
DPH5	-0.916666666666667
HLA-F	0.954
TBC1D4	-1.04125
RIG	0.169
GLUD1	-0.293666666666667
HNRPCL1	0.718125
HBXIP	-0.40125
RNF207	0.1195
APIP	0.1505
PLA2G3	-3.107
CCDC84	-1.492
MYLIP	0.818307692307692
PHIP	-0.223
AARS2	-1.00333333333333
DHX32	-0.37125
SCAPER	-0.151666666666667
MEN1	-0.09975
NIP7	-0.65
FLJ25404	0.2135
FASTKD3	0.27075
TMEM158	-2.94258333333333
RARA	2.4925
BDH1	1.0915
ANKRD16	0.745
CARM1	-0.374
SS18	-0.102166666666667
IKZF2	-0.93375
MYD88	0.96425
PML	-0.38555
TAF1A	-0.6595
CBFB	-0.336375
HIST1H3H	0.43
C7orf29	-0.936
COMMD4	-0.716166666666667
DPP3	0.02
DAB2	-0.00187499999999999
LOC388882	-0.1185
YPEL4	-1.28525
AGBL3	0.1835
LRP6	-0.4445
SERPINH1	-0.319
TLE1	-1.438
CD244	0.621333333333333
ZDHHC15	1.41025
MGLL	1.7981
PLDN	0.358166666666667
LOC654346	0.627
FAP	2.013
GPR37	1.203
SCARA5	0.179666666666667
EBF4	1.64072727272727
LSM6	-0.66
MLLT1	0.3498125
SLC5A12	-0.48875
A2BP1	-1.7045
COPS5	0.284833333333333
TPM4	1.11264285714286
TNFSF4	0.02
ACADSB	4.39222222222222
HERPUD1	0.34225
BCL2L11	-1.14227777777778
CEP78	-0.524875
CDCA3	-0.970625
WBSCR19	0.3841
MYO1A	-2.672
PPEF1	3.23166666666667
LOC440348	-0.6055
CPEB2	0.304
BPTF	0.9175
RPL21	-0.9868125
GSX2	0.3585
ADPRH	1.08433333333333
C17orf68	0.2735
KCNS1	-1.034
MLLT6	1.1272
PIWIL4	-0.88175
RNF26	-0.8765
RAP1B	0.25875
ADAMTS1	-2.2597
ZNF571	0.76025
P2RY6	-0.386
TRIM21	0.691166666666667
CADM3	-0.11425
NLRC5	0.256333333333333
ADRA2B	-0.169833333333333
LOC90835	0.092125
PCF11	-0.15225
LOC400451	1.26875
GLTSCR1	0.4416
C17orf88	-0.470166666666667
CDH16	-1.69375
FGF7	1.17825
PCSK4	1.02483333333333
NPC1L1	1.844
TAT	1.629375
TBCA	-0.06275
MGC33407	0.13675
GPR115	-0.928
CYGB	1.1475
FNBP4	-0.922333333333333
C12orf43	0.0165
CBL	-0.7686
CLECL1	1.20175
PPAPDC1A	-1.6235
WDR25	0.5295
SGCA	0.8525
C22orf29	-0.0778333333333333
YIPF1	1.25225
GALK2	-1.6535
RAB3B	-2.11416666666667
LOC440087	-0.53575
UCP1	-0.2615
REEP5	1.93325
FADD	1.4482
FOXA1	3.619125
CACNA1A	-0.0251666666666667
ABI1	0.582166666666667
GRIN2D	0.21875
SLC1A4	1.09216666666667
LOC401127	-0.5935
HINT2	0.81425
PLD4	-0.335333333333333
ZNF286A	-1.393
ENY2	-0.08625
IL1F6	0.1525
PXDNL	4.52725
C20orf79	0.00724999999999999
TNFSF13B	1.8415
DENND3	0.452
JARID1D	-3.4775
HIST1H2AK	1.797
LOC93349	-0.9206
SSH1	-0.676
ENSA	0.0035
LOC219854	0.0095
CKAP2	-0.9944
DKFZP564J102	-0.734833333333333
MGC87315	-0.0296666666666667
HNRPAB	0.25325
AMH	-0.011
ZNF526	-0.39
BRUNOL5	-0.3318
CACNG3	0.0423333333333333
TRPM1	-1.7615
PPP2R1A	0.21025
COL2A1	-1.80725
DDN	-0.576666666666667
FLJ25770	1.45666666666667
HK2	0.465785714285714
ELOVL6	-0.7615
MDK	0.541
EPHX1	1.41125
RASSF2	0.424625
DKFZP434B0335	-0.07575
DLX3	-0.368
PRTN3	0.0085
AVPR1A	1.27425
C21orf125	1.786
TNFAIP8	-0.637833333333333
GNB2L1	-0.484
CALCRL	4.16125
SCGB2A2	2.752
UBXD7	-0.2345
ZNF674	-0.0265
TMEM35	-0.389125
BRSK2	-1.376625
HECTD3	0.558166666666667
TMEM188	0.179166666666667
LGALS9	0.98325
SCARB2	0.989833333333333
USP34	0.1835
C17orf28	2.22691666666667
ZDHHC23	0.26475
AQP12B	-0.2455
SLC16A3	-2.8265
APLP2	0.953875
ITIH2	-5.53825
MICAL3	-1.443625
TNNI3K	0.0418
HDAC2	0.00575
PRR7	-0.6818
THBS2	-0.785625
LOC751071	-1.38483333333333
CA2	2.01533333333333
RANBP17	0.09
RLN3	-0.06975
CRYZ	-0.0575
GBAS	-0.015
TAS1R1	-0.42975
MPZL3	0.2315
PCDH8	-1.75825
HSP90B1	-0.39675
KCNK15	2.3425
TNIP2	0.732666666666667
GPR146	0.3025
NOL6	0.184375
SPC25	-1.306
STEAP2	4.505
VAMP3	0.670666666666667
TCIRG1	0.19325
ZP4	-0.0298333333333333
PARL	0.71675
TRIM39	0.126166666666667
KIAA1305	0.6695
CRNN	0.207333333333333
GRN	0.7685
HSH2D	1.91725
SCAMP1	1.5481875
KIAA1913	0.1445
PTS	-0.35175
BANP	0.549857142857143
PRKACG	0.45375
ADCY6	1.12383333333333
C16orf46	0.484
CYP51A1	0.15875
DDC	-5.88325
ANPEP	-0.103333333333333
PROM1	-1.68816666666667
SIGLEC10	2.26275
COPG	0.539
FAM26E	1.313875
TRIP4	0.45525
SNX3	0.377833333333333
C1orf175	1.27516666666667
PPY2	-0.0685
C14orf152	0.53425
FTSJ1	0.0993333333333333
DST	-0.4934
LOC554235	0.182
GLRX5	-0.22075
C20orf12	0.7798
CAB39	-0.166
MSH2	-0.863666666666667
PIP4K2C	0.85825
CYLD	1.1445
WTAP	0.1109375
MGAT4A	3.19133333333333
TSC22D4	0.1705
CHRM2	-1.026
PPYR1	-0.2115
CCNH	0.186
RRM1	-0.52975
ECAT8	-2.75425
LOC400120	-0.03975
GABRA4	-0.37325
C14orf4	1.26433333333333
C1orf59	-3.00225
CTDSPL	0.0383333333333333
NHEDC2	-1.47
PDE11A	-1.83793333333333
KLHL29	-1.87675
CD5	-0.8757
TSPAN9	0.51075
WDR67	-1.656
THUMPD1	0.266
C18orf17	0.052
CLYBL	-1.2085
FLJ13231	-0.000875000000000029
CMBL	1.624625
LECT2	-0.189
NKAPL	1.5235
LOC654780	0.355
OR4C6	0.0965
RAB30	0.7505
TSSK4	-0.1265
TMEM163	1.4855
OSBPL11	0.27
GNB5	-0.728666666666667
CCL21	0.8535
C1orf121	0.1235
FMO2	1.35166666666667
RPTN	0.308
MSTN	0.00999999999999998
VCL	0.227428571428571
FYTTD1	0.2935
C11orf1	-0.76975
CCDC88C	1.020625
HFE	-1.27322222222222
MOGAT1	-0.157
FAM125B	0.699
IRGQ	0.516
RAVER2	-0.02
AKAP5	-0.206
SSSCA1	-0.467
C11orf63	1.974
ACTG2	0.3202
PORCN	-0.9375
DTL	-0.740818181818182
TMEM151	0.256
FAM122C	0.04575
RSAD2	0.6069
BAT4	-0.19
KRTDAP	-2.58483333333333
MYH8	0.06
CRTC3	-0.08675
LRRFIP2	1.5385
INTS4	-0.483166666666667
TTN	-1.25866666666667
SLC26A5	0.474
PLLP	0.65725
RGS6	-0.87275
SRGAP3	-0.217875
ZNF525	-0.082
NBR2	0.3685
C13orf1	-0.2244
ZNF137	0.418
CEP27	-1.48075
BEST2	0.12
RNF121	-0.06025
DMRTC2	-0.3405
C8orf76	0.51825
BCCIP	-0.433625
MEST	-0.32425
HTRA2	-0.0255
ANGPTL2	-0.20725
ILKAP	0.224333333333333
ERAS	0.2335
HBS1L	0.221
CPA5	0.167
TMEM30A	0.432666666666667
CD300LF	2.106
WISP3	0.1065
CRK	0.180571428571429
PDS5A	0.1446
BRPF3	0.2075
NEDD9	-0.601625
SMPDL3B	0.78375
PSG6	-1.74775
PSMD13	0.4555
ETV5	-0.713125
OR51A4	0.534
BTBD7	0.279833333333333
GSTO1	-1.123125
hCG_16001	-0.25
MAD2L1BP	-0.289
COX6A2	0.2515
SCNN1A	1.01433333333333
LSM1	-0.0305
UGT2B11	-3.58325
IDUA	0.85475
PPP2R3C	0.0273333333333333
COX11	-0.9495
PDZK1	-3.664
ZNF443	1.15966666666667
MGC21874	1.32366666666667
ZNF323	1.1727
KRTAP10-10	0.0145
CXCL6	0.1045
SLC34A2	1.1812
LOC284402	0.1385
NPTN	0.403833333333333
UPP1	-1.71458333333333
SLC6A9	0.6895
OR7G3	-0.1135
CISD1	-0.816666666666667
ZNF545	0.145333333333333
SYT14	-0.896
NT5C3L	0.1625
ZNHIT3	0.6735
SNRPD3	0.4105
KIAA0701	-0.1005
UNC93B1	-0.82
GMNN	-1.0895
SPCS2	0.217166666666667
LOC388524	-0.575
NAPRT1	0.697875
PNLIPRP1	-0.18075
OR6V1	0.283
PRKAB1	0.5895
EYA4	-2.44533333333333
KIF20A	-1.4195
ALG10	0.0655
ITPKC	0.850833333333333
LMX1B	2.141
RPUSD4	-0.907166666666667
C7orf34	-0.0181666666666667
DLGAP2	0.186125
PFN1	-0.3411
MICALL2	-0.473166666666667
ZNF654	0.7895
SS18L1	0.158125
SLC16A8	0.32725
MKI67IP	-0.192166666666667
ITGB3	-0.280125
TCEA3	2.41383333333333
CEP152	-1.6696875
CLIP1	1.1385
ZNF75	0.5536875
ATP5C1	0.475
NUDT5	-0.189833333333333
PSCDBP	-0.62725
UBP1	-0.393
RBM27	-0.22025
C13orf15	2.131
ZNF282	0.0848333333333334
ZNF222	-0.4924
COL10A1	4.8565
PRDM15	-1.038875
TTTY5	0.1725
FAM9C	-0.45075
C20orf67	1.0635
GNG13	0.732
F12	-0.4115
C1orf41	-0.5115
CPXCR1	0.00600000000000001
