Hybridization REF	TCGA-A2-A0CW-01A-21R-A115-07
VSIG2	1.869
KIAA1128	1.10725
USO1	-0.129833333333333
NUDT4	0.0615
CLDN1	-3.1625
OR4Q3	0.6895
FASTK	0.342
ICOS	2.421
LDB1	0.71175
GSTA5	-0.657
ABCC1	-1.87683333333333
FAM54A	-0.46425
PCBP2	-0.862666666666667
NUP205	-0.676
ACTA1	2.1035
GABBR2	-1.678
PIP5K1B	0.392166666666667
AGXT	-0.302333333333333
RNF181	0.934
ATP8A2	2.65375
AFTPH	1.555625
FGF21	0.342
FCER1G	2.156875
SNTB1	-2.502
SLC24A3	0.51075
TXNL4B	-0.1908
RPL10L	-1.713
LOC389517	-0.4138
TSGA13	0.186
SHOX2	-0.866666666666667
ITGA7	-1.1735
KCNIP2	-0.299666666666667
KLF13	-0.4375
ZFAND2A	-0.7475
CEACAM1	-0.962642857142857
PFKFB4	-2.00183333333333
MED19	0.441
LRRC57	0.428333333333333
RNF11	0.872
ANKRD32	-1.3985
P117	0.0175
OBFC2A	-0.790166666666667
POLD3	-0.0236666666666667
RAB18	0.902125
TPH2	-0.0391666666666667
PHB	-0.9306
JDP2	0.157333333333333
MORF4L1	-0.8499
POU2F1	-0.07
CNNM2	0.0184166666666667
LOXHD1	-0.346666666666667
ZC3H15	0.74525
ELK3	0.139333333333333
FAM111B	0.90775
CBLC	3.53916666666667
SBNO1	0.92925
ANKMY2	-2.16
PLEKHA5	0.479
DHX58	2.06266666666667
ARCN1	-0.325666666666667
TREML1	0.4448
KNCN	-0.019
SEC24A	-0.043
PSCA	3.98525
MGC24125	0.959333333333333
DNA2L	-0.1435
CIB4	-0.197875
HIGD2A	0.181666666666667
TBX6	0.0413333333333333
TTLL5	-1.055
SGK3	1.82566666666667
GCN1L1	-0.39075
AMOT	0.2027
LDOC1	-0.0175
NRK	0.315833333333333
ASB9	-0.708
NAT1	5.3635
TRAFD1	-0.28675
PEAR1	-0.052
FAM36A	-0.371375
OR1S2	0.534166666666667
LOC388323	-2.161
PGS1	0.637666666666667
LEPREL1	-4.11925
TFF1	0.427166666666667
HAP1	0.08025
EPHB2	-0.9915
ACTG1	0.425
ZFP42	2.26233333333333
HAVCR2	0.8241
NME1	-0.2925
SNX26	0.132583333333333
LACTB	0.719
ZKSCAN2	0.032375
C5orf35	1.38075
ANKS3	-1.14525
RBM28	-0.225
DKFZP586P0123	-0.67475
HNRNPA1	-1.09866666666667
BCAS3	-1.25858333333333
FLJ20184	0.5465
POLA2	-0.511166666666667
TMC7	-1.224
HSD17B6	0.8705
ZNF658B	1.40333333333333
TTTY10	-0.0106666666666667
RANBP9	-0.39575
CPNE7	-0.679833333333333
EVL	1.10352941176471
LNX1	0.400583333333333
IFNA21	-0.217
CFD	0.11675
PYCARD	1.35566666666667
MYBPC2	-1.777
ENPP3	-1.635
ACSL4	-2.5975
LOC440258	0.7545
TMEM176B	3.0295
SOX2	1.556375
SCO1	-0.275333333333333
COMT	-0.76625
AOC2	-0.2995
PDLIM5	1.47542857142857
SPHK2	0.182166666666667
NXPH2	1.286
GPR108	-0.221166666666667
RAD51L1	-0.1625
TMEM54	1.76425
LETMD1	-1.701
SLC6A17	0.59875
KRT75	-0.2975
STT3B	-0.706666666666667
CD3EAP	0.3615
TMEM63A	1.31875
DUSP13	0.0935
CD1C	-1.27766666666667
LASS2	0.356666666666667
AVP	1.4135
PITPNM1	-1.375125
FLJ22795	-1.415
MCTP1	-3.00775
TRIM68	1.138
UCK2	-0.777833333333333
ABHD1	-0.304
FAM50A	-0.99
RNASEH1	0.0451666666666667
PCP2	1.1995
OR52H1	0.409
C20orf149	2.14975
RBP5	-0.963833333333333
HYAL3	0.0845
CLPB	-0.259
SMNDC1	-0.38625
DONSON	-0.904166666666667
FLJ27523	0.1125
BARHL2	0.00599999999999999
SLC30A9	0.0681666666666667
TMPRSS11B	0.57375
E2F8	0.1035
CCDC25	-0.500416666666667
C14orf48	-0.3116
C20orf116	0.692
TSPAN11	-0.0115
YIF1B	0.284833333333333
FAM12B	1.362
OR1L6	0.5995
HPN	-1.4918
NBN	0.81725
C14orf94	-1.07283333333333
OCLM	-0.7825
ZSCAN18	0.3276
L3MBTL	-0.0561
TSTA3	2.17016666666667
RAC1	-0.749625
C19orf15	0.209333333333333
NFE2	-3.769
KLK14	0.495
ARSF	-0.0545
MAST2	0.200833333333333
AMICA1	1.9155
GTF2A1	0.81475
ATP1A3	-1.314
TC2N	2.4749
PNKP	-0.532
ODZ2	-2.170875
MATR3	0.368625
S100P	0.776875
KRT82	0.753
CA13	-0.7858
PROZ	-1.72383333333333
AASDH	0.494375
C19orf40	1.40883333333333
DCK	-0.120615384615385
FAM5C	-1.8325
SLC6A4	3.293
MID1IP1	-0.476375
TESSP5	0.1665
TMOD4	-0.621833333333333
DOCK2	-1.478
TUG1	0.667875
NUP214	-0.368
DPYSL2	-1.12481818181818
GOLM1	1.47025
MPFL	0.381
SOX13	1.44925
SDCCAG8	0.9588
KEL	-2.33066666666667
NUP210L	-2.89275
GK	-0.2605
DNAJB1	-0.16825
ALPK3	0.2535
CHID1	-0.3566
CYLC2	-0.0368333333333333
IKZF5	0.2215
C8orf51	2.84283333333333
PPM1J	1.86225
GIMAP8	2.63433333333333
GPR101	0.016
NR2F1	-1.5335
ACAD8	0.02925
RBM35A	2.90175
GNAI2	-0.535166666666667
METTL8	0.2905
SLC39A7	-0.36925
FBXO8	0.12075
CAMK1	-0.5785
RFC3	-1.033
FAM129A	-1.08271428571429
ILF2	-0.19375
FGFBP3	-0.81
NOM1	-0.581333333333333
PSMA3	-0.154
ASCC3	0.5921
ZYG11A	0.6945
SOX21	-1.22875
LYRM1	-0.66625
DEFB1	1.703
LOC91431	-2.33
OR7C2	1.7055
FAM46B	0.67925
TMEM18	-0.571125
ARHGAP30	0.372166666666667
TMEM86A	2.01166666666667
EPHA2	-2.58716666666667
C10orf46	0.7878
TCHH	-1.53666666666667
C3orf30	-0.0661666666666667
LOC285636	0.0441666666666667
PAIP2	-0.1405
CYP2U1	-0.172
C12orf34	2.11775
SARS2	-0.431666666666667
ZCWPW1	0.37275
SAMD12	3.0145
KIAA1430	-0.093125
ACAT1	-0.98525
MEOX1	-0.069
ADAMDEC1	6.22
PHKA2	-0.7995
CARD11	-1.3425
CALML4	-2.195
TSSC1	-0.47425
TMEM45A	-2.63022222222222
MPP7	0.032375
POU1F1	0.222
SLC2A13	-0.4467
FBN2	0.513142857142857
ZC3H7A	-0.2262
LAIR2	0.12575
ST3GAL1	1.68466666666667
LCT	-3.24225
GEMIN8	0.212833333333333
KLF16	0.694
HIF3A	-0.071
FAM44A	0.761785714285714
AQP10	-1.0812
PLA2G2A	-1.6695
FOLH1	1.76083333333333
C20orf186	0.3155
MAPKAP1	-1.880125
SPRR2D	-1.3605
UBQLN4	-0.309666666666667
RSHL1	-0.00316666666666664
PIAS3	0.379
MRPL24	0.91475
GREB1	0.54725
FAM27E3	-2.441
NUP62CL	-3.21125
NEUROG3	0.712
REEP3	1.66575
MARK1	-0.85075
LMBRD1	0.557
PRPF19	0.252
PNMT	0.0251666666666667
CTGLF1	-1.8465
SLC25A16	2.24925
EIF2B3	-0.521
RPA2	-1.06325
PAK6	1.74616666666667
CCDC26	-3.791125
SEMA3E	2.537
MXD4	0.3157
TNFSF10	3.4324
SMARCB1	-0.708666666666667
DTX3L	2.41066666666667
PLA2G4E	0.0565
PPAP2A	0.586
ULK1	0.02375
TAS1R3	0.34
SLC2A3	-3.77990909090909
ARID3A	-0.5195
GNG5	0.889
ACOX1	0.571
KIF5B	1.05
NUP153	-0.38325
MUC7	-0.131
CSDE1	-1.28042857142857
CLPTM1	-0.59075
C3orf23	-0.3055
LRRC17	-2.30266666666667
TTYH3	-1.72075
ATP5B	-1.0025
ELF3	2.3392
CPSF3L	-0.150166666666667
ZNF665	0.700166666666667
TLR6	-0.1158
GPI	-0.66425
RAD9A	-0.13
NDST4	-3.4745
AGPAT3	1.5
MAGI3	2.265
ADORA2A	-0.900875
CACNG7	0.0325
CAMK2D	-0.484
CCHCR1	0.057
RPS27A	0.028
OR10G7	0.220833333333333
GCM2	-0.2215
FAM135B	2.4287
E2F1	-0.2075
PLCB3	0.56925
OR2AE1	0.573
COIL	-0.391166666666667
CDC25C	0.136166666666667
RAB11FIP2	-0.16625
TSC2	0.1405
CTGLF5	-1.7625
CCDC108	0.2263
OR13C4	0.3
C10orf81	6.326
PTPRB	0.746
ACP2	1.213
LAG3	2.28275
MRPL54	0.2155
LOC201175	1.763
ITGB1BP3	-1.33275
SPTAN1	-0.193166666666667
SIPA1L2	0.8785
RCAN2	-0.9645
CDX2	0.771
ECOP	0.9025
ACTR1A	0.626642857142857
PPARG	-2.20066666666667
BBS10	-0.508333333333333
TMEM44	-1.41925
BPIL2	0.83725
CITED1	-2.24175
IRF6	3.86
PRDM4	0.6745
RRP9	-0.839833333333333
OR10H4	0.4645
IL31RA	-1.0315
GNB1L	-2.19833333333333
MYBL2	-0.155
ZNF407	0.218833333333333
PPIG	0.223666666666667
TTC18	2.38275
RPSA	-1.258
MAPT	-0.65275
MRE11A	-0.0909285714285714
C8orf37	-0.130666666666667
RASGEF1C	0.573833333333333
STBD1	-1.84975
CTAG2	-0.745833333333333
MGAT5B	-2.08233333333333
ECM1	-0.10475
RLN1	1.0255
PARP14	2.267875
EPB41L1	1.7565
HOXA3	-1.54666666666667
MAGEA9	-1.29275
RPS8	-1.11066666666667
RPS19BP1	0.10725
FOXJ2	-0.212625
C10orf76	0.6575
IL17RE	0.9605
C10orf65	0.37275
ZNF343	-0.292333333333333
FBXO33	0.3675
UHMK1	1.715
LY6G6C	0.724
FGF19	-2.743
C14orf128	0.510833333333333
IFIT2	4.262375
TIGD1	-0.77975
S100G	-1.3215
GUCY1B3	1.1505
NR3C1	-0.2911
CORO1B	0.734833333333333
PARP11	0.838
DNALI1	4.588
OR4N4	0.612
MAP2K6	-0.3805
FSTL4	0.89125
ANKRD47	1.018875
TMEM171	-0.6395
PNLIP	0.40475
YY1	-0.419833333333333
CCDC138	-1.06033333333333
AASDHPPT	0.266
CKS1B	0.4289
MCM3	-1.2195
ANAPC7	-0.606
FAM110A	2.432
CDC37L1	1.08033333333333
THTPA	0.854
NBPF20	-0.3225
WDR24	1.3235
NPTX2	-2.8695
CBLB	0.901
CETN1	0.069
RPUSD1	0.7255
FAF1	-0.9395
CDK6	-2.8444
HMX2	-0.0845
CSK	-0.863166666666667
TEAD2	0.588
SNAP25	0.922
TUFT1	1.3537
TMTC3	1.11383333333333
LCK	-2.056
SGOL1	-1.18233333333333
AKTIP	0.85975
FURIN	-0.6785
SOX12	0.0266666666666667
DEFB103A	-0.60325
RAMP1	4.118
KIR3DX1	-0.62
GAS2L3	0.51925
PDE8A	-0.9015
EDN3	-0.632
GMIP	1.4635
SF3A2	0.71175
FN3KRP	0.61325
SMAD7	0.21025
RHBDD2	-0.153
OR11H6	0.889
PPP1R3B	1.5037
C9orf23	0.759
CADPS	-1.66525
GOLGA8A	-1.591375
TMEM57	0.191666666666667
RGL3	0.905
S100A14	2.7325
FGFR2	3.1615625
XRCC3	-0.486
RTN4RL2	0.67525
MGC3771	1.3535
GH2	0.237666666666667
BTBD2	-0.76675
LMO2	-1.0485
RDBP	-0.02025
ACRBP	-1.606
AMY2A	0.4925
DUOXA1	0.807
PTK7	-0.5325
TWF2	-0.416333333333333
FAM80A	0.58475
TNNI2	-2.55166666666667
GLT25D1	-1.20716666666667
OCC-1	-0.85775
CYC1	0.563
RPL22	-1.27631818181818
MORN3	1.578
DISP1	0.78175
PRB2	0.0995
CHUK	-0.228
HR	1.065625
CCDC134	0.191125
DENND4B	-1.678
C14orf130	-0.2095
RAB33A	-1.63
DCST2	1.191
TNMD	-2.57725
PEX7	0.79725
FAM62A	0.166125
SRD5A2L	1.58025
IL22	0.03
RPS26	0.550333333333333
HOXC5	0.588
SPATA6	0.825
FLJ38482	0.712875
ZNF234	0.7675
C18orf22	0.737
SPATA22	0.82625
THOC1	-0.99725
CYP7B1	1.7135
KCNC3	0.90575
C8orf42	0.311
ALDH1B1	-0.478833333333333
CCDC100	0.388
ARMC4	-4.30975
FAM18B2	-0.116
SLC44A1	0.7665
FBXO17	-1.60183333333333
C6orf107	0.67
C19orf29	-1.20125
ZC3HAV1L	0.49575
PARP6	0.3971
SULT2A1	-4.701375
C1orf159	-0.1305
TMC1	0.448666666666667
CHST14	-0.85475
GAMT	0.0255
SMCP	0.531166666666667
TSPAN33	0.196416666666667
MIDN	0.124
NOX4	1.20025
RNASEN	-0.2616
TBX1	1.648
SALL2	-0.32925
C10orf35	1.53125
CYP2E1	-2.17842857142857
LRFN2	3.50266666666667
ACO1	-1.56933333333333
IQCG	0.7643
MEGF9	1.3025
TM7SF4	1.6015
PLEKHA1	0.658666666666667
STK33	-3.39
C1orf210	2.7495
SNUPN	0.1971
KIAA0406	-0.8727
C20orf29	0.821
TMEM55B	0.61375
OSTM1	-0.92025
CLCN7	0.53425
OTP	0.08875
FLJ23049	0.461
HEATR4	1.86
MAP3K10	0.9675
PCDHGA9	0.6135
AMDHD2	1.11625
LCTL	-1.819
PDCD2L	-0.4185
CABLES2	1.26875
SLC5A9	-0.564
CLCA2	0.230833333333333
MGC16025	-1.049
STRAP	-1.37283333333333
C20orf196	-0.583
RRBP1	0.460666666666667
NAT13	0.785
MAT2B	-0.22875
CSNK1D	-0.249166666666667
KIR3DL1	0.43725
PRKAG3	-0.093
ZNF599	0.4415
PRM3	1.1835
PER2	0.517333333333333
ASPHD1	-2.0265
PRMT6	0.1175
KCNE1L	-0.418714285714286
FAM118A	0.0628333333333333
TAF4	1.8545
NDUFB6	0.813
TRIM9	-2.19975
PMFBP1	-0.85525
KY	-0.058
DKFZp762E1312	-1.98081818181818
CSMD1	-1.46525
TBP	-0.371
OR1Q1	0.300166666666667
RETNLB	0.767
HPGD	-0.671071428571429
DNAJC12	1.92533333333333
FKBP1B	-3.04975
ANKRD24	-0.607833333333333
CXXC5	1.42966666666667
IL3	0.522125
DRAM	1.7515
PTCH1	-2.06825
TP53BP1	-0.084
SLC17A7	-0.0968571428571428
COL25A1	-1.4676
AMACR	0.3255
RHCG	-0.27025
VPS13A	-0.100666666666667
FAM55D	0.2365
PRPF38B	-0.577333333333333
OSBPL6	0.62
PFDN5	-0.1894
CMTM6	0.21475
KCNK12	-1.3865
RP2	0.076
C16orf52	-2.088
PICK1	0.435
IFNE1	-1.74566666666667
SEMA4B	-0.279
TYRO3	-1.76725
OR12D2	-0.5675
CSNK1A1	0.2846
FANCF	1.27325
LONP2	1.397125
TBL1Y	1.0855
LDOC1L	-0.509125
CCNC	0.408
C3orf60	0.082
CHKA	0.0585
UBAP1	0.39475
MAP3K1	2.0975
ANKRD9	-0.7125
FAM92A1	-0.84
GAB2	0.345625
AZU1	0.11825
DIS3	-0.872916666666667
C21orf109	-1.42975
IQCB1	-0.03225
SPATS2	-0.307333333333333
EFCAB3	0.31725
PRB3	0.94875
FUZ	0.798
ZNF813	0.995
BMPER	-1.70866666666667
HEG1	-1.212625
ALS2CR11	-1.6055
SURF2	0.9
PSMC1	-0.410333333333333
OR2D2	0.4195
SLC7A8	1.13616666666667
C4orf40	0.432
SPATA7	-0.30025
MAZ	-0.49075
PIN4	-1.23225
PDE1A	-1.807
TAF6L	0.507833333333333
OR2T34	0.031
KIAA0284	-0.17075
ACADS	0.172545454545455
MKRN2	-1.1305
C18orf56	-2.77875
MS4A6E	-0.182166666666667
GALNT4	0.7534
C22orf31	-0.0585
FLJ36070	0.95
PSME4	1.009
TFG	-0.607
EPHX2	0.030625
ANXA5	-0.676375
KRTAP1-1	0.0119
BATF	1.6285
KARS	-1.21875
MSTP9	-0.5125
GPR26	-0.069875
CCDC72	0.0355
TEF	0.114833333333333
FOXK1	-1.69
PRLHR	-0.711
EMX1	1.0745
C11orf30	0.21825
ICK	1.137875
THSD7B	-0.8295
C21orf100	-1.8355
DUOX1	0.0625
EFCAB4B	0.7085
UBE2G2	-0.509833333333333
C3orf54	-0.29225
PARP1	-0.35
FAM60A	1.3435
C6orf146	0.20825
OR9K2	0.645
DDX55	-0.7705
RPS15	-0.182083333333333
ZNF618	0.8995
DKFZp686D0972	-1.22825
SSPO	0.62
SHFM3P1	-0.126833333333333
CPA6	-1.15975
JAG2	-0.14625
DEFA3	0.532
PPBPL2	0.1946
CD34	3.777125
SLCO4A1	-1.672375
AFG3L1	-0.975833333333333
SHD	-0.789
RP13-122B23.3	-0.302166666666667
PRKCSH	-0.555333333333333
DPH5	-0.938333333333333
HLA-F	2.272875
TBC1D4	-0.89575
RIG	-0.668
GLUD1	0.5635
HNRPCL1	-0.0345
HBXIP	0.55975
RNF207	-0.995
APIP	-0.3705
PLA2G3	-3.064
CCDC84	-1.3565
MYLIP	0.981769230769231
PHIP	0.138
AARS2	-0.332833333333333
DHX32	0.002
SCAPER	0.00866666666666666
MEN1	-0.423375
NIP7	-0.43025
FLJ25404	0.5925
FASTKD3	-0.3145
TMEM158	-2.79341666666667
RARA	1.00225
BDH1	0.679
ANKRD16	1.058
CARM1	-0.9515
SS18	0.0778333333333333
IKZF2	0.165416666666667
MYD88	-0.4285
PML	0.9396
TAF1A	-0.6405
CBFB	0.28925
HIST1H3H	-0.471333333333333
C7orf29	-1.2705
COMMD4	-0.0283333333333333
DPP3	0.31925
DAB2	-0.585
LOC388882	0.522
YPEL4	-0.95125
AGBL3	0.63225
LRP6	-0.3259
SERPINH1	-0.465
TLE1	1.6545
CD244	0.4145
ZDHHC15	-1.6355
MGLL	0.2115
PLDN	-0.264583333333333
LOC654346	2.3045
FAP	1.566
GPR37	1.3225
SCARA5	-0.987
EBF4	1.82145454545455
LSM6	-0.1855
MLLT1	-0.5729375
SLC5A12	0.793
A2BP1	-1.96833333333333
COPS5	-0.3215
TPM4	0.725357142857143
TNFSF4	0.1825
ACADSB	1.4235
HERPUD1	-0.1295
BCL2L11	-5.55555555555741e-05
CEP78	-0.800625
CDCA3	-0.442
WBSCR19	0.556
MYO1A	-1.963
PPEF1	1.38883333333333
LOC440348	-0.3435
CPEB2	1.177375
BPTF	0.782833333333333
RPL21	-0.145
GSX2	-0.2845
ADPRH	0.955166666666667
C17orf68	0.464666666666667
KCNS1	1.38583333333333
MLLT6	-0.672
PIWIL4	-0.237
RNF26	-0.4125
RAP1B	-0.353625
ADAMTS1	-3.5775
ZNF571	1.1545
P2RY6	1.65125
TRIM21	1.43916666666667
CADM3	0.257
NLRC5	0.807666666666667
ADRA2B	0.566666666666667
LOC90835	-0.61225
PCF11	0.348
LOC400451	1.515
GLTSCR1	0.5209
C17orf88	-0.585666666666667
CDH16	-1.53675
FGF7	1.54875
PCSK4	0.186666666666667
NPC1L1	-1.1535
TAT	-0.1245
TBCA	0.613
MGC33407	0.17325
GPR115	-0.52175
CYGB	-0.2745
FNBP4	-0.738833333333333
C12orf43	-0.29325
CBL	0.2558
CLECL1	1.48825
PPAPDC1A	0.826
WDR25	-0.614333333333333
SGCA	-0.447
C22orf29	0.418333333333333
YIPF1	0.566
GALK2	-1.4975
RAB3B	-3.16966666666667
LOC440087	-0.5895
UCP1	-0.7295
REEP5	0.882625
FADD	0.1333
FOXA1	3.541125
CACNA1A	-0.258
ABI1	-0.0288333333333333
GRIN2D	0.918
SLC1A4	0.0191666666666667
LOC401127	0.681
HINT2	0.9275
PLD4	0.189333333333333
ZNF286A	-0.53625
ENY2	0.74075
IL1F6	0.045
PXDNL	1.6555
C20orf79	-0.12025
TNFSF13B	3.44
DENND3	-0.479625
JARID1D	-3.793
HIST1H2AK	1.168125
LOC93349	0.6931
SSH1	-0.2293
ENSA	0.57025
LOC219854	0.232166666666667
CKAP2	-0.586
DKFZP564J102	-0.479333333333333
MGC87315	1.98966666666667
HNRPAB	-0.12375
AMH	-1.8425
ZNF526	0.657
BRUNOL5	0.0211
CACNG3	0.134833333333333
TRPM1	-2.0555
PPP2R1A	-0.246125
COL2A1	-1.9585
DDN	-0.268166666666667
FLJ25770	9.25185853854297e-18
HK2	-0.217071428571429
ELOVL6	-1.311875
MDK	2.25
EPHX1	1.45175
RASSF2	0.399375
DKFZP434B0335	-0.02975
DLX3	1.0745
PRTN3	-0.56425
AVPR1A	0.3465
C21orf125	1.36375
TNFAIP8	-1.289
GNB2L1	-0.82125
CALCRL	3.27925
SCGB2A2	5.93116666666667
UBXD7	0.1075
ZNF674	0.015
TMEM35	-0.851125
BRSK2	-0.572375
HECTD3	-0.411666666666667
TMEM188	-0.329083333333333
LGALS9	2.640125
SCARB2	0.6725
USP34	-0.254583333333333
C17orf28	2.18666666666667
ZDHHC23	1.43475
AQP12B	0.056
SLC16A3	-2.39325
APLP2	0.170375
ITIH2	-5.20925
MICAL3	-1.13275
TNNI3K	0.8761
HDAC2	0.620625
PRR7	-0.0617000000000001
THBS2	-1.49025
LOC751071	-0.3165
CA2	0.453166666666667
RANBP17	1.13575
RLN3	0.19525
CRYZ	-1.06116666666667
GBAS	-0.4505
TAS1R1	-0.29075
MPZL3	1.1095
PCDH8	-2.5075
HSP90B1	0.327583333333333
KCNK15	1.6455
TNIP2	-0.621833333333333
GPR146	-1.2475
NOL6	-0.335125
SPC25	-0.906888888888889
STEAP2	-0.800285714285714
VAMP3	-0.0605
TCIRG1	0.73
ZP4	-0.271333333333333
PARL	-0.0685
TRIM39	0.280333333333333
KIAA1305	0.2575
CRNN	-0.0345
GRN	0.39275
HSH2D	-0.0675
SCAMP1	0.83775
KIAA1913	-0.218
PTS	0.005
BANP	0.3565
PRKACG	0.10875
ADCY6	0.136
C16orf46	0.594
CYP51A1	0.63875
DDC	-5.22975
ANPEP	-2.128
PROM1	-0.501666666666667
SIGLEC10	1.66625
COPG	0.186
FAM26E	0.424875
TRIP4	0.3
SNX3	0.1285
C1orf175	0.531
PPY2	-0.035
C14orf152	0.84075
FTSJ1	-1.1115
DST	-0.0708500000000001
LOC554235	0.34375
GLRX5	-0.5525
C20orf12	0.987
CAB39	-0.495333333333333
MSH2	-1.34766666666667
PIP4K2C	1.09375
CYLD	0.586
WTAP	0.0358125
MGAT4A	1.97111111111111
TSC22D4	0.101
CHRM2	-2.0045
PPYR1	0.275166666666667
CCNH	-0.369166666666667
RRM1	-0.5785
ECAT8	-3.0935
LOC400120	-0.314666666666667
GABRA4	-0.0585
C14orf4	0.445
C1orf59	1.63175
CTDSPL	-0.727583333333333
NHEDC2	-2.3955
PDE11A	-1.4518125
KLHL29	-2.52125
CD5	-0.4251
TSPAN9	1.636625
WDR67	0.13425
THUMPD1	0.3915
C18orf17	0.38325
CLYBL	-0.875333333333333
FLJ13231	0.6455
CMBL	1.4485
LECT2	-0.51525
NKAPL	1.412
LOC654780	0.328
OR4C6	-1.967
RAB30	2.48916666666667
TSSK4	-0.1085
TMEM163	2.968
OSBPL11	0.535833333333333
GNB5	-0.515666666666667
CCL21	0.7885
C1orf121	0.764333333333333
FMO2	1.17633333333333
RPTN	1.474
MSTN	-0.594
VCL	-0.532142857142857
FYTTD1	0.55225
C11orf1	1.00125
CCDC88C	0.991625
HFE	0.216555555555556
MOGAT1	-0.652
FAM125B	0.615833333333333
IRGQ	0.427
RAVER2	0.24825
AKAP5	0.2065
SSSCA1	0.98275
C11orf63	1.519375
ACTG2	0.264
PORCN	-1.243
DTL	-1.57918181818182
TMEM151	0.40025
FAM122C	-1.27975
RSAD2	4.6411
BAT4	0.1305
KRTDAP	-0.466333333333333
MYH8	0.011875
CRTC3	-1.1035
LRRFIP2	-0.9307
INTS4	-0.161166666666667
TTN	-1.63983333333333
SLC26A5	0.965
PLLP	-0.91325
RGS6	-0.805125
SRGAP3	0.718125
ZNF525	0.501166666666667
NBR2	-1.445
C13orf1	-0.364
ZNF137	0.854
CEP27	-0.72875
BEST2	0.104
RNF121	0.668
DMRTC2	4.80925
C8orf76	1.17425
BCCIP	-0.65025
MEST	-0.59775
HTRA2	-0.7235
ANGPTL2	-0.3835
ILKAP	-0.678166666666667
ERAS	-0.0425
HBS1L	0.00787500000000001
CPA5	0.404
TMEM30A	0.862333333333333
CD300LF	2.5085
WISP3	-0.2045
CRK	-0.170857142857143
PDS5A	0.3447
BRPF3	0.877166666666667
NEDD9	-0.413375
SMPDL3B	0.135
PSG6	-1.55475
PSMD13	0.401
ETV5	-3.1535
OR51A4	0.3435
BTBD7	0.237333333333333
GSTO1	-0.502
hCG_16001	0.1275
MAD2L1BP	0.4905
COX6A2	0.901
SCNN1A	2.478
LSM1	0.720333333333333
UGT2B11	-1.9435
IDUA	0.11775
PPP2R3C	-0.185166666666667
COX11	-0.422666666666667
PDZK1	2.171
ZNF443	0.890833333333333
MGC21874	0.840666666666667
ZNF323	0.5773
KRTAP10-10	0.5355
CXCL6	-0.0235
SLC34A2	1.0291
LOC284402	0.2755
NPTN	0.987333333333333
UPP1	-2.16766666666667
SLC6A9	-0.5865
OR7G3	-0.29125
CISD1	-0.224
ZNF545	-0.753666666666667
SYT14	-0.0525
NT5C3L	-1.27283333333333
ZNHIT3	-0.1745
SNRPD3	-0.15175
KIAA0701	0.23475
UNC93B1	1.41216666666667
GMNN	-1.26325
SPCS2	0.474833333333333
LOC388524	-0.793
NAPRT1	2.55925
PNLIPRP1	-0.5905
OR6V1	0.529
PRKAB1	-1.134
EYA4	-2.90316666666667
KIF20A	-1.1675
ALG10	1.64025
ITPKC	1.85416666666667
LMX1B	2.3175
RPUSD4	-1.28666666666667
C7orf34	-0.200333333333333
DLGAP2	0.175142857142857
PFN1	-0.9591
MICALL2	-0.330666666666667
ZNF654	0.4835
SS18L1	0.914625
SLC16A8	0.28375
MKI67IP	0.2345
ITGB3	-1.16575
TCEA3	2.262
CEP152	-1.39475
CLIP1	1.086125
ZNF75	-0.303625
ATP5C1	-0.000166666666666667
NUDT5	-0.463666666666667
PSCDBP	0.0885
UBP1	-0.5495
RBM27	0.83225
C13orf15	0.9705
ZNF282	0.0496666666666667
ZNF222	-0.0912
COL10A1	5.0415
PRDM15	-1.128875
TTTY5	0.377
FAM9C	-0.708333333333333
C20orf67	0.5795
GNG13	0.382
F12	-0.2545
C1orf41	-0.1685
CPXCR1	-0.078
GSK3A	-0.25025
SUPT6H	-0.280166666666667
PI16	-0.787333333333333
ELL2	-1.52683333333333
C9orf167	-3.02616666666667
PVRL3	-3.0914
FLJ38596	0.90025
ADAM20	-0.3425
GPR89A	0
GPR87	-2.6095
ZNF30	0.119
SMR3B	0.9315
ZNF770	0.295875
TRPC4AP	-0.654666666666667
DKFZP686E2158	0.677166666666667
C2orf28	0.5465
FREM1	-2.294
LAMA4	-0.476
ADPRHL2	-0.176
EIF4G2	0.416333333333333
GUCA1A	-0.666
CTNNA2	-0.9375
NUDT15	-0.354166666666667
CEPT1	0.196166666666667
ZNFX1	2.5604
CCDC92	0.262
TDRD1	-0.3405
KCNK5	-1.95116666666667
ETNK1	-0.289083333333333
LTA	0.561
TTPA	0.951
B3GALNT2	1.202875
SC65	-1.0825
PEX5L	-1.5525
EPS15L1	0.22975
MGEA5	-0.3435
HIST1H3A	1.38825
ING1	0.269625
BCAT1	-4.169875
ORC6L	-1.40290909090909
KLK11	-5.22683333333333
C19orf28	-1.8505
DNER	-4.318625
MED22	-0.611785714285714
ETV6	0.735166666666667
CHAC2	-2.01225
CD300E	0.719
CEBPB	1.04116666666667
ZNF398	-0.677
LRCH3	-0.207
HMGA1	-0.127333333333333
CAPN7	1.91683333333333
MGC5566	-2.75025
CCL3	2.157125
NANOS1	-0.51225
ZFYVE19	0.1705
APITD1	-0.175166666666667
PARD3	-0.968625
IRAK4	0.65
SERPINI2	0.152
CEP170L	0.23375
TTC9	2.089125
MYOM3	-1.51525
MLPH	0.317375
LOC222699	1.0615
