Hybridization REF	TCGA-A2-A0YC-01A-11R-A109-07
GPR174	-1.044
ATP6V0A2	-0.61575
KIAA0319L	0.2125
XKRX	1.226
DOPEY2	1.2375
SDHD	-0.668166666666667
SUMF1	2.16025
OSM	2.93525
OPN3	0.463
DAGLB	-0.400833333333333
PPFIBP1	-0.00789999999999999
TRIM63	-3.4685
C10orf53	0.7455
LYPD3	1.5115
BCL7A	0.421625
AGER	-1.43766666666667
TCF19	-1.329875
SAT2	-0.3215
PFTK1	-0.072
GABRE	-2.879875
C15orf38	0.865
FIS1	0.5095
KCNV2	-0.24675
CLPS	0.142
PPCDC	-0.326
FOXN2	-0.572833333333333
NT5E	-2.6815
CD83	0.7395
IL18	0.37125
VPS16	-0.104
IGFBP2	0.586666666666667
NOTCH2	0.9095
SIGLEC1	2.755125
CD93	5.442
SULF2	1.5305
CEP164	-0.827
P53AIP1	0.0485
TOR2A	-0.0671666666666667
ZNF136	0.74925
MGP	3.3263
CCDC144A	1.03633333333333
TRPC1	-1.42133333333333
SMS	-0.783166666666667
MAPK7	-0.166
RRAGC	0.5105
PARD6A	0.175666666666667
NUB1	0.648833333333333
SYNGR4	0.0905
OR11H12	0.304
WIF1	-0.012625
GCH1	0.395
OR11H4	-0.0865
SLC44A5	0.358
GPRIN2	0.331833333333333
LOC401431	0.02125
CPA4	-3.2187
MELK	-2.13388888888889
IL15RA	0.424
CUL3	0.91025
HMBOX1	1.5565
PODXL	-0.9955
CCT6B	1.39316666666667
COMTD1	-1.013
MUC20	0.437333333333333
GPX2	-4.09
ITK	-0.757625
FBXL5	2.351
C13orf27	-1.8365
DEFA5	0.4565
TRHDE	0.468
MTP18	-0.431666666666667
UQCRQ	0.2203
ITGB2	1.61366666666667
CSRP2BP	0.265
TAS2R44	0.015
PHPT1	0.20175
FAM44C	0.0905
ERH	-0.307
MPHOSPH1	-0.4925
MORC1	-0.458
PARVB	-1.08
LAMA1	-2.0435
PGBD3	0.12825
GIMAP6	3.64625
AREG	-1.517
LIPT1	0.0535
MGC99813	-0.5475
C1orf201	0.653
GRIN2A	-0.823666666666667
MAN2C1	-1.218125
NSUN5	-0.586
SF3B5	0.108
MYC	-1.4835625
NRXN1	-0.5065
ZNF18	0.5375
SPDYA	-0.212375
SLC37A1	0.885
DECR2	0.59425
ANKRD38	-0.063625
SPTLC3	-0.397333333333333
SUPT16H	-0.29575
DTWD2	0.729
ULBP1	0.5945
ZADH1	1.02633333333333
OIP5	-2.61275
IL10RB	0.0351666666666667
OTUB2	0.667625
VWA3A	-0.0373333333333334
SPIC	0.180833333333333
OR6C4	0.1985
PSCD4	1.31183333333333
DPY19L2P2	0.2105
TRAPPC6A	0.943666666666667
C21orf2	-0.134833333333333
CEMP1	-0.0885
LIN7B	-0.2475
E2F7	-2.58433333333333
VCP	0.2089375
LAMA3	1.17958333333333
BGN	1.56675
GPR160	1.33783333333333
COCH	-4.6585
GPR81	1.35533333333333
APOBEC3F	-1.199
tcag7.1017	-0.36225
C1orf32	-0.078
SCGB1D2	5.748
FLJ43987	-0.259
C6orf170	1.4435
KLK9	0.039
GPD1L	-0.112375
VPS37B	-0.2065
ATG3	-0.195666666666667
ADAMTS17	-0.2205
KLHDC2	0.891166666666667
NDUFV2	0.47125
BLK	-2.29775
MATN4	-2.3525
GPM6A	1.073
GBP4	2.85216666666667
TMEM162	-0.178833333333333
PKP2	1.0705
HRASLS	0.482777777777778
MMP1	-1.20125
SFXN3	-0.0247
FSD1	-2.19466666666667
ST6GALNAC3	-1.35233333333333
CA12	3.3084
NCOA6	0.313
C19orf58	0.0191
PPP4R1	0.624666666666667
MAN1A2	0.683333333333333
IKBKAP	-0.99
UPF1	0.0165
KIAA1219	0.49475
WNT16	-0.10725
SNW1	0.368375
IL18RAP	2.241
RPP30	-0.486875
CDC40	0.327785714285714
SETD3	0.363333333333333
SLAMF6	-0.14675
ELK4	-0.318
TRIM47	0.411833333333333
ACOX3	1.277625
TRIM6	1.524
KIAA0372	0.463833333333333
TP53AP1	0.9515
SMURF2	-0.63125
ADAD1	0.508
EBP	-1.4465
KRTAP13-2	-0.0235
FLJ36874	-0.348166666666667
TOR1A	-0.0905
P2RY4	0.256
GPBP1	0.068
TRPV1	0.844375
ADAMTS12	0.351833333333333
PES1	-0.1145
ATG4A	0.968166666666667
MAGEA10	-4.91
WFS1	1.30975
CC2D1B	-0.459
PABPN1	-0.52775
SLC25A30	0.12075
SLCO1C1	0.417833333333333
SLC22A5	1.5215
KIF23	-2.0105
SYN2	-0.720333333333333
ASPN	7.095
CENTG2	0.40775
QSOX2	-1.9801
FLJ10815	0.091
STK24	-0.3516875
SPEG	0.5202
STK10	-0.236
DACT2	-2.2845
AAAS	-0.353
SSX3	-1.447
ABCD3	1.3347
C4orf12	0.841625
PARVG	0.969333333333333
FIG4	1.93925
C9orf46	1.5755
TMCO6	-0.2755
IGHMBP2	-0.67275
DUS2L	-0.949833333333333
FAM3C	-0.022125
TMEM16D	-1.970375
DCTN4	1.41675
KCNH3	-0.2725
EIF2AK2	1.326
AP1S3	1.017875
CST4	3.5235
PAM	1.816125
NUTF2	-0.94775
CITED2	-0.1914
SLC39A4	-1.01125
C2orf52	-0.014
GRM3	-0.06075
C12orf49	0.4535
CCDC49	0.3572
GRAMD1B	-1.257125
FNDC4	0.06275
SIAH2	2.243
GDPD4	0.11875
C21orf87	0.406875
ATP5A1	0.483333333333333
C16orf63	0.00625
LOC388135	-0.159666666666667
ATP5J2	-0.517125
MMP3	-1.73275
EMID2	-0.24925
CRHR1	0.051
WDR70	-0.056
C13orf31	1.0235
ZFAND1	-0.174
CCL18	3.43016666666667
C3orf49	0.07
RINT1	-1.637
KIAA0408	-1.37166666666667
F13A1	4.5037
SLC10A1	0.0376666666666667
OGN	0.6255
GIPC2	-1.28
XPO6	-0.664833333333333
LCE1A	0.193
FMR1	0.4473
LOC374920	-0.44425
DUSP3	0.371125
ANKMY1	0.754
C7orf50	-0.25575
BBS9	0.0641
UNC119B	-0.166375
C9orf72	0.47375
MGC35440	-0.31575
ENTPD6	-0.1625
PPP1R2P9	0.248
ERCC4	0.474
FAHD2B	-0.1615
HMHA1	0.034
HACL1	-0.33925
RAD23A	-0.524333333333333
FAM83B	-1.81475
PPP5C	0.230333333333333
RNASEH2C	-1.214375
C9orf153	-0.04525
SCAMP4	0.539625
GHITM	0.6046
NDUFB7	0.143125
ADCYAP1	1.76833333333333
SP110	2.53016666666667
MAP3K7IP2	0.45925
DHH	-0.1715
AGRN	0.760928571428572
WDR33	-0.0148333333333333
CEP290	0.275
PRPS1L1	-1.84483333333333
KLRA1	-0.053
GPR97	-0.5745
CHD7	-1.07
TLR10	1.09675
SLC30A8	-0.9675
HIC1	1.21916666666667
IAPP	-0.092
RXFP4	-0.29775
GP1BB	-0.085
SHQ1	0.6855
NKX2-3	0.0173333333333333
API5	0.43775
FTHP1	1.712
MOV10L1	0.608
TRIM6-TRIM34	2.134
ADHFE1	1.65625
FAM117A	-0.22475
DDI1	0.201666666666667
CDON	0.685
TRIM73	-0.243
IGKC	3.3925
MMP14	-0.3715
DYNC1LI1	-0.215125
C11orf66	0.54075
TRBV3-1	-1.00825
FASTKD5	-0.01075
BIVM	-1.46175
LHX4	0.50725
CXCL2	-2.075
RAB2B	0.626666666666667
IZUMO1	-0.492
MAP3K15	-2.017875
FAM19A2	0.191666666666667
ZC3H8	-0.487
ZMAT1	0.805125
SPINK5L3	-2.9435
SLC10A6	0.729
APPL2	0.68475
CARD10	-0.01
LOC402176	-0.864625
EEF1D	-0.1024
RAB6A	-0.3588
C12orf5	-0.580875
PAPOLG	0.26125
MSRB2	0.94025
BCR	0.280166666666667
PUS3	-1.45775
TIAM2	-0.459
ZNF317	0.0533333333333333
CHD2	0.166
FZD5	-2.54363636363636
NUDT8	-2.55675
ZNF763	1.1895
PRC1	-1.586
ABCB9	0.965166666666667
SPATA3	0.36925
TRAK2	0.522625
STAB1	2.86525
LRRTM2	0.111666666666667
psiTPTE22	0.25275
DBI	-0.065
SERPINA11	1.08675
NAT5	0.48525
C20orf58	-2.1215
RPS6KA4	-0.200166666666667
FLJ90650	-0.162
TGFBRAP1	0.05
CHRDL2	-0.014375
FAHD2A	-0.508666666666667
CNTN1	0.77675
BBS4	1.2506
TMEM181	1.2005
MINPP1	1.1445
MPHOSPH6	-1.88608333333333
HOXC10	0.8721
ITPKB	0.053875
CLPTM1L	-0.30475
MEOX2	0.472666666666667
ATP6V0C	1.016375
PRPF8	-1.00633333333333
TMC5	1.3305
FKBP3	-0.1865
PLEKHB2	0.763875
OR4D6	0.0055
ZNF544	-0.1995
D2HGDH	-0.331625
RPL18A	-1.1107
HEL308	0.37325
MPP6	-4.023
TCERG1	-1.0785
KRT16	-0.694666666666667
KLF17	0.2925
KLF5	-3.112625
CDR1	1.789125
VCX3A	-4.597
FBLN2	1.22875
C14orf104	-0.02875
HBE1	-5.0547
OR4S2	3.18
C1orf108	0.1315
ROBO4	3.212
CPEB4	1.325875
C11orf80	1.1785
BCKDHA	0.947833333333333
MYOC	0.631
GIF	-0.103
CKMT1A	0.0835
RPL3	0.2768
THBS1	2.601375
APOO	-0.309
ARMCX1	1.6315
HSZFP36	1.75525
SNAPC5	-0.309
EIF4ENIF1	0.749
ZNF433	1.8405
TNFRSF21	0.46875
TMPRSS7	-0.274
SPATA18	0.5681
HPDL	-2.59
MKL2	1.9246
TBX3	-2.81438461538462
C21orf93	-0.2995
DAXX	0.2775
ELMO1	0.229625
RGS13	2.62283333333333
TAF11	-0.68525
UNC13A	-1.629
LOC653314	-0.11
ORC3L	0.04775
IMAA	-2.6315
TARBP2	-0.85475
CABIN1	-0.4768
TRIOBP	-0.1025
HIST1H2AC	1.49375
RGS22	2.69016666666667
NCOA1	1.25433333333333
IL25	0.525
SNCG	-0.3745
GPR6	0.6445
AMDHD1	0.607
CHEK2	-0.90875
C6orf142	-0.734
DRD4	0.374
C14orf68	-1.0325
GDF11	-2.34525
SEMG2	0.1215
CD247	-1.038
CDAN1	-0.39625
RBMX2	-0.382
TGS1	-0.2195
OIT3	-0.39575
SYF2	0.19425
MCM4	-2.180375
PKHD1L1	-0.10275
CEP192	-0.285833333333333
IFT88	2.06925
RPL9	-0.568714285714286
RAB32	0.0725
DDX43	-1.2975
P2RX2	0.0148333333333333
OR5D18	0.517
UBE1	0.0620833333333333
SLC24A1	1.072125
ARHGAP5	0.45825
CETP	-0.10125
KIAA1731	-0.885166666666667
SLC9A4	0.1285
PTPN6	1.139
BAHD1	-0.1775
GRIK3	0.6345
CACNB2	0.9922
PDE10A	-0.46425
DGCR14	-0.31125
PCDHB9	-1.06366666666667
RHOQ	0.144166666666667
MAP3K4	-0.37375
KTI12	-0.664666666666667
RPL23AP13	-0.8775
GNG11	-0.757
CLCN3	1.17066666666667
GPAM	-0.24875
VSTM2A	0.2585
SLAMF7	2.36216666666667
INTS2	-0.37625
PPP2CA	0.5076
LRP12	-0.606733333333333
SEC14L2	3.41177777777778
DKFZP586H2123	1.821
MC3R	-0.838
CIRH1A	-1.60983333333333
HIST1H2AB	0.737
POLH	-0.199625
MGC16703	-0.8725
SNAPC2	0.882
FILIP1L	1.52975
RASGRP4	0.277
LRRC1	1.43225
GAS1	0.171
PRAC	-0.9425
DGKA	0.186833333333333
NT5C3	-0.716
PEG3	-3.39666666666667
NADK	-0.398
PRR17	-0.46025
LOC374569	-0.6495
SGSH	-0.0456666666666667
NLRP8	-0.332
GALT	-0.4785
MCF2	-1.108
ZNF263	0.429
TACSTD1	1.01133333333333
TYR	-6.6324
ATP6AP2	1.44325
RNUXA	-0.01975
ABHD10	-0.183
GDPD2	-1.1245
SLC35C1	-0.71175
UBE2A	0.033875
HERC5	0.647
FAM112B	-4.70383333333333
FBXL16	2.1425
DKFZP434A0131	-0.80625
ELA3A	-2.807
RBM41	-1.048375
HAO2	0.242
RNH1	0.23025
SHANK2	0.691166666666667
OSBP2	-1.493
DAK	0.339166666666667
C3orf58	-0.8185
TCL1B	-0.93
KBTBD2	0.069625
SUGT1L1	0.91625
UBE2E2	-0.215166666666667
MYL9	2.002125
CDC23	-0.398166666666667
PBXIP1	1.3269
CXorf40B	0.753
NBL1	0.5765
RTBDN	0.8085
RAB11FIP5	0.714
TTTY13	-0.698
SCOTIN	0.479916666666667
SOHLH1	-0.410166666666667
CDKN1A	0.0637142857142857
NCK1	0.0375
ZNF550	-0.8815
SAPS3	-0.2895
SPIN3	0.212666666666667
MAGEE2	0.53225
MIS12	0.141833333333333
OR8H2	-0.055
KIAA0774	-2.02716666666667
UNC5D	-0.7795
CUL7	-0.115666666666667
LIPC	-3.21583333333333
DIO1	0.74
C20orf11	-0.2841
CTRL	-1.13325
HS3ST2	3.908
PAK4	0.476166666666667
CCRL1	2.3085
RNF10	0.472
ZNF567	0.13475
ZNF660	-0.6565
TCEAL3	1.16275
MAGOH	-0.612833333333333
CENPB	-0.3235
C19orf7	0.25525
LOC388965	0.36225
ZCCHC13	-0.152
JMJD1A	-0.1902
HIST1H4H	0.7865
TBRG1	-0.5399
GPC3	-5.33025
TAF1C	-1.341125
EBNA1BP2	-0.7265
CIAPIN1	-1.077
PDGFRA	-0.643888888888889
CSTB	0.27575
CENPI	-1.68933333333333
GTF2E2	-0.307
RPP21	-0.33225
CCNF	-1.53416666666667
KCNQ3	1.811
FAM79A	1.3675
SLC22A12	-0.0315
NOVA1	2.4165
FZD3	1.1428
AKAP8	-0.673
SOCS5	0.701625
CFDP1	-1.03025
DLG5	1.041
PGM5	0.273916666666667
C1orf144	0.17225
HDAC10	-1.6345
RND2	-0.906
C20orf199	-1.22525
RNMT	-0.3195
SLURP1	0.071625
ASTN1	-0.39875
SH3BGR	3.057
MYCL1	-0.99975
ZHX1	-0.125166666666667
CENPK	-3.04725
FOSB	0.9624
LOC643406	0.146625
C2orf59	-0.761125
TMEM135	-0.009
SLC27A2	0.043
KRT33A	3.0555
OVOL1	1.479375
PAMCI	-1.904
S100A7	-1.5785
ZNF789	-1.304
HARS2	0.395
RPL23A	0.014
TCF23	-0.034
UPF3B	-1.6155
C17orf78	0.1495
HLA-DOB	0.594666666666667
C14orf142	0.580333333333333
TEKT5	1.21466666666667
DMWD	0.078
POLD1	-1.85166666666667
GSCL	-0.4705
CALD1	0.6892
SCRT1	-0.153166666666667
AIG1	1.10475
UNC84B	0.05375
ZNF404	-2.2315
TMED6	-3.2435
KIAA1462	0.499
LRRC27	1.78266666666667
PYGO1	0.2735
PIGU	-0.1405
ALAS2	-4.02916666666667
WRNIP1	0.128375
CNNM3	0.046
ZNF2	0.41975
ST3GAL5	1.0745
MRPL23	0.008
TSSK6	0.01025
PSMA6	-0.2875
C16orf70	0.212
KIAA1602	-0.18225
ALMS1	0.561666666666667
DCN	2.444375
TMEM132D	-0.9275
SUCLG2	0.99675
ABHD14A	0.7195
DEXI	0.0786666666666667
AMPD2	-1.31866666666667
IFNAR2	-0.3905
CYB5A	3.152
TLOC1	1.2796
NXF5	-0.4875
NRBF2	0.09425
KCTD3	3.08425
ITGAE	-0.2685
SLC30A3	-2.67916666666667
ZRF1	-1.284
IFRD2	-0.61475
XAB1	-0.16975
PYCR2	0.012
SERPINB3	-4.4115
TMLHE	0.184
GEFT	-1.43775
ABCA5	0.268125
EMR4	0.616333333333333
TSFM	-0.0245
HIST3H2BB	0.5615
ARHGEF19	0.326
TSPAN17	-0.4855
ABCC8	4.2745
MAP1S	-0.154166666666667
C22orf36	-0.19525
BNC2	-0.334928571428571
HIST1H4A	-0.93975
NDUFS3	-0.360166666666667
WDR3	-0.762
XKR4	0.00950000000000002
TTC33	-0.525285714285714
STMN2	3.17025
CPN2	-1.2305
HSPC105	-1.32525
PCOLCE2	-1.93025
C3orf55	0.9065
KLHDC9	2.6915
TBC1D23	0.553625
ATXN2L	-0.8175
MAP2K3	-0.0733333333333333
SCAP	-0.47425
ZNF486	0.9745
C20orf96	-0.1335
NARS	0.2675
ADAMTSL1	-0.861428571428572
PRCC	0.715666666666667
CCDC126	1.78225
ZNF675	1.255
CALCOCO1	1.16
ANKRD43	1.435
CWF19L2	0.0975
ZBTB32	0.658833333333333
BRAF	-0.3775
ODF4	0.1515
MGC14376	0.398833333333333
HORMAD1	-2.0285
AAK1	0.111083333333333
PEBP1	0.60575
TNFSF5IP1	0.0486666666666667
DKFZp564N2472	0.64
RMND1	1.871125
IGKV1-5	3.635
COL1A2	2.61925
SERPINA5	0.43475
AANAT	0.2165
C19orf21	0.738333333333333
GEMIN5	-0.29875
UBR4	-0.0325
LTBP3	0.924833333333333
AMHR2	-1.9135
PROCR	-0.7225
MYBBP1A	-0.7035
C20orf39	0.701833333333333
ZNF697	-0.061875
PASK	-0.42
ZNF776	0.765
RFXDC2	0.055875
KIAA0467	0.293
C10orf96	-1.072
ZNF503	-1.6285
GULP1	-1.09908333333333
KCNE4	-0.4845
DKFZp434K191	-0.931375
LOC196913	-0.5185
BHLHB4	0.0155
CH25H	0.03625
LOC81691	-0.484166666666667
ALPL	0.435857142857143
COL12A1	3.040875
FOLR3	-2.81
GPR123	-0.158625
TRIM62	0.341571428571429
ABLIM1	0.2725
MAST3	-0.1485
RHBDD1	1.21916666666667
LOC338809	-0.0155
RYBP	0.41725
TTC26	0.131625
ZNF22	-0.554666666666667
ISCA2	-0.17575
RDM1	-1.93875
PIGM	1.2475
GNB3	-1.3565
ACTR2	0.0728
HMGB1	-0.14045
EDG1	2.81716666666667
SOAT2	-4.0785
OR10AD1	0.452
RAP1GDS1	1.0665
LCE1F	0.398
ESM1	0.173625
RCN3	1.708
CREBL1	-0.701
DBNL	-0.254166666666667
PTGER3	1.766875
USP30	0.618333333333333
BCL2L12	-1.02516666666667
KIF26B	1.703
ZNF416	0.5895
ZNF225	0.228
C17orf70	-0.13075
ZNF554	0.527
RAE1	-0.546833333333333
TNIK	0.0593333333333333
ACTN3	-0.475
MGC45922	-0.126
CCNA1	0.639333333333333
RYK	0.512166666666667
IL26	0.1355
LRP3	0.300666666666667
QARS	0.02325
SOX7	1.05114285714286
BID	-0.659125
OR2S2	0.314
CXCL14	4.442
C11orf47	-0.9485
MGC29891	0.646333333333333
HSPB8	2.0096
PRDM14	-1.062
NUFIP2	1.10925
MNAT1	0.044125
ZDHHC2	-1.45458333333333
MBNL2	-0.161375
ADD3	-1.108625
CSNK2A1P	-0.30125
KLK6	-2.17216666666667
TMEM111	0.6719
KIAA1279	2.17325
NUBP2	-0.200833333333333
RAB42	-1.0565
ID3	-1.2719
TM9SF1	1.285
MDP-1	-0.2245
POU4F2	0.56575
IQCK	2.59375
C16orf14	-0.44925
CAPN3	-1.02725
FAM43B	-0.316125
RECQL	-0.54675
AP1G1	-0.0641428571428571
CTNNBL1	-0.2755
ECHDC1	-2.06
SMARCC1	-0.3975
FOXQ1	-1.469875
GNAI3	0.311666666666667
POLG2	-0.99125
CD4	0.871375
ITLN1	-0.2425
EBI2	3.504
IRF1	0.76175
PTPRE	1.1262
PTK2B	-0.708
NXNL2	0.9825
SOX4	0.909388888888889
TSPAN3	0.184
SH2D1A	-2.45833333333333
C8orf58	-0.103833333333333
USP20	-0.86225
DUSP22	-0.579833333333333
CALB1	-2.23533333333333
L3MBTL2	1.32416666666667
MCRS1	-0.34475
TMEM118	-1.01916666666667
C18orf8	0.166
FLJ10241	0.499375
GJA12	0.26025
PKD1	-0.5765
ZFP3	0.78
JAM3	-0.906375
LAPTM4A	1.5851
DIRC2	0.633
KIAA2022	1.55
MYOM1	0.529833333333333
TRPM8	-2.0085
MOP-1	-0.00825
PHKG2	0.112
ZNF650	1.154875
KIAA1522	1.78925
PSG8	-1.33933333333333
DDX19B	-0.654
MOBKL1B	0.19525
DIAPH2	0.034
PTPN12	0.43025
CLN8	-0.2189
CRYZL1	-0.00400000000000001
CRY2	0.85925
FCGR2B	3.29966666666667
PNPLA4	2.283125
ZNF454	-0.1835
DKFZp434B1231	-0.41275
CLDN11	-0.0123
RFWD2	0.508
CIB2	-1.28466666666667
MXRA8	2.99025
HRK	-1.335
MAML2	-0.138
C4orf31	0.3205
C6orf192	1.238
COG6	0.6125
FAM5B	-0.05825
NFATC1	0.2332
SEPT10	-0.2295
SCYL1	0.1817
RPP40	-1.32275
SCOC	1.0353
KIAA1450	0.27275
CTDSPL2	-0.49575
TBX5	1.22966666666667
NAPG	-0.667125
RHD	-4.129
C14orf45	3.03233333333333
ZBTB22	0.7105
PLCG1	-1.415
ANKRD10	-0.399875
AQP7P2	1.49175
TAGLN2	-0.095
HTR2C	-0.945333333333333
SLC16A7	-0.6385
C17orf83	-0.13
TSGA14	0.371333333333333
MDH1	-0.224
PPP3R2	0.106333333333333
DCBLD2	-2.12135714285714
RBM33	-1.040125
DPH3	-1.5855
SYT10	-0.9066
FMO4	2.510375
THYN1	-1.11025
DRD5	-2.0235
OTOR	-0.026625
PGRMC2	0.7421
KATNAL1	-0.05325
PAQR6	-1.01525
UBE2I	-0.07475
C14orf28	0.1055
C8orf70	-1.29775
FLYWCH1	-0.226125
ANGPTL3	-0.253666666666667
GLRX2	-0.180333333333333
ATP11A	-1.11321428571429
ARL5B	0.533125
MUC16	-0.102
SLC25A5	-1.05314285714286
ACRC	-1.314
MYO1C	-0.0545
FAM89B	1.082
FAS	0.38625
KIFAP3	1.25125
GLRA2	1.533
BTN3A2	0.5759
CNKSR3	1.090375
CSTF3	-0.646
ARPM1	0.8875
KIAA1530	-0.373
C9orf150	2.74033333333333
PRKCI	0.018
tcag7.1015	-1.029
SOD3	0.1805
ZNF574	0.17925
CYP21A2	2.58525
RPL12	0.23225
COMMD2	-0.48375
WIZ	0.003
LOC344405	-1.7505
ALDH4A1	-1.50558823529412
CRYAB	2.3095
COPA	0.337833333333333
PCDHGA7	-0.0138333333333333
KIF11	-0.946
RASD2	0.18725
SLC26A3	0.673
ZNF175	0.011
JAKMIP2	-0.94775
C8orf4	2.06933333333333
PTHLH	2.15
SLC40A1	3.19375
OR7D4	0.307833333333333
PCDHB17	0.0445
CD36	3.69314285714286
C6orf203	0.099
PRKG2	-0.588
LOC400566	1.57425
ANAPC13	0.94175
SLCO3A1	-0.49575
ZNF692	-1.2755
FANCL	-0.9825
SH3GLB1	0.6965
C12orf61	-0.001
KBTBD6	0.97075
SUPT5H	0.12025
XRCC6	-0.1871
HUS1B	-1.0652
FAM133B	-0.481571428571429
LOC728276	0.054
KCTD18	1.0165
SOS2	0.838833333333333
CCDC99	-1.9
C1QTNF5	3.4405
NNAT	1.52583333333333
USP16	0.2665
LARS	-0.799375
ZBTB2	1.00725
ABO	-0.0598333333333333
TRAF3	-0.18175
GALNT5	-0.1095
NAP5	0.381125
ALG14	1.07616666666667
KIAA0515	0.0515769230769231
WDR75	-0.850166666666667
TEX261	0.332833333333333
LY86	1.3145
LOC389072	-0.5415
FLJ13611	0.41125
MRGPRX2	0.3615
SNRPA	-0.54075
OR2G2	0.2005
GPRASP2	0.18225
C7orf42	0.6938
C9orf163	-0.932
CYP11B2	0.497
FCRL3	0.3128
PRDX1	0.0555
FGB	3.1465
COX17	0.031
C16orf33	-0.1285
PIWIL1	-0.0193333333333333
FOLR1	-3.3315
KIAA0082	-0.6395
FREQ	-1.71166666666667
TMCC2	-1.92833333333333
TCF12	0.73675
ZNF721	0.32975
FAM130A2	0.5035
POU4F1	-2.278
SNRPF	-1.32025
SGIP1	1.63516666666667
ZNF641	0.965
EMG1	-0.53425
PRRG4	1.2695
HIRA	-2.85675
MYNN	0.620666666666667
AEBP2	0.0725
TBXA2R	0.0825
ISL2	-1.61066666666667
PCDHB11	-0.7055
RNF144A	-0.999625
MARCH5	0.793
DULLARD	-0.501333333333333
DCLRE1B	-0.683833333333333
ITGA8	0.7775
TP73	-0.129125
PRKCD	2.06775
NDUFB4	0.46575
ATP13A4	2.46575
ANTXR2	-0.0645
COL4A3	-0.6788
MYO10	-1.3716
SLC6A18	0.24625
PEX1	0.46125
TMEM74	-1.427
RBM19	-0.539
TAPBP	0.9029
RUNX1	1.561125
MID1	-2.11216666666667
GPR64	-1.534
RASEF	4.54125
GABRG1	0.225
MYO16	-0.50425
DBF4	-1.98816666666667
TSHZ2	2.35825
RIPK2	-0.378125
PPTC7	0.456333333333333
KIF4B	-0.9895
LRRC31	2.872
ZNF540	2.0155
EFNB3	-0.362333333333333
LOH12CR1	0.079625
STON2	1.22966666666667
GLP1R	0.53875
CSTF2T	0.2895
IREB2	-0.81075
GRSF1	0.36975
PDCD7	-0.652166666666667
LRRC43	1.8595
CNR1	1.94866666666667
IL1F7	-0.772
C12orf64	-0.0885
FAM69B	-2.0675
NR2E1	-2.04833333333333
MS4A6A	2.4949
FTL	0.1658
C7orf36	-0.2485
PCLO	2.484
DYRK2	0.167916666666667
ARIH2	-0.543875
SAMD7	-0.415
SCNN1D	-0.38625
SLC32A1	-0.56575
C22orf25	0.066
MRPS18A	-0.0426
GPR112	0.6755
EARS2	1.11725
ERN2	0.0465
ATPBD3	-0.396166666666667
PRH2	-0.6115
CDKN2D	-0.225166666666667
PGLYRP2	1.9875
TRIM40	0.112
SEC14L3	0.0556
SLC22A1	-0.4135
BTN2A3	-0.5115
RASA4	0.1625
CCNL2	-0.818833333333333
MYBPC3	0.194
GJA4	3.13625
CDC42SE1	0.863125
TRPV2	-0.7125
MYPN	-3.4
SIM1	0.2445
CDADC1	0.288083333333333
ZFHX4	0.8735
NIBP	0.418666666666667
ADAMTS19	0.9595
ABTB2	-1.7985
TSPYL2	-0.00812499999999999
EIF2S3	-0.8214
SOX30	-0.08975
AP2A1	-0.0511666666666667
DKFZP564O0523	0.227333333333333
LOC285398	-0.10525
CDH18	3.1595
CHL1	0.9305
GATS	-0.5611
TBC1D2B	0.0136666666666667
OR1J1	0.197
GSN	1.48116666666667
DPCR1	0.3015
GARNL4	-1.5965
SMARCA5	0.1365
PLEKHG3	0.17
ZBTB45	0.6425
FRMD6	0.1665
PLS1	0.759833333333333
DGKZ	0.219833333333333
EFNA1	1.8083
WDR85	-1.163125
ANK2	-0.26075
PAGE4	-0.773833333333333
SENP6	1.26983333333333
AKR7A2	0.377166666666667
FKBP10	-1.78225
VEGFC	-1.23183333333333
LARP1	-0.13775
SRBD1	0.1785
ITGB6	1.59525
SLC1A2	0.0726428571428571
INVS	-0.392833333333333
MPO	0.1605
MOBKL3	0.1821
CUTL2	-1.60725
KLK2	-0.256833333333333
VIM	-0.37675
REG1B	0.02
PCDHGC4	0.03
C3orf34	-0.287666666666667
SUMO3	0.3385
CST9L	5.037
MLL4	-0.38575
SPR	2.124
SAMD9L	1.5225
ABCE1	-0.5665
SUPT3H	-0.28
ACTBL1	1.06075
ADAMTS4	1.115
SLIT3	2.86425
RHEBL1	-1.16275
NPM2	-1.9555
MAN1C1	2.2355
KIAA1856	0.46675
HSPA6	1.226
LOC388152	-2.3045
C10orf140	-1.52525
ZDHHC12	-0.509
LIN7A	0.5552
PHC2	0.263916666666667
SPHK1	-0.63975
TRIM26	0.31475
FAM83E	-1.0525
C18orf24	-1.59933333333333
ZNF578	0.379166666666667
ORAI1	-0.44125
RUVBL1	-0.326
C7orf20	-0.972
APAF1	-1.1475
SLC36A4	-1.13916666666667
MYH11	3.86233333333333
NEK1	1.2852
MPP2	0.410375
C12orf24	-3.40775
TNK2	0.1316875
ZNF289	0.275
MATN3	-0.197571428571429
IFNGR2	1.3775
ITPR1	2.378
EBF3	2.3045
TBC1D20	-0.0801
OR10P1	-0.06275
DDAH2	1.14875
SHPRH	0.17375
STX7	0.223
LOC554248	-2.23375
BCAR1	0.0915
ATXN3	0.2125
TRIM27	-0.282
CDC42EP2	0.2035
CHP	0.178928571428571
SOX17	1.661625
ZNF259	-1.01883333333333
CHCHD1	0.261375
ZDHHC19	0.2085
GBP2	1.9545
