Hybridization REF	TCGA-A7-A0CH-01A-21R-A00Z-07
RAB39	-0.2325
GHRH	2.27566666666667
ITIH5L	0.405
C17orf37	0.576
SMCR8	0.388
DPY19L2P3	-0.847333333333333
IL11RA	0.576833333333333
GDF3	-3.53666666666667
RPS6KB1	-1.4965
DNAJC19	0.1035
TOP1	-0.17575
CRCT1	-0.3925
MPST	0.392375
DPM2	0.32425
FAM38B	-1.17283333333333
SLC18A1	-1.98366666666667
FARP1	0.477333333333333
PAX7	0.076
TUBD1	-1.3515
GNL3	-0.394
BTG2	2.23366666666667
NDUFS6	-0.42775
C1orf79	-2.02075
ERAL1	-0.141
ECHS1	1.04575
VPS4A	-0.5675
CYP11A1	-0.1985
ABCC6	-1.37664285714286
PBX4	-1.056
MOSC1	-0.664
NCF4	0.23875
HYMAI	0.582
NAGPA	0.11525
OTOP2	0.2425
ACOT12	0.3285
MTHFD2L	-0.8295
LOC441376	5.13925
C19orf34	0.4295
RAB1B	0.036
ALDOAP2	0.3575
NTRK1	-1.0025
ARTS-1	-0.6684
SLC6A11	-0.46
NAP1L2	0.43525
CNGB1	-0.314333333333333
EPB41L4B	1.21016666666667
FAM134B	2.93175
HS3ST3A1	-0.4725
CPXM2	2.981
SIRPB2	0.128
CHORDC1	-1.08066666666667
TRIB3	-0.5505
SLC2A5	0.0655
C2orf49	-0.719
DDX5	-0.1305
OR5L1	0.8165
ANAPC4	-0.192166666666667
ZSWIM1	0.64125
LOC93622	0.326
KCNK3	-0.7409
RP11-35N6.1	-2.098875
ZFP161	0.802
AQP9	1.654
SLC15A2	-0.878166666666667
MREG	0.848166666666667
OR9I1	0.853
PDLIM2	0.19025
ADAM7	0.123
GSTCD	0.505333333333333
WDR21A	0.161
SLC12A8	1.85433333333333
TMEM174	-0.1235
IGSF3	1.45433333333333
LRRN1	2.89625
LOC402117	-0.4215
SRPK1	-1.10583333333333
LY6K	-2.2199375
NFIA	2.7815
PTCD3	-0.374375
LEP	-0.0811666666666667
PCDH21	-0.680833333333333
MAPKAPK2	0.862785714285714
NMNAT1	-0.5055
LHFPL2	-0.084875
C9orf43	0.637
DIP2A	-0.309333333333333
ACTR8	0.06025
CCDC34	-1.3325
PTPN22	-1.82875
ITGA3	-0.495625
FAM129C	-0.32125
RABGGTA	0.795333333333333
UNC45B	0.22
KIAA1033	-0.251875
ZNF510	0.104666666666667
CYP2D6	-0.3265
SLC26A10	-2.019
STX8	1.05525
LUZP1	0.20075
WDR89	0.159
EIF4G3	-0.1132
C5AR1	0.593625
ZNF623	0.426
A2M	0.15425
TGM7	0.465
GRPEL1	-0.4705
LMNB2	-1.4667
ROCK2	-0.501333333333333
SNX16	-0.049875
CCDC66	0.5025
ANXA3	-0.985
KIAA1609	-0.691
EED	-0.856
RNF32	0.180666666666667
HES1	1.5418
CLC	-0.119333333333333
ISL1	-0.147666666666667
KIAA0528	0.208375
MANEA	0.046625
C1orf61	-2.317
hCG_2001000	0.11475
RAPGEF6	-0.2943
KIAA0020	-0.381666666666667
NEIL1	1.83
C16orf45	-0.5105
RBM10	0.414666666666667
C10orf125	-1.989
MRS2L	-0.8695
DNAH17	-1.045
C19orf10	-0.49925
C1orf160	0.80675
SLFN12	0.969
EXOC3	-0.1195
HIST3H3	0.84625
NCOR2	0.326
TNFRSF9	-0.127
MFSD8	-0.056
ALX1	-3.43983333333333
NOL1	-1.318
PODN	2.96525
TIAL1	-1.09825
HIST1H1E	0.0165
NPY6R	0.49275
TM4SF4	-0.29025
CORO2A	0.48
ETNK2	0.153666666666667
APOE	-0.1865
ANGPT4	0.348
HDGF2	0.338
G30	-0.4485
ST8SIA4	-0.947375
F2RL1	0.2125
FAM19A4	-2.66
CCAR1	-0.38025
B3GNT7	0.18175
OPHN1	-0.5427
DSCR6	1.5655
C21orf13	1.54033333333333
GAS2L1	1.03566666666667
RFX3	1.9025
COPS4	0.0235
BCHE	-4.78916666666667
BCL2	3.186625
HBZ	-2.95616666666667
ARL13B	0.493875
MAPBPIP	1.28675
MYO15B	0.934875
SPZ1	-0.22675
KIAA1324	4.05677777777778
PLCL2	-1.11675
C4orf29	-0.916
WDFY2	-0.561
ZNF284	-0.314
NAALADL1	0.451
DUSP5	1.96233333333333
PXDN	0.71175
SLMO1	-0.965
TNXB	0.3915
BIRC7	-0.60825
A4GALT	0.428166666666667
TIMM22	0.55325
FAM110C	1.38
TOMM34	-0.77225
ABHD9	0.3285
ADAM32	1.826
CRHBP	-0.59825
AQP2	0.459625
LOC130355	0.791
ZNF187	0.217833333333333
ZNF816A	0.294
F7	1.562875
CNOT1	-0.9299
SLC13A4	-0.88325
ZBTB11	-0.3905
B3GALT5	1.07775
EXOC2	1.35833333333333
IRS1	0.8897
TMEM1	-0.0201666666666667
MRPL34	-0.309833333333333
SAMM50	-0.497
CDC42EP3	0.491
HSF2	-0.6686
MFN2	0.3105
TSPAN7	-1.895
NUCB1	0.876916666666667
RHOH	3.3195
ARL16	-0.2165
TACR1	0.40725
SFRS5	-0.463333333333333
SNX25	0.55175
RHBDF1	1.3215
PCDH18	0.91
HMG1L1	-0.351
MYO5C	1.378875
MAPK10	2.472
LDHAL6A	0.127166666666667
NUDT12	0.857833333333333
NCAM1	0.05
GLIS2	0.599
GGTL4	1.24325
DAPP1	0.439
ATF7	1.16275
KIAA0748	-1.41875
NFIL3	-1.71575
TM6SF1	0.4145
SEZ6	-0.026625
NANOS3	0.724666666666667
DNAJA3	-0.130666666666667
CLDN6	-2.059
CIITA	1.7082
EPHA4	-1.291
FANCC	0.00325
CMTM3	0.470625
PSG3	-0.096125
MRPL15	-0.72275
C21orf59	0.6425
PLCXD2	-0.0205
C2orf34	-0.268875
UBE2L6	1.1875
MED14	-0.243
HP1BP3	-0.3547
C6orf208	0.1115
TPBG	0.687
OSR2	-0.494875
XPC	0.4855
KLHL7	-1.271
CCR3	0.314833333333333
AGTPBP1	-1.7115
PCSK6	1.03833333333333
STAT5A	-0.5105
FAM18B	0.4655
LONRF2	0.691666666666667
PTPN2	-0.71725
SF3A3	-0.433
EFCBP2	-0.3885
HCFC1	-0.292833333333333
AHNAK	0.4005
ACTR5	-0.06525
KIF14	-3.13042857142857
TENC1	1.403
HEATR5B	1.225
YIPF2	0.909166666666667
MYEOV2	0.4605
DUSP18	1.24825
KIAA1012	-0.08975
AHR	0.111666666666667
C17orf53	-1.494
PTPRH	-3.914
ATP6V1C1	-0.2402
TAS2R3	-0.1965
LOC440356	0.9125
COQ10B	0.424
PSMF1	0.311333333333333
SORBS2	3.11808333333333
NFE2L2	-0.54675
TMCO7	-0.5965
SH3PXD2A	-0.1204
SH2D2A	-1.41775
SPINK5	-2.919
MRPS24	-1.108
OPA3	0.56975
TRAF7	0.214666666666667
C4orf35	0.0306666666666667
MT1G	-1.742125
MGC39545	-0.459333333333333
HS1BP3	0.3463
OR2B2	0.296
CHRM4	-0.417
SFRP2	2.69191666666667
RIC3	-1.45925
ART1	0.3255
C6orf1	1.150375
DUS4L	-1.0845
C10orf104	0.47875
TNFAIP6	2.4555
RTEL1	-0.9405
CCT4	-0.556
ZNF709	-0.207
CHMP6	0.465666666666667
UPP2	-0.99775
CYP19A1	-2.6195
CD151	0.024
NDUFA13	0.234333333333333
ARFRP1	-0.872333333333333
FAM26B	1.214
CRYBA1	-1.6125
MRPL41	0.645333333333333
NPFFR2	-0.211875
HRH2	0.194
SCAMP3	1.07983333333333
MTMR6	0.3483
MTG1	-0.826333333333333
UBTD1	1.853
CRABP1	-2.3315
FLJ33790	0.7361
KIAA1908	-0.273666666666667
GPR158	-1.728
PACSIN3	0.468833333333333
OMD	3.9165
CATSPER1	-0.356333333333333
HOXB8	-0.685
FBXO46	1.438
OAS1	1.81366666666667
SVIL	0.20275
PHB2	-0.77225
ADCY3	-1.136
NDRG2	1.06416666666667
ERMAP	0.583
APBA2	-0.585
IGSF9	3.4185
WNT6	-0.125
MYCBPAP	2.084
ATP2B2	-0.0378
CPVL	-1.227
TRAM2	-0.968083333333333
NOP5/NOP58	-0.45625
ZNRF4	-0.06775
TLK1	0.43275
MTMR12	0.023
ZNF384	-0.067
FAM9B	-2.83475
RPN1	0.3306
PMVK	1.837
EIF3D	0.2614
SIX2	0.61675
HPS1	0.575285714285714
RNF7	0.2455
PSKH2	0.203
KCTD13	0.1065
CSMD3	-0.6713
FBF1	0.3315
IL8	-4.297875
SERPINB13	0.26525
FBXL20	0.1115
BLR1	0.18625
SH2B1	0.066
RFNG	0.24375
RAB20	1.2725
RBM7	-0.44675
POLR1A	-0.176
TMPRSS4	-2.9475
TAF9	-1.028125
TERF2	-0.150166666666667
TNFRSF1A	0.7685
ACADVL	0.3985
GTF2H5	0.614
EDG8	-0.227
C9orf140	-1.434375
UST6	-0.13575
ZBTB8OS	-0.2885
ZNF710	1.33
GPR174	-2.0865
ATP6V0A2	-0.815
KIAA0319L	0.615333333333333
XKRX	0.17
DOPEY2	1.2546
SDHD	-0.441666666666667
SUMF1	1.94975
OSM	2.31175
OPN3	-0.972
DAGLB	0.225166666666667
PPFIBP1	0.0564
TRIM63	-3.10575
C10orf53	0.769
LYPD3	1.30533333333333
BCL7A	0.2035
AGER	-1.26916666666667
TCF19	-1.423875
SAT2	-0.083
PFTK1	0.608666666666667
GABRE	-3.132125
C15orf38	0.9405
FIS1	0.1415
KCNV2	-0.088
CLPS	0.64475
PPCDC	-0.14925
FOXN2	-1.23416666666667
NT5E	-2.8401
CD83	0.435
IL18	0.329125
VPS16	0.712
IGFBP2	0.58
NOTCH2	1.20775
SIGLEC1	2.513375
CD93	4.8625
SULF2	0.0195
CEP164	0.1035
P53AIP1	0.273833333333333
TOR2A	-0.150666666666667
ZNF136	0.57175
MGP	4.0573
CCDC144A	-1.072
TRPC1	-1.24983333333333
SMS	-1.06216666666667
MAPK7	-0.143666666666667
RRAGC	0.738
PARD6A	-0.144666666666667
NUB1	0.577833333333333
SYNGR4	0.425
OR11H12	0.3685
WIF1	0.586875
GCH1	-0.6475
OR11H4	-0.105
SLC44A5	2.53
GPRIN2	2.3815
LOC401431	0.34275
CPA4	-1.9503
MELK	-3.36622222222222
IL15RA	-0.69875
CUL3	0.230625
HMBOX1	-2.23175
PODXL	-2.0425
CCT6B	1.11483333333333
COMTD1	-0.707
MUC20	0.811666666666667
GPX2	-2.728125
ITK	-1.799625
FBXL5	1.50725
C13orf27	-1.68325
DEFA5	0.591
TRHDE	-1.1975
MTP18	-0.2235
UQCRQ	0.217
ITGB2	1.61775
CSRP2BP	0.6295
TAS2R44	0.433
PHPT1	0.250375
FAM44C	-0.2285
ERH	0.38225
MPHOSPH1	-1.8995
MORC1	-0.279
PARVB	-0.67
LAMA1	-2.08725
PGBD3	0.792
GIMAP6	3.52525
AREG	-0.718666666666667
LIPT1	0.0955
MGC99813	-1.15175
C1orf201	0.721166666666667
GRIN2A	-0.698555555555556
MAN2C1	-0.391125
NSUN5	-0.7065
SF3B5	0.44175
MYC	-2.4036875
NRXN1	-0.7215
ZNF18	1.0195
SPDYA	0.1215
SLC37A1	1.5205
DECR2	0.9305
ANKRD38	1.372625
SPTLC3	-0.853916666666667
SUPT16H	-0.352
DTWD2	0.83375
ULBP1	-0.656
ZADH1	0.236333333333333
OIP5	-3.064
IL10RB	0.158666666666667
OTUB2	0.288625
VWA3A	0.794166666666667
SPIC	-0.118833333333333
OR6C4	0.0795
PSCD4	0.708666666666667
DPY19L2P2	0.2755
TRAPPC6A	1.15433333333333
C21orf2	0.3095
CEMP1	0.62525
LIN7B	-0.1045
E2F7	-2.42816666666667
VCP	0.3128125
LAMA3	1.904
BGN	1.98525
GPR160	1.508
COCH	-5.0795
GPR81	1.94933333333333
APOBEC3F	-2.005
tcag7.1017	-0.58325
C1orf32	0.496
SCGB1D2	7.25275
FLJ43987	-0.1965
C6orf170	0.69375
KLK9	0.5915
GPD1L	1.692
VPS37B	-0.2105
ATG3	-0.432666666666667
ADAMTS17	-0.005
KLHDC2	0.122333333333333
NDUFV2	0.08975
BLK	-2.9225
MATN4	-1.248
GPM6A	0.743625
GBP4	2.4855
TMEM162	0.516666666666667
PKP2	0.952
HRASLS	1.75733333333333
MMP1	-4.25925
SFXN3	-0.3185
FSD1	-1.79683333333333
ST6GALNAC3	-2.029
CA12	2.549
NCOA6	0.339
C19orf58	-0.1452
PPP4R1	0.367666666666667
MAN1A2	0.680833333333333
IKBKAP	-0.77875
UPF1	0.0635
KIAA1219	0.3545
WNT16	-0.183
SNW1	0.2055
IL18RAP	1.26575
RPP30	-0.28
CDC40	-0.139357142857143
SETD3	0.128666666666667
SLAMF6	-0.01525
ELK4	-0.6125
TRIM47	0.629333333333333
ACOX3	2.2415
TRIM6	0.734625
KIAA0372	-0.493166666666667
TP53AP1	1.394375
SMURF2	-0.438
ADAD1	0.47725
EBP	-1.1353
KRTAP13-2	-0.1885
FLJ36874	-0.9645
TOR1A	-0.146
P2RY4	0.787
GPBP1	0.51525
TRPV1	0.659625
ADAMTS12	-0.0153333333333333
PES1	-0.3107
ATG4A	0.820666666666667
MAGEA10	-4.40575
WFS1	2.03
CC2D1B	-0.0931666666666667
PABPN1	-0.241375
SLC25A30	0.5525
SLCO1C1	-0.136833333333333
SLC22A5	1.26725
KIF23	-2.98083333333333
SYN2	-0.442833333333333
ASPN	8.84983333333333
CENTG2	0.2175
QSOX2	-2.0839
FLJ10815	-0.104
STK24	-0.1215
SPEG	-0.2952
STK10	-0.107333333333333
DACT2	-0.5535
AAAS	-0.4415
SSX3	-1.419625
ABCD3	0.5592
C4orf12	-0.84375
PARVG	0.436
FIG4	1.23275
C9orf46	2.04325
TMCO6	-0.645
IGHMBP2	-0.26875
DUS2L	-0.741833333333333
FAM3C	-0.7166875
TMEM16D	-1.4255
DCTN4	0.8495
KCNH3	-0.212
EIF2AK2	0.29875
AP1S3	-0.14525
CST4	1.314
PAM	0.5355
NUTF2	-0.8495
CITED2	0.8323
SLC39A4	-0.58
C2orf52	-1.405
GRM3	-0.01625
C12orf49	0.1595
CCDC49	-0.2217
GRAMD1B	-1.6965
FNDC4	0.2275
SIAH2	1.15625
GDPD4	0.14875
C21orf87	0.687375
ATP5A1	0.173333333333333
C16orf63	-0.33475
LOC388135	0.205166666666667
ATP5J2	-0.61275
MMP3	-1.7525
EMID2	0.032
CRHR1	0.366
WDR70	-0.44575
C13orf31	1.5225
ZFAND1	-0.85325
CCL18	3.78316666666667
C3orf49	0.16
RINT1	-0.5425
KIAA0408	-2.57933333333333
F13A1	5.3517
SLC10A1	-0.182333333333333
OGN	1.5335
GIPC2	-1.73616666666667
XPO6	0.0195
LCE1A	0.888
FMR1	0.0121
LOC374920	0.25075
DUSP3	0.078375
ANKMY1	0.82225
C7orf50	-0.03975
BBS9	-0.1299
UNC119B	-0.11975
C9orf72	-0.31975
MGC35440	-0.192
ENTPD6	0.100125
PPP1R2P9	0.4425
ERCC4	0.4275
FAHD2B	-0.4435
HMHA1	-0.0385
HACL1	0.22675
RAD23A	-0.319666666666667
FAM83B	0.052
PPP5C	-0.7065
RNASEH2C	-0.284
C9orf153	-0.51
SCAMP4	0.973125
GHITM	0.4265
NDUFB7	0.064875
ADCYAP1	0.199
SP110	1.67616666666667
MAP3K7IP2	0.3265
DHH	-0.2555
AGRN	0.739785714285714
WDR33	0.2405
CEP290	-0.0665
PRPS1L1	-1.844
KLRA1	0.0105
GPR97	-0.2015
CHD7	-0.970416666666666
TLR10	0.658
SLC30A8	2.744
HIC1	0.885166666666667
IAPP	0.657
RXFP4	0.20325
GP1BB	1.067
SHQ1	0.5515
NKX2-3	0.2425
API5	-0.28225
FTHP1	0.51
MOV10L1	0.5575
TRIM6-TRIM34	2.63333333333333
ADHFE1	0.93775
FAM117A	-0.4985
DDI1	-0.0182
CDON	-0.134666666666667
TRIM73	-1.0755
IGKC	2.1125
MMP14	0.54525
DYNC1LI1	-0.23725
C11orf66	0.5815
TRBV3-1	-1.2385
FASTKD5	-0.14775
BIVM	-1.772
LHX4	0.48475
CXCL2	-1.1295
RAB2B	-0.213666666666667
IZUMO1	-0.36825
MAP3K15	-1.7955
FAM19A2	0.278166666666667
ZC3H8	-0.7205
ZMAT1	2.02575
SPINK5L3	-2.71725
SLC10A6	1.0145
APPL2	-0.08925
CARD10	0.067
LOC402176	-0.951375
EEF1D	0.6513
RAB6A	0.0715
C12orf5	-0.61675
PAPOLG	0.34925
MSRB2	1.1015
BCR	1.09666666666667
PUS3	-0.03675
TIAM2	0.491
ZNF317	0.107333333333333
CHD2	0.121714285714286
FZD5	-1.46218181818182
NUDT8	0.1905
ZNF763	0.0965
PRC1	-2.08955555555556
ABCB9	-0.497333333333333
SPATA3	0.48475
TRAK2	0.608125
STAB1	3.002
LRRTM2	0.0315
psiTPTE22	1.32375
DBI	0.794
SERPINA11	-0.07475
NAT5	0.04025
C20orf58	-1.9455
RPS6KA4	0.115666666666667
FLJ90650	-0.8675
TGFBRAP1	0.122
CHRDL2	0.316875
FAHD2A	-0.7515
CNTN1	0.688
BBS4	0.5098
TMEM181	0.29075
MINPP1	-0.58075
MPHOSPH6	0.443166666666667
HOXC10	-1.1727
ITPKB	0.82275
CLPTM1L	-0.064625
MEOX2	-0.7415
ATP6V0C	0.87875
PRPF8	0.0538333333333333
TMC5	4.38225
FKBP3	-0.23675
PLEKHB2	-0.41675
OR4D6	0.0515
ZNF544	-0.743
D2HGDH	0.415875
RPL18A	-1.0685
HEL308	-0.15825
MPP6	-4.08375
TCERG1	-2.00925
KRT16	0.661333333333333
KLF17	-1.1165
KLF5	0.278875
CDR1	2.312625
VCX3A	-4.582
FBLN2	2.41325
C14orf104	-0.35175
HBE1	-4.3206
OR4S2	0.6985
C1orf108	-0.451
ROBO4	3.28033333333333
CPEB4	1.182375
C11orf80	-0.87
BCKDHA	1.0835
MYOC	0.26025
GIF	0.7205
CKMT1A	-0.067
RPL3	0.443
THBS1	2.833125
APOO	-0.463
ARMCX1	1.40675
HSZFP36	1.28125
SNAPC5	-0.55075
EIF4ENIF1	1.1575
ZNF433	0.216
TNFRSF21	-1.148375
TMPRSS7	0.643
SPATA18	1.8461
HPDL	-3.741
MKL2	1.9089
TBX3	1.89707692307692
C21orf93	0.273666666666667
DAXX	0.66825
ELMO1	-0.139875
RGS13	2.06216666666667
TAF11	-1.26625
UNC13A	-2.63275
LOC653314	-0.4729
ORC3L	-0.2035
IMAA	-2.8065
TARBP2	-0.2965
CABIN1	0.3313
TRIOBP	0.3100625
HIST1H2AC	2.204375
RGS22	0.537666666666667
NCOA1	1.6165
IL25	2.659
SNCG	0.305
GPR6	0.5795
AMDHD1	-1.52416666666667
CHEK2	-0.985875
C6orf142	-0.66375
DRD4	0.56575
C14orf68	-0.92325
GDF11	-2.162
SEMG2	0.231
CD247	-2.4565
CDAN1	0.00325
RBMX2	-0.0105
TGS1	-0.9655
OIT3	0.05225
SYF2	0.398
MCM4	-2.515375
PKHD1L1	-0.402875
CEP192	-0.825166666666667
IFT88	1.439
RPL9	0.0789285714285714
RAB32	0.02575
DDX43	-2.922
P2RX2	0.314833333333333
OR5D18	0.415
UBE1	0.415333333333333
SLC24A1	1.18175
ARHGAP5	-0.06875
CETP	-1.11775
KIAA1731	-0.521166666666667
SLC9A4	0.4165
PTPN6	1.436
BAHD1	0.6225
GRIK3	0.2005
CACNB2	-0.6538
PDE10A	-0.44425
DGCR14	0.031
PCDHB9	-0.714333333333333
RHOQ	-0.337
MAP3K4	-0.11025
KTI12	-0.0438333333333333
RPL23AP13	-1.066
GNG11	-1.29525
CLCN3	0.616333333333333
GPAM	-0.76875
VSTM2A	0.3045
SLAMF7	0.742333333333333
INTS2	-1.039
PPP2CA	0.2094
LRP12	-1.1874
SEC14L2	3.436
DKFZP586H2123	1.85775
MC3R	-0.2035
CIRH1A	-2.03016666666667
HIST1H2AB	1.0815
POLH	-0.645
MGC16703	-1.9025
SNAPC2	0.6055
FILIP1L	0.89625
RASGRP4	0.3715
LRRC1	1.7805
GAS1	1.552
PRAC	-1.4535
DGKA	-0.195833333333333
NT5C3	-0.753
PEG3	-4.05175
NADK	-0.564
PRR17	0.57575
LOC374569	0.1285
SGSH	0.914666666666667
NLRP8	0.116
GALT	-0.8867
MCF2	-1.1575
ZNF263	1.237
TACSTD1	0.926
TYR	-5.879
ATP6AP2	0.297
RNUXA	-0.33975
ABHD10	0.1241
GDPD2	-1.21475
SLC35C1	-0.55875
UBE2A	0.118625
HERC5	-1.56266666666667
FAM112B	-4.26916666666667
FBXL16	2.01075
DKFZP434A0131	-0.567
ELA3A	-2.3875
RBM41	-0.945625
HAO2	0.24275
RNH1	0.656
SHANK2	1.58233333333333
OSBP2	-1.3455
DAK	0.5245
C3orf58	-0.8215
TCL1B	-0.377
KBTBD2	-0.459875
SUGT1L1	0.82275
UBE2E2	-0.642666666666667
MYL9	2.4615
CDC23	-0.809833333333333
PBXIP1	2.3064
CXorf40B	1.3725
NBL1	0.83125
RTBDN	0.0595
RAB11FIP5	0.749125
TTTY13	-0.895
SCOTIN	0.3365
SOHLH1	0.099
CDKN1A	-0.321357142857143
NCK1	-0.372
ZNF550	-0.11475
SAPS3	0.21125
SPIN3	0.728666666666667
MAGEE2	0.02
MIS12	-0.739833333333333
OR8H2	0.3585
KIAA0774	-0.451666666666667
UNC5D	-1.5275
CUL7	0.0541666666666667
LIPC	-3.11233333333333
DIO1	4.93125
C20orf11	-0.2393
CTRL	-0.80875
HS3ST2	1.336
PAK4	1.036
CCRL1	3.7405
RNF10	0.65
ZNF567	0.14925
ZNF660	-1.528
TCEAL3	1.977
MAGOH	-0.877833333333333
CENPB	0.0258333333333333
C19orf7	0.5335
LOC388965	-0.00125
ZCCHC13	0.5605
JMJD1A	-0.9503
HIST1H4H	0.331
TBRG1	-0.6182
GPC3	-4.641
TAF1C	-0.791125
EBNA1BP2	-0.566166666666667
CIAPIN1	-0.95075
PDGFRA	-1.35488888888889
CSTB	-0.361125
CENPI	-2.32716666666667
GTF2E2	-0.617
RPP21	-0.40625
CCNF	-0.8065
KCNQ3	0.852
FAM79A	1.3105
SLC22A12	0.4885
NOVA1	2.15516666666667
FZD3	0.561
AKAP8	-0.52925
SOCS5	0.425375
CFDP1	-1.424
DLG5	0.75375
PGM5	0.125833333333333
C1orf144	0.259916666666667
HDAC10	-1.057
RND2	-0.80375
C20orf199	-1.82375
RNMT	-0.67175
SLURP1	1.204
ASTN1	-0.41075
SH3BGR	0.796
MYCL1	0.233
ZHX1	0.196
CENPK	-3.672
FOSB	1.5902
LOC643406	-0.028125
C2orf59	-0.68675
TMEM135	0.551
SLC27A2	-0.13825
KRT33A	2.4015
OVOL1	2.142875
PAMCI	-2.7875
S100A7	-0.683
ZNF789	-0.859
HARS2	0.64525
RPL23A	-0.848166666666667
TCF23	0.04575
UPF3B	-1.3235
C17orf78	-0.3255
HLA-DOB	-0.3525
C14orf142	0.2615
TEKT5	1.49516666666667
DMWD	0.1655
POLD1	-1.77416666666667
GSCL	-0.048
CALD1	-0.0046
SCRT1	0.6215
AIG1	0.3965
UNC84B	0.454
ZNF404	-0.2855
TMED6	-3.56375
KIAA1462	0.4705
LRRC27	2.01666666666667
PYGO1	-0.152
PIGU	-0.411833333333333
ALAS2	-3.52783333333333
WRNIP1	0.288375
CNNM3	0.6885
ZNF2	0.4
ST3GAL5	-0.516666666666667
MRPL23	-0.3865
TSSK6	0.3255
PSMA6	-0.281
C16orf70	-0.7305
KIAA1602	-0.0335
ALMS1	0.760666666666667
DCN	3.040875
TMEM132D	-0.37525
SUCLG2	0.057
ABHD14A	0.97475
DEXI	0.564166666666667
AMPD2	-0.654833333333333
IFNAR2	-0.621166666666667
CYB5A	2.7145
TLOC1	0.6282
NXF5	0.0376666666666666
NRBF2	-0.375
KCTD3	2.1595
ITGAE	-1.07283333333333
SLC30A3	-1.88316666666667
ZRF1	-0.965
IFRD2	-0.63775
XAB1	-0.437
PYCR2	0.226
SERPINB3	-4.3675
TMLHE	0.0436
GEFT	-1.61625
ABCA5	-1.870375
EMR4	0.214166666666667
TSFM	0.04275
HIST3H2BB	-0.06
ARHGEF19	1.5895
TSPAN17	0.161333333333333
ABCC8	4.66525
MAP1S	0.664166666666667
C22orf36	1.2065
BNC2	0.476285714285714
HIST1H4A	-1.23575
NDUFS3	0.134
WDR3	-0.9045
XKR4	-0.8075
TTC33	-0.364923076923077
STMN2	3.629
CPN2	-0.658
HSPC105	0.81125
PCOLCE2	-5.70975
C3orf55	-0.127
KLHDC9	3.69433333333333
TBC1D23	0.057125
ATXN2L	-0.99175
MAP2K3	0.310166666666667
SCAP	0.00225
ZNF486	-0.193
C20orf96	0.6785
NARS	-0.409
ADAMTSL1	-0.899642857142857
PRCC	1.1255
CCDC126	1.9015
ZNF675	-0.918
CALCOCO1	0.78175
ANKRD43	4.192
CWF19L2	0.392833333333333
ZBTB32	0.283166666666667
BRAF	0.03025
ODF4	0.25875
MGC14376	0.125666666666667
HORMAD1	-2.349
AAK1	0.117583333333333
PEBP1	1.20216666666667
TNFSF5IP1	-0.165333333333333
DKFZp564N2472	0.58325
RMND1	1.0035
IGKV1-5	2.4895
COL1A2	3.608
SERPINA5	-3.882625
AANAT	0.456
C19orf21	-1.02116666666667
GEMIN5	-0.20875
UBR4	0.0913333333333333
LTBP3	1.22866666666667
AMHR2	-2.31433333333333
PROCR	-1.39475
MYBBP1A	-0.55725
C20orf39	1.89416666666667
ZNF697	0.439
PASK	-0.3898
ZNF776	0.6445
RFXDC2	-0.07
KIAA0467	-0.0575
C10orf96	-0.8865
ZNF503	-0.821
GULP1	-1.93966666666667
KCNE4	4.33366666666667
DKFZp434K191	-0.503375
LOC196913	0.12
BHLHB4	0.8785
CH25H	1.225
LOC81691	-0.304166666666667
ALPL	-0.1745
COL12A1	3.54125
FOLR3	-2.387
GPR123	0.11375
TRIM62	0.826285714285714
ABLIM1	0.522666666666667
MAST3	-0.045
RHBDD1	0.691333333333333
LOC338809	0.9235
RYBP	1.11775
TTC26	0.0255
ZNF22	0.0848333333333333
ISCA2	0.10975
RDM1	-2.036
PIGM	1.03875
GNB3	-1.1105
ACTR2	-0.0291
HMGB1	0.2442
EDG1	2.13983333333333
SOAT2	-3.7205
OR10AD1	0.604
RAP1GDS1	0.103
LCE1F	0.22
ESM1	-1.105625
RCN3	2.35725
CREBL1	-0.4445
DBNL	0.0955
PTGER3	2.87025
USP30	0.350166666666667
BCL2L12	-0.429666666666667
KIF26B	2.76125
ZNF416	0.658
ZNF225	0.2805
C17orf70	0.457
ZNF554	0.8405
RAE1	-1.111
TNIK	0.803833333333333
ACTN3	0.8355
MGC45922	0.9295
CCNA1	0.478
RYK	0.403833333333333
IL26	0.141
LRP3	0.922
QARS	-0.0755
SOX7	0.574285714285714
BID	-1.1105
OR2S2	0.3235
CXCL14	6.2495
C11orf47	-0.563
MGC29891	1.32616666666667
HSPB8	2.2667
PRDM14	-0.5005
NUFIP2	0.14075
MNAT1	-0.7355
ZDHHC2	-1.52433333333333
MBNL2	0.391375
ADD3	0.55975
CSNK2A1P	-1.066
KLK6	-1.09416666666667
TMEM111	0.3599
KIAA1279	0.615
NUBP2	0.574833333333333
RAB42	-1.42525
ID3	-0.8363
TM9SF1	0.6015
MDP-1	-0.25975
POU4F2	0.179
IQCK	1.96975
C16orf14	-0.22225
CAPN3	-1.522625
FAM43B	-0.421
RECQL	-1.2225
AP1G1	-0.293142857142857
CTNNBL1	-0.473166666666667
ECHDC1	-1.14766666666667
SMARCC1	0.0609
FOXQ1	-0.796625
GNAI3	-0.197666666666667
POLG2	-1.785
CD4	1.056625
ITLN1	-0.732
EBI2	2.319
IRF1	0.93575
PTPRE	1.5117
PTK2B	0.182
NXNL2	0.945
SOX4	1.27855555555556
TSPAN3	0.351
