Hybridization REF	TCGA-AO-A03T-01A-21R-A034-07
MRS2L	-0.07575
DNAH17	-0.9345
C19orf10	-0.40625
C1orf160	1.53525
SLFN12	-0.74975
EXOC3	-0.737166666666667
HIST3H3	0.63025
NCOR2	0.124833333333333
TNFRSF9	0.9385
MFSD8	-0.943
ALX1	-2.73066666666667
NOL1	-1.21
PODN	2.024
TIAL1	-2.0645
HIST1H1E	2.10275
NPY6R	0.38425
TM4SF4	-0.0765
CORO2A	-0.85225
ETNK2	1.16783333333333
APOE	0.3558
ANGPT4	1.1295
HDGF2	0.2165
G30	-0.3025
ST8SIA4	-1.094375
F2RL1	-0.3215
FAM19A4	-2.96075
CCAR1	0.09025
B3GNT7	0.02775
OPHN1	-0.2656
DSCR6	0.92
C21orf13	1.29633333333333
GAS2L1	0.36425
RFX3	-0.154333333333333
COPS4	-1.086875
BCHE	-4.30583333333333
BCL2	2.89325
HBZ	-2.76416666666667
ARL13B	0.394375
MAPBPIP	1.090875
MYO15B	0.792625
SPZ1	1.8175
KIAA1324	3.90088888888889
PLCL2	-1.7685
C4orf29	-2.1575
WDFY2	-1.26525
ZNF284	-1.077
NAALADL1	0.073
DUSP5	1.491
PXDN	-1.1305
SLMO1	0.56725
TNXB	1.0726
BIRC7	-0.6075
A4GALT	1.13316666666667
TIMM22	-0.743
FAM110C	1.8505
TOMM34	-0.802875
ABHD9	0.7985
ADAM32	0.4965
CRHBP	-0.5505
AQP2	1.22725
LOC130355	1.2305
ZNF187	0.0958333333333333
ZNF816A	-0.19
F7	-0.147375
CNOT1	-1.0141
SLC13A4	-0.76375
ZBTB11	-0.80875
B3GALT5	-0.04025
EXOC2	0.369833333333333
IRS1	1.0841
TMEM1	0.0548333333333333
MRPL34	0.427666666666667
SAMM50	-0.741
CDC42EP3	0.22475
HSF2	-1.7308
MFN2	0.2055
TSPAN7	-1.61583333333333
NUCB1	0.832666666666667
RHOH	-1.03375
ARL16	-1.0485
TACR1	0.4565
SFRS5	-0.694
SNX25	0.8415
RHBDF1	0.246666666666667
PCDH18	1.62383333333333
HMG1L1	-0.0975
MYO5C	1.12925
MAPK10	0.352
LDHAL6A	0.351
NUDT12	0.861666666666667
NCAM1	-0.124142857142857
GLIS2	1.343
GGTL4	0.66225
DAPP1	-0.68475
ATF7	0.933625
KIAA0748	-0.7965
NFIL3	-1.3735
TM6SF1	0.7788
SEZ6	0.847
NANOS3	0.620833333333333
DNAJA3	-1.04783333333333
CLDN6	-1.9315
CIITA	2.8587
EPHA4	-1.07158333333333
FANCC	0.76575
CMTM3	-0.558375
PSG3	0.044875
MRPL15	-0.892
C21orf59	1.07475
PLCXD2	0.3225
C2orf34	0.292625
UBE2L6	1.826125
MED14	-0.395
HP1BP3	-0.8455
C6orf208	2.1105
TPBG	-0.317
OSR2	2.99675
XPC	-0.585
KLHL7	-0.74525
CCR3	-0.438333333333333
AGTPBP1	-0.975
PCSK6	1.50913333333333
STAT5A	-1.2499
FAM18B	-0.131
LONRF2	0.488166666666667
PTPN2	-0.5525
SF3A3	-0.944
EFCBP2	0.678
HCFC1	-1.062
AHNAK	0.5485
ACTR5	-0.5165
KIF14	-1.23928571428571
TENC1	1.2355
HEATR5B	0.6805
YIPF2	0.591
MYEOV2	1.16233333333333
DUSP18	1.78075
KIAA1012	0.18225
AHR	-0.266333333333333
C17orf53	-1.84766666666667
PTPRH	-2.40475
ATP6V1C1	0.0592
TAS2R3	1.13
LOC440356	0.3535
COQ10B	-0.19225
PSMF1	0.338833333333333
SORBS2	1.32316666666667
NFE2L2	-0.22575
TMCO7	-0.1615
SH3PXD2A	-0.1224
SH2D2A	-0.677
SPINK5	-2.75775
MRPS24	-0.314
OPA3	1.179625
TRAF7	-1.07766666666667
C4orf35	-0.134166666666667
MT1G	1.417125
MGC39545	0.5345
HS1BP3	0.7965
OR2B2	0.2415
CHRM4	0.3125
SFRP2	1.532
RIC3	0.88975
ART1	-0.056
C6orf1	1.264125
DUS4L	-1.61375
C10orf104	0.12225
TNFAIP6	2.695
RTEL1	-0.19475
CCT4	-1.5541
ZNF709	-0.413
CHMP6	1.0175
UPP2	0.529333333333333
CYP19A1	-1.917125
CD151	-0.93
NDUFA13	0.159833333333333
ARFRP1	-1.26
FAM26B	0.94025
CRYBA1	-1.255
MRPL41	1.40283333333333
NPFFR2	-1.210375
HRH2	0.3295
SCAMP3	-1.21133333333333
MTMR6	-0.2903
MTG1	-2.00266666666667
UBTD1	0.468
CRABP1	-0.388
FLJ33790	1.8013
KIAA1908	-0.373
GPR158	0.43175
PACSIN3	-0.9415
OMD	0.514166666666667
CATSPER1	-0.614166666666667
HOXB8	-0.304
FBXO46	1.643
OAS1	2.55516666666667
SVIL	-0.912
PHB2	-1.68675
ADCY3	0.8995
NDRG2	1.49616666666667
ERMAP	-1.0868
APBA2	-2.209
IGSF9	2.8695
WNT6	1.23592307692308
MYCBPAP	1.6465
ATP2B2	-0.1797
CPVL	-2.2817
TRAM2	-0.45225
NOP5/NOP58	0.806
ZNRF4	0.4995
TLK1	-0.407625
MTMR12	-0.530928571428571
ZNF384	-1.21616666666667
FAM9B	-1.85225
RPN1	1.1516
PMVK	0.148
EIF3D	-0.296
SIX2	0.08325
HPS1	0.276428571428571
RNF7	0.40375
PSKH2	0.6405
KCTD13	-0.389166666666667
CSMD3	-0.5197
FBF1	-0.448
IL8	-5.68975
SERPINB13	0.385833333333333
FBXL20	-1.13475
BLR1	0.53975
SH2B1	0.078
RFNG	0.24
RAB20	-0.633166666666667
RBM7	-2.89425
POLR1A	-0.848666666666667
TMPRSS4	0.09325
TAF9	-0.611125
TERF2	-0.250333333333333
TNFRSF1A	-0.0456666666666667
ACADVL	-0.457666666666667
GTF2H5	0.30075
EDG8	1.16883333333333
C9orf140	-0.26275
UST6	0.23025
ZBTB8OS	0.54825
ZNF710	0.785
GPR174	-3.0135
ATP6V0A2	-1.64825
KIAA0319L	0.882083333333333
XKRX	-1.1045
DOPEY2	0.6765
SDHD	-1.79091666666667
SUMF1	0.57025
OSM	0.9625
OPN3	-1.504
DAGLB	-0.316166666666667
PPFIBP1	0.2272
TRIM63	-2.6355
C10orf53	0.073
LYPD3	0.508666666666667
BCL7A	0.18975
AGER	-0.606
TCF19	-0.977875
SAT2	0.1735
PFTK1	1.61316666666667
GABRE	-2.626875
C15orf38	1.1854
FIS1	-0.5665
KCNV2	0.47975
CLPS	0.82375
PPCDC	-0.281125
FOXN2	1.40583333333333
NT5E	-3.4679
CD83	0.4405
IL18	-1.061875
VPS16	0.47925
IGFBP2	-0.590666666666667
NOTCH2	0.116
SIGLEC1	1.65675
CD93	4.5045
SULF2	2.31325
CEP164	0.044
P53AIP1	0.247166666666667
TOR2A	0.408
ZNF136	1.18225
MGP	4.2027
CCDC144A	0.977
TRPC1	-0.362833333333333
SMS	0.9005
MAPK7	0.190666666666667
RRAGC	0.01375
PARD6A	1.58133333333333
NUB1	-0.174
SYNGR4	1.0485
OR11H12	-0.0385
WIF1	3.708875
GCH1	-0.47475
OR11H4	0.1075
SLC44A5	0.213
GPRIN2	1.13883333333333
LOC401431	0.157
CPA4	-1.4289
MELK	-1.87322222222222
IL15RA	-0.1035
CUL3	0.245
HMBOX1	0.1595
PODXL	-1.839
CCT6B	1.6545
COMTD1	1.2405
MUC20	-0.1675
GPX2	-0.592
ITK	-0.799
FBXL5	1.83325
C13orf27	-1.04075
DEFA5	0.2255
TRHDE	-0.0665
MTP18	-1.05116666666667
UQCRQ	0.7495
ITGB2	0.73075
CSRP2BP	0.169
TAS2R44	1.1375
PHPT1	0.808
FAM44C	-0.8435
ERH	0.4685
MPHOSPH1	-1.866
MORC1	-0.2295
PARVB	-0.6425
LAMA1	-2.15025
PGBD3	-0.506
GIMAP6	3.9405
AREG	2.57166666666667
LIPT1	-0.31575
MGC99813	0.79625
C1orf201	0.773333333333333
GRIN2A	-0.8788
MAN2C1	-1.127
NSUN5	-1.12025
SF3B5	-0.88325
MYC	-1.03133333333333
NRXN1	0.56375
ZNF18	0.538
SPDYA	0.2395
SLC37A1	1.852
DECR2	-0.20225
ANKRD38	-0.0208571428571428
SPTLC3	-0.72375
SUPT16H	-0.50025
DTWD2	0.29925
ULBP1	0.267
ZADH1	-0.244666666666667
OIP5	-2.163
IL10RB	-1.02233333333333
OTUB2	-0.77475
VWA3A	0.957333333333333
SPIC	0.618
OR6C4	-0.387
PSCD4	0.877166666666667
DPY19L2P2	-0.016
TRAPPC6A	0.285666666666667
C21orf2	0.109166666666667
CEMP1	0.497
LIN7B	1.913
E2F7	-1.52316666666667
VCP	-0.0585
LAMA3	1.99491666666667
BGN	1.09625
GPR160	0.161333333333333
COCH	-1.777
GPR81	3.01066666666667
APOBEC3F	-1.229
tcag7.1017	-0.5635
C1orf32	0.6245
SCGB1D2	7.27525
FLJ43987	-0.5025
C6orf170	-0.454
KLK9	1.2575
GPD1L	-0.418
VPS37B	0.52
ATG3	-1.09183333333333
ADAMTS17	-0.295
KLHDC2	-1.209
NDUFV2	0.0625
BLK	-1.59925
MATN4	-0.336
GPM6A	-0.313285714285714
GBP4	5.17333333333333
TMEM162	0.515833333333333
PKP2	-0.5545
HRASLS	-2.94888888888889
MMP1	-4.79525
SFXN3	-0.3169
FSD1	0.733166666666667
ST6GALNAC3	-1.82783333333333
CA12	3.4991
NCOA6	0.488
C19orf58	0.0332
PPP4R1	-1.24933333333333
MAN1A2	1.30916666666667
IKBKAP	-2.59
UPF1	0.207666666666667
KIAA1219	-0.3645
WNT16	0.106833333333333
SNW1	-1.25125
IL18RAP	3.1275
RPP30	-1.05175
CDC40	-0.752214285714286
SETD3	-0.182166666666667
SLAMF6	-0.5175
ELK4	-0.994
TRIM47	1.904
ACOX3	1.779
TRIM6	0.436625
KIAA0372	-0.7345
TP53AP1	2.100125
SMURF2	-1.485
ADAD1	-0.0527499999999999
EBP	-0.3591
KRTAP13-2	-0.0305
FLJ36874	-1.31283333333333
TOR1A	-0.308333333333333
P2RY4	1.6415
GPBP1	-0.262
TRPV1	0.0645
ADAMTS12	-0.2185
PES1	-0.4169
ATG4A	0.3975
MAGEA10	-4.1895
WFS1	2.40575
CC2D1B	-0.480833333333333
PABPN1	0.645875
SLC25A30	-1.0165
SLCO1C1	0.0791666666666667
SLC22A5	3.165
KIF23	-1.86116666666667
SYN2	0.2235
ASPN	4.7945
CENTG2	-0.375
QSOX2	-1.8737
FLJ10815	0.717
STK24	-0.4349375
SPEG	0.832
STK10	-0.1335
DACT2	0.299
AAAS	0.20475
SSX3	-1.297875
ABCD3	-0.3008
C4orf12	0.268125
PARVG	0.00383333333333333
FIG4	-0.3545
C9orf46	0.3995
TMCO6	-0.322
IGHMBP2	-1.2
DUS2L	-0.907
FAM3C	-1.3750625
TMEM16D	-1.82666666666667
DCTN4	0.3715
KCNH3	1.32775
EIF2AK2	3.1485
AP1S3	-0.929625
CST4	0.3645
PAM	-1.1026875
NUTF2	0.328
CITED2	-0.9677
SLC39A4	1.254
C2orf52	-1.003
GRM3	0.05475
C12orf49	-0.532
CCDC49	-0.8281
GRAMD1B	-0.870125
FNDC4	-0.277
SIAH2	-0.0915
GDPD4	-0.0435
C21orf87	0.365125
ATP5A1	-1.42933333333333
C16orf63	-0.735875
LOC388135	0.0473333333333333
ATP5J2	-0.02275
MMP3	-2.062
EMID2	-0.30575
CRHR1	0.18225
WDR70	-0.5305
C13orf31	1.83425
ZFAND1	0.03975
CCL18	3.5
C3orf49	-0.102
RINT1	-0.446
KIAA0408	-1.19533333333333
F13A1	3.6308
SLC10A1	2.08466666666667
OGN	1.32475
GIPC2	-1.35333333333333
XPO6	-0.928333333333333
LCE1A	1.6845
FMR1	0.1428
LOC374920	1.0535
DUSP3	0.553875
ANKMY1	-0.4415
C7orf50	0.374
BBS9	0.0033
UNC119B	-0.8115
C9orf72	-0.5225
MGC35440	0.40625
ENTPD6	-0.03975
PPP1R2P9	-0.16225
ERCC4	0.0845
FAHD2B	-0.199
HMHA1	0.3415
HACL1	-1.55
RAD23A	0.517666666666667
FAM83B	0.1275
PPP5C	-1.30233333333333
RNASEH2C	0.07375
C9orf153	0.65025
SCAMP4	1.600125
GHITM	-0.6654
NDUFB7	1.23825
ADCYAP1	0.4235
SP110	2.33066666666667
MAP3K7IP2	-0.25375
DHH	0.235
AGRN	0.291714285714286
WDR33	1.4065
CEP290	0.849666666666667
PRPS1L1	-2.2625
KLRA1	-0.6345
GPR97	-0.2935
CHD7	0.2165
TLR10	0.9335
SLC30A8	-1.384
HIC1	1.13833333333333
IAPP	1.6305
RXFP4	0.4395
GP1BB	1.91025
SHQ1	-0.4605
NKX2-3	0.424
API5	-0.516
FTHP1	-0.369
MOV10L1	-0.234666666666667
TRIM6-TRIM34	2.63366666666667
ADHFE1	0.71875
FAM117A	-0.45
DDI1	0.393666666666667
CDON	-0.286666666666667
TRIM73	-0.901
IGKC	2.179
MMP14	-0.632583333333333
DYNC1LI1	-0.864375
C11orf66	1.1565
TRBV3-1	-0.428
FASTKD5	0.016
BIVM	-0.65025
LHX4	0.98175
CXCL2	0.1556
RAB2B	-0.722666666666667
IZUMO1	-0.64975
MAP3K15	-1.115
FAM19A2	0.0886666666666667
ZC3H8	-1.637
ZMAT1	2.4935
SPINK5L3	-2.73766666666667
SLC10A6	0.927
APPL2	-0.584
CARD10	-0.0668333333333333
LOC402176	-1.87325
EEF1D	0.8355
RAB6A	0.722
C12orf5	-1.535625
PAPOLG	0.14525
MSRB2	0.28825
BCR	0.743833333333333
PUS3	-0.64175
TIAM2	0.13825
ZNF317	0.155833333333333
CHD2	-0.0132142857142857
FZD5	-2.179
NUDT8	-0.4405
ZNF763	0.34
PRC1	-0.334444444444444
ABCB9	0.249166666666667
SPATA3	0.16175
TRAK2	0.2425
STAB1	2.399125
LRRTM2	-0.07
psiTPTE22	2.187
DBI	0.33625
SERPINA11	0.0395
NAT5	-0.103
C20orf58	-2.315
RPS6KA4	0.718
FLJ90650	-0.5835
TGFBRAP1	0.3785
CHRDL2	1.11025
FAHD2A	-0.460833333333333
CNTN1	0.1725
BBS4	-0.3222
TMEM181	0.3345
MINPP1	-2.2135
MPHOSPH6	-0.207833333333333
HOXC10	-0.7727
ITPKB	0.2645
CLPTM1L	-0.483625
MEOX2	0.569
ATP6V0C	0.58825
PRPF8	-1.30316666666667
TMC5	2.567
FKBP3	-0.518
PLEKHB2	-0.68225
OR4D6	-0.1015
ZNF544	0.0751
D2HGDH	-0.23025
RPL18A	-0.82
HEL308	-0.464125
MPP6	-4.59
TCERG1	-1.638
KRT16	-1.417
KLF17	-1.3625
KLF5	0.514125
CDR1	1.93475
VCX3A	-0.3295
FBLN2	0.259375
C14orf104	-0.22025
HBE1	-4.5538
OR4S2	-0.075
C1orf108	-1.26466666666667
ROBO4	4.04083333333333
CPEB4	2.75025
C11orf80	-0.2315
BCKDHA	0.19
MYOC	0.57325
GIF	0.7825
CKMT1A	2.1615
RPL3	-0.6278
THBS1	2.156375
APOO	1.162
ARMCX1	1.6765
HSZFP36	0.714
SNAPC5	-0.499
EIF4ENIF1	0.59525
ZNF433	0.20725
TNFRSF21	-0.975375
TMPRSS7	-0.9675
SPATA18	1.6731
HPDL	-2.1905
MKL2	1.1869
TBX3	2.09130769230769
C21orf93	1.10316666666667
DAXX	0.61675
ELMO1	-0.137875
RGS13	0.6554
TAF11	-1.81925
UNC13A	0.35475
LOC653314	-0.5956
ORC3L	-1.18375
IMAA	-2.1165
TARBP2	-0.71875
CABIN1	1.0781
TRIOBP	0.7244375
HIST1H2AC	0.922125
RGS22	0.440333333333333
NCOA1	1.74283333333333
IL25	1.4005
SNCG	2.3355
GPR6	0.475
AMDHD1	-0.744666666666667
CHEK2	-1.00225
C6orf142	-1.154
DRD4	1.1045
C14orf68	-0.734
GDF11	-1.6555
SEMG2	0.3315
CD247	-0.5835
CDAN1	0.419
RBMX2	-0.856333333333333
TGS1	-1.3245
OIT3	1.566
SYF2	-0.65025
MCM4	-2.0885
PKHD1L1	-0.542625
CEP192	-1.1005
IFT88	-0.15075
RPL9	-0.600714285714286
RAB32	-1.797375
DDX43	-3.6445
P2RX2	0.528
OR5D18	-0.716
UBE1	-0.01275
SLC24A1	0.25925
ARHGAP5	-0.388
CETP	0.088
KIAA1731	-0.353833333333333
SLC9A4	-0.4335
PTPN6	0.8685
BAHD1	0.94925
GRIK3	1.13
CACNB2	-0.3648
PDE10A	-1.00025
DGCR14	0.7715
PCDHB9	-0.392833333333333
RHOQ	1.17666666666667
MAP3K4	-0.87225
KTI12	0.0161666666666667
RPL23AP13	0.41425
GNG11	0.66075
CLCN3	1.5295
GPAM	-0.78575
VSTM2A	1.6825
SLAMF7	2.63033333333333
INTS2	-1.268
PPP2CA	-0.9032
LRP12	-0.670533333333333
SEC14L2	2.87077777777778
DKFZP586H2123	2.5115
MC3R	-0.166
CIRH1A	-1.60483333333333
HIST1H2AB	2.38366666666667
POLH	-0.47475
MGC16703	-1.36016666666667
SNAPC2	1.2205
FILIP1L	0.52325
RASGRP4	0.2805
LRRC1	2.1775
GAS1	0.1105
PRAC	-0.66325
DGKA	0.234833333333333
NT5C3	-0.02325
PEG3	-1.63191666666667
NADK	-0.581
PRR17	1.996
LOC374569	-1.038
SGSH	0.145
NLRP8	-0.151
GALT	-0.0802
MCF2	-0.8035
ZNF263	-1.1225
TACSTD1	1.01183333333333
TYR	-5.985
ATP6AP2	-0.401
RNUXA	-0.196
ABHD10	-0.109
GDPD2	-0.2685
SLC35C1	0.8995
UBE2A	0.11425
HERC5	0.354666666666667
FAM112B	-4.471
FBXL16	2.655
DKFZP434A0131	0.0815
ELA3A	-1.6265
RBM41	-1.6045
HAO2	0.643666666666667
RNH1	-0.7205
SHANK2	2.155
OSBP2	-0.733875
DAK	-0.205
C3orf58	0.569666666666667
TCL1B	-0.63
KBTBD2	-0.662625
SUGT1L1	0.35025
UBE2E2	-0.966
MYL9	3.10225
CDC23	-0.879666666666667
PBXIP1	1.5655
CXorf40B	0.9345
NBL1	2.56375
RTBDN	2.3015
RAB11FIP5	0.795875
TTTY13	-0.371
SCOTIN	-0.416083333333333
SOHLH1	0.406833333333333
CDKN1A	0.829785714285714
NCK1	-0.78875
ZNF550	-1.1335
SAPS3	0.21425
SPIN3	-0.127833333333333
MAGEE2	0.1225
MIS12	-1.45866666666667
OR8H2	0.1595
KIAA0774	0.2058
UNC5D	-1.0895
CUL7	-0.207666666666667
LIPC	-2.89033333333333
DIO1	3.81375
C20orf11	0.3212
CTRL	-0.26725
HS3ST2	-0.437
PAK4	2.0225
CCRL1	1.75925
RNF10	1.122125
ZNF567	-0.795
ZNF660	-0.715
TCEAL3	1.42225
MAGOH	-0.208
CENPB	0.519
C19orf7	0.93175
LOC388965	-0.582
ZCCHC13	2.487
JMJD1A	-1.5694
HIST1H4H	2.4895
TBRG1	-1.4606
GPC3	-3.73075
TAF1C	-0.170125
EBNA1BP2	-0.7935
CIAPIN1	-0.64125
PDGFRA	-0.731055555555556
CSTB	0.016
CENPI	-1.98233333333333
GTF2E2	-1.00383333333333
RPP21	0.955
CCNF	-1.438
KCNQ3	1.398
FAM79A	0.3495
SLC22A12	0.7325
NOVA1	0.433666666666667
FZD3	1.3806
AKAP8	-1.3655
SOCS5	-0.7865
CFDP1	-1.19
DLG5	0.2415
PGM5	0.0876666666666667
C1orf144	-0.172666666666667
HDAC10	-1.3475
RND2	0.8475
C20orf199	-0.664
RNMT	-1.276
SLURP1	1.5225
ASTN1	0.00237499999999997
SH3BGR	1.199
MYCL1	-0.581
ZHX1	-0.121333333333333
CENPK	-2.74075
FOSB	3.0957
LOC643406	1.317625
C2orf59	-0.0695
TMEM135	-1.358
SLC27A2	-0.11
KRT33A	2.329
OVOL1	1.46485714285714
PAMCI	-2.2065
S100A7	-0.1815
ZNF789	-1.395
HARS2	-0.50125
RPL23A	-0.682333333333333
TCF23	0.00549999999999995
UPF3B	-1.135625
C17orf78	0.8905
HLA-DOB	0.739
C14orf142	-0.8325
TEKT5	2.048
DMWD	0.693
POLD1	-1.42033333333333
GSCL	0.081
CALD1	0.2754
SCRT1	0.5615
AIG1	1.32625
UNC84B	-0.99125
ZNF404	-1.004
TMED6	-3.45425
KIAA1462	-1.132
LRRC27	1.33566666666667
PYGO1	0.011
PIGU	-1.64833333333333
ALAS2	-3.32066666666667
WRNIP1	0.488375
CNNM3	0.155
ZNF2	-0.61175
ST3GAL5	0.261
MRPL23	-0.1225
TSSK6	-0.0255
PSMA6	-0.33275
C16orf70	0.08975
KIAA1602	0.68275
ALMS1	0.64
DCN	0.567375
TMEM132D	-0.14475
SUCLG2	-1.23975
ABHD14A	0.534
DEXI	0.187833333333333
AMPD2	-1.333
IFNAR2	-0.176833333333333
CYB5A	2.6394
TLOC1	0.1012
NXF5	-0.398666666666667
NRBF2	-0.612125
KCTD3	1.77525
ITGAE	-2.18166666666667
SLC30A3	-1.95666666666667
ZRF1	-0.685
IFRD2	-1.06675
XAB1	-0.6065
PYCR2	0.3255
SERPINB3	-4.1215
TMLHE	-0.7762
GEFT	-0.992875
ABCA5	1.295125
EMR4	-0.292833333333333
TSFM	-0.43125
HIST3H2BB	1.713
ARHGEF19	0.55075
TSPAN17	0.0686666666666667
ABCC8	5.58225
MAP1S	0.602166666666667
C22orf36	2.107
BNC2	-0.998214285714286
HIST1H4A	-1.565
NDUFS3	-0.0221666666666667
WDR3	-0.781666666666667
XKR4	-0.12425
TTC33	-0.888769230769231
STMN2	2.3115
CPN2	-0.881833333333333
HSPC105	1.471125
PCOLCE2	-3.52725
C3orf55	-1.2755
KLHDC9	2.31666666666667
TBC1D23	0.126875
ATXN2L	-0.78
MAP2K3	0.606583333333333
SCAP	-0.632
ZNF486	0.853
C20orf96	2.1805
NARS	0.513
ADAMTSL1	-0.987428571428571
PRCC	0.689833333333333
CCDC126	0.000749999999999991
ZNF675	-0.3845
CALCOCO1	0.40475
ANKRD43	3.42475
CWF19L2	-0.791166666666667
ZBTB32	1.23516666666667
BRAF	0.18275
ODF4	0.483333333333333
MGC14376	0.116666666666667
HORMAD1	-1.53266666666667
AAK1	0.0302727272727273
PEBP1	1.37283333333333
TNFSF5IP1	-0.593
DKFZp564N2472	-0.8015
RMND1	0.272
IGKV1-5	3.29675
COL1A2	2.562
SERPINA5	-0.306875
AANAT	0.346
C19orf21	1.4545
GEMIN5	0.466
UBR4	-0.968
LTBP3	1.10216666666667
AMHR2	-2.85483333333333
PROCR	0.832
MYBBP1A	-0.5435
C20orf39	-2.3785
ZNF697	-0.541375
PASK	-1.2118
ZNF776	1.82183333333333
RFXDC2	-0.2365
KIAA0467	0.82625
C10orf96	-0.71125
ZNF503	-0.62
GULP1	-1.83433333333333
KCNE4	1.67883333333333
DKFZp434K191	1.30125
LOC196913	0.299
BHLHB4	2.1785
CH25H	0.80675
LOC81691	-0.811833333333333
ALPL	0.422285714285714
COL12A1	0.263
FOLR3	-2.1915
GPR123	-0.036125
TRIM62	0.5575
ABLIM1	0.148666666666667
MAST3	-0.68775
RHBDD1	-0.2255
LOC338809	0.402
RYBP	0.61125
TTC26	-0.272625
ZNF22	0.0928333333333333
ISCA2	-0.828
RDM1	0.3985
PIGM	-0.165
GNB3	-1.3485
ACTR2	-0.1455
HMGB1	-0.2403
EDG1	3.23566666666667
SOAT2	0.18275
OR10AD1	1.471
RAP1GDS1	0.745833333333333
LCE1F	0.4955
ESM1	-1.58575
RCN3	1.41175
CREBL1	-0.12925
DBNL	-1.15266666666667
PTGER3	2.5045
USP30	-0.1975
BCL2L12	-0.480166666666667
KIF26B	1.38025
ZNF416	0.2915
ZNF225	-0.89
C17orf70	0.59575
ZNF554	0.69325
RAE1	-0.5855
TNIK	0.128833333333333
ACTN3	-0.367
MGC45922	1.8325
CCNA1	-0.721166666666667
RYK	-0.119333333333333
IL26	0.704
LRP3	1.57683333333333
QARS	-1.32575
SOX7	0.505428571428571
BID	-0.466125
OR2S2	0.0815
CXCL14	4.30625
C11orf47	-0.713
MGC29891	-0.149666666666667
HSPB8	3.1819
PRDM14	-0.8485
NUFIP2	0.55425
MNAT1	-0.595
ZDHHC2	-1.99241666666667
MBNL2	-0.409
ADD3	-0.95175
CSNK2A1P	-1.388
KLK6	0.473833333333333
TMEM111	-0.4225
KIAA1279	1.29175
NUBP2	-0.00916666666666668
RAB42	0.46225
ID3	-0.8874
TM9SF1	0.4715
MDP-1	0.89525
POU4F2	0.781
IQCK	1.48
C16orf14	0.17525
CAPN3	-1.639875
FAM43B	0.574
RECQL	-1.7955
AP1G1	0.162928571428571
CTNNBL1	-1.17
ECHDC1	-1.48383333333333
SMARCC1	-0.5462
FOXQ1	-0.47725
GNAI3	-0.290333333333333
POLG2	-2.02625
CD4	1.306125
ITLN1	-0.36075
EBI2	3.20525
IRF1	0.04625
PTPRE	2.8043
PTK2B	-0.40175
NXNL2	-0.4425
SOX4	-0.267111111111111
TSPAN3	0.982833333333333
SH2D1A	-2.48383333333333
C8orf58	0.083
USP20	-0.76475
DUSP22	-0.807
CALB1	-2.2
L3MBTL2	2.08391666666667
MCRS1	-0.91075
TMEM118	0.668666666666667
C18orf8	0.852833333333333
FLJ10241	-0.068625
GJA12	0.93825
PKD1	-0.3615
ZFP3	-0.16
JAM3	-0.9955
LAPTM4A	0.7672
DIRC2	0.59875
KIAA2022	-0.0491666666666667
MYOM1	0.364833333333333
TRPM8	-2.30766666666667
MOP-1	2.33825
PHKG2	0.74175
ZNF650	0.402125
KIAA1522	1.6075
PSG8	-2.16633333333333
DDX19B	-0.651
MOBKL1B	-1.2395
DIAPH2	-0.133583333333333
PTPN12	-0.70825
CLN8	-0.291
CRYZL1	-1.06016666666667
CRY2	-0.106166666666667
FCGR2B	1.7995
PNPLA4	2.631375
ZNF454	0.593
DKFZp434B1231	0.2735
CLDN11	0.3796
RFWD2	0.301
CIB2	-0.451166666666667
MXRA8	2.4595
HRK	0.24
MAML2	-0.4775
C4orf31	-0.23575
C6orf192	-0.61775
COG6	-0.037875
FAM5B	2.4665
NFATC1	-0.1646
SEPT10	-0.252
SCYL1	-0.1146
RPP40	-1.5815
SCOC	-0.1797
KIAA1450	-0.216
CTDSPL2	-1.65975
TBX5	1.61666666666667
NAPG	1.495
RHD	-3.85875
C14orf45	0.347
ZBTB22	0.7035
PLCG1	-0.7135
ANKRD10	-1.220625
AQP7P2	0.71825
TAGLN2	0.530166666666667
HTR2C	-0.680333333333333
SLC16A7	-0.822833333333333
C17orf83	-0.142666666666667
TSGA14	-0.665
MDH1	-0.15825
PPP3R2	0.4464
DCBLD2	-2.50135714285714
RBM33	-0.5935
DPH3	-2.17325
SYT10	-0.922833333333333
FMO4	1.111375
THYN1	-1.616
DRD5	-2.9255
OTOR	0.407
PGRMC2	-0.0227
KATNAL1	0.11375
PAQR6	-1.28375
UBE2I	-1.03875
C14orf28	-0.504
C8orf70	2.5345
FLYWCH1	-0.222875
ANGPTL3	-0.35475
GLRX2	-0.116666666666667
ATP11A	-1.14485714285714
ARL5B	-0.807625
MUC16	-2.4595
SLC25A5	-2.00692857142857
ACRC	-0.71225
MYO1C	-0.06775
FAM89B	1.50116666666667
FAS	0.392125
KIFAP3	0.29525
GLRA2	0.1395
BTN3A2	1.2863
CNKSR3	-0.1535
CSTF3	-0.505166666666667
ARPM1	0.088
KIAA1530	0.0635
C9orf150	3.68516666666667
PRKCI	0.61125
tcag7.1015	-1.7075
SOD3	-0.43375
ZNF574	0.86375
CYP21A2	1.81875
RPL12	-0.28175
COMMD2	-1.672
WIZ	0.17425
LOC344405	-1.0765
ALDH4A1	-0.176058823529412
CRYAB	3.51925
COPA	0.2565
PCDHGA7	1.29133333333333
KIF11	-1.34508333333333
RASD2	0.433625
SLC26A3	1.095
ZNF175	-1.7885
