Hybridization REF	TCGA-AR-A0TQ-01A-11R-A084-07
CYLD	0.485125
WTAP	0.2341875
MGAT4A	2.50855555555556
TSC22D4	-0.1654
CHRM2	-1.647
PPYR1	0.0401666666666667
CCNH	-0.138833333333333
RRM1	-0.22825
ECAT8	-3.7275
LOC400120	0.0395
GABRA4	-0.398625
C14orf4	0.8005
C1orf59	0.314
CTDSPL	-0.334083333333333
NHEDC2	-1.1085
PDE11A	-0.6285625
KLHL29	-1.6215
CD5	0.9262
TSPAN9	1.3890625
WDR67	-0.61525
THUMPD1	-0.1013
C18orf17	0.00725
CLYBL	-0.869333333333333
FLJ13231	-0.8705
CMBL	0.485875
LECT2	-0.2715
NKAPL	1.17533333333333
LOC654780	0.393
OR4C6	-0.31
RAB30	1.35566666666667
TSSK4	-0.3805
TMEM163	1.337
OSBPL11	0.33075
GNB5	-0.188
CCL21	1.47825
C1orf121	-0.797166666666667
FMO2	2.15816666666667
RPTN	-0.307
MSTN	0.7725
VCL	-0.633214285714286
FYTTD1	-0.11575
C11orf1	-0.89325
CCDC88C	0.62475
HFE	-0.952611111111111
MOGAT1	0.1905
FAM125B	0.553833333333333
IRGQ	0.638
RAVER2	0.28175
AKAP5	-0.6205
SSSCA1	0.2455
C11orf63	1.316375
ACTG2	-0.5049
PORCN	-2.182
DTL	-1.45409090909091
TMEM151	0.65175
FAM122C	-1.401
RSAD2	3.5248
BAT4	-0.33
KRTDAP	-1.765
MYH8	0.103875
CRTC3	0.322
LRRFIP2	0.1826
INTS4	-0.550333333333333
TTN	-0.684
SLC26A5	0.4515
PLLP	0.3875
RGS6	-1.013
SRGAP3	0.624625
ZNF525	0.291
NBR2	-1.4275
C13orf1	0.5013
ZNF137	0.5395
CEP27	-0.82725
BEST2	0.265
RNF121	-0.4375
DMRTC2	0.30175
C8orf76	0.25075
BCCIP	-0.114125
MEST	-0.602
HTRA2	-0.3335
ANGPTL2	0.2155
ILKAP	0.0153333333333333
ERAS	-0.0655
HBS1L	-0.85425
CPA5	0.011
TMEM30A	0.317166666666667
CD300LF	1.91366666666667
WISP3	0.613
CRK	0.973
PDS5A	-0.0548
BRPF3	0.446333333333333
NEDD9	-0.571
SMPDL3B	1.02975
PSG6	1.156
PSMD13	0.378
ETV5	-2.516625
OR51A4	0.2365
BTBD7	0.656333333333333
GSTO1	-0.433125
hCG_16001	0.1705
MAD2L1BP	0.262333333333333
COX6A2	0.872
SCNN1A	2.08166666666667
LSM1	0.2495
UGT2B11	0.442
IDUA	0.422
PPP2R3C	0.114
COX11	1.8445
PDZK1	0.325
ZNF443	0.360666666666667
MGC21874	1.34366666666667
ZNF323	0.9161
KRTAP10-10	0.373
CXCL6	0.41875
SLC34A2	0.4867
LOC284402	0.0955
NPTN	0.74875
UPP1	-1.66033333333333
SLC6A9	-0.345
OR7G3	-0.01575
CISD1	-0.833166666666667
ZNF545	0.460666666666667
SYT14	-0.1775
NT5C3L	-0.6785
ZNHIT3	-0.576166666666667
SNRPD3	-0.13875
KIAA0701	0.527
UNC93B1	0.489333333333333
GMNN	-1.075375
SPCS2	0.434833333333333
LOC388524	-0.56
NAPRT1	0.99725
PNLIPRP1	-0.2025
OR6V1	0.4935
PRKAB1	-0.0755
EYA4	-3.54433333333333
KIF20A	-0.9065
ALG10	0.209
ITPKC	1.22666666666667
LMX1B	1.87766666666667
RPUSD4	-0.454333333333333
C7orf34	-0.0833333333333333
DLGAP2	0.1905
PFN1	0.5022
MICALL2	-0.733166666666667
ZNF654	0.1135
SS18L1	-0.11225
SLC16A8	0.2715
MKI67IP	-0.473
ITGB3	-1.23425
TCEA3	2.37108333333333
CEP152	-1.4944375
CLIP1	0.709875
ZNF75	0.7765625
ATP5C1	0.0555
NUDT5	-0.679666666666667
PSCDBP	2.23825
UBP1	-0.3885
RBM27	0.276
C13orf15	2.089125
ZNF282	0.0915
ZNF222	1.0422
COL10A1	5.03475
PRDM15	-0.8825
TTTY5	-0.6975
FAM9C	-0.27825
C20orf67	0.15675
GNG13	0.252
F12	-0.4295
C1orf41	-1.0985
CPXCR1	0.1775
GSK3A	0.6495
SUPT6H	0.673
PI16	2.1415
ELL2	-1.38583333333333
C9orf167	-1.74316666666667
PVRL3	-0.7327
FLJ38596	0.97325
ADAM20	-0.23275
GPR89A	0.5735
GPR87	-1.606
ZNF30	0.1505
SMR3B	0.20475
ZNF770	0.01375
TRPC4AP	-0.295833333333333
DKFZP686E2158	0.14
C2orf28	-0.209833333333333
FREM1	0.423
LAMA4	0.322
ADPRHL2	0.2585
EIF4G2	0.470833333333333
GUCA1A	-0.2815
CTNNA2	-1.185625
NUDT15	-0.2635
CEPT1	-0.368833333333333
ZNFX1	2.3914
CCDC92	0.34625
TDRD1	-0.833
KCNK5	0.624
ETNK1	1.09116666666667
LTA	0.444
TTPA	0.511333333333333
B3GALNT2	-0.909
SC65	-0.1615
PEX5L	-0.8015
EPS15L1	0.94325
MGEA5	-0.097
HIST1H3A	-0.32
ING1	0.578625
BCAT1	-2.680375
ORC6L	-1.63527272727273
KLK11	-4.9275
C19orf28	-1.117
DNER	-4.279625
MED22	-0.491285714285714
ETV6	0.845583333333333
CHAC2	-0.6725
CD300E	0.171
CEBPB	1.12525
ZNF398	-0.40975
LRCH3	0.0105
HMGA1	-1.9575
CAPN7	-0.338
MGC5566	-2.69975
CCL3	3.353375
NANOS1	0.174625
ZFYVE19	0.82975
APITD1	0.036
PARD3	1.03975
IRAK4	-0.0295
SERPINI2	-0.041
CEP170L	-0.9175
TTC9	2.423875
MYOM3	-1.3795
MLPH	2.136375
LOC222699	0.344
NRG1	-1.88916666666667
TBC1D9	3.92890909090909
TTK	-1.409
ZNF557	0.4781
DDX41	0.117666666666667
FANK1	1.3845
UBE2D2	-0.131875
PSMB10	1.2305
MYH7B	0.0135
GABARAPL2	-0.208625
MARVELD2	1.86416666666667
DGCR2	1.15066666666667
UNC45A	0.251666666666667
C6orf72	0.3255
ZNF683	4.45575
GIT2	0.245
CASK	0.0193333333333333
C14orf161	2.49616666666667
LRRC44	0.469
TIFA	0.41075
UTP11L	-0.694125
C6orf65	-0.665
FDPS	0.07025
DUSP9	-1.9522
SLC17A8	0.250666666666667
OR51G1	0.432833333333333
NANS	0.9435
OLFML1	1.65225
ATP10B	-0.862875
NPAS3	-0.0385
PRKCA	-1.8125
GGA2	0.374125
LCE4A	0.3055
SPANXN3	-0.225
CCDC115	1.237
SDCCAG3	-0.44425
GLIPR1L1	0.23825
TTC1	-0.06325
C17orf76	0.37
MAD2L2	-1.91575
HIPK1	-0.4384
LRRC3B	0.0681666666666667
CLN3	-0.483818181818182
C17orf47	0.389
FMN2	-2.183125
TUBB1	-0.849875
WAPAL	0.4
C3orf21	-0.787
SCN5A	-0.6966
SMYD1	-0.08
BEX5	0.324
ZNF192	-0.9375
SEC22A	-0.0258333333333333
GRIA2	2.21142857142857
KIAA0825	-1.1165
NUSAP1	-0.669
LANCL1	-0.277
C15orf40	-0.5001
ZNF645	0.14075
GPR61	0.04875
NLRP14	0.0015
SNX21	-0.4036
C1QTNF8	-0.182
C17orf46	0.2335
IFNA8	-0.189
SPRR1B	-1.11316666666667
FLRT1	-0.4835
SNX17	0.390333333333333
ASB2	0.156833333333333
HBG1	-5.3555
RPRML	-2.366
JOSD2	0.736
PLSCR3	0.6475
SPOCD1	-0.405666666666667
RAB39	0.193
GHRH	-0.117
ITIH5L	0.63425
C17orf37	2.25125
SMCR8	0.44225
DPY19L2P3	-0.3565
IL11RA	0.651166666666667
GDF3	-3.54266666666667
RPS6KB1	1.62808333333333
DNAJC19	-0.1972
TOP1	-0.0055
CRCT1	0.018875
MPST	0.35725
DPM2	0.485875
FAM38B	-2.946
SLC18A1	-2.36083333333333
FARP1	0.530833333333333
PAX7	0.0165
TUBD1	0.847
GNL3	-0.33525
BTG2	1.2222
NDUFS6	-0.40775
C1orf79	-1.64925
ERAL1	0.30925
ECHS1	0.96125
VPS4A	-0.0918333333333333
CYP11A1	-0.376
ABCC6	-1.7525
PBX4	-1.3385
MOSC1	-1.09325
NCF4	1.0365
HYMAI	0.6135
NAGPA	-0.643625
OTOP2	0.11725
ACOT12	0.1365
MTHFD2L	-0.910875
LOC441376	0.672
C19orf34	-1.24
RAB1B	0.40025
ALDOAP2	-0.465
NTRK1	-1.448
ARTS-1	0.5319
SLC6A11	-0.458
NAP1L2	0.27625
CNGB1	0.547833333333333
EPB41L4B	-0.934833333333333
FAM134B	2.3105
HS3ST3A1	-1.36966666666667
CPXM2	4.48125
SIRPB2	0.239
CHORDC1	-0.809833333333333
TRIB3	1.02616666666667
SLC2A5	0.1685
C2orf49	-0.688166666666667
DDX5	0.49075
OR5L1	0.37
ANAPC4	-0.420833333333333
ZSWIM1	0.273125
LOC93622	1.261875
KCNK3	-0.4694
RP11-35N6.1	-1.540625
ZFP161	0.0695
AQP9	4.0325
SLC15A2	0.526333333333333
MREG	1.0845
OR9I1	-0.443
PDLIM2	0.588375
ADAM7	0.0365
GSTCD	0.237333333333333
WDR21A	-0.062
SLC12A8	0.7985
TMEM174	0.006
IGSF3	0.605333333333333
LRRN1	-2.721
LOC402117	-0.13875
SRPK1	-1.68933333333333
LY6K	-1.9548125
NFIA	0.706
PTCD3	-0.0585
LEP	3.12633333333333
PCDH21	-0.446333333333333
MAPKAPK2	1.22585714285714
NMNAT1	-0.942666666666667
LHFPL2	0.73625
C9orf43	-0.03025
DIP2A	-0.175833333333333
ACTR8	0.66675
CCDC34	0.4585
PTPN22	-0.31225
ITGA3	-0.282625
FAM129C	1.58275
RABGGTA	1.04416666666667
UNC45B	0.56425
KIAA1033	0.426875
ZNF510	0.0696666666666666
CYP2D6	-0.507333333333333
SLC26A10	-1.9075
STX8	0.564
LUZP1	-0.292125
WDR89	-0.155166666666667
EIF4G3	-0.761
C5AR1	1.143625
ZNF623	0.497
A2M	1.14325
TGM7	0.41
GRPEL1	0.209166666666667
LMNB2	-0.9462
ROCK2	-0.3175
SNX16	0.591375
CCDC66	-0.05625
ANXA3	0.832
KIAA1609	-0.219375
EED	-0.55625
RNF32	-0.440666666666667
HES1	1.7248
CLC	0.188833333333333
ISL1	-0.765666666666667
KIAA0528	0.119625
MANEA	0.394375
C1orf61	-2.0915
hCG_2001000	0.21275
RAPGEF6	0.2057
KIAA0020	-1.31433333333333
NEIL1	0.64825
C16orf45	-0.303875
RBM10	-0.705666666666667
C10orf125	-0.6405
MRS2L	-0.57175
DNAH17	-0.59025
C19orf10	-0.39775
C1orf160	0.83375
SLFN12	0.03925
EXOC3	-0.371333333333333
HIST3H3	0.2605
NCOR2	0.548166666666667
TNFRSF9	0.661
MFSD8	1.39575
ALX1	-2.9935
NOL1	-0.68675
PODN	2.587
TIAL1	-0.5895
HIST1H1E	0.875
NPY6R	0.40175
TM4SF4	0.63175
CORO2A	0.71625
ETNK2	1.77983333333333
APOE	1.1525
ANGPT4	0.326
HDGF2	-0.42875
G30	-0.1315
ST8SIA4	0.01525
F2RL1	0.650375
FAM19A4	-2.9445
CCAR1	-0.482
B3GNT7	-0.04375
OPHN1	-0.255
DSCR6	2.1285
C21orf13	0.0085
GAS2L1	0.5395
RFX3	-0.575333333333333
COPS4	0.26475
BCHE	-4.81533333333333
BCL2	0.904125
HBZ	-2.9555
ARL13B	-0.322625
MAPBPIP	-0.211375
MYO15B	0.078125
SPZ1	0.097
KIAA1324	2.22833333333333
PLCL2	0.082625
C4orf29	-0.077
WDFY2	-0.302375
ZNF284	0.2135
NAALADL1	0.0895
DUSP5	1.025
PXDN	-0.00300000000000001
SLMO1	-0.967
TNXB	0.6754
BIRC7	-0.76175
A4GALT	0.834333333333333
TIMM22	0.4785
FAM110C	1.91775
TOMM34	-0.661
ABHD9	-0.0155
ADAM32	1.1635
CRHBP	0.51975
AQP2	0.4875
LOC130355	0.19375
ZNF187	0.424
ZNF816A	0.971
F7	-0.861375
CNOT1	0.1938
SLC13A4	-0.7145
ZBTB11	-0.2535
B3GALT5	-0.0615
EXOC2	0.465666666666667
IRS1	0.1807
TMEM1	0.325833333333333
MRPL34	-0.924166666666667
SAMM50	-0.16
CDC42EP3	-0.6535
HSF2	-0.9563
MFN2	-0.01125
TSPAN7	-0.654
NUCB1	0.81
RHOH	0.75675
ARL16	0.355
TACR1	0.1325
SFRS5	-0.5375
SNX25	-0.411875
RHBDF1	0.909333333333333
PCDH18	2.261
HMG1L1	0.00675
MYO5C	1.768875
MAPK10	-0.6235
LDHAL6A	-0.0815
NUDT12	1.0665
NCAM1	-0.40025
GLIS2	0.5885
GGTL4	1.0965
DAPP1	0.27725
ATF7	0.233625
KIAA0748	0.325
NFIL3	-0.5755
TM6SF1	0.4807
SEZ6	0.1985
NANOS3	-0.279666666666667
DNAJA3	0.367666666666667
CLDN6	-3.0435
CIITA	2.5766
EPHA4	-1.42416666666667
FANCC	-0.06575
CMTM3	0.383
PSG3	0.05725
MRPL15	-0.43325
C21orf59	0.0815
PLCXD2	0.218
C2orf34	-0.172
UBE2L6	1.908375
MED14	-0.644333333333333
HP1BP3	-0.5867
C6orf208	-0.39
TPBG	0.4125
OSR2	1.681625
XPC	0.0115
KLHL7	-0.941583333333333
CCR3	-0.1285
AGTPBP1	-0.730833333333333
PCSK6	0.319066666666667
STAT5A	-1.5063
FAM18B	0.49625
LONRF2	-0.683166666666667
PTPN2	-0.307625
SF3A3	-0.8045
EFCBP2	1.0835
HCFC1	-0.407
AHNAK	0.8233
ACTR5	-0.04075
KIF14	-1.78085714285714
TENC1	0.75825
HEATR5B	0.6935
YIPF2	-0.208666666666667
MYEOV2	0.505166666666667
DUSP18	0.94575
KIAA1012	0.21225
AHR	-0.0423333333333333
C17orf53	-0.773166666666667
PTPRH	-2.4775
ATP6V1C1	0.2985
TAS2R3	0.274
LOC440356	-1.6005
COQ10B	1.0435
PSMF1	0.690333333333333
SORBS2	-0.589666666666667
NFE2L2	-0.50025
TMCO7	-0.40525
SH3PXD2A	-0.4039
SH2D2A	-0.41875
SPINK5	-1.93275
MRPS24	-0.9145
OPA3	0.314
TRAF7	-0.168333333333333
C4orf35	0.276666666666667
MT1G	0.6595
MGC39545	-0.48075
HS1BP3	0.5002
OR2B2	0.098
CHRM4	0.312
SFRP2	1.8615
RIC3	-0.72625
ART1	0.00900000000000001
C6orf1	-0.0365
DUS4L	-0.703
C10orf104	-0.01275
TNFAIP6	2.13525
RTEL1	1.869
CCT4	-0.5736
ZNF709	-0.0095
CHMP6	0.942666666666667
UPP2	0.363
CYP19A1	-1.282125
CD151	0.197
NDUFA13	-0.152333333333333
ARFRP1	1.5505
FAM26B	1.68175
CRYBA1	-1.316
MRPL41	0.476666666666667
NPFFR2	0.197875
HRH2	0.1625
SCAMP3	0.1885
MTMR6	0.9585
MTG1	-0.403166666666667
UBTD1	0.53175
CRABP1	-2.7505
FLJ33790	0.9877
KIAA1908	-1.48733333333333
GPR158	-1.03075
PACSIN3	0.457666666666667
OMD	2.49416666666667
CATSPER1	-1.05966666666667
HOXB8	-0.649375
FBXO46	0.722
OAS1	3.046
SVIL	-0.01025
PHB2	-0.3465
ADCY3	-0.1965
NDRG2	0.725166666666667
ERMAP	0.0126
APBA2	-1.51783333333333
IGSF9	1.1465
WNT6	-0.108214285714286
MYCBPAP	-0.54025
ATP2B2	0.06
CPVL	-0.218
TRAM2	-0.793916666666667
NOP5/NOP58	-0.556
ZNRF4	-0.153
TLK1	0.012125
MTMR12	0.109714285714286
ZNF384	-0.108166666666667
FAM9B	-2.96725
RPN1	0.7915
PMVK	0.3675
EIF3D	0.4081
SIX2	-1.20775
HPS1	-0.0772142857142857
RNF7	0.311
PSKH2	0.5745
KCTD13	-0.115833333333333
CSMD3	-0.3559
FBF1	-0.0015
IL8	-3.993875
SERPINB13	0.38775
FBXL20	2.06375
BLR1	0.29775
SH2B1	-0.4165
RFNG	0.15275
RAB20	0.840166666666667
RBM7	-0.6985
POLR1A	-0.344333333333333
TMPRSS4	2.7655
TAF9	-0.5555
TERF2	0.28
TNFRSF1A	0.453
ACADVL	0.3755
GTF2H5	-0.8685
EDG8	0.0493333333333333
C9orf140	-0.245125
UST6	-0.25725
ZBTB8OS	-0.654
ZNF710	0.316
GPR174	-0.8
ATP6V0A2	-0.38875
KIAA0319L	0.235166666666667
XKRX	0.087
DOPEY2	1.5178
SDHD	-0.337833333333333
SUMF1	0.84625
OSM	1.8555
OPN3	-2.0215
DAGLB	-0.461166666666667
PPFIBP1	-0.1089
TRIM63	-2.16225
C10orf53	0.616
LYPD3	2.35183333333333
BCL7A	-0.073625
AGER	-1.115
TCF19	-0.271375
SAT2	0.0835
PFTK1	-0.1415
GABRE	-3.104625
C15orf38	0.5783
FIS1	0.1095
KCNV2	0.03775
CLPS	0.315
PPCDC	-0.359875
FOXN2	0.206666666666667
NT5E	-2.759
CD83	0.8345
IL18	0.31425
VPS16	0.23925
IGFBP2	-1.1245
NOTCH2	0.27875
SIGLEC1	3.398125
CD93	4.7925
SULF2	-0.829
CEP164	-0.17075
P53AIP1	0.00849999999999999
TOR2A	0.113
ZNF136	0.136
MGP	1.7056
CCDC144A	0.702833333333333
TRPC1	-1.57116666666667
SMS	-1.39583333333333
MAPK7	-0.0161666666666667
RRAGC	0.106
PARD6A	0.806
NUB1	0.726666666666667
SYNGR4	0.6815
OR11H12	0.0975
WIF1	0.6565
GCH1	0.75575
OR11H4	0.205
SLC44A5	-1.1795
GPRIN2	-0.418
LOC401431	0.0695
CPA4	-2.2282
MELK	-0.280444444444444
IL15RA	0.3645
CUL3	0.350125
HMBOX1	0.274
PODXL	-2.2765
CCT6B	0.316833333333333
COMTD1	0.20125
MUC20	-0.3715
GPX2	-3.695625
ITK	0.57375
FBXL5	1.8555
C13orf27	-0.6115
DEFA5	-0.0005
TRHDE	-0.3195
MTP18	0.016
UQCRQ	0.0336
ITGB2	2.28616666666667
CSRP2BP	0.35825
TAS2R44	0.2855
PHPT1	0.538625
FAM44C	0.4745
ERH	-0.237
MPHOSPH1	-0.727166666666667
MORC1	-0.2905
PARVB	-1.03875
LAMA1	-1.85575
PGBD3	-0.1355
GIMAP6	3.9955
AREG	-0.0206666666666667
LIPT1	-0.44925
MGC99813	-0.8895
C1orf201	0.0151666666666667
GRIN2A	-0.647888888888889
MAN2C1	-0.8865
NSUN5	-0.345
SF3B5	0.27225
MYC	-0.4323125
NRXN1	-0.760916666666667
ZNF18	0.37275
SPDYA	-0.229375
SLC37A1	1.1415
DECR2	0.235
ANKRD38	0.277
SPTLC3	-1.205
SUPT16H	0.7255
DTWD2	0.02975
ULBP1	0.0655
ZADH1	0.564666666666667
OIP5	-1.02775
IL10RB	0.119333333333333
OTUB2	0.17425
VWA3A	0.113
SPIC	1.08833333333333
OR6C4	0.1705
PSCD4	1.433
DPY19L2P2	-0.329
TRAPPC6A	0.706333333333333
C21orf2	-0.818
CEMP1	-0.6465
LIN7B	1.0695
E2F7	-1.164
VCP	0.783125
LAMA3	0.931166666666667
BGN	1.4235
GPR160	1.50683333333333
COCH	0.188833333333333
GPR81	2.32683333333333
APOBEC3F	-1.2675
tcag7.1017	-0.73125
C1orf32	0.3995
SCGB1D2	3.78
FLJ43987	-0.463
C6orf170	-0.1785
KLK9	0.5335
GPD1L	1.986375
VPS37B	0.3795
ATG3	-0.0786666666666667
ADAMTS17	-0.305
KLHDC2	0.814666666666667
NDUFV2	0.23075
BLK	-0.872
MATN4	-1.413
GPM6A	-0.318375
GBP4	4.098
TMEM162	-0.053
PKP2	-0.373
HRASLS	-0.039
MMP1	-2.091
SFXN3	-0.0574
FSD1	-1.70566666666667
ST6GALNAC3	-2.13316666666667
CA12	3.1914
NCOA6	0.133
C19orf58	0.0577
PPP4R1	0.359333333333333
MAN1A2	0.681166666666667
IKBKAP	-1.223
UPF1	0.185833333333333
KIAA1219	0.59775
WNT16	1.004
SNW1	-0.122
IL18RAP	3.9065
RPP30	-0.471375
CDC40	0.039
SETD3	0.558666666666667
SLAMF6	1.06325
ELK4	-0.3305
TRIM47	0.593333333333333
ACOX3	1.083
TRIM6	-0.081875
KIAA0372	-0.9755
TP53AP1	-0.204375
SMURF2	0.068
ADAD1	0.16525
EBP	-1.3875
KRTAP13-2	-0.2585
FLJ36874	-0.984666666666667
TOR1A	0.328666666666667
P2RY4	0.475
GPBP1	0.126
TRPV1	0.91025
ADAMTS12	0.0228333333333333
PES1	-0.1168
ATG4A	0.336166666666667
MAGEA10	-4.40225
WFS1	1.534
CC2D1B	-0.357833333333333
PABPN1	-0.01625
SLC25A30	0.8185
SLCO1C1	0.674333333333333
SLC22A5	1.23875
KIF23	-0.547666666666667
SYN2	-0.604833333333333
ASPN	6.1975
CENTG2	0.406
QSOX2	-1.2843
FLJ10815	0.386833333333333
STK24	0.54675
SPEG	0.00650000000000001
STK10	0.6065
DACT2	-0.415
AAAS	-0.45475
SSX3	-1.607875
ABCD3	0.3208
C4orf12	0.20775
PARVG	1.32283333333333
FIG4	0.56475
C9orf46	0.78175
TMCO6	-0.0455
IGHMBP2	-0.38125
DUS2L	-0.0573333333333333
FAM3C	-0.0070625
TMEM16D	-1.904375
DCTN4	0.49925
KCNH3	0.14075
EIF2AK2	1.41125
AP1S3	0.19675
CST4	-0.101
PAM	-0.4080625
NUTF2	0.12575
CITED2	-0.3391
SLC39A4	-1.8125
C2orf52	-0.8565
GRM3	0.137
C12orf49	1.117625
CCDC49	2.5171
GRAMD1B	-1.265125
FNDC4	-0.03075
SIAH2	0.329875
GDPD4	-0.10875
C21orf87	0.21275
ATP5A1	0.651666666666667
C16orf63	-0.713875
LOC388135	-0.71
ATP5J2	-0.317375
MMP3	-1.48975
EMID2	-0.14225
CRHR1	0.40275
WDR70	-0.58525
C13orf31	1.3625
ZFAND1	0.302
CCL18	3.92133333333333
C3orf49	0.238
RINT1	-0.433
KIAA0408	-1.5795
F13A1	4.9709
SLC10A1	-0.0346666666666667
OGN	1.57725
GIPC2	-1.46083333333333
XPO6	-0.643833333333333
LCE1A	0.613
FMR1	0.4013
LOC374920	-0.6515
DUSP3	0.25975
ANKMY1	0.742
C7orf50	-0.1455
BBS9	-0.4838
UNC119B	-0.7555
C9orf72	0.67925
MGC35440	-0.219
ENTPD6	0.41675
PPP1R2P9	0.2845
ERCC4	0.035
FAHD2B	-0.4445
HMHA1	0.3215
HACL1	-0.30725
RAD23A	-0.483333333333333
FAM83B	-0.19075
PPP5C	0.1935
RNASEH2C	0.394125
C9orf153	-0.81625
SCAMP4	0.83325
GHITM	0.5699
NDUFB7	-0.092125
ADCYAP1	0.904166666666667
SP110	3.02983333333333
MAP3K7IP2	-0.0945
DHH	-0.19
AGRN	0.427428571428571
WDR33	0.237333333333333
CEP290	-0.332833333333333
PRPS1L1	-1.73983333333333
KLRA1	-0.3035
GPR97	0.053
CHD7	-0.364666666666667
TLR10	1.254
SLC30A8	-0.9675
HIC1	1.1135
IAPP	-0.1055
RXFP4	0.17625
GP1BB	0.6495
SHQ1	0.222
NKX2-3	0.383333333333333
API5	0.00300000000000001
FTHP1	-0.032
MOV10L1	-0.4324
TRIM6-TRIM34	2.74333333333333
ADHFE1	0.78175
FAM117A	-0.35425
DDI1	0.103833333333333
CDON	-0.354833333333333
TRIM73	-0.726
IGKC	4.4425
MMP14	-0.135583333333333
DYNC1LI1	0.10225
C11orf66	-0.047
TRBV3-1	-0.47225
FASTKD5	0.346
BIVM	-0.767
LHX4	0.09875
CXCL2	-0.3513
RAB2B	0.580666666666667
IZUMO1	-0.42325
MAP3K15	-2.0825
FAM19A2	-0.0188333333333333
ZC3H8	-0.445333333333333
ZMAT1	-0.012
SPINK5L3	-3.02525
SLC10A6	0.4275
APPL2	-0.215125
CARD10	0.272666666666667
LOC402176	-1.04175
EEF1D	0.6853
RAB6A	0.9334
C12orf5	-0.514875
PAPOLG	0.22875
MSRB2	-0.0835
BCR	0.550444444444445
PUS3	-0.68875
TIAM2	-0.63175
ZNF317	0.115666666666667
CHD2	0.0103571428571428
FZD5	-1.52968181818182
NUDT8	-1.72725
ZNF763	-0.1445
PRC1	-0.258333333333333
ABCB9	1.23933333333333
SPATA3	0.31575
TRAK2	0.147875
STAB1	3.00675
LRRTM2	0.0855
psiTPTE22	0.926
DBI	0.35925
SERPINA11	-1.9525
NAT5	0.2455
C20orf58	-2.3975
RPS6KA4	0.296
FLJ90650	-0.3615
TGFBRAP1	0.38
CHRDL2	0.06975
FAHD2A	-0.551833333333333
CNTN1	0.08
BBS4	-0.0789
TMEM181	-0.048
MINPP1	-0.558
MPHOSPH6	0.17075
HOXC10	1.5923
ITPKB	-0.21175
CLPTM1L	-0.019625
MEOX2	1.004
ATP6V0C	0.707125
PRPF8	0.2325
TMC5	0.49775
FKBP3	-0.0645
PLEKHB2	0.526875
OR4D6	-0.366
ZNF544	-0.3595
D2HGDH	0.50625
RPL18A	-1.0094
HEL308	-0.20675
MPP6	-2.77125
TCERG1	-1.3
KRT16	-1.48483333333333
KLF17	-0.96425
KLF5	-0.285875
CDR1	3.65375
VCX3A	-4.7275
FBLN2	1.04575
C14orf104	-0.484
HBE1	-4.7669
OR4S2	0.6195
C1orf108	-0.889166666666667
ROBO4	3.533
CPEB4	0.802125
C11orf80	0.589166666666667
BCKDHA	0.9495
MYOC	1.1215
GIF	0.0535
CKMT1A	2.123
RPL3	-0.1279
THBS1	2.063875
APOO	-1.24375
ARMCX1	0.39025
HSZFP36	0.941
SNAPC5	0.093
EIF4ENIF1	0.68625
ZNF433	0.874
TNFRSF21	-0.81625
TMPRSS7	-0.153
SPATA18	0.9067
HPDL	-2.9445
MKL2	0.9681
TBX3	-0.215538461538462
C21orf93	0.421833333333333
DAXX	0.18175
ELMO1	0.167625
RGS13	1.94133333333333
TAF11	-0.435
UNC13A	-1.941125
LOC653314	1.3556
ORC3L	-0.545
IMAA	-2.4935
TARBP2	0.095
CABIN1	-0.2493
TRIOBP	0.18525
HIST1H2AC	0.9515
RGS22	-0.0321666666666667
NCOA1	1.04283333333333
IL25	0.5265
SNCG	0.1905
GPR6	-0.1305
AMDHD1	0.0301666666666667
CHEK2	-0.99875
C6orf142	-1.18925
DRD4	0.48275
C14orf68	-1.079
GDF11	-1.44525
SEMG2	-0.437
CD247	0.62675
CDAN1	-0.391
RBMX2	-0.268
TGS1	-0.3175
OIT3	1.833
SYF2	-0.342
MCM4	-1.391
PKHD1L1	0.256
CEP192	-0.4425
IFT88	0.54725
RPL9	-0.537
RAB32	0.08325
DDX43	-2.85175
P2RX2	0.232666666666667
OR5D18	0.2435
UBE1	-0.244916666666667
SLC24A1	0.6245
ARHGAP5	0.63025
CETP	0.3235
KIAA1731	-0.768333333333333
SLC9A4	0.559
PTPN6	1.728
BAHD1	0.53775
GRIK3	1.141
CACNB2	-0.1373
PDE10A	-0.8475
DGCR14	0.149
PCDHB9	-0.736833333333334
RHOQ	0.2165
MAP3K4	-0.17725
KTI12	-0.293333333333333
RPL23AP13	-1.48375
GNG11	-0.80825
CLCN3	0.544166666666667
GPAM	-0.79775
VSTM2A	1.1015
SLAMF7	3.792
INTS2	1.4605
PPP2CA	0.267
LRP12	-0.426466666666667
SEC14L2	0.407555555555556
DKFZP586H2123	2.3245
MC3R	0.195
CIRH1A	-0.849333333333333
HIST1H2AB	1.55316666666667
POLH	-0.6415
MGC16703	-1.49383333333333
SNAPC2	0.257
FILIP1L	1.39825
RASGRP4	0.797
LRRC1	1.87825
GAS1	0.12675
PRAC	-0.8875
DGKA	0.528333333333333
NT5C3	-0.6695
PEG3	-3.97183333333333
NADK	-0.82425
PRR17	1.97325
LOC374569	-0.44225
SGSH	0.931
NLRP8	0.437
GALT	0.3003
MCF2	-0.008
ZNF263	0.0185
TACSTD1	1.9815
TYR	-6.2798
ATP6AP2	-0.59575
RNUXA	-0.26725
