Hybridization REF	TCGA-B6-A0IG-01A-11R-A034-07
NANOS3	-0.332
DNAJA3	0.147333333333333
CLDN6	-2.5075
CIITA	1.8876
EPHA4	-2.01858333333333
FANCC	0.8605
CMTM3	-0.284125
PSG3	-0.3925
MRPL15	-0.19575
C21orf59	0.14825
PLCXD2	-0.433
C2orf34	0.29475
UBE2L6	2
MED14	0.0973333333333333
HP1BP3	-1.6484
C6orf208	-0.14
TPBG	0.96175
OSR2	0.018375
XPC	-0.670333333333333
KLHL7	-0.852833333333333
CCR3	-0.116833333333333
AGTPBP1	-0.7015
PCSK6	-2.21026666666667
STAT5A	-1.0944
FAM18B	-0.6725
LONRF2	-2.69733333333333
PTPN2	-0.2675
SF3A3	-1.3095
EFCBP2	-0.15075
HCFC1	-0.7475
AHNAK	1.95365
ACTR5	-0.1575
KIF14	-1.89985714285714
TENC1	0.7745
HEATR5B	0.458
YIPF2	0.807833333333333
MYEOV2	0.811333333333333
DUSP18	0.4705
KIAA1012	0.111
AHR	-1.031
C17orf53	-0.00883333333333333
PTPRH	-3.36575
ATP6V1C1	-0.0608
TAS2R3	0.3435
LOC440356	-1.15075
COQ10B	0.44575
PSMF1	0.534083333333333
SORBS2	1.33666666666667
NFE2L2	-0.399
TMCO7	0.265
SH3PXD2A	-0.6969
SH2D2A	-1.3295
SPINK5	-2.87025
MRPS24	-0.507
OPA3	0.634625
TRAF7	-0.172666666666667
C4orf35	0.262833333333333
MT1G	0.898125
MGC39545	-0.17775
HS1BP3	0.5113
OR2B2	0.326
CHRM4	0.038
SFRP2	3.07808333333333
RIC3	-1.01475
ART1	0.4265
C6orf1	1.32
DUS4L	-1.0025
C10orf104	0.63375
TNFAIP6	2.36
RTEL1	-1.10125
CCT4	-0.3319
ZNF709	-0.44375
CHMP6	-0.034
UPP2	0.129
CYP19A1	-1.40125
CD151	0.401166666666667
NDUFA13	0.150166666666667
ARFRP1	-1.6
FAM26B	0.821
CRYBA1	-1.8195
MRPL41	0.395166666666667
NPFFR2	-1.738
HRH2	0.4755
SCAMP3	0.0696666666666667
MTMR6	0.291
MTG1	-1.24366666666667
UBTD1	1.03275
CRABP1	-2.1115
FLJ33790	-0.1422
KIAA1908	-0.3035
GPR158	-1.406
PACSIN3	0.8285
OMD	1.04616666666667
CATSPER1	-0.985666666666667
HOXB8	0.00875000000000001
FBXO46	1.505
OAS1	2.90466666666667
SVIL	0.04825
PHB2	-1.5325
ADCY3	-0.479
NDRG2	1.352
ERMAP	0.0447
APBA2	-1.27833333333333
IGSF9	2.05225
WNT6	-0.281214285714286
MYCBPAP	0.8875
ATP2B2	-0.0242
CPVL	-1.967
TRAM2	-0.602833333333333
NOP5/NOP58	-0.11825
ZNRF4	0.37625
TLK1	0.780375
MTMR12	-0.412428571428571
ZNF384	-0.6385
FAM9B	-2.2175
RPN1	0.6351
PMVK	1.00075
EIF3D	-0.1917
SIX2	-0.344
HPS1	0.863214285714285
RNF7	-0.45425
PSKH2	0.1045
KCTD13	0.493
CSMD3	-0.4929
FBF1	-0.6625
IL8	-4.660875
SERPINB13	-0.05975
FBXL20	1.20175
BLR1	0.6225
SH2B1	-0.0236666666666667
RFNG	-0.728125
RAB20	1.59183333333333
RBM7	-2.0385
POLR1A	-0.389
TMPRSS4	-1.03925
TAF9	-1.800375
TERF2	0.2235
TNFRSF1A	0.260416666666667
ACADVL	-0.889166666666667
GTF2H5	0.41575
EDG8	-0.830166666666667
C9orf140	0.275125
UST6	0.1865
ZBTB8OS	-1.60375
ZNF710	1.885
GPR174	-1.985
ATP6V0A2	-0.437
KIAA0319L	-0.138166666666667
XKRX	-0.092
DOPEY2	1.7627
SDHD	-1.1515
SUMF1	-0.035
OSM	2.81075
OPN3	-1.24025
DAGLB	-0.2225
PPFIBP1	1.1623
TRIM63	-2.18425
C10orf53	-0.642
LYPD3	0.956333333333334
BCL7A	0.000999999999999994
AGER	-1.20016666666667
TCF19	-0.563375
SAT2	-0.32025
PFTK1	0.799833333333333
GABRE	-2.81625
C15orf38	0.9021
FIS1	0.3215
KCNV2	0.51725
CLPS	0.388
PPCDC	-0.045
FOXN2	0.218166666666667
NT5E	-2.9675
CD83	0.07775
IL18	-1.751125
VPS16	0.321
IGFBP2	0.00883333333333333
NOTCH2	2.51025
SIGLEC1	2.265875
CD93	4.287
SULF2	0.02
CEP164	-0.711125
P53AIP1	0.634
TOR2A	0.422666666666667
ZNF136	0.8325
MGP	2.0881
CCDC144A	-1.09716666666667
TRPC1	-1.79266666666667
SMS	-0.147166666666667
MAPK7	-0.5325
RRAGC	0.173
PARD6A	1.17616666666667
NUB1	0.418666666666667
SYNGR4	1.3045
OR11H12	0.0355
WIF1	0.209571428571429
GCH1	0.64275
OR11H4	0.582
SLC44A5	2.7905
GPRIN2	0.151166666666667
LOC401431	0.916
CPA4	-2.4794
MELK	-0.847444444444445
IL15RA	-0.0125
CUL3	-0.081625
HMBOX1	-1.62775
PODXL	-2.46675
CCT6B	2.0255
COMTD1	0.992
MUC20	0.0551666666666666
GPX2	-2.30075
ITK	-1.507625
FBXL5	0.70975
C13orf27	-1.16325
DEFA5	0.6575
TRHDE	-0.7165
MTP18	-0.487166666666667
UQCRQ	-0.3661
ITGB2	0.6285
CSRP2BP	0.07025
TAS2R44	0.656
PHPT1	0.173875
FAM44C	-0.0155
ERH	0.10125
MPHOSPH1	-1.548
MORC1	0.0635
PARVB	-1.269
LAMA1	-1.93883333333333
PGBD3	0.0765
GIMAP6	3.0595
AREG	-2.46316666666667
LIPT1	-0.7745
MGC99813	0.00174999999999999
C1orf201	0.0518333333333333
GRIN2A	-1.12766666666667
MAN2C1	-0.961
NSUN5	-0.49325
SF3B5	0.7
MYC	-2.0956875
NRXN1	0.352416666666667
ZNF18	-0.0505
SPDYA	-0.57
SLC37A1	1.935
DECR2	0.6475
ANKRD38	1.650875
SPTLC3	-0.11275
SUPT16H	0.01825
DTWD2	0.83425
ULBP1	-0.35
ZADH1	-0.0985
OIP5	-1.56625
IL10RB	-0.269166666666667
OTUB2	0.164875
VWA3A	0.143666666666667
SPIC	-0.0408333333333333
OR6C4	0.139
PSCD4	-0.0281666666666667
DPY19L2P2	-0.3045
TRAPPC6A	1.0845
C21orf2	-0.0716666666666667
CEMP1	0.19525
LIN7B	1.0545
E2F7	-2.518
VCP	0.3646875
LAMA3	0.467083333333333
BGN	1.908
GPR160	1.12
COCH	-4.88533333333333
GPR81	2.3985
APOBEC3F	-2.45025
tcag7.1017	-0.23425
C1orf32	0.532
SCGB1D2	6.721
FLJ43987	-0.224
C6orf170	0.18425
KLK9	0.5845
GPD1L	1.2875
VPS37B	0.67825
ATG3	-1.1225
ADAMTS17	0.7475
KLHDC2	-0.295666666666667
NDUFV2	0.281
BLK	-2.3105
MATN4	-1.0075
GPM6A	-0.635
GBP4	2.82566666666667
TMEM162	0.371333333333333
PKP2	1.0825
HRASLS	-3.01
MMP1	-0.743
SFXN3	0.1364
FSD1	-1.58683333333333
ST6GALNAC3	-2.13916666666667
CA12	2.0994
NCOA6	0.50375
C19orf58	0.1259
PPP4R1	0.0913333333333333
MAN1A2	0.365166666666667
IKBKAP	-1.2405
UPF1	0.348833333333333
KIAA1219	0.634
WNT16	-0.77475
SNW1	0.17775
IL18RAP	1.80775
RPP30	-0.511375
CDC40	0.104928571428571
SETD3	0.642333333333333
SLAMF6	-0.28225
ELK4	-0.711
TRIM47	-0.207166666666667
ACOX3	1.224375
TRIM6	-0.56275
KIAA0372	-1.52283333333333
TP53AP1	1.610625
SMURF2	3.0135
ADAD1	0.49775
EBP	-0.4497
KRTAP13-2	0.147
FLJ36874	-1.26816666666667
TOR1A	0.178833333333333
P2RY4	1.1975
GPBP1	-0.0655
TRPV1	0.43575
ADAMTS12	0.389833333333333
PES1	-0.6987
ATG4A	0.641833333333333
MAGEA10	-3.988
WFS1	1.59425
CC2D1B	-0.458333333333333
PABPN1	-0.00337499999999998
SLC25A30	0.68025
SLCO1C1	0.165
SLC22A5	1.23375
KIF23	-1.6075
SYN2	-0.0813333333333333
ASPN	7.30016666666667
CENTG2	0.594
QSOX2	-0.885
FLJ10815	0.0625
STK24	0.433125
SPEG	0.4646
STK10	0.279666666666667
DACT2	-0.66
AAAS	-1.045
SSX3	-1.439875
ABCD3	-0.5636
C4orf12	-0.09475
PARVG	-0.313166666666667
FIG4	0.012
C9orf46	1.302
TMCO6	-0.542
IGHMBP2	0.274
DUS2L	-0.4035
FAM3C	-0.868375
TMEM16D	-2.1855
DCTN4	0.62825
KCNH3	-0.0415
EIF2AK2	2.268
AP1S3	0.367875
CST4	1.7005
PAM	-0.3826875
NUTF2	0.35225
CITED2	1.1167
SLC39A4	0.79175
C2orf52	-0.827
GRM3	0.11325
C12orf49	1.166875
CCDC49	0.1199
GRAMD1B	-1.55575
FNDC4	-0.13675
SIAH2	0.09825
GDPD4	-0.1785
C21orf87	0.6795
ATP5A1	-0.197666666666667
C16orf63	0.172625
LOC388135	1.72033333333333
ATP5J2	-0.208125
MMP3	1.6535
EMID2	-0.72475
CRHR1	0.468
WDR70	-1.312
C13orf31	1.34725
ZFAND1	-0.7035
CCL18	4.08983333333333
C3orf49	0.2355
RINT1	-0.722
KIAA0408	-1.90366666666667
F13A1	3.4522
SLC10A1	0.0905
OGN	0.0415
GIPC2	-1.95616666666667
XPO6	-0.191333333333333
LCE1A	1.1375
FMR1	0.4472
LOC374920	0.3545
DUSP3	0.877625
ANKMY1	0.42225
C7orf50	0.237
BBS9	-0.7301
UNC119B	-0.343125
C9orf72	-0.3055
MGC35440	0.3925
ENTPD6	0.440625
PPP1R2P9	0.03125
ERCC4	0.18875
FAHD2B	0.042
HMHA1	-0.7465
HACL1	-1.164
RAD23A	-0.297333333333333
FAM83B	-0.43575
PPP5C	-0.769833333333333
RNASEH2C	0.618375
C9orf153	-0.3725
SCAMP4	1.424375
GHITM	0.4554
NDUFB7	0.372625
ADCYAP1	-0.0998333333333333
SP110	2.72483333333333
MAP3K7IP2	1.16975
DHH	-0.2045
AGRN	-0.188928571428571
WDR33	0.290666666666667
CEP290	-0.242833333333333
PRPS1L1	-2.083
KLRA1	-0.9245
GPR97	0.148
CHD7	-0.341416666666667
TLR10	0.4175
SLC30A8	0.8145
HIC1	1.27783333333333
IAPP	0.3625
RXFP4	1.05425
GP1BB	1.25575
SHQ1	-0.0925
NKX2-3	0.447
API5	-0.124
FTHP1	1.892
MOV10L1	0.016
TRIM6-TRIM34	2.32616666666667
ADHFE1	0.74425
FAM117A	0.28675
DDI1	-0.38
CDON	-0.828333333333333
TRIM73	-0.543
IGKC	4.2075
MMP14	-0.023
DYNC1LI1	-0.9355
C11orf66	1.4525
TRBV3-1	-1.5205
FASTKD5	0.00525
BIVM	-0.5585
LHX4	-0.148
CXCL2	-1.5186
RAB2B	-0.3135
IZUMO1	-1.66725
MAP3K15	-2.046375
FAM19A2	-0.0141666666666667
ZC3H8	-0.614666666666667
ZMAT1	1.867875
SPINK5L3	-2.1635
SLC10A6	0.2075
APPL2	-0.656
CARD10	-0.202
LOC402176	-0.946875
EEF1D	1.5759
RAB6A	-0.0828
C12orf5	-1.135
PAPOLG	-0.098
MSRB2	1.414
BCR	0.290055555555556
PUS3	-0.29075
TIAM2	-0.451
ZNF317	0.287333333333333
CHD2	0.166928571428571
FZD5	-2.29009090909091
NUDT8	-0.37175
ZNF763	0.0175
PRC1	-0.955111111111111
ABCB9	1.0855
SPATA3	0.327
TRAK2	-0.61175
STAB1	1.74475
LRRTM2	-0.2055
psiTPTE22	1.11725
DBI	1.05125
SERPINA11	-1.872
NAT5	0.07425
C20orf58	-1.759
RPS6KA4	0.885
FLJ90650	-0.77925
TGFBRAP1	0.49425
CHRDL2	0.936375
FAHD2A	-0.405833333333333
CNTN1	0.1145
BBS4	0.0217
TMEM181	0.26225
MINPP1	-1.81225
MPHOSPH6	-0.629583333333333
HOXC10	1.7444
ITPKB	0.04675
CLPTM1L	-0.294375
MEOX2	-1.37016666666667
ATP6V0C	0.626625
PRPF8	-0.694
TMC5	3.50625
FKBP3	-0.08
PLEKHB2	-0.315875
OR4D6	0.006
ZNF544	0.379
D2HGDH	0.606875
RPL18A	0.113
HEL308	-0.427625
MPP6	-4.49975
TCERG1	-1.00375
KRT16	-0.471333333333333
KLF17	-1.1865
KLF5	0.517125
CDR1	2.07075
VCX3A	-4.3355
FBLN2	1.653
C14orf104	-0.406
HBE1	-4.4368
OR4S2	1.6235
C1orf108	-0.958666666666667
ROBO4	3.366
CPEB4	0.201125
C11orf80	1.0485
BCKDHA	0.744833333333333
MYOC	-0.109
GIF	0.207
CKMT1A	2.027
RPL3	0.1665
THBS1	2.53875
APOO	-0.81275
ARMCX1	1.442
HSZFP36	0.48575
SNAPC5	-0.2895
EIF4ENIF1	0.508
ZNF433	0.44275
TNFRSF21	-1.6125
TMPRSS7	-0.6315
SPATA18	0.1589
HPDL	-3.3405
MKL2	1.3664
TBX3	2.09753846153846
C21orf93	0.556666666666667
DAXX	0.00675
ELMO1	-0.80375
RGS13	-0.120833333333333
TAF11	-0.432
UNC13A	-2.126875
LOC653314	0.5031
ORC3L	-0.3595
IMAA	-1.4835
TARBP2	-0.87275
CABIN1	-0.2944
TRIOBP	-0.0235625
HIST1H2AC	1.26675
RGS22	-1.25683333333333
NCOA1	1.65
IL25	0.146
SNCG	3.4375
GPR6	0.6835
AMDHD1	-2.608
CHEK2	-0.688625
C6orf142	-0.34525
DRD4	0.53975
C14orf68	-0.52975
GDF11	-2.3605
SEMG2	0.178
CD247	-1.68075
CDAN1	0.09575
RBMX2	-0.174666666666667
TGS1	-0.55025
OIT3	-0.3275
SYF2	-1.04675
MCM4	-0.880125
PKHD1L1	0.160625
CEP192	-0.512833333333333
IFT88	0.3875
RPL9	-0.229714285714286
RAB32	-1.290125
DDX43	-2.355
P2RX2	0.668
OR5D18	0.7815
UBE1	-0.21625
SLC24A1	0.129125
ARHGAP5	-0.07175
CETP	-1.11525
KIAA1731	-0.852333333333333
SLC9A4	0.332
PTPN6	0.0885
BAHD1	1.4955
GRIK3	-0.0585
CACNB2	-0.8382
PDE10A	0.76225
DGCR14	-0.2265
PCDHB9	-1.037
RHOQ	0.128
MAP3K4	0.833
KTI12	-0.436666666666667
RPL23AP13	-1.80925
GNG11	-1.28275
CLCN3	1.67516666666667
GPAM	-1.081125
VSTM2A	0.5495
SLAMF7	2.06933333333333
INTS2	0.47425
PPP2CA	-0.6067
LRP12	-1.472
SEC14L2	0.729555555555556
DKFZP586H2123	2.4545
MC3R	0.0375
CIRH1A	-1.02066666666667
HIST1H2AB	0.547166666666667
POLH	-0.402125
MGC16703	-1.57016666666667
SNAPC2	1.071
FILIP1L	0.16875
RASGRP4	0.767
LRRC1	2.482
GAS1	1.244
PRAC	-0.8755
DGKA	-0.792166666666667
NT5C3	-0.3445
PEG3	-3.64791666666667
NADK	-0.954
PRR17	0.88625
LOC374569	0.0695
SGSH	0.0925
NLRP8	-0.274
GALT	-0.6242
MCF2	-0.497
ZNF263	0.77625
TACSTD1	1.78283333333333
TYR	-6.1853
ATP6AP2	-0.66825
RNUXA	-0.95225
ABHD10	-0.8424
GDPD2	0.81
SLC35C1	-0.177
UBE2A	0.50325
HERC5	0.0713333333333333
FAM112B	-4.67166666666667
FBXL16	2.48225
DKFZP434A0131	-0.36825
ELA3A	-2.0055
RBM41	-1.2105
HAO2	0.313
RNH1	0.25775
SHANK2	1.329
OSBP2	-1.491
DAK	1.12666666666667
C3orf58	-1.14341666666667
TCL1B	-0.495
KBTBD2	-0.525125
SUGT1L1	0.187
UBE2E2	-0.006
MYL9	2.33575
CDC23	-0.586666666666667
PBXIP1	0.319
CXorf40B	2.3775
NBL1	0.4825
RTBDN	0.6675
RAB11FIP5	0.51325
TTTY13	-0.1975
SCOTIN	0.296333333333333
SOHLH1	-0.399
CDKN1A	0.152571428571429
NCK1	-0.8355
ZNF550	0.1215
SAPS3	1.27966666666667
SPIN3	1.32183333333333
MAGEE2	0.006
MIS12	-0.869833333333333
OR8H2	0.668
KIAA0774	-0.479333333333333
UNC5D	-3.1495
CUL7	-0.267166666666667
LIPC	-3.51766666666667
DIO1	2.282
C20orf11	0.0323
CTRL	-0.2565
HS3ST2	0.7625
PAK4	1.22166666666667
CCRL1	3.03925
RNF10	1.098375
ZNF567	0.031
ZNF660	-0.7625
TCEAL3	3.23225
MAGOH	-0.512666666666667
CENPB	0.338333333333333
C19orf7	1.20725
LOC388965	0.2465
ZCCHC13	1.787
JMJD1A	-0.3913
HIST1H4H	1.343
TBRG1	-0.935
GPC3	-0.59375
TAF1C	-0.274
EBNA1BP2	-1.56716666666667
CIAPIN1	0.67875
PDGFRA	-0.479388888888889
CSTB	-0.827375
CENPI	-1.237
GTF2E2	-0.547166666666667
RPP21	-0.269
CCNF	-0.0135
KCNQ3	1.174
FAM79A	0.023
SLC22A12	0.517
NOVA1	-1.13683333333333
FZD3	-0.3433
AKAP8	-0.51425
SOCS5	-0.395875
CFDP1	0.73875
DLG5	0.849
PGM5	0.04275
C1orf144	-0.0915
HDAC10	-1.682
RND2	-0.87225
C20orf199	-1.61325
RNMT	-0.298375
SLURP1	0.614375
ASTN1	-0.18675
SH3BGR	1.01575
MYCL1	0.0985
ZHX1	0.707333333333333
CENPK	-2.685
FOSB	2.3194
LOC643406	0.3215
C2orf59	0.16225
TMEM135	-0.480625
SLC27A2	-2.1505
KRT33A	2.768
OVOL1	0.0951428571428571
PAMCI	-2.63816666666667
S100A7	-1.065
ZNF789	-1.8335
HARS2	0.33625
RPL23A	0.381
TCF23	0.359
UPF3B	-1.464625
C17orf78	0.563
HLA-DOB	0.386166666666667
C14orf142	0.086
TEKT5	1.20633333333333
DMWD	0.268
POLD1	-1.58233333333333
GSCL	0.165
CALD1	0.1209
SCRT1	0.4255
AIG1	1.76925
UNC84B	-0.75225
ZNF404	-1.165
TMED6	-2.95875
KIAA1462	-0.0435
LRRC27	2.4996
PYGO1	0.1285
PIGU	-0.434333333333333
ALAS2	-3.26883333333333
WRNIP1	0.354125
CNNM3	0.2205
ZNF2	0.373
ST3GAL5	-1.2855
MRPL23	0.47075
TSSK6	-0.54625
PSMA6	-0.34975
C16orf70	0.32
KIAA1602	0.55775
ALMS1	0.466166666666667
DCN	1.32275
TMEM132D	-0.8135
SUCLG2	-0.37
ABHD14A	-0.41475
DEXI	0.821333333333333
AMPD2	-1.468
IFNAR2	-0.801666666666667
CYB5A	3.1824
TLOC1	-0.5207
NXF5	-0.349166666666667
NRBF2	0.325
KCTD3	1.7725
ITGAE	-1.06533333333333
SLC30A3	-1.39983333333333
ZRF1	-0.7135
IFRD2	-1.096875
XAB1	-0.43475
PYCR2	-0.543166666666667
SERPINB3	-4.1885
TMLHE	-0.4562
GEFT	-1.233375
ABCA5	-1.8815
EMR4	0.1064
TSFM	-1.07625
HIST3H2BB	0.92375
ARHGEF19	0.48725
TSPAN17	0.346666666666667
ABCC8	3.8245
MAP1S	0.3335
C22orf36	0.55175
BNC2	-0.434357142857143
HIST1H4A	-0.153
NDUFS3	-0.8965
WDR3	-1.26333333333333
XKR4	-0.767
TTC33	-1.07985714285714
STMN2	1.76475
CPN2	-0.7815
HSPC105	1.755
PCOLCE2	-3.47325
C3orf55	0.2655
KLHDC9	1.99883333333333
TBC1D23	-0.6645
ATXN2L	-0.767833333333333
MAP2K3	-0.274916666666667
SCAP	-0.48725
ZNF486	1.02266666666667
C20orf96	1.217
NARS	-0.677
ADAMTSL1	-1.27264285714286
PRCC	0.389166666666667
CCDC126	0.895583333333334
ZNF675	-0.34325
CALCOCO1	-0.362
ANKRD43	0.89275
CWF19L2	-0.2065
ZBTB32	1.11716666666667
BRAF	0.9945
ODF4	0.52725
MGC14376	-0.126333333333333
HORMAD1	-2.061
AAK1	0.127583333333333
PEBP1	0.995
TNFSF5IP1	0.286
DKFZp564N2472	0.292
RMND1	0.657125
IGKV1-5	4.401
COL1A2	2.60025
SERPINA5	-0.912875
AANAT	0.3425
C19orf21	1.69216666666667
GEMIN5	-0.06975
UBR4	-0.506833333333333
LTBP3	1.06116666666667
AMHR2	-2.3295
PROCR	-1.282
MYBBP1A	-0.97075
C20orf39	1.03983333333333
ZNF697	2.231625
PASK	0.1635
ZNF776	0.667666666666667
RFXDC2	-0.140125
KIAA0467	-0.644
C10orf96	-1.64975
ZNF503	-0.39575
GULP1	-1.53316666666667
KCNE4	2.419
DKFZp434K191	-1.1225
LOC196913	0.4285
BHLHB4	1.0585
CH25H	0.68525
LOC81691	1.01866666666667
ALPL	-0.150857142857143
COL12A1	2.04325
FOLR3	-2.42416666666667
GPR123	-0.50525
TRIM62	0.381428571428571
ABLIM1	1.152
MAST3	-0.242
RHBDD1	0.672666666666667
LOC338809	0.6785
RYBP	0.708
TTC26	-0.026
ZNF22	-0.105333333333333
ISCA2	0.588
RDM1	-0.9685
PIGM	1.4085
GNB3	-1.3215
ACTR2	0.4005
HMGB1	0.6867
EDG1	2.14366666666667
SOAT2	-3.254
OR10AD1	-0.2315
RAP1GDS1	1.24316666666667
LCE1F	0.381
ESM1	0.43875
RCN3	1.916
CREBL1	-0.16275
DBNL	-0.3075
PTGER3	1.965
USP30	0.7045
BCL2L12	-0.299666666666667
KIF26B	1.89725
ZNF416	0.7775
ZNF225	0.348
C17orf70	-0.48325
ZNF554	0.84675
RAE1	-0.551666666666667
TNIK	0.309166666666667
ACTN3	0.5225
MGC45922	1.274
CCNA1	-0.0666666666666667
RYK	-0.1245
IL26	0.2785
LRP3	1.3255
QARS	-0.658
SOX7	0.279214285714286
BID	-0.71975
OR2S2	-0.9125
CXCL14	4.05475
C11orf47	-0.393
MGC29891	0.920666666666667
HSPB8	0.1859
PRDM14	-1.233
NUFIP2	-0.04425
MNAT1	-0.022875
ZDHHC2	-2.06641666666667
MBNL2	1.22375
ADD3	1.22825
CSNK2A1P	-0.798
KLK6	-0.530166666666667
TMEM111	-0.2527
KIAA1279	0.6385
NUBP2	0.642666666666667
RAB42	-1.776
ID3	-0.8177
TM9SF1	0.3515
MDP-1	-0.19325
POU4F2	2.266
IQCK	1.58825
C16orf14	0.2495
CAPN3	-1.874
FAM43B	-0.113625
RECQL	-1.8805
AP1G1	1.02485714285714
CTNNBL1	-0.559833333333333
ECHDC1	-0.784666666666667
SMARCC1	-0.1725
FOXQ1	-0.9025
GNAI3	-0.540833333333333
POLG2	0.848
CD4	0.944875
ITLN1	-0.45775
EBI2	2.99325
IRF1	0.19575
PTPRE	0.6412
PTK2B	-0.486
NXNL2	-1.172
SOX4	1.16027777777778
TSPAN3	-0.1395
SH2D1A	-3.20733333333333
C8orf58	-0.498833333333333
USP20	-0.657
DUSP22	-0.0933333333333333
CALB1	-2.13216666666667
L3MBTL2	0.392583333333333
MCRS1	0.14025
TMEM118	-0.594166666666667
C18orf8	0.507
FLJ10241	-0.18975
GJA12	1.28725
PKD1	-0.328833333333333
ZFP3	0.267
JAM3	-1.26725
LAPTM4A	1.2776
DIRC2	0.04375
KIAA2022	1.71466666666667
MYOM1	0.3125
TRPM8	-2.4655
MOP-1	1.70275
PHKG2	0.336875
ZNF650	0.036125
KIAA1522	0.727375
PSG8	-1.24766666666667
DDX19B	0.181
MOBKL1B	0.33225
DIAPH2	-1.34916666666667
PTPN12	0.25425
CLN8	-0.8731
CRYZL1	-0.933666666666667
CRY2	0.403916666666667
FCGR2B	2.30833333333333
PNPLA4	0.993875
ZNF454	-0.781
DKFZp434B1231	0.074
CLDN11	0.5931
RFWD2	0.431333333333333
CIB2	-1.03816666666667
MXRA8	2.243375
HRK	-0.4205
MAML2	-0.52575
C4orf31	1.05425
C6orf192	-0.99225
COG6	0.6535
FAM5B	3.69375
NFATC1	-0.4577
SEPT10	-0.02375
SCYL1	0.8502
RPP40	-0.56575
SCOC	0.5014
KIAA1450	0.81675
CTDSPL2	0.524
TBX5	0.619333333333333
NAPG	0.64175
RHD	-3.96875
C14orf45	1.24783333333333
ZBTB22	1.014
PLCG1	-0.843
ANKRD10	-0.522375
AQP7P2	0.9425
TAGLN2	-0.1815
HTR2C	-1.66183333333333
SLC16A7	-1.59416666666667
C17orf83	0.246
TSGA14	-0.284666666666667
MDH1	-0.71775
PPP3R2	0.758
DCBLD2	-2.73964285714286
RBM33	0.527625
DPH3	-2.17775
SYT10	-1.934
FMO4	0.724875
THYN1	-0.7795
DRD5	-3.3155
OTOR	4.436
PGRMC2	0.8473
KATNAL1	-0.149
PAQR6	-1.0765
UBE2I	0.35025
C14orf28	0.6965
C8orf70	0.975
FLYWCH1	-0.285125
ANGPTL3	-0.76
GLRX2	0.2485
ATP11A	-0.544714285714286
ARL5B	1.705
MUC16	-2.19475
SLC25A5	-0.476214285714286
ACRC	-0.431
MYO1C	0.0251249999999999
FAM89B	1.83016666666667
FAS	-0.220875
KIFAP3	-0.087
GLRA2	-0.3585
BTN3A2	0.6558
CNKSR3	-1.62075
CSTF3	0.714333333333333
ARPM1	0.67775
KIAA1530	-1.1015
C9orf150	2.60633333333333
PRKCI	-0.6545
tcag7.1015	-1.05925
SOD3	-0.8185
ZNF574	0.88375
CYP21A2	2.34625
RPL12	0.19525
COMMD2	-1.59825
WIZ	0.83475
LOC344405	-0.786
ALDH4A1	0.163764705882353
CRYAB	2.64
COPA	0.4207
PCDHGA7	0.662166666666667
KIF11	-0.657166666666667
RASD2	0.263875
SLC26A3	1.791
ZNF175	-1.277
JAKMIP2	-2.814625
C8orf4	2.9815
PTHLH	1.899
SLC40A1	2.11016666666667
OR7D4	0.371833333333333
PCDHB17	-0.1055
CD36	2.48871428571429
C6orf203	0.9892
PRKG2	-1.7865
LOC400566	0.59925
ANAPC13	-0.3625
SLCO3A1	-1.19375
ZNF692	-1.091
FANCL	-0.8995
SH3GLB1	0.48925
C12orf61	-0.412
KBTBD6	0.5595
SUPT5H	0.274125
XRCC6	-0.856
HUS1B	3.5158
FAM133B	0.126357142857143
LOC728276	0.4505
KCTD18	0.543
SOS2	0.529833333333333
CCDC99	-1.90025
C1QTNF5	3.214
NNAT	0.7815
USP16	0.02225
LARS	-0.73925
ZBTB2	1.1155
ABO	0.153833333333333
TRAF3	0.176
GALNT5	-2.3835
NAP5	1.96325
ALG14	0.953166666666667
KIAA0515	0.365538461538462
WDR75	-0.707833333333333
TEX261	-0.0341666666666667
LY86	-0.071
LOC389072	-1.395
FLJ13611	-0.784
MRGPRX2	0.6615
SNRPA	-0.601375
OR2G2	0.642
GPRASP2	0.6815
C7orf42	0.8006
C9orf163	0.0055
CYP11B2	-0.8065
FCRL3	0.255166666666667
PRDX1	-0.871
FGB	-6.6405
COX17	0.449166666666667
C16orf33	0.733
PIWIL1	-0.609
FOLR1	-2.32483333333333
KIAA0082	0.554
FREQ	-0.795166666666667
TMCC2	-1.70316666666667
TCF12	-0.1415
ZNF721	-0.62175
FAM130A2	0.468
POU4F1	-1.7425
SNRPF	-1.56025
SGIP1	0.939
ZNF641	1.03033333333333
EMG1	-0.926875
PRRG4	3.527
HIRA	-3.4025
MYNN	-0.234166666666667
AEBP2	-0.630583333333333
TBXA2R	0.4055
ISL2	-1.38166666666667
PCDHB11	-0.6285
RNF144A	-1.301
MARCH5	0.486875
DULLARD	-0.890833333333333
DCLRE1B	0.037
ITGA8	-0.2305
TP73	-0.29825
PRKCD	2.118
NDUFB4	-0.84
ATP13A4	0.86225
ANTXR2	-0.804833333333333
COL4A3	-0.4895
MYO10	-1.6574
SLC6A18	0.6375
PEX1	0.07
TMEM74	-1.461
RBM19	0.50975
TAPBP	0.58055
RUNX1	1.0405
MID1	-2.097
GPR64	-1.98883333333333
RASEF	4.39625
GABRG1	-0.086125
MYO16	-1.46175
DBF4	-1.46366666666667
TSHZ2	2.322
RIPK2	-0.081375
