Hybridization REF	TCGA-AR-A0TR-01A-11R-A084-07
ADCY6	1.00883333333333
C16orf46	0.5995
CYP51A1	0.019125
DDC	-5.05375
ANPEP	0.993333333333333
PROM1	-3.4575
SIGLEC10	2.039
COPG	0.8345
FAM26E	-0.2055
TRIP4	0.3025
SNX3	-0.1385
C1orf175	0.347833333333333
PPY2	-0.27875
C14orf152	0.66975
FTSJ1	-0.847666666666667
DST	-0.4524
LOC554235	0.12775
GLRX5	-1.0525
C20orf12	2.0563
CAB39	0.332833333333333
MSH2	-1.01316666666667
PIP4K2C	0.8995
CYLD	1.96025
WTAP	-0.070625
MGAT4A	0.142666666666667
TSC22D4	0.1147
CHRM2	-2.0045
PPYR1	-0.227666666666667
CCNH	0.345166666666667
RRM1	-0.8435
ECAT8	-3.869
LOC400120	0.0705
GABRA4	-0.282428571428571
C14orf4	0.631
C1orf59	0.89025
CTDSPL	0.934
NHEDC2	-2.5025
PDE11A	-1.2694
KLHL29	-2.8125
CD5	-0.2003
TSPAN9	0.587875
WDR67	-2.24775
THUMPD1	0.7259
C18orf17	0.469
CLYBL	0.553166666666667
FLJ13231	0.10825
CMBL	1.478
LECT2	-0.18275
NKAPL	0.9684
LOC654780	1.1045
OR4C6	0.4925
RAB30	2.25866666666667
TSSK4	0.3345
TMEM163	2.046
OSBPL11	-0.281916666666667
GNB5	-1.1975
CCL21	3.58175
C1orf121	-0.0621666666666667
FMO2	1.04533333333333
RPTN	1.371
MSTN	1.474
VCL	-1.05128571428571
FYTTD1	0.366
C11orf1	1.2675
CCDC88C	0.8355
HFE	-0.143
MOGAT1	-0.7495
FAM125B	1.08
IRGQ	0.2565
RAVER2	0.2065
AKAP5	-0.076
SSSCA1	-0.06975
C11orf63	1.80825
ACTG2	-1.4649
PORCN	-1.257
DTL	-3.07263636363636
TMEM151	0.59675
FAM122C	0.9205
RSAD2	0.9954
BAT4	0.2575
KRTDAP	0.390666666666667
MYH8	-0.0557499999999999
CRTC3	-0.1635
LRRFIP2	1.6393
INTS4	0.0335
TTN	-1.2275
SLC26A5	2.8095
PLLP	-0.655
RGS6	-0.854875
SRGAP3	1.289875
ZNF525	0.498833333333333
NBR2	-0.875166666666667
C13orf1	0.1341
ZNF137	0.9725
CEP27	-1.73625
BEST2	0.0455
RNF121	-0.682
DMRTC2	0.47025
C8orf76	-0.37575
BCCIP	0.078125
MEST	-0.65525
HTRA2	-0.1255
ANGPTL2	-2.59675
ILKAP	-0.0693333333333333
ERAS	0.108
HBS1L	-0.651875
CPA5	0.0365
TMEM30A	0.989333333333333
CD300LF	1.66133333333333
WISP3	-0.7215
CRK	0.552142857142857
PDS5A	0.3121
BRPF3	1.24783333333333
NEDD9	-0.499875
SMPDL3B	1.37875
PSG6	-0.48525
PSMD13	0.196
ETV5	-3.271
OR51A4	0.4395
BTBD7	0.7655
GSTO1	-1.10475
hCG_16001	0.2945
MAD2L1BP	0.476833333333333
COX6A2	0.361
SCNN1A	0.876833333333333
LSM1	-0.0705
UGT2B11	-4.61825
IDUA	0.45625
PPP2R3C	-0.337833333333333
COX11	-0.479666666666667
PDZK1	4.79325
ZNF443	1.291
MGC21874	0.784
ZNF323	1.1024
KRTAP10-10	0.479
CXCL6	-0.821
SLC34A2	0.1399
LOC284402	0.6265
NPTN	1.06258333333333
UPP1	-3.52441666666667
SLC6A9	0.8575
OR7G3	0.2915
CISD1	-1.681
ZNF545	0.794333333333333
SYT14	-1.0855
NT5C3L	0.0473333333333333
ZNHIT3	0.0351666666666667
SNRPD3	-1.18075
KIAA0701	0.596625
UNC93B1	-0.253166666666667
GMNN	-2.41675
SPCS2	0.387
LOC388524	-0.466
NAPRT1	0.583
PNLIPRP1	0.44525
OR6V1	0.6075
PRKAB1	1.07175
EYA4	-3.366
KIF20A	-3.33875
ALG10	0.76525
ITPKC	0.6855
LMX1B	1.95216666666667
RPUSD4	-0.288166666666667
C7orf34	0.28
DLGAP2	-0.337625
PFN1	-0.5817
MICALL2	-0.103916666666667
ZNF654	-0.093
SS18L1	-0.745375
SLC16A8	0.0125
MKI67IP	0.4675
ITGB3	-2.365125
TCEA3	3.54758333333333
CEP152	-2.4208125
CLIP1	1.193625
ZNF75	0.7726875
ATP5C1	-0.279333333333333
NUDT5	-0.656333333333333
PSCDBP	0.296
UBP1	1.06475
RBM27	0.40275
C13orf15	1.296875
ZNF282	0.570333333333333
ZNF222	0.3211
COL10A1	3.00525
PRDM15	-0.35
TTTY5	-0.067
FAM9C	-0.464583333333333
C20orf67	0.05175
GNG13	-0.2045
F12	0.973
C1orf41	-0.17775
CPXCR1	0.3285
GSK3A	0.393125
SUPT6H	0.307333333333333
PI16	-0.816666666666667
ELL2	-0.622416666666667
C9orf167	-2.67516666666667
PVRL3	-3.9903
FLJ38596	0.87775
ADAM20	0.3615
GPR89A	1.578
GPR87	-3.9595
ZNF30	1.935
SMR3B	-0.36775
ZNF770	0.460625
TRPC4AP	-0.420333333333333
DKFZP686E2158	0.521166666666667
C2orf28	0.37
FREM1	-3.55833333333333
LAMA4	-1.56183333333333
ADPRHL2	0.22975
EIF4G2	-0.0136666666666667
GUCA1A	-0.8905
CTNNA2	-0.524375
NUDT15	-1.35733333333333
CEPT1	1.50066666666667
ZNFX1	0.1326
CCDC92	0.75475
TDRD1	-0.9355
KCNK5	-3.511
ETNK1	-0.0169166666666667
LTA	0.2515
TTPA	-0.309333333333333
B3GALNT2	-0.346875
SC65	-0.0198333333333333
PEX5L	4.46475
EPS15L1	0.562
MGEA5	0.055
HIST1H3A	0.8775
ING1	0.225875
BCAT1	-4.748875
ORC6L	-3.71690909090909
KLK11	-5.0685
C19orf28	-1.9975
DNER	-4.888875
MED22	-0.209642857142857
ETV6	0.2085
CHAC2	-2.1905
CD300E	0.383
CEBPB	0.430083333333333
ZNF398	0.614
LRCH3	-0.0215
HMGA1	-1.80716666666667
CAPN7	0.895333333333333
MGC5566	-3.20525
CCL3	1.95525
NANOS1	-0.599375
ZFYVE19	0.313
APITD1	0.3555
PARD3	-0.393625
IRAK4	0.352833333333333
SERPINI2	-1.5005
CEP170L	-0.444
TTC9	2.081125
MYOM3	-1.95
MLPH	2.719875
LOC222699	1.271
NRG1	-2.35725
TBC1D9	5.08290909090909
TTK	-2.63666666666667
ZNF557	0.9848
DDX41	-0.125166666666667
FANK1	3.2505
UBE2D2	0.485125
PSMB10	0.87725
MYH7B	0.6355
GABARAPL2	1.080125
MARVELD2	2.3195
DGCR2	0.114833333333333
UNC45A	-0.273166666666667
C6orf72	0.0735
ZNF683	2.62325
GIT2	0.251875
CASK	-0.398333333333333
C14orf161	3.35733333333333
LRRC44	1.27375
TIFA	-0.25725
UTP11L	-0.26675
C6orf65	-1.38675
FDPS	-0.60975
DUSP9	-2.4984
SLC17A8	0.8608
OR51G1	1.33433333333333
NANS	1.305
OLFML1	1.14525
ATP10B	-1.187
NPAS3	5.37175
PRKCA	-3.08
GGA2	0.00543749999999999
LCE4A	0.29
SPANXN3	0.0255
CCDC115	1.904125
SDCCAG3	-0.4275
GLIPR1L1	-0.324
TTC1	0.423
C17orf76	-0.73175
MAD2L2	-2.2
HIPK1	-0.0776
LRRC3B	0.112833333333333
CLN3	-0.176454545454546
C17orf47	-0.477
FMN2	-2.84575
TUBB1	-1.521375
WAPAL	0.3045
C3orf21	-2.093875
SCN5A	-1.0907
SMYD1	-0.2555
BEX5	-0.08925
ZNF192	0.221
SEC22A	0.481166666666667
GRIA2	6.18757142857143
KIAA0825	-0.31625
NUSAP1	-3.39218181818182
LANCL1	0.68075
C15orf40	-0.5151
ZNF645	-0.11875
GPR61	0.03525
NLRP14	0.407
SNX21	0.0317
C1QTNF8	-0.606
C17orf46	0.90575
IFNA8	0.097
SPRR1B	-2.2625
FLRT1	-0.56475
SNX17	0.0673333333333333
ASB2	-1.05883333333333
HBG1	-5.427
RPRML	-2.6685
JOSD2	0.100333333333333
PLSCR3	-1.351
SPOCD1	1.08566666666667
RAB39	-0.603
GHRH	0.8995
ITIH5L	0.19925
C17orf37	0.58775
SMCR8	0.74875
DPY19L2P3	-0.3015
IL11RA	0.0245
GDF3	-4.13883333333333
RPS6KB1	-1.13758333333333
DNAJC19	1.7167
TOP1	-0.12175
CRCT1	-0.2215
MPST	-0.259875
DPM2	0.345625
FAM38B	-3.331
SLC18A1	-1.64783333333333
FARP1	0.305166666666667
PAX7	0.203
TUBD1	-1.52175
GNL3	-0.025
BTG2	1.94913333333333
NDUFS6	0.0445
C1orf79	-1.8775
ERAL1	-0.116
ECHS1	0.354
VPS4A	-0.0905
CYP11A1	-1.908875
ABCC6	-2.85307142857143
PBX4	-3.2405
MOSC1	-1.79425
NCF4	0.15825
HYMAI	-0.223
NAGPA	-0.522125
OTOP2	0.516
ACOT12	0.20225
MTHFD2L	-0.35725
LOC441376	5.664
C19orf34	-0.4665
RAB1B	0.43575
ALDOAP2	0.322
NTRK1	-2.07116666666667
ARTS-1	0.2967
SLC6A11	-1.042
NAP1L2	-2.11425
CNGB1	-0.170833333333333
EPB41L4B	1.0095
FAM134B	4.568625
HS3ST3A1	-2.01766666666667
CPXM2	2.804
SIRPB2	0.4095
CHORDC1	-0.898333333333333
TRIB3	-0.263166666666667
SLC2A5	0.46925
C2orf49	-0.221
DDX5	-0.0705
OR5L1	0.5625
ANAPC4	-1.03783333333333
ZSWIM1	0.734
LOC93622	-0.537625
KCNK3	-0.8814
RP11-35N6.1	-1.3605
ZFP161	0.742
AQP9	0.098
SLC15A2	-1.46483333333333
MREG	1.10816666666667
OR9I1	-0.468
PDLIM2	0.331875
ADAM7	0.5285
GSTCD	-0.00883333333333336
WDR21A	0.559
SLC12A8	1.926
TMEM174	0.23325
IGSF3	0.816916666666667
LRRN1	1.554
LOC402117	-0.903
SRPK1	-1.42183333333333
LY6K	-2.5250625
NFIA	2.38
PTCD3	-0.228625
LEP	0.3455
PCDH21	-0.7615
MAPKAPK2	0.834142857142857
NMNAT1	-0.502
LHFPL2	-1.297125
C9orf43	1.30975
DIP2A	-0.196666666666667
ACTR8	0.481
CCDC34	-0.32925
PTPN22	-1.40875
ITGA3	-1.944125
FAM129C	1.38125
RABGGTA	0.651833333333333
UNC45B	-0.07825
KIAA1033	0.035
ZNF510	0.583333333333333
CYP2D6	-0.8225
SLC26A10	-2.387
STX8	-1.07525
LUZP1	-0.576125
WDR89	-0.0773333333333333
EIF4G3	-0.2343
C5AR1	0.10625
ZNF623	0.8425
A2M	-1.21125
TGM7	-0.156
GRPEL1	-0.7955
LMNB2	-1.8886
ROCK2	-1.448
SNX16	0.309125
CCDC66	1.072
ANXA3	-0.6305
KIAA1609	-0.012875
EED	-0.472
RNF32	0.185
HES1	1.4266
CLC	-0.329666666666667
ISL1	-0.906833333333333
KIAA0528	-0.3965
MANEA	0.44525
C1orf61	-2.022
hCG_2001000	0.343
RAPGEF6	0.1658
KIAA0020	-0.73
NEIL1	1.74125
C16orf45	-3.216375
RBM10	0.0598333333333333
C10orf125	-3.0545
MRS2L	0.31675
DNAH17	-1.046
C19orf10	-0.4785
C1orf160	0.597
SLFN12	1.82325
EXOC3	0.0718333333333333
HIST3H3	0.1585
NCOR2	-0.0888333333333333
TNFRSF9	-0.26525
MFSD8	0.8235
ALX1	-3.5405
NOL1	-1.8155
PODN	2.0595
TIAL1	-0.80325
HIST1H1E	-0.031
NPY6R	0.55575
TM4SF4	-0.06075
CORO2A	0.93575
ETNK2	-1.45233333333333
APOE	-0.7663
ANGPT4	-0.3595
HDGF2	-0.3265
G30	0.7455
ST8SIA4	-0.95875
F2RL1	-2.149875
FAM19A4	-2.42025
CCAR1	-0.39925
B3GNT7	0.27875
OPHN1	0.2196
DSCR6	0.43
C21orf13	2.15483333333333
GAS2L1	-0.03825
RFX3	-0.718166666666667
COPS4	0.148125
BCHE	3.45583333333333
BCL2	3.594125
HBZ	-3.45583333333333
ARL13B	-0.089
MAPBPIP	1.02
MYO15B	1.133625
SPZ1	-0.02275
KIAA1324	3.96488888888889
PLCL2	-1.527125
C4orf29	-0.09925
WDFY2	-0.543625
ZNF284	-0.31
NAALADL1	-0.5835
DUSP5	-0.0866666666666667
PXDN	-1.318375
SLMO1	0.00825
TNXB	0.2357
BIRC7	-1.77275
A4GALT	-1.0205
TIMM22	0.41475
FAM110C	1.77
TOMM34	-0.29525
ABHD9	-0.678
ADAM32	2.325
CRHBP	-0.2
AQP2	0.234375
LOC130355	0.888
ZNF187	1.11766666666667
ZNF816A	1.1275
F7	0.71875
CNOT1	0.6173
SLC13A4	-0.363
ZBTB11	0.22875
B3GALT5	-0.08
EXOC2	3.94316666666667
IRS1	-0.2221
TMEM1	0.126166666666667
MRPL34	-0.2645
SAMM50	-0.69675
CDC42EP3	-1.78775
HSF2	-0.5666
MFN2	0.20025
TSPAN7	-1.81683333333333
NUCB1	0.826166666666666
RHOH	0.88075
ARL16	-0.338
TACR1	0.34975
SFRS5	0.363166666666667
SNX25	0.462125
RHBDF1	1.18633333333333
PCDH18	-0.9175
HMG1L1	-1.26875
MYO5C	1.31825
MAPK10	-0.3035
LDHAL6A	-0.244833333333333
NUDT12	1.9045
NCAM1	-0.05525
GLIS2	0.295
GGTL4	-0.43775
DAPP1	0.167
ATF7	1.188
KIAA0748	-0.52375
NFIL3	-2.9305
TM6SF1	0.706222222222222
SEZ6	0.476625
NANOS3	-1.081
DNAJA3	0.4075
CLDN6	-3.8305
CIITA	2.2662
EPHA4	-2.95133333333333
FANCC	-0.021
CMTM3	-2.094375
PSG3	0.20325
MRPL15	-0.41775
C21orf59	0.557
PLCXD2	-0.0852500000000001
C2orf34	0.41825
UBE2L6	0.7685
MED14	0.108166666666667
HP1BP3	0.5974
C6orf208	-0.4565
TPBG	0.77025
OSR2	-3.4765
XPC	0.490833333333333
KLHL7	-0.582916666666667
CCR3	-0.298166666666667
AGTPBP1	-0.4675
PCSK6	-0.0331333333333333
STAT5A	-2.0166
FAM18B	-0.048
LONRF2	1.7525
PTPN2	-0.214625
SF3A3	-0.429
EFCBP2	-0.51725
HCFC1	-0.478166666666667
AHNAK	0.27455
ACTR5	-0.2305
KIF14	-3.59257142857143
TENC1	1.366
HEATR5B	1.506
YIPF2	0.812333333333333
MYEOV2	0.53
DUSP18	0.36325
KIAA1012	0.91625
AHR	-2.67183333333333
C17orf53	-1.7115
PTPRH	-4.69
ATP6V1C1	0.4139
TAS2R3	-0.288
LOC440356	-0.931
COQ10B	0.7
PSMF1	0.347916666666667
SORBS2	3.1705
NFE2L2	-0.168
TMCO7	-0.42975
SH3PXD2A	-0.6117
SH2D2A	-2.37475
SPINK5	-2.97425
MRPS24	-0.665
OPA3	0.226125
TRAF7	-0.135
C4orf35	0.4525
MT1G	-1.146
MGC39545	0.51725
HS1BP3	0.1627
OR2B2	0.3535
CHRM4	0.1535
SFRP2	-5.04275
RIC3	2.57875
ART1	0.6045
C6orf1	0.680375
DUS4L	0.05375
C10orf104	0.2985
TNFAIP6	-2.66325
RTEL1	-1.83475
CCT4	-0.2793
ZNF709	0.8175
CHMP6	-0.118666666666667
UPP2	0.19125
CYP19A1	-2.573375
CD151	-1.03416666666667
NDUFA13	0.274333333333333
ARFRP1	-1.2625
FAM26B	0.635
CRYBA1	-2.691
MRPL41	0.749833333333333
NPFFR2	-0.891125
HRH2	0.656
SCAMP3	0.443833333333333
MTMR6	0.1676
MTG1	-1.03983333333333
UBTD1	0.20875
CRABP1	-3.175
FLJ33790	1.6742
KIAA1908	0.238333333333333
GPR158	-2.0385
PACSIN3	0.8645
OMD	1.93383333333333
CATSPER1	-0.848666666666667
HOXB8	1.633
FBXO46	0.853
OAS1	1.34533333333333
SVIL	-1.596
PHB2	-1.68425
ADCY3	-0.796
NDRG2	2.0955
ERMAP	1.3596
APBA2	-2.54683333333333
IGSF9	1.623
WNT6	-0.967785714285714
MYCBPAP	2.35325
ATP2B2	-0.3601
CPVL	-1.5996
TRAM2	-1.53308333333333
NOP5/NOP58	-0.44925
ZNRF4	0.49875
TLK1	0.439875
MTMR12	1.09814285714286
ZNF384	-0.572
FAM9B	-3.7415
RPN1	0.3336
PMVK	0.91775
EIF3D	-0.2864
SIX2	1.35675
HPS1	0.0517857142857143
RNF7	0.2045
PSKH2	4.004
KCTD13	0.246833333333333
CSMD3	-0.00120000000000001
FBF1	0.1185
IL8	-6.242625
SERPINB13	0.551416666666667
FBXL20	0.46125
BLR1	-0.09175
SH2B1	0.3125
RFNG	0.1275
RAB20	-0.269833333333333
RBM7	-0.049
POLR1A	-0.018
TMPRSS4	-3.25125
TAF9	-0.124375
TERF2	1.26216666666667
TNFRSF1A	-1.32958333333333
ACADVL	-0.643
GTF2H5	-0.01575
EDG8	-1.45516666666667
C9orf140	-2.44225
UST6	0.871
ZBTB8OS	-0.4625
ZNF710	0.6665
GPR174	-1.3945
ATP6V0A2	-0.3875
KIAA0319L	0.867083333333333
XKRX	-0.8225
DOPEY2	1.5927
SDHD	0.0178333333333333
SUMF1	2.12525
OSM	0.4685
OPN3	-1.5465
DAGLB	-0.414666666666667
PPFIBP1	-1.1355
TRIM63	-3.287
C10orf53	0.2745
LYPD3	0.9525
BCL7A	0.079875
AGER	-0.683
TCF19	-1.548
SAT2	-0.841
PFTK1	-1.38116666666667
GABRE	-3.885375
C15orf38	0.7924
FIS1	0.744
KCNV2	0.0705
CLPS	0.34075
PPCDC	-0.606375
FOXN2	-1.41966666666667
NT5E	-4.7884
CD83	-0.2875
IL18	-0.330875
VPS16	0.19625
IGFBP2	0.905
NOTCH2	0.8825
SIGLEC1	2.128
CD93	3.2945
SULF2	-3.31025
CEP164	0.448875
P53AIP1	0.188
TOR2A	0.2065
ZNF136	0.65325
MGP	2.8062
CCDC144A	-1.23
TRPC1	-2.417
SMS	-1.3455
MAPK7	-0.997833333333333
RRAGC	0.12625
PARD6A	1.183
NUB1	1.35816666666667
SYNGR4	-0.04525
OR11H12	0.116
WIF1	0.1905
GCH1	0.02625
OR11H4	0.5665
SLC44A5	-1.0865
GPRIN2	1.01883333333333
LOC401431	0.94525
CPA4	-2.6637
MELK	-4.256
IL15RA	-1.33625
CUL3	0.69175
HMBOX1	-1.74875
PODXL	-3.90325
CCT6B	1.89066666666667
COMTD1	-0.92675
MUC20	-0.241666666666667
GPX2	-4.267375
ITK	-0.8795
FBXL5	1.063
C13orf27	-2.211
DEFA5	0.253
TRHDE	0.8995
MTP18	-1.34866666666667
UQCRQ	0.4796
ITGB2	1.02808333333333
CSRP2BP	0.582
TAS2R44	-0.2875
PHPT1	0.79525
FAM44C	1.14625
ERH	-0.6135
MPHOSPH1	-1.6895
MORC1	-0.621
PARVB	-1.823
LAMA1	-2.89608333333333
PGBD3	0.49425
GIMAP6	4.1295
AREG	-6.05983333333333
LIPT1	0.769
MGC99813	-1.0025
C1orf201	0.428833333333333
GRIN2A	-1.01022222222222
MAN2C1	-0.9055
NSUN5	-0.135
SF3B5	-0.1145
MYC	-3.3853125
NRXN1	-0.474583333333333
ZNF18	0.62775
SPDYA	-0.239125
SLC37A1	1.7
DECR2	0.27975
ANKRD38	-1.376875
SPTLC3	-1.15133333333333
SUPT16H	-0.271375
DTWD2	1.133
ULBP1	-0.658
ZADH1	0.832333333333333
OIP5	-3.54075
IL10RB	-0.1185
OTUB2	0.214875
VWA3A	0.36
SPIC	1.361
OR6C4	0.7285
PSCD4	0.567
DPY19L2P2	-0.572
TRAPPC6A	1.0205
C21orf2	0.5265
CEMP1	-0.53275
LIN7B	1.0695
E2F7	-3.59233333333333
VCP	-0.4975
LAMA3	2.00408333333333
BGN	0.072
GPR160	2.27333333333333
COCH	-4.13766666666667
GPR81	2.9235
APOBEC3F	-0.853
tcag7.1017	-0.216
C1orf32	0.954
SCGB1D2	1.0825
FLJ43987	0.398
C6orf170	-0.11275
KLK9	0.0645
GPD1L	0.602125
VPS37B	0.417
ATG3	0.183333333333333
ADAMTS17	-0.011
KLHDC2	1.54883333333333
NDUFV2	0.447
BLK	-1.185
MATN4	-1.7885
GPM6A	-0.029875
GBP4	2.35433333333333
TMEM162	-0.00783333333333334
PKP2	-0.081
HRASLS	0.355333333333333
MMP1	-4.2565
SFXN3	-0.7157
FSD1	-2.67683333333333
ST6GALNAC3	-1.15933333333333
CA12	3.2603
NCOA6	0.235
C19orf58	0.1546
PPP4R1	-0.0886666666666667
MAN1A2	0.65
IKBKAP	0.42475
UPF1	0.255
KIAA1219	0.394
WNT16	0.642833333333333
SNW1	0.005875
IL18RAP	2.104
RPP30	-0.50475
CDC40	-0.139071428571429
SETD3	-0.117
SLAMF6	0.52775
ELK4	-0.6805
TRIM47	-0.95
ACOX3	1.75475
TRIM6	-1.7425
KIAA0372	0.323666666666667
TP53AP1	0.931
SMURF2	-0.49275
ADAD1	-0.08975
EBP	-1.5889
KRTAP13-2	0.1625
FLJ36874	-0.866166666666667
TOR1A	0.383166666666667
P2RY4	0.659
GPBP1	0.72725
TRPV1	0.380375
ADAMTS12	-1.209
PES1	-0.7511
ATG4A	0.4
MAGEA10	-4.521
WFS1	0.61275
CC2D1B	-0.192166666666667
PABPN1	-0.281625
SLC25A30	0.1205
SLCO1C1	0.586333333333333
SLC22A5	1.323
KIF23	-3.41666666666667
SYN2	-0.9904
ASPN	4.2505
CENTG2	0.84125
QSOX2	-1.0113
FLJ10815	0.6525
STK24	-0.2525625
SPEG	-0.3811
STK10	-0.188166666666667
DACT2	-1.9525
AAAS	-0.382
SSX3	-1.80775
ABCD3	1.6683
C4orf12	-0.333
PARVG	0.544833333333333
FIG4	0.71875
C9orf46	1.517
TMCO6	-0.617
IGHMBP2	-0.5245
DUS2L	-0.2535
FAM3C	-0.12525
TMEM16D	-2.342375
DCTN4	1.161
KCNH3	-0.546
EIF2AK2	-0.0125
AP1S3	0.137625
CST4	-0.4505
PAM	-0.050625
NUTF2	-0.2985
CITED2	1.6782
SLC39A4	-0.58625
C2orf52	0.147
GRM3	0.42825
C12orf49	0.819375
CCDC49	0.2686
GRAMD1B	-1.77325
FNDC4	-2.04275
SIAH2	2.505125
GDPD4	-0.059
C21orf87	0.692875
ATP5A1	0.298833333333333
C16orf63	0.07825
LOC388135	-2.10633333333333
ATP5J2	-0.11925
MMP3	-6.659
EMID2	0.0645
CRHR1	0.0805
WDR70	0.21775
C13orf31	-0.057
ZFAND1	0.5005
CCL18	3.46383333333333
C3orf49	0.142
RINT1	-0.35
KIAA0408	-2.2338
F13A1	3.0072
SLC10A1	-0.107833333333333
OGN	-1.09525
GIPC2	-1.55533333333333
XPO6	-0.2575
LCE1A	-0.2785
FMR1	0.0368
LOC374920	-0.3955
DUSP3	-0.233125
ANKMY1	1.7
C7orf50	0.41975
BBS9	0.2221
UNC119B	0.5985
C9orf72	-0.111125
MGC35440	0.48875
ENTPD6	0.138
PPP1R2P9	0.00025
ERCC4	0.54225
FAHD2B	1.067
HMHA1	-0.0025
HACL1	-0.0305
RAD23A	-0.271833333333333
FAM83B	-1.688
PPP5C	-0.391333333333333
RNASEH2C	0.659375
C9orf153	-0.7905
SCAMP4	0.9655
GHITM	0.0915
NDUFB7	0.4095
ADCYAP1	0.931
SP110	1.1905
MAP3K7IP2	-0.219
DHH	0.3665
AGRN	0.175571428571429
WDR33	0.19
CEP290	0.151833333333333
PRPS1L1	-1.50916666666667
KLRA1	-0.271
GPR97	-0.291
CHD7	-0.979333333333333
TLR10	1.78625
SLC30A8	6.0605
HIC1	-0.188
IAPP	0.05
RXFP4	-0.11025
GP1BB	0.19825
SHQ1	0.8035
NKX2-3	0.17
API5	0.04675
FTHP1	0.2325
MOV10L1	-0.1685
TRIM6-TRIM34	2.2645
ADHFE1	0.9615
FAM117A	0.1825
DDI1	-0.0175
CDON	1.789
TRIM73	0.675
IGKC	4.1675
MMP14	-2.27466666666667
DYNC1LI1	0.67025
C11orf66	0.19725
TRBV3-1	-1.18925
FASTKD5	0.55975
BIVM	-0.9865
LHX4	0.2345
CXCL2	-1.8345
RAB2B	0.2595
IZUMO1	-0.2915
MAP3K15	-2.198
FAM19A2	-0.0815
ZC3H8	0.159666666666667
ZMAT1	1.531125
SPINK5L3	-1.967
SLC10A6	-0.0165
APPL2	0.466875
CARD10	-0.2515
LOC402176	-0.363875
EEF1D	-0.1026
RAB6A	0.4904
C12orf5	-1.84925
PAPOLG	0.817
MSRB2	0.576
BCR	-0.0696666666666667
PUS3	0.02425
TIAM2	-2.43175
ZNF317	0.373833333333333
CHD2	0.482142857142857
FZD5	-3.15977272727273
NUDT8	-2.193
ZNF763	1.2175
PRC1	-2.80422222222222
ABCB9	0.0546666666666667
SPATA3	-0.0495
TRAK2	1.252125
STAB1	2.4705
LRRTM2	0.048
psiTPTE22	0.36225
DBI	0.8425
SERPINA11	-2.0235
NAT5	0.67175
C20orf58	-2.8865
RPS6KA4	-0.865833333333333
FLJ90650	-0.84725
TGFBRAP1	0.06525
CHRDL2	-1.04975
FAHD2A	0.460333333333333
CNTN1	0.1095
BBS4	0.824
TMEM181	-0.2335
MINPP1	-0.2595
MPHOSPH6	-0.389666666666667
HOXC10	1.4242
ITPKB	0.95125
CLPTM1L	0.099375
MEOX2	0.508833333333333
ATP6V0C	0.51025
PRPF8	0.0595
TMC5	2.32525
FKBP3	0.087
PLEKHB2	-0.122375
OR4D6	-0.021
ZNF544	0.1139
D2HGDH	0.51725
RPL18A	-0.89
HEL308	0.00899999999999997
MPP6	-1.55325
TCERG1	-1.1035
KRT16	-3.10633333333333
KLF17	0.08725
KLF5	0.0714999999999998
CDR1	-0.694875
VCX3A	-5.3555
FBLN2	0.631625
C14orf104	0.67675
HBE1	-5.1165
OR4S2	-0.2665
C1orf108	-0.469166666666667
ROBO4	2.43233333333333
CPEB4	1.482625
C11orf80	-0.615166666666667
BCKDHA	0.987833333333333
MYOC	0.0635
GIF	0.084
CKMT1A	1.767
RPL3	0.0687
THBS1	1.578125
APOO	-0.39325
ARMCX1	1.22
HSZFP36	1.90625
SNAPC5	-0.3085
EIF4ENIF1	0.49775
ZNF433	1.51675
TNFRSF21	-2.99425
TMPRSS7	1.1375
SPATA18	2.586
HPDL	-4.288
MKL2	1.8084
TBX3	1.335
C21orf93	0.107166666666667
DAXX	0.68
ELMO1	-0.323375
RGS13	1.23866666666667
TAF11	-0.4535
UNC13A	-1.89425
LOC653314	-0.1574
ORC3L	-0.823
IMAA	-2.957
TARBP2	-0.456
CABIN1	-0.9477
TRIOBP	-0.54525
HIST1H2AC	2.510125
RGS22	1.55333333333333
NCOA1	1.38683333333333
IL25	2.8695
SNCG	-0.736
GPR6	0.423
AMDHD1	-1.9945
CHEK2	-1.471375
C6orf142	-2.29666666666667
DRD4	0.45625
C14orf68	-1.094
GDF11	-3.91225
SEMG2	-0.3735
CD247	-0.625
CDAN1	0.0595
RBMX2	0.2235
TGS1	-0.1925
OIT3	-0.448
SYF2	0.82175
MCM4	-3.228125
PKHD1L1	0.17225
CEP192	-0.151333333333333
IFT88	1.60475
RPL9	-0.0693571428571429
RAB32	-1.78225
DDX43	-3.5915
P2RX2	0.0505
OR5D18	0.8675
UBE1	-0.171083333333333
SLC24A1	0.819125
ARHGAP5	1.0995
CETP	0.441
KIAA1731	-0.436833333333333
SLC9A4	0.1255
PTPN6	0.39275
BAHD1	0.19225
GRIK3	0.5425
CACNB2	-0.6012
PDE10A	-2.069
DGCR14	-0.77875
PCDHB9	-1.749
RHOQ	-0.416166666666667
MAP3K4	-0.29125
KTI12	0.127833333333333
RPL23AP13	-0.21175
GNG11	-2.966
CLCN3	0.610833333333333
GPAM	-0.52825
VSTM2A	2.825
SLAMF7	2.09466666666667
INTS2	-0.70825
PPP2CA	0.5387
LRP12	-2.5088
SEC14L2	1.61866666666667
DKFZP586H2123	1.40425
MC3R	-0.281
CIRH1A	-0.184333333333333
