Hybridization REF	TCGA-A7-A0CJ-01A-21R-A00Z-07
SART1	-0.697
RACGAP1P	-1.6765
SPTA1	-4.52525
C6orf113	-0.308833333333333
C7orf16	-2.3575
CHST7	-1.48833333333333
C21orf29	0.204
SEMA6D	-1.3405
PCMTD1	1.529375
KIAA1754	-1.449
MYCN	-1.280125
KCNJ3	-0.4145
MAPK13	2.6486
ERO1LB	-0.22275
NTF3	-1.36266666666667
NKX6-2	-0.112
GTF2B	-0.16625
GSPT1	-1.17816666666667
GUSB	-0.259333333333333
LOC221091	-2.5675
LIG1	-0.905
EXTL3	-0.8405
NID2	-2.08825
TTC29	0.5235
TMEM97	1.202625
EXTL2	-0.397166666666667
SUZ12	-0.31475
IL1F8	0.332
KRT18	0.364909090909091
MRPS16	-0.09025
PI4K2B	-0.446
LACRT	0.7055
OR51F2	0.567
JMJD2C	-0.637375
KGFLP1	0.9505
CDK5RAP3	-0.5601
YTHDF2	0.544666666666667
GGCX	0.520375
ARPC4	0.65625
EGLN2	0.325666666666667
KBTBD4	0.686785714285714
ROBO3	-0.9866
DEFB118	-0.621
KIAA1543	1.486
RTCD1	0.703833333333333
MZF1	0.24525
C18orf26	0.695
CNIH4	0.0683333333333333
ZFP2	1.83483333333333
HTATSF1	1.23825
WFDC2	3.639625
NDUFA7	0.6595
TTC22	-0.028
FAM40B	-2.85375
DCPS	-0.353
SH2D1B	-1.18466666666667
MRGPRE	0.4565
SBK1	1.2855
UNQ6411	0.4625
OSBPL9	-0.20325
NUP107	-1.067
MYOZ3	1.2665
PDE4B	0.777333333333333
FAM113A	0.3715
IDH3G	0.5685
FBXL7	0.668
ARFGAP3	-0.03275
MAPRE2	-2.19715384615385
IL1RN	1.4595
KIF13A	1.5135
RAC3	0.4685
TCTE1	0.5505
TMEM14B	-0.608666666666667
ADIPOR1	0.165166666666667
GRINA	1.461
CLIP4	-0.028
LRIT2	1.253
TFPI	-3.05
FABP6	-0.99775
SLITRK2	-0.378666666666667
HKR1	0.16975
SMTN	-0.83875
C1orf75	0.99725
CD209	0.298875
CYB5R2	-1.135
DNTTIP2	-0.151833333333333
CSGlcA-T	0.808375
GABRB3	-2.88925
PCBD1	0.455666666666667
TAF3	0.805166666666667
HOXD3	-0.743
GIPC3	0.359333333333333
P11	0.1676
BFSP1	1.9375
LCP2	0.3875
TAS2R8	0.32
SEZ6L	-0.904285714285714
NR2C1	-0.310625
EXDL2	1.0457
TNFRSF13B	-1.96816666666667
MKI67	-3.018
GLS	0.269916666666667
C7orf54	-0.3597
LGALS13	0.105333333333333
IL4R	-0.12075
SEC11A	0.5525
SPP2	0.481
C18orf32	1.69175
CLSPN	-1.38366666666667
SPAG1	1.654625
C9orf82	-0.7615
TM4SF1	-0.10975
EMILIN2	0.22075
SMG7	-0.2135
TAS2R13	0.6895
ZNF628	0.7425
DZIP1L	-0.913166666666667
ANKRD13A	0.3371
VASP	1.11475
ZCCHC11	-1.418875
SYPL1	-0.348125
MGC34774	-0.02825
C4orf28	-0.531
KIAA1211	1.02133333333333
RPS27L	-0.9485
TATDN3	-0.94175
PDCD1	-0.03675
OR5P2	0.308
IFIT1L	0.458
MIPOL1	2.1355
OR51D1	0.50425
C1orf92	-0.697833333333333
LAMP2	0.0174444444444444
CAT	0.144833333333333
C16orf80	-1.05775
C15orf32	0.3665
ZNF746	0.79125
C1orf76	-1.248
ATXN1	-1.0865
LAMC2	-0.064125
SLC2A7	-1.1975
CPOX	-1.41
APH1B	1.71133333333333
LOC442245	-0.81475
CTNND1	0.652777777777778
GABRG2	-0.277
MADCAM1	-0.189833333333333
F5	-3.3105
SEMA4F	1.217
NUDCD3	-0.314875
PDZD11	-0.331
TRIML1	-0.501
GCNT3	-2.39983333333333
TMEM120A	0.87525
CNDP1	0.1065
N4BP1	0.102875
SLC35F2	-0.354
LCP1	-1.33091666666667
IGBP1	-1.0433
DCAKD	-0.537125
ELA2A	-0.02
C12orf56	-1.9075
PITRM1	-0.380428571428571
GUK1	0.364333333333333
RASSF8	-0.90725
OR2A14	0.2575
ADM	-1.23122222222222
FGD3	1.79066666666667
GHRHR	0.600666666666667
RHPN2	0.8655
C4orf39	-1.31516666666667
VPS72	0.21675
SERF2	0.679555555555555
CD22	-0.4595
CD47	0.5167
PPIC	0.612
IMPDH1	-0.0390833333333333
ACP6	-0.618166666666667
PRKACA	0.1205
PPP1R1A	-1.63775
TRPV3	0.4755
ASXL1	-0.024625
C17orf55	-0.240666666666667
FXYD1	-0.561
LMOD2	-0.041
ANKRD33	0.418
LCE2C	0.282125
ZNF620	-0.2785
DKFZP566E164	-0.488
VSIG2	-0.2175
KIAA1128	1.0975
USO1	-0.124333333333333
NUDT4	-0.928928571428571
CLDN1	-2.36692857142857
OR4Q3	0.2905
FASTK	0.219666666666667
ICOS	1.66866666666667
LDB1	1.27825
GSTA5	-1.38025
ABCC1	-0.731333333333333
FAM54A	-1.9075
PCBP2	-0.624666666666667
NUP205	0.0215
ACTA1	3.55316666666667
GABBR2	-1.01525
PIP5K1B	-2.41816666666667
AGXT	-1.45283333333333
RNF181	0.4115
ATP8A2	0.14525
AFTPH	1.4189375
FGF21	0.353
FCER1G	1.51775
SNTB1	-0.18475
SLC24A3	2.25325
TXNL4B	-0.9822
RPL10L	0.652
LOC389517	-0.5193
TSGA13	0.609
SHOX2	-0.359666666666667
ITGA7	-1.022
KCNIP2	-0.283333333333333
KLF13	-0.4472
ZFAND2A	-1.125
CEACAM1	-0.917285714285714
PFKFB4	-1.18966666666667
MED19	0.91325
LRRC57	0.226
RNF11	0.53125
ANKRD32	-1.9295
P117	0.83425
OBFC2A	-0.509166666666667
POLD3	-0.200166666666667
RAB18	1.122125
TPH2	0.247333333333333
PHB	-0.0185
JDP2	0.623333333333333
MORF4L1	-0.7805
POU2F1	-0.0005
CNNM2	-0.083
LOXHD1	0.3195
ZC3H15	-0.19175
ELK3	-0.531
FAM111B	0.32325
CBLC	3.76683333333333
SBNO1	-0.115
ANKMY2	-0.80125
PLEKHA5	0.1405
DHX58	1.76716666666667
ARCN1	-0.833833333333333
TREML1	0.1702
KNCN	0.138
SEC24A	-0.2405
PSCA	-0.21875
MGC24125	0.491333333333333
DNA2L	-1.80675
CIB4	0.150375
HIGD2A	0.3795
TBX6	0.167333333333333
TTLL5	-0.0546666666666667
SGK3	4.0395
GCN1L1	-0.2625
AMOT	0.1878
LDOC1	2.48266666666667
NRK	-0.508833333333333
ASB9	-0.809
NAT1	3.3625
TRAFD1	-0.352
PEAR1	0.2075
FAM36A	0.80525
OR1S2	0.0513333333333333
LOC388323	-1.34175
PGS1	-0.452
LEPREL1	-3.31325
TFF1	0.799
HAP1	0.3915
EPHB2	-0.9115
ACTG1	1.4795
ZFP42	-0.897833333333333
HAVCR2	0.4524
NME1	0.56
SNX26	0.235333333333333
LACTB	-0.220833333333333
ZKSCAN2	0.535375
C5orf35	0.84175
ANKS3	-0.33975
RBM28	-0.6895
DKFZP586P0123	-0.4075
HNRNPA1	-0.356666666666667
BCAS3	-1.3225
FLJ20184	0.6315
POLA2	-0.731
TMC7	-1.601
HSD17B6	1.346
ZNF658B	-1.421
TTTY10	0.0488333333333333
RANBP9	0.117583333333333
CPNE7	-0.189666666666667
EVL	1.87211764705882
LNX1	0.248833333333333
IFNA21	-0.0821666666666667
CFD	3.237
PYCARD	1.25816666666667
MYBPC2	-1.198
ENPP3	-1.6185
ACSL4	-2.2905
LOC440258	-0.471166666666667
TMEM176B	2.53916666666667
SOX2	1.180875
SCO1	-0.515666666666667
COMT	-0.135
AOC2	-0.1565
PDLIM5	2.34092857142857
SPHK2	0.848
NXPH2	1.527
GPR108	0.152666666666667
RAD51L1	-0.4426
TMEM54	1.16825
LETMD1	-1.086
SLC6A17	0.51075
KRT75	0.57
STT3B	-0.994
CD3EAP	0.506833333333333
TMEM63A	0.4505
DUSP13	-2.005
CD1C	-2.08133333333333
LASS2	0.291
AVP	1.383
PITPNM1	-1.107125
FLJ22795	0.019
MCTP1	-2.32475
TRIM68	-2.1615
UCK2	-0.321666666666667
ABHD1	1.95875
FAM50A	0.9005
RNASEH1	-0.680333333333333
PCP2	2.3185
OR52H1	0.672
C20orf149	0.9885
RBP5	1.47166666666667
HYAL3	-0.02475
CLPB	0.60725
SMNDC1	-0.17175
DONSON	-1.5555
FLJ27523	-0.31
BARHL2	0.448833333333333
SLC30A9	0.0578333333333333
TMPRSS11B	0.15425
E2F8	-0.319166666666667
CCDC25	0.0966666666666667
C14orf48	0.535
C20orf116	1.13475
TSPAN11	0.32
YIF1B	-0.589166666666667
FAM12B	0.56075
OR1L6	0.4295
HPN	0.9359
NBN	1.362625
C14orf94	-0.334
OCLM	-0.286
ZSCAN18	-2.1597
L3MBTL	-1.3778
TSTA3	0.9915
RAC1	-0.76825
C19orf15	-0.413166666666667
NFE2	-4.16775
KLK14	0.1985
ARSF	0.55
MAST2	0.3955
AMICA1	1.32816666666667
GTF2A1	0.65825
ATP1A3	-0.933
TC2N	3.2473
PNKP	-0.048
ODZ2	2.597625
MATR3	0.454875
S100P	-3.659125
KRT82	-0.353
CA13	-0.5295
PROZ	-1.00666666666667
AASDH	-0.17225
C19orf40	0.0661666666666667
DCK	0.792384615384615
FAM5C	-1.489
SLC6A4	1.225
MID1IP1	-0.83625
TESSP5	0.3505
TMOD4	0.0911666666666667
DOCK2	-1.42766666666667
TUG1	0.084
NUP214	-0.8985
DPYSL2	-0.156409090909091
GOLM1	1.60208333333333
MPFL	0.416
SOX13	1.346
SDCCAG8	0.3406
KEL	-1.8505
NUP210L	-1.655
GK	-1.233875
DNAJB1	0.89025
ALPK3	-0.0915
CHID1	0.2381
CYLC2	-0.0938333333333333
IKZF5	1.3395
C8orf51	0.799833333333333
PPM1J	0.62375
GIMAP8	1.8905
GPR101	0.7185
NR2F1	-0.707
ACAD8	0.665
RBM35A	1.34675
GNAI2	-1.02583333333333
METTL8	0.22
SLC39A7	-0.7755
FBXO8	0.28975
CAMK1	-0.23775
RFC3	-0.967125
FAM129A	-1.504
ILF2	-0.21025
FGFBP3	-1.95
NOM1	0.704
PSMA3	0.3715
ASCC3	-0.064
ZYG11A	0.51825
SOX21	-1.32375
LYRM1	-0.45025
DEFB1	2.071
LOC91431	-1.27483333333333
OR7C2	0.652
FAM46B	2.069125
TMEM18	-0.329625
ARHGAP30	0.2095
TMEM86A	2.05066666666667
EPHA2	-1.692
C10orf46	0.89255
TCHH	-1.31283333333333
C3orf30	0.317833333333333
LOC285636	-0.0841666666666667
PAIP2	1.02075
CYP2U1	0.497571428571429
C12orf34	1.2065
SARS2	-0.410666666666667
ZCWPW1	1.59075
SAMD12	1.663875
KIAA1430	0.613125
ACAT1	-0.9575
MEOX1	0.3705
ADAMDEC1	5.4225
PHKA2	-1.07425
CARD11	-1.545
CALML4	-1.571
TSSC1	-0.23575
TMEM45A	1.80611111111111
MPP7	-0.1475
POU1F1	-0.26175
SLC2A13	-1.1102
FBN2	0.816
ZC3H7A	-0.6572
LAIR2	-0.77525
ST3GAL1	0.961333333333333
LCT	-2.0545
GEMIN8	-0.326166666666667
KLF16	0.7158
HIF3A	-0.0149
FAM44A	-0.428928571428571
AQP10	-0.8539
PLA2G2A	-1.435
FOLH1	1.41333333333333
C20orf186	0.0255
MAPKAP1	-0.995125
SPRR2D	-0.69075
UBQLN4	0.347833333333333
RSHL1	0.1425
PIAS3	0.516875
MRPL24	0.69075
GREB1	0.324375
FAM27E3	-1.1065
NUP62CL	-1.89675
NEUROG3	0.931
REEP3	0.874416666666667
MARK1	-1.461625
LMBRD1	0.66875
PRPF19	-0.003
PNMT	-0.675666666666667
CTGLF1	-1.7715
SLC25A16	-1.18325
EIF2B3	-0.9395
RPA2	-0.1825
PAK6	0.707333333333333
CCDC26	-3.664375
SEMA3E	1.003875
MXD4	0.6955
TNFSF10	3.6573
SMARCB1	0.0406666666666666
DTX3L	2.21833333333333
PLA2G4E	-0.3445
PPAP2A	0.22175
ULK1	-0.334916666666667
TAS1R3	0.323
SLC2A3	-2.69409090909091
ARID3A	-0.93775
GNG5	0.00325
ACOX1	1.3118
KIF5B	0.783
NUP153	-0.858
MUC7	0.876
CSDE1	-0.686071428571428
CLPTM1	-0.44
C3orf23	-1.283375
LRRC17	-2.71766666666667
TTYH3	-1.1285
ATP5B	-1.191
ELF3	1.1363
CPSF3L	-0.412166666666667
ZNF665	0.528166666666667
TLR6	-0.24
GPI	-0.196875
RAD9A	-0.47825
NDST4	-2.8135
AGPAT3	1.47941666666667
MAGI3	1.40616666666667
ADORA2A	0.984375
CACNG7	0.225
CAMK2D	-0.344285714285714
CCHCR1	-0.00725
RPS27A	0.22525
OR10G7	0.456833333333333
GCM2	0.3485
FAM135B	0.2721
E2F1	-0.3855
PLCB3	0.35925
OR2AE1	1.0265
COIL	0.156
CDC25C	-0.865333333333333
RAB11FIP2	-0.421083333333333
TSC2	-0.0835
CTGLF5	-2.46
CCDC108	0.3324
OR13C4	0.461
C10orf81	2.54725
PTPRB	0.36475
ACP2	0.02525
LAG3	1.7465
MRPL54	0.68125
LOC201175	1.285
ITGB1BP3	-1.16725
SPTAN1	0.463833333333333
SIPA1L2	0.1615
RCAN2	-0.788
CDX2	-0.2455
ECOP	-0.17975
ACTR1A	1.19964285714286
PPARG	-1.84966666666667
BBS10	0.199666666666667
TMEM44	-1.21725
BPIL2	0.32275
CITED1	-1.9955
IRF6	3.6335
PRDM4	0.297833333333333
RRP9	-0.99
OR10H4	0.4585
IL31RA	-0.721
GNB1L	-0.544
MYBL2	-0.217375
ZNF407	1.803
PPIG	-0.180833333333333
TTC18	1.90175
RPSA	-0.3015
MAPT	1.27025
MRE11A	-0.460071428571429
C8orf37	1.61233333333333
RASGEF1C	-0.4615
STBD1	0.633
CTAG2	-0.358333333333333
MGAT5B	-2.54616666666667
ECM1	-0.488875
RLN1	1.5725
PARP14	1.4966875
EPB41L1	1.4788
HOXA3	-1.34891666666667
MAGEA9	-3.98075
RPS8	-0.5875
RPS19BP1	-0.2215
FOXJ2	-0.34725
C10orf76	0.7705
IL17RE	-0.1605
C10orf65	-1.911
ZNF343	1.2075
FBXO33	0.520375
UHMK1	0.076
LY6G6C	-0.1805
FGF19	-1.99225
C14orf128	-0.753833333333333
IFIT2	4.029875
TIGD1	0.17825
S100G	-0.6075
GUCY1B3	0.4975
NR3C1	-2.1203
CORO1B	-0.0716666666666667
PARP11	-0.95025
DNALI1	4.63666666666667
OR4N4	0.324
MAP2K6	0.566833333333333
FSTL4	-0.024
ANKRD47	0.978375
TMEM171	-0.6725
PNLIP	0.487666666666667
YY1	-0.2315
CCDC138	-0.0445
AASDHPPT	-0.8818
CKS1B	-0.2426
MCM3	-0.507666666666667
ANAPC7	-0.159
FAM110A	1.79275
CDC37L1	0.8195
THTPA	1.34675
NBPF20	-0.7015
WDR24	0.14175
NPTX2	-2.397
CBLB	1.087
CETN1	0.277833333333333
RPUSD1	0.09725
FAF1	-0.74925
CDK6	-3.9939
HMX2	0.382
CSK	-1.12583333333333
TEAD2	1.1885
SNAP25	-1.1075
TUFT1	1.2916
TMTC3	0.3765
LCK	-2.7655
SGOL1	-1.1455
AKTIP	0.87975
FURIN	1.827875
SOX12	0.8855
DEFB103A	-0.205
RAMP1	2.865
KIR3DX1	0.641
GAS2L3	-0.56675
PDE8A	-1.4858
EDN3	0.68325
GMIP	1.1745
SF3A2	0.377
FN3KRP	0.2385
SMAD7	0.62775
RHBDD2	0.22675
OR11H6	0.067
PPP1R3B	0.6719
C9orf23	-0.52825
CADPS	-1.397
GOLGA8A	-2.1285
TMEM57	0.890166666666667
RGL3	-1.8945
S100A14	2.82375
FGFR2	2.8080625
XRCC3	-0.578
RTN4RL2	0.57
MGC3771	1.07
GH2	0.114666666666667
BTBD2	0.682
LMO2	-1.3055
RDBP	0.1175
ACRBP	-1.88125
AMY2A	1.2475
DUOXA1	0.629
PTK7	1.13483333333333
TWF2	-0.315333333333333
FAM80A	0.36275
TNNI2	-2.863
GLT25D1	0.051
OCC-1	-1.054
CYC1	0.0348333333333333
RPL22	-0.100954545454545
MORN3	1.50333333333333
DISP1	0.015
PRB2	0.1675
CHUK	-0.18175
HR	0.275375
CCDC134	0.73625
DENND4B	-0.67125
C14orf130	0.386
RAB33A	-2.07625
DCST2	0.696
TNMD	-2.74425
PEX7	1.1135
FAM62A	0.36275
SRD5A2L	0.03625
IL22	0.37725
RPS26	-0.380833333333333
HOXC5	0.4905
SPATA6	0.84375
FLJ38482	-0.379375
ZNF234	1.3075
C18orf22	2.25575
SPATA22	0.39675
THOC1	0.26075
CYP7B1	0.594
KCNC3	-0.00574999999999999
C8orf42	-0.917
ALDH1B1	-0.318666666666667
CCDC100	0.0555
ARMC4	-1.2915
FAM18B2	-0.5475
SLC44A1	0.416875
FBXO17	-1.98783333333333
C6orf107	0.354
C19orf29	0.20675
ZC3HAV1L	0.8785
PARP6	-0.2791
SULT2A1	-3.705625
C1orf159	-0.01425
TMC1	-0.49575
CHST14	-0.538
GAMT	-0.093
SMCP	0.117666666666667
TSPAN33	-0.686166666666667
MIDN	0.16875
NOX4	2.322
RNASEN	-0.4298
TBX1	-2.18716666666667
SALL2	0.7955
C10orf35	2.25425
CYP2E1	-0.632375
LRFN2	2.12983333333333
ACO1	-1.3505
IQCG	0.9696
MEGF9	1.6395
TM7SF4	1.63075
PLEKHA1	-2.23613333333333
STK33	-3.225
C1orf210	1.675
SNUPN	0.3677
KIAA0406	-0.3946
C20orf29	1.8205
TMEM55B	0.0695
OSTM1	-1.644625
CLCN7	0.05525
OTP	0.4195
FLJ23049	0.50825
HEATR4	0.707
MAP3K10	0.628
PCDHGA9	0.32
AMDHD2	-0.46975
LCTL	-0.8855
PDCD2L	0.86575
CABLES2	-0.10525
SLC5A9	-0.35075
CLCA2	-1.51883333333333
MGC16025	-0.7145
STRAP	-0.631666666666667
C20orf196	-0.2875
RRBP1	0.1875
NAT13	-0.05975
MAT2B	-0.56625
CSNK1D	-0.271
KIR3DL1	0.495
PRKAG3	0.629
ZNF599	0.202
PRM3	0.508
PER2	1.71783333333333
ASPHD1	-2.4595
PRMT6	-4.1385
KCNE1L	-0.555642857142857
FAM118A	-0.490666666666667
TAF4	-0.0885
NDUFB6	-0.419
TRIM9	-0.651833333333333
PMFBP1	-0.8195
KY	0
DKFZp762E1312	-1.65581818181818
CSMD1	-1.1745
TBP	-0.576333333333333
OR1Q1	0.5095
RETNLB	0.352
HPGD	-0.724714285714286
DNAJC12	0.188666666666667
FKBP1B	-1.56825
ANKRD24	-0.0268333333333333
CXXC5	1.3965
IL3	0.366625
DRAM	0.507
PTCH1	-1.942
TP53BP1	-1.08175
SLC17A7	0.607625
COL25A1	-0.745
AMACR	0.202166666666667
RHCG	-0.2155
VPS13A	-0.5745
FAM55D	0.813
PRPF38B	-0.425083333333333
OSBPL6	-1.88225
PFDN5	0.2792
CMTM6	0.063125
KCNK12	-0.421
RP2	-0.72
C16orf52	-1.373
PICK1	0.2875
IFNE1	-1.0535
SEMA4B	0.89375
TYRO3	-3.12275
OR12D2	0.268
CSNK1A1	0.15475
FANCF	1.13
LONP2	0.6285
TBL1Y	0.29975
LDOC1L	0.227375
CCNC	-0.169
C3orf60	-0.36075
CHKA	-0.529
UBAP1	-0.3225
MAP3K1	1.7585
ANKRD9	-0.60875
FAM92A1	-3.09066666666667
GAB2	0.155125
AZU1	0.03625
DIS3	-1.014
C21orf109	-1.26025
IQCB1	0.28825
SPATS2	-0.160333333333333
EFCAB3	0.451
PRB3	0.516125
FUZ	0.717833333333333
ZNF813	0.00650000000000001
BMPER	-1.398
HEG1	-1.246625
ALS2CR11	-1.26475
SURF2	0.06925
PSMC1	0.392083333333333
OR2D2	0.539
SLC7A8	1.91933333333333
C4orf40	0.5255
SPATA7	0.52825
MAZ	-0.3735
PIN4	0.009
PDE1A	-1.881625
TAF6L	0.324666666666667
OR2T34	0.5275
KIAA0284	0.23575
ACADS	-1.95263636363636
MKRN2	0.638
C18orf56	-1.38775
MS4A6E	0.0298333333333333
GALNT4	0.1134
C22orf31	0.249
FLJ36070	0.2265
PSME4	0.489
TFG	0.9279
EPHX2	-0.155875
ANXA5	-0.561625
KRTAP1-1	-0.1686
BATF	2.8265
KARS	-1.565
MSTP9	-0.0225
GPR26	5.226
CCDC72	-0.3055
TEF	0.6405
FOXK1	-1.144
PRLHR	1.001
EMX1	3.32675
C11orf30	0.54925
ICK	0.99675
THSD7B	-0.20425
C21orf100	-0.3925
DUOX1	0.1515
EFCAB4B	-0.316
UBE2G2	-0.072
C3orf54	0.2205
PARP1	-0.109
FAM60A	-0.14125
C6orf146	-0.29175
OR9K2	0.4625
DDX55	-1.043
RPS15	0.204666666666667
ZNF618	0.8544375
DKFZp686D0972	-0.37775
SSPO	-0.9565
SHFM3P1	0.8465
CPA6	-0.598
JAG2	1.2035
DEFA3	0.427
PPBPL2	0.368333333333333
CD34	3.3485
SLCO4A1	-2.8815
AFG3L1	-1.70116666666667
SHD	-0.21825
RP13-122B23.3	-0.482666666666667
PRKCSH	-0.886166666666667
DPH5	-0.367333333333333
HLA-F	1.476375
TBC1D4	-0.26125
RIG	-0.108666666666667
GLUD1	-0.9225
HNRPCL1	-0.168875
HBXIP	-0.193
RNF207	-0.654
APIP	-0.81525
PLA2G3	-2.81883333333333
CCDC84	-1.12675
MYLIP	0.0516153846153846
PHIP	-0.129
AARS2	-0.134166666666667
DHX32	-0.96925
SCAPER	0.3455
MEN1	0.212375
NIP7	-1.275
FLJ25404	0.3905
FASTKD3	0.32075
TMEM158	-2.42133333333333
RARA	1.33475
BDH1	1.1395
ANKRD16	1.043
CARM1	0.656
SS18	0.916833333333333
IKZF2	-1.49591666666667
MYD88	0.019
PML	0.07495
TAF1A	-0.761
CBFB	-0.67025
HIST1H3H	-1.01566666666667
C7orf29	1.19625
COMMD4	-0.564666666666667
DPP3	0.07175
DAB2	-0.41125
LOC388882	-0.1675
YPEL4	-0.792875
AGBL3	0.5785
LRP6	-0.2002
SERPINH1	-0.62275
TLE1	0.2985
CD244	0.322333333333333
ZDHHC15	-2.07425
MGLL	-0.5301
PLDN	-0.653833333333333
LOC654346	1.86
FAP	0.9835
GPR37	-2.13433333333333
SCARA5	-0.667833333333333
EBF4	1.92627272727273
LSM6	-0.048
MLLT1	0.1399375
SLC5A12	0.03625
A2BP1	-0.689333333333333
COPS5	0.505833333333333
TPM4	0.727071428571428
TNFSF4	0.660833333333333
ACADSB	2.80233333333333
HERPUD1	-0.48775
BCL2L11	0.524722222222222
CEP78	-0.456
CDCA3	-1.30725
WBSCR19	-0.3011
MYO1A	-1.878
PPEF1	0.216166666666667
LOC440348	-0.78075
CPEB2	0.68025
BPTF	0.48375
RPL21	-0.5775625
GSX2	0.138
ADPRH	0.700666666666667
C17orf68	-0.242833333333333
KCNS1	-0.606666666666667
MLLT6	-0.2017
PIWIL4	-0.4185
RNF26	-0.80375
RAP1B	-0.0935
ADAMTS1	-2.9662
ZNF571	1.03975
P2RY6	-0.33225
TRIM21	1.124
CADM3	0.2605
NLRC5	0.556333333333333
ADRA2B	-0.470666666666667
LOC90835	-0.75975
PCF11	-0.188
LOC400451	2.17725
GLTSCR1	0.4785
C17orf88	0.231833333333333
CDH16	-0.76475
FGF7	0.882625
PCSK4	0.6575
NPC1L1	-1.14133333333333
TAT	0.287125
TBCA	0.1905
MGC33407	0.348
GPR115	-1.1605
CYGB	-0.4065
FNBP4	-0.3805
C12orf43	-0.28875
CBL	-0.261
CLECL1	0.55525
PPAPDC1A	0.09425
WDR25	0.104166666666667
SGCA	0.4035
C22orf29	0.120666666666667
YIPF1	1.27875
GALK2	-1.6705
RAB3B	-3.00058333333333
LOC440087	-0.741
UCP1	0.022
REEP5	2.03275
FADD	-0.2343
FOXA1	3.9515
CACNA1A	0.3645
ABI1	0.146833333333333
GRIN2D	0.51675
SLC1A4	0.128666666666667
LOC401127	-0.146
HINT2	-0.39175
PLD4	-0.357833333333333
ZNF286A	-0.2065
ENY2	0.238
IL1F6	0.4085
PXDNL	4.8795
C20orf79	0.1565
TNFSF13B	3.17216666666667
DENND3	-0.560875
JARID1D	-2.4895
HIST1H2AK	-0.342625
LOC93349	-0.0523333333333333
SSH1	-0.2296
ENSA	0.206
LOC219854	-3.18983333333333
CKAP2	-1.1307
DKFZP564J102	-0.9515
MGC87315	0.209166666666667
HNRPAB	-0.23925
AMH	-0.7565
ZNF526	0.8185
BRUNOL5	0.5723
CACNG3	0.3225
TRPM1	-1.329
PPP2R1A	-0.034375
COL2A1	-1.2005
DDN	-0.214166666666667
FLJ25770	0.966916666666667
HK2	0.527071428571429
ELOVL6	-1.563375
MDK	-1.398
EPHX1	0.76375
RASSF2	-0.455375
DKFZP434B0335	-0.612
DLX3	0.8375
PRTN3	0.3425
AVPR1A	0.5355
C21orf125	-1.85025
TNFAIP8	-0.9645
GNB2L1	-0.5655
CALCRL	1.58875
SCGB2A2	5.48716666666667
UBXD7	0.56125
ZNF674	-0.9785
TMEM35	-0.517875
BRSK2	-0.87775
HECTD3	-0.488666666666667
TMEM188	-1.00416666666667
LGALS9	1.851875
SCARB2	0.693333333333333
USP34	0.014
C17orf28	1.80075
ZDHHC23	-1.86075
AQP12B	0.4755
SLC16A3	-1.771625
APLP2	-0.574375
ITIH2	-4.94925
MICAL3	0.021
TNNI3K	0.6593
HDAC2	0.608875
PRR7	0.8069
THBS2	-0.768875
LOC751071	1.3295
CA2	1.09466666666667
RANBP17	-2.59325
RLN3	0.3635
CRYZ	0.406166666666667
GBAS	-0.0168333333333333
TAS1R1	-0.3955
MPZL3	-0.152
PCDH8	-1.726
HSP90B1	-0.768083333333333
KCNK15	1.7465
TNIP2	-0.650666666666667
GPR146	-0.8425
NOL6	-0.358125
SPC25	-2.18566666666667
STEAP2	0.103071428571429
VAMP3	-0.397
TCIRG1	-0.6145
ZP4	-0.256833333333333
PARL	0.226
TRIM39	0.388
KIAA1305	2.064
CRNN	0.3525
GRN	-0.169
HSH2D	-0.683
SCAMP1	0.961375
KIAA1913	0.3945
PTS	-0.29125
BANP	-0.117428571428571
PRKACG	0.21575
ADCY6	-0.137666666666667
C16orf46	0.433
CYP51A1	-0.0535
DDC	-4.744
ANPEP	-1.36633333333333
PROM1	-1.55416666666667
SIGLEC10	1.0725
COPG	0.804
FAM26E	0.566625
TRIP4	-0.18075
SNX3	-0.3625
C1orf175	0.319833333333333
PPY2	-0.1615
C14orf152	0.183
FTSJ1	-1.352
DST	-0.329631578947368
LOC554235	0.12075
GLRX5	0.29275
C20orf12	1.4957
CAB39	-0.494333333333333
MSH2	-0.988166666666667
PIP4K2C	0.669625
CYLD	0.131375
WTAP	0.2985625
MGAT4A	1.48966666666667
TSC22D4	-0.2837
CHRM2	-1.6315
PPYR1	0.410333333333333
CCNH	0.0536666666666667
RRM1	-0.19
ECAT8	-3.29775
LOC400120	-0.715
GABRA4	0.00499999999999999
C14orf4	0.931333333333333
C1orf59	1.54775
CTDSPL	0.54475
NHEDC2	-0.554
PDE11A	-1.514125
KLHL29	-2.1585
CD5	-0.8973
TSPAN9	1.4815
WDR67	0.1745
THUMPD1	-0.0888
C18orf17	1.531
CLYBL	-0.108666666666667
FLJ13231	0.550375
CMBL	1.12625
LECT2	-0.8755
NKAPL	0.767833333333333
LOC654780	0.4565
OR4C6	0.2765
RAB30	1.77566666666667
TSSK4	-0.3005
TMEM163	2.391
OSBPL11	0.787166666666667
GNB5	-1.706
CCL21	0.665
C1orf121	-0.0945
FMO2	1.40283333333333
RPTN	0.4035
MSTN	0.338
VCL	0.0326428571428571
FYTTD1	0.71325
C11orf1	0.1255
CCDC88C	1.8620625
HFE	-0.780111111111111
MOGAT1	0.166
FAM125B	0.533666666666667
