Hybridization REF	TCGA-E2-A15P-01A-11R-A115-07
FASTKD3	-0.744
TMEM158	-2.4785
RARA	2.03575
BDH1	0.9515
ANKRD16	0.45475
CARM1	0.6335
SS18	0.784333333333333
IKZF2	0.878916666666667
MYD88	0.198125
PML	0.55155
TAF1A	-1.048
CBFB	-0.88675
HIST1H3H	-0.529166666666667
C7orf29	-0.8415
COMMD4	-0.457
DPP3	-1.11825
DAB2	0.409375
LOC388882	-0.219
YPEL4	-0.64975
AGBL3	0.00525
LRP6	0.4071
SERPINH1	-0.64725
TLE1	-1.22725
CD244	0.739666666666667
ZDHHC15	1.91375
MGLL	-0.7268
PLDN	0.643583333333333
LOC654346	1.181
FAP	2.66225
GPR37	0.636333333333333
SCARA5	0.1595
EBF4	1.105
LSM6	-0.36675
MLLT1	-0.557125
SLC5A12	-0.75375
A2BP1	-1.92316666666667
COPS5	0.369333333333333
TPM4	-0.2505
TNFSF4	-0.434833333333333
ACADSB	1.77594444444444
HERPUD1	0.534
BCL2L11	-0.466833333333333
CEP78	-1.199125
CDCA3	-2.08325
WBSCR19	0.9074
MYO1A	-2.4595
PPEF1	1.34866666666667
LOC440348	-1.24375
CPEB2	1.88475
BPTF	0.1255
RPL21	-0.6443125
GSX2	0.5455
ADPRH	1.75666666666667
C17orf68	0.783666666666667
KCNS1	-0.779
MLLT6	0.3752
PIWIL4	-0.188
RNF26	-1.04075
RAP1B	1.013125
ADAMTS1	-1.3396
ZNF571	1.34275
P2RY6	-0.6925
TRIM21	1.35666666666667
CADM3	-0.55725
NLRC5	0.176666666666667
ADRA2B	-0.370666666666667
LOC90835	1.07225
PCF11	-0.2515
LOC400451	1.805
GLTSCR1	-0.1287
C17orf88	-0.579166666666667
CDH16	-1.87225
FGF7	2.543875
PCSK4	0.549166666666667
NPC1L1	-1.69166666666667
TAT	-0.039
TBCA	-0.44975
MGC33407	-0.02025
GPR115	-1.846125
CYGB	-0.0555
FNBP4	-0.747666666666667
C12orf43	-0.037
CBL	-0.7389
CLECL1	1.02275
PPAPDC1A	1.063
WDR25	0.694666666666667
SGCA	0.4125
C22orf29	-0.267
YIPF1	0.7225
GALK2	-0.387
RAB3B	-2.93841666666667
LOC440087	2.17575
UCP1	1.962
REEP5	2.2355
FADD	0.0702
FOXA1	3.077
CACNA1A	-0.247166666666667
ABI1	1.25583333333333
GRIN2D	-1.5645
SLC1A4	-0.649833333333333
LOC401127	-0.68425
HINT2	0.79975
PLD4	0.182166666666667
ZNF286A	-0.39825
ENY2	-0.796
IL1F6	0.5865
PXDNL	0.5345
C20orf79	-0.191
TNFSF13B	2.0085
DENND3	-0.290125
JARID1D	-3.1995
HIST1H2AK	0.98975
LOC93349	1.2469
SSH1	-1.0436
ENSA	-0.3935
LOC219854	0.464833333333333
CKAP2	-2.4933
DKFZP564J102	0.875
MGC87315	0.858666666666667
HNRPAB	-1.01725
AMH	-2.731
ZNF526	0.4135
BRUNOL5	-0.397777777777778
CACNG3	0.300166666666667
TRPM1	-2.4845
PPP2R1A	-0.08375
COL2A1	-0.75
DDN	-0.561166666666667
FLJ25770	2.22291666666667
HK2	-0.0656428571428572
ELOVL6	-0.63175
MDK	-0.955
EPHX1	0.61375
RASSF2	0.19425
DKFZP434B0335	-0.33075
DLX3	-0.69
PRTN3	-1.4405
AVPR1A	0.26525
C21orf125	-0.683
TNFAIP8	-1.394
GNB2L1	-0.7085
CALCRL	3.645
SCGB2A2	6.3275
UBXD7	0.26
ZNF674	0.2125
TMEM35	0.061
BRSK2	-1.44675
HECTD3	-0.113666666666667
TMEM188	0.566666666666667
LGALS9	1.5335
SCARB2	1.63483333333333
USP34	0.205583333333333
C17orf28	1.26466666666667
ZDHHC23	-0.643
AQP12B	-1.5805
SLC16A3	-2.50075
APLP2	0.613125
ITIH2	-3.94575
MICAL3	-0.802125
TNNI3K	1.3093
HDAC2	-1.15275
PRR7	-1.2471
THBS2	0.069625
LOC751071	-0.417666666666667
CA2	-2.18316666666667
RANBP17	0.75025
RLN3	0.314
CRYZ	-2.542
GBAS	0.808333333333333
TAS1R1	0.31125
MPZL3	0.265
PCDH8	-1.505
HSP90B1	0.849333333333333
KCNK15	-0.656
TNIP2	0.286
GPR146	0.10475
NOL6	-0.00387499999999999
SPC25	-3.07088888888889
STEAP2	3.60078571428571
VAMP3	-0.274166666666667
TCIRG1	0.046
ZP4	-0.603333333333333
PARL	0.352625
TRIM39	0.448
KIAA1305	1.48875
CRNN	0.496333333333333
GRN	0.95925
HSH2D	0.4615
SCAMP1	1.8994375
KIAA1913	1.38025
PTS	-0.92025
BANP	-0.148
PRKACG	0.30375
ADCY6	0.7405
C16orf46	0.7175
CYP51A1	-0.2935
DDC	-4.92975
ANPEP	0.457833333333333
PROM1	-0.274166666666667
SIGLEC10	1.8185
COPG	0.7175
FAM26E	1.360125
TRIP4	0.855
SNX3	-0.0436666666666667
C1orf175	0.569833333333333
PPY2	-0.217
C14orf152	0.4465
FTSJ1	-0.815166666666667
DST	1.2607
LOC554235	-0.11525
GLRX5	-0.327
C20orf12	2.0822
CAB39	0.560833333333333
MSH2	-0.7955
PIP4K2C	0.5305
CYLD	2.28875
WTAP	0.332125
MGAT4A	1.02155555555556
TSC22D4	-0.5204
CHRM2	-1.632
PPYR1	-0.1355
CCNH	-0.148
RRM1	0.30725
ECAT8	-2.576
LOC400120	-0.29125
GABRA4	-0.308142857142857
C14orf4	0.854166666666667
C1orf59	0.50025
CTDSPL	0.849916666666667
NHEDC2	-1.05
PDE11A	-0.612333333333333
KLHL29	-0.43925
CD5	-0.9216
TSPAN9	1.384
WDR67	-1.72925
THUMPD1	0.7231
C18orf17	-0.085
CLYBL	0.0556666666666667
FLJ13231	0.069625
CMBL	1.0045
LECT2	-0.3255
NKAPL	2.83366666666667
LOC654780	0.5255
OR4C6	-0.089
RAB30	2.62433333333333
TSSK4	-0.474
TMEM163	-0.2945
OSBPL11	0.637666666666667
GNB5	-1.21233333333333
CCL21	1.1265
C1orf121	-0.839166666666667
FMO2	2.68416666666667
RPTN	-0.927
MSTN	0.722
VCL	-0.297642857142857
FYTTD1	0.74975
C11orf1	-0.4765
CCDC88C	0.2733125
HFE	0.310333333333333
MOGAT1	-1.27
FAM125B	0.476833333333333
IRGQ	-0.523
RAVER2	-1.011
AKAP5	0.9345
SSSCA1	-0.58075
C11orf63	1.299375
ACTG2	1.109
PORCN	-0.6455
DTL	-2.17263636363636
TMEM151	0.0335
FAM122C	0.32175
RSAD2	3.8906
BAT4	0.0745
KRTDAP	-0.279
MYH8	0.421
CRTC3	0.29
LRRFIP2	0.9073
INTS4	-0.282833333333333
TTN	-2.09416666666667
SLC26A5	2.1625
PLLP	-0.90075
RGS6	-0.800625
SRGAP3	0.292625
ZNF525	0.0766666666666666
NBR2	-0.107166666666667
C13orf1	-0.7038
ZNF137	0.686
CEP27	-0.9525
BEST2	-0.0725
RNF121	-0.19675
DMRTC2	0.74325
C8orf76	-0.05075
BCCIP	-0.129125
MEST	-0.23225
HTRA2	-0.121
ANGPTL2	0.177
ILKAP	0.383833333333333
ERAS	0.3555
HBS1L	-0.2025
CPA5	-0.0475
TMEM30A	1.056
CD300LF	2.228
WISP3	3.077
CRK	0.413571428571429
PDS5A	0.7078
BRPF3	0.206666666666667
NEDD9	0.62175
SMPDL3B	-0.3005
PSG6	-0.59875
PSMD13	0.26175
ETV5	-1.9405
OR51A4	-0.2975
BTBD7	0.51275
GSTO1	-1.139125
hCG_16001	-0.2195
MAD2L1BP	-0.0611666666666667
COX6A2	-1.3975
SCNN1A	2.18033333333333
LSM1	0.272666666666667
UGT2B11	2.3185
IDUA	0.64625
PPP2R3C	-0.5015
COX11	-0.562666666666667
PDZK1	-3.0155
ZNF443	1.3435
MGC21874	1.21233333333333
ZNF323	1.2202
KRTAP10-10	-0.0605
CXCL6	-0.53425
SLC34A2	1.6643
LOC284402	0.061
NPTN	1.80333333333333
UPP1	-2.31608333333333
SLC6A9	-0.783
OR7G3	-0.13625
CISD1	-1.38483333333333
ZNF545	0.655333333333333
SYT14	-1.0335
NT5C3L	-0.413833333333333
ZNHIT3	0.137166666666667
SNRPD3	-0.1155
KIAA0701	0.1055
UNC93B1	-0.255
GMNN	-1.722625
SPCS2	1.12783333333333
LOC388524	-0.3765
NAPRT1	0.60175
PNLIPRP1	0.456333333333333
OR6V1	0.036
PRKAB1	0.3075
EYA4	-3.59533333333333
KIF20A	-2.55825
ALG10	-0.29825
ITPKC	1.45633333333333
LMX1B	0.6665
RPUSD4	-1.00133333333333
C7orf34	0.318833333333333
DLGAP2	0.206125
PFN1	-0.6007
MICALL2	-0.4005
ZNF654	0.894
SS18L1	-0.911
SLC16A8	0.72975
MKI67IP	0.148
ITGB3	0.209625
TCEA3	2.79825
CEP152	-1.527875
CLIP1	1.695125
ZNF75	0.63225
ATP5C1	-0.202166666666667
NUDT5	-0.607833333333333
PSCDBP	-0.2355
UBP1	0.4875
RBM27	0.3055
C13orf15	1.261375
ZNF282	0.205333333333333
ZNF222	0.3245
COL10A1	4.70325
PRDM15	-1.062125
TTTY5	0.229
FAM9C	-0.430363636363636
C20orf67	-0.46875
GNG13	-0.2835
F12	0.6015
C1orf41	-1.27025
CPXCR1	0.2335
GSK3A	0.365625
SUPT6H	-0.0501666666666667
PI16	0.190833333333333
ELL2	-1.0945
C9orf167	-1.8945
PVRL3	-1.3743
FLJ38596	1.834
ADAM20	0.05825
GPR89A	0.83
GPR87	-0.0145
ZNF30	1.3195
SMR3B	6.29725
ZNF770	0.359875
TRPC4AP	-0.6465
DKFZP686E2158	0.7295
C2orf28	0.495333333333333
FREM1	-0.2465
LAMA4	0.0928333333333333
ADPRHL2	0.0445
EIF4G2	0.0496666666666667
GUCA1A	-1.012
CTNNA2	-1.328125
NUDT15	-0.922166666666667
CEPT1	1.0385
ZNFX1	0.6933
CCDC92	0.7025
TDRD1	-0.5975
KCNK5	-2.09483333333333
ETNK1	-0.361916666666667
LTA	0.0705
TTPA	-0.182
B3GALNT2	-0.252875
SC65	0.127666666666667
PEX5L	2.393125
EPS15L1	-0.2365
MGEA5	0.24275
HIST1H3A	0.60275
ING1	0.08825
BCAT1	-3.68325
ORC6L	-2.73263636363636
KLK11	-4.00383333333333
C19orf28	-1.603875
DNER	-4.54125
MED22	-0.560428571428571
ETV6	1.03291666666667
CHAC2	-0.8835
CD300E	-0.479
CEBPB	-0.135833333333333
ZNF398	0.282
LRCH3	0.0345
HMGA1	-1.80583333333333
CAPN7	0.401166666666667
MGC5566	-2.75675
CCL3	2.293625
NANOS1	-1.0335
ZFYVE19	0.437
APITD1	0.321
PARD3	0.66725
IRAK4	0.172666666666667
SERPINI2	1.465
CEP170L	-0.4075
TTC9	2.15025
MYOM3	-0.79025
MLPH	2.334
LOC222699	1.2305
NRG1	-1.03708333333333
TBC1D9	5.29045454545455
TTK	-3.419
ZNF557	0.284
DDX41	-0.571666666666667
FANK1	2.5005
UBE2D2	-0.3185
PSMB10	0.148625
MYH7B	1.335
GABARAPL2	-0.3045
MARVELD2	2.44683333333333
DGCR2	0.368833333333333
UNC45A	0.0526666666666667
C6orf72	0.312
ZNF683	3.60725
GIT2	0.314
CASK	0.431333333333333
C14orf161	3.896
LRRC44	1.60925
TIFA	0.602625
UTP11L	-0.507875
C6orf65	-0.1775
FDPS	-0.54
DUSP9	-2.0119
SLC17A8	-0.604
OR51G1	0.292
NANS	0.89625
OLFML1	1.692
ATP10B	-1.817375
NPAS3	1.16375
PRKCA	-2.2505
GGA2	-0.4148125
LCE4A	0.0975
SPANXN3	0.6295
CCDC115	2.4335
SDCCAG3	-1.05375
GLIPR1L1	0.04775
TTC1	0.494
C17orf76	0.22375
MAD2L2	-1.70875
HIPK1	0.5425
LRRC3B	-0.09
CLN3	-0.635863636363636
C17orf47	0.39
FMN2	-2.929625
TUBB1	-2.428625
WAPAL	-0.218666666666667
C3orf21	-0.9525
SCN5A	-0.3079
SMYD1	0.36125
BEX5	1.81
ZNF192	-0.448
SEC22A	0.343833333333333
GRIA2	4.946
KIAA0825	-0.783
NUSAP1	-2.22618181818182
LANCL1	0.23875
C15orf40	0.3049
ZNF645	0.0475
GPR61	0.09525
NLRP14	-0.2105
SNX21	-0.2058
C1QTNF8	-0.2945
C17orf46	0.21575
IFNA8	0.003
SPRR1B	-2.22666666666667
FLRT1	-1.0825
SNX17	-0.000833333333333332
ASB2	-0.382
HBG1	-3.1145
RPRML	-2.1465
JOSD2	-0.402833333333333
PLSCR3	0.21575
SPOCD1	-0.923666666666667
RAB39	-1.181
GHRH	0.514833333333333
ITIH5L	0.18525
C17orf37	0.25325
SMCR8	0.577
DPY19L2P3	-0.746833333333333
IL11RA	0.745166666666667
GDF3	-3.085
RPS6KB1	-0.58625
DNAJC19	0.7397
TOP1	0.08025
CRCT1	-0.633625
MPST	-0.547625
DPM2	0.034625
FAM38B	-1.699
SLC18A1	-2.84316666666667
FARP1	-0.209
PAX7	0.06525
TUBD1	-1.22625
GNL3	0.391375
BTG2	1.6058
NDUFS6	-0.14225
C1orf79	-1.37725
ERAL1	-0.6595
ECHS1	0.13975
VPS4A	-0.755
CYP11A1	-1.475375
ABCC6	-0.802642857142857
PBX4	-2.352
MOSC1	-0.99775
NCF4	0.3
HYMAI	0.49
NAGPA	-0.76
OTOP2	0.162
ACOT12	-0.275
MTHFD2L	0.029125
LOC441376	4.522
C19orf34	-0.256
RAB1B	0.00900000000000001
ALDOAP2	0.097
NTRK1	-1.8625
ARTS-1	1.4067
SLC6A11	-1.568
NAP1L2	2.07525
CNGB1	-0.234666666666667
EPB41L4B	1.49766666666667
FAM134B	2.7025
HS3ST3A1	-2.2195
CPXM2	4.589
SIRPB2	0.3615
CHORDC1	-0.283666666666667
TRIB3	-0.518833333333333
SLC2A5	0.1325
C2orf49	-0.3725
DDX5	0.35225
OR5L1	-0.1785
ANAPC4	0.1755
ZSWIM1	0.23225
LOC93622	0.411375
KCNK3	-0.3346
RP11-35N6.1	-1.723375
ZFP161	1.18266666666667
AQP9	1.35975
SLC15A2	1.3215
MREG	0.812666666666667
OR9I1	0.3115
PDLIM2	0.343625
ADAM7	0.125
GSTCD	1.12933333333333
WDR21A	-0.8255
SLC12A8	1.59316666666667
TMEM174	-0.2245
IGSF3	0.529583333333333
LRRN1	2.4375
LOC402117	-0.511
SRPK1	-0.957333333333333
LY6K	-1.72525
NFIA	3.087
PTCD3	-0.648
LEP	1.59516666666667
PCDH21	-1.4575
MAPKAPK2	0.00857142857142858
NMNAT1	0.0843333333333333
LHFPL2	0.26075
C9orf43	0.07475
DIP2A	-0.600666666666667
ACTR8	0.7555
CCDC34	0.131
PTPN22	-1.369625
ITGA3	-0.89875
FAM129C	0.31975
RABGGTA	-0.196
UNC45B	-0.157
KIAA1033	0.727375
ZNF510	0.458833333333333
CYP2D6	-0.890166666666667
SLC26A10	-1.6045
STX8	0.317
LUZP1	-0.028875
WDR89	-0.339166666666667
EIF4G3	0.3505
C5AR1	0.69475
ZNF623	0.442
A2M	1.35775
TGM7	0.154
GRPEL1	0.149333333333333
LMNB2	-1.8796
ROCK2	-0.763
SNX16	0.630375
CCDC66	0.3035
ANXA3	-0.82475
KIAA1609	-0.822625
EED	-0.4725
RNF32	0.9375
HES1	1.9528
CLC	0.375833333333333
ISL1	1.12216666666667
KIAA0528	-0.109875
MANEA	0.15725
C1orf61	-2.371
hCG_2001000	-0.017
RAPGEF6	0.1794
KIAA0020	0.0966666666666667
NEIL1	1.9465
C16orf45	-0.98625
RBM10	-0.405833333333333
C10orf125	-1.9925
MRS2L	-0.4285
DNAH17	-1.25
C19orf10	-0.84
C1orf160	0.151
SLFN12	1.0375
EXOC3	-0.233833333333333
HIST3H3	0.7295
NCOR2	0.557166666666667
TNFRSF9	0.31525
MFSD8	0.53
ALX1	-3.3615
NOL1	-1.502
PODN	2.56375
TIAL1	-1.35175
HIST1H1E	0.55375
NPY6R	0.4255
TM4SF4	-0.04325
CORO2A	0.83475
ETNK2	-0.771166666666667
APOE	0.2061
ANGPT4	0.1895
HDGF2	-0.965
G30	1.295
ST8SIA4	-0.5465
F2RL1	0.906625
FAM19A4	-3.883
CCAR1	0.04075
B3GNT7	-0.31625
OPHN1	0.3917
DSCR6	-0.608
C21orf13	0.994166666666667
GAS2L1	0.2975
RFX3	0.3805
COPS4	0.502375
BCHE	-4.3285
BCL2	2.75175
HBZ	-2.33483333333333
ARL13B	1.109625
MAPBPIP	0.879625
MYO15B	0.51475
SPZ1	0.1905
KIAA1324	2.33244444444444
PLCL2	-0.71925
C4orf29	0.27875
WDFY2	-0.779
ZNF284	0.273
NAALADL1	0.01
DUSP5	0.219833333333333
PXDN	0.2615
SLMO1	-0.397
TNXB	-0.1535
BIRC7	-1.21175
A4GALT	0.046
TIMM22	0.013
FAM110C	1.038
TOMM34	-0.458
ABHD9	-0.008
ADAM32	1.656
CRHBP	1.9215
AQP2	0.1965
LOC130355	1.131
ZNF187	0.593166666666667
ZNF816A	0.8725
F7	0.677375
CNOT1	-0.9896
SLC13A4	-1.53325
ZBTB11	-0.1125
B3GALT5	-0.0625
EXOC2	1.98766666666667
IRS1	0.2339
TMEM1	0.252333333333333
MRPL34	-0.282833333333333
SAMM50	-0.804
CDC42EP3	-0.650875
HSF2	-0.9708
MFN2	1.0915
TSPAN7	-0.8585
NUCB1	0.620416666666667
RHOH	-0.97275
ARL16	0.3755
TACR1	0.16825
SFRS5	-0.4275
SNX25	0.921375
RHBDF1	0.263333333333333
PCDH18	2.60666666666667
HMG1L1	0.71275
MYO5C	2.064875
MAPK10	0.027
LDHAL6A	-0.1704
NUDT12	2.22883333333333
NCAM1	-0.0625
GLIS2	-0.077
GGTL4	-1.259
DAPP1	1.54075
ATF7	1.839125
KIAA0748	-1.192
NFIL3	-1.5995
TM6SF1	0.8532
SEZ6	0.154625
NANOS3	0.379333333333333
DNAJA3	-0.3035
CLDN6	-3.0285
CIITA	2.0155
EPHA4	-0.45425
FANCC	-0.2325
CMTM3	-0.069875
PSG3	-0.862857142857143
MRPL15	0.289
C21orf59	0.48725
PLCXD2	-0.18575
C2orf34	0.562
UBE2L6	1.577375
MED14	-0.972166666666667
HP1BP3	-0.7358
C6orf208	-0.1085
TPBG	0.905
OSR2	-0.311875
XPC	0.0996666666666667
KLHL7	-0.927333333333333
CCR3	-0.293333333333333
AGTPBP1	-0.372333333333333
PCSK6	1.53246666666667
STAT5A	-1.0886
FAM18B	0.5105
LONRF2	0.445666666666667
PTPN2	-0.177125
SF3A3	-0.643666666666667
EFCBP2	-0.65625
HCFC1	-0.3345
AHNAK	-0.000599999999999977
ACTR5	-0.362
KIF14	-3.35285714285714
TENC1	1.56675
HEATR5B	1.7095
YIPF2	0.551
MYEOV2	0.7082
DUSP18	0.82
KIAA1012	0.25875
AHR	0.243333333333333
C17orf53	-1.57466666666667
PTPRH	-2.96725
ATP6V1C1	0.2661
TAS2R3	-0.6735
LOC440356	0.77775
COQ10B	0.73525
PSMF1	0.5075
SORBS2	2.16241666666667
NFE2L2	0.208
TMCO7	-0.8805
SH3PXD2A	-0.6497
SH2D2A	-1.82225
SPINK5	-3.82325
MRPS24	-1.00625
OPA3	-0.39575
TRAF7	-0.961833333333333
C4orf35	-0.0965
MT1G	-2.006125
MGC39545	-0.49475
HS1BP3	-0.0147
OR2B2	0.579
CHRM4	-0.196
SFRP2	2.93516666666667
RIC3	0.7325
ART1	0.016
C6orf1	0.924
DUS4L	-0.14175
C10orf104	0.301
TNFAIP6	2.194
RTEL1	-2.2255
CCT4	-0.1551
ZNF709	0.76925
CHMP6	-0.242166666666667
UPP2	0.286
CYP19A1	-1.83925
CD151	-0.0731666666666667
NDUFA13	-0.00983333333333333
ARFRP1	-1.00016666666667
FAM26B	1.17575
CRYBA1	-2.8325
MRPL41	0.158
NPFFR2	1.492375
HRH2	-0.0905
SCAMP3	-0.275666666666667
MTMR6	0.3001
MTG1	-1.46283333333333
UBTD1	0.308
CRABP1	-2.696
FLJ33790	1.1304
KIAA1908	0.425833333333333
GPR158	-2.662
PACSIN3	-0.143
OMD	3.20683333333333
CATSPER1	-0.887166666666667
HOXB8	-2.306625
FBXO46	0.8525
OAS1	1.847
SVIL	0.5345
PHB2	-1.31975
ADCY3	-0.7015
NDRG2	1.783
ERMAP	0.709
APBA2	-1.92266666666667
IGSF9	1.22925
WNT6	-0.978
MYCBPAP	2.78275
ATP2B2	-0.1977
CPVL	-0.7194
TRAM2	-0.252083333333333
NOP5/NOP58	0.17
ZNRF4	0.0745
TLK1	0.71975
MTMR12	0.595857142857143
ZNF384	-0.676666666666667
FAM9B	-3.07
RPN1	0.549
PMVK	0.867
EIF3D	-0.3011
SIX2	-0.5075
HPS1	-0.326642857142857
RNF7	1.388
PSKH2	-0.161
KCTD13	-0.379666666666667
CSMD3	-1.4574
FBF1	-0.493
IL8	-5.45075
SERPINB13	-0.032
FBXL20	0.39075
BLR1	0.0455
SH2B1	0.00216666666666667
RFNG	-0.332375
RAB20	0.477166666666667
RBM7	-0.42825
POLR1A	-0.381333333333333
TMPRSS4	-2.401
TAF9	-0.4205
TERF2	-0.148833333333333
TNFRSF1A	0.250583333333333
ACADVL	-0.285
GTF2H5	-0.05775
EDG8	0.373
C9orf140	-2.05325
UST6	-0.0163333333333333
ZBTB8OS	-0.21325
ZNF710	0.4935
GPR174	-1.9555
ATP6V0A2	-0.74225
KIAA0319L	1.22558333333333
XKRX	-0.7165
DOPEY2	1.3975
SDHD	-0.69625
SUMF1	2.1855
OSM	1.74225
OPN3	-1.8855
DAGLB	-0.6065
PPFIBP1	1.0812
TRIM63	-1.9905
C10orf53	-0.88
LYPD3	-0.0325
BCL7A	-0.151125
AGER	-1.14266666666667
TCF19	-1.198125
SAT2	0.5945
PFTK1	-0.304666666666667
GABRE	-2.553625
C15orf38	1.3867
FIS1	0.037
KCNV2	0.23575
CLPS	-0.07225
PPCDC	-0.199
FOXN2	-0.730333333333333
NT5E	-3.1242
CD83	0.128
IL18	0.051375
VPS16	0.1195
IGFBP2	0.100666666666667
NOTCH2	0.766
SIGLEC1	2.243
CD93	5.0265
SULF2	-0.434
CEP164	-0.759875
P53AIP1	0.399333333333333
TOR2A	0.2035
ZNF136	0.84325
MGP	3.2832
CCDC144A	2.11866666666667
TRPC1	-0.588333333333333
SMS	0.313166666666667
MAPK7	-0.489833333333333
RRAGC	0.9685
PARD6A	-0.482666666666667
NUB1	0.5435
SYNGR4	-0.403
OR11H12	-0.741
WIF1	2.435125
GCH1	-0.633
OR11H4	0.389
SLC44A5	0.464
GPRIN2	1.8105
LOC401431	1.6155
CPA4	-2.6014
MELK	-2.63322222222222
IL15RA	0.05275
CUL3	0.2065
HMBOX1	1.65775
PODXL	-1.29375
CCT6B	1.90883333333333
COMTD1	-1.269
MUC20	3.1825
GPX2	-2.566375
ITK	-1.695625
FBXL5	2.525
C13orf27	-2.28625
DEFA5	-0.0255
TRHDE	-0.278
MTP18	-0.941333333333333
UQCRQ	0.639
ITGB2	0.632
CSRP2BP	0.8935
TAS2R44	-0.1645
PHPT1	0.274875
FAM44C	0.06
ERH	-1.27575
MPHOSPH1	-2.4755
MORC1	-1.2515
PARVB	-1.86375
LAMA1	-1.92025
PGBD3	0.39375
GIMAP6	3.9775
AREG	-2.94816666666667
LIPT1	0.5905
MGC99813	-1.7465
C1orf201	0.190833333333333
GRIN2A	-0.7132
MAN2C1	-0.995125
NSUN5	-0.86525
SF3B5	-0.05675
MYC	-1.59475
NRXN1	0.331416666666667
ZNF18	1.0535
SPDYA	-0.6305
SLC37A1	1.0555
DECR2	0.57675
ANKRD38	0.348875
SPTLC3	0.164916666666667
SUPT16H	0.040375
DTWD2	1.1135
ULBP1	-0.7065
ZADH1	0.561666666666667
OIP5	-2.7265
IL10RB	0.0326666666666667
OTUB2	-0.150875
VWA3A	0.5775
SPIC	0.574333333333333
OR6C4	0.1045
PSCD4	0.722833333333333
DPY19L2P2	-0.8355
TRAPPC6A	0.44
C21orf2	0.0863333333333333
CEMP1	0.1645
LIN7B	-0.4795
E2F7	-2.112
VCP	0.1036875
LAMA3	0.951166666666667
BGN	1.3915
GPR160	1.72216666666667
COCH	-4.39866666666667
GPR81	1.736
APOBEC3F	-0.94275
tcag7.1017	-0.73575
C1orf32	0.324
SCGB1D2	4.26525
FLJ43987	-0.7635
C6orf170	-0.07775
KLK9	0.02
GPD1L	1.916375
VPS37B	-0.0605
ATG3	0.155833333333333
ADAMTS17	-0.789
KLHDC2	-0.0978333333333333
NDUFV2	0.60775
BLK	-2.75525
MATN4	-2.145
GPM6A	1.3325
GBP4	3.56016666666667
TMEM162	0.05
PKP2	2.16
HRASLS	1.82666666666667
MMP1	-4.23675
SFXN3	-0.6259
FSD1	-2.10333333333333
ST6GALNAC3	-1.39766666666667
CA12	2.9883
NCOA6	0.15075
C19orf58	-0.5368
PPP4R1	0.277333333333333
MAN1A2	1.99666666666667
IKBKAP	-0.14625
UPF1	0.5165
KIAA1219	0.776
WNT16	0.409
SNW1	-0.1455
IL18RAP	2.204
RPP30	-1.05425
CDC40	0.0921428571428572
SETD3	0.404333333333333
SLAMF6	0.0135
ELK4	-1.0585
TRIM47	-0.531666666666667
ACOX3	2.1695
TRIM6	0.393875
KIAA0372	0.6565
TP53AP1	0.930125
SMURF2	-0.3805
ADAD1	0.40125
EBP	-0.7546
KRTAP13-2	-0.3395
FLJ36874	-1.19916666666667
TOR1A	0.0745
P2RY4	-0.1315
GPBP1	0.60625
TRPV1	0.288375
ADAMTS12	0.0903333333333333
PES1	-0.9871
ATG4A	1.04133333333333
MAGEA10	-4.0235
WFS1	1.40375
CC2D1B	-0.371
PABPN1	-0.3565
SLC25A30	-0.1025
SLCO1C1	0.347333333333333
SLC22A5	2.12375
KIF23	-2.344
SYN2	0.349666666666667
ASPN	8.08116666666667
CENTG2	0.74725
QSOX2	-1.9235
FLJ10815	-0.0625
STK24	-0.37075
SPEG	0.1912
STK10	-0.0375
DACT2	-0.3045
AAAS	-1.04225
SSX3	-1.90671428571429
ABCD3	1.5092
C4orf12	-0.111625
PARVG	-0.0625
FIG4	0.11675
C9orf46	1.85175
TMCO6	-0.5755
IGHMBP2	-0.252
DUS2L	-0.943166666666667
FAM3C	0.80875
TMEM16D	-1.17175
DCTN4	0.6155
KCNH3	-0.15475
EIF2AK2	1.832
AP1S3	1.6255
CST4	2.0985
PAM	0.58425
NUTF2	-0.85
CITED2	0.3562
SLC39A4	-1.2
C2orf52	0.0155
GRM3	-0.955
C12orf49	0.6525
CCDC49	0.2606
GRAMD1B	-2.016125
FNDC4	0.63575
SIAH2	1.926125
GDPD4	0.7395
C21orf87	0.4815
ATP5A1	0.0991666666666667
C16orf63	-0.564375
LOC388135	1.25566666666667
ATP5J2	-0.38225
MMP3	-0.03525
EMID2	-0.6155
CRHR1	0.1165
WDR70	-0.202
C13orf31	1.452
ZFAND1	0.209
CCL18	3.69633333333333
C3orf49	0.27
RINT1	0.0635
KIAA0408	-1.62466666666667
F13A1	4.0957
SLC10A1	0.0156666666666667
OGN	2.6385
GIPC2	-0.518833333333333
XPO6	-1.0015
LCE1A	-0.0105
FMR1	0.4481
LOC374920	0.90275
DUSP3	-0.16925
ANKMY1	0.87625
C7orf50	-0.319
BBS9	0.1266
UNC119B	-0.034375
C9orf72	0.192375
MGC35440	0.57425
ENTPD6	-0.043125
PPP1R2P9	0.911
ERCC4	0.3605
FAHD2B	0.551
HMHA1	-0.2255
HACL1	-0.1095
RAD23A	-0.347166666666667
FAM83B	-1.1385
PPP5C	-1.72333333333333
RNASEH2C	0.0085
C9orf153	-0.859
SCAMP4	0.21725
GHITM	0.0261
NDUFB7	-0.247625
ADCYAP1	0.779166666666667
SP110	2.051
MAP3K7IP2	0.46775
