Hybridization REF	TCGA-AN-A03X-01A-21R-A00Z-07
FLJ36874	-0.884333333333333
TOR1A	-0.314
P2RY4	1.392
GPBP1	-0.0615
TRPV1	-0.77
ADAMTS12	0.665166666666667
PES1	-0.3165
ATG4A	0.546333333333333
MAGEA10	-3.86925
WFS1	1.91825
CC2D1B	-0.769333333333333
PABPN1	-0.517625
SLC25A30	-0.552
SLCO1C1	-0.213833333333333
SLC22A5	1.3475
KIF23	-2.50283333333333
SYN2	-0.250166666666667
ASPN	9.1525
CENTG2	0.68975
QSOX2	-1.8022
FLJ10815	-0.0948333333333333
STK24	-0.99225
SPEG	0.3261
STK10	-0.160666666666667
DACT2	-2.319
AAAS	-0.841
SSX3	-0.85525
ABCD3	0.2399
C4orf12	0.275375
PARVG	0.396333333333333
FIG4	1.29575
C9orf46	0.64025
TMCO6	-0.5005
IGHMBP2	-1.679
DUS2L	-0.954666666666667
FAM3C	0.2276875
TMEM16D	-1.72675
DCTN4	0.48025
KCNH3	-0.24025
EIF2AK2	1.4755
AP1S3	0.525625
CST4	0.8135
PAM	0.7734375
NUTF2	-0.334
CITED2	1.2481
SLC39A4	-2.351
C2orf52	-0.367
GRM3	0.02325
C12orf49	0.132125
CCDC49	-0.3613
GRAMD1B	-1.211625
FNDC4	1.156
SIAH2	1.672
GDPD4	0.254
C21orf87	0.125375
ATP5A1	-0.7465
C16orf63	0.076875
LOC388135	-0.2695
ATP5J2	-0.492875
MMP3	0.35
EMID2	0.23725
CRHR1	0.37475
WDR70	-0.42025
C13orf31	1.58275
ZFAND1	0.30925
CCL18	1.7285
C3orf49	0.108
RINT1	-0.7005
KIAA0408	-1.279
F13A1	5.629
SLC10A1	0.573833333333333
OGN	4.92125
GIPC2	-1.0594
XPO6	-0.514666666666667
LCE1A	1.5195
FMR1	0.5569
LOC374920	-0.456
DUSP3	0.58425
ANKMY1	-0.4975
C7orf50	0.28375
BBS9	-0.1522
UNC119B	-0.62675
C9orf72	-0.7455
MGC35440	-0.21775
ENTPD6	-0.124
PPP1R2P9	0.029
ERCC4	0.24525
FAHD2B	-0.1615
HMHA1	-0.7075
HACL1	-0.4355
RAD23A	-0.243666666666667
FAM83B	-1.17
PPP5C	-1.11866666666667
RNASEH2C	0.484375
C9orf153	-0.09975
SCAMP4	0.519125
GHITM	0.3468
NDUFB7	0.40225
ADCYAP1	0.425666666666667
SP110	1.56266666666667
MAP3K7IP2	0.73
DHH	0.2505
AGRN	-0.133428571428571
WDR33	0.163833333333333
CEP290	1.12383333333333
PRPS1L1	-1.85833333333333
KLRA1	-0.6205
GPR97	0.08
CHD7	-1.65058333333333
TLR10	0.445
SLC30A8	2.642
HIC1	1.65583333333333
IAPP	0.9755
RXFP4	0.33675
GP1BB	1.31175
SHQ1	0.3685
NKX2-3	0.281166666666667
API5	-0.2745
FTHP1	1.6705
MOV10L1	0.723
TRIM6-TRIM34	2.00533333333333
ADHFE1	1.07675
FAM117A	-1.147
DDI1	0.509166666666667
CDON	-0.557333333333333
TRIM73	-2.359
IGKC	0.133
MMP14	0.154416666666667
DYNC1LI1	-0.31975
C11orf66	0.09275
TRBV3-1	-1.15375
FASTKD5	0.4875
BIVM	-0.52625
LHX4	0.77975
CXCL2	-2.71011111111111
RAB2B	-0.5745
IZUMO1	-0.688
MAP3K15	-1.84757142857143
FAM19A2	-0.202666666666667
ZC3H8	-1.3905
ZMAT1	0.654125
SPINK5L3	-1.136
SLC10A6	0.7865
APPL2	0.138125
CARD10	-0.4705
LOC402176	-0.205125
EEF1D	0.6138
RAB6A	0.4598
C12orf5	-0.791
PAPOLG	0.29525
MSRB2	1.5175
BCR	-0.0882222222222222
PUS3	-0.355
TIAM2	1.811
ZNF317	-0.0833333333333334
CHD2	-0.345928571428571
FZD5	-2.51540909090909
NUDT8	-1.416
ZNF763	-1.0965
PRC1	-2.26111111111111
ABCB9	0.411333333333333
SPATA3	-0.06825
TRAK2	0.322875
STAB1	3.295625
LRRTM2	0.0505
psiTPTE22	1.41475
DBI	1.3395
SERPINA11	2.175
NAT5	0.7745
C20orf58	-1.29925
RPS6KA4	-0.0835
FLJ90650	-0.34175
TGFBRAP1	0.72775
CHRDL2	-0.2135
FAHD2A	-0.354166666666667
CNTN1	0.733
BBS4	0.0212
TMEM181	0.49975
MINPP1	0.2845
MPHOSPH6	-1.50375
HOXC10	-0.4735
ITPKB	-0.196
CLPTM1L	-0.613
MEOX2	-0.188166666666667
ATP6V0C	0.298
PRPF8	-0.396833333333333
TMC5	1.35
FKBP3	-0.2985
PLEKHB2	-0.055875
OR4D6	0.4115
ZNF544	-1.6936
D2HGDH	-0.2675
RPL18A	-0.5805
HEL308	-0.66625
MPP6	-2.76875
TCERG1	-1.752
KRT16	-0.6655
KLF17	-0.4585
KLF5	-1.731875
CDR1	2.79675
VCX3A	-4.3665
FBLN2	2.672375
C14orf104	-0.415
HBE1	-4.3645
OR4S2	0.5695
C1orf108	-0.630166666666667
ROBO4	3.10066666666667
CPEB4	1.327875
C11orf80	0.3975
BCKDHA	0.3435
MYOC	0.21875
GIF	0.507
CKMT1A	1.5275
RPL3	0.2924
THBS1	2.40125
APOO	-0.34425
ARMCX1	1.69625
HSZFP36	-0.02475
SNAPC5	-0.177
EIF4ENIF1	0.6345
ZNF433	-0.1525
TNFRSF21	0.15375
TMPRSS7	-0.1805
SPATA18	0.7353
HPDL	-2.998
MKL2	0.7862
TBX3	0.389769230769231
C21orf93	0.6486
DAXX	-0.6705
ELMO1	-0.20825
RGS13	2.70983333333333
TAF11	-0.791
UNC13A	-1.582625
LOC653314	-0.2078
ORC3L	-0.1615
IMAA	-2.7695
TARBP2	-0.4195
CABIN1	-0.3507
TRIOBP	-0.3161875
HIST1H2AC	-0.117875
RGS22	1.821
NCOA1	1.39116666666667
IL25	0.4815
SNCG	2.9005
GPR6	0.809
AMDHD1	-1.79333333333333
CHEK2	-1.126
C6orf142	-0.698
DRD4	0.8475
C14orf68	-0.73775
GDF11	-1.42025
SEMG2	0.702
CD247	-2.34225
CDAN1	-0.3565
RBMX2	-0.287333333333333
TGS1	-0.26675
OIT3	-0.03875
SYF2	-0.4885
MCM4	-1.81625
PKHD1L1	-0.10425
CEP192	-1.5805
IFT88	0.41575
RPL9	0.445
RAB32	0.94775
DDX43	-2.4555
P2RX2	0.45
OR5D18	0.431
UBE1	0.0304166666666667
SLC24A1	0.465625
ARHGAP5	0.22375
CETP	-0.40625
KIAA1731	0.0326666666666667
SLC9A4	0.6655
PTPN6	0.4765
BAHD1	-0.1765
GRIK3	0.462
CACNB2	-0.9914
PDE10A	0.6895
DGCR14	-0.1275
PCDHB9	-0.826333333333333
RHOQ	0.536333333333333
MAP3K4	-0.10325
KTI12	-0.248333333333333
RPL23AP13	-0.98
GNG11	0.555
CLCN3	1.05583333333333
GPAM	-0.655375
VSTM2A	0.767
SLAMF7	1.71066666666667
INTS2	-1.013
PPP2CA	0.1232
LRP12	0.321333333333333
SEC14L2	2.03277777777778
DKFZP586H2123	1.28525
MC3R	0.4125
CIRH1A	-1.79033333333333
HIST1H2AB	0.442166666666667
POLH	-0.5505
MGC16703	-0.997666666666667
SNAPC2	0.4575
FILIP1L	2.37525
RASGRP4	0.5575
LRRC1	1.67425
GAS1	2.92575
PRAC	-0.458
DGKA	-0.627333333333333
NT5C3	-0.33875
PEG3	-2.83991666666667
NADK	-1.04525
PRR17	0.10975
LOC374569	0.50775
SGSH	0.234833333333333
NLRP8	0.6905
GALT	-0.0433
MCF2	-1.035
ZNF263	0.107
TACSTD1	0.456166666666667
TYR	-5.787
ATP6AP2	1.08575
RNUXA	0.05
ABHD10	0.3763
GDPD2	1.0105
SLC35C1	-0.31425
UBE2A	0.235375
HERC5	-0.1745
FAM112B	-3.8645
FBXL16	0.866
DKFZP434A0131	-0.624
ELA3A	-1.3575
RBM41	-0.97575
HAO2	0.66975
RNH1	0.24375
SHANK2	-0.322833333333333
OSBP2	-1.101125
DAK	-0.868166666666667
C3orf58	-0.39
TCL1B	0.4855
KBTBD2	-0.531125
SUGT1L1	0.636
UBE2E2	0.276
MYL9	2.24975
CDC23	-0.704333333333333
PBXIP1	1.295
CXorf40B	1.031
NBL1	2.20625
RTBDN	0.46
RAB11FIP5	0.679375
TTTY13	0.462
SCOTIN	0.227583333333333
SOHLH1	-0.658166666666667
CDKN1A	1.40235714285714
NCK1	0.2095
ZNF550	-1.69425
SAPS3	-0.277416666666667
SPIN3	-0.0266666666666667
MAGEE2	0.03875
MIS12	-0.278666666666667
OR8H2	0.2535
KIAA0774	-0.4585
UNC5D	-0.3675
CUL7	-0.167166666666667
LIPC	-1.74366666666667
DIO1	2.2215
C20orf11	0.0581
CTRL	-0.3775
HS3ST2	1.437
PAK4	0.8585
CCRL1	4.22625
RNF10	-0.05175
ZNF567	-0.15175
ZNF660	-0.685
TCEAL3	2.1785
MAGOH	-1.24066666666667
CENPB	-0.0123333333333333
C19orf7	0.39275
LOC388965	0.8855
ZCCHC13	0.4165
JMJD1A	-0.8158
HIST1H4H	0.1275
TBRG1	-1.2303
GPC3	-3.8725
TAF1C	-1.24775
EBNA1BP2	-1.23433333333333
CIAPIN1	-0.603
PDGFRA	0.329111111111111
CSTB	-0.755625
CENPI	-2.14283333333333
GTF2E2	0.0663333333333333
RPP21	-0.2295
CCNF	-1.295
KCNQ3	0.622
FAM79A	0.6675
SLC22A12	0.6755
NOVA1	0.493666666666667
FZD3	0.5212
AKAP8	-0.62175
SOCS5	0.87325
CFDP1	-0.99675
DLG5	1.05325
PGM5	0.393181818181818
C1orf144	-0.0325
HDAC10	-1.632
RND2	0.037
C20orf199	-0.71325
RNMT	-0.758
SLURP1	0.88825
ASTN1	-0.196125
SH3BGR	0.18525
MYCL1	0.220625
ZHX1	0.397
CENPK	-2.83325
FOSB	2.3214
LOC643406	0.18125
C2orf59	-0.38125
TMEM135	-0.340875
SLC27A2	-2.1995
KRT33A	2.812
OVOL1	-0.238875
PAMCI	-1.7655
S100A7	3.2125
ZNF789	-1.8235
HARS2	0.107
RPL23A	-1.0895
TCF23	0.03875
UPF3B	-2.530125
C17orf78	-0.2555
HLA-DOB	-0.131166666666667
C14orf142	0.482
TEKT5	1.764
DMWD	0.118
POLD1	-1.87866666666667
GSCL	0.6475
CALD1	1.193
SCRT1	0.561666666666667
AIG1	2.0575
UNC84B	-0.23275
ZNF404	-1.57
TMED6	-2.4345
KIAA1462	0.773
LRRC27	1.16733333333333
PYGO1	0.344
PIGU	-0.075
ALAS2	-3.37766666666667
WRNIP1	-0.075
CNNM3	0.07
ZNF2	0.022
ST3GAL5	0.41675
MRPL23	0.04325
TSSK6	-0.713
PSMA6	-0.299
C16orf70	-0.81775
KIAA1602	0.25425
ALMS1	-0.218166666666667
DCN	4.3025
TMEM132D	-1.3235
SUCLG2	0.89425
ABHD14A	0.76875
DEXI	0.251166666666667
AMPD2	-1.068
IFNAR2	-0.320833333333333
CYB5A	2.6276
TLOC1	0.4822
NXF5	-0.127833333333333
NRBF2	0.485
KCTD3	2.8475
ITGAE	-0.412166666666667
SLC30A3	-0.9985
ZRF1	-1.8445
IFRD2	-0.656875
XAB1	-0.1845
PYCR2	-0.183833333333333
SERPINB3	-2.942
TMLHE	0.3099
GEFT	-0.86
ABCA5	-0.875
EMR4	-0.37
TSFM	-0.245
HIST3H2BB	-1.7355
ARHGEF19	0.2635
TSPAN17	0.045
ABCC8	4.19675
MAP1S	-0.023
C22orf36	0.65825
BNC2	1.47628571428571
HIST1H4A	-0.2665
NDUFS3	-0.016
WDR3	-1.059
XKR4	-0.294333333333333
TTC33	-0.310928571428571
STMN2	2.14725
CPN2	-0.582166666666667
HSPC105	-1.285
PCOLCE2	-3.1075
C3orf55	1.014
KLHDC9	3.03516666666667
TBC1D23	0.729375
ATXN2L	-1.18775
MAP2K3	-0.740583333333333
SCAP	-0.3915
ZNF486	-0.327
C20orf96	0.1185
NARS	-0.81675
ADAMTSL1	-0.568142857142857
PRCC	0.46
CCDC126	0.703083333333333
ZNF675	-0.58775
CALCOCO1	0.2475
ANKRD43	1.65675
CWF19L2	-0.235666666666667
ZBTB32	0.517
BRAF	0.32625
ODF4	0.5395
MGC14376	1.00966666666667
HORMAD1	-1.19216666666667
AAK1	0.0682727272727272
PEBP1	0.57275
TNFSF5IP1	-0.575
DKFZp564N2472	0.18
RMND1	0.847875
IGKV1-5	0.31525
COL1A2	4.15308333333333
SERPINA5	1.81325
AANAT	0.4095
C19orf21	1.23866666666667
GEMIN5	-0.119
UBR4	-0.583166666666667
LTBP3	0.973666666666667
AMHR2	-1.30916666666667
PROCR	-0.5105
MYBBP1A	-0.7485
C20orf39	3.50666666666667
ZNF697	-0.311625
PASK	-1.4234
ZNF776	0.2225
RFXDC2	-0.462285714285714
KIAA0467	-0.61225
C10orf96	0.3075
ZNF503	0.1485
GULP1	-0.262666666666667
KCNE4	4.5025
DKFZp434K191	-0.773
LOC196913	-1.573
BHLHB4	1.4085
CH25H	2.23275
LOC81691	-0.928166666666667
ALPL	-0.3325
COL12A1	4.11825
FOLR3	-1.68166666666667
GPR123	0.314375
TRIM62	0.137
ABLIM1	0.403
MAST3	-0.59025
RHBDD1	0.489666666666667
LOC338809	1.2385
RYBP	1.26525
TTC26	-0.32875
ZNF22	-0.176333333333333
ISCA2	0.42175
RDM1	-3.12325
PIGM	1.13325
GNB3	-1.437
ACTR2	0.6422
HMGB1	0.06465
EDG1	2.44133333333333
SOAT2	-3.047
OR10AD1	0.7065
RAP1GDS1	1.57625
LCE1F	0.068
ESM1	-0.49275
RCN3	2.6685
CREBL1	-0.61025
DBNL	-0.0968333333333333
PTGER3	1.710375
USP30	0.207666666666667
BCL2L12	-0.9538
KIF26B	2.81325
ZNF416	0.3255
ZNF225	-0.321
C17orf70	0.15075
ZNF554	0.4575
RAE1	-0.506
TNIK	0.407333333333333
ACTN3	0.4745
MGC45922	1.1015
CCNA1	0.672833333333333
RYK	0.604666666666667
IL26	0.159
LRP3	1.11366666666667
QARS	-0.62125
SOX7	0.352076923076923
BID	-0.436625
OR2S2	-0.8795
CXCL14	4.0925
C11orf47	-0.138
MGC29891	-0.0536666666666667
HSPB8	3.0101
PRDM14	-0.9815
NUFIP2	0.3525
MNAT1	-0.38975
ZDHHC2	-0.872333333333333
MBNL2	0.00937500000000002
ADD3	0.06825
CSNK2A1P	-0.34925
KLK6	-2.41916666666667
TMEM111	0.7173
KIAA1279	1.11025
NUBP2	0.290666666666667
RAB42	-0.19475
ID3	0.8954
TM9SF1	-0.15375
MDP-1	-0.18
POU4F2	0.87925
IQCK	0.68875
C16orf14	-0.1715
CAPN3	-1.4665
FAM43B	0.153
RECQL	-0.57
AP1G1	-0.065
CTNNBL1	0.131666666666667
ECHDC1	-1.69233333333333
SMARCC1	-0.1112
FOXQ1	-1.18475
GNAI3	0.0683333333333333
POLG2	-2.26
CD4	1.101
ITLN1	-0.408
EBI2	2.28275
IRF1	0.09125
PTPRE	1.8819
PTK2B	-0.763
NXNL2	-0.4055
SOX4	-0.681388888888889
TSPAN3	0.855
SH2D1A	-3.014
C8orf58	0.0843333333333333
USP20	-1.198
DUSP22	-0.659166666666667
CALB1	-0.793166666666667
L3MBTL2	0.2755
MCRS1	-0.738
TMEM118	-1.80566666666667
C18orf8	0.0831666666666667
FLJ10241	-0.016125
GJA12	1.00575
PKD1	-0.664166666666667
ZFP3	0.3925
JAM3	0.23375
LAPTM4A	1.5754
DIRC2	1.38525
KIAA2022	0.879
MYOM1	-0.0246666666666667
TRPM8	-1.22333333333333
MOP-1	1.6185
PHKG2	-0.11575
ZNF650	0.252
KIAA1522	-0.06675
PSG8	-0.0905
DDX19B	-0.2685
MOBKL1B	-0.08375
DIAPH2	-0.108166666666667
PTPN12	0.00725
CLN8	-0.2495
CRYZL1	0.131333333333333
CRY2	0.901833333333333
FCGR2B	3.128
PNPLA4	2.537
ZNF454	-0.1305
DKFZp434B1231	-0.0555
CLDN11	0.2253
RFWD2	0.6765
CIB2	-0.066
MXRA8	3.73425
HRK	-0.0712499999999999
MAML2	-0.34025
C4orf31	0.8875
C6orf192	-0.866
COG6	0.534875
FAM5B	-0.20725
NFATC1	-0.0548
SEPT10	0.19575
SCYL1	-0.2764
RPP40	-0.5715
SCOC	0.6825
KIAA1450	1.123
CTDSPL2	0.12525
TBX5	1.7645
NAPG	0.163125
RHD	-3.73975
C14orf45	1.82333333333333
ZBTB22	0.521
PLCG1	-0.9675
ANKRD10	-2.046875
AQP7P2	0.8725
TAGLN2	-0.0826666666666667
HTR2C	-0.53425
SLC16A7	-0.615666666666667
C17orf83	0.312333333333333
TSGA14	-0.181666666666667
MDH1	-0.51
PPP3R2	0.287666666666667
DCBLD2	-1.69021428571429
RBM33	-0.31575
DPH3	-1.02975
SYT10	-0.632166666666667
FMO4	1.50575
THYN1	-1.42675
DRD5	-0.7175
OTOR	2.56775
PGRMC2	0.4835
KATNAL1	0.15025
PAQR6	-2.81925
UBE2I	-0.6655
C14orf28	0.53675
C8orf70	0.8895
FLYWCH1	-0.262
ANGPTL3	-0.497666666666667
GLRX2	0.116666666666667
ATP11A	-0.951142857142857
ARL5B	-0.00887500000000001
MUC16	-2.03275
SLC25A5	-0.919571428571429
ACRC	-1.82575
MYO1C	-0.038
FAM89B	0.983166666666667
FAS	1.062625
KIFAP3	1.88025
GLRA2	1.0705
BTN3A2	-0.2165
CNKSR3	-0.778
CSTF3	-0.621
ARPM1	1.162
KIAA1530	-1.3865
C9orf150	3.011
PRKCI	1.121
tcag7.1015	-0.86
SOD3	-0.75375
ZNF574	0.22425
CYP21A2	1.195
RPL12	-0.601
COMMD2	-0.16425
WIZ	-0.247
LOC344405	-2.73825
ALDH4A1	-0.932352941176471
CRYAB	2.23725
COPA	0.265466666666667
PCDHGA7	0.850333333333333
KIF11	-1.45741666666667
RASD2	0.26525
SLC26A3	0.332
ZNF175	-0.9835
JAKMIP2	-1.726125
C8orf4	4.17133333333333
PTHLH	1.86325
SLC40A1	2.14441666666667
OR7D4	0.198333333333333
PCDHB17	1.167
CD36	2.44985714285714
C6orf203	0.843
PRKG2	-0.5055
LOC400566	0.89925
ANAPC13	0.329
SLCO3A1	-0.93625
ZNF692	-1.8385
FANCL	-1.5575
SH3GLB1	0.52775
C12orf61	-0.0175
KBTBD6	0.5865
SUPT5H	-0.150625
XRCC6	-0.0552
HUS1B	-0.7081
FAM133B	-0.133857142857143
LOC728276	0.7025
KCTD18	0.679
SOS2	0.335166666666667
CCDC99	-2.30475
C1QTNF5	3.8665
NNAT	0.3665
USP16	0.00125
LARS	-0.708375
ZBTB2	0.842125
ABO	0.1365
TRAF3	-0.42825
GALNT5	-0.074
NAP5	1.662375
ALG14	0.8275
KIAA0515	-0.590769230769231
WDR75	-0.915833333333333
TEX261	-0.185
LY86	1.32525
LOC389072	-1.5085
FLJ13611	0.01175
MRGPRX2	0.226
SNRPA	-1.327625
OR2G2	0.1845
GPRASP2	0.955
C7orf42	0.4709
C9orf163	-0.5725
CYP11B2	0.3195
FCRL3	0.3475
PRDX1	-0.752
FGB	-4.392
COX17	0.4146
C16orf33	0.2995
PIWIL1	0.238166666666667
FOLR1	-1.43
KIAA0082	-0.4775
FREQ	-0.659
TMCC2	-1.36933333333333
TCF12	0.657833333333333
ZNF721	0.11725
FAM130A2	0.2875
POU4F1	-1.82325
SNRPF	-1.319875
SGIP1	2.36816666666667
ZNF641	0.259666666666667
EMG1	-0.015875
PRRG4	1.356
HIRA	-4.05425
MYNN	0.309833333333333
AEBP2	-0.391083333333333
TBXA2R	0.431
ISL2	-1.65033333333333
PCDHB11	0.323
RNF144A	0.342625
MARCH5	0.6765
DULLARD	-0.161666666666667
DCLRE1B	-1.0045
ITGA8	0.8985
TP73	-0.2275
PRKCD	1.67025
NDUFB4	0.05575
ATP13A4	1.686125
ANTXR2	-0.304
COL4A3	-0.503666666666667
MYO10	-1.4998
SLC6A18	0.5145
PEX1	0.092
TMEM74	-0.798666666666667
RBM19	-0.10275
TAPBP	0.31425
RUNX1	1.3095
MID1	-1.60725
GPR64	-0.2175
RASEF	4.92575
GABRG1	-0.142625
MYO16	-0.335
DBF4	-2.33866666666667
TSHZ2	1.95525
RIPK2	0.035125
PPTC7	0.4395
KIF4B	-1.2105
LRRC31	0.973875
ZNF540	0.23825
EFNB3	0.916333333333333
LOH12CR1	0.463875
STON2	-0.156333333333333
GLP1R	-0.285
CSTF2T	0.273375
IREB2	-0.560428571428571
GRSF1	-0.1805
PDCD7	-0.411333333333333
LRRC43	-0.5455
CNR1	0.0715
IL1F7	-0.1605
C12orf64	-0.21575
FAM69B	-0.6975
NR2E1	-1.7375
MS4A6A	2.2821
FTL	-0.5554
C7orf36	0.55175
PCLO	1.061
DYRK2	1.26233333333333
ARIH2	-0.625875
SAMD7	0.0815
SCNN1D	-1.2615
SLC32A1	-0.816857142857143
C22orf25	-0.379833333333333
MRPS18A	-0.1623
GPR112	0.318
EARS2	0.01375
ERN2	0.4965
ATPBD3	0.165166666666667
PRH2	-1.0545
CDKN2D	-0.221333333333333
PGLYRP2	2.338
TRIM40	-0.07725
SEC14L3	0.20175
SLC22A1	-0.281
BTN2A3	0.0645
RASA4	-0.31125
CCNL2	-1.53416666666667
MYBPC3	0.223
GJA4	2.5965
CDC42SE1	0.54825
TRPV2	-1.1015
MYPN	-3.0927
SIM1	0.6585
CDADC1	-0.466666666666667
ZFHX4	2.8495
NIBP	1.0845
ADAMTS19	-0.401
ABTB2	-0.7315
TSPYL2	-0.4615
EIF2S3	-0.454
SOX30	-0.13625
AP2A1	-0.483833333333333
DKFZP564O0523	-0.133666666666667
LOC285398	-0.3705
CDH18	-3.847
CHL1	1.7675
GATS	-0.251
TBC1D2B	0.441166666666667
OR1J1	0.1835
GSN	1.462
DPCR1	0.636625
GARNL4	-0.866333333333333
SMARCA5	-0.381
PLEKHG3	-0.0175
ZBTB45	0.68
FRMD6	0.566666666666667
PLS1	-0.839166666666667
DGKZ	0.329833333333333
EFNA1	1.1299
WDR85	-1.562125
ANK2	0.24775
PAGE4	-0.662666666666667
SENP6	1.01266666666667
AKR7A2	0.0186666666666667
FKBP10	-2.06525
VEGFC	-1.22133333333333
LARP1	-0.4466875
SRBD1	-0.193
ITGB6	0.98425
SLC1A2	0.754076923076923
INVS	-0.944
MPO	-0.229
MOBKL3	0.4183
CUTL2	-1.2775
KLK2	0.0310833333333333
VIM	-0.00675
REG1B	0.1454
PCDHGC4	1.0835
C3orf34	0.763
SUMO3	0.00766666666666666
CST9L	0.47025
MLL4	-1.13
SPR	1.7275
SAMD9L	0.7995
ABCE1	-0.37775
SUPT3H	-0.685166666666667
ACTBL1	-0.0565
ADAMTS4	0.6475
SLIT3	3.47975
RHEBL1	-1.031
NPM2	-1.44975
MAN1C1	1.416125
KIAA1856	0.798333333333333
HSPA6	0.51525
LOC388152	-0.9805
C10orf140	-1.64
ZDHHC12	-0.6765
LIN7A	-0.937777777777778
PHC2	-0.14525
SPHK1	0.7095
TRIM26	-0.0754375
FAM83E	0.1205
C18orf24	-2.121
ZNF578	-0.0183333333333333
ORAI1	-0.46125
RUVBL1	-0.364416666666667
C7orf20	-1.21933333333333
APAF1	-1.348
SLC36A4	-1.402
MYH11	3.348
NEK1	0.8819
MPP2	-0.62875
C12orf24	-1.658
TNK2	0.3145
ZNF289	-0.265
MATN3	3.11942857142857
IFNGR2	0.878
ITPR1	0.793625
EBF3	2.4279
TBC1D20	0.7833
OR10P1	0.61625
DDAH2	0.91325
SHPRH	0.216
STX7	-0.48
LOC554248	-2.4365
BCAR1	0.0225
ATXN3	0.221583333333333
TRIM27	-0.6505
CDC42EP2	0.598
CHP	0.202928571428571
SOX17	1.778375
ZNF259	-1.27533333333333
CHCHD1	0.288875
ZDHHC19	0.1115
GBP2	2.329
GARNL3	1.1315
MRC2	1.7345
C1orf52	-0.96075
AOF2	-1.09383333333333
LRPPRC	-0.6828
ACVR1C	0.177833333333333
TM4SF18	2.0595
TMEM169	0.512
PPP1R16A	-0.305
EBF1	1.57816666666667
RRS1	-0.215333333333333
SNX2	0.023
OR2T2	0.345
RBX1	0.648
ANKRD54	0.309666666666667
TSNAX	1.04483333333333
TMEM83	-0.902
ZBTB7A	1.4005
ATM	-1.62566666666667
LOC338328	2.0505
TIE1	1.14883333333333
HIST1H3G	-0.414666666666667
PASD1	-3.8275
TINAG	0.1395
PCDHAC2	0.9675
LRRC15	2.455
WBSCR17	-0.524
TFF2	0.303
PARP2	-1.32225
NDFIP2	-0.5975
PCDHGB2	-0.06
WDR60	0.0895
MAP7D2	-0.569111111111111
USP45	-0.94525
GSDML	-1.60325
TNS1	0.369
PLCD4	0.1345
IQCD	1.196
SMPX	-1.17933333333333
CD9	0.928333333333333
SRGN	0.6805
CASP7	1.152375
INOC1	-0.260833333333333
DKFZp451M2119	-1.45975
VMAC	1.3695
USP53	0.4978
CAMK1G	-0.6175
TMEM106A	0.476
CDC20	-2.3979
ACSL5	-1.23616666666667
CBWD5	-1.38075
C1orf87	-0.885666666666667
KIAA1274	0.58
PRUNE2	-1.40285714285714
LYPLA2	-0.720666666666667
DOK6	-0.824333333333333
GPR149	-0.33475
FAM30A	1.0285
TMEM129	0.36025
SLC35B3	1.03975
ACPP	-0.141888888888889
LOC200261	0.2
SLC4A7	0.4281
CCDC40	0.8365
GART	-1.30975
THOP1	-1.695
SCARB1	-0.49175
CACNA1F	-0.375
TRIAP1	0.191
SYT14L	null
SFRS8	-0.4565
PBOV1	0.254
GOLSYN	2.91025
GJB7	-1.3465
CAMK2N1	0.495833333333333
GREM1	3.37358333333333
FLJ20433	0.19725
QPCT	-2.633375
PRKAG2	1.01833333333333
H2AFX	-1.925625
C6orf154	1.323
PLOD3	-1.36325
ZBTB39	-1.206
WASF3	-0.644916666666667
DRG1	-0.04925
PRR4	-2.3555
SPCS1	0.2605
KDELR3	1.328
SRP19	0.183333333333333
GABRA6	0.34
MFSD1	0.37675
MMEL1	2.15975
PDXDC2	-0.7789
BUB1	-3.42855555555556
RNF138	-1.449375
MYLPF	-0.185333333333333
AIF1	1.07783333333333
DYNLRB1	0.6951
HCN3	-1.47516666666667
HIST1H2AI	0.43375
MAP4K5	0.59475
LASP1	0.657875
LOC130951	0.1
PLAA	-0.01175
KRT6A	-3.1715
C6orf117	-1.746625
ARHGAP23	-0.358
PTF1A	0.4285
GPHA2	-0.394
LCE3B	0.08775
MCL1	0.8955
EHBP1	-0.416166666666667
PRNP	-0.228
ZSCAN1	0.6085
C1orf113	0.0403333333333333
FOXA3	-3.23325
NEB	-0.44925
ASGR1	-4.69133333333333
CTGF	2.624
RAB17	0.802333333333333
MST101	-0.22175
JARID1B	1.0933
USP37	0.6128
PTBP1	-0.932333333333333
PTPN7	-1.20183333333333
CDC7	-3.2325
SNX7	0.209
ZNF335	-0.95525
CPT2	0.20825
HEATR1	-0.594375
HSPC152	-0.405125
C5orf40	0.327
PSME1	-0.0363333333333333
STAG3	-1.80125
TMEM154	0.947333333333333
KLHL32	-0.0535
TSGA10IP	-0.44
SUV420H2	-0.968833333333333
SF1	-0.6495
2'-PDE	0.1955625
PNLIPRP2	3.126
TRSPAP1	-0.563666666666667
NUP210	-1.251
ANP32C	-1.77733333333333
RAB11B	0.277
ASB15	-0.439
ITGB3BP	-2.262
UBASH3A	-1.7815
YWHAB	0.69325
TPRX1	0.27775
LY6G5C	-0.300875
SLC7A2	0.283625
CLK1	-0.0303
HSD3B7	0.944
VDR	2.87275
C16orf74	0.417
ACE	0.2315
PSMA2	-0.110166666666667
CCDC131	-0.916875
ZNF213	0.462
EML2	-0.06075
ALS2CR13	0.104
GLYATL1	0.28225
DSPP	0.313
DHFRL1	-0.3425
C10orf30	-1.8955
SH3RF2	-0.461166666666667
