Hybridization REF	TCGA-BH-A0EE-01A-11R-A034-07
MYD88	0.421625
PML	1.889
TAF1A	-0.6835
CBFB	-0.368625
HIST1H3H	0.131666666666667
C7orf29	-2.475
COMMD4	0.0863333333333333
DPP3	-0.63575
DAB2	-0.84525
LOC388882	0.6765
YPEL4	-1.428
AGBL3	0.7885
LRP6	-0.0245
SERPINH1	-0.79975
TLE1	1.36375
CD244	0.769333333333333
ZDHHC15	1.42925
MGLL	-2.2409
PLDN	-0.331333333333333
LOC654346	2.2855
FAP	0.0225
GPR37	2.16766666666667
SCARA5	-0.942
EBF4	1.09081818181818
LSM6	-0.15025
MLLT1	-0.2975
SLC5A12	0.613
A2BP1	-1.16033333333333
COPS5	-1.514
TPM4	-0.474214285714286
TNFSF4	-0.3345
ACADSB	-0.833333333333333
HERPUD1	-0.40325
BCL2L11	-0.757388888888889
CEP78	-1.385125
CDCA3	-1.813125
WBSCR19	-0.6677
MYO1A	-2.3105
PPEF1	4.16383333333333
LOC440348	-0.073
CPEB2	0.8095
BPTF	-0.285916666666667
RPL21	-0.5025
GSX2	-0.462
ADPRH	0.879
C17orf68	-0.625333333333333
KCNS1	-0.588166666666667
MLLT6	-0.5892
PIWIL4	0.38375
RNF26	-0.18425
RAP1B	-0.139125
ADAMTS1	-1.8102
ZNF571	0.35975
P2RY6	0.7105
TRIM21	1.9275
CADM3	0.02075
NLRC5	1.283
ADRA2B	-0.191
LOC90835	1.2225
PCF11	-0.66275
LOC400451	2.1025
GLTSCR1	0.8095
C17orf88	-0.541333333333333
CDH16	-1.306
FGF7	-0.08475
PCSK4	-0.3305
NPC1L1	-0.715333333333333
TAT	0.46325
TBCA	0.47875
MGC33407	-1.0665
GPR115	-1.571
CYGB	-0.817
FNBP4	-0.91
C12orf43	-0.634
CBL	-0.2235
CLECL1	1.68325
PPAPDC1A	-1.14275
WDR25	0.383833333333333
SGCA	0.619
C22orf29	-0.598166666666667
YIPF1	1.55125
GALK2	0.725
RAB3B	-3.97125
LOC440087	-1.3565
UCP1	-0.66
REEP5	1.1565
FADD	-0.177
FOXA1	2.929875
CACNA1A	0.0921666666666667
ABI1	-0.0346666666666667
GRIN2D	0.7415
SLC1A4	-0.0396666666666667
LOC401127	-0.0495
HINT2	2.032
PLD4	-0.308666666666667
ZNF286A	-2.206
ENY2	0.2785
IL1F6	0.3885
PXDNL	2.36925
C20orf79	1.38066666666667
TNFSF13B	2.92
DENND3	-0.03025
JARID1D	-3.1835
HIST1H2AK	0.631
LOC93349	0.4234
SSH1	-1.4565
ENSA	0.312
LOC219854	-0.496166666666667
CKAP2	-1.082
DKFZP564J102	0.347166666666667
MGC87315	0.159666666666667
HNRPAB	-0.2635
AMH	0.7025
ZNF526	1.1675
BRUNOL5	-0.8161
CACNG3	0.386333333333333
TRPM1	-2.9275
PPP2R1A	0.345625
COL2A1	-2.0895
DDN	-0.082
FLJ25770	0.2605
HK2	0.351
ELOVL6	-1.114
MDK	1.30375
EPHX1	1.929
RASSF2	-0.037125
DKFZP434B0335	-0.465
DLX3	-0.84075
PRTN3	-1.00125
AVPR1A	1.0065
C21orf125	-1.19
TNFAIP8	-0.257333333333333
GNB2L1	-1.013
CALCRL	1.0035
SCGB2A2	8.90683333333333
UBXD7	-0.17275
ZNF674	0.404
TMEM35	-0.80625
BRSK2	-1.580625
HECTD3	-0.0605
TMEM188	-0.672583333333333
LGALS9	2.0225
SCARB2	0.700166666666667
USP34	-0.352333333333333
C17orf28	1.1995
ZDHHC23	-0.632
AQP12B	-0.1305
SLC16A3	-2.5095
APLP2	0.603
ITIH2	-5.261
MICAL3	-0.337625
TNNI3K	3.008
HDAC2	0.619875
PRR7	0.4092
THBS2	-2.30525
LOC751071	-0.790333333333333
CA2	1.44866666666667
RANBP17	1.60075
RLN3	0.621
CRYZ	-1.668
GBAS	0.1415
TAS1R1	-0.66125
MPZL3	1.607
PCDH8	-1.83533333333333
HSP90B1	-0.684666666666667
KCNK15	-0.196
TNIP2	-0.303
GPR146	-1.037
NOL6	0.320125
SPC25	-2.70488888888889
STEAP2	0.747571428571429
VAMP3	-0.118666666666667
TCIRG1	0.88475
ZP4	-0.3472
PARL	-0.7185
TRIM39	0.331166666666667
KIAA1305	-0.18675
CRNN	0.617166666666667
GRN	0.21975
HSH2D	-0.0515
SCAMP1	0.619125
KIAA1913	-1.2765
PTS	0.39575
BANP	-0.0239285714285714
PRKACG	0.29725
ADCY6	-0.185833333333333
C16orf46	0.764
CYP51A1	0.41975
DDC	-1.43825
ANPEP	-1.639
PROM1	4.884
SIGLEC10	1.594
COPG	1.675
FAM26E	-0.167
TRIP4	0.37525
SNX3	-0.345166666666667
C1orf175	0.273
PPY2	0.19825
C14orf152	1.85875
FTSJ1	-0.799666666666667
DST	-0.6252
LOC554235	0.25775
GLRX5	-0.077
C20orf12	0.4495
CAB39	-0.158666666666667
MSH2	-1.337
PIP4K2C	0.825
CYLD	0.371125
WTAP	0.129
MGAT4A	-0.0687777777777778
TSC22D4	-0.8599
CHRM2	-2.3405
PPYR1	0.587833333333333
CCNH	-1.07066666666667
RRM1	-0.51775
ECAT8	-0.1215
LOC400120	-0.00225
GABRA4	1.056125
C14orf4	1.41216666666667
C1orf59	1.5225
CTDSPL	0.575083333333333
NHEDC2	-1.8445
PDE11A	-0.308266666666667
KLHL29	-3.20425
CD5	-0.741
TSPAN9	1.0944375
WDR67	-0.635
THUMPD1	0.2057
C18orf17	0.12125
CLYBL	-1.181
FLJ13231	-0.126
CMBL	0.652625
LECT2	-0.79
NKAPL	0.858333333333333
LOC654780	1.1795
OR4C6	0.47
RAB30	-1.0375
TSSK4	0.457
TMEM163	-1.2065
OSBPL11	0.42325
GNB5	-0.919166666666667
CCL21	0.65525
C1orf121	0.6615
FMO2	4.93133333333333
RPTN	0.596
MSTN	0.6325
VCL	0.347785714285714
FYTTD1	-1.03675
C11orf1	0.36175
CCDC88C	0.752
HFE	-0.880777777777778
MOGAT1	-0.13
FAM125B	-0.185666666666667
IRGQ	0.3595
RAVER2	-3.862
AKAP5	-0.8765
SSSCA1	0.89525
C11orf63	-1.827625
ACTG2	-0.5828
PORCN	-1.333
DTL	-0.783909090909091
TMEM151	0.913
FAM122C	0.56175
RSAD2	5.6701
BAT4	-0.08
KRTDAP	-2.88333333333333
MYH8	-0.553142857142857
CRTC3	0.16
LRRFIP2	0.3908
INTS4	-0.0993333333333333
TTN	-0.821166666666667
SLC26A5	0.8235
PLLP	-1.8625
RGS6	2.183125
SRGAP3	0.95225
ZNF525	0.316333333333333
NBR2	-1.22133333333333
C13orf1	-0.0848
ZNF137	-0.0305
CEP27	-0.8425
BEST2	0.841
RNF121	-0.516
DMRTC2	2.8315
C8orf76	0.03525
BCCIP	-1.006
MEST	-0.62175
HTRA2	-0.966
ANGPTL2	-1.13175
ILKAP	-0.313333333333333
ERAS	0.2215
HBS1L	-0.195125
CPA5	0.235
TMEM30A	-0.0718333333333333
CD300LF	1.33583333333333
WISP3	5.2
CRK	-0.202071428571429
PDS5A	-0.3442
BRPF3	0.965333333333333
NEDD9	-0.320125
SMPDL3B	-0.89275
PSG6	0.6155
PSMD13	0.184
ETV5	-3.0189375
OR51A4	0.3275
BTBD7	1.46733333333333
GSTO1	-2.17425
hCG_16001	-0.597
MAD2L1BP	-0.337666666666667
COX6A2	1.136
SCNN1A	1.855
LSM1	-0.568333333333333
UGT2B11	-1.607
IDUA	0.92375
PPP2R3C	-0.862333333333333
COX11	-1.15333333333333
PDZK1	-4.48275
ZNF443	0.919333333333333
MGC21874	1.41866666666667
ZNF323	3.0522
KRTAP10-10	0.5215
CXCL6	1.38275
SLC34A2	5.2507
LOC284402	0.438
NPTN	1.29191666666667
UPP1	-0.595
SLC6A9	-0.747
OR7G3	0.21325
CISD1	0.803666666666667
ZNF545	-0.0986666666666666
SYT14	-0.9815
NT5C3L	-2.40616666666667
ZNHIT3	-0.870166666666667
SNRPD3	0.48
KIAA0701	-0.2035
UNC93B1	1.14933333333333
GMNN	-1.470125
SPCS2	0.303166666666667
LOC388524	-0.445
NAPRT1	1.082375
PNLIPRP1	0.64325
OR6V1	1.0965
PRKAB1	-0.70625
EYA4	-2.32633333333333
KIF20A	-1.143
ALG10	-0.364
ITPKC	1.04483333333333
LMX1B	0.558666666666667
RPUSD4	-1.08283333333333
C7orf34	0.0623333333333333
DLGAP2	0.561125
PFN1	-1.0313
MICALL2	-0.54
ZNF654	1.048
SS18L1	-0.2295
SLC16A8	-0.10625
MKI67IP	-0.390333333333333
ITGB3	-2.146
TCEA3	4.12408333333333
CEP152	-1.0506875
CLIP1	1.09075
ZNF75	0.6473125
ATP5C1	-0.1985
NUDT5	-0.0543333333333333
PSCDBP	0.67175
UBP1	-0.47275
RBM27	0.78275
C13orf15	1.325125
ZNF282	-0.1575
ZNF222	-0.4149
COL10A1	2.75675
PRDM15	-0.715375
TTTY5	0.019
FAM9C	-0.500666666666667
C20orf67	-0.463
GNG13	1.0255
F12	1.2425
C1orf41	0.13975
CPXCR1	1.173
GSK3A	0.055
SUPT6H	-0.9255
PI16	-1.45033333333333
ELL2	-0.181
C9orf167	-2.61783333333333
PVRL3	-0.5709
FLJ38596	1.365
ADAM20	0.1925
GPR89A	0.1475
GPR87	-1.8065
ZNF30	-0.978
SMR3B	-0.032
ZNF770	0.155625
TRPC4AP	-1.52683333333333
DKFZP686E2158	0.550333333333333
C2orf28	-0.881
FREM1	-2.98633333333333
LAMA4	-0.457833333333333
ADPRHL2	0.65575
EIF4G2	0.137833333333333
GUCA1A	-1.5605
CTNNA2	-0.824428571428571
NUDT15	-1.282
CEPT1	0.106666666666667
ZNFX1	0.2167
CCDC92	0.406
TDRD1	1.2235
KCNK5	-1.34216666666667
ETNK1	-0.419666666666667
LTA	0.356
TTPA	0.874333333333333
B3GALNT2	0.9415
SC65	-2.58766666666667
PEX5L	-1.8165
EPS15L1	-0.49375
MGEA5	-0.97825
HIST1H3A	1.1995
ING1	0.422375
BCAT1	-3.85475
ORC6L	-2.39054545454545
KLK11	-5.44266666666667
C19orf28	-0.890875
DNER	-4.564625
MED22	-1.08935714285714
ETV6	1.76058333333333
CHAC2	-1.10575
CD300E	0.7725
CEBPB	1.37616666666667
ZNF398	0.30225
LRCH3	-0.219
HMGA1	0.00933333333333334
CAPN7	-0.657
MGC5566	-3.5245
CCL3	2.616625
NANOS1	0.24325
ZFYVE19	0.2455
APITD1	0.342833333333333
PARD3	1.328
IRAK4	-0.1375
SERPINI2	3.645
CEP170L	-0.912
TTC9	4.148
MYOM3	-2.0675
MLPH	0.536375
LOC222699	1.283
NRG1	-2.19841666666667
TBC1D9	0.763181818181818
TTK	-0.663333333333333
ZNF557	0.3227
DDX41	-0.216
FANK1	1.357
UBE2D2	0.69125
PSMB10	1.8785
MYH7B	-0.6925
GABARAPL2	-0.909
MARVELD2	3.62783333333333
DGCR2	0.339
UNC45A	-0.398166666666667
C6orf72	0.328
ZNF683	4.9815
GIT2	-0.966875
CASK	1.80016666666667
C14orf161	6.74233333333333
LRRC44	0.73125
TIFA	0.1635
UTP11L	-0.35675
C6orf65	-1.52375
FDPS	1.1375
DUSP9	-1.6504
SLC17A8	0.924333333333333
OR51G1	0.286
NANS	0.74075
OLFML1	0.84725
ATP10B	0.695
NPAS3	-1.6425
PRKCA	-2.4998
GGA2	-0.6896875
LCE4A	0.831
SPANXN3	0.33875
CCDC115	-0.2525
SDCCAG3	-1.0055
GLIPR1L1	0.12725
TTC1	0.48625
C17orf76	-0.615
MAD2L2	-1.43525
HIPK1	0.5438
LRRC3B	-0.450666666666667
CLN3	0.576681818181818
C17orf47	-0.5895
FMN2	-2.771
TUBB1	-0.647
WAPAL	0.522
C3orf21	-1.19225
SCN5A	-0.6322
SMYD1	0.8175
BEX5	4.0185
ZNF192	-1.0855
SEC22A	-0.162333333333333
GRIA2	0.161642857142857
KIAA0825	-1.9085
NUSAP1	-1.20654545454545
LANCL1	-1.752
C15orf40	-0.5837
ZNF645	0.630125
GPR61	-0.3605
NLRP14	-0.8495
SNX21	-1.3454
C1QTNF8	0.56
C17orf46	1.16225
IFNA8	0.595
SPRR1B	-2.09183333333333
FLRT1	-0.6445
SNX17	-1.88166666666667
ASB2	1.30383333333333
HBG1	-5.974
RPRML	-1.81075
JOSD2	0.109
PLSCR3	-0.9275
SPOCD1	-0.718833333333333
RAB39	-0.2445
GHRH	-0.533
ITIH5L	0.694
C17orf37	3.226
SMCR8	0.38125
DPY19L2P3	-0.569833333333333
IL11RA	0.688
GDF3	-3.662
RPS6KB1	-1.51891666666667
DNAJC19	-0.2491
TOP1	-0.9425
CRCT1	-0.6925
MPST	0.14425
DPM2	-0.077
FAM38B	-2.82233333333333
SLC18A1	-2.509
FARP1	0.229
PAX7	0.965
TUBD1	-1.871
GNL3	-0.071875
BTG2	-1.06553333333333
NDUFS6	0.045
C1orf79	0.251
ERAL1	-0.9985
ECHS1	0.3345
VPS4A	-0.338
CYP11A1	-1.29125
ABCC6	0.441714285714286
PBX4	-1.4005
MOSC1	0.69725
NCF4	-0.8225
HYMAI	0.586
NAGPA	-1.60475
OTOP2	0.058
ACOT12	0.27025
MTHFD2L	0.04475
LOC441376	3.15625
C19orf34	0.204
RAB1B	-0.67525
ALDOAP2	0.2015
NTRK1	-2.46733333333333
ARTS-1	1.0976
SLC6A11	-1.8015
NAP1L2	-3.86475
CNGB1	0.338666666666667
EPB41L4B	0.120916666666667
FAM134B	-0.992875
HS3ST3A1	-1.8795
CPXM2	2.4725
SIRPB2	-0.5065
CHORDC1	-0.925666666666667
TRIB3	-0.863166666666667
SLC2A5	1.90225
C2orf49	-0.5615
DDX5	-0.457
OR5L1	1.303
ANAPC4	-0.298833333333333
ZSWIM1	-0.00549999999999999
LOC93622	-0.32375
KCNK3	-0.2003
RP11-35N6.1	-2.7825
ZFP161	0.652833333333333
AQP9	3.29225
SLC15A2	4.42266666666667
MREG	-1.1635
OR9I1	0.6615
PDLIM2	-1.522
ADAM7	0.285
GSTCD	0.526166666666667
WDR21A	1.595
SLC12A8	1.39483333333333
TMEM174	0.00349999999999998
IGSF3	0.361833333333333
LRRN1	-0.91225
LOC402117	0.58575
SRPK1	-0.478166666666667
LY6K	0.9650625
NFIA	3.073
PTCD3	-0.865375
LEP	0.645166666666667
PCDH21	-0.633
MAPKAPK2	0.867928571428571
NMNAT1	-0.119
LHFPL2	-0.084875
C9orf43	1.1995
DIP2A	-0.766166666666667
ACTR8	-0.140375
CCDC34	-1.49575
PTPN22	-0.586
ITGA3	-0.568875
FAM129C	0.62525
RABGGTA	0.558666666666667
UNC45B	-1.52125
KIAA1033	-0.495125
ZNF510	-0.622666666666667
CYP2D6	0.616666666666667
SLC26A10	-2.241
STX8	-0.01725
LUZP1	-0.45475
WDR89	1.31333333333333
EIF4G3	0.7909
C5AR1	0.890625
ZNF623	-0.0115
A2M	-0.2785
TGM7	0.18
GRPEL1	-0.3505
LMNB2	-0.9919
ROCK2	-0.1505
SNX16	0.9985
CCDC66	-0.74575
ANXA3	2.14975
KIAA1609	0.832875
EED	-0.61975
RNF32	1.86966666666667
HES1	1.2463
CLC	1.97566666666667
ISL1	1.891
KIAA0528	-0.529625
MANEA	-1.124625
C1orf61	-2.005
hCG_2001000	0.04275
RAPGEF6	0.0815
KIAA0020	0.608333333333333
NEIL1	1.8525
C16orf45	-0.059
RBM10	-0.1135
C10orf125	-0.06975
MRS2L	-0.2635
DNAH17	-1.729125
C19orf10	-0.356
C1orf160	0.59375
SLFN12	0.8395
EXOC3	-0.496
HIST3H3	1.02575
NCOR2	-0.649333333333333
TNFRSF9	0.807
MFSD8	-0.04525
ALX1	-4.46875
NOL1	-1.744
PODN	0.28825
TIAL1	-1.47375
HIST1H1E	0.94925
NPY6R	0.52175
TM4SF4	0.8915
CORO2A	0.60525
ETNK2	-1.7145
APOE	0.0941
ANGPT4	0.3565
HDGF2	-0.596
G30	2.3855
ST8SIA4	-0.422285714285714
F2RL1	0.714625
FAM19A4	-2.61525
CCAR1	0.0805
B3GNT7	1.2265
OPHN1	0.8715
DSCR6	-0.4485
C21orf13	2.96233333333333
GAS2L1	0.359083333333333
RFX3	0.946333333333333
COPS4	-0.63025
BCHE	-5.1396
BCL2	-1.8035
HBZ	-2.901
ARL13B	-0.697125
MAPBPIP	0.65625
MYO15B	0.95325
SPZ1	-0.4855
KIAA1324	3.54922222222222
PLCL2	-1.784125
C4orf29	-0.77
WDFY2	-0.341125
ZNF284	-0.284
NAALADL1	-1.1785
DUSP5	0.434333333333333
PXDN	-1.154625
SLMO1	-0.25525
TNXB	0.411
BIRC7	-1.4995
A4GALT	1.25916666666667
TIMM22	-1.02075
FAM110C	2.5905
TOMM34	-1.858375
ABHD9	0.508
ADAM32	-0.0975
CRHBP	-0.48175
AQP2	0.426125
LOC130355	0.24625
ZNF187	-0.6205
ZNF816A	0.658
F7	-1.1975
CNOT1	-0.5982
SLC13A4	-0.339
ZBTB11	-0.76825
B3GALT5	-0.5085
EXOC2	-0.019
IRS1	-3.1306
TMEM1	0.308666666666667
MRPL34	-0.475666666666667
SAMM50	-1.68525
CDC42EP3	0.787625
HSF2	-1.1604
MFN2	0.48725
TSPAN7	-3.2355
NUCB1	0.545583333333333
RHOH	1.07575
ARL16	-1.9945
TACR1	0.3835
SFRS5	-0.741666666666667
SNX25	0.063125
RHBDF1	0.401666666666667
PCDH18	-0.570666666666667
HMG1L1	-0.16375
MYO5C	1.352
MAPK10	2.4905
LDHAL6A	-0.762666666666667
NUDT12	0.4815
NCAM1	-0.415
GLIS2	1.1675
GGTL4	-0.06775
DAPP1	1.43525
ATF7	0.602125
KIAA0748	-0.7635
NFIL3	0.38125
TM6SF1	-1.54877777777778
SEZ6	0.098625
NANOS3	-0.920666666666667
DNAJA3	-0.284166666666667
CLDN6	-2.3435
CIITA	3.9918
EPHA4	0.660583333333333
FANCC	0.37375
CMTM3	-2.64975
PSG3	-0.2315
MRPL15	-1.40875
C21orf59	0.55925
PLCXD2	-0.08475
C2orf34	-0.0518750000000001
UBE2L6	1.879125
MED14	-0.144666666666667
HP1BP3	-0.2483
C6orf208	-0.0725
TPBG	0.805
OSR2	-0.27675
XPC	-0.195833333333333
KLHL7	-1.4175
CCR3	0.1856
AGTPBP1	-0.373833333333333
PCSK6	-0.955933333333333
STAT5A	-2.1543
FAM18B	-0.8435
LONRF2	-3.69466666666667
PTPN2	1.08575
SF3A3	-0.815
EFCBP2	-0.5025
HCFC1	-0.963333333333333
AHNAK	-1.27145
ACTR5	-1.08325
KIF14	-0.998428571428571
TENC1	-0.8215
HEATR5B	-0.233
YIPF2	0.953333333333333
MYEOV2	0.766166666666667
DUSP18	1.24375
KIAA1012	0.03075
AHR	-0.368833333333333
C17orf53	-1.395
PTPRH	1.724
ATP6V1C1	-0.3763
TAS2R3	-0.3495
LOC440356	-1.459
COQ10B	-0.2355
PSMF1	-0.25925
SORBS2	3.20883333333333
NFE2L2	-0.5
TMCO7	-1.393
SH3PXD2A	-1.7325
SH2D2A	-0.36725
SPINK5	-0.4525
MRPS24	-0.684
OPA3	0.553875
TRAF7	-1.24016666666667
C4orf35	0.731666666666667
MT1G	-0.607375
MGC39545	0.43
HS1BP3	-0.2485
OR2B2	1.041
CHRM4	-0.4855
SFRP2	-1.48658333333333
RIC3	-2.80275
ART1	-0.00950000000000001
C6orf1	0.289625
DUS4L	-1.08075
C10orf104	0.4745
TNFAIP6	0.98175
RTEL1	-0.946
CCT4	-1.347
ZNF709	-0.10925
CHMP6	-0.536666666666667
UPP2	-0.62825
CYP19A1	-2.82875
CD151	-0.162166666666667
NDUFA13	0.0983333333333333
ARFRP1	-0.869
FAM26B	0.22575
CRYBA1	-0.7255
MRPL41	0.525
NPFFR2	-1.235125
HRH2	0.319
SCAMP3	-0.0533333333333333
MTMR6	0.2203
MTG1	-1.92616666666667
UBTD1	-0.18525
CRABP1	-3.081
FLJ33790	0.3714
KIAA1908	-0.8975
GPR158	-3.693
PACSIN3	0.0355
OMD	-0.8524
CATSPER1	-0.9535
HOXB8	1.149875
FBXO46	0.9695
OAS1	2.5325
SVIL	1.099
PHB2	-1.3385
ADCY3	-0.957
NDRG2	0.710666666666667
ERMAP	-0.2436
APBA2	-1.21
IGSF9	2.47425
WNT6	-0.594428571428572
MYCBPAP	0.95675
ATP2B2	-0.4801
CPVL	-2.3765
TRAM2	-0.969083333333333
NOP5/NOP58	-0.22475
ZNRF4	0.36275
TLK1	-0.3265
MTMR12	0.286928571428571
ZNF384	-1.17733333333333
FAM9B	-2.95125
RPN1	1.3864
PMVK	1.41325
EIF3D	0.0358
SIX2	1.43675
HPS1	0.735642857142857
RNF7	0.37325
PSKH2	0.493
KCTD13	0.310833333333333
CSMD3	-0.5658
FBF1	0.265
IL8	0.445125
SERPINB13	0.285818181818182
FBXL20	-1.4545
BLR1	0.2625
SH2B1	-0.0638333333333333
RFNG	-1.1285
RAB20	0.331
RBM7	-1.0625
POLR1A	-0.942333333333333
TMPRSS4	3.7635
TAF9	-1.042
TERF2	-0.448833333333333
TNFRSF1A	-0.358833333333333
ACADVL	-1.12316666666667
GTF2H5	0.63225
EDG8	-1.19933333333333
C9orf140	-0.520625
UST6	0.4285
ZBTB8OS	0.52075
ZNF710	1.3895
GPR174	-1.3235
ATP6V0A2	-0.7125
KIAA0319L	0.360083333333333
XKRX	2.289
DOPEY2	1.6256
SDHD	-1.19654545454545
SUMF1	0.74925
OSM	2.023
OPN3	-0.648
DAGLB	-0.696166666666667
PPFIBP1	-0.0304
TRIM63	-3.056
C10orf53	0.422
LYPD3	0.438
BCL7A	-0.584375
AGER	-0.808
TCF19	-0.097375
SAT2	-0.997
PFTK1	0.742333333333333
GABRE	0.022
C15orf38	2.0907
FIS1	-0.2675
KCNV2	0.35925
CLPS	0.50675
PPCDC	0.2385
FOXN2	1.31466666666667
NT5E	-3.5285
CD83	0.1885
IL18	-0.043625
VPS16	-0.13275
IGFBP2	-2.999
NOTCH2	0.46025
SIGLEC1	2.688625
CD93	4.5485
SULF2	-1.8295
CEP164	-0.039875
P53AIP1	0.00583333333333334
TOR2A	0.268833333333333
ZNF136	0.81075
MGP	-0.0979
CCDC144A	-0.493
TRPC1	-3.04083333333333
SMS	0.105833333333333
MAPK7	-0.341666666666667
RRAGC	1.19525
PARD6A	0.522333333333333
NUB1	0.778333333333333
SYNGR4	1.1905
OR11H12	-0.311
WIF1	0.363285714285714
GCH1	2.0875
OR11H4	1.6205
SLC44A5	2.4705
GPRIN2	2.85516666666667
LOC401431	0.134
CPA4	-1.9911
MELK	1.10688888888889
IL15RA	0.59675
CUL3	-0.216
HMBOX1	-2.41025
PODXL	-3.361
CCT6B	0.221666666666667
COMTD1	1.05375
MUC20	2.45866666666667
GPX2	0.66625
ITK	-1.3145
FBXL5	1.16
C13orf27	-0.42025
DEFA5	-0.169
TRHDE	-0.4495
MTP18	0.189333333333333
UQCRQ	1.6137
ITGB2	-0.07175
CSRP2BP	0.24675
TAS2R44	0.7615
PHPT1	-0.22125
FAM44C	-0.19675
ERH	1.1015
MPHOSPH1	-1.159
MORC1	-0.238
PARVB	-3.05575
LAMA1	-2.69283333333333
PGBD3	-0.053
GIMAP6	3.1635
AREG	-3.42466666666667
LIPT1	-0.69825
MGC99813	-1.28225
C1orf201	0.344666666666667
GRIN2A	0.4595
MAN2C1	-1.04225
NSUN5	-0.3015
SF3B5	0.3645
MYC	-2.7768125
NRXN1	1.46708333333333
ZNF18	0.146
SPDYA	1.622625
SLC37A1	2.355
DECR2	0.87175
ANKRD38	-0.713714285714286
SPTLC3	-2.96616666666667
SUPT16H	-0.091625
DTWD2	3.19025
ULBP1	-0.7785
ZADH1	-0.0976666666666667
OIP5	-1.58525
IL10RB	-0.0878333333333333
OTUB2	0.081875
VWA3A	0.170833333333333
SPIC	1.33066666666667
OR6C4	-0.2245
PSCD4	0.542
DPY19L2P2	-1.487
TRAPPC6A	0.0798333333333333
C21orf2	-0.327666666666667
CEMP1	0.4075
LIN7B	0.574
E2F7	-1.09266666666667
VCP	0.7239375
LAMA3	0.31825
BGN	-0.215
GPR160	1.13666666666667
COCH	-4.46966666666667
GPR81	-0.115
APOBEC3F	-2.092
tcag7.1017	-0.762
C1orf32	0.4425
SCGB1D2	6.8825
FLJ43987	-0.6505
C6orf170	1.1325
KLK9	0.5235
GPD1L	1.228375
VPS37B	1.1275
ATG3	-0.172
ADAMTS17	-0.136
KLHDC2	-0.788666666666667
NDUFV2	0.39
BLK	-1.239
MATN4	0.332
GPM6A	0.035375
GBP4	5.15516666666667
TMEM162	0.793
PKP2	-1.7895
HRASLS	2.05744444444444
MMP1	-2.955
SFXN3	-1.4707
FSD1	-1.63883333333333
ST6GALNAC3	-1.40533333333333
CA12	0.6727
NCOA6	-0.0545
C19orf58	0.3229
PPP4R1	0.474833333333333
MAN1A2	1.90066666666667
IKBKAP	-1.6405
UPF1	-0.108833333333333
KIAA1219	-0.78825
WNT16	0.2332
SNW1	0.077
IL18RAP	4.69025
RPP30	-0.3385
CDC40	-0.115857142857143
SETD3	0.680333333333333
SLAMF6	0.05175
ELK4	-0.085
TRIM47	2.91533333333333
ACOX3	0.658625
TRIM6	-1.05325
KIAA0372	-0.354333333333333
TP53AP1	1.211875
SMURF2	-0.53675
ADAD1	0.63625
EBP	0.8369
KRTAP13-2	0.075
FLJ36874	-0.0273333333333333
TOR1A	-0.456666666666667
P2RY4	1.3535
GPBP1	0.367
TRPV1	0.1775
ADAMTS12	-1.0505
PES1	-0.5459
ATG4A	1.33316666666667
MAGEA10	-4.197
WFS1	0.48325
CC2D1B	0.512
PABPN1	0.440625
SLC25A30	-0.64775
SLCO1C1	-0.1315
SLC22A5	1.00125
KIF23	-1.45216666666667
SYN2	0.9305
ASPN	3.78366666666667
CENTG2	-0.1525
QSOX2	-1.5131
FLJ10815	-0.571333333333333
STK24	-0.2484375
SPEG	-1.1494
STK10	0.228666666666667
DACT2	-1.805
AAAS	-0.67075
SSX3	-1.334
ABCD3	-0.0805
C4orf12	-0.4805
PARVG	0.216
FIG4	0.23575
C9orf46	2.444
TMCO6	-0.302
IGHMBP2	-1.38575
DUS2L	-0.772666666666667
FAM3C	-0.0449375
TMEM16D	-1.79371428571429
DCTN4	0.357
KCNH3	0.041
EIF2AK2	2.04875
AP1S3	0.45525
CST4	-0.9665
PAM	-1.3313125
NUTF2	-0.9305
CITED2	0.3278
SLC39A4	1.0525
C2orf52	-0.1795
GRM3	0.25375
C12orf49	1.201
CCDC49	-1.1397
GRAMD1B	-1.172375
FNDC4	-1.52275
SIAH2	-0.36125
GDPD4	-0.588
C21orf87	1.86975
ATP5A1	-0.7625
C16orf63	-0.061375
LOC388135	-0.214833333333333
ATP5J2	-0.04425
MMP3	-4.29225
EMID2	0.0985
CRHR1	0.29825
WDR70	-0.503
C13orf31	2.6545
ZFAND1	-0.76325
CCL18	4.3465
C3orf49	0.028
RINT1	-0.521
KIAA0408	-3.1045
F13A1	3.5319
SLC10A1	-0.3202
OGN	-3.52175
GIPC2	-2.5636
XPO6	0.155333333333333
LCE1A	0.779
FMR1	1.5566
LOC374920	-0.19
DUSP3	-0.1275
ANKMY1	-1.57475
C7orf50	-0.244
BBS9	-0.9469
UNC119B	-1.56528571428571
C9orf72	0.604
MGC35440	-1.42325
ENTPD6	-0.280375
PPP1R2P9	0.682
ERCC4	0.634
FAHD2B	-1.0275
HMHA1	-0.595
HACL1	-2.346
RAD23A	0.821833333333333
FAM83B	0.85375
PPP5C	-1.09616666666667
RNASEH2C	-0.4905
C9orf153	-0.57525
SCAMP4	0.479125
GHITM	0.7136
NDUFB7	0.310625
ADCYAP1	-0.268166666666667
SP110	2.397
MAP3K7IP2	0.321
DHH	0.578
