Hybridization REF	TCGA-BH-A0B3-11B-21R-A089-07
RRP9	-0.892333333333333
OR10H4	0.15025
IL31RA	-0.480666666666667
GNB1L	-1.56133333333333
MYBL2	-3.5155
ZNF407	1.13033333333333
PPIG	0.241333333333333
TTC18	3.162
RPSA	-0.075
MAPT	0.76125
MRE11A	-0.172214285714286
C8orf37	0.0963333333333333
RASGEF1C	1.12533333333333
STBD1	1.067
CTAG2	-0.8665
MGAT5B	-2.30416666666667
ECM1	-1.09075
RLN1	1.319
PARP14	1.4045625
EPB41L1	0.5862
HOXA3	0.697833333333333
MAGEA9	-4.4765
RPS8	0.542166666666667
RPS19BP1	0.04525
FOXJ2	0.928625
C10orf76	0.284875
IL17RE	-0.17125
C10orf65	0.4175
ZNF343	0.269166666666667
FBXO33	0.4645
UHMK1	1.2492
LY6G6C	0.603
FGF19	-2.10625
C14orf128	0.948333333333333
IFIT2	3.12075
TIGD1	-0.66475
S100G	0.2425
GUCY1B3	2.5245
NR3C1	1.0296
CORO1B	-0.1255
PARP11	1.11425
DNALI1	3.38333333333333
OR4N4	0.309875
MAP2K6	0.266833333333333
FSTL4	-0.43875
ANKRD47	1.977375
TMEM171	-1.8575
PNLIP	0.16425
YY1	-0.0411666666666667
CCDC138	-2.2535
AASDHPPT	-0.3945
CKS1B	-1.3763
MCM3	-1.32533333333333
ANAPC7	-0.5225
FAM110A	1.071
CDC37L1	1.473
THTPA	0.55175
NBPF20	-0.52
WDR24	-0.63525
NPTX2	-4.4805
CBLB	0.862166666666667
CETN1	-0.156666666666667
RPUSD1	-0.57875
FAF1	-0.6945
CDK6	-1.7814
HMX2	0.14
CSK	-0.641166666666667
TEAD2	0.422
SNAP25	0.32725
TUFT1	-0.4415
TMTC3	0.228333333333333
LCK	-1.19075
SGOL1	-3.017
AKTIP	1.6275
FURIN	0.09625
SOX12	-1.11183333333333
DEFB103A	-0.23
RAMP1	0.3465
KIR3DX1	-0.2825
GAS2L3	-0.97875
PDE8A	-0.4159
EDN3	5.03075
GMIP	0.1555
SF3A2	-0.44025
FN3KRP	0.17025
SMAD7	0.74625
RHBDD2	0.01675
OR11H6	-0.5255
PPP1R3B	1.4078
C9orf23	0.13025
CADPS	-2.47625
GOLGA8A	-0.64475
TMEM57	-0.3685
RGL3	-0.126
S100A14	0.758
FGFR2	1.8999375
XRCC3	-1.12175
RTN4RL2	-0.39125
MGC3771	1.1255
GH2	-0.120833333333333
BTBD2	0.124
LMO2	1.76825
RDBP	-0.369625
ACRBP	-1.72175
AMY2A	3.357
DUOXA1	-0.6085
PTK7	0.120166666666667
TWF2	-0.150666666666667
FAM80A	-1.82
TNNI2	-1.26433333333333
GLT25D1	-1.18533333333333
OCC-1	-1.04075
CYC1	-1.20483333333333
RPL22	0.110272727272727
MORN3	0.595833333333333
DISP1	1.0315
PRB2	-0.5555
CHUK	0.35575
HR	-0.062
CCDC134	-1.05625
DENND4B	-1.0915
C14orf130	-0.02825
RAB33A	-1.55025
DCST2	0.088
TNMD	2.73475
PEX7	1.048
FAM62A	-0.182375
SRD5A2L	-0.783
IL22	0.147
RPS26	-1.60516666666667
HOXC5	0.485
SPATA6	1.03725
FLJ38482	0.602625
ZNF234	1.6735
C18orf22	0.603
SPATA22	1.70225
THOC1	-0.19875
CYP7B1	3.31
KCNC3	0.49025
C8orf42	0.3255
ALDH1B1	-0.856666666666667
CCDC100	0.5713
ARMC4	-1.784
FAM18B2	0.437
SLC44A1	1.24175
FBXO17	-0.6645
C6orf107	-0.7235
C19orf29	-0.3905
ZC3HAV1L	-0.57325
PARP6	0.1248
SULT2A1	-4.6865
C1orf159	-0.95425
TMC1	0.353
CHST14	0.123625
GAMT	-0.595166666666667
SMCP	0.238833333333333
TSPAN33	0.562083333333333
MIDN	-0.801375
NOX4	-0.1075
RNASEN	-0.5145
TBX1	0.586833333333333
SALL2	0.3605
C10orf35	0.96975
CYP2E1	0.168
LRFN2	0.830166666666667
ACO1	-0.290666666666667
IQCG	0.9607
MEGF9	2.421
TM7SF4	0.5775
PLEKHA1	0.685866666666667
STK33	-2
C1orf210	1.78325
SNUPN	0.1371
KIAA0406	-1.1672
C20orf29	-0.31725
TMEM55B	-0.03725
OSTM1	-0.9850625
CLCN7	-0.9815
OTP	-0.0155
FLJ23049	-0.5085
HEATR4	0.6655
MAP3K10	-0.1955
PCDHGA9	0.478
AMDHD2	-0.48
LCTL	-1.1635
PDCD2L	-1.3575
CABLES2	-0.85925
SLC5A9	-0.532
CLCA2	2.03566666666667
MGC16025	0.279
STRAP	-1.01916666666667
C20orf196	-0.3245
RRBP1	-0.612166666666667
NAT13	-0.3735
MAT2B	1.3365
CSNK1D	-1.31516666666667
KIR3DL1	-0.1035
PRKAG3	0.2735
ZNF599	1.5675
PRM3	-0.805
PER2	2.20316666666667
ASPHD1	-2.6775
PRMT6	-0.65575
KCNE1L	-0.464428571428571
FAM118A	-1.12866666666667
TAF4	-0.817
NDUFB6	-0.629
TRIM9	-0.358833333333333
PMFBP1	-1.1895
KY	1.9225
DKFZp762E1312	-4.80572727272727
CSMD1	-1.25125
TBP	-0.0611666666666667
OR1Q1	0.130833333333333
RETNLB	0.147
HPGD	0.345857142857143
DNAJC12	0.0556666666666667
FKBP1B	-0.95025
ANKRD24	-0.157666666666667
CXXC5	-0.306666666666667
IL3	0.016375
DRAM	1.6162
PTCH1	-0.646125
TP53BP1	-0.65175
SLC17A7	-0.370625
COL25A1	-0.5648
AMACR	-0.475166666666667
RHCG	0.0205
VPS13A	0.126333333333333
FAM55D	0.922
PRPF38B	-0.344333333333333
OSBPL6	-0.669
PFDN5	0.8889
CMTM6	1.54125
KCNK12	-2.31125
RP2	0.32625
C16orf52	-0.75225
PICK1	0.089
IFNE1	0.499166666666667
SEMA4B	0.611
TYRO3	-1.06925
OR12D2	0.221
CSNK1A1	0.61765
FANCF	1.112
LONP2	0.092625
TBL1Y	-0.9905
LDOC1L	0.302625
CCNC	0.46075
C3orf60	-0.072
CHKA	-0.5035
UBAP1	0.5965
MAP3K1	1.764
ANKRD9	-1.28
FAM92A1	-1.0365
GAB2	0.402625
AZU1	-0.44875
DIS3	0.0395833333333334
C21orf109	-1.09575
IQCB1	0.19175
SPATS2	-1.139
EFCAB3	-0.0215
PRB3	-0.6255
FUZ	-0.309666666666667
ZNF813	0.7705
BMPER	0.355666666666667
HEG1	0.11825
ALS2CR11	-1.03275
SURF2	-0.50825
PSMC1	-0.0280833333333333
OR2D2	0.261
SLC7A8	1.883
C4orf40	0.12
SPATA7	0.47425
MAZ	-1.53316666666667
PIN4	0.86625
PDE1A	0.66275
TAF6L	-0.357
OR2T34	-0.2525
KIAA0284	0.60025
ACADS	1.54445454545455
MKRN2	-0.6815
C18orf56	-3.78225
MS4A6E	-0.1095
GALNT4	0.5831
C22orf31	0.432
FLJ36070	-0.844
PSME4	-0.60325
TFG	-0.1731
EPHX2	2.089125
ANXA5	-0.034625
KRTAP1-1	0.6012
BATF	1.74225
KARS	-0.69725
MSTP9	0.7505
GPR26	0.130375
CCDC72	-0.113
TEF	1.60383333333333
FOXK1	-0.4565
PRLHR	0.433
EMX1	-0.2335
C11orf30	-0.134125
ICK	0.8005
THSD7B	1.0795
C21orf100	-1.2595
DUOX1	1.8785
EFCAB4B	-0.81725
UBE2G2	-1.02
C3orf54	0.91525
PARP1	-1.483
FAM60A	-1.19533333333333
C6orf146	0.05575
OR9K2	0.2985
DDX55	-1.30733333333333
RPS15	0.0800000000000001
ZNF618	0.769125
DKFZp686D0972	1.302
SSPO	-0.9805
SHFM3P1	0.739666666666667
CPA6	-0.66275
JAG2	1.45075
DEFA3	0.9745
PPBPL2	-0.172
CD34	4.746125
SLCO4A1	-3.046625
AFG3L1	-0.901666666666667
SHD	-1.59125
RP13-122B23.3	-1.01383333333333
PRKCSH	-0.590333333333333
DPH5	-0.517333333333333
HLA-F	1.82125
TBC1D4	0.45
RIG	0.0341666666666667
GLUD1	0.9375
HNRPCL1	0.703375
HBXIP	-0.7035
RNF207	0.024
APIP	0.08775
PLA2G3	-1.582
CCDC84	-0.17775
MYLIP	0.824923076923077
PHIP	0.532
AARS2	-0.634
DHX32	0.53925
SCAPER	0.372
MEN1	-0.286
NIP7	-1.0105
FLJ25404	-0.2115
FASTKD3	-0.63775
TMEM158	-2.32191666666667
RARA	0.74575
BDH1	0.0795
ANKRD16	-0.06375
CARM1	-0.3265
SS18	0.519166666666667
IKZF2	0.186666666666667
MYD88	0.469375
PML	0.58905
TAF1A	-0.644
CBFB	-0.837625
HIST1H3H	-2.84
C7orf29	-0.93725
COMMD4	-0.902166666666667
DPP3	-2.2535
DAB2	0.626125
LOC388882	-0.066
YPEL4	0.39375
AGBL3	-0.75225
LRP6	0.5735
SERPINH1	-1.07616666666667
TLE1	0.50625
CD244	1.30716666666667
ZDHHC15	0.71575
MGLL	1.6129
PLDN	0.7205
LOC654346	1.514
FAP	0.863
GPR37	-0.344166666666667
SCARA5	3.05066666666667
EBF4	1.71318181818182
LSM6	-0.055
MLLT1	-0.199125
SLC5A12	-0.21075
A2BP1	-1.11066666666667
COPS5	-0.236333333333333
TPM4	-0.8525
TNFSF4	-1.5795
ACADSB	1.31616666666667
HERPUD1	0.8115
BCL2L11	-0.715388888888889
CEP78	-1.590375
CDCA3	-3.283875
WBSCR19	0.4459
MYO1A	-2.42
PPEF1	-0.815166666666667
LOC440348	-0.265
CPEB2	0.9
BPTF	-0.133166666666667
RPL21	0.3293125
GSX2	-0.352
ADPRH	1.42133333333333
C17orf68	-0.134166666666667
KCNS1	1.25216666666667
MLLT6	0.4042
PIWIL4	1.71775
RNF26	-0.705
RAP1B	0.217
ADAMTS1	-0.1009
ZNF571	1.39675
P2RY6	-0.676
TRIM21	1.41816666666667
CADM3	-0.334
NLRC5	0.577833333333333
ADRA2B	0.0823333333333332
LOC90835	-0.490125
PCF11	-0.18125
LOC400451	1.41125
GLTSCR1	0.1398
C17orf88	-0.164
CDH16	-1.48275
FGF7	3.391125
PCSK4	-0.141166666666667
NPC1L1	-1.47966666666667
TAT	0.724
TBCA	-0.7165
MGC33407	-0.26475
GPR115	-1.10275
CYGB	0.7215
FNBP4	-0.499
C12orf43	-0.1365
CBL	-0.2822
CLECL1	1.758
PPAPDC1A	-3.1155
WDR25	0.216666666666667
SGCA	2.118
C22orf29	-0.1415
YIPF1	1.00875
GALK2	-0.7845
RAB3B	-3.52525
LOC440087	4.4895
UCP1	2.4165
REEP5	2.034125
FADD	-0.3215
FOXA1	2.486375
CACNA1A	-0.163833333333333
ABI1	0.867
GRIN2D	-0.05125
SLC1A4	-0.680666666666667
LOC401127	-1.79725
HINT2	0.16725
PLD4	1.11616666666667
ZNF286A	-0.994
ENY2	-0.73625
IL1F6	0.2065
PXDNL	0.00425
C20orf79	-0.24025
TNFSF13B	3.0085
DENND3	0.725
JARID1D	-3.2615
HIST1H2AK	-0.3105
LOC93349	0.2206
SSH1	-1.2384
ENSA	-0.642
LOC219854	0.587833333333333
CKAP2	-2.598
DKFZP564J102	1.41333333333333
MGC87315	-0.110666666666667
HNRPAB	-1.1375
AMH	-3.1035
ZNF526	0.32
BRUNOL5	-0.3103
CACNG3	0.206
TRPM1	-1.576
PPP2R1A	-0.308875
COL2A1	-0.97425
DDN	-0.617333333333333
FLJ25770	1.85183333333333
HK2	-1.02614285714286
ELOVL6	-2.193375
MDK	-0.2395
EPHX1	1.314
RASSF2	0.611
DKFZP434B0335	-0.024
DLX3	0.0975
PRTN3	-1.1005
AVPR1A	1.3415
C21orf125	-2.66475
TNFAIP8	0.171333333333333
GNB2L1	0.22875
CALCRL	2.931
SCGB2A2	7.91666666666667
UBXD7	0.185
ZNF674	0.015
TMEM35	1.005
BRSK2	-1.322125
HECTD3	-0.0106666666666667
TMEM188	0.49575
LGALS9	1.9755
SCARB2	1.38033333333333
USP34	0.141583333333333
C17orf28	0.728083333333333
ZDHHC23	-0.88175
AQP12B	-0.0895
SLC16A3	-3.45775
APLP2	0.885
ITIH2	-3.722
MICAL3	0.530625
TNNI3K	1.4591
HDAC2	-0.5455
PRR7	-1.5351
THBS2	-0.792
LOC751071	-0.491333333333333
CA2	2.59816666666667
RANBP17	-0.52675
RLN3	-0.19825
CRYZ	0.229833333333333
GBAS	0.672166666666667
TAS1R1	-0.05575
MPZL3	0.211
PCDH8	-1.02225
HSP90B1	-0.352833333333333
KCNK15	-0.869
TNIP2	0.0808333333333333
GPR146	2.13675
NOL6	-0.747375
SPC25	-5.61211111111111
STEAP2	2.707
VAMP3	0.295333333333333
TCIRG1	-0.51375
ZP4	0.106833333333333
PARL	0.28
TRIM39	0.441833333333333
KIAA1305	1.59725
CRNN	-0.164833333333333
GRN	0.496
HSH2D	-0.5895
SCAMP1	0.8715
KIAA1913	1.211
PTS	-0.83175
BANP	0.1705
PRKACG	0.085
ADCY6	0.694833333333333
C16orf46	0.44
CYP51A1	-0.642
DDC	-5.4465
ANPEP	1.5695
PROM1	3.52283333333333
SIGLEC10	1.3185
COPG	0.1705
FAM26E	1.11675
TRIP4	0.4405
SNX3	0.77
C1orf175	0.815
PPY2	0.0155
C14orf152	0.3585
FTSJ1	-1.138
DST	1.7897
LOC554235	-0.1345
GLRX5	-0.2905
C20orf12	1.0751
CAB39	0.615833333333333
MSH2	-1.20133333333333
PIP4K2C	-0.273125
CYLD	1.197
WTAP	0.733375
MGAT4A	0.886111111111111
TSC22D4	0.0034
CHRM2	-1.74
PPYR1	-0.2515
CCNH	-0.2715
RRM1	-1.14575
ECAT8	-2.772
LOC400120	0.43025
GABRA4	-0.08975
C14orf4	0.573833333333333
C1orf59	-0.5795
CTDSPL	1.09375
NHEDC2	-0.7135
PDE11A	0.5544375
KLHL29	1.77775
CD5	0.0247
TSPAN9	1.2375625
WDR67	-1.8675
THUMPD1	0.7434
C18orf17	-0.29275
CLYBL	0.930833333333333
FLJ13231	-0.50325
CMBL	0.120625
LECT2	-0.2755
NKAPL	2.82866666666667
LOC654780	0.4825
OR4C6	0.003
RAB30	0.474666666666667
TSSK4	0.1575
TMEM163	0.542
OSBPL11	0.28025
GNB5	-0.784
CCL21	3.451
C1orf121	-0.418833333333333
FMO2	3.44666666666667
RPTN	-0.123
MSTN	1.0095
VCL	0.236785714285714
FYTTD1	0.397
C11orf1	-0.061
CCDC88C	0.026625
HFE	-0.173333333333333
MOGAT1	0.8535
FAM125B	0.779666666666667
IRGQ	-0.199
RAVER2	0.42825
AKAP5	0.0015
SSSCA1	-0.57625
C11orf63	1.18975
ACTG2	3.1245
PORCN	-1.094
DTL	-3.58909090909091
TMEM151	-0.4955
FAM122C	-0.414
RSAD2	3.3209
BAT4	-0.067
KRTDAP	-0.567833333333333
MYH8	0.135625
CRTC3	0.6675
LRRFIP2	0.1635
INTS4	-0.279333333333333
TTN	-0.0558333333333333
SLC26A5	0.759
PLLP	-0.07825
RGS6	0.665625
SRGAP3	0.951125
ZNF525	0.236833333333333
NBR2	-0.1515
C13orf1	-0.1752
ZNF137	0.4525
CEP27	-1.6825
BEST2	-0.2
RNF121	-0.452
DMRTC2	-0.6465
C8orf76	-0.50625
BCCIP	0.025
MEST	0.45025
HTRA2	-0.594
ANGPTL2	1.364
ILKAP	0.286333333333333
ERAS	-0.0335
HBS1L	0.03575
CPA5	-0.29
TMEM30A	0.783166666666667
CD300LF	1.80983333333333
WISP3	4.1325
CRK	0.271
PDS5A	-0.5674
BRPF3	0.148666666666667
NEDD9	0.830875
SMPDL3B	0.99
PSG6	0.918
PSMD13	0.1835
ETV5	-1.2454375
OR51A4	0.433
BTBD7	1.322
GSTO1	-0.94475
hCG_16001	-0.375
MAD2L1BP	-0.324
COX6A2	-0.0265
SCNN1A	1.338
LSM1	-0.099
UGT2B11	1.90025
IDUA	0.799
PPP2R3C	-0.338166666666667
COX11	-0.241666666666667
PDZK1	0.4785
ZNF443	0.751666666666667
MGC21874	1.08183333333333
ZNF323	1.4778
KRTAP10-10	0.0155
CXCL6	1.629
SLC34A2	2.9175
LOC284402	0.406
NPTN	1.08266666666667
UPP1	-2.31925
SLC6A9	-0.6955
OR7G3	0.33225
CISD1	-1.06133333333333
ZNF545	0.644333333333333
SYT14	-0.4445
NT5C3L	-0.156833333333333
ZNHIT3	-0.280166666666667
SNRPD3	-0.56825
KIAA0701	-0.030375
UNC93B1	-0.119
GMNN	-1.664
SPCS2	0.152666666666667
LOC388524	-1.0555
NAPRT1	-0.44225
PNLIPRP1	-0.12525
OR6V1	0.1075
PRKAB1	0.225
EYA4	-3.40183333333333
KIF20A	-4.2085
ALG10	-0.93725
ITPKC	0.718333333333333
LMX1B	0.179833333333333
RPUSD4	-0.222833333333333
C7orf34	-0.0216666666666667
DLGAP2	0.976375
PFN1	-0.561
MICALL2	-0.904083333333333
ZNF654	0.552
SS18L1	-0.71
SLC16A8	0.717
MKI67IP	-0.157833333333333
ITGB3	-0.577625
TCEA3	1.72416666666667
CEP152	-1.75325
CLIP1	1.109125
ZNF75	0.78575
ATP5C1	-0.338
NUDT5	-1.434
PSCDBP	1.46775
UBP1	-0.05725
RBM27	-0.36925
C13orf15	2.326375
ZNF282	-0.190166666666667
ZNF222	0.3652
COL10A1	1.19925
PRDM15	-0.415
TTTY5	0.1845
FAM9C	-0.2305
C20orf67	0.23325
GNG13	-0.358
F12	-2.12525
C1orf41	-1.144
CPXCR1	0.133
GSK3A	0.035875
SUPT6H	-0.155666666666667
PI16	3.61683333333333
ELL2	-0.0244166666666667
C9orf167	-1.71283333333333
PVRL3	-0.7789
FLJ38596	0.4245
ADAM20	0.09175
GPR89A	0.1825
GPR87	1.853
ZNF30	0.61825
SMR3B	1.09025
ZNF770	0.192125
TRPC4AP	-0.454166666666667
DKFZP686E2158	0.445
C2orf28	0.479333333333333
FREM1	1.71283333333333
LAMA4	1.25566666666667
ADPRHL2	-0.19375
EIF4G2	-0.0541666666666667
GUCA1A	0.3665
CTNNA2	-1.1265
NUDT15	-0.270833333333333
CEPT1	0.144833333333333
ZNFX1	0.5084
CCDC92	1.01275
TDRD1	-0.2975
KCNK5	-1.84833333333333
ETNK1	-0.055
LTA	-0.0785
TTPA	0.624333333333333
B3GALNT2	-0.814125
SC65	-1.65716666666667
PEX5L	-0.8845
EPS15L1	-0.58525
MGEA5	0.574875
HIST1H3A	-0.02925
ING1	0.3335
BCAT1	-3.66875
ORC6L	-4.05981818181818
KLK11	-2.59216666666667
C19orf28	-2.145
DNER	-3.269875
MED22	-0.4315
ETV6	1.37216666666667
CHAC2	-2.674
CD300E	-0.075
CEBPB	0.6385
ZNF398	0.09425
LRCH3	0.231
HMGA1	-2.56566666666667
CAPN7	0.445666666666667
MGC5566	-2.9465
CCL3	2.687
NANOS1	0.57525
ZFYVE19	-0.06125
APITD1	-0.843
PARD3	0.779125
IRAK4	-0.189333333333333
SERPINI2	0.0605
CEP170L	-0.393
TTC9	2.233375
MYOM3	-0.41425
MLPH	0.819375
LOC222699	-0.0065
NRG1	-0.118166666666667
TBC1D9	2.98045454545455
TTK	-3.82733333333333
ZNF557	0.3687
DDX41	-0.647
FANK1	1.666
UBE2D2	-0.306625
PSMB10	0.805125
MYH7B	1.173
GABARAPL2	0.496125
MARVELD2	1.05766666666667
DGCR2	0.880166666666667
UNC45A	-0.1935
C6orf72	0.871
ZNF683	4.39325
GIT2	0.465
CASK	0.237833333333333
C14orf161	2.22383333333333
LRRC44	0.7495
TIFA	1.10375
UTP11L	-0.555625
C6orf65	-1.3335
FDPS	-0.7585
DUSP9	-2.4332
SLC17A8	0.318666666666667
OR51G1	0.142333333333333
NANS	-0.715
OLFML1	1.721
ATP10B	-0.578
NPAS3	1.92525
PRKCA	-1.9836
GGA2	-0.0415625
LCE4A	0.5875
SPANXN3	0.01025
CCDC115	1.82125
SDCCAG3	-1.12875
GLIPR1L1	0.264
TTC1	0.0775
C17orf76	0.14225
MAD2L2	-2.09
HIPK1	0.2436
LRRC3B	2.21383333333333
CLN3	-0.264363636363636
C17orf47	0.133
FMN2	-0.568875
TUBB1	-1.06275
WAPAL	-0.0383333333333334
C3orf21	-1.348375
SCN5A	-0.2008
SMYD1	1.82875
BEX5	1.381
ZNF192	0.221
SEC22A	-0.185833333333333
GRIA2	1.58757142857143
KIAA0825	-0.75075
NUSAP1	-4.19763636363636
LANCL1	-0.154375
C15orf40	0.2485
ZNF645	-0.00312499999999999
GPR61	0.11525
NLRP14	0.407
SNX21	0.3094
C1QTNF8	-0.764
C17orf46	0.34425
IFNA8	0.8195
SPRR1B	-1.64383333333333
FLRT1	-0.915
SNX17	0.000833333333333332
ASB2	0.811
HBG1	-4.815
RPRML	-1.482
JOSD2	-0.280166666666667
PLSCR3	0.6595
SPOCD1	-1.94333333333333
RAB39	-0.4685
GHRH	-0.0265
ITIH5L	-0.00149999999999999
C17orf37	-0.03125
SMCR8	-0.32325
DPY19L2P3	0.750166666666667
IL11RA	1.92033333333333
GDF3	-3.97766666666667
RPS6KB1	-0.897416666666667
DNAJC19	-0.1166
TOP1	-0.43075
CRCT1	-0.768625
MPST	-0.27475
DPM2	-0.814
FAM38B	-1.02333333333333
SLC18A1	-2.01466666666667
FARP1	0.152166666666667
PAX7	-0.241
TUBD1	-0.835
GNL3	-0.541625
BTG2	1.87153333333333
NDUFS6	-0.89975
C1orf79	-0.783
ERAL1	-0.5985
ECHS1	0.66075
VPS4A	-0.232
CYP11A1	-0.093125
ABCC6	-0.689857142857143
PBX4	-1.094
MOSC1	1.170875
NCF4	0.903
HYMAI	0.298
NAGPA	-0.747625
OTOP2	-0.008
ACOT12	-0.09425
MTHFD2L	0.336125
LOC441376	2.042
C19orf34	-0.1925
RAB1B	-0.24275
ALDOAP2	-1.888
NTRK1	-1.54783333333333
ARTS-1	0.8824
SLC6A11	-0.555
NAP1L2	1.607
CNGB1	-0.276166666666667
EPB41L4B	1.86291666666667
FAM134B	1.1845
HS3ST3A1	-2.38216666666667
CPXM2	5.52075
SIRPB2	0.353
CHORDC1	-1.22366666666667
TRIB3	-2.4585
SLC2A5	0.05675
C2orf49	-0.927
DDX5	0.07
OR5L1	-0.5455
ANAPC4	0.152666666666667
ZSWIM1	0.2545
LOC93622	-0.209875
KCNK3	0.1038
RP11-35N6.1	0.086875
ZFP161	0.9775
AQP9	1.46075
SLC15A2	0.71
MREG	-0.1075
OR9I1	-0.2465
PDLIM2	0.2015
ADAM7	0.2035
GSTCD	-0.2645
WDR21A	-0.089875
SLC12A8	0.862166666666667
TMEM174	-0.028
IGSF3	0.0159166666666667
LRRN1	0.656
LOC402117	-0.06725
SRPK1	-1.63283333333333
LY6K	0.116625
NFIA	3.2115
PTCD3	-0.825875
LEP	3.4385
PCDH21	-0.226166666666667
MAPKAPK2	-0.0813571428571428
NMNAT1	-0.537166666666667
LHFPL2	0.667625
C9orf43	0.2465
DIP2A	-0.968166666666667
ACTR8	-0.102125
CCDC34	-0.25575
PTPN22	-0.1365
ITGA3	-0.278125
FAM129C	0.5135
RABGGTA	-0.139166666666667
UNC45B	0.48775
KIAA1033	0.349125
ZNF510	0.5035
CYP2D6	-0.364833333333333
SLC26A10	-0.715
STX8	0.49175
LUZP1	0.1305
WDR89	-0.162833333333333
EIF4G3	-0.5618
C5AR1	0.3845
ZNF623	-0.307
A2M	2.36825
TGM7	0.252
GRPEL1	-0.580166666666667
LMNB2	-2.0441
ROCK2	0.0188333333333333
SNX16	0.780125
CCDC66	0.5615
ANXA3	2.27
KIAA1609	0.046125
EED	-0.63375
RNF32	0.136666666666667
HES1	1.6418
CLC	1.352
ISL1	0.234666666666667
KIAA0528	0.3585
MANEA	0.774375
C1orf61	-1.428
hCG_2001000	-0.21425
RAPGEF6	0.2471
KIAA0020	-0.426666666666667
NEIL1	1.87275
C16orf45	-0.184875
RBM10	-0.574666666666667
C10orf125	-1.239375
MRS2L	-0.89375
DNAH17	-0.929875
C19orf10	-0.985
C1orf160	0.1965
SLFN12	1.1255
EXOC3	-0.026
HIST3H3	0.5195
NCOR2	0.2775
TNFRSF9	-0.30075
MFSD8	0.326
ALX1	-3.304
NOL1	-1.6095
PODN	2.5415
TIAL1	-1.036
HIST1H1E	-2.58725
NPY6R	0.26925
TM4SF4	2.18775
CORO2A	-0.33775
ETNK2	-0.143666666666667
APOE	-0.1962
ANGPT4	-0.691
HDGF2	-0.613
G30	0.4125
ST8SIA4	-0.30225
F2RL1	0.677625
FAM19A4	-2.83425
CCAR1	-0.97575
B3GNT7	-0.39475
OPHN1	0.0115
DSCR6	-1.7685
C21orf13	1.276
GAS2L1	0.332
RFX3	0.3655
COPS4	0.324125
BCHE	-2.0845
BCL2	2.99125
HBZ	-3.11633333333333
ARL13B	0.438375
MAPBPIP	0.171
MYO15B	0.7435
SPZ1	0.32375
KIAA1324	3.38622222222222
PLCL2	0.30825
C4orf29	-0.42325
WDFY2	-0.04
ZNF284	-0.517
NAALADL1	1.1065
DUSP5	0.602166666666667
PXDN	-0.340125
SLMO1	-0.9485
TNXB	0.309
BIRC7	-1.87575
A4GALT	0.784833333333333
TIMM22	0.114
FAM110C	-0.05975
TOMM34	-1.074125
ABHD9	0.22
ADAM32	1.3625
CRHBP	2.44275
AQP2	-0.019625
LOC130355	0.69025
ZNF187	1.00833333333333
ZNF816A	0.7795
F7	-0.513125
CNOT1	-0.5517
SLC13A4	-0.825
ZBTB11	-0.052
B3GALT5	-0.145
EXOC2	0.7935
IRS1	0.7448
TMEM1	0.0691666666666666
MRPL34	-0.373166666666667
SAMM50	-0.343
CDC42EP3	0.5415
HSF2	0.1076
MFN2	0.44825
TSPAN7	1.18533333333333
NUCB1	0.0413333333333334
RHOH	-0.02925
ARL16	0.0005
TACR1	0.30525
SFRS5	0.383833333333333
SNX25	-0.024875
RHBDF1	0.608666666666667
PCDH18	3.6485
HMG1L1	0.2165
MYO5C	1.42525
MAPK10	1.101
LDHAL6A	-0.0651666666666667
NUDT12	1.15333333333333
NCAM1	-0.0445
GLIS2	-0.514
GGTL4	-0.73225
DAPP1	0.924
ATF7	0.6235
KIAA0748	-0.28625
NFIL3	-0.071
TM6SF1	0.9436
SEZ6	-0.132625
NANOS3	-0.17
DNAJA3	-0.612666666666667
CLDN6	-3.1655
CIITA	2.49
EPHA4	0.103
FANCC	-0.645
CMTM3	0.3095
PSG3	0.16
MRPL15	-0.8145
C21orf59	-0.31025
PLCXD2	-0.33025
C2orf34	-0.193125
UBE2L6	0.98475
MED14	-0.6075
HP1BP3	-0.1577
C6orf208	-0.5165
TPBG	0.542
OSR2	0.3845
XPC	0.303
KLHL7	-0.588333333333333
CCR3	-0.0583333333333333
AGTPBP1	-0.413666666666667
PCSK6	-0.7504
STAT5A	0.0426
FAM18B	0.657
LONRF2	0.0551666666666667
PTPN2	-0.50925
SF3A3	-0.336
EFCBP2	-0.374
HCFC1	-0.250166666666667
AHNAK	1.16585
ACTR5	-0.3465
KIF14	-4.65128571428571
TENC1	1.5655
HEATR5B	1.0485
YIPF2	0.1125
MYEOV2	-0.206
DUSP18	1.15225
KIAA1012	0.51725
AHR	0.956333333333333
C17orf53	-2.07283333333333
PTPRH	-3.60375
ATP6V1C1	0.0359
TAS2R3	0.055
LOC440356	-1.75125
COQ10B	0.5485
PSMF1	0.4505
SORBS2	3.59183333333333
NFE2L2	0.7975
TMCO7	-0.4015
SH3PXD2A	-0.0118
SH2D2A	-1.01525
SPINK5	-1.002
MRPS24	-0.743
OPA3	-0.586
TRAF7	-0.561333333333333
C4orf35	-0.0178333333333333
MT1G	-0.160375
MGC39545	0.378
HS1BP3	-0.2808
OR2B2	-0.1835
CHRM4	-0.185
SFRP2	2.46816666666667
RIC3	2.65225
ART1	0.136
C6orf1	0.165875
DUS4L	-0.48675
C10orf104	1.1175
TNFAIP6	0.6635
RTEL1	-1.786
