Hybridization REF	TCGA-AN-A04A-01A-21R-A034-07
LACTB	0.0636666666666667
ZKSCAN2	0.5215
C5orf35	0.173
ANKS3	-1.42075
RBM28	-0.94425
DKFZP586P0123	-1.099
HNRNPA1	-0.0793333333333334
BCAS3	-0.402833333333333
FLJ20184	-0.0195
POLA2	-1.67666666666667
TMC7	0.625333333333333
HSD17B6	3.1525
ZNF658B	0.293833333333333
TTTY10	-0.244833333333333
RANBP9	0.303833333333333
CPNE7	-1.48816666666667
EVL	1.34729411764706
LNX1	1.14166666666667
IFNA21	-0.371
CFD	0.027
PYCARD	0.0075
MYBPC2	-0.6065
ENPP3	-2.28966666666667
ACSL4	-1.244
LOC440258	-1.3425
TMEM176B	3.33566666666667
SOX2	-3.75875
SCO1	-0.139833333333333
COMT	0.582
AOC2	-0.1625
PDLIM5	1.35985714285714
SPHK2	0.3705
NXPH2	-0.083
GPR108	0.531666666666667
RAD51L1	-0.239333333333333
TMEM54	1.14725
LETMD1	-1.10455555555556
SLC6A17	0.52
KRT75	3.1515
STT3B	-0.475833333333333
CD3EAP	-0.0636666666666667
TMEM63A	-0.4025
DUSP13	-2.106
CD1C	-0.72
LASS2	0.932833333333333
AVP	1.462
PITPNM1	-1.2875
FLJ22795	-1.002
MCTP1	-2.54775
TRIM68	-0.505833333333333
UCK2	-0.3825
ABHD1	1.136
FAM50A	0.508
RNASEH1	-0.702333333333333
PCP2	0.849833333333333
OR52H1	0.2115
C20orf149	0.2975
RBP5	0.566666666666667
HYAL3	-0.17075
CLPB	-1.01
SMNDC1	-0.157
DONSON	-3.11183333333333
FLJ27523	-0.12325
BARHL2	0.133
SLC30A9	-0.0953333333333333
TMPRSS11B	0.16775
E2F8	-1.92833333333333
CCDC25	-0.311083333333333
C14orf48	0.136
C20orf116	1.133375
TSPAN11	0.4775
YIF1B	-0.899333333333333
FAM12B	0.518
OR1L6	0.2655
HPN	-0.2141
NBN	-1.447625
C14orf94	-0.617
OCLM	-0.45
ZSCAN18	0.6688
L3MBTL	-2.0104
TSTA3	1.45983333333333
RAC1	0.33425
C19orf15	-0.3455
NFE2	-3.3675
KLK14	0.213
ARSF	0.5145
MAST2	0.0351666666666667
AMICA1	1.90316666666667
GTF2A1	0.03625
ATP1A3	-0.1555
TC2N	2.79
PNKP	0.149
ODZ2	3.14325
MATR3	0.332375
S100P	1.79025
KRT82	0.1235
CA13	-0.6667
PROZ	0.0248333333333333
AASDH	0.440428571428571
C19orf40	-0.934333333333333
DCK	-0.500923076923077
FAM5C	-0.92275
SLC6A4	-2.428
MID1IP1	-0.02925
TESSP5	0.317
TMOD4	-0.87
DOCK2	-1.1155
TUG1	0.5865
NUP214	-0.5505
DPYSL2	0.231136363636364
GOLM1	1.64808333333333
MPFL	0.4295
SOX13	1.04375
SDCCAG8	0.7031
KEL	-2.45733333333333
NUP210L	-1.88425
GK	-1.0775
DNAJB1	0.4915
ALPK3	0.411
CHID1	-0.1649
CYLC2	0.0521666666666667
IKZF5	0.49025
C8orf51	0.9275
PPM1J	0.2805
GIMAP8	2.8575
GPR101	0.0785
NR2F1	-0.8245
ACAD8	-0.53725
RBM35A	1.40575
GNAI2	0.642666666666667
METTL8	-0.304833333333333
SLC39A7	-0.99125
FBXO8	0.787
CAMK1	-0.81375
RFC3	-2.11925
FAM129A	-0.277928571428571
ILF2	-0.43575
FGFBP3	-1.7155
NOM1	-0.6105
PSMA3	-0.198
ASCC3	-0.389
ZYG11A	-3.2545
SOX21	-0.760375
LYRM1	0.69875
DEFB1	0.705
LOC91431	-2.78566666666667
OR7C2	1.699
FAM46B	-1.26725
TMEM18	0.14925
ARHGAP30	0.167
TMEM86A	2.00141666666667
EPHA2	-1.37783333333333
C10orf46	1.05845
TCHH	-0.503333333333333
C3orf30	-0.2684
LOC285636	-0.0956666666666667
PAIP2	0.48525
CYP2U1	-0.193142857142857
C12orf34	1.15125
SARS2	-0.561333333333333
ZCWPW1	-0.53375
SAMD12	1.332875
KIAA1430	0.164875
ACAT1	-1.027
MEOX1	0.756333333333333
ADAMDEC1	4.8275
PHKA2	-1.26475
CARD11	-1.44966666666667
CALML4	-1.6335
TSSC1	-0.40525
TMEM45A	0.481222222222222
MPP7	1.05775
POU1F1	0.78475
SLC2A13	-0.5995
FBN2	0.543769230769231
ZC3H7A	-0.2429
LAIR2	-0.1825
ST3GAL1	-0.099
LCT	-2.45875
GEMIN8	0.5205
KLF16	0.8616
HIF3A	0.0392
FAM44A	-0.2145
AQP10	-1.2198
PLA2G2A	-0.743
FOLH1	1.30183333333333
C20orf186	0.201
MAPKAP1	-0.27925
SPRR2D	-0.94375
UBQLN4	-0.214666666666667
RSHL1	0.552
PIAS3	0.1175
MRPL24	0.4865
GREB1	-1.43525
FAM27E3	-1.946
NUP62CL	-2.15325
NEUROG3	1.164
REEP3	1.43175
MARK1	0.243625
LMBRD1	0.1885
PRPF19	-1.04
PNMT	-0.492
CTGLF1	-1.902
SLC25A16	-0.332
EIF2B3	-1.2325
RPA2	-1.0405
PAK6	0.3475
CCDC26	-3.371375
SEMA3E	0.92725
MXD4	0.6388
TNFSF10	2.7302
SMARCB1	0.1435
DTX3L	1.31716666666667
PLA2G4E	0.2025
PPAP2A	0.88375
ULK1	-0.000916666666666672
TAS1R3	-0.1945
SLC2A3	-2.92654545454545
ARID3A	-1.76
GNG5	-0.616
ACOX1	0.1171
KIF5B	0.4045
NUP153	-0.61675
MUC7	-0.3605
CSDE1	-0.862214285714286
CLPTM1	0.3535
C3orf23	-0.409875
LRRC17	0.61
TTYH3	-0.802625
ATP5B	-1.226
ELF3	1.1892
CPSF3L	-0.107
ZNF665	0.126166666666667
TLR6	0.2754
GPI	-0.575
RAD9A	-0.47875
NDST4	-2.994
AGPAT3	0.0143333333333333
MAGI3	1.17033333333333
ADORA2A	2.171625
CACNG7	0.4915
CAMK2D	-0.426928571428571
CCHCR1	-1.18625
RPS27A	-0.81175
OR10G7	0.303833333333333
GCM2	0.8245
FAM135B	0.598625
E2F1	-1.39975
PLCB3	-0.516
OR2AE1	-0.0925
COIL	0.7115
CDC25C	-1.6165
RAB11FIP2	0.0900909090909091
TSC2	0.462
CTGLF5	-2.606
CCDC108	-0.00549999999999997
OR13C4	-0.265
C10orf81	3.57125
PTPRB	0.817
ACP2	0.47625
LAG3	-0.15425
MRPL54	0.29675
LOC201175	1.2405
ITGB1BP3	-0.016
SPTAN1	0.446833333333333
SIPA1L2	-0.02975
RCAN2	-0.0445
CDX2	1.472
ECOP	0.04475
ACTR1A	0.6835
PPARG	-2.00416666666667
BBS10	0.3975
TMEM44	-1.117375
BPIL2	0.785
CITED1	-0.74075
IRF6	4.43775
PRDM4	0.5585
RRP9	-0.312666666666667
OR10H4	0.60375
IL31RA	-0.095
GNB1L	-0.502333333333333
MYBL2	-2.421625
ZNF407	0.611833333333333
PPIG	-0.736333333333333
TTC18	-0.7375
RPSA	-0.336
MAPT	2.16914285714286
MRE11A	-0.327769230769231
C8orf37	-0.130666666666667
RASGEF1C	-0.252833333333333
STBD1	0.641
CTAG2	-0.8185
MGAT5B	-0.428833333333333
ECM1	1.649875
RLN1	-0.971
PARP14	0.52475
EPB41L1	0.555
HOXA3	-0.318833333333333
MAGEA9	-3.7105
RPS8	-0.8265
RPS19BP1	-0.0595
FOXJ2	-0.089875
C10orf76	0.382625
IL17RE	0.13125
C10orf65	-0.85175
ZNF343	0.580833333333333
FBXO33	0.85475
UHMK1	0.7741
LY6G6C	0.8025
FGF19	-1.6345
C14orf128	-0.123333333333333
IFIT2	2.032875
TIGD1	0.15375
S100G	-0.338
GUCY1B3	2.5875
NR3C1	-1.1183
CORO1B	0.233833333333333
PARP11	-0.25125
DNALI1	4.71633333333333
OR4N4	0.419625
MAP2K6	-1.076
FSTL4	1.03375
ANKRD47	0.739
TMEM171	-0.4405
PNLIP	0.29175
YY1	0.303
CCDC138	-2.4395
AASDHPPT	-0.2668
CKS1B	-1.2496
MCM3	-2.15183333333333
ANAPC7	-0.520666666666667
FAM110A	1.75275
CDC37L1	0.610333333333333
THTPA	0.33875
NBPF20	-1.1825
WDR24	0.6
NPTX2	-1.499
CBLB	0.783333333333333
CETN1	0.784166666666667
RPUSD1	0.53
FAF1	-0.8525
CDK6	-2.463
HMX2	0.307
CSK	0.0535
TEAD2	0.2985
SNAP25	0.10275
TUFT1	1.0969
TMTC3	0.991833333333333
LCK	-2.33125
SGOL1	-1.921
AKTIP	1.1945
FURIN	1.2175
SOX12	0.493
DEFB103A	-1.59033333333333
RAMP1	1.41325
KIR3DX1	0.541
GAS2L3	-1.1955
PDE8A	-0.8937
EDN3	2.413
GMIP	0.00975
SF3A2	0.8725
FN3KRP	-0.7915
SMAD7	0.5995
RHBDD2	0.46
OR11H6	0.239
PPP1R3B	0.8107
C9orf23	0.07175
CADPS	-1.81775
GOLGA8A	-4.724875
TMEM57	0.731333333333334
RGL3	-0.2425
S100A14	3.30125
FGFR2	0.159533333333333
XRCC3	-0.782
RTN4RL2	0.70825
MGC3771	0.445
GH2	0.435333333333333
BTBD2	0.94725
LMO2	-0.4565
RDBP	-0.819625
ACRBP	-1.218
AMY2A	-0.46275
DUOXA1	1.4395
PTK7	0.963666666666667
TWF2	-0.228
FAM80A	0.33175
TNNI2	-2.7795
GLT25D1	-0.687333333333333
OCC-1	-2.0945
CYC1	-0.1995
RPL22	-0.148681818181818
MORN3	0.688166666666667
DISP1	0.8505
PRB2	0.2115
CHUK	-0.092
HR	0.25975
CCDC134	0.026
DENND4B	-1.489
C14orf130	0.349625
RAB33A	-1.15375
DCST2	0.596
TNMD	-2.27375
PEX7	0.84125
FAM62A	0.0495
SRD5A2L	0.7235
IL22	-0.0283333333333333
RPS26	-0.763166666666667
HOXC5	1.263
SPATA6	0.1485
FLJ38482	0.492375
ZNF234	1.634
C18orf22	0.255
SPATA22	-0.05425
THOC1	-0.219
CYP7B1	2.09075
KCNC3	-0.116
C8orf42	-0.7245
ALDH1B1	0.3565
CCDC100	-0.1082
ARMC4	-2.3535
FAM18B2	0.08125
SLC44A1	0.759
FBXO17	-1.5305
C6orf107	-0.66575
C19orf29	0.20325
ZC3HAV1L	0.0815
PARP6	-0.534
SULT2A1	-3.611875
C1orf159	-0.58775
TMC1	1.49875
CHST14	0.345375
GAMT	-0.0785
SMCP	0.386333333333333
TSPAN33	-0.653833333333333
MIDN	0.332375
NOX4	3.52275
RNASEN	-1.1416
TBX1	1.595
SALL2	0.906
C10orf35	0.27975
CYP2E1	-1.198625
LRFN2	1.66983333333333
ACO1	-1.9545
IQCG	0.1503
MEGF9	1.5305
TM7SF4	1.293
PLEKHA1	0.884066666666667
STK33	-2.91633333333333
C1orf210	1.344
SNUPN	0.11
KIAA0406	-0.7936
C20orf29	0.76575
TMEM55B	0.099
OSTM1	-0.8964375
CLCN7	0.113
OTP	0.01175
FLJ23049	-0.62325
HEATR4	0.4315
MAP3K10	0.684166666666667
PCDHGA9	-0.186
AMDHD2	0.2485
LCTL	-1.6365
PDCD2L	-0.27775
CABLES2	-0.60675
SLC5A9	-0.2695
CLCA2	0.183833333333333
MGC16025	0.388
STRAP	-1.19083333333333
C20orf196	0.129
RRBP1	0.4505
NAT13	-0.641
MAT2B	0.023625
CSNK1D	-0.777333333333333
KIR3DL1	0.6765
PRKAG3	-0.9365
ZNF599	0.809
PRM3	1.2425
PER2	1.513
ASPHD1	-0.822
PRMT6	-0.325
KCNE1L	-0.493214285714286
FAM118A	-1.0225
TAF4	-0.25625
NDUFB6	-1.015
TRIM9	-1.2596
PMFBP1	-0.855
KY	1.193
DKFZp762E1312	-2.63045454545455
CSMD1	-0.5555
TBP	-0.378833333333333
OR1Q1	0.682
RETNLB	0.52925
HPGD	0.0617857142857143
DNAJC12	3.89566666666667
FKBP1B	-0.56825
ANKRD24	0.296833333333333
CXXC5	1.14966666666667
IL3	-0.306428571428571
DRAM	1.3497
PTCH1	-0.752375
TP53BP1	-0.1745
SLC17A7	0.0542857142857143
COL25A1	-0.7508
AMACR	0.114
RHCG	0.49675
VPS13A	-1.75683333333333
FAM55D	-0.336
PRPF38B	-0.581666666666667
OSBPL6	0.43425
PFDN5	0.4812
CMTM6	0.649375
KCNK12	-0.30075
RP2	-0.41925
C16orf52	-1.753
PICK1	0.184
IFNE1	-0.621
SEMA4B	1.27625
TYRO3	-2.148
OR12D2	0.387
CSNK1A1	0.32655
FANCF	1.1445
LONP2	1.01525
TBL1Y	-0.164
LDOC1L	0.41725
CCNC	-1.02575
C3orf60	-0.521
CHKA	-2.08975
UBAP1	0.024
MAP3K1	1.672
ANKRD9	-1.388
FAM92A1	-0.840333333333333
GAB2	0.00174999999999997
AZU1	-0.172
DIS3	-0.319916666666667
C21orf109	-0.8
IQCB1	-1.79525
SPATS2	-0.529333333333333
EFCAB3	-0.53725
PRB3	0.454125
FUZ	0.163833333333333
ZNF813	0.095125
BMPER	-0.45
HEG1	0.048875
ALS2CR11	-1.345
SURF2	-0.149
PSMC1	-0.0733333333333333
OR2D2	0.3355
SLC7A8	1.9385
C4orf40	-0.2035
SPATA7	0.87575
MAZ	-0.0329166666666667
PIN4	-0.57175
PDE1A	-0.486625
TAF6L	-0.347
OR2T34	0.1725
KIAA0284	0.07675
ACADS	-1.32936363636364
MKRN2	-0.4425
C18orf56	-2.977
MS4A6E	0.592666666666667
GALNT4	0.8183
C22orf31	-0.384
FLJ36070	1.232
PSME4	-0.34475
TFG	-0.3572
EPHX2	-1.143125
ANXA5	-0.27175
KRTAP1-1	-0.0677
BATF	2.723
KARS	-0.7015
MSTP9	-0.7555
GPR26	1.03675
CCDC72	0.04225
TEF	0.641833333333333
FOXK1	-1.1125
PRLHR	1.0315
EMX1	1.221
C11orf30	-0.520125
ICK	-0.08825
THSD7B	0.07325
C21orf100	-0.554
DUOX1	1.9905
EFCAB4B	0.53825
UBE2G2	-1.39616666666667
C3orf54	0.63825
PARP1	-0.7765
FAM60A	-0.0961666666666667
C6orf146	0.55475
OR9K2	0.2055
DDX55	-1.306
RPS15	0.351833333333333
ZNF618	0.6858125
DKFZp686D0972	1.4085
SSPO	-0.8455
SHFM3P1	0.7075
CPA6	-1.01625
JAG2	0.41925
DEFA3	0.29275
PPBPL2	0.4624
CD34	3.759875
SLCO4A1	-3.174
AFG3L1	-2.36966666666667
SHD	-0.25275
RP13-122B23.3	-0.277666666666667
PRKCSH	-0.655333333333333
DPH5	-0.22
HLA-F	1.38325
TBC1D4	-0.34775
RIG	0.1565
GLUD1	0.167333333333333
HNRPCL1	0.610125
HBXIP	-0.718
RNF207	-0.434
APIP	-1.3425
PLA2G3	-0.9925
CCDC84	-2.89875
MYLIP	1.42776923076923
PHIP	-0.37025
AARS2	-0.484666666666667
DHX32	0.5175
SCAPER	0.487
MEN1	-0.304125
NIP7	-0.689
FLJ25404	0.943
FASTKD3	-0.77175
TMEM158	-0.86025
RARA	0.843
BDH1	0.7065
ANKRD16	0.856
CARM1	0.168
SS18	0.149333333333333
IKZF2	-0.533666666666667
MYD88	0.518375
PML	0.84235
TAF1A	-1.14875
CBFB	-0.318625
HIST1H3H	2.23133333333333
C7orf29	-1.458
COMMD4	-0.168666666666667
DPP3	-1.0405
DAB2	0.560125
LOC388882	0.218
YPEL4	-0.416625
AGBL3	1.2635
LRP6	-0.4313
SERPINH1	0.50575
TLE1	-0.89425
CD244	0.1725
ZDHHC15	0.387
MGLL	1.1672
PLDN	0.744333333333333
LOC654346	1.343
FAP	4.07675
GPR37	-1.338
SCARA5	0.615166666666667
EBF4	2.27254545454546
LSM6	-0.393
MLLT1	-0.2990625
SLC5A12	0.079
A2BP1	-0.582333333333333
COPS5	-1.083
TPM4	0.505714285714286
TNFSF4	1.52666666666667
ACADSB	1.80477777777778
HERPUD1	0.132
BCL2L11	-0.259388888888889
CEP78	-1.363
CDCA3	-1.85325
WBSCR19	-0.5718
MYO1A	-1.9595
PPEF1	3.64616666666667
LOC440348	-1.13075
CPEB2	0.387
BPTF	0.657666666666667
RPL21	-0.4334375
GSX2	-0.243
ADPRH	0.769166666666667
C17orf68	0.5645
KCNS1	-0.381333333333333
MLLT6	-0.1631
PIWIL4	-0.70825
RNF26	-1.0415
RAP1B	0.35925
ADAMTS1	-2.3193
ZNF571	0.8715
P2RY6	-0.206
TRIM21	0.719666666666667
CADM3	0.89075
NLRC5	0.096
ADRA2B	-0.371833333333333
LOC90835	-1.288625
PCF11	-1.01675
LOC400451	2.09025
GLTSCR1	0.5471
C17orf88	-0.394333333333333
CDH16	-0.64
FGF7	1.464
PCSK4	-0.7505
NPC1L1	0.0875
TAT	0.449714285714286
TBCA	-0.4805
MGC33407	0.1805
GPR115	-0.18
CYGB	0.6075
FNBP4	-1.46933333333333
C12orf43	-0.20225
CBL	-0.4891
CLECL1	0.9325
PPAPDC1A	3.30825
WDR25	0.257666666666667
SGCA	0.197
C22orf29	0.269333333333333
YIPF1	0.07575
GALK2	-0.943
RAB3B	-1.9275
LOC440087	-0.4455
UCP1	-0.336
REEP5	1.259
FADD	-0.3852
FOXA1	2.95525
CACNA1A	0.718666666666667
ABI1	-0.018
GRIN2D	0.8
SLC1A4	0.5405
LOC401127	0.22075
HINT2	0.0155
PLD4	-0.0215
ZNF286A	-1.16
ENY2	0.2015
IL1F6	0.18
PXDNL	1.13775
C20orf79	0.0815
TNFSF13B	3.3025
DENND3	-0.410125
JARID1D	-2.4665
HIST1H2AK	1.625625
LOC93349	-0.00950000000000002
SSH1	-0.4153
ENSA	0.757
LOC219854	-0.2945
CKAP2	-1.339
DKFZP564J102	-0.486
MGC87315	0.00650000000000002
HNRPAB	-0.3755
AMH	-0.5565
ZNF526	0.578
BRUNOL5	-0.2757
CACNG3	0.098
TRPM1	-1.195
PPP2R1A	0.354125
COL2A1	0.3525
DDN	0.0408333333333333
FLJ25770	0.333583333333333
HK2	-0.332428571428571
ELOVL6	-0.917125
MDK	-1.28675
EPHX1	0.8755
RASSF2	0.344375
DKFZP434B0335	-0.92375
DLX3	0.52125
PRTN3	0.14675
AVPR1A	0.6815
C21orf125	-0.8885
TNFAIP8	-1.07866666666667
GNB2L1	0.0275
CALCRL	2.64775
SCGB2A2	8.22583333333334
UBXD7	-0.257
ZNF674	-0.2445
TMEM35	0.095875
BRSK2	0.21725
HECTD3	-0.192833333333333
TMEM188	-0.18375
LGALS9	1.46825
SCARB2	1.12525
USP34	-0.308166666666667
C17orf28	1.28325
ZDHHC23	-1.08725
AQP12B	-0.0555
SLC16A3	-1.59725
APLP2	0.00324999999999996
ITIH2	-5.0845
MICAL3	-0.563
TNNI3K	0.332375
HDAC2	0.09525
PRR7	-0.0288999999999999
THBS2	1.173875
LOC751071	-0.734666666666667
CA2	-0.192666666666667
RANBP17	-0.8045
RLN3	0.48725
CRYZ	-0.478833333333333
GBAS	-0.228333333333333
TAS1R1	-0.40675
MPZL3	0.3235
PCDH8	0.93125
HSP90B1	-0.444916666666667
KCNK15	1.398
TNIP2	-0.2275
GPR146	-0.36225
NOL6	-0.013375
SPC25	-2.74222222222222
STEAP2	1.29492857142857
VAMP3	-0.231333333333333
TCIRG1	-0.94525
ZP4	-0.0425
PARL	-0.05175
TRIM39	-0.158666666666667
KIAA1305	1.5905
CRNN	0.2416
GRN	-0.07475
HSH2D	-0.098
SCAMP1	0.8664375
KIAA1913	2.265
PTS	-0.767
BANP	0.0293571428571429
PRKACG	-0.036
ADCY6	-0.0921666666666667
C16orf46	0.1255
CYP51A1	0.0158750000000001
DDC	-1.8355
ANPEP	0.703666666666667
PROM1	-0.217833333333333
SIGLEC10	1.196
COPG	1.0655
FAM26E	1.934625
TRIP4	0.08325
SNX3	0.0281666666666667
C1orf175	0.3205
PPY2	-0.08025
C14orf152	1.103
FTSJ1	-0.4315
DST	0.2405
LOC554235	0.121
GLRX5	0.18625
C20orf12	0.6999
CAB39	0.0803333333333333
MSH2	-1.86766666666667
PIP4K2C	0.8525
CYLD	0.795875
WTAP	0.1975
MGAT4A	3.05644444444444
TSC22D4	-0.8316
CHRM2	-1.613
PPYR1	0.399666666666667
CCNH	-0.645833333333333
RRM1	-1.142
ECAT8	-3.06725
LOC400120	0.5125
GABRA4	0.272125
C14orf4	1.49083333333333
C1orf59	-0.26125
CTDSPL	-0.21725
NHEDC2	-1.1235
PDE11A	-0.624
KLHL29	-0.94475
CD5	-0.8008
TSPAN9	1.483125
WDR67	-1.5295
THUMPD1	0.9635
C18orf17	-0.2245
CLYBL	-0.733666666666667
FLJ13231	-1.022125
CMBL	0.834125
LECT2	-0.236
NKAPL	1.25433333333333
LOC654780	0.5485
OR4C6	0.215
RAB30	-0.276333333333333
TSSK4	-0.244
TMEM163	0.1405
OSBPL11	0.000999999999999992
GNB5	-0.854833333333333
CCL21	1.04725
C1orf121	-0.114666666666667
FMO2	1.56
RPTN	-0.432
MSTN	1.5425
VCL	0.394214285714286
FYTTD1	0.23175
C11orf1	0.2345
CCDC88C	-0.0358125
HFE	-0.809
MOGAT1	0.565
FAM125B	0.4045
IRGQ	0.158
RAVER2	-0.22575
AKAP5	0.177
SSSCA1	-0.6855
C11orf63	1.373875
ACTG2	3.0823
PORCN	-0.7965
DTL	-1.055
TMEM151	0.7685
FAM122C	-1.131
RSAD2	3.6995
BAT4	-0.538
KRTDAP	-0.938666666666667
MYH8	0.295375
CRTC3	1.515
LRRFIP2	0.114
INTS4	-0.968
TTN	-1.14016666666667
SLC26A5	0.5495
PLLP	-1.29925
RGS6	-0.0554285714285714
SRGAP3	0.224625
ZNF525	0.535166666666667
NBR2	-0.478666666666667
C13orf1	-0.3162
ZNF137	0.244
CEP27	-1.6745
BEST2	0.49
RNF121	-0.66875
DMRTC2	-0.129333333333333
C8orf76	0.36375
BCCIP	-0.525375
MEST	-1.96825
HTRA2	-0.3625
ANGPTL2	1.606
ILKAP	-0.138666666666667
ERAS	-0.1275
HBS1L	-0.62725
CPA5	0.396
TMEM30A	0.370666666666667
CD300LF	1.03816666666667
WISP3	1.8495
CRK	0.326857142857143
PDS5A	-0.5226
BRPF3	0.423
NEDD9	-0.107125
SMPDL3B	0.81975
PSG6	0.87175
PSMD13	-0.21775
ETV5	-1.5595
OR51A4	-0.6275
BTBD7	0.425083333333333
GSTO1	-0.558625
hCG_16001	-0.035
MAD2L1BP	-1.13433333333333
COX6A2	0.9545
SCNN1A	1.94666666666667
LSM1	-0.185333333333333
UGT2B11	-0.772
IDUA	0.35275
PPP2R3C	-0.465833333333333
COX11	-0.449833333333333
PDZK1	-0.8605
ZNF443	-0.00816666666666666
MGC21874	0.937666666666667
ZNF323	1.6914
KRTAP10-10	0.1325
CXCL6	0.505
SLC34A2	0.6348
LOC284402	0.3245
NPTN	1.66875
UPP1	-1.88258333333333
SLC6A9	-1.9695
OR7G3	0.0955
CISD1	-0.130833333333333
ZNF545	0.0473333333333333
SYT14	-0.4225
NT5C3L	-0.253666666666667
ZNHIT3	-0.746833333333333
SNRPD3	-0.2625
KIAA0701	0.119625
UNC93B1	-0.092
GMNN	-1.394
SPCS2	0.0288333333333333
LOC388524	0.39
NAPRT1	0.251625
PNLIPRP1	0.96875
OR6V1	0.4855
PRKAB1	-0.0725
EYA4	-2.36866666666667
KIF20A	-2.23725
ALG10	0.1035
ITPKC	0.643166666666667
LMX1B	1.10466666666667
RPUSD4	-0.477333333333333
C7orf34	-0.117666666666667
DLGAP2	0.31625
PFN1	-0.3935
MICALL2	-0.480666666666667
ZNF654	0.172
SS18L1	-1.28725
SLC16A8	0.60075
MKI67IP	0.136333333333333
ITGB3	-0.0585
TCEA3	1.85016666666667
CEP152	-2.58892857142857
CLIP1	0.881625
ZNF75	0.434
ATP5C1	-0.533833333333333
NUDT5	-0.789
PSCDBP	0.18775
UBP1	-0.19
RBM27	0.1885
C13orf15	1.79225
ZNF282	0.278666666666667
ZNF222	0.1413
COL10A1	6.1835
PRDM15	-0.8135
TTTY5	-0.282
FAM9C	-0.135333333333333
C20orf67	0.52825
GNG13	0.347
F12	0.25175
C1orf41	-1.541
CPXCR1	-1.144
GSK3A	0.211375
SUPT6H	-0.098
PI16	0.879333333333333
ELL2	0.0748333333333333
C9orf167	-2.01233333333333
PVRL3	-1.4107
FLJ38596	0.0825
ADAM20	-0.9035
GPR89A	-0.122
GPR87	1.07
ZNF30	0.5025
SMR3B	-0.368
ZNF770	-0.222125
TRPC4AP	-0.526166666666667
DKFZP686E2158	0.407833333333333
C2orf28	0.0191666666666667
FREM1	-1.5675
LAMA4	0.8555
ADPRHL2	-0.44975
EIF4G2	0.5225
GUCA1A	-0.368
CTNNA2	-0.12025
NUDT15	-1.31433333333333
CEPT1	-0.956
ZNFX1	0.8222
CCDC92	1.20125
TDRD1	-0.365
KCNK5	-2.06183333333333
ETNK1	0.331
LTA	0.6855
TTPA	-0.700166666666667
B3GALNT2	-0.034875
SC65	-0.0193333333333333
PEX5L	-0.531
EPS15L1	0.0675
MGEA5	-1.175875
HIST1H3A	0.751
ING1	-0.101
BCAT1	-2.492625
ORC6L	-3.18945454545455
KLK11	-3.774
C19orf28	-1.652625
DNER	-4.067625
MED22	-0.863642857142857
ETV6	0.900583333333333
CHAC2	-1.60675
CD300E	0.1225
CEBPB	0.886166666666667
ZNF398	-0.218
LRCH3	-0.298
HMGA1	-1.29083333333333
CAPN7	-0.4
MGC5566	-2.40225
CCL3	2.16725
NANOS1	-1.416
ZFYVE19	0.46825
APITD1	-1.10366666666667
PARD3	-0.105875
IRAK4	-0.236
SERPINI2	-0.188
CEP170L	-0.442
TTC9	2.42425
MYOM3	-0.549
MLPH	1.65275
LOC222699	-0.2605
NRG1	-1.27216666666667
TBC1D9	3.60218181818182
TTK	-2.68333333333333
ZNF557	-0.0728
DDX41	-0.586666666666667
FANK1	0.958
UBE2D2	0.090375
PSMB10	0.133375
MYH7B	-0.814
GABARAPL2	0.219
MARVELD2	2.092
DGCR2	0.6815
UNC45A	0.7415
C6orf72	0.6745
ZNF683	3.07825
GIT2	-0.273
CASK	1.76683333333333
C14orf161	0.962
LRRC44	0.8375
TIFA	-0.766375
UTP11L	-0.90325
C6orf65	-0.27075
FDPS	-0.68625
DUSP9	-1.6016
SLC17A8	0.207
OR51G1	0.776166666666667
NANS	0.5285
OLFML1	1.79575
ATP10B	-0.528625
NPAS3	-0.031
PRKCA	-2.21266666666667
GGA2	-0.4710625
LCE4A	0.714
SPANXN3	0.62575
CCDC115	1.029875
SDCCAG3	-1.23775
GLIPR1L1	0.0965
TTC1	-0.13275
C17orf76	0.294
MAD2L2	-1.231
HIPK1	-0.4516
LRRC3B	0.757166666666667
CLN3	-0.642590909090909
C17orf47	0.2025
FMN2	-1.0305
TUBB1	-0.967428571428571
WAPAL	0.0898333333333333
C3orf21	-0.376625
SCN5A	-0.0549000000000001
SMYD1	0.4895
BEX5	2.5835
ZNF192	0.1565
SEC22A	-0.0115
GRIA2	1.47276923076923
KIAA0825	-0.6895
NUSAP1	-1.99209090909091
LANCL1	-0.06575
C15orf40	0.1679
ZNF645	0.439375
GPR61	0.33275
NLRP14	-0.075
SNX21	-0.1066
C1QTNF8	0.1515
C17orf46	0.04425
IFNA8	0.7825
SPRR1B	-0.581833333333333
FLRT1	-0.19
SNX17	-0.134333333333333
ASB2	-0.871166666666667
HBG1	-5.883
RPRML	-2.22925
JOSD2	0.858
PLSCR3	0.34875
SPOCD1	0.8965
RAB39	0.385
GHRH	0.2285
ITIH5L	0.53375
C17orf37	0.40575
SMCR8	0.0775
DPY19L2P3	-0.505666666666667
IL11RA	0.092
GDF3	-3.8705
RPS6KB1	0.127666666666667
DNAJC19	-0.2713
TOP1	-0.21575
CRCT1	0.13725
MPST	0.17925
DPM2	0.385
FAM38B	0.856833333333333
SLC18A1	-1.3075
FARP1	0.556666666666667
PAX7	0.39875
