Hybridization REF	TCGA-A8-A09N-01A-11R-A00Z-07
DHX58	1.518
ARCN1	1.147
TREML1	0.2334
KNCN	0.2765
SEC24A	-0.03
PSCA	0.3905
MGC24125	0.787166666666667
DNA2L	-0.50325
CIB4	0.058875
HIGD2A	-0.545166666666667
TBX6	-0.312333333333333
TTLL5	-0.562666666666667
SGK3	-0.151166666666667
GCN1L1	0.3345
AMOT	0.7817
LDOC1	0.406166666666667
NRK	0.467
ASB9	-3.9475
NAT1	4.2456
TRAFD1	1.40225
PEAR1	0.6545
FAM36A	0.426875
OR1S2	0.123833333333333
LOC388323	-2.19675
PGS1	-0.662333333333333
LEPREL1	-3.97425
TFF1	-3.42983333333333
HAP1	0.20475
EPHB2	-0.0135
ACTG1	0.5825
ZFP42	-0.993666666666667
HAVCR2	0.0783
NME1	-1.1985
SNX26	-0.268
LACTB	0.493333333333333
ZKSCAN2	-0.256
C5orf35	0.98375
ANKS3	-0.2505
RBM28	-0.355
DKFZP586P0123	-0.44
HNRNPA1	0.1485
BCAS3	-1.70741666666667
FLJ20184	0.692
POLA2	-0.0988333333333333
TMC7	-0.189
HSD17B6	2.9015
ZNF658B	0.872833333333333
TTTY10	-0.298333333333333
RANBP9	1.14516666666667
CPNE7	-2.79866666666667
EVL	1.30211764705882
LNX1	1.995
IFNA21	-0.0265
CFD	-0.18475
PYCARD	-0.343
MYBPC2	-1.822
ENPP3	-2.26066666666667
ACSL4	-1.57025
LOC440258	-1.31866666666667
TMEM176B	3.254
SOX2	-1.083375
SCO1	-0.107833333333333
COMT	0.24925
AOC2	0.0355
PDLIM5	1.312
SPHK2	-0.0136666666666667
NXPH2	-0.015
GPR108	-0.0328333333333333
RAD51L1	-0.3485
TMEM54	0.45425
LETMD1	0.260888888888889
SLC6A17	0.93775
KRT75	-0.311
STT3B	0.0668333333333333
CD3EAP	-0.415833333333333
TMEM63A	0.76375
DUSP13	-2.6815
CD1C	-0.802666666666667
LASS2	1.13333333333333
AVP	-0.338
PITPNM1	-1.841875
FLJ22795	-1.5965
MCTP1	-1.763
TRIM68	-1.69566666666667
UCK2	-1.06066666666667
ABHD1	0.824
FAM50A	0.252
RNASEH1	-1.10816666666667
PCP2	1.63
OR52H1	0.7505
C20orf149	0.72425
RBP5	1.51433333333333
HYAL3	-0.60425
CLPB	-0.50825
SMNDC1	-0.2895
DONSON	-1.23933333333333
FLJ27523	-0.485
BARHL2	0.24
SLC30A9	1.06883333333333
TMPRSS11B	-0.579666666666667
E2F8	0.0475
CCDC25	-0.381
C14orf48	0.3695
C20orf116	0.7755
TSPAN11	0.7385
YIF1B	-1.31166666666667
FAM12B	0.81825
OR1L6	0.6545
HPN	0.8852
NBN	0.980125
C14orf94	-0.567333333333333
OCLM	-0.198
ZSCAN18	2.0843
L3MBTL	-1.1129
TSTA3	1.80483333333333
RAC1	0.65925
C19orf15	-0.403166666666667
NFE2	-5.1905
KLK14	0.5315
ARSF	0.492
MAST2	0.1725
AMICA1	1.86883333333333
GTF2A1	-0.302375
ATP1A3	0.368
TC2N	3.7719
PNKP	0.50825
ODZ2	0.101625
MATR3	1.02575
S100P	-2.707125
KRT82	0.4175
CA13	-0.6676
PROZ	-1.27933333333333
AASDH	-0.117285714285714
C19orf40	-0.661833333333333
DCK	0.103230769230769
FAM5C	-1.28125
SLC6A4	-0.413
MID1IP1	0.68125
TESSP5	0.659
TMOD4	-0.258833333333333
DOCK2	-0.634166666666667
TUG1	0.581375
NUP214	0.8445
DPYSL2	-0.927590909090909
GOLM1	3.23125
MPFL	0.15175
SOX13	1.40325
SDCCAG8	0.7972
KEL	-2.73616666666667
NUP210L	-2.264
GK	-0.011875
DNAJB1	0.95675
ALPK3	0.343
CHID1	0.5401
CYLC2	-0.127833333333333
IKZF5	1.15875
C8orf51	1.51016666666667
PPM1J	1.96425
GIMAP8	2.54133333333333
GPR101	1.022
NR2F1	-1.2805
ACAD8	0.351
RBM35A	2.09025
GNAI2	0.262333333333333
METTL8	-0.882833333333333
SLC39A7	-0.4655
FBXO8	1.6045
CAMK1	0.4915
RFC3	-1.1295
FAM129A	0.911071428571428
ILF2	-0.13425
FGFBP3	-2.902125
NOM1	-0.2175
PSMA3	1.179
ASCC3	-0.6538
ZYG11A	-0.49125
SOX21	-1.25075
LYRM1	1.092
DEFB1	0.208
LOC91431	-2.41766666666667
OR7C2	2.5785
FAM46B	2.713375
TMEM18	-0.6635
ARHGAP30	0.911
TMEM86A	2.97233333333333
EPHA2	-0.948333333333333
C10orf46	1.63275
TCHH	-0.774
C3orf30	0.119666666666667
LOC285636	0.109333333333333
PAIP2	0.4455
CYP2U1	0.204875
C12orf34	1.8695
SARS2	-0.924333333333333
ZCWPW1	0.11975
SAMD12	1.999
KIAA1430	0.678375
ACAT1	0.5315
MEOX1	1.95016666666667
ADAMDEC1	3.24725
PHKA2	-0.696
CARD11	-0.974
CALML4	-1.3985
TSSC1	-0.76
TMEM45A	0.642111111111111
MPP7	2.17
POU1F1	0.109
SLC2A13	-0.4529
FBN2	0.785071428571428
ZC3H7A	0.1487
LAIR2	-0.63525
ST3GAL1	0.816166666666667
LCT	-3.388
GEMIN8	0.025
KLF16	0.0983
HIF3A	-0.1397
FAM44A	0.0794285714285714
AQP10	-1.3345
PLA2G2A	-1.18
FOLH1	3.59916666666667
C20orf186	0.046
MAPKAP1	-0.080625
SPRR2D	-1.5215
UBQLN4	-0.173333333333333
RSHL1	0.173666666666667
PIAS3	0.554375
MRPL24	0.4575
GREB1	-0.982
FAM27E3	-1.5415
NUP62CL	0.15975
NEUROG3	0.041
REEP3	1.54408333333333
MARK1	0.087625
LMBRD1	0.1985
PRPF19	-1.4035
PNMT	-1.82166666666667
CTGLF1	-0.331
SLC25A16	1.3715
EIF2B3	-0.571
RPA2	0.056
PAK6	1.62483333333333
CCDC26	-4.54725
SEMA3E	3.254375
MXD4	1.1719
TNFSF10	4.3037
SMARCB1	-0.458
DTX3L	2.145
PLA2G4E	0.663
PPAP2A	-0.13075
ULK1	0.314
TAS1R3	0.335
SLC2A3	-2.72390909090909
ARID3A	-2.43825
GNG5	0.0105
ACOX1	0.2594
KIF5B	0.8335
NUP153	0.36725
MUC7	0.653
CSDE1	0.0197857142857143
CLPTM1	0.20075
C3orf23	0.063
LRRC17	0.155
TTYH3	-0.3865
ATP5B	-0.0695
ELF3	2.3848
CPSF3L	0.638166666666667
ZNF665	0.599
TLR6	-0.0145
GPI	-0.716
RAD9A	0.078875
NDST4	-3.5425
AGPAT3	1.12883333333333
MAGI3	1.839
ADORA2A	-0.014125
CACNG7	0.4975
CAMK2D	-0.1745
CCHCR1	-0.5095
RPS27A	-1.62725
OR10G7	0.5698
GCM2	0.4755
FAM135B	0.1594
E2F1	-0.72225
PLCB3	0.77475
OR2AE1	0.2845
COIL	0.0196666666666667
CDC25C	-0.0173333333333333
RAB11FIP2	-0.223166666666667
TSC2	0.4145
CTGLF5	-0.76
CCDC108	0.0523
OR13C4	0.5825
C10orf81	6.551
PTPRB	1.1585
ACP2	1.1225
LAG3	0.688
MRPL54	-0.6315
LOC201175	-0.33
ITGB1BP3	-1.92225
SPTAN1	-0.150166666666667
SIPA1L2	-1.81725
RCAN2	-0.133
CDX2	3.347
ECOP	1.016
ACTR1A	0.770714285714286
PPARG	-1.67283333333333
BBS10	0.2095
TMEM44	-1.407875
BPIL2	0.696
CITED1	-2.0595
IRF6	4.21425
PRDM4	0.997
RRP9	-0.276333333333333
OR10H4	0.522
IL31RA	-0.601
GNB1L	-1.1845
MYBL2	-1.171375
ZNF407	0.887666666666667
PPIG	-0.259166666666667
TTC18	2.45875
RPSA	-0.245
MAPT	1.732125
MRE11A	0.338461538461538
C8orf37	-0.876
RASGEF1C	-1.08233333333333
STBD1	1.9785
CTAG2	-0.436666666666667
MGAT5B	-2.51716666666667
ECM1	1.51825
RLN1	-0.1345
PARP14	1.495875
EPB41L1	0.295
HOXA3	-0.91625
MAGEA9	-4.4615
RPS8	-0.664166666666667
RPS19BP1	0.17025
FOXJ2	0.80025
C10orf76	1.12875
IL17RE	0.708
C10orf65	-1.88025
ZNF343	0.425333333333333
FBXO33	-0.852125
UHMK1	1.4078
LY6G6C	-0.5775
FGF19	-2.49275
C14orf128	-1.3185
IFIT2	2.043
TIGD1	-1.01475
S100G	7.6045
GUCY1B3	2.324
NR3C1	-1.3236
CORO1B	0.74
PARP11	0.0933333333333333
DNALI1	4.20233333333333
OR4N4	0.125625
MAP2K6	-0.869666666666667
FSTL4	0.13975
ANKRD47	1.424125
TMEM171	-1.288
PNLIP	0.78275
YY1	1.13216666666667
CCDC138	-1.9425
AASDHPPT	0.3443
CKS1B	-0.7202
MCM3	-0.572333333333333
ANAPC7	0.0968333333333333
FAM110A	1.495
CDC37L1	1.4845
THTPA	0.96425
NBPF20	-0.5805
WDR24	0.9895
NPTX2	-2.2425
CBLB	0.4645
CETN1	0.464666666666667
RPUSD1	0.58425
FAF1	-0.21025
CDK6	-2.6815
HMX2	0.724
CSK	-0.365666666666667
TEAD2	1.6415
SNAP25	-0.5215
TUFT1	2.7474
TMTC3	1.551
LCK	-1.448
SGOL1	-0.2755
AKTIP	0.88425
FURIN	0.109875
SOX12	0.580333333333333
DEFB103A	-0.576666666666667
RAMP1	2.29
KIR3DX1	0.2705
GAS2L3	-0.351
PDE8A	-2.2516
EDN3	0.741
GMIP	0.343
SF3A2	0.103
FN3KRP	-0.362
SMAD7	0.928
RHBDD2	1.42
OR11H6	0.207
PPP1R3B	0.5437
C9orf23	-0.28375
CADPS	-0.0695
GOLGA8A	-3.546
TMEM57	1.66383333333333
RGL3	-0.275
S100A14	3.2705
FGFR2	1.2263125
XRCC3	-0.252
RTN4RL2	0.51125
MGC3771	2.659
GH2	0.0708333333333333
BTBD2	-0.633
LMO2	-0.36025
RDBP	-0.108125
ACRBP	-0.545
AMY2A	0.158
DUOXA1	-0.0135
PTK7	0.633833333333333
TWF2	0.621
FAM80A	0.448
TNNI2	-3.462
GLT25D1	-0.934333333333333
OCC-1	-2.2365
CYC1	0.687
RPL22	-0.0234999999999999
MORN3	1.42166666666667
DISP1	0.2755
PRB2	0.111
CHUK	0.74575
HR	-0.522125
CCDC134	1.09825
DENND4B	-0.8505
C14orf130	0.12275
RAB33A	-2.223
DCST2	0.18
TNMD	-2.65975
PEX7	0.7745
FAM62A	0.876875
SRD5A2L	1.28025
IL22	0.283
RPS26	-0.8735
HOXC5	1.618
SPATA6	1.50625
FLJ38482	1.3695
ZNF234	0.674
C18orf22	-0.013
SPATA22	0.322
THOC1	-0.41875
CYP7B1	2.252
KCNC3	0.691
C8orf42	-0.554
ALDH1B1	0.0631666666666667
CCDC100	0.5988
ARMC4	-1.43
FAM18B2	0.1685
SLC44A1	1.2865
FBXO17	-2.00933333333333
C6orf107	0.72575
C19orf29	-0.7105
ZC3HAV1L	-1.1215
PARP6	0.0916
SULT2A1	-4.935125
C1orf159	0.0125
TMC1	0.08875
CHST14	-0.37975
GAMT	0.0546666666666667
SMCP	-0.223666666666667
TSPAN33	0.539666666666667
MIDN	-0.026875
NOX4	2.64325
RNASEN	-0.5529
TBX1	-1.775
SALL2	-1.004
C10orf35	2.0085
CYP2E1	-0.3075
LRFN2	2.66
ACO1	-1.33033333333333
IQCG	1.2137
MEGF9	0.992
TM7SF4	1.69225
PLEKHA1	0.684333333333333
STK33	-3.699
C1orf210	3.1965
SNUPN	0.0958
KIAA0406	-0.1792
C20orf29	0.815
TMEM55B	-0.22075
OSTM1	-1.2415625
CLCN7	-0.01425
OTP	1.0315
FLJ23049	1.1985
HEATR4	1.699
MAP3K10	-0.193166666666667
PCDHGA9	0.6605
AMDHD2	0.61925
LCTL	-1.3735
PDCD2L	-0.6485
CABLES2	0.1365
SLC5A9	-0.65875
CLCA2	-1.80433333333333
MGC16025	-1.0415
STRAP	0.134166666666667
C20orf196	-0.447
RRBP1	0.580833333333333
NAT13	0.64925
MAT2B	1.212625
CSNK1D	-0.9105
KIR3DL1	0.817
PRKAG3	0.4445
ZNF599	1.1235
PRM3	0.5105
PER2	0.505
ASPHD1	-2.62
PRMT6	0.10125
KCNE1L	-1.08242857142857
FAM118A	0.3885
TAF4	-0.52425
NDUFB6	-0.75175
TRIM9	-1.72883333333333
PMFBP1	-1.52375
KY	0.0155
DKFZp762E1312	-2.05745454545455
CSMD1	-1.45325
TBP	-0.675166666666667
OR1Q1	0.366833333333333
RETNLB	0.29225
HPGD	0.233
DNAJC12	2.18016666666667
FKBP1B	-2.74125
ANKRD24	-0.216666666666667
CXXC5	1.58666666666667
IL3	0.215714285714286
DRAM	0.1024
PTCH1	-0.876375
TP53BP1	-0.17
SLC17A7	-0.051875
COL25A1	-1.3065
AMACR	0.3015
RHCG	-0.57925
VPS13A	-1.02433333333333
FAM55D	0.07
PRPF38B	-0.705
OSBPL6	0.73925
PFDN5	0.103
CMTM6	1.050625
KCNK12	-1.9295
RP2	0.1695
C16orf52	-2.88025
PICK1	0.9615
IFNE1	-1.40616666666667
SEMA4B	1.59925
TYRO3	-2.16975
OR12D2	-0.469
CSNK1A1	1.537
FANCF	1.8375
LONP2	0.41725
TBL1Y	-0.50925
LDOC1L	0.14025
CCNC	-0.00425
C3orf60	0.58875
CHKA	0.24225
UBAP1	-0.067
MAP3K1	1.066
ANKRD9	-0.96525
FAM92A1	-2.98
GAB2	-0.4865
AZU1	-0.6865
DIS3	-1.275
C21orf109	-1.50625
IQCB1	-0.521
SPATS2	1.05766666666667
EFCAB3	0.1145
PRB3	0.111125
FUZ	-0.256166666666667
ZNF813	0.785375
BMPER	-1.5635
HEG1	-0.223875
ALS2CR11	-2.48025
SURF2	-0.4735
PSMC1	0.735333333333333
OR2D2	0.354
SLC7A8	2.50666666666667
C4orf40	0.641
SPATA7	-0.725
MAZ	-0.04325
PIN4	-0.39125
PDE1A	-0.891375
TAF6L	0.064
OR2T34	0.641
KIAA0284	0.5035
ACADS	0.561727272727273
MKRN2	0.3
C18orf56	-3.56625
MS4A6E	0.231833333333333
GALNT4	1.433
C22orf31	-0.0695
FLJ36070	-0.2785
PSME4	0.0245
TFG	0.7526
EPHX2	2.433125
ANXA5	-0.11325
KRTAP1-1	0.2
BATF	1.674
KARS	-0.9725
MSTP9	-0.706
GPR26	-0.066625
CCDC72	0.34825
TEF	0.9005
FOXK1	-0.3642
PRLHR	-0.2325
EMX1	1.594
C11orf30	0.466375
ICK	1.118
THSD7B	0.1225
C21orf100	-0.6135
DUOX1	0.378
EFCAB4B	1.481
UBE2G2	-0.2545
C3orf54	-0.30175
PARP1	-0.8255
FAM60A	-1.04258333333333
C6orf146	0.1605
OR9K2	0.6785
DDX55	-0.839333333333333
RPS15	0.02975
ZNF618	1.53925
DKFZp686D0972	1.31125
SSPO	0.7565
SHFM3P1	1.6695
CPA6	5.68025
JAG2	-0.00725
DEFA3	0.03525
PPBPL2	0.451166666666667
CD34	3.905625
SLCO4A1	-3.625125
AFG3L1	-1.13933333333333
SHD	-0.5035
RP13-122B23.3	-0.4505
PRKCSH	-0.799666666666667
DPH5	-0.418833333333333
HLA-F	2.4795
TBC1D4	-1.55975
RIG	-0.0393333333333333
GLUD1	0.398
HNRPCL1	0.527125
HBXIP	-0.66375
RNF207	-0.046
APIP	0.12375
PLA2G3	1.91266666666667
CCDC84	-1.18475
MYLIP	0.251923076923077
PHIP	-1.18275
AARS2	0.133666666666667
DHX32	0.982
SCAPER	0.188666666666667
MEN1	0.176
NIP7	-1.45025
FLJ25404	0.4915
FASTKD3	-0.4595
TMEM158	-2.655
RARA	2.1965
BDH1	1.0335
ANKRD16	0.42375
CARM1	0.023
SS18	0.363
IKZF2	-0.67375
MYD88	0.983625
PML	0.57
TAF1A	-1.26125
CBFB	-0.481625
HIST1H3H	-1.07833333333333
C7orf29	-2.598
COMMD4	-0.7355
DPP3	-0.30725
DAB2	-0.14375
LOC388882	-0.0655
YPEL4	-0.888625
AGBL3	0.48425
LRP6	0.2339
SERPINH1	0.13
TLE1	-0.55275
CD244	0.8795
ZDHHC15	0.6765
MGLL	-1.0538
PLDN	-0.4585
LOC654346	1.549
FAP	2.74225
GPR37	-1.6285
SCARA5	-0.153833333333333
EBF4	1.792
LSM6	-0.39375
MLLT1	-0.100375
SLC5A12	-0.430333333333333
A2BP1	-1.77083333333333
COPS5	0.831333333333333
TPM4	-1.31935714285714
TNFSF4	2.431
ACADSB	1.43983333333333
HERPUD1	0.89225
BCL2L11	0.0693333333333333
CEP78	-0.499125
CDCA3	-0.3805
WBSCR19	0.1626
MYO1A	-1.7845
PPEF1	2
LOC440348	-1.21175
CPEB2	1.8785
BPTF	-0.858333333333333
RPL21	-0.57575
GSX2	-1.0975
ADPRH	1.244
C17orf68	0.589166666666667
KCNS1	-0.489166666666667
MLLT6	0.172
PIWIL4	0.42025
RNF26	-0.52175
RAP1B	0.837375
ADAMTS1	-3.0416
ZNF571	0.66125
P2RY6	-0.96325
TRIM21	1.648
CADM3	0.08325
NLRC5	0.928833333333333
ADRA2B	0.1335
LOC90835	-0.080625
PCF11	0.31725
LOC400451	2.52875
GLTSCR1	0.5791
C17orf88	-0.8045
CDH16	-1.69975
FGF7	1.566625
PCSK4	0.146166666666667
NPC1L1	-0.216666666666667
TAT	-0.6565
TBCA	0.24675
MGC33407	0.25675
GPR115	-1.504125
CYGB	-0.091
FNBP4	-0.410166666666667
C12orf43	0.1075
CBL	-0.00770000000000003
CLECL1	0.13125
PPAPDC1A	1.2205
WDR25	0.821
SGCA	-0.0605
C22orf29	0.359833333333333
YIPF1	1.7195
GALK2	-0.76225
RAB3B	-2.48508333333333
LOC440087	0.809
UCP1	-0.1535
REEP5	2.22575
FADD	0.5027
FOXA1	3.975125
CACNA1A	0.188833333333333
ABI1	1.02433333333333
GRIN2D	0.0745
SLC1A4	-0.95
LOC401127	-0.027
HINT2	-0.02475
PLD4	-0.0566666666666667
ZNF286A	-1.11425
ENY2	-0.3335
IL1F6	0.413
PXDNL	1.952
C20orf79	-0.047
TNFSF13B	1.9245
DENND3	1.7145
JARID1D	-2.794
HIST1H2AK	-0.0782500000000001
LOC93349	0.4662
SSH1	-0.473
ENSA	-0.44125
LOC219854	1.0855
CKAP2	-0.8095
DKFZP564J102	0.541666666666667
MGC87315	0.246333333333333
HNRPAB	-0.105
AMH	-1.2295
ZNF526	0.5885
BRUNOL5	0.0945555555555556
CACNG3	0.200833333333333
TRPM1	-2.1095
PPP2R1A	0.588625
COL2A1	-1.158
DDN	-0.115166666666667
FLJ25770	0.929166666666667
HK2	-0.715571428571429
ELOVL6	-2.481375
MDK	-0.824
EPHX1	2.0035
RASSF2	0.58125
DKFZP434B0335	-0.93825
DLX3	-0.292
PRTN3	-0.74675
AVPR1A	-0.32425
C21orf125	-1.391
TNFAIP8	-1.15116666666667
GNB2L1	-0.2465
CALCRL	2.2325
SCGB2A2	7.56066666666667
UBXD7	-0.69375
ZNF674	-0.1565
TMEM35	0.607875
BRSK2	-1.60875
HECTD3	0.428666666666667
TMEM188	-0.79025
LGALS9	1.748375
SCARB2	2.61291666666667
USP34	-0.38325
C17orf28	2.129
ZDHHC23	-0.169
AQP12B	-0.6085
SLC16A3	-2.8635
APLP2	0.707875
ITIH2	-5.47975
MICAL3	-0.6975
TNNI3K	0.0711
HDAC2	0.056625
PRR7	-0.6783
THBS2	0.251125
LOC751071	1.3165
CA2	1.80633333333333
RANBP17	0.4105
RLN3	0.589
CRYZ	0.954333333333333
GBAS	-0.0898333333333333
TAS1R1	-0.36875
MPZL3	2.062
PCDH8	-2.38533333333333
HSP90B1	0.249833333333333
KCNK15	1.8
TNIP2	0.871166666666667
GPR146	-0.186
NOL6	-0.02575
SPC25	-1.15488888888889
STEAP2	1.45014285714286
VAMP3	0.342333333333333
TCIRG1	0.28025
ZP4	0.0255
PARL	0.395375
TRIM39	0.849333333333333
KIAA1305	0.65525
CRNN	0.2705
GRN	-0.026
HSH2D	0.36675
SCAMP1	1.526
KIAA1913	1.23975
PTS	0.28975
BANP	0.1415
PRKACG	0.6865
ADCY6	1.688
C16orf46	0.4325
CYP51A1	0.287625
DDC	-5.59775
ANPEP	-0.1665
PROM1	2.48333333333333
SIGLEC10	2.34725
COPG	1.233
FAM26E	1.48075
TRIP4	0.182
SNX3	0.210666666666667
C1orf175	0.390833333333333
PPY2	0.136
C14orf152	0.75675
FTSJ1	0.314333333333333
DST	-0.25965
LOC554235	0.0965
GLRX5	-0.769
C20orf12	1.4691
CAB39	0.0671666666666667
MSH2	-1.34866666666667
PIP4K2C	1.67175
CYLD	1.48875
WTAP	0.4665
MGAT4A	0.671111111111111
TSC22D4	0.0419
CHRM2	-1.8395
PPYR1	-0.130666666666667
CCNH	-0.191333333333333
RRM1	0.08075
ECAT8	-3.1125
LOC400120	-0.02275
GABRA4	-0.0265000000000001
C14orf4	1.5585
C1orf59	0.6165
CTDSPL	1.33141666666667
NHEDC2	-1.9385
PDE11A	-0.8261875
KLHL29	-2.34925
CD5	-0.6453
TSPAN9	2.286
WDR67	-0.8545
THUMPD1	0.5952
C18orf17	0.80675
CLYBL	-0.759333333333333
FLJ13231	0.364375
CMBL	1.57175
LECT2	-0.777333333333333
NKAPL	0.615166666666667
LOC654780	0.456
OR4C6	0.12
RAB30	4.02116666666667
TSSK4	0.387
TMEM163	-0.082
OSBPL11	0.106
GNB5	-1.9995
CCL21	0.6025
C1orf121	-0.000166666666666667
FMO2	1.76116666666667
RPTN	0.294
MSTN	0.6395
VCL	0.990071428571429
FYTTD1	0.656
C11orf1	0.338
CCDC88C	0.6875625
HFE	1.20972222222222
MOGAT1	-1.166
FAM125B	0.846666666666667
IRGQ	0.8295
RAVER2	-0.82375
AKAP5	1.235
SSSCA1	0.077
C11orf63	2.20775
ACTG2	-0.8581
PORCN	-0.4525
DTL	-1.12836363636364
TMEM151	0.353
FAM122C	-0.77875
RSAD2	2.7456
BAT4	0.1775
KRTDAP	-1.42033333333333
MYH8	-0.148625
CRTC3	0.441
LRRFIP2	1.5199
INTS4	-0.00350000000000002
TTN	-1.1035
SLC26A5	0.5675
PLLP	-0.296
RGS6	-0.778375
SRGAP3	0.131375
ZNF525	0.3715
NBR2	-0.6095
C13orf1	-0.6546
ZNF137	0.8315
CEP27	-1.7165
BEST2	0.2465
RNF121	0.1725
DMRTC2	1.34425
C8orf76	0.51875
BCCIP	0.4775
MEST	-0.49775
HTRA2	-0.262
ANGPTL2	0.12275
ILKAP	-0.238666666666667
ERAS	0.042
HBS1L	-1.108625
CPA5	-0.033
TMEM30A	0.988666666666667
CD300LF	2.32283333333333
WISP3	0.5235
CRK	0.281142857142857
PDS5A	0.7246
BRPF3	1.123
NEDD9	-1.173
SMPDL3B	1.624
PSG6	0.5765
PSMD13	0.99
ETV5	-2.4603125
OR51A4	0.247
BTBD7	0.156416666666667
GSTO1	-1.298
hCG_16001	-0.3035
MAD2L1BP	0.0523333333333333
COX6A2	0.1165
SCNN1A	3.204
LSM1	-0.526166666666667
UGT2B11	0.58275
IDUA	1.358
PPP2R3C	-1.15683333333333
COX11	-0.949333333333333
PDZK1	-2.91525
ZNF443	0.633833333333333
MGC21874	1.77433333333333
ZNF323	1.6854
KRTAP10-10	0.1995
CXCL6	-0.52375
SLC34A2	1.3964
LOC284402	1.5245
NPTN	1.92366666666667
UPP1	-2.97033333333333
SLC6A9	0.238
OR7G3	0.5415
CISD1	-0.3595
ZNF545	-0.1225
SYT14	-1.144
NT5C3L	-0.691333333333333
ZNHIT3	-0.604833333333333
SNRPD3	-0.15175
KIAA0701	0.62675
UNC93B1	0.811166666666667
GMNN	-1.031625
SPCS2	0.871
LOC388524	0.3325
NAPRT1	0.280375
PNLIPRP1	-0.414666666666667
OR6V1	0.374
PRKAB1	1.04
EYA4	-2.418
KIF20A	-0.116
ALG10	0.76225
ITPKC	1.617
LMX1B	2.1045
RPUSD4	0.138833333333333
C7orf34	0.403
DLGAP2	0.5855
PFN1	-0.2801
MICALL2	-0.31425
ZNF654	0.1585
SS18L1	-0.4415
SLC16A8	0.2665
MKI67IP	-0.504
ITGB3	-1.437125
TCEA3	3.14533333333333
CEP152	-1.8136875
CLIP1	1.19975
ZNF75	1.108875
ATP5C1	-0.0795
NUDT5	-0.196
PSCDBP	-0.30025
UBP1	-0.384
RBM27	0.6095
C13orf15	2.410875
ZNF282	0.460833333333333
ZNF222	0.2097
COL10A1	5.974
PRDM15	-0.486625
TTTY5	0.322
FAM9C	-0.252909090909091
C20orf67	-0.2365
GNG13	0.9605
F12	-0.02725
C1orf41	-0.6675
CPXCR1	0.61
GSK3A	0.32425
SUPT6H	-0.535666666666667
PI16	-0.0956666666666667
ELL2	-0.766333333333333
C9orf167	-2.142
PVRL3	-2.3683
FLJ38596	1.4715
ADAM20	0.52725
GPR89A	0.6145
GPR87	-2.629
ZNF30	1.7505
SMR3B	-0.1365
ZNF770	-0.062
TRPC4AP	-0.07
DKFZP686E2158	0.631166666666667
C2orf28	-0.372833333333333
FREM1	-0.2945
LAMA4	-0.345333333333333
ADPRHL2	0.4775
EIF4G2	1.19866666666667
GUCA1A	-0.109
CTNNA2	-1.26225
NUDT15	-0.956833333333333
CEPT1	0.3905
ZNFX1	1.4002
CCDC92	0.848
TDRD1	0.0035
KCNK5	0.209666666666667
ETNK1	0.458333333333333
LTA	0.4815
TTPA	-0.136166666666667
B3GALNT2	0.3025
SC65	-0.568333333333333
PEX5L	-1.1295
EPS15L1	0.2635
MGEA5	0.447375
HIST1H3A	0.525
ING1	0.459125
BCAT1	-3.713375
ORC6L	-2.75936363636364
KLK11	-3.49133333333333
C19orf28	-1.707
DNER	-4.673125
MED22	-0.454714285714286
ETV6	1.60466666666667
CHAC2	-1.0295
CD300E	-0.2155
CEBPB	0.4065
ZNF398	-0.0195
LRCH3	0.272
HMGA1	-1.51083333333333
CAPN7	0.4925
MGC5566	-3.1425
CCL3	1.822625
NANOS1	0.7845
ZFYVE19	0.012
APITD1	0.274166666666667
PARD3	0.33125
IRAK4	0.392
SERPINI2	0.338
CEP170L	-0.965
TTC9	2.32275
MYOM3	-1.65875
MLPH	1.522125
LOC222699	1.7895
NRG1	-1.86025
TBC1D9	5.28372727272727
TTK	-1.9175
ZNF557	0.0259
DDX41	-0.0855
FANK1	2.2275
UBE2D2	0.53
PSMB10	0.666
MYH7B	-0.5225
GABARAPL2	-0.75725
MARVELD2	2.7265
DGCR2	0.631
UNC45A	0.0705
C6orf72	0.009
ZNF683	4.81475
GIT2	0.311875
CASK	0.0148333333333333
C14orf161	2.42283333333333
LRRC44	0.1275
TIFA	1.062875
UTP11L	-0.286125
C6orf65	-0.94775
FDPS	-0.4865
DUSP9	-1.9702
SLC17A8	0.0374
OR51G1	0.221333333333333
NANS	1.22075
OLFML1	1.99775
ATP10B	-1.41825
NPAS3	-1.352
PRKCA	-2.799
GGA2	0.129625
LCE4A	0.7725
SPANXN3	-0.307
CCDC115	1.540125
SDCCAG3	-0.6505
GLIPR1L1	0.057
TTC1	0.75525
C17orf76	0.0645
MAD2L2	-1.507
HIPK1	0.0628
LRRC3B	-0.565
CLN3	-0.410772727272727
C17orf47	0.375
FMN2	-1.88975
TUBB1	-1.64525
WAPAL	0.922
C3orf21	-0.387375
SCN5A	-0.7055
SMYD1	-0.33375
BEX5	2.566
ZNF192	-0.617
SEC22A	0.692
GRIA2	5.22764285714286
KIAA0825	-0.4815
NUSAP1	-1.435
LANCL1	-0.458375
C15orf40	-0.2632
ZNF645	0.644875
GPR61	-0.12925
NLRP14	0.2785
SNX21	-0.0535
C1QTNF8	0.0225
C17orf46	0.25025
IFNA8	0.0105
SPRR1B	-1.48616666666667
FLRT1	-0.361666666666667
SNX17	-0.6745
ASB2	-0.9385
HBG1	-5.0835
RPRML	-1.8155
