Hybridization REF	TCGA-A2-A0CM-01A-31R-A034-07
ADIPOR1	-0.196833333333333
GRINA	0.352
CLIP4	-0.3955
LRIT2	0.6685
TFPI	-2.70014285714286
FABP6	-2.1985
SLITRK2	0.0334
HKR1	-0.44975
SMTN	-0.35675
C1orf75	0.20725
CD209	0.566375
CYB5R2	3.19975
DNTTIP2	0.541166666666667
CSGlcA-T	0.224625
GABRB3	-2.94
PCBD1	0.487
TAF3	0.994416666666667
HOXD3	1.24916666666667
GIPC3	0.0268333333333333
P11	0.0653
BFSP1	0.572
LCP2	1.9035
TAS2R8	-0.058
SEZ6L	-1.447
NR2C1	-0.367375
EXDL2	0.6533
TNFRSF13B	-2.0305
MKI67	-0.08825
GLS	0.94275
C7orf54	-0.495
LGALS13	0.182833333333333
IL4R	-0.175
SEC11A	-0.391666666666667
SPP2	0.390166666666667
C18orf32	0.366
CLSPN	-1.1965
SPAG1	0.333375
C9orf82	0.236
TM4SF1	2.68466666666667
EMILIN2	1.88275
SMG7	0.546
TAS2R13	0.6145
ZNF628	0.617
DZIP1L	-0.414166666666667
ANKRD13A	-0.017
VASP	1.38375
ZCCHC11	-0.7115
SYPL1	-0.63625
MGC34774	-0.028
C4orf28	0.222125
KIAA1211	-0.549166666666667
RPS27L	-0.79075
TATDN3	-0.4475
PDCD1	1.84675
OR5P2	0.5525
IFIT1L	0.2575
MIPOL1	0.3615
OR51D1	0.15275
C1orf92	-0.794166666666667
LAMP2	0.966055555555556
CAT	-1.223
C16orf80	0.04675
C15orf32	0.46
ZNF746	-0.088
C1orf76	-1.746
ATXN1	0.79325
LAMC2	1.4715
SLC2A7	-1.2085
CPOX	-1.53475
APH1B	0.74
LOC442245	-0.8645
CTNND1	1.01522222222222
GABRG2	-1.30625
MADCAM1	-0.2275
F5	-2.22525
SEMA4F	-0.7595
NUDCD3	0.24875
PDZD11	0.908
TRIML1	-0.2545
GCNT3	-2.518
TMEM120A	0.43475
CNDP1	0.2985
N4BP1	0.74575
SLC35F2	-0.415125
LCP1	0.0275833333333333
IGBP1	-0.2482
DCAKD	-0.450625
ELA2A	-1.172
C12orf56	-2.781125
PITRM1	2.05271428571429
GUK1	0.56
RASSF8	-1.572375
OR2A14	0.60225
ADM	-2.33366666666667
FGD3	1.079
GHRHR	0.358
RHPN2	1.19975
C4orf39	1.68933333333333
VPS72	0.8335
SERF2	0.562333333333333
CD22	0.536333333333333
CD47	1.0354
PPIC	0.6065
IMPDH1	-0.123916666666667
ACP6	-0.998333333333333
PRKACA	-0.301
PPP1R1A	1.189875
TRPV3	0.28575
ASXL1	-0.1225
C17orf55	-0.9315
FXYD1	-1.16466666666667
LMOD2	0.125
ANKRD33	0.3835
LCE2C	0.276125
ZNF620	-0.8495
DKFZP566E164	-0.3465
VSIG2	-0.94775
KIAA1128	1.4205
USO1	-0.0863333333333333
NUDT4	0.0969285714285714
CLDN1	1.405
OR4Q3	0.091
FASTK	-0.325333333333333
ICOS	4.04183333333333
LDB1	1.065
GSTA5	-0.422
ABCC1	-1.04066666666667
FAM54A	0.28525
PCBP2	-0.928333333333333
NUP205	-0.76
ACTA1	-1.75266666666667
GABBR2	-0.84175
PIP5K1B	-1.15116666666667
AGXT	-2.21633333333333
RNF181	-0.06375
ATP8A2	-0.91675
AFTPH	0.6113125
FGF21	0.80725
FCER1G	2.495625
SNTB1	-1.7605
SLC24A3	0.088625
TXNL4B	0.2034
RPL10L	0.0436666666666667
LOC389517	-0.6793
TSGA13	0.0395
SHOX2	-0.399333333333333
ITGA7	-1.3824
KCNIP2	-0.442833333333333
KLF13	0.8184
ZFAND2A	0.563
CEACAM1	-0.681214285714286
PFKFB4	-2.94666666666667
MED19	0.3435
LRRC57	0.3555
RNF11	0.4925
ANKRD32	-2.57325
P117	0.0605
OBFC2A	1.212
POLD3	-0.724916666666667
RAB18	1.222125
TPH2	0.0891666666666667
PHB	-0.4878
JDP2	1.35266666666667
MORF4L1	-0.2139
POU2F1	-0.3135
CNNM2	-0.833166666666667
LOXHD1	0.383833333333333
ZC3H15	-0.05575
ELK3	0.468
FAM111B	-0.5075
CBLC	3.70033333333333
SBNO1	0.9615
ANKMY2	-1.39875
PLEKHA5	0.4945
DHX58	1.611
ARCN1	-0.2165
TREML1	0.9649
KNCN	0.2665
SEC24A	-0.91675
PSCA	0.704
MGC24125	0.8935
DNA2L	0.08625
CIB4	0.244875
HIGD2A	-0.139833333333333
TBX6	-0.244166666666667
TTLL5	-0.536666666666667
SGK3	1.06633333333333
GCN1L1	0.158
AMOT	0.1939
LDOC1	1.45
NRK	-0.306166666666667
ASB9	-2.265
NAT1	-0.1576
TRAFD1	0.13575
PEAR1	0.153666666666667
FAM36A	0.116875
OR1S2	0.340333333333333
LOC388323	-1.55375
PGS1	-0.0515
LEPREL1	-2.8485
TFF1	-4.44133333333333
HAP1	0.43
EPHB2	0.434
ACTG1	0.815833333333333
ZFP42	-0.355166666666667
HAVCR2	1.9566
NME1	-0.2145
SNX26	0.265333333333333
LACTB	0.741
ZKSCAN2	-0.7525
C5orf35	0.2245
ANKS3	0.0765
RBM28	-0.205
DKFZP586P0123	-0.966
HNRNPA1	-0.7375
BCAS3	-1.304
FLJ20184	0.1525
POLA2	-1.6535
TMC7	-0.186333333333333
HSD17B6	1.496
ZNF658B	0.982333333333333
TTTY10	-0.0155
RANBP9	-0.326666666666667
CPNE7	-2.45483333333333
EVL	-1.238
LNX1	-0.358583333333333
IFNA21	0.488833333333333
CFD	-0.03075
PYCARD	1.1335
MYBPC2	-0.792
ENPP3	-3.236
ACSL4	-0.7795
LOC440258	-1.01916666666667
TMEM176B	3.7065
SOX2	-4.82375
SCO1	-0.278333333333333
COMT	-0.58725
AOC2	-0.39875
PDLIM5	1.81585714285714
SPHK2	0.633833333333333
NXPH2	0.6185
GPR108	-0.0571666666666667
RAD51L1	0.462833333333333
TMEM54	1.114
LETMD1	-1.09411111111111
SLC6A17	0.6715
KRT75	1.552
STT3B	-0.182
CD3EAP	0.821
TMEM63A	0.1585
DUSP13	-2.82525
CD1C	-1.04083333333333
LASS2	0.28
AVP	0.727
PITPNM1	-1.4445
FLJ22795	-1.0115
MCTP1	-1.8665
TRIM68	-1.38183333333333
UCK2	0.840333333333333
ABHD1	-0.59175
FAM50A	0.08775
RNASEH1	-0.0858333333333333
PCP2	-0.9635
OR52H1	0.5625
C20orf149	0.12925
RBP5	0.00299999999999999
HYAL3	0.24675
CLPB	-0.67125
SMNDC1	0.7855
DONSON	-0.956833333333333
FLJ27523	0.288333333333333
BARHL2	0.169833333333333
SLC30A9	-0.458666666666667
TMPRSS11B	-0.16825
E2F8	0.0595
CCDC25	0.225833333333333
C14orf48	0.0766
C20orf116	0.16925
TSPAN11	0.4175
YIF1B	-0.646333333333333
FAM12B	0.438
OR1L6	0.403
HPN	-3.3198
NBN	1.0765
C14orf94	-0.327833333333333
OCLM	0.554
ZSCAN18	-0.0642
L3MBTL	-2.8281
TSTA3	1.321
RAC1	0.11475
C19orf15	-0.109333333333333
NFE2	-5.201
KLK14	0.3725
ARSF	0.6735
MAST2	0.349166666666667
AMICA1	2.79433333333333
GTF2A1	0.51925
ATP1A3	0.06575
TC2N	1.9217
PNKP	-0.01225
ODZ2	-2.69375
MATR3	-0.011375
S100P	1.47275
KRT82	-0.667
CA13	0.2137
PROZ	-1.85016666666667
AASDH	-0.25
C19orf40	-0.290333333333333
DCK	0.0977692307692308
FAM5C	0.97325
SLC6A4	-3.386
MID1IP1	-0.490625
TESSP5	0.3845
TMOD4	0.673666666666667
DOCK2	-0.118833333333333
TUG1	0.551
NUP214	-0.93975
DPYSL2	-0.471863636363636
GOLM1	0.665416666666667
MPFL	0.362
SOX13	-0.171
SDCCAG8	0.2204
KEL	-2.09333333333333
NUP210L	-2.3725
GK	-0.6565
DNAJB1	1.18125
ALPK3	0.278
CHID1	-0.8285
CYLC2	-0.414333333333333
IKZF5	0.87
C8orf51	0.5415
PPM1J	1.30375
GIMAP8	3.73533333333333
GPR101	0.102
NR2F1	-3.066
ACAD8	-0.89875
RBM35A	1.4675
GNAI2	-0.180333333333333
METTL8	1.16933333333333
SLC39A7	-1.005
FBXO8	0.249
CAMK1	-0.81125
RFC3	-0.57825
FAM129A	0.701428571428571
ILF2	1.24975
FGFBP3	-0.1525
NOM1	0.19
PSMA3	0.223
ASCC3	0.3112
ZYG11A	0.59175
SOX21	-1.2535
LYRM1	-0.5505
DEFB1	2.6545
LOC91431	-2.06616666666667
OR7C2	1.77
FAM46B	0.4765
TMEM18	-0.70025
ARHGAP30	2.099
TMEM86A	1.66133333333333
EPHA2	0.280833333333333
C10orf46	1.36565
TCHH	-0.231333333333333
C3orf30	0.0956666666666667
LOC285636	-0.596166666666667
PAIP2	-0.281
CYP2U1	-0.212
C12orf34	-0.314
SARS2	-0.316333333333333
ZCWPW1	0.115
SAMD12	-0.04375
KIAA1430	-0.31925
ACAT1	-0.994
MEOX1	0.7865
ADAMDEC1	7.65325
PHKA2	-0.80675
CARD11	-0.2175
CALML4	-0.448
TSSC1	-0.50975
TMEM45A	-1.332
MPP7	-0.80225
POU1F1	0.115
SLC2A13	-1.3516
FBN2	-0.581714285714286
ZC3H7A	0.2264
LAIR2	1.4105
ST3GAL1	0.252666666666667
LCT	-2.97975
GEMIN8	-0.0828333333333333
KLF16	0.5454
HIF3A	-0.4705
FAM44A	-0.123714285714286
AQP10	-1.3497
PLA2G2A	-1.079
FOLH1	0.92
C20orf186	0.089
MAPKAP1	-0.6205
SPRR2D	-1.48725
UBQLN4	0.883
RSHL1	0.480833333333333
PIAS3	-0.28175
MRPL24	1.9385
GREB1	-4.48175
FAM27E3	-0.208
NUP62CL	-3.20025
NEUROG3	0.6645
REEP3	1.03191666666667
MARK1	-0.692
LMBRD1	-0.01075
PRPF19	-0.483
PNMT	-1.836
CTGLF1	-0.7305
SLC25A16	0.26825
EIF2B3	-0.1505
RPA2	-0.45325
PAK6	1.34866666666667
CCDC26	-4.361375
SEMA3E	1.124125
MXD4	0.5437
TNFSF10	4.141
SMARCB1	-0.571333333333333
DTX3L	2.713
PLA2G4E	0.4085
PPAP2A	0.26625
ULK1	-0.411583333333333
TAS1R3	0.3025
SLC2A3	-2.81836363636364
ARID3A	-2.493
GNG5	0.27675
ACOX1	0.1832
KIF5B	1.14575
NUP153	-0.001
MUC7	0.248
CSDE1	-0.0817857142857143
CLPTM1	-0.44025
C3orf23	0.074125
LRRC17	-2.138
TTYH3	-0.616
ATP5B	-0.9885
ELF3	2.9086
CPSF3L	0.490166666666667
ZNF665	0.0548333333333333
TLR6	2.299
GPI	-0.69625
RAD9A	-0.381625
NDST4	-3.971
AGPAT3	-0.94575
MAGI3	0.148166666666667
ADORA2A	0.357625
CACNG7	-0.1965
CAMK2D	0.916571428571428
CCHCR1	-0.41
RPS27A	0.016
OR10G7	0.571833333333333
GCM2	0.0165
FAM135B	0.4673
E2F1	-0.56825
PLCB3	0.4505
OR2AE1	0.387
COIL	-0.3025
CDC25C	-0.814666666666667
RAB11FIP2	0.3075
TSC2	0.035
CTGLF5	-1.156
CCDC108	0.00320000000000002
OR13C4	0.832
C10orf81	6.276
PTPRB	1.06725
ACP2	0.65725
LAG3	3.1115
MRPL54	-0.15175
LOC201175	1.1065
ITGB1BP3	-1.451
SPTAN1	0.1075
SIPA1L2	-0.20825
RCAN2	-0.7715
CDX2	-0.025
ECOP	-0.1925
ACTR1A	0.497285714285714
PPARG	-1.75633333333333
BBS10	0.357666666666667
TMEM44	-1.036875
BPIL2	-0.2245
CITED1	-2.18825
IRF6	4.79375
PRDM4	0.585166666666667
RRP9	-0.14
OR10H4	0.41575
IL31RA	-0.769
GNB1L	-0.318833333333333
MYBL2	-0.38475
ZNF407	0.9285
PPIG	-0.258166666666667
TTC18	-1.04925
RPSA	0.6325
MAPT	-0.883875
MRE11A	-0.395142857142857
C8orf37	-0.431166666666667
RASGEF1C	1.01183333333333
STBD1	0.0275
CTAG2	-0.863833333333333
MGAT5B	-1.59433333333333
ECM1	0.026
RLN1	-0.305
PARP14	2.146125
EPB41L1	0.1005
HOXA3	-1.21158333333333
MAGEA9	-4.2605
RPS8	-0.301333333333333
RPS19BP1	0.87825
FOXJ2	0.20125
C10orf76	0.82825
IL17RE	0.12775
C10orf65	-3.022
ZNF343	0.558333333333333
FBXO33	-0.023
UHMK1	1.8464
LY6G6C	-0.0845
FGF19	-2.54275
C14orf128	0.6305
IFIT2	4.73675
TIGD1	1.12125
S100G	-0.4035
GUCY1B3	2.0845
NR3C1	-0.4516
CORO1B	-0.231166666666667
PARP11	-0.0664166666666667
DNALI1	-0.146333333333333
OR4N4	0.508428571428571
MAP2K6	-0.386833333333333
FSTL4	-0.671
ANKRD47	1.257125
TMEM171	-0.071
PNLIP	0.40375
YY1	0.169833333333333
CCDC138	-0.859166666666667
AASDHPPT	-0.9642
CKS1B	1.5091
MCM3	-0.794333333333333
ANAPC7	0.0353333333333333
FAM110A	0.721
CDC37L1	1.57216666666667
THTPA	-0.01325
NBPF20	-0.2625
WDR24	0.1375
NPTX2	-0.9955
CBLB	0.857
CETN1	0.217833333333333
RPUSD1	0.635
FAF1	0.04875
CDK6	-0.3022
HMX2	0.6095
CSK	0.0426666666666667
TEAD2	1.058
SNAP25	-1.52425
TUFT1	0.3536
TMTC3	0.881
LCK	-0.507
SGOL1	1.319
AKTIP	0.561
FURIN	0.808125
SOX12	-0.577666666666667
DEFB103A	-0.4885
RAMP1	-0.15675
KIR3DX1	0.292
GAS2L3	0.67925
PDE8A	-1.6057
EDN3	0.688
GMIP	1.225
SF3A2	0.36725
FN3KRP	0.57325
SMAD7	1.3285
RHBDD2	0.1175
OR11H6	0.38
PPP1R3B	0.9862
C9orf23	0.29625
CADPS	-1.7905
GOLGA8A	-1.965
TMEM57	0.937833333333333
RGL3	-2.624
S100A14	2.46075
FGFR2	2.071375
XRCC3	-0.3185
RTN4RL2	0.45625
MGC3771	-0.3355
GH2	0.213666666666667
BTBD2	-0.07875
LMO2	-0.01825
RDBP	0.16975
ACRBP	-1.56275
AMY2A	2.36925
DUOXA1	0.3945
PTK7	0.55
TWF2	0.2905
FAM80A	-3.295
TNNI2	-2.36583333333333
GLT25D1	-0.301833333333333
OCC-1	-2.0235
CYC1	0.0255
RPL22	0.362772727272727
MORN3	0.5735
DISP1	0.031
PRB2	2.3485
CHUK	0.11
HR	2.319375
CCDC134	0.491375
DENND4B	-0.2705
C14orf130	-0.274375
RAB33A	-0.63725
DCST2	0.398
TNMD	-2.0285
PEX7	0.11275
FAM62A	-0.091125
SRD5A2L	0.15875
IL22	0.0225
RPS26	-0.2415
HOXC5	-0.7615
SPATA6	0.291
FLJ38482	-0.32675
ZNF234	1.0585
C18orf22	0.584
SPATA22	0.80225
THOC1	0.61825
CYP7B1	4.12475
KCNC3	0.6065
C8orf42	-0.315
ALDH1B1	0.545666666666667
CCDC100	-0.2499
ARMC4	-3.797
FAM18B2	0.4345
SLC44A1	0.045625
FBXO17	-2.49966666666667
C6orf107	-0.092
C19orf29	0.07475
ZC3HAV1L	0.20475
PARP6	0.2601
SULT2A1	-5.1395
C1orf159	0.29125
TMC1	0.03
CHST14	-0.71025
GAMT	-3.55683333333333
SMCP	0.2955
TSPAN33	0.997416666666667
MIDN	0.03025
NOX4	2.48675
RNASEN	-0.6794
TBX1	-0.3125
SALL2	-3.4025
C10orf35	2.036
CYP2E1	-0.55875
LRFN2	-0.266166666666667
ACO1	-1.7745
IQCG	2.9516
MEGF9	0.1635
TM7SF4	3.2385
PLEKHA1	1.2876
STK33	-3.4895
C1orf210	1.6985
SNUPN	0.3538
KIAA0406	-0.4373
C20orf29	0.71475
TMEM55B	-0.2765
OSTM1	-0.4250625
CLCN7	0.13725
OTP	0.3765
FLJ23049	-0.878
HEATR4	0.398
MAP3K10	0.430333333333333
PCDHGA9	1.088
AMDHD2	0.0525
LCTL	-1.2645
PDCD2L	0.3005
CABLES2	-0.28275
SLC5A9	-0.5065
CLCA2	-2.09633333333333
MGC16025	0.5015
STRAP	-0.625333333333333
C20orf196	-0.71
RRBP1	0.820666666666667
NAT13	0.28975
MAT2B	0.19125
CSNK1D	-0.027
KIR3DL1	0.77075
PRKAG3	3.6775
ZNF599	-0.3025
PRM3	0.8235
PER2	0.0393333333333333
ASPHD1	-1.3085
PRMT6	-0.4805
KCNE1L	-0.103214285714286
FAM118A	-0.5815
TAF4	-0.0075
NDUFB6	-0.038
TRIM9	-1.316
PMFBP1	0.13325
KY	0.1875
DKFZp762E1312	-0.276
CSMD1	-1.754
TBP	0.268
OR1Q1	0.246166666666667
RETNLB	0.1145
HPGD	0.203071428571429
DNAJC12	-2.58883333333333
FKBP1B	-2.4815
ANKRD24	-0.322666666666667
CXXC5	-1.90983333333333
IL3	0.969875
DRAM	1.6662
PTCH1	-0.793875
TP53BP1	-0.00825
SLC17A7	0.952125
COL25A1	-1.253
AMACR	-1.18966666666667
RHCG	3.25075
VPS13A	-0.976916666666667
FAM55D	-0.1095
PRPF38B	-0.104083333333333
OSBPL6	-1.2795
PFDN5	-0.3643
CMTM6	0.913125
KCNK12	-1.49625
RP2	0.443
C16orf52	-0.70725
PICK1	0.112
IFNE1	-1.206
SEMA4B	-0.47125
TYRO3	-1.424
OR12D2	0.3175
CSNK1A1	-0.04505
FANCF	0.616
LONP2	0.737125
TBL1Y	-0.1485
LDOC1L	-0.1975
CCNC	0.11625
C3orf60	-0.35575
CHKA	-1.318
UBAP1	0.506
MAP3K1	0.7735
ANKRD9	-0.97025
FAM92A1	-2.45666666666667
GAB2	0.13275
AZU1	-0.598
DIS3	-1.42975
C21orf109	-0.94325
IQCB1	-0.214
SPATS2	-0.592
EFCAB3	-0.27225
PRB3	0.65625
FUZ	-0.752166666666667
ZNF813	0.116875
BMPER	-1.54366666666667
HEG1	0.700875
ALS2CR11	-1.8815
SURF2	0.91675
PSMC1	0.32575
OR2D2	0.9375
SLC7A8	-0.196166666666667
C4orf40	0.2475
SPATA7	0.391
MAZ	-0.0953333333333333
PIN4	0.28575
PDE1A	-2.070875
TAF6L	-0.00616666666666667
OR2T34	0.311
KIAA0284	0.78625
ACADS	-1.53690909090909
MKRN2	0.1655
C18orf56	-0.011
MS4A6E	0.17
GALNT4	0.5881
C22orf31	0.4995
FLJ36070	0.518
PSME4	0.87
TFG	0.284
EPHX2	0.17875
ANXA5	0.3675
KRTAP1-1	0.4572
BATF	2.31875
KARS	-0.16575
MSTP9	-0.3875
GPR26	0.191625
CCDC72	0.43575
TEF	-0.7595
FOXK1	-0.1661
PRLHR	1.118
EMX1	0.42575
C11orf30	-0.3525
ICK	1.24575
THSD7B	-0.5545
C21orf100	-0.593
DUOX1	2.675
EFCAB4B	0.2285
UBE2G2	-0.581333333333333
C3orf54	-0.04
PARP1	-0.3825
FAM60A	0.0286666666666666
C6orf146	0.15
OR9K2	0.579
DDX55	-0.0821666666666667
RPS15	-0.856333333333333
ZNF618	0.803125
DKFZp686D0972	0.45775
SSPO	-0.7885
SHFM3P1	0.287
CPA6	-1.095
JAG2	0.88525
DEFA3	0.603
PPBPL2	0.2425
CD34	3.98
SLCO4A1	-1.511125
AFG3L1	-0.525666666666667
SHD	-0.64375
RP13-122B23.3	-0.398833333333333
PRKCSH	-1.4585
DPH5	-0.123
HLA-F	2.818
TBC1D4	-0.5695
RIG	-0.0905
GLUD1	0.101333333333333
HNRPCL1	0.32625
HBXIP	0.07775
RNF207	-0.32
APIP	-0.4125
PLA2G3	-2.605
CCDC84	-1.309
MYLIP	-0.799615384615385
PHIP	-0.2275
AARS2	-0.397
DHX32	0.3795
SCAPER	-0.527333333333333
MEN1	-0.172125
NIP7	0.5725
FLJ25404	0.392
FASTKD3	-0.6
TMEM158	-1.57725
RARA	0.24075
BDH1	0.7465
ANKRD16	0.84325
CARM1	0.2175
SS18	0.246666666666667
IKZF2	-0.0653333333333333
MYD88	1.349875
PML	2.4135
TAF1A	-0.61925
CBFB	0.625625
HIST1H3H	-0.0551666666666667
C7orf29	-1.137
COMMD4	-0.422
DPP3	-0.639
DAB2	0.296
LOC388882	-0.0865
YPEL4	-0.8165
AGBL3	0.8035
LRP6	0.2903
SERPINH1	0.482666666666667
TLE1	1.013
CD244	1.47183333333333
ZDHHC15	1.56725
MGLL	-1.0908
PLDN	-0.0696666666666667
LOC654346	1.992
FAP	2.4895
GPR37	1.04483333333333
SCARA5	-0.0316666666666667
EBF4	0.166363636363636
LSM6	0.70325
MLLT1	-0.2573125
SLC5A12	-0.8255
A2BP1	-1.493
COPS5	0.129833333333333
TPM4	0.1845
TNFSF4	1.12033333333333
ACADSB	-0.690222222222222
HERPUD1	0.49925
BCL2L11	0.118
CEP78	-0.73475
CDCA3	0.057375
WBSCR19	-0.3737
MYO1A	-2.5045
PPEF1	1.93616666666667
LOC440348	-0.283
CPEB2	0.32075
BPTF	-0.260416666666667
RPL21	0.2755625
GSX2	0.003
ADPRH	2.1345
C17orf68	0.429333333333333
KCNS1	0.284166666666667
MLLT6	0.1183
PIWIL4	1.10125
RNF26	-0.9445
RAP1B	0.839625
ADAMTS1	-1.3112
ZNF571	0.21425
P2RY6	1.41925
TRIM21	1.62816666666667
CADM3	0.082
NLRC5	2.10716666666667
ADRA2B	0.466
LOC90835	-1.021375
PCF11	-0.703
LOC400451	-1.87275
GLTSCR1	0.5394
C17orf88	-0.855666666666667
CDH16	0.077
FGF7	2.45025
PCSK4	-0.965833333333333
NPC1L1	-1.70866666666667
TAT	0.115625
TBCA	-0.571
MGC33407	-0.06725
GPR115	-0.785
CYGB	-0.0885
FNBP4	-0.1825
C12orf43	-0.06425
CBL	-0.044
CLECL1	2.3945
PPAPDC1A	1.57325
WDR25	0.219666666666667
SGCA	0.5295
C22orf29	-0.429
YIPF1	0.55125
GALK2	0.45725
RAB3B	-3.73166666666667
LOC440087	-1.10775
UCP1	-0.9395
REEP5	0.324
FADD	-0.4127
FOXA1	-3.626875
CACNA1A	0.270166666666667
ABI1	1.23783333333333
GRIN2D	0.5445
SLC1A4	-1.119
LOC401127	0.18925
HINT2	-0.23175
PLD4	0.95
ZNF286A	0.43425
ENY2	0.02
IL1F6	0.0375
PXDNL	4.48325
C20orf79	0.09825
TNFSF13B	4.6855
DENND3	0.434625
JARID1D	-3.58675
HIST1H2AK	0.434375
LOC93349	0.7477
SSH1	0.2912
ENSA	0.7255
LOC219854	-0.379833333333333
CKAP2	-1.3393
DKFZP564J102	0.168333333333333
MGC87315	0.0866666666666667
HNRPAB	-0.35175
AMH	-0.23
ZNF526	1.0385
BRUNOL5	-0.5699
CACNG3	0.3475
TRPM1	-2.093
PPP2R1A	-0.175625
COL2A1	-1.19425
DDN	0.705666666666667
FLJ25770	0.454083333333333
HK2	-0.440785714285714
ELOVL6	-0.153125
MDK	-0.747
EPHX1	-0.51475
RASSF2	0.855125
DKFZP434B0335	-0.46225
DLX3	0.4675
PRTN3	-0.67975
AVPR1A	0.602
C21orf125	-2.2345
TNFAIP8	0.0726666666666667
GNB2L1	-1.186
CALCRL	2.8865
SCGB2A2	2.25033333333333
UBXD7	0.14375
ZNF674	-0.111
TMEM35	-0.59475
BRSK2	-0.359625
HECTD3	0.407833333333333
TMEM188	0.00174999999999999
LGALS9	2.445125
SCARB2	0.46
USP34	-0.0196666666666667
C17orf28	-0.761416666666667
ZDHHC23	0.2305
AQP12B	0.415
SLC16A3	-2.024125
APLP2	-0.505875
ITIH2	-5.40125
MICAL3	0.106
TNNI3K	0.2361
HDAC2	1.27475
PRR7	0.42
THBS2	-0.289625
LOC751071	-0.576333333333333
CA2	-0.901666666666667
RANBP17	0.545
RLN3	0.2315
CRYZ	0.534
GBAS	-0.419666666666667
TAS1R1	-0.195
MPZL3	0.9525
PCDH8	1.493
HSP90B1	0.525333333333333
KCNK15	-0.3205
TNIP2	0.508666666666667
GPR146	-1.12275
NOL6	0.124375
SPC25	-1.37255555555556
STEAP2	0.163142857142857
VAMP3	0.370333333333333
TCIRG1	0.36375
ZP4	1.38816666666667
PARL	0.34625
TRIM39	0.730833333333333
KIAA1305	0.34025
CRNN	0.1922
GRN	0.4305
HSH2D	-0.776
SCAMP1	-0.0319375
KIAA1913	0.5135
PTS	0.38
BANP	0.577
PRKACG	0.10625
ADCY6	-0.420333333333333
C16orf46	0.5375
CYP51A1	-0.3995
DDC	-2.58325
ANPEP	0.847666666666667
PROM1	5.16283333333333
SIGLEC10	2.76775
COPG	1.0925
FAM26E	1.794625
TRIP4	0.72125
SNX3	1.02983333333333
C1orf175	0.5165
PPY2	0.3125
C14orf152	0.17025
FTSJ1	-0.437666666666667
DST	-0.9766
LOC554235	0.08575
GLRX5	-0.32125
C20orf12	1.2377
CAB39	0.149
MSH2	-0.769166666666667
PIP4K2C	0.558
CYLD	1.42125
WTAP	1.19275
MGAT4A	0.833555555555555
TSC22D4	-0.3033
CHRM2	-1.5875
PPYR1	0.372
CCNH	-0.853
RRM1	-0.7665
ECAT8	-3.41725
LOC400120	-0.26
GABRA4	0.1055
C14orf4	0.513
C1orf59	1.637
CTDSPL	-0.1745
NHEDC2	0.5285
PDE11A	-1.98506666666667
KLHL29	-2.13375
CD5	0.8644
TSPAN9	0.3096875
WDR67	-0.24675
THUMPD1	-0.2424
C18orf17	0.38075
CLYBL	-0.726166666666667
FLJ13231	-0.959375
CMBL	-3.2145
LECT2	-0.5115
NKAPL	2.07316666666667
LOC654780	0.8195
OR4C6	0.364
RAB30	-0.901333333333333
TSSK4	0.006
TMEM163	0.919
OSBPL11	1.10241666666667
GNB5	-1.17133333333333
CCL21	1.1675
C1orf121	0.7225
FMO2	4.0965
RPTN	1.1075
MSTN	0.354
VCL	0.505214285714286
FYTTD1	-0.2525
C11orf1	-1.51475
CCDC88C	0.9015625
HFE	-0.551166666666667
MOGAT1	-0.5125
FAM125B	-0.064
IRGQ	0.6225
RAVER2	0.87075
AKAP5	-0.9835
SSSCA1	-0.31525
C11orf63	1.520625
ACTG2	1.8517
PORCN	-1.6065
DTL	-1.49727272727273
TMEM151	0.46825
FAM122C	-0.48125
RSAD2	5.6807
BAT4	-0.574
KRTDAP	-0.279333333333333
MYH8	0.0457142857142857
CRTC3	0.07525
LRRFIP2	1.9771
INTS4	-0.901833333333333
TTN	-1.16633333333333
SLC26A5	0.8775
PLLP	-2.1495
RGS6	-0.369875
SRGAP3	-0.028
ZNF525	-0.0303333333333333
NBR2	-1.05016666666667
C13orf1	-0.5321
ZNF137	-0.153
CEP27	-0.78275
BEST2	0.425
RNF121	-0.50275
DMRTC2	-0.0185
C8orf76	0.3295
BCCIP	0.095
MEST	-4.75075
HTRA2	0.086
ANGPTL2	0.445
ILKAP	0.341333333333333
ERAS	0.448
HBS1L	-0.436
CPA5	0.448
TMEM30A	0.412
CD300LF	2.79716666666667
WISP3	-0.03
CRK	0.561857142857143
PDS5A	0.0496
BRPF3	-0.240833333333333
NEDD9	-0.436875
SMPDL3B	1.17875
PSG6	-1.43
PSMD13	0.8765
ETV5	-1.358
OR51A4	0.017
BTBD7	0.917916666666667
GSTO1	0.184375
hCG_16001	-0.035
MAD2L1BP	-0.1045
COX6A2	0.582
SCNN1A	-0.959166666666667
LSM1	1.00683333333333
UGT2B11	-3.92725
IDUA	-0.35325
PPP2R3C	-0.301833333333333
COX11	-0.985333333333333
PDZK1	-4.00075
ZNF443	-0.0451666666666667
MGC21874	0.545
ZNF323	0.9748
KRTAP10-10	0.1675
CXCL6	-0.2515
SLC34A2	4.0364
LOC284402	0.282
NPTN	0.288083333333333
UPP1	-0.469166666666667
SLC6A9	0.8665
OR7G3	0.69025
CISD1	-0.0793333333333333
ZNF545	0.628
SYT14	-1.0255
NT5C3L	-0.734666666666667
ZNHIT3	-0.379166666666667
SNRPD3	0.212
