Hybridization REF	TCGA-AO-A12F-01A-11R-A115-07
TC2N	2.9908
PNKP	0.2015
ODZ2	-0.31225
MATR3	0.074625
S100P	-3.401125
KRT82	-0.6625
CA13	-0.0462
PROZ	-1.70166666666667
AASDH	0.343625
C19orf40	-0.1075
DCK	-0.622692307692308
FAM5C	3.45125
SLC6A4	-1.9635
MID1IP1	-0.922375
TESSP5	-0.195
TMOD4	-0.977333333333333
DOCK2	-1.37016666666667
TUG1	1.08775
NUP214	-0.54125
DPYSL2	0.777863636363637
GOLM1	0.232833333333333
MPFL	0.423
SOX13	2.396
SDCCAG8	1.1667
KEL	-2.20283333333333
NUP210L	-2.38675
GK	-1.149375
DNAJB1	-0.37275
ALPK3	0.171
CHID1	0.6322
CYLC2	0.136833333333333
IKZF5	-1.144
C8orf51	1.68783333333333
PPM1J	-0.243
GIMAP8	2.89683333333333
GPR101	-0.426
NR2F1	0.345
ACAD8	-0.21325
RBM35A	2.5175
GNAI2	-0.347333333333333
METTL8	1.35166666666667
SLC39A7	-0.7535
FBXO8	-0.319
CAMK1	-1.041
RFC3	-1.07825
FAM129A	2.39078571428571
ILF2	0.51975
FGFBP3	0.041125
NOM1	0.0818333333333333
PSMA3	-0.975
ASCC3	1.7158
ZYG11A	1.64875
SOX21	-1.17425
LYRM1	-0.195
DEFB1	4.177
LOC91431	-1.1505
OR7C2	1.998
FAM46B	-1.701625
TMEM18	-0.2175
ARHGAP30	0.878166666666667
TMEM86A	0.84675
EPHA2	-0.843
C10orf46	-0.40965
TCHH	-1.39483333333333
C3orf30	0.2335
LOC285636	0.0445
PAIP2	-1.105
CYP2U1	-0.32625
C12orf34	-0.6185
SARS2	-0.116166666666667
ZCWPW1	0.382
SAMD12	-0.4605
KIAA1430	-0.101875
ACAT1	-1.5985
MEOX1	2.744
ADAMDEC1	1.29875
PHKA2	-0.53525
CARD11	-1.99816666666667
CALML4	-1.288
TSSC1	-0.0795
TMEM45A	-0.254222222222222
MPP7	-1.259875
POU1F1	0.17925
SLC2A13	-1.6904
FBN2	1.36942857142857
ZC3H7A	-0.0627
LAIR2	-1.4015
ST3GAL1	0.116833333333333
LCT	-2.51275
GEMIN8	-0.201
KLF16	0.9207
HIF3A	0.1445
FAM44A	1.29571428571429
AQP10	-0.8398
PLA2G2A	2.8295
FOLH1	2.362
C20orf186	0.295
MAPKAP1	-0.92275
SPRR2D	-1.80225
UBQLN4	0.689666666666667
RSHL1	0.2825
PIAS3	0.224375
MRPL24	0.92125
GREB1	-2.9905
FAM27E3	0.0045
NUP62CL	-1.935
NEUROG3	1.9065
REEP3	0.942083333333333
MARK1	-1.34575
LMBRD1	-0.05925
PRPF19	-0.611
PNMT	-0.216333333333333
CTGLF1	0.032
SLC25A16	-0.4635
EIF2B3	-0.4315
RPA2	-1.09025
PAK6	2.1545
CCDC26	-4.234875
SEMA3E	-0.45675
MXD4	0.5968
TNFSF10	1.5284
SMARCB1	-0.141166666666667
DTX3L	-0.507166666666667
PLA2G4E	-0.0505
PPAP2A	1.406
ULK1	-0.470416666666667
TAS1R3	0.212
SLC2A3	-2.23218181818182
ARID3A	-1.74725
GNG5	0.08075
ACOX1	0.0564
KIF5B	0.99775
NUP153	-0.518
MUC7	-0.0295
CSDE1	-0.289071428571429
CLPTM1	-0.33575
C3orf23	-0.8475
LRRC17	-2.62366666666667
TTYH3	0.326375
ATP5B	-2.0535
ELF3	-0.4565
CPSF3L	-1.098
ZNF665	0.310333333333333
TLR6	-0.7082
GPI	-0.550625
RAD9A	0.58375
NDST4	-3.3675
AGPAT3	0.112583333333333
MAGI3	2.27466666666667
ADORA2A	-0.802
CACNG7	-0.0335
CAMK2D	0.674571428571429
CCHCR1	-0.4905
RPS27A	0.0155
OR10G7	0.548333333333333
GCM2	-0.1785
FAM135B	-0.0116
E2F1	0.206
PLCB3	0.4095
OR2AE1	0.3375
COIL	-0.173166666666667
CDC25C	-1.47516666666667
RAB11FIP2	-0.197333333333333
TSC2	0.24375
CTGLF5	-0.3635
CCDC108	0.6268
OR13C4	0.198
C10orf81	0.7815
PTPRB	1.80275
ACP2	-0.52575
LAG3	-1.52525
MRPL54	-0.48
LOC201175	1.481
ITGB1BP3	-1.3155
SPTAN1	-0.0863333333333333
SIPA1L2	2.62375
RCAN2	-0.723
CDX2	-0.908
ECOP	-1.9365
ACTR1A	-0.154357142857143
PPARG	-0.599166666666667
BBS10	-0.108
TMEM44	-1.76175
BPIL2	-0.18325
CITED1	-1.8225
IRF6	4.191
PRDM4	-0.310833333333333
RRP9	0.524666666666667
OR10H4	0.2245
IL31RA	-0.4045
GNB1L	0.1095
MYBL2	0.11825
ZNF407	0.326
PPIG	1.60983333333333
TTC18	0.03325
RPSA	0.7135
MAPT	1.1205
MRE11A	-0.0987857142857143
C8orf37	-0.984
RASGEF1C	1.01333333333333
STBD1	-1.821
CTAG2	-0.352666666666667
MGAT5B	-2.2205
ECM1	-0.56075
RLN1	0.188
PARP14	-0.384875
EPB41L1	0.9223
HOXA3	0.00275000000000012
MAGEA9	-4.6435
RPS8	0.3435
RPS19BP1	0.544
FOXJ2	0.743625
C10orf76	-0.09875
IL17RE	1.32825
C10orf65	-2.4055
ZNF343	-0.817
FBXO33	-0.11775
UHMK1	0.9148
LY6G6C	-0.93675
FGF19	1.41375
C14orf128	0.167333333333333
IFIT2	-0.399125
TIGD1	0.922
S100G	-0.1725
GUCY1B3	2.268
NR3C1	-1.3347
CORO1B	0.528666666666667
PARP11	0.302666666666667
DNALI1	0.811
OR4N4	0.31875
MAP2K6	-0.1825
FSTL4	-0.13625
ANKRD47	1.5355
TMEM171	-1.3965
PNLIP	0.71625
YY1	0.800333333333333
CCDC138	-1.29066666666667
AASDHPPT	-0.7356
CKS1B	0.2373
MCM3	0.0993333333333333
ANAPC7	-0.745333333333333
FAM110A	1.16325
CDC37L1	0.8235
THTPA	0.19425
NBPF20	1.447
WDR24	0.82975
NPTX2	-3.28475
CBLB	0.9295
CETN1	0.784666666666667
RPUSD1	1.0285
FAF1	-0.258
CDK6	-1.6232
HMX2	0.0995
CSK	-0.445166666666667
TEAD2	0.57975
SNAP25	-0.75175
TUFT1	0.7058
TMTC3	0.886
LCK	-3.063
SGOL1	0.378
AKTIP	-0.055
FURIN	0.0855
SOX12	-1.15333333333333
DEFB103A	0.308
RAMP1	0.6285
KIR3DX1	-0.0305
GAS2L3	0.5855
PDE8A	-0.6051
EDN3	2.1035
GMIP	0.21025
SF3A2	1.76225
FN3KRP	-0.24875
SMAD7	0.50375
RHBDD2	0.5315
OR11H6	-0.074
PPP1R3B	3.2224
C9orf23	-0.22575
CADPS	-1.6975
GOLGA8A	-1.198375
TMEM57	-0.119333333333333
RGL3	0.3815
S100A14	-1.1105
FGFR2	-1.5674375
XRCC3	-0.33175
RTN4RL2	0.635
MGC3771	1.182
GH2	0.636666666666667
BTBD2	0.0235
LMO2	-0.5475
RDBP	0.17875
ACRBP	-1.77275
AMY2A	4.536
DUOXA1	0.283
PTK7	1.51183333333333
TWF2	-0.333833333333333
FAM80A	-0.25725
TNNI2	-2.61333333333333
GLT25D1	-0.109666666666667
OCC-1	-2.487
CYC1	-0.706166666666667
RPL22	-0.852590909090909
MORN3	2.87566666666667
DISP1	-0.357
PRB2	0.558
CHUK	-1.09025
HR	1.99775
CCDC134	-0.282875
DENND4B	-0.40225
C14orf130	-0.8865
RAB33A	-2.83625
DCST2	0.2005
TNMD	0.4515
PEX7	0.48475
FAM62A	-0.2305
SRD5A2L	-0.169
IL22	0.1855
RPS26	-1.87766666666667
HOXC5	-0.163
SPATA6	0.295
FLJ38482	0.05725
ZNF234	2.2935
C18orf22	0.613
SPATA22	1.8025
THOC1	0.0825
CYP7B1	1.7655
KCNC3	0.04875
C8orf42	0.685
ALDH1B1	-0.00849999999999999
CCDC100	-1.3556
ARMC4	-3.89325
FAM18B2	-0.71475
SLC44A1	-0.320625
FBXO17	-0.2105
C6orf107	-0.67325
C19orf29	0.16825
ZC3HAV1L	1.01525
PARP6	-0.2877
SULT2A1	-4.677125
C1orf159	-0.955
TMC1	0.085
CHST14	-0.315375
GAMT	-2.501
SMCP	-0.108166666666667
TSPAN33	0.284666666666667
MIDN	-0.258
NOX4	2.3485
RNASEN	-0.3755
TBX1	1.722
SALL2	-0.7955
C10orf35	1.2085
CYP2E1	-1.641
LRFN2	-1.15233333333333
ACO1	-1.22566666666667
IQCG	1.134
MEGF9	-0.2345
TM7SF4	1.729
PLEKHA1	0.00273333333333335
STK33	-2.78525
C1orf210	1.42625
SNUPN	-0.3979
KIAA0406	-0.9334
C20orf29	-1.18675
TMEM55B	-0.3755
OSTM1	-0.946375
CLCN7	0.70875
OTP	0.21325
FLJ23049	-1.50825
HEATR4	0.153
MAP3K10	1.42083333333333
PCDHGA9	0.293
AMDHD2	0.2555
LCTL	-2.318
PDCD2L	0.1175
CABLES2	0.716
SLC5A9	-0.23575
CLCA2	-2.18316666666667
MGC16025	-0.9315
STRAP	-0.597166666666667
C20orf196	-2.2395
RRBP1	0.053
NAT13	-0.24275
MAT2B	-0.86275
CSNK1D	-0.540833333333333
KIR3DL1	0.569
PRKAG3	0.366
ZNF599	-0.857
PRM3	1.7805
PER2	0.324166666666667
ASPHD1	-0.3825
PRMT6	-0.606
KCNE1L	-0.281642857142857
FAM118A	-0.919166666666667
TAF4	0.3505
NDUFB6	-0.075
TRIM9	-1.6435
PMFBP1	-0.561
KY	0.471
DKFZp762E1312	-0.681363636363636
CSMD1	-1.71275
TBP	0.216833333333333
OR1Q1	0.772666666666667
RETNLB	0.06975
HPGD	-0.669571428571429
DNAJC12	-2.5745
FKBP1B	-1.5875
ANKRD24	-0.705
CXXC5	-1.64116666666667
IL3	0.2475
DRAM	0.3695
PTCH1	0.48575
TP53BP1	-0.4695
SLC17A7	0.40175
COL25A1	-1.5925
AMACR	-1.00466666666667
RHCG	-0.173
VPS13A	-0.152
FAM55D	-0.426
PRPF38B	-0.510333333333333
OSBPL6	0.7325
PFDN5	-0.4759
CMTM6	0.33825
KCNK12	-0.81175
RP2	-0.16225
C16orf52	-1.3915
PICK1	-0.526
IFNE1	-2.11666666666667
SEMA4B	-0.712
TYRO3	-1.0325
OR12D2	0.4575
CSNK1A1	-0.78645
FANCF	-2.593
LONP2	0.199625
TBL1Y	-1.223
LDOC1L	-0.018875
CCNC	0.8465
C3orf60	0.53225
CHKA	1.30375
UBAP1	0.2325
MAP3K1	0.802
ANKRD9	0.21225
FAM92A1	-0.933
GAB2	0.195
AZU1	-0.49125
DIS3	-1.03766666666667
C21orf109	-1.18033333333333
IQCB1	-0.65225
SPATS2	-1.1555
EFCAB3	0.112
PRB3	1.33125
FUZ	0.26
ZNF813	0.304875
BMPER	-0.860333333333334
HEG1	0.238125
ALS2CR11	-1.311
SURF2	0.76975
PSMC1	-0.56825
OR2D2	0.072
SLC7A8	-0.542833333333333
C4orf40	0.327
SPATA7	-0.89725
MAZ	-0.910333333333333
PIN4	0.2445
PDE1A	-1.666125
TAF6L	0.968166666666667
OR2T34	0.4615
KIAA0284	0.0975
ACADS	0.045
MKRN2	-1.132
C18orf56	-0.79525
MS4A6E	0.456833333333333
GALNT4	-0.0385
C22orf31	0.052
FLJ36070	0.5
PSME4	1.06
TFG	-0.3556
EPHX2	-1.21925
ANXA5	0.15
KRTAP1-1	0.3331
BATF	-0.61
KARS	-1.026
MSTP9	-0.0515
GPR26	-0.179
CCDC72	0.809
TEF	0.870666666666667
FOXK1	-0.0376
PRLHR	0.9025
EMX1	0.49225
C11orf30	-0.428375
ICK	1.085125
THSD7B	-0.39475
C21orf100	-0.6995
DUOX1	-0.3735
EFCAB4B	-0.93625
UBE2G2	-0.575166666666667
C3orf54	-0.17875
PARP1	0.263
FAM60A	0.637583333333333
C6orf146	0.22425
OR9K2	-0.0155
DDX55	-0.292666666666667
RPS15	-0.145
ZNF618	1.2814375
DKFZp686D0972	2.50125
SSPO	-1.212
SHFM3P1	-0.688666666666667
CPA6	-2.293
JAG2	1.272
DEFA3	1.9505
PPBPL2	0.320833333333333
CD34	4.57375
SLCO4A1	-1.8915
AFG3L1	-0.798666666666667
SHD	-0.816
RP13-122B23.3	-0.741333333333333
PRKCSH	0.0185
DPH5	-1.16433333333333
HLA-F	0.723375
TBC1D4	-0.2395
RIG	-0.1512
GLUD1	-0.667333333333333
HNRPCL1	0.08325
HBXIP	-0.89525
RNF207	-0.73
APIP	-0.997
PLA2G3	-2.51416666666667
CCDC84	-0.59725
MYLIP	-0.779153846153846
PHIP	0.67075
AARS2	0.334666666666667
DHX32	-0.7975
SCAPER	-0.791833333333333
MEN1	0.21775
NIP7	-0.13525
FLJ25404	1.018
FASTKD3	0.35125
TMEM158	1.01183333333333
RARA	0.6405
BDH1	0.8665
ANKRD16	0.3545
CARM1	1.3245
SS18	0.121833333333333
IKZF2	-1.48066666666667
MYD88	-0.050375
PML	-0.2528
TAF1A	-0.1045
CBFB	0.667125
HIST1H3H	-0.213166666666667
C7orf29	-1.34625
COMMD4	-0.9505
DPP3	-1.18075
DAB2	-0.150125
LOC388882	-0.17
YPEL4	-1.0335
AGBL3	1.36675
LRP6	2.8779
SERPINH1	-0.0996666666666666
TLE1	1.1945
CD244	-0.03
ZDHHC15	0.727
MGLL	-0.1948
PLDN	0.251833333333333
LOC654346	1.136
FAP	2.585
GPR37	-1.552
SCARA5	-0.947833333333333
EBF4	0.04
LSM6	0.0915
MLLT1	-0.1538125
SLC5A12	-0.46675
A2BP1	-1.4445
COPS5	-1.0405
TPM4	1.14914285714286
TNFSF4	-0.168333333333333
ACADSB	-1.25738888888889
HERPUD1	-0.5875
BCL2L11	-0.745
CEP78	-1.110375
CDCA3	0.34925
WBSCR19	1.5574
MYO1A	-2.568
PPEF1	-0.0498333333333333
LOC440348	-0.147
CPEB2	0.176125
BPTF	-0.324833333333333
RPL21	-0.291125
GSX2	-0.3015
ADPRH	1.3385
C17orf68	-0.2445
KCNS1	-0.914166666666667
MLLT6	0.6835
PIWIL4	2.38325
RNF26	-0.9595
RAP1B	0.11975
ADAMTS1	1.4116
ZNF571	-0.31475
P2RY6	0.4135
TRIM21	-0.533333333333333
CADM3	0.83375
NLRC5	-0.135666666666667
ADRA2B	-0.443333333333333
LOC90835	-0.81375
PCF11	-1.2095
LOC400451	0.6775
GLTSCR1	1.255
C17orf88	-0.3925
CDH16	-1.41925
FGF7	3.935625
PCSK4	0.639333333333333
NPC1L1	-1.10183333333333
TAT	0.0682857142857143
TBCA	-1.34925
MGC33407	-0.1475
GPR115	-1.4045
CYGB	-0.082
FNBP4	-0.139333333333333
C12orf43	-0.31725
CBL	0.0953
CLECL1	-0.60175
PPAPDC1A	0.808
WDR25	-0.715333333333333
SGCA	0.0615
C22orf29	0.129833333333333
YIPF1	-0.00149999999999999
GALK2	-0.271
RAB3B	-3.21958333333333
LOC440087	-1.454
UCP1	-0.73
REEP5	-0.055375
FADD	1.0475
FOXA1	-2.41475
CACNA1A	0.579666666666667
ABI1	0.907
GRIN2D	1.86375
SLC1A4	-2.24866666666667
LOC401127	-0.6535
HINT2	-0.26325
PLD4	-0.739
ZNF286A	0.8575
ENY2	-0.21875
IL1F6	0.3865
PXDNL	4.7625
C20orf79	-0.0425
TNFSF13B	1.15833333333333
DENND3	0.649
JARID1D	-3.47825
HIST1H2AK	0.8825
LOC93349	-0.1869
SSH1	-0.5056
ENSA	-0.84175
LOC219854	-1.05716666666667
CKAP2	-1.0181
DKFZP564J102	-0.151
MGC87315	0.501833333333333
HNRPAB	0.00875
AMH	-0.015
ZNF526	0.906
BRUNOL5	-0.0991
CACNG3	0.089
TRPM1	-2.765
PPP2R1A	0.636
COL2A1	-1.87775
DDN	-0.26
FLJ25770	0.407916666666667
HK2	0.924428571428571
ELOVL6	0.727375
MDK	1.11675
EPHX1	1.86325
RASSF2	0.73325
DKFZP434B0335	1.0015
DLX3	-0.2875
PRTN3	-0.91075
AVPR1A	1.984
C21orf125	-2.1425
TNFAIP8	-1.18433333333333
GNB2L1	-1.69175
CALCRL	3.53625
SCGB2A2	-0.553833333333333
UBXD7	0.9215
ZNF674	0.0195
TMEM35	1.49525
BRSK2	-0.988875
HECTD3	0.147
TMEM188	-0.635083333333333
LGALS9	0.96725
SCARB2	0.218833333333333
USP34	0.306166666666667
C17orf28	0.55475
ZDHHC23	-0.836
AQP12B	-0.1195
SLC16A3	-1.7065
APLP2	0.367625
ITIH2	-4.629
MICAL3	0.719625
TNNI3K	-0.5729
HDAC2	1.409875
PRR7	1.0012
THBS2	1.14075
LOC751071	-0.476
CA2	1.98566666666667
RANBP17	2.60775
RLN3	0.23525
CRYZ	-0.313833333333333
GBAS	-0.0423333333333333
TAS1R1	-0.51025
MPZL3	0.6215
PCDH8	-1.50125
HSP90B1	1.33383333333333
KCNK15	-1.0805
TNIP2	-0.566666666666667
GPR146	-0.2005
NOL6	-0.000375
SPC25	-2.30855555555556
STEAP2	1.50021428571429
VAMP3	-1.58516666666667
TCIRG1	0.48775
ZP4	-0.754833333333333
PARL	-0.573625
TRIM39	0.303666666666667
KIAA1305	1.90575
CRNN	0.332833333333333
GRN	-0.16475
HSH2D	-2.92475
SCAMP1	-0.34025
KIAA1913	-0.584
PTS	-0.8285
BANP	-0.109428571428571
PRKACG	0.15375
ADCY6	-0.114666666666667
C16orf46	0.107
CYP51A1	0.570625
DDC	-5.34575
ANPEP	-0.4155
PROM1	2.63716666666667
SIGLEC10	0.885
COPG	1.0505
FAM26E	0.795125
TRIP4	-0.3325
SNX3	-0.245666666666667
C1orf175	0.4255
PPY2	0.075
C14orf152	1.94
FTSJ1	-0.562833333333333
DST	0.6288
LOC554235	0.24375
GLRX5	-0.63525
C20orf12	0.8927
CAB39	-0.2695
MSH2	-0.112166666666667
PIP4K2C	0.925375
CYLD	-0.053125
WTAP	0.4199375
MGAT4A	-0.691666666666667
TSC22D4	0.7407
CHRM2	3.1895
PPYR1	0.609833333333333
CCNH	-1.88683333333333
RRM1	-1.5285
ECAT8	-3.4215
LOC400120	-0.3985
GABRA4	-0.224428571428571
C14orf4	1.04233333333333
C1orf59	0.325
CTDSPL	-0.367333333333333
NHEDC2	-0.731
PDE11A	-1.505625
KLHL29	-1.2505
CD5	-1.4542
TSPAN9	1.0955625
WDR67	-0.196
THUMPD1	0.0808
C18orf17	1.28725
CLYBL	-1.17633333333333
FLJ13231	-0.478125
CMBL	-2.221875
LECT2	-0.143
NKAPL	1.99666666666667
LOC654780	0.4375
OR4C6	0.1955
RAB30	-1.01816666666667
TSSK4	-0.1575
TMEM163	-0.9505
OSBPL11	0.177833333333333
GNB5	-0.6235
CCL21	0.548
C1orf121	0.465166666666667
FMO2	4.15933333333333
RPTN	0.869
MSTN	0.246
VCL	-0.0255
FYTTD1	-0.59625
C11orf1	-0.859
CCDC88C	0.20475
HFE	-0.255444444444444
MOGAT1	2.5565
FAM125B	-0.553166666666667
IRGQ	0.814
RAVER2	0.02175
AKAP5	-2.0645
SSSCA1	-0.32775
C11orf63	-0.5075
ACTG2	4.2057
PORCN	-0.0975
DTL	-0.562
TMEM151	0.5035
FAM122C	-0.9345
RSAD2	0.6902
BAT4	-0.8145
KRTDAP	0.250833333333333
MYH8	0.726875
CRTC3	-0.61775
LRRFIP2	-0.1562
INTS4	-0.767833333333333
TTN	0.5565
SLC26A5	0.4555
PLLP	-1.50775
RGS6	-0.4905
SRGAP3	-0.182
ZNF525	-0.0675
NBR2	-0.2315
C13orf1	-0.4136
ZNF137	-0.166
CEP27	-1.43
BEST2	0.2565
RNF121	-0.93425
DMRTC2	0.19425
C8orf76	-0.54325
BCCIP	-1.03225
MEST	-1.3575
HTRA2	0.1945
ANGPTL2	1.312
ILKAP	-0.303666666666667
ERAS	0.0165
HBS1L	1.35125
CPA5	0.392
TMEM30A	0.324833333333333
CD300LF	1.36866666666667
WISP3	3.778
CRK	0.672071428571428
PDS5A	-0.8359
BRPF3	-0.098
NEDD9	-0.5035
SMPDL3B	1.34075
PSG6	-1.41225
PSMD13	-0.654
ETV5	0.9274375
OR51A4	0.1485
BTBD7	0.791583333333333
GSTO1	-1.500875
hCG_16001	1.174
MAD2L1BP	-0.784666666666667
COX6A2	2.0365
SCNN1A	-1.341
LSM1	0.205833333333333
UGT2B11	-3.64575
IDUA	-0.323
PPP2R3C	-1.158
COX11	-1.18416666666667
PDZK1	-3.97875
ZNF443	0.398333333333333
MGC21874	-0.122
ZNF323	-0.1973
KRTAP10-10	0.955
CXCL6	0.482
SLC34A2	1.0379
LOC284402	0.036
NPTN	0.358416666666667
UPP1	-1.31666666666667
SLC6A9	-0.6965
OR7G3	-0.01675
CISD1	-0.427166666666667
ZNF545	0.3715
SYT14	-0.789
NT5C3L	0.034
ZNHIT3	-0.430833333333333
SNRPD3	0.55425
KIAA0701	-0.377375
UNC93B1	1.0595
GMNN	-1.25525
SPCS2	-0.523833333333333
LOC388524	0.241
NAPRT1	0.48775
PNLIPRP1	-0.61525
OR6V1	0.922
PRKAB1	-0.8915
EYA4	-3.51666666666667
KIF20A	-1.0725
ALG10	-0.276
ITPKC	1.39816666666667
LMX1B	0.552166666666667
RPUSD4	-1.10866666666667
C7orf34	0.0221666666666667
DLGAP2	-0.3535
PFN1	0.0109
MICALL2	-0.7455
ZNF654	0.371
SS18L1	0.191875
SLC16A8	0.461
MKI67IP	0.0195
ITGB3	0.61125
TCEA3	0.419416666666667
CEP152	-0.4663125
CLIP1	1.128
ZNF75	-0.142375
ATP5C1	-0.6625
NUDT5	0.186
PSCDBP	-0.496
UBP1	0.1185
RBM27	0.1575
C13orf15	2.5345
ZNF282	0.4445
ZNF222	-0.4783
COL10A1	5.99675
PRDM15	-1.13075
TTTY5	0.1525
FAM9C	-0.589166666666667
C20orf67	0.373
GNG13	1.3095
F12	-1.00175
C1orf41	-1.0825
CPXCR1	0.363
GSK3A	0.460375
SUPT6H	0.269333333333333
PI16	-0.145833333333333
ELL2	-1.16466666666667
C9orf167	-1.81916666666667
PVRL3	-2.3434
FLJ38596	0.99425
ADAM20	-0.2865
GPR89A	1.289
GPR87	-3.0475
ZNF30	0.15075
SMR3B	0.01525
ZNF770	0.468875
TRPC4AP	-0.6905
DKFZP686E2158	-0.6045
C2orf28	-0.173333333333333
FREM1	-1.5515
LAMA4	1.63833333333333
ADPRHL2	-0.706
EIF4G2	-0.128166666666667
GUCA1A	-0.3405
CTNNA2	-1.550625
NUDT15	-0.375833333333333
CEPT1	-1.38983333333333
ZNFX1	-0.6245
CCDC92	0.86125
TDRD1	-1.6605
KCNK5	1.86066666666667
ETNK1	-0.05125
LTA	0.2895
TTPA	0.061
B3GALNT2	2.430125
SC65	-0.830666666666667
PEX5L	-1.393875
EPS15L1	-0.02325
MGEA5	-0.58475
HIST1H3A	2.12225
ING1	-0.4115
BCAT1	-2.8725
ORC6L	-1.48854545454545
KLK11	-4.40683333333333
C19orf28	-1.288875
DNER	-3.8725
MED22	-0.796142857142857
ETV6	2.72941666666667
CHAC2	-0.261
CD300E	0.254
CEBPB	2.21283333333333
ZNF398	-0.365
LRCH3	-0.002
HMGA1	-0.470166666666667
CAPN7	-0.5905
MGC5566	-3.057
CCL3	2.47
NANOS1	-0.6335
ZFYVE19	-0.4885
APITD1	-1.79583333333333
PARD3	0.3095
IRAK4	-0.681666666666667
SERPINI2	-0.7605
CEP170L	2.05425
TTC9	0.35975
MYOM3	-0.9985
MLPH	-2.673
LOC222699	0.0435
NRG1	1.92758333333333
TBC1D9	-0.693
TTK	0.282
ZNF557	0.2587
DDX41	-0.0476666666666667
FANK1	0.9525
UBE2D2	-1.5395
PSMB10	-0.155625
MYH7B	0.265
GABARAPL2	-1.168375
MARVELD2	0.0299999999999999
DGCR2	1.2515
UNC45A	-0.4905
C6orf72	0.9635
ZNF683	1.47975
GIT2	-0.522375
CASK	1.1835
C14orf161	1.93316666666667
LRRC44	-0.14525
TIFA	0.062625
UTP11L	0.226625
C6orf65	-1.46425
FDPS	-0.777
DUSP9	-1.4587
SLC17A8	0.434
OR51G1	0.322833333333333
NANS	-1.51075
OLFML1	1.371
ATP10B	-0.616625
NPAS3	0.0745
PRKCA	-2.2593
GGA2	-0.5868125
LCE4A	0.3055
SPANXN3	1.421
CCDC115	1.110125
SDCCAG3	-0.95875
GLIPR1L1	0.29225
TTC1	-1.464
C17orf76	0.22125
MAD2L2	-1.263
HIPK1	-0.3474
LRRC3B	-0.662666666666667
CLN3	-1.00381818181818
C17orf47	0.203
FMN2	-2.363875
TUBB1	-1.3885
WAPAL	-0.4315
C3orf21	-0.325125
SCN5A	-0.4519
SMYD1	1.22125
BEX5	-0.503
ZNF192	-0.2375
SEC22A	-0.683833333333333
GRIA2	3.24642857142857
KIAA0825	-1.89175
NUSAP1	-1.32654545454545
LANCL1	0.264375
C15orf40	-0.7709
ZNF645	0.259125
GPR61	0.0205
NLRP14	-0.449
SNX21	0.1341
C1QTNF8	0.053
C17orf46	0.8775
IFNA8	0.156
SPRR1B	-2.91783333333333
FLRT1	-0.815
SNX17	-0.941
ASB2	-0.691666666666667
HBG1	-4.253
RPRML	5.119
JOSD2	0.664
PLSCR3	1.0495
SPOCD1	0.888833333333333
RAB39	-1.049
GHRH	-0.274666666666667
ITIH5L	0.7355
C17orf37	0.7555
SMCR8	0.61575
DPY19L2P3	-1.233
IL11RA	-1.06316666666667
GDF3	-3.45633333333333
RPS6KB1	-0.62325
DNAJC19	-0.6196
TOP1	0.91475
CRCT1	0.190875
MPST	1.122125
DPM2	-0.178875
FAM38B	-2.92033333333333
SLC18A1	-2.94183333333333
FARP1	1.21533333333333
PAX7	-0.042
TUBD1	-1.26025
GNL3	0.494625
BTG2	-0.1786
NDUFS6	-0.669
C1orf79	-1.251
ERAL1	0.54125
ECHS1	-0.23325
VPS4A	-0.384
CYP11A1	0.182625
ABCC6	-1.30228571428571
PBX4	-2.606
MOSC1	-0.439625
NCF4	-0.33925
HYMAI	-1.1515
NAGPA	0.144375
OTOP2	0.35175
ACOT12	-0.52025
MTHFD2L	-0.011625
LOC441376	2.7815
C19orf34	0.0845
RAB1B	-0.30725
ALDOAP2	-1.796
NTRK1	-1.604
ARTS-1	-1.3582
SLC6A11	-0.0625
NAP1L2	-1.36625
CNGB1	0.3205
EPB41L4B	-0.823333333333333
FAM134B	-0.92625
HS3ST3A1	-2.29
CPXM2	4.1195
SIRPB2	-0.273
CHORDC1	-0.571
TRIB3	-1.9
SLC2A5	0.48975
C2orf49	0.256833333333333
DDX5	-0.4575
OR5L1	0.263
ANAPC4	-0.647833333333333
ZSWIM1	1.37625
LOC93622	-0.50175
KCNK3	0.3881
RP11-35N6.1	-2.334875
ZFP161	-0.059
AQP9	4.28025
SLC15A2	0.683833333333333
MREG	-0.850333333333333
OR9I1	0.306
PDLIM2	0.0305
ADAM7	0.287
GSTCD	0.126
WDR21A	-0.10075
SLC12A8	2.36516666666667
TMEM174	0.047
IGSF3	0.0925
LRRN1	-0.28925
LOC402117	-0.24375
SRPK1	-0.209166666666667
LY6K	-0.594125
NFIA	4.0325
PTCD3	0.40625
LEP	2.379
PCDH21	-0.589333333333333
MAPKAPK2	0.833714285714286
NMNAT1	-1.504
LHFPL2	0.325375
C9orf43	0.174
DIP2A	-0.858166666666667
ACTR8	0.136
CCDC34	-1.177
PTPN22	-1.80825
ITGA3	-1.40525
FAM129C	0.0365
RABGGTA	-0.2985
UNC45B	0.2455
KIAA1033	-0.1795
ZNF510	-0.4995
CYP2D6	0.196833333333333
SLC26A10	-1.2495
STX8	-0.1915
LUZP1	-0.170125
WDR89	0.757666666666667
EIF4G3	-0.0202
C5AR1	1.5445
ZNF623	-0.159
A2M	2.776
TGM7	0.2125
GRPEL1	0.0123333333333333
LMNB2	0.2047
ROCK2	1.225
