Hybridization REF	TCGA-A8-A097-01A-11R-A034-07
ADAMDEC1	4.302
PHKA2	-0.4485
CARD11	-0.594
CALML4	-0.9575
TSSC1	-0.16325
TMEM45A	0.929
MPP7	0.961
POU1F1	0.35475
SLC2A13	-0.7709
FBN2	0.925357142857143
ZC3H7A	-0.0461
LAIR2	0.06225
ST3GAL1	3.12583333333333
LCT	-2.5205
GEMIN8	0.567666666666667
KLF16	0.2567
HIF3A	-0.2505
FAM44A	1.18157142857143
AQP10	-1.0223
PLA2G2A	-0.4395
FOLH1	0.678666666666667
C20orf186	0.115
MAPKAP1	0.196125
SPRR2D	-1.295
UBQLN4	-0.00583333333333333
RSHL1	0.276666666666667
PIAS3	0.7535
MRPL24	1.08375
GREB1	-3.09925
FAM27E3	-0.9345
NUP62CL	-1.49875
NEUROG3	0.728
REEP3	0.618583333333333
MARK1	-0.869875
LMBRD1	0.15175
PRPF19	-0.7045
PNMT	1.92666666666667
CTGLF1	-1.0035
SLC25A16	-0.598
EIF2B3	-0.973
RPA2	-0.318
PAK6	1.93033333333333
CCDC26	-3.746625
SEMA3E	1.757875
MXD4	0.4233
TNFSF10	4.8572
SMARCB1	-0.4035
DTX3L	1.11433333333333
PLA2G4E	0.0145
PPAP2A	1.75525
ULK1	0.1825
TAS1R3	-0.2135
SLC2A3	-2.60563636363636
ARID3A	-1.7145
GNG5	-0.07875
ACOX1	0.6201
KIF5B	0.19775
NUP153	-1.153
MUC7	-0.186
CSDE1	-0.0865714285714286
CLPTM1	0.11375
C3orf23	-0.703375
LRRC17	0.807333333333333
TTYH3	-0.723375
ATP5B	-1.1015
ELF3	0.6286
CPSF3L	-0.1955
ZNF665	0.402
TLR6	0.4795
GPI	-0.95675
RAD9A	-0.397375
NDST4	-3.705
AGPAT3	0.246083333333333
MAGI3	3.277
ADORA2A	-0.3125
CACNG7	-0.2335
CAMK2D	-0.00957142857142858
CCHCR1	-0.482
RPS27A	-0.48075
OR10G7	0.165833333333333
GCM2	-0.5885
FAM135B	1.961
E2F1	-1.19825
PLCB3	-0.312
OR2AE1	0.0935
COIL	0.469
CDC25C	-1.20866666666667
RAB11FIP2	0.70125
TSC2	0.348
CTGLF5	-1.2745
CCDC108	0.3498
OR13C4	0.07875
C10orf81	2.772
PTPRB	1.1945
ACP2	0.70975
LAG3	0.152
MRPL54	-0.05975
LOC201175	0.597
ITGB1BP3	-1.1345
SPTAN1	-0.2425
SIPA1L2	1.29775
RCAN2	-0.5055
CDX2	0.184
ECOP	0.6775
ACTR1A	-0.113428571428571
PPARG	-1.2615
BBS10	0.332666666666667
TMEM44	-1.082
BPIL2	-0.5145
CITED1	-1.93625
IRF6	3.82575
PRDM4	0.724666666666667
RRP9	-0.672166666666667
OR10H4	0.464
IL31RA	-0.20625
GNB1L	-1.08633333333333
MYBL2	-2.166875
ZNF407	0.908
PPIG	-0.0516666666666667
TTC18	2.277
RPSA	-0.5475
MAPT	-0.309875
MRE11A	-0.301214285714286
C8orf37	-0.417166666666667
RASGEF1C	-0.671833333333333
STBD1	1.262
CTAG2	3.4185
MGAT5B	-2.23966666666667
ECM1	0.9005
RLN1	0.967
PARP14	1.466
EPB41L1	0.0731
HOXA3	-0.230416666666667
MAGEA9	-4.132
RPS8	-1.01566666666667
RPS19BP1	-0.05775
FOXJ2	-0.239
C10orf76	0.039125
IL17RE	-0.3725
C10orf65	-1.55725
ZNF343	0.2455
FBXO33	-0.120875
UHMK1	0.9857
LY6G6C	-0.53325
FGF19	-1.9805
C14orf128	0.139166666666667
IFIT2	2.542375
TIGD1	-0.59
S100G	0.431
GUCY1B3	1.9365
NR3C1	0.2077
CORO1B	0.1055
PARP11	0.350416666666667
DNALI1	3.93066666666667
OR4N4	0.244875
MAP2K6	0.2435
FSTL4	0.9225
ANKRD47	0.6955
TMEM171	-1.2745
PNLIP	-0.142
YY1	0.301333333333333
CCDC138	-1.93566666666667
AASDHPPT	-1.0817
CKS1B	-0.4303
MCM3	0.0181666666666667
ANAPC7	-0.259833333333333
FAM110A	1.34975
CDC37L1	0.669666666666667
THTPA	1.00075
NBPF20	0.446
WDR24	0.62275
NPTX2	-2.25175
CBLB	0.719333333333333
CETN1	0.668333333333333
RPUSD1	-0.08625
FAF1	-0.72175
CDK6	-1.9314
HMX2	1.2015
CSK	-0.349833333333333
TEAD2	-0.37425
SNAP25	-1.09175
TUFT1	1.2251
TMTC3	1.50416666666667
LCK	-2.211
SGOL1	-1.21733333333333
AKTIP	1.87675
FURIN	1.170625
SOX12	-0.582666666666667
DEFB103A	-0.65825
RAMP1	0.9535
KIR3DX1	0.224
GAS2L3	-0.15
PDE8A	-1.1822
EDN3	3.07025
GMIP	0.74175
SF3A2	0.65725
FN3KRP	1.20675
SMAD7	1.12925
RHBDD2	-0.10825
OR11H6	0.8205
PPP1R3B	-0.0651
C9orf23	-0.33475
CADPS	-1.614
GOLGA8A	-2.53
TMEM57	0.630833333333333
RGL3	-0.0645
S100A14	-1.25975
FGFR2	0.53625
XRCC3	-0.83875
RTN4RL2	0.3315
MGC3771	1.6815
GH2	0.0756666666666667
BTBD2	-0.5305
LMO2	-0.2585
RDBP	-0.170375
ACRBP	-0.48125
AMY2A	3.33675
DUOXA1	0.4555
PTK7	0.969
TWF2	0.339833333333333
FAM80A	0.49725
TNNI2	-2.58816666666667
GLT25D1	-0.398666666666667
OCC-1	-2.24475
CYC1	-1.67933333333333
RPL22	-0.152818181818182
MORN3	1.90483333333333
DISP1	1.142
PRB2	-0.0935
CHUK	-0.51175
HR	-0.218875
CCDC134	-0.545375
DENND4B	-0.27475
C14orf130	-0.15975
RAB33A	0.55575
DCST2	0.2165
TNMD	-1.79525
PEX7	-0.154
FAM62A	-0.1835
SRD5A2L	1.837
IL22	0.4055
RPS26	-1.39716666666667
HOXC5	0.49
SPATA6	-0.192
FLJ38482	0.04075
ZNF234	1.806
C18orf22	0.90675
SPATA22	-0.28025
THOC1	-0.3635
CYP7B1	2.71575
KCNC3	0.07975
C8orf42	-1.193
ALDH1B1	-0.0683333333333333
CCDC100	0.4242
ARMC4	-3.53275
FAM18B2	0.24325
SLC44A1	0.99425
FBXO17	-0.850666666666667
C6orf107	-0.2005
C19orf29	0.10475
ZC3HAV1L	-0.30425
PARP6	0.0568
SULT2A1	-4.775875
C1orf159	-0.51
TMC1	-0.41375
CHST14	0.672625
GAMT	0.1425
SMCP	0.242333333333333
TSPAN33	0.787166666666667
MIDN	-0.293125
NOX4	3.63
RNASEN	-0.5103
TBX1	1.253
SALL2	0.99275
C10orf35	0.719
CYP2E1	-0.929375
LRFN2	3.03583333333333
ACO1	-1.63916666666667
IQCG	1.3515
MEGF9	0.86675
TM7SF4	2.57125
PLEKHA1	0.233266666666667
STK33	-3.11275
C1orf210	1.89775
SNUPN	0.1264
KIAA0406	-0.6643
C20orf29	-0.49775
TMEM55B	0.27975
OSTM1	-0.85975
CLCN7	0.199
OTP	-0.112
FLJ23049	-0.9945
HEATR4	0.4235
MAP3K10	1.0465
PCDHGA9	0.442
AMDHD2	0.072
LCTL	-1.6845
PDCD2L	-0.786
CABLES2	-0.3845
SLC5A9	-0.36675
CLCA2	-0.361833333333333
MGC16025	-0.6165
STRAP	-1.33216666666667
C20orf196	-0.855
RRBP1	0.408666666666667
NAT13	-0.4585
MAT2B	0.554875
CSNK1D	-0.108833333333333
KIR3DL1	0.027
PRKAG3	-0.744
ZNF599	0.9935
PRM3	0.161
PER2	1.40916666666667
ASPHD1	-1.9135
PRMT6	0.90475
KCNE1L	-0.711642857142857
FAM118A	-0.354166666666667
TAF4	-0.7925
NDUFB6	-0.65425
TRIM9	-1.136
PMFBP1	-0.7655
KY	0.096
DKFZp762E1312	-1.75445454545455
CSMD1	-1.13875
TBP	-0.985
OR1Q1	0.113666666666667
RETNLB	0.0325
HPGD	2.72478571428571
DNAJC12	1.074
FKBP1B	0.5145
ANKRD24	-0.0591666666666667
CXXC5	0.897333333333333
IL3	-0.218375
DRAM	0.6956
PTCH1	-1.6655
TP53BP1	0.53625
SLC17A7	0.422625
COL25A1	-1.1664
AMACR	1.43816666666667
RHCG	-0.10025
VPS13A	-0.07975
FAM55D	0.9605
PRPF38B	-0.139
OSBPL6	0.67
PFDN5	0.3068
CMTM6	0.808625
KCNK12	-0.3155
RP2	0.17475
C16orf52	-2.1415
PICK1	-0.2595
IFNE1	-0.659833333333333
SEMA4B	0.81225
TYRO3	-1.534
OR12D2	0.185
CSNK1A1	0.63015
FANCF	0.23
LONP2	0.57525
TBL1Y	0.05425
LDOC1L	-0.2075
CCNC	-0.729
C3orf60	0.36125
CHKA	-1.69075
UBAP1	-0.228
MAP3K1	2.815
ANKRD9	-0.833
FAM92A1	-2.04833333333333
GAB2	0.054
AZU1	-0.363
DIS3	-0.220833333333333
C21orf109	-1.01525
IQCB1	-0.79475
SPATS2	-0.556
EFCAB3	0.489
PRB3	0.3155
FUZ	0.458833333333333
ZNF813	0.795625
BMPER	-1.24233333333333
HEG1	0.382375
ALS2CR11	-1.226
SURF2	-0.51775
PSMC1	-0.366916666666667
OR2D2	0.551
SLC7A8	1.815
C4orf40	0.335
SPATA7	-0.23825
MAZ	-0.6955
PIN4	0.43075
PDE1A	-0.91675
TAF6L	-0.641666666666667
OR2T34	0.327
KIAA0284	-0.3055
ACADS	-0.453
MKRN2	-0.602
C18orf56	-2.235
MS4A6E	0.1195
GALNT4	0.276
C22orf31	0.123
FLJ36070	0.5115
PSME4	-0.08625
TFG	0.4197
EPHX2	0.308
ANXA5	0.265375
KRTAP1-1	0.6692
BATF	1.67075
KARS	-1.3125
MSTP9	0.253
GPR26	0.276
CCDC72	0.62125
TEF	0.486666666666667
FOXK1	-0.4617
PRLHR	0.8615
EMX1	0.7775
C11orf30	-0.41025
ICK	0.85625
THSD7B	-0.17975
C21orf100	-1.123
DUOX1	2.3185
EFCAB4B	-0.2225
UBE2G2	-0.645166666666667
C3orf54	0.3325
PARP1	0.16225
FAM60A	-1.45325
C6orf146	0.38675
OR9K2	0.2045
DDX55	-1.08966666666667
RPS15	-0.729333333333333
ZNF618	0.7133125
DKFZp686D0972	1.45375
SSPO	1.3125
SHFM3P1	0.2355
CPA6	2.86825
JAG2	0.59275
DEFA3	-0.002
PPBPL2	0.1166
CD34	3.888875
SLCO4A1	-3.48175
AFG3L1	-1.82266666666667
SHD	-0.602
RP13-122B23.3	-0.6385
PRKCSH	-1.0715
DPH5	0.187333333333333
HLA-F	2.403
TBC1D4	-0.53975
RIG	0.117333333333333
GLUD1	-0.562666666666667
HNRPCL1	0.9795
HBXIP	0.289
RNF207	-0.616
APIP	-0.98425
PLA2G3	-2.0355
CCDC84	-1.35975
MYLIP	0.309384615384615
PHIP	-0.454
AARS2	-0.1205
DHX32	0.033
SCAPER	-0.143333333333333
MEN1	0.03725
NIP7	-1.054
FLJ25404	-0.0425
FASTKD3	-0.41775
TMEM158	-0.976416666666667
RARA	1.85675
BDH1	-0.3915
ANKRD16	0.7405
CARM1	-0.1445
SS18	0.908333333333334
IKZF2	0.344416666666667
MYD88	0.69025
PML	0.45585
TAF1A	-0.8675
CBFB	-0.57725
HIST1H3H	0.927666666666667
C7orf29	-1.74525
COMMD4	-0.154833333333333
DPP3	-0.473
DAB2	0.573625
LOC388882	-0.411
YPEL4	-0.541375
AGBL3	0.658
LRP6	0.3733
SERPINH1	0.459083333333333
TLE1	0.6415
CD244	0.620166666666667
ZDHHC15	0.40575
MGLL	0.6577
PLDN	0.658666666666667
LOC654346	1.295
FAP	3.55425
GPR37	0.242833333333333
SCARA5	0.906666666666667
EBF4	2.44545454545455
LSM6	-0.30575
MLLT1	-0.07075
SLC5A12	0.64
A2BP1	-1.2535
COPS5	-0.902333333333333
TPM4	0.369357142857143
TNFSF4	1.6905
ACADSB	0.0778333333333333
HERPUD1	1.57975
BCL2L11	-0.794055555555555
CEP78	-1.031125
CDCA3	-1.664125
WBSCR19	-0.1828
MYO1A	-2.009
PPEF1	3.723
LOC440348	-0.88275
CPEB2	0.67025
BPTF	0.259166666666667
RPL21	-0.0131875
GSX2	0.4045
ADPRH	1.79166666666667
C17orf68	0.2735
KCNS1	-0.517166666666667
MLLT6	1.2708
PIWIL4	-0.245
RNF26	-0.80025
RAP1B	0.456125
ADAMTS1	-2.662
ZNF571	1.02425
P2RY6	0.21775
TRIM21	1.25433333333333
CADM3	0.38625
NLRC5	1.2615
ADRA2B	-0.392333333333333
LOC90835	0.261
PCF11	-1.096
LOC400451	1.6075
GLTSCR1	0.7872
C17orf88	-0.291166666666667
CDH16	-1.6705
FGF7	2.36125
PCSK4	0.433833333333333
NPC1L1	-0.514833333333333
TAT	0.106
TBCA	-0.31375
MGC33407	-0.166
GPR115	-0.8755
CYGB	0.1965
FNBP4	-1.6245
C12orf43	-0.0765
CBL	-0.4188
CLECL1	-0.03975
PPAPDC1A	3.17675
WDR25	-0.0431666666666667
SGCA	0.7085
C22orf29	-0.200166666666667
YIPF1	0.8315
GALK2	-0.227
RAB3B	-2.80491666666667
LOC440087	2.53525
UCP1	0.2175
REEP5	2.27175
FADD	1.2953
FOXA1	2.899625
CACNA1A	0.045
ABI1	-0.0528333333333333
GRIN2D	0.82525
SLC1A4	-0.543333333333333
LOC401127	-0.84025
HINT2	0.20825
PLD4	0.7175
ZNF286A	-1.108
ENY2	1.528
IL1F6	0.3535
PXDNL	1.41175
C20orf79	-0.00824999999999999
TNFSF13B	3.1625
DENND3	-0.178375
JARID1D	-2.83675
HIST1H2AK	1.045875
LOC93349	0.4227
SSH1	-0.6663
ENSA	0.135
LOC219854	0.238666666666667
CKAP2	-0.6684
DKFZP564J102	0.5715
MGC87315	0.9775
HNRPAB	-0.3035
AMH	-2.5675
ZNF526	0.938
BRUNOL5	-0.4001
CACNG3	-0.141666666666667
TRPM1	-1.2705
PPP2R1A	0.352875
COL2A1	1.60675
DDN	-0.269333333333333
FLJ25770	1.29858333333333
HK2	-0.978428571428571
ELOVL6	-0.953
MDK	-1.82725
EPHX1	2.10725
RASSF2	0.730375
DKFZP434B0335	-0.24175
DLX3	0.906125
PRTN3	-0.482
AVPR1A	-0.00299999999999999
C21orf125	-0.3955
TNFAIP8	-0.5975
GNB2L1	-0.631
CALCRL	2.40375
SCGB2A2	8.4835
UBXD7	0.409
ZNF674	-0.2315
TMEM35	0.4455
BRSK2	-0.948125
HECTD3	-0.172166666666667
TMEM188	-0.0894166666666667
LGALS9	1.48575
SCARB2	0.889916666666667
USP34	0.401333333333333
C17orf28	1.76583333333333
ZDHHC23	-0.199
AQP12B	0.287
SLC16A3	-1.232
APLP2	-0.179375
ITIH2	-5.35475
MICAL3	-1.09775
TNNI3K	0.5791
HDAC2	-0.605375
PRR7	0.1437
THBS2	1.881625
LOC751071	-1.6845
CA2	5.98933333333333
RANBP17	-2.02
RLN3	-0.28725
CRYZ	0.557166666666667
GBAS	-0.0916666666666667
TAS1R1	-0.1935
MPZL3	-0.089
PCDH8	-1.76775
HSP90B1	0.00791666666666666
KCNK15	0.5815
TNIP2	0.4705
GPR146	-0.5055
NOL6	-0.258
SPC25	-2.32055555555556
STEAP2	2.022
VAMP3	-0.221833333333333
TCIRG1	0.02675
ZP4	0.105
PARL	-0.116375
TRIM39	0.646333333333333
KIAA1305	1.524
CRNN	0.216833333333333
GRN	1.2455
HSH2D	-2.85125
SCAMP1	1.1845625
KIAA1913	1.6205
PTS	-0.8805
BANP	-0.0329285714285714
PRKACG	0.32875
ADCY6	0.5625
C16orf46	-0.5625
CYP51A1	0.0495
DDC	-5.6645
ANPEP	-0.135666666666667
PROM1	-0.6125
SIGLEC10	2.58375
COPG	1.3015
FAM26E	1.87575
TRIP4	0.55575
SNX3	-0.0595
C1orf175	0.3615
PPY2	0.08175
C14orf152	0.37125
FTSJ1	-0.491166666666667
DST	0.78715
LOC554235	-0.25025
GLRX5	-0.51225
C20orf12	1.3387
CAB39	0.565166666666667
MSH2	-1.062
PIP4K2C	0.795125
CYLD	1.41625
WTAP	-0.39625
MGAT4A	0.913111111111111
TSC22D4	-0.4913
CHRM2	-1.3625
PPYR1	0.127833333333333
CCNH	-0.182
RRM1	-0.0425
ECAT8	-3.892
LOC400120	0.008
GABRA4	-0.420375
C14orf4	0.614666666666667
C1orf59	-1.88425
CTDSPL	0.305666666666667
NHEDC2	0.2545
PDE11A	0.153125
KLHL29	-0.8605
CD5	-1.007
TSPAN9	1.1089375
WDR67	1.74875
THUMPD1	0.7351
C18orf17	-0.5985
CLYBL	-1.02916666666667
FLJ13231	-0.894125
CMBL	1.156125
LECT2	0.092
NKAPL	1.92083333333333
LOC654780	0.6715
OR4C6	0.261
RAB30	-0.245666666666667
TSSK4	-0.3355
TMEM163	0.92
OSBPL11	0.61575
GNB5	-0.659666666666667
CCL21	0.07525
C1orf121	0.472166666666667
FMO2	1.50983333333333
RPTN	-0.0705
MSTN	0.6635
VCL	0.1315
FYTTD1	0.581
C11orf1	-0.97025
CCDC88C	-1.0131875
HFE	-0.306333333333333
MOGAT1	-0.4545
FAM125B	0.407166666666667
IRGQ	0.2855
RAVER2	-1.5335
AKAP5	-0.974
SSSCA1	-1.073
C11orf63	-0.194125
ACTG2	2.1273
PORCN	-0.948
DTL	-0.00454545454545454
TMEM151	0.21175
FAM122C	-0.844
RSAD2	3.6706
BAT4	0.043
KRTDAP	-1.947
MYH8	0.8905
CRTC3	0.44725
LRRFIP2	0.0449
INTS4	-0.773
TTN	-1.08383333333333
SLC26A5	0.327
PLLP	-1.30725
RGS6	0.010625
SRGAP3	1.152875
ZNF525	0.476
NBR2	0.162
C13orf1	0.2518
ZNF137	0.789
CEP27	-1.2405
BEST2	-0.1335
RNF121	0.2055
DMRTC2	0.628
C8orf76	2.31825
BCCIP	-0.053125
MEST	-0.31575
HTRA2	0.1295
ANGPTL2	1.159
ILKAP	-0.3235
ERAS	0.4355
HBS1L	-0.5875
CPA5	0.2825
TMEM30A	0.4305
CD300LF	2.15516666666667
WISP3	2.4575
CRK	0.0655714285714286
PDS5A	0.5091
BRPF3	-0.100833333333333
NEDD9	-0.7285
SMPDL3B	0.7285
PSG6	1.25625
PSMD13	0.63825
ETV5	-1.043
OR51A4	-0.0755
BTBD7	0.144666666666667
GSTO1	-0.619625
hCG_16001	0.554
MAD2L1BP	0.421666666666667
COX6A2	0.839
SCNN1A	1.12083333333333
LSM1	2.16533333333333
UGT2B11	-3.645
IDUA	0.704
PPP2R3C	-0.303
COX11	-0.627
PDZK1	-2.19225
ZNF443	0.578
MGC21874	1.04233333333333
ZNF323	0.8054
KRTAP10-10	-0.1025
CXCL6	0.29575
SLC34A2	1.0941
LOC284402	-0.129
NPTN	1.07216666666667
UPP1	-1.88075
SLC6A9	-0.483
OR7G3	0.2115
CISD1	-0.359166666666667
ZNF545	-0.5725
SYT14	-0.6155
NT5C3L	0.216
ZNHIT3	0.201666666666667
SNRPD3	-0.019
KIAA0701	0.384375
UNC93B1	-0.108166666666667
GMNN	-1.183125
SPCS2	-0.1585
LOC388524	-0.5315
NAPRT1	-1.02025
PNLIPRP1	0.948
OR6V1	0.426
PRKAB1	0.01225
EYA4	-3.03333333333333
KIF20A	-1.3805
ALG10	0.36875
ITPKC	1.03166666666667
LMX1B	0.221166666666667
RPUSD4	-1.11383333333333
C7orf34	-0.123833333333333
DLGAP2	0.272
PFN1	-0.3439
MICALL2	-0.509083333333333
ZNF654	0.7485
SS18L1	-1.219875
SLC16A8	1.73472347597681e-18
MKI67IP	-0.313333333333333
ITGB3	0.303625
TCEA3	1.6215
CEP152	-1.1319375
CLIP1	1.180125
ZNF75	0.3953125
ATP5C1	0.11
NUDT5	-0.04
PSCDBP	0.1565
UBP1	-0.3975
RBM27	0.231
C13orf15	2.37975
ZNF282	-0.1335
ZNF222	0.1304
COL10A1	6.383
PRDM15	-0.808625
TTTY5	0.2065
FAM9C	4.4785
C20orf67	-0.17075
GNG13	0.1955
F12	0.97075
C1orf41	-1.3415
CPXCR1	-0.1675
GSK3A	0.38275
SUPT6H	0.9005
PI16	2.138
ELL2	-0.539416666666667
C9orf167	-1.37783333333333
PVRL3	-1.6506
FLJ38596	1.4515
ADAM20	0.1155
GPR89A	0.1665
GPR87	-0.063
ZNF30	0.90075
SMR3B	0.78
ZNF770	0.106125
TRPC4AP	-0.558
DKFZP686E2158	0.378833333333333
C2orf28	0.5715
FREM1	-1.07516666666667
LAMA4	0.8285
ADPRHL2	-0.1865
EIF4G2	0.648666666666667
GUCA1A	-0.5805
CTNNA2	-1.160125
NUDT15	-0.968333333333333
CEPT1	0.696666666666667
ZNFX1	0.6697
CCDC92	1.0835
TDRD1	-0.298
KCNK5	-1.57733333333333
ETNK1	-0.707083333333333
LTA	0.169
TTPA	0.342666666666667
B3GALNT2	0.556
SC65	1.31083333333333
PEX5L	-0.755375
EPS15L1	-0.37425
MGEA5	-0.79425
HIST1H3A	0.61725
ING1	-0.019125
BCAT1	-2.0105
ORC6L	-1.87890909090909
KLK11	-4.80616666666667
C19orf28	-1.17775
DNER	-4.367375
MED22	-0.845857142857143
ETV6	0.7365
CHAC2	-1.851
CD300E	0.162
CEBPB	0.97275
ZNF398	-0.22625
LRCH3	0.3495
HMGA1	-1.88816666666667
CAPN7	-0.0441666666666667
MGC5566	-2.49325
CCL3	3.3645
NANOS1	0.793625
ZFYVE19	0.104
APITD1	0.311166666666667
PARD3	0.80375
IRAK4	-0.319166666666667
SERPINI2	0.014
CEP170L	-0.123
TTC9	2.329125
MYOM3	-0.80275
MLPH	1.171
LOC222699	1.133
NRG1	-0.95975
TBC1D9	3.27636363636364
TTK	-1.88383333333333
ZNF557	0.0807
DDX41	-0.345333333333333
FANK1	1.1325
UBE2D2	0.188125
PSMB10	0.096375
MYH7B	0.0995
GABARAPL2	0.332875
MARVELD2	2.4295
DGCR2	0.145666666666667
UNC45A	0.335
C6orf72	1.2485
ZNF683	4.0265
GIT2	0.0820000000000001
CASK	2.38516666666667
C14orf161	2.975
LRRC44	2.222
TIFA	0.909
UTP11L	-1.227
C6orf65	-0.12525
FDPS	-0.03375
DUSP9	-2.0881
SLC17A8	0.188
OR51G1	0.0375
NANS	-0.43675
OLFML1	1.73875
ATP10B	-1.11025
NPAS3	0.245
PRKCA	-2.1839
GGA2	-0.3035625
LCE4A	0.386
SPANXN3	0.2755
CCDC115	0.875875
SDCCAG3	-0.98625
GLIPR1L1	0.2515
TTC1	0.08025
C17orf76	0.89125
MAD2L2	-1.456
HIPK1	0.7977
LRRC3B	-0.564
CLN3	-0.496363636363636
C17orf47	-0.1325
FMN2	-2.724625
TUBB1	-1.826375
WAPAL	-0.3005
C3orf21	0.30325
SCN5A	-0.4708
SMYD1	0.374
BEX5	0.082
ZNF192	0.213
SEC22A	0.282333333333333
GRIA2	0.242857142857143
KIAA0825	-1.817
NUSAP1	-1.19563636363636
LANCL1	-0.440625
C15orf40	-0.0891
ZNF645	-0.134875
GPR61	-0.00849999999999999
NLRP14	-0.3995
SNX21	-0.3356
C1QTNF8	-0.022
C17orf46	0.12875
IFNA8	-1.1115
SPRR1B	-1.37316666666667
FLRT1	-0.646
SNX17	0.447666666666667
ASB2	-0.777
HBG1	-5.354
RPRML	-1.893
JOSD2	0.675166666666667
PLSCR3	0.11975
SPOCD1	0.798666666666667
RAB39	-0.4485
GHRH	-0.329333333333333
ITIH5L	0.22875
C17orf37	2.16875
SMCR8	-0.05175
DPY19L2P3	-1.18766666666667
IL11RA	0.677166666666667
GDF3	-3.78316666666667
RPS6KB1	-0.25275
DNAJC19	-0.3557
TOP1	-0.424
CRCT1	-0.51925
MPST	-0.00325000000000003
DPM2	0.00275000000000001
FAM38B	-2.01333333333333
SLC18A1	-1.91633333333333
FARP1	0.00233333333333333
PAX7	-0.0895
TUBD1	-0.05225
GNL3	-0.26575
BTG2	1.20946666666667
NDUFS6	-0.144
C1orf79	-1.82825
ERAL1	0.59675
ECHS1	0.163
VPS4A	-0.175833333333333
CYP11A1	-0.469875
ABCC6	0.274428571428571
PBX4	-2.228
MOSC1	-1.98725
NCF4	0.679
HYMAI	-0.0295
NAGPA	-0.629625
OTOP2	0.01375
ACOT12	0.10725
MTHFD2L	-0.451625
LOC441376	6.56625
C19orf34	-0.5285
RAB1B	-0.421
ALDOAP2	-0.8415
NTRK1	-1.79433333333333
ARTS-1	-0.2199
SLC6A11	-1.2125
NAP1L2	0.90425
CNGB1	0.100333333333333
EPB41L4B	-0.55375
FAM134B	-0.467375
HS3ST3A1	-0.135833333333333
CPXM2	4.2575
SIRPB2	0.048
CHORDC1	-1.354
TRIB3	-0.750666666666667
SLC2A5	0.675
C2orf49	-0.708166666666667
DDX5	0.22775
OR5L1	0.692
ANAPC4	-0.443
ZSWIM1	0.052
LOC93622	0.135375
KCNK3	1.3779
RP11-35N6.1	-1.898125
ZFP161	0.399833333333333
AQP9	3.8945
SLC15A2	-1.31816666666667
MREG	-0.112833333333333
OR9I1	0.403
PDLIM2	0.409142857142857
ADAM7	0.0195
GSTCD	0.908333333333334
WDR21A	-0.063125
SLC12A8	1.85716666666667
TMEM174	0.02
IGSF3	1.7045
LRRN1	-1.586
LOC402117	-0.00549999999999999
SRPK1	-1.27866666666667
LY6K	0.00149999999999998
NFIA	1.988
PTCD3	-0.591625
LEP	2.57266666666667
PCDH21	-0.9475
MAPKAPK2	0.718142857142857
NMNAT1	-0.778333333333333
LHFPL2	1.075375
C9orf43	1.558
DIP2A	-0.575333333333333
ACTR8	0.205625
CCDC34	-1.01875
PTPN22	-0.459625
ITGA3	-0.802625
FAM129C	0.4315
RABGGTA	0.408666666666667
UNC45B	0.46625
KIAA1033	0.455125
ZNF510	-0.333333333333333
CYP2D6	-0.69
SLC26A10	-1.619
STX8	0.10525
LUZP1	0.016
WDR89	0.280666666666667
EIF4G3	-0.2062
C5AR1	1.409625
ZNF623	-0.5445
A2M	1.00725
TGM7	0.02
GRPEL1	-0.4955
LMNB2	-1.3935
ROCK2	0.393833333333333
SNX16	-0.80775
CCDC66	-0.05375
ANXA3	0.99225
KIAA1609	-0.253875
EED	-1.07125
RNF32	-1.15333333333333
HES1	-0.0367
CLC	-0.2915
ISL1	0.274166666666667
KIAA0528	0.371625
MANEA	0.5325
C1orf61	-2.8005
hCG_2001000	0.718
RAPGEF6	0.1446
KIAA0020	-1.08966666666667
NEIL1	1.131
C16orf45	0.450625
RBM10	-0.185666666666667
C10orf125	-1.2275
MRS2L	-0.7015
DNAH17	-1.07825
C19orf10	-0.332
C1orf160	0.0265
SLFN12	0.127
EXOC3	0.1665
HIST3H3	1.004
NCOR2	0.3295
TNFRSF9	1.124
MFSD8	0.422
ALX1	-3.594
NOL1	-1.67025
PODN	3.26675
TIAL1	-1.1555
HIST1H1E	1.02275
NPY6R	0.229
TM4SF4	0.6175
CORO2A	-0.32825
ETNK2	2.12916666666667
APOE	0.6256
ANGPT4	0.18
HDGF2	0.1085
G30	1.751
ST8SIA4	-0.432625
F2RL1	0.05525
FAM19A4	-3.346
CCAR1	-0.97375
B3GNT7	-0.1025
OPHN1	0.0441
DSCR6	2.7275
C21orf13	0.864666666666667
GAS2L1	0.545833333333333
RFX3	-0.5835
COPS4	0.293375
BCHE	-4.1695
BCL2	1.259
HBZ	-3.14666666666667
ARL13B	1.030875
MAPBPIP	1.323125
MYO15B	-0.09525
SPZ1	0.72625
KIAA1324	4.156
PLCL2	-0.57275
C4orf29	-1.22825
WDFY2	-0.546875
ZNF284	0.065
NAALADL1	0.711
DUSP5	-0.0678333333333333
PXDN	0.96
SLMO1	-1.7525
TNXB	0.2032
BIRC7	-1.009
A4GALT	0.898666666666667
TIMM22	-0.13125
FAM110C	1.27775
TOMM34	-1.30275
ABHD9	0.4265
ADAM32	0.544
CRHBP	-0.08075
AQP2	0.4465
LOC130355	0.49575
