Hybridization REF	TCGA-B6-A0WZ-01A-11R-A109-07
NPHS2	0.01175
SRD5A1	-2.40425
REXO4	-1.266
EEF1DP3	0.709
SLC37A2	0.58975
ZNF142	0.4725
ANKHD1	-0.855
MUT	-0.006
VPS37A	0.02275
GPRIN1	0.49375
SLC38A3	-1.435875
BAZ2B	1.93475
WDR87	0.1905
BRD7	-0.14025
POU6F2	-0.8625
NISCH	0.764
TCEB1	-0.5035
LINGO2	-2.2665
TAX1BP3	-1.39075
RPL34	0.730944444444444
MARK2	0.552166666666667
AKAP12	-2.7114
AMBN	-0.0115
SLC25A27	-2.53166666666667
FLJ21865	-0.24675
KIR2DS2	0.408833333333333
WDR77	-1.494
ATF2	0.2745
ITFG3	0.613
SLC39A13	0.68425
ARL6IP5	1.28775
C10orf137	0.063375
QTRT1	-1.41583333333333
CCNT1	0.451
DYNLL1	0.3855
WDR53	-0.53925
LIPG	-1.91866666666667
ASAH3	0.8845
HELB	-0.17475
PHACTR2	-0.709875
VENTX	-0.52175
LAD1	0.935333333333333
PAOX	1.3435
MAPK8	0.062
CCDC38	-0.35
DNAJC8	-0.6187
RBBP8	0.575
WNT11	1.5511
KCNJ12	-1.324
HDAC8	-0.5985
STARD4	-3.12225
ACVR1	0.731
C14orf65	0.53425
KLB	-1.468
C1orf65	0.08825
ZFYVE28	0.0895
NSUN6	-0.403
KIF27	1.22283333333333
SYTL2	0.2835
UBXD2	0.8169
OR6T1	0.3385
CCDC91	0.0615714285714286
GRID2	0.025
CALN1	-0.58525
ZNF423	-0.3365
PSMB4	-0.752166666666667
XPNPEP3	-0.219666666666667
ARPP-21	-2.9641
SART1	-0.71875
RACGAP1P	-4.21
SPTA1	-5.214
C6orf113	-0.951833333333333
C7orf16	-2.37833333333333
CHST7	-0.950666666666667
C21orf29	-0.7075
SEMA6D	-0.389125
PCMTD1	0.7718125
KIAA1754	-0.956
MYCN	0.1768125
KCNJ3	-0.12025
MAPK13	2.7582
ERO1LB	-1.72975
NTF3	-2.039
NKX6-2	-0.24675
GTF2B	-0.10925
GSPT1	-1.74333333333333
GUSB	0.895333333333333
LOC221091	-1.338
LIG1	-0.57275
EXTL3	-0.227166666666667
NID2	-1.00025
TTC29	-1.36175
TMEM97	-0.01975
EXTL2	-1.37766666666667
SUZ12	-0.064875
IL1F8	-0.5025
KRT18	0.266181818181818
MRPS16	-0.3705
PI4K2B	-0.10425
LACRT	1.487
OR51F2	0.865
JMJD2C	-0.185125
KGFLP1	1.6515
CDK5RAP3	-0.5911
YTHDF2	0.8175
GGCX	0.79425
ARPC4	0.4415
EGLN2	0.616333333333333
KBTBD4	-0.137714285714286
ROBO3	-0.5207
DEFB118	0.339
KIAA1543	1.06475
RTCD1	-0.2665
MZF1	1.09675
C18orf26	0.575
CNIH4	-0.245666666666667
ZFP2	1.10266666666667
HTATSF1	-0.2385
WFDC2	3.451625
NDUFA7	0.645
TTC22	0.7035
FAM40B	-2.038875
DCPS	-0.6405
SH2D1B	-1.822
MRGPRE	0.4895
SBK1	1.55425
UNQ6411	-0.0315
OSBPL9	-0.7085
NUP107	-1.9965
MYOZ3	0.5269
PDE4B	-0.267
FAM113A	-0.8735
IDH3G	0.3705
FBXL7	0.063375
ARFGAP3	1.15075
MAPRE2	-2.219
IL1RN	2.5675
KIF13A	1.21825
RAC3	-0.5845
TCTE1	0.3885
TMEM14B	-0.976166666666667
ADIPOR1	0.386666666666667
GRINA	1.2815
CLIP4	-0.198
LRIT2	-0.2105
TFPI	-3.32992857142857
FABP6	-1.50875
SLITRK2	-0.4746
HKR1	0.4525
SMTN	-0.1615
C1orf75	-0.706
CD209	0.460875
CYB5R2	2.3075
DNTTIP2	-0.401333333333333
CSGlcA-T	1.19575
GABRB3	-0.0625
PCBD1	0.74
TAF3	0.427
HOXD3	0.491666666666667
GIPC3	0.380666666666667
P11	0.7898
BFSP1	-0.3005
LCP2	-0.58725
TAS2R8	-0.7725
SEZ6L	-1.69757142857143
NR2C1	-1.28
EXDL2	0.7038
TNFRSF13B	-2.4535
MKI67	-1.7015
GLS	-0.248666666666667
C7orf54	0.0671
LGALS13	0.461833333333333
IL4R	0.23
SEC11A	-0.239666666666667
SPP2	0.614333333333333
C18orf32	0.906
CLSPN	-1.131
SPAG1	0.280375
C9orf82	-0.55
TM4SF1	-1.74441666666667
EMILIN2	-0.477
SMG7	0.2255
TAS2R13	0.2395
ZNF628	0.8555
DZIP1L	-0.705333333333333
ANKRD13A	0.1295
VASP	2.128625
ZCCHC11	-3.14025
SYPL1	0.544625
MGC34774	0.65025
C4orf28	-0.820375
KIAA1211	-1.34625
RPS27L	0.14775
TATDN3	-0.64375
PDCD1	-0.8095
OR5P2	0.2375
IFIT1L	0.33
MIPOL1	2.0785
OR51D1	0.7575
C1orf92	-0.7425
LAMP2	-0.0872222222222222
CAT	-0.0775
C16orf80	-1.82475
C15orf32	0.2225
ZNF746	0.1035
C1orf76	-1.8175
ATXN1	0.71875
LAMC2	0.507125
SLC2A7	0.338
CPOX	-3.21625
APH1B	2.7375
LOC442245	1.57225
CTNND1	0.897666666666667
GABRG2	-0.484375
MADCAM1	-0.120333333333333
F5	-3.697625
SEMA4F	0.187333333333333
NUDCD3	0.489625
PDZD11	0.4955
TRIML1	0.405
GCNT3	-3.0545
TMEM120A	1.79925
CNDP1	-0.4165
N4BP1	0.53875
SLC35F2	-0.575
LCP1	-0.38025
IGBP1	0.197
DCAKD	0.318125
ELA2A	0.1175
C12orf56	-1.945
PITRM1	-0.660571428571428
GUK1	0.973
RASSF8	-1.5260625
OR2A14	0.13125
ADM	-1.13633333333333
FGD3	4.04433333333333
GHRHR	-0.0638333333333333
RHPN2	0.671
C4orf39	0.5815
VPS72	-0.6405
SERF2	0.918666666666667
CD22	1.00416666666667
CD47	-2.1417
PPIC	0.534333333333333
IMPDH1	0.228833333333333
ACP6	0.833333333333333
PRKACA	1.078375
PPP1R1A	1.110875
TRPV3	-0.3565
ASXL1	-1.396
C17orf55	-0.2165
FXYD1	-0.316666666666667
LMOD2	-0.1825
ANKRD33	0.5155
LCE2C	-0.052125
ZNF620	-0.2705
DKFZP566E164	-0.513
VSIG2	0.4305
KIAA1128	1.6465
USO1	-0.239
NUDT4	0.165857142857143
CLDN1	-0.390642857142857
OR4Q3	0.5215
FASTK	0.317
ICOS	0.124666666666667
LDB1	0.78
GSTA5	-1.759
ABCC1	-1.60066666666667
FAM54A	-2.04525
PCBP2	-0.433
NUP205	-1.21
ACTA1	-0.1785
GABBR2	-1.92625
PIP5K1B	0.587
AGXT	-2.37016666666667
RNF181	0.796
ATP8A2	-0.15775
AFTPH	1.8841875
FGF21	0.32325
FCER1G	1.240875
SNTB1	-3.0015
SLC24A3	1.703625
TXNL4B	-2.0107
RPL10L	0.144833333333333
LOC389517	-0.26665
TSGA13	0.9965
SHOX2	-0.420666666666667
ITGA7	-1.2129
KCNIP2	-0.779666666666667
KLF13	-0.4137
ZFAND2A	-0.18
CEACAM1	0.663785714285714
PFKFB4	-1.6275
MED19	0.1565
LRRC57	0.0215
RNF11	0.76475
ANKRD32	-2.33025
P117	0.85025
OBFC2A	0.5835
POLD3	-0.295083333333333
RAB18	0.878375
TPH2	0.179833333333333
PHB	-0.505
JDP2	2.617
MORF4L1	-1.5458
POU2F1	-0.43475
CNNM2	-1.04383333333333
LOXHD1	0.2715
ZC3H15	-0.382
ELK3	-0.0493333333333333
FAM111B	1.183
CBLC	4.30716666666667
SBNO1	0.2355
ANKMY2	-0.601
PLEKHA5	-0.11675
DHX58	1.68816666666667
ARCN1	-0.483166666666667
TREML1	0.6253
KNCN	0.39
SEC24A	-0.6975
PSCA	-0.73
MGC24125	0.568833333333333
DNA2L	-1.80025
CIB4	-0.195875
HIGD2A	0.8575
TBX6	-0.114666666666667
TTLL5	0.492
SGK3	1.45583333333333
GCN1L1	-0.921
AMOT	0.2715
LDOC1	0.3265
NRK	-0.1005
ASB9	-2.887
NAT1	5.8825
TRAFD1	-0.2325
PEAR1	0.383833333333333
FAM36A	0.409
OR1S2	0.413
LOC388323	-1.6665
PGS1	-0.777666666666667
LEPREL1	-3.25825
TFF1	1.46083333333333
HAP1	0.148
EPHB2	-1.18925
ACTG1	0.907833333333333
ZFP42	-1.28883333333333
HAVCR2	-0.2536
NME1	-0.7185
SNX26	0.7275
LACTB	-0.526833333333333
ZKSCAN2	0.228125
C5orf35	-0.793
ANKS3	0.13975
RBM28	-0.75
DKFZP586P0123	0.1905
HNRNPA1	-1.00516666666667
BCAS3	-1.73066666666667
FLJ20184	1.027
POLA2	-1.077
TMC7	-1.72566666666667
HSD17B6	0.5265
ZNF658B	1.38933333333333
TTTY10	-0.0941666666666667
RANBP9	-1.23158333333333
CPNE7	-2.70766666666667
EVL	2.64258823529412
LNX1	0.895583333333333
IFNA21	0.762333333333333
CFD	0.4085
PYCARD	2.27483333333333
MYBPC2	-1.706
ENPP3	-1.30833333333333
ACSL4	-3.04875
LOC440258	0.179666666666667
TMEM176B	2.45666666666667
SOX2	-5.1895
SCO1	-0.8195
COMT	-0.62525
AOC2	-0.41475
PDLIM5	0.930571428571429
SPHK2	0.860333333333333
NXPH2	-0.4935
GPR108	0.5175
RAD51L1	-0.105666666666667
TMEM54	1.40725
LETMD1	-0.585
SLC6A17	1.152
KRT75	-1.1125
STT3B	-1.24216666666667
CD3EAP	0.235166666666667
TMEM63A	1.4
DUSP13	-2.431
CD1C	-2.0575
LASS2	-0.227666666666667
AVP	2.9855
PITPNM1	-1.457125
FLJ22795	-0.875
MCTP1	-2.448
TRIM68	-0.142833333333333
UCK2	-1.512
ABHD1	2.238
FAM50A	0.2055
RNASEH1	-0.742166666666667
PCP2	2.15716666666667
OR52H1	0.3545
C20orf149	1.445
RBP5	2.84466666666667
HYAL3	0.08925
CLPB	-0.18125
SMNDC1	-0.899
DONSON	-2.43983333333333
FLJ27523	0.04125
BARHL2	0.2175
SLC30A9	-0.000833333333333329
TMPRSS11B	0.064
E2F8	-2.03016666666667
CCDC25	0.492833333333333
C14orf48	-0.0256
C20orf116	0.68075
TSPAN11	0.263
YIF1B	-0.311666666666667
FAM12B	0.671
OR1L6	0.5655
HPN	2.1642
NBN	0.850875
C14orf94	-0.476833333333333
OCLM	-0.034
ZSCAN18	2.0046
L3MBTL	-1.5249
TSTA3	2.16866666666667
RAC1	0.303375
C19orf15	0.8686
NFE2	-5.45775
KLK14	0.5955
ARSF	0.9465
MAST2	0.492666666666667
AMICA1	0.92
GTF2A1	1.301375
ATP1A3	0.242
TC2N	4.3588
PNKP	1.103
ODZ2	-0.521
MATR3	0.169625
S100P	-0.4575
KRT82	0.2585
CA13	0.2577
PROZ	-1.41783333333333
AASDH	0.369875
C19orf40	0.522166666666667
DCK	-1.59915384615385
FAM5C	-1.071
SLC6A4	3.885
MID1IP1	-0.317875
TESSP5	0.652
TMOD4	-0.611833333333333
DOCK2	-2.36116666666667
TUG1	0.47025
NUP214	0.1415
DPYSL2	-0.0401818181818182
GOLM1	1.91333333333333
MPFL	0.3965
SOX13	0.269
SDCCAG8	0.8611
KEL	-2.43366666666667
NUP210L	-2.19975
GK	-0.475285714285714
DNAJB1	0.68625
ALPK3	1.6215
CHID1	0.8627
CYLC2	0.843
IKZF5	0.69025
C8orf51	0.975666666666667
PPM1J	2.28925
GIMAP8	2.57983333333333
GPR101	0.37
NR2F1	-1.879
ACAD8	0.0815
RBM35A	2.12325
GNAI2	-0.0458333333333333
METTL8	0.497833333333333
SLC39A7	-0.1535
FBXO8	0.30725
CAMK1	-0.37425
RFC3	-2.009875
FAM129A	1.24571428571429
ILF2	-1.161
FGFBP3	-1.2825
NOM1	-0.965333333333333
PSMA3	0.02475
ASCC3	0.5411
ZYG11A	0.48375
SOX21	-1.658375
LYRM1	-0.2805
DEFB1	0.1975
LOC91431	-2.31233333333333
OR7C2	1.7325
FAM46B	1.68725
TMEM18	0.091375
ARHGAP30	-0.576666666666667
TMEM86A	3.9845
EPHA2	-1.01366666666667
C10orf46	0.68175
TCHH	-2.13316666666667
C3orf30	0.202333333333333
LOC285636	-0.6485
PAIP2	-1.03
CYP2U1	-0.4985
C12orf34	1.58725
SARS2	-0.0195
ZCWPW1	0.75725
SAMD12	1.94475
KIAA1430	-0.053
ACAT1	-2.0645
MEOX1	-0.931833333333333
ADAMDEC1	1.991
PHKA2	-0.5195
CARD11	-1.78183333333333
CALML4	-1.3805
TSSC1	-0.455
TMEM45A	-1.76088888888889
MPP7	2.54025
POU1F1	-0.31875
SLC2A13	0.0767
FBN2	-1.85792857142857
ZC3H7A	-0.172
LAIR2	-1.3875
ST3GAL1	1.34283333333333
LCT	-2.42125
GEMIN8	1.0625
KLF16	1.7882
HIF3A	-0.5959
FAM44A	0.235
AQP10	-1.0553
PLA2G2A	-0.2675
FOLH1	0.5975
C20orf186	0.026
MAPKAP1	-0.016875
SPRR2D	-1.193
UBQLN4	-1.73316666666667
RSHL1	0.378833333333333
PIAS3	0.446875
MRPL24	-0.459
GREB1	1.550875
FAM27E3	-2.851
NUP62CL	-0.57725
NEUROG3	2.808
REEP3	1.40816666666667
MARK1	-1.341125
LMBRD1	-0.02825
PRPF19	-1.5345
PNMT	-0.211333333333333
CTGLF1	-0.998
SLC25A16	1.05325
EIF2B3	-1.609
RPA2	-0.84425
PAK6	1.789
CCDC26	-4.939375
SEMA3E	5.41875
MXD4	1.5923
TNFSF10	4.1392
SMARCB1	-0.237166666666667
DTX3L	1.3315
PLA2G4E	0.09
PPAP2A	0.23275
ULK1	-0.47825
TAS1R3	0.0605
SLC2A3	-3.69272727272727
ARID3A	-1.71025
GNG5	0.37875
ACOX1	-0.1354
KIF5B	-0.03425
NUP153	-1.7375
MUC7	-0.513
CSDE1	-0.655285714285714
CLPTM1	0.14
C3orf23	-0.799875
LRRC17	0.3635
TTYH3	-0.5985
ATP5B	-1.818
ELF3	1.848
CPSF3L	0.221166666666667
ZNF665	0.418833333333333
TLR6	1.246
GPI	0.0525
RAD9A	-0.189125
NDST4	-3.91525
AGPAT3	0.715666666666667
MAGI3	1.33183333333333
ADORA2A	1.047
CACNG7	0.248
CAMK2D	-1.39564285714286
CCHCR1	-0.969
RPS27A	0.00975000000000001
OR10G7	0.204666666666667
GCM2	0.736
FAM135B	1.1217
E2F1	-1.38925
PLCB3	-0.2045
OR2AE1	0.1645
COIL	-1.05066666666667
CDC25C	-1.37233333333333
RAB11FIP2	-0.100833333333333
TSC2	-0.059
CTGLF5	-1.99
CCDC108	2.5825
OR13C4	0.25125
C10orf81	5.05575
PTPRB	1.54
ACP2	0.76275
LAG3	-0.515
MRPL54	0.98075
LOC201175	2.948
ITGB1BP3	-1.343
SPTAN1	0.425666666666667
SIPA1L2	-0.092
RCAN2	-1.612
CDX2	2.6445
ECOP	0.555
ACTR1A	0.906357142857143
PPARG	1.08216666666667
BBS10	-0.256833333333333
TMEM44	-1.306125
BPIL2	0.4325
CITED1	2.9955
IRF6	4.125
PRDM4	-0.219833333333333
RRP9	-1.00566666666667
OR10H4	0.77225
IL31RA	-0.98825
GNB1L	-1.41233333333333
MYBL2	-2.234
ZNF407	1.01516666666667
PPIG	0.552166666666667
TTC18	3.00375
RPSA	-0.031
MAPT	2.482875
MRE11A	-0.497214285714286
C8orf37	-0.4675
RASGEF1C	-0.0663333333333333
STBD1	0.06525
CTAG2	-0.500333333333333
MGAT5B	-2.159
ECM1	1.73475
RLN1	3.936
PARP14	1.0720625
EPB41L1	1.8122
HOXA3	-0.2735
MAGEA9	-4.50575
RPS8	-0.553666666666667
RPS19BP1	-0.0785
FOXJ2	-0.132125
C10orf76	0.197375
IL17RE	1.619
C10orf65	-0.58425
ZNF343	-1.09
FBXO33	-0.06475
UHMK1	-0.1867
LY6G6C	-0.22425
FGF19	-2.94875
C14orf128	-0.415833333333333
IFIT2	3.591875
TIGD1	-0.09625
S100G	0.11
GUCY1B3	1.734
NR3C1	-1.7196
CORO1B	0.0385
PARP11	0.765416666666667
DNALI1	3.94866666666667
OR4N4	0.343375
MAP2K6	-0.243
FSTL4	0.9935
ANKRD47	1.3965
TMEM171	-1.8125
PNLIP	-0.623
YY1	0.0726666666666667
CCDC138	-2.1605
AASDHPPT	-0.8901
CKS1B	-1.0604
MCM3	-1.5055
ANAPC7	-1.08233333333333
FAM110A	1.6295
CDC37L1	1.542
THTPA	1.02875
NBPF20	0.141
WDR24	0.9165
NPTX2	-1.29525
CBLB	0.0658333333333333
CETN1	0.875333333333333
RPUSD1	0.305
FAF1	-0.2265
CDK6	-3.6132
HMX2	0.2865
CSK	-0.8845
TEAD2	-0.36675
SNAP25	-1.9525
TUFT1	1.2895
TMTC3	0.794833333333333
LCK	-3.68475
SGOL1	-2.166
AKTIP	0.536
FURIN	-1.307375
SOX12	-0.407333333333333
DEFB103A	0.107666666666667
RAMP1	1.59625
KIR3DX1	0.5135
GAS2L3	-0.6345
PDE8A	-1.7236
EDN3	-1.59575
GMIP	1.56475
SF3A2	2.35875
FN3KRP	0.14525
SMAD7	0.03125
RHBDD2	1.82225
OR11H6	-0.144
PPP1R3B	1.9518
C9orf23	0.701
CADPS	-1.77375
GOLGA8A	-3.02975
TMEM57	1.17416666666667
RGL3	0.7875
S100A14	2.88825
FGFR2	2.024
XRCC3	-0.29075
RTN4RL2	1.17175
MGC3771	1.512
GH2	0.8185
BTBD2	0.6785
LMO2	-0.434
RDBP	-0.763
ACRBP	-2.41
AMY2A	2.401
DUOXA1	0.8975
PTK7	0.147833333333333
TWF2	0.211333333333333
FAM80A	0.4525
TNNI2	-2.93933333333333
GLT25D1	-0.959833333333333
OCC-1	-2.16375
CYC1	-0.763
RPL22	0.0828181818181819
MORN3	2.0995
DISP1	0.489
PRB2	0.118
CHUK	-1.4465
HR	0.47825
CCDC134	0.563375
DENND4B	-1.3335
C14orf130	0.74475
RAB33A	-1.87375
DCST2	0.309
TNMD	-2.55975
PEX7	0.975
FAM62A	0.0478749999999999
SRD5A2L	0.92725
IL22	-0.37575
RPS26	-0.9315
HOXC5	0.494
SPATA6	2.20925
FLJ38482	0.106625
ZNF234	2.232
C18orf22	0.82325
SPATA22	-0.5075
THOC1	-1.733
CYP7B1	2.51275
KCNC3	0.5805
C8orf42	-1.1725
ALDH1B1	-0.407
CCDC100	-1.0036
ARMC4	-3.66825
FAM18B2	-0.876
SLC44A1	1.356375
FBXO17	-1.89816666666667
C6orf107	-0.14875
C19orf29	0.21475
ZC3HAV1L	-0.08975
PARP6	-0.0567
SULT2A1	-4.964375
C1orf159	-0.34725
TMC1	-0.1055
CHST14	-0.299125
GAMT	1.1035
SMCP	-0.0476666666666667
TSPAN33	-0.661
MIDN	0.91975
NOX4	2.3275
RNASEN	-1.0847
TBX1	-0.866666666666667
SALL2	0.477
C10orf35	1.47725
CYP2E1	-0.336875
LRFN2	2.109
ACO1	-0.9225
IQCG	0.987
MEGF9	3.03925
TM7SF4	-0.06925
PLEKHA1	0.707133333333333
STK33	-3.22475
C1orf210	3.25175
SNUPN	-0.2787
KIAA0406	-1.892
C20orf29	0.46125
TMEM55B	0.18825
OSTM1	-1.4831875
CLCN7	0.872
OTP	0.02025
FLJ23049	-1.201
HEATR4	1.1035
MAP3K10	2.09616666666667
PCDHGA9	0.82
AMDHD2	0.19425
LCTL	-2.315
PDCD2L	-0.7325
CABLES2	-0.9165
SLC5A9	-0.64675
CLCA2	2.68833333333333
MGC16025	-1.118
STRAP	-1.53583333333333
C20orf196	-0.7505
RRBP1	1.022
NAT13	-1.0545
MAT2B	-1.356125
CSNK1D	-0.0138333333333333
KIR3DL1	0.6835
PRKAG3	0.4195
ZNF599	0.411
PRM3	1.409
PER2	1.65716666666667
ASPHD1	-0.9135
PRMT6	-1.65525
KCNE1L	-0.870785714285714
FAM118A	-0.6525
TAF4	-1.017
NDUFB6	0.34025
TRIM9	-0.564833333333333
PMFBP1	-1.553
KY	0.225
DKFZp762E1312	-1.79663636363636
CSMD1	-1.189
TBP	-0.622
OR1Q1	0.5355
RETNLB	0.384
HPGD	0.677428571428572
DNAJC12	1.67883333333333
FKBP1B	-1.7935
ANKRD24	0.658166666666667
CXXC5	1.144
IL3	0.557375
DRAM	-0.4202
PTCH1	-2.009125
TP53BP1	0.03125
SLC17A7	-0.037875
COL25A1	-1.3021
AMACR	0.173666666666667
RHCG	-0.2665
VPS13A	-0.1785
FAM55D	1.296
PRPF38B	-0.69575
OSBPL6	-0.7365
PFDN5	0.9653
CMTM6	0.47275
KCNK12	-1.70775
RP2	-0.5005
C16orf52	-1.18125
PICK1	0.113
IFNE1	-0.6825
SEMA4B	0.6165
TYRO3	-1.69625
OR12D2	0.9185
CSNK1A1	0.2288
FANCF	1.176
LONP2	1.702875
TBL1Y	-0.30675
LDOC1L	-0.551
CCNC	-0.604
C3orf60	0.152
CHKA	-0.75525
UBAP1	0.46475
MAP3K1	3.3925
ANKRD9	0.588
FAM92A1	-2.59183333333333
GAB2	0.5215
AZU1	-0.326
DIS3	-0.940583333333334
C21orf109	-0.84175
IQCB1	-1.46875
SPATS2	-0.806166666666667
EFCAB3	-0.015
PRB3	0.775625
FUZ	0.963333333333333
ZNF813	-0.36825
BMPER	-1.82483333333333
HEG1	-0.59475
ALS2CR11	-1.54925
SURF2	0.4005
PSMC1	0.03875
OR2D2	0.3945
SLC7A8	3.2725
C4orf40	0.115
SPATA7	0.9915
MAZ	-0.22325
PIN4	-1.16275
PDE1A	-1.72625
TAF6L	-0.0155
OR2T34	0.4615
KIAA0284	0.75725
ACADS	-0.572454545454546
MKRN2	-1.2095
C18orf56	-1.5935
MS4A6E	0.159833333333333
GALNT4	0.9563
C22orf31	-0.685
FLJ36070	0.531
PSME4	0.669
TFG	0.0625
EPHX2	1.5875
ANXA5	-0.44825
KRTAP1-1	-0.0825
BATF	3.8645
KARS	-2.7525
MSTP9	-1.7695
GPR26	2.55575
CCDC72	0.84325
TEF	1.59233333333333
FOXK1	-0.2662
PRLHR	0.344
EMX1	4.23125
C11orf30	0.45775
ICK	0.177375
THSD7B	-0.51925
C21orf100	-0.2115
DUOX1	1.299
EFCAB4B	-0.492
UBE2G2	-0.9045
C3orf54	0.5765
PARP1	-0.9335
FAM60A	-2.25116666666667
C6orf146	-0.1305
OR9K2	0.3365
DDX55	-1.36233333333333
RPS15	1.46125
ZNF618	1.3691875
DKFZp686D0972	-0.239
SSPO	-0.7415
SHFM3P1	0.4325
CPA6	-0.22025
JAG2	0.7645
DEFA3	0.62075
PPBPL2	-0.0806
CD34	4.099375
SLCO4A1	-2.932125
AFG3L1	-1.81383333333333
SHD	-0.595
RP13-122B23.3	-0.467
PRKCSH	-0.243333333333333
DPH5	-0.7215
HLA-F	2.059625
TBC1D4	-0.74325
RIG	0.149166666666667
GLUD1	-0.426666666666667
HNRPCL1	-0.031875
HBXIP	-0.33425
RNF207	-1.799
APIP	-2.23425
PLA2G3	2.11266666666667
CCDC84	-1.01175
MYLIP	0.296846153846154
PHIP	-0.073
AARS2	-0.491333333333333
DHX32	0.5865
SCAPER	0.0133333333333333
MEN1	-0.242625
NIP7	-2.186
FLJ25404	1.021
FASTKD3	-0.74325
TMEM158	-1.55075
RARA	1.92225
BDH1	0.6655
ANKRD16	0.8535
CARM1	1.579
SS18	-0.0161666666666667
IKZF2	1.40175
MYD88	0.06375
PML	0.63575
TAF1A	-1.88075
CBFB	-1.202
HIST1H3H	-0.837666666666667
C7orf29	-0.96275
COMMD4	-0.424833333333333
DPP3	-0.951
DAB2	-0.00499999999999998
LOC388882	-0.5705
YPEL4	-0.642625
AGBL3	2.49475
LRP6	0.2927
SERPINH1	-0.501916666666667
TLE1	1.4915
CD244	0.342333333333333
ZDHHC15	-0.7745
MGLL	-0.7498
PLDN	-0.66875
LOC654346	2.202
FAP	2.563
GPR37	-0.455666666666667
SCARA5	-1.32883333333333
EBF4	1.56345454545455
LSM6	-0.919
MLLT1	0.419375
SLC5A12	-0.62175
A2BP1	-1.68116666666667
COPS5	-0.723166666666667
TPM4	0.590214285714286
TNFSF4	0.045
ACADSB	2.23444444444444
HERPUD1	-0.55125
BCL2L11	-0.2545
CEP78	-0.994375
CDCA3	-1.39625
WBSCR19	0.5627
MYO1A	-2.0865
PPEF1	2.94766666666667
LOC440348	-0.39075
CPEB2	1.213625
BPTF	-0.843833333333333
RPL21	-0.4435
GSX2	-0.511
ADPRH	-0.0196666666666667
C17orf68	-0.125166666666667
KCNS1	-1.04316666666667
MLLT6	0.2868
PIWIL4	-0.5265
RNF26	-0.59125
RAP1B	0.182875
ADAMTS1	-3.6613
ZNF571	0.6785
P2RY6	-0.864
TRIM21	0.815333333333333
CADM3	0.50825
NLRC5	0.1845
ADRA2B	-0.0595
LOC90835	0.34025
PCF11	-0.40075
LOC400451	2.14425
GLTSCR1	1.5974
C17orf88	-0.393833333333333
CDH16	-2.209
FGF7	1.250125
PCSK4	1.83
NPC1L1	-1.43366666666667
TAT	0.295875
TBCA	-0.73125
MGC33407	0.38325
GPR115	-0.634
CYGB	-0.1765
FNBP4	-0.667166666666667
C12orf43	-0.48325
CBL	0.3664
CLECL1	0.10925
PPAPDC1A	1.60025
WDR25	0.4615
SGCA	0.985
C22orf29	0.657666666666667
YIPF1	1.75775
GALK2	-0.84975
RAB3B	-2.65991666666667
LOC440087	-0.85225
UCP1	-0.571
REEP5	1.1695
FADD	-1.287
FOXA1	3.471625
CACNA1A	0.9005
ABI1	-0.810666666666667
GRIN2D	2.96325
SLC1A4	0.446833333333333
LOC401127	-0.4675
HINT2	0.8555
PLD4	-0.225833333333333
ZNF286A	-1.7075
ENY2	-0.89475
IL1F6	0.0595
PXDNL	1.87025
C20orf79	-0.04675
TNFSF13B	2.13966666666667
DENND3	-0.283375
JARID1D	-3.8205
HIST1H2AK	1.1785
LOC93349	0.4483
SSH1	-0.9895
ENSA	-0.97775
LOC219854	0.0736666666666667
CKAP2	-1.0937
DKFZP564J102	-0.942833333333333
MGC87315	0.603333333333333
HNRPAB	-1.8625
AMH	-0.1225
ZNF526	1.342
BRUNOL5	-0.2662
CACNG3	0.286666666666667
TRPM1	-3.1155
PPP2R1A	0.837875
COL2A1	-1.87325
DDN	-0.781
FLJ25770	1.24433333333333
HK2	-0.339
ELOVL6	-1.11125
MDK	-0.5045
EPHX1	1.5635
RASSF2	-0.103625
DKFZP434B0335	0.1945
DLX3	0.242
PRTN3	-0.7605
AVPR1A	0.6155
C21orf125	-2.1445
TNFAIP8	-0.546833333333333
GNB2L1	-0.5325
CALCRL	2.6505
SCGB2A2	9.73683333333333
UBXD7	0.49175
ZNF674	-1.035
TMEM35	-0.0125
BRSK2	-1.2945
HECTD3	-0.2525
TMEM188	-0.917333333333333
LGALS9	2.133125
SCARB2	1.12191666666667
USP34	0.20675
C17orf28	2.39808333333333
ZDHHC23	-0.84475
AQP12B	-0.7665
SLC16A3	-2.034125
APLP2	0.501125
ITIH2	-5.65925
MICAL3	-0.421
TNNI3K	0.8746
HDAC2	-0.188625
PRR7	0.5909
THBS2	-0.066125
LOC751071	-0.677833333333333
CA2	3.06366666666667
RANBP17	1.26675
RLN3	0.1245
CRYZ	0.163166666666667
GBAS	0.477666666666667
TAS1R1	-0.5265
MPZL3	1.042
PCDH8	-2.1015
HSP90B1	-0.90475
KCNK15	0.9555
TNIP2	-0.333666666666667
GPR146	-0.424
NOL6	-0.318875
SPC25	-2.08344444444444
STEAP2	3.75992857142857
VAMP3	-0.278833333333333
TCIRG1	0.06475
ZP4	0.182666666666667
PARL	-0.70075
TRIM39	0.0388333333333333
KIAA1305	0.30375
CRNN	0.103833333333333
GRN	-0.31325
HSH2D	0.28425
SCAMP1	-0.0849375
KIAA1913	-0.62275
PTS	-0.35025
BANP	0.0360714285714286
PRKACG	0.42475
ADCY6	0.339666666666667
