Hybridization REF	TCGA-AN-A0XT-01A-11R-A109-07
GMNN	-2.021
SPCS2	0.852833333333333
LOC388524	-1.143
NAPRT1	-0.210125
PNLIPRP1	-0.531
OR6V1	0.3865
PRKAB1	0.01575
EYA4	-2.85666666666667
KIF20A	-3.056
ALG10	-0.31225
ITPKC	0.9435
LMX1B	1.57016666666667
RPUSD4	-1.30616666666667
C7orf34	0.1785
DLGAP2	0.259625
PFN1	-1.3004
MICALL2	-0.5495
ZNF654	0.0265
SS18L1	-0.895
SLC16A8	0.58625
MKI67IP	-0.426333333333333
ITGB3	-0.577875
TCEA3	2.15291666666667
CEP152	-2.0855
CLIP1	2.461
ZNF75	0.8375
ATP5C1	-0.334333333333333
NUDT5	-0.776666666666667
PSCDBP	-0.52975
UBP1	0.1345
RBM27	0.0955
C13orf15	2.624
ZNF282	0.064
ZNF222	1.144
COL10A1	4.96475
PRDM15	-0.203625
TTTY5	-0.24
FAM9C	-0.503083333333333
C20orf67	0.00875
GNG13	1.118
F12	-2.95825
C1orf41	-1.5455
CPXCR1	-0.3515
GSK3A	0.346625
SUPT6H	-0.1675
PI16	1.05966666666667
ELL2	-0.667916666666667
C9orf167	-1.31383333333333
PVRL3	-0.8358
FLJ38596	1.081
ADAM20	0.265
GPR89A	0.1555
GPR87	-1.9265
ZNF30	1.748
SMR3B	0.0905
ZNF770	0.53325
TRPC4AP	-0.8005
DKFZP686E2158	0.553833333333333
C2orf28	-0.537
FREM1	-0.596666666666667
LAMA4	0.411
ADPRHL2	-0.09175
EIF4G2	-0.164666666666667
GUCA1A	-0.207
CTNNA2	-1.183875
NUDT15	-1.0235
CEPT1	-0.0111666666666667
ZNFX1	0.34
CCDC92	0.6225
TDRD1	-0.5415
KCNK5	-1.357
ETNK1	0.0156666666666667
LTA	-0.058
TTPA	-0.326833333333333
B3GALNT2	-0.423625
SC65	-1.70583333333333
PEX5L	3.53075
EPS15L1	1.2685
MGEA5	1.0425
HIST1H3A	0.266
ING1	2.13175
BCAT1	-3.9755
ORC6L	-3.53527272727273
KLK11	-4.35433333333333
C19orf28	-1.897
DNER	-4.1615
MED22	-0.656571428571429
ETV6	2.07416666666667
CHAC2	-2.26675
CD300E	0.072
CEBPB	-0.941416666666667
ZNF398	0.367
LRCH3	0.291
HMGA1	-1.54333333333333
CAPN7	0.190166666666667
MGC5566	-2.91475
CCL3	2.081125
NANOS1	-1.46425
ZFYVE19	0.16625
APITD1	-1.5665
PARD3	1.331375
IRAK4	0.100833333333333
SERPINI2	0.0165
CEP170L	-1.92175
TTC9	1.620125
MYOM3	-1.2645
MLPH	2.3835
LOC222699	0.305
NRG1	-1.74375
TBC1D9	5.29227272727273
TTK	-2.63516666666667
ZNF557	-0.3949
DDX41	-0.373666666666667
FANK1	2.4395
UBE2D2	0.059125
PSMB10	-0.0365
MYH7B	0.344
GABARAPL2	0.24875
MARVELD2	2.5535
DGCR2	0.288
UNC45A	0.0035
C6orf72	0.7775
ZNF683	2.84425
GIT2	0.03475
CASK	0.838666666666667
C14orf161	0.0356666666666667
LRRC44	-0.00624999999999999
TIFA	0.164
UTP11L	-0.241875
C6orf65	-1.534
FDPS	-0.909
DUSP9	-1.6696
SLC17A8	0.101166666666667
OR51G1	0.259333333333333
NANS	0.918
OLFML1	1.148
ATP10B	-0.840125
NPAS3	-0.31475
PRKCA	-2.528
GGA2	0.7134375
LCE4A	0.6095
SPANXN3	0.15925
CCDC115	0.8415
SDCCAG3	-1.005
GLIPR1L1	0.066
TTC1	-0.274
C17orf76	-0.20825
MAD2L2	-2.789
HIPK1	0.7571
LRRC3B	0.138666666666667
CLN3	0.0902272727272727
C17orf47	0.2225
FMN2	-3.351875
TUBB1	-1.028125
WAPAL	0.665833333333333
C3orf21	-0.76775
SCN5A	-0.4018
SMYD1	-0.0275
BEX5	0.3195
ZNF192	0.256
SEC22A	0.174333333333333
GRIA2	0.1525
KIAA0825	-0.80375
NUSAP1	-2.47109090909091
LANCL1	-0.33675
C15orf40	-0.8922
ZNF645	0.312875
GPR61	0.08075
NLRP14	-0.207
SNX21	-0.1257
C1QTNF8	-0.04
C17orf46	0.3745
IFNA8	-0.512
SPRR1B	-0.711166666666667
FLRT1	-0.471
SNX17	-1.0965
ASB2	0.0501666666666667
HBG1	-4.987
RPRML	-1.27025
JOSD2	-0.297
PLSCR3	-0.29125
SPOCD1	-0.838333333333333
RAB39	-0.3935
GHRH	-0.176166666666667
ITIH5L	2.3855
C17orf37	0.53175
SMCR8	0.45325
DPY19L2P3	0.766
IL11RA	0.1475
GDF3	-3.09516666666667
RPS6KB1	-1.46966666666667
DNAJC19	1.4456
TOP1	-0.51575
CRCT1	0.202625
MPST	0.00562500000000001
DPM2	-0.199875
FAM38B	-0.3665
SLC18A1	-1.64916666666667
FARP1	1.66916666666667
PAX7	0.13325
TUBD1	-1.904
GNL3	-1.058
BTG2	2.02426666666667
NDUFS6	-0.589
C1orf79	-1.50525
ERAL1	-0.472
ECHS1	0.8905
VPS4A	-0.3345
CYP11A1	-0.816
ABCC6	0.219285714285714
PBX4	-1.7675
MOSC1	-0.928875
NCF4	-1.13325
HYMAI	-0.3575
NAGPA	-0.9935
OTOP2	0.28675
ACOT12	0.22825
MTHFD2L	-0.539
LOC441376	2.621
C19orf34	-0.4695
RAB1B	-0.17075
ALDOAP2	-0.786
NTRK1	-1.43466666666667
ARTS-1	-0.4646
SLC6A11	-0.885
NAP1L2	-1.27
CNGB1	-0.154666666666667
EPB41L4B	1.14508333333333
FAM134B	4.007625
HS3ST3A1	-2.57083333333333
CPXM2	5.33025
SIRPB2	0.25
CHORDC1	-0.644666666666667
TRIB3	-0.607166666666667
SLC2A5	-0.10625
C2orf49	-0.800833333333333
DDX5	-1.09675
OR5L1	-0.14
ANAPC4	-0.9225
ZSWIM1	0.377375
LOC93622	-0.61725
KCNK3	-0.2829
RP11-35N6.1	-1.571125
ZFP161	0.572333333333333
AQP9	0.418
SLC15A2	-0.856166666666667
MREG	0.789833333333333
OR9I1	0.241
PDLIM2	-0.11425
ADAM7	0.252
GSTCD	-0.1745
WDR21A	0.19125
SLC12A8	0.306166666666667
TMEM174	0.089
IGSF3	0.26425
LRRN1	1.61425
LOC402117	0.1035
SRPK1	-0.777833333333333
LY6K	0.2076875
NFIA	3.0155
PTCD3	-0.4445
LEP	0.823166666666667
PCDH21	-0.6425
MAPKAPK2	0.350714285714286
NMNAT1	-1.8105
LHFPL2	0.13875
C9orf43	-0.0985
DIP2A	-0.710166666666667
ACTR8	-0.536125
CCDC34	-0.679
PTPN22	-1.723375
ITGA3	-1.112375
FAM129C	0.383
RABGGTA	0.159666666666667
UNC45B	0.51925
KIAA1033	-0.159375
ZNF510	-0.024
CYP2D6	-0.326833333333333
SLC26A10	-1.6005
STX8	-0.132
LUZP1	-0.068125
WDR89	0.490666666666667
EIF4G3	0.8261
C5AR1	0.114125
ZNF623	-0.14
A2M	1.3215
TGM7	0.1055
GRPEL1	-0.934666666666667
LMNB2	-2.1458
ROCK2	-0.1995
SNX16	-0.2225
CCDC66	0.1485
ANXA3	1.11875
KIAA1609	-0.247375
EED	-0.767
RNF32	-0.101
HES1	2.5999
CLC	-0.127166666666667
ISL1	0.429166666666667
KIAA0528	0.6365
MANEA	0.27475
C1orf61	-2.1355
hCG_2001000	0.94975
RAPGEF6	0.6846
KIAA0020	-0.346333333333333
NEIL1	1.986
C16orf45	-1.50625
RBM10	-0.0248333333333333
C10orf125	-0.837375
MRS2L	-0.27525
DNAH17	-0.685125
C19orf10	-1.18425
C1orf160	1.00175
SLFN12	-0.42875
EXOC3	-0.187833333333333
HIST3H3	0.4575
NCOR2	0.591
TNFRSF9	-0.03725
MFSD8	-0.024
ALX1	-3.12983333333333
NOL1	-1.3105
PODN	2.5185
TIAL1	-0.6495
HIST1H1E	-0.17
NPY6R	0.3945
TM4SF4	0.3725
CORO2A	1.493
ETNK2	-1.0715
APOE	-0.2359
ANGPT4	0.004
HDGF2	-1.29775
G30	0.206
ST8SIA4	-0.420875
F2RL1	0.12225
FAM19A4	-3.411
CCAR1	-0.66175
B3GNT7	-0.02325
OPHN1	0.3556
DSCR6	-0.08
C21orf13	-0.0821666666666667
GAS2L1	0.0101666666666667
RFX3	0.114
COPS4	-0.878875
BCHE	-4.29466666666667
BCL2	4.808625
HBZ	-2.93766666666667
ARL13B	-0.39975
MAPBPIP	0.194125
MYO15B	2.0235
SPZ1	0.06775
KIAA1324	4.079
PLCL2	-0.4215
C4orf29	-1.5035
WDFY2	0.191125
ZNF284	-0.337
NAALADL1	-0.1475
DUSP5	0.662666666666667
PXDN	-0.115125
SLMO1	1.00875
TNXB	0.2652
BIRC7	-1.018
A4GALT	0.266666666666667
TIMM22	-0.333
FAM110C	1.06725
TOMM34	-1.176125
ABHD9	0.1535
ADAM32	2.902
CRHBP	2.1215
AQP2	0.40925
LOC130355	1.1135
ZNF187	1.0055
ZNF816A	0.767
F7	1.992875
CNOT1	-1.0525
SLC13A4	2.80625
ZBTB11	-0.2185
B3GALT5	0.55825
EXOC2	2.8235
IRS1	0.8397
TMEM1	0.187
MRPL34	0.226833333333333
SAMM50	-0.5455
CDC42EP3	0.033125
HSF2	-0.4953
MFN2	-0.66825
TSPAN7	-0.175
NUCB1	0.235833333333333
RHOH	1.712
ARL16	-0.054
TACR1	0.41425
SFRS5	-0.470833333333333
SNX25	0.29075
RHBDF1	1.0815
PCDH18	1.66883333333333
HMG1L1	-0.7495
MYO5C	2.313125
MAPK10	0.8835
LDHAL6A	-0.162666666666667
NUDT12	1.34916666666667
NCAM1	-0.161
GLIS2	0.369
GGTL4	-0.85225
DAPP1	-0.628
ATF7	0.399125
KIAA0748	-0.948
NFIL3	-1.38525
TM6SF1	1.1569
SEZ6	0.218125
NANOS3	0.291833333333333
DNAJA3	0.034
CLDN6	-1.9705
CIITA	1.7089
EPHA4	-0.360166666666667
FANCC	-0.4955
CMTM3	-0.692125
PSG3	-0.341375
MRPL15	-0.6835
C21orf59	-0.03125
PLCXD2	-0.36675
C2orf34	-0.179375
UBE2L6	0.476625
MED14	-0.362833333333333
HP1BP3	-0.9902
C6orf208	-0.2525
TPBG	1.66275
OSR2	-0.96575
XPC	-0.524833333333333
KLHL7	-1.45175
CCR3	-0.232666666666667
AGTPBP1	-0.858333333333333
PCSK6	0.206866666666667
STAT5A	-1.4009
FAM18B	0.44125
LONRF2	1.31816666666667
PTPN2	0.605125
SF3A3	-0.537
EFCBP2	-0.2605
HCFC1	-0.704833333333333
AHNAK	1.00625
ACTR5	-0.459
KIF14	-3.64842857142857
TENC1	1.03375
HEATR5B	0.9025
YIPF2	0.391333333333333
MYEOV2	0.276333333333333
DUSP18	0.64325
KIAA1012	0.13975
AHR	-0.242
C17orf53	-1.73066666666667
PTPRH	-3.8925
ATP6V1C1	0.0167
TAS2R3	-0.4515
LOC440356	-1.5615
COQ10B	-0.08275
PSMF1	0.564083333333333
SORBS2	1.24075
NFE2L2	-0.52575
TMCO7	-0.98975
SH3PXD2A	0.0143
SH2D2A	-1.471
SPINK5	-0.06025
MRPS24	-0.6455
OPA3	0.2095
TRAF7	0.303666666666667
C4orf35	0.512833333333333
MT1G	-0.320125
MGC39545	0.1025
HS1BP3	0.0711
OR2B2	0.433
CHRM4	-0.035
SFRP2	2.03766666666667
RIC3	-0.8935
ART1	-0.045
C6orf1	0.776625
DUS4L	-1.11425
C10orf104	0.19475
TNFAIP6	2.3195
RTEL1	-0.9305
CCT4	-0.9854
ZNF709	1.15025
CHMP6	0.758833333333333
UPP2	0.1075
CYP19A1	-2.478875
CD151	-2.17883333333333
NDUFA13	-0.286666666666667
ARFRP1	-1.10416666666667
FAM26B	2.4685
CRYBA1	-1.7385
MRPL41	0.244
NPFFR2	-1.21725
HRH2	0.2465
SCAMP3	-0.246
MTMR6	-0.0788
MTG1	-0.583333333333333
UBTD1	0.31875
CRABP1	-2.247
FLJ33790	0.0638
KIAA1908	-0.844333333333333
GPR158	-0.593
PACSIN3	-0.119666666666667
OMD	2.18766666666667
CATSPER1	-0.359833333333333
HOXB8	-0.97475
FBXO46	1.5
OAS1	1.777
SVIL	1.87425
PHB2	-0.709
ADCY3	-0.066
NDRG2	1.24983333333333
ERMAP	0.7067
APBA2	-2.0045
IGSF9	2.27475
WNT6	-0.335428571428571
MYCBPAP	0.885
ATP2B2	-0.201
CPVL	-1.5096
TRAM2	-0.656833333333333
NOP5/NOP58	-0.525
ZNRF4	0.065
TLK1	0.4775
MTMR12	0.578
ZNF384	-0.0105
FAM9B	-2.435
RPN1	0.6261
PMVK	-0.25125
EIF3D	-0.6364
SIX2	-1.03725
HPS1	0.33
RNF7	0.92825
PSKH2	0.2245
KCTD13	-0.288666666666667
CSMD3	-0.0212
FBF1	-0.34
IL8	-5.07775
SERPINB13	0.496916666666667
FBXL20	-0.10025
BLR1	0.25075
SH2B1	0.156166666666667
RFNG	-0.0295
RAB20	0.960333333333333
RBM7	-1.27725
POLR1A	-0.792666666666667
TMPRSS4	-2.949
TAF9	-0.67075
TERF2	-0.303
TNFRSF1A	-0.729333333333333
ACADVL	-0.7475
GTF2H5	0.49075
EDG8	-0.359
C9orf140	-1.937625
UST6	0.33225
ZBTB8OS	-0.1375
ZNF710	0.8055
GPR174	-1.6045
ATP6V0A2	-0.332
KIAA0319L	0.891333333333333
XKRX	-0.4625
DOPEY2	1.892
SDHD	-0.852583333333333
SUMF1	1.58175
OSM	0.97325
OPN3	-2.3345
DAGLB	-1.0885
PPFIBP1	-0.163
TRIM63	-1.37975
C10orf53	0.195
LYPD3	1.403
BCL7A	0.035375
AGER	-0.621333333333333
TCF19	-1.58525
SAT2	-0.3375
PFTK1	0.097
GABRE	-2.601875
C15orf38	0.0623
FIS1	0.255
KCNV2	0.19275
CLPS	0.331
PPCDC	-0.44125
FOXN2	-0.0603333333333333
NT5E	-2.4475
CD83	0.0875
IL18	-0.391625
VPS16	0.19825
IGFBP2	-0.471666666666667
NOTCH2	0.4825
SIGLEC1	1.092875
CD93	6.1535
SULF2	-0.83125
CEP164	-0.32425
P53AIP1	0.117666666666667
TOR2A	0.094
ZNF136	1.415
MGP	3.2536
CCDC144A	1.27116666666667
TRPC1	-1.28533333333333
SMS	-0.659166666666667
MAPK7	-0.504333333333333
RRAGC	0.7905
PARD6A	-0.323666666666667
NUB1	0.282
SYNGR4	0.21025
OR11H12	0.2645
WIF1	0.25425
GCH1	0.68075
OR11H4	0.2425
SLC44A5	-0.357
GPRIN2	2.43983333333333
LOC401431	0.399
CPA4	-2.7699
MELK	-3.09922222222222
IL15RA	0.2045
CUL3	0.982
HMBOX1	-2.16425
PODXL	-0.2625
CCT6B	-0.967666666666667
COMTD1	0.38175
MUC20	-0.00783333333333336
GPX2	-2.212625
ITK	-1.67775
FBXL5	1.146
C13orf27	-0.91325
DEFA5	0.224
TRHDE	-0.3365
MTP18	-1.49216666666667
UQCRQ	0.1476
ITGB2	0.373583333333333
CSRP2BP	0.433
TAS2R44	0.199
PHPT1	-0.566125
FAM44C	-0.04625
ERH	-0.24825
MPHOSPH1	-1.84416666666667
MORC1	-0.1345
PARVB	-1.01175
LAMA1	-2.77225
PGBD3	0.35325
GIMAP6	4.1515
AREG	-5.22816666666667
LIPT1	-0.005
MGC99813	-1.0445
C1orf201	0.205166666666667
GRIN2A	-0.7586
MAN2C1	-0.6485
NSUN5	-0.954
SF3B5	0.333
MYC	-1.1095625
NRXN1	-0.717916666666667
ZNF18	0.182
SPDYA	-0.966625
SLC37A1	1.0725
DECR2	1.025
ANKRD38	-0.44375
SPTLC3	-1.47483333333333
SUPT16H	-0.513375
DTWD2	0.70575
ULBP1	-0.3885
ZADH1	0.358333333333333
OIP5	-2.33175
IL10RB	0.0733333333333333
OTUB2	-1.028125
VWA3A	0.332833333333333
SPIC	0.3755
OR6C4	0.246
PSCD4	0.255166666666667
DPY19L2P2	-0.913
TRAPPC6A	0.35
C21orf2	0.458833333333333
CEMP1	0.5065
LIN7B	-0.4
E2F7	-2.6005
VCP	-0.4080625
LAMA3	2.69075
BGN	1.3775
GPR160	2.33083333333333
COCH	-4.12416666666667
GPR81	2.91633333333333
APOBEC3F	-2.94125
tcag7.1017	-0.12725
C1orf32	0.3345
SCGB1D2	7.0065
FLJ43987	-0.1785
C6orf170	-0.37
KLK9	0.325
GPD1L	1.412375
VPS37B	0.20425
ATG3	-0.417833333333333
ADAMTS17	-0.063
KLHDC2	1.68516666666667
NDUFV2	-0.83025
BLK	-2.11075
MATN4	-1.0585
GPM6A	1.601
GBP4	3.6435
TMEM162	0.592666666666667
PKP2	1.199
HRASLS	-2.46855555555556
MMP1	-4.715
SFXN3	-0.4679
FSD1	-1.5435
ST6GALNAC3	-0.476833333333333
CA12	3.6779
NCOA6	0.9985
C19orf58	0.1642
PPP4R1	-0.6655
MAN1A2	0.576666666666667
IKBKAP	-0.067
UPF1	0.21
KIAA1219	0.6315
WNT16	-0.284
SNW1	-0.651125
IL18RAP	1.6145
RPP30	-0.054625
CDC40	0.243428571428571
SETD3	-0.3565
SLAMF6	-0.12325
ELK4	-0.8595
TRIM47	0.292333333333333
ACOX3	1.208125
TRIM6	0.048625
KIAA0372	-0.340166666666667
TP53AP1	0.96675
SMURF2	-1.83025
ADAD1	0.2615
EBP	-1.1502
KRTAP13-2	0.038
FLJ36874	-1.07566666666667
TOR1A	0.509833333333333
P2RY4	0.4605
GPBP1	0.40125
TRPV1	-0.09025
ADAMTS12	-0.59
PES1	-1.1722
ATG4A	0.469833333333333
MAGEA10	-4.1935
WFS1	1.7895
CC2D1B	-0.335666666666667
PABPN1	-0.231
SLC25A30	-0.00825000000000001
SLCO1C1	0.5905
SLC22A5	3.62075
KIF23	-3.05716666666667
SYN2	0.4765
ASPN	6.82866666666667
CENTG2	0.00925
QSOX2	-0.8375
FLJ10815	-0.2575
STK24	0.797875
SPEG	0.7458
STK10	-0.411333333333333
DACT2	-1.88
AAAS	-0.67025
SSX3	-1.378
ABCD3	1.7753
C4orf12	-0.6625
PARVG	-0.430666666666667
FIG4	1.17625
C9orf46	1.88425
TMCO6	-0.554
IGHMBP2	-0.738
DUS2L	-1.60333333333333
FAM3C	0.03425
TMEM16D	-2.699
DCTN4	1.27925
KCNH3	-0.72325
EIF2AK2	0.25475
AP1S3	-0.53675
CST4	0.554
PAM	-0.714875
NUTF2	-0.546
CITED2	1.2351
SLC39A4	-0.107
C2orf52	-0.5355
GRM3	0.2025
C12orf49	-0.134375
CCDC49	-0.6695
GRAMD1B	-1.703875
FNDC4	-0.417
SIAH2	1.723
GDPD4	0.07175
C21orf87	0.133875
ATP5A1	-0.680166666666667
C16orf63	0.222125
LOC388135	-0.0856666666666667
ATP5J2	-0.722875
MMP3	-1.6235
EMID2	-0.11525
CRHR1	0.09675
WDR70	-0.188
C13orf31	0.12775
ZFAND1	0.4855
CCL18	3.161
C3orf49	0.163
RINT1	-0.4205
KIAA0408	-1.40866666666667
F13A1	2.7089
SLC10A1	0.000833333333333325
OGN	1.028
GIPC2	-0.6595
XPO6	-0.0565
LCE1A	0.0475
FMR1	0.3598
LOC374920	-0.17
DUSP3	-0.33425
ANKMY1	0.29825
C7orf50	0.55
BBS9	-0.077
UNC119B	0.335375
C9orf72	0.16775
MGC35440	-0.10975
ENTPD6	0.184875
PPP1R2P9	0.36425
ERCC4	0.00199999999999999
FAHD2B	0.597
HMHA1	-0.341
HACL1	-0.2895
RAD23A	-0.1405
FAM83B	-1.60425
PPP5C	-1.28166666666667
RNASEH2C	-0.05575
C9orf153	0.33175
SCAMP4	0.167
GHITM	0.3583
NDUFB7	0.8265
ADCYAP1	0.436166666666667
SP110	0.951
MAP3K7IP2	0.30325
DHH	0.173
AGRN	-0.409928571428571
WDR33	-0.2415
CEP290	0.5775
PRPS1L1	-3.54933333333333
KLRA1	-0.465
GPR97	-0.066
CHD7	-0.686583333333333
TLR10	0.7605
SLC30A8	-0.529
HIC1	0.785833333333333
IAPP	0.1465
RXFP4	0.288
GP1BB	0.59925
SHQ1	0.114
NKX2-3	0.238833333333333
API5	-0.0825
FTHP1	0.2025
MOV10L1	0.263666666666667
TRIM6-TRIM34	1.277
ADHFE1	0.57425
FAM117A	-0.64975
DDI1	0.139333333333333
CDON	0.715833333333333
TRIM73	-0.852
IGKC	4.0785
MMP14	-0.383333333333333
DYNC1LI1	0.536625
C11orf66	0.707
TRBV3-1	-1.32775
FASTKD5	0.039
BIVM	0.087
LHX4	-0.13775
CXCL2	-1.4847
RAB2B	-0.323833333333333
IZUMO1	-0.71475
MAP3K15	-2.32025
FAM19A2	0.0908333333333333
ZC3H8	-0.892166666666667
ZMAT1	2.47675
SPINK5L3	-1.78
SLC10A6	0.6145
APPL2	0.401
CARD10	-0.189833333333333
LOC402176	-0.794625
EEF1D	0.7126
RAB6A	1.0398
C12orf5	-1.104
PAPOLG	0.501
MSRB2	0.624
BCR	0.113444444444444
PUS3	-0.699
TIAM2	-0.70925
ZNF317	0.229666666666667
CHD2	0.429785714285714
FZD5	-1.10095454545455
NUDT8	-2.04875
ZNF763	-0.129
PRC1	-1.77588888888889
ABCB9	-0.174666666666667
SPATA3	0.09925
TRAK2	1.705375
STAB1	2.615875
LRRTM2	0.216666666666667
psiTPTE22	0.4475
DBI	0.88
SERPINA11	-1.77425
NAT5	0.1875
C20orf58	-2.029
RPS6KA4	-0.566
FLJ90650	-0.2075
TGFBRAP1	0.1795
CHRDL2	0.1825
FAHD2A	0.0871666666666667
CNTN1	-0.09925
BBS4	-0.3483
TMEM181	1.5115
MINPP1	-0.334
MPHOSPH6	-1.05833333333333
HOXC10	-1.3605
ITPKB	0.239
CLPTM1L	-0.19525
MEOX2	0.745
ATP6V0C	1.1485
PRPF8	-0.561333333333333
TMC5	3.08775
FKBP3	-0.7645
PLEKHB2	-0.190875
OR4D6	-0.1325
ZNF544	0.1866
D2HGDH	-0.371
RPL18A	-0.3922
HEL308	-1.008125
MPP6	-4.43925
TCERG1	-0.946
KRT16	-1.44316666666667
KLF17	-0.02075
KLF5	1.490125
CDR1	2.49725
VCX3A	-2.859
FBLN2	1.6325
C14orf104	0.69175
HBE1	-4.4401
OR4S2	0.2415
C1orf108	-0.6565
ROBO4	3.86566666666667
CPEB4	2.151875
C11orf80	-0.8145
BCKDHA	0.3965
MYOC	0.96925
GIF	0.2215
CKMT1A	1.605
RPL3	0.6904
THBS1	2.652625
APOO	-1.15025
ARMCX1	3.39175
HSZFP36	0.88625
SNAPC5	-0.29625
EIF4ENIF1	0.654
ZNF433	-0.113
TNFRSF21	-2.502625
TMPRSS7	-0.181
SPATA18	-0.0109
HPDL	-2.5395
MKL2	3.0147
TBX3	2.93953846153846
C21orf93	0.292
DAXX	0.64575
ELMO1	0.209625
RGS13	2.6275
TAF11	-0.57525
UNC13A	-1.7695
LOC653314	-0.2
ORC3L	-0.1085
IMAA	-1.871
TARBP2	-0.507
CABIN1	-0.2531
TRIOBP	-0.1424375
HIST1H2AC	1.411375
RGS22	2.01416666666667
NCOA1	1.57783333333333
IL25	0.5045
SNCG	0.122
GPR6	0.41
AMDHD1	-1.89716666666667
CHEK2	-1.19375
C6orf142	-0.00675
DRD4	0.20175
C14orf68	-0.6325
GDF11	-2.49825
SEMG2	0.564
CD247	-0.2965
CDAN1	0.395
RBMX2	-0.186
TGS1	-0.5765
OIT3	0.222
SYF2	-0.02075
MCM4	-2.647875
PKHD1L1	-0.31275
CEP192	0.1395
IFT88	0.3465
RPL9	0.168142857142857
RAB32	-0.099125
DDX43	-2.255
P2RX2	0.1975
OR5D18	-0.214
UBE1	-0.622
SLC24A1	0.96175
ARHGAP5	0.814
CETP	-0.3145
KIAA1731	-0.133333333333333
SLC9A4	0.5105
PTPN6	0.34075
BAHD1	0.621
GRIK3	0.4985
CACNB2	0.6604
PDE10A	-0.395
DGCR14	-0.502
PCDHB9	-0.8765
RHOQ	0.603
MAP3K4	0.33475
KTI12	-0.0085
RPL23AP13	1.03675
GNG11	0.2605
CLCN3	0.956833333333334
GPAM	-0.806875
VSTM2A	-0.008
SLAMF7	1.9525
INTS2	-2.20075
PPP2CA	0.2752
LRP12	-0.378
SEC14L2	1.77344444444444
DKFZP586H2123	1.79975
MC3R	0.0105
CIRH1A	-1.83566666666667
HIST1H2AB	1.29383333333333
POLH	-0.252375
MGC16703	-1.72116666666667
SNAPC2	-0.028
FILIP1L	1.332
RASGRP4	0.662
LRRC1	2.554
GAS1	-0.97275
PRAC	-0.3125
DGKA	-1.34583333333333
NT5C3	0.45775
PEG3	-3.58483333333333
NADK	-1.421
PRR17	-0.38875
LOC374569	3.29975
SGSH	0.545166666666667
NLRP8	1.4595
GALT	-0.2874
MCF2	-1.3755
ZNF263	0.78675
TACSTD1	1.11816666666667
TYR	-5.7383
ATP6AP2	0.25475
RNUXA	-0.13175
ABHD10	-1.4113
GDPD2	1.0855
SLC35C1	-0.4965
UBE2A	-0.0135
HERC5	-1.3465
FAM112B	-4.085
FBXL16	-0.0625
DKFZP434A0131	0.192
ELA3A	-1.5165
RBM41	-0.94125
HAO2	0.386
RNH1	-0.7505
SHANK2	1.95716666666667
OSBP2	-1.744
DAK	-0.808333333333333
C3orf58	0.938
TCL1B	0.097
KBTBD2	0.3295
SUGT1L1	0.47425
UBE2E2	-1.2495
MYL9	2.311625
CDC23	-0.660333333333333
PBXIP1	0.6869
CXorf40B	0.4865
NBL1	0.387
RTBDN	0.1665
RAB11FIP5	0.978375
TTTY13	-0.1155
SCOTIN	-0.768166666666667
SOHLH1	-0.500333333333333
CDKN1A	-0.985857142857143
NCK1	-0.2385
ZNF550	0.77925
SAPS3	0.680583333333333
SPIN3	0.6095
MAGEE2	-0.075
MIS12	-0.864666666666667
OR8H2	0.457
KIAA0774	-1.05833333333333
UNC5D	-1.9945
CUL7	-0.500166666666667
LIPC	0.222333333333333
DIO1	-1.6185
C20orf11	0.4241
CTRL	-0.43475
HS3ST2	1.50875
PAK4	0.763333333333333
CCRL1	2.15825
RNF10	0.773
ZNF567	0.46075
ZNF660	-0.5865
TCEAL3	0.55825
MAGOH	1.1065
CENPB	-0.187833333333333
C19orf7	1.19125
LOC388965	0.19475
ZCCHC13	0.274
JMJD1A	-0.3253
HIST1H4H	-0.31
TBRG1	-0.5141
GPC3	-4.44725
TAF1C	-0.462
EBNA1BP2	-0.3415
CIAPIN1	-0.793
PDGFRA	-0.762111111111111
CSTB	-0.230375
CENPI	-2.5255
GTF2E2	-0.980333333333333
RPP21	0.2835
CCNF	-0.7925
KCNQ3	0.205
FAM79A	0.8265
SLC22A12	0.1475
NOVA1	-0.431833333333333
FZD3	-1.8675
AKAP8	0.25875
SOCS5	0.527
CFDP1	-1.2175
DLG5	0.6115
PGM5	0.789
C1orf144	-0.372416666666667
HDAC10	-1.532
RND2	0.0625
C20orf199	-0.4355
RNMT	0.040625
SLURP1	0.181
ASTN1	-0.246
SH3BGR	0.6535
MYCL1	-0.17125
ZHX1	0.296833333333333
CENPK	-3.5
FOSB	2.553
LOC643406	0.283625
C2orf59	-1.163125
TMEM135	-0.410125
SLC27A2	-2.28325
KRT33A	0.5355
OVOL1	2.746625
PAMCI	-2.07666666666667
S100A7	-0.797
ZNF789	-0.696
HARS2	0.1365
RPL23A	0.220833333333333
TCF23	0.2335
UPF3B	-1.63725
C17orf78	-0.2895
HLA-DOB	0.282
C14orf142	-0.549166666666667
TEKT5	1.28066666666667
DMWD	0.1555
POLD1	-1.9795
GSCL	-0.0755
CALD1	0.1524
SCRT1	0.333833333333333
AIG1	2.6385
UNC84B	-1.06675
ZNF404	1.36925
TMED6	-2.01675
KIAA1462	0.454
LRRC27	2.316
PYGO1	-0.0335
PIGU	-0.570166666666667
ALAS2	-3.27233333333333
WRNIP1	0.9575
CNNM3	0.8185
