Hybridization REF	TCGA-AO-A12G-01A-11R-A10J-07
C16orf80	-0.82975
C15orf32	0.4575
ZNF746	0.0415
C1orf76	-2.0135
ATXN1	1.411
LAMC2	-0.12925
SLC2A7	-0.311
CPOX	-2.039
APH1B	1.21466666666667
LOC442245	-0.615
CTNND1	1.02983333333333
GABRG2	-0.00774999999999998
MADCAM1	-0.248166666666667
F5	-2.796375
SEMA4F	-0.284833333333333
NUDCD3	0.58075
PDZD11	-0.351
TRIML1	0.204
GCNT3	-2.25283333333333
TMEM120A	1.70125
CNDP1	0.1835
N4BP1	-0.634375
SLC35F2	-1.0675
LCP1	-0.41025
IGBP1	0.1088
DCAKD	0.9015
ELA2A	-0.0515
C12orf56	-1.513875
PITRM1	-0.1195
GUK1	1.13983333333333
RASSF8	-0.9595625
OR2A14	0.08275
ADM	-3.16011111111111
FGD3	1.53366666666667
GHRHR	0.269166666666667
RHPN2	1.16225
C4orf39	-0.025
VPS72	-0.26675
SERF2	1.24961111111111
CD22	0.0683333333333333
CD47	-0.7405
PPIC	1.00833333333333
IMPDH1	-0.855
ACP6	1.55133333333333
PRKACA	-0.278
PPP1R1A	2.331875
TRPV3	-0.0445
ASXL1	-1.306125
C17orf55	0.1765
FXYD1	0.0223333333333333
LMOD2	0.156
ANKRD33	0.681
LCE2C	-0.13925
ZNF620	-0.1035
DKFZP566E164	-0.19775
VSIG2	-0.16875
KIAA1128	0.1225
USO1	-0.201166666666667
NUDT4	0.681642857142857
CLDN1	-0.243214285714286
OR4Q3	0.511
FASTK	-0.395
ICOS	0.765666666666667
LDB1	-0.519
GSTA5	-1.15225
ABCC1	-1.75683333333333
FAM54A	-2.7075
PCBP2	0.301
NUP205	-1.7405
ACTA1	-1.69283333333333
GABBR2	-1.5115
PIP5K1B	-1.19
AGXT	-1.77116666666667
RNF181	0.3965
ATP8A2	0.28375
AFTPH	1.28
FGF21	0.1245
FCER1G	1.2415
SNTB1	-1.55825
SLC24A3	0.690125
TXNL4B	-0.4998
RPL10L	-0.584666666666667
LOC389517	-0.7016
TSGA13	0.7865
SHOX2	-0.144333333333333
ITGA7	-0.4258
KCNIP2	-0.435666666666667
KLF13	0.5256
ZFAND2A	-1.023
CEACAM1	0.225642857142857
PFKFB4	-2.63483333333333
MED19	0.44875
LRRC57	0.551833333333333
RNF11	0.38375
ANKRD32	-2.57125
P117	0.305
OBFC2A	-0.474
POLD3	-0.38875
RAB18	1.698375
TPH2	-0.0683333333333333
PHB	0.4436
JDP2	1.60666666666667
MORF4L1	0.364
POU2F1	-0.33075
CNNM2	-0.785916666666667
LOXHD1	0.0736666666666667
ZC3H15	0.08175
ELK3	0.405333333333333
FAM111B	-0.9015
CBLC	3.85666666666667
SBNO1	0.633
ANKMY2	0.515
PLEKHA5	0.2165
DHX58	1.60633333333333
ARCN1	-0.0625
TREML1	0.2824
KNCN	-0.5045
SEC24A	-1.300125
PSCA	0.1635
MGC24125	0.408666666666667
DNA2L	-2.3115
CIB4	0.31325
HIGD2A	-0.0636666666666667
TBX6	0.0275
TTLL5	-0.713
SGK3	1.95566666666667
GCN1L1	0.0865
AMOT	0.7914
LDOC1	0.0618333333333333
NRK	0.122333333333333
ASB9	-1.549
NAT1	4.8107
TRAFD1	0.2235
PEAR1	0.753
FAM36A	0.655875
OR1S2	0.5325
LOC388323	-1.52675
PGS1	-0.861166666666667
LEPREL1	-2.9665
TFF1	-2.90208333333333
HAP1	0.51025
EPHB2	0.13275
ACTG1	0.343666666666667
ZFP42	-1.041
HAVCR2	0.3374
NME1	-0.1135
SNX26	-0.788166666666667
LACTB	0.317833333333333
ZKSCAN2	-0.324
C5orf35	1.46575
ANKS3	-0.61175
RBM28	-0.9705
DKFZP586P0123	-0.55525
HNRNPA1	-0.840833333333333
BCAS3	-1.26566666666667
FLJ20184	0.8115
POLA2	-1.521
TMC7	-0.406333333333333
HSD17B6	2.698
ZNF658B	0.617
TTTY10	-0.3135
RANBP9	-0.1155
CPNE7	-1.39966666666667
EVL	0.920882352941176
LNX1	0.6005
IFNA21	0.122666666666667
CFD	0.88825
PYCARD	1.2915
MYBPC2	-1.244
ENPP3	-1.53916666666667
ACSL4	-1.6065
LOC440258	-1.82733333333333
TMEM176B	3.2805
SOX2	-4.84375
SCO1	0.0981666666666667
COMT	0.8175
AOC2	-0.221
PDLIM5	1.04357142857143
SPHK2	1.57
NXPH2	-0.464
GPR108	0.0268333333333333
RAD51L1	-0.413833333333333
TMEM54	0.74725
LETMD1	-0.262111111111111
SLC6A17	0.2325
KRT75	-0.2735
STT3B	-0.204833333333333
CD3EAP	0.364666666666667
TMEM63A	0.3555
DUSP13	-2.28175
CD1C	-0.619166666666667
LASS2	1.89366666666667
AVP	-0.5045
PITPNM1	-1.133625
FLJ22795	-1.69
MCTP1	-1.936
TRIM68	-1.21716666666667
UCK2	-0.058
ABHD1	1.3695
FAM50A	0.22375
RNASEH1	-0.7245
PCP2	0.3205
OR52H1	-0.027
C20orf149	-0.02025
RBP5	0.942333333333333
HYAL3	0.119
CLPB	0.491
SMNDC1	-1.38725
DONSON	-3.05266666666667
FLJ27523	0.46975
BARHL2	0.367166666666667
SLC30A9	0.986333333333333
TMPRSS11B	-0.3085
E2F8	-2.25633333333333
CCDC25	-0.14925
C14orf48	0.0725
C20orf116	0.652875
TSPAN11	0.398
YIF1B	-0.921
FAM12B	1.97525
OR1L6	0.309
HPN	1.3136
NBN	0.802
C14orf94	-0.7665
OCLM	0.148
ZSCAN18	-0.6476
L3MBTL	-1.9434
TSTA3	1.56016666666667
RAC1	-0.66625
C19orf15	0.3115
NFE2	-4.03475
KLK14	0.509
ARSF	0.405
MAST2	0.483
AMICA1	1.68783333333333
GTF2A1	-0.3755
ATP1A3	0.43325
TC2N	4.0013
PNKP	0.9495
ODZ2	0.153
MATR3	0.5295
S100P	-3.301875
KRT82	0.253
CA13	-0.289
PROZ	-1.29
AASDH	-0.473625
C19orf40	-0.0901666666666667
DCK	-0.549
FAM5C	-1.09325
SLC6A4	0.799
MID1IP1	-0.236
TESSP5	0.304
TMOD4	-0.102333333333333
DOCK2	-0.677
TUG1	1.39225
NUP214	-1.534
DPYSL2	-0.347909090909091
GOLM1	2.73241666666667
MPFL	0.409
SOX13	1.19325
SDCCAG8	0.8894
KEL	-2.17716666666667
NUP210L	-1.82275
GK	-0.72325
DNAJB1	0.589
ALPK3	0.1565
CHID1	0.4479
CYLC2	0.410333333333333
IKZF5	0.21525
C8orf51	1.4115
PPM1J	2.0795
GIMAP8	3.31266666666667
GPR101	-0.2455
NR2F1	0.3645
ACAD8	0.02375
RBM35A	1.27075
GNAI2	-1.04583333333333
METTL8	-0.230833333333333
SLC39A7	1.21925
FBXO8	0.41425
CAMK1	-0.871
RFC3	-1.095375
FAM129A	-0.1875
ILF2	-0.05225
FGFBP3	-0.0235
NOM1	-0.463833333333333
PSMA3	-0.93825
ASCC3	-0.2654
ZYG11A	-3.33
SOX21	-1.01775
LYRM1	0.74725
DEFB1	1.62
LOC91431	-3.45666666666667
OR7C2	1.0235
FAM46B	2.65575
TMEM18	0.208875
ARHGAP30	0.821666666666667
TMEM86A	2.00166666666667
EPHA2	-1.17116666666667
C10orf46	1.0964
TCHH	-0.431333333333333
C3orf30	0.415166666666667
LOC285636	-0.553666666666667
PAIP2	0.58725
CYP2U1	-0.07525
C12orf34	1.7035
SARS2	-0.548166666666667
ZCWPW1	1.86775
SAMD12	2.419375
KIAA1430	-0.519125
ACAT1	-0.73975
MEOX1	1.81966666666667
ADAMDEC1	4.34075
PHKA2	-0.61075
CARD11	-1.21533333333333
CALML4	-0.9425
TSSC1	0.13375
TMEM45A	-0.472
MPP7	1.51775
POU1F1	0.0385
SLC2A13	-0.1585
FBN2	-0.804357142857143
ZC3H7A	-0.0761
LAIR2	-0.09825
ST3GAL1	1.23233333333333
LCT	-2.3135
GEMIN8	0.561
KLF16	-0.286
HIF3A	-0.3219
FAM44A	-0.1925
AQP10	-1.156
PLA2G2A	-1.6275
FOLH1	1.0065
C20orf186	0.1735
MAPKAP1	0.2815
SPRR2D	-1.26375
UBQLN4	0.0596666666666667
RSHL1	0.243333333333333
PIAS3	-0.047125
MRPL24	1.04075
GREB1	-1.6825
FAM27E3	-2.495
NUP62CL	-2.09775
NEUROG3	-0.8485
REEP3	0.687666666666667
MARK1	-0.835375
LMBRD1	0.7865
PRPF19	-1.5135
PNMT	2.583
CTGLF1	-1.835
SLC25A16	-0.5505
EIF2B3	-1.008
RPA2	0.19625
PAK6	2.1195
CCDC26	-3.105125
SEMA3E	2.3395
MXD4	1.1224
TNFSF10	2.6264
SMARCB1	-0.8535
DTX3L	1.05816666666667
PLA2G4E	0.2355
PPAP2A	1.3885
ULK1	-0.220083333333333
TAS1R3	0.313
SLC2A3	-3.009
ARID3A	-1.986
GNG5	-1.504
ACOX1	0.455
KIF5B	0.449
NUP153	-1.0365
MUC7	0.2135
CSDE1	0.3475
CLPTM1	0.05375
C3orf23	-0.776875
LRRC17	-0.424333333333333
TTYH3	-0.920375
ATP5B	-1.466
ELF3	1.4252
CPSF3L	-0.103833333333333
ZNF665	0.0986666666666667
TLR6	0.1327
GPI	-0.60075
RAD9A	-0.375125
NDST4	-2.809
AGPAT3	-0.282416666666667
MAGI3	2.03883333333333
ADORA2A	1.537
CACNG7	0.1655
CAMK2D	-0.941857142857143
CCHCR1	-0.52075
RPS27A	-0.58075
OR10G7	0.166333333333333
GCM2	0.454
FAM135B	0.7939
E2F1	-1.71
PLCB3	0.14825
OR2AE1	0.334
COIL	0.923666666666667
CDC25C	-1.70383333333333
RAB11FIP2	0.469166666666667
TSC2	-0.998
CTGLF5	-2.457
CCDC108	-0.0798
OR13C4	0.32875
C10orf81	0.98625
PTPRB	2.518
ACP2	-0.00674999999999999
LAG3	-0.2015
MRPL54	-0.4655
LOC201175	-0.596
ITGB1BP3	-1.56625
SPTAN1	-0.930833333333333
SIPA1L2	0.2355
RCAN2	0.493
CDX2	-0.623
ECOP	-0.305
ACTR1A	-0.054
PPARG	0.4795
BBS10	0.877
TMEM44	-1.313875
BPIL2	0.12575
CITED1	-1.5445
IRF6	3.738
PRDM4	0.426
RRP9	-1.0465
OR10H4	0.15325
IL31RA	-0.09925
GNB1L	-0.750166666666667
MYBL2	-2.21275
ZNF407	1.28766666666667
PPIG	0.495
TTC18	-0.55075
RPSA	-0.4575
MAPT	1.58475
MRE11A	-0.611571428571429
C8orf37	-0.396833333333333
RASGEF1C	-0.288333333333333
STBD1	-0.5075
CTAG2	-0.206333333333333
MGAT5B	-2.263
ECM1	-0.29725
RLN1	0.59
PARP14	0.0149375
EPB41L1	0.2998
HOXA3	-0.766666666666667
MAGEA9	-3.61025
RPS8	0.121666666666667
RPS19BP1	1.13025
FOXJ2	0.184
C10orf76	-0.043625
IL17RE	1.1495
C10orf65	-1.30375
ZNF343	0.146333333333333
FBXO33	-0.50625
UHMK1	1.2347
LY6G6C	0.00725
FGF19	-1.89875
C14orf128	-0.272666666666667
IFIT2	1.364875
TIGD1	-0.3635
S100G	-0.262
GUCY1B3	2.2005
NR3C1	0.2697
CORO1B	0.777166666666667
PARP11	1.55341666666667
DNALI1	4.91733333333333
OR4N4	0.081
MAP2K6	-0.201166666666667
FSTL4	0.35925
ANKRD47	1.670125
TMEM171	-1.3925
PNLIP	0.00149999999999999
YY1	-0.327
CCDC138	-1.59166666666667
AASDHPPT	-1.0766
CKS1B	-0.5988
MCM3	-1.15683333333333
ANAPC7	-0.762333333333333
FAM110A	1.896
CDC37L1	1.74283333333333
THTPA	0.85125
NBPF20	-1.942
WDR24	0.3775
NPTX2	-2.02725
CBLB	-0.055
CETN1	0.1385
RPUSD1	0.59925
FAF1	-0.771
CDK6	-3.1364
HMX2	0.2845
CSK	-0.719166666666667
TEAD2	1.079
SNAP25	-0.579
TUFT1	1.0732
TMTC3	0.516833333333333
LCK	-1.87
SGOL1	-1.65033333333333
AKTIP	1.279
FURIN	1.466
SOX12	-0.868666666666667
DEFB103A	-0.11475
RAMP1	0.7895
KIR3DX1	0.0715
GAS2L3	-0.8635
PDE8A	-1.9879
EDN3	2.594
GMIP	0.452
SF3A2	-0.02375
FN3KRP	0.53125
SMAD7	0.69275
RHBDD2	0.812
OR11H6	-0.0795
PPP1R3B	1.3599
C9orf23	-0.19075
CADPS	-0.6445
GOLGA8A	-4.668625
TMEM57	1.06083333333333
RGL3	-0.132
S100A14	2.01675
FGFR2	1.9171875
XRCC3	-0.9705
RTN4RL2	0.55175
MGC3771	2.4985
GH2	0.133166666666667
BTBD2	-0.36075
LMO2	0.90325
RDBP	-0.29
ACRBP	-1.98375
AMY2A	-0.65125
DUOXA1	0.503
PTK7	1.0195
TWF2	-0.589666666666667
FAM80A	-1.56175
TNNI2	-2.44216666666667
GLT25D1	-0.8275
OCC-1	-1.5525
CYC1	-0.0306666666666667
RPL22	0.629272727272727
MORN3	2.26683333333333
DISP1	0.71775
PRB2	-0.0195
CHUK	-0.11775
HR	-0.289375
CCDC134	0.379875
DENND4B	-1.18775
C14orf130	0.441375
RAB33A	-1.22975
DCST2	0.3475
TNMD	-1.357
PEX7	1.39275
FAM62A	0.010875
SRD5A2L	1.41
IL22	0.209
RPS26	-1.12466666666667
HOXC5	-0.113
SPATA6	1.4685
FLJ38482	0.059
ZNF234	0.2465
C18orf22	1.34375
SPATA22	0.25125
THOC1	-0.312
CYP7B1	2.23025
KCNC3	0.97425
C8orf42	0.275
ALDH1B1	0.447
CCDC100	-0.0703
ARMC4	-2.557
FAM18B2	0.0722500000000001
SLC44A1	2.60975
FBXO17	-1.74083333333333
C6orf107	-0.29175
C19orf29	-0.303
ZC3HAV1L	-0.0745
PARP6	-0.5104
SULT2A1	-4.10775
C1orf159	-0.08375
TMC1	0.22175
CHST14	0.247
GAMT	0.174833333333333
SMCP	0.376833333333333
TSPAN33	0.526083333333333
MIDN	0.01225
NOX4	2.4815
RNASEN	-0.5579
TBX1	2.01866666666667
SALL2	0.31525
C10orf35	0.93425
CYP2E1	-1.196
LRFN2	3.60566666666667
ACO1	-0.591666666666667
IQCG	0.8211
MEGF9	3.62275
TM7SF4	0.26025
PLEKHA1	0.137933333333333
STK33	-2.4545
C1orf210	2.2655
SNUPN	0.2444
KIAA0406	-1.4791
C20orf29	0.012
TMEM55B	-0.275
OSTM1	0.7574375
CLCN7	-0.336
OTP	-0.06075
FLJ23049	-0.45475
HEATR4	0.009
MAP3K10	-0.197
PCDHGA9	0.0865
AMDHD2	0.17025
LCTL	-0.9175
PDCD2L	-0.47875
CABLES2	-0.7775
SLC5A9	-0.48575
CLCA2	-0.489333333333333
MGC16025	0.156
STRAP	-0.0733333333333333
C20orf196	-0.788
RRBP1	0.212833333333333
NAT13	-0.22175
MAT2B	1.048
CSNK1D	-1.21866666666667
KIR3DL1	0.438
PRKAG3	0.748
ZNF599	0.4265
PRM3	1.046
PER2	0.710666666666667
ASPHD1	-0.958
PRMT6	0.4665
KCNE1L	-0.860071428571428
FAM118A	0.0848333333333333
TAF4	-1.70875
NDUFB6	-0.08525
TRIM9	-0.969833333333333
PMFBP1	-0.65275
KY	0.1745
DKFZp762E1312	-2.35
CSMD1	-1.4215
TBP	-0.457166666666667
OR1Q1	0.763
RETNLB	0.254
HPGD	-0.414857142857143
DNAJC12	1.66266666666667
FKBP1B	-1.767
ANKRD24	0.2735
CXXC5	0.7195
IL3	0.407625
DRAM	0.3657
PTCH1	-1.5345
TP53BP1	-1.5795
SLC17A7	-0.174875
COL25A1	-0.3702
AMACR	0.568
RHCG	-0.25125
VPS13A	-0.4145
FAM55D	-0.1
PRPF38B	-1.04375
OSBPL6	2.49575
PFDN5	0.7151
CMTM6	1.507
KCNK12	-1.73125
RP2	0.787
C16orf52	-0.56375
PICK1	0.737
IFNE1	-0.696166666666667
SEMA4B	0.7205
TYRO3	-2.24825
OR12D2	0.2025
CSNK1A1	1.40995
FANCF	0.41975
LONP2	-0.283
TBL1Y	-0.6215
LDOC1L	0.9955
CCNC	0.868
C3orf60	-0.84825
CHKA	-0.41225
UBAP1	0.14125
MAP3K1	2.9955
ANKRD9	-1.08675
FAM92A1	-2.302
GAB2	1.40675
AZU1	0.701
DIS3	-0.698
C21orf109	-0.80775
IQCB1	-1.1275
SPATS2	-0.861
EFCAB3	-0.54975
PRB3	0.157875
FUZ	0.714666666666667
ZNF813	1.066875
BMPER	-0.625666666666667
HEG1	0.361125
ALS2CR11	-1.22875
SURF2	-0.684
PSMC1	-0.306416666666667
OR2D2	0.2625
SLC7A8	3.37466666666667
C4orf40	0.454
SPATA7	-0.1065
MAZ	-0.46275
PIN4	1.21025
PDE1A	0.433875
TAF6L	-0.304166666666667
OR2T34	0.557
KIAA0284	0.748
ACADS	1.65745454545455
MKRN2	-0.5465
C18orf56	-0.389
MS4A6E	0.577833333333333
GALNT4	-0.0839
C22orf31	0.412
FLJ36070	0.3245
PSME4	-0.12325
TFG	0.2649
EPHX2	1.8775
ANXA5	-0.105625
KRTAP1-1	0.0762
BATF	2.068
KARS	-1.65975
MSTP9	-0.381
GPR26	0.188625
CCDC72	-0.1655
TEF	0.793166666666667
FOXK1	-0.9334
PRLHR	0.357
EMX1	0.68225
C11orf30	0.136375
ICK	0.281375
THSD7B	0.6445
C21orf100	-0.4795
DUOX1	1.4315
EFCAB4B	-0.27125
UBE2G2	-1.57216666666667
C3orf54	0.79225
PARP1	-0.09125
FAM60A	-1.81116666666667
C6orf146	0.08875
OR9K2	0.3445
DDX55	-0.673
RPS15	0.367833333333333
ZNF618	0.6945
DKFZp686D0972	0.2545
SSPO	-0.545
SHFM3P1	-0.128833333333333
CPA6	-0.7885
JAG2	0.915
DEFA3	0.37575
PPBPL2	0.435833333333333
CD34	4.392625
SLCO4A1	-3.553625
AFG3L1	-3.05833333333333
SHD	0.334
RP13-122B23.3	-1.197
PRKCSH	-0.474666666666667
DPH5	-0.0486666666666667
HLA-F	1.437125
TBC1D4	-0.6135
RIG	0.377666666666667
GLUD1	-0.255666666666667
HNRPCL1	0.52525
HBXIP	-0.47625
RNF207	-0.8565
APIP	0.43575
PLA2G3	0.221166666666667
CCDC84	-2.67725
MYLIP	0.0699230769230769
PHIP	-0.21125
AARS2	-0.387333333333333
DHX32	0.158
SCAPER	-0.488166666666667
MEN1	-0.07325
NIP7	-1.1625
FLJ25404	0.15
FASTKD3	-0.62325
TMEM158	-2.56741666666667
RARA	1.7235
BDH1	1.2295
ANKRD16	1.2215
CARM1	1.3245
SS18	0.2035
IKZF2	-1.01766666666667
MYD88	-0.415125
PML	0.432
TAF1A	-1.19925
CBFB	-0.515
HIST1H3H	-1.754
C7orf29	-0.63025
COMMD4	-0.770666666666667
DPP3	0.0835
DAB2	0.39325
LOC388882	-0.086
YPEL4	-0.43175
AGBL3	0.5405
LRP6	0.0845
SERPINH1	0.03275
TLE1	0.74025
CD244	0.6325
ZDHHC15	0.48625
MGLL	-0.2924
PLDN	0.312416666666667
LOC654346	1.1695
FAP	2.99025
GPR37	0.606666666666667
SCARA5	0.843666666666667
EBF4	2.66981818181818
LSM6	-1.14875
MLLT1	-0.4100625
SLC5A12	-0.179
A2BP1	-1.06283333333333
COPS5	0.5725
TPM4	-0.129571428571429
TNFSF4	0.469
ACADSB	2.17472222222222
HERPUD1	0.1125
BCL2L11	-1.00105555555556
CEP78	-0.95525
CDCA3	-1.572625
WBSCR19	0.089
MYO1A	-1.9745
PPEF1	1.57916666666667
LOC440348	-2.044
CPEB2	0.18075
BPTF	-1.22741666666667
RPL21	0.8840625
GSX2	-0.263
ADPRH	0.609333333333333
C17orf68	-0.4795
KCNS1	-0.567333333333333
MLLT6	0.1131
PIWIL4	-0.9795
RNF26	-1.34375
RAP1B	0.872125
ADAMTS1	-1.1645
ZNF571	0.2775
P2RY6	0.6385
TRIM21	0.421333333333333
CADM3	0.18975
NLRC5	-0.069
ADRA2B	0.374
LOC90835	-0.234
PCF11	-0.502
LOC400451	2.7045
GLTSCR1	0.2445
C17orf88	-0.404833333333333
CDH16	-1.506
FGF7	1.341375
PCSK4	1.06366666666667
NPC1L1	-1.153
TAT	1.895625
TBCA	-1.09225
MGC33407	-0.0745
GPR115	-0.6895
CYGB	0.1435
FNBP4	-1.73716666666667
C12orf43	-0.104
CBL	-0.786
CLECL1	1.1545
PPAPDC1A	2.06425
WDR25	0.6665
SGCA	1.3235
C22orf29	0.273166666666667
YIPF1	1.28675
GALK2	-0.471
RAB3B	-3.19925
LOC440087	1.1815
UCP1	0.3545
REEP5	2.11725
FADD	0.2094
FOXA1	2.760625
CACNA1A	0.246
ABI1	1.30133333333333
GRIN2D	-0.62175
SLC1A4	0.0178333333333333
LOC401127	-1.58725
HINT2	0.81675
PLD4	0.5785
ZNF286A	-0.7695
ENY2	0.368
IL1F6	0.016
PXDNL	1.5815
C20orf79	0.03125
TNFSF13B	2.97566666666667
DENND3	0.090375
JARID1D	-2.9685
HIST1H2AK	-0.144
LOC93349	-0.7823
SSH1	-0.5427
ENSA	0.55025
LOC219854	0.607
CKAP2	-1.2444
DKFZP564J102	0.134833333333333
MGC87315	-0.548
HNRPAB	-0.6295
AMH	-2.628
ZNF526	0.6465
BRUNOL5	0.0345
CACNG3	0.218333333333333
TRPM1	-1.5745
PPP2R1A	0.67775
COL2A1	0.693
DDN	0.146833333333333
FLJ25770	0.590416666666667
HK2	0.539357142857143
ELOVL6	-2.1745
MDK	-1.2735
EPHX1	0.75775
RASSF2	0.703
DKFZP434B0335	-0.3835
DLX3	0.44775
PRTN3	-0.45525
AVPR1A	0.59775
C21orf125	-1.16425
TNFAIP8	-1.08933333333333
GNB2L1	-0.4445
CALCRL	2.98275
SCGB2A2	9.94616666666667
UBXD7	-0.8245
ZNF674	-0.2525
TMEM35	0.12875
BRSK2	-0.477
HECTD3	0.0778333333333333
TMEM188	0.143333333333333
LGALS9	1.516
SCARB2	1.15033333333333
USP34	-0.525833333333333
C17orf28	1.73358333333333
ZDHHC23	-1.45375
AQP12B	0.0625
SLC16A3	-2.801
APLP2	0.259125
ITIH2	-5.5855
MICAL3	-0.149625
TNNI3K	0.0775
HDAC2	1.53175
PRR7	-0.6851
THBS2	0.84375
LOC751071	-0.226166666666667
CA2	0.860833333333333
RANBP17	-0.24825
RLN3	0.1965
CRYZ	0.047
GBAS	-0.347166666666667
TAS1R1	-0.07475
MPZL3	0.746
PCDH8	-0.6045
HSP90B1	-0.2565
KCNK15	0.702
TNIP2	-0.495333333333333
GPR146	0.57775
NOL6	0.398
SPC25	-2.69733333333333
STEAP2	2.62692857142857
VAMP3	-1.279
TCIRG1	0.3545
ZP4	0.104
PARL	0.241125
TRIM39	0.444333333333333
KIAA1305	0.79
CRNN	0.168
GRN	-0.15025
HSH2D	-2.3215
SCAMP1	0.721375
KIAA1913	1.397
PTS	-0.66125
BANP	-0.191642857142857
PRKACG	0.1645
ADCY6	0.112166666666667
C16orf46	-0.004
CYP51A1	-0.421125
DDC	-2.87775
ANPEP	-1.50366666666667
PROM1	-1.70166666666667
SIGLEC10	1.3825
COPG	1.6145
FAM26E	1.307875
TRIP4	0.5395
SNX3	2.24383333333333
C1orf175	0.209
PPY2	-0.05025
C14orf152	0.54325
FTSJ1	-0.822833333333333
DST	-0.1827
LOC554235	0.536
GLRX5	0.86475
C20orf12	0.8379
CAB39	0.0675
MSH2	-0.933166666666667
PIP4K2C	0.548
CYLD	0.483875
WTAP	0.6184375
MGAT4A	1.93722222222222
TSC22D4	-0.6036
CHRM2	-1.361
PPYR1	0.331333333333333
CCNH	-0.519833333333333
RRM1	-0.80425
ECAT8	-3.1985
LOC400120	-0.0105
GABRA4	0.15125
C14orf4	1.84416666666667
C1orf59	-0.1525
CTDSPL	0.10275
NHEDC2	-1.065
PDE11A	-0.6576875
KLHL29	-1.076
CD5	-0.0835
TSPAN9	1.5686875
WDR67	-0.88225
THUMPD1	0.743
C18orf17	0.78275
CLYBL	1.062
FLJ13231	-0.645625
CMBL	1.76325
LECT2	-0.9035
NKAPL	1.20766666666667
LOC654780	0.519
OR4C6	-0.169
RAB30	-0.300333333333333
TSSK4	0.7
TMEM163	0.4945
OSBPL11	0.950666666666667
GNB5	-1.0065
CCL21	1.59675
C1orf121	-0.1915
FMO2	1.5
RPTN	0.206
MSTN	0.49
VCL	-0.663142857142857
FYTTD1	0.61025
C11orf1	-0.52375
CCDC88C	0.8405
HFE	-0.140222222222222
MOGAT1	-0.2285
FAM125B	1.1645
IRGQ	-0.1165
RAVER2	-1.48675
AKAP5	-0.3445
SSSCA1	-0.7105
C11orf63	0.61375
ACTG2	1.3793
PORCN	-0.9545
DTL	-2.00063636363636
TMEM151	0.78275
FAM122C	-1.73675
RSAD2	1.8601
BAT4	-0.1105
KRTDAP	0.493166666666667
MYH8	0.375625
CRTC3	0.46825
LRRFIP2	-0.734
INTS4	0.738166666666667
TTN	-1.12016666666667
SLC26A5	0.5535
PLLP	-0.689
RGS6	-0.3385
SRGAP3	0.45275
ZNF525	0.212166666666667
NBR2	-0.0796666666666667
C13orf1	0.013
ZNF137	0.506
CEP27	-1.87975
BEST2	0.637
RNF121	0.29625
DMRTC2	0.07575
C8orf76	-0.08225
BCCIP	-0.10225
MEST	0.34225
HTRA2	-0.382
ANGPTL2	1.08225
ILKAP	-0.160333333333333
ERAS	0.111
HBS1L	-0.103
CPA5	0.6765
TMEM30A	1.71433333333333
CD300LF	1.51966666666667
WISP3	0.1065
CRK	-0.039
PDS5A	-0.4392
BRPF3	0.0815
NEDD9	-0.537875
SMPDL3B	1.8715
PSG6	-1.1855
PSMD13	-0.90075
ETV5	-1.2940625
OR51A4	0.7105
BTBD7	0.886666666666667
GSTO1	-1.75025
hCG_16001	1.212
MAD2L1BP	-0.467833333333333
COX6A2	-0.268
SCNN1A	2.03733333333333
LSM1	-0.317
UGT2B11	-1.20675
IDUA	0.82425
PPP2R3C	-1.05416666666667
COX11	-0.5415
PDZK1	-3.33025
ZNF443	-0.0993333333333333
MGC21874	0.855833333333333
ZNF323	0.9198
KRTAP10-10	0.169
CXCL6	-0.07875
SLC34A2	0.8467
LOC284402	0.4115
NPTN	1.24275
UPP1	-2.107
SLC6A9	-0.412
OR7G3	0.37
CISD1	-0.582333333333333
ZNF545	-0.166833333333333
SYT14	-0.0235
NT5C3L	-0.418333333333333
ZNHIT3	0.416833333333333
SNRPD3	0.86675
KIAA0701	0.137375
UNC93B1	1.04383333333333
GMNN	-1.986
SPCS2	1.52266666666667
LOC388524	0.0305
NAPRT1	0.480375
PNLIPRP1	-0.1965
OR6V1	0.822
PRKAB1	-0.29
EYA4	-2.68716666666667
KIF20A	-2.5185
ALG10	-0.90975
ITPKC	0.632333333333333
LMX1B	2.20483333333333
RPUSD4	-1.398
C7orf34	0.451
DLGAP2	0.298125
PFN1	-1.0256
MICALL2	-0.986
ZNF654	-0.966
SS18L1	-0.521375
SLC16A8	0.056
MKI67IP	0.3525
ITGB3	-0.4865
TCEA3	2.31683333333333
CEP152	-2.34325
CLIP1	0.458625
ZNF75	0.239
ATP5C1	-0.695666666666667
NUDT5	-0.688666666666667
PSCDBP	-0.076
UBP1	-0.316
RBM27	0.254
C13orf15	2.221875
ZNF282	-0.336166666666667
ZNF222	-0.1806
COL10A1	6.554
PRDM15	-0.81825
TTTY5	0.0285
FAM9C	-0.314416666666667
C20orf67	-0.3325
GNG13	-0.1365
F12	1.1915
C1orf41	-1.058
CPXCR1	-0.138
GSK3A	0.436
SUPT6H	-0.0953333333333333
PI16	0.9165
ELL2	-0.777
C9orf167	-1.0565
PVRL3	-2.3796
FLJ38596	0.617
ADAM20	0.39525
GPR89A	1.0225
GPR87	-1.067
ZNF30	1.46725
SMR3B	0.83975
ZNF770	0.324125
TRPC4AP	-1.44666666666667
