Hybridization REF	TCGA-AN-A0AK-01A-21R-A00Z-07
RNASE13	0.7585
SPPL2A	0.310666666666667
SFXN1	0.06725
FAM102A	1.328125
SAPS2	-0.8915
JTV1	-0.927
OR51B4	-1.141
SCGB1A1	0.5035
NEUROD2	0.249875
tAKR	0.291666666666667
C1orf26	0.3815
RICH2	0.67325
TEDDM1	0.52375
CYP2S1	1.41
TBCE	0.157666666666667
MAPK1	0.061
HDHD1A	-0.6755
MRM1	-0.3175
ATP9A	-0.477071428571429
HSD17B3	-0.00616666666666665
HN1L	0.651
RNF216	-0.118125
HOXD12	0.647
PPP1R14B	1.109375
SBF1	0.42925
TAS2R42	-0.2305
USP46	0.657666666666667
LILRB3	2.7615
SPI1	1.63875
OXSM	0.1925
GYS2	0.1476
NUPL2	-1.1285
C8orf46	-1.7245
SF3A1	-0.21335
C21orf99	-0.41
HOXB4	0.546
YRDC	0.3935
GPRC5D	0.55
BLVRA	-0.314625
KIF12	4.335
LRRC23	0.956
FAM14A	-0.904
RASL12	1.45275
DAZAP2	0.572
IKBKB	0.607142857142857
ZNF271	0.201666666666667
BOK	1.2025
CXorf6	-2.121
MYEOV	-1.3965
BTN2A2	-1.1967
FRG1	-0.5485
HSP90AB6P	0.54625
ENOX1	-0.306666666666667
ZNF706	0.6287
DOK1	-0.1496
PGAP1	-0.912
TMEM136	-2.224
FSCN1	-2.0475
KIF17	-0.36225
TRIM66	-0.3185
CBR3	-2.1575
C13orf24	0.404666666666667
C19orf52	-0.23375
BNIP1	1.88625
AQP3	0.718375
KRT6C	-2.33833333333333
SIRPA	0.296833333333333
IGFBP6	-2.04333333333333
PLEKHK1	0.122875
RNASE7	0.266
ARHGEF15	0.2885
NPHS2	-0.12475
SRD5A1	-0.70025
REXO4	-0.04075
EEF1DP3	0.36375
SLC37A2	-0.26675
ZNF142	1.1465
ANKHD1	-0.9795
MUT	1.184
VPS37A	0.8585
GPRIN1	-0.88325
SLC38A3	-0.8835
BAZ2B	1.5
WDR87	-0.3266
BRD7	0.2345
POU6F2	-0.9485
NISCH	-0.5235
TCEB1	0.31025
LINGO2	-2.99325
TAX1BP3	0.94875
RPL34	-0.6765
MARK2	1.59483333333333
AKAP12	-3.225
AMBN	0.4655
SLC25A27	-3.153
FLJ21865	-0.240875
KIR2DS2	1.08416666666667
WDR77	-0.45825
ATF2	0.677166666666667
ITFG3	0.404666666666667
SLC39A13	0.71425
ARL6IP5	0.815375
C10orf137	0.22975
QTRT1	-0.271333333333333
CCNT1	0.03125
DYNLL1	1.1854
WDR53	-0.5985
LIPG	-1.86316666666667
ASAH3	1.005
HELB	-0.75075
PHACTR2	-0.397125
VENTX	-0.7025
LAD1	2.46533333333333
PAOX	0.10775
MAPK8	-0.0385
CCDC38	-0.0375
DNAJC8	-0.4904
RBBP8	-1.02075
WNT11	2.4188
KCNJ12	-1.40433333333333
HDAC8	-0.222833333333333
STARD4	-2.86825
ACVR1	0.8815
C14orf65	0.743666666666667
KLB	-0.5205
C1orf65	-0.0995
ZFYVE28	0.307375
NSUN6	1.0955
KIF27	-0.096
SYTL2	-0.630666666666667
UBXD2	0.6851
OR6T1	0.6505
CCDC91	-0.123428571428571
GRID2	-0.3365
CALN1	-0.9685
ZNF423	-0.88125
PSMB4	-0.306666666666667
XPNPEP3	0.574166666666667
ARPP-21	-2.88977777777778
SART1	-0.10325
RACGAP1P	0.8565
SPTA1	-5.31775
C6orf113	0.262333333333333
C7orf16	-3.15475
CHST7	-0.425666666666667
C21orf29	-0.1754
SEMA6D	-2.469875
PCMTD1	0.690625
KIAA1754	-1.69216666666667
MYCN	-1.0438125
KCNJ3	5.053
MAPK13	3.0753
ERO1LB	-0.71725
NTF3	-2.22483333333333
NKX6-2	-0.61325
GTF2B	-0.1185
GSPT1	0.884
GUSB	0.195666666666667
LOC221091	-2.742
LIG1	0.18275
EXTL3	-0.294666666666667
NID2	-1.079
TTC29	-0.98225
TMEM97	-0.964125
EXTL2	-0.1195
SUZ12	-0.099
IL1F8	0.4725
KRT18	0.369636363636364
MRPS16	-0.283166666666667
PI4K2B	0.24275
LACRT	-0.7565
OR51F2	0.563
JMJD2C	-1.09075
KGFLP1	0.96675
CDK5RAP3	-0.3443
YTHDF2	0.890333333333333
GGCX	0.474
ARPC4	1.23
EGLN2	1.60533333333333
KBTBD4	1.65685714285714
ROBO3	-1.3398
DEFB118	0.5765
KIAA1543	1.98975
RTCD1	-0.484
MZF1	0.50575
C18orf26	-0.002
CNIH4	-0.8915
ZFP2	2.3815
HTATSF1	-0.2145
WFDC2	-2.12625
NDUFA7	-0.1735
TTC22	0.156166666666667
FAM40B	-2.322625
DCPS	-1.17575
SH2D1B	0.0571666666666667
MRGPRE	0.524
SBK1	0.43775
UNQ6411	0.1825
OSBPL9	-1.87875
NUP107	-1.4165
MYOZ3	-0.8251
PDE4B	-1.0965
FAM113A	-0.4135
IDH3G	-0.467166666666667
FBXL7	0.333625
ARFGAP3	-1.03075
MAPRE2	-0.0528461538461539
IL1RN	0.6896
KIF13A	-0.739
RAC3	0.337
TCTE1	0.2455
TMEM14B	-0.786833333333333
ADIPOR1	0.980333333333333
GRINA	1.5235
CLIP4	-2.3305
LRIT2	0.7725
TFPI	-3.15
FABP6	-1.01575
SLITRK2	0.1022
HKR1	1.36675
SMTN	0.00850000000000001
C1orf75	0.51875
CD209	0.471625
CYB5R2	1.029
DNTTIP2	-0.335
CSGlcA-T	1.088875
GABRB3	-2.77966666666667
PCBD1	0.302833333333333
TAF3	-0.154666666666667
HOXD3	-0.5535
GIPC3	-0.3025
P11	0.6294
BFSP1	-1.286
LCP2	0.747
TAS2R8	-0.159
SEZ6L	-1.30185714285714
NR2C1	-1.162
EXDL2	2.1613
TNFRSF13B	-2.4695
MKI67	-0.9815
GLS	-0.519583333333333
C7orf54	-0.9978
LGALS13	0.0541666666666667
IL4R	-0.495
SEC11A	-0.386
SPP2	1.72866666666667
C18orf32	1.193
CLSPN	-1.207
SPAG1	2.115125
C9orf82	0.094
TM4SF1	-3.34058333333333
EMILIN2	0.22275
SMG7	1.44616666666667
TAS2R13	0.5375
ZNF628	0.918
DZIP1L	-0.968666666666667
ANKRD13A	-0.5408
VASP	0.7945
ZCCHC11	-1.552125
SYPL1	-0.342625
MGC34774	-0.27275
C4orf28	0.217
KIAA1211	2.37383333333333
RPS27L	-1.2755
TATDN3	-0.143
PDCD1	0.6385
OR5P2	0.716
IFIT1L	0.8115
MIPOL1	0.504
OR51D1	0.75975
C1orf92	-0.845333333333333
LAMP2	-0.557388888888889
CAT	-0.0485
C16orf80	-0.69275
C15orf32	0.45
ZNF746	0.62225
C1orf76	-1.0425
ATXN1	-1.01475
LAMC2	-0.783625
SLC2A7	-0.475
CPOX	-0.96075
APH1B	0.846833333333333
LOC442245	-1.38675
CTNND1	1.85644444444444
GABRG2	-0.808857142857143
MADCAM1	-0.211333333333333
F5	-2.809875
SEMA4F	-1.15616666666667
NUDCD3	0.904375
PDZD11	-0.409
TRIML1	0.1475
GCNT3	-1.1585
TMEM120A	0.971
CNDP1	-0.355
N4BP1	0.373125
SLC35F2	-0.08325
LCP1	-0.259
IGBP1	-0.9193
DCAKD	1.787375
ELA2A	-1.5955
C12orf56	-2.48775
PITRM1	0.858142857142857
GUK1	0.945833333333333
RASSF8	-1.9510625
OR2A14	1.099
ADM	-3.73722222222222
FGD3	-0.257333333333333
GHRHR	0.265833333333333
RHPN2	0.978
C4orf39	0.0598333333333333
VPS72	0.10975
SERF2	1.52277777777778
CD22	0.814166666666667
CD47	-1.1422
PPIC	0.308166666666667
IMPDH1	0.68875
ACP6	-0.298333333333333
PRKACA	0.58125
PPP1R1A	-1.102
TRPV3	0.5315
ASXL1	-0.878375
C17orf55	-0.0726666666666667
FXYD1	-1.12816666666667
LMOD2	0.101
ANKRD33	0.606
LCE2C	-0.117
ZNF620	-0.8445
DKFZP566E164	-0.7455
VSIG2	-0.9615
KIAA1128	0.7785
USO1	0.898333333333333
NUDT4	0.0865714285714286
CLDN1	-3.70028571428571
OR4Q3	0.7185
FASTK	0.355
ICOS	2.011
LDB1	0.5935
GSTA5	-0.8335
ABCC1	-0.2825
FAM54A	0.0225
PCBP2	0.301
NUP205	-0.548
ACTA1	-1.087
GABBR2	-1.05575
PIP5K1B	-1.459
AGXT	-2.284
RNF181	0.01025
ATP8A2	-2.06
AFTPH	1.827875
FGF21	0.44975
FCER1G	2.126125
SNTB1	-1.32225
SLC24A3	-1.336875
TXNL4B	-0.5362
RPL10L	-1.45583333333333
LOC389517	-1.1493
TSGA13	0.82
SHOX2	-1.67483333333333
ITGA7	-1.2268
KCNIP2	-0.665
KLF13	-1.0586
ZFAND2A	-1.07525
CEACAM1	-1.9325
PFKFB4	-1.43083333333333
MED19	0.37325
LRRC57	0.521833333333333
RNF11	0.084
ANKRD32	-2.27975
P117	-0.1145
OBFC2A	-0.678666666666667
POLD3	-0.287666666666667
RAB18	1.07225
TPH2	-0.083
PHB	-0.1271
JDP2	0.3455
MORF4L1	0.0346
POU2F1	-0.53275
CNNM2	-0.142416666666667
LOXHD1	0.4255
ZC3H15	0.11325
ELK3	0.3135
FAM111B	-1.353
CBLC	3.99683333333333
SBNO1	-0.47625
ANKMY2	-1.10325
PLEKHA5	0.41175
DHX58	1.0595
ARCN1	0.590666666666667
TREML1	0.3901
KNCN	0.2475
SEC24A	-0.5985
PSCA	-0.54925
MGC24125	-0.0678333333333333
DNA2L	-0.13125
CIB4	-0.782125
HIGD2A	-0.4565
TBX6	0.252666666666667
TTLL5	-0.327
SGK3	-0.495666666666667
GCN1L1	0.1765
AMOT	-1.4347
LDOC1	-0.352666666666667
NRK	0.025
ASB9	-4.23075
NAT1	4.1488
TRAFD1	0.827
PEAR1	1.1775
FAM36A	-0.404375
OR1S2	0.540666666666667
LOC388323	-1.81925
PGS1	-0.388666666666667
LEPREL1	-4.38375
TFF1	-0.815916666666667
HAP1	0.61425
EPHB2	-0.39575
ACTG1	1.55033333333333
ZFP42	-1.491
HAVCR2	0.2554
NME1	-0.019
SNX26	-0.0685833333333333
LACTB	0.151666666666667
ZKSCAN2	0.188625
C5orf35	-0.02325
ANKS3	-0.977
RBM28	-0.76825
DKFZP586P0123	-0.5935
HNRNPA1	0.188833333333333
BCAS3	-1.098
FLJ20184	0.2445
POLA2	-0.0865
TMC7	-1.24533333333333
HSD17B6	1.8275
ZNF658B	-0.181333333333333
TTTY10	-0.4065
RANBP9	1.96091666666667
CPNE7	-2.17716666666667
EVL	2.02247058823529
LNX1	0.960333333333333
IFNA21	0.2598
CFD	0.7795
PYCARD	0.752833333333333
MYBPC2	0.3085
ENPP3	-1.80483333333333
ACSL4	-1.9915
LOC440258	-2.77983333333333
TMEM176B	3.469
SOX2	-5.09
SCO1	0.682833333333333
COMT	1.74425
AOC2	0.40175
PDLIM5	0.114571428571429
SPHK2	0.468166666666667
NXPH2	0.595
GPR108	0.254666666666667
RAD51L1	-0.5385
TMEM54	1.319
LETMD1	-0.804666666666667
SLC6A17	0.82775
KRT75	0.5635
STT3B	0.0216666666666667
CD3EAP	0.257
TMEM63A	0.7655
DUSP13	0.669
CD1C	-2.3225
LASS2	1.657
AVP	0.345
PITPNM1	-0.898
FLJ22795	-0.79
MCTP1	-2.5965
TRIM68	-2.54166666666667
UCK2	0.199333333333333
ABHD1	1.408
FAM50A	-0.0235
RNASEH1	-1.16583333333333
PCP2	0.443333333333333
OR52H1	1.181
C20orf149	0.141
RBP5	-1.72183333333333
HYAL3	-0.86675
CLPB	0.9975
SMNDC1	-0.71825
DONSON	-0.7945
FLJ27523	0.883
BARHL2	0.432333333333333
SLC30A9	1.2415
TMPRSS11B	0.536
E2F8	-0.0325
CCDC25	-0.0875
C14orf48	0.276666666666667
C20orf116	0.9315
TSPAN11	0.648
YIF1B	-0.150666666666667
FAM12B	0.76225
OR1L6	0.6595
HPN	1.1403
NBN	1.708125
C14orf94	-0.3005
OCLM	0.3995
ZSCAN18	-2.1542
L3MBTL	-3.2951
TSTA3	1.9
RAC1	0.387125
C19orf15	0.0353333333333334
NFE2	-5.54
KLK14	0.6455
ARSF	0.618
MAST2	0.1075
AMICA1	1.59166666666667
GTF2A1	-0.9865
ATP1A3	-0.38125
TC2N	2.5212
PNKP	1.27275
ODZ2	-2.286875
MATR3	0.81125
S100P	-2.624
KRT82	0.794
CA13	-0.7955
PROZ	-1.1565
AASDH	-0.626375
C19orf40	0.121333333333333
DCK	0.183230769230769
FAM5C	0.8775
SLC6A4	-3.4415
MID1IP1	-1.776125
TESSP5	0.3305
TMOD4	-0.482333333333333
DOCK2	-0.362333333333333
TUG1	-0.703875
NUP214	-0.5025
DPYSL2	-1.399
GOLM1	-0.248083333333333
MPFL	0.57525
SOX13	0.68475
SDCCAG8	0.8337
KEL	-2.54066666666667
NUP210L	-2.207
GK	-0.37975
DNAJB1	1.111
ALPK3	0.1495
CHID1	0.38
CYLC2	0.487666666666667
IKZF5	0.44275
C8orf51	0.376666666666667
PPM1J	1.8665
GIMAP8	2.23716666666667
GPR101	0.6555
NR2F1	-2.893
ACAD8	0.21975
RBM35A	2.69325
GNAI2	0.4455
METTL8	-0.272333333333333
SLC39A7	-0.57725
FBXO8	0.82575
CAMK1	-0.48825
RFC3	-0.53525
FAM129A	-0.8705
ILF2	0.214
FGFBP3	-2.075625
NOM1	-0.309
PSMA3	-0.72775
ASCC3	-0.6387
ZYG11A	-2.593
SOX21	-1.633125
LYRM1	-0.0125
DEFB1	-1.54
LOC91431	-2.48566666666667
OR7C2	1.955
FAM46B	-1.785375
TMEM18	0.146125
ARHGAP30	0.952
TMEM86A	2.13533333333333
EPHA2	-0.993666666666667
C10orf46	-0.38975
TCHH	-0.497
C3orf30	0.6978
LOC285636	0.237833333333333
PAIP2	-0.44725
CYP2U1	0.039875
C12orf34	1.32025
SARS2	0.743666666666667
ZCWPW1	-0.58775
SAMD12	1.3745
KIAA1430	0.923875
ACAT1	-1.45875
MEOX1	0.272666666666667
ADAMDEC1	6.701
PHKA2	-0.48125
CARD11	-1.55316666666667
CALML4	-2.2055
TSSC1	0.62625
TMEM45A	-0.856222222222222
MPP7	-0.282125
POU1F1	0.767
SLC2A13	-1.5934
FBN2	-0.7515
ZC3H7A	0.4117
LAIR2	0.1865
ST3GAL1	1.098
LCT	-3.84025
GEMIN8	0.827166666666667
KLF16	0.6475
HIF3A	-0.858
FAM44A	-0.961071428571428
AQP10	-1.3233
PLA2G2A	-0.857
FOLH1	1.44683333333333
C20orf186	0.5835
MAPKAP1	0.91375
SPRR2D	-1.775
UBQLN4	2.16133333333333
RSHL1	0.4905
PIAS3	0.845
MRPL24	1.236
GREB1	-1.498375
FAM27E3	-3.4275
NUP62CL	-3.9995
NEUROG3	1.4465
REEP3	0.212
MARK1	-0.70725
LMBRD1	1.24325
PRPF19	-1.014
PNMT	-0.415666666666667
CTGLF1	-1.417
SLC25A16	0.0435
EIF2B3	-1.742
RPA2	-0.86325
PAK6	2.27566666666667
CCDC26	-4.4215
SEMA3E	-1.579125
MXD4	0.6646
TNFSF10	2.5529
SMARCB1	0.587833333333333
DTX3L	0.524333333333333
PLA2G4E	0.785
PPAP2A	-0.7155
ULK1	0.0715
TAS1R3	0.73
SLC2A3	-3.80163636363636
ARID3A	-0.42125
GNG5	-0.57675
ACOX1	0.8819
KIF5B	0.597
NUP153	0.48175
MUC7	0.2095
CSDE1	-0.275214285714286
CLPTM1	1.3635
C3orf23	-0.3255
LRRC17	-2.965
TTYH3	0.566875
ATP5B	0.308
ELF3	1.4347
CPSF3L	0.752
ZNF665	0.487166666666667
TLR6	0.6897
GPI	0.116375
RAD9A	-0.136125
NDST4	-2.982
AGPAT3	0.89
MAGI3	-0.053
ADORA2A	-0.201875
CACNG7	0.4225
CAMK2D	-1.76692857142857
CCHCR1	-0.70275
RPS27A	-0.5655
OR10G7	0.0434
GCM2	-0.0505
FAM135B	0.9314
E2F1	-0.745
PLCB3	2.38425
OR2AE1	0.57
COIL	0.877166666666667
CDC25C	-0.705666666666667
RAB11FIP2	-0.439583333333333
TSC2	0.039
CTGLF5	-2.5895
CCDC108	0.557
OR13C4	0.49425
C10orf81	-0.48075
PTPRB	0.52025
ACP2	1.58975
LAG3	1.67875
MRPL54	0.11625
LOC201175	0.3505
ITGB1BP3	-2.01725
SPTAN1	-0.179333333333333
SIPA1L2	-1.13725
RCAN2	-1.4905
CDX2	1.1125
ECOP	0.4175
ACTR1A	0.138
PPARG	-1.67983333333333
BBS10	0.074
TMEM44	-0.707875
BPIL2	0.73825
CITED1	-0.3855
IRF6	4.3975
PRDM4	0.7705
RRP9	-1.28883333333333
OR10H4	0.71325
IL31RA	-0.81875
GNB1L	-1.432
MYBL2	-0.211125
ZNF407	3.502
PPIG	-0.124333333333333
TTC18	-0.552
RPSA	-0.5335
MAPT	0.897875
MRE11A	0.646076923076923
C8orf37	-0.589333333333333
RASGEF1C	0.5215
STBD1	1.752
CTAG2	-0.522333333333333
MGAT5B	-1.82883333333333
ECM1	2.962375
RLN1	-1.491
PARP14	0.176125
EPB41L1	0.1853
HOXA3	-0.474
MAGEA9	-4.5015
RPS8	-0.453166666666667
RPS19BP1	0.7145
FOXJ2	0.460625
C10orf76	0.723875
IL17RE	1.3615
C10orf65	2.1625
ZNF343	0.583333333333333
FBXO33	-0.459625
UHMK1	1.3798
LY6G6C	2.023
FGF19	-2.46375
C14orf128	-1.76583333333333
IFIT2	1.264625
TIGD1	-0.911
S100G	-0.601
GUCY1B3	1.876
NR3C1	-2.1833
CORO1B	1.77316666666667
PARP11	0.206583333333333
DNALI1	4.48883333333333
OR4N4	0.340125
MAP2K6	0.595666666666667
FSTL4	0.3865
ANKRD47	0.733875
TMEM171	0.1225
PNLIP	0.331333333333333
YY1	0.202666666666667
CCDC138	-0.0213333333333333
AASDHPPT	-1.1082
CKS1B	0.1045
MCM3	-0.244333333333333
ANAPC7	0.7865
FAM110A	2.50775
CDC37L1	0.646833333333333
THTPA	0.566
NBPF20	-2.095
WDR24	0.904
NPTX2	-3.94325
CBLB	1.09683333333333
CETN1	-0.0768333333333334
RPUSD1	0.32625
FAF1	-0.20725
CDK6	-3.3267
HMX2	0.6705
CSK	0.0143333333333333
TEAD2	2.48825
SNAP25	-1.093
TUFT1	0.329
TMTC3	0.259166666666667
LCK	-2.03925
SGOL1	-0.18
AKTIP	1.0355
FURIN	1.1435
SOX12	1.1245
DEFB103A	-1.413
RAMP1	1.318
KIR3DX1	-0.652
GAS2L3	-0.042
PDE8A	-0.9523
EDN3	-1.46633333333333
GMIP	1.3985
SF3A2	0.07425
FN3KRP	0.7595
SMAD7	1.33775
RHBDD2	1.25525
OR11H6	0.1165
PPP1R3B	0.4083
C9orf23	-0.69625
CADPS	-1.302
GOLGA8A	-6.375875
TMEM57	0.793
RGL3	-1.756
S100A14	3.11775
FGFR2	4.3855625
XRCC3	-0.3735
RTN4RL2	0.62375
MGC3771	0.9695
GH2	0.617166666666667
BTBD2	0.7755
LMO2	-1.20075
RDBP	-0.216375
ACRBP	-0.503
AMY2A	0.06475
DUOXA1	0.046
PTK7	0.3005
TWF2	-0.452666666666667
FAM80A	0.362
TNNI2	-3.31616666666667
GLT25D1	0.305833333333333
OCC-1	-3.326
CYC1	0.158166666666667
RPL22	-0.279636363636364
MORN3	0.669666666666667
DISP1	0.46825
PRB2	0.35
CHUK	0.8135
HR	-0.223
CCDC134	0.052875
DENND4B	-0.7855
C14orf130	0.07375
RAB33A	-2.1795
DCST2	0.14
TNMD	-2.595
PEX7	2.0585
FAM62A	0.90075
SRD5A2L	2.1945
IL22	0.16175
RPS26	-0.5515
HOXC5	0.948
SPATA6	0.296
FLJ38482	1.355375
ZNF234	-0.4855
C18orf22	1.03725
SPATA22	0.4475
THOC1	0.19275
CYP7B1	1.102
KCNC3	-0.2185
C8orf42	-0.6445
ALDH1B1	0.885333333333333
CCDC100	-0.0978
ARMC4	-3.60875
FAM18B2	0.7195
SLC44A1	0.020375
FBXO17	-2.60333333333333
C6orf107	0.7705
C19orf29	-0.043
ZC3HAV1L	0.06925
PARP6	-0.0339
SULT2A1	-4.992875
C1orf159	0.12
TMC1	0.64725
CHST14	1.057125
GAMT	1.392
SMCP	0.134833333333333
TSPAN33	2.47941666666667
MIDN	0.528375
NOX4	1.541
RNASEN	-0.2436
TBX1	1.91366666666667
SALL2	-1.9975
C10orf35	1.523
CYP2E1	-1.76625
LRFN2	3.2215
ACO1	-2.11866666666667
IQCG	1.5105
MEGF9	0.78375
TM7SF4	1.91975
PLEKHA1	-0.256333333333333
STK33	-3.9085
C1orf210	2.7895
SNUPN	-1.0624
KIAA0406	0.1577
C20orf29	0.7485
TMEM55B	-0.058
OSTM1	-1.228625
CLCN7	-0.1985
OTP	0.09975
FLJ23049	-1.04625
HEATR4	1.022
MAP3K10	0.592666666666667
PCDHGA9	0.255
AMDHD2	0.26575
LCTL	-2.5485
PDCD2L	0.534
CABLES2	0.39775
SLC5A9	-0.334
CLCA2	-3.182
MGC16025	-0.499
STRAP	0.3245
C20orf196	0.8725
RRBP1	0.861
NAT13	-0.47475
MAT2B	-0.279875
CSNK1D	-1.13166666666667
KIR3DL1	0.63525
PRKAG3	0.3515
ZNF599	0.67
PRM3	0.5125
PER2	1.14333333333333
ASPHD1	-3.242
PRMT6	0.26975
KCNE1L	-1.46007142857143
FAM118A	-1.35733333333333
TAF4	-0.6645
NDUFB6	-1.2045
TRIM9	-1.16833333333333
PMFBP1	-0.9895
KY	1.653
DKFZp762E1312	-0.609
CSMD1	-2.1835
TBP	-0.114166666666667
OR1Q1	1.0845
RETNLB	0.3955
HPGD	-0.900214285714286
DNAJC12	1.03733333333333
FKBP1B	-3.427
ANKRD24	0.208833333333333
CXXC5	1.0645
IL3	0.499625
DRAM	0.1379
PTCH1	-1.4735
TP53BP1	0.5925
SLC17A7	0.203875
COL25A1	-0.961555555555556
AMACR	-0.279333333333333
RHCG	-0.65725
VPS13A	-1.29916666666667
FAM55D	0.353
PRPF38B	-0.718833333333333
OSBPL6	0.81825
PFDN5	0.0372
CMTM6	0.231875
KCNK12	-1.25025
RP2	0.227
C16orf52	-1.53675
PICK1	1.3155
IFNE1	-1.6292
SEMA4B	1.08625
TYRO3	-0.66775
OR12D2	0.589
CSNK1A1	0.6583
FANCF	1.87825
LONP2	0.667625
TBL1Y	-0.53025
LDOC1L	0.105625
CCNC	0.578
C3orf60	-0.934
CHKA	-0.961
UBAP1	0.47975
MAP3K1	-1.0295
ANKRD9	-1.005
FAM92A1	-3.504
GAB2	-0.835
AZU1	-0.25425
DIS3	-0.01525
C21orf109	-1.41875
IQCB1	-0.34425
SPATS2	0.911166666666667
EFCAB3	-0.29925
PRB3	0.194875
FUZ	-1.35783333333333
ZNF813	1.134375
BMPER	-1.97266666666667
HEG1	-0.7165
ALS2CR11	-1.84675
SURF2	-0.12875
PSMC1	0.170333333333333
OR2D2	0.732
SLC7A8	0.718333333333333
C4orf40	-0.0075
SPATA7	-1.004
MAZ	0.28275
PIN4	-0.34375
PDE1A	-0.1745
TAF6L	0.621333333333333
OR2T34	0.6775
KIAA0284	0.78475
ACADS	0.421545454545455
MKRN2	0.2265
C18orf56	-0.9235
MS4A6E	-0.138666666666667
GALNT4	0.7857
C22orf31	-0.855
FLJ36070	1.042
PSME4	1.03875
TFG	1.0419
EPHX2	-3.11475
ANXA5	0.246
KRTAP1-1	-0.1653
BATF	0.8025
KARS	-0.66675
MSTP9	1.162
GPR26	0.142
CCDC72	-0.685
TEF	1.169
FOXK1	-0.5685
PRLHR	-0.553
EMX1	0.3105
C11orf30	0.236375
ICK	0.967875
THSD7B	-0.25275
C21orf100	-2.0035
DUOX1	-0.795
EFCAB4B	0.02025
UBE2G2	-0.912833333333333
C3orf54	-0.576
PARP1	0.07525
FAM60A	-0.705083333333333
C6orf146	0.718666666666667
OR9K2	0.4335
DDX55	-0.798666666666667
RPS15	0.0203333333333333
ZNF618	1.5079375
DKFZp686D0972	1.7775
SSPO	1.4365
SHFM3P1	2.1285
CPA6	0.2555
JAG2	1.6125
DEFA3	0.125
PPBPL2	-0.1574
CD34	3.585625
SLCO4A1	-3.089
AFG3L1	-1.555
SHD	-0.726
RP13-122B23.3	0.219833333333333
PRKCSH	0.321833333333333
DPH5	-0.806333333333333
HLA-F	1.34825
TBC1D4	-0.60525
RIG	0.0852
GLUD1	0.4775
HNRPCL1	1.2555
HBXIP	-1.3865
RNF207	-0.172
APIP	-0.06225
PLA2G3	0.794333333333333
CCDC84	-2.942
MYLIP	-1.17730769230769
PHIP	0.181
AARS2	-0.303833333333333
DHX32	0.02
SCAPER	-0.4715
MEN1	0.843
NIP7	-1.645
FLJ25404	0.6705
FASTKD3	-0.9565
TMEM158	-3.16508333333333
RARA	1.93925
BDH1	0.815
ANKRD16	-0.37425
CARM1	1.348
SS18	1.08883333333333
IKZF2	0.273583333333333
MYD88	0.825
PML	-0.14045
TAF1A	-1.27225
CBFB	-0.648
HIST1H3H	-2.23633333333333
C7orf29	-2.13125
COMMD4	-1.04266666666667
DPP3	0.843
DAB2	-0.118
LOC388882	-0.774
YPEL4	-1.17875
AGBL3	0.729
LRP6	-0.3543
SERPINH1	-0.0540833333333334
TLE1	0.4595
CD244	1.6855
ZDHHC15	-1.80566666666667
MGLL	-0.9562
PLDN	-0.144
LOC654346	1.2855
FAP	1.84075
GPR37	0.921166666666667
SCARA5	-0.995833333333333
EBF4	0.842636363636364
LSM6	-1.071
MLLT1	0.4160625
SLC5A12	2.98175
A2BP1	-2.57316666666667
COPS5	-0.1645
TPM4	-0.810357142857143
TNFSF4	0.706666666666667
ACADSB	2.08844444444444
HERPUD1	0.2385
BCL2L11	-0.948888888888889
CEP78	-0.7885
CDCA3	-0.03875
WBSCR19	-0.8773
MYO1A	-1.734
PPEF1	2.096
LOC440348	-1.46875
CPEB2	0.501875
BPTF	-0.703166666666667
RPL21	-0.0919375
GSX2	0.4175
ADPRH	1.19383333333333
C17orf68	0.573
KCNS1	-1.186
MLLT6	1.1056
PIWIL4	-1.33325
RNF26	-0.96025
RAP1B	0.22725
ADAMTS1	-3.263
ZNF571	1.61775
P2RY6	0.172
TRIM21	0.455166666666667
CADM3	-0.14125
NLRC5	0.3475
ADRA2B	0.749333333333333
LOC90835	-0.42625
PCF11	-0.40125
LOC400451	0.7325
GLTSCR1	0.4358
C17orf88	-0.473166666666667
CDH16	-1.702
FGF7	0.876375
PCSK4	-0.9245
NPC1L1	-0.403333333333333
TAT	0.28525
TBCA	-0.25825
MGC33407	0.436
GPR115	-0.36825
CYGB	0.777
FNBP4	-1.3035
C12orf43	0.26325
CBL	-1.3261
CLECL1	0.24075
PPAPDC1A	-0.6395
WDR25	1.16033333333333
SGCA	0.6905
C22orf29	0.3
YIPF1	1.305
GALK2	-0.737
RAB3B	-2.13658333333333
LOC440087	-0.6955
UCP1	-0.734
REEP5	1.005125
FADD	0.3307
FOXA1	3.876875
CACNA1A	0.246833333333333
ABI1	0.8935
GRIN2D	0.23125
SLC1A4	0.506666666666667
LOC401127	-0.10675
HINT2	-0.23025
PLD4	0.1255
ZNF286A	0.00274999999999999
ENY2	-0.70475
IL1F6	0.192
PXDNL	2.693
C20orf79	0.29475
TNFSF13B	2.97916666666667
DENND3	-0.757875
JARID1D	-3.14425
HIST1H2AK	-1.997125
LOC93349	-0.8317
SSH1	-0.6701
ENSA	1.358
LOC219854	-0.713333333333333
CKAP2	0.4695
DKFZP564J102	0.5405
MGC87315	0.248333333333333
HNRPAB	-0.04425
AMH	-0.913
ZNF526	0.849
BRUNOL5	0.0515999999999999
CACNG3	-0.222833333333333
TRPM1	-2.4515
PPP2R1A	1.2155
COL2A1	-1.9545
DDN	0.923333333333333
