Hybridization REF	TCGA-A1-A0SM-01A-11R-A084-07
HPS1	0.782714285714286
RNF7	0.192
PSKH2	-0.1025
KCTD13	0.0756666666666667
CSMD3	-0.6034
FBF1	-0.064
IL8	-0.370875
SERPINB13	0.589166666666667
FBXL20	2.54925
BLR1	0.42425
SH2B1	-0.434
RFNG	0.552375
RAB20	1.119
RBM7	-1.3465
POLR1A	-0.2825
TMPRSS4	-0.488
TAF9	-1.254125
TERF2	0.157833333333333
TNFRSF1A	1.03583333333333
ACADVL	0.690833333333333
GTF2H5	-0.58975
EDG8	1.058
C9orf140	-1.735875
UST6	-0.03625
ZBTB8OS	-0.2345
ZNF710	1.3115
GPR174	-1.542
ATP6V0A2	-0.53375
KIAA0319L	0.47525
XKRX	0.5915
DOPEY2	1.7879
SDHD	-1.11833333333333
SUMF1	1.8895
OSM	3.10375
OPN3	-0.037
DAGLB	-0.398333333333333
PPFIBP1	0.3137
TRIM63	-3.46975
C10orf53	0.7145
LYPD3	2.55416666666667
BCL7A	-0.0615
AGER	-1.64216666666667
TCF19	-0.405375
SAT2	0.23625
PFTK1	-0.135
GABRE	-3.3545
C15orf38	0.8986
FIS1	0.4185
KCNV2	-0.10325
CLPS	0.9635
PPCDC	-0.907125
FOXN2	-0.505833333333333
NT5E	-2.1031
CD83	0.2
IL18	0.723375
VPS16	0.4365
IGFBP2	-1.11266666666667
NOTCH2	0.78525
SIGLEC1	2.834625
CD93	5.193
SULF2	0.551
CEP164	-0.627
P53AIP1	0.2545
TOR2A	-0.364166666666667
ZNF136	-0.07725
MGP	1.2685
CCDC144A	-0.174666666666667
TRPC1	-0.421666666666667
SMS	-0.875833333333333
MAPK7	-0.4705
RRAGC	1.4455
PARD6A	-0.0993333333333333
NUB1	0.295333333333333
SYNGR4	0.2375
OR11H12	0.6035
WIF1	0.91075
GCH1	1.11125
OR11H4	0.157
SLC44A5	2.0465
GPRIN2	1.22033333333333
LOC401431	0.26
CPA4	-1.8815
MELK	-1.71255555555556
IL15RA	0.0045
CUL3	0.471625
HMBOX1	0.5485
PODXL	-1.90425
CCT6B	-0.313666666666667
COMTD1	-1.28375
MUC20	0.3385
GPX2	-3.698875
ITK	-1.114875
FBXL5	1.977
C13orf27	-1.30425
DEFA5	0.6785
TRHDE	-0.662
MTP18	-1.14333333333333
UQCRQ	-0.2154
ITGB2	1.81808333333333
CSRP2BP	-0.2225
TAS2R44	0.033
PHPT1	-0.819125
FAM44C	-0.24075
ERH	-0.512
MPHOSPH1	-0.827833333333333
MORC1	-0.4355
PARVB	-0.6175
LAMA1	-1.63541666666667
PGBD3	-0.302
GIMAP6	3.457
AREG	0.822
LIPT1	-0.53925
MGC99813	-0.4825
C1orf201	-0.421833333333333
GRIN2A	-0.8641
MAN2C1	-1.13775
NSUN5	-0.4295
SF3B5	0.09625
MYC	-2.3138125
NRXN1	-0.274083333333333
ZNF18	0.21525
SPDYA	-0.687625
SLC37A1	1.7295
DECR2	-0.096
ANKRD38	1.57075
SPTLC3	0.08275
SUPT16H	-0.28125
DTWD2	0.689
ULBP1	-0.433
ZADH1	-0.1015
OIP5	-3.3865
IL10RB	0.398166666666667
OTUB2	0.762375
VWA3A	0.290666666666667
SPIC	0.1702
OR6C4	0.243
PSCD4	0.7455
DPY19L2P2	-0.405
TRAPPC6A	-0.0961666666666667
C21orf2	-0.359
CEMP1	-0.72675
LIN7B	-0.028
E2F7	-2.65633333333333
VCP	0.75275
LAMA3	0.645083333333333
BGN	2.3575
GPR160	1.3315
COCH	-5.40283333333333
GPR81	1.1215
APOBEC3F	-1.4635
tcag7.1017	-1.21525
C1orf32	-0.043
SCGB1D2	6.6085
FLJ43987	0.0675
C6orf170	0.192
KLK9	0.307
GPD1L	1.913125
VPS37B	0.058
ATG3	-0.1875
ADAMTS17	-0.0565
KLHDC2	-0.424
NDUFV2	-0.1105
BLK	-2.893
MATN4	-2.259
GPM6A	-0.053625
GBP4	2.45383333333333
TMEM162	0.0635
PKP2	1.591
HRASLS	0.863555555555556
MMP1	-2.59575
SFXN3	0.9206
FSD1	-2.04683333333333
ST6GALNAC3	-2.02816666666667
CA12	1.3209
NCOA6	0.48
C19orf58	-0.0449
PPP4R1	1.4315
MAN1A2	1.12516666666667
IKBKAP	-1.8755
UPF1	-0.1735
KIAA1219	1.12875
WNT16	-0.05975
SNW1	0.06975
IL18RAP	1.922
RPP30	-0.9235
CDC40	0.181428571428571
SETD3	0.955
SLAMF6	0.23375
ELK4	0.1755
TRIM47	1.42733333333333
ACOX3	-0.567125
TRIM6	0.8305
KIAA0372	-0.591166666666667
TP53AP1	0.861875
SMURF2	0.52175
ADAD1	0.309
EBP	-0.7804
KRTAP13-2	0.5465
FLJ36874	-0.328
TOR1A	-0.2
P2RY4	0.4565
GPBP1	0.13725
TRPV1	-0.2
ADAMTS12	0.8955
PES1	-0.00619999999999999
ATG4A	1.27533333333333
MAGEA10	-4.964
WFS1	2.1635
CC2D1B	0.4905
PABPN1	-0.9635
SLC25A30	0.4215
SLCO1C1	-0.149333333333333
SLC22A5	1.53625
KIF23	-1.31333333333333
SYN2	-0.658
ASPN	8.8085
CENTG2	1.2705
QSOX2	-1.8468
FLJ10815	-0.175166666666667
STK24	0.9271875
SPEG	0.2169
STK10	0.0328333333333333
DACT2	-2.3615
AAAS	-1.06725
SSX3	-1.409625
ABCD3	1.139
C4orf12	0.035875
PARVG	1.21816666666667
FIG4	1.59525
C9orf46	1.146
TMCO6	-1.047
IGHMBP2	-0.2095
DUS2L	-1.19416666666667
FAM3C	0.57625
TMEM16D	-1.233
DCTN4	0.746
KCNH3	-0.2355
EIF2AK2	0.529
AP1S3	0.899
CST4	2.3045
PAM	1.4799375
NUTF2	-0.40925
CITED2	-0.00159999999999999
SLC39A4	0.1045
C2orf52	-0.607
GRM3	-0.02475
C12orf49	0.53
CCDC49	2.2525
GRAMD1B	-1.3305
FNDC4	0.8155
SIAH2	0.020625
GDPD4	0.05
C21orf87	0.454
ATP5A1	0.0116666666666667
C16orf63	-0.70625
LOC388135	-0.719833333333333
ATP5J2	-0.743375
MMP3	-1.692
EMID2	-0.19675
CRHR1	0.474
WDR70	-0.636
C13orf31	1.2045
ZFAND1	-0.90825
CCL18	2.502
C3orf49	-0.5865
RINT1	-0.687
KIAA0408	-1.496
F13A1	4.6593
SLC10A1	0.3465
OGN	1.88375
GIPC2	-1.85
XPO6	-0.748833333333333
LCE1A	1.1225
FMR1	0.0321
LOC374920	-0.59475
DUSP3	0.029125
ANKMY1	-0.2895
C7orf50	-0.79025
BBS9	-0.1955
UNC119B	-0.3445
C9orf72	0.289625
MGC35440	-0.6225
ENTPD6	0.424625
PPP1R2P9	0.037
ERCC4	-0.07525
FAHD2B	-1.3415
HMHA1	-0.6525
HACL1	-1.7865
RAD23A	-0.790666666666667
FAM83B	-0.06275
PPP5C	0.0303333333333333
RNASEH2C	-0.714375
C9orf153	-0.339
SCAMP4	0.8185
GHITM	0.106
NDUFB7	-0.616125
ADCYAP1	-0.089
SP110	0.814333333333333
MAP3K7IP2	0.6755
DHH	-0.31
AGRN	0.599357142857143
WDR33	0.350833333333333
CEP290	-0.604833333333333
PRPS1L1	-1.2075
KLRA1	-0.217
GPR97	-0.136
CHD7	-1.40258333333333
TLR10	0.73125
SLC30A8	-0.799
HIC1	1.3395
IAPP	-0.047
RXFP4	0.11925
GP1BB	0.19775
SHQ1	0.862
NKX2-3	0.388
API5	0.67025
FTHP1	-0.252
MOV10L1	0.8128
TRIM6-TRIM34	1.40966666666667
ADHFE1	-0.0165
FAM117A	-1.031
DDI1	0.598333333333333
CDON	-0.503
TRIM73	-1.548
IGKC	1.4475
MMP14	1.01391666666667
DYNC1LI1	0.164875
C11orf66	0.238
TRBV3-1	-1.593
FASTKD5	0.069
BIVM	-2.471
LHX4	0.725
CXCL2	-1.3158
RAB2B	-0.646666666666667
IZUMO1	-0.4935
MAP3K15	-0.58
FAM19A2	0.442
ZC3H8	-0.76
ZMAT1	0.342
SPINK5L3	-2.33475
SLC10A6	0.5175
APPL2	0.278625
CARD10	0.129166666666667
LOC402176	-1.2755
EEF1D	0.5227
RAB6A	0.4703
C12orf5	-0.438625
PAPOLG	-0.19425
MSRB2	0.95175
BCR	1.09761111111111
PUS3	-1.0175
TIAM2	1.27125
ZNF317	-0.085
CHD2	-0.0467142857142857
FZD5	-1.66909090909091
NUDT8	-2.175
ZNF763	0.3185
PRC1	-1.54233333333333
ABCB9	0.357833333333333
SPATA3	0.0865
TRAK2	0.919125
STAB1	2.733125
LRRTM2	-0.2115
psiTPTE22	0.577
DBI	1.68625
SERPINA11	1.10525
NAT5	0.0205
C20orf58	-2.01775
RPS6KA4	0.367333333333333
FLJ90650	-0.7175
TGFBRAP1	0.522
CHRDL2	-1.20425
FAHD2A	-1.38733333333333
CNTN1	0.9025
BBS4	0.1816
TMEM181	0.818
MINPP1	0.336
MPHOSPH6	-0.331333333333333
HOXC10	0.7687
ITPKB	0.212875
CLPTM1L	0.04025
MEOX2	-0.885
ATP6V0C	0.60625
PRPF8	-0.3885
TMC5	2.625
FKBP3	-0.59275
PLEKHB2	1.030875
OR4D6	-0.058
ZNF544	-0.8991
D2HGDH	-1.104125
RPL18A	-0.968
HEL308	-0.5685
MPP6	-3.28975
TCERG1	-1.01875
KRT16	1.96566666666667
KLF17	-0.47375
KLF5	-0.305875
CDR1	2.762625
VCX3A	-5.3955
FBLN2	2.54875
C14orf104	-0.367
HBE1	-5.3752
OR4S2	-0.1875
C1orf108	0.703666666666667
ROBO4	3.13166666666667
CPEB4	1.26175
C11orf80	0.208166666666667
BCKDHA	-0.293333333333333
MYOC	-0.24075
GIF	0.4205
CKMT1A	2.213
RPL3	0.3024
THBS1	2.66425
APOO	-1.343
ARMCX1	1.56825
HSZFP36	0.04275
SNAPC5	-0.2795
EIF4ENIF1	0.5415
ZNF433	0.15075
TNFRSF21	0.6095
TMPRSS7	0.3395
SPATA18	1.8389
HPDL	-2.0935
MKL2	0.809
TBX3	2.95338461538462
C21orf93	0.2125
DAXX	1.1505
ELMO1	0.08875
RGS13	1.753
TAF11	-0.258
UNC13A	-1.810375
LOC653314	1.4298
ORC3L	-0.76525
IMAA	-3.8505
TARBP2	-1.16625
CABIN1	-0.2758
TRIOBP	0.23125
HIST1H2AC	-1.433625
RGS22	-1.60416666666667
NCOA1	1.09633333333333
IL25	0.7765
SNCG	1.2705
GPR6	0.089
AMDHD1	-2.20916666666667
CHEK2	-0.99125
C6orf142	-0.804
DRD4	0.3875
C14orf68	-1.1385
GDF11	-1.98625
SEMG2	0.478
CD247	-3.15875
CDAN1	-0.78375
RBMX2	0.204666666666667
TGS1	0.313
OIT3	0.49775
SYF2	-0.59525
MCM4	-1.60025
PKHD1L1	-0.286571428571429
CEP192	-1.12466666666667
IFT88	1.00725
RPL9	-0.856214285714286
RAB32	0.824
DDX43	-1.842
P2RX2	0.105666666666667
OR5D18	0.584
UBE1	0.0544166666666667
SLC24A1	0.136875
ARHGAP5	0.512
CETP	-0.04375
KIAA1731	-1.46433333333333
SLC9A4	0.598
PTPN6	0.841
BAHD1	0.0905
GRIK3	0.5975
CACNB2	-0.663
PDE10A	1.5605
DGCR14	-0.28675
PCDHB9	0.439166666666667
RHOQ	-0.00483333333333334
MAP3K4	0.73325
KTI12	0.500833333333333
RPL23AP13	-2.232
GNG11	-0.99825
CLCN3	0.423833333333333
GPAM	-1.04675
VSTM2A	0.3515
SLAMF7	0.508333333333333
INTS2	-0.822
PPP2CA	0.5696
LRP12	0.5916
SEC14L2	3.44344444444444
DKFZP586H2123	2.45625
MC3R	-0.1745
CIRH1A	-1.80716666666667
HIST1H2AB	-0.615
POLH	-0.627
MGC16703	-1.21533333333333
SNAPC2	0.7165
FILIP1L	2.29375
RASGRP4	0.494
LRRC1	1.77225
GAS1	3.63325
PRAC	-1.11825
DGKA	0.576
NT5C3	-0.986
PEG3	-3.89608333333333
NADK	-0.55875
PRR17	-0.06825
LOC374569	-0.5545
SGSH	0.5015
NLRP8	-0.1985
GALT	-0.6824
MCF2	-1.253
ZNF263	0.417
TACSTD1	0.977
TYR	-6.7359
ATP6AP2	1.0375
RNUXA	-0.1455
ABHD10	-0.1175
GDPD2	2.1225
SLC35C1	0.6955
UBE2A	0.46075
HERC5	-0.899833333333333
FAM112B	-5.40166666666667
FBXL16	2.0025
DKFZP434A0131	-1.2065
ELA3A	-2.512
RBM41	-1.38025
HAO2	0.43
RNH1	0.216375
SHANK2	1.627
OSBP2	-0.507875
DAK	-1.59583333333333
C3orf58	-0.05425
TCL1B	2.289
KBTBD2	-0.051
SUGT1L1	0.06125
UBE2E2	1.111
MYL9	2.163375
CDC23	-1.3195
PBXIP1	2.2752
CXorf40B	0.4335
NBL1	1.50225
RTBDN	-0.194
RAB11FIP5	0.753
TTTY13	-0.276
SCOTIN	0.69875
SOHLH1	-0.256666666666667
CDKN1A	1.32078571428571
NCK1	-0.30525
ZNF550	-0.8395
SAPS3	0.140083333333333
SPIN3	0.337833333333333
MAGEE2	-0.05925
MIS12	-0.439166666666667
OR8H2	0.2245
KIAA0774	1.7215
UNC5D	-1.8735
CUL7	-0.432
LIPC	-3.311
DIO1	2.166
C20orf11	0.3499
CTRL	-1.21925
HS3ST2	1.53625
PAK4	0.816333333333333
CCRL1	2.88925
RNF10	0.54775
ZNF567	-0.47775
ZNF660	0.0285
TCEAL3	2.59275
MAGOH	-0.666333333333333
CENPB	-0.427166666666667
C19orf7	0.211
LOC388965	-0.10675
ZCCHC13	-0.143
JMJD1A	-0.8875
HIST1H4H	-2.567
TBRG1	-0.5417
GPC3	-2.46275
TAF1C	-1.09425
EBNA1BP2	-0.220166666666667
CIAPIN1	-0.627
PDGFRA	0.0669411764705882
CSTB	-0.332
CENPI	-1.80283333333333
GTF2E2	0.0483333333333333
RPP21	-0.739
CCNF	-0.383
KCNQ3	1.3285
FAM79A	0.48075
SLC22A12	0.389
NOVA1	1.31733333333333
FZD3	0.284
AKAP8	-0.3225
SOCS5	0.19075
CFDP1	-0.6315
DLG5	1.34375
PGM5	0.52225
C1orf144	-0.0589166666666667
HDAC10	-1.934
RND2	0.409
C20orf199	-2.34975
RNMT	-0.27025
SLURP1	1.29675
ASTN1	-0.485125
SH3BGR	-0.4135
MYCL1	0.939625
ZHX1	-0.206833333333333
CENPK	-3.38625
FOSB	2.0135
LOC643406	1.05025
C2orf59	-1.373375
TMEM135	0.65475
SLC27A2	1.6895
KRT33A	2.7855
OVOL1	0.786375
PAMCI	-3.395
S100A7	3.6955
ZNF789	-2.34
HARS2	0.33975
RPL23A	-0.705333333333333
TCF23	0.05875
UPF3B	-2.020625
C17orf78	0.606
HLA-DOB	0.242333333333333
C14orf142	-0.555666666666667
TEKT5	0.8855
DMWD	0.019
POLD1	-1.8455
GSCL	-0.0915
CALD1	0.934
SCRT1	-0.0585
AIG1	1.926
UNC84B	1.3865
ZNF404	-0.55025
TMED6	-3.448
KIAA1462	1.2765
LRRC27	1.27183333333333
PYGO1	-0.127
PIGU	-0.263666666666667
ALAS2	-4.11316666666667
WRNIP1	0.125
CNNM3	-0.304
ZNF2	0.51
ST3GAL5	0.678916666666667
MRPL23	-0.37525
TSSK6	-0.591
PSMA6	-0.8695
C16orf70	-0.71525
KIAA1602	1.062
ALMS1	0.429
DCN	3.687125
TMEM132D	-0.552666666666667
SUCLG2	0.882
ABHD14A	0.3085
DEXI	-0.183
AMPD2	-0.418166666666667
IFNAR2	-0.336333333333333
CYB5A	1.6306
TLOC1	1.62505
NXF5	-0.2005
NRBF2	0.483
KCTD3	1.62975
ITGAE	-0.8935
SLC30A3	-2.6085
ZRF1	-1.262
IFRD2	-0.307
XAB1	-0.5395
PYCR2	-0.049
SERPINB3	-3.47
TMLHE	-0.2747
GEFT	-1.58875
ABCA5	-0.44475
EMR4	0.183166666666667
TSFM	-0.63575
HIST3H2BB	-2.3205
ARHGEF19	0.74725
TSPAN17	0.888666666666666
ABCC8	3.8235
MAP1S	0.476833333333333
C22orf36	0.43825
BNC2	1.40778571428571
HIST1H4A	-0.8505
NDUFS3	-0.463833333333333
WDR3	-0.410166666666667
XKR4	-0.0275
TTC33	-0.0220714285714286
STMN2	3.6485
CPN2	-0.374666666666667
HSPC105	0.926875
PCOLCE2	-6.5535
C3orf55	2.098
KLHDC9	2.07333333333333
TBC1D23	0.245125
ATXN2L	-1.17308333333333
MAP2K3	0.283416666666667
SCAP	-0.09525
ZNF486	1.196
C20orf96	0.039
NARS	-0.04875
ADAMTSL1	-0.461214285714286
PRCC	1.10816666666667
CCDC126	1.29825
ZNF675	0.67575
CALCOCO1	0.3095
ANKRD43	1.73375
CWF19L2	-0.579333333333333
ZBTB32	0.247833333333333
BRAF	0.138
ODF4	0.391
MGC14376	0.6795
HORMAD1	-1.635
AAK1	0.224909090909091
PEBP1	0.338166666666667
TNFSF5IP1	0.058
DKFZp564N2472	0.508
RMND1	-0.37425
IGKV1-5	1.6505
COL1A2	3.49033333333333
SERPINA5	-0.1765
AANAT	0.4215
C19orf21	1.56433333333333
GEMIN5	-0.19925
UBR4	-0.204333333333333
LTBP3	1.08016666666667
AMHR2	-2.50716666666667
PROCR	-1.06775
MYBBP1A	-0.892
C20orf39	2.91033333333333
ZNF697	-0.328
PASK	-0.4309
ZNF776	0.6585
RFXDC2	-0.337875
KIAA0467	-0.3765
C10orf96	-2.33233333333333
ZNF503	-0.2735
GULP1	-0.848333333333333
KCNE4	-0.346
DKFZp434K191	-0.99275
LOC196913	-0.135
BHLHB4	0.0605
CH25H	0.0685
LOC81691	-1.20366666666667
ALPL	0.178571428571429
COL12A1	4.0585
FOLR3	-1.951
GPR123	0.1935
TRIM62	1.69628571428571
ABLIM1	0.816666666666667
MAST3	0.493
RHBDD1	0.683833333333333
LOC338809	0.3325
RYBP	0.87875
TTC26	-0.435
ZNF22	0.877166666666667
ISCA2	-0.25075
RDM1	-3.648
PIGM	1.8215
GNB3	-1.0355
ACTR2	0.4294
HMGB1	-0.2486
EDG1	2.5015
SOAT2	-3.637
OR10AD1	0.4425
RAP1GDS1	1.17766666666667
LCE1F	0.2905
ESM1	0.073625
RCN3	2.226
CREBL1	-0.70575
DBNL	0.4355
PTGER3	1.234625
USP30	0.627666666666667
BCL2L12	-1.50533333333333
KIF26B	2.44875
ZNF416	0.49425
ZNF225	0.291
C17orf70	0.17775
ZNF554	-0.24675
RAE1	-0.6755
TNIK	-0.857
ACTN3	1.102
MGC45922	0.277
CCNA1	0.462166666666667
RYK	0.623333333333333
IL26	0.084
LRP3	0.779833333333333
QARS	0.38225
SOX7	0.554785714285714
BID	-0.669375
OR2S2	0.497
CXCL14	5.34125
C11orf47	-0.344
MGC29891	1.332
HSPB8	2.138
PRDM14	-1.3335
NUFIP2	0.27825
MNAT1	-0.538375
ZDHHC2	-0.717833333333333
MBNL2	-0.01825
ADD3	0.196125
CSNK2A1P	-0.17525
KLK6	0.662
TMEM111	0.6861
KIAA1279	1.19575
NUBP2	-0.004
RAB42	-1.783
ID3	-0.9456
TM9SF1	0.65975
MDP-1	-0.863
POU4F2	0.577
IQCK	1.21475
C16orf14	-1.027
CAPN3	-1.736625
FAM43B	-0.795375
RECQL	-0.83075
AP1G1	-0.506714285714286
CTNNBL1	0.079
ECHDC1	-2.169
SMARCC1	0.1161
FOXQ1	-1.77375
GNAI3	0.9495
POLG2	-1.675
CD4	0.997625
ITLN1	-0.46975
EBI2	3.27725
IRF1	0.2845
PTPRE	2.3044
PTK2B	0.03025
NXNL2	-0.722
SOX4	1.014
TSPAN3	1.32083333333333
SH2D1A	-4.06666666666667
C8orf58	-0.4885
USP20	-1.60075
DUSP22	-0.622083333333333
CALB1	-2.3325
L3MBTL2	0.939333333333333
MCRS1	-0.39525
TMEM118	-0.9385
C18orf8	0.838833333333333
FLJ10241	0.0125
GJA12	0.06475
PKD1	-0.677833333333333
ZFP3	0.315
JAM3	-0.7335
LAPTM4A	1.0261
DIRC2	0.197
KIAA2022	1.9415
MYOM1	0.3545
TRPM8	-1.93466666666667
MOP-1	0.5185
PHKG2	-0.093125
ZNF650	0.40275
KIAA1522	2.816625
PSG8	1.407
DDX19B	0.101
MOBKL1B	-0.60475
DIAPH2	0.00591666666666668
PTPN12	0.31925
CLN8	0.7284
CRYZL1	-0.3975
CRY2	0.88225
FCGR2B	3.6375
PNPLA4	0.312875
ZNF454	0.5795
DKFZp434B1231	0.04425
CLDN11	0.0213
RFWD2	0.998666666666667
CIB2	-0.767666666666667
MXRA8	4.059
HRK	-1.261625
MAML2	0.10025
C4orf31	0.8735
C6orf192	0.506
COG6	0.702125
FAM5B	3.28975
NFATC1	1.2028
SEPT10	-1.13975
SCYL1	0.5119
RPP40	-0.84675
SCOC	0.7204
KIAA1450	0.75725
CTDSPL2	-0.48375
TBX5	1.58
NAPG	0.469625
RHD	-4.88975
C14orf45	1.446
ZBTB22	1.6395
PLCG1	-0.154
ANKRD10	-1.792875
AQP7P2	-0.085
TAGLN2	0.737666666666667
HTR2C	-1.4575
SLC16A7	-1.00633333333333
C17orf83	-0.10275
TSGA14	-0.470916666666667
MDH1	-0.7215
PPP3R2	0.019
DCBLD2	-0.639928571428572
RBM33	-0.3165
DPH3	-1.5365
SYT10	-0.763666666666667
FMO4	1.99825
THYN1	-1.243
DRD5	-1.639
OTOR	0.6015
PGRMC2	0.6192
KATNAL1	-0.352625
PAQR6	-3.729
UBE2I	-0.12975
C14orf28	0.4325
C8orf70	1.13275
FLYWCH1	-1.04375
ANGPTL3	-0.8585
GLRX2	0.357666666666667
ATP11A	-0.139357142857143
ARL5B	0.078125
MUC16	-3.632
SLC25A5	-0.846285714285714
ACRC	-1.18725
MYO1C	0.421
FAM89B	0.865666666666667
FAS	0.007625
KIFAP3	1.625
GLRA2	0.068
BTN3A2	-0.5724
CNKSR3	0.492875
CSTF3	-0.359333333333333
ARPM1	0.53125
KIAA1530	-0.788
C9orf150	2.017
PRKCI	0.61675
tcag7.1015	-1.1295
SOD3	-1.41275
ZNF574	0.27275
CYP21A2	3.115
RPL12	-1.09825
COMMD2	-0.81675
WIZ	0.203
LOC344405	-2.1135
ALDH4A1	-1.11470588235294
CRYAB	0.8065
COPA	1.13953333333333
PCDHGA7	0.3515
KIF11	-1.2505
RASD2	0.745625
SLC26A3	0.186
ZNF175	-1.117
JAKMIP2	0.339875
C8orf4	2.089
PTHLH	3.2845
SLC40A1	3.45075
OR7D4	0.645666666666667
PCDHB17	1.0235
CD36	0.0447142857142857
C6orf203	0.2746
PRKG2	-0.754
LOC400566	1.57825
ANAPC13	-0.4995
SLCO3A1	-0.73525
ZNF692	-1.5815
FANCL	-1.6575
SH3GLB1	1.42975
C12orf61	-0.0245
KBTBD6	0.2545
SUPT5H	0.2145
XRCC6	-0.4064
HUS1B	-0.3187
FAM133B	-0.476285714285714
LOC728276	-0.411
KCTD18	0.9325
SOS2	0.537166666666667
CCDC99	-1.77025
C1QTNF5	2.8075
NNAT	3.47166666666667
USP16	0.0345
LARS	-1.24275
ZBTB2	0.748125
ABO	0.325333333333333
TRAF3	0.86875
GALNT5	-0.5215
NAP5	1.253125
ALG14	1.49616666666667
KIAA0515	-0.871384615384615
WDR75	-0.940833333333333
TEX261	-0.0828333333333334
LY86	1.55275
LOC389072	-0.9285
FLJ13611	0.09475
MRGPRX2	0.551
SNRPA	-1.200375
OR2G2	0.445
GPRASP2	1.245
C7orf42	0.8153
C9orf163	-1.093
CYP11B2	0.2565
FCRL3	0.371
PRDX1	0.14125
FGB	-4.19266666666667
COX17	0.027
C16orf33	-0.7075
PIWIL1	0.194
FOLR1	-2.67266666666667
KIAA0082	-0.68125
FREQ	-0.498666666666667
TMCC2	-0.425333333333333
TCF12	0.50975
ZNF721	-0.05025
FAM130A2	0.33525
POU4F1	-2.448
SNRPF	-1.542
SGIP1	2.229
ZNF641	1.44333333333333
EMG1	-1.051375
PRRG4	1.583
HIRA	-3.7915
MYNN	0.357
AEBP2	-0.375166666666667
TBXA2R	0.391333333333333
ISL2	-1.13966666666667
PCDHB11	0.817
RNF144A	0.819375
MARCH5	0.619625
DULLARD	-0.0481666666666667
DCLRE1B	0.1915
ITGA8	0.70925
TP73	0.41825
PRKCD	1.93975
NDUFB4	-0.59
ATP13A4	2.81475
ANTXR2	0.196333333333333
COL4A3	-0.293833333333333
MYO10	-1.0748
SLC6A18	0.463
PEX1	-0.201
TMEM74	-0.4655
RBM19	0.11325
TAPBP	0.53725
RUNX1	0.457
MID1	-0.949166666666667
GPR64	0.270333333333333
RASEF	1.37025
GABRG1	0.6575
MYO16	-0.89825
DBF4	-1.5645
TSHZ2	2.1485
RIPK2	0.5425
PPTC7	-0.122166666666667
KIF4B	-0.239
LRRC31	4.112875
ZNF540	0.7525
EFNB3	0.7355
LOH12CR1	0.13525
STON2	0.0401666666666667
GLP1R	0.470333333333333
CSTF2T	0.155125
IREB2	-0.41275
GRSF1	0.27925
PDCD7	-0.5805
LRRC43	1.386
CNR1	0.233833333333333
IL1F7	-0.645
C12orf64	0.1575
FAM69B	-1.493
NR2E1	-1.82566666666667
MS4A6A	2.3883
FTL	-0.2335
C7orf36	-0.266
PCLO	1.2596
DYRK2	0.627
ARIH2	-0.2025
SAMD7	0.129
SCNN1D	-1.14175
SLC32A1	-0.84075
C22orf25	0.475333333333333
MRPS18A	-0.582
GPR112	-0.421
EARS2	-0.99975
ERN2	0.282
ATPBD3	-0.3725
PRH2	-0.532
CDKN2D	-0.316166666666667
PGLYRP2	2.26575
TRIM40	0.0335
SEC14L3	-0.276333333333333
SLC22A1	-0.0725
BTN2A3	-0.48575
RASA4	0.95525
CCNL2	-1.51816666666667
MYBPC3	0.5145
GJA4	3.02025
CDC42SE1	2.31725
TRPV2	-1.75775
MYPN	-3.5236
SIM1	0.373
CDADC1	0.28475
ZFHX4	1.05075
NIBP	0.929
ADAMTS19	-2.38025
ABTB2	-1.1015
TSPYL2	0.091375
EIF2S3	-0.6432
SOX30	0.40075
AP2A1	0.1445
DKFZP564O0523	0.0616666666666667
LOC285398	-0.16025
CDH18	-4.9305
CHL1	1.110875
GATS	-0.1716
TBC1D2B	0.317166666666667
OR1J1	-0.1025
GSN	1.733
DPCR1	0.4105
GARNL4	-0.189333333333333
SMARCA5	0.01825
PLEKHG3	0.650666666666667
ZBTB45	0.605
FRMD6	0.836833333333333
PLS1	0.306
DGKZ	0.600333333333333
EFNA1	2.6107
WDR85	-1.3855
ANK2	-0.16825
PAGE4	-0.958666666666667
SENP6	-0.049
AKR7A2	-0.5045
FKBP10	-1.989
VEGFC	-0.856666666666667
LARP1	0.471875
SRBD1	0.317
ITGB6	2.66225
SLC1A2	-0.0194285714285714
INVS	-1.69366666666667
MPO	-0.134
MOBKL3	-0.0557
CUTL2	-0.455375
KLK2	-0.374916666666667
VIM	0.07075
REG1B	0.132
PCDHGC4	0.0825
C3orf34	-0.367333333333333
SUMO3	0.634833333333333
CST9L	-1.229
MLL4	-0.10725
SPR	0.497833333333333
SAMD9L	-0.06725
ABCE1	-0.4315
SUPT3H	0.0991666666666667
ACTBL1	-0.82275
ADAMTS4	0.854166666666667
SLIT3	3.0885
RHEBL1	-0.937
NPM2	-2.1435
MAN1C1	1.172875
KIAA1856	0.76225
HSPA6	2.03075
LOC388152	-0.669
C10orf140	-1.743
ZDHHC12	-1.12
LIN7A	-1.8025
PHC2	1.04433333333333
SPHK1	-0.16425
TRIM26	0.586125
FAM83E	2.619
C18orf24	-1.12383333333333
ZNF578	0.361666666666667
ORAI1	-0.532
RUVBL1	-0.615
C7orf20	-1.28183333333333
APAF1	-0.605
SLC36A4	-1.279
MYH11	3.33166666666667
NEK1	0.1372
MPP2	-0.19525
C12orf24	-3.47175
TNK2	0.299125
ZNF289	0.10575
