Hybridization REF	TCGA-BH-A0HQ-01A-11R-A034-07
ART4	-2.06433333333333
ZC3H12C	-1.28325
KIAA1841	-0.028
EVX1	0.557333333333333
WDR38	0.8765
LOC402057	-0.51375
ACAA2	-0.955875
GLCE	0.22425
GPR18	2.39625
HIST1H2AG	-0.4853
PIGK	0.79575
C16orf67	-0.0623333333333333
DAG1	-0.2115
OR4D2	0.462
C21orf81	2.0825
PLOD2	-0.311
TTC27	-0.29975
TSPAN2	1.8615
PI3	-0.98625
ZFAND6	0.38575
C6orf57	-0.4885
NUF2	-2.177
ARID2	-0.64725
RCC1	0.406
CD86	1.5585
FAM91A1	-0.278
CALM2	1.69883333333333
GYG2	-2.0465
PARS2	0.626333333333333
INTS12	0.265
CTSF	1.93325
BNIPL	3.3035
GNA13	-0.619125
HUNK	0.43775
ZBTB4	2.271625
B4GALT4	0.216875
CHD1L	-1.363875
MSTO1	-0.103166666666667
FUT8	1.06184615384615
AGA	1.035
TRMT11	-0.995333333333333
WWP1	2.4375
B9D2	1.41683333333333
STAT1	0.934125
PTTG1	-2.52316666666667
TMEM62	2.018
SSBP2	-0.00124999999999999
MRFAP1	-0.481916666666667
NME4	-0.521375
LOC55565	0.776333333333333
DLL4	1.00825
MYOCD	-0.463
HTR3D	0.261
C9orf156	0.57575
CHMP4C	1.2595
PROCA1	-2.39775
GCDH	-0.02575
APOF	1.491
WEE1	-1.11033333333333
SSR4	0.216
RGS1	6.11325
ACCN4	-1.7415
FLJ20489	0.348375
ZNF215	-1.21483333333333
AGPAT6	-1.05425
PDE7B	-2.10366666666667
BBX	-0.136875
MS4A3	-4.8978
OR4A16	1.0025
EFEMP1	2.42225
TULP2	-0.779666666666667
RERE	0.746
BNC1	-1.4735
PIGB	0.098
COMMD8	0.567
TRIP11	0.531166666666667
FLJ40142	-0.4775
PCDHB6	2.33775
FKBP8	-0.676
FLJ12716	0.3697
POT1	0.582
KIAA1109	0.542571428571429
PTPRC	0.250833333333333
UNQ9391	-0.2725
CCT7	-1.25216666666667
EEF1A2	-2.40675
MIPEP	0.762
ZFX	0.6755
UCHL3	0.684125
LOC388419	0.201
GSG1L	-0.415666666666667
RAB24	-0.849083333333333
SLA2	-1.34675
SDS	3.10966666666667
LYPLA3	-0.1025
CASQ1	1.0655
SLC25A40	-0.644166666666667
IRAK1BP1	1.23325
ACOT6	1.2595
COL9A3	-1.798
ASB11	0.325
C2orf18	1.19466666666667
FOXD2	0.2915
C6orf211	1.53525
OR8G1	0.268166666666667
MDGA1	2.0065
ADARB1	-0.696
GGT1	0.289
WNT1	-0.3857
DBP	0.129625
COL5A3	1.95925
RHOD	0.8645
COL4A2	1.01175
LOC201164	0.1085
HEBP1	1.46625
LUM	3.36275
ZCCHC6	-0.09
PAGE1	-3.24033333333333
DTX2	-0.199
SLC7A13	4.794
H3F3A	1.87992857142857
RABIF	0.803625
D4S234E	-0.982
DYRK3	0.789666666666667
PFAS	-0.581
ALOXE3	0.5975
RPLP0	-0.159071428571429
RBM34	0.273666666666667
C12orf28	3.1195
U2AF2	-1.03166666666667
MKNK2	-0.1943125
SEC16A	0.908166666666667
ZNF44	0.0397
YWHAG	-0.0155
IGF2BP2	-2.80572727272727
OR1D5	0.538
SIX6	-2.90275
CCR6	4.298
PALM	0.96775
PUM2	0.178
SPRYD5	-2.533
ALG10B	-0.25525
ZNF365	1.22025
PHC1	-2.12825
KIAA0913	0.476
ARX	0.956857142857143
PPP3CB	0.5985
IRX6	-0.2957
ANGPTL4	-2.5638
LSM14B	-0.054
PCDHGB7	1.4075
INSM1	-1.0825
WBP2NL	-0.255
ZNF493	0.2600625
NGEF	-0.74175
RNASE13	0.065
SPPL2A	0.4675
SFXN1	-1.364125
FAM102A	0.903
SAPS2	-1.2635
JTV1	-1.092
OR51B4	-1.93175
SCGB1A1	0.0518333333333334
NEUROD2	-0.163875
tAKR	2.6605
C1orf26	1.472
RICH2	1.298
TEDDM1	1.00125
CYP2S1	-0.7075
TBCE	-0.088
MAPK1	-1.474
HDHD1A	0.25825
MRM1	0.09625
ATP9A	0.633428571428572
HSD17B3	-1.23
HN1L	1.747
RNF216	-0.747125
HOXD12	0.143
PPP1R14B	-1.4115
SBF1	-1.884
TAS2R42	-1.5475
USP46	0.993833333333333
LILRB3	2.6975
SPI1	0.47825
OXSM	0.21825
GYS2	1.9492
NUPL2	-0.902
C8orf46	-1.81025
SF3A1	-0.504
C21orf99	-0.284
HOXB4	0.8679
YRDC	-0.87425
GPRC5D	0.7085
BLVRA	-0.89125
KIF12	2.899
LRRC23	0.709
FAM14A	0.479
RASL12	1.079375
DAZAP2	1.44125
IKBKB	0.764214285714286
ZNF271	-0.0703333333333333
BOK	1.04625
CXorf6	-1.90225
MYEOV	-2.393
BTN2A2	-0.6629
FRG1	-0.0415
HSP90AB6P	-0.6385
ENOX1	2.0795
ZNF706	0.6419
DOK1	-0.1356
PGAP1	-1.559625
TMEM136	0.7065
FSCN1	-2.7245
KIF17	0.0285
TRIM66	-0.5095
CBR3	0.969833333333333
C13orf24	1.05783333333333
C19orf52	-0.265
BNIP1	0.5075
AQP3	-0.76625
KRT6C	0.1025
SIRPA	-0.154666666666667
IGFBP6	-1.4015
PLEKHK1	-0.7095
RNASE7	-3.3535
ARHGEF15	0.54
NPHS2	-0.605333333333333
SRD5A1	-0.5375
REXO4	-1.439
EEF1DP3	0.20125
SLC37A2	0.42875
ZNF142	1.0185
ANKHD1	-1.5395
MUT	1.189
VPS37A	0.5985
GPRIN1	-1.033
SLC38A3	-1.9195
BAZ2B	0.8345
WDR87	-0.1485
BRD7	0.08625
POU6F2	-0.904
NISCH	0.181625
TCEB1	0.08125
LINGO2	-1.12825
TAX1BP3	-1.327
RPL34	0.963611111111111
MARK2	0.004
AKAP12	-1.2134
AMBN	-0.3975
SLC25A27	-2.0105
FLJ21865	-0.440375
KIR2DS2	0.524833333333333
WDR77	-1.643
ATF2	-0.300666666666667
ITFG3	0.378833333333333
SLC39A13	1.10225
ARL6IP5	2.47725
C10orf137	-0.636875
QTRT1	-0.747666666666667
CCNT1	-1.29025
DYNLL1	1.1961
WDR53	-0.08325
LIPG	-0.264333333333333
ASAH3	0.3185
HELB	-0.5945
PHACTR2	0.069625
VENTX	0.079
LAD1	1.142
PAOX	1.29275
MAPK8	-1.0605
CCDC38	1.31666666666667
DNAJC8	-0.4318
RBBP8	-0.64425
WNT11	0.0617
KCNJ12	-0.9155
HDAC8	-0.117
STARD4	-2.50125
ACVR1	0.811833333333333
C14orf65	0.0555833333333333
KLB	-2.3025
C1orf65	-0.455
ZFYVE28	0.262625
NSUN6	1.1355
KIF27	0.6325
SYTL2	-0.193
UBXD2	0.3277
OR6T1	0.7435
CCDC91	0.325071428571429
GRID2	0.4425
CALN1	-1.04725
ZNF423	2.1765
PSMB4	0.428666666666667
XPNPEP3	-0.977
ARPP-21	-3.21877777777778
SART1	-1.38425
RACGAP1P	-2.6385
SPTA1	-4.7415
C6orf113	0.160166666666667
C7orf16	-3.357
CHST7	-0.8565
C21orf29	-1.5572
SEMA6D	-0.459375
PCMTD1	2.10225
KIAA1754	-1.12166666666667
MYCN	-1.13025
KCNJ3	-0.44975
MAPK13	1.8949
ERO1LB	0.4705
NTF3	-1.796
NKX6-2	-1.18575
GTF2B	0.07475
GSPT1	-1.28783333333333
GUSB	1.3825
LOC221091	-0.8535
LIG1	-1.0585
EXTL3	0.179666666666667
NID2	-0.54025
TTC29	1.80325
TMEM97	-0.499
EXTL2	-1.44016666666667
SUZ12	0.00512500000000001
IL1F8	0.059
KRT18	-0.571818181818182
MRPS16	-0.374272727272727
PI4K2B	-0.42575
LACRT	0.745
OR51F2	0.279
JMJD2C	-0.218625
KGFLP1	1.237
CDK5RAP3	-0.6006
YTHDF2	1.28216666666667
GGCX	0.72525
ARPC4	0.18
EGLN2	0.893
KBTBD4	-0.126
ROBO3	-0.6514
DEFB118	0.4785
KIAA1543	1.0435
RTCD1	-0.0371666666666667
MZF1	0.4035
C18orf26	-0.424
CNIH4	0.778666666666667
ZFP2	2.73566666666667
HTATSF1	0.21275
WFDC2	2.483875
NDUFA7	0.3985
TTC22	0.3758
FAM40B	-2.967
DCPS	-0.963
SH2D1B	-1.8398
MRGPRE	0.2915
SBK1	0.84825
UNQ6411	0.4175
OSBPL9	-0.52225
NUP107	-1.52175
MYOZ3	0.0392
PDE4B	-0.0804166666666667
FAM113A	-1.377
IDH3G	0.136833333333333
FBXL7	-0.063875
ARFGAP3	-0.1755
MAPRE2	-1.03953846153846
IL1RN	1.403
KIF13A	0.64775
RAC3	-0.9495
TCTE1	0.067
TMEM14B	-0.279833333333333
ADIPOR1	0.346833333333333
GRINA	0.867
CLIP4	0.37075
LRIT2	-0.2285
TFPI	-2.99
FABP6	-1.3665
SLITRK2	-0.3113
HKR1	-0.46925
SMTN	-0.94975
C1orf75	-0.0035
CD209	0.54425
CYB5R2	1.76875
DNTTIP2	0.1665
CSGlcA-T	0.532625
GABRB3	-3.1495
PCBD1	0.6855
TAF3	0.28925
HOXD3	0.9945
GIPC3	-0.145833333333333
P11	0.4402
BFSP1	1.06125
LCP2	0.155
TAS2R8	2.5745
SEZ6L	-0.8355
NR2C1	-1.522625
EXDL2	0.2561
TNFRSF13B	-1.9965
MKI67	-3.03175
GLS	0.632083333333333
C7orf54	-0.6214
LGALS13	0.08325
IL4R	0.74725
SEC11A	-0.2125
SPP2	0.624666666666667
C18orf32	1.06725
CLSPN	-2.50366666666667
SPAG1	0.95525
C9orf82	-0.3135
TM4SF1	-1.64108333333333
EMILIN2	0.62475
SMG7	0.377833333333333
TAS2R13	0.707
ZNF628	0.62
DZIP1L	-0.8368
ANKRD13A	-0.2138
VASP	0.738125
ZCCHC11	-1.682625
SYPL1	0.627625
MGC34774	-0.944
C4orf28	0.089375
KIAA1211	0.313416666666667
RPS27L	0.3695
TATDN3	0.1635
PDCD1	-0.70625
OR5P2	-0.012
IFIT1L	1.391
MIPOL1	0.00850000000000001
OR51D1	-0.64975
C1orf92	0.873166666666667
LAMP2	1.196
CAT	0.499
C16orf80	-1.11525
C15orf32	0.665
ZNF746	-0.26075
C1orf76	-3.5365
ATXN1	0.77825
LAMC2	2.22825
SLC2A7	-0.1155
CPOX	-2.55225
APH1B	1.73016666666667
LOC442245	-0.24575
CTNND1	1.05738888888889
GABRG2	-0.465285714285714
MADCAM1	-0.109166666666667
F5	-3.42375
SEMA4F	0.228666666666667
NUDCD3	0.2975
PDZD11	0.25
TRIML1	-0.1375
GCNT3	-3.4888
TMEM120A	1.0375
CNDP1	0.4615
N4BP1	-0.26075
SLC35F2	-1.358375
LCP1	0.0183333333333333
IGBP1	0.3163
DCAKD	0.642625
ELA2A	-0.659
C12orf56	-2.6285
PITRM1	0.311928571428571
GUK1	0.372
RASSF8	-1.3059375
OR2A14	0.656666666666667
ADM	-3.68666666666667
FGD3	2.4455
GHRHR	0.502
RHPN2	0.203
C4orf39	1.09866666666667
VPS72	-0.28325
SERF2	0.667611111111111
CD22	0.964333333333333
CD47	0.0101
PPIC	2.0435
IMPDH1	-1.01883333333333
ACP6	0.502666666666667
PRKACA	-0.491125
PPP1R1A	0.621875
TRPV3	0.5135
ASXL1	-0.72275
C17orf55	0.2975
FXYD1	-0.312
LMOD2	0.858
ANKRD33	0.4525
LCE2C	-0.439125
ZNF620	-0.648
DKFZP566E164	-0.95175
VSIG2	1.87675
KIAA1128	1.2915
USO1	0.0315
NUDT4	0.4275
CLDN1	0.476928571428571
OR4Q3	1.4045
FASTK	-0.5975
ICOS	0.288833333333333
LDB1	-0.49
GSTA5	-2.5805
ABCC1	-1.87283333333333
FAM54A	-1.92725
PCBP2	-1.35616666666667
NUP205	-1.17825
ACTA1	1.63516666666667
GABBR2	-2.2555
PIP5K1B	-1.97266666666667
AGXT	-1.95783333333333
RNF181	0.66425
ATP8A2	1.57225
AFTPH	1.6065625
FGF21	0.42325
FCER1G	2.866
SNTB1	-1.633
SLC24A3	2.034625
TXNL4B	-1.8192
RPL10L	-0.401333333333333
LOC389517	-0.82645
TSGA13	0.202
SHOX2	-0.185833333333333
ITGA7	-1.2144
KCNIP2	-1.3038
KLF13	-0.4078
ZFAND2A	0.03475
CEACAM1	1.08571428571429
PFKFB4	-2.63833333333333
MED19	0.564
LRRC57	0.389666666666667
RNF11	1.021
ANKRD32	-2.2775
P117	0.67625
OBFC2A	-0.878666666666667
POLD3	-0.618083333333333
RAB18	1.48275
TPH2	-0.7085
PHB	-0.2182
JDP2	2.08716666666667
MORF4L1	-0.4789
POU2F1	-1.43325
CNNM2	-1.61425
LOXHD1	0.068
ZC3H15	-0.59225
ELK3	0.344
FAM111B	-1.3935
CBLC	4.468
SBNO1	0.2985
ANKMY2	-0.23275
PLEKHA5	-0.274
DHX58	1.594
ARCN1	-0.307333333333333
TREML1	-0.2127
KNCN	-1.441
SEC24A	-0.538
PSCA	-1.469
MGC24125	0.761166666666667
DNA2L	-2.007
CIB4	0.395
HIGD2A	-0.219333333333333
TBX6	-0.686666666666667
TTLL5	-0.717
SGK3	1.39516666666667
GCN1L1	-0.33925
AMOT	-0.4073
LDOC1	0.2465
NRK	0.355333333333333
ASB9	-2.829
NAT1	5.797
TRAFD1	-1.08775
PEAR1	0.351833333333333
FAM36A	0.41625
OR1S2	0.9056
LOC388323	-2.3385
PGS1	-0.896666666666667
LEPREL1	-2.657
TFF1	0.264416666666667
HAP1	0.80325
EPHB2	-1.14425
ACTG1	0.853333333333333
ZFP42	-1.54116666666667
HAVCR2	0.1591
NME1	-0.5725
SNX26	-0.43425
LACTB	-0.169333333333333
ZKSCAN2	0.01325
C5orf35	1.447
ANKS3	-0.0175
RBM28	-1.1375
DKFZP586P0123	-0.77775
HNRNPA1	0.110166666666667
BCAS3	-1.5975
FLJ20184	0.976
POLA2	-2.19033333333333
TMC7	-1.08183333333333
HSD17B6	2.127
ZNF658B	1.6625
TTTY10	-0.644
RANBP9	-0.375416666666667
CPNE7	-2.71566666666667
EVL	1.17852941176471
LNX1	0.51525
IFNA21	-0.337
CFD	0.1865
PYCARD	2.2715
MYBPC2	-1.345
ENPP3	-1.14466666666667
ACSL4	-1.82825
LOC440258	-1.435
TMEM176B	4.1735
SOX2	-5.72475
SCO1	0.0785
COMT	-0.5815
AOC2	0.51825
PDLIM5	1.54135714285714
SPHK2	0.667166666666667
NXPH2	0.286
GPR108	0.201
RAD51L1	-0.878666666666667
TMEM54	0.51775
LETMD1	-1.10377777777778
SLC6A17	0.488333333333333
KRT75	0.8185
STT3B	-0.930166666666667
CD3EAP	-0.120666666666667
TMEM63A	1.1255
DUSP13	-0.992
CD1C	0.6565
LASS2	0.8035
AVP	0.9395
PITPNM1	-1.8205
FLJ22795	-1.3425
MCTP1	-2.818
TRIM68	1.03216666666667
UCK2	-0.922166666666667
ABHD1	0.8465
FAM50A	-0.62525
RNASEH1	-1.5795
PCP2	1.16133333333333
OR52H1	0.326
C20orf149	0.413
RBP5	-0.767333333333333
HYAL3	-0.7835
CLPB	-1.1995
SMNDC1	-0.4485
DONSON	-1.77633333333333
FLJ27523	0.326333333333333
BARHL2	0.3872
SLC30A9	0.4625
TMPRSS11B	0.4155
E2F8	-2.2805
CCDC25	0.904583333333333
C14orf48	0.0503333333333333
C20orf116	0.48775
TSPAN11	0.3145
YIF1B	-0.952666666666667
FAM12B	0.9595
OR1L6	0.715
HPN	1.432
NBN	0.99375
C14orf94	-0.869666666666667
OCLM	1.2945
ZSCAN18	0.477
L3MBTL	-1.0236
TSTA3	1.12916666666667
RAC1	-0.047875
C19orf15	0.5435
NFE2	-4.85725
KLK14	0.254
ARSF	0.673
MAST2	-0.370333333333333
AMICA1	2.32333333333333
GTF2A1	0.038875
ATP1A3	-0.1985
TC2N	3.3392
PNKP	0.103
ODZ2	2.624875
MATR3	0.532
S100P	-0.52475
KRT82	1.988
CA13	-0.2084
PROZ	-2.03633333333333
AASDH	0.336142857142857
C19orf40	-0.251
DCK	-0.503384615384615
FAM5C	-1.175
SLC6A4	0.027
MID1IP1	-1.012625
TESSP5	0.317
TMOD4	0.0231666666666667
DOCK2	-1.96183333333333
TUG1	-0.650625
NUP214	-0.94025
DPYSL2	-0.662227272727273
GOLM1	2.66091666666667
MPFL	-0.3455
SOX13	1.39175
SDCCAG8	1.9276
KEL	-2.70833333333333
NUP210L	-2.148
GK	0.342875
DNAJB1	1.04325
ALPK3	-0.671
CHID1	0.5679
CYLC2	1.617
IKZF5	0.77825
C8orf51	1.203
PPM1J	1.78075
GIMAP8	2.967
GPR101	0.7535
NR2F1	-0.6625
ACAD8	0.17925
RBM35A	1.311
GNAI2	-1.3225
METTL8	-0.0913333333333333
SLC39A7	-0.64675
FBXO8	0.8445
CAMK1	-1.319
RFC3	-0.618875
FAM129A	3.17992857142857
ILF2	-0.5125
FGFBP3	-1.19528571428571
NOM1	-1.01283333333333
PSMA3	-0.346
ASCC3	0.934
ZYG11A	-0.2825
SOX21	-2.211125
LYRM1	0.83175
DEFB1	4.4985
LOC91431	-2.71383333333333
OR7C2	1.535
FAM46B	1.785
TMEM18	-0.169125
ARHGAP30	0.2785
TMEM86A	2.92308333333333
EPHA2	-1.7645
C10orf46	1.1667
TCHH	-0.465166666666667
C3orf30	0.32875
LOC285636	0.0198333333333333
PAIP2	0.0495
CYP2U1	0.0331666666666667
C12orf34	0.5275
SARS2	-0.56
ZCWPW1	1.7685
SAMD12	2.6395
KIAA1430	0.3515
ACAT1	-0.8265
MEOX1	0.0781666666666667
ADAMDEC1	7.141
PHKA2	-0.19125
CARD11	-1.5655
CALML4	-0.138
TSSC1	-1.2955
TMEM45A	-0.631111111111111
MPP7	1.895625
POU1F1	0.80575
SLC2A13	-0.6612
FBN2	-2.63185714285714
ZC3H7A	0.0924
LAIR2	-2.6
ST3GAL1	0.1255
LCT	-3.91675
GEMIN8	1.08583333333333
KLF16	0.2884
HIF3A	-0.2848
FAM44A	0.0665
AQP10	-1.4382
PLA2G2A	0.017
FOLH1	-0.00866666666666667
C20orf186	1.107
MAPKAP1	-1.2565
SPRR2D	-2.386
UBQLN4	-0.885833333333333
RSHL1	-0.110666666666667
PIAS3	0.286375
MRPL24	1.4045
GREB1	-0.719875
FAM27E3	-1.815
NUP62CL	0.53875
NEUROG3	0.5215
REEP3	1.21166666666667
MARK1	-0.638125
LMBRD1	1.29725
PRPF19	-0.548
PNMT	0.0875
CTGLF1	-1.85
SLC25A16	1.12525
EIF2B3	-1.5455
RPA2	-0.3725
PAK6	1.4845
CCDC26	-3.466625
SEMA3E	4.21525
MXD4	0.7155
TNFSF10	4.6915
SMARCB1	-1.43933333333333
DTX3L	1.073
PLA2G4E	-1.415
PPAP2A	0.67675
ULK1	-0.775166666666667
TAS1R3	0.359
SLC2A3	-3.74736363636364
ARID3A	-2.0475
GNG5	-0.2505
ACOX1	0.2784
KIF5B	-0.06525
NUP153	-0.84825
MUC7	0.2665
CSDE1	-0.357214285714286
CLPTM1	-0.759
C3orf23	-0.067375
LRRC17	1.1905
TTYH3	-1.113375
ATP5B	-2.1135
ELF3	1.5481
CPSF3L	-0.478
ZNF665	0.682666666666667
TLR6	-0.2888
GPI	-1.095875
RAD9A	-0.599625
NDST4	-5.02525
AGPAT3	0.918166666666667
MAGI3	1.76033333333333
ADORA2A	-0.744875
CACNG7	0.697
CAMK2D	-1.29014285714286
CCHCR1	-1.06725
RPS27A	-0.169
OR10G7	0.1894
GCM2	0.24
FAM135B	0.91975
E2F1	-2.34075
PLCB3	-0.8315
OR2AE1	0.825
COIL	-0.502333333333333
CDC25C	-2.06033333333333
RAB11FIP2	0.172
TSC2	0.44525
CTGLF5	-2.612
CCDC108	1.69175
OR13C4	0.10275
C10orf81	5.95925
PTPRB	1.41875
ACP2	-0.28
LAG3	-1.067
MRPL54	0.599
LOC201175	0.9605
ITGB1BP3	-1.41975
SPTAN1	-0.367833333333333
SIPA1L2	-0.685
RCAN2	-0.3045
CDX2	-0.032
ECOP	-0.28925
ACTR1A	0.161285714285714
PPARG	-1.7195
BBS10	0.605166666666667
TMEM44	-2.0665
BPIL2	0.414
CITED1	-1.338
IRF6	4.55475
PRDM4	0.435333333333333
RRP9	-1.334
OR10H4	0.449
IL31RA	-1.428
GNB1L	-1.93333333333333
MYBL2	-3.230875
ZNF407	1.216
PPIG	-0.0728333333333333
TTC18	3.51025
RPSA	-0.7815
MAPT	2.578
MRE11A	-0.0116666666666667
C8orf37	0.262
RASGEF1C	-1.43933333333333
STBD1	-0.0305
CTAG2	-1.14133333333333
MGAT5B	-1.90583333333333
ECM1	-0.03525
RLN1	3.9975
PARP14	0.1480625
EPB41L1	1.1306
HOXA3	-0.105583333333333
MAGEA9	-3.577
RPS8	0.117333333333333
RPS19BP1	-0.694
FOXJ2	-0.219375
C10orf76	0.593125
IL17RE	1.0255
C10orf65	-1.882
ZNF343	0.102333333333333
FBXO33	-0.048125
UHMK1	0.8021
LY6G6C	1.0195
FGF19	-1.94425
C14orf128	-0.211
IFIT2	1.371875
TIGD1	-0.67625
S100G	-0.143
GUCY1B3	1.918
NR3C1	-1.1224
CORO1B	-0.385666666666667
PARP11	1.228
DNALI1	5.31383333333333
OR4N4	-0.254
MAP2K6	0.215166666666667
FSTL4	0.664
ANKRD47	1.296125
TMEM171	-0.7245
PNLIP	1.44675
YY1	-1.04916666666667
CCDC138	-1.638
AASDHPPT	-0.3236
CKS1B	-0.4882
MCM3	-1.10416666666667
ANAPC7	-1.04316666666667
FAM110A	1.99525
CDC37L1	1.23316666666667
THTPA	0.81875
NBPF20	-1.179
WDR24	1.05675
NPTX2	-1.6905
CBLB	0.1935
CETN1	0.458
RPUSD1	0.54575
FAF1	-0.29725
CDK6	-2.1295
HMX2	-0.3685
CSK	-1.34916666666667
TEAD2	-0.26125
SNAP25	-2.31666666666667
TUFT1	1.879
TMTC3	1.42583333333333
LCK	-3.5015
SGOL1	-1.83733333333333
AKTIP	0.60425
FURIN	-0.314
SOX12	-0.777833333333333
DEFB103A	-0.249
RAMP1	1.775
KIR3DX1	null
GAS2L3	-1.35175
PDE8A	-1.4768
EDN3	2.63175
GMIP	0.76525
SF3A2	0.08825
FN3KRP	0.4055
SMAD7	0.10225
RHBDD2	0.2005
OR11H6	null
PPP1R3B	1.682
C9orf23	0.17625
CADPS	-1.2695
GOLGA8A	-2.748875
TMEM57	1.38083333333333
RGL3	-0.402
S100A14	3.30675
FGFR2	1.45186666666667
XRCC3	-0.98675
RTN4RL2	1.11375
MGC3771	3.013
GH2	0.304
BTBD2	-0.334
LMO2	-0.385
RDBP	-0.653875
ACRBP	-1.86
AMY2A	1.7215
DUOXA1	1.332
PTK7	0.185333333333333
TWF2	-0.592833333333333
FAM80A	-0.33625
TNNI2	-2.61766666666667
GLT25D1	-1.14583333333333
OCC-1	-1.86225
CYC1	-1.253
RPL22	0.389272727272727
MORN3	1.6765
DISP1	1.98425
PRB2	0.385
CHUK	-0.81125
HR	0.637625
CCDC134	-0.90225
DENND4B	-1.1365
C14orf130	0.112375
RAB33A	-1.664
DCST2	0.253
TNMD	-2.58625
PEX7	1.73675
FAM62A	-0.053875
SRD5A2L	1.0875
IL22	-1.43233333333333
RPS26	-1.80316666666667
HOXC5	0.411
SPATA6	1.156
FLJ38482	0.736625
ZNF234	1.8665
C18orf22	1.02775
SPATA22	1.82825
THOC1	-1.23425
CYP7B1	3.0115
KCNC3	0.42925
C8orf42	-0.0535
ALDH1B1	-0.238166666666667
CCDC100	-0.2726
ARMC4	-0.43325
FAM18B2	-0.2595
SLC44A1	1.151
FBXO17	-1.708
C6orf107	-0.50525
C19orf29	-0.323
ZC3HAV1L	0.03025
PARP6	-0.3019
SULT2A1	-6.58225
C1orf159	-0.509
TMC1	-0.534
CHST14	-0.255625
GAMT	0.212
SMCP	0.0915
TSPAN33	-1.73283333333333
MIDN	0.24325
NOX4	3.09425
RNASEN	-0.0869
TBX1	-2.26266666666667
SALL2	0.259
C10orf35	1.81975
CYP2E1	-0.825
LRFN2	2.63516666666667
ACO1	-0.838333333333333
IQCG	1.7592
MEGF9	2.71625
TM7SF4	2.872
PLEKHA1	0.7578
STK33	-2.89575
C1orf210	2.6795
SNUPN	0.4995
KIAA0406	-1.4279
C20orf29	1.06
TMEM55B	-0.73925
OSTM1	-0.33325
CLCN7	-0.022
OTP	-0.08375
FLJ23049	1.85
HEATR4	1.439
MAP3K10	0.332833333333333
PCDHGA9	0.69
AMDHD2	0.278
LCTL	-2.2365
PDCD2L	-0.2135
CABLES2	-0.1825
SLC5A9	-0.2845
CLCA2	3.05616666666667
MGC16025	-0.3325
STRAP	-0.962166666666667
C20orf196	-1.77
RRBP1	0.563
NAT13	-1.013
MAT2B	0.179
CSNK1D	-0.893166666666667
KIR3DL1	0.6205
PRKAG3	0.289
ZNF599	0.4855
PRM3	1.539
PER2	0.899333333333333
ASPHD1	-1.791
PRMT6	-0.1095
KCNE1L	-0.509214285714286
FAM118A	-1.63233333333333
TAF4	-0.10125
NDUFB6	-0.03325
TRIM9	-1.15566666666667
PMFBP1	-0.1245
KY	3.0495
DKFZp762E1312	-2.76845454545455
CSMD1	-1.34925
TBP	-0.173833333333333
OR1Q1	0.48175
RETNLB	0.142
HPGD	1.01238461538462
DNAJC12	1.18783333333333
FKBP1B	-1.171
ANKRD24	-0.432833333333333
CXXC5	0.602666666666667
IL3	0.305285714285714
DRAM	0.7139
PTCH1	-1.07375
TP53BP1	0.03275
SLC17A7	0.150142857142857
COL25A1	-1.386875
AMACR	0.473666666666667
RHCG	-0.11325
VPS13A	-0.907916666666667
FAM55D	0.903
PRPF38B	-0.608833333333333
OSBPL6	1.57725
PFDN5	-0.0329
CMTM6	0.732125
KCNK12	-1.96
RP2	0.51925
C16orf52	-0.69325
PICK1	-1.3965
IFNE1	0.0118
SEMA4B	-0.19925
TYRO3	-2.55575
OR12D2	0.6555
CSNK1A1	0.4676
FANCF	1.6685
LONP2	0.838875
TBL1Y	-0.24375
LDOC1L	-0.0545
CCNC	0.02675
C3orf60	-0.16875
CHKA	-1.63625
UBAP1	-0.361
MAP3K1	1.802
ANKRD9	-0.97375
FAM92A1	-1.421
GAB2	-0.047375
AZU1	-0.492
DIS3	-0.110416666666667
C21orf109	-0.376666666666667
IQCB1	-0.94925
SPATS2	-1.21866666666667
EFCAB3	-0.27725
PRB3	0.306125
FUZ	0.158166666666667
ZNF813	0.615875
BMPER	-1.46833333333333
HEG1	-0.399625
ALS2CR11	-1.51333333333333
SURF2	-0.164
PSMC1	-0.23075
OR2D2	0.065
SLC7A8	2.68
C4orf40	0.7255
SPATA7	0.6745
MAZ	-0.751666666666667
PIN4	1.02275
PDE1A	-0.652125
TAF6L	-0.206166666666667
OR2T34	0.6495
KIAA0284	0.40775
ACADS	-0.0798181818181818
MKRN2	-1.3605
C18orf56	-1.8585
MS4A6E	0.771166666666667
GALNT4	0.0896666666666667
C22orf31	1.757
FLJ36070	0.243
PSME4	-0.302
TFG	-0.4637
EPHX2	2.441625
ANXA5	0.16425
KRTAP1-1	-0.6251
BATF	2.16075
KARS	-2.47725
MSTP9	-1.6625
GPR26	-0.254714285714286
CCDC72	0.33275
TEF	0.0493333333333333
FOXK1	-0.575
PRLHR	-0.2705
EMX1	3.715
C11orf30	-0.78525
ICK	0.456625
THSD7B	0.0322499999999999
C21orf100	-0.448
DUOX1	1.981
EFCAB4B	0.417
UBE2G2	-1.62666666666667
C3orf54	0.41675
PARP1	-0.335
FAM60A	-1.721
C6orf146	1.26333333333333
OR9K2	0.163
DDX55	-1.68883333333333
RPS15	0.906
ZNF618	0.5855
DKFZp686D0972	0.02
SSPO	0.5515
SHFM3P1	-0.339666666666667
CPA6	-0.3585
JAG2	0.48325
DEFA3	1.0225
PPBPL2	0.6642
