Hybridization REF	TCGA-A2-A0YE-01A-11R-A109-07
CSGlcA-T	1.449125
GABRB3	-1.48075
PCBD1	-0.238333333333333
TAF3	0.299916666666667
HOXD3	-0.841333333333333
GIPC3	-0.306333333333333
P11	-0.1769
BFSP1	-0.61075
LCP2	-0.396
TAS2R8	-0.1645
SEZ6L	-0.999625
NR2C1	-1.234375
EXDL2	0.0447
TNFRSF13B	-2.276
MKI67	-1.4495
GLS	0.07625
C7orf54	-0.4056
LGALS13	0.327333333333333
IL4R	0.3265
SEC11A	1.00816666666667
SPP2	0.302333333333333
C18orf32	0.8025
CLSPN	-0.900833333333333
SPAG1	0.241125
C9orf82	-1.131
TM4SF1	0.757916666666667
EMILIN2	0.37925
SMG7	-0.156
TAS2R13	0.1595
ZNF628	0.143
DZIP1L	-0.754833333333333
ANKRD13A	-0.8699
VASP	0.39325
ZCCHC11	-1.0075
SYPL1	-0.389625
MGC34774	0.25425
C4orf28	0.056375
KIAA1211	1.82991666666667
RPS27L	-1.03425
TATDN3	-0.8555
PDCD1	-0.09525
OR5P2	0.312
IFIT1L	0.104
MIPOL1	-2.2075
OR51D1	0.2105
C1orf92	-0.420333333333333
LAMP2	1.82761111111111
CAT	0.381833333333333
C16orf80	-0.2605
C15orf32	0.151
ZNF746	-0.33625
C1orf76	-1.6415
ATXN1	-0.1605
LAMC2	1.183375
SLC2A7	-0.31
CPOX	-2.05975
APH1B	1.07866666666667
LOC442245	-0.065
CTNND1	1.83366666666667
GABRG2	-0.61425
MADCAM1	-0.0621666666666667
F5	-2.432625
SEMA4F	1.5495
NUDCD3	-0.79725
PDZD11	0.816
TRIML1	0.473
GCNT3	-2.53233333333333
TMEM120A	0.7585
CNDP1	-0.193
N4BP1	0.202125
SLC35F2	-0.7535
LCP1	-1.468
IGBP1	-0.1932
DCAKD	0.032
ELA2A	-0.53
C12orf56	-0.385125
PITRM1	-0.598428571428571
GUK1	0.5605
RASSF8	-0.4164375
OR2A14	-0.02075
ADM	-1.32911111111111
FGD3	-0.023
GHRHR	-0.032
RHPN2	-0.79275
C4orf39	1.47216666666667
VPS72	0.1275
SERF2	0.415666666666667
CD22	-0.186333333333333
CD47	-0.3388
PPIC	1.3925
IMPDH1	-0.187666666666667
ACP6	-0.8195
PRKACA	0.760625
PPP1R1A	-0.5595
TRPV3	0.2215
ASXL1	-0.111875
C17orf55	-0.2445
FXYD1	-0.717166666666667
LMOD2	-0.0335
ANKRD33	0.481
LCE2C	-0.065375
ZNF620	-1.061
DKFZP566E164	-0.1285
VSIG2	0.48325
KIAA1128	0.88175
USO1	0.425166666666667
NUDT4	-0.987714285714286
CLDN1	0.614285714285714
OR4Q3	0.301
FASTK	-0.129166666666667
ICOS	1.22783333333333
LDB1	0.46625
GSTA5	0.76825
ABCC1	0.0698333333333333
FAM54A	0.36175
PCBP2	-0.717333333333333
NUP205	-0.98575
ACTA1	0.549
GABBR2	-0.07875
PIP5K1B	-1.596
AGXT	-1.57516666666667
RNF181	0.1305
ATP8A2	-1.64375
AFTPH	1.0265
FGF21	0.22575
FCER1G	1.69475
SNTB1	0.5615
SLC24A3	1.654875
TXNL4B	-0.8511
RPL10L	-0.262166666666667
LOC389517	-0.76685
TSGA13	0.0955
SHOX2	-1.52633333333333
ITGA7	-0.8926
KCNIP2	-0.584833333333333
KLF13	1.1074
ZFAND2A	0.44025
CEACAM1	2.23528571428571
PFKFB4	-2.12566666666667
MED19	0.73
LRRC57	0.498
RNF11	0.4165
ANKRD32	-2.6725
P117	0.5985
OBFC2A	0.200333333333333
POLD3	0.486083333333333
RAB18	1.117875
TPH2	-0.0178333333333334
PHB	-0.4472
JDP2	1.70716666666667
MORF4L1	-0.7422
POU2F1	-0.3735
CNNM2	-0.905916666666667
LOXHD1	-0.0195
ZC3H15	1.034
ELK3	0.0186666666666667
FAM111B	0.551
CBLC	0.875833333333333
SBNO1	-0.503
ANKMY2	-0.34625
PLEKHA5	-0.11
DHX58	0.736666666666667
ARCN1	-0.1085
TREML1	0.2903
KNCN	0.1625
SEC24A	0.000500000000000014
PSCA	-0.339
MGC24125	0.274
DNA2L	-1.00575
CIB4	0.656125
HIGD2A	-0.645
TBX6	0.127333333333333
TTLL5	0.0293333333333333
SGK3	-0.2625
GCN1L1	-0.47425
AMOT	1.5615
LDOC1	1.53616666666667
NRK	0.106166666666667
ASB9	-1.41425
NAT1	-0.022
TRAFD1	-0.14175
PEAR1	0.297
FAM36A	0.354875
OR1S2	0.659333333333333
LOC388323	-2.08875
PGS1	0.0525
LEPREL1	-1.55125
TFF1	-4.78316666666667
HAP1	0.3355
EPHB2	2.24975
ACTG1	0.320833333333333
ZFP42	-0.400833333333333
HAVCR2	-0.2435
NME1	-0.609
SNX26	0.259083333333333
LACTB	-0.843
ZKSCAN2	0.098625
C5orf35	-1.139
ANKS3	-0.50725
RBM28	-0.77375
DKFZP586P0123	0.265
HNRNPA1	-0.227333333333333
BCAS3	-1.29925
FLJ20184	0.3325
POLA2	-0.354833333333333
TMC7	-1.20716666666667
HSD17B6	1.498
ZNF658B	-0.0555
TTTY10	-0.251833333333333
RANBP9	-0.324
CPNE7	-2.88616666666667
EVL	0.0439411764705882
LNX1	0.366333333333333
IFNA21	0.0283333333333333
CFD	-0.87275
PYCARD	2.06266666666667
MYBPC2	-1.681
ENPP3	-2.73483333333333
ACSL4	-1.20975
LOC440258	-0.389666666666667
TMEM176B	3.423
SOX2	-4.619125
SCO1	-0.0603333333333333
COMT	-0.1265
AOC2	-0.3765
PDLIM5	0.394
SPHK2	0.0611666666666667
NXPH2	-0.348
GPR108	0.0953333333333333
RAD51L1	-0.968166666666667
TMEM54	1.29025
LETMD1	-1.208
SLC6A17	0.2015
KRT75	1.585
STT3B	-1.41
CD3EAP	-0.743
TMEM63A	0.20325
DUSP13	-2.624
CD1C	-2.181
LASS2	-0.454666666666667
AVP	1.4425
PITPNM1	-0.1025
FLJ22795	0.494
MCTP1	-2.487
TRIM68	0.0345
UCK2	-0.357833333333333
ABHD1	0.50775
FAM50A	0.117
RNASEH1	-0.245666666666667
PCP2	-0.575833333333333
OR52H1	0.6465
C20orf149	1.018
RBP5	-1.06466666666667
HYAL3	1.48625
CLPB	-0.92625
SMNDC1	-0.152
DONSON	0.311
FLJ27523	0.25675
BARHL2	-0.165333333333333
SLC30A9	0.7315
TMPRSS11B	0.3415
E2F8	-0.2175
CCDC25	0.00275
C14orf48	0.295666666666667
C20orf116	-0.554625
TSPAN11	0.4525
YIF1B	-0.3335
FAM12B	0.3155
OR1L6	0.802
HPN	1.1827
NBN	0.05025
C14orf94	-1.441
OCLM	-0.301
ZSCAN18	1.1648
L3MBTL	-2.5695
TSTA3	0.890333333333333
RAC1	0.842
C19orf15	-0.280833333333333
NFE2	-5.30925
KLK14	0.7845
ARSF	0.2505
MAST2	0.0493333333333333
AMICA1	0.882
GTF2A1	0.639375
ATP1A3	0.199
TC2N	4.8039
PNKP	-0.06825
ODZ2	-1.76725
MATR3	0.3385
S100P	-0.56525
KRT82	0.2215
CA13	0.8836
PROZ	-1.38233333333333
AASDH	1.26375
C19orf40	0.517
DCK	-0.567846153846154
FAM5C	-1.0395
SLC6A4	0.061
MID1IP1	-1.204125
TESSP5	1.026
TMOD4	-0.430166666666667
DOCK2	-1.82383333333333
TUG1	0.339875
NUP214	-1.3495
DPYSL2	-1.48586363636364
GOLM1	0.627666666666667
MPFL	0.51425
SOX13	0.02825
SDCCAG8	1.1575
KEL	-2.42066666666667
NUP210L	-0.413
GK	-0.734625
DNAJB1	0.8305
ALPK3	0.244
CHID1	0.9374
CYLC2	-0.0783333333333333
IKZF5	-1.0115
C8orf51	1.543
PPM1J	0.5545
GIMAP8	1.94033333333333
GPR101	-0.2935
NR2F1	-0.966
ACAD8	-0.69825
RBM35A	1.733
GNAI2	0.207333333333333
METTL8	0.565166666666667
SLC39A7	0.13775
FBXO8	-0.19425
CAMK1	-0.09875
RFC3	-1.296375
FAM129A	-0.919785714285714
ILF2	0.5495
FGFBP3	-0.63825
NOM1	-1.17033333333333
PSMA3	-0.7975
ASCC3	0.4978
ZYG11A	-2.31175
SOX21	-1.372875
LYRM1	0.26625
DEFB1	3.0435
LOC91431	-2.6475
OR7C2	1.65
FAM46B	-0.420125
TMEM18	-0.822625
ARHGAP30	0.499666666666667
TMEM86A	2.52466666666667
EPHA2	-0.986
C10orf46	0.0479
TCHH	-1.1225
C3orf30	0.119333333333333
LOC285636	0.604166666666667
PAIP2	-0.98175
CYP2U1	-0.047125
C12orf34	-0.16275
SARS2	-0.620166666666667
ZCWPW1	0.095
SAMD12	0.37475
KIAA1430	-0.399
ACAT1	-2.99925
MEOX1	2.029
ADAMDEC1	4.228
PHKA2	0.509
CARD11	-2.14283333333333
CALML4	-1.3405
TSSC1	-0.098
TMEM45A	1.05577777777778
MPP7	0.419375
POU1F1	-0.56825
SLC2A13	-0.1421
FBN2	-0.120571428571429
ZC3H7A	-0.1936
LAIR2	-0.47775
ST3GAL1	1.08616666666667
LCT	-1.3685
GEMIN8	-0.125666666666667
KLF16	0.4302
HIF3A	1.4924
FAM44A	0.0469285714285714
AQP10	-1.1704
PLA2G2A	-0.2285
FOLH1	2.57416666666667
C20orf186	-0.108
MAPKAP1	-0.885125
SPRR2D	-1.31375
UBQLN4	-0.0368333333333333
RSHL1	0.380333333333333
PIAS3	0.085125
MRPL24	-0.05425
GREB1	-4.1865
FAM27E3	-2.691
NUP62CL	-0.917
NEUROG3	1.4055
REEP3	0.567416666666667
MARK1	0.24825
LMBRD1	1.49475
PRPF19	-0.616
PNMT	-1.49133333333333
CTGLF1	-2.167
SLC25A16	-0.0825
EIF2B3	-0.844
RPA2	-0.60525
PAK6	1.769
CCDC26	-3.9745
SEMA3E	1.693625
MXD4	0.9223
TNFSF10	2.3586
SMARCB1	-0.0025
DTX3L	1.13383333333333
PLA2G4E	0.246
PPAP2A	0.348
ULK1	-0.648666666666667
TAS1R3	1.5405
SLC2A3	-2.91490909090909
ARID3A	-2.15725
GNG5	-0.12725
ACOX1	1.2281
KIF5B	0.32475
NUP153	-0.56075
MUC7	0.439
CSDE1	-0.411285714285714
CLPTM1	-0.06225
C3orf23	-0.061375
LRRC17	-3.14
TTYH3	1.038875
ATP5B	-1.034
ELF3	2.1267
CPSF3L	-0.512
ZNF665	0.536666666666667
TLR6	1.3795
GPI	-1.0515
RAD9A	-0.28425
NDST4	-3.6335
AGPAT3	0.65575
MAGI3	1.17583333333333
ADORA2A	-0.885125
CACNG7	-0.4425
CAMK2D	0.545714285714286
CCHCR1	-0.7635
RPS27A	0.0635
OR10G7	0.403333333333333
GCM2	0.3175
FAM135B	0.1412
E2F1	-0.874
PLCB3	0.3235
OR2AE1	0.4715
COIL	-0.927166666666667
CDC25C	-0.6365
RAB11FIP2	-0.522083333333333
TSC2	0.77075
CTGLF5	-2.95
CCDC108	0.0843
OR13C4	0.26925
C10orf81	2.965
PTPRB	0.65125
ACP2	1.29675
LAG3	0.48225
MRPL54	-1.421
LOC201175	1.436
ITGB1BP3	-1.59775
SPTAN1	0.148333333333333
SIPA1L2	-0.6965
RCAN2	1.7005
CDX2	-0.737
ECOP	0.05975
ACTR1A	0.0985
PPARG	-2.927
BBS10	0.477666666666667
TMEM44	-1.36375
BPIL2	-0.5185
CITED1	2.5105
IRF6	3.90475
PRDM4	-0.408666666666667
RRP9	-0.870666666666667
OR10H4	0.22575
IL31RA	-0.60975
GNB1L	-0.195166666666667
MYBL2	0.241875
ZNF407	-0.0948333333333333
PPIG	0.45
TTC18	1.59425
RPSA	-0.775
MAPT	-0.737
MRE11A	-0.293285714285714
C8orf37	-0.278166666666667
RASGEF1C	0.407833333333333
STBD1	-1.11325
CTAG2	-0.508666666666667
MGAT5B	-2.59166666666667
ECM1	-0.357875
RLN1	-0.099
PARP14	0.8725625
EPB41L1	1.9488
HOXA3	1.40425
MAGEA9	-3.893
RPS8	-0.862833333333333
RPS19BP1	-0.494
FOXJ2	0.68275
C10orf76	-0.1205
IL17RE	0.50675
C10orf65	-0.172
ZNF343	-0.7865
FBXO33	0.0645
UHMK1	-0.3155
LY6G6C	0.06875
FGF19	-2.23275
C14orf128	0.0571666666666667
IFIT2	2.302875
TIGD1	0.82325
S100G	1.1745
GUCY1B3	3.3115
NR3C1	-0.7184
CORO1B	0.027
PARP11	-0.673333333333333
DNALI1	-0.0458333333333333
OR4N4	0.496625
MAP2K6	-0.708666666666667
FSTL4	-0.599
ANKRD47	0.8165
TMEM171	-0.8215
PNLIP	0.1445
YY1	0.57
CCDC138	-0.244166666666667
AASDHPPT	-0.8559
CKS1B	0.1979
MCM3	-0.3445
ANAPC7	-0.803833333333333
FAM110A	0.7695
CDC37L1	0.272666666666667
THTPA	0.08025
NBPF20	-1.3515
WDR24	0.3685
NPTX2	-4.3725
CBLB	0.00383333333333333
CETN1	0.336833333333333
RPUSD1	0.19675
FAF1	-0.295
CDK6	-0.9948
HMX2	0.4165
CSK	-1.053
TEAD2	1.343
SNAP25	-1.2605
TUFT1	0.4783
TMTC3	0.258666666666667
LCK	-2.58125
SGOL1	-0.603666666666667
AKTIP	0.79075
FURIN	1.507
SOX12	-1.6985
DEFB103A	-0.20475
RAMP1	0.197
KIR3DX1	0.393
GAS2L3	-0.26075
PDE8A	-1.2469
EDN3	6.44125
GMIP	1.401
SF3A2	1.0775
FN3KRP	1.6845
SMAD7	0.21925
RHBDD2	0.68975
OR11H6	0.346
PPP1R3B	1.7262
C9orf23	-0.757
CADPS	-1.78675
GOLGA8A	-3.325
TMEM57	0.197
RGL3	-1.8395
S100A14	1.52375
FGFR2	1.168375
XRCC3	-0.2825
RTN4RL2	0.85225
MGC3771	0.045
GH2	0.219333333333333
BTBD2	-0.532
LMO2	-0.829
RDBP	0.065625
ACRBP	-1.00175
AMY2A	5.0635
DUOXA1	0.7855
PTK7	1.70233333333333
TWF2	0.592166666666667
FAM80A	-1.80775
TNNI2	-3.209
GLT25D1	0.5075
OCC-1	-2.351
CYC1	-1.00183333333333
RPL22	-0.358636363636364
MORN3	1.318
DISP1	-0.49675
PRB2	0.0455
CHUK	-0.78575
HR	0.581625
CCDC134	0.168375
DENND4B	-0.6705
C14orf130	0.42025
RAB33A	-1.766
DCST2	0.1275
TNMD	-1.6555
PEX7	1.00675
FAM62A	0.0746250000000001
SRD5A2L	2.069
IL22	-0.14325
RPS26	-0.405333333333333
HOXC5	-0.3815
SPATA6	0.11875
FLJ38482	-0.445625
ZNF234	-0.164
C18orf22	-0.63475
SPATA22	0.593
THOC1	-1.594
CYP7B1	3.409
KCNC3	0.66775
C8orf42	0.6185
ALDH1B1	-0.361333333333333
CCDC100	-0.8809
ARMC4	-2.79425
FAM18B2	0.23925
SLC44A1	-0.2155
FBXO17	-0.115166666666667
C6orf107	0.70575
C19orf29	-1.07925
ZC3HAV1L	0.19875
PARP6	0.1848
SULT2A1	-4.319875
C1orf159	-0.79475
TMC1	-0.20525
CHST14	1.123875
GAMT	-3.12866666666667
SMCP	0.2635
TSPAN33	2.2075
MIDN	-0.725875
NOX4	1.845
RNASEN	0.4222
TBX1	0.9985
SALL2	-0.2325
C10orf35	1.13575
CYP2E1	-0.42525
LRFN2	-0.764166666666667
ACO1	-1.0185
IQCG	1.9946
MEGF9	1.25325
TM7SF4	0.77525
PLEKHA1	1.0242
STK33	-0.02525
C1orf210	2.6645
SNUPN	-0.0295
KIAA0406	-0.2806
C20orf29	-0.6385
TMEM55B	-0.635
OSTM1	-1.357625
CLCN7	0.4505
OTP	0.11525
FLJ23049	-0.2625
HEATR4	-0.185
MAP3K10	1.0105
PCDHGA9	0.3405
AMDHD2	-0.39825
LCTL	0.137
PDCD2L	-0.79525
CABLES2	1.0915
SLC5A9	-0.66825
CLCA2	-2.34116666666667
MGC16025	0.6665
STRAP	-0.315333333333333
C20orf196	-0.173
RRBP1	0.8005
NAT13	-0.8675
MAT2B	-0.89625
CSNK1D	0.779666666666667
KIR3DL1	0.478
PRKAG3	-0.0315
ZNF599	-0.4245
PRM3	1.157
PER2	0.570333333333333
ASPHD1	-1.351
PRMT6	-0.29925
KCNE1L	1.36214285714286
FAM118A	-1.56
TAF4	0.53325
NDUFB6	-0.5205
TRIM9	-1.69541666666667
PMFBP1	-0.50725
KY	0.5865
DKFZp762E1312	-0.769636363636364
CSMD1	-0.75875
TBP	0.0901666666666667
OR1Q1	0.366
RETNLB	0.281
HPGD	-0.4035
DNAJC12	-3.1695
FKBP1B	0.252
ANKRD24	-0.647666666666667
CXXC5	0.329833333333333
IL3	-0.013
DRAM	0.5932
PTCH1	-1.166875
TP53BP1	0.1515
SLC17A7	0.353875
COL25A1	-0.2209
AMACR	0.885666666666667
RHCG	4.0935
VPS13A	-1.32633333333333
FAM55D	0.3905
PRPF38B	-1.07166666666667
OSBPL6	-0.55925
PFDN5	-0.1531
CMTM6	0.933625
KCNK12	0.30625
RP2	-0.000750000000000001
C16orf52	-0.58875
PICK1	-0.2735
IFNE1	-1.09116666666667
SEMA4B	-0.058
TYRO3	-0.8925
OR12D2	0.1155
CSNK1A1	-0.96275
FANCF	1.895
LONP2	0.128625
TBL1Y	-2.40425
LDOC1L	0.306875
CCNC	0.74975
C3orf60	0.28525
CHKA	0.54575
UBAP1	-0.35575
MAP3K1	-0.996
ANKRD9	0.535
FAM92A1	-0.6755
GAB2	0.887
AZU1	-0.10475
DIS3	-0.494333333333333
C21orf109	-0.75275
IQCB1	-1.047
SPATS2	0.289833333333333
EFCAB3	-0.47
PRB3	0.5615
FUZ	0.152166666666667
ZNF813	0.148625
BMPER	-0.8685
HEG1	-0.5555
ALS2CR11	-1.32025
SURF2	-0.839
PSMC1	0.595166666666667
OR2D2	0.0955
SLC7A8	-0.997833333333333
C4orf40	0.5255
SPATA7	0.74425
MAZ	-0.231583333333333
PIN4	1.29275
PDE1A	-0.85875
TAF6L	0.425
OR2T34	0.607
KIAA0284	1.07875
ACADS	-0.0324545454545455
MKRN2	-0.701
C18orf56	-1.168
MS4A6E	0.299666666666667
GALNT4	-0.1429
C22orf31	1.1775
FLJ36070	0.2725
PSME4	1.3085
TFG	0.0469
EPHX2	-0.4665
ANXA5	0.439375
KRTAP1-1	3.154
BATF	0.11125
KARS	-1.37075
MSTP9	-1.125
GPR26	-0.16125
CCDC72	1.0125
TEF	1.1185
FOXK1	-0.5661
PRLHR	-0.1385
EMX1	0.53375
C11orf30	0.845
ICK	0.00875000000000001
THSD7B	0.0205
C21orf100	-1.5605
DUOX1	1.9465
EFCAB4B	0.11875
UBE2G2	-0.362333333333333
C3orf54	-0.27325
PARP1	-0.489
FAM60A	-0.415333333333333
C6orf146	-0.16875
OR9K2	0.011
DDX55	-1.3215
RPS15	-1.22216666666667
ZNF618	1.274125
DKFZp686D0972	0.3075
SSPO	-1.0605
SHFM3P1	-0.128
CPA6	-1.032
JAG2	0.5745
DEFA3	0.58425
PPBPL2	0.0208333333333333
CD34	3.489125
SLCO4A1	-2.62875
AFG3L1	-1.85883333333333
SHD	-0.54075
RP13-122B23.3	-0.892833333333333
PRKCSH	-0.131666666666667
DPH5	-0.774833333333333
HLA-F	2.104375
TBC1D4	-0.599
RIG	0.0953333333333333
GLUD1	-1.59083333333333
HNRPCL1	0.15025
HBXIP	0.48125
RNF207	-1.714
APIP	0.5445
PLA2G3	-2.83166666666667
CCDC84	-1.60325
MYLIP	-1.27130769230769
PHIP	0.6715
AARS2	-0.238
DHX32	-0.32875
SCAPER	-0.787
MEN1	0.287375
NIP7	-1.29425
FLJ25404	0.7415
FASTKD3	0.08925
TMEM158	-0.876416666666667
RARA	0.299
BDH1	-1.1825
ANKRD16	0.341
CARM1	1.2985
SS18	-0.2265
IKZF2	0.0125833333333333
MYD88	0.736875
PML	0.94095
TAF1A	-0.7295
CBFB	-0.547375
HIST1H3H	-0.318166666666667
C7orf29	-2.222
COMMD4	-0.555333333333333
DPP3	0.08425
DAB2	0.814875
LOC388882	0.2335
YPEL4	-0.163875
AGBL3	1.2315
LRP6	0.8465
SERPINH1	1.962
TLE1	-0.60575
CD244	-0.00566666666666666
ZDHHC15	0.23925
MGLL	-1.5971
PLDN	-0.427666666666667
LOC654346	1.1145
FAP	2.1855
GPR37	1.27316666666667
SCARA5	-1.07216666666667
EBF4	2.22945454545455
LSM6	-0.23375
MLLT1	-0.136625
SLC5A12	-0.08825
A2BP1	-1.73416666666667
COPS5	-0.367
TPM4	0.607
TNFSF4	0.540333333333333
ACADSB	-1.66477777777778
HERPUD1	-0.1705
BCL2L11	0.155777777777778
CEP78	-1.57525
CDCA3	0.009375
WBSCR19	-0.1482
MYO1A	-2.801
PPEF1	0.286333333333333
LOC440348	-0.6025
CPEB2	0.1155
BPTF	0.527
RPL21	-0.5374375
GSX2	0.1895
ADPRH	0.975166666666667
C17orf68	0.3075
KCNS1	2.65633333333333
MLLT6	-0.1785
PIWIL4	-1.05175
RNF26	-0.28675
RAP1B	0.1
ADAMTS1	-1.6257
ZNF571	0.48925
P2RY6	1.504
TRIM21	0.9065
CADM3	0.41825
NLRC5	0.1375
ADRA2B	0.218333333333333
LOC90835	-0.28525
PCF11	-1.17175
LOC400451	1.531
GLTSCR1	0.7146
C17orf88	-1.01266666666667
CDH16	-1.162
FGF7	1.246
PCSK4	-1.98133333333333
NPC1L1	-1.67916666666667
TAT	0.020125
TBCA	-0.40775
MGC33407	-0.02725
GPR115	-0.90875
CYGB	-0.708
FNBP4	-0.690833333333333
C12orf43	-0.216
CBL	-0.4701
CLECL1	-0.11575
PPAPDC1A	1.81625
WDR25	0.352166666666667
SGCA	0.329
C22orf29	-0.7476
YIPF1	0.208
GALK2	-0.51875
RAB3B	-2.4465
LOC440087	0.3595
UCP1	-0.256
REEP5	0.06525
FADD	-0.0584
FOXA1	-4.06475
CACNA1A	0.480666666666667
ABI1	0.239833333333333
GRIN2D	1.3085
SLC1A4	-0.844833333333333
LOC401127	-0.84625
HINT2	-0.401
PLD4	-1.09966666666667
ZNF286A	1.14725
ENY2	-0.3715
IL1F6	0.509
PXDNL	2.71275
C20orf79	0.28025
TNFSF13B	2.59633333333333
DENND3	-0.485375
JARID1D	-3.36875
HIST1H2AK	0.770125
LOC93349	0.0273
SSH1	-0.9443
ENSA	-0.563
LOC219854	-0.624166666666667
CKAP2	-0.439
DKFZP564J102	0.785666666666667
MGC87315	-0.219166666666667
HNRPAB	-0.5885
AMH	-2.371
ZNF526	0.908
BRUNOL5	0.277
CACNG3	0.0298333333333334
TRPM1	-2.6005
PPP2R1A	0.67225
COL2A1	-0.0745
DDN	-0.468166666666667
FLJ25770	0.524
HK2	-0.107642857142857
ELOVL6	-0.694375
MDK	2.21825
EPHX1	0.146
RASSF2	0.528625
DKFZP434B0335	-0.29275
DLX3	-0.115375
PRTN3	-0.73025
AVPR1A	0.52025
C21orf125	2.0475
TNFAIP8	-0.8775
GNB2L1	-0.91875
CALCRL	6.11675
SCGB2A2	2.29183333333333
UBXD7	0.40075
ZNF674	-0.18
TMEM35	3.426625
BRSK2	-0.121875
HECTD3	-0.272166666666667
TMEM188	-0.878833333333333
LGALS9	1.335875
SCARB2	0.861
USP34	1.01516666666667
C17orf28	0.349916666666667
ZDHHC23	-0.95
AQP12B	0.7285
SLC16A3	-1.6285
APLP2	-0.12275
ITIH2	-5.67575
MICAL3	-0.787875
TNNI3K	0.3398
HDAC2	1.53925
PRR7	0.2791
THBS2	-0.287
LOC751071	-0.596666666666667
CA2	-0.466833333333333
RANBP17	1.33375
RLN3	0.23875
CRYZ	-0.535333333333333
GBAS	1.30816666666667
TAS1R1	-0.1325
MPZL3	0.55
PCDH8	-0.515
HSP90B1	-0.325666666666667
KCNK15	-0.083
TNIP2	-0.263
GPR146	-0.3225
NOL6	-0.527125
SPC25	-1.79422222222222
STEAP2	0.919214285714286
VAMP3	-0.144166666666667
TCIRG1	0.44675
ZP4	0.278166666666667
PARL	0.538625
TRIM39	0.9535
KIAA1305	2.33725
CRNN	0.0973333333333333
GRN	0.4025
HSH2D	-0.023
SCAMP1	0.1723125
KIAA1913	3.8265
PTS	-0.12775
BANP	0.162285714285714
PRKACG	-0.071
ADCY6	-0.0733333333333333
C16orf46	-1.004
CYP51A1	-0.453375
DDC	-4.042
ANPEP	1.21816666666667
PROM1	5.35433333333333
SIGLEC10	0.92375
COPG	0.461
FAM26E	0.64325
TRIP4	-0.1425
SNX3	0.962333333333333
C1orf175	0.529166666666667
PPY2	0.19325
C14orf152	0.21675
FTSJ1	-0.400333333333333
DST	-0.26865
LOC554235	0.08
GLRX5	0.49675
C20orf12	0.1348
CAB39	-0.0548333333333333
MSH2	-0.3765
PIP4K2C	0.910375
CYLD	1.055625
WTAP	0.7978125
MGAT4A	2.01077777777778
TSC22D4	-0.9613
CHRM2	1.2185
PPYR1	0.192166666666667
CCNH	-1.39633333333333
RRM1	0.13225
ECAT8	-3.06825
LOC400120	0.03775
GABRA4	-0.059
C14orf4	0.460666666666667
C1orf59	-0.04225
CTDSPL	0.268166666666667
NHEDC2	-2.01
PDE11A	-0.8149375
KLHL29	0.97175
CD5	-1.3255
TSPAN9	1.9081875
WDR67	-1.046
THUMPD1	0.6287
C18orf17	-0.21225
CLYBL	-1.05633333333333
FLJ13231	0.61275
CMBL	-2.709
LECT2	-0.4335
NKAPL	0.968666666666667
LOC654780	1.0925
OR4C6	0.1535
RAB30	-1.024
TSSK4	-0.195
TMEM163	0.227
OSBPL11	-0.51375
GNB5	0.112166666666667
CCL21	0.31175
C1orf121	0.427833333333333
FMO2	4.168
RPTN	0.0145
MSTN	0.884
VCL	-1.10521428571429
FYTTD1	0.4025
C11orf1	-0.26975
CCDC88C	0.4325625
HFE	0.302888888888889
MOGAT1	-0.1155
FAM125B	-0.479166666666667
IRGQ	0.5175
RAVER2	0.669
AKAP5	-0.492
SSSCA1	-0.07325
C11orf63	-0.22825
ACTG2	-0.2877
PORCN	-1.436
DTL	-1.40109090909091
TMEM151	0.4795
FAM122C	0.88225
RSAD2	3.5034
BAT4	-0.626
KRTDAP	-1.41033333333333
MYH8	-0.13025
CRTC3	1.02125
LRRFIP2	-0.0412
INTS4	0.935
TTN	-1.30366666666667
SLC26A5	0.3835
PLLP	-1.79425
RGS6	0.549
SRGAP3	0.836625
ZNF525	0.466333333333333
NBR2	-0.048
C13orf1	-0.6613
ZNF137	0.1565
CEP27	-0.94275
BEST2	0.3485
RNF121	0.65
DMRTC2	0.40975
C8orf76	-0.438
BCCIP	-0.883375
MEST	0.07975
HTRA2	0.3875
ANGPTL2	0.5955
ILKAP	-0.0373333333333333
ERAS	-0.128
HBS1L	-0.5905
CPA5	0.2755
TMEM30A	1.94816666666667
CD300LF	1.1345
WISP3	0.4635
CRK	0.423857142857143
PDS5A	0.3992
BRPF3	1.00366666666667
NEDD9	-0.983625
SMPDL3B	2.3055
PSG6	-1.28375
PSMD13	0.78775
ETV5	-2.056375
OR51A4	0.539
BTBD7	0.4835
GSTO1	-1.532
hCG_16001	0.7585
MAD2L1BP	0.0566666666666667
COX6A2	1.4775
SCNN1A	0.564833333333333
LSM1	0.480166666666667
UGT2B11	-3.19775
IDUA	-0.11025
PPP2R3C	-1.31666666666667
COX11	-0.402333333333333
PDZK1	-4.48275
ZNF443	0.0986666666666667
MGC21874	0.4105
ZNF323	1.2656
KRTAP10-10	0.1475
CXCL6	0.24725
SLC34A2	3.4155
LOC284402	0.309
NPTN	0.643583333333333
UPP1	-1.88608333333333
SLC6A9	0.1825
OR7G3	-0.1435
CISD1	-1.35833333333333
ZNF545	-0.0301666666666667
SYT14	-0.5695
NT5C3L	0.319666666666667
ZNHIT3	-0.372833333333333
SNRPD3	-0.527
KIAA0701	-0.342875
UNC93B1	0.308333333333333
GMNN	-0.78025
SPCS2	1.2275
