Hybridization REF	TCGA-BH-A0BJ-11A-23R-A089-07
ZNF510	0.556666666666667
CYP2D6	-0.7775
SLC26A10	-0.7435
STX8	0.23875
LUZP1	0.406375
WDR89	0.1205
EIF4G3	-0.6254
C5AR1	0.133375
ZNF623	0.381
A2M	2.02375
TGM7	-0.1885
GRPEL1	-0.584666666666667
LMNB2	-1.8711
ROCK2	0.431166666666667
SNX16	0.576625
CCDC66	0.436
ANXA3	2.277
KIAA1609	-0.027125
EED	-0.3265
RNF32	0.1375
HES1	1.8792
CLC	-0.2855
ISL1	1.21716666666667
KIAA0528	-0.0395
MANEA	0.7945
C1orf61	0.4295
hCG_2001000	0.6235
RAPGEF6	0.0509
KIAA0020	0.168666666666667
NEIL1	1.40075
C16orf45	-0.169875
RBM10	-0.653333333333333
C10orf125	-0.9415
MRS2L	-1.1105
DNAH17	-1.16075
C19orf10	-1.241
C1orf160	0.14525
SLFN12	1.21075
EXOC3	-0.117166666666667
HIST3H3	-0.01825
NCOR2	0.475166666666667
TNFRSF9	-1.22275
MFSD8	0.45175
ALX1	-3.334
NOL1	-1.4675
PODN	2.43025
TIAL1	-0.91525
HIST1H1E	-1.9535
NPY6R	0.0975
TM4SF4	0.75575
CORO2A	-0.368
ETNK2	0.443166666666667
APOE	0.3794
ANGPT4	-0.243
HDGF2	-0.54175
G30	null
ST8SIA4	-0.77
F2RL1	1.171375
FAM19A4	-2.629
CCAR1	-0.914
B3GNT7	-0.039
OPHN1	-0.4771
DSCR6	-0.8585
C21orf13	1.222
GAS2L1	0.684333333333333
RFX3	0.134833333333333
COPS4	0.364375
BCHE	-1.09816666666667
BCL2	2.496875
HBZ	-3.09966666666667
ARL13B	0.2075
MAPBPIP	-0.00625
MYO15B	0.098375
SPZ1	-0.82325
KIAA1324	3.33377777777778
PLCL2	0.243625
C4orf29	-0.58825
WDFY2	-0.4945
ZNF284	-0.7425
NAALADL1	1.3405
DUSP5	0.557666666666667
PXDN	-0.205125
SLMO1	-0.73075
TNXB	0.7181
BIRC7	-1.70575
A4GALT	0.446166666666667
TIMM22	0.268
FAM110C	0.6465
TOMM34	-0.685
ABHD9	0.4815
ADAM32	3.328
CRHBP	0.381
AQP2	0.145125
LOC130355	0.57625
ZNF187	0.981166666666667
ZNF816A	0.5745
F7	-0.50175
CNOT1	-0.4319
SLC13A4	-0.9325
ZBTB11	0.13375
B3GALT5	0.8305
EXOC2	0.553166666666667
IRS1	1.2233
TMEM1	0.0473333333333333
MRPL34	-0.453
SAMM50	-0.241
CDC42EP3	0.62475
HSF2	0.1184
MFN2	0.19125
TSPAN7	0.913666666666667
NUCB1	0.235333333333333
RHOH	-0.81325
ARL16	-0.0895
TACR1	0.16275
SFRS5	0.107833333333333
SNX25	-0.29775
RHBDF1	0.445666666666667
PCDH18	4.31133333333333
HMG1L1	-0.5145
MYO5C	1.728375
MAPK10	0.648
LDHAL6A	-0.0923333333333333
NUDT12	1.29166666666667
NCAM1	-0.643375
GLIS2	-0.0495
GGTL4	-0.054
DAPP1	0.7565
ATF7	0.587125
KIAA0748	-1.16575
NFIL3	0.65475
TM6SF1	0.689
SEZ6	0.06725
NANOS3	0.285833333333333
DNAJA3	-0.6735
CLDN6	-2.6175
CIITA	2.1897
EPHA4	0.512166666666667
FANCC	-0.222
CMTM3	0.897875
PSG3	-0.06625
MRPL15	-0.5805
C21orf59	-0.53725
PLCXD2	-1.20375
C2orf34	0.06675
UBE2L6	0.46425
MED14	-0.501833333333333
HP1BP3	-0.0852
C6orf208	-0.1695
TPBG	0.71125
OSR2	0.46075
XPC	0.176666666666667
KLHL7	-0.325416666666667
CCR3	-0.76475
AGTPBP1	-0.0681666666666667
PCSK6	0.563333333333333
STAT5A	0.3671
FAM18B	0.84375
LONRF2	0.8885
PTPN2	-0.1985
SF3A3	-0.906
EFCBP2	-0.72725
HCFC1	-0.407166666666667
AHNAK	1.0185
ACTR5	-0.69325
KIF14	-3.98614285714286
TENC1	1.30825
HEATR5B	1.2085
YIPF2	0.0421666666666667
MYEOV2	-0.00333333333333333
DUSP18	0.91375
KIAA1012	0.3495
AHR	1.2285
C17orf53	-2.0945
PTPRH	-2.72025
ATP6V1C1	0.0562
TAS2R3	-0.4845
LOC440356	-0.9175
COQ10B	0.7725
PSMF1	0.432416666666667
SORBS2	3.42591666666667
NFE2L2	0.77325
TMCO7	-0.3585
SH3PXD2A	0.3139
SH2D2A	-1.4485
SPINK5	-0.69175
MRPS24	-0.77825
OPA3	-0.1935
TRAF7	-0.137666666666667
C4orf35	-0.0273333333333333
MT1G	-0.470625
MGC39545	-1.63033333333333
HS1BP3	-0.4033
OR2B2	0.0835
CHRM4	0.316
SFRP2	3.62258333333333
RIC3	2.41275
ART1	-0.0645
C6orf1	-0.1645
DUS4L	-0.40875
C10orf104	0.877
TNFAIP6	2.05075
RTEL1	-1.85475
CCT4	-0.3813
ZNF709	0.751
CHMP6	-0.138333333333333
UPP2	0.19225
CYP19A1	-2.984875
CD151	-0.735333333333333
NDUFA13	-0.721333333333333
ARFRP1	-1.05183333333333
FAM26B	2.08325
CRYBA1	-2.268
MRPL41	-1.01183333333333
NPFFR2	-0.89925
HRH2	-0.044
SCAMP3	-0.718833333333333
MTMR6	0.7995
MTG1	-1.1455
UBTD1	0.6205
CRABP1	1.4275
FLJ33790	-0.6707
KIAA1908	0.574833333333333
GPR158	-2.335
PACSIN3	0.134833333333333
OMD	3.7245
CATSPER1	-1.4235
HOXB8	-1.111
FBXO46	0.4145
OAS1	0.873833333333333
SVIL	1.458
PHB2	-0.33325
ADCY3	0.7
NDRG2	3.65433333333333
ERMAP	1.7393
APBA2	-0.439666666666667
IGSF9	1.41675
WNT6	1.00621428571429
MYCBPAP	1.18775
ATP2B2	-0.4194
CPVL	-0.1518
TRAM2	-0.720666666666667
NOP5/NOP58	-1.009
ZNRF4	0.09225
TLK1	0.3165
MTMR12	0.587357142857143
ZNF384	-0.314666666666667
FAM9B	-2.817
RPN1	0.0099
PMVK	0.33575
EIF3D	0.7015
SIX2	-1.10625
HPS1	0.5525
RNF7	0.24475
PSKH2	-0.113
KCTD13	-0.649
CSMD3	-0.1153
FBF1	0.053
IL8	-4.931625
SERPINB13	0.629833333333333
FBXL20	-0.27275
BLR1	-0.0285
SH2B1	0.1255
RFNG	-0.0015
RAB20	0.2935
RBM7	1.0405
POLR1A	-0.576333333333333
TMPRSS4	-3.49
TAF9	-0.74875
TERF2	0.527833333333333
TNFRSF1A	0.634416666666667
ACADVL	0.1025
GTF2H5	-0.1015
EDG8	1.0655
C9orf140	-1.96475
UST6	0.12825
ZBTB8OS	-1.371
ZNF710	0.3785
GPR174	-0.709
ATP6V0A2	-0.79625
KIAA0319L	-0.23925
XKRX	0.0465
DOPEY2	0.1299
SDHD	0.23475
SUMF1	1.384
OSM	1.575
OPN3	-0.714
DAGLB	-0.617
PPFIBP1	0.2225
TRIM63	-2.64275
C10orf53	0.56
LYPD3	0.554166666666667
BCL7A	0.51925
AGER	-1.05966666666667
TCF19	-1.504
SAT2	0.817
PFTK1	-0.137
GABRE	-1.397625
C15orf38	0.2209
FIS1	0.098
KCNV2	-0.24775
CLPS	-0.000250000000000004
PPCDC	-1.054
FOXN2	-0.475166666666667
NT5E	-1.2634
CD83	0.30525
IL18	0.512375
VPS16	-0.3635
IGFBP2	-0.399833333333333
NOTCH2	0.82425
SIGLEC1	1.75775
CD93	5.152
SULF2	-0.268
CEP164	-0.44225
P53AIP1	1.90216666666667
TOR2A	-0.5795
ZNF136	0.86525
MGP	3.2318
CCDC144A	0.572
TRPC1	0.542333333333333
SMS	-0.748833333333333
MAPK7	-0.0938333333333333
RRAGC	0.57925
PARD6A	-0.528666666666667
NUB1	0.227666666666667
SYNGR4	-0.35875
OR11H12	-0.2455
WIF1	4.028875
GCH1	0.192
OR11H4	-0.0535
SLC44A5	0.0895
GPRIN2	2.37583333333333
LOC401431	1.03425
CPA4	-1.8482
MELK	-4.69244444444444
IL15RA	0.5765
CUL3	1.2605
HMBOX1	1.18
PODXL	0.01575
CCT6B	1.96716666666667
COMTD1	-1.123
MUC20	1.47683333333333
GPX2	-1.877625
ITK	-0.99325
FBXL5	1.868
C13orf27	-1.478
DEFA5	0.317
TRHDE	0.026
MTP18	-1.56333333333333
UQCRQ	-1.1613
ITGB2	0.92125
CSRP2BP	0.60825
TAS2R44	-0.177
PHPT1	-0.412875
FAM44C	-0.05875
ERH	-0.8395
MPHOSPH1	-1.54616666666667
MORC1	-0.319
PARVB	-1.162
LAMA1	-1.14783333333333
PGBD3	0.57675
GIMAP6	4.0695
AREG	1.16916666666667
LIPT1	0.702
MGC99813	-0.70425
C1orf201	-0.2595
GRIN2A	-0.4891
MAN2C1	-1.13675
NSUN5	-0.942
SF3B5	0.166
MYC	0.287
NRXN1	1.18116666666667
ZNF18	0.349
SPDYA	-0.0315
SLC37A1	0.794
DECR2	-0.4335
ANKRD38	1.34
SPTLC3	-0.47325
SUPT16H	-0.53925
DTWD2	0.17325
ULBP1	-0.3025
ZADH1	-0.106166666666667
OIP5	-4.37425
IL10RB	0.4715
OTUB2	-0.3115
VWA3A	0.252833333333333
SPIC	-0.144833333333333
OR6C4	-0.1655
PSCD4	1.22066666666667
DPY19L2P2	-0.6255
TRAPPC6A	0.565166666666667
C21orf2	0.1105
CEMP1	-0.185
LIN7B	-0.152
E2F7	-3.354
VCP	-0.3091875
LAMA3	2.80375
BGN	-0.0315
GPR160	0.498333333333333
COCH	-4.161
GPR81	2.09283333333333
APOBEC3F	-0.09225
tcag7.1017	-1.05825
C1orf32	0.058
SCGB1D2	5.948
FLJ43987	0.3975
C6orf170	0.56575
KLK9	0.056
GPD1L	0.75325
VPS37B	0.6295
ATG3	-0.0788333333333333
ADAMTS17	-0.5575
KLHDC2	0.578
NDUFV2	-0.7715
BLK	-3.2265
MATN4	0.1865
GPM6A	2.1195
GBP4	2.6135
TMEM162	0.300666666666667
PKP2	0.6835
HRASLS	0.636111111111111
MMP1	-5.5245
SFXN3	-0.2482
FSD1	-2.22283333333333
ST6GALNAC3	-0.659333333333333
CA12	1.667
NCOA6	0.15275
C19orf58	-0.6937
PPP4R1	0.431833333333333
MAN1A2	-0.0913333333333333
IKBKAP	-1.3505
UPF1	0.135166666666667
KIAA1219	0.5595
WNT16	1.04016666666667
SNW1	0.068375
IL18RAP	3.37025
RPP30	-0.355625
CDC40	0.315
SETD3	0.472333333333333
SLAMF6	-0.0565
ELK4	-0.5145
TRIM47	0.718
ACOX3	0.825875
TRIM6	0.887375
KIAA0372	0.123333333333333
TP53AP1	0.54075
SMURF2	-0.369
ADAD1	0.205
EBP	-1.5365
KRTAP13-2	-0.4495
FLJ36874	-0.479666666666667
TOR1A	-0.3595
P2RY4	-0.0165
GPBP1	0.32925
TRPV1	-0.022625
ADAMTS12	0.811833333333333
PES1	-0.4476
ATG4A	0.346166666666667
MAGEA10	-4.735
WFS1	0.85725
CC2D1B	-0.667833333333333
PABPN1	-0.581375
SLC25A30	1.03725
SLCO1C1	0.6165
SLC22A5	0.99
KIF23	-4.0435
SYN2	0.5945
ASPN	6.75783333333333
CENTG2	0.7185
QSOX2	-1.4466
FLJ10815	-0.324666666666667
STK24	0.185125
SPEG	0.9404
STK10	-0.396166666666667
DACT2	2.5435
AAAS	-0.76475
SSX3	-1.46625
ABCD3	0.5502
C4orf12	1.07375
PARVG	0.097
FIG4	1.03875
C9orf46	0.719
TMCO6	-0.332
IGHMBP2	-0.64575
DUS2L	-0.646833333333333
FAM3C	0.7913125
TMEM16D	1.0275
DCTN4	0.67125
KCNH3	0.67925
EIF2AK2	0.10575
AP1S3	0.27625
CST4	-1.5145
PAM	1.3111875
NUTF2	-0.86825
CITED2	0.5959
SLC39A4	-0.955
C2orf52	-1.288
GRM3	0.01275
C12orf49	0.2125
CCDC49	0.089
GRAMD1B	-1.648875
FNDC4	1.3225
SIAH2	-0.652375
GDPD4	0.10075
C21orf87	0.123
ATP5A1	0.339333333333333
C16orf63	-0.442125
LOC388135	-1.10333333333333
ATP5J2	-1.09975
MMP3	-1.76725
EMID2	-0.32925
CRHR1	0.09175
WDR70	0.12675
C13orf31	0.92175
ZFAND1	0.699
CCL18	3.6805
C3orf49	-0.131
RINT1	-0.54
KIAA0408	-0.331
F13A1	4.3611
SLC10A1	-0.0363333333333333
OGN	5.2735
GIPC2	0.489666666666667
XPO6	-0.8995
LCE1A	0.253
FMR1	0.1222
LOC374920	0.2845
DUSP3	-0.22975
ANKMY1	0.02725
C7orf50	-0.66825
BBS9	-0.0585
UNC119B	0.078625
C9orf72	1.115875
MGC35440	-0.75875
ENTPD6	-0.1945
PPP1R2P9	0.227
ERCC4	-0.546
FAHD2B	-0.1445
HMHA1	-0.6845
HACL1	-0.49875
RAD23A	-1.129
FAM83B	-0.35775
PPP5C	-0.614666666666667
RNASEH2C	-0.52275
C9orf153	-0.47525
SCAMP4	0.41175
GHITM	0.1916
NDUFB7	-0.1145
ADCYAP1	0.5865
SP110	1.2235
MAP3K7IP2	0.8635
DHH	-0.2125
AGRN	0.534785714285714
WDR33	-0.065
CEP290	-0.482333333333333
PRPS1L1	-2.61966666666667
KLRA1	0.415
GPR97	0.227
CHD7	-0.552333333333333
TLR10	2.6755
SLC30A8	-0.704
HIC1	1.643
IAPP	-0.486
RXFP4	-0.04675
GP1BB	-0.195
SHQ1	0.228
NKX2-3	0.112666666666667
API5	-0.2005
FTHP1	0.59
MOV10L1	0.1748
TRIM6-TRIM34	2.01766666666667
ADHFE1	1.06325
FAM117A	0.6515
DDI1	0.4295
CDON	0.703333333333333
TRIM73	-0.443
IGKC	3.9425
MMP14	-0.895916666666667
DYNC1LI1	-0.212
C11orf66	0.88675
TRBV3-1	-0.842
FASTKD5	0.076
BIVM	-0.85825
LHX4	-0.69
CXCL2	3.0903
RAB2B	0.103166666666667
IZUMO1	-0.48675
MAP3K15	-0.41
FAM19A2	0.878666666666667
ZC3H8	-0.123
ZMAT1	1.5755
SPINK5L3	-3.13925
SLC10A6	0.6715
APPL2	0.6065
CARD10	0.361
LOC402176	0.455
EEF1D	0.4602
RAB6A	0.1984
C12orf5	0.030875
PAPOLG	0.65275
MSRB2	0.28375
BCR	0.640444444444444
PUS3	0.1495
TIAM2	1.5005
ZNF317	0.0673333333333333
CHD2	0.183428571428571
FZD5	-1.11359090909091
NUDT8	-1.45725
ZNF763	0.6895
PRC1	-3.19188888888889
ABCB9	0.469166666666667
SPATA3	0.26475
TRAK2	0.702625
STAB1	2.499
LRRTM2	0.861166666666667
psiTPTE22	0.10975
DBI	0.31175
SERPINA11	-1.31875
NAT5	-0.13975
C20orf58	-2.5195
RPS6KA4	-0.2345
FLJ90650	0.55625
TGFBRAP1	-0.011
CHRDL2	2.718125
FAHD2A	-0.322666666666667
CNTN1	1.47775
BBS4	-0.3755
TMEM181	0.5785
MINPP1	0.39675
MPHOSPH6	0.29225
HOXC10	-1.4264
ITPKB	0.291125
CLPTM1L	-0.765375
MEOX2	2.49083333333333
ATP6V0C	-0.235125
PRPF8	-0.271333333333333
TMC5	2.15275
FKBP3	-1.03525
PLEKHB2	-1.065
OR4D6	0.3535
ZNF544	-0.4096
D2HGDH	-0.4765
RPL18A	0.0899
HEL308	0.54725
MPP6	-1.4855
TCERG1	-0.967
KRT16	1.09816666666667
KLF17	-0.5455
KLF5	2.189375
CDR1	2.359375
VCX3A	-3.3935
FBLN2	1.956875
C14orf104	0.23475
HBE1	-4.8001
OR4S2	-0.119
C1orf108	-0.281333333333333
ROBO4	3.56133333333333
CPEB4	0.76225
C11orf80	-0.393166666666667
BCKDHA	0.285833333333333
MYOC	3.09175
GIF	0.3525
CKMT1A	1.184
RPL3	1.2854
THBS1	1.263125
APOO	-1.751
ARMCX1	2.26175
HSZFP36	1.1655
SNAPC5	-0.4195
EIF4ENIF1	0.91925
ZNF433	0.63825
TNFRSF21	0.917
TMPRSS7	-0.118
SPATA18	2.2175
HPDL	-2.088
MKL2	1.5007
TBX3	1.37715384615385
C21orf93	-0.352166666666667
DAXX	-0.13475
ELMO1	0.403875
RGS13	2.1965
TAF11	-0.01125
UNC13A	-2.490375
LOC653314	-0.1075
ORC3L	-0.3415
IMAA	-3.2425
TARBP2	-1
CABIN1	-0.6473
TRIOBP	0.3384375
HIST1H2AC	-0.538875
RGS22	-1.36683333333333
NCOA1	1.69266666666667
IL25	1.6415
SNCG	1.955
GPR6	0.1435
AMDHD1	-0.00416666666666666
CHEK2	-1.07475
C6orf142	0.69525
DRD4	0.1405
C14orf68	-1.34175
GDF11	-2.212
SEMG2	0.3095
CD247	-0.83225
CDAN1	-1.048
RBMX2	0.399333333333333
TGS1	0.3065
OIT3	0.71075
SYF2	1.01475
MCM4	-3.029125
PKHD1L1	1.831375
CEP192	-0.479
IFT88	0.875
RPL9	0.808857142857143
RAB32	0.3615
DDX43	0.57175
P2RX2	-0.156333333333333
OR5D18	0.464
UBE1	-0.239833333333333
SLC24A1	1.478625
ARHGAP5	0.69775
CETP	-0.78475
KIAA1731	-0.65
SLC9A4	0.102
PTPN6	0.3365
BAHD1	0.511
GRIK3	0.2605
CACNB2	0.0469
PDE10A	-0.40875
DGCR14	-0.2925
PCDHB9	0.452333333333333
RHOQ	0.576333333333333
MAP3K4	0.36825
KTI12	-0.4195
RPL23AP13	0.08025
GNG11	0.6395
CLCN3	0.668
GPAM	0.137375
VSTM2A	0.196
SLAMF7	1.67133333333333
INTS2	-0.825
PPP2CA	0.3843
LRP12	0.567133333333333
SEC14L2	1.889
DKFZP586H2123	4.664
MC3R	-0.094
CIRH1A	-1.01066666666667
HIST1H2AB	-0.951833333333333
POLH	-0.628875
MGC16703	-1.97633333333333
SNAPC2	0.2265
FILIP1L	1.50225
RASGRP4	0.1735
LRRC1	1.62075
GAS1	3.27725
PRAC	-1.24425
DGKA	0.0803333333333333
NT5C3	-0.4965
PEG3	-1.9895
NADK	-1.46375
PRR17	-0.51325
LOC374569	-0.123
SGSH	0.601
NLRP8	0.643
GALT	0.1247
MCF2	-1.1675
ZNF263	0.73475
TACSTD1	1.205
TYR	-6.5781
ATP6AP2	0.592
RNUXA	0.06925
ABHD10	0.254
GDPD2	-0.993
SLC35C1	0.291
UBE2A	-0.439125
HERC5	-0.664
FAM112B	-3.92766666666667
FBXL16	0.1425
DKFZP434A0131	-1.041
ELA3A	-2.3885
RBM41	-0.919875
HAO2	0.349
RNH1	0.00474999999999998
SHANK2	2.186
OSBP2	-1.348375
DAK	-0.793666666666667
C3orf58	2.26725
TCL1B	-1.6035
KBTBD2	0.136875
SUGT1L1	1.4305
UBE2E2	1.32866666666667
MYL9	2.9625
CDC23	-0.765166666666667
PBXIP1	1.1453
CXorf40B	0.1655
NBL1	0.87075
RTBDN	-0.1135
RAB11FIP5	0.581875
TTTY13	-0.7485
SCOTIN	-0.00858333333333332
SOHLH1	-0.459833333333333
CDKN1A	0.528785714285714
NCK1	0.749
ZNF550	0.948
SAPS3	-0.2845
SPIN3	0.6745
MAGEE2	0.57425
MIS12	-0.115
OR8H2	0.222
KIAA0774	0.621
UNC5D	-2.5185
CUL7	-0.4085
LIPC	-2.244
DIO1	-2.0745
C20orf11	0.4391
CTRL	-0.96275
HS3ST2	1.853
PAK4	0.249
CCRL1	4.748
RNF10	-0.15475
ZNF567	1.0865
ZNF660	0.334
TCEAL3	1.1915
MAGOH	0.0245
CENPB	-0.366166666666667
C19orf7	0.61875
LOC388965	-0.0585
ZCCHC13	0.151
JMJD1A	-0.3012
HIST1H4H	-1.9315
TBRG1	-0.1454
GPC3	-1.758375
TAF1C	-0.468625
EBNA1BP2	-0.968
CIAPIN1	-0.41225
PDGFRA	0.941777777777778
CSTB	-0.782
CENPI	-3.28666666666667
GTF2E2	-0.539333333333333
RPP21	-0.76575
CCNF	-1.878
KCNQ3	0.4885
FAM79A	1.553
SLC22A12	0.0895
NOVA1	1.3545
FZD3	1.1127
AKAP8	-0.77625
SOCS5	2.056625
CFDP1	0.40275
DLG5	0.666
PGM5	1.99675
C1orf144	-0.2545
HDAC10	-1.768
RND2	-0.03575
C20orf199	-0.333
RNMT	-0.70925
SLURP1	0.016
ASTN1	1.308625
SH3BGR	2.4515
MYCL1	-0.489375
ZHX1	0.7965
CENPK	-3.8755
FOSB	3.3484
LOC643406	0.199125
C2orf59	-1.292375
TMEM135	0.259125
SLC27A2	-3.92325
KRT33A	2.2835
OVOL1	1.018875
PAMCI	0.188833333333333
S100A7	-1.254
ZNF789	-1.014
HARS2	-0.05725
RPL23A	-0.429833333333333
TCF23	-0.3735
UPF3B	-1.437625
C17orf78	-0.5105
HLA-DOB	0.817666666666667
C14orf142	-0.0336666666666667
TEKT5	-0.4115
DMWD	-0.1885
POLD1	-2.03133333333333
GSCL	-0.072
CALD1	1.2493
SCRT1	-0.188666666666667
AIG1	1.378
UNC84B	1.31325
ZNF404	0.637
TMED6	-2.368
KIAA1462	0.468
LRRC27	1.9295
PYGO1	0.1405
PIGU	-0.589
ALAS2	-3.09316666666667
WRNIP1	0.159875
CNNM3	-0.241
ZNF2	1.15325
ST3GAL5	0.133666666666667
MRPL23	-0.48
TSSK6	-0.46675
PSMA6	-1.1225
C16orf70	-0.377
KIAA1602	0.07125
ALMS1	-0.280833333333333
DCN	4.545625
TMEM132D	-1.2145
SUCLG2	1.249
ABHD14A	-0.258
DEXI	-0.0216666666666667
AMPD2	-0.701333333333333
IFNAR2	-0.023
CYB5A	1.3228
TLOC1	1.39635
NXF5	-0.758666666666667
NRBF2	1.039625
KCTD3	0.811
ITGAE	-0.874666666666667
SLC30A3	-2.2305
ZRF1	-0.99
IFRD2	-0.769
XAB1	-0.177
PYCR2	-0.703
SERPINB3	-2.297
TMLHE	0.4913
GEFT	-0.597375
ABCA5	0.983875
EMR4	0.06
TSFM	-0.44175
HIST3H2BB	-1.779
ARHGEF19	0.67275
TSPAN17	-0.561333333333333
ABCC8	3.51575
MAP1S	-0.00433333333333334
C22orf36	1.17775
BNC2	0.0432857142857143
HIST1H4A	-1.14375
NDUFS3	-0.437666666666667
WDR3	-0.512333333333333
XKR4	-0.5835
TTC33	0.647785714285714
STMN2	3.105
CPN2	-0.4965
HSPC105	1.846625
PCOLCE2	-1.8615
C3orf55	2.6865
KLHDC9	1.24133333333333
TBC1D23	0.136
ATXN2L	-1.41183333333333
MAP2K3	0.502833333333333
SCAP	-0.1995
ZNF486	0.6415
C20orf96	-0.93075
NARS	-0.40125
ADAMTSL1	-0.545357142857143
PRCC	-0.0255
CCDC126	2.24216666666667
ZNF675	0.5175
CALCOCO1	1.37475
ANKRD43	2.481
CWF19L2	0.517666666666667
ZBTB32	0.411166666666667
BRAF	-0.09125
ODF4	0.2585
MGC14376	1.34133333333333
HORMAD1	-2.44033333333333
AAK1	-0.25175
PEBP1	0.50175
TNFSF5IP1	0.418
DKFZp564N2472	0.317
RMND1	0.183875
IGKV1-5	3.86075
COL1A2	2.54191666666667
SERPINA5	-0.61825
AANAT	0.1685
C19orf21	-1.81216666666667
GEMIN5	-0.39475
UBR4	-0.471333333333333
LTBP3	0.844166666666667
AMHR2	-2.56733333333333
PROCR	-0.52425
MYBBP1A	-0.84575
C20orf39	-2.2485
ZNF697	-0.246125
PASK	-1.3738
ZNF776	0.277666666666667
RFXDC2	-0.056625
KIAA0467	0.28125
C10orf96	-1.2655
ZNF503	0.54425
GULP1	1.02775
KCNE4	-0.866666666666667
DKFZp434K191	0.32275
LOC196913	-0.1925
BHLHB4	-0.0875
CH25H	2.89375
LOC81691	-1.37183333333333
ALPL	1.88585714285714
COL12A1	1.453125
FOLR3	-0.662833333333333
GPR123	0.052625
TRIM62	0.0896428571428571
ABLIM1	1.31816666666667
MAST3	-0.157
RHBDD1	0.555
LOC338809	-0.807
RYBP	0.3355
TTC26	-1.058125
ZNF22	0.939666666666667
ISCA2	-0.18125
RDM1	-3.211
PIGM	0.3135
GNB3	-1.3655
ACTR2	-0.1329
HMGB1	0.00655000000000001
EDG1	3.787
SOAT2	-3.2415
OR10AD1	-0.925
RAP1GDS1	0.478416666666667
LCE1F	0.1025
ESM1	-0.97325
RCN3	1.21575
CREBL1	-0.71275
DBNL	-0.351666666666667
PTGER3	2.069125
USP30	0.1515
BCL2L12	-1.3375
KIF26B	0.64925
ZNF416	0.645
ZNF225	0.68
C17orf70	-0.5825
ZNF554	0.89775
RAE1	-1.28166666666667
TNIK	0.207166666666667
ACTN3	0.924
MGC45922	-0.2065
CCNA1	0.782
RYK	1.23666666666667
IL26	0.019
LRP3	0.165833333333333
QARS	0.476
SOX7	1.78864285714286
BID	-0.354
OR2S2	0.2965
CXCL14	4.402
C11orf47	-0.4505
MGC29891	-0.695666666666667
HSPB8	1.2151
PRDM14	-1.5495
NUFIP2	0.65175
MNAT1	-0.2345
ZDHHC2	0.04225
MBNL2	1.463625
ADD3	1.329625
CSNK2A1P	-1.007
KLK6	2.52833333333333
TMEM111	-0.0128
KIAA1279	0.69375
NUBP2	-0.5955
RAB42	-1.51125
ID3	-1.2211
TM9SF1	0.14525
MDP-1	-0.31025
POU4F2	0.00750000000000002
IQCK	1.43625
C16orf14	-1.67075
CAPN3	-0.842625
FAM43B	0.08225
RECQL	-0.79725
AP1G1	-0.283642857142857
CTNNBL1	-0.474166666666667
ECHDC1	0.356333333333333
SMARCC1	-0.7245
FOXQ1	-1.346625
GNAI3	0.0116666666666667
POLG2	-1.158
CD4	0.6465
ITLN1	-0.64125
EBI2	3.8165
IRF1	0.142
PTPRE	2.0143
PTK2B	-0.19625
NXNL2	0.0595
SOX4	1.09727777777778
TSPAN3	0.1895
SH2D1A	-2.94466666666667
C8orf58	0.279166666666667
USP20	-0.7055
DUSP22	-0.0506666666666667
CALB1	-2.49466666666667
L3MBTL2	0.868666666666667
MCRS1	-0.68275
TMEM118	-2.156
C18orf8	0.254666666666667
FLJ10241	0.097
GJA12	1.7615
PKD1	-0.068
ZFP3	1.404
JAM3	0.537375
LAPTM4A	1.1542
DIRC2	0.074
KIAA2022	1.56933333333333
MYOM1	1.30066666666667
TRPM8	-1.588
MOP-1	0.085
PHKG2	-1.01225
ZNF650	0.643375
KIAA1522	1.429875
PSG8	-1.357
DDX19B	0.111
MOBKL1B	-0.34775
DIAPH2	0.250166666666667
PTPN12	0.12525
CLN8	-0.1306
CRYZL1	0.473166666666667
CRY2	1.06966666666667
FCGR2B	3.477
PNPLA4	1.73375
ZNF454	2.137
DKFZp434B1231	0.6265
CLDN11	1.4243
RFWD2	0.022
CIB2	-0.517
MXRA8	3.07975
HRK	-0.5405
MAML2	1.88775
C4orf31	0.733
C6orf192	1.31025
COG6	0.62525
FAM5B	0.79425
NFATC1	1.1549
SEPT10	0.94225
SCYL1	-0.3066
RPP40	-0.88625
SCOC	1.1092
KIAA1450	0.36825
CTDSPL2	-0.363
TBX5	1.93733333333333
NAPG	-1.134625
RHD	-4.38375
C14orf45	2.03466666666667
ZBTB22	1.3185
PLCG1	-1.0075
ANKRD10	-0.5785
AQP7P2	1.001
TAGLN2	-0.657833333333333
HTR2C	-1.17816666666667
SLC16A7	0.1845
C17orf83	-0.0465
TSGA14	-0.3905
MDH1	-0.606
PPP3R2	0.0223333333333333
DCBLD2	-1.34035714285714
RBM33	-1.471
DPH3	-1.729
SYT10	-1.0925
FMO4	2.378125
THYN1	0.171
DRD5	-1.647
OTOR	0.623
PGRMC2	0.2756
KATNAL1	0.28025
PAQR6	-1.4795
UBE2I	-0.57975
C14orf28	0.95475
C8orf70	0.8375
FLYWCH1	-0.672875
ANGPTL3	-1.43025
GLRX2	-0.927833333333333
ATP11A	-0.515785714285714
ARL5B	-0.207125
MUC16	-0.9635
SLC25A5	-1.04678571428571
ACRC	-0.31375
MYO1C	-0.485125
FAM89B	0.767666666666667
