Hybridization REF	TCGA-A1-A0SH-01A-11R-A084-07
SLC2A7	0.0185
CPOX	-1.50225
APH1B	1.23083333333333
LOC442245	0.43925
CTNND1	1.40038888888889
GABRG2	-0.64375
MADCAM1	-0.472166666666667
F5	-3.327875
SEMA4F	0.408666666666667
NUDCD3	0.373875
PDZD11	0.304
TRIML1	0.0125
GCNT3	-2.2905
TMEM120A	0.7975
CNDP1	2.2875
N4BP1	0.73375
SLC35F2	-1.565125
LCP1	0.34875
IGBP1	0.0929
DCAKD	0.510625
ELA2A	-0.6535
C12orf56	-1.902125
PITRM1	0.185357142857143
GUK1	0.9435
RASSF8	-0.3144375
OR2A14	0.0995
ADM	-3.05722222222222
FGD3	1.41183333333333
GHRHR	0.064
RHPN2	0.181
C4orf39	0.7575
VPS72	-0.42225
SERF2	1.56527777777778
CD22	0.9365
CD47	-0.1023
PPIC	2.0765
IMPDH1	-0.426333333333333
ACP6	-0.392666666666667
PRKACA	0.253
PPP1R1A	1.49075
TRPV3	-0.29925
ASXL1	-0.785125
C17orf55	0.244
FXYD1	-0.505
LMOD2	0.1025
ANKRD33	0.3745
LCE2C	-0.37375
ZNF620	0.057
DKFZP566E164	-0.33175
VSIG2	-0.005
KIAA1128	1.321
USO1	-0.00933333333333333
NUDT4	1.45371428571429
CLDN1	1.34442857142857
OR4Q3	0.332
FASTK	-0.0706666666666667
ICOS	0.384833333333333
LDB1	0.276
GSTA5	-0.09375
ABCC1	-1.1565
FAM54A	-3.08075
PCBP2	-0.0608333333333333
NUP205	-1.736
ACTA1	-0.755333333333334
GABBR2	-1.59075
PIP5K1B	-1.42583333333333
AGXT	-2.15316666666667
RNF181	-0.117
ATP8A2	-1.0165
AFTPH	1.02175
FGF21	0.40625
FCER1G	1.75475
SNTB1	-0.80225
SLC24A3	1.13075
TXNL4B	-1.3345
RPL10L	0.242666666666667
LOC389517	-0.90175
TSGA13	0.5435
SHOX2	0.857833333333333
ITGA7	-0.9169
KCNIP2	-0.934666666666667
KLF13	0.4685
ZFAND2A	0.05425
CEACAM1	-0.139571428571429
PFKFB4	-2.682
MED19	0.25625
LRRC57	0.205833333333333
RNF11	1.02625
ANKRD32	-3.16625
P117	0.3705
OBFC2A	-0.1065
POLD3	-0.946166666666667
RAB18	1.341
TPH2	-0.272666666666667
PHB	0.5578
JDP2	2.14583333333333
MORF4L1	0.6073
POU2F1	-0.543
CNNM2	-0.832333333333333
LOXHD1	0.0886666666666667
ZC3H15	-0.67525
ELK3	0.318
FAM111B	-1.852
CBLC	3.21033333333333
SBNO1	-0.1815
ANKMY2	-0.43
PLEKHA5	0.14925
DHX58	1.81883333333333
ARCN1	0.2235
TREML1	0.3067
KNCN	-0.3105
SEC24A	-0.759375
PSCA	0.00924999999999999
MGC24125	0.524333333333333
DNA2L	-2.288
CIB4	0.09575
HIGD2A	-0.072
TBX6	-0.0746666666666666
TTLL5	-0.730666666666667
SGK3	-0.608166666666667
GCN1L1	-0.22975
AMOT	1.5529
LDOC1	0.360333333333333
NRK	0.783166666666667
ASB9	-2.9575
NAT1	2.2571
TRAFD1	0.33575
PEAR1	0.305833333333333
FAM36A	-0.581375
OR1S2	0.485333333333333
LOC388323	-1.75075
PGS1	-0.537166666666667
LEPREL1	-2.19875
TFF1	-2.05941666666667
HAP1	0.51675
EPHB2	0.61825
ACTG1	0.989833333333333
ZFP42	-1.21366666666667
HAVCR2	1.0219
NME1	-0.357
SNX26	-0.355666666666667
LACTB	0.284166666666667
ZKSCAN2	-0.502
C5orf35	0.53525
ANKS3	-0.17875
RBM28	-1.31875
DKFZP586P0123	-0.668
HNRNPA1	-0.415
BCAS3	-0.89025
FLJ20184	0.7175
POLA2	-1.45983333333333
TMC7	-0.298166666666667
HSD17B6	3.448
ZNF658B	1.2735
TTTY10	0.0265
RANBP9	-0.113083333333333
CPNE7	-2.69766666666667
EVL	0.465294117647059
LNX1	0.222666666666667
IFNA21	0.1965
CFD	-0.75675
PYCARD	-0.00566666666666667
MYBPC2	-1.167
ENPP3	-0.690833333333333
ACSL4	-1.0645
LOC440258	-2.12933333333333
TMEM176B	3.4045
SOX2	-5.397625
SCO1	-0.3875
COMT	0.68425
AOC2	-0.4455
PDLIM5	1.38264285714286
SPHK2	0.5145
NXPH2	0.1565
GPR108	0.7145
RAD51L1	-0.2555
TMEM54	1.34425
LETMD1	-1.04111111111111
SLC6A17	0.34625
KRT75	0.2875
STT3B	-0.848666666666667
CD3EAP	-0.601833333333333
TMEM63A	0.79675
DUSP13	-2.62825
CD1C	-0.946
LASS2	0.233
AVP	0.702
PITPNM1	-1.27325
FLJ22795	-2.388
MCTP1	-2.322
TRIM68	0.718
UCK2	-1.043
ABHD1	-0.34325
FAM50A	0.2645
RNASEH1	-0.844166666666667
PCP2	-0.128333333333333
OR52H1	0.529
C20orf149	0.45225
RBP5	-0.404666666666667
HYAL3	-1.3965
CLPB	-1.118
SMNDC1	-0.64
DONSON	-2.2355
FLJ27523	0.03425
BARHL2	0.760333333333333
SLC30A9	0.611833333333333
TMPRSS11B	-0.189
E2F8	-2.8705
CCDC25	0.0989166666666667
C14orf48	0.071
C20orf116	0.817875
TSPAN11	0.292
YIF1B	-0.821833333333333
FAM12B	1.7295
OR1L6	0.274
HPN	1.1368
NBN	0.299875
C14orf94	-0.450166666666667
OCLM	1.2755
ZSCAN18	0.7636
L3MBTL	-1.7251
TSTA3	1.22516666666667
RAC1	0.3775
C19orf15	0.2165
NFE2	-4.73475
KLK14	0.2455
ARSF	0.5625
MAST2	0.346
AMICA1	2.192
GTF2A1	-0.11325
ATP1A3	0.91925
TC2N	2.5055
PNKP	0.11025
ODZ2	1.677375
MATR3	-0.223
S100P	-2.03925
KRT82	0.846
CA13	0.7919
PROZ	-1.689
AASDH	0.113
C19orf40	-0.376166666666667
DCK	-0.878923076923077
FAM5C	1.9055
SLC6A4	-2.281
MID1IP1	-0.7555
TESSP5	0.2525
TMOD4	-0.513
DOCK2	-0.519333333333333
TUG1	0.687375
NUP214	-0.9065
DPYSL2	0.207454545454545
GOLM1	2.50566666666667
MPFL	0.4635
SOX13	0.72925
SDCCAG8	1.1594
KEL	-2.60166666666667
NUP210L	-2.13025
GK	-1.15325
DNAJB1	0.62325
ALPK3	0.4195
CHID1	0.4211
CYLC2	0.615333333333333
IKZF5	-0.2375
C8orf51	0.927833333333333
PPM1J	1.52175
GIMAP8	2.52583333333333
GPR101	-0.116
NR2F1	0.808
ACAD8	-0.56025
RBM35A	1.377
GNAI2	0
METTL8	-0.422833333333333
SLC39A7	-0.9705
FBXO8	0.78625
CAMK1	-0.55775
RFC3	-1.47925
FAM129A	1.20642857142857
ILF2	-0.86225
FGFBP3	-0.866875
NOM1	-1
PSMA3	-1.20475
ASCC3	-0.1092
ZYG11A	-2.384
SOX21	-1.315625
LYRM1	-0.08725
DEFB1	2.9065
LOC91431	-3.285
OR7C2	0.903
FAM46B	1.946375
TMEM18	-0.434875
ARHGAP30	1.40066666666667
TMEM86A	3.95875
EPHA2	-1.281
C10orf46	0.42835
TCHH	0.490666666666667
C3orf30	0.280333333333333
LOC285636	-0.104666666666667
PAIP2	-0.0765
CYP2U1	0.49225
C12orf34	-0.28375
SARS2	-0.725833333333333
ZCWPW1	0.71525
SAMD12	1.881875
KIAA1430	0.073125
ACAT1	-0.62825
MEOX1	-0.0218333333333333
ADAMDEC1	3.4565
PHKA2	-0.7425
CARD11	-0.530166666666667
CALML4	-2.172
TSSC1	-0.44
TMEM45A	0.823777777777778
MPP7	1.82475
POU1F1	-0.06675
SLC2A13	0.2454
FBN2	-0.352857142857143
ZC3H7A	-0.117
LAIR2	-0.576
ST3GAL1	-0.156833333333333
LCT	-2.67625
GEMIN8	0.84
KLF16	0.3972
HIF3A	-0.2104
FAM44A	-0.214857142857143
AQP10	-0.6662
PLA2G2A	-0.3595
FOLH1	1.351
C20orf186	0.0545
MAPKAP1	0.244125
SPRR2D	-1.20075
UBQLN4	-0.368166666666667
RSHL1	0.375666666666667
PIAS3	0.5305
MRPL24	0.035
GREB1	-1.494125
FAM27E3	-2.574
NUP62CL	-2.44925
NEUROG3	0.832
REEP3	1.11133333333333
MARK1	-0.417125
LMBRD1	0.871
PRPF19	-0.405
PNMT	3.29583333333333
CTGLF1	-1.7395
SLC25A16	0.15925
EIF2B3	-0.892
RPA2	-0.73875
PAK6	0.824833333333333
CCDC26	-3.672125
SEMA3E	3.49725
MXD4	1.3268
TNFSF10	4.0701
SMARCB1	-0.084
DTX3L	0.750166666666667
PLA2G4E	0.1775
PPAP2A	1.25975
ULK1	-0.1655
TAS1R3	0.0795
SLC2A3	-2.885
ARID3A	-2.0625
GNG5	-0.419
ACOX1	0.1518
KIF5B	0.11775
NUP153	-0.83625
MUC7	0.7
CSDE1	-0.260714285714286
CLPTM1	-0.15475
C3orf23	-0.13025
LRRC17	2.6965
TTYH3	-0.1655
ATP5B	-1.175
ELF3	1.2952
CPSF3L	-0.317333333333333
ZNF665	0.0373333333333333
TLR6	0.2677
GPI	-1.012875
RAD9A	-0.630125
NDST4	-3.18275
AGPAT3	0.703916666666667
MAGI3	2.1175
ADORA2A	0.4465
CACNG7	-0.098
CAMK2D	0.191642857142857
CCHCR1	-1.21625
RPS27A	-0.83625
OR10G7	0.3215
GCM2	0.165
FAM135B	1.6826
E2F1	-1.85325
PLCB3	0.434
OR2AE1	0.465
COIL	0.221666666666667
CDC25C	-2.84783333333333
RAB11FIP2	0.420833333333333
TSC2	-0.259
CTGLF5	-2.17
CCDC108	0.0419
OR13C4	0.23375
C10orf81	5.32125
PTPRB	1.1025
ACP2	1.25425
LAG3	-0.656
MRPL54	0.23225
LOC201175	0.6495
ITGB1BP3	-0.851
SPTAN1	0.363833333333333
SIPA1L2	-0.35675
RCAN2	0.252
CDX2	1.07
ECOP	0.8545
ACTR1A	0.850714285714286
PPARG	-0.867333333333333
BBS10	0.242666666666667
TMEM44	-1.217875
BPIL2	0.08175
CITED1	-1.922
IRF6	4.00775
PRDM4	0.8385
RRP9	-1.36033333333333
OR10H4	0.65225
IL31RA	-0.00249999999999999
GNB1L	-0.585666666666667
MYBL2	-2.750625
ZNF407	0.9
PPIG	-0.464833333333333
TTC18	1.585
RPSA	-0.344
MAPT	0.64475
MRE11A	-0.261
C8orf37	0.403666666666667
RASGEF1C	0.352166666666667
STBD1	0.3465
CTAG2	-0.516166666666667
MGAT5B	-1.4815
ECM1	1.224125
RLN1	0.733
PARP14	0.741375
EPB41L1	0.2708
HOXA3	0.560333333333333
MAGEA9	-4.039
RPS8	-0.355
RPS19BP1	0.01025
FOXJ2	0.5685
C10orf76	0.320375
IL17RE	0.44325
C10orf65	-1.90575
ZNF343	0.051
FBXO33	-0.48875
UHMK1	1.0346
LY6G6C	-0.241
FGF19	-1.50375
C14orf128	-0.327166666666667
IFIT2	1.33775
TIGD1	-1.059
S100G	-1.293
GUCY1B3	2.8315
NR3C1	-0.014
CORO1B	0.366666666666667
PARP11	0.825416666666667
DNALI1	3.7325
OR4N4	0.339375
MAP2K6	0.747833333333333
FSTL4	-0.5115
ANKRD47	1.000125
TMEM171	-1.342
PNLIP	-0.185
YY1	-0.199833333333333
CCDC138	-2.51
AASDHPPT	-1.1594
CKS1B	-1.5735
MCM3	-1.26183333333333
ANAPC7	-0.3125
FAM110A	1.517
CDC37L1	1.16483333333333
THTPA	0.984
NBPF20	-1.383
WDR24	0.51725
NPTX2	-0.152
CBLB	0.0148333333333333
CETN1	0.357833333333333
RPUSD1	-0.10025
FAF1	-0.70925
CDK6	-2.1441
HMX2	0.5345
CSK	-0.3275
TEAD2	0.896
SNAP25	-0.288
TUFT1	0.4696
TMTC3	1.11783333333333
LCK	-2.5465
SGOL1	-1.8095
AKTIP	1.658
FURIN	0.6655
SOX12	-0.560666666666667
DEFB103A	-0.92275
RAMP1	0.20175
KIR3DX1	0.07
GAS2L3	-0.84175
PDE8A	-1.5914
EDN3	2.6845
GMIP	0.664
SF3A2	0.75175
FN3KRP	0.346
SMAD7	1.22275
RHBDD2	0.38725
OR11H6	0.262
PPP1R3B	1.7267
C9orf23	-0.0495
CADPS	-1.45125
GOLGA8A	-4.125625
TMEM57	0.451166666666667
RGL3	-1.5105
S100A14	3.10025
FGFR2	0.229125
XRCC3	-0.868
RTN4RL2	0.70625
MGC3771	1.882
GH2	0.241166666666667
BTBD2	0.181
LMO2	0.166
RDBP	-0.421625
ACRBP	-1.38475
AMY2A	0.7455
DUOXA1	1.147
PTK7	1.94466666666667
TWF2	0.151833333333333
FAM80A	-2.29125
TNNI2	-2.4605
GLT25D1	0.186
OCC-1	-0.12325
CYC1	-1.12666666666667
RPL22	-0.437227272727273
MORN3	1.8275
DISP1	1.612
PRB2	-0.0235
CHUK	0.09925
HR	0.116125
CCDC134	0.1225
DENND4B	-1.28125
C14orf130	0.371125
RAB33A	-1.5855
DCST2	0.105
TNMD	-1.94275
PEX7	1.07275
FAM62A	0.046375
SRD5A2L	1.40025
IL22	-0.274
RPS26	-1.10316666666667
HOXC5	0.8955
SPATA6	0.65925
FLJ38482	0.401125
ZNF234	1.571
C18orf22	0.76975
SPATA22	1.52525
THOC1	-0.36375
CYP7B1	2.78325
KCNC3	0.261
C8orf42	0.5645
ALDH1B1	0.978833333333333
CCDC100	0.0845
ARMC4	-2.81725
FAM18B2	0.01875
SLC44A1	1.614375
FBXO17	-0.93
C6orf107	-0.26825
C19orf29	-0.1555
ZC3HAV1L	-0.16375
PARP6	-0.1376
SULT2A1	-4.746125
C1orf159	-1.1315
TMC1	-0.0425
CHST14	1.081
GAMT	-0.5115
SMCP	0.220833333333333
TSPAN33	0.691166666666667
MIDN	-0.023375
NOX4	4.32275
RNASEN	-0.658
TBX1	-0.901333333333333
SALL2	0.3225
C10orf35	0.67275
CYP2E1	-0.3505
LRFN2	2.17133333333333
ACO1	-0.359833333333333
IQCG	1.3386
MEGF9	2.47325
TM7SF4	0.86525
PLEKHA1	0.343066666666667
STK33	-2.91325
C1orf210	2.30575
SNUPN	0.4233
KIAA0406	-1.0171
C20orf29	0.5625
TMEM55B	-0.04025
OSTM1	-0.8955
CLCN7	-0.17
OTP	0.08175
FLJ23049	0.1465
HEATR4	0.378
MAP3K10	0.793
PCDHGA9	0.5625
AMDHD2	0.5325
LCTL	-1.112
PDCD2L	-1.371
CABLES2	-0.65925
SLC5A9	-0.537
CLCA2	3.34133333333333
MGC16025	-0.3785
STRAP	-0.812166666666667
C20orf196	-0.578
RRBP1	1.19016666666667
NAT13	-0.47525
MAT2B	0.290625
CSNK1D	-0.8025
KIR3DL1	0.3335
PRKAG3	-0.812
ZNF599	0.348
PRM3	0.7305
PER2	0.945666666666667
ASPHD1	-2.9105
PRMT6	-0.20725
KCNE1L	-0.571142857142857
FAM118A	-0.0501666666666667
TAF4	-0.98175
NDUFB6	-0.61125
TRIM9	-0.74875
PMFBP1	-0.47225
KY	1.1795
DKFZp762E1312	-3.98618181818182
CSMD1	0.87625
TBP	-1.00166666666667
OR1Q1	0.332333333333333
RETNLB	0.183
HPGD	2.271
DNAJC12	-1.02033333333333
FKBP1B	-1.11025
ANKRD24	-0.4985
CXXC5	-0.251666666666667
IL3	0.181625
DRAM	1.557
PTCH1	-1.172875
TP53BP1	-0.05025
SLC17A7	-0.091125
COL25A1	-0.6924
AMACR	1.406
RHCG	-0.3745
VPS13A	-0.875583333333333
FAM55D	0.471
PRPF38B	-1.17116666666667
OSBPL6	0.253
PFDN5	0.4701
CMTM6	0.555875
KCNK12	-2.002
RP2	0.61475
C16orf52	-1.6825
PICK1	0.652
IFNE1	0.182
SEMA4B	0.6845
TYRO3	-1.727
OR12D2	0.2815
CSNK1A1	0.0381
FANCF	0.9785
LONP2	0.901125
TBL1Y	-1.30725
LDOC1L	0.41125
CCNC	0.18275
C3orf60	-0.39325
CHKA	-1.8575
UBAP1	0.55875
MAP3K1	1.483
ANKRD9	-0.585
FAM92A1	-0.7695
GAB2	-0.125
AZU1	0.01225
DIS3	-0.420666666666667
C21orf109	-0.7975
IQCB1	-1.187
SPATS2	-0.513666666666667
EFCAB3	-0.68375
PRB3	0.03975
FUZ	0.0251666666666667
ZNF813	-0.01875
BMPER	-0.835333333333333
HEG1	0.9795
ALS2CR11	-1.33275
SURF2	-0.69075
PSMC1	0.16275
OR2D2	0.5325
SLC7A8	2.96633333333333
C4orf40	0.0055
SPATA7	0.4655
MAZ	-0.837333333333333
PIN4	-0.10775
PDE1A	0.115125
TAF6L	0.0398333333333333
OR2T34	0.366
KIAA0284	0.70225
ACADS	0.288272727272727
MKRN2	-0.3475
C18orf56	-2.37025
MS4A6E	0.492333333333333
GALNT4	0.3097
C22orf31	0.7455
FLJ36070	0.889
PSME4	-0.3565
TFG	0.1923
EPHX2	0.576375
ANXA5	0.538625
KRTAP1-1	0.0128
BATF	2.9195
KARS	-1.27775
MSTP9	-0.5095
GPR26	0.189875
CCDC72	-0.59825
TEF	1.3335
FOXK1	-0.3752
PRLHR	0.5755
EMX1	0.69875
C11orf30	-0.258125
ICK	0.4695
THSD7B	0.3525
C21orf100	-0.4945
DUOX1	2.343
EFCAB4B	-0.31725
UBE2G2	-1.27566666666667
C3orf54	0.9855
PARP1	-1.045
FAM60A	-2.125
C6orf146	0.451
OR9K2	0.5695
DDX55	-1.6825
RPS15	-0.236
ZNF618	0.91375
DKFZp686D0972	1.1865
SSPO	-0.572
SHFM3P1	1.0975
CPA6	-0.48775
JAG2	0.429
DEFA3	0.2415
PPBPL2	0.035
CD34	3.8335
SLCO4A1	-3.442375
AFG3L1	-2.39316666666667
SHD	-0.6955
RP13-122B23.3	-0.327333333333333
PRKCSH	-0.686333333333333
DPH5	-0.0818333333333333
HLA-F	1.596
TBC1D4	-0.4455
RIG	0.130166666666667
GLUD1	0.126166666666667
HNRPCL1	0.529
HBXIP	-0.535
RNF207	-0.6995
APIP	-1.0515
PLA2G3	0.694833333333333
CCDC84	-2.43975
MYLIP	-0.0127692307692307
PHIP	-0.761
AARS2	0.0998333333333333
DHX32	0.6155
SCAPER	0.1035
MEN1	-0.015125
NIP7	-1.53525
FLJ25404	0.8095
FASTKD3	-1.324
TMEM158	-0.633583333333333
RARA	1.723
BDH1	0.0995
ANKRD16	0.50275
CARM1	0.6185
SS18	0.38
IKZF2	-0.303833333333333
MYD88	0.5945
PML	0.85075
TAF1A	-1.932
CBFB	-0.62825
HIST1H3H	-1.913
C7orf29	-1.2795
COMMD4	-0.509
DPP3	-0.5275
DAB2	1.387625
LOC388882	-0.146
YPEL4	0.2645
AGBL3	0.786
LRP6	-0.3299
SERPINH1	1.018
TLE1	-0.713
CD244	0.328833333333333
ZDHHC15	-0.08925
MGLL	0.4249
PLDN	0.53425
LOC654346	0.776
FAP	4.53725
GPR37	1.453
SCARA5	-0.2675
EBF4	2.64436363636364
LSM6	-0.79525
MLLT1	0.171125
SLC5A12	-1.08175
A2BP1	-1.30483333333333
COPS5	-0.501166666666667
TPM4	0.461714285714286
TNFSF4	1.67466666666667
ACADSB	1.59827777777778
HERPUD1	0.87375
BCL2L11	-1.14216666666667
CEP78	-1.539125
CDCA3	-2.0075
WBSCR19	-0.3248
MYO1A	-1.874
PPEF1	3.24583333333333
LOC440348	-1.35875
CPEB2	1.42375
BPTF	-0.409916666666667
RPL21	-0.1686875
GSX2	0.349
ADPRH	1.205
C17orf68	-0.166333333333333
KCNS1	-0.345833333333333
MLLT6	0.0164
PIWIL4	0.16225
RNF26	-0.676
RAP1B	0.786625
ADAMTS1	-1.1109
ZNF571	0.6235
P2RY6	1.1265
TRIM21	1.0205
CADM3	0.5515
NLRC5	0.623666666666667
ADRA2B	-0.507666666666667
LOC90835	-1.334
PCF11	-0.619
LOC400451	1.8825
GLTSCR1	0.5542
C17orf88	-0.697333333333333
CDH16	-1.30475
FGF7	2.92625
PCSK4	-0.375166666666667
NPC1L1	-1.266
TAT	0.1715
TBCA	-1.1025
MGC33407	0.083
GPR115	-0.65675
CYGB	0.0455
FNBP4	-1.63866666666667
C12orf43	-0.1175
CBL	-0.7674
CLECL1	1.76875
PPAPDC1A	3.9185
WDR25	0.532333333333333
SGCA	0.5215
C22orf29	0.117166666666667
YIPF1	2.0465
GALK2	-0.627
RAB3B	-1.55208333333333
LOC440087	2.57
UCP1	-0.2595
REEP5	2.33525
FADD	0.1948
FOXA1	2.6565
CACNA1A	0.277166666666667
ABI1	0.572833333333333
GRIN2D	0.916
SLC1A4	0.012
LOC401127	-0.83475
HINT2	-0.01025
PLD4	1.682
ZNF286A	-1.1485
ENY2	-0.593
IL1F6	0.0615
PXDNL	1.0545
C20orf79	0.212
TNFSF13B	2.284
DENND3	-0.1495
JARID1D	-2.90475
HIST1H2AK	-0.455
LOC93349	-0.377
SSH1	-0.8309
ENSA	-0.0085
LOC219854	0.179
CKAP2	-1.3871
DKFZP564J102	1.07733333333333
MGC87315	-0.228166666666667
HNRPAB	-0.69525
AMH	-2.1795
ZNF526	0.4065
BRUNOL5	-0.0986
CACNG3	0.343
TRPM1	-1.6255
PPP2R1A	0.162625
COL2A1	-1.20175
DDN	0.0378333333333333
FLJ25770	0.721916666666667
HK2	-0.964071428571429
ELOVL6	-1.5165
MDK	0.12375
EPHX1	0.6925
RASSF2	1.234625
DKFZP434B0335	-0.63725
DLX3	0.084625
PRTN3	-0.51325
AVPR1A	0.39025
C21orf125	-1.72425
TNFAIP8	-0.0735
GNB2L1	-0.31
CALCRL	2.57375
SCGB2A2	9.114
UBXD7	0.0825
ZNF674	-0.135
TMEM35	0.793
BRSK2	-1.332
HECTD3	0.48
TMEM188	0.419416666666667
LGALS9	1.161125
SCARB2	1.48391666666667
USP34	0.00291666666666667
C17orf28	2.18991666666667
ZDHHC23	-1.14825
AQP12B	-0.1875
SLC16A3	-1.975125
APLP2	0.326375
ITIH2	-5.463
MICAL3	-0.770875
TNNI3K	0.1986
HDAC2	-0.431875
PRR7	-0.7048
THBS2	3.1285
LOC751071	-0.637333333333333
CA2	-0.808
RANBP17	-0.2925
RLN3	0.03775
CRYZ	-0.3915
GBAS	-0.2225
TAS1R1	-0.508
MPZL3	0.033
PCDH8	-1.28975
HSP90B1	-0.482833333333333
KCNK15	-0.405
TNIP2	0.409166666666667
GPR146	-0.779
NOL6	0.141
SPC25	-4.05511111111111
STEAP2	2.56857142857143
VAMP3	-0.2545
TCIRG1	-0.5375
ZP4	0.375333333333333
PARL	0.688625
TRIM39	0.544
KIAA1305	0.798
CRNN	0.218666666666667
GRN	1.271
HSH2D	-1.62175
SCAMP1	0.71175
KIAA1913	1.8165
PTS	-0.7555
BANP	0.128357142857143
PRKACG	0.29225
ADCY6	0.713
C16orf46	0.11
CYP51A1	0.4955
DDC	-5.922
ANPEP	0.0555
PROM1	0.5775
SIGLEC10	2.53775
COPG	1.6165
FAM26E	3.13925
TRIP4	0.568
SNX3	0.508833333333333
C1orf175	0.3795
PPY2	0.22675
C14orf152	0.377333333333333
FTSJ1	0.196333333333333
DST	0.58885
LOC554235	0.036
GLRX5	0.37075
C20orf12	0.4157
CAB39	0.0166666666666667
MSH2	-1.8535
PIP4K2C	0.3705
CYLD	1.059875
WTAP	0.14125
MGAT4A	1.83944444444444
TSC22D4	-0.3593
CHRM2	-1.538
PPYR1	0.285
CCNH	-0.975
RRM1	-0.699
ECAT8	-2.98725
LOC400120	-0.5325
GABRA4	-0.208375
C14orf4	0.987
C1orf59	-0.57225
CTDSPL	0.820833333333333
NHEDC2	-0.179
PDE11A	0.6736875
KLHL29	-0.57025
CD5	-0.9852
TSPAN9	1.855
WDR67	-1.71425
THUMPD1	0.1661
C18orf17	0.876
CLYBL	0.7305
FLJ13231	-0.745375
CMBL	0.69975
LECT2	-0.307
NKAPL	2.56466666666667
LOC654780	0.4655
OR4C6	0.455
RAB30	1.02
TSSK4	0.1355
TMEM163	0.7485
OSBPL11	0.242166666666667
GNB5	-0.7035
CCL21	0.6515
C1orf121	0.479166666666667
FMO2	1.77616666666667
RPTN	-0.058
MSTN	1.1345
VCL	0.510928571428572
FYTTD1	0.72275
C11orf1	-0.51325
CCDC88C	-0.4160625
HFE	0.364055555555556
MOGAT1	0.164
FAM125B	0.578333333333333
IRGQ	0.474
RAVER2	-0.88725
AKAP5	-0.403
SSSCA1	-0.56925
C11orf63	1.145375
ACTG2	1.6359
PORCN	-0.596
DTL	-2.63509090909091
TMEM151	0.40125
FAM122C	0.24075
RSAD2	2.4728
BAT4	-0.4055
KRTDAP	-1.6545
MYH8	0.70975
CRTC3	1.00725
LRRFIP2	0.1439
INTS4	-0.428166666666667
TTN	-1.31766666666667
SLC26A5	0.495
PLLP	-0.1755
RGS6	-0.60375
SRGAP3	0.524
ZNF525	-0.187666666666667
NBR2	0.358833333333333
C13orf1	0.0676
ZNF137	-0.1805
CEP27	-1.82525
BEST2	0.3365
RNF121	-0.32
DMRTC2	-0.914
C8orf76	-0.05725
BCCIP	-0.368
MEST	-0.51525
HTRA2	-0.12
ANGPTL2	1.97925
ILKAP	-0.730166666666667
ERAS	0.6555
HBS1L	-0.242375
CPA5	-0.0105
TMEM30A	0.952
CD300LF	2.12416666666667
WISP3	1.7345
CRK	0.187928571428571
PDS5A	-0.3766
BRPF3	0.281333333333333
NEDD9	0.56525
SMPDL3B	1.04125
PSG6	-1.0175
PSMD13	0.459
ETV5	-0.844875
OR51A4	-0.2315
BTBD7	0.915
GSTO1	-1.08525
hCG_16001	-0.1335
MAD2L1BP	-0.215166666666667
COX6A2	0.872
SCNN1A	2.57183333333333
LSM1	0.311833333333333
UGT2B11	1.22125
IDUA	1.03875
PPP2R3C	-0.400833333333333
COX11	-0.29
PDZK1	-4.3455
ZNF443	-0.2395
MGC21874	1.35616666666667
ZNF323	2.1278
KRTAP10-10	0.2
CXCL6	0.02025
SLC34A2	1.8843
LOC284402	-0.0875
NPTN	1.03341666666667
UPP1	-2.17866666666667
SLC6A9	-0.2475
OR7G3	0.31975
CISD1	-0.658166666666667
ZNF545	-0.137333333333333
SYT14	-0.765
NT5C3L	0.464666666666667
ZNHIT3	-0.326833333333333
SNRPD3	-0.459
KIAA0701	0.353
UNC93B1	-0.144333333333333
GMNN	-1.934
SPCS2	0.380166666666667
LOC388524	-0.4815
NAPRT1	-0.16325
PNLIPRP1	-0.32575
OR6V1	0.4815
PRKAB1	0.071
EYA4	-3.20533333333333
KIF20A	-3.172
ALG10	-0.38625
ITPKC	0.478333333333333
LMX1B	0.757
RPUSD4	-0.865333333333333
C7orf34	0.412333333333333
DLGAP2	0.52975
PFN1	-0.5389
MICALL2	-0.9755
ZNF654	-0.4075
SS18L1	-1.462625
SLC16A8	0.807
MKI67IP	-0.395
ITGB3	-0.440375
TCEA3	1.73125
CEP152	-2.4765625
CLIP1	0.64875
ZNF75	0.523
ATP5C1	-0.579166666666667
NUDT5	-1.2255
PSCDBP	-0.22825
UBP1	-0.268
RBM27	-0.68525
C13orf15	2.91325
ZNF282	-0.0453333333333333
ZNF222	-0.2381
COL10A1	6.2575
PRDM15	-0.975375
TTTY5	-0.225
FAM9C	-0.349333333333333
C20orf67	0.1405
GNG13	-0.14
F12	-1.795
C1orf41	-1.287
CPXCR1	-0.546
GSK3A	0.463625
SUPT6H	-0.312333333333333
PI16	-1.83266666666667
ELL2	-0.213583333333333
C9orf167	-1.009
PVRL3	-0.0884
FLJ38596	0.16225
ADAM20	-0.03025
GPR89A	0.1035
GPR87	0.196
ZNF30	0.2285
SMR3B	1.55775
ZNF770	0.0315
TRPC4AP	-0.568666666666667
DKFZP686E2158	0.4975
C2orf28	0.3605
FREM1	-0.3365
LAMA4	1.19983333333333
ADPRHL2	0.16975
EIF4G2	0.481333333333333
GUCA1A	-0.598
CTNNA2	-1.293875
NUDT15	-0.927666666666667
CEPT1	0.337666666666667
