Hybridization REF	TCGA-B6-A0RH-01A-21R-A115-07
OSTM1	-1.1066875
CLCN7	0.496
OTP	-0.11125
FLJ23049	2.65
HEATR4	1.6395
MAP3K10	1.40066666666667
PCDHGA9	0.62
AMDHD2	0.64925
LCTL	-1.6805
PDCD2L	-0.1525
CABLES2	0.038
SLC5A9	-0.18175
CLCA2	3.3415
MGC16025	0.0555
STRAP	-2.0285
C20orf196	-0.737
RRBP1	1.00733333333333
NAT13	-0.986
MAT2B	-0.491625
CSNK1D	-0.121333333333333
KIR3DL1	0.886
PRKAG3	0.201
ZNF599	0.5085
PRM3	1.4485
PER2	0.138333333333333
ASPHD1	-2.03
PRMT6	-0.90675
KCNE1L	0.283642857142857
FAM118A	-1.08566666666667
TAF4	-0.6325
NDUFB6	-0.2205
TRIM9	-1.24775
PMFBP1	-1.11175
KY	0.0285
DKFZp762E1312	-2.84836363636364
CSMD1	-1.64725
TBP	-0.759666666666667
OR1Q1	0.3515
RETNLB	0.38325
HPGD	-0.371571428571428
DNAJC12	0.287333333333333
FKBP1B	-1.78625
ANKRD24	-0.192
CXXC5	0.739166666666667
IL3	0.15575
DRAM	0.2466
PTCH1	-0.882875
TP53BP1	-0.09975
SLC17A7	-0.19725
COL25A1	-1.3943
AMACR	-0.434333333333333
RHCG	-0.5275
VPS13A	-0.987833333333333
FAM55D	0.7745
PRPF38B	-1.03291666666667
OSBPL6	-0.27025
PFDN5	0.5659
CMTM6	-0.071625
KCNK12	-0.75525
RP2	-0.9685
C16orf52	-2.148
PICK1	-0.1725
IFNE1	-1.47166666666667
SEMA4B	1.83225
TYRO3	-1.8825
OR12D2	1.328
CSNK1A1	0.27325
FANCF	1.11675
LONP2	-0.0902500000000001
TBL1Y	-0.112
LDOC1L	-0.01075
CCNC	-1.39325
C3orf60	0.38675
CHKA	-1.891
UBAP1	0.78625
MAP3K1	2.2625
ANKRD9	-0.9175
FAM92A1	-0.738666666666667
GAB2	-0.037
AZU1	0.71525
DIS3	-0.936416666666667
C21orf109	-1.17025
IQCB1	-0.91025
SPATS2	-0.950166666666667
EFCAB3	0.54375
PRB3	0.485625
FUZ	0.520166666666667
ZNF813	0.024625
BMPER	-1.12666666666667
HEG1	-0.118
ALS2CR11	-1.13175
SURF2	0.43775
PSMC1	0.0534166666666667
OR2D2	0.795
SLC7A8	2.43866666666667
C4orf40	0.079
SPATA7	0.027
MAZ	0.843083333333333
PIN4	0.36525
PDE1A	-1.312625
TAF6L	0.439833333333333
OR2T34	0.452
KIAA0284	1.006
ACADS	0.116818181818182
MKRN2	-0.7345
C18orf56	-3.30175
MS4A6E	0.329333333333333
GALNT4	0.1388
C22orf31	-0.094
FLJ36070	2.2075
PSME4	0.09175
TFG	-0.0802
EPHX2	0.508625
ANXA5	-0.63725
KRTAP1-1	-0.3422
BATF	2.76425
KARS	-1.9565
MSTP9	-2.999
GPR26	4.4675
CCDC72	0.33275
TEF	0.602666666666667
FOXK1	-0.5253
PRLHR	0.1135
EMX1	1.2415
C11orf30	-0.1535
ICK	0.973375
THSD7B	0.284
C21orf100	1.3795
DUOX1	1.6515
EFCAB4B	-0.323
UBE2G2	-0.146166666666667
C3orf54	0.68475
PARP1	0.12425
FAM60A	-0.721083333333334
C6orf146	0.15925
OR9K2	0.458
DDX55	-1.2215
RPS15	0.462083333333333
ZNF618	1.3420625
DKFZp686D0972	1.397
SSPO	0.8345
SHFM3P1	0.8265
CPA6	2.21925
JAG2	1.22725
DEFA3	-0.111
PPBPL2	0.375
CD34	3.691
SLCO4A1	-2.36725
AFG3L1	-2.22666666666667
SHD	-0.78875
RP13-122B23.3	-0.388
PRKCSH	0.578333333333333
DPH5	-0.705833333333333
HLA-F	3.12925
TBC1D4	-1.22025
RIG	-0.519
GLUD1	-0.2685
HNRPCL1	0.811
HBXIP	-0.57825
RNF207	-1.0415
APIP	-0.721
PLA2G3	0.822833333333333
CCDC84	-1.50925
MYLIP	-0.227769230769231
PHIP	0.591
AARS2	-0.227
DHX32	0.4135
SCAPER	-0.728333333333333
MEN1	0.323625
NIP7	-1.709
FLJ25404	0.7635
FASTKD3	-0.83825
TMEM158	-1.43016666666667
RARA	2.06775
BDH1	0.9105
ANKRD16	0.29
CARM1	0.196
SS18	-0.287833333333333
IKZF2	-0.391
MYD88	1.295875
PML	1.5526
TAF1A	-1.236
CBFB	-1.445625
HIST1H3H	-0.844833333333333
C7orf29	-1.988
COMMD4	-0.672833333333333
DPP3	1.1405
DAB2	0.3655
LOC388882	-0.025
YPEL4	-0.16975
AGBL3	1.1155
LRP6	1.2797
SERPINH1	0.66375
TLE1	0.81325
CD244	0.402833333333333
ZDHHC15	-0.47375
MGLL	-1.3371
PLDN	0.0603333333333333
LOC654346	2.7785
FAP	2.2765
GPR37	-0.314666666666667
SCARA5	-1.097
EBF4	0.864727272727273
LSM6	-1.11475
MLLT1	0.1405
SLC5A12	-0.28925
A2BP1	-1.38383333333333
COPS5	-0.202333333333333
TPM4	0.1445
TNFSF4	1.92483333333333
ACADSB	0.304222222222222
HERPUD1	-0.90975
BCL2L11	-0.0127777777777778
CEP78	-1.64
CDCA3	-0.980875
WBSCR19	-0.2455
MYO1A	-2.028
PPEF1	1.85516666666667
LOC440348	-0.17325
CPEB2	0.2265
BPTF	-0.22175
RPL21	-1.0591875
GSX2	0.268
ADPRH	1.15966666666667
C17orf68	-0.527333333333333
KCNS1	-0.324666666666667
MLLT6	0.7678
PIWIL4	0.79925
RNF26	-1.19875
RAP1B	-0.3745
ADAMTS1	0.1902
ZNF571	0.353
P2RY6	0.35125
TRIM21	2.1515
CADM3	0.81675
NLRC5	0.942666666666667
ADRA2B	-0.417833333333333
LOC90835	0.38925
PCF11	0.3955
LOC400451	1.953
GLTSCR1	1.0719
C17orf88	-0.106333333333333
CDH16	-1.713
FGF7	1.90325
PCSK4	0.0981666666666667
NPC1L1	-1.0575
TAT	0.211
TBCA	-0.0895
MGC33407	-0.07525
GPR115	-0.797
CYGB	-0.016
FNBP4	-1.3605
C12orf43	0.2975
CBL	-0.7733
CLECL1	-0.54
PPAPDC1A	2.57325
WDR25	0.440333333333333
SGCA	1.5145
C22orf29	0.259833333333333
YIPF1	1.34725
GALK2	-0.84225
RAB3B	-2.06891666666667
LOC440087	1.40125
UCP1	-0.1185
REEP5	1.254
FADD	-0.1869
FOXA1	3.119875
CACNA1A	0.332333333333333
ABI1	-0.182666666666667
GRIN2D	2.26975
SLC1A4	-0.202166666666667
LOC401127	0.04325
HINT2	-0.004
PLD4	-0.0146666666666667
ZNF286A	-0.60225
ENY2	-0.06725
IL1F6	0.4945
PXDNL	2.6935
C20orf79	0.26925
TNFSF13B	3.39416666666667
DENND3	0.31875
JARID1D	-2.62675
HIST1H2AK	-0.259875
LOC93349	0.4815
SSH1	-0.8899
ENSA	0.928
LOC219854	-0.488333333333333
CKAP2	-1.4953
DKFZP564J102	-0.851166666666667
MGC87315	-0.362833333333333
HNRPAB	0.3885
AMH	-1.196
ZNF526	0.9205
BRUNOL5	0.1243
CACNG3	0.0608333333333334
TRPM1	-2.057
PPP2R1A	0.59325
COL2A1	-1.5395
DDN	0.133333333333333
FLJ25770	1.34945454545455
HK2	-0.666142857142857
ELOVL6	-2.763375
MDK	0.462
EPHX1	3.1945
RASSF2	-0.06125
DKFZP434B0335	-0.3245
DLX3	0.325625
PRTN3	-0.10125
AVPR1A	1.31225
C21orf125	-1.0615
TNFAIP8	-1.385
GNB2L1	-0.81275
CALCRL	2.53325
SCGB2A2	8.93633333333333
UBXD7	1.77825
ZNF674	-0.109
TMEM35	-0.81225
BRSK2	0.337125
HECTD3	0.630333333333333
TMEM188	-0.152333333333333
LGALS9	3.185375
SCARB2	1.05241666666667
USP34	0.0214166666666667
C17orf28	1.05908333333333
ZDHHC23	-1.403
AQP12B	-0.413
SLC16A3	-0.897875
APLP2	1.063125
ITIH2	-5.52825
MICAL3	0.16075
TNNI3K	2.5
HDAC2	-0.065375
PRR7	1.4782
THBS2	0.802875
LOC751071	-0.0971666666666666
CA2	2.25
RANBP17	-0.17075
RLN3	0.3325
CRYZ	-0.2895
GBAS	-0.914666666666667
TAS1R1	0.44575
MPZL3	1.6285
PCDH8	-2.263
HSP90B1	-0.685416666666667
KCNK15	2.2275
TNIP2	-0.302333333333333
GPR146	-0.811
NOL6	0.293625
SPC25	-1.68888888888889
STEAP2	1.03164285714286
VAMP3	-0.3575
TCIRG1	-0.2625
ZP4	0.0641666666666667
PARL	-0.370625
TRIM39	0.271333333333333
KIAA1305	1.427
CRNN	0.722166666666667
GRN	0.107
HSH2D	1.39425
SCAMP1	-0.0765625
KIAA1913	0.06225
PTS	-0.19125
BANP	0.135214285714286
PRKACG	0.07025
ADCY6	-0.1945
C16orf46	0.3495
CYP51A1	0.419
DDC	-3.243
ANPEP	-0.218666666666667
PROM1	-1.77033333333333
SIGLEC10	0.7725
COPG	1.607
FAM26E	1.8105
TRIP4	0.16775
SNX3	-0.286833333333333
C1orf175	0.621666666666667
PPY2	-0.074
C14orf152	-0.67025
FTSJ1	-0.394
DST	-0.6771
LOC554235	0.39125
GLRX5	-0.808
C20orf12	1.1466
CAB39	-0.7985
MSH2	-2.17466666666667
PIP4K2C	0.462125
CYLD	1.06475
WTAP	-0.1051875
MGAT4A	1.64633333333333
TSC22D4	0.0517
CHRM2	-1.5075
PPYR1	0.944666666666667
CCNH	-0.890166666666667
RRM1	-0.87175
ECAT8	-1.881
LOC400120	0.56875
GABRA4	0.371
C14orf4	0.638833333333333
C1orf59	-0.4635
CTDSPL	0.23925
NHEDC2	-1.597
PDE11A	-0.1850625
KLHL29	-2.23825
CD5	-0.9128
TSPAN9	1.284
WDR67	-0.43525
THUMPD1	-0.0622
C18orf17	-0.7685
CLYBL	0.432
FLJ13231	-0.595
CMBL	1.3635
LECT2	-0.57325
NKAPL	2.31183333333333
LOC654780	0.499
OR4C6	0.499
RAB30	1.40966666666667
TSSK4	0.172
TMEM163	-1.298
OSBPL11	-0.3265
GNB5	-1.21183333333333
CCL21	0.52075
C1orf121	0.368166666666667
FMO2	1.08233333333333
RPTN	-0.667
MSTN	1.0305
VCL	0.408571428571428
FYTTD1	0.69325
C11orf1	0.5475
CCDC88C	0.49075
HFE	0.317277777777778
MOGAT1	0.0395
FAM125B	0.564666666666667
IRGQ	0.4555
RAVER2	-0.6455
AKAP5	-0.1725
SSSCA1	-0.056
C11orf63	1.733
ACTG2	1.8634
PORCN	-0.844
DTL	-1.76645454545455
TMEM151	1.25075
FAM122C	-1.052
RSAD2	6.2128
BAT4	-0.643
KRTDAP	0.341833333333333
MYH8	-0.153
CRTC3	0.852
LRRFIP2	0.6141
INTS4	-0.4865
TTN	-0.6385
SLC26A5	-0.14
PLLP	-1.33175
RGS6	-0.484
SRGAP3	0.559375
ZNF525	0.0276666666666667
NBR2	-1.07533333333333
C13orf1	0.2298
ZNF137	0.1165
CEP27	-1.72375
BEST2	0.209
RNF121	-0.55575
DMRTC2	2.61325
C8orf76	0.39125
BCCIP	0.158
MEST	-0.648
HTRA2	-0.5735
ANGPTL2	0.955
ILKAP	-0.754166666666667
ERAS	0.103
HBS1L	0.50475
CPA5	0.1005
TMEM30A	-0.2005
CD300LF	1.00816666666667
WISP3	4.331
CRK	0.312357142857143
PDS5A	-1.4718
BRPF3	0.7065
NEDD9	-0.5895
SMPDL3B	1.57925
PSG6	-1.00125
PSMD13	0.44075
ETV5	-1.7068125
OR51A4	0.2565
BTBD7	0.53475
GSTO1	-0.900625
hCG_16001	-0.3215
MAD2L1BP	-0.634833333333333
COX6A2	2.151
SCNN1A	3.12166666666667
LSM1	-0.703333333333333
UGT2B11	-2.26675
IDUA	0.95975
PPP2R3C	-1.33583333333333
COX11	-1.46716666666667
PDZK1	-1.608
ZNF443	0.948
MGC21874	1.20866666666667
ZNF323	3.1968
KRTAP10-10	1.0925
CXCL6	-0.6855
SLC34A2	2.6113
LOC284402	1.745
NPTN	0.868833333333333
UPP1	-1.82816666666667
SLC6A9	0.95
OR7G3	-0.00675
CISD1	-0.335833333333333
ZNF545	0.295833333333333
SYT14	-0.865
NT5C3L	-1.02866666666667
ZNHIT3	-1.29533333333333
SNRPD3	0.109
KIAA0701	-1.13625
UNC93B1	1.3405
GMNN	-2.273375
SPCS2	0.1015
LOC388524	-0.7045
NAPRT1	1.102125
PNLIPRP1	0.1885
OR6V1	0.6085
PRKAB1	-0.91875
EYA4	-3.48266666666667
KIF20A	-0.4895
ALG10	-1.0605
ITPKC	1.22733333333333
LMX1B	1.47083333333333
RPUSD4	-1.35566666666667
C7orf34	-0.0578333333333333
DLGAP2	0.46275
PFN1	-0.0164
MICALL2	-0.273083333333333
ZNF654	0.445
SS18L1	-1.68575
SLC16A8	0.5405
MKI67IP	-0.083
ITGB3	-0.733375
TCEA3	2.5215
CEP152	-2.4494375
CLIP1	1.200875
ZNF75	0.1621875
ATP5C1	-0.135
NUDT5	-0.5795
PSCDBP	-0.27225
UBP1	-0.68925
RBM27	0.195
C13orf15	2.13775
ZNF282	-0.0421666666666667
ZNF222	-0.4845
COL10A1	5.232
PRDM15	-0.849125
TTTY5	-0.464
FAM9C	-0.559
C20orf67	0.3665
GNG13	0.2975
F12	1.15025
C1orf41	-0.105
CPXCR1	0.3255
GSK3A	0.471125
SUPT6H	0.266833333333333
PI16	-1.43533333333333
ELL2	-0.536166666666667
C9orf167	-1.8735
PVRL3	-1.1788
FLJ38596	1.08625
ADAM20	0.37125
GPR89A	0.1825
GPR87	-2.377
ZNF30	0.79625
SMR3B	0.55825
ZNF770	0.441
TRPC4AP	-0.581666666666667
DKFZP686E2158	0.213166666666667
C2orf28	-0.356166666666667
FREM1	-1.1045
LAMA4	0.583833333333333
ADPRHL2	0.828
EIF4G2	0.3585
GUCA1A	0.4235
CTNNA2	-0.511125
NUDT15	-0.6575
CEPT1	-0.716666666666667
ZNFX1	2.1111
CCDC92	1.455
TDRD1	1.443
KCNK5	1.684
ETNK1	-1.15441666666667
LTA	0.5895
TTPA	1.59466666666667
B3GALNT2	0.738125
SC65	0.111333333333333
PEX5L	-1.085875
EPS15L1	0.5485
MGEA5	-0.705
HIST1H3A	1.641
ING1	0.361125
BCAT1	-3.115625
ORC6L	-2.95509090909091
KLK11	-4.84316666666667
C19orf28	-0.886875
DNER	-4.022
MED22	-0.866214285714286
ETV6	2.29416666666667
CHAC2	-2.1495
CD300E	0.807
CEBPB	0.97225
ZNF398	-0.00775
LRCH3	-0.0405
HMGA1	-1.10366666666667
CAPN7	-0.263833333333333
MGC5566	-1.75025
CCL3	2.726
NANOS1	0.033
ZFYVE19	-0.22425
APITD1	-0.0533333333333333
PARD3	0.42775
IRAK4	-0.0948333333333333
SERPINI2	2.514
CEP170L	-0.19275
TTC9	2.21
MYOM3	-0.5995
MLPH	-0.151
LOC222699	0.897
NRG1	-0.21225
TBC1D9	0.367818181818182
TTK	-1.3435
ZNF557	0.692
DDX41	-0.196833333333333
FANK1	2.728
UBE2D2	0.034375
PSMB10	0.767625
MYH7B	0.2235
GABARAPL2	-1.307625
MARVELD2	1.5385
DGCR2	0.931
UNC45A	0.507333333333333
C6orf72	0.4255
ZNF683	4.5365
GIT2	-0.96625
CASK	0.852666666666667
C14orf161	3.445
LRRC44	0.3705
TIFA	-1.11525
UTP11L	-0.077
C6orf65	-1.2645
FDPS	-0.73275
DUSP9	-1.4517
SLC17A8	0.696333333333333
OR51G1	0.2265
NANS	-0.3625
OLFML1	1.6145
ATP10B	-0.755125
NPAS3	-0.61975
PRKCA	-2.9781
GGA2	-0.9070625
LCE4A	0.705
SPANXN3	-0.7545
CCDC115	0.79625
SDCCAG3	-0.95
GLIPR1L1	0.8315
TTC1	0.3315
C17orf76	-0.06
MAD2L2	-1.23775
HIPK1	0.0169999999999999
LRRC3B	-0.902
CLN3	-0.610863636363636
C17orf47	0.506
FMN2	-2.31375
TUBB1	-1.34975
WAPAL	0.288166666666667
C3orf21	0.098875
SCN5A	0.1895
SMYD1	0.15375
BEX5	0.57025
ZNF192	-0.2045
SEC22A	-0.432833333333333
GRIA2	-0.0861428571428571
KIAA0825	-1.36325
NUSAP1	-2.06172727272727
LANCL1	-1.30425
C15orf40	-0.4533
ZNF645	0.438
GPR61	0.28225
NLRP14	-0.3065
SNX21	0.126
C1QTNF8	0.079
C17orf46	0.3565
IFNA8	1.1015
SPRR1B	-0.233833333333333
FLRT1	-0.87425
SNX17	-0.559333333333333
ASB2	-0.2315
HBG1	-5.015
RPRML	-1.9635
JOSD2	1.349
PLSCR3	0.58775
SPOCD1	0.0373333333333333
RAB39	-0.2365
GHRH	2.615
ITIH5L	0.42875
C17orf37	2.82475
SMCR8	0.11
DPY19L2P3	-0.341666666666667
IL11RA	0.117
GDF3	-4.0585
RPS6KB1	-1.02916666666667
DNAJC19	0.8118
TOP1	0.221
CRCT1	-0.97275
MPST	0.170625
DPM2	0.63325
FAM38B	-0.9565
SLC18A1	-2.53783333333333
FARP1	0.648166666666667
PAX7	0.32975
TUBD1	-0.99475
GNL3	-0.258875
BTG2	0.804066666666667
NDUFS6	-0.27325
C1orf79	-1.248
ERAL1	0.19275
ECHS1	0.9455
VPS4A	-0.747333333333333
CYP11A1	-0.07125
ABCC6	-1.39192857142857
PBX4	-2.609
MOSC1	0.68125
NCF4	0.20025
HYMAI	-0.1315
NAGPA	-0.936625
OTOP2	0.55925
ACOT12	0.141
MTHFD2L	-1.36875
LOC441376	4.87875
C19orf34	0.6485
RAB1B	-0.093
ALDOAP2	0.534
NTRK1	-1.13533333333333
ARTS-1	-0.2734
SLC6A11	-0.147
NAP1L2	0.566
CNGB1	0.212333333333333
EPB41L4B	0.659083333333333
FAM134B	1.009625
HS3ST3A1	0.330333333333333
CPXM2	5.981
SIRPB2	-0.745
CHORDC1	-0.885166666666667
TRIB3	-0.0731666666666667
SLC2A5	1.01125
C2orf49	-0.294166666666667
DDX5	-0.348
OR5L1	1.6955
ANAPC4	-1.61633333333333
ZSWIM1	0.50775
LOC93622	-0.6635
KCNK3	0.9929
RP11-35N6.1	-1.597625
ZFP161	-0.54
AQP9	2.7695
SLC15A2	0.379833333333333
MREG	0.324666666666667
OR9I1	0.012
PDLIM2	0.685125
ADAM7	0.392
GSTCD	-0.448333333333333
WDR21A	0.077
SLC12A8	1.25483333333333
TMEM174	0.2565
IGSF3	0.84825
LRRN1	-0.86625
LOC402117	0.05925
SRPK1	-1.57616666666667
LY6K	0.0775
NFIA	3.238
PTCD3	-0.9065
LEP	0.8595
PCDH21	-0.4938
MAPKAPK2	1.77985714285714
NMNAT1	0.2895
LHFPL2	0.20325
C9orf43	1.51825
DIP2A	-0.362666666666667
ACTR8	-0.53625
CCDC34	-1.137
PTPN22	-1.371375
ITGA3	-0.581375
FAM129C	-0.20375
RABGGTA	0.265166666666667
UNC45B	0.149
KIAA1033	-0.259625
ZNF510	0.134666666666667
CYP2D6	0.189666666666667
SLC26A10	-1.4835
STX8	-0.32425
LUZP1	0.30025
WDR89	0.874666666666667
EIF4G3	0.4665
C5AR1	0.924875
ZNF623	0.8635
A2M	-0.10475
TGM7	0.6655
GRPEL1	-0.777833333333333
LMNB2	-0.7471
ROCK2	0.375166666666667
SNX16	-0.30775
CCDC66	-0.0165
ANXA3	-0.99175
KIAA1609	-0.13525
EED	-1.25
RNF32	0.943833333333333
HES1	1.0642
CLC	1.722
ISL1	-0.957833333333333
KIAA0528	-0.191875
MANEA	-0.15525
C1orf61	-0.9945
hCG_2001000	0.41475
RAPGEF6	-0.1144
KIAA0020	-1.27816666666667
NEIL1	1.1855
C16orf45	0.4905
RBM10	-0.0821666666666667
C10orf125	-1.743625
MRS2L	-0.05475
DNAH17	-0.897625
C19orf10	-0.627
C1orf160	1.02625
SLFN12	1.2795
EXOC3	-0.231833333333333
HIST3H3	0.83525
NCOR2	-0.0565
TNFRSF9	0.8165
MFSD8	-1.27525
ALX1	-4.23483333333333
NOL1	0.32225
PODN	2.63975
TIAL1	-0.9905
HIST1H1E	-0.51225
NPY6R	0.55525
TM4SF4	-0.3495
CORO2A	-0.44625
ETNK2	0.7415
APOE	0.232
ANGPT4	0.318
HDGF2	0.341
G30	0.1
ST8SIA4	-0.48225
F2RL1	0.24075
FAM19A4	-3.85925
CCAR1	0.1825
B3GNT7	0.66075
OPHN1	-0.5817
DSCR6	-0.4665
C21orf13	2.7375
GAS2L1	1.09108333333333
RFX3	-0.223166666666667
COPS4	-1.463875
BCHE	-5.2665
BCL2	0.536375
HBZ	-2.93983333333333
ARL13B	-0.516
MAPBPIP	1.168875
MYO15B	-0.904375
SPZ1	-0.19075
KIAA1324	2.88255555555556
PLCL2	-1.163
C4orf29	-2.319
WDFY2	-0.161875
ZNF284	-0.0895
NAALADL1	0.5875
DUSP5	0.123666666666667
PXDN	1.109125
SLMO1	-1.6735
TNXB	0.7563
BIRC7	-1.05925
A4GALT	1.77516666666667
TIMM22	-0.29225
FAM110C	1.41825
TOMM34	-0.4095
ABHD9	0.353
ADAM32	1.871
CRHBP	-0.493
AQP2	0.709
LOC130355	1.09525
ZNF187	-0.0158333333333333
ZNF816A	0.022
F7	-0.368
CNOT1	-0.9869
SLC13A4	-0.7455
ZBTB11	-0.70275
B3GALT5	0.36275
EXOC2	0.159
IRS1	-0.3047
TMEM1	-0.105166666666667
MRPL34	-0.374166666666667
SAMM50	-0.2905
CDC42EP3	0.472625
HSF2	-1.0919
MFN2	0.05525
TSPAN7	-2.8635
NUCB1	0.881083333333333
RHOH	-1.184
ARL16	-0.618
TACR1	0.2265
SFRS5	-1.12416666666667
SNX25	-0.778875
RHBDF1	0.7275
PCDH18	1.87433333333333
HMG1L1	-0.07625
MYO5C	1.34575
MAPK10	3.812
LDHAL6A	0.533166666666667
NUDT12	0.344
NCAM1	-0.00550000000000002
GLIS2	1.6215
GGTL4	2.129
DAPP1	-0.19825
ATF7	1.15375
KIAA0748	-0.79875
NFIL3	0.455
TM6SF1	-1.018
SEZ6	-0.0885
NANOS3	0.360833333333333
DNAJA3	-0.550666666666667
CLDN6	-1.102
CIITA	1.9674
EPHA4	-0.899
FANCC	0.375
CMTM3	0.478125
PSG3	-0.13675
MRPL15	-0.3875
C21orf59	0.2355
PLCXD2	-0.1965
C2orf34	0.136375
UBE2L6	2.66825
MED14	-0.256333333333333
HP1BP3	-0.5892
C6orf208	0.7205
TPBG	0.60875
OSR2	-0.126375
XPC	0.223
KLHL7	-1.00616666666667
CCR3	-0.9852
AGTPBP1	-1.14166666666667
PCSK6	-1.21586666666667
STAT5A	-1.2418
FAM18B	-1.03675
LONRF2	-1.2365
PTPN2	-1.34375
SF3A3	-0.531166666666667
EFCBP2	-0.0165
HCFC1	-0.781
AHNAK	-0.50415
ACTR5	0.5985
KIF14	-1.75928571428571
TENC1	1.326
HEATR5B	0.038
YIPF2	1.0645
MYEOV2	0.251166666666667
DUSP18	0.9
KIAA1012	-1.09375
AHR	-0.029
C17orf53	-1.0835
PTPRH	-3.45375
ATP6V1C1	-0.2075
TAS2R3	-0.4245
LOC440356	0.327
COQ10B	0.31325
PSMF1	0.69025
SORBS2	0.443333333333333
NFE2L2	1.0955
TMCO7	-0.6245
SH3PXD2A	-1.1934
SH2D2A	-1.2425
SPINK5	-3.3065
MRPS24	-1.60625
OPA3	0.836
TRAF7	0.323166666666667
C4orf35	-0.138666666666667
MT1G	-0.7665
MGC39545	-0.1315
HS1BP3	0.6808
OR2B2	1.152
CHRM4	0.369
SFRP2	3.65191666666667
RIC3	-1.03025
ART1	-0.032
C6orf1	1.2975
DUS4L	-1.76625
C10orf104	-0.53475
TNFAIP6	3.11725
RTEL1	-0.87025
CCT4	-1.0738
ZNF709	0.0045
CHMP6	-0.163666666666667
UPP2	0.2265
CYP19A1	-0.742125
CD151	0.9275
NDUFA13	-0.112833333333333
ARFRP1	-0.579333333333333
FAM26B	2.081
CRYBA1	-2.237
MRPL41	1.03033333333333
NPFFR2	-1.103125
HRH2	0.2215
SCAMP3	0.524
MTMR6	-0.1253
MTG1	-0.772666666666667
UBTD1	1.40775
CRABP1	3.485
FLJ33790	0.5003
KIAA1908	-0.571333333333333
GPR158	-2.556
PACSIN3	-0.503
OMD	3.0855
CATSPER1	-0.633
HOXB8	-1.116375
FBXO46	1.215
OAS1	3.50116666666667
SVIL	0.59625
PHB2	-0.80275
ADCY3	-0.288
NDRG2	0.136666666666667
ERMAP	0.4117
APBA2	0.461833333333333
IGSF9	2.26
WNT6	0.817714285714286
MYCBPAP	2.878
ATP2B2	0.15
CPVL	-2.1
TRAM2	-0.75125
NOP5/NOP58	0.556
ZNRF4	0.441
TLK1	0.4355
MTMR12	-0.0627857142857143
ZNF384	-0.364333333333333
FAM9B	-2.886
RPN1	0.6587
PMVK	1.45575
EIF3D	0.1576
SIX2	-0.7335
HPS1	0.708785714285714
RNF7	0.259
PSKH2	0.751
KCTD13	0.176
CSMD3	-0.8402
FBF1	-0.21
IL8	-5.140375
SERPINB13	0.387
FBXL20	2.036
BLR1	0.5165
SH2B1	-0.250333333333333
RFNG	0.377125
RAB20	0.820166666666667
RBM7	-2.314
POLR1A	0.153
TMPRSS4	-3.2135
TAF9	-0.794625
TERF2	-0.286333333333333
TNFRSF1A	1.22158333333333
ACADVL	-0.564166666666667
GTF2H5	0.5475
EDG8	-0.0891666666666667
C9orf140	-0.53075
UST6	0.2135
ZBTB8OS	0.60325
ZNF710	1.338
GPR174	-1.966
ATP6V0A2	-0.6675
KIAA0319L	0.0334166666666666
XKRX	0.5075
DOPEY2	2.1739
SDHD	-0.811083333333333
SUMF1	1.08175
OSM	1.2665
OPN3	0.0385
DAGLB	-0.169
PPFIBP1	0.2854
TRIM63	-4.21175
C10orf53	0.3085
LYPD3	0.366833333333333
BCL7A	0.8545
AGER	-1.0225
TCF19	-0.84
SAT2	-0.64825
PFTK1	1.4955
GABRE	0.051875
C15orf38	1.2753
FIS1	-0.1935
KCNV2	-0.09975
CLPS	1.19425
PPCDC	-0.104875
FOXN2	-0.544
NT5E	-2.2939
CD83	0.06625
IL18	-1.732125
VPS16	0.75
IGFBP2	-0.927833333333333
NOTCH2	0.0825
SIGLEC1	2.81
CD93	4.3795
SULF2	0.052
CEP164	0.296125
P53AIP1	0.407666666666667
TOR2A	0.107666666666667
ZNF136	0.804
MGP	2.2681
CCDC144A	-0.892666666666667
TRPC1	-1.736
SMS	-0.462166666666667
MAPK7	-0.530666666666667
RRAGC	0.742
PARD6A	0.502833333333333
NUB1	1.29266666666667
SYNGR4	1.48375
OR11H12	0.0185
WIF1	0.984375
GCH1	0.14925
OR11H4	0.3435
SLC44A5	1.6615
GPRIN2	2.49766666666667
LOC401431	0.19075
CPA4	-1.7863
MELK	-1.47777777777778
IL15RA	0.3685
CUL3	-0.7755
HMBOX1	-0.17525
PODXL	-1.8445
CCT6B	0.0611666666666667
COMTD1	-0.19725
MUC20	2.3155
GPX2	-2.66025
ITK	-1.551125
FBXL5	0.419
C13orf27	-1.52025
DEFA5	0.4015
TRHDE	0.404
MTP18	-0.499
UQCRQ	0.4065
ITGB2	1.032
CSRP2BP	0.58525
TAS2R44	0.7165
PHPT1	0.778875
FAM44C	-0.69125
ERH	0.5425
MPHOSPH1	-1.07766666666667
MORC1	-0.4385
PARVB	0.37
LAMA1	-1.8655
PGBD3	0.04575
GIMAP6	3.50075
AREG	-3.57583333333333
LIPT1	-0.45825
MGC99813	-0.037
C1orf201	0.606833333333333
GRIN2A	-0.4174
MAN2C1	-1.061625
NSUN5	-0.37075
SF3B5	0.0935
MYC	-2.1578125
NRXN1	-1.54290909090909
ZNF18	0.1475
SPDYA	0.214625
SLC37A1	1.0555
DECR2	0.7105
ANKRD38	1.37325
SPTLC3	1.20441666666667
SUPT16H	-0.40675
DTWD2	0.81925
