Hybridization REF	TCGA-A2-A0CQ-01A-21R-A034-07
PRKCSH	-0.5265
DPH5	-0.861833333333333
HLA-F	1.42025
TBC1D4	-0.83625
RIG	-0.0622
GLUD1	0.4375
HNRPCL1	0.5355
HBXIP	-0.54925
RNF207	-0.569
APIP	-1.05675
PLA2G3	1.4445
CCDC84	-0.4715
MYLIP	-0.463692307692308
PHIP	-0.1905
AARS2	-0.916666666666667
DHX32	0.81825
SCAPER	-0.661666666666667
MEN1	0.075125
NIP7	-2.0135
FLJ25404	0.607
FASTKD3	-0.37125
TMEM158	-1.81141666666667
RARA	1.86375
BDH1	0.393
ANKRD16	0.9925
CARM1	1.0655
SS18	0.6805
IKZF2	-2.19733333333333
MYD88	0.160375
PML	0.4668
TAF1A	-1.0875
CBFB	-1.7775
HIST1H3H	0.864166666666667
C7orf29	-1.2605
COMMD4	-0.435833333333333
DPP3	-1.118
DAB2	-0.258875
LOC388882	-0.9445
YPEL4	-1.07875
AGBL3	1.70625
LRP6	1.3629
SERPINH1	-0.896166666666667
TLE1	-0.58075
CD244	0.377166666666667
ZDHHC15	-0.05825
MGLL	0.6482
PLDN	-0.362333333333333
LOC654346	2.032
FAP	1.26475
GPR37	0.639833333333333
SCARA5	-0.464
EBF4	1.46018181818182
LSM6	-0.846
MLLT1	0.0525625
SLC5A12	-1.06525
A2BP1	-1.8505
COPS5	-0.674833333333333
TPM4	-0.419071428571429
TNFSF4	1.03483333333333
ACADSB	0.971444444444444
HERPUD1	-0.2085
BCL2L11	-0.642555555555556
CEP78	-1.7275
CDCA3	-1.53525
WBSCR19	0.7333
MYO1A	-2.1915
PPEF1	2.0245
LOC440348	-0.3525
CPEB2	1.055375
BPTF	-0.43825
RPL21	-1.0594375
GSX2	0.2835
ADPRH	2.006
C17orf68	1.09183333333333
KCNS1	-0.809333333333333
MLLT6	0.596
PIWIL4	-1.4295
RNF26	-0.9105
RAP1B	-0.229
ADAMTS1	-2.3748
ZNF571	0.86875
P2RY6	0.12875
TRIM21	1.02366666666667
CADM3	0.45925
NLRC5	0.552666666666667
ADRA2B	-0.467
LOC90835	1.317
PCF11	-0.01125
LOC400451	3.12775
GLTSCR1	1.235
C17orf88	-0.594333333333333
CDH16	-1.7705
FGF7	0.838375
PCSK4	1.62966666666667
NPC1L1	-1.2885
TAT	0.068125
TBCA	-0.52075
MGC33407	0.064
GPR115	-1.614
CYGB	-0.1765
FNBP4	-0.7345
C12orf43	-0.08075
CBL	0.1293
CLECL1	2.5505
PPAPDC1A	0.1745
WDR25	0.224833333333333
SGCA	0.693
C22orf29	0.2375
YIPF1	0.94125
GALK2	-1.02925
RAB3B	-3.54083333333333
LOC440087	-1.14725
UCP1	-1.5795
REEP5	1.8795
FADD	-0.523
FOXA1	3.7225
CACNA1A	0.674166666666667
ABI1	-0.6455
GRIN2D	1.87525
SLC1A4	0.383833333333333
LOC401127	-1.09575
HINT2	1.0035
PLD4	2.03716666666667
ZNF286A	-0.543
ENY2	-1.086
IL1F6	0.336
PXDNL	0.173
C20orf79	-0.0935
TNFSF13B	2.84183333333333
DENND3	0.48225
JARID1D	-3.391
HIST1H2AK	1.770625
LOC93349	0.4157
SSH1	-0.728
ENSA	0.90625
LOC219854	0.3365
CKAP2	-0.6504
DKFZP564J102	0.069
MGC87315	0.0503333333333333
HNRPAB	-1.02525
AMH	-0.512
ZNF526	0.8545
BRUNOL5	-0.202222222222222
CACNG3	0.1555
TRPM1	-3.826
PPP2R1A	0.108375
COL2A1	-1.2245
DDN	-0.397666666666667
FLJ25770	1.27183333333333
HK2	-0.695928571428571
ELOVL6	-1.134375
MDK	-1.65025
EPHX1	1.318
RASSF2	0.369
DKFZP434B0335	-0.14675
DLX3	-0.292375
PRTN3	-0.715
AVPR1A	-0.3675
C21orf125	-2.712
TNFAIP8	-1.1135
GNB2L1	-0.754
CALCRL	1.48325
SCGB2A2	6.612
UBXD7	0.18225
ZNF674	-0.4995
TMEM35	0.0785
BRSK2	-0.977
HECTD3	-0.017
TMEM188	-1.3565
LGALS9	2.155
SCARB2	0.676083333333333
USP34	-0.0156666666666666
C17orf28	2.29025
ZDHHC23	-1.08875
AQP12B	0.181
SLC16A3	-1.791125
APLP2	0.22725
ITIH2	-5.08275
MICAL3	-0.6905
TNNI3K	1.2911
HDAC2	-1.362625
PRR7	0.6049
THBS2	-1.09525
LOC751071	0.302166666666667
CA2	-3.09066666666667
RANBP17	1.3065
RLN3	0.255
CRYZ	0.0421666666666667
GBAS	-0.228
TAS1R1	-0.28
MPZL3	0.689
PCDH8	-3.4535
HSP90B1	-0.68425
KCNK15	1.175
TNIP2	0.544833333333333
GPR146	-0.50675
NOL6	-0.11975
SPC25	-2.72933333333333
STEAP2	3.04728571428571
VAMP3	-0.653333333333333
TCIRG1	0.6905
ZP4	-0.101333333333333
PARL	-1.0555
TRIM39	-0.436166666666667
KIAA1305	1.7165
CRNN	0.329666666666667
GRN	-0.1495
HSH2D	2.3015
SCAMP1	0.034625
KIAA1913	-0.373
PTS	-0.65775
BANP	-0.0110714285714286
PRKACG	0.08
ADCY6	0.509166666666667
C16orf46	0.626
CYP51A1	-0.063125
DDC	-6.24675
ANPEP	-1.57083333333333
PROM1	-2.9705
SIGLEC10	2.439
COPG	1.064
FAM26E	-0.11525
TRIP4	0.154
SNX3	-1.38966666666667
C1orf175	1.16166666666667
PPY2	-0.24825
C14orf152	0.432
FTSJ1	-1.45666666666667
DST	0.21295
LOC554235	0.469
GLRX5	-1.05375
C20orf12	1.9705
CAB39	-0.0803333333333333
MSH2	-1.67316666666667
PIP4K2C	0.353
CYLD	0.343625
WTAP	-0.988875
MGAT4A	2.51355555555556
TSC22D4	-0.4912
CHRM2	-1.8055
PPYR1	0.521166666666667
CCNH	-0.536666666666667
RRM1	-0.797
ECAT8	-3.33475
LOC400120	-0.8275
GABRA4	-0.404714285714286
C14orf4	1.47883333333333
C1orf59	-1.06975
CTDSPL	1.8
NHEDC2	-2.229
PDE11A	1.04426666666667
KLHL29	-2.344
CD5	-1.4254
TSPAN9	2.198
WDR67	-1.55025
THUMPD1	0.7144
C18orf17	1.70075
CLYBL	0.3525
FLJ13231	-0.46025
CMBL	1.99975
LECT2	-0.37625
NKAPL	1.63866666666667
LOC654780	0.5375
OR4C6	0.1395
RAB30	2.36933333333333
TSSK4	0.2235
TMEM163	2.0635
OSBPL11	0.424083333333333
GNB5	-1.30733333333333
CCL21	0.33425
C1orf121	0.251166666666667
FMO2	1.244
RPTN	-0.2745
MSTN	0.3995
VCL	0.559857142857143
FYTTD1	-1.229
C11orf1	0.80625
CCDC88C	1.461625
HFE	-0.378611111111111
MOGAT1	-0.198
FAM125B	0.100166666666667
IRGQ	0.221
RAVER2	-0.27175
AKAP5	-1.213
SSSCA1	-0.463
C11orf63	2.577375
ACTG2	0.1825
PORCN	-0.9425
DTL	-2.10163636363636
TMEM151	0.66825
FAM122C	-0.53
RSAD2	2.7555
BAT4	-0.8445
KRTDAP	-1.69866666666667
MYH8	0.22575
CRTC3	0.89075
LRRFIP2	0.8912
INTS4	-0.503166666666667
TTN	-1.59683333333333
SLC26A5	1.556
PLLP	-0.85925
RGS6	-1.023375
SRGAP3	1.439125
ZNF525	-0.2445
NBR2	0.176333333333333
C13orf1	0.1965
ZNF137	0.28
CEP27	-2.245
BEST2	0.136
RNF121	-1.20575
DMRTC2	0.83875
C8orf76	-1.17025
BCCIP	-0.255125
MEST	-1.35275
HTRA2	-0.1555
ANGPTL2	-0.40525
ILKAP	-0.261333333333333
ERAS	-0.1745
HBS1L	-1.24475
CPA5	0.199
TMEM30A	-0.9485
CD300LF	1.959
WISP3	0.156
CRK	0.392571428571429
PDS5A	-0.1958
BRPF3	-0.397
NEDD9	-0.09575
SMPDL3B	1.424
PSG6	-1.1915
PSMD13	0.286
ETV5	-1.0250625
OR51A4	-0.037
BTBD7	0.58
GSTO1	-0.991875
hCG_16001	0.0365
MAD2L1BP	-1.594
COX6A2	2.0605
SCNN1A	2.1995
LSM1	-0.0541666666666666
UGT2B11	-3.391
IDUA	1.9555
PPP2R3C	-1.20883333333333
COX11	-1.12
PDZK1	-3.21375
ZNF443	0.4245
MGC21874	1.51
ZNF323	-0.524
KRTAP10-10	0.371
CXCL6	-0.74275
SLC34A2	0.0799
LOC284402	0.826
NPTN	0.131416666666667
UPP1	-2.2245
SLC6A9	-0.896
OR7G3	0.19125
CISD1	-0.814166666666667
ZNF545	0.173166666666667
SYT14	-1.3255
NT5C3L	-0.863333333333333
ZNHIT3	-0.642
SNRPD3	-0.05375
KIAA0701	0.21
UNC93B1	0.777666666666667
GMNN	-2.936375
SPCS2	0.4915
LOC388524	-0.9845
NAPRT1	-0.063
PNLIPRP1	0.05425
OR6V1	0.9935
PRKAB1	-0.1635
EYA4	-4.1595
KIF20A	-1.88925
ALG10	-0.50675
ITPKC	1.28633333333333
LMX1B	1.8005
RPUSD4	-1.02283333333333
C7orf34	0.106
DLGAP2	0.646625
PFN1	-0.5449
MICALL2	1.28658333333333
ZNF654	-0.1065
SS18L1	-1.610375
SLC16A8	0.10425
MKI67IP	-0.885333333333333
ITGB3	-0.46575
TCEA3	2.99316666666667
CEP152	-1.9456875
CLIP1	1.396125
ZNF75	0.087
ATP5C1	-1.23466666666667
NUDT5	-0.539833333333333
PSCDBP	3.44175
UBP1	-0.34175
RBM27	0.1785
C13orf15	1.984625
ZNF282	-0.162166666666667
ZNF222	-0.7789
COL10A1	5.82575
PRDM15	-0.548625
TTTY5	-0.582
FAM9C	-0.698454545454546
C20orf67	-0.0625
GNG13	1.2785
F12	1.8925
C1orf41	-0.48975
CPXCR1	-0.122
GSK3A	0.10875
SUPT6H	-0.119666666666667
PI16	-0.25
ELL2	1.04475
C9orf167	-1.88366666666667
PVRL3	-3.576
FLJ38596	1.46775
ADAM20	0.14625
GPR89A	0.2275
GPR87	-1.996
ZNF30	1.2605
SMR3B	-0.1365
ZNF770	-0.132
TRPC4AP	-1.244
DKFZP686E2158	0.355166666666667
C2orf28	0.156666666666667
FREM1	-2.24283333333333
LAMA4	-0.117833333333333
ADPRHL2	-0.01825
EIF4G2	0.112666666666667
GUCA1A	-0.465
CTNNA2	-1.705625
NUDT15	-0.921
CEPT1	-0.581666666666667
ZNFX1	0.3439
CCDC92	1.16475
TDRD1	-0.9455
KCNK5	-1.7815
ETNK1	0.416916666666667
LTA	0.858
TTPA	-0.281
B3GALNT2	1.26025
SC65	-0.163333333333333
PEX5L	-1.6415
EPS15L1	-0.215
MGEA5	0.396375
HIST1H3A	1.483
ING1	0.769
BCAT1	-3.55
ORC6L	-3.99281818181818
KLK11	-4.97716666666667
C19orf28	-1.21975
DNER	-4.888
MED22	-0.832571428571429
ETV6	1.53175
CHAC2	-1.96425
CD300E	0.1555
CEBPB	0.651666666666667
ZNF398	0.055
LRCH3	-0.1085
HMGA1	-1.86
CAPN7	-0.398833333333333
MGC5566	-3.17575
CCL3	3.209375
NANOS1	-0.381625
ZFYVE19	0.08175
APITD1	0.120833333333333
PARD3	-0.826
IRAK4	0.310833333333333
SERPINI2	1.006
CEP170L	-0.55525
TTC9	1.51925
MYOM3	-1.37925
MLPH	1.683375
LOC222699	-0.2515
NRG1	-2.18936363636364
TBC1D9	3.46427272727273
TTK	-3.01833333333333
ZNF557	0.5533
DDX41	-0.2435
FANK1	4.488
UBE2D2	-0.521625
PSMB10	1.096
MYH7B	1.2875
GABARAPL2	-1.338375
MARVELD2	1.854
DGCR2	0.756666666666667
UNC45A	0.205833333333333
C6orf72	-0.501
ZNF683	4.0985
GIT2	-0.0517499999999999
CASK	0.676333333333333
C14orf161	4.192
LRRC44	1.049
TIFA	0.342
UTP11L	-0.310625
C6orf65	-1.97825
FDPS	-0.6955
DUSP9	-1.8649
SLC17A8	0.272
OR51G1	0.123666666666667
NANS	0.122
OLFML1	1.508
ATP10B	-1.167
NPAS3	-1.351
PRKCA	-2.4177
GGA2	0.286125
LCE4A	0.041
SPANXN3	0.1125
CCDC115	1.309875
SDCCAG3	-1.07125
GLIPR1L1	0.01025
TTC1	-0.299
C17orf76	1.403
MAD2L2	-1.67025
HIPK1	0.2756
LRRC3B	-0.834
CLN3	-0.463318181818182
C17orf47	-0.063
FMN2	-4.02425
TUBB1	-1.782375
WAPAL	0.0126666666666667
C3orf21	-1.192625
SCN5A	-0.9035
SMYD1	0.7015
BEX5	2.30025
ZNF192	-0.7925
SEC22A	-0.426666666666667
GRIA2	1.1155
KIAA0825	-1.5875
NUSAP1	-2.19072727272727
LANCL1	-0.591625
C15orf40	-0.2718
ZNF645	0.135
GPR61	0.365
NLRP14	-0.914
SNX21	0.2131
C1QTNF8	-0.0545
C17orf46	1.7515
IFNA8	-0.437
SPRR1B	-2.44383333333333
FLRT1	-1.50975
SNX17	-0.993666666666667
ASB2	0.539833333333333
HBG1	-4.6855
RPRML	-3.1225
JOSD2	0.324333333333333
PLSCR3	0.517
SPOCD1	-1.05816666666667
RAB39	0.3345
GHRH	3.373
ITIH5L	0.31875
C17orf37	0.698
SMCR8	0.93975
DPY19L2P3	-0.88
IL11RA	-0.972666666666667
GDF3	-3.42466666666667
RPS6KB1	-0.752583333333333
DNAJC19	0.5719
TOP1	-0.8345
CRCT1	-0.058875
MPST	0.332125
DPM2	0.404375
FAM38B	2.084
SLC18A1	-2.5045
FARP1	0.916666666666667
PAX7	0.12875
TUBD1	-0.505
GNL3	-0.833125
BTG2	2.6726
NDUFS6	-0.61025
C1orf79	-1.179
ERAL1	-0.53425
ECHS1	0.54475
VPS4A	-0.545833333333333
CYP11A1	-1.293
ABCC6	-1.08592857142857
PBX4	-2.3445
MOSC1	-0.913625
NCF4	0.38275
HYMAI	0.347
NAGPA	-0.404375
OTOP2	0.26575
ACOT12	-0.09725
MTHFD2L	-0.63975
LOC441376	4.942
C19orf34	-0.1035
RAB1B	-0.3995
ALDOAP2	-0.894
NTRK1	-2.17033333333333
ARTS-1	-0.2797
SLC6A11	0.2255
NAP1L2	-3.59
CNGB1	0.143666666666667
EPB41L4B	0.985916666666667
FAM134B	2.135625
HS3ST3A1	-2.531
CPXM2	4.2305
SIRPB2	0.323
CHORDC1	-1.63333333333333
TRIB3	-2.02316666666667
SLC2A5	1.0765
C2orf49	-0.331
DDX5	-0.202
OR5L1	2.22
ANAPC4	0.1515
ZSWIM1	0.416875
LOC93622	-0.075875
KCNK3	-0.6461
RP11-35N6.1	-2.31975
ZFP161	0.514666666666667
AQP9	0.83125
SLC15A2	-1.28
MREG	1.16933333333333
OR9I1	0.791
PDLIM2	-0.243625
ADAM7	0.6425
GSTCD	0.416833333333333
WDR21A	-0.825
SLC12A8	1.1735
TMEM174	-0.081
IGSF3	-0.380833333333333
LRRN1	-2.97725
LOC402117	0.20625
SRPK1	-2.0495
LY6K	-1.436375
NFIA	4.0405
PTCD3	-0.450125
LEP	1.08833333333333
PCDH21	-1.10216666666667
MAPKAPK2	1.04914285714286
NMNAT1	-0.100666666666667
LHFPL2	-0.12975
C9orf43	1.20175
DIP2A	-0.537
ACTR8	0.049
CCDC34	-0.9065
PTPN22	-1.37375
ITGA3	0.3975
FAM129C	0.1045
RABGGTA	0.545
UNC45B	0.78225
KIAA1033	-0.122625
ZNF510	-0.115833333333333
CYP2D6	-0.457166666666667
SLC26A10	-1.407
STX8	0.352
LUZP1	-0.28425
WDR89	0.3875
EIF4G3	0.7562
C5AR1	1.09825
ZNF623	-0.8905
A2M	0.61425
TGM7	0.5785
GRPEL1	-0.474833333333333
LMNB2	-0.6051
ROCK2	0.102666666666667
SNX16	0.055
CCDC66	-0.6145
ANXA3	0.87025
KIAA1609	-0.7995
EED	-1.2995
RNF32	0.562333333333333
HES1	1.5634
CLC	0.138833333333333
ISL1	-1.06833333333333
KIAA0528	1.275125
MANEA	-0.418375
C1orf61	-2.917
hCG_2001000	0.50575
RAPGEF6	0.3177
KIAA0020	-1.05766666666667
NEIL1	2.311
C16orf45	1.285375
RBM10	0.161666666666667
C10orf125	-1.82525
MRS2L	-1.5305
DNAH17	-1.59175
C19orf10	-0.23625
C1orf160	1.169
SLFN12	1.25025
EXOC3	-0.397166666666667
HIST3H3	0.5245
NCOR2	0.195833333333333
TNFRSF9	-0.5315
MFSD8	-0.7095
ALX1	-4.056
NOL1	-0.826
PODN	2.55625
TIAL1	-1.168
HIST1H1E	1.89325
NPY6R	0.1545
TM4SF4	-0.85275
CORO2A	0.5465
ETNK2	0.803
APOE	1.4255
ANGPT4	0.9625
HDGF2	0.0545
G30	-1.274
ST8SIA4	-0.488125
F2RL1	-1.438625
FAM19A4	-2.6395
CCAR1	-0.041
B3GNT7	0.33875
OPHN1	-0.4043
DSCR6	2.289
C21orf13	2.6805
GAS2L1	0.681333333333333
RFX3	0.171333333333333
COPS4	-1.0565
BCHE	-5.19216666666667
BCL2	2.743875
HBZ	-2.51266666666667
ARL13B	0.466375
MAPBPIP	1.430625
MYO15B	0.61225
SPZ1	-0.3905
KIAA1324	4.56788888888889
PLCL2	-1.213375
C4orf29	-0.76475
WDFY2	-0.478
ZNF284	-0.24
NAALADL1	-0.5025
DUSP5	0.532166666666667
PXDN	-0.363
SLMO1	-0.86175
TNXB	0.6466
BIRC7	-1.34625
A4GALT	0.433666666666667
TIMM22	0.223
FAM110C	0.369
TOMM34	-0.943875
ABHD9	0.547
ADAM32	-0.568
CRHBP	-1.552
AQP2	0.717125
LOC130355	0.81875
ZNF187	-0.922333333333333
ZNF816A	-0.0985
F7	0.32725
CNOT1	-1.264
SLC13A4	-1.439
ZBTB11	-0.791
B3GALT5	-0.50575
EXOC2	-0.302833333333333
IRS1	0.983
TMEM1	-0.3245
MRPL34	0.293
SAMM50	-0.62675
CDC42EP3	0.62825
HSF2	-1.3719
MFN2	0.33225
TSPAN7	-2.53533333333333
NUCB1	0.503833333333333
RHOH	0.375
ARL16	-0.5885
TACR1	0.24
SFRS5	-0.115
SNX25	-0.224
RHBDF1	1.45133333333333
PCDH18	0.761666666666667
HMG1L1	-0.0455
MYO5C	1.173625
MAPK10	-1.218
LDHAL6A	-0.3196
NUDT12	0.723166666666667
NCAM1	0.00175000000000002
GLIS2	1.311
GGTL4	-0.37025
DAPP1	1.83475
ATF7	1.2065
KIAA0748	-1.40775
NFIL3	-1.15775
TM6SF1	0.399
SEZ6	0.343625
NANOS3	0.461833333333333
DNAJA3	-0.3755
CLDN6	-2.7325
CIITA	3.6715
EPHA4	1.39
FANCC	-0.10825
CMTM3	-0.137375
PSG3	-0.653285714285714
MRPL15	-1.30875
C21orf59	0.85125
PLCXD2	0.28225
C2orf34	0.2845
UBE2L6	1.201375
MED14	-0.0388333333333333
HP1BP3	0.072
C6orf208	0.6825
TPBG	0.44575
OSR2	0.0575
XPC	0.298333333333333
KLHL7	-1.745
CCR3	0.055
AGTPBP1	-1.24816666666667
PCSK6	0.474466666666667
STAT5A	-0.7074
FAM18B	0.187
LONRF2	1.63683333333333
PTPN2	-0.783875
SF3A3	-0.699166666666667
EFCBP2	-0.401
HCFC1	-1.13433333333333
AHNAK	0.3186
ACTR5	-0.253
KIF14	-1.64771428571429
TENC1	2.06225
HEATR5B	1.05
YIPF2	0.902833333333333
MYEOV2	0.640666666666667
DUSP18	1.14975
KIAA1012	-0.0085
AHR	1.0195
C17orf53	-1.638
PTPRH	-3.481
ATP6V1C1	-0.8401
TAS2R3	0.5685
LOC440356	2.72
COQ10B	0.38575
PSMF1	0.587833333333333
SORBS2	4.00091666666667
NFE2L2	0.02925
TMCO7	-1.03775
SH3PXD2A	-0.6101
SH2D2A	-1.868
SPINK5	-2.86825
MRPS24	-0.87
OPA3	1.077625
TRAF7	-0.134166666666667
C4orf35	0.189166666666667
MT1G	-2.051375
MGC39545	-0.635333333333333
HS1BP3	0.4352
OR2B2	-0.1185
CHRM4	-0.1085
SFRP2	1.65883333333333
RIC3	-1.686
ART1	-0.2585
C6orf1	1.003125
DUS4L	-1.60025
C10orf104	0.30775
TNFAIP6	2.09225
RTEL1	-0.70125
CCT4	-1.4352
ZNF709	-0.34475
CHMP6	0.056
UPP2	0.2295
CYP19A1	-2.412625
CD151	-0.269166666666667
NDUFA13	0.1865
ARFRP1	-1.0505
FAM26B	1.0595
CRYBA1	-1.5725
MRPL41	0.784
NPFFR2	4.15825
HRH2	0.2705
SCAMP3	0.1415
MTMR6	0.207
MTG1	-0.9585
UBTD1	1.5995
CRABP1	-2.988
FLJ33790	1.0444
KIAA1908	-0.3405
GPR158	-4.18025
PACSIN3	-0.115666666666667
OMD	2.37716666666667
CATSPER1	0.725666666666667
HOXB8	-0.78975
FBXO46	1.4775
OAS1	1.91816666666667
SVIL	0.18475
PHB2	-0.8545
ADCY3	0.2715
NDRG2	1.5
ERMAP	0.1977
APBA2	-1.71066666666667
IGSF9	2.7095
WNT6	-0.228714285714286
MYCBPAP	3.64925
ATP2B2	-0.3746
CPVL	-1.6276
TRAM2	-1.35725
NOP5/NOP58	0.00150000000000001
ZNRF4	0.55575
TLK1	0.329125
MTMR12	0.0162142857142857
ZNF384	-0.1925
FAM9B	-3.54225
RPN1	0.4984
PMVK	1.709
EIF3D	0.0505
SIX2	0.053
HPS1	0.713857142857143
RNF7	0.23425
PSKH2	0.3165
KCTD13	-0.120333333333333
CSMD3	-1.70277777777778
FBF1	0.2135
IL8	-5.476
SERPINB13	0.453909090909091
FBXL20	0.0565
BLR1	0.57075
SH2B1	0.646166666666667
RFNG	-0.02825
RAB20	0.512833333333333
RBM7	-3.0595
POLR1A	-0.636333333333333
TMPRSS4	-1.106
TAF9	-1.186375
TERF2	-0.741166666666667
TNFRSF1A	0.771916666666667
ACADVL	0.432
GTF2H5	0.0455
EDG8	-0.823833333333333
C9orf140	-1.344875
UST6	0.83825
ZBTB8OS	-0.07
ZNF710	1.0635
GPR174	-3.9165
ATP6V0A2	-0.71725
KIAA0319L	0.947666666666667
XKRX	1.6585
DOPEY2	2.3407
SDHD	-1.10458333333333
SUMF1	1.53375
OSM	4.28325
OPN3	-0.8605
DAGLB	-0.319833333333333
PPFIBP1	0.4967
TRIM63	-2.44075
C10orf53	-0.7405
LYPD3	0.699166666666667
BCL7A	0.028375
AGER	-1.31783333333333
TCF19	-2.167625
SAT2	0.58175
PFTK1	1.32366666666667
GABRE	-3.145375
C15orf38	1.0489
FIS1	-0.1635
KCNV2	0.02875
CLPS	0.14
PPCDC	0.287625
FOXN2	0.140166666666667
NT5E	-3.7071
CD83	1.528
IL18	1.206125
VPS16	0.1465
IGFBP2	-0.2455
NOTCH2	0.44125
SIGLEC1	2.17975
CD93	5.02
SULF2	1.026
CEP164	0.124375
P53AIP1	0.560333333333333
TOR2A	0.362166666666667
ZNF136	1.154
MGP	4.1281
CCDC144A	-1.05333333333333
TRPC1	-2.17766666666667
SMS	-0.959
MAPK7	-0.224666666666667
RRAGC	0.42975
PARD6A	0.953
NUB1	0.446
SYNGR4	1.736
OR11H12	0.5695
WIF1	0.756285714285714
GCH1	-0.771
OR11H4	0.106
SLC44A5	1.9465
GPRIN2	3.73383333333333
LOC401431	-0.38025
CPA4	-3.1269
MELK	-2.70388888888889
IL15RA	0.87775
CUL3	-0.051
HMBOX1	-1.9115
PODXL	-1.59575
CCT6B	0.647666666666667
COMTD1	-0.61975
MUC20	2.92683333333333
GPX2	-3.37425
ITK	-2.214125
FBXL5	2.06275
C13orf27	-2.60025
DEFA5	-0.246
TRHDE	-0.1125
MTP18	-0.0416666666666667
UQCRQ	0.56
ITGB2	1.93641666666667
CSRP2BP	-0.11
TAS2R44	1.4155
PHPT1	0.932625
FAM44C	-0.8005
ERH	0.80625
MPHOSPH1	-1.7745
MORC1	-0.719
PARVB	-1.32775
LAMA1	-2.53475
PGBD3	-0.11875
GIMAP6	3.7825
AREG	-5.11716666666667
LIPT1	-0.35425
MGC99813	-0.3635
C1orf201	0.861666666666667
GRIN2A	-0.946
MAN2C1	-0.39975
NSUN5	-0.7995
SF3B5	-0.572
MYC	-2.5476875
NRXN1	-1.01441666666667
ZNF18	1.61225
SPDYA	-0.147875
SLC37A1	1.5025
DECR2	1.4965
ANKRD38	0.672875
SPTLC3	-0.16575
SUPT16H	-0.286625
DTWD2	2.12375
ULBP1	0.4735
ZADH1	0.3135
OIP5	-2.8775
IL10RB	-0.516166666666667
OTUB2	0.11875
VWA3A	2.62683333333333
SPIC	0.165333333333333
OR6C4	0.023
PSCD4	1.5675
DPY19L2P2	-0.975
TRAPPC6A	1.06516666666667
C21orf2	0.251666666666667
CEMP1	0.463
LIN7B	0.3755
E2F7	-1.1715
VCP	-0.0735625
LAMA3	0.899416666666667
BGN	0.96375
GPR160	-0.176666666666667
COCH	-5.524
GPR81	1.67366666666667
APOBEC3F	-2.264
tcag7.1017	-0.2595
C1orf32	0.3665
SCGB1D2	5.20125
FLJ43987	-0.0085
C6orf170	-0.087
KLK9	0.524
GPD1L	1.64475
VPS37B	0.054
ATG3	-0.998333333333333
ADAMTS17	0.2915
KLHDC2	-0.534
NDUFV2	0.39175
BLK	-2.97775
MATN4	-0.928
GPM6A	3.5725
GBP4	3.33366666666667
TMEM162	0.411166666666667
PKP2	-0.0295
HRASLS	-3.84688888888889
MMP1	-4.7865
SFXN3	0.573
FSD1	-1.81433333333333
ST6GALNAC3	-2.6
CA12	3.6141
NCOA6	0.67175
C19orf58	-0.2602
PPP4R1	-0.216
MAN1A2	2.08616666666667
IKBKAP	-1.3595
UPF1	0.195
KIAA1219	0.13925
WNT16	0.1835
SNW1	-0.11225
IL18RAP	2.09825
RPP30	-0.720875
CDC40	-1.03157142857143
SETD3	0.3135
SLAMF6	-0.594
ELK4	-0.0445
TRIM47	0.940833333333333
ACOX3	1.07525
TRIM6	1.68775
KIAA0372	-0.430666666666667
TP53AP1	1.528
SMURF2	-0.3415
ADAD1	0.25875
EBP	-1.196
KRTAP13-2	-0.0765
FLJ36874	-1.16783333333333
TOR1A	-0.219666666666667
P2RY4	1.6785
GPBP1	-0.131
TRPV1	0.67475
ADAMTS12	-0.152166666666667
PES1	-0.6729
ATG4A	0.723
MAGEA10	-4.3455
WFS1	1.88375
CC2D1B	-0.334
PABPN1	0.112125
SLC25A30	-0.45575
SLCO1C1	-0.0903333333333333
SLC22A5	2.217
KIF23	-2.56483333333333
SYN2	-0.731666666666667
ASPN	6.95716666666667
CENTG2	0.80375
QSOX2	-1.0417
FLJ10815	-0.3565
STK24	-0.067125
SPEG	0.6743
STK10	-0.171333333333333
DACT2	-2.477
AAAS	-0.572
SSX3	-1.825875
ABCD3	1.171
C4orf12	-0.02025
PARVG	1.453
FIG4	-0.58625
C9orf46	0.3565
TMCO6	-0.144
IGHMBP2	-1.083
DUS2L	-1.36716666666667
FAM3C	-1.6470625
TMEM16D	-2.346375
DCTN4	0.8775
KCNH3	-0.4775
EIF2AK2	1.622
AP1S3	0.101
CST4	0.779
PAM	2.120625
NUTF2	-0.878
CITED2	0.5572
SLC39A4	-0.6805
C2orf52	-0.871
GRM3	0.2145
C12orf49	0.0765
CCDC49	-0.704
GRAMD1B	-1.662875
FNDC4	-0.67275
SIAH2	0.424125
GDPD4	-0.15675
C21orf87	1.28925
ATP5A1	-0.805333333333333
C16orf63	-0.315625
LOC388135	-0.9295
ATP5J2	-0.325375
MMP3	-2.7635
EMID2	-0.1895
CRHR1	0.282
WDR70	-0.3035
C13orf31	1.82025
ZFAND1	-1.12825
CCL18	1.9785
C3orf49	0.566
RINT1	-1.3455
KIAA0408	-3.12266666666667
F13A1	4.5362
SLC10A1	0.217333333333333
OGN	0.05175
GIPC2	-1.785
XPO6	-0.308
LCE1A	1.2065
FMR1	-0.1068
LOC374920	0.46075
DUSP3	0.04375
ANKMY1	1.04925
C7orf50	0.02625
BBS9	-0.4653
UNC119B	0.348875
C9orf72	-0.18625
