Hybridization REF	TCGA-B6-A0WS-01A-11R-A115-07
PCDHGB7	0.216
INSM1	-0.5415
WBP2NL	1.231
ZNF493	-0.210625
NGEF	-3.02975
RNASE13	-0.127
SPPL2A	-0.165
SFXN1	-1.312
FAM102A	1.569625
SAPS2	0.101583333333333
JTV1	-0.9945
OR51B4	-0.7675
SCGB1A1	0.438333333333333
NEUROD2	0.346375
tAKR	-0.0315
C1orf26	0.30525
RICH2	0.8845
TEDDM1	0.2115
CYP2S1	-0.6265
TBCE	-1.00783333333333
MAPK1	-0.793
HDHD1A	-0.359
MRM1	-0.7325
ATP9A	-0.269
HSD17B3	0.356166666666667
HN1L	0.828666666666667
RNF216	-0.519875
HOXD12	0.097
PPP1R14B	-0.621625
SBF1	-0.21575
TAS2R42	0.3275
USP46	-0.302333333333333
LILRB3	2.20183333333333
SPI1	1.88375
OXSM	-1.1395
GYS2	0.2246
NUPL2	-0.75725
C8orf46	-2.3155
SF3A1	-0.0203
C21orf99	0.827
HOXB4	1.7622
YRDC	-0.59375
GPRC5D	0.82
BLVRA	1.0595
KIF12	3.409
LRRC23	0.7685
FAM14A	1.08666666666667
RASL12	1.080375
DAZAP2	1.83625
IKBKB	3.28614285714286
ZNF271	0.964
BOK	1.5165
CXorf6	0.2835
MYEOV	-1.23225
BTN2A2	-0.6031
FRG1	-0.44525
HSP90AB6P	-0.679
ENOX1	0.136833333333333
ZNF706	0.959
DOK1	1.2381
PGAP1	-0.3365
TMEM136	-0.12825
FSCN1	-1.098
KIF17	0.70075
TRIM66	0.27
CBR3	1.28666666666667
C13orf24	0.0553333333333333
C19orf52	-0.293
BNIP1	0.01025
AQP3	0.433125
KRT6C	-1.22566666666667
SIRPA	-0.153833333333333
IGFBP6	-0.9445
PLEKHK1	-0.978375
RNASE7	-0.034
ARHGEF15	0.39225
NPHS2	0.5515
SRD5A1	0.74
REXO4	-0.80475
EEF1DP3	0.3535
SLC37A2	0.08625
ZNF142	0.78425
ANKHD1	-1.134
MUT	0.6485
VPS37A	-0.441
GPRIN1	0.703
SLC38A3	-1.19725
BAZ2B	0.5395
WDR87	0.376833333333333
BRD7	-0.633
POU6F2	-0.4925
NISCH	0.382
TCEB1	0.341
LINGO2	-2.64
TAX1BP3	0.09825
RPL34	-0.397388888888889
MARK2	0.616666666666667
AKAP12	-1.2785
AMBN	0.306
SLC25A27	-2.9425
FLJ21865	-0.495375
KIR2DS2	0.686166666666667
WDR77	-0.91025
ATF2	-0.192333333333333
ITFG3	0.825
SLC39A13	1.377
ARL6IP5	0.54125
C10orf137	-0.570125
QTRT1	-0.3905
CCNT1	0.29425
DYNLL1	0.2479
WDR53	-0.14725
LIPG	-0.195166666666667
ASAH3	0.42
HELB	-0.28025
PHACTR2	0.3075
VENTX	-0.65575
LAD1	0.549333333333333
PAOX	1.9475
MAPK8	0.013
CCDC38	0.2645
DNAJC8	-0.2725
RBBP8	1.567
WNT11	-0.2552
KCNJ12	-0.504666666666667
HDAC8	-0.389
STARD4	-2.1255
ACVR1	1.07533333333333
C14orf65	-0.733
KLB	-1.5695
C1orf65	-0.317666666666667
ZFYVE28	0.589625
NSUN6	-0.24775
KIF27	0.298
SYTL2	-1.351
UBXD2	0.13
OR6T1	0.3295
CCDC91	0.606714285714286
GRID2	0.3225
CALN1	0.219625
ZNF423	0.69275
PSMB4	-0.283333333333333
XPNPEP3	-0.368833333333333
ARPP-21	-3.0916
SART1	-0.24875
RACGAP1P	-2.3575
SPTA1	-5.003
C6orf113	-0.589166666666667
C7orf16	-3.16025
CHST7	-0.515833333333333
C21orf29	-0.2885
SEMA6D	-1.1935
PCMTD1	2.0298125
KIAA1754	-0.621166666666667
MYCN	-0.880625
KCNJ3	-0.3165
MAPK13	2.3328
ERO1LB	0.93075
NTF3	-1.01966666666667
NKX6-2	-0.46775
GTF2B	0.0045
GSPT1	-0.705
GUSB	-0.0416666666666667
LOC221091	-0.7215
LIG1	-0.50025
EXTL3	-0.592333333333333
NID2	0.01125
TTC29	-0.40275
TMEM97	-0.656875
EXTL2	-0.924666666666667
SUZ12	-0.6235
IL1F8	-0.0655
KRT18	-0.0736363636363636
MRPS16	-0.0559166666666667
PI4K2B	0.07825
LACRT	0.589
OR51F2	-0.166
JMJD2C	-0.230625
KGFLP1	1.5855
CDK5RAP3	-0.4654
YTHDF2	0.304166666666667
GGCX	0.658125
ARPC4	2.633
EGLN2	1.5755
KBTBD4	0.666642857142857
ROBO3	-0.8778
DEFB118	1.2925
KIAA1543	1.797
RTCD1	0.0475
MZF1	-0.052
C18orf26	-0.0415
CNIH4	-0.6305
ZFP2	0.361166666666667
HTATSF1	0.10425
WFDC2	2.652125
NDUFA7	0.571
TTC22	0.501666666666667
FAM40B	-2.934375
DCPS	-1.11925
SH2D1B	1.352
MRGPRE	0.3775
SBK1	0.693
UNQ6411	-0.133
OSBPL9	-0.87
NUP107	-0.917
MYOZ3	-0.0656
PDE4B	-0.87175
FAM113A	-0.168
IDH3G	0.110333333333333
FBXL7	-0.195375
ARFGAP3	-0.1855
MAPRE2	-0.455538461538462
IL1RN	1.3504
KIF13A	0.55775
RAC3	-0.0415
TCTE1	-0.124
TMEM14B	-0.099
ADIPOR1	0.143
GRINA	1.2155
CLIP4	0.12875
LRIT2	0.684
TFPI	-2.99821428571429
FABP6	-2.19825
SLITRK2	-0.512
HKR1	-0.10475
SMTN	0.47925
C1orf75	-0.5905
CD209	0.275125
CYB5R2	0.084
DNTTIP2	0.0205
CSGlcA-T	0.800625
GABRB3	-0.65775
PCBD1	1.019
TAF3	0.788083333333333
HOXD3	-0.5225
GIPC3	-0.178666666666667
P11	0.15
BFSP1	-1.237
LCP2	1.41275
TAS2R8	0.3595
SEZ6L	2.41125
NR2C1	-1.482625
EXDL2	0.233
TNFRSF13B	-1.24166666666667
MKI67	-2.401
GLS	-0.941666666666667
C7orf54	-0.755
LGALS13	0.2054
IL4R	1.125
SEC11A	-0.450333333333333
SPP2	0.402166666666667
C18orf32	2.24825
CLSPN	-1.3975
SPAG1	0.51375
C9orf82	-0.28175
TM4SF1	-2.27525
EMILIN2	0.9625
SMG7	-0.121666666666667
TAS2R13	0.4925
ZNF628	0.1635
DZIP1L	-0.438833333333333
ANKRD13A	-0.0109
VASP	0.80875
ZCCHC11	-1.016875
SYPL1	0.088625
MGC34774	-0.0316666666666667
C4orf28	0.159
KIAA1211	0.54825
RPS27L	0.03775
TATDN3	-0.953
PDCD1	2.4765
OR5P2	0.116
IFIT1L	0.3335
MIPOL1	0.2015
OR51D1	0.06225
C1orf92	-0.5095
LAMP2	0.251
CAT	0.517833333333333
C16orf80	-0.86325
C15orf32	0.458
ZNF746	0.21075
C1orf76	-1.934
ATXN1	0.33475
LAMC2	1.25625
SLC2A7	-0.085
CPOX	-1.232
APH1B	1.36783333333333
LOC442245	2.643
CTNND1	0.977166666666667
GABRG2	-0.785875
MADCAM1	0.647333333333333
F5	-1.823875
SEMA4F	0.183666666666667
NUDCD3	0.341
PDZD11	0.589
TRIML1	-0.5145
GCNT3	-3.2245
TMEM120A	0.1915
CNDP1	0.9485
N4BP1	0.383375
SLC35F2	-1.36375
LCP1	0.299
IGBP1	-0.5751
DCAKD	0.423
ELA2A	-0.525
C12orf56	-1.961625
PITRM1	0.324
GUK1	0.485166666666667
RASSF8	-0.553375
OR2A14	0.501
ADM	-3.26733333333333
FGD3	2.29566666666667
GHRHR	0.335666666666667
RHPN2	0.74825
C4orf39	1.96116666666667
VPS72	-0.30925
SERF2	1.32838888888889
CD22	1.4835
CD47	0.5567
PPIC	0.562833333333333
IMPDH1	0.603666666666667
ACP6	-0.311666666666667
PRKACA	0.11375
PPP1R1A	-0.66325
TRPV3	0.16775
ASXL1	-0.899375
C17orf55	-0.901333333333333
FXYD1	0.479833333333333
LMOD2	0.6305
ANKRD33	0.3005
LCE2C	-0.304
ZNF620	-0.6315
DKFZP566E164	-1.26
VSIG2	-0.4155
KIAA1128	0.926
USO1	-0.308666666666667
NUDT4	-0.194285714285714
CLDN1	-1.03314285714286
OR4Q3	-0.027
FASTK	-0.0853333333333333
ICOS	3.13016666666667
LDB1	0.5615
GSTA5	-1.6055
ABCC1	-1.06283333333333
FAM54A	-2.5435
PCBP2	-0.297833333333333
NUP205	-1.34425
ACTA1	0.189833333333333
GABBR2	-2.08
PIP5K1B	-0.0255
AGXT	-1.91616666666667
RNF181	0.07675
ATP8A2	-1.493
AFTPH	1.422125
FGF21	0.33275
FCER1G	2.302125
SNTB1	-1.245
SLC24A3	0.487875
TXNL4B	-1.2845
RPL10L	-0.101166666666667
LOC389517	-0.48055
TSGA13	0.732
SHOX2	-0.048
ITGA7	-0.4558
KCNIP2	-0.3355
KLF13	0.9781
ZFAND2A	-0.55225
CEACAM1	0.108785714285714
PFKFB4	-2.6025
MED19	0.49225
LRRC57	0.794333333333333
RNF11	1.07925
ANKRD32	-2.565
P117	0.813
OBFC2A	-0.514666666666667
POLD3	-0.922083333333333
RAB18	1.298625
TPH2	-0.3045
PHB	-0.0782
JDP2	1.37183333333333
MORF4L1	0.0194
POU2F1	-0.50175
CNNM2	-0.247833333333333
LOXHD1	-0.097
ZC3H15	-0.52
ELK3	0.599666666666667
FAM111B	0.2755
CBLC	3.32416666666667
SBNO1	0.1285
ANKMY2	-0.8965
PLEKHA5	0.289
DHX58	2.55216666666667
ARCN1	-0.621
TREML1	0.5863
KNCN	0.7265
SEC24A	-0.755875
PSCA	-0.37375
MGC24125	0.661666666666667
DNA2L	-2.0405
CIB4	-0.23725
HIGD2A	0.579666666666667
TBX6	-0.324
TTLL5	-0.9715
SGK3	1.59216666666667
GCN1L1	-0.21875
AMOT	1.5753
LDOC1	0.863166666666667
NRK	-0.237833333333333
ASB9	-2.71125
NAT1	2.9044
TRAFD1	0.6605
PEAR1	0.5445
FAM36A	0.711125
OR1S2	0.4825
LOC388323	-1.49925
PGS1	-0.4395
LEPREL1	-3.07275
TFF1	-1.17075
HAP1	0.61175
EPHB2	-0.31075
ACTG1	0.864833333333333
ZFP42	-2.08666666666667
HAVCR2	0.7875
NME1	-0.4735
SNX26	0.369416666666667
LACTB	0.121
ZKSCAN2	0.19275
C5orf35	-0.31175
ANKS3	-0.3435
RBM28	-1.058
DKFZP586P0123	-0.734
HNRNPA1	-0.688333333333333
BCAS3	-1.237
FLJ20184	0.2955
POLA2	-1.54116666666667
TMC7	0.6115
HSD17B6	2.002
ZNF658B	0.885833333333333
TTTY10	-0.1435
RANBP9	-0.150583333333333
CPNE7	-2.33383333333333
EVL	0.927647058823529
LNX1	0.627
IFNA21	0.211833333333333
CFD	3.40375
PYCARD	2.916
MYBPC2	-1.476
ENPP3	-2.06283333333333
ACSL4	-2.07625
LOC440258	-0.972666666666667
TMEM176B	3.46433333333333
SOX2	-5.450375
SCO1	-1.01183333333333
COMT	-0.0205
AOC2	-0.08975
PDLIM5	1.16707142857143
SPHK2	0.9505
NXPH2	0.314
GPR108	1.27916666666667
RAD51L1	-0.785666666666667
TMEM54	1.76525
LETMD1	-1.63166666666667
SLC6A17	0.79225
KRT75	1.5195
STT3B	-1.33783333333333
CD3EAP	-0.0933333333333333
TMEM63A	0.676
DUSP13	-2.687
CD1C	1.57883333333333
LASS2	-0.0398333333333333
AVP	1.8805
PITPNM1	-0.48975
FLJ22795	-1.02
MCTP1	-2.29
TRIM68	0.134666666666667
UCK2	-1.2975
ABHD1	0.328
FAM50A	-0.051
RNASEH1	-0.898
PCP2	0.436666666666667
OR52H1	0.4605
C20orf149	1.025
RBP5	0.4585
HYAL3	-0.64075
CLPB	-1.54425
SMNDC1	-0.15375
DONSON	-2.2905
FLJ27523	-0.0225
BARHL2	0.344
SLC30A9	0.469166666666667
TMPRSS11B	0.23225
E2F8	-1.7675
CCDC25	-0.603666666666667
C14orf48	-0.355833333333333
C20orf116	0.618125
TSPAN11	0.293
YIF1B	0.0166666666666667
FAM12B	0.504
OR1L6	0.6515
HPN	0.9211
NBN	0.679
C14orf94	-0.954166666666667
OCLM	-0.0885
ZSCAN18	0.435
L3MBTL	-1.8056
TSTA3	1.119
RAC1	0.260375
C19orf15	0.411166666666667
NFE2	-4.74925
KLK14	0.1705
ARSF	-0.1485
MAST2	0.288833333333333
AMICA1	2.8395
GTF2A1	0.125625
ATP1A3	-0.51025
TC2N	2.3314
PNKP	0.4325
ODZ2	0.240375
MATR3	-0.51025
S100P	2.201125
KRT82	-0.218
CA13	-0.7775
PROZ	-1.31366666666667
AASDH	0.343125
C19orf40	-0.225166666666667
DCK	-0.336692307692308
FAM5C	-1.82375
SLC6A4	-1.718
MID1IP1	0.258125
TESSP5	1.7245
TMOD4	-0.0686666666666667
DOCK2	-0.171333333333333
TUG1	0.494
NUP214	-0.67425
DPYSL2	-0.518636363636364
GOLM1	2.57416666666667
MPFL	0.2835
SOX13	0.23975
SDCCAG8	0.525
KEL	-2.3455
NUP210L	-2.967
GK	-1.013625
DNAJB1	0.791
ALPK3	-0.3885
CHID1	0.3066
CYLC2	0.0756666666666667
IKZF5	0.53825
C8orf51	1.39916666666667
PPM1J	-1.12125
GIMAP8	3.4705
GPR101	-0.198
NR2F1	-1.082
ACAD8	-0.7305
RBM35A	1.3755
GNAI2	0.851833333333333
METTL8	-0.4435
SLC39A7	-1.38575
FBXO8	0.519
CAMK1	1.44625
RFC3	-1.9765
FAM129A	0.684142857142857
ILF2	-0.6075
FGFBP3	-0.79125
NOM1	-0.3022
PSMA3	-0.59275
ASCC3	0.1424
ZYG11A	-1.46925
SOX21	-1.507
LYRM1	0.16
DEFB1	0.3565
LOC91431	-3.15516666666667
OR7C2	1.194
FAM46B	0.50775
TMEM18	-0.7695
ARHGAP30	1.971
TMEM86A	2.02816666666667
EPHA2	-1.42133333333333
C10orf46	1.09145
TCHH	-1.06633333333333
C3orf30	0.0233333333333333
LOC285636	-0.600833333333333
PAIP2	0.06025
CYP2U1	-0.217875
C12orf34	1.92
SARS2	-0.197333333333333
ZCWPW1	0.105
SAMD12	1.699125
KIAA1430	0.1095
ACAT1	-1.4095
MEOX1	2.098
ADAMDEC1	6.05825
PHKA2	-0.191
CARD11	-0.2035
CALML4	0.1425
TSSC1	-0.463
TMEM45A	-1.13777777777778
MPP7	1.59575
POU1F1	0.01525
SLC2A13	-0.9621
FBN2	-0.633357142857143
ZC3H7A	0.049
LAIR2	1.22075
ST3GAL1	1.218
LCT	-3.50075
GEMIN8	0.580166666666667
KLF16	1.0237
HIF3A	-0.4782
FAM44A	0.0737857142857143
AQP10	-1.5861
PLA2G2A	-0.8245
FOLH1	0.9245
C20orf186	0.0195
MAPKAP1	-0.503875
SPRR2D	-1.0475
UBQLN4	-0.324166666666667
RSHL1	0.1675
PIAS3	-0.2695
MRPL24	0.0805
GREB1	-0.158375
FAM27E3	-2.6375
NUP62CL	-0.77125
NEUROG3	1.776
REEP3	1.165
MARK1	2.42175
LMBRD1	0.7565
PRPF19	-0.998
PNMT	-0.813333333333333
CTGLF1	-1.148
SLC25A16	0.005
EIF2B3	-0.891
RPA2	-0.5715
PAK6	1.62483333333333
CCDC26	-4.424375
SEMA3E	3.114
MXD4	1.392
TNFSF10	3.6471
SMARCB1	0.1815
DTX3L	1.94666666666667
PLA2G4E	-0.145
PPAP2A	1.125
ULK1	0.181583333333333
TAS1R3	-0.046
SLC2A3	-3.183
ARID3A	-1.82975
GNG5	0.487
ACOX1	0.331
KIF5B	-0.00775
NUP153	-1.06825
MUC7	-0.032
CSDE1	-0.712857142857143
CLPTM1	0.96325
C3orf23	-0.8165
LRRC17	1.39266666666667
TTYH3	-0.70775
ATP5B	-1.6785
ELF3	1.3756
CPSF3L	0.2245
ZNF665	-0.261833333333333
TLR6	0.2212
GPI	-1.288375
RAD9A	-0.4175
NDST4	-3.75375
AGPAT3	0.639833333333333
MAGI3	1.68116666666667
ADORA2A	1.993625
CACNG7	0.0135
CAMK2D	-0.1645
CCHCR1	-0.61275
RPS27A	-0.292
OR10G7	0.134333333333333
GCM2	-0.2485
FAM135B	0.2156
E2F1	-1.025
PLCB3	-0.245
OR2AE1	-0.1335
COIL	-0.637333333333333
CDC25C	-1.8515
RAB11FIP2	0.0508333333333333
TSC2	1.03425
CTGLF5	-1.64
CCDC108	0.4816
OR13C4	0.233
C10orf81	6.4025
PTPRB	1.43275
ACP2	1.39325
LAG3	1.653
MRPL54	0.5645
LOC201175	1.623
ITGB1BP3	-1.70025
SPTAN1	1.358
SIPA1L2	-0.88775
RCAN2	-0.201
CDX2	3.4565
ECOP	0.678
ACTR1A	0.517928571428571
PPARG	-1.73133333333333
BBS10	0.3885
TMEM44	-0.5395
BPIL2	0.1615
CITED1	-0.56625
IRF6	2.86575
PRDM4	0.4745
RRP9	-0.693166666666667
OR10H4	0.30125
IL31RA	-1.2185
GNB1L	-0.982666666666667
MYBL2	-2.301875
ZNF407	1.30233333333333
PPIG	-0.298833333333333
TTC18	2.1225
RPSA	-1.181
MAPT	2.20125
MRE11A	-0.200571428571429
C8orf37	0.458333333333333
RASGEF1C	-0.134666666666667
STBD1	-0.373
CTAG2	-0.755166666666667
MGAT5B	-2.27633333333333
ECM1	1.321125
RLN1	4.475
PARP14	1.9725
EPB41L1	0.6031
HOXA3	-0.0543333333333333
MAGEA9	-4.99675
RPS8	-0.473833333333333
RPS19BP1	-0.0365
FOXJ2	0.333625
C10orf76	0.603
IL17RE	1.67875
C10orf65	-1.94675
ZNF343	0.1765
FBXO33	-0.52725
UHMK1	1.4133
LY6G6C	-0.423
FGF19	-2.2505
C14orf128	-0.691166666666667
IFIT2	3.17425
TIGD1	-0.13925
S100G	0.1595
GUCY1B3	1.979
NR3C1	-0.2026
CORO1B	0.663333333333333
PARP11	1.09325
DNALI1	4.31616666666667
OR4N4	0.204714285714286
MAP2K6	-0.9045
FSTL4	0.2365
ANKRD47	1.345
TMEM171	-1.4475
PNLIP	-0.224666666666667
YY1	-0.454166666666667
CCDC138	-2.6555
AASDHPPT	-1.2965
CKS1B	-1.6454
MCM3	-1.14183333333333
ANAPC7	-0.416833333333333
FAM110A	1.299
CDC37L1	0.927166666666667
THTPA	0.50375
NBPF20	-0.766
WDR24	0.21875
NPTX2	-0.9535
CBLB	0.966666666666667
CETN1	0.189666666666667
RPUSD1	0.4255
FAF1	-0.848
CDK6	-2.3568
HMX2	0.11
CSK	0.288
TEAD2	0.98825
SNAP25	-0.659
TUFT1	0.7089
TMTC3	0.363
LCK	-0.4305
SGOL1	-2.2805
AKTIP	1.2555
FURIN	1.896625
SOX12	0.239166666666667
DEFB103A	-0.6145
RAMP1	1.8225
KIR3DX1	-0.383
GAS2L3	-0.573
PDE8A	-0.6918
EDN3	-0.6755
GMIP	1.2025
SF3A2	0.87925
FN3KRP	0.03425
SMAD7	1.243
RHBDD2	1.13225
OR11H6	0.227
PPP1R3B	-0.3495
C9orf23	0.412
CADPS	-0.84625
GOLGA8A	-4.003
TMEM57	1.22416666666667
RGL3	0.2105
S100A14	3.1395
FGFR2	2.7811875
XRCC3	-0.4495
RTN4RL2	0.47225
MGC3771	2.1235
GH2	0.206
BTBD2	0.50175
LMO2	0.2465
RDBP	-0.215375
ACRBP	-1.577
AMY2A	1.2305
DUOXA1	0.9235
PTK7	0.938
TWF2	-0.208666666666667
FAM80A	-1.86625
TNNI2	-2.82633333333333
GLT25D1	-0.122166666666667
OCC-1	-1.4045
CYC1	-0.438166666666667
RPL22	-0.195863636363636
MORN3	2.0815
DISP1	0.712
PRB2	-0.4025
CHUK	0.37975
HR	0.5625
CCDC134	0.036625
DENND4B	-1.30325
C14orf130	-0.7285
RAB33A	-0.0895
DCST2	0.3375
TNMD	-0.206
PEX7	1.29275
FAM62A	-0.10825
SRD5A2L	0.8305
IL22	-0.34725
RPS26	-0.520666666666667
HOXC5	0.5015
SPATA6	0.958
FLJ38482	0.707
ZNF234	1.9545
C18orf22	0.71375
SPATA22	0.96675
THOC1	-0.285
CYP7B1	3.546
KCNC3	0.75125
C8orf42	-0.049
ALDH1B1	0.0593333333333333
CCDC100	0.00200000000000001
ARMC4	-1.55625
FAM18B2	-0.38375
SLC44A1	0.41575
FBXO17	-1.4345
C6orf107	-0.1045
C19orf29	-0.266
ZC3HAV1L	0.3165
PARP6	0.2047
SULT2A1	-5.025125
C1orf159	-0.7595
TMC1	0.19575
CHST14	0.334
GAMT	0.382833333333333
SMCP	0.466833333333333
TSPAN33	1.57391666666667
MIDN	-0.552375
NOX4	2.65525
RNASEN	-0.4578
TBX1	-0.540833333333333
SALL2	-1.23475
C10orf35	2.1585
CYP2E1	-0.43525
LRFN2	1.1395
ACO1	-1.228
IQCG	1.2483
MEGF9	1.1605
TM7SF4	2.17525
PLEKHA1	0.898733333333333
STK33	-1.40375
C1orf210	2.75825
SNUPN	-0.1295
KIAA0406	-0.8836
C20orf29	0.3825
TMEM55B	-0.337
OSTM1	-1.09375
CLCN7	0.65175
OTP	0.40625
FLJ23049	0.38725
HEATR4	0.1365
MAP3K10	1.43483333333333
PCDHGA9	0.4845
AMDHD2	0.71975
LCTL	-2.589
PDCD2L	-0.691
CABLES2	-0.33275
SLC5A9	-0.627
CLCA2	-2.5995
MGC16025	0.5285
STRAP	-0.765333333333333
C20orf196	-0.1835
RRBP1	0.239166666666667
NAT13	-0.2305
MAT2B	0.19325
CSNK1D	-0.8315
KIR3DL1	0.294
PRKAG3	0.2055
ZNF599	0.682
PRM3	0.9435
PER2	0.8395
ASPHD1	-0.813
PRMT6	-0.843
KCNE1L	-0.599
FAM118A	-0.743333333333333
TAF4	-0.447
NDUFB6	-0.077
TRIM9	-1.25766666666667
PMFBP1	-0.63325
KY	-0.289
DKFZp762E1312	-2.96945454545455
CSMD1	-1.6205
TBP	-0.5885
OR1Q1	0.413166666666667
RETNLB	0.22675
HPGD	-0.0807857142857143
DNAJC12	1.7915
FKBP1B	-2.1035
ANKRD24	0.591833333333333
CXXC5	0.467166666666667
IL3	-0.028375
DRAM	1.141
PTCH1	-0.781375
TP53BP1	-0.25725
SLC17A7	-0.455
COL25A1	-1.4359
AMACR	-0.106666666666667
RHCG	-0.13
VPS13A	-0.563916666666667
FAM55D	0.7705
PRPF38B	-0.9525
OSBPL6	-0.77525
PFDN5	0.0917
CMTM6	0.098125
KCNK12	-1.56975
RP2	0.15675
C16orf52	-1.323
PICK1	1.071
IFNE1	-1.35216666666667
SEMA4B	0.80325
TYRO3	-1.7855
OR12D2	0.1505
CSNK1A1	0.2289
FANCF	1.25
LONP2	0.213
TBL1Y	0.79125
LDOC1L	0.91075
CCNC	-0.1945
C3orf60	-0.14675
CHKA	-1.682
UBAP1	0.2645
MAP3K1	0.6775
ANKRD9	-0.90125
FAM92A1	0.0988333333333333
GAB2	0.982875
AZU1	0.76
DIS3	-1.219
C21orf109	-1.29825
IQCB1	-0.52475
SPATS2	-1.0335
EFCAB3	0.80525
PRB3	0.176
FUZ	0.977166666666667
ZNF813	-0.054125
BMPER	-1.1555
HEG1	0.112125
ALS2CR11	-1.735
SURF2	-0.1285
PSMC1	-0.648583333333333
OR2D2	-0.3265
SLC7A8	1.20583333333333
C4orf40	0.314
SPATA7	-0.26225
MAZ	0.833083333333333
PIN4	0.27
PDE1A	-0.802375
TAF6L	0.5765
OR2T34	0.138
KIAA0284	0.14125
ACADS	-0.283545454545455
MKRN2	-1.2
C18orf56	0.142
MS4A6E	0.359
GALNT4	1.1657
C22orf31	-0.039
FLJ36070	0.773
PSME4	-0.527
TFG	0.2683
EPHX2	1.246
ANXA5	-0.278
KRTAP1-1	-0.1367
BATF	1.588
KARS	-1.902
MSTP9	-0.7305
GPR26	1.3185
CCDC72	-0.00650000000000001
TEF	1.3795
FOXK1	-0.4193
PRLHR	-0.38
EMX1	0.1905
C11orf30	0.229125
ICK	0.519375
THSD7B	0.09775
C21orf100	-1.239
DUOX1	1.736
EFCAB4B	0.01175
UBE2G2	-0.140833333333333
C3orf54	0.40125
PARP1	-0.56975
FAM60A	-0.75625
C6orf146	0.3265
OR9K2	0.5055
DDX55	-1.64966666666667
RPS15	-0.26075
ZNF618	1.21775
DKFZp686D0972	0.339
SSPO	0.5745
SHFM3P1	1.06466666666667
CPA6	-1.00325
JAG2	0.43125
DEFA3	0.51175
PPBPL2	0.106833333333333
CD34	4.184875
SLCO4A1	-3.1815
AFG3L1	-1.46133333333333
SHD	-0.7315
RP13-122B23.3	0.0205
PRKCSH	0.0306666666666667
DPH5	-0.594333333333333
HLA-F	2.5985
TBC1D4	-0.923
RIG	0.1514
GLUD1	0.302
HNRPCL1	-0.0455
HBXIP	0.19275
RNF207	-0.665
APIP	-0.151
PLA2G3	0.195166666666667
CCDC84	-1.68975
MYLIP	-0.0272307692307692
PHIP	-0.39425
AARS2	-0.497333333333333
DHX32	0.41175
SCAPER	-0.476833333333333
MEN1	0.0625
NIP7	-1.402
FLJ25404	0.526
FASTKD3	-0.30475
TMEM158	-1.14291666666667
RARA	0.5275
BDH1	0.2035
ANKRD16	1.45725
CARM1	0.0575
SS18	0.213166666666667
IKZF2	-0.534916666666667
MYD88	0.466625
PML	0.7996
TAF1A	-1.33075
CBFB	-1.016
HIST1H3H	-0.719833333333333
C7orf29	-0.25725
COMMD4	0.0443333333333333
DPP3	0.21325
DAB2	0.332875
LOC388882	-0.2415
YPEL4	-0.426
AGBL3	0.69425
LRP6	0.1219
SERPINH1	-0.0239166666666667
TLE1	-1.0225
CD244	1.41083333333333
ZDHHC15	0.161
MGLL	2.0066
PLDN	0.575666666666667
LOC654346	2.387
FAP	3.28875
GPR37	0.617666666666667
SCARA5	1.30883333333333
EBF4	2.57536363636364
LSM6	-0.47975
MLLT1	0.125625
SLC5A12	-0.55625
A2BP1	-1.81716666666667
COPS5	0.112166666666667
TPM4	-0.553
TNFSF4	1.55516666666667
ACADSB	1.87116666666667
HERPUD1	0.46075
BCL2L11	-0.158555555555556
CEP78	-0.7145
CDCA3	-1.5715
WBSCR19	-0.0723
MYO1A	-2.2115
PPEF1	2.7335
LOC440348	-0.35175
CPEB2	1.328625
BPTF	-0.301916666666667
RPL21	-0.95
GSX2	0.127
ADPRH	1.50966666666667
C17orf68	0.406
KCNS1	-1.03183333333333
MLLT6	0.4803
PIWIL4	0.86875
RNF26	-1.129
RAP1B	0.365125
ADAMTS1	-2.861
ZNF571	0.54325
P2RY6	0.68075
TRIM21	0.900666666666667
CADM3	0.2825
NLRC5	1.215
ADRA2B	-0.182166666666667
LOC90835	1.2015
PCF11	-0.398
LOC400451	2.1235
GLTSCR1	0.8747
C17orf88	-0.161166666666667
CDH16	-2.01375
FGF7	1.51675
PCSK4	0.649166666666667
NPC1L1	-1.74833333333333
TAT	1.483875
TBCA	-0.15125
MGC33407	0.0715
GPR115	-1.5795
CYGB	0.7705
FNBP4	-1.10816666666667
C12orf43	-0.323
CBL	-0.26
CLECL1	3.25925
PPAPDC1A	2.36925
WDR25	-0.162833333333333
SGCA	1.2085
C22orf29	0.1805
YIPF1	1.55025
GALK2	-1.03675
RAB3B	-1.65816666666667
LOC440087	0.04575
UCP1	-1.1135
REEP5	1.7865
FADD	-0.0786
FOXA1	2.519125
CACNA1A	0.44
ABI1	0.592
GRIN2D	1.9115
SLC1A4	0.773666666666667
LOC401127	-0.166
HINT2	0.62
PLD4	1.585
ZNF286A	-1.251
ENY2	0.18275
IL1F6	0.327
PXDNL	0.198
C20orf79	-0.663
TNFSF13B	3.72766666666667
DENND3	0.546375
JARID1D	-3.321
HIST1H2AK	1.48425
LOC93349	-0.2409
SSH1	-0.8201
ENSA	0.31025
LOC219854	-0.816166666666667
CKAP2	-1.8164
DKFZP564J102	0.308333333333333
MGC87315	-0.1385
HNRPAB	-0.44725
AMH	-1.4985
ZNF526	0.4625
BRUNOL5	-0.5208
CACNG3	0.0545
TRPM1	-2.3205
