Hybridization REF	TCGA-A2-A0YL-01A-21R-A109-07
RABGGTA	-0.3165
UNC45B	0.6745
KIAA1033	0.542
ZNF510	0.677333333333333
CYP2D6	-1.14533333333333
SLC26A10	-1.721
STX8	-0.301
LUZP1	0.301125
WDR89	-0.064
EIF4G3	-0.0755
C5AR1	0.711625
ZNF623	-0.225
A2M	2.2155
TGM7	0.0705
GRPEL1	-0.370666666666667
LMNB2	-1.7831
ROCK2	-0.506166666666667
SNX16	1.22025
CCDC66	0.9815
ANXA3	1.66275
KIAA1609	-0.260625
EED	-0.7025
RNF32	0.5895
HES1	1.1792
CLC	0.347333333333333
ISL1	-0.647666666666667
KIAA0528	0.171
MANEA	0.614125
C1orf61	-1.8875
hCG_2001000	0.1685
RAPGEF6	0.1102
KIAA0020	-0.635833333333333
NEIL1	0.90775
C16orf45	-0.0995
RBM10	-0.604
C10orf125	-1.086
MRS2L	-0.14625
DNAH17	-1.693125
C19orf10	-1.1705
C1orf160	0.4585
SLFN12	0.74025
EXOC3	-0.0495
HIST3H3	-0.37
NCOR2	0.169166666666667
TNFRSF9	0.114
MFSD8	0.45125
ALX1	-3.26883333333333
NOL1	-1.4675
PODN	2.626
TIAL1	-0.2785
HIST1H1E	-2.76525
NPY6R	0.30375
TM4SF4	0.18675
CORO2A	0.03125
ETNK2	0.6425
APOE	0.565
ANGPT4	0.0975
HDGF2	-0.66325
G30	-0.781
ST8SIA4	0.15775
F2RL1	0.9035
FAM19A4	-2.0435
CCAR1	-0.47225
B3GNT7	-0.17425
OPHN1	-0.3666
DSCR6	0.8175
C21orf13	0.796166666666667
GAS2L1	0.413833333333333
RFX3	1.42216666666667
COPS4	0.33875
BCHE	-2.96533333333333
BCL2	2.36475
HBZ	-3.4625
ARL13B	0.28625
MAPBPIP	0.547125
MYO15B	-0.324125
SPZ1	0.037
KIAA1324	2.72511111111111
PLCL2	0.974125
C4orf29	-0.371
WDFY2	-0.789625
ZNF284	0.02
NAALADL1	0.6885
DUSP5	1.24166666666667
PXDN	0.129875
SLMO1	-0.40325
TNXB	0.212
BIRC7	-1.7245
A4GALT	0.0561666666666667
TIMM22	-0.11875
FAM110C	0.3805
TOMM34	-0.94475
ABHD9	0.0035
ADAM32	1.8435
CRHBP	0.25425
AQP2	0.235375
LOC130355	0.814
ZNF187	1.15283333333333
ZNF816A	1.079
F7	-0.50675
CNOT1	-0.163
SLC13A4	-0.74575
ZBTB11	0.4225
B3GALT5	0.7765
EXOC2	0.594666666666667
IRS1	0.7686
TMEM1	-0.176166666666667
MRPL34	-0.233833333333333
SAMM50	-0.15825
CDC42EP3	0.37025
HSF2	-0.3473
MFN2	-0.50875
TSPAN7	-0.3875
NUCB1	0.303416666666667
RHOH	1.5945
ARL16	-0.1205
TACR1	0.00825000000000001
SFRS5	-0.572166666666667
SNX25	-0.73725
RHBDF1	-0.0593333333333333
PCDH18	3.409
HMG1L1	-0.08675
MYO5C	1.6495
MAPK10	1.209
LDHAL6A	0.00116666666666667
NUDT12	1.19783333333333
NCAM1	-0.5085
GLIS2	-0.388
GGTL4	-0.90675
DAPP1	0.93325
ATF7	0.510625
KIAA0748	-0.32375
NFIL3	0.687
TM6SF1	0.8337
SEZ6	0.04925
NANOS3	0.318166666666667
DNAJA3	-0.726
CLDN6	-2.4875
CIITA	2.2993
EPHA4	-0.677916666666667
FANCC	-0.4755
CMTM3	0.637125
PSG3	-0.64675
MRPL15	-0.43825
C21orf59	-0.32375
PLCXD2	-0.35625
C2orf34	0.206625
UBE2L6	1.065125
MED14	0.2405
HP1BP3	0.0276
C6orf208	0.241
TPBG	0.75825
OSR2	-0.508125
XPC	-0.264166666666667
KLHL7	-0.0799166666666667
CCR3	-0.35
AGTPBP1	-0.689833333333333
PCSK6	-0.218666666666667
STAT5A	-1.1275
FAM18B	0.01925
LONRF2	-2.25383333333333
PTPN2	-0.499625
SF3A3	-0.922833333333333
EFCBP2	0.113
HCFC1	-0.919666666666667
AHNAK	0.16865
ACTR5	-0.588
KIF14	-1.88871428571429
TENC1	0.62525
HEATR5B	1.2965
YIPF2	0.356333333333333
MYEOV2	0.719666666666667
DUSP18	1.27375
KIAA1012	0.60275
AHR	0.623666666666667
C17orf53	-2.14416666666667
PTPRH	-3.41675
ATP6V1C1	0.363
TAS2R3	0.3075
LOC440356	-0.1195
COQ10B	0.39025
PSMF1	0.493083333333333
SORBS2	2.96433333333333
NFE2L2	0.973
TMCO7	-0.61725
SH3PXD2A	0.217
SH2D2A	-1.06475
SPINK5	-2.05225
MRPS24	-0.943
OPA3	-0.204875
TRAF7	0.3285
C4orf35	-0.164333333333333
MT1G	0.56125
MGC39545	0.98325
HS1BP3	0.0465
OR2B2	0.1505
CHRM4	-0.646
SFRP2	3.873
RIC3	1.333
ART1	0.314
C6orf1	0.1905
DUS4L	-0.20375
C10orf104	0.545
TNFAIP6	2.788
RTEL1	-0.69075
CCT4	-0.4368
ZNF709	1.22725
CHMP6	0.182666666666667
UPP2	0.85025
CYP19A1	-1.07775
CD151	-0.434333333333333
NDUFA13	-0.448
ARFRP1	-0.493333333333333
FAM26B	2.41375
CRYBA1	-1.575
MRPL41	-0.3185
NPFFR2	1.687125
HRH2	-0.047
SCAMP3	0.0646666666666667
MTMR6	0.7226
MTG1	-0.702
UBTD1	0.325
CRABP1	-1.2545
FLJ33790	-0.7015
KIAA1908	-0.908
GPR158	-0.708
PACSIN3	-0.991833333333333
OMD	2.94816666666667
CATSPER1	-1.102
HOXB8	-0.443375
FBXO46	0.677
OAS1	1.76533333333333
SVIL	1.338
PHB2	0.1315
ADCY3	0.5945
NDRG2	2.14033333333333
ERMAP	0.8664
APBA2	-1.9585
IGSF9	2.85475
WNT6	0.0282142857142857
MYCBPAP	0.3745
ATP2B2	-0.3394
CPVL	0.0447
TRAM2	-0.58575
NOP5/NOP58	-0.7725
ZNRF4	-0.2365
TLK1	0.476125
MTMR12	0.0912142857142857
ZNF384	-0.51
FAM9B	-3.5255
RPN1	0.4593
PMVK	0.40625
EIF3D	0.5064
SIX2	1.0205
HPS1	0.256928571428571
RNF7	0.19675
PSKH2	-0.1755
KCTD13	-0.601
CSMD3	-0.1587
FBF1	-0.0915
IL8	-3.746625
SERPINB13	0.6885
FBXL20	-0.17825
BLR1	0.00825000000000001
SH2B1	-0.5035
RFNG	-0.4545
RAB20	0.2155
RBM7	0.40075
POLR1A	-0.218333333333333
TMPRSS4	0.42525
TAF9	-0.387625
TERF2	0.279166666666667
TNFRSF1A	0.31625
ACADVL	-1.13983333333333
GTF2H5	0.243
EDG8	0.153666666666667
C9orf140	-1.929875
UST6	0.10425
ZBTB8OS	-0.71425
ZNF710	0.154
GPR174	-0.514
ATP6V0A2	-0.5095
KIAA0319L	-0.513083333333333
XKRX	0.195
DOPEY2	1.8482
SDHD	-0.127333333333333
SUMF1	1.84525
OSM	0.8865
OPN3	0.5395
DAGLB	-0.815666666666667
PPFIBP1	0.0304
TRIM63	-2.04975
C10orf53	-0.046
LYPD3	0.592833333333333
BCL7A	0.392
AGER	-1.41566666666667
TCF19	-1.191875
SAT2	-0.04925
PFTK1	0.465
GABRE	-3.182
C15orf38	0.3548
FIS1	0.3765
KCNV2	-0.563
CLPS	1.021
PPCDC	-0.7005
FOXN2	-0.631833333333333
NT5E	-2.9187
CD83	0.18725
IL18	1.659625
VPS16	-0.12925
IGFBP2	-0.499666666666667
NOTCH2	0.6855
SIGLEC1	2.408375
CD93	5.32
SULF2	0.2875
CEP164	-0.406125
P53AIP1	1.27133333333333
TOR2A	-0.370666666666667
ZNF136	0.78275
MGP	2.7919
CCDC144A	0.531333333333333
TRPC1	-0.0795
SMS	-0.2045
MAPK7	-0.340666666666667
RRAGC	0.41575
PARD6A	-0.2975
NUB1	0.325166666666667
SYNGR4	0.64025
OR11H12	0.174
WIF1	3.878875
GCH1	-0.249
OR11H4	0.313
SLC44A5	1.1065
GPRIN2	1.90733333333333
LOC401431	0.63575
CPA4	-2.8673
MELK	-1.72377777777778
IL15RA	0.65875
CUL3	1.389625
HMBOX1	-0.023
PODXL	-1.2005
CCT6B	0.611166666666667
COMTD1	-0.9185
MUC20	0.0735
GPX2	-2.0835
ITK	0.0655
FBXL5	2.153
C13orf27	-1.85575
DEFA5	0.3695
TRHDE	-0.584
MTP18	-1.30733333333333
UQCRQ	0.3256
ITGB2	0.774833333333333
CSRP2BP	0.0335
TAS2R44	-0.1495
PHPT1	0.251125
FAM44C	0.16625
ERH	0.09475
MPHOSPH1	0.000499999999999996
MORC1	-0.6865
PARVB	-0.945
LAMA1	-1.17741666666667
PGBD3	0.0675
GIMAP6	3.857
AREG	2.02166666666667
LIPT1	0.54875
MGC99813	-1.80625
C1orf201	0.313
GRIN2A	-0.6326
MAN2C1	-1.47325
NSUN5	-0.71625
SF3B5	0.08925
MYC	-0.1660625
NRXN1	1.08916666666667
ZNF18	0.17925
SPDYA	-0.316125
SLC37A1	1.042
DECR2	0.03275
ANKRD38	0.757875
SPTLC3	-1.00375
SUPT16H	-0.537625
DTWD2	0.4105
ULBP1	-0.8705
ZADH1	0.482666666666667
OIP5	-2.2615
IL10RB	0.091
OTUB2	0.3645
VWA3A	0.113833333333333
SPIC	0.180833333333333
OR6C4	-0.1295
PSCD4	0.827666666666667
DPY19L2P2	-0.88
TRAPPC6A	0.339666666666667
C21orf2	-0.7705
CEMP1	-0.32475
LIN7B	-0.5465
E2F7	-2.33983333333333
VCP	-0.23275
LAMA3	2.17608333333333
BGN	1.8045
GPR160	2.247
COCH	-3.763
GPR81	2.22566666666667
APOBEC3F	-0.4745
tcag7.1017	-0.83775
C1orf32	-0.2655
SCGB1D2	5.9875
FLJ43987	-0.3525
C6orf170	1.17875
KLK9	-0.09
GPD1L	1.055375
VPS37B	0.492
ATG3	-0.0121666666666667
ADAMTS17	0.069
KLHDC2	0.931833333333333
NDUFV2	-1.00625
BLK	-2.56625
MATN4	-1.3025
GPM6A	1.947625
GBP4	3.52816666666667
TMEM162	0.427
PKP2	0.5425
HRASLS	-0.924111111111111
MMP1	-4.0595
SFXN3	-0.4111
FSD1	-2.24816666666667
ST6GALNAC3	-0.6095
CA12	2.7052
NCOA6	0.389
C19orf58	-0.1772
PPP4R1	0.273166666666667
MAN1A2	0.579833333333333
IKBKAP	-0.97425
UPF1	-0.2675
KIAA1219	0.70925
WNT16	0.054
SNW1	0.01775
IL18RAP	2.61975
RPP30	-0.377
CDC40	0.249214285714286
SETD3	0.1775
SLAMF6	0.55725
ELK4	-0.493
TRIM47	0.449
ACOX3	1.151125
TRIM6	1.0325
KIAA0372	0.117666666666667
TP53AP1	0.632375
SMURF2	-0.8385
ADAD1	1.18925
EBP	-1.6551
KRTAP13-2	0.0735
FLJ36874	-0.429833333333333
TOR1A	-0.0655
P2RY4	0.481
GPBP1	0.137
TRPV1	-0.44125
ADAMTS12	0.802166666666667
PES1	-0.0396
ATG4A	0.512833333333333
MAGEA10	-5.035
WFS1	1.57025
CC2D1B	-0.934333333333333
PABPN1	-0.4575
SLC25A30	0.3495
SLCO1C1	0.248
SLC22A5	0.7065
KIF23	-1.6985
SYN2	0.814833333333333
ASPN	8.09816666666667
CENTG2	0.12475
QSOX2	-1.575
FLJ10815	0.0443333333333333
STK24	-0.3441875
SPEG	0.3383
STK10	-0.298
DACT2	1.292
AAAS	-0.50475
SSX3	-1.7675
ABCD3	1.2457
C4orf12	1.09175
PARVG	0.560333333333333
FIG4	2.044
C9orf46	1.47
TMCO6	-0.3755
IGHMBP2	-1.24975
DUS2L	-1.031
FAM3C	0.329625
TMEM16D	-0.1865
DCTN4	0.9875
KCNH3	-0.1625
EIF2AK2	0.2285
AP1S3	0.201625
CST4	2.388
PAM	0.7225
NUTF2	-1.01325
CITED2	0.7342
SLC39A4	-0.31375
C2orf52	-0.31
GRM3	-0.03125
C12orf49	0.335375
CCDC49	-0.2292
GRAMD1B	-1.55142857142857
FNDC4	0.571
SIAH2	0.017125
GDPD4	-0.25775
C21orf87	0.112
ATP5A1	-0.101833333333333
C16orf63	-0.374875
LOC388135	0.552333333333333
ATP5J2	-0.60825
MMP3	0.632
EMID2	-0.216
CRHR1	0.194
WDR70	-0.0115
C13orf31	0.81125
ZFAND1	0.296
CCL18	3.604
C3orf49	-0.2715
RINT1	-0.753
KIAA0408	-0.529833333333333
F13A1	4.5425
SLC10A1	-0.00566666666666668
OGN	3.2735
GIPC2	-0.00133333333333333
XPO6	-1.3065
LCE1A	0.2465
FMR1	0.0672
LOC374920	-0.73625
DUSP3	-0.137875
ANKMY1	0.05675
C7orf50	-0.82325
BBS9	0.3958
UNC119B	-0.31275
C9orf72	0.668
MGC35440	-0.44575
ENTPD6	-0.2505
PPP1R2P9	0.401
ERCC4	-0.02425
FAHD2B	-0.1315
HMHA1	-0.573
HACL1	-0.411
RAD23A	-1.11816666666667
FAM83B	0.337
PPP5C	-0.1575
RNASEH2C	-0.05625
C9orf153	-0.38825
SCAMP4	0.368875
GHITM	0.0188
NDUFB7	-0.057625
ADCYAP1	1.6445
SP110	2.33366666666667
MAP3K7IP2	0.1885
DHH	0.106
AGRN	0.636928571428571
WDR33	-0.166333333333333
CEP290	-0.155833333333333
PRPS1L1	-2.3145
KLRA1	-0.1725
GPR97	-0.5005
CHD7	-1.08658333333333
TLR10	1.3355
SLC30A8	0.349
HIC1	1.8255
IAPP	-0.482
RXFP4	-0.09875
GP1BB	-0.01025
SHQ1	0.666
NKX2-3	-0.00783333333333332
API5	0.424
FTHP1	0.9345
MOV10L1	0.764
TRIM6-TRIM34	1.65916666666667
ADHFE1	1.209
FAM117A	-0.1175
DDI1	0.107333333333333
CDON	0.546666666666667
TRIM73	-0.606
IGKC	4.2405
MMP14	0.067
DYNC1LI1	0.321
C11orf66	0.28175
TRBV3-1	-1.0125
FASTKD5	-0.0045
BIVM	-1.46475
LHX4	0.09925
CXCL2	2.274
RAB2B	0.442
IZUMO1	-0.87825
MAP3K15	-1.382375
FAM19A2	0.891
ZC3H8	0.1865
ZMAT1	1.604125
SPINK5L3	-2.42625
SLC10A6	1.132
APPL2	1.173125
CARD10	-0.439
LOC402176	0.626375
EEF1D	0.3003
RAB6A	0.8793
C12orf5	-1.084125
PAPOLG	0.87325
MSRB2	0.41125
BCR	0.139944444444444
PUS3	0.00275
TIAM2	1.108
ZNF317	0.3955
CHD2	0.0101428571428571
FZD5	-1.54390909090909
NUDT8	-1.87675
ZNF763	1.129
PRC1	-1.73766666666667
ABCB9	0.172666666666667
SPATA3	-0.2575
TRAK2	0.70425
STAB1	2.582125
LRRTM2	0.793166666666667
psiTPTE22	0.20075
DBI	-0.149
SERPINA11	-2.0935
NAT5	0.01825
C20orf58	-1.459
RPS6KA4	0.0796666666666667
FLJ90650	-0.1515
TGFBRAP1	-0.39025
CHRDL2	0.96125
FAHD2A	-0.443166666666667
CNTN1	1.228
BBS4	0.3326
TMEM181	0.23825
MINPP1	0.449
MPHOSPH6	-0.631583333333333
HOXC10	1.1262
ITPKB	0.553375
CLPTM1L	-0.729875
MEOX2	1.47016666666667
ATP6V0C	0.119375
PRPF8	-0.528833333333333
TMC5	2.89125
FKBP3	-0.44325
PLEKHB2	-0.356875
OR4D6	0.0185
ZNF544	-0.4827
D2HGDH	-0.770625
RPL18A	0.3463
HEL308	0.275625
MPP6	-2.7525
TCERG1	-1.03475
KRT16	0.0585
KLF17	-0.6425
KLF5	0.545375
CDR1	2.132625
VCX3A	-4.1025
FBLN2	1.896625
C14orf104	0.418
HBE1	-5.2391
OR4S2	0.685
C1orf108	0.0828333333333333
ROBO4	3.5175
CPEB4	0.846375
C11orf80	0.3165
BCKDHA	0.496666666666667
MYOC	0.371
GIF	-0.021
CKMT1A	0.6135
RPL3	1.2929
THBS1	2.020625
APOO	-0.73625
ARMCX1	2.8835
HSZFP36	1.2635
SNAPC5	-0.47825
EIF4ENIF1	0.77
ZNF433	1.1965
TNFRSF21	-0.209625
TMPRSS7	0.004
SPATA18	1.7457
HPDL	-2.824
MKL2	1.367
TBX3	1.69223076923077
C21orf93	-0.111
DAXX	-0.1485
ELMO1	0.309875
RGS13	1.97533333333333
TAF11	-0.26275
UNC13A	-2.4465
LOC653314	-0.1771
ORC3L	0.092
IMAA	-3.8805
TARBP2	-0.5215
CABIN1	-0.6031
TRIOBP	0.0560625
HIST1H2AC	-0.350875
RGS22	-1.1725
NCOA1	1.26383333333333
IL25	1.7295
SNCG	1.256
GPR6	0.367
AMDHD1	-1.1595
CHEK2	-0.96775
C6orf142	0.8675
DRD4	0.069
C14orf68	-1.35
GDF11	-1.79475
SEMG2	-0.126
CD247	-0.21675
CDAN1	-0.00925
RBMX2	0.166
TGS1	-0.04025
OIT3	0.4515
SYF2	0.52475
MCM4	-2.48825
PKHD1L1	1.673
CEP192	-0.819166666666667
IFT88	1.113
RPL9	0.679785714285714
RAB32	0.21375
DDX43	-1.49
P2RX2	-0.1945
OR5D18	0.259
UBE1	0.0250833333333333
SLC24A1	1.124
ARHGAP5	0.65375
CETP	-0.3115
KIAA1731	-0.185833333333333
SLC9A4	0.532
PTPN6	0.64975
BAHD1	-0.192
GRIK3	0.2725
CACNB2	-0.6027
PDE10A	-0.21125
DGCR14	-0.2795
PCDHB9	-0.241666666666667
RHOQ	0.869666666666667
MAP3K4	0.523
KTI12	-0.6785
RPL23AP13	-1.327
GNG11	0.0245
CLCN3	0.679
GPAM	-0.1435
VSTM2A	0.28
SLAMF7	2.61933333333333
INTS2	-1.686
PPP2CA	0.268
LRP12	-0.125066666666667
SEC14L2	2.45233333333333
DKFZP586H2123	3.73725
MC3R	0.256
CIRH1A	-1.327
HIST1H2AB	-1.23033333333333
POLH	-0.602375
MGC16703	-1.79816666666667
SNAPC2	0.305
FILIP1L	1.6525
RASGRP4	0.057
LRRC1	1.73275
GAS1	1.93625
PRAC	-1.11925
DGKA	0.5215
NT5C3	-0.55775
PEG3	-1.6715
NADK	-1.38525
PRR17	0.116
LOC374569	-0.19475
SGSH	0.0505
NLRP8	0.3435
GALT	-0.4051
MCF2	-0.761
ZNF263	0.125
TACSTD1	1.1625
TYR	-6.964
ATP6AP2	0.534
RNUXA	0.1295
ABHD10	0.3577
GDPD2	-0.8245
SLC35C1	0.13075
UBE2A	-0.105125
HERC5	0.330333333333333
FAM112B	-4.7105
FBXL16	1.1085
DKFZP434A0131	-1.40325
ELA3A	-2.9215
RBM41	-1.0645
HAO2	0.177
RNH1	-0.32325
SHANK2	1.205
OSBP2	-1.5165
DAK	-0.606833333333333
C3orf58	0.801333333333333
TCL1B	-1.5345
KBTBD2	0.381375
SUGT1L1	0.67875
UBE2E2	0.018
MYL9	2.206875
CDC23	-0.378666666666667
PBXIP1	0.9067
CXorf40B	0.3795
NBL1	1.3825
RTBDN	-0.1925
RAB11FIP5	0.414875
TTTY13	-0.4395
SCOTIN	-0.386
SOHLH1	-0.409333333333333
CDKN1A	0.257785714285714
NCK1	0.4265
ZNF550	0.1395
SAPS3	0.328833333333333
SPIN3	0.722166666666667
MAGEE2	0.6275
MIS12	-0.618833333333333
OR8H2	-0.0755
KIAA0774	-0.785166666666667
UNC5D	-1.4895
CUL7	-0.225
LIPC	-3.39983333333333
DIO1	2.9925
C20orf11	-0.0624
CTRL	-1.44475
HS3ST2	2.78725
PAK4	0.420166666666667
CCRL1	2.581
RNF10	0.31275
ZNF567	0.4795
ZNF660	0.064
TCEAL3	0.45
MAGOH	0.116166666666667
CENPB	-0.434666666666667
C19orf7	0.276125
LOC388965	0.159
ZCCHC13	0.5965
JMJD1A	-0.1199
HIST1H4H	-0.9425
TBRG1	-0.4677
GPC3	-3.84275
TAF1C	-1.189375
EBNA1BP2	-0.896166666666667
CIAPIN1	-0.819
PDGFRA	0.825111111111111
CSTB	-0.3265
CENPI	-1.46733333333333
GTF2E2	-0.16
RPP21	-0.068
CCNF	-1.53516666666667
KCNQ3	0.7115
FAM79A	1.571
SLC22A12	0.167
NOVA1	-0.112333333333333
FZD3	0.5484
AKAP8	-0.41075
SOCS5	1.54925
CFDP1	-0.73475
DLG5	0.84075
PGM5	1.06191666666667
C1orf144	0.169166666666667
HDAC10	-2.132
RND2	-0.63075
C20orf199	-0.27075
RNMT	-0.54875
SLURP1	0.115
ASTN1	0.50125
SH3BGR	1.79625
MYCL1	0.125625
ZHX1	0.301833333333333
CENPK	-2.93275
FOSB	2.672
LOC643406	0.273
C2orf59	-0.973125
TMEM135	0.334
SLC27A2	-1.37625
KRT33A	1.382
OVOL1	1.173375
PAMCI	-1.29116666666667
S100A7	-0.8685
ZNF789	-0.62
HARS2	0.32225
RPL23A	-0.3085
TCF23	-0.2015
UPF3B	-1.293125
C17orf78	0.1145
HLA-DOB	1.15083333333333
C14orf142	0.437833333333333
TEKT5	1.49166666666667
DMWD	0.1325
POLD1	-1.80966666666667
GSCL	-0.54
CALD1	1.0962
SCRT1	-0.0625
AIG1	1.4185
UNC84B	-0.1565
ZNF404	0.57975
TMED6	-3.4015
KIAA1462	0.334
LRRC27	1.46266666666667
PYGO1	0.41
PIGU	-0.354
ALAS2	-4.19066666666667
WRNIP1	0.28
CNNM3	0.033
ZNF2	0.803
ST3GAL5	-0.84625
MRPL23	0.2295
TSSK6	-0.155
PSMA6	-0.759
C16orf70	-0.20125
KIAA1602	-0.198
ALMS1	0.633833333333333
DCN	3.153125
TMEM132D	-1.23125
SUCLG2	0.5295
ABHD14A	0.194
DEXI	0.0878333333333334
AMPD2	-1.44866666666667
IFNAR2	-0.593833333333333
CYB5A	1.3583
TLOC1	0.938
NXF5	-0.981833333333333
NRBF2	0.331
KCTD3	1.30375
ITGAE	-1.19133333333333
SLC30A3	-2.05233333333333
ZRF1	-1.0555
IFRD2	-1.171125
XAB1	-0.09175
PYCR2	-1.02683333333333
SERPINB3	-4.053
TMLHE	0.2736
GEFT	-1.168125
ABCA5	-0.119875
EMR4	0.318
TSFM	-0.488
HIST3H2BB	-1.86025
ARHGEF19	0.46675
TSPAN17	-0.619333333333333
ABCC8	3.05875
MAP1S	-0.015
C22orf36	0.8635
BNC2	0.0848571428571429
HIST1H4A	-1.32525
NDUFS3	-0.764333333333333
WDR3	-0.5815
XKR4	0.40175
TTC33	0.275071428571429
STMN2	3.2905
CPN2	-1.12783333333333
HSPC105	1.06375
PCOLCE2	-5.1145
C3orf55	1.7865
KLHDC9	1.5305
TBC1D23	0.5525
ATXN2L	-1.73908333333333
MAP2K3	-0.940833333333333
SCAP	-0.88075
ZNF486	0.881833333333333
C20orf96	-0.76225
NARS	-0.16425
ADAMTSL1	-0.771142857142857
PRCC	0.760166666666667
CCDC126	1.93566666666667
ZNF675	0.66675
CALCOCO1	1.26575
ANKRD43	4.3485
CWF19L2	0.808666666666667
ZBTB32	0.734833333333333
BRAF	0.31
ODF4	0.0525
MGC14376	0.374333333333333
HORMAD1	-2.3905
AAK1	-0.0108181818181818
PEBP1	0.2165
TNFSF5IP1	0.016
DKFZp564N2472	0.296
RMND1	0.245125
IGKV1-5	4.202
COL1A2	2.79075
SERPINA5	0.408625
AANAT	0.143
C19orf21	0.841333333333333
GEMIN5	-0.54475
UBR4	-0.299333333333333
LTBP3	0.8055
AMHR2	-2.47566666666667
PROCR	-0.5485
MYBBP1A	-1.79675
C20orf39	-0.413
ZNF697	-0.0505
PASK	-0.8996
ZNF776	1.0185
RFXDC2	-0.172625
KIAA0467	0.378
C10orf96	-0.9325
ZNF503	-0.93275
GULP1	-0.114583333333333
KCNE4	1.5255
DKFZp434K191	-0.75125
LOC196913	-0.475
BHLHB4	0.166
CH25H	2.15125
LOC81691	-1.22766666666667
ALPL	0.791857142857143
COL12A1	2.518375
FOLR3	-1.8095
GPR123	0.312625
TRIM62	0.00128571428571429
ABLIM1	0.928333333333333
MAST3	-0.14925
RHBDD1	1.1805
LOC338809	-0.332
RYBP	0.13925
TTC26	-0.06425
ZNF22	0.87
ISCA2	-0.40175
RDM1	-2.47425
PIGM	0.92025
GNB3	-1.6545
ACTR2	-0.1512
HMGB1	0.32125
EDG1	3.99216666666667
SOAT2	-3.16075
OR10AD1	1.298
RAP1GDS1	0.51775
LCE1F	-0.0395
ESM1	-1.568625
RCN3	1.92825
CREBL1	-1.04575
DBNL	-0.531166666666667
PTGER3	3.01125
USP30	0.341333333333333
BCL2L12	-0.679833333333333
KIF26B	1.9465
ZNF416	0.96025
ZNF225	0.588
C17orf70	-0.7355
ZNF554	0.37825
RAE1	-0.462666666666667
TNIK	0.979333333333333
ACTN3	0.104
MGC45922	0.056
CCNA1	0.827666666666667
RYK	0.84
IL26	-0.4
LRP3	0.212833333333333
QARS	-0.000250000000000007
SOX7	1.18442857142857
BID	-0.564625
OR2S2	0.2455
CXCL14	4.14225
C11orf47	-0.8695
MGC29891	-0.282166666666667
HSPB8	-0.2785
PRDM14	-1.1495
NUFIP2	0.00300000000000002
MNAT1	-0.36625
ZDHHC2	-0.473833333333333
MBNL2	0.85025
ADD3	0.4155
CSNK2A1P	-0.28175
KLK6	0.9985
TMEM111	0.136
KIAA1279	1.5875
NUBP2	-0.4805
RAB42	-1.21875
ID3	-0.7377
TM9SF1	0.507
MDP-1	-0.2775
POU4F2	0.532
IQCK	2.0495
C16orf14	-1.38775
CAPN3	-1.539125
FAM43B	-0.241625
RECQL	-0.2945
AP1G1	-0.377142857142857
CTNNBL1	-0.523166666666667
ECHDC1	-1.05383333333333
SMARCC1	-0.9202
FOXQ1	-0.8765
GNAI3	0.5915
POLG2	-1.72625
CD4	0.974125
ITLN1	0.46
EBI2	4.1325
IRF1	0.1865
PTPRE	1.469
PTK2B	-0.48825
NXNL2	1.158
SOX4	1.29122222222222
TSPAN3	-0.0146666666666667
SH2D1A	-1.773
C8orf58	0.176666666666667
USP20	-1.11
DUSP22	-0.287333333333333
CALB1	-2.10016666666667
L3MBTL2	1.1115
MCRS1	-0.286
TMEM118	-0.857666666666667
C18orf8	-0.1385
FLJ10241	0.35175
GJA12	1.37725
PKD1	-0.591166666666667
ZFP3	0.918
JAM3	0.077625
LAPTM4A	1.0582
DIRC2	0.52475
KIAA2022	0.0328333333333333
MYOM1	0.7115
TRPM8	-1.82033333333333
MOP-1	0.3535
PHKG2	-0.270375
ZNF650	1.001125
KIAA1522	1.102
PSG8	-1.2775
DDX19B	-0.575
MOBKL1B	0.12675
DIAPH2	-0.37875
PTPN12	0.323
CLN8	-0.9097
CRYZL1	0.0198333333333333
CRY2	0.75625
FCGR2B	3.6435
PNPLA4	1.725375
ZNF454	0.905
DKFZp434B1231	-0.3275
CLDN11	0.7465
RFWD2	0.853166666666667
CIB2	-0.2705
MXRA8	3.951125
HRK	-0.319
MAML2	1.0525
C4orf31	0.89525
C6orf192	0.41525
COG6	0.18075
FAM5B	0.39125
NFATC1	0.324
SEPT10	-0.076
SCYL1	-0.4927
RPP40	-0.62975
SCOC	0.7908
KIAA1450	1.1525
CTDSPL2	-0.13625
TBX5	1.42283333333333
NAPG	-0.611375
RHD	-4.24475
C14orf45	2.915
ZBTB22	0.3325
PLCG1	-1.424
ANKRD10	-1.043625
AQP7P2	0.33
TAGLN2	-0.3275
HTR2C	-0.4315
SLC16A7	-0.904666666666667
C17orf83	-0.066
TSGA14	-0.184916666666667
MDH1	-0.67375
PPP3R2	0.126
DCBLD2	-1.87278571428571
RBM33	-1.302875
DPH3	-1.27875
SYT10	-1.18916666666667
FMO4	2.5285
THYN1	-0.163
DRD5	-1.66
OTOR	0.48325
PGRMC2	0.0873
KATNAL1	0.595
PAQR6	-2.36075
UBE2I	-0.423
C14orf28	0.4795
C8orf70	0.79625
FLYWCH1	-0.663625
ANGPTL3	-1.308
GLRX2	-0.5235
ATP11A	-0.933142857142857
ARL5B	0.424
MUC16	-1.77175
SLC25A5	-0.774357142857143
ACRC	-0.651
MYO1C	-0.932625
