Hybridization REF	TCGA-BH-A0HW-01A-11R-A034-07
ETV6	-0.01175
CHAC2	-2.668
CD300E	0.767
CEBPB	0.434166666666667
ZNF398	0.7965
LRCH3	-0.012
HMGA1	-2.12383333333333
CAPN7	0.4065
MGC5566	-3.59725
CCL3	3.822
NANOS1	-0.829625
ZFYVE19	0.52425
APITD1	0.152166666666667
PARD3	1.089
IRAK4	-0.460333333333333
SERPINI2	-1.076
CEP170L	-1.22025
TTC9	2.486625
MYOM3	-1.71225
MLPH	1.596
LOC222699	1.467
NRG1	-1.98563636363636
TBC1D9	5.117
TTK	-2.52216666666667
ZNF557	1.4837
DDX41	-0.061
FANK1	2.2565
UBE2D2	0.197875
PSMB10	-1.07075
MYH7B	0.48
GABARAPL2	0.4625
MARVELD2	2.49
DGCR2	1.931
UNC45A	0.0406666666666667
C6orf72	-0.015
ZNF683	0.6165
GIT2	-0.18475
CASK	1.59866666666667
C14orf161	0.170333333333333
LRRC44	0.9465
TIFA	0.305375
UTP11L	-0.653875
C6orf65	-1.70975
FDPS	-1.06125
DUSP9	-1.939
SLC17A8	-0.772333333333333
OR51G1	0.753166666666667
NANS	-0.86075
OLFML1	0.905
ATP10B	-0.7275
NPAS3	-1.48075
PRKCA	-3.2068
GGA2	0.3655625
LCE4A	0.135
SPANXN3	0.0336666666666667
CCDC115	1.583625
SDCCAG3	-0.44325
GLIPR1L1	0.9895
TTC1	0.079
C17orf76	0.65525
MAD2L2	-1.7655
HIPK1	0.4753
LRRC3B	-1.156
CLN3	-0.641227272727273
C17orf47	0.2445
FMN2	-2.96625
TUBB1	-1.211125
WAPAL	0.0605
C3orf21	-0.983
SCN5A	-0.6946
SMYD1	0.50325
BEX5	2.1045
ZNF192	-0.1755
SEC22A	-0.789666666666667
GRIA2	4.66578571428571
KIAA0825	-1.42625
NUSAP1	-1.69572727272727
LANCL1	-0.147375
C15orf40	0.5774
ZNF645	0.111285714285714
GPR61	-0.09225
NLRP14	0.489
SNX21	-0.7309
C1QTNF8	0.66
C17orf46	0.51875
IFNA8	-1.653
SPRR1B	-1.472
FLRT1	-0.4805
SNX17	-0.930666666666667
ASB2	-1.42783333333333
HBG1	-5.9985
RPRML	-1.82975
JOSD2	0.081
PLSCR3	0.0275
SPOCD1	-1.22116666666667
RAB39	0.245
GHRH	-0.3885
ITIH5L	1.334
C17orf37	2.3785
SMCR8	0.38225
DPY19L2P3	0.349
IL11RA	1.19466666666667
GDF3	-3.842
RPS6KB1	0.241083333333333
DNAJC19	0.8304
TOP1	-0.11025
CRCT1	-1.467
MPST	0.4705
DPM2	0.3905
FAM38B	0.117666666666667
SLC18A1	-2.792
FARP1	-0.259166666666667
PAX7	-0.20025
TUBD1	-0.5605
GNL3	0.1385
BTG2	0.8302
NDUFS6	-0.06725
C1orf79	-1.236
ERAL1	0.62775
ECHS1	-0.1605
VPS4A	-0.4315
CYP11A1	0.245875
ABCC6	-2.47142857142857
PBX4	-3.935
MOSC1	-2.181
NCF4	-1.099
HYMAI	-0.0335
NAGPA	-0.912125
OTOP2	0.3415
ACOT12	-0.22375
MTHFD2L	0.32875
LOC441376	2.462
C19orf34	-3.19
RAB1B	-0.2875
ALDOAP2	-0.56
NTRK1	-2.8885
ARTS-1	-0.5094
SLC6A11	-0.1675
NAP1L2	2.38275
CNGB1	0.387666666666667
EPB41L4B	-1.1822
FAM134B	3.569625
HS3ST3A1	-2.50833333333333
CPXM2	6.991
SIRPB2	0.211
CHORDC1	-0.265666666666667
TRIB3	0.714166666666667
SLC2A5	0.72575
C2orf49	-0.781166666666667
DDX5	0.35775
OR5L1	-0.721
ANAPC4	-0.158333333333333
ZSWIM1	0.4495
LOC93622	0.102875
KCNK3	-1.7524
RP11-35N6.1	-2.09314285714286
ZFP161	0.867166666666667
AQP9	2.3025
SLC15A2	-0.9965
MREG	0.343166666666667
OR9I1	0.1295
PDLIM2	-1.00242857142857
ADAM7	1.6345
GSTCD	-0.458333333333333
WDR21A	0.21725
SLC12A8	-0.206333333333333
TMEM174	-0.19725
IGSF3	-1.06616666666667
LRRN1	-0.72525
LOC402117	-1.95175
SRPK1	-1.07733333333333
LY6K	-2.3946875
NFIA	1.0635
PTCD3	-0.395375
LEP	0.1704
PCDH21	-1.3815
MAPKAPK2	-1.075
NMNAT1	-0.623
LHFPL2	-0.52225
C9orf43	2.36375
DIP2A	-1.16633333333333
ACTR8	1.01575
CCDC34	0.1315
PTPN22	-2.020125
ITGA3	-0.225
FAM129C	0.34425
RABGGTA	0.827
UNC45B	0.02625
KIAA1033	-0.510875
ZNF510	0.0405
CYP2D6	-0.446
SLC26A10	-1.7475
STX8	0.1025
LUZP1	-0.53325
WDR89	0.207666666666667
EIF4G3	-0.8
C5AR1	-0.145625
ZNF623	0.2315
A2M	-0.789
TGM7	0.353
GRPEL1	-0.278666666666667
LMNB2	-2.1895
ROCK2	-0.650333333333333
SNX16	1.08875
CCDC66	0.077
ANXA3	-0.2515
KIAA1609	-1.26525
EED	-0.826
RNF32	0.870666666666667
HES1	1.3604
CLC	-0.4224
ISL1	-0.952666666666667
KIAA0528	0.264375
MANEA	-0.45025
C1orf61	-2.4465
hCG_2001000	2.1045
RAPGEF6	0.3895
KIAA0020	-0.416
NEIL1	1.6715
C16orf45	-0.04675
RBM10	-0.268333333333333
C10orf125	-0.318625
MRS2L	-0.621
DNAH17	-1.505
C19orf10	-1.54175
C1orf160	0.90525
SLFN12	2.2325
EXOC3	-0.521833333333333
HIST3H3	0.412
NCOR2	0.124
TNFRSF9	-0.57175
MFSD8	-0.14725
ALX1	-4.33
NOL1	-1.35675
PODN	0.5275
TIAL1	-0.86175
HIST1H1E	1.51575
NPY6R	0.628
TM4SF4	0.72275
CORO2A	-0.0725
ETNK2	-0.668666666666667
APOE	-0.4415
ANGPT4	0.8115
HDGF2	-1.432
G30	0.608
ST8SIA4	-1.029
F2RL1	1.10625
FAM19A4	-1.84975
CCAR1	-0.4545
B3GNT7	-0.4225
OPHN1	0.8228
DSCR6	2.8225
C21orf13	1.8395
GAS2L1	-0.533666666666667
RFX3	-0.454333333333333
COPS4	0.307
BCHE	-3.94366666666667
BCL2	4.377125
HBZ	-3.38383333333333
ARL13B	-0.62975
MAPBPIP	0.805625
MYO15B	1.212875
SPZ1	-0.9275
KIAA1324	3.59122222222222
PLCL2	-2.23
C4orf29	-0.525
WDFY2	-1.425375
ZNF284	0.1745
NAALADL1	-1.064
DUSP5	1.43
PXDN	0.782125
SLMO1	0.5
TNXB	0.1318
BIRC7	-1.313
A4GALT	1.23933333333333
TIMM22	-0.59
FAM110C	0.54125
TOMM34	-0.85975
ABHD9	-0.2865
ADAM32	1.303
CRHBP	-0.938
AQP2	0.614875
LOC130355	1.46275
ZNF187	1.04583333333333
ZNF816A	0.704
F7	-0.908
CNOT1	-0.5447
SLC13A4	-1.436
ZBTB11	-0.124
B3GALT5	0.2615
EXOC2	1.67416666666667
IRS1	1.0176
TMEM1	0.7224
MRPL34	0.108
SAMM50	-0.25775
CDC42EP3	-1.14725
HSF2	-1.2761
MFN2	0.522
TSPAN7	-1.73183333333333
NUCB1	0.416166666666667
RHOH	0.26475
ARL16	1.0815
TACR1	-0.256
SFRS5	-0.4245
SNX25	-0.01875
RHBDF1	-0.439166666666667
PCDH18	0.3575
HMG1L1	-0.56825
MYO5C	1.780625
MAPK10	0.3925
LDHAL6A	0.386833333333333
NUDT12	0.0885
NCAM1	-0.12225
GLIS2	0.296
GGTL4	-0.7015
DAPP1	-2.395
ATF7	0.495625
KIAA0748	-1.55
NFIL3	-3.27025
TM6SF1	0.9783
SEZ6	0.4195
NANOS3	0.819833333333333
DNAJA3	-0.255166666666667
CLDN6	-3.068
CIITA	0.7491
EPHA4	-2.62066666666667
FANCC	0.6065
CMTM3	-1.211375
PSG3	0.00650000000000001
MRPL15	0.60625
C21orf59	0.5145
PLCXD2	-2.35925
C2orf34	-0.064
UBE2L6	0.0965000000000001
MED14	-0.424
HP1BP3	-0.6283
C6orf208	-0.251
TPBG	0.25925
OSR2	-3.1985
XPC	-0.311
KLHL7	-0.888
CCR3	-0.9018
AGTPBP1	-0.267333333333333
PCSK6	1.12206666666667
STAT5A	-1.2677
FAM18B	0.21975
LONRF2	1.4785
PTPN2	-0.395
SF3A3	-1.72483333333333
EFCBP2	-0.79875
HCFC1	-0.881666666666667
AHNAK	1.0952
ACTR5	-0.1925
KIF14	-3.09657142857143
TENC1	0.339
HEATR5B	1.2095
YIPF2	0.4135
MYEOV2	1.7265
DUSP18	1.13375
KIAA1012	0.79975
AHR	-1.05616666666667
C17orf53	-1.003
PTPRH	-3.84
ATP6V1C1	0.9746
TAS2R3	0.3795
LOC440356	1.1305
COQ10B	0.68525
PSMF1	0.638
SORBS2	0.750916666666667
NFE2L2	-0.825
TMCO7	-0.23025
SH3PXD2A	-0.766
SH2D2A	-2.3915
SPINK5	-3.63525
MRPS24	-0.4965
OPA3	0.278125
TRAF7	-1.20516666666667
C4orf35	0.296166666666667
MT1G	-0.616125
MGC39545	-1.40975
HS1BP3	0.2606
OR2B2	0.7105
CHRM4	0.2145
SFRP2	-1.50183333333333
RIC3	2.59375
ART1	1.2825
C6orf1	0.972875
DUS4L	0.12975
C10orf104	0.78625
TNFAIP6	1.161
RTEL1	-0.529
CCT4	-0.9912
ZNF709	0.59
CHMP6	1.20233333333333
UPP2	1.796
CYP19A1	-2.463375
CD151	-0.473166666666667
NDUFA13	0.402666666666667
ARFRP1	-0.908
FAM26B	0.429
CRYBA1	-2.3325
MRPL41	0.581666666666667
NPFFR2	-1.41125
HRH2	0.0605
SCAMP3	-0.234
MTMR6	1.3585
MTG1	-1.27733333333333
UBTD1	0.43475
CRABP1	-3.337
FLJ33790	1.1424
KIAA1908	-0.461666666666667
GPR158	0.31025
PACSIN3	-1.437
OMD	-0.0895
CATSPER1	-0.649166666666667
HOXB8	-0.2605
FBXO46	1.3255
OAS1	0.904166666666667
SVIL	-0.70875
PHB2	-1.02525
ADCY3	-0.889
NDRG2	0.399
ERMAP	-0.3597
APBA2	-2.39816666666667
IGSF9	1.15075
WNT6	-0.981071428571429
MYCBPAP	5.3725
ATP2B2	0.088
CPVL	-2.7485
TRAM2	-1.77216666666667
NOP5/NOP58	-0.79325
ZNRF4	0.081
TLK1	0.152875
MTMR12	0.319285714285714
ZNF384	0.137666666666667
FAM9B	-1.903
RPN1	0.6405
PMVK	0.86275
EIF3D	0.4309
SIX2	-0.92725
HPS1	0.571285714285714
RNF7	0.9045
PSKH2	-0.1015
KCTD13	-0.170166666666667
CSMD3	-0.4793
FBF1	-0.5105
IL8	-4.511
SERPINB13	0.3831
FBXL20	0.49675
BLR1	0.69825
SH2B1	-0.095
RFNG	0.118625
RAB20	-0.398666666666667
RBM7	-1.44
POLR1A	-0.983666666666667
TMPRSS4	-1.9535
TAF9	-0.096625
TERF2	-0.369833333333333
TNFRSF1A	-0.511
ACADVL	-1.42983333333333
GTF2H5	-0.126
EDG8	-1.09716666666667
C9orf140	-0.96775
UST6	0.31675
ZBTB8OS	-0.3965
ZNF710	-0.214
GPR174	-3.014
ATP6V0A2	-0.54775
KIAA0319L	-0.688333333333333
XKRX	-0.9895
DOPEY2	-0.0392
SDHD	-1.14816666666667
SUMF1	1.53275
OSM	0.403
OPN3	-2.0635
DAGLB	-0.242333333333333
PPFIBP1	-0.0309
TRIM63	-3.522
C10orf53	1.1175
LYPD3	2.6425
BCL7A	-0.076625
AGER	-1.3525
TCF19	-0.993625
SAT2	-0.399
PFTK1	0.457
GABRE	-3.40325
C15orf38	1.129
FIS1	0.819
KCNV2	-0.40275
CLPS	0.27775
PPCDC	0.17625
FOXN2	-0.8345
NT5E	-3.9232
CD83	-0.191
IL18	-2.17975
VPS16	-0.20375
IGFBP2	-0.171833333333333
NOTCH2	-0.80925
SIGLEC1	2.155
CD93	4.333
SULF2	-1.39375
CEP164	-0.482625
P53AIP1	-0.303666666666667
TOR2A	-0.137833333333333
ZNF136	0.7955
MGP	3.6208
CCDC144A	0.251833333333333
TRPC1	0.590333333333333
SMS	-0.872333333333333
MAPK7	0.7835
RRAGC	0.508
PARD6A	0.405833333333333
NUB1	0.676666666666667
SYNGR4	0.68875
OR11H12	0.4205
WIF1	1.475375
GCH1	0.504
OR11H4	0.4575
SLC44A5	-2.9485
GPRIN2	-1.19666666666667
LOC401431	0.87475
CPA4	-2.1466
MELK	-1.92477777777778
IL15RA	-0.426
CUL3	1.4195
HMBOX1	0.35775
PODXL	-1.898
CCT6B	2.98916666666667
COMTD1	-0.65
MUC20	0.3225
GPX2	-3.63275
ITK	-2.74
FBXL5	1.5235
C13orf27	-0.71875
DEFA5	1.042
TRHDE	-0.2395
MTP18	0.190666666666667
UQCRQ	0.5445
ITGB2	-0.635
CSRP2BP	1.13975
TAS2R44	0.7265
PHPT1	0.917
FAM44C	1.51125
ERH	0.48275
MPHOSPH1	-1.49533333333333
MORC1	-0.5495
PARVB	-1.3845
LAMA1	-2.68041666666667
PGBD3	-0.65475
GIMAP6	3.344
AREG	-5.11816666666667
LIPT1	0.11375
MGC99813	-0.47075
C1orf201	0.187166666666667
GRIN2A	-1.45288888888889
MAN2C1	-0.91025
NSUN5	-0.554
SF3B5	-0.213
MYC	-1.132875
NRXN1	-0.5712
ZNF18	-0.16375
SPDYA	0.168875
SLC37A1	0.136
DECR2	-0.644
ANKRD38	-1.478875
SPTLC3	-1.26483333333333
SUPT16H	-0.2315
DTWD2	0.05725
ULBP1	0.225
ZADH1	1.38666666666667
OIP5	-1.75925
IL10RB	-1.0915
OTUB2	0.057125
VWA3A	0.140833333333333
SPIC	0.135833333333333
OR6C4	1.2005
PSCD4	-0.325
DPY19L2P2	-0.3355
TRAPPC6A	1.534
C21orf2	0.0786666666666666
CEMP1	0.30425
LIN7B	1.4875
E2F7	-1.64916666666667
VCP	-0.3885625
LAMA3	2.38441666666667
BGN	0.2035
GPR160	1.85033333333333
COCH	-1.72316666666667
GPR81	3.2255
APOBEC3F	-2.536
tcag7.1017	-0.22325
C1orf32	0.7105
SCGB1D2	3.463
FLJ43987	-0.1145
C6orf170	-0.3385
KLK9	0.251
GPD1L	0.968125
VPS37B	-0.58975
ATG3	-1.11816666666667
ADAMTS17	0.835
KLHDC2	-0.0178333333333333
NDUFV2	-0.2385
BLK	-2.77425
MATN4	-1.736
GPM6A	0.109375
GBP4	1.61283333333333
TMEM162	-0.293833333333333
PKP2	-1.0895
HRASLS	1.38244444444444
MMP1	-4.151
SFXN3	-0.4054
FSD1	-2.12483333333333
ST6GALNAC3	-1.512
CA12	2.8778
NCOA6	0.5395
C19orf58	0.0931
PPP4R1	0.198
MAN1A2	-0.136333333333333
IKBKAP	-0.62225
UPF1	0.325666666666667
KIAA1219	1.6285
WNT16	0.6414
SNW1	0.343
IL18RAP	0.166
RPP30	-0.475125
CDC40	-0.564
SETD3	0.640333333333333
SLAMF6	-0.0315
ELK4	-0.9325
TRIM47	-0.908833333333333
ACOX3	0.662375
TRIM6	-0.034375
KIAA0372	-0.385
TP53AP1	1.664875
SMURF2	-0.588
ADAD1	0.55475
EBP	-0.3412
KRTAP13-2	-1.2625
FLJ36874	-1.51383333333333
TOR1A	-0.33
P2RY4	0.1935
GPBP1	0.679
TRPV1	0.152
ADAMTS12	-0.691833333333333
PES1	-0.4236
ATG4A	1.02966666666667
MAGEA10	-4.31275
WFS1	0.56725
CC2D1B	-0.528666666666667
PABPN1	-0.32375
SLC25A30	0.747
SLCO1C1	-0.233333333333333
SLC22A5	2.5275
KIF23	-1.99733333333333
SYN2	-1.04633333333333
ASPN	7.779
CENTG2	-0.064
QSOX2	-0.9414
FLJ10815	-0.0533333333333333
STK24	-0.1160625
SPEG	-0.3625
STK10	-0.396666666666667
DACT2	0.5275
AAAS	-0.10125
SSX3	-2.123625
ABCD3	0.8401
C4orf12	1.19275
PARVG	-0.965666666666667
FIG4	-0.29025
C9orf46	1.5475
TMCO6	-0.0385
IGHMBP2	-0.81075
DUS2L	-1.211
FAM3C	0.43975
TMEM16D	-3.15214285714286
DCTN4	1.3935
KCNH3	-1.00225
EIF2AK2	0.72825
AP1S3	0.50125
CST4	0.0625000000000001
PAM	0.20375
NUTF2	-1.075
CITED2	0.81
SLC39A4	1.41175
C2orf52	-0.3575
GRM3	-0.290333333333333
C12orf49	0.76975
CCDC49	0.8937
GRAMD1B	-1.924
FNDC4	-1.28375
SIAH2	-0.25125
GDPD4	0.884
C21orf87	1.09975
ATP5A1	-0.0366666666666667
C16orf63	-0.7565
LOC388135	-0.894333333333333
ATP5J2	-0.49875
MMP3	-5.1215
EMID2	0.28925
CRHR1	0.06975
WDR70	-0.28125
C13orf31	0.568
ZFAND1	0.786
CCL18	4.22933333333333
C3orf49	-0.6835
RINT1	-0.1865
KIAA0408	-2.47783333333333
F13A1	2.3023
SLC10A1	0.0373333333333333
OGN	-2.2205
GIPC2	-2.50683333333333
XPO6	-1.00166666666667
LCE1A	-0.335
FMR1	0.6452
LOC374920	0.53875
DUSP3	0.588625
ANKMY1	-0.40325
C7orf50	0.0195
BBS9	-0.3611
UNC119B	0.50725
C9orf72	1.27925
MGC35440	0.8665
ENTPD6	-0.418125
PPP1R2P9	0.295
ERCC4	-0.11425
FAHD2B	0.4105
HMHA1	0.4755
HACL1	-0.2725
RAD23A	-0.882166666666667
FAM83B	-3.433
PPP5C	-1.19433333333333
RNASEH2C	-0.17925
C9orf153	-0.635
SCAMP4	0.28775
GHITM	0.9818
NDUFB7	0.652875
ADCYAP1	-1.07366666666667
SP110	0.375666666666667
MAP3K7IP2	-0.256
DHH	0.696
AGRN	-0.437571428571429
WDR33	-0.202
CEP290	0.2735
PRPS1L1	-2.56483333333333
KLRA1	0.0915
GPR97	-0.559
CHD7	-0.255416666666667
TLR10	0.4605
SLC30A8	-2.2675
HIC1	0.412666666666667
IAPP	-0.208
RXFP4	0.4705
GP1BB	-0.08675
SHQ1	1.062
NKX2-3	-0.0375
API5	0.16
FTHP1	0.646
MOV10L1	1.503
TRIM6-TRIM34	2.25233333333333
ADHFE1	1.1565
FAM117A	1.7185
DDI1	0.3624
CDON	0.964333333333333
TRIM73	-0.605
IGKC	0.207
MMP14	-2.19616666666667
DYNC1LI1	-0.212875
C11orf66	0.45275
TRBV3-1	-0.61525
FASTKD5	0.46925
BIVM	-0.8045
LHX4	-0.084
CXCL2	-2.1819
RAB2B	1.10766666666667
IZUMO1	-1.6555
MAP3K15	-1.47925
FAM19A2	0.404
ZC3H8	-0.147166666666667
ZMAT1	2.379375
SPINK5L3	-1.526
SLC10A6	0.45
APPL2	-0.11075
CARD10	0.0185
LOC402176	-0.244625
EEF1D	0.6531
RAB6A	0.2914
C12orf5	-0.770625
PAPOLG	-0.27725
MSRB2	0.25325
BCR	-0.639388888888889
PUS3	-1.23275
TIAM2	-1.0445
ZNF317	0.411333333333333
CHD2	0.355714285714286
FZD5	-1.09563636363636
NUDT8	-1.9655
ZNF763	0.474
PRC1	-1.11977777777778
ABCB9	-0.0706666666666667
SPATA3	0.3295
TRAK2	0.772
STAB1	2.458875
LRRTM2	-0.2515
psiTPTE22	-0.246
DBI	-0.6345
SERPINA11	-2.62275
NAT5	1.42
C20orf58	-2.57925
RPS6KA4	-0.547
FLJ90650	-0.6375
TGFBRAP1	-0.57825
CHRDL2	0.6995
FAHD2A	0.288333333333333
CNTN1	0.13075
BBS4	0.4414
TMEM181	1.0485
MINPP1	0.09975
MPHOSPH6	-1.25591666666667
HOXC10	-2.0373
ITPKB	-0.436
CLPTM1L	0.12125
MEOX2	-1.58466666666667
ATP6V0C	0.718125
PRPF8	-1.20883333333333
TMC5	2.96025
FKBP3	-0.11525
PLEKHB2	-0.621
OR4D6	0.6655
ZNF544	1.205
D2HGDH	-0.319
RPL18A	-0.3957
HEL308	0.3225
MPP6	-3.92175
TCERG1	-1.28075
KRT16	-1.0245
KLF17	-1.5555
KLF5	-0.6505
CDR1	4.310625
VCX3A	-3.508
FBLN2	-1.4255
C14orf104	-0.19725
HBE1	-5.0783
OR4S2	1.7045
C1orf108	-2.06533333333333
ROBO4	3.79966666666667
CPEB4	2.248625
C11orf80	-0.9065
BCKDHA	-0.218166666666667
MYOC	-0.65925
GIF	2.3455
CKMT1A	1.6975
RPL3	0.4441
THBS1	3.38825
APOO	-0.13325
ARMCX1	1.1325
HSZFP36	0.6825
SNAPC5	0.089
EIF4ENIF1	2.096
ZNF433	1.1725
TNFRSF21	-2.857875
TMPRSS7	0.634
SPATA18	1.1882
HPDL	-2.7805
MKL2	1.7216
TBX3	3.56469230769231
C21orf93	0.650333333333333
DAXX	0.0455
ELMO1	-0.88075
RGS13	1.13533333333333
TAF11	-0.146
UNC13A	-2.281125
LOC653314	0.523
ORC3L	-0.68025
IMAA	-2.7585
TARBP2	-0.93675
CABIN1	-1.1606
TRIOBP	-0.213875
HIST1H2AC	3.214125
RGS22	-0.272833333333333
NCOA1	0.832333333333333
IL25	0.621
SNCG	1.747
GPR6	-0.114
AMDHD1	2.62
CHEK2	-1.49525
C6orf142	-0.31525
DRD4	-0.22675
C14orf68	-1.3335
GDF11	-1.9915
SEMG2	-0.1305
CD247	-3.23725
CDAN1	-0.26
RBMX2	0.109333333333333
TGS1	-1.2135
OIT3	-0.3905
SYF2	0.535
MCM4	-2.47075
PKHD1L1	-0.125125
CEP192	-0.160166666666667
IFT88	1.19925
RPL9	0.531785714285714
RAB32	-0.1155
DDX43	-3.01825
P2RX2	0.31
OR5D18	-0.827
UBE1	-0.596
SLC24A1	1.447625
ARHGAP5	-0.56925
CETP	-0.247
KIAA1731	-0.403166666666667
SLC9A4	0.394
PTPN6	0.89575
BAHD1	0.62575
GRIK3	1.639
CACNB2	-0.4422
PDE10A	-1.119
DGCR14	0.288
PCDHB9	-0.1745
RHOQ	0.135166666666667
MAP3K4	-0.883
KTI12	0.150666666666667
RPL23AP13	-1.4215
GNG11	-1.4825
CLCN3	2.511
GPAM	-0.699375
VSTM2A	0.638
SLAMF7	-0.484666666666667
INTS2	0.87425
PPP2CA	0.6245
LRP12	-0.188666666666667
SEC14L2	3.11333333333333
DKFZP586H2123	0.8665
MC3R	-0.309
CIRH1A	-2.37716666666667
HIST1H2AB	2.55333333333333
POLH	-1.04875
MGC16703	-2.111
SNAPC2	1.2805
FILIP1L	-0.717
RASGRP4	1.3545
LRRC1	1.25175
GAS1	-0.771
PRAC	-0.70575
DGKA	-0.648833333333333
NT5C3	-1.02975
PEG3	-1.7555
NADK	-1.82025
PRR17	-0.649
LOC374569	-1.59675
SGSH	0.135166666666667
NLRP8	1.3875
GALT	0.2997
MCF2	-0.469
ZNF263	0.31
TACSTD1	0.765166666666667
TYR	-6.2627
ATP6AP2	0.62175
RNUXA	0.20125
ABHD10	-1.05655555555556
GDPD2	-0.939
SLC35C1	-0.103
UBE2A	-0.032625
HERC5	0.0925
FAM112B	-4.96766666666667
FBXL16	0.35075
DKFZP434A0131	-0.5025
ELA3A	-2.7285
RBM41	-0.515875
HAO2	-0.00749999999999999
RNH1	0.157
SHANK2	2.5775
OSBP2	-0.49675
DAK	0.106833333333333
C3orf58	0.51725
TCL1B	2.8195
KBTBD2	-0.1005
SUGT1L1	3.1095
UBE2E2	1.0135
MYL9	1.342875
CDC23	0.0798333333333333
PBXIP1	0.4298
CXorf40B	3.2385
NBL1	-0.56825
RTBDN	0.2855
RAB11FIP5	0.016875
TTTY13	-0.617
SCOTIN	-0.196166666666667
SOHLH1	-1.35716666666667
CDKN1A	-0.353142857142857
NCK1	-0.14825
ZNF550	0.84775
SAPS3	0.642416666666667
SPIN3	2.7425
MAGEE2	-0.31825
MIS12	-0.610166666666667
OR8H2	0.59
KIAA0774	1.60683333333333
UNC5D	-1.3875
CUL7	-0.0201666666666667
LIPC	-3.44066666666667
DIO1	-1.0695
C20orf11	0.5963
CTRL	-0.80525
HS3ST2	1.02675
PAK4	0.321166666666667
CCRL1	0.53
RNF10	0.628875
ZNF567	0.4235
ZNF660	-0.2345
TCEAL3	2.868
MAGOH	1.37366666666667
CENPB	-0.552833333333333
C19orf7	1.06225
LOC388965	0.858
ZCCHC13	0.1805
JMJD1A	-0.3715
HIST1H4H	3.588
TBRG1	-1.1153
GPC3	-2.23925
TAF1C	-0.953625
EBNA1BP2	-0.630166666666667
CIAPIN1	-0.7815
PDGFRA	-2.79111111111111
CSTB	-0.982125
CENPI	-2.0825
GTF2E2	-1.121
RPP21	0.0265
CCNF	-1.7905
KCNQ3	1.0085
FAM79A	1.18
SLC22A12	0.355
NOVA1	0.326
FZD3	0.0453
AKAP8	-0.70375
SOCS5	-0.20275
CFDP1	-0.8205
DLG5	0.73425
PGM5	1.40708333333333
C1orf144	0.101333333333333
HDAC10	-0.9875
RND2	0.82875
C20orf199	-0.41225
RNMT	-0.6855
SLURP1	-0.105625
ASTN1	0.188714285714286
SH3BGR	1.76675
MYCL1	-0.4455
ZHX1	0.516833333333333
CENPK	-1.959
FOSB	0.1319
LOC643406	1.2705
C2orf59	-1.08625
TMEM135	0.2395
SLC27A2	0.3885
KRT33A	3.334
OVOL1	2.46471428571429
PAMCI	-3.86433333333333
S100A7	-1.244
ZNF789	-0.7035
HARS2	0.28475
RPL23A	0.631833333333333
TCF23	0.25875
UPF3B	-1.065
C17orf78	-0.4605
HLA-DOB	-0.746666666666667
C14orf142	0.7825
TEKT5	0.313666666666667
DMWD	0.372
POLD1	-1.69916666666667
GSCL	-0.2425
CALD1	-1.5792
SCRT1	0.523333333333333
AIG1	2.0205
UNC84B	-1.336
ZNF404	1.13075
TMED6	-1.896
KIAA1462	-0.592
LRRC27	2.2896
PYGO1	1.3875
PIGU	-0.480666666666667
ALAS2	-3.54933333333333
WRNIP1	0.041375
CNNM3	-0.6355
ZNF2	0.70675
ST3GAL5	-0.834916666666667
MRPL23	0.586
TSSK6	-1.3525
PSMA6	-0.00425
C16orf70	-0.092
KIAA1602	-0.15925
ALMS1	-0.417666666666667
DCN	-0.989875
TMEM132D	-1.4605
SUCLG2	-0.09675
ABHD14A	0.903
DEXI	0.0275
AMPD2	-1.60316666666667
IFNAR2	-1.21483333333333
CYB5A	1.9737
TLOC1	0.8332
NXF5	-0.987666666666667
NRBF2	-0.703875
KCTD3	1.063
ITGAE	-0.694
SLC30A3	-2.58716666666667
ZRF1	-1.0865
IFRD2	-0.081625
XAB1	-0.4645
PYCR2	-0.566
SERPINB3	-4.5835
TMLHE	1.1387
GEFT	-1.609
ABCA5	1.418625
EMR4	0.283
TSFM	0.164
HIST3H2BB	1.7335
ARHGEF19	-0.107
TSPAN17	-0.774666666666667
ABCC8	3.1175
MAP1S	0.11
C22orf36	-0.4405
BNC2	-2.87885714285714
HIST1H4A	-0.41525
NDUFS3	0.401
WDR3	-0.5445
XKR4	0.15075
TTC33	0.558642857142857
STMN2	3.193
CPN2	-0.737166666666667
HSPC105	0.917875
PCOLCE2	-4.252
C3orf55	0.2565
KLHDC9	3.45233333333333
TBC1D23	-0.86625
ATXN2L	-1.21116666666667
MAP2K3	0.036
SCAP	0.0895
ZNF486	1.13966666666667
C20orf96	0.27775
NARS	0.02375
ADAMTSL1	-1.53471428571429
PRCC	-0.0393333333333333
CCDC126	1.5375
ZNF675	-0.16025
CALCOCO1	0.75225
ANKRD43	0.29125
CWF19L2	0.475166666666667
ZBTB32	0.00283333333333334
BRAF	0.311
ODF4	0.01675
MGC14376	-0.888166666666667
HORMAD1	-2.2744
AAK1	-0.462083333333333
PEBP1	1.10733333333333
TNFSF5IP1	0.132166666666667
DKFZp564N2472	0.953
RMND1	3.796375
IGKV1-5	-0.1335
COL1A2	0.0868333333333333
SERPINA5	-2.125625
AANAT	0.865
C19orf21	-0.424333333333333
GEMIN5	-0.7285
UBR4	-0.4675
LTBP3	0.144666666666667
