Hybridization REF	TCGA-A1-A0SO-01A-22R-A084-07
C8orf51	1.6265
PPM1J	-0.3315
GIMAP8	1.46066666666667
GPR101	0.066
NR2F1	-3.9185
ACAD8	-1.10625
RBM35A	1.0125
GNAI2	-0.763166666666667
METTL8	0.7845
SLC39A7	-0.978
FBXO8	0.01425
CAMK1	-0.24175
RFC3	-0.22125
FAM129A	-1.86042857142857
ILF2	1.23875
FGFBP3	0.51525
NOM1	-0.167333333333333
PSMA3	0.17925
ASCC3	0.4531
ZYG11A	-0.7905
SOX21	-1.58875
LYRM1	0.43425
DEFB1	1.4855
LOC91431	-0.488666666666667
OR7C2	1.34
FAM46B	-0.00950000000000001
TMEM18	-0.401375
ARHGAP30	-0.219833333333333
TMEM86A	2.53916666666667
EPHA2	-0.153666666666667
C10orf46	1.4682
TCHH	-1.1415
C3orf30	0.7346
LOC285636	0.72
PAIP2	0.0625
CYP2U1	2.149375
C12orf34	1.619
SARS2	0.396333333333333
ZCWPW1	0.42575
SAMD12	0.44875
KIAA1430	-0.505625
ACAT1	0.023
MEOX1	0.245833333333333
ADAMDEC1	3.39525
PHKA2	0.8185
CARD11	-2.32833333333333
CALML4	-1.0665
TSSC1	0.54675
TMEM45A	-1.97777777777778
MPP7	1.36025
POU1F1	-0.40075
SLC2A13	-0.8417
FBN2	-2.37376923076923
ZC3H7A	-0.00440000000000001
LAIR2	-0.28625
ST3GAL1	-1.8825
LCT	1.7265
GEMIN8	0.820166666666667
KLF16	0.5666
HIF3A	1.9997
FAM44A	0.129642857142857
AQP10	-1.2057
PLA2G2A	-1.5185
FOLH1	5.61583333333333
C20orf186	0.234
MAPKAP1	-0.679125
SPRR2D	-1.47825
UBQLN4	1.48466666666667
RSHL1	0.5644
PIAS3	0.425875
MRPL24	0.45025
GREB1	-1.736875
FAM27E3	-0.292
NUP62CL	-1.606
NEUROG3	0.991
REEP3	0.165
MARK1	-1.4645
LMBRD1	0.20025
PRPF19	-0.376
PNMT	-1.0965
CTGLF1	-2.322
SLC25A16	-0.24825
EIF2B3	0.557
RPA2	0.44275
PAK6	1.9885
CCDC26	-4.3875
SEMA3E	-0.050625
MXD4	0.6984
TNFSF10	0.4879
SMARCB1	0.8535
DTX3L	0.5295
PLA2G4E	-0.6495
PPAP2A	-0.61
ULK1	-0.19575
TAS1R3	0.3495
SLC2A3	-2.97409090909091
ARID3A	-1.88025
GNG5	0.19525
ACOX1	1.351
KIF5B	1.43875
NUP153	0.653
MUC7	2.397
CSDE1	0.333285714285714
CLPTM1	-0.11325
C3orf23	0.921375
LRRC17	-4.11066666666667
TTYH3	-0.20325
ATP5B	-0.9115
ELF3	1.379
CPSF3L	-0.261166666666667
ZNF665	1.319
TLR6	0.0566
GPI	-1.092125
RAD9A	-0.028625
NDST4	-4.03875
AGPAT3	0.442833333333333
MAGI3	1.088
ADORA2A	-1.181125
CACNG7	0.432
CAMK2D	-1.83942857142857
CCHCR1	0.33425
RPS27A	-0.397
OR10G7	0.570333333333333
GCM2	0.3635
FAM135B	0.086
E2F1	0.27
PLCB3	-0.4905
OR2AE1	0.1125
COIL	0.8835
CDC25C	-0.918833333333333
RAB11FIP2	1.07841666666667
TSC2	-0.18375
CTGLF5	-1.9515
CCDC108	0.0831
OR13C4	-0.1585
C10orf81	4.83325
PTPRB	0.07025
ACP2	0.60575
LAG3	0.147
MRPL54	-0.05175
LOC201175	0.767
ITGB1BP3	-1.20475
SPTAN1	0.0025
SIPA1L2	0.1895
RCAN2	1.057
CDX2	-1.363
ECOP	-0.283
ACTR1A	1.25742857142857
PPARG	-2.76016666666667
BBS10	-0.191666666666667
TMEM44	-0.682
BPIL2	-0.552
CITED1	-1.79075
IRF6	3.77
PRDM4	0.428833333333333
RRP9	-0.640833333333333
OR10H4	0.19325
IL31RA	-0.5745
GNB1L	-0.872833333333333
MYBL2	-0.303875
ZNF407	0.261166666666667
PPIG	0.7025
TTC18	0.051
RPSA	1.0675
MAPT	-0.40825
MRE11A	0.326642857142857
C8orf37	1.05883333333333
RASGEF1C	1.9535
STBD1	-1.23
CTAG2	-0.560333333333333
MGAT5B	-2.1455
ECM1	-1.53625
RLN1	1.4905
PARP14	0.0430625
EPB41L1	0.2662
HOXA3	1.72391666666667
MAGEA9	-5.48925
RPS8	-0.567333333333333
RPS19BP1	0.23725
FOXJ2	0.64375
C10orf76	0.915375
IL17RE	1.2565
C10orf65	-0.8375
ZNF343	-0.067
FBXO33	0.884375
UHMK1	0.2359
LY6G6C	-1.01125
FGF19	-2.362
C14orf128	1.72966666666667
IFIT2	0.623625
TIGD1	0.759
S100G	0.00850000000000001
GUCY1B3	2.785
NR3C1	-2.5827
CORO1B	0.210166666666667
PARP11	-1.22525
DNALI1	5.0215
OR4N4	0.476875
MAP2K6	1.7475
FSTL4	-0.6295
ANKRD47	1.55225
TMEM171	-1.74
PNLIP	0.2325
YY1	0.735333333333333
CCDC138	0.323666666666667
AASDHPPT	0.8503
CKS1B	0.5376
MCM3	0.805166666666667
ANAPC7	0.371833333333333
FAM110A	1.04675
CDC37L1	0.0373333333333333
THTPA	1.73075
NBPF20	-1.4015
WDR24	0.066
NPTX2	-4.74775
CBLB	0.756833333333333
CETN1	0.049
RPUSD1	-0.4295
FAF1	0.79275
CDK6	-2.6069
HMX2	0.365
CSK	-0.153666666666667
TEAD2	1.3725
SNAP25	-0.19925
TUFT1	0.9169
TMTC3	0.220666666666667
LCK	-2.4175
SGOL1	0.347666666666667
AKTIP	-0.973
FURIN	1.027375
SOX12	-0.807666666666667
DEFB103A	-0.82025
RAMP1	-1.82975
KIR3DX1	-0.0905
GAS2L3	0.7105
PDE8A	-1.8292
EDN3	-0.083
GMIP	0.53225
SF3A2	0.55
FN3KRP	1.227
SMAD7	-1.35075
RHBDD2	-0.27675
OR11H6	-0.2775
PPP1R3B	0.7987
C9orf23	-0.171
CADPS	-2.8725
GOLGA8A	-4.27325
TMEM57	0.6935
RGL3	-0.022
S100A14	-1.60775
FGFR2	4.9704375
XRCC3	0.097
RTN4RL2	0.20925
MGC3771	0.5575
GH2	0.182666666666667
BTBD2	0.4545
LMO2	-2.32125
RDBP	0.66575
ACRBP	-2.0125
AMY2A	0.05025
DUOXA1	1.0075
PTK7	1.393
TWF2	-1.11316666666667
FAM80A	1.6725
TNNI2	-3.38433333333333
GLT25D1	-0.24
OCC-1	-1.897
CYC1	-1.91
RPL22	-0.609954545454546
MORN3	0.894666666666667
DISP1	-0.08175
PRB2	0.115
CHUK	0.43175
HR	0.252125
CCDC134	0.594125
DENND4B	-0.47225
C14orf130	0.860125
RAB33A	-3.06375
DCST2	0.2615
TNMD	-1.06775
PEX7	-0.40625
FAM62A	0.028375
SRD5A2L	2.16175
IL22	-1.37975
RPS26	0.467
HOXC5	-0.325
SPATA6	2.33475
FLJ38482	-0.287125
ZNF234	1.7495
C18orf22	0.03925
SPATA22	0.86475
THOC1	-0.3005
CYP7B1	4.43825
KCNC3	1.02725
C8orf42	-1.9345
ALDH1B1	-1.13033333333333
CCDC100	-0.4887
ARMC4	-1.14875
FAM18B2	-0.604333333333333
SLC44A1	-0.1365
FBXO17	0.3535
C6orf107	0.84525
C19orf29	0.16125
ZC3HAV1L	0.04625
PARP6	0.3971
SULT2A1	-5.090625
C1orf159	-0.174
TMC1	-0.52075
CHST14	0.853125
GAMT	-0.5085
SMCP	-0.1455
TSPAN33	2.23775
MIDN	0.064125
NOX4	0.3555
RNASEN	-0.3068
TBX1	1.2045
SALL2	1.1015
C10orf35	1.51675
CYP2E1	-1.765
LRFN2	-1.08383333333333
ACO1	-1.36633333333333
IQCG	0.8878
MEGF9	0.459
TM7SF4	0.979
PLEKHA1	0.1562
STK33	-4.1395
C1orf210	2.77725
SNUPN	-0.1107
KIAA0406	0.0619
C20orf29	-0.3975
TMEM55B	0.50125
OSTM1	-1.7544375
CLCN7	-0.63625
OTP	1.68
FLJ23049	0.73175
HEATR4	1.2395
MAP3K10	1.05666666666667
PCDHGA9	0.1195
AMDHD2	-0.99175
LCTL	-1.1365
PDCD2L	-0.33575
CABLES2	1.27325
SLC5A9	-0.2485
CLCA2	-2.45333333333333
MGC16025	1.059
STRAP	-0.171
C20orf196	0.1625
RRBP1	0.6535
NAT13	-0.23825
MAT2B	-0.55025
CSNK1D	-0.679
KIR3DL1	0.71575
PRKAG3	1.2085
ZNF599	0.568
PRM3	0.52
PER2	0.1595
ASPHD1	-1.266
PRMT6	0.41325
KCNE1L	0.804142857142857
FAM118A	-0.263
TAF4	-0.54925
NDUFB6	-0.89225
TRIM9	1.05483333333333
PMFBP1	-0.0175
KY	0.0855
DKFZp762E1312	-1.19018181818182
CSMD1	-0.765
TBP	-1.17266666666667
OR1Q1	0.776166666666667
RETNLB	0.3525
HPGD	-1.01614285714286
DNAJC12	-0.882833333333333
FKBP1B	-0.23275
ANKRD24	-0.708333333333333
CXXC5	-3.15816666666667
IL3	0.41825
DRAM	-1.5597
PTCH1	-0.131125
TP53BP1	-0.16575
SLC17A7	-0.094875
COL25A1	-0.8958
AMACR	0.7135
RHCG	2.43675
VPS13A	-0.890166666666667
FAM55D	0.739
PRPF38B	-0.699166666666667
OSBPL6	-0.84575
PFDN5	-0.8214
CMTM6	1.239
KCNK12	0.30125
RP2	1.308
C16orf52	0.92
PICK1	0.187
IFNE1	-1.63683333333333
SEMA4B	-0.60025
TYRO3	-0.41775
OR12D2	-0.0455
CSNK1A1	-0.6466
FANCF	1.82825
LONP2	-1.79475
TBL1Y	1.18475
LDOC1L	0.978375
CCNC	1.589
C3orf60	1.03075
CHKA	-0.61375
UBAP1	-0.32475
MAP3K1	-0.2955
ANKRD9	-0.05075
FAM92A1	-0.832666666666667
GAB2	1.20725
AZU1	-0.65325
DIS3	-0.862833333333333
C21orf109	-0.92175
IQCB1	-0.34175
SPATS2	-0.248166666666667
EFCAB3	-0.47625
PRB3	0.232
FUZ	0.389833333333333
ZNF813	1.2655
BMPER	-1.35216666666667
HEG1	-1.49
ALS2CR11	-1.80975
SURF2	-0.021
PSMC1	-0.304333333333333
OR2D2	0.5095
SLC7A8	-0.950833333333333
C4orf40	0.9185
SPATA7	-0.8255
MAZ	-0.232916666666667
PIN4	-0.477
PDE1A	-1.777625
TAF6L	0.157833333333333
OR2T34	0.442
KIAA0284	0.2445
ACADS	-0.109181818181818
MKRN2	1.9165
C18orf56	0.42925
MS4A6E	-0.0488333333333333
GALNT4	0.1692
C22orf31	0.3035
FLJ36070	0.346
PSME4	1.3365
TFG	-0.1014
EPHX2	-0.342375
ANXA5	0.152125
KRTAP1-1	0.0403
BATF	-1.69425
KARS	-0.796
MSTP9	0.6045
GPR26	-0.1345
CCDC72	1.2105
TEF	0.089
FOXK1	-1.3615
PRLHR	-0.073
EMX1	0.402
C11orf30	1.2155
ICK	1.6145
THSD7B	-0.318
C21orf100	-1.0805
DUOX1	-0.0695
EFCAB4B	0.071
UBE2G2	-0.228166666666667
C3orf54	-0.9045
PARP1	0.33475
FAM60A	0.492666666666667
C6orf146	-0.084
OR9K2	0.206
DDX55	-0.3195
RPS15	-0.145916666666667
ZNF618	1.1366875
DKFZp686D0972	0.40975
SSPO	-1.312
SHFM3P1	1.23066666666667
CPA6	-1.09033333333333
JAG2	0.4055
DEFA3	0.72975
PPBPL2	-0.00160000000000002
CD34	3.56475
SLCO4A1	-3.662
AFG3L1	-2.31833333333333
SHD	-0.56825
RP13-122B23.3	-0.241166666666667
PRKCSH	-0.484333333333333
DPH5	-0.158833333333333
HLA-F	0.95825
TBC1D4	-0.00575
RIG	0.26
GLUD1	-1.174
HNRPCL1	0.492375
HBXIP	0.07625
RNF207	-0.4515
APIP	-0.1755
PLA2G3	-1.18666666666667
CCDC84	-1.87475
MYLIP	-0.412230769230769
PHIP	0.7155
AARS2	0.343
DHX32	0.4425
SCAPER	-0.212333333333333
MEN1	0.311875
NIP7	-0.5425
FLJ25404	0.6805
FASTKD3	-0.08575
TMEM158	-1.07216666666667
RARA	0.27775
BDH1	0.9795
ANKRD16	1.6595
CARM1	-0.5885
SS18	0.2155
IKZF2	-0.156333333333333
MYD88	1.544
PML	-0.21695
TAF1A	-1.39675
CBFB	-0.14775
HIST1H3H	-0.704166666666667
C7orf29	-0.36825
COMMD4	0.15
DPP3	-0.708
DAB2	-0.900875
LOC388882	0.1845
YPEL4	-1.2755
AGBL3	1.1295
LRP6	1.1319
SERPINH1	1.24075
TLE1	0.33925
CD244	0.139
ZDHHC15	1.753
MGLL	-1.7781
PLDN	-0.91725
LOC654346	1.345
FAP	0.458
GPR37	0.181
SCARA5	-0.524833333333333
EBF4	0.543181818181818
LSM6	-0.1165
MLLT1	0.58125
SLC5A12	-0.367
A2BP1	-1.57483333333333
COPS5	0.100666666666667
TPM4	-1.13835714285714
TNFSF4	-1.16383333333333
ACADSB	0.265722222222222
HERPUD1	-1.465
BCL2L11	0.220722222222222
CEP78	-0.620875
CDCA3	0.02925
WBSCR19	-0.4918
MYO1A	-2.731
PPEF1	0.6735
LOC440348	-0.9
CPEB2	0.23625
BPTF	0.521916666666667
RPL21	0.212875
GSX2	-0.8415
ADPRH	1.35433333333333
C17orf68	0.169833333333333
KCNS1	1.63683333333333
MLLT6	-0.2781
PIWIL4	-1.608
RNF26	0.0975
RAP1B	0.200625
ADAMTS1	-1.4
ZNF571	1.35725
P2RY6	-0.726
TRIM21	0.255833333333333
CADM3	0.29075
NLRC5	-0.272833333333333
ADRA2B	0.550333333333333
LOC90835	-0.662625
PCF11	1.09925
LOC400451	1.3645
GLTSCR1	0.7205
C17orf88	-0.466833333333333
CDH16	-1.8785
FGF7	1.432
PCSK4	0.325666666666667
NPC1L1	-1.77983333333333
TAT	0.40275
TBCA	-0.92775
MGC33407	-0.00424999999999999
GPR115	-1.194875
CYGB	-0.7965
FNBP4	-0.6835
C12orf43	0.3715
CBL	-0.8536
CLECL1	0.0605
PPAPDC1A	1.78725
WDR25	1.15933333333333
SGCA	-0.439
C22orf29	0.5606
YIPF1	1.665
GALK2	-0.773
RAB3B	-2.455
LOC440087	-1.0535
UCP1	-1.212
REEP5	-0.598
FADD	-0.5746
FOXA1	1.9165
CACNA1A	0.420833333333333
ABI1	0.897166666666667
GRIN2D	0.93375
SLC1A4	-0.397666666666667
LOC401127	0.8085
HINT2	-0.70725
PLD4	-0.842166666666667
ZNF286A	0.499
ENY2	-0.116
IL1F6	0.774
PXDNL	1.142
C20orf79	-0.15575
TNFSF13B	1.66383333333333
DENND3	-1.366125
JARID1D	-3.65675
HIST1H2AK	-0.27225
LOC93349	-1.3644
SSH1	-0.3041
ENSA	0.8495
LOC219854	-0.138666666666667
CKAP2	-0.2278
DKFZP564J102	-1.03233333333333
MGC87315	0.303833333333333
HNRPAB	-0.2145
AMH	-1.844
ZNF526	0.832
BRUNOL5	1.1479
CACNG3	-0.0231666666666667
TRPM1	-1.9495
PPP2R1A	1.296
COL2A1	2.85175
DDN	-0.0561666666666667
FLJ25770	0.417666666666667
HK2	0.726642857142857
ELOVL6	1.8815
MDK	1.4435
EPHX1	0.825
RASSF2	0.809875
DKFZP434B0335	-0.8745
DLX3	0.508125
PRTN3	-0.9945
AVPR1A	0.3525
C21orf125	2.63433333333333
TNFAIP8	-1.31766666666667
GNB2L1	-0.03575
CALCRL	1.9925
SCGB2A2	1.59333333333333
UBXD7	-0.31125
ZNF674	1.476
TMEM35	3.128125
BRSK2	-1.2055
HECTD3	0.5005
TMEM188	-1.631
LGALS9	1.74125
SCARB2	0.87275
USP34	-0.0100833333333333
C17orf28	1.94691666666667
ZDHHC23	-0.77325
AQP12B	-0.5675
SLC16A3	-3.585
APLP2	-1.76175
ITIH2	-5.86575
MICAL3	0.088875
TNNI3K	-0.1939
HDAC2	1.772625
PRR7	-0.2856
THBS2	-2.75575
LOC751071	-0.731666666666667
CA2	-1.1985
RANBP17	1.38325
RLN3	0.17625
CRYZ	-0.7435
GBAS	0.682166666666667
TAS1R1	-0.16775
MPZL3	1.0705
PCDH8	-0.679
HSP90B1	-0.432583333333333
KCNK15	-0.556
TNIP2	-0.579666666666667
GPR146	-1.24925
NOL6	-0.079875
SPC25	-0.298333333333333
STEAP2	-0.8765
VAMP3	-0.252833333333333
TCIRG1	-2.529
ZP4	2.012
PARL	1.37825
TRIM39	1.22333333333333
KIAA1305	2.5815
CRNN	0.25
GRN	0.37775
HSH2D	-3.05025
SCAMP1	0.2855625
KIAA1913	-1.3295
PTS	-1.687
BANP	-0.223071428571429
PRKACG	0.03475
ADCY6	-0.604
C16orf46	-0.901
CYP51A1	-0.331125
DDC	-1.99675
ANPEP	-1.92083333333333
PROM1	0.465333333333333
SIGLEC10	1.532
COPG	1.34
FAM26E	0.13675
TRIP4	0.44575
SNX3	0.0715
C1orf175	0.433
PPY2	0.35925
C14orf152	1.1535
FTSJ1	0.0143333333333333
DST	-0.4809
LOC554235	0.27425
GLRX5	0.8005
C20orf12	1.952
CAB39	-0.472833333333333
MSH2	0.708333333333333
PIP4K2C	0.2645
CYLD	-1.1345
WTAP	-1.0585625
MGAT4A	0.990555555555555
TSC22D4	0.2388
CHRM2	2.087
PPYR1	0.277166666666667
CCNH	-1.0335
RRM1	0.2035
ECAT8	-3.79675
LOC400120	-0.195
GABRA4	-0.00712500000000001
C14orf4	0.181
C1orf59	1.614
CTDSPL	0.262
NHEDC2	0.8155
PDE11A	-1.72475
KLHL29	-2.885
CD5	-0.9089
TSPAN9	1.54975
WDR67	-1.09175
THUMPD1	0.4346
C18orf17	0.74275
CLYBL	-0.349166666666667
FLJ13231	0.505625
CMBL	-3.471375
LECT2	-0.4685
NKAPL	0.857833333333333
LOC654780	0.411
OR4C6	0.3815
RAB30	-0.260666666666667
TSSK4	-0.444
TMEM163	-0.303
OSBPL11	-0.143416666666667
GNB5	-0.264333333333333
CCL21	0.65025
C1orf121	0.911833333333333
FMO2	1.81483333333333
RPTN	0.564
MSTN	0.5035
VCL	-0.406714285714286
FYTTD1	0.2685
C11orf1	0.77875
CCDC88C	-0.39025
HFE	-1.43505555555556
MOGAT1	-0.733
FAM125B	0.649333333333333
IRGQ	1.122
RAVER2	2.30925
AKAP5	-0.6735
SSSCA1	-0.1745
C11orf63	1.252875
ACTG2	2.6542
PORCN	-1.1445
DTL	-0.199818181818182
TMEM151	0.571
FAM122C	-0.0765
RSAD2	2.5002
BAT4	0.3395
KRTDAP	-0.0373333333333333
MYH8	-0.36225
CRTC3	0.83825
LRRFIP2	0.2046
INTS4	1.0495
TTN	-1.61616666666667
SLC26A5	0.2655
PLLP	-0.99325
RGS6	-0.42825
SRGAP3	1.48875
ZNF525	0.579666666666667
NBR2	0.00249999999999998
C13orf1	-0.0725
ZNF137	1.2
CEP27	-0.659
BEST2	0.2245
RNF121	-0.12025
DMRTC2	3.973
C8orf76	-1.34125
BCCIP	0.404375
MEST	-0.0635
HTRA2	0.926
ANGPTL2	-1.126
ILKAP	-0.827166666666667
ERAS	0.125
HBS1L	-0.60875
CPA5	0.1465
TMEM30A	0.855166666666667
CD300LF	1.50566666666667
WISP3	0.1265
CRK	0.0175
PDS5A	-1.3678
BRPF3	0.407333333333333
NEDD9	0.889375
SMPDL3B	2.57075
PSG6	-0.20175
PSMD13	0.082
ETV5	-2.126125
OR51A4	0.305
BTBD7	0.897916666666667
GSTO1	-0.793
hCG_16001	0.38
MAD2L1BP	0.6665
COX6A2	0.9535
SCNN1A	-2.72083333333333
LSM1	0.296166666666667
UGT2B11	-3.4195
IDUA	-1.2715
PPP2R3C	0.340166666666667
COX11	0.096
PDZK1	-4.952
ZNF443	0.485
MGC21874	0.356
ZNF323	1.6899
KRTAP10-10	0.082
CXCL6	-0.381
SLC34A2	0.6987
LOC284402	0.5125
NPTN	-0.42325
UPP1	-1.93575
SLC6A9	0.144
OR7G3	-0.25275
CISD1	-1.3485
ZNF545	0.531833333333333
SYT14	1.1825
NT5C3L	1.5255
ZNHIT3	0.3285
SNRPD3	0.80575
KIAA0701	0.53725
UNC93B1	0.274666666666667
GMNN	0.158375
SPCS2	0.9795
LOC388524	1.3665
NAPRT1	-0.211875
PNLIPRP1	0.24425
OR6V1	0.619
PRKAB1	0.11975
EYA4	-3.998
KIF20A	-0.52425
ALG10	0.9845
ITPKC	1.05366666666667
LMX1B	0.344666666666667
RPUSD4	-0.753833333333333
C7orf34	0.327666666666667
DLGAP2	0.097
PFN1	-0.4137
MICALL2	-1.85191666666667
ZNF654	0.8845
SS18L1	-0.753875
SLC16A8	-0.3965
MKI67IP	0.371833333333333
ITGB3	0.496875
TCEA3	0.5825
CEP152	-1.5974375
CLIP1	-0.033
ZNF75	-0.6634375
ATP5C1	0.745333333333333
NUDT5	0.9765
PSCDBP	-0.30475
UBP1	0.51325
RBM27	0.11675
C13orf15	1.911
ZNF282	0.112666666666667
ZNF222	1.1251
COL10A1	3.924
PRDM15	-0.262
TTTY5	-0.04
FAM9C	-0.82325
C20orf67	0.15225
GNG13	-0.5985
F12	-0.22375
C1orf41	-0.2315
CPXCR1	0.4695
GSK3A	0.7355
SUPT6H	0.4215
PI16	-0.759
ELL2	-2.25466666666667
C9orf167	-2.92483333333333
PVRL3	-4.2673
FLJ38596	1.9055
ADAM20	-0.4365
GPR89A	0.6455
GPR87	-3.093
ZNF30	-0.09575
SMR3B	5.11975
ZNF770	0.395625
TRPC4AP	-0.0996666666666667
DKFZP686E2158	-0.250833333333333
C2orf28	0.725666666666667
FREM1	-1.767
LAMA4	0.175666666666667
ADPRHL2	0.66475
EIF4G2	0.870166666666667
GUCA1A	-0.4585
CTNNA2	-1.5325
NUDT15	-0.526333333333333
CEPT1	0.130333333333333
ZNFX1	-0.8002
CCDC92	0.96475
TDRD1	3.501
KCNK5	1.599
ETNK1	0.842083333333333
LTA	0.033
TTPA	0.740333333333333
B3GALNT2	0.444875
SC65	0.0763333333333333
PEX5L	-0.96025
EPS15L1	-0.424
MGEA5	-1.10525
HIST1H3A	0.89875
ING1	1.100125
BCAT1	-3.678875
ORC6L	-2.07818181818182
KLK11	-5.75833333333333
C19orf28	-1.187125
DNER	-2.40575
MED22	-0.631642857142857
ETV6	2.80191666666667
CHAC2	0.543
CD300E	0.477
CEBPB	1.12966666666667
ZNF398	0.46675
LRCH3	0.668
HMGA1	-0.653666666666667
CAPN7	-0.128333333333333
MGC5566	-3.89575
CCL3	2.627375
NANOS1	2.323875
ZFYVE19	-0.5425
APITD1	-0.3705
PARD3	1.714625
IRAK4	-0.694666666666667
SERPINI2	0.2105
CEP170L	0.5565
TTC9	0.16225
MYOM3	-1.9455
MLPH	-2.028875
LOC222699	1.955
NRG1	-2.24883333333333
TBC1D9	-2.838
TTK	0.7065
ZNF557	1.316
DDX41	-0.649666666666667
FANK1	-0.0395
UBE2D2	-0.64625
PSMB10	-0.94875
MYH7B	-0.2475
GABARAPL2	-1.34625
MARVELD2	1.23083333333333
DGCR2	0.818
UNC45A	0.496333333333333
C6orf72	0.1775
ZNF683	3.89825
GIT2	0.357875
CASK	2.094
C14orf161	1.521
LRRC44	-1.16975
TIFA	2.6395
UTP11L	0.3325
C6orf65	0.15425
FDPS	0.08025
DUSP9	-0.4265
SLC17A8	0.574333333333333
OR51G1	0.304833333333333
NANS	-0.43025
OLFML1	0.99525
ATP10B	-1.0845
NPAS3	-0.59575
PRKCA	-1.8837
GGA2	-0.0865625
LCE4A	0.354
SPANXN3	0.59875
CCDC115	0.750625
SDCCAG3	-1.165
GLIPR1L1	-0.0375
TTC1	-0.12725
C17orf76	1.34975
MAD2L2	-0.25625
HIPK1	-0.5866
LRRC3B	-0.287666666666667
CLN3	-0.0739090909090909
C17orf47	0.9415
FMN2	-3.2155
TUBB1	-1.674125
WAPAL	0.017
C3orf21	1.128875
SCN5A	0.3924
SMYD1	0.62725
BEX5	3.4765
ZNF192	0.9235
SEC22A	0.355833333333333
GRIA2	5.42928571428571
KIAA0825	-1.50925
NUSAP1	-0.958727272727273
LANCL1	1.181625
C15orf40	-0.1181
ZNF645	0.513
GPR61	-0.12025
NLRP14	1.0745
SNX21	-0.5759
C1QTNF8	0.1295
C17orf46	0.504
IFNA8	-0.114
SPRR1B	-1.74483333333333
FLRT1	-0.92
SNX17	1.0715
ASB2	-1.54666666666667
HBG1	-6.031
RPRML	-1.18525
JOSD2	-0.170333333333333
PLSCR3	0.00824999999999999
SPOCD1	-1.495
RAB39	0.8325
GHRH	-0.233833333333333
ITIH5L	1.98425
C17orf37	0.5265
SMCR8	0.5865
DPY19L2P3	-0.051
IL11RA	-1.7705
GDF3	-4.275
RPS6KB1	-0.863916666666667
DNAJC19	0.4489
TOP1	-0.505
CRCT1	0.16225
MPST	0.152
DPM2	-0.00149999999999997
FAM38B	-2.71016666666667
SLC18A1	-2.54483333333333
FARP1	-0.279333333333333
PAX7	0.29475
TUBD1	-0.248
GNL3	-0.607125
BTG2	0.1062
NDUFS6	-0.41
C1orf79	-1.79575
ERAL1	0.859
ECHS1	0.9395
VPS4A	-0.186833333333333
CYP11A1	-0.83025
ABCC6	-2.21892857142857
PBX4	-0.5875
MOSC1	0.727625
NCF4	-0.18125
HYMAI	0.873
NAGPA	-0.13975
OTOP2	0.08425
ACOT12	-0.09925
MTHFD2L	-0.200375
LOC441376	4.8715
C19orf34	0.238
RAB1B	-0.331
ALDOAP2	-1.748
NTRK1	-1.96616666666667
ARTS-1	-1.9653
SLC6A11	2.1375
NAP1L2	-3.757
CNGB1	0.219666666666667
EPB41L4B	0.155833333333333
FAM134B	0.404125
HS3ST3A1	-2.68316666666667
CPXM2	2.6865
SIRPB2	0.022
CHORDC1	-0.515833333333333
TRIB3	-2.02283333333333
SLC2A5	0.58
C2orf49	0.0811666666666667
DDX5	-0.221
OR5L1	0.4435
ANAPC4	-1.74316666666667
ZSWIM1	0.091875
LOC93622	-0.099375
KCNK3	-0.7406
RP11-35N6.1	-1.437875
ZFP161	0.477666666666667
AQP9	3.826
SLC15A2	2.02033333333333
MREG	-0.4075
OR9I1	0.31
PDLIM2	-0.32175
ADAM7	0.4475
GSTCD	0.716333333333333
WDR21A	0.63525
SLC12A8	0.878333333333333
TMEM174	0.26325
IGSF3	1.05741666666667
LRRN1	1.2615
LOC402117	-0.55175
SRPK1	0.249333333333333
LY6K	0.7005625
NFIA	4.019
PTCD3	0.25775
LEP	2.14833333333333
PCDH21	-1.29266666666667
MAPKAPK2	-0.311285714285714
NMNAT1	-1.50983333333333
LHFPL2	0.268375
C9orf43	1.1115
DIP2A	0.616
ACTR8	0.008125
CCDC34	1.137
PTPN22	-1.732375
ITGA3	-2.645875
FAM129C	0.08875
RABGGTA	0.119
UNC45B	0.0365
KIAA1033	-0.47325
ZNF510	0.368166666666667
CYP2D6	-0.604666666666667
SLC26A10	-2.0795
STX8	0.04625
LUZP1	0.033125
WDR89	0.0301666666666667
EIF4G3	-1.4375
C5AR1	1.06275
ZNF623	-0.0105
A2M	-0.8295
TGM7	0.097
GRPEL1	-0.448666666666667
LMNB2	0.182
ROCK2	0.364166666666667
SNX16	0.762
CCDC66	-0.2355
ANXA3	-1.916
KIAA1609	0.706375
EED	-0.9705
RNF32	0.798666666666667
HES1	0.5052
CLC	0.366333333333333
ISL1	-0.778666666666667
KIAA0528	0.604625
MANEA	1.347
C1orf61	-0.225
hCG_2001000	0.727
RAPGEF6	-1.4537
KIAA0020	0.0253333333333333
NEIL1	-0.5
C16orf45	-3.556375
RBM10	0.153666666666667
C10orf125	0.416625
MRS2L	0.39775
DNAH17	-1.308375
C19orf10	-0.72475
C1orf160	-0.41725
SLFN12	-1.0585
EXOC3	-0.658333333333333
HIST3H3	0.72425
NCOR2	-0.0416666666666667
TNFRSF9	-0.334
MFSD8	0.7905
ALX1	-2.5485
NOL1	-0.50075
PODN	1.95975
TIAL1	-0.39075
HIST1H1E	-1.48775
