Hybridization REF	TCGA-BH-A0BL-01A-11R-A115-07
DENND4B	-0.212
C14orf130	-0.000624999999999973
RAB33A	-0.50775
DCST2	0.0495
TNMD	1.51575
PEX7	0.0285
FAM62A	-0.215375
SRD5A2L	-0.288
IL22	-0.11425
RPS26	-1.555
HOXC5	-0.297
SPATA6	0.29825
FLJ38482	0.5705
ZNF234	2.3145
C18orf22	0.8555
SPATA22	1.54825
THOC1	-0.15775
CYP7B1	3.6655
KCNC3	0.1105
C8orf42	1.121
ALDH1B1	0.533333333333333
CCDC100	-0.00139999999999998
ARMC4	-2.0165
FAM18B2	0.00549999999999999
SLC44A1	0.47925
FBXO17	-0.660666666666667
C6orf107	0.24875
C19orf29	-0.68675
ZC3HAV1L	0.35975
PARP6	-0.0578
SULT2A1	-4.44275
C1orf159	-0.41675
TMC1	0.45375
CHST14	0.14725
GAMT	-2.182
SMCP	-0.0506666666666667
TSPAN33	1.51533333333333
MIDN	-0.4355
NOX4	3.251
RNASEN	-0.1527
TBX1	-1.44033333333333
SALL2	-0.2775
C10orf35	2.104
CYP2E1	-0.89725
LRFN2	-0.3515
ACO1	-0.108333333333333
IQCG	2.3709
MEGF9	0.688
TM7SF4	1.60725
PLEKHA1	1.67153333333333
STK33	-0.3585
C1orf210	1.813
SNUPN	-0.108
KIAA0406	-1.3499
C20orf29	-0.0185
TMEM55B	-0.212
OSTM1	-0.501875
CLCN7	-0.40725
OTP	-0.061
FLJ23049	-0.8845
HEATR4	0.6115
MAP3K10	0.161333333333333
PCDHGA9	0.762
AMDHD2	-0.489
LCTL	-0.362
PDCD2L	-0.694
CABLES2	0.67375
SLC5A9	-0.6365
CLCA2	2.96083333333333
MGC16025	-0.4265
STRAP	-0.379833333333333
C20orf196	-1.03
RRBP1	0.9445
NAT13	0.2465
MAT2B	0.337125
CSNK1D	-0.577333333333333
KIR3DL1	0.47675
PRKAG3	2.9245
ZNF599	0.7535
PRM3	0.5875
PER2	0.408166666666667
ASPHD1	-0.4645
PRMT6	-0.79025
KCNE1L	0.956357142857143
FAM118A	-0.833
TAF4	-0.376
NDUFB6	-0.30675
TRIM9	-1.35933333333333
PMFBP1	0.0425
KY	0.267
DKFZp762E1312	-1.30163636363636
CSMD1	-1.6395
TBP	-0.134833333333333
OR1Q1	0.277333333333333
RETNLB	0.09525
HPGD	-0.248214285714286
DNAJC12	-0.0436666666666667
FKBP1B	-1.8135
ANKRD24	-0.745333333333333
CXXC5	-0.418166666666667
IL3	0.068875
DRAM	1.5458
PTCH1	-0.850125
TP53BP1	-0.34225
SLC17A7	-0.231875
COL25A1	-0.5606
AMACR	-0.0658333333333333
RHCG	1.645
VPS13A	-0.191416666666667
FAM55D	0.1835
PRPF38B	-0.512333333333333
OSBPL6	0.0475
PFDN5	-0.1632
CMTM6	1.25975
KCNK12	0.08475
RP2	0.70475
C16orf52	-1.41275
PICK1	-0.359
IFNE1	-0.219
SEMA4B	-0.3115
TYRO3	-0.8205
OR12D2	0.33
CSNK1A1	0.0157
FANCF	0.55525
LONP2	0.732125
TBL1Y	0.111
LDOC1L	0.075875
CCNC	0.652
C3orf60	-0.5025
CHKA	-1.47825
UBAP1	-0.2275
MAP3K1	1.6895
ANKRD9	-0.6715
FAM92A1	-0.183833333333333
GAB2	0.393875
AZU1	-0.64475
DIS3	-1.00541666666667
C21orf109	-1.36925
IQCB1	-0.119
SPATS2	-0.967666666666667
EFCAB3	0.13275
PRB3	-0.1225
FUZ	-0.267833333333333
ZNF813	0.256125
BMPER	-0.286666666666667
HEG1	0.735125
ALS2CR11	-0.57425
SURF2	-0.3405
PSMC1	0.362583333333333
OR2D2	0.3535
SLC7A8	-0.3085
C4orf40	1.2005
SPATA7	0.49725
MAZ	-0.689833333333333
PIN4	-0.348
PDE1A	-0.747125
TAF6L	-0.546833333333333
OR2T34	0.078
KIAA0284	0.36575
ACADS	0.183272727272727
MKRN2	0.1925
C18orf56	-0.71325
MS4A6E	-0.319
GALNT4	0.2249
C22orf31	0.9465
FLJ36070	-0.071
PSME4	0.86425
TFG	0.1208
EPHX2	0.217375
ANXA5	0.41675
KRTAP1-1	0.472
BATF	1.67475
KARS	-0.9335
MSTP9	-0.9965
GPR26	1.636375
CCDC72	0.5395
TEF	0.474166666666667
FOXK1	-0.4329
PRLHR	0.0975
EMX1	-0.06175
C11orf30	-0.5185
ICK	0.7955
THSD7B	0.23875
C21orf100	-1.4815
DUOX1	2.0145
EFCAB4B	-0.0285
UBE2G2	-0.992833333333333
C3orf54	0.39025
PARP1	-0.173
FAM60A	0.0516666666666667
C6orf146	-0.0475
OR9K2	0.0875
DDX55	-1.4105
RPS15	-0.345083333333333
ZNF618	0.812625
DKFZp686D0972	2.701
SSPO	-0.065
SHFM3P1	-0.0258333333333333
CPA6	-1.31125
JAG2	0.5655
DEFA3	0.196
PPBPL2	0.124666666666667
CD34	3.47025
SLCO4A1	-2.151625
AFG3L1	-0.9665
SHD	0.21225
RP13-122B23.3	-0.716166666666667
PRKCSH	-0.9755
DPH5	-0.8785
HLA-F	2.248625
TBC1D4	-0.38175
RIG	-0.0906666666666667
GLUD1	-0.794666666666667
HNRPCL1	0.366875
HBXIP	-0.0875
RNF207	-1.1845
APIP	-0.56575
PLA2G3	-3.03266666666667
CCDC84	-1.35125
MYLIP	0.0326153846153846
PHIP	0.34
AARS2	-0.213166666666667
DHX32	0.50825
SCAPER	-0.217166666666667
MEN1	-0.36825
NIP7	-0.20725
FLJ25404	0.1745
FASTKD3	-0.29425
TMEM158	-1.32175
RARA	0.68325
BDH1	0.7585
ANKRD16	0.99925
CARM1	0.276
SS18	0.0363333333333333
IKZF2	1.043
MYD88	0.55775
PML	0.8956
TAF1A	-0.272
CBFB	0.8345
HIST1H3H	-1.942
C7orf29	-0.2435
COMMD4	-0.700333333333333
DPP3	-1.2255
DAB2	1.0135
LOC388882	-0.103
YPEL4	-0.516125
AGBL3	0.08775
LRP6	1.0416
SERPINH1	0.820083333333333
TLE1	0.41
CD244	1.37183333333333
ZDHHC15	0.52575
MGLL	0.1926
PLDN	0.0671666666666667
LOC654346	1.675
FAP	3.45525
GPR37	1.3265
SCARA5	0.920333333333333
EBF4	1.39236363636364
LSM6	1.03375
MLLT1	-0.432625
SLC5A12	-0.88275
A2BP1	-1.55516666666667
COPS5	-0.238666666666667
TPM4	1.22942857142857
TNFSF4	1.97133333333333
ACADSB	-0.366666666666667
HERPUD1	0.81275
BCL2L11	-0.2075
CEP78	-0.45325
CDCA3	-0.211
WBSCR19	0.2674
MYO1A	-1.8815
PPEF1	2.61066666666667
LOC440348	-0.42925
CPEB2	0.184875
BPTF	-0.223333333333333
RPL21	-0.226625
GSX2	-0.4885
ADPRH	2.586
C17orf68	-0.392166666666667
KCNS1	1.189
MLLT6	-0.1241
PIWIL4	1.222
RNF26	-0.4195
RAP1B	0.421
ADAMTS1	0.3941
ZNF571	0.2425
P2RY6	0.883
TRIM21	1.18633333333333
CADM3	0.1005
NLRC5	1.2885
ADRA2B	-0.0798333333333333
LOC90835	-1.31825
PCF11	-0.78475
LOC400451	-0.2475
GLTSCR1	0.3829
C17orf88	-0.848666666666667
CDH16	-1.28825
FGF7	3.383125
PCSK4	0.0696666666666667
NPC1L1	-1.83466666666667
TAT	-0.054
TBCA	-0.37475
MGC33407	-0.0345
GPR115	0.372625
CYGB	0.8105
FNBP4	-0.744833333333333
C12orf43	-0.704
CBL	0.4605
CLECL1	1.7455
PPAPDC1A	2.4275
WDR25	-0.4955
SGCA	0.385
C22orf29	-0.3185
YIPF1	0.13775
GALK2	-0.48
RAB3B	-1.89458333333333
LOC440087	-0.3335
UCP1	-0.632
REEP5	0.32525
FADD	-0.3925
FOXA1	-3.323875
CACNA1A	0.0488333333333333
ABI1	0.994333333333333
GRIN2D	0.3055
SLC1A4	-0.777
LOC401127	-0.59825
HINT2	-0.08775
PLD4	0.489833333333333
ZNF286A	-0.49825
ENY2	0.42225
IL1F6	0.241
PXDNL	2.35425
C20orf79	-0.036
TNFSF13B	4.238
DENND3	0.723
JARID1D	-3.1625
HIST1H2AK	-0.392125
LOC93349	0.3383
SSH1	-0.3999
ENSA	-0.0735
LOC219854	-0.0721666666666667
CKAP2	-0.4607
DKFZP564J102	0.220666666666667
MGC87315	0.2285
HNRPAB	-0.667
AMH	-2.475
ZNF526	0.4585
BRUNOL5	0.1296
CACNG3	0.129666666666667
TRPM1	-2.907
PPP2R1A	0.202375
COL2A1	-1.15125
DDN	-0.4035
FLJ25770	0.870916666666667
HK2	0.6985
ELOVL6	-0.719125
MDK	0.486
EPHX1	0.093
RASSF2	1.49125
DKFZP434B0335	0.50175
DLX3	-0.438125
PRTN3	-1.09575
AVPR1A	1.776
C21orf125	-1.82175
TNFAIP8	0.364333333333333
GNB2L1	-0.79725
CALCRL	3.09625
SCGB2A2	6.32116666666667
UBXD7	1.213
ZNF674	-0.173
TMEM35	2.362125
BRSK2	-0.546125
HECTD3	-0.283
TMEM188	0.21775
LGALS9	1.99525
SCARB2	0.50425
USP34	0.193
C17orf28	0.3935
ZDHHC23	-0.607
AQP12B	-0.2865
SLC16A3	-0.9465
APLP2	0.17725
ITIH2	-4.236
MICAL3	0.11875
TNNI3K	0.3133
HDAC2	0.597375
PRR7	-0.9381
THBS2	1.416125
LOC751071	-1.18716666666667
CA2	1.37766666666667
RANBP17	0.716
RLN3	-0.064
CRYZ	-0.574
GBAS	-0.162666666666667
TAS1R1	-0.45225
MPZL3	0.322
PCDH8	0.7505
HSP90B1	0.423
KCNK15	-1.2755
TNIP2	0.00766666666666667
GPR146	0.50875
NOL6	-0.647
SPC25	-1.50966666666667
STEAP2	1.54978571428571
VAMP3	-0.304166666666667
TCIRG1	-0.11075
ZP4	1.304
PARL	-0.0195
TRIM39	-0.250833333333333
KIAA1305	2.29275
CRNN	0.378166666666667
GRN	0.5765
HSH2D	-1.242
SCAMP1	0.383625
KIAA1913	2.20075
PTS	0.2245
BANP	-0.0442142857142857
PRKACG	-0.1835
ADCY6	0.0383333333333333
C16orf46	-0.0245
CYP51A1	-0.040375
DDC	-1.6685
ANPEP	0.545333333333333
PROM1	4.22433333333333
SIGLEC10	2.3775
COPG	0.6565
FAM26E	2.276125
TRIP4	0.07825
SNX3	0.883166666666667
C1orf175	0.329333333333333
PPY2	-0.13475
C14orf152	0.74575
FTSJ1	-0.402833333333333
DST	1.64305
LOC554235	-0.163
GLRX5	-0.38375
C20orf12	1.4191
CAB39	0.112
MSH2	-0.975333333333333
PIP4K2C	0.483875
CYLD	1.614125
WTAP	0.8585
MGAT4A	1.87433333333333
TSC22D4	0.2522
CHRM2	-0.3975
PPYR1	0.1245
CCNH	-1.097
RRM1	-0.66575
ECAT8	-3.1985
LOC400120	-0.19775
GABRA4	-0.618875
C14orf4	0.853666666666667
C1orf59	0.24275
CTDSPL	0.444666666666667
NHEDC2	-0.3205
PDE11A	-0.4349375
KLHL29	-0.26175
CD5	0.4917
TSPAN9	1.74975
WDR67	-0.71525
THUMPD1	0.6369
C18orf17	0.16375
CLYBL	-0.513666666666667
FLJ13231	0.119
CMBL	-1.209875
LECT2	-0.21275
NKAPL	4.3005
LOC654780	0.8385
OR4C6	-0.1105
RAB30	-0.591
TSSK4	0.0995
TMEM163	1.1495
OSBPL11	1.34791666666667
GNB5	-0.592833333333333
CCL21	0.802
C1orf121	1.34133333333333
FMO2	3.55916666666667
RPTN	0.145
MSTN	-0.1255
VCL	1.33857142857143
FYTTD1	0.8035
C11orf1	-0.273
CCDC88C	-0.0484375
HFE	-0.609222222222222
MOGAT1	1.246
FAM125B	0.7275
IRGQ	0.4245
RAVER2	-0.23275
AKAP5	-0.495
SSSCA1	-0.989
C11orf63	0.912125
ACTG2	2.5401
PORCN	-1.14
DTL	-1.43745454545455
TMEM151	0.13625
FAM122C	0.36475
RSAD2	4.0986
BAT4	-0.6575
KRTDAP	-1.17216666666667
MYH8	0.60275
CRTC3	0.2375
LRRFIP2	0.1551
INTS4	-0.694166666666667
TTN	-1.12866666666667
SLC26A5	0.6805
PLLP	-1.5355
RGS6	1.6625
SRGAP3	0.357375
ZNF525	0.0286666666666667
NBR2	-0.8315
C13orf1	-0.2223
ZNF137	-0.18
CEP27	-1.4985
BEST2	-0.275
RNF121	-0.29475
DMRTC2	1.06925
C8orf76	0.03825
BCCIP	-0.04775
MEST	0.5285
HTRA2	-0.2085
ANGPTL2	1.72375
ILKAP	-0.151
ERAS	-0.1
HBS1L	-0.080375
CPA5	0.7135
TMEM30A	1.31166666666667
CD300LF	2.09516666666667
WISP3	4.2995
CRK	0.315928571428571
PDS5A	-0.2424
BRPF3	0.694666666666667
NEDD9	0.72475
SMPDL3B	0.9685
PSG6	-1.33125
PSMD13	-0.223
ETV5	-0.0516875
OR51A4	0.044
BTBD7	0.648583333333333
GSTO1	-0.232125
hCG_16001	-0.084
MAD2L1BP	-0.0963333333333333
COX6A2	0.5915
SCNN1A	0.395166666666667
LSM1	0.190666666666667
UGT2B11	-2.703
IDUA	-0.00525
PPP2R3C	-0.536
COX11	-1.27333333333333
PDZK1	-3.61675
ZNF443	-0.172333333333333
MGC21874	0.408833333333333
ZNF323	0.3766
KRTAP10-10	-0.1055
CXCL6	-0.2825
SLC34A2	2.1382
LOC284402	0.048
NPTN	0.819666666666667
UPP1	-0.688416666666667
SLC6A9	-0.555
OR7G3	-0.02025
CISD1	-0.351
ZNF545	-0.0208333333333334
SYT14	-0.3035
NT5C3L	-0.35
ZNHIT3	-0.5685
SNRPD3	-0.20425
KIAA0701	-0.318875
UNC93B1	-0.071
GMNN	-0.7085
SPCS2	-0.1555
LOC388524	-0.5135
NAPRT1	-0.477875
PNLIPRP1	0.0945
OR6V1	0.626
PRKAB1	-1.1155
EYA4	-3.31233333333333
KIF20A	-0.9865
ALG10	-0.40725
ITPKC	0.614833333333333
LMX1B	0.128833333333333
RPUSD4	-0.8265
C7orf34	0.039
DLGAP2	0.2205
PFN1	-0.0092
MICALL2	-0.5645
ZNF654	0.7905
SS18L1	-0.725
SLC16A8	0.833
MKI67IP	-0.246333333333333
ITGB3	0.7815
TCEA3	1.228
CEP152	-1.45275
CLIP1	1.156375
ZNF75	0.1225625
ATP5C1	0.320166666666667
NUDT5	0.548833333333333
PSCDBP	1.72925
UBP1	0.16625
RBM27	0.69325
C13orf15	1.97875
ZNF282	0.249666666666667
ZNF222	0.1993
COL10A1	4.55625
PRDM15	-0.927375
TTTY5	0.0925
FAM9C	-0.173916666666667
C20orf67	-0.5335
GNG13	-0.7235
F12	-1.68
C1orf41	-0.71125
CPXCR1	-0.1615
GSK3A	0.14475
SUPT6H	-0.4135
PI16	1.87816666666667
ELL2	-0.829
C9orf167	-1.24133333333333
PVRL3	-1.3145
FLJ38596	0.56425
ADAM20	-0.3885
GPR89A	0.412
GPR87	1.285
ZNF30	0.10325
SMR3B	0.11725
ZNF770	0.820625
TRPC4AP	-0.657333333333333
DKFZP686E2158	-0.0025
C2orf28	-0.436
FREM1	-0.407833333333333
LAMA4	1.17916666666667
ADPRHL2	-0.1605
EIF4G2	0.529166666666667
GUCA1A	0.4665
CTNNA2	-1.630625
NUDT15	-0.941
CEPT1	-0.511333333333333
ZNFX1	0.8245
CCDC92	0.84575
TDRD1	-0.7595
KCNK5	0.317
ETNK1	-0.395916666666667
LTA	0.7045
TTPA	0.686166666666667
B3GALNT2	0.990875
SC65	-0.310666666666667
PEX5L	-1.8055
EPS15L1	-0.549
MGEA5	-0.17625
HIST1H3A	1.086
ING1	0.132375
BCAT1	-1.776
ORC6L	-1.55609090909091
KLK11	-1.13083333333333
C19orf28	-0.910875
DNER	-4.3315
MED22	-0.729071428571429
ETV6	1.83416666666667
CHAC2	-1.30775
CD300E	0.211
CEBPB	1.56525
ZNF398	0.31825
LRCH3	0.794
HMGA1	-0.900833333333333
CAPN7	0.157833333333333
MGC5566	-2.514
CCL3	2.501625
NANOS1	0.799125
ZFYVE19	-0.427
APITD1	-0.796666666666667
PARD3	1.182
IRAK4	-0.3595
SERPINI2	0.024
CEP170L	0.92125
TTC9	2.05675
MYOM3	-1.3415
MLPH	-1.590875
LOC222699	0.322
NRG1	-0.319666666666667
TBC1D9	1.06390909090909
TTK	-0.507833333333333
ZNF557	0.3699
DDX41	-0.604
FANK1	1.773
UBE2D2	-0.107
PSMB10	1.374625
MYH7B	-0.112
GABARAPL2	-0.21075
MARVELD2	0.485333333333333
DGCR2	0.382333333333333
UNC45A	-0.4425
C6orf72	0.848
ZNF683	3.6315
GIT2	0.15525
CASK	1.56
C14orf161	2.7655
LRRC44	-0.14675
TIFA	0.261875
UTP11L	-0.900375
C6orf65	0.548
FDPS	0.13525
DUSP9	-0.6241
SLC17A8	0.0133333333333333
OR51G1	0.0131666666666667
NANS	-0.7855
OLFML1	1.444
ATP10B	-0.46375
NPAS3	1.24875
PRKCA	-1.9199
GGA2	-0.0851875
LCE4A	0.3455
SPANXN3	0.37375
CCDC115	1.01725
SDCCAG3	-1.26525
GLIPR1L1	0.00650000000000001
TTC1	-0.5995
C17orf76	0.31575
MAD2L2	-0.32025
HIPK1	-0.0776
LRRC3B	-0.283
CLN3	-0.812227272727273
C17orf47	0.046
FMN2	-3.064875
TUBB1	-2.262875
WAPAL	-0.0531666666666667
C3orf21	0.90425
SCN5A	-0.0803
SMYD1	1.7265
BEX5	1.98775
ZNF192	-0.0295
SEC22A	0.523833333333333
GRIA2	0.504714285714286
KIAA0825	-1.78175
NUSAP1	-1.39172727272727
LANCL1	0.047625
C15orf40	-0.8596
ZNF645	0.170375
GPR61	-0.08875
NLRP14	-0.1175
SNX21	-0.5715
C1QTNF8	-0.1485
C17orf46	0.197
IFNA8	0.2255
SPRR1B	-1.16233333333333
FLRT1	-0.605
SNX17	-0.9605
ASB2	1.26333333333333
HBG1	-3.3835
RPRML	-2.36275
JOSD2	0.320333333333333
PLSCR3	0.65625
SPOCD1	0.375833333333333
RAB39	-0.2675
GHRH	-0.496166666666667
ITIH5L	0.1855
C17orf37	-0.26525
SMCR8	0.0835
DPY19L2P3	-0.741333333333333
IL11RA	0.6585
GDF3	-2.9505
RPS6KB1	-1.12216666666667
DNAJC19	-0.1189
TOP1	-0.368
CRCT1	0.64225
MPST	0.206875
DPM2	-0.224
FAM38B	-2.02233333333333
SLC18A1	-2.60516666666667
FARP1	0.249333333333333
PAX7	0.26925
TUBD1	-1.303
GNL3	-0.960375
BTG2	0.773133333333333
NDUFS6	0.29975
C1orf79	-1.11475
ERAL1	-0.55575
ECHS1	0.552
VPS4A	-0.00133333333333333
CYP11A1	0.705
ABCC6	-1.34464285714286
PBX4	-0.651
MOSC1	0.45475
NCF4	0.87325
HYMAI	0.0265
NAGPA	-0.75425
OTOP2	0.094
ACOT12	0.012
MTHFD2L	-0.439
LOC441376	3.43725
C19orf34	-0.043
RAB1B	-1.10575
ALDOAP2	-0.986
NTRK1	-1.49816666666667
ARTS-1	1.1197
SLC6A11	-0.124
NAP1L2	-1.1825
CNGB1	0.248166666666667
EPB41L4B	0.733833333333333
FAM134B	0.640375
HS3ST3A1	-0.684
CPXM2	4.834
SIRPB2	0.0535
CHORDC1	-0.571333333333333
TRIB3	-1.075
SLC2A5	1.436
C2orf49	0.270666666666667
DDX5	-0.2595
OR5L1	0.3985
ANAPC4	-0.303166666666667
ZSWIM1	-0.486
LOC93622	-0.86875
KCNK3	1.011
RP11-35N6.1	-2.330625
ZFP161	0.621166666666667
AQP9	4.11575
SLC15A2	1.36616666666667
MREG	-0.3335
OR9I1	0.1145
PDLIM2	0.871125
ADAM7	0.2315
GSTCD	-0.273166666666667
WDR21A	-0.227
SLC12A8	1.6705
TMEM174	0.09575
IGSF3	1.02491666666667
LRRN1	2.23775
LOC402117	-0.429
SRPK1	0.268833333333333
LY6K	-0.2905
NFIA	2.135
PTCD3	-0.52725
LEP	2.6605
PCDH21	-0.7415
MAPKAPK2	0.393428571428571
NMNAT1	-0.666
LHFPL2	1.0555
C9orf43	-0.47225
DIP2A	-0.9725
ACTR8	-0.21575
CCDC34	-0.99725
PTPN22	0.059875
ITGA3	-0.558375
FAM129C	1.66175
RABGGTA	-0.0106666666666667
UNC45B	0.64925
KIAA1033	0.3325
ZNF510	-0.347
CYP2D6	-0.82
SLC26A10	-0.7175
STX8	0.27375
LUZP1	0.2885
WDR89	-0.1825
EIF4G3	3.33066907387547e-17
C5AR1	1.3185
ZNF623	-0.0125
A2M	3.441
TGM7	-0.007
GRPEL1	-0.6445
LMNB2	-0.7395
ROCK2	0.122666666666667
SNX16	0.96425
CCDC66	-0.429
ANXA3	1.57025
KIAA1609	1.246875
EED	-0.681
RNF32	0.569
HES1	0.4819
CLC	0.761833333333333
ISL1	-1.20533333333333
KIAA0528	-0.188375
MANEA	1.067375
C1orf61	-1.715
hCG_2001000	0.206
RAPGEF6	-0.3189
KIAA0020	-0.0921666666666667
NEIL1	-0.07225
C16orf45	-0.985875
RBM10	-0.1605
C10orf125	-0.014
MRS2L	0.6105
DNAH17	-0.066625
C19orf10	-0.6215
C1orf160	-0.01475
SLFN12	1.49325
EXOC3	-0.255166666666667
HIST3H3	0.917
NCOR2	0.344666666666667
TNFRSF9	1.4695
MFSD8	0.58225
ALX1	-3.56516666666667
NOL1	-0.61975
PODN	2.337
TIAL1	-0.61125
HIST1H1E	-1.66425
NPY6R	0.127
TM4SF4	0.58175
CORO2A	-0.40875
ETNK2	-1.19866666666667
APOE	0.9249
ANGPT4	0.0505
HDGF2	-0.46975
G30	0.2445
ST8SIA4	0.5535
F2RL1	0.147125
FAM19A4	-2.9945
CCAR1	-0.01475
B3GNT7	0.03925
OPHN1	0.253
DSCR6	1.383
C21orf13	-0.199166666666667
GAS2L1	-0.204083333333333
RFX3	0.1085
COPS4	-0.1785
BCHE	-3.66583333333333
BCL2	0.696
HBZ	-2.04883333333333
ARL13B	0.692625
MAPBPIP	0.93
MYO15B	-0.373625
SPZ1	1.07475
KIAA1324	-0.354666666666667
PLCL2	0.04375
C4orf29	-0.93625
WDFY2	-0.2285
ZNF284	-0.162
NAALADL1	0.313
DUSP5	-0.0856666666666667
PXDN	1.3835
SLMO1	0.095
TNXB	0.0329
BIRC7	-1.05125
A4GALT	0.812666666666667
TIMM22	-0.24075
FAM110C	1.2055
TOMM34	-0.969125
ABHD9	0.5005
ADAM32	1.7135
CRHBP	0.276
AQP2	0.32125
LOC130355	1.227
ZNF187	-0.1625
ZNF816A	0.2135
F7	-0.865
CNOT1	-0.2013
SLC13A4	-0.3485
ZBTB11	-0.82425
B3GALT5	1.19925
EXOC2	0.288833333333333
IRS1	0.0347
TMEM1	-0.052
MRPL34	-0.5345
SAMM50	-0.4445
CDC42EP3	0.929125
HSF2	-0.3388
MFN2	0.07075
TSPAN7	-1.1155
NUCB1	0.758666666666667
RHOH	-0.94175
ARL16	-0.4675
TACR1	0.278
SFRS5	-0.472666666666667
SNX25	-0.07425
RHBDF1	0.373
PCDH18	2.876
HMG1L1	1.14725
MYO5C	-0.6225
MAPK10	1.1845
LDHAL6A	-0.157666666666667
NUDT12	-0.498833333333333
NCAM1	-0.43825
GLIS2	0.0705
GGTL4	0.00225
DAPP1	1.26725
ATF7	0.5095
KIAA0748	0.0505
NFIL3	0.4395
TM6SF1	0.4772
SEZ6	-0.0795
NANOS3	0.173166666666667
DNAJA3	-1.03183333333333
CLDN6	-2.798
CIITA	3.032
EPHA4	1.35958333333333
FANCC	-0.13675
CMTM3	1.0805
PSG3	-0.74525
MRPL15	-0.26275
C21orf59	-0.0595
PLCXD2	-0.0835
C2orf34	-0.622
UBE2L6	1.33175
MED14	0.226166666666667
HP1BP3	-0.0679
C6orf208	-0.4415
TPBG	-0.18225
OSR2	-0.42925
XPC	-0.215833333333333
KLHL7	-0.28625
CCR3	0.409833333333333
AGTPBP1	-0.3815
PCSK6	-0.689066666666667
STAT5A	-0.443
FAM18B	0.26075
LONRF2	-2.52283333333333
PTPN2	0.226875
SF3A3	-0.761333333333333
EFCBP2	-0.6475
HCFC1	-0.485833333333333
AHNAK	-0.43515
ACTR5	-0.58825
KIF14	-1.20657142857143
TENC1	0.795
HEATR5B	0.075
YIPF2	0.00366666666666667
MYEOV2	0.303166666666667
DUSP18	1.14775
KIAA1012	0.4535
AHR	0.179333333333333
C17orf53	-0.914166666666667
PTPRH	-2.48325
ATP6V1C1	-0.0876
TAS2R3	-0.103
LOC440356	-0.20975
COQ10B	-0.168
PSMF1	0.383916666666667
SORBS2	1.18383333333333
NFE2L2	0.41525
TMCO7	0.0365
SH3PXD2A	0.9523
SH2D2A	0.38825
SPINK5	-3.426
MRPS24	-0.8405
OPA3	0.021375
TRAF7	-0.8755
C4orf35	0.4205
MT1G	0.135625
MGC39545	0.314
HS1BP3	0.0013
OR2B2	-0.1085
CHRM4	-0.0105
SFRP2	3.39333333333333
RIC3	0.42425
ART1	0.519
C6orf1	0.1655
DUS4L	-0.599
C10orf104	0.82275
TNFAIP6	2.864
RTEL1	-1.11025
CCT4	-0.0419
ZNF709	0.26675
CHMP6	0.0651666666666667
UPP2	0.211
CYP19A1	-1.383875
CD151	-0.675166666666667
NDUFA13	0.101
ARFRP1	-0.503
FAM26B	1.5535
CRYBA1	-1.538
MRPL41	0.169333333333333
NPFFR2	-1.754125
HRH2	0.1575
SCAMP3	-0.108666666666667
MTMR6	0.7169
MTG1	-0.6165
UBTD1	0.90275
CRABP1	2.167
FLJ33790	-0.6618
KIAA1908	-1.02683333333333
GPR158	0.60925
PACSIN3	-0.605666666666667
OMD	2.86083333333333
CATSPER1	-0.0668333333333333
HOXB8	-1.480125
FBXO46	0.5265
OAS1	1.16316666666667
SVIL	1.80475
PHB2	-0.3655
ADCY3	0.1485
NDRG2	1.32683333333333
ERMAP	-0.2135
APBA2	0.725
IGSF9	2.2385
WNT6	1.40178571428571
MYCBPAP	0.10375
ATP2B2	1.4141
CPVL	0.0168
TRAM2	-0.0409166666666667
NOP5/NOP58	0.3995
ZNRF4	-0.0605
TLK1	0.678875
MTMR12	0.279142857142857
ZNF384	0.0656666666666667
FAM9B	-2.95075
RPN1	0.5904
PMVK	0.89525
EIF3D	-0.1446
SIX2	0.95225
HPS1	0.585214285714286
RNF7	0.54475
PSKH2	-0.114
KCTD13	-0.168833333333333
CSMD3	-0.955
FBF1	-0.333
IL8	-1.971
SERPINB13	0.0895833333333333
FBXL20	0.07225
BLR1	0.2155
SH2B1	-0.649
RFNG	-0.44775
RAB20	0.534
RBM7	0.09625
POLR1A	-0.379
TMPRSS4	0.28525
TAF9	-1.108375
TERF2	-0.1075
TNFRSF1A	0.978666666666667
ACADVL	-0.430666666666667
GTF2H5	0.769
EDG8	1.02083333333333
C9orf140	-1.009625
UST6	-0.08075
ZBTB8OS	-0.6235
ZNF710	1.013
GPR174	-0.446
ATP6V0A2	0.138
KIAA0319L	-0.246583333333333
XKRX	0.829
DOPEY2	1.3311
SDHD	-0.276833333333333
SUMF1	1.181
OSM	2.85875
OPN3	-0.07425
DAGLB	-0.701166666666667
PPFIBP1	0.9928
TRIM63	-3.2085
C10orf53	-0.1295
LYPD3	-0.0611666666666667
BCL7A	0.106
AGER	-0.972
TCF19	-1.04525
SAT2	0.25625
PFTK1	1.31516666666667
GABRE	-0.328875
C15orf38	1.0258
FIS1	0.2185
KCNV2	-0.000750000000000004
CLPS	1.16625
PPCDC	-0.992875
FOXN2	1.67366666666667
NT5E	-1.9177
CD83	1.3765
IL18	1.40975
VPS16	0.6155
IGFBP2	-0.988666666666667
NOTCH2	0.9455
SIGLEC1	2.65275
CD93	5.2805
SULF2	0.45625
CEP164	-0.331125
P53AIP1	0.428333333333333
TOR2A	-0.135
ZNF136	-0.34875
MGP	2.9294
CCDC144A	1.143
TRPC1	-0.034
SMS	-0.206666666666667
