Hybridization REF	TCGA-AO-A03M-01B-11R-A10J-07
KCNE1L	-0.268
FAM118A	-0.0851666666666667
TAF4	-0.1735
NDUFB6	-0.402
TRIM9	-0.858833333333333
PMFBP1	-0.00199999999999999
KY	0.365
DKFZp762E1312	-1.65372727272727
CSMD1	-1.25975
TBP	-0.792
OR1Q1	0.317666666666667
RETNLB	0.19025
HPGD	0.395857142857143
DNAJC12	0.898
FKBP1B	-1.42375
ANKRD24	-0.27
CXXC5	1.5035
IL3	-0.036625
DRAM	1.1709
PTCH1	-1.632625
TP53BP1	-0.561
SLC17A7	0.00949999999999999
COL25A1	-0.2309
AMACR	0.704666666666667
RHCG	-0.32025
VPS13A	-0.253583333333333
FAM55D	0.224
PRPF38B	-1.04908333333333
OSBPL6	-0.11875
PFDN5	0.0594
CMTM6	0.60825
KCNK12	-1.05125
RP2	0.32275
C16orf52	-1.57425
PICK1	0.782
IFNE1	-0.348833333333333
SEMA4B	0.286
TYRO3	-2.37175
OR12D2	0.4245
CSNK1A1	0.75065
FANCF	0.7395
LONP2	1.075125
TBL1Y	0.472
LDOC1L	0.63625
CCNC	-0.4825
C3orf60	1.1
CHKA	-1.03325
UBAP1	0.43475
MAP3K1	1.7925
ANKRD9	-0.32575
FAM92A1	-1.62266666666667
GAB2	0.158
AZU1	-0.31875
DIS3	-0.666666666666667
C21orf109	-0.64225
IQCB1	-0.14475
SPATS2	-0.0366666666666667
EFCAB3	-0.13875
PRB3	0.177
FUZ	0.43
ZNF813	0.79775
BMPER	0.0103333333333333
HEG1	-0.57
ALS2CR11	-1.221
SURF2	0.7645
PSMC1	0.647166666666667
OR2D2	0.5915
SLC7A8	1.95283333333333
C4orf40	0.1105
SPATA7	0.02175
MAZ	0.563
PIN4	0.12275
PDE1A	-1.512375
TAF6L	-0.0756666666666667
OR2T34	0.396
KIAA0284	1.056
ACADS	-0.202727272727273
MKRN2	-0.9045
C18orf56	-2.8795
MS4A6E	0.255166666666667
GALNT4	0.2819
C22orf31	0.287
FLJ36070	0.1625
PSME4	0.01975
TFG	-0.0152
EPHX2	-0.0265
ANXA5	-0.64275
KRTAP1-1	0.0203
BATF	2.9765
KARS	-0.52475
MSTP9	-0.225
GPR26	0.2885
CCDC72	-0.2515
TEF	0.922833333333333
FOXK1	-0.9513
PRLHR	0.144
EMX1	3.254
C11orf30	-0.175375
ICK	-0.29875
THSD7B	-0.064
C21orf100	-0.9115
DUOX1	0.038
EFCAB4B	-0.39775
UBE2G2	-0.9505
C3orf54	0.345
PARP1	-0.77875
FAM60A	-0.811083333333333
C6orf146	-0.063
OR9K2	0.182
DDX55	-1.021
RPS15	-0.779416666666667
ZNF618	0.7885
DKFZp686D0972	0.806
SSPO	-0.6555
SHFM3P1	0.640666666666667
CPA6	0.4305
JAG2	1.06175
DEFA3	0.023
PPBPL2	0.292833333333333
CD34	3.165375
SLCO4A1	-2.3985
AFG3L1	-1.06533333333333
SHD	0.07525
RP13-122B23.3	0.105666666666667
PRKCSH	-0.9405
DPH5	-0.348166666666667
HLA-F	3.130875
TBC1D4	-0.46325
RIG	-0.104333333333333
GLUD1	-0.571833333333333
HNRPCL1	0.701125
HBXIP	-0.6205
RNF207	-0.243
APIP	-0.784
PLA2G3	-2.23083333333333
CCDC84	-2.45225
MYLIP	1.16930769230769
PHIP	-0.059
AARS2	-0.172833333333333
DHX32	0.00325
SCAPER	-0.745
MEN1	0.16875
NIP7	-0.655
FLJ25404	0.3185
FASTKD3	-0.59925
TMEM158	-2.18633333333333
RARA	1.594
BDH1	0.794
ANKRD16	0.982
CARM1	-0.338
SS18	0.418166666666667
IKZF2	-0.0996666666666667
MYD88	0.736625
PML	0.59
TAF1A	-1.79175
CBFB	-0.105625
HIST1H3H	0.484333333333333
C7orf29	-0.232
COMMD4	-1.429
DPP3	0.57075
DAB2	0.6055
LOC388882	0.0985
YPEL4	-0.772625
AGBL3	0.7835
LRP6	0.2951
SERPINH1	-0.1125
TLE1	0.98375
CD244	0.899833333333333
ZDHHC15	-0.80825
MGLL	-0.5563
PLDN	-0.396833333333333
LOC654346	2.031
FAP	2.43275
GPR37	-0.811833333333333
SCARA5	0.782833333333333
EBF4	2.15518181818182
LSM6	-0.459
MLLT1	-0.153
SLC5A12	-0.2905
A2BP1	-1.07483333333333
COPS5	-0.372333333333333
TPM4	-0.5675
TNFSF4	0.971
ACADSB	1.48855555555556
HERPUD1	0.482
BCL2L11	-0.550333333333333
CEP78	-1.237375
CDCA3	-0.6545
WBSCR19	-0.2479
MYO1A	-2.2715
PPEF1	-0.355666666666667
LOC440348	-1.225
CPEB2	0.355
BPTF	0.273083333333333
RPL21	-0.0725625
GSX2	0.1235
ADPRH	0.8305
C17orf68	0.370166666666667
KCNS1	-0.120333333333333
MLLT6	-0.1473
PIWIL4	-0.07225
RNF26	-0.529
RAP1B	0.19225
ADAMTS1	-0.6101
ZNF571	0.5545
P2RY6	0.3385
TRIM21	1.55416666666667
CADM3	0.43
NLRC5	1.43883333333333
ADRA2B	-0.105666666666667
LOC90835	0.688
PCF11	-0.09225
LOC400451	0.867
GLTSCR1	0.8225
C17orf88	-0.828
CDH16	-1.421
FGF7	0.974875
PCSK4	-0.796833333333333
NPC1L1	-1.03183333333333
TAT	0.05775
TBCA	-0.7725
MGC33407	-0.18825
GPR115	-0.599375
CYGB	-0.098
FNBP4	-0.926166666666667
C12orf43	0.024
CBL	-0.4222
CLECL1	1.253
PPAPDC1A	0.964
WDR25	1.058
SGCA	-0.1375
C22orf29	1.39816666666667
YIPF1	1.1505
GALK2	-1.45225
RAB3B	-1.64708333333333
LOC440087	-0.34125
UCP1	-0.3965
REEP5	1.447625
FADD	-0.000500000000000003
FOXA1	2.98475
CACNA1A	0.406833333333333
ABI1	0.1
GRIN2D	0.89075
SLC1A4	-0.643833333333333
LOC401127	0.04675
HINT2	0.35675
PLD4	0.449333333333333
ZNF286A	-0.865
ENY2	-0.11025
IL1F6	0.3835
PXDNL	1.83325
C20orf79	0.04425
TNFSF13B	3.6245
DENND3	1.005125
JARID1D	-3.00325
HIST1H2AK	2.058125
LOC93349	0.9888
SSH1	0.0098
ENSA	-0.26175
LOC219854	0.0363333333333333
CKAP2	-0.5406
DKFZP564J102	-0.247166666666667
MGC87315	0.851833333333333
HNRPAB	0.19175
AMH	-2.253
ZNF526	0.8995
BRUNOL5	-0.1813
CACNG3	0.155833333333333
TRPM1	-1.1595
PPP2R1A	1.270625
COL2A1	0.21475
DDN	0.0313333333333333
FLJ25770	0.0393333333333333
HK2	-0.783571428571429
ELOVL6	-2.4215
MDK	1.6815
EPHX1	1.16625
RASSF2	0.96825
DKFZP434B0335	-0.175
DLX3	0.6275
PRTN3	-0.472
AVPR1A	0.6735
C21orf125	-1.49625
TNFAIP8	-0.377166666666667
GNB2L1	-0.881
CALCRL	1.268
SCGB2A2	6.92316666666667
UBXD7	-0.07825
ZNF674	0.1365
TMEM35	0.724625
BRSK2	-0.8605
HECTD3	0.272833333333333
TMEM188	0.012
LGALS9	2.3335
SCARB2	0.565916666666667
USP34	-0.367083333333333
C17orf28	1.62316666666667
ZDHHC23	-1.38725
AQP12B	-0.043
SLC16A3	-1.849
APLP2	0.084
ITIH2	-6.06825
MICAL3	-0.40725
TNNI3K	0.2194
HDAC2	0.347125
PRR7	0.112
THBS2	-0.48825
LOC751071	0.130166666666667
CA2	-1.92016666666667
RANBP17	-0.68975
RLN3	-0.05275
CRYZ	-0.409166666666667
GBAS	-0.543166666666667
TAS1R1	0.05275
MPZL3	0.649
PCDH8	-1.0555
HSP90B1	0.22225
KCNK15	2.11
TNIP2	0.783333333333334
GPR146	-0.7005
NOL6	0.1695
SPC25	-2.431
STEAP2	-0.0929285714285714
VAMP3	-0.025
TCIRG1	-0.4065
ZP4	-0.208166666666667
PARL	0.17725
TRIM39	0.1985
KIAA1305	0.17375
CRNN	0.0591666666666667
GRN	0.476
HSH2D	-0.876
SCAMP1	0.296625
KIAA1913	0.95875
PTS	-0.66925
BANP	0.388214285714286
PRKACG	0.21025
ADCY6	-0.556333333333333
C16orf46	-0.314
CYP51A1	-0.507
DDC	-4.227
ANPEP	0.112833333333333
PROM1	1.2125
SIGLEC10	2.29775
COPG	0.8355
FAM26E	0.507875
TRIP4	-0.0945
SNX3	0.4415
C1orf175	0.327833333333333
PPY2	-0.157
C14orf152	0.2155
FTSJ1	-0.446
DST	-0.0467
LOC554235	0.2515
GLRX5	0.02
C20orf12	0.3981
CAB39	-0.273833333333333
MSH2	-1.46266666666667
PIP4K2C	0.824375
CYLD	1.511875
WTAP	0.57175
MGAT4A	0.880111111111111
TSC22D4	-0.3623
CHRM2	-2.215
PPYR1	0.260333333333333
CCNH	-1.31916666666667
RRM1	-1.015
ECAT8	-1.36525
LOC400120	-0.05225
GABRA4	-0.04825
C14orf4	0.946333333333333
C1orf59	1.1965
CTDSPL	-0.613916666666667
NHEDC2	-1.4395
PDE11A	-0.8426875
KLHL29	-1.01075
CD5	0.7894
TSPAN9	1.3796875
WDR67	-0.6935
THUMPD1	0.4403
C18orf17	0.52625
CLYBL	0.722
FLJ13231	-0.04425
CMBL	0.148625
LECT2	-0.15775
NKAPL	1.02216666666667
LOC654780	0.414
OR4C6	0.4585
RAB30	1.70016666666667
TSSK4	0.164
TMEM163	0.877
OSBPL11	0.52575
GNB5	-0.996333333333333
CCL21	1.8535
C1orf121	-0.3215
FMO2	1.52583333333333
RPTN	0.0505
MSTN	0.469
VCL	-0.3755
FYTTD1	0.753
C11orf1	-0.2075
CCDC88C	1.0444375
HFE	-0.426
MOGAT1	-0.279
FAM125B	0.5805
IRGQ	0.519
RAVER2	0.154
AKAP5	0.1315
SSSCA1	-0.54075
C11orf63	-0.3115
ACTG2	0.4223
PORCN	-0.766
DTL	-1.44954545454545
TMEM151	0.6805
FAM122C	-1.2555
RSAD2	2.9524
BAT4	-0.366
KRTDAP	-1.18533333333333
MYH8	0.03525
CRTC3	-0.262
LRRFIP2	-0.3576
INTS4	-0.635666666666667
TTN	-0.958666666666667
SLC26A5	0.1385
PLLP	-0.69375
RGS6	0.402875
SRGAP3	0.622125
ZNF525	0.156166666666667
NBR2	-0.414
C13orf1	0.1552
ZNF137	0.789
CEP27	-1.78425
BEST2	0.558
RNF121	-0.647
DMRTC2	-0.22175
C8orf76	0.27175
BCCIP	0.030125
MEST	-0.39075
HTRA2	-0.203
ANGPTL2	0.5135
ILKAP	-0.00849999999999999
ERAS	-0.25
HBS1L	-0.329875
CPA5	0.3415
TMEM30A	-0.09
CD300LF	1.84733333333333
WISP3	1.511
CRK	0.0756428571428571
PDS5A	-0.0401
BRPF3	0.135333333333333
NEDD9	0.308
SMPDL3B	0.261
PSG6	-1.04125
PSMD13	0.51225
ETV5	-1.508125
OR51A4	0.2065
BTBD7	0.687666666666667
GSTO1	-1.144125
hCG_16001	1.103
MAD2L1BP	-0.3545
COX6A2	0.9495
SCNN1A	2.4605
LSM1	0.408
UGT2B11	-3.49325
IDUA	0.52575
PPP2R3C	-0.610166666666667
COX11	-0.876833333333333
PDZK1	3.33625
ZNF443	-0.152
MGC21874	1.46933333333333
ZNF323	2.1273
KRTAP10-10	0.2705
CXCL6	-0.13775
SLC34A2	1.6503
LOC284402	0.3165
NPTN	0.449333333333333
UPP1	-2.0705
SLC6A9	-0.262
OR7G3	0.032
CISD1	-0.978333333333333
ZNF545	-0.254
SYT14	-0.238
NT5C3L	-0.4395
ZNHIT3	-0.643666666666667
SNRPD3	0.1495
KIAA0701	-0.233125
UNC93B1	0.2885
GMNN	-0.94275
SPCS2	-0.265
LOC388524	-0.7135
NAPRT1	2.038125
PNLIPRP1	-0.28575
OR6V1	0.4935
PRKAB1	0.10975
EYA4	-1.9665
KIF20A	-1.12825
ALG10	-1.2205
ITPKC	1.31566666666667
LMX1B	1.68583333333333
RPUSD4	-0.6265
C7orf34	0.0923333333333333
DLGAP2	0.400625
PFN1	-0.3625
MICALL2	-0.0845833333333333
ZNF654	-0.131
SS18L1	-0.3065
SLC16A8	0.223
MKI67IP	-0.444
ITGB3	-0.8485
TCEA3	0.736666666666667
CEP152	-2.039
CLIP1	1.004125
ZNF75	0.057875
ATP5C1	-0.541666666666667
NUDT5	-1.0755
PSCDBP	1.752
UBP1	-1.1695
RBM27	0.1145
C13orf15	1.790625
ZNF282	0.67
ZNF222	0.7658
COL10A1	5.30825
PRDM15	-0.234
TTTY5	-0.029
FAM9C	-0.223416666666667
C20orf67	0.4515
GNG13	1.1125
F12	-2.83675
C1orf41	-0.73625
CPXCR1	0.0145
GSK3A	0.56375
SUPT6H	1.03766666666667
PI16	1.025
ELL2	-1.03766666666667
C9orf167	-1.38383333333333
PVRL3	-1.8819
FLJ38596	0.493
ADAM20	0.35775
GPR89A	-0.027
GPR87	-1.463
ZNF30	1.03575
SMR3B	0.002
ZNF770	-0.17825
TRPC4AP	-0.6095
DKFZP686E2158	-0.0291666666666667
C2orf28	-0.414
FREM1	-0.992333333333333
LAMA4	-0.114833333333333
ADPRHL2	0.9005
EIF4G2	0.704
GUCA1A	-0.4485
CTNNA2	-0.71
NUDT15	-0.4065
CEPT1	-0.1445
ZNFX1	1.8406
CCDC92	1.3575
TDRD1	-0.4825
KCNK5	0.0731666666666667
ETNK1	-0.706666666666667
LTA	0.4495
TTPA	-0.0128333333333333
B3GALNT2	0.096875
SC65	-1.25983333333333
PEX5L	-0.789875
EPS15L1	1.35225
MGEA5	-0.752375
HIST1H3A	0.74375
ING1	0.66025
BCAT1	-3.135375
ORC6L	-2.43818181818182
KLK11	-4.21266666666667
C19orf28	-1.10325
DNER	-4.261625
MED22	-0.0277857142857143
ETV6	1.01541666666667
CHAC2	-2.01975
CD300E	0.0645
CEBPB	1.19558333333333
ZNF398	0.8055
LRCH3	0.393
HMGA1	-1.20716666666667
CAPN7	-0.622833333333333
MGC5566	-2.6855
CCL3	2.646625
NANOS1	0.8875
ZFYVE19	-0.02575
APITD1	-0.0943333333333333
PARD3	-0.08275
IRAK4	-0.4305
SERPINI2	0.098
CEP170L	-0.10775
TTC9	1.589625
MYOM3	-0.84725
MLPH	0.567125
LOC222699	0.4965
NRG1	-1.04391666666667
TBC1D9	2.96881818181818
TTK	-1.626
ZNF557	0.3996
DDX41	-0.0861666666666667
FANK1	1.729
UBE2D2	-0.0645
PSMB10	1.69675
MYH7B	-0.149
GABARAPL2	-0.455875
MARVELD2	1.658
DGCR2	1.316
UNC45A	0.245833333333333
C6orf72	0.461
ZNF683	4.31725
GIT2	0.03425
CASK	0.6105
C14orf161	0.892166666666667
LRRC44	0.518
TIFA	0.148875
UTP11L	-0.053625
C6orf65	-0.27275
FDPS	-1.04075
DUSP9	-1.682
SLC17A8	0.797666666666667
OR51G1	0.3395
NANS	0.03775
OLFML1	1.29875
ATP10B	-0.813
NPAS3	0.65475
PRKCA	-2.1218
GGA2	-0.53625
LCE4A	0.179
SPANXN3	-0.19075
CCDC115	1.294125
SDCCAG3	-0.11225
GLIPR1L1	0.29225
TTC1	-0.17975
C17orf76	1.636
MAD2L2	-0.00275
HIPK1	0.1186
LRRC3B	0.0195
CLN3	-0.575318181818182
C17orf47	-0.0895
FMN2	-1.13
TUBB1	-0.795875
WAPAL	-0.188166666666667
C3orf21	0.12025
SCN5A	-0.2176
SMYD1	0.05225
BEX5	1.12175
ZNF192	-0.02
SEC22A	-0.1435
GRIA2	0.373
KIAA0825	-0.9885
NUSAP1	-1.94045454545455
LANCL1	-1.037625
C15orf40	-0.7362
ZNF645	0.081625
GPR61	-0.136
NLRP14	-0.062
SNX21	1.1821
C1QTNF8	-0.2665
C17orf46	0.24725
IFNA8	0.278
SPRR1B	-0.930666666666667
FLRT1	-0.56225
SNX17	0.045
ASB2	0.5425
HBG1	-6.2145
RPRML	-1.46
JOSD2	0.611
PLSCR3	0.743
SPOCD1	-0.367666666666667
RAB39	0.192
GHRH	3.501
ITIH5L	-0.021
C17orf37	1.0895
SMCR8	0.06675
DPY19L2P3	-0.742
IL11RA	0.287333333333333
GDF3	-3.6635
RPS6KB1	-0.925833333333333
DNAJC19	-0.223
TOP1	-0.3795
CRCT1	0.259875
MPST	0.693625
DPM2	0.761
FAM38B	-2.851
SLC18A1	-1.521
FARP1	0.219166666666667
PAX7	0.15375
TUBD1	-1.33825
GNL3	-1.292375
BTG2	0.4354
NDUFS6	-0.1585
C1orf79	-2.40575
ERAL1	1.26925
ECHS1	1.241
VPS4A	0.442333333333333
CYP11A1	-0.8945
ABCC6	-1.70971428571429
PBX4	-1.585
MOSC1	-0.82375
NCF4	1.379
HYMAI	-0.1075
NAGPA	-0.464125
OTOP2	0.11375
ACOT12	0.04525
MTHFD2L	-0.836125
LOC441376	5.48775
C19orf34	-0.4115
RAB1B	-0.33225
ALDOAP2	0.643
NTRK1	-1.05733333333333
ARTS-1	0.3515
SLC6A11	-0.382
NAP1L2	-0.874
CNGB1	0.132
EPB41L4B	-0.54475
FAM134B	2.11175
HS3ST3A1	-0.364333333333333
CPXM2	4.13
SIRPB2	0.3325
CHORDC1	-1.175
TRIB3	0.869
SLC2A5	0.83825
C2orf49	-1.01
DDX5	0.07175
OR5L1	0.606
ANAPC4	-0.588333333333333
ZSWIM1	1.210625
LOC93622	0.575875
KCNK3	0.0012
RP11-35N6.1	-1.1425
ZFP161	-0.4545
AQP9	1.3805
SLC15A2	-0.163833333333333
MREG	0.177
OR9I1	0.027
PDLIM2	0.0965
ADAM7	0.186
GSTCD	0.2875
WDR21A	0.4135
SLC12A8	0.435666666666667
TMEM174	0.09425
IGSF3	1.754
LRRN1	0.01575
LOC402117	0.25175
SRPK1	-0.891333333333333
LY6K	-1.485
NFIA	2.7955
PTCD3	-0.675875
LEP	0.770833333333333
PCDH21	-0.431333333333333
MAPKAPK2	1.31585714285714
NMNAT1	0.0691666666666667
LHFPL2	0.79475
C9orf43	0.044
DIP2A	-0.321666666666667
ACTR8	-0.153625
CCDC34	-0.39725
PTPN22	-0.163
ITGA3	-1.2785
FAM129C	1.01575
RABGGTA	0.643666666666667
UNC45B	0.3025
KIAA1033	0.060125
ZNF510	0.0661666666666667
CYP2D6	-0.0596666666666667
SLC26A10	-2.3545
STX8	-0.095
LUZP1	0.1545
WDR89	0.1185
EIF4G3	0.2592
C5AR1	0.516875
ZNF623	0.922
A2M	0.639
TGM7	0.4855
GRPEL1	0.146666666666667
LMNB2	-0.9099
ROCK2	-0.291
SNX16	-0.289375
CCDC66	-1.0715
ANXA3	-0.54025
KIAA1609	0.753
EED	-1.21175
RNF32	0.331666666666667
HES1	1.3394
CLC	1.33416666666667
ISL1	-0.702833333333333
KIAA0528	-0.474375
MANEA	-0.114875
C1orf61	-1.824
hCG_2001000	1.127
RAPGEF6	-0.7414
KIAA0020	-0.637666666666667
NEIL1	-1.397
C16orf45	-1.275875
RBM10	0.2245
C10orf125	-0.575125
MRS2L	0.258
DNAH17	-1.2025
C19orf10	-0.76125
C1orf160	0.62225
SLFN12	0.32225
EXOC3	0.138
HIST3H3	1.34975
NCOR2	0.3965
TNFRSF9	1.40625
MFSD8	-0.13075
ALX1	-2.49766666666667
NOL1	-0.45475
PODN	1.9135
TIAL1	-1.26675
HIST1H1E	1.97975
NPY6R	0.37325
TM4SF4	0.06675
CORO2A	0.33275
ETNK2	1.4555
APOE	1.3321
ANGPT4	-0.174
HDGF2	-0.1945
G30	-0.5115
ST8SIA4	0.216375
F2RL1	-0.1605
FAM19A4	-2.07075
CCAR1	-0.4565
B3GNT7	-0.1285
OPHN1	-0.2534
DSCR6	-0.0155
C21orf13	1.00733333333333
GAS2L1	0.477
RFX3	-0.2785
COPS4	-0.03375
BCHE	-4.42366666666667
BCL2	2.37075
HBZ	-3.82466666666667
ARL13B	-0.100875
MAPBPIP	0.791125
MYO15B	-0.056875
SPZ1	0.30675
KIAA1324	2.50333333333333
PLCL2	-0.19775
C4orf29	-0.912
WDFY2	-0.133375
ZNF284	-0.833
NAALADL1	-0.067
DUSP5	-0.149833333333333
PXDN	0.098375
SLMO1	-1.53475
TNXB	0.6396
BIRC7	-0.6855
A4GALT	1.51683333333333
TIMM22	0.25225
FAM110C	1.2235
TOMM34	0.677625
ABHD9	0.189
ADAM32	0.1425
CRHBP	0.01
AQP2	0.47
LOC130355	0.84025
ZNF187	0.0988333333333333
ZNF816A	0.965
F7	0.74
CNOT1	-0.5023
SLC13A4	-0.5595
ZBTB11	-0.014
B3GALT5	1.182
EXOC2	1.14833333333333
IRS1	0.6105
TMEM1	-0.209166666666667
MRPL34	-0.969
SAMM50	0.0585
CDC42EP3	-0.872125
HSF2	-0.3981
MFN2	0.63525
TSPAN7	-1.483
NUCB1	0.76725
RHOH	-0.585
ARL16	-0.6255
TACR1	0.362
SFRS5	-0.6995
SNX25	-0.052
RHBDF1	0.693666666666667
PCDH18	1.36316666666667
HMG1L1	0.8115
MYO5C	-0.053125
MAPK10	0.2695
LDHAL6A	0.816
NUDT12	0.007
NCAM1	-0.131625
GLIS2	1.119
GGTL4	-0.01925
DAPP1	0.03075
ATF7	0.603875
KIAA0748	0.0625
NFIL3	-0.2955
TM6SF1	0.2192
SEZ6	0.235625
NANOS3	0.00566666666666666
DNAJA3	-0.158
CLDN6	-2.6405
CIITA	2.7839
EPHA4	0.719583333333333
FANCC	-0.5875
CMTM3	0.773375
PSG3	-0.367625
MRPL15	-0.57525
C21orf59	0.159
PLCXD2	0.0565
C2orf34	-0.033875
UBE2L6	1.61825
MED14	-0.473166666666667
HP1BP3	0.1647
C6orf208	-0.0885
TPBG	1.09875
OSR2	1.689375
XPC	0.0115
KLHL7	-1.64033333333333
CCR3	-0.342333333333333
AGTPBP1	-0.414
PCSK6	-0.523266666666667
STAT5A	-1.122
FAM18B	-0.39475
LONRF2	0.382
PTPN2	-0.729125
SF3A3	-0.326333333333333
EFCBP2	0.044
HCFC1	-0.3085
AHNAK	0.3071
ACTR5	3.18275
KIF14	-2.45657142857143
TENC1	0.4615
HEATR5B	0.297
YIPF2	0.366666666666667
MYEOV2	0.5045
DUSP18	1.36275
KIAA1012	-0.093
AHR	-0.16
C17orf53	-1.45033333333333
PTPRH	-3.64575
ATP6V1C1	-0.0439
TAS2R3	0.386
LOC440356	-1.10625
COQ10B	0.131
PSMF1	1.81416666666667
SORBS2	0.852
NFE2L2	-0.51925
TMCO7	-0.01375
SH3PXD2A	-0.5674
SH2D2A	0.13625
SPINK5	-2.2395
MRPS24	-0.67575
OPA3	0.291125
TRAF7	0.680833333333333
C4orf35	0.0301666666666667
MT1G	-0.319875
MGC39545	0.43675
HS1BP3	0.3498
OR2B2	0.409
CHRM4	0.005
SFRP2	0.744333333333333
RIC3	-0.71375
ART1	-0.1505
C6orf1	0.754875
DUS4L	-0.879
C10orf104	-0.06725
TNFAIP6	2.0745
RTEL1	-0.5845
CCT4	-0.6319
ZNF709	-0.66875
CHMP6	0.630666666666667
UPP2	0.22975
CYP19A1	-1.878625
CD151	0.631333333333333
NDUFA13	-0.7615
ARFRP1	-0.277666666666667
FAM26B	1.289
CRYBA1	-0.638
MRPL41	1.4045
NPFFR2	-0.326375
HRH2	0.372
SCAMP3	0.2605
MTMR6	-0.5668
MTG1	-0.6275
UBTD1	1.5425
CRABP1	-3.1265
FLJ33790	1.2565
KIAA1908	-0.476833333333333
GPR158	-0.502
PACSIN3	-1.0435
OMD	0.94
CATSPER1	-0.713
HOXB8	-0.204125
FBXO46	0.867
OAS1	2.37816666666667
SVIL	0.25925
PHB2	-0.51775
ADCY3	-0.7225
NDRG2	0.877833333333333
ERMAP	0.2921
APBA2	-1.83683333333333
IGSF9	2.20625
WNT6	1.03978571428571
MYCBPAP	-0.16125
ATP2B2	0.1504
CPVL	0.0197
TRAM2	-1.04633333333333
NOP5/NOP58	-0.8325
ZNRF4	-0.31775
TLK1	-0.147375
MTMR12	0.130928571428571
ZNF384	-0.140166666666667
FAM9B	-2.0345
RPN1	0.6025
PMVK	0.273
EIF3D	0.3221
SIX2	-0.22075
HPS1	0.499571428571429
RNF7	0.34925
PSKH2	0.4135
KCTD13	0.2975
CSMD3	-0.3696
FBF1	0.3135
IL8	-5.533125
SERPINB13	0.436083333333333
FBXL20	-0.61475
BLR1	0.3445
SH2B1	-0.216833333333333
RFNG	0.752375
RAB20	1.80866666666667
RBM7	-0.81125
POLR1A	-0.164166666666667
TMPRSS4	-1.4005
TAF9	-0.958
TERF2	-0.810666666666667
TNFRSF1A	0.809416666666667
ACADVL	-0.4415
GTF2H5	0.02025
EDG8	0.1175
C9orf140	-0.7405
UST6	0.24425
ZBTB8OS	-0.3175
ZNF710	0.8165
GPR174	-0.6825
ATP6V0A2	-0.27925
KIAA0319L	0.45125
XKRX	-0.3875
DOPEY2	1.0899
SDHD	-0.58875
SUMF1	-0.2525
OSM	2.59225
OPN3	-1.41325
DAGLB	0.0476666666666667
PPFIBP1	0.4925
TRIM63	-3.35675
C10orf53	0.6875
LYPD3	0.307166666666667
BCL7A	0.404125
AGER	-1.17866666666667
TCF19	-0.479875
SAT2	-0.961
PFTK1	-0.207166666666667
GABRE	-2.175625
C15orf38	0.1066
FIS1	-0.5725
KCNV2	-0.24175
CLPS	0.1125
PPCDC	-0.881375
FOXN2	0.550166666666667
NT5E	-2.4633
CD83	0.9165
IL18	1.160125
VPS16	2.036
IGFBP2	3.05016666666667
NOTCH2	0.02625
SIGLEC1	2.269625
CD93	2.8455
SULF2	1.22675
CEP164	-0.396625
P53AIP1	0.256166666666667
TOR2A	0.310833333333333
ZNF136	-0.102
MGP	2.6513
CCDC144A	0.186666666666667
TRPC1	-1.60533333333333
SMS	-0.161333333333333
MAPK7	-0.327
RRAGC	0.90225
PARD6A	1.142
NUB1	1.38616666666667
SYNGR4	0.625
OR11H12	-0.1105
WIF1	1.296125
GCH1	0.41075
OR11H4	-0.06
SLC44A5	0.1205
GPRIN2	0.275
LOC401431	1.4285
CPA4	-1.8637
MELK	-1.14177777777778
IL15RA	0.89775
CUL3	0.28
HMBOX1	0.54525
PODXL	-1.84925
CCT6B	-0.118
COMTD1	-0.39725
MUC20	-0.781
GPX2	-0.72675
ITK	0.036875
FBXL5	1.62425
C13orf27	-0.86475
DEFA5	0.239
TRHDE	0.463
MTP18	-0.166333333333333
UQCRQ	0.3667
ITGB2	2.42466666666667
CSRP2BP	-0.76375
TAS2R44	0.662
PHPT1	1.101875
FAM44C	-0.13425
ERH	0.2175
MPHOSPH1	-1.9465
MORC1	-0.137
PARVB	-0.38875
LAMA1	-1.46933333333333
PGBD3	0.1665
GIMAP6	3.6525
AREG	3.15733333333333
LIPT1	-0.3795
MGC99813	-1.6785
C1orf201	0.406666666666667
GRIN2A	-0.4529
MAN2C1	-1.5305
NSUN5	0.32525
SF3B5	0.64575
MYC	-1.1153125
NRXN1	-0.111666666666667
ZNF18	-0.2425
SPDYA	-0.08275
SLC37A1	0.937
DECR2	0.1705
ANKRD38	0.137
SPTLC3	0.102833333333333
SUPT16H	-0.02175
DTWD2	0.023
ULBP1	-0.059
ZADH1	-1.195
OIP5	-2.7135
IL10RB	-0.025
OTUB2	1.31525
VWA3A	-0.150333333333333
SPIC	1.14766666666667
OR6C4	0.362
PSCD4	1.28733333333333
DPY19L2P2	-0.7675
TRAPPC6A	0.868666666666667
C21orf2	-0.3575
CEMP1	-0.00675
LIN7B	1.219
E2F7	-1.891
VCP	0.8383125
LAMA3	0.827916666666667
BGN	0.7545
GPR160	-0.0618333333333333
COCH	-3.94916666666667
GPR81	0.847166666666667
APOBEC3F	-0.90725
tcag7.1017	-0.854
C1orf32	0.498
SCGB1D2	4.749
FLJ43987	0.218
C6orf170	0.572
KLK9	0.3045
GPD1L	0.346875
VPS37B	0.58775
ATG3	-0.329166666666667
ADAMTS17	-0.5975
KLHDC2	-0.141333333333333
