Hybridization REF	TCGA-C8-A12P-01A-11R-A115-07
GGA2	-0.2801875
LCE4A	0.5455
SPANXN3	1.97825
CCDC115	0.633125
SDCCAG3	-0.763
GLIPR1L1	-0.06825
TTC1	0.47725
C17orf76	0.224
MAD2L2	-1.50275
HIPK1	-0.3092
LRRC3B	-0.5525
CLN3	-0.847409090909091
C17orf47	0.316
FMN2	-2.04525
TUBB1	-2.4675
WAPAL	-0.204666666666667
C3orf21	-0.86875
SCN5A	-0.2097
SMYD1	-0.63575
BEX5	0.78525
ZNF192	0.289
SEC22A	0.323
GRIA2	0.167142857142857
KIAA0825	-1.47325
NUSAP1	-1.82790909090909
LANCL1	-0.0975
C15orf40	-0.1708
ZNF645	0.24425
GPR61	0.197
NLRP14	0.219
SNX21	-0.1345
C1QTNF8	0.228
C17orf46	0.87975
IFNA8	1.0125
SPRR1B	-1.6475
FLRT1	-0.89025
SNX17	0.152333333333333
ASB2	0.00866666666666667
HBG1	-4.9555
RPRML	-2.17925
JOSD2	0.898333333333333
PLSCR3	0.03075
SPOCD1	0.473333333333333
RAB39	0.1225
GHRH	-0.452833333333333
ITIH5L	0.70075
C17orf37	2.898
SMCR8	0.5485
DPY19L2P3	-1.21166666666667
IL11RA	1.5475
GDF3	-3.51733333333333
RPS6KB1	0.4215
DNAJC19	-0.3209
TOP1	-0.2295
CRCT1	-0.57125
MPST	0.676875
DPM2	0.270375
FAM38B	-2.41266666666667
SLC18A1	-1.92516666666667
FARP1	-0.518666666666667
PAX7	0.471
TUBD1	0.45975
GNL3	-0.5945
BTG2	-0.399333333333333
NDUFS6	0.58375
C1orf79	-1.8235
ERAL1	-0.1005
ECHS1	1.2385
VPS4A	-0.403833333333333
CYP11A1	-0.484125
ABCC6	-1.34178571428571
PBX4	-0.9785
MOSC1	0.331125
NCF4	1.1275
HYMAI	-0.3035
NAGPA	-0.344
OTOP2	0.412
ACOT12	-0.09625
MTHFD2L	-2.427375
LOC441376	6.51975
C19orf34	0.1855
RAB1B	0.7565
ALDOAP2	0.1415
NTRK1	-1.57233333333333
ARTS-1	-0.3159
SLC6A11	0.198
NAP1L2	-2.6585
CNGB1	0.349333333333333
EPB41L4B	1.34158333333333
FAM134B	1.7685
HS3ST3A1	-0.0795
CPXM2	4.7275
SIRPB2	0.1825
CHORDC1	-0.244166666666667
TRIB3	0.787833333333333
SLC2A5	2.245
C2orf49	0.504666666666667
DDX5	0.4215
OR5L1	1.0185
ANAPC4	-1.25116666666667
ZSWIM1	0.943875
LOC93622	-1.236125
KCNK3	-0.7974
RP11-35N6.1	-2.402
ZFP161	0.519166666666667
AQP9	4.209
SLC15A2	2.6135
MREG	0.430333333333333
OR9I1	0.221
PDLIM2	0.25775
ADAM7	0.4705
GSTCD	-1.27666666666667
WDR21A	1.75125
SLC12A8	1.62633333333333
TMEM174	0.2875
IGSF3	1.1565
LRRN1	-3.10975
LOC402117	0.47525
SRPK1	-0.769166666666667
LY6K	-0.336375
NFIA	2.815
PTCD3	0.80125
LEP	1.45683333333333
PCDH21	-0.561
MAPKAPK2	0.802857142857143
NMNAT1	-1.1455
LHFPL2	0.918625
C9orf43	1.0775
DIP2A	0.273666666666667
ACTR8	0.455375
CCDC34	-2.1135
PTPN22	-0.52675
ITGA3	-0.80425
FAM129C	0.37275
RABGGTA	0.426166666666667
UNC45B	0.1
KIAA1033	0.452375
ZNF510	0.037
CYP2D6	-0.419
SLC26A10	-1.7485
STX8	0.09425
LUZP1	0.31125
WDR89	-0.0706666666666667
EIF4G3	-0.5834
C5AR1	1.1365
ZNF623	0.567
A2M	0.36675
TGM7	0.5375
GRPEL1	-0.852
LMNB2	-1.1172
ROCK2	0.191333333333333
SNX16	-0.24425
CCDC66	0.0655
ANXA3	2.58425
KIAA1609	1.43175
EED	-0.52675
RNF32	0.403
HES1	0.1511
CLC	0.414333333333333
ISL1	-0.897166666666667
KIAA0528	-0.54825
MANEA	-0.9615
C1orf61	1.303
hCG_2001000	0.63125
RAPGEF6	0.1772
KIAA0020	-0.618666666666667
NEIL1	0.90425
C16orf45	-1.572375
RBM10	-0.2865
C10orf125	0.320375
MRS2L	-0.559
DNAH17	-1.402625
C19orf10	0.04075
C1orf160	-0.05075
SLFN12	0.44
EXOC3	-0.167666666666667
HIST3H3	0.22475
NCOR2	0.238333333333333
TNFRSF9	0.4235
MFSD8	1.85525
ALX1	-4.00783333333333
NOL1	-0.38225
PODN	2.698
TIAL1	-1.1905
HIST1H1E	0.6875
NPY6R	0.6625
TM4SF4	0.02625
CORO2A	-1.32375
ETNK2	0.0565
APOE	1.9731
ANGPT4	0.23
HDGF2	-0.23725
G30	0.015
ST8SIA4	0.34725
F2RL1	3.108
FAM19A4	-3.81625
CCAR1	-0.5685
B3GNT7	0.7455
OPHN1	0.2754
DSCR6	-1.6695
C21orf13	0.337
GAS2L1	0.727333333333333
RFX3	-1.763
COPS4	-0.00399999999999999
BCHE	-5.00366666666667
BCL2	-1.1975
HBZ	-3.14866666666667
ARL13B	-0.57775
MAPBPIP	0.925
MYO15B	-0.861625
SPZ1	-0.66125
KIAA1324	1.67088888888889
PLCL2	-0.546625
C4orf29	-0.11725
WDFY2	0.014125
ZNF284	-0.771
NAALADL1	0.1865
DUSP5	-0.300333333333333
PXDN	0.969875
SLMO1	-1.26925
TNXB	0.195
BIRC7	-0.51925
A4GALT	0.5045
TIMM22	0.01375
FAM110C	1.08425
TOMM34	-1.14475
ABHD9	0.358
ADAM32	-0.1095
CRHBP	0.77225
AQP2	0.557375
LOC130355	1.20175
ZNF187	-0.00166666666666667
ZNF816A	0.7815
F7	-0.94125
CNOT1	-0.2469
SLC13A4	-0.9695
ZBTB11	-0.803
B3GALT5	-0.16925
EXOC2	-0.1225
IRS1	-1.4344
TMEM1	0.712666666666667
MRPL34	-0.0678333333333333
SAMM50	0.43325
CDC42EP3	0.8735
HSF2	-0.5047
MFN2	0.2395
TSPAN7	-1.82916666666667
NUCB1	0.741
RHOH	-2.2025
ARL16	-0.5145
TACR1	0.0665
SFRS5	-1.066
SNX25	0.26475
RHBDF1	0.236833333333333
PCDH18	2.08716666666667
HMG1L1	-1.007
MYO5C	1.751625
MAPK10	-0.788
LDHAL6A	-0.247166666666667
NUDT12	-2.26716666666667
NCAM1	-0.141125
GLIS2	0.1415
GGTL4	1.12325
DAPP1	0.9545
ATF7	1.064375
KIAA0748	-1.95125
NFIL3	-0.70575
TM6SF1	-0.1778
SEZ6	0.323125
NANOS3	-0.00499999999999999
DNAJA3	0.1195
CLDN6	-1.989
CIITA	2.3387
EPHA4	-1.64425
FANCC	-0.22975
CMTM3	0.557
PSG3	1.6
MRPL15	0.538
C21orf59	0.87625
PLCXD2	0.184
C2orf34	0.70275
UBE2L6	1.64325
MED14	0.424666666666667
HP1BP3	-0.442
C6orf208	0.098
TPBG	-0.6735
OSR2	0.191625
XPC	-1.00783333333333
KLHL7	0.654
CCR3	-1.69166666666667
AGTPBP1	-1.14066666666667
PCSK6	-1.61866666666667
STAT5A	-1.8486
FAM18B	0.0425
LONRF2	-4.43633333333333
PTPN2	-0.90225
SF3A3	-0.288666666666667
EFCBP2	-0.02425
HCFC1	-0.929333333333333
AHNAK	-1.15605
ACTR5	-0.14225
KIF14	-2.06828571428571
TENC1	0.157
HEATR5B	0.3285
YIPF2	0.905666666666667
MYEOV2	0.763166666666667
DUSP18	1.33125
KIAA1012	-0.92275
AHR	-1.64433333333333
C17orf53	-0.813166666666667
PTPRH	-3.30825
ATP6V1C1	-0.311
TAS2R3	0.4125
LOC440356	-1.0955
COQ10B	0.71325
PSMF1	0.451833333333333
SORBS2	2.16333333333333
NFE2L2	-0.712
TMCO7	-0.0225
SH3PXD2A	-0.541
SH2D2A	-0.51
SPINK5	-1.73775
MRPS24	0.5125
OPA3	0.190125
TRAF7	0.245833333333333
C4orf35	0.448333333333333
MT1G	0.295125
MGC39545	0.28975
HS1BP3	0.8625
OR2B2	0.6525
CHRM4	0.4355
SFRP2	3.1155
RIC3	-1.58925
ART1	0.331
C6orf1	0.0665
DUS4L	-0.31575
C10orf104	0.115
TNFAIP6	3.091
RTEL1	0.2635
CCT4	-0.1212
ZNF709	-0.45175
CHMP6	-0.412
UPP2	0.518
CYP19A1	-2.644625
CD151	0.186
NDUFA13	0.665666666666667
ARFRP1	0.418166666666667
FAM26B	1.39275
CRYBA1	-1.9635
MRPL41	1.11233333333333
NPFFR2	-1.81975
HRH2	0.3875
SCAMP3	0.192166666666667
MTMR6	0.704
MTG1	-0.900333333333333
UBTD1	1.31375
CRABP1	0.0885
FLJ33790	-0.331
KIAA1908	-1.01833333333333
GPR158	-1.4195
PACSIN3	0.170833333333333
OMD	3.4855
CATSPER1	-0.00399999999999999
HOXB8	0.055375
FBXO46	0.452
OAS1	2.9045
SVIL	-0.4875
PHB2	-0.35275
ADCY3	0.0215
NDRG2	-0.560166666666667
ERMAP	0.1387
APBA2	-0.335833333333333
IGSF9	2.3635
WNT6	1.18171428571429
MYCBPAP	1.1675
ATP2B2	-0.3655
CPVL	0.2183
TRAM2	-0.5195
NOP5/NOP58	-0.78
ZNRF4	-0.117
TLK1	-0.642875
MTMR12	0.976142857142857
ZNF384	-0.680166666666667
FAM9B	-3.2185
RPN1	0.8556
PMVK	0.69025
EIF3D	0.319
SIX2	2.26875
HPS1	0.969714285714286
RNF7	0.06825
PSKH2	0.848
KCTD13	0.1775
CSMD3	-0.9781
FBF1	-0.9765
IL8	-4.110625
SERPINB13	0.54
FBXL20	3.15525
BLR1	0.751
SH2B1	-0.573833333333333
RFNG	-0.696875
RAB20	0.877333333333333
RBM7	-0.4815
POLR1A	0.5925
TMPRSS4	0.7035
TAF9	-0.250875
TERF2	0.472666666666667
TNFRSF1A	-0.0424166666666667
ACADVL	-0.683666666666667
GTF2H5	-0.77175
EDG8	-0.431333333333333
C9orf140	-1.771875
UST6	-0.0715
ZBTB8OS	-0.22
ZNF710	2.146
GPR174	-1.556
ATP6V0A2	-0.15625
KIAA0319L	-1.035
XKRX	1.5695
DOPEY2	2.7625
SDHD	0.852166666666667
SUMF1	0.45
OSM	2.619
OPN3	0.26125
DAGLB	0.489166666666667
PPFIBP1	-0.1436
TRIM63	-4.1905
C10orf53	-0.4955
LYPD3	1.9555
BCL7A	0.062125
AGER	-1.48333333333333
TCF19	-1.71625
SAT2	0.12725
PFTK1	-0.624
GABRE	-1.844375
C15orf38	2.4964
FIS1	0.5575
KCNV2	-0.18625
CLPS	1.05375
PPCDC	0.8965
FOXN2	-1.01966666666667
NT5E	-2.2489
CD83	1.10325
IL18	0.89575
VPS16	0.55375
IGFBP2	-1.02433333333333
NOTCH2	0.4535
SIGLEC1	3.44575
CD93	5.1815
SULF2	-0.482
CEP164	0.03375
P53AIP1	0.102333333333333
TOR2A	0.108333333333333
ZNF136	-0.4045
MGP	3.2778
CCDC144A	-0.372833333333333
TRPC1	-1.02166666666667
SMS	0.502666666666667
MAPK7	-0.507166666666667
RRAGC	0.9495
PARD6A	1.22016666666667
NUB1	0.524
SYNGR4	0.4595
OR11H12	0.192
WIF1	0.905875
GCH1	1.383
OR11H4	0.376
SLC44A5	-0.139
GPRIN2	2.24016666666667
LOC401431	0.8435
CPA4	-0.5964
MELK	-1.14288888888889
IL15RA	0.97975
CUL3	-0.575125
HMBOX1	-1.435
PODXL	-1.5055
CCT6B	0.596666666666667
COMTD1	1.74
MUC20	-1.29566666666667
GPX2	-3.55975
ITK	-0.85775
FBXL5	0.7695
C13orf27	-0.79625
DEFA5	1.2495
TRHDE	-1.5265
MTP18	-0.0518333333333333
UQCRQ	1.3311
ITGB2	1.60333333333333
CSRP2BP	0.33425
TAS2R44	0.177
PHPT1	-0.24475
FAM44C	0.06325
ERH	-0.028
MPHOSPH1	-1.41833333333333
MORC1	-0.7625
PARVB	0.366
LAMA1	-2.00516666666667
PGBD3	-0.3295
GIMAP6	4.16375
AREG	-3.17666666666667
LIPT1	0.25675
MGC99813	0.362
C1orf201	0.158
GRIN2A	-0.812666666666667
MAN2C1	-1.128125
NSUN5	-0.07525
SF3B5	0.409
MYC	-0.871125
NRXN1	-1.21133333333333
ZNF18	-0.13975
SPDYA	-1.146125
SLC37A1	2.418
DECR2	0.2995
ANKRD38	0.836125
SPTLC3	-3.19358333333333
SUPT16H	0.267
DTWD2	-0.08075
ULBP1	-0.9445
ZADH1	-0.3175
OIP5	-2.83575
IL10RB	0.351833333333333
OTUB2	1.22775
VWA3A	0.104166666666667
SPIC	0.626833333333333
OR6C4	0.2435
PSCD4	1.05466666666667
DPY19L2P2	-3.155
TRAPPC6A	0.6915
C21orf2	-1.00583333333333
CEMP1	-0.7735
LIN7B	1.0115
E2F7	-2.50233333333333
VCP	0.841
LAMA3	1.01191666666667
BGN	1.99775
GPR160	2.24416666666667
COCH	-4.48083333333333
GPR81	0.392333333333333
APOBEC3F	-1.1235
tcag7.1017	-0.91425
C1orf32	0.656
SCGB1D2	5.50275
FLJ43987	0.303
C6orf170	-1.46875
KLK9	0.5725
GPD1L	1.38375
VPS37B	1.314
ATG3	-0.241333333333333
ADAMTS17	-0.303
KLHDC2	-0.3865
NDUFV2	0.3165
BLK	-2.81675
MATN4	-0.804
GPM6A	-0.47675
GBP4	2.45333333333333
TMEM162	0.403
PKP2	-0.1515
HRASLS	3.19144444444444
MMP1	-2.10175
SFXN3	-0.00219999999999999
FSD1	-1.54166666666667
ST6GALNAC3	-2.35783333333333
CA12	0.2091
NCOA6	-0.0355
C19orf58	0.9266
PPP4R1	0.858666666666667
MAN1A2	-0.2955
IKBKAP	-1.14925
UPF1	0.113833333333333
KIAA1219	-0.30725
WNT16	-0.103666666666667
SNW1	-0.196
IL18RAP	2.619
RPP30	-0.325875
CDC40	-0.510428571428571
SETD3	0.705833333333333
SLAMF6	0.29725
ELK4	-0.42
TRIM47	-0.153333333333333
ACOX3	-0.232875
TRIM6	0.374625
KIAA0372	-0.689
TP53AP1	0.843
SMURF2	1.03025
ADAD1	0.6135
EBP	0.5506
KRTAP13-2	-0.058
FLJ36874	-0.179833333333333
TOR1A	0.300166666666667
P2RY4	0.474
GPBP1	0.4835
TRPV1	-0.747
ADAMTS12	1.57266666666667
PES1	-0.1116
ATG4A	1.33533333333333
MAGEA10	-4.50125
WFS1	0.849
CC2D1B	-0.00233333333333334
PABPN1	0.46225
SLC25A30	1.0115
SLCO1C1	-0.0385
SLC22A5	1.491
KIF23	-0.6045
SYN2	-1.28
ASPN	8.35266666666667
CENTG2	-0.91275
QSOX2	-1.3251
FLJ10815	0.248666666666667
STK24	-1.0735625
SPEG	0.1964
STK10	0.616
DACT2	-2.1585
AAAS	-0.4805
SSX3	-1.31175
ABCD3	0.9259
C4orf12	-0.6905
PARVG	1.25033333333333
FIG4	-0.038
C9orf46	0.5575
TMCO6	-0.173
IGHMBP2	-0.5175
DUS2L	-0.344333333333333
FAM3C	-0.1374375
TMEM16D	-2.827125
DCTN4	0.15575
KCNH3	0.08075
EIF2AK2	0.78975
AP1S3	2.018125
CST4	3.2055
PAM	0.545875
NUTF2	-0.25575
CITED2	-0.5875
SLC39A4	0.94675
C2orf52	-1.98
GRM3	-0.11
C12orf49	1.58575
CCDC49	1.182
GRAMD1B	-1.269
FNDC4	0.55125
SIAH2	-0.543625
GDPD4	0.2055
C21orf87	1.626375
ATP5A1	-0.528166666666667
C16orf63	-0.811375
LOC388135	1.82666666666667
ATP5J2	0.240375
MMP3	-1.05525
EMID2	0.23175
CRHR1	0.8075
WDR70	0.4075
C13orf31	2.4835
ZFAND1	-1.73325
CCL18	4.36316666666667
C3orf49	0.3805
RINT1	-0.205
KIAA0408	-1.46916666666667
F13A1	5.0122
SLC10A1	0.279333333333333
OGN	1.402
GIPC2	-1.70416666666667
XPO6	-0.624666666666667
LCE1A	1.1425
FMR1	1.3852
LOC374920	-0.7195
DUSP3	0.561125
ANKMY1	-0.75575
C7orf50	0.606
BBS9	0.0863
UNC119B	-0.658375
C9orf72	0.235375
MGC35440	-0.90125
ENTPD6	0.31375
PPP1R2P9	0.292
ERCC4	-0.0885
FAHD2B	0.6225
HMHA1	-1.376
HACL1	-1.41925
RAD23A	-0.4755
FAM83B	-4.15225
PPP5C	-0.0985
RNASEH2C	-0.357375
C9orf153	-0.838
SCAMP4	0.5965
GHITM	0.809
NDUFB7	0.86225
ADCYAP1	-0.253333333333333
SP110	1.86383333333333
MAP3K7IP2	0.2425
DHH	0.203
AGRN	-0.275071428571429
WDR33	0.253833333333333
CEP290	-1.744
PRPS1L1	-0.258333333333333
KLRA1	-0.638
GPR97	0.226
CHD7	-1.15775
TLR10	0.2835
SLC30A8	0.6475
HIC1	1.1385
IAPP	-0.3055
RXFP4	0.94625
GP1BB	0.00499999999999999
SHQ1	0.735
NKX2-3	0.218
API5	0.08975
FTHP1	1.6395
MOV10L1	0.167333333333333
TRIM6-TRIM34	1.20466666666667
ADHFE1	0.46575
FAM117A	-0.597
DDI1	0.485
CDON	-1.34733333333333
TRIM73	-3.0025
IGKC	4.542
MMP14	0.210916666666667
DYNC1LI1	-0.01775
C11orf66	-0.09325
TRBV3-1	-1.351
FASTKD5	1.147
BIVM	-1.21375
LHX4	-0.197
CXCL2	-2.0442
RAB2B	0.8995
IZUMO1	-0.347
MAP3K15	-1.073
FAM19A2	-0.331333333333333
ZC3H8	0.148666666666667
ZMAT1	-1.40225
SPINK5L3	-3.526
SLC10A6	0.2275
APPL2	-0.235
CARD10	-1.213
LOC402176	-1.61375
EEF1D	-0.6049
RAB6A	1.3122
C12orf5	0.71
PAPOLG	-0.00275
MSRB2	1.52075
BCR	0.695555555555555
PUS3	0.4685
TIAM2	0.82425
ZNF317	0.0148333333333333
CHD2	-0.287214285714286
FZD5	-2.18895454545455
NUDT8	-0.86325
ZNF763	-0.2055
PRC1	-1.65488888888889
ABCB9	2.44633333333333
SPATA3	0.44825
TRAK2	1.2255
STAB1	2.716375
LRRTM2	-0.278666666666667
psiTPTE22	-0.16875
DBI	1.9325
SERPINA11	-3.1145
NAT5	0.7705
C20orf58	-2.0265
RPS6KA4	1.72583333333333
FLJ90650	-0.304
TGFBRAP1	0.365
CHRDL2	-0.56775
FAHD2A	0.503
CNTN1	1.15575
BBS4	0.5047
TMEM181	-0.604
MINPP1	0.186
MPHOSPH6	0.745916666666667
HOXC10	-0.7177
ITPKB	0.015375
CLPTM1L	0.947375
MEOX2	-0.6075
ATP6V0C	0.80475
PRPF8	-0.343166666666667
TMC5	2.679
FKBP3	0.637
PLEKHB2	-0.209
OR4D6	0.3135
ZNF544	-0.2981
D2HGDH	-0.779125
RPL18A	-0.0376
HEL308	-0.337125
MPP6	-3.8155
TCERG1	-1.3805
KRT16	0.615833333333333
KLF17	-1.91675
KLF5	-0.624125
CDR1	1.89025
VCX3A	-2.249
FBLN2	2.409625
C14orf104	0.0905
HBE1	-4.5842
OR4S2	1.155
C1orf108	-0.595666666666667
ROBO4	3.22833333333333
CPEB4	1.139875
C11orf80	0.685333333333333
BCKDHA	0.385333333333333
MYOC	0.28925
GIF	0.0955
CKMT1A	2.4245
RPL3	-0.1042
THBS1	2.339
APOO	-0.11375
ARMCX1	0.237
HSZFP36	0.476
SNAPC5	0.85275
EIF4ENIF1	1.034
ZNF433	0.368
TNFRSF21	0.246
TMPRSS7	0.7705
SPATA18	0.4843
HPDL	-0.17
MKL2	0.9101
TBX3	-1.19907692307692
C21orf93	-0.240833333333333
DAXX	-0.468
ELMO1	0.553375
RGS13	1.218
TAF11	-0.44425
UNC13A	-2.164125
LOC653314	0.8105
ORC3L	-1.24
IMAA	-3.092
TARBP2	0.2125
CABIN1	-0.3787
TRIOBP	0.454125
HIST1H2AC	-0.2285
RGS22	-3.34
NCOA1	0.963666666666667
IL25	2.6575
SNCG	0.8875
GPR6	0.642
AMDHD1	-1.033
CHEK2	-0.723875
C6orf142	-0.50375
DRD4	0.3285
C14orf68	-0.9185
GDF11	-1.7975
SEMG2	0.5095
CD247	-1.229
CDAN1	-1.0735
RBMX2	0.367
TGS1	-0.2795
OIT3	2.1865
SYF2	0.05425
MCM4	-1.0895
PKHD1L1	0.440375
CEP192	-1.2625
IFT88	-1.0225
RPL9	-1.53478571428571
RAB32	1.099
DDX43	-3.527
P2RX2	0.519333333333333
OR5D18	0.508
UBE1	0.508
SLC24A1	-0.036
ARHGAP5	-1.02175
CETP	-0.474
KIAA1731	-0.950333333333333
SLC9A4	0.5315
PTPN6	1.13475
BAHD1	0.0035
GRIK3	-0.4965
CACNB2	-1.3018
PDE10A	-0.588
DGCR14	0.60225
PCDHB9	-1.5705
RHOQ	-0.0628333333333333
MAP3K4	-0.38575
KTI12	-0.143666666666667
RPL23AP13	-3.29275
GNG11	-1.10925
CLCN3	0.330166666666667
GPAM	-0.318875
VSTM2A	-1.39
SLAMF7	3.518
INTS2	-0.56075
PPP2CA	0.621
LRP12	-0.7956
SEC14L2	0.977777777777778
DKFZP586H2123	1.7905
MC3R	-0.0025
CIRH1A	-0.8195
HIST1H2AB	1.306
POLH	-1.401875
MGC16703	-1.94733333333333
SNAPC2	-0.4225
FILIP1L	1.94575
RASGRP4	0.443
LRRC1	2.034
GAS1	1.95725
PRAC	-1.614
DGKA	-0.788
NT5C3	0.2035
PEG3	-4.51966666666667
NADK	-0.192
PRR17	-0.49275
LOC374569	-0.24825
SGSH	-0.4885
NLRP8	-0.349
GALT	0.7403
MCF2	-1.4675
ZNF263	-0.32325
TACSTD1	2.448
TYR	-5.8846
ATP6AP2	0.56325
RNUXA	0.22825
ABHD10	-0.1872
GDPD2	-0.8405
SLC35C1	0.7355
UBE2A	1.394875
HERC5	-0.0711666666666667
FAM112B	-3.9335
FBXL16	-0.07075
DKFZP434A0131	-1.41325
ELA3A	-2.09
RBM41	-0.349125
HAO2	-0.51775
RNH1	-0.053
SHANK2	1.88683333333333
OSBP2	-0.97725
DAK	-0.2145
C3orf58	0.1415
TCL1B	-0.19
KBTBD2	-0.082125
SUGT1L1	-0.19625
UBE2E2	0.236
MYL9	2.774125
CDC23	-0.150833333333333
PBXIP1	1.6559
CXorf40B	2.1645
NBL1	0.7745
RTBDN	0.204
RAB11FIP5	0.51975
TTTY13	-0.3025
SCOTIN	0.471833333333333
SOHLH1	-0.810166666666667
CDKN1A	-0.0827142857142857
NCK1	-0.05075
ZNF550	-0.59925
SAPS3	0.879166666666667
SPIN3	0.0383333333333333
MAGEE2	-0.64425
MIS12	-0.643
OR8H2	0.8345
KIAA0774	-1.636
UNC5D	-2.512
CUL7	-0.626
LIPC	-0.729
DIO1	4.642
C20orf11	0.7621
CTRL	-0.65025
HS3ST2	4.3985
PAK4	0.4535
CCRL1	4.6025
RNF10	0.318625
ZNF567	0.441
ZNF660	-2.199
TCEAL3	1.48025
MAGOH	1.78983333333333
CENPB	-0.00349999999999999
C19orf7	0.53575
LOC388965	0.9125
ZCCHC13	0.192
JMJD1A	-0.5734
HIST1H4H	2.693
TBRG1	-0.6592
GPC3	-5.068875
TAF1C	-0.918125
EBNA1BP2	-0.104666666666667
CIAPIN1	-0.01575
PDGFRA	-0.00316666666666668
CSTB	0.881
CENPI	-0.522333333333333
GTF2E2	-0.407333333333333
RPP21	0.15275
CCNF	-0.979333333333333
KCNQ3	0.9175
FAM79A	0.679
SLC22A12	0.5165
NOVA1	-1.49816666666667
FZD3	-0.4045
AKAP8	-0.5015
SOCS5	-0.491875
CFDP1	-0.174
DLG5	0.83725
PGM5	-0.0325833333333333
C1orf144	0.136666666666667
HDAC10	-1.57
RND2	-0.391
C20orf199	-2.77325
RNMT	-0.570375
SLURP1	1.8215
ASTN1	-0.9545
SH3BGR	1.78725
MYCL1	0.8385
ZHX1	-0.466833333333333
CENPK	-2.2565
FOSB	-0.0902
LOC643406	1.618625
C2orf59	-0.75175
TMEM135	0.5
SLC27A2	-4.2425
KRT33A	1.532
OVOL1	1.8
PAMCI	-3.90883333333333
S100A7	-0.1995
ZNF789	-2.096
HARS2	0.28625
RPL23A	-1.00233333333333
TCF23	-0.00674999999999999
UPF3B	-1.086375
C17orf78	0.3295
HLA-DOB	0.6525
C14orf142	0.624333333333333
TEKT5	1.05616666666667
DMWD	0.3585
POLD1	-2.19883333333333
GSCL	0.135
CALD1	0.6307
SCRT1	-0.031
AIG1	0.21475
UNC84B	-0.89825
ZNF404	-0.13975
TMED6	-3.3975
KIAA1462	0.4715
LRRC27	1.30133333333333
PYGO1	-0.274
PIGU	0.125166666666667
ALAS2	-3.78433333333333
WRNIP1	0.018375
CNNM3	0.191
ZNF2	0.98725
ST3GAL5	0.655416666666667
MRPL23	-0.227
TSSK6	-0.053
PSMA6	0.07175
C16orf70	-0.286
KIAA1602	0.31125
ALMS1	-0.609833333333333
DCN	3.508
TMEM132D	-0.762
SUCLG2	0.48775
ABHD14A	0.63225
DEXI	0.4675
AMPD2	-1.24533333333333
IFNAR2	-0.921
CYB5A	2.7116
TLOC1	0.2808
NXF5	-0.773833333333333
NRBF2	0.866625
KCTD3	0.48675
ITGAE	-0.106666666666667
SLC30A3	-0.1175
ZRF1	-1.0645
IFRD2	-0.421
XAB1	0.41125
PYCR2	-0.595666666666667
SERPINB3	-3.6755
TMLHE	1.4952
GEFT	-1.46525
ABCA5	-3.374
EMR4	0.212333333333333
TSFM	-0.062
HIST3H2BB	1.09825
ARHGEF19	0.7555
TSPAN17	0.689166666666667
ABCC8	1.45525
MAP1S	0.830333333333333
C22orf36	0.978
BNC2	-0.336428571428571
HIST1H4A	-0.9045
NDUFS3	0.5355
WDR3	-0.434333333333333
XKR4	-0.85125
TTC33	0.700214285714286
STMN2	3.94675
CPN2	-1.18733333333333
HSPC105	1.737125
PCOLCE2	-5.1155
C3orf55	3.392
KLHDC9	1.63983333333333
TBC1D23	-0.1055
ATXN2L	-0.904666666666667
MAP2K3	0.184
SCAP	-0.0035
ZNF486	-0.2455
C20orf96	-1.41225
NARS	-1.1555
ADAMTSL1	-0.915428571428571
PRCC	0.163166666666667
CCDC126	1.72008333333333
ZNF675	-0.98675
CALCOCO1	0.0285
ANKRD43	0.41775
CWF19L2	0.1365
ZBTB32	1.94016666666667
BRAF	-0.8225
ODF4	0.5805
MGC14376	0.619666666666667
HORMAD1	-1.162
AAK1	0.2355
PEBP1	1.01683333333333
TNFSF5IP1	-0.775833333333333
DKFZp564N2472	0.54675
RMND1	-0.41425
IGKV1-5	4.18975
COL1A2	3.56908333333333
SERPINA5	-3.530625
AANAT	0.892
C19orf21	-1.35
GEMIN5	-0.66025
UBR4	-0.279666666666667
LTBP3	0.433
AMHR2	-1.61933333333333
PROCR	-1.232
MYBBP1A	-1.32375
C20orf39	1.6095
ZNF697	0.2845
PASK	-0.9643
ZNF776	-0.442333333333333
RFXDC2	-0.4085
KIAA0467	-0.021
C10orf96	-3.74025
ZNF503	-0.41975
GULP1	-0.769333333333333
KCNE4	-2.12033333333333
DKFZp434K191	-0.944
LOC196913	-0.1795
BHLHB4	-0.107
CH25H	-0.402
LOC81691	-1.24633333333333
ALPL	0.150714285714286
COL12A1	3.0125
FOLR3	-2.04366666666667
GPR123	0.819875
TRIM62	0.547
ABLIM1	2.0205
MAST3	-0.9235
RHBDD1	-0.131666666666667
LOC338809	-1.1115
RYBP	-0.5095
TTC26	0.746625
ZNF22	-0.0795
ISCA2	0.37725
RDM1	-2.05425
PIGM	1.7545
GNB3	-0.8845
ACTR2	0.1255
HMGB1	-0.08565
EDG1	2.46183333333333
SOAT2	-3.36875
OR10AD1	0.0235
RAP1GDS1	0.00608333333333332
LCE1F	0.427
ESM1	0.228625
RCN3	2.22425
CREBL1	-0.63425
DBNL	-0.146166666666667
PTGER3	1.749375
USP30	1.071
BCL2L12	-0.0506666666666666
KIF26B	2.28275
ZNF416	0.281
ZNF225	-0.3875
C17orf70	-0.464
