Hybridization REF	TCGA-A2-A0ET-01A-31R-A034-07
FADD	-0.6792
FOXA1	3.434875
CACNA1A	-0.104333333333333
ABI1	0.419333333333333
GRIN2D	0.05475
SLC1A4	0.292666666666667
LOC401127	-0.3485
HINT2	0.32375
PLD4	0.844166666666667
ZNF286A	-0.7215
ENY2	-0.1075
IL1F6	0.059
PXDNL	2.46825
C20orf79	-0.47375
TNFSF13B	2.6405
DENND3	-0.1325
JARID1D	-2.686
HIST1H2AK	1.304625
LOC93349	-0.814111111111111
SSH1	-0.4429
ENSA	0.829
LOC219854	0.468166666666667
CKAP2	-0.1692
DKFZP564J102	0.129333333333333
MGC87315	-0.193833333333333
HNRPAB	-0.21325
AMH	-0.3505
ZNF526	0.7425
BRUNOL5	-0.2373
CACNG3	0.22
TRPM1	-1.567
PPP2R1A	0.09825
COL2A1	3.86175
DDN	-0.0431666666666667
FLJ25770	0.30375
HK2	-1.28128571428571
ELOVL6	0.161
MDK	-0.9215
EPHX1	-0.25475
RASSF2	0.156125
DKFZP434B0335	0.02175
DLX3	-0.420857142857143
PRTN3	-1.043
AVPR1A	0.14775
C21orf125	-1.82125
TNFAIP8	-1.553
GNB2L1	-0.10475
CALCRL	2.297
SCGB2A2	1.2838
UBXD7	0.4525
ZNF674	0.3915
TMEM35	-0.550375
BRSK2	-0.926
HECTD3	-0.488833333333333
TMEM188	0.429333333333333
LGALS9	2.045
SCARB2	0.0236666666666665
USP34	-0.344416666666667
C17orf28	1.53191666666667
ZDHHC23	-0.3535
AQP12B	-0.235
SLC16A3	-3.276625
APLP2	-0.86425
ITIH2	-4.94675
MICAL3	-1.369375
TNNI3K	2.5797
HDAC2	-0.291
PRR7	-0.354
THBS2	-2.704
LOC751071	-0.699166666666667
CA2	0.249666666666667
RANBP17	-2.326
RLN3	0.0675
CRYZ	-0.1245
GBAS	-0.380666666666667
TAS1R1	-0.472
MPZL3	-0.485
PCDH8	3.44425
HSP90B1	-0.0720833333333333
KCNK15	0.2575
TNIP2	0.006
GPR146	-0.73175
NOL6	-0.373875
SPC25	-2.85755555555556
STEAP2	2.16421428571429
VAMP3	-0.5565
TCIRG1	-0.14575
ZP4	0.2428
PARL	0.053375
TRIM39	0.4825
KIAA1305	-0.121
CRNN	0.563333333333333
GRN	0.39375
HSH2D	0.83925
SCAMP1	1.795125
KIAA1913	-0.73125
PTS	-0.12525
BANP	0.292142857142857
PRKACG	0.3335
ADCY6	0.626333333333333
C16orf46	0.9585
CYP51A1	-0.30875
DDC	-4.77166666666667
ANPEP	-2.01533333333333
PROM1	-2.71083333333333
SIGLEC10	1.71825
COPG	0.705
FAM26E	0.058625
TRIP4	0.103
SNX3	-0.237666666666667
C1orf175	0.158833333333333
PPY2	-1.8585
C14orf152	0.175
FTSJ1	-0.847333333333333
DST	-0.01835
LOC554235	0.011
GLRX5	0.10825
C20orf12	2.0769
CAB39	-0.0565
MSH2	-1.82266666666667
PIP4K2C	1.320625
CYLD	1.64375
WTAP	0.1961875
MGAT4A	1.80566666666667
TSC22D4	-0.3062
CHRM2	-1.825
PPYR1	-0.0268333333333333
CCNH	-0.0956666666666667
RRM1	-0.812
ECAT8	-4.36675
LOC400120	2.76375
GABRA4	0.4235
C14orf4	1.055
C1orf59	-1.77825
CTDSPL	0.450583333333333
NHEDC2	0.311
PDE11A	-1.0841875
KLHL29	-2.4235
CD5	-0.3527
TSPAN9	-0.24675
WDR67	-0.509
THUMPD1	0.3256
C18orf17	1.49575
CLYBL	-0.262
FLJ13231	0.961875
CMBL	0.119875
LECT2	-0.4705
NKAPL	0.968833333333333
LOC654780	0.7565
OR4C6	0.1475
RAB30	1.089
TSSK4	-0.025
TMEM163	-0.4565
OSBPL11	0.712333333333333
GNB5	-0.698833333333333
CCL21	0.3275
C1orf121	-0.512833333333333
FMO2	0.896666666666667
RPTN	-0.328
MSTN	1.553
VCL	-0.771785714285714
FYTTD1	-0.347
C11orf1	-0.00625
CCDC88C	-0.0150000000000001
HFE	0.4325
MOGAT1	-0.376
FAM125B	0.415
IRGQ	-1.25
RAVER2	0.81425
AKAP5	-0.0525
SSSCA1	-0.80975
C11orf63	-0.8345
ACTG2	-1.3943
PORCN	-0.249
DTL	-1.10345454545455
TMEM151	0.256
FAM122C	0.31375
RSAD2	3.0437
BAT4	0.9665
KRTDAP	-1.73183333333333
MYH8	-0.00187500000000001
CRTC3	-0.215
LRRFIP2	1.0349
INTS4	-0.6215
TTN	-0.8665
SLC26A5	-0.33
PLLP	-0.60075
RGS6	-0.3455
SRGAP3	0.611625
ZNF525	0.153
NBR2	0.8556
C13orf1	1.4959
ZNF137	0.4655
CEP27	-2.042
BEST2	0.152
RNF121	-0.90775
DMRTC2	-0.577
C8orf76	-0.2875
BCCIP	0.01575
MEST	-0.67875
HTRA2	-0.6225
ANGPTL2	-0.848
ILKAP	0.1395
ERAS	-0.644
HBS1L	-0.409
CPA5	-0.6135
TMEM30A	0.340333333333333
CD300LF	0.951166666666667
WISP3	0.276
CRK	0.497071428571429
PDS5A	0.248
BRPF3	0.420833333333333
NEDD9	-1.785875
SMPDL3B	0.24125
PSG6	0.20425
PSMD13	-0.87625
ETV5	-1.84675
OR51A4	-0.017
BTBD7	0.627
GSTO1	0.047875
hCG_16001	1.42
MAD2L1BP	0.705166666666667
COX6A2	0.0935
SCNN1A	0.634833333333333
LSM1	-0.110833333333333
UGT2B11	-1.9215
IDUA	0.85525
PPP2R3C	-0.867333333333333
COX11	-0.403666666666667
PDZK1	-2.851
ZNF443	0.864
MGC21874	0.89
ZNF323	1.0637
KRTAP10-10	0.379
CXCL6	-0.112
SLC34A2	0.2767
LOC284402	-0.001
NPTN	1.50733333333333
UPP1	-1.7815
SLC6A9	-0.379
OR7G3	0.11625
CISD1	-0.140666666666667
ZNF545	0.6965
SYT14	-0.778
NT5C3L	0.0166666666666667
ZNHIT3	0.7185
SNRPD3	-0.4655
KIAA0701	0.372625
UNC93B1	-0.970666666666667
GMNN	-1.673125
SPCS2	0.0135
LOC388524	0.5245
NAPRT1	-0.93125
PNLIPRP1	0.189
OR6V1	0.183
PRKAB1	-0.14825
EYA4	-1.87566666666667
KIF20A	-2.755
ALG10	0.27475
ITPKC	0.5165
LMX1B	1.11033333333333
RPUSD4	-0.6825
C7orf34	0.1368
DLGAP2	-0.2955
PFN1	-0.2501
MICALL2	-0.818
ZNF654	0.1935
SS18L1	-0.045
SLC16A8	0.26175
MKI67IP	0.148333333333333
ITGB3	-1.33475
TCEA3	2.84808333333333
CEP152	-1.6848125
CLIP1	1.102375
ZNF75	0.696125
ATP5C1	-0.5365
NUDT5	-0.462166666666667
PSCDBP	0.75625
UBP1	0.2445
RBM27	0.6735
C13orf15	1.650875
ZNF282	-0.523833333333333
ZNF222	0.9602
COL10A1	3.1915
PRDM15	-0.79575
TTTY5	-0.2805
FAM9C	-0.943833333333333
C20orf67	-0.10975
GNG13	1.7485
F12	-1.21075
C1orf41	-0.20675
CPXCR1	0.669
GSK3A	0.650875
SUPT6H	0.2645
PI16	1.47533333333333
ELL2	1.20525
C9orf167	-2.078
PVRL3	-2.7363
FLJ38596	0.66775
ADAM20	-0.25925
GPR89A	1.53
GPR87	-1.747
ZNF30	2.273
SMR3B	-0.0686666666666667
ZNF770	0.29975
TRPC4AP	-0.239
DKFZP686E2158	1.06533333333333
C2orf28	-0.336833333333333
FREM1	-1.65233333333333
LAMA4	-0.5495
ADPRHL2	-0.44875
EIF4G2	-0.429666666666667
GUCA1A	-0.503
CTNNA2	-0.32075
NUDT15	-1.25983333333333
CEPT1	0.229666666666667
ZNFX1	1.2612
CCDC92	0.99275
TDRD1	-0.712
KCNK5	-2.44116666666667
ETNK1	1.159
LTA	-0.021
TTPA	0.2594
B3GALNT2	0.014125
SC65	0.0595
PEX5L	2.13175
EPS15L1	0.112
MGEA5	0.70025
HIST1H3A	1.011
ING1	1.413875
BCAT1	-3.228375
ORC6L	-2.62090909090909
KLK11	0.894666666666667
C19orf28	-1.71925
DNER	-4.13242857142857
MED22	-0.905785714285715
ETV6	0.862916666666667
CHAC2	-3.406
CD300E	0.1705
CEBPB	0.160583333333333
ZNF398	0.225
LRCH3	-0.01
HMGA1	-1.812
CAPN7	0.836333333333333
MGC5566	-2.827
CCL3	3.246625
NANOS1	0.60525
ZFYVE19	0.41875
APITD1	0.316
PARD3	-1.025875
IRAK4	0.0988333333333333
SERPINI2	1.7445
CEP170L	0.012
TTC9	1.45075
MYOM3	-1.88975
MLPH	1.947125
LOC222699	-0.0625
NRG1	-1.70754545454545
TBC1D9	4.60045454545455
TTK	-2.58016666666667
ZNF557	0.5812
DDX41	-0.429833333333333
FANK1	3.0395
UBE2D2	0.488875
PSMB10	1.498125
MYH7B	-0.4925
GABARAPL2	1.349375
MARVELD2	2.55533333333333
DGCR2	0.18
UNC45A	-0.105666666666667
C6orf72	-0.4135
ZNF683	4.43825
GIT2	0.47275
CASK	1.4575
C14orf161	0.353666666666667
LRRC44	0.348
TIFA	-0.1545
UTP11L	-1.078375
C6orf65	-1.42775
FDPS	-0.0895
DUSP9	-1.9102
SLC17A8	3.365
OR51G1	0.407666666666667
NANS	-0.23725
OLFML1	0.93625
ATP10B	-1.101875
NPAS3	1.284
PRKCA	-2.1776
GGA2	0.3624375
LCE4A	-0.2645
SPANXN3	0.0886666666666667
CCDC115	1.364125
SDCCAG3	-1.03625
GLIPR1L1	0.047
TTC1	0.30125
C17orf76	2.85375
MAD2L2	-2.462
HIPK1	0.2907
LRRC3B	-0.0116
CLN3	-0.209363636363636
C17orf47	-0.057
FMN2	-1.74728571428571
TUBB1	-1.698625
WAPAL	0.502833333333333
C3orf21	-0.87725
SCN5A	-0.4891
SMYD1	0.806333333333333
BEX5	-0.91825
ZNF192	0.437
SEC22A	0.140666666666667
GRIA2	6.42792857142857
KIAA0825	-0.20075
NUSAP1	-1.80136363636364
LANCL1	0.54775
C15orf40	-0.3974
ZNF645	0.079875
GPR61	0.03925
NLRP14	-0.015
SNX21	0.3744
C1QTNF8	0.2035
C17orf46	-0.16575
IFNA8	-0.0885
SPRR1B	-1.63516666666667
FLRT1	-0.488
SNX17	-0.4945
ASB2	0.132833333333333
HBG1	-5.561
RPRML	-1.77
JOSD2	-0.269666666666667
PLSCR3	0.1915
SPOCD1	-0.891666666666667
RAB39	0.1445
GHRH	-0.102833333333333
ITIH5L	-0.113
C17orf37	1.698
SMCR8	0.632
DPY19L2P3	0.735166666666667
IL11RA	0.579833333333333
GDF3	-3.47266666666667
RPS6KB1	-0.2335
DNAJC19	2.269
TOP1	-0.47725
CRCT1	0.273428571428571
MPST	-0.2215
DPM2	-0.218
FAM38B	-2.54983333333333
SLC18A1	-2.52033333333333
FARP1	-0.381
PAX7	0.078
TUBD1	-0.53
GNL3	-0.347
BTG2	2.2008
NDUFS6	-0.051
C1orf79	-0.56275
ERAL1	0.08175
ECHS1	0.43375
VPS4A	0.3055
CYP11A1	-1.20225
ABCC6	-2.47242857142857
PBX4	-2.914
MOSC1	-0.90425
NCF4	0.283
HYMAI	0.1325
NAGPA	-0.16225
OTOP2	0.00725000000000001
ACOT12	-0.43175
MTHFD2L	1.15675
LOC441376	5.10325
C19orf34	-0.372
RAB1B	-0.615
ALDOAP2	-0.8595
NTRK1	-2.51383333333333
ARTS-1	0.2873
SLC6A11	0.2275
NAP1L2	-1.764
CNGB1	-0.196
EPB41L4B	-0.1145
FAM134B	3.8805
HS3ST3A1	-2.494
CPXM2	3.27375
SIRPB2	0.1075
CHORDC1	-0.924166666666667
TRIB3	-1.5225
SLC2A5	0.51
C2orf49	-1.31183333333333
DDX5	0.69975
OR5L1	0.5045
ANAPC4	0.595833333333333
ZSWIM1	1.088875
LOC93622	0.784125
KCNK3	1.7128
RP11-35N6.1	-1.95185714285714
ZFP161	0.492333333333333
AQP9	-1.065
SLC15A2	-1.15533333333333
MREG	-1.257
OR9I1	0.0365
PDLIM2	-0.555125
ADAM7	0.507
GSTCD	-0.104666666666667
WDR21A	0.656625
SLC12A8	0.728666666666667
TMEM174	-0.02325
IGSF3	-1.34583333333333
LRRN1	-0.9425
LOC402117	-0.022
SRPK1	-0.0293333333333333
LY6K	-2.1088125
NFIA	1.5465
PTCD3	-0.72125
LEP	2.40333333333333
PCDH21	-1.13066666666667
MAPKAPK2	0.942928571428571
NMNAT1	-1.356
LHFPL2	0.001625
C9orf43	-0.86825
DIP2A	-0.897333333333333
ACTR8	0.687875
CCDC34	-0.56125
PTPN22	-0.520125
ITGA3	-1.317
FAM129C	-0.264
RABGGTA	0.356
UNC45B	0.16675
KIAA1033	-0.136125
ZNF510	-0.125
CYP2D6	-0.8195
SLC26A10	-1.9565
STX8	0.92175
LUZP1	-0.627
WDR89	0.0961666666666667
EIF4G3	-0.7984
C5AR1	0.801
ZNF623	-0.1015
A2M	-0.2395
TGM7	0.033
GRPEL1	-0.0585
LMNB2	-1.7074
ROCK2	-1.79983333333333
SNX16	0.29125
CCDC66	0.43925
ANXA3	-3.96175
KIAA1609	0.066625
EED	-0.8305
RNF32	-0.216833333333333
HES1	-0.2753
CLC	-0.083
ISL1	-0.784
KIAA0528	0.79575
MANEA	1.247625
C1orf61	-2.289
hCG_2001000	1.588
RAPGEF6	0.6396
KIAA0020	-0.508833333333333
NEIL1	1.70275
C16orf45	-2.79
RBM10	0.0673333333333333
C10orf125	-2.22975
MRS2L	-0.26475
DNAH17	-0.936
C19orf10	-0.63425
C1orf160	-0.00150000000000002
SLFN12	-0.34025
EXOC3	-0.0891666666666667
HIST3H3	0.71675
NCOR2	-0.1405
TNFRSF9	0.23425
MFSD8	-0.15375
ALX1	-2.8095
NOL1	-0.8865
PODN	1.11375
TIAL1	-0.84825
HIST1H1E	-0.02425
NPY6R	0.28325
TM4SF4	-0.36875
CORO2A	0.21975
ETNK2	0.607833333333333
APOE	0.0599
ANGPT4	0.0505
HDGF2	-0.54575
G30	0.79
ST8SIA4	-0.216714285714286
F2RL1	-0.13825
FAM19A4	-2.1575
CCAR1	-0.8675
B3GNT7	-0.354
OPHN1	0.3072
DSCR6	2.8845
C21orf13	1.76283333333333
GAS2L1	0.201666666666667
RFX3	-0.454
COPS4	0.921125
BCHE	-0.258333333333333
BCL2	3.4545
HBZ	-3.12433333333333
ARL13B	-0.536375
MAPBPIP	1.246875
MYO15B	-0.1055
SPZ1	0.0900000000000001
KIAA1324	3.995
PLCL2	-0.42075
C4orf29	-0.10975
WDFY2	-0.416125
ZNF284	-0.3475
NAALADL1	-0.9355
DUSP5	-1.35283333333333
PXDN	-1.569375
SLMO1	0.33275
TNXB	-0.1315
BIRC7	-0.81825
A4GALT	0.369666666666667
TIMM22	-0.04125
FAM110C	1.40675
TOMM34	0.040375
ABHD9	-0.288
ADAM32	-0.2075
CRHBP	-0.055
AQP2	0.211625
LOC130355	1.11675
ZNF187	1.3565
ZNF816A	0.8995
F7	2.3505
CNOT1	0.1046
SLC13A4	3.3855
ZBTB11	0.08
B3GALT5	0.20725
EXOC2	1.13916666666667
IRS1	1.0815
TMEM1	0.178333333333333
MRPL34	0.0045
SAMM50	-1.12925
CDC42EP3	-0.891875
HSF2	-0.3295
MFN2	0.03175
TSPAN7	-2.04583333333333
NUCB1	0.0951666666666667
RHOH	0.33425
ARL16	-0.387
TACR1	-0.817
SFRS5	0.667833333333333
SNX25	0.716
RHBDF1	-0.395833333333333
PCDH18	0.366166666666667
HMG1L1	-0.59325
MYO5C	0.996875
MAPK10	0.0785
LDHAL6A	0.250833333333333
NUDT12	1.93
NCAM1	-0.511875
GLIS2	0.0285
GGTL4	-1.3815
DAPP1	-1.17675
ATF7	0.541375
KIAA0748	-0.44925
NFIL3	-3.4465
TM6SF1	1.0743
SEZ6	0.229125
NANOS3	-0.495166666666667
DNAJA3	0.1945
CLDN6	-2.151
CIITA	2.3384
EPHA4	-1.7525
FANCC	-0.26225
CMTM3	-1.208125
PSG3	-0.3035
MRPL15	-0.57175
C21orf59	0.36025
PLCXD2	-0.013
C2orf34	-0.07125
UBE2L6	0.991875
MED14	-0.286166666666667
HP1BP3	-0.0299
C6orf208	-0.3335
TPBG	2.0415
OSR2	0.12725
XPC	0.0298333333333333
KLHL7	-1.31633333333333
CCR3	0.103333333333333
AGTPBP1	-0.27
PCSK6	-0.104533333333333
STAT5A	-1.0256
FAM18B	1.551
LONRF2	2.70933333333333
PTPN2	-0.0605
SF3A3	-1.43933333333333
EFCBP2	-0.5205
HCFC1	-0.319833333333333
AHNAK	-0.216
ACTR5	-0.422
KIF14	-2.35971428571429
TENC1	0.811
HEATR5B	0.848
YIPF2	0.1905
MYEOV2	0.1566
DUSP18	1.1045
KIAA1012	0.7445
AHR	-0.892666666666667
C17orf53	-1.447
PTPRH	-3.85875
ATP6V1C1	0.6565
TAS2R3	0.4285
LOC440356	-1.20425
COQ10B	0.52925
PSMF1	0.839666666666667
SORBS2	1.16675
NFE2L2	-0.42925
TMCO7	0.1435
SH3PXD2A	-1.4193
SH2D2A	-1.11425
SPINK5	-2.6905
MRPS24	-0.41625
OPA3	0.346625
TRAF7	-0.910166666666667
C4orf35	0.215666666666667
MT1G	-0.74975
MGC39545	0.275
HS1BP3	-0.159
OR2B2	0.369
CHRM4	-0.1835
SFRP2	-0.298333333333333
RIC3	-0.315
ART1	-0.8655
C6orf1	1.57175
DUS4L	-0.524
C10orf104	1.33425
TNFAIP6	0.212
RTEL1	-1.055
CCT4	-0.5858
ZNF709	0.78
CHMP6	0.0901666666666667
UPP2	0.1615
CYP19A1	-2.001125
CD151	-1.9965
NDUFA13	0.828333333333333
ARFRP1	-1.23416666666667
FAM26B	0.91375
CRYBA1	-1.208
MRPL41	0.0633333333333333
NPFFR2	1.212125
HRH2	0.187
SCAMP3	0.569333333333333
MTMR6	1.4768
MTG1	-0.9625
UBTD1	0.7945
CRABP1	-2.745
FLJ33790	-0.0603
KIAA1908	-1.45983333333333
GPR158	-2.6195
PACSIN3	-1.3185
OMD	2.14683333333333
CATSPER1	-0.283833333333333
HOXB8	-0.59925
FBXO46	0.9785
OAS1	1.71016666666667
SVIL	-0.11325
PHB2	-0.628
ADCY3	-0.842
NDRG2	0.19
ERMAP	-0.2045
APBA2	-2.067
IGSF9	0.742
WNT6	-0.758357142857143
MYCBPAP	1.4915
ATP2B2	-0.0394
CPVL	-0.9624
TRAM2	-1.06645454545455
NOP5/NOP58	-0.62525
ZNRF4	0.01325
TLK1	0.23475
MTMR12	0.0304285714285714
ZNF384	-0.308333333333333
FAM9B	-1.61275
RPN1	0.1816
PMVK	0.72575
EIF3D	-0.2308
SIX2	0.50125
HPS1	-0.369857142857143
RNF7	0.236
PSKH2	0.1415
KCTD13	0.185833333333333
CSMD3	-0.218555555555556
FBF1	-0.7745
IL8	-5.119875
SERPINB13	0.195333333333333
FBXL20	0.00700000000000001
BLR1	0.27875
SH2B1	-0.128
RFNG	-0.000375000000000004
RAB20	-1.35466666666667
RBM7	-0.454
POLR1A	-0.510333333333333
TMPRSS4	-3.00375
TAF9	-0.163375
TERF2	0.418833333333333
TNFRSF1A	-0.390666666666667
ACADVL	-0.230166666666667
GTF2H5	-0.0995
EDG8	-0.993
C9orf140	-2.086625
UST6	0.205
ZBTB8OS	-0.717
ZNF710	-0.289
GPR174	-0.6805
ATP6V0A2	-0.88425
KIAA0319L	-0.02675
XKRX	-1.064
DOPEY2	-0.3787
SDHD	-0.524916666666667
SUMF1	1.01025
OSM	2.7005
OPN3	-3.672
DAGLB	-0.850166666666667
PPFIBP1	0.5742
TRIM63	-3.22
C10orf53	0.572
LYPD3	-1.6425
BCL7A	0.132
AGER	-1.04016666666667
TCF19	-0.95525
SAT2	1.03725
PFTK1	-0.6055
GABRE	-3.22175
C15orf38	-0.5633
FIS1	-0.1985
KCNV2	0.33775
CLPS	0.152
PPCDC	-0.8895
FOXN2	0.218833333333333
NT5E	-3.6811
CD83	1.23675
IL18	0.185625
VPS16	0.24925
IGFBP2	-1.4385
NOTCH2	-0.72425
SIGLEC1	2.3955
CD93	4.1445
SULF2	-1.883
CEP164	-0.270625
P53AIP1	0.237
TOR2A	0.101166666666667
ZNF136	0.67425
MGP	0.5669
CCDC144A	-0.5775
TRPC1	0.622666666666667
SMS	-0.3465
MAPK7	-0.196833333333333
RRAGC	0.421
PARD6A	2.282
NUB1	0.623833333333333
SYNGR4	-0.0325
OR11H12	0.169
WIF1	0.337428571428571
GCH1	1.3675
OR11H4	-0.518
SLC44A5	0.1825
GPRIN2	-0.7245
LOC401431	0.419
CPA4	-2.7692
MELK	-3.18911111111111
IL15RA	1.03075
CUL3	2.248
HMBOX1	1.48975
PODXL	-2.6005
CCT6B	0.999333333333333
COMTD1	-0.04325
MUC20	0.716833333333333
GPX2	-3.515
ITK	-0.848
FBXL5	2.6755
C13orf27	-1.1275
DEFA5	-0.273
TRHDE	-0.125
MTP18	-1.72366666666667
UQCRQ	1.0176
ITGB2	1.37391666666667
CSRP2BP	0.8835
TAS2R44	0.3975
PHPT1	0.466625
FAM44C	0.1965
ERH	0.29075
MPHOSPH1	-1.564
MORC1	-0.1375
PARVB	-2.29425
LAMA1	-2.35563636363636
PGBD3	0.33525
GIMAP6	3.6805
AREG	-5.01066666666667
LIPT1	-0.07025
MGC99813	-0.46975
C1orf201	-0.105833333333333
GRIN2A	-0.8673
MAN2C1	-0.940125
NSUN5	-0.60475
SF3B5	-0.00199999999999999
MYC	-0.7974375
NRXN1	-0.176909090909091
ZNF18	1.31075
SPDYA	-0.779125
SLC37A1	0.801
DECR2	-0.46325
ANKRD38	-0.9315
SPTLC3	-1.68425
SUPT16H	-0.651375
DTWD2	0.51525
ULBP1	-0.1455
ZADH1	-0.348333333333333
OIP5	-3.118
IL10RB	-0.371833333333333
OTUB2	-0.95925
VWA3A	2.84966666666667
SPIC	-0.152166666666667
OR6C4	0.2485
PSCD4	1.04766666666667
DPY19L2P2	-0.471
TRAPPC6A	0.551166666666667
C21orf2	0.0968333333333333
CEMP1	0.276
LIN7B	0.6975
E2F7	-1.37233333333333
VCP	-0.348875
LAMA3	1.7105
BGN	-0.429
GPR160	0.969833333333333
COCH	-4.45466666666667
GPR81	-0.199166666666667
APOBEC3F	-2.17275
tcag7.1017	-0.29925
C1orf32	0.33
SCGB1D2	0.7545
FLJ43987	-0.574
C6orf170	0.19725
KLK9	-0.0655
GPD1L	0.974625
VPS37B	-0.4855
ATG3	0.0478333333333333
ADAMTS17	0.369
KLHDC2	0.209333333333333
NDUFV2	0.13325
BLK	-2.472
MATN4	-1.742
GPM6A	0.47775
GBP4	2.80016666666667
TMEM162	0.212833333333333
PKP2	-2.1005
HRASLS	-3.20675
MMP1	-4.7315
SFXN3	0.0269
FSD1	-1.62883333333333
ST6GALNAC3	-1.86
CA12	2.8664
NCOA6	0.80075
C19orf58	0.0919
PPP4R1	-0.260333333333333
MAN1A2	-0.0295
IKBKAP	-0.39725
UPF1	0.327333333333333
KIAA1219	1.30175
WNT16	0.506333333333333
SNW1	0.241875
IL18RAP	2.9815
RPP30	-0.713625
CDC40	0.128714285714286
SETD3	-0.290333333333333
SLAMF6	-0.24475
ELK4	-0.543
TRIM47	0.188666666666667
ACOX3	1.2255
TRIM6	-1.3575
KIAA0372	0.684
TP53AP1	1.66425
SMURF2	-0.948
ADAD1	-0.16575
EBP	-0.6619
KRTAP13-2	-0.364
FLJ36874	-1.63183333333333
TOR1A	-0.167833333333333
P2RY4	0.2455
GPBP1	0.802
TRPV1	0.459625
ADAMTS12	-0.873
PES1	-0.9732
ATG4A	0.945333333333333
MAGEA10	-3.96625
WFS1	-0.62
CC2D1B	-0.509666666666667
PABPN1	-0.3135
SLC25A30	1.1065
SLCO1C1	-0.218333333333333
SLC22A5	1.80525
KIF23	-2.599
SYN2	-0.610666666666667
ASPN	5.514
CENTG2	0.05325
QSOX2	-1.0126
FLJ10815	0.270666666666667
STK24	0.176875
SPEG	-0.7075
STK10	-0.0686666666666667
DACT2	-0.3955
AAAS	-0.40275
SSX3	-1.103
ABCD3	0.2557
C4orf12	0.422125
PARVG	0.462833333333333
FIG4	0.2325
C9orf46	2.01225
TMCO6	0.3385
IGHMBP2	-1.325
DUS2L	-0.617166666666667
FAM3C	0.0159375
TMEM16D	-1.751625
DCTN4	1.0095
KCNH3	-0.7295
EIF2AK2	0.264
AP1S3	-0.51625
CST4	0.8435
PAM	0.4284375
NUTF2	-0.2085
CITED2	1.0604
SLC39A4	-1.45575
C2orf52	-0.8495
GRM3	0.272
C12orf49	0.949
CCDC49	0.1719
GRAMD1B	-1.452875
FNDC4	-1.076
SIAH2	1.921125
GDPD4	0.269
C21orf87	0.7915
ATP5A1	0.5905
C16orf63	-0.449
LOC388135	2.167
ATP5J2	-0.607875
MMP3	-3.6315
EMID2	-0.545333333333333
CRHR1	-0.05525
WDR70	0.1245
C13orf31	2.079
ZFAND1	0.5085
CCL18	3.596
C3orf49	-0.833
RINT1	-2.0505
KIAA0408	-1.4705
F13A1	3.5421
SLC10A1	-0.0473333333333333
OGN	0.83025
GIPC2	-1.27166666666667
XPO6	-0.4665
LCE1A	-0.0395
FMR1	1.5197
LOC374920	0.41225
DUSP3	0.379375
ANKMY1	-0.0505
C7orf50	-0.79975
BBS9	-0.5298
UNC119B	0.61875
C9orf72	0.701625
MGC35440	0.18625
ENTPD6	0.626
PPP1R2P9	0.7945
ERCC4	0.30075
FAHD2B	-0.317
HMHA1	0.7975
HACL1	-0.299
RAD23A	-0.5015
FAM83B	-1.364
PPP5C	-0.994333333333333
RNASEH2C	0.352875
C9orf153	-0.42475
SCAMP4	0.140375
GHITM	0.9708
NDUFB7	0.10075
ADCYAP1	0.157166666666667
SP110	1.27033333333333
MAP3K7IP2	0.0975
DHH	-0.292
AGRN	-1.14707142857143
WDR33	-0.0138333333333333
CEP290	0.817333333333333
PRPS1L1	-0.633666666666667
KLRA1	-0.0055
GPR97	0.375
CHD7	-2.78533333333333
TLR10	1.215
SLC30A8	0.2795
HIC1	-0.0645
IAPP	0.267
RXFP4	0.27725
GP1BB	-0.04425
SHQ1	0.435
NKX2-3	-0.00533333333333337
API5	-0.61925
FTHP1	-0.2035
MOV10L1	1.0415
TRIM6-TRIM34	1.7125
ADHFE1	1.17425
FAM117A	-0.95575
DDI1	-0.649166666666667
CDON	1.1145
TRIM73	-1.349
IGKC	2.419
MMP14	-1.8685
DYNC1LI1	0.60375
C11orf66	-0.8495
TRBV3-1	-0.9195
FASTKD5	1.5845
BIVM	-0.6965
LHX4	-0.299
CXCL2	-1.2117
RAB2B	0.227666666666667
IZUMO1	0.15575
MAP3K15	-1.781375
FAM19A2	0.595333333333333
ZC3H8	-0.0335
ZMAT1	2.03325
SPINK5L3	-2.43966666666667
SLC10A6	0.0515
APPL2	0.2925
CARD10	-0.0565
LOC402176	0.046375
EEF1D	0.2426
RAB6A	0.4643
C12orf5	-0.5585
PAPOLG	0.56775
MSRB2	0.74325
BCR	-0.439
PUS3	-0.28
TIAM2	-1.31275
ZNF317	0.2305
CHD2	-0.171571428571429
FZD5	-1.832
NUDT8	-2.81675
ZNF763	0.901
PRC1	-1.70733333333333
ABCB9	1.45433333333333
SPATA3	0.16425
TRAK2	0.57075
STAB1	2.520125
LRRTM2	-0.259666666666667
psiTPTE22	-0.02975
DBI	1.33525
SERPINA11	-1.99075
NAT5	1.54475
C20orf58	-1.9985
RPS6KA4	-0.721833333333333
FLJ90650	-0.81875
TGFBRAP1	-0.50125
CHRDL2	-0.61425
FAHD2A	-0.5195
CNTN1	0.2305
BBS4	0.3316
TMEM181	1.748
MINPP1	0.66525
MPHOSPH6	1.36425
HOXC10	-1.4637
ITPKB	-0.274875
CLPTM1L	0.311625
MEOX2	-0.874166666666667
ATP6V0C	0.679125
PRPF8	0.3905
TMC5	3.283
