Hybridization REF	TCGA-A8-A09I-01A-22R-A034-07
LAMC2	0.959
SLC2A7	-0.715
CPOX	-1.81675
APH1B	1.68883333333333
LOC442245	-1.61925
CTNND1	0.207277777777778
GABRG2	0.721875
MADCAM1	-0.562166666666667
F5	-3.005125
SEMA4F	-0.0253333333333333
NUDCD3	0.745125
PDZD11	0.8835
TRIML1	-0.59
GCNT3	-0.238333333333333
TMEM120A	0.81875
CNDP1	2.4545
N4BP1	0.923125
SLC35F2	-1.371625
LCP1	-0.0199166666666667
IGBP1	-0.6022
DCAKD	-1.101
ELA2A	-1.2025
C12orf56	-2.7235
PITRM1	0.211571428571429
GUK1	1.23666666666667
RASSF8	0.02625
OR2A14	0.44125
ADM	-2.21333333333333
FGD3	1.07483333333333
GHRHR	0.441833333333333
RHPN2	-0.073
C4orf39	-1.352
VPS72	0.52775
SERF2	1.71116666666667
CD22	1.7805
CD47	-0.45
PPIC	0.854666666666667
IMPDH1	0.48875
ACP6	-0.334833333333333
PRKACA	0.022125
PPP1R1A	0.03275
TRPV3	-0.24875
ASXL1	-0.733875
C17orf55	0.600833333333333
FXYD1	-1.40483333333333
LMOD2	-0.214
ANKRD33	0.433
LCE2C	0.03075
ZNF620	0.9425
DKFZP566E164	-0.328
VSIG2	-0.14075
KIAA1128	0.4165
USO1	0.0643333333333333
NUDT4	0.898928571428572
CLDN1	-1.54842857142857
OR4Q3	0.4565
FASTK	-0.034
ICOS	2.98466666666667
LDB1	0.85175
GSTA5	-0.0525
ABCC1	-1.9455
FAM54A	-0.95925
PCBP2	-0.0808333333333333
NUP205	-1.5595
ACTA1	-1.52666666666667
GABBR2	-1.777
PIP5K1B	1.18233333333333
AGXT	-2.2285
RNF181	0.33975
ATP8A2	1.77875
AFTPH	1.193375
FGF21	0.60875
FCER1G	2.757625
SNTB1	-1.4715
SLC24A3	0.04325
TXNL4B	-0.5406
RPL10L	-0.473166666666667
LOC389517	-0.6607
TSGA13	-0.073
SHOX2	-0.447833333333333
ITGA7	-1.2219
KCNIP2	-0.733333333333333
KLF13	0.3125
ZFAND2A	-0.733
CEACAM1	-0.091
PFKFB4	-2.2
MED19	-0.204
LRRC57	0.907833333333333
RNF11	-0.84025
ANKRD32	-2.422
P117	0.809
OBFC2A	-0.4605
POLD3	0.391833333333333
RAB18	1.286125
TPH2	0.251166666666667
PHB	-0.1788
JDP2	1.46333333333333
MORF4L1	0.1126
POU2F1	0.08125
CNNM2	-0.7935
LOXHD1	0.077
ZC3H15	-0.299
ELK3	0.219666666666667
FAM111B	0.7295
CBLC	3.8045
SBNO1	0.5285
ANKMY2	-0.59675
PLEKHA5	0.171
DHX58	2.27066666666667
ARCN1	-0.0571666666666667
TREML1	0.8754
KNCN	0.1365
SEC24A	-0.60525
PSCA	-1.364
MGC24125	0.189333333333333
DNA2L	-0.73975
CIB4	0.0554285714285714
HIGD2A	0.143833333333333
TBX6	0.221833333333333
TTLL5	-0.754833333333333
SGK3	-0.6015
GCN1L1	0.14725
AMOT	-0.6509
LDOC1	0.6575
NRK	-0.295833333333333
ASB9	-3.201
NAT1	5.2491
TRAFD1	0.86325
PEAR1	0.670666666666667
FAM36A	0.38375
OR1S2	0.574
LOC388323	-0.4825
PGS1	-0.611333333333333
LEPREL1	-3.78525
TFF1	-0.1795
HAP1	0.72525
EPHB2	0.482
ACTG1	1.008
ZFP42	-1.766
HAVCR2	1.6381
NME1	1.9945
SNX26	0.11925
LACTB	0.852166666666667
ZKSCAN2	-0.437625
C5orf35	0.14025
ANKS3	-0.37525
RBM28	-0.945
DKFZP586P0123	-0.72375
HNRNPA1	-0.277666666666667
BCAS3	-0.892416666666667
FLJ20184	0.709
POLA2	-0.688833333333333
TMC7	-0.9485
HSD17B6	1.8225
ZNF658B	-0.594
TTTY10	0.16
RANBP9	-0.25225
CPNE7	-0.108166666666667
EVL	1.28705882352941
LNX1	0.7505
IFNA21	-0.0935
CFD	1.37625
PYCARD	3.09683333333333
MYBPC2	-1.885
ENPP3	-2.14366666666667
ACSL4	-1.92
LOC440258	-0.0693333333333333
TMEM176B	3.865
SOX2	-5.028625
SCO1	-0.380666666666667
COMT	0.000500000000000002
AOC2	-0.44025
PDLIM5	1.79492857142857
SPHK2	0.4235
NXPH2	0.35
GPR108	0.230833333333333
RAD51L1	-0.848333333333333
TMEM54	1.14725
LETMD1	-0.854777777777778
SLC6A17	0.47025
KRT75	0.551
STT3B	0.0446666666666667
CD3EAP	0.223
TMEM63A	0.998
DUSP13	-1.83425
CD1C	-1.9245
LASS2	1.40616666666667
AVP	1.117
PITPNM1	-0.012875
FLJ22795	-0.6935
MCTP1	-2.09025
TRIM68	-0.163166666666667
UCK2	0.330166666666667
ABHD1	1.6195
FAM50A	0.64775
RNASEH1	-0.543166666666667
PCP2	-0.1905
OR52H1	0.787
C20orf149	0.79825
RBP5	-1.18383333333333
HYAL3	-0.5885
CLPB	-0.76575
SMNDC1	-0.37575
DONSON	-1.482
FLJ27523	0.55525
BARHL2	0.1402
SLC30A9	-0.0905
TMPRSS11B	0.312
E2F8	1.21633333333333
CCDC25	-0.78375
C14orf48	-0.282
C20orf116	1.3615
TSPAN11	0.3665
YIF1B	-0.474666666666667
FAM12B	1.1125
OR1L6	0.534
HPN	0.7193
NBN	1.125625
C14orf94	0.687666666666667
OCLM	0.0955
ZSCAN18	-0.41
L3MBTL	-2.0239
TSTA3	1.4775
RAC1	0.06975
C19orf15	0.132333333333333
NFE2	-2.55575
KLK14	0.5355
ARSF	0.849
MAST2	-0.0505
AMICA1	2.02616666666667
GTF2A1	0.362875
ATP1A3	-0.40925
TC2N	3.7807
PNKP	0.56975
ODZ2	-0.80225
MATR3	0.45525
S100P	3.696375
KRT82	0.27
CA13	-0.5691
PROZ	-1.16533333333333
AASDH	0.166375
C19orf40	0.2065
DCK	0.229923076923077
FAM5C	3.6105
SLC6A4	-3.139
MID1IP1	0.48025
TESSP5	0.2265
TMOD4	-0.518
DOCK2	-0.235833333333333
TUG1	0.476625
NUP214	-1.07525
DPYSL2	-0.543227272727273
GOLM1	1.96675
MPFL	0.57825
SOX13	0.95775
SDCCAG8	1.4795
KEL	-2.50633333333333
NUP210L	-2.29225
GK	-0.377875
DNAJB1	0.624
ALPK3	0.034
CHID1	-0.1372
CYLC2	0.2175
IKZF5	0.356
C8orf51	1.527
PPM1J	0.699
GIMAP8	2.9865
GPR101	0.332
NR2F1	2.5605
ACAD8	-0.629
RBM35A	3.3075
GNAI2	0.0645
METTL8	0.0441666666666667
SLC39A7	-0.786
FBXO8	-0.02025
CAMK1	0.08375
RFC3	-0.6285
FAM129A	1.12378571428571
ILF2	0.34925
FGFBP3	-1.565875
NOM1	-0.388833333333333
PSMA3	-0.621
ASCC3	0.3053
ZYG11A	0.39275
SOX21	-1.693
LYRM1	-0.601
DEFB1	1.9865
LOC91431	-2.22683333333333
OR7C2	1.5065
FAM46B	-1.649125
TMEM18	0.5735
ARHGAP30	1.6235
TMEM86A	3.23258333333333
EPHA2	-1.22683333333333
C10orf46	1.04895
TCHH	0.0456666666666667
C3orf30	-0.0561666666666667
LOC285636	-0.408166666666667
PAIP2	0.42525
CYP2U1	-0.802
C12orf34	2.15525
SARS2	-0.886666666666667
ZCWPW1	-0.01875
SAMD12	2.11575
KIAA1430	-0.256875
ACAT1	-1.32975
MEOX1	-0.0606666666666667
ADAMDEC1	6.62425
PHKA2	-0.8105
CARD11	-0.573
CALML4	-1.05
TSSC1	0.0035
TMEM45A	-1.28255555555556
MPP7	0.620875
POU1F1	0.16
SLC2A13	-0.9352
FBN2	-0.0297857142857143
ZC3H7A	0.0839
LAIR2	0.0575
ST3GAL1	1.23
LCT	-2.6555
GEMIN8	0.632333333333333
KLF16	0.4889
HIF3A	-0.2585
FAM44A	-0.127214285714286
AQP10	-1.451
PLA2G2A	-2.1465
FOLH1	1.02266666666667
C20orf186	0.301
MAPKAP1	-0.68825
SPRR2D	-2.1125
UBQLN4	0.426833333333333
RSHL1	0.408166666666667
PIAS3	1.042625
MRPL24	1.818
GREB1	-0.6945
FAM27E3	-2.7955
NUP62CL	-1.04575
NEUROG3	1.346
REEP3	0.9735
MARK1	-0.6665
LMBRD1	0.1
PRPF19	-1.413
PNMT	4.3315
CTGLF1	-0.934
SLC25A16	-0.3405
EIF2B3	-0.948
RPA2	-1.184
PAK6	-0.194666666666667
CCDC26	-4.742
SEMA3E	2.058625
MXD4	0.6081
TNFSF10	4.5217
SMARCB1	0.184
DTX3L	2.0585
PLA2G4E	0.4175
PPAP2A	0.05775
ULK1	0.813833333333333
TAS1R3	0.3845
SLC2A3	-2.901
ARID3A	-0.8135
GNG5	-0.71825
ACOX1	0.6301
KIF5B	0.9405
NUP153	-0.67075
MUC7	-0.217
CSDE1	-1.17478571428571
CLPTM1	-0.382
C3orf23	-0.820625
LRRC17	-1.73533333333333
TTYH3	-0.565875
ATP5B	-0.369
ELF3	1.9545
CPSF3L	-0.276166666666667
ZNF665	0.429666666666667
TLR6	0.8567
GPI	-0.736625
RAD9A	0.391125
NDST4	-3.46475
AGPAT3	0.484833333333333
MAGI3	0.0765
ADORA2A	1.44125
CACNG7	0.2645
CAMK2D	-0.978642857142857
CCHCR1	-0.159
RPS27A	-0.5535
OR10G7	0.486333333333333
GCM2	0.1865
FAM135B	0.425
E2F1	0.29925
PLCB3	0.345
OR2AE1	0.448
COIL	0.932833333333333
CDC25C	-0.653333333333333
RAB11FIP2	-0.23475
TSC2	0.6705
CTGLF5	-1.0235
CCDC108	0.3953
OR13C4	0.3715
C10orf81	4.1775
PTPRB	0.6775
ACP2	1.22075
LAG3	3.1725
MRPL54	0.43825
LOC201175	1.5685
ITGB1BP3	-2.05325
SPTAN1	-0.328833333333333
SIPA1L2	1.437
RCAN2	-1.0015
CDX2	3.214
ECOP	0.3465
ACTR1A	0.709642857142857
PPARG	-1.51683333333333
BBS10	-0.398833333333333
TMEM44	-0.999125
BPIL2	0.11
CITED1	1.64025
IRF6	4.44825
PRDM4	0.5315
RRP9	-0.870333333333333
OR10H4	0.4915
IL31RA	-0.76175
GNB1L	-1.405
MYBL2	-0.419
ZNF407	0.819
PPIG	-0.233166666666667
TTC18	1.82775
RPSA	0.2
MAPT	0.26575
MRE11A	0.493142857142857
C8orf37	0.409333333333333
RASGEF1C	0.235833333333333
STBD1	0.68425
CTAG2	-0.5435
MGAT5B	-2.1355
ECM1	2.0425
RLN1	-0.034
PARP14	2.2818125
EPB41L1	1.5486
HOXA3	-1.11908333333333
MAGEA9	-4.6805
RPS8	-1.45316666666667
RPS19BP1	0.66675
FOXJ2	0.081875
C10orf76	0.37125
IL17RE	0.16575
C10orf65	-2.137
ZNF343	0.307
FBXO33	-0.857125
UHMK1	1.704
LY6G6C	1.32175
FGF19	-2.49025
C14orf128	-2.5165
IFIT2	4.4785
TIGD1	-0.92825
S100G	0.1575
GUCY1B3	2.086
NR3C1	-0.5097
CORO1B	1.3445
PARP11	0.366833333333333
DNALI1	4.7045
OR4N4	0.536125
MAP2K6	-1.77333333333333
FSTL4	0.38275
ANKRD47	1.069125
TMEM171	-0.3545
PNLIP	0.041
YY1	0.0826666666666667
CCDC138	-1.7425
AASDHPPT	-1.2627
CKS1B	0.2757
MCM3	-0.564333333333333
ANAPC7	0.354833333333333
FAM110A	2.94925
CDC37L1	0.761166666666667
THTPA	1.31525
NBPF20	-0.463
WDR24	0.77675
NPTX2	-2.9045
CBLB	0.659666666666667
CETN1	0.110166666666667
RPUSD1	0.851
FAF1	-1.4195
CDK6	-3.2688
HMX2	0.41
CSK	-0.3285
TEAD2	0.35725
SNAP25	-1.4705
TUFT1	1.3483
TMTC3	1.32283333333333
LCK	-1.73925
SGOL1	0.0323333333333333
AKTIP	1.6035
FURIN	-0.084875
SOX12	1.1835
DEFB103A	-0.672
RAMP1	0.35875
KIR3DX1	0.172
GAS2L3	0.491
PDE8A	-0.5007
EDN3	-1.1965
GMIP	1.148
SF3A2	0.713
FN3KRP	0.4795
SMAD7	0.879
RHBDD2	-0.04325
OR11H6	-0.0845
PPP1R3B	1.2133
C9orf23	-0.415
CADPS	-1.13575
GOLGA8A	-3.72725
TMEM57	1.06133333333333
RGL3	1.904
S100A14	3.33425
FGFR2	0.9829375
XRCC3	-0.42625
RTN4RL2	0.47
MGC3771	1.978
GH2	0.370666666666667
BTBD2	0.0735
LMO2	-0.51575
RDBP	-0.611125
ACRBP	-0.91775
AMY2A	1.4125
DUOXA1	0.838
PTK7	0.313166666666667
TWF2	0.199166666666667
FAM80A	-3.0345
TNNI2	-2.9245
GLT25D1	-0.239666666666667
OCC-1	-2.0995
CYC1	0.188166666666667
RPL22	-0.713818181818182
MORN3	2.20733333333333
DISP1	0.85825
PRB2	-0.109
CHUK	0.4185
HR	0.151125
CCDC134	0.1415
DENND4B	-0.487
C14orf130	0.2325
RAB33A	-1.43775
DCST2	0.1985
TNMD	-1.75075
PEX7	0.89175
FAM62A	0.236875
SRD5A2L	3.7295
IL22	0.00699999999999998
RPS26	-0.808666666666667
HOXC5	1.1245
SPATA6	0.022
FLJ38482	0.697375
ZNF234	1.1345
C18orf22	1.2615
SPATA22	1.17925
THOC1	-0.266
CYP7B1	1.784
KCNC3	-0.03475
C8orf42	-2.093
ALDH1B1	0.360333333333333
CCDC100	0.46
ARMC4	-2.38225
FAM18B2	-0.31775
SLC44A1	0.51575
FBXO17	-2.38633333333333
C6orf107	0.45175
C19orf29	-0.3395
ZC3HAV1L	-0.15625
PARP6	0.766
SULT2A1	-5.35257142857143
C1orf159	-0.518
TMC1	0.03025
CHST14	0.023875
GAMT	0.931833333333333
SMCP	0.16
TSPAN33	1.40975
MIDN	0.776
NOX4	2.54375
RNASEN	-0.3705
TBX1	-0.4845
SALL2	-0.25675
C10orf35	1.56475
CYP2E1	0.57275
LRFN2	2.92966666666667
ACO1	-3.02016666666667
IQCG	1.0805
MEGF9	1.47975
TM7SF4	1.214
PLEKHA1	0.2284
STK33	-3.541
C1orf210	3.367
SNUPN	-0.0607
KIAA0406	-0.3762
C20orf29	1.08
TMEM55B	0.373
OSTM1	-0.797875
CLCN7	0.34725
OTP	1.06425
FLJ23049	-0.9205
HEATR4	1.233
MAP3K10	0.641
PCDHGA9	0.301
AMDHD2	0.9665
LCTL	-2.628
PDCD2L	-0.505
CABLES2	0.04825
SLC5A9	-0.4785
CLCA2	-1.5265
MGC16025	-1.5315
STRAP	-0.774
C20orf196	0.1895
RRBP1	1.10816666666667
NAT13	-0.53375
MAT2B	0.1875
CSNK1D	-0.257666666666667
KIR3DL1	0.8625
PRKAG3	0.005
ZNF599	0.047
PRM3	1.25
PER2	1.42633333333333
ASPHD1	-3.0035
PRMT6	-0.6365
KCNE1L	-1.23307142857143
FAM118A	-1.24833333333333
TAF4	0.18575
NDUFB6	-0.36125
TRIM9	-1.6525
PMFBP1	-0.0855
KY	0.3675
DKFZp762E1312	-1.39536363636364
CSMD1	-2.18225
TBP	-0.5865
OR1Q1	0.686333333333333
RETNLB	0.82225
HPGD	-0.840928571428571
DNAJC12	-1.25516666666667
FKBP1B	-2.037
ANKRD24	-0.5705
CXXC5	0.766166666666667
IL3	0.451375
DRAM	0.8029
PTCH1	-1.24075
TP53BP1	0.159
SLC17A7	0.54325
COL25A1	-1.4745
AMACR	0.573833333333333
RHCG	2.52075
VPS13A	-1.40075
FAM55D	0.1185
PRPF38B	-0.761083333333333
OSBPL6	1.7015
PFDN5	0.1819
CMTM6	0.9525
KCNK12	-1.7585
RP2	0.17325
C16orf52	-2.03925
PICK1	0.2215
IFNE1	-1.18416666666667
SEMA4B	0.9045
TYRO3	-0.7745
OR12D2	0.3845
CSNK1A1	0.2159
FANCF	1.66525
LONP2	2.29925
TBL1Y	0.49075
LDOC1L	1.0605
CCNC	-0.55725
C3orf60	-0.212
CHKA	0.2625
UBAP1	0.03975
MAP3K1	1.9105
ANKRD9	0.034
FAM92A1	-0.763166666666667
GAB2	1.393875
AZU1	-0.3155
DIS3	-1.11641666666667
C21orf109	-1.0255
IQCB1	-0.4635
SPATS2	-0.293166666666667
EFCAB3	3.84375
PRB3	0.226375
FUZ	0.1485
ZNF813	0.585875
BMPER	-1.23466666666667
HEG1	-0.414875
ALS2CR11	-2.20725
SURF2	0.40725
PSMC1	0.708583333333333
OR2D2	0.919
SLC7A8	2.06366666666667
C4orf40	0.1925
SPATA7	-0.61375
MAZ	0.135083333333333
PIN4	-0.39675
PDE1A	-1.77875
TAF6L	-0.394833333333333
OR2T34	0.3775
KIAA0284	0.7865
ACADS	-1.37409090909091
MKRN2	-0.3485
C18orf56	-1.94225
MS4A6E	0.271
GALNT4	1.6709
C22orf31	0.21
FLJ36070	0.252
PSME4	0.14975
TFG	-0.0036
EPHX2	-0.14375
ANXA5	0.016125
KRTAP1-1	-0.1694
BATF	2.05825
KARS	-0.718
MSTP9	0.00949999999999999
GPR26	-0.152875
CCDC72	-0.4885
TEF	1.186
FOXK1	-1.2457
PRLHR	0.7715
EMX1	0.55975
C11orf30	0.313
ICK	0.784
THSD7B	-0.404
C21orf100	-1.272
DUOX1	1.085
EFCAB4B	-0.053
UBE2G2	-0.932333333333333
C3orf54	-0.2785
PARP1	0.4375
FAM60A	-0.480833333333333
C6orf146	0.0126666666666667
OR9K2	0.514
DDX55	-0.573
RPS15	-0.01825
ZNF618	0.9079375
DKFZp686D0972	0.5735
SSPO	-0.9245
SHFM3P1	0.6655
CPA6	-1.1295
JAG2	1.22675
DEFA3	0.18425
PPBPL2	0.103
CD34	4.0305
SLCO4A1	-3.066625
AFG3L1	-0.887166666666667
SHD	-0.7105
RP13-122B23.3	-0.239166666666667
PRKCSH	-1.2845
DPH5	-0.757166666666667
HLA-F	3.222375
TBC1D4	-1.35125
RIG	-0.0641666666666667
GLUD1	-0.539333333333333
HNRPCL1	0.607
HBXIP	-0.446
RNF207	-0.417
APIP	-0.7
PLA2G3	-3.4205
CCDC84	-2.02875
MYLIP	-0.842230769230769
PHIP	-0.29125
AARS2	-0.0275
DHX32	0.4385
SCAPER	0.131
MEN1	0.07725
NIP7	-0.749
FLJ25404	0.5105
FASTKD3	-0.42725
TMEM158	-1.73491666666667
RARA	2.78625
BDH1	0.401
ANKRD16	1.157
CARM1	0.1335
SS18	0.894333333333333
IKZF2	2.67283333333333
MYD88	1.527125
PML	1.3552
TAF1A	-0.494
CBFB	0.186375
HIST1H3H	-0.985833333333333
C7orf29	-2.01325
COMMD4	-0.318
DPP3	1.146
DAB2	0.31825
LOC388882	-0.873
YPEL4	-1.08475
AGBL3	1.054
LRP6	-0.065
SERPINH1	0.153166666666667
TLE1	0.7495
CD244	1.25183333333333
ZDHHC15	-1.33975
MGLL	-0.1588
PLDN	0.356166666666667
LOC654346	2.564
FAP	2.63575
GPR37	-1.05033333333333
SCARA5	-0.945833333333333
EBF4	1.43054545454545
LSM6	-0.3445
MLLT1	0.1636875
SLC5A12	-0.84575
A2BP1	-2.30266666666667
COPS5	-0.8225
TPM4	-0.523142857142857
TNFSF4	1.6865
ACADSB	1.12333333333333
HERPUD1	0.652
BCL2L11	-0.313166666666667
CEP78	-1.601625
CDCA3	-0.823625
WBSCR19	-0.9102
MYO1A	-1.124
PPEF1	2.29033333333333
LOC440348	-0.73375
CPEB2	1.2
BPTF	0.594333333333333
RPL21	-0.0919375
GSX2	-0.159
ADPRH	1.2585
C17orf68	-0.172833333333333
KCNS1	-0.857833333333333
MLLT6	-0.228
PIWIL4	0.4865
RNF26	-1.02675
RAP1B	0.483
ADAMTS1	-3.0447
ZNF571	0.31225
P2RY6	0.70475
TRIM21	1.42233333333333
CADM3	-0.043
NLRC5	1.77616666666667
ADRA2B	0.75
LOC90835	-0.8065
PCF11	-0.7935
LOC400451	0.9295
GLTSCR1	0.6226
C17orf88	-0.579666666666667
CDH16	-1.9625
FGF7	0.9895
PCSK4	-0.314666666666667
NPC1L1	-0.446166666666667
TAT	3.574
TBCA	0.14125
MGC33407	0.64575
GPR115	-1.110125
CYGB	-0.582
FNBP4	-1.02766666666667
C12orf43	0.19
CBL	-0.5517
CLECL1	1.83475
PPAPDC1A	2.1465
WDR25	0.786833333333333
SGCA	0.3765
C22orf29	0.542166666666667
YIPF1	0.80575
GALK2	-0.8515
RAB3B	-2.96366666666667
LOC440087	-1.0245
UCP1	-0.2795
REEP5	1.29275
FADD	0.5163
FOXA1	3.142125
CACNA1A	0.361666666666667
ABI1	0.435833333333333
GRIN2D	0.8585
SLC1A4	1.3755
LOC401127	-0.04325
HINT2	0.6055
PLD4	0.1765
ZNF286A	-0.9715
ENY2	0.351
IL1F6	0.045
PXDNL	2.28975
C20orf79	-0.3485
TNFSF13B	4.1855
DENND3	0.366625
JARID1D	-3.6235
HIST1H2AK	0.39925
LOC93349	0.000299999999999967
SSH1	-0.0849
ENSA	1.0195
LOC219854	-0.349333333333333
CKAP2	-0.2301
DKFZP564J102	-0.503
MGC87315	0.173
HNRPAB	0.067
AMH	-0.272
ZNF526	0.687
BRUNOL5	-0.2182
CACNG3	0.0261666666666667
TRPM1	-2.9305
PPP2R1A	0.28225
COL2A1	-1.88525
DDN	-0.383166666666667
FLJ25770	0.238454545454545
HK2	-1.07707142857143
ELOVL6	-0.30825
MDK	-0.22375
EPHX1	0.3515
RASSF2	0.07275
DKFZP434B0335	-0.09225
DLX3	0.077375
PRTN3	-0.5405
AVPR1A	0.511
C21orf125	-0.24675
TNFAIP8	-0.824
GNB2L1	-0.5705
CALCRL	2.131
SCGB2A2	9.10466666666667
UBXD7	-0.451
ZNF674	-0.1855
TMEM35	-0.733375
BRSK2	-1.535875
HECTD3	-0.2535
TMEM188	0.2995
LGALS9	3.2895
SCARB2	1.11583333333333
USP34	0.35525
C17orf28	2.63516666666667
ZDHHC23	-0.41725
AQP12B	-0.5135
SLC16A3	-0.976375
APLP2	-0.114
ITIH2	-5.426
MICAL3	-0.221375
TNNI3K	0.1487
HDAC2	-0.205375
PRR7	0.2312
THBS2	0.42675
LOC751071	-1.96016666666667
CA2	2.37483333333333
RANBP17	0.8595
RLN3	0.20775
CRYZ	-1.97333333333333
GBAS	-0.3485
TAS1R1	-0.7595
MPZL3	1.0965
PCDH8	-2.83125
HSP90B1	0.0764166666666667
KCNK15	-0.2695
TNIP2	0.2625
GPR146	-0.1375
NOL6	0.060625
SPC25	-1.22455555555556
STEAP2	2.377
VAMP3	-0.574666666666667
TCIRG1	0.84775
ZP4	-0.262833333333333
PARL	0.412125
TRIM39	0.5965
KIAA1305	-0.20175
CRNN	0.288833333333333
GRN	0.444
HSH2D	1.45325
SCAMP1	0.8196875
KIAA1913	0.41825
PTS	-0.1105
BANP	0.369357142857143
PRKACG	0.33675
ADCY6	0.886166666666667
C16orf46	0.45
CYP51A1	0.27975
DDC	-6.51675
ANPEP	-0.059
PROM1	-2.158
SIGLEC10	3.02475
COPG	0.9305
FAM26E	1.425375
TRIP4	0.618
SNX3	-0.204166666666667
C1orf175	0.5835
PPY2	-0.12275
C14orf152	0.35775
FTSJ1	-0.549166666666667
DST	-0.00725
LOC554235	0.224
GLRX5	0.10125
C20orf12	1.1704
CAB39	-0.5615
MSH2	-2.17716666666667
PIP4K2C	1.553
CYLD	0.494625
WTAP	0.2198125
MGAT4A	1.65966666666667
TSC22D4	-0.8262
CHRM2	-2.278
PPYR1	0.316
CCNH	-0.854333333333333
RRM1	-1.0915
ECAT8	-3.55525
LOC400120	-0.75325
GABRA4	-0.378625
C14orf4	0.5365
C1orf59	-0.76475
CTDSPL	0.476833333333333
NHEDC2	-1.3205
PDE11A	-2.1606
KLHL29	-2.3965
CD5	-0.479
TSPAN9	1.60975
WDR67	0.1955
THUMPD1	-0.0402
C18orf17	0.5455
CLYBL	-0.748666666666667
FLJ13231	-0.558875
CMBL	0.4785
LECT2	-0.0965
NKAPL	1.72233333333333
LOC654780	0.8785
OR4C6	-0.3
RAB30	1.803
TSSK4	-0.6485
TMEM163	0.536
OSBPL11	0.52975
GNB5	-0.613166666666667
CCL21	0.68175
C1orf121	0.299333333333333
FMO2	1.10916666666667
RPTN	0.6295
MSTN	1.0255
VCL	-0.645214285714286
FYTTD1	-0.25925
C11orf1	-0.4715
CCDC88C	0.813125
HFE	0.596166666666667
MOGAT1	-0.708
FAM125B	0.165833333333333
IRGQ	0.856
RAVER2	-0.92275
AKAP5	1.606
SSSCA1	0.244
C11orf63	1.495
ACTG2	0.325
PORCN	-1.47
DTL	-0.744454545454545
TMEM151	0.53825
FAM122C	-1.09275
RSAD2	5.2216
BAT4	-0.3075
KRTDAP	0.157
MYH8	0.517428571428571
CRTC3	0.64425
LRRFIP2	0.1467
INTS4	-0.00166666666666667
TTN	-1.52433333333333
SLC26A5	0.892
PLLP	-1.11625
RGS6	-1.480375
SRGAP3	1.3155
ZNF525	0.159666666666667
NBR2	-1.597
C13orf1	0.4109
ZNF137	0.4125
CEP27	-0.69175
BEST2	0.528
RNF121	-0.343
DMRTC2	0.5325
C8orf76	0.47625
BCCIP	0.22725
MEST	-0.214
HTRA2	-0.156
ANGPTL2	0.53475
ILKAP	-0.074
ERAS	0.025
HBS1L	-0.485
CPA5	0.578
TMEM30A	0.321166666666667
CD300LF	3.19516666666667
WISP3	-0.2445
CRK	0.368357142857143
PDS5A	0.1029
BRPF3	0.7155
NEDD9	-1.334625
SMPDL3B	0.9865
PSG6	0.1265
PSMD13	0.29375
ETV5	-1.775375
OR51A4	0.111
BTBD7	0.605916666666667
GSTO1	-0.75175
hCG_16001	0.964
MAD2L1BP	0.395
COX6A2	0.837
SCNN1A	2.52333333333333
LSM1	0.928666666666667
UGT2B11	-1.87775
IDUA	0.12875
PPP2R3C	-0.753833333333333
COX11	1.632
PDZK1	-2.6875
ZNF443	0.967666666666667
MGC21874	0.986
ZNF323	0.1137
KRTAP10-10	-0.1955
CXCL6	-0.6765
SLC34A2	0.6495
LOC284402	0.3925
NPTN	0.874666666666667
UPP1	-1.35083333333333
SLC6A9	0.237
OR7G3	0.27475
CISD1	-1.11866666666667
ZNF545	-0.798666666666667
SYT14	-1.102
NT5C3L	-0.973666666666667
ZNHIT3	-1.279
SNRPD3	-0.14275
KIAA0701	0.121375
UNC93B1	0.796833333333333
GMNN	-0.745875
SPCS2	1.30266666666667
LOC388524	1.314
NAPRT1	0.9695
PNLIPRP1	-0.452
OR6V1	0.5815
PRKAB1	0.242
EYA4	-4.503
KIF20A	-1.07675
ALG10	0.31325
ITPKC	1.34966666666667
LMX1B	2.18883333333333
RPUSD4	-1.24533333333333
C7orf34	0.0583333333333333
DLGAP2	0.211875
PFN1	-0.3017
MICALL2	0.14775
ZNF654	0.494
SS18L1	-0.22475
SLC16A8	0.42
MKI67IP	0.227
ITGB3	-0.90075
TCEA3	2.94416666666667
CEP152	-1.7839375
CLIP1	0.9745
ZNF75	0.444125
ATP5C1	0.1235
NUDT5	-0.196
PSCDBP	0.46925
UBP1	-0.17675
RBM27	0.567
C13orf15	1.594
ZNF282	-0.0636666666666667
ZNF222	-0.1841
COL10A1	6.324
PRDM15	-0.92925
TTTY5	-0.466
FAM9C	-0.622916666666667
C20orf67	0.39875
GNG13	2.1785
F12	1.9545
C1orf41	-1.505
CPXCR1	0.2315
GSK3A	0.306625
SUPT6H	0.1605
PI16	-0.5625
ELL2	-0.161166666666667
C9orf167	-1.7615
PVRL3	-2.8126
FLJ38596	0.217
ADAM20	0.244
GPR89A	0.712
GPR87	-1.565
ZNF30	0.515
SMR3B	-0.208
ZNF770	-0.16275
TRPC4AP	0.0758333333333333
DKFZP686E2158	0.256166666666667
C2orf28	0.175333333333333
FREM1	-2.595
LAMA4	-0.0208333333333333
ADPRHL2	-0.04475
EIF4G2	-0.0723333333333333
GUCA1A	-0.0905
CTNNA2	-1.80975
NUDT15	0.0878333333333333
