Hybridization REF	TCGA-A2-A0SW-01A-11R-A084-07
AHR	-0.036
C17orf53	-1.525
PTPRH	-3.95325
ATP6V1C1	0.1477
TAS2R3	-0.1075
LOC440356	-0.96375
COQ10B	0.88725
PSMF1	0.761083333333333
SORBS2	1.52608333333333
NFE2L2	-0.2465
TMCO7	-0.425
SH3PXD2A	-0.4323
SH2D2A	0.39275
SPINK5	-3.7335
MRPS24	0.04725
OPA3	0.4445
TRAF7	0.089
C4orf35	0.316166666666667
MT1G	0.828375
MGC39545	0.17725
HS1BP3	0.6946
OR2B2	0.4045
CHRM4	0.8535
SFRP2	2.99841666666667
RIC3	-0.95525
ART1	0.191
C6orf1	0.577375
DUS4L	-0.0685
C10orf104	0.08475
TNFAIP6	1.83525
RTEL1	0.18525
CCT4	-0.9631
ZNF709	-0.207
CHMP6	0.438833333333333
UPP2	0.129
CYP19A1	-1.465
CD151	-0.091
NDUFA13	-0.116166666666667
ARFRP1	-0.113166666666667
FAM26B	1.23775
CRYBA1	-2.2705
MRPL41	0.955666666666667
NPFFR2	-1.33775
HRH2	0.2745
SCAMP3	0.549666666666667
MTMR6	0.1852
MTG1	-1.12683333333333
UBTD1	1.41375
CRABP1	-2.649
FLJ33790	2.4778
KIAA1908	-1.27516666666667
GPR158	-0.962
PACSIN3	-0.573
OMD	3.92633333333333
CATSPER1	-0.0868333333333333
HOXB8	-0.71925
FBXO46	0.8155
OAS1	1.8575
SVIL	-1.318
PHB2	-0.4755
ADCY3	-0.6555
NDRG2	-1.0425
ERMAP	0.0493
APBA2	-1.55633333333333
IGSF9	2.666
WNT6	-0.241
MYCBPAP	-0.75825
ATP2B2	-0.0141
CPVL	-0.3253
TRAM2	-0.46175
NOP5/NOP58	-0.36775
ZNRF4	0.2495
TLK1	-0.489125
MTMR12	0.941571428571429
ZNF384	-0.5895
FAM9B	-2.016
RPN1	0.814
PMVK	0.99325
EIF3D	-0.0828
SIX2	1.59825
HPS1	0.623428571428571
RNF7	0.56075
PSKH2	0.0885
KCTD13	-0.002
CSMD3	-0.4203
FBF1	0.3005
IL8	-3.6625
SERPINB13	0.736916666666667
FBXL20	-0.783
BLR1	0.799
SH2B1	0.0653333333333333
RFNG	0.19575
RAB20	-0.0591666666666667
RBM7	-0.81225
POLR1A	-0.4925
TMPRSS4	-0.59725
TAF9	-0.760125
TERF2	-0.089
TNFRSF1A	0.1815
ACADVL	-1.00666666666667
GTF2H5	0.3235
EDG8	0.832
C9orf140	-0.485375
UST6	0.00933333333333334
ZBTB8OS	0.349
ZNF710	0.294
GPR174	-0.703
ATP6V0A2	-0.1195
KIAA0319L	0.101083333333333
XKRX	1.8865
DOPEY2	1.7228
SDHD	-0.327416666666667
SUMF1	1.37175
OSM	1.82375
OPN3	-0.6445
DAGLB	0.2065
PPFIBP1	-0.0792
TRIM63	-1.058
C10orf53	-0.113
LYPD3	1.68583333333333
BCL7A	-1.893
AGER	-1.15216666666667
TCF19	-0.36475
SAT2	-0.08875
PFTK1	1.09916666666667
GABRE	-3.0445
C15orf38	0.2719
FIS1	-0.082
KCNV2	0.46675
CLPS	0.4835
PPCDC	-0.848
FOXN2	-0.2765
NT5E	-2.6924
CD83	0.76575
IL18	2.258625
VPS16	0.95175
IGFBP2	-3.475
NOTCH2	0.46175
SIGLEC1	2.726125
CD93	4.9885
SULF2	-0.42025
CEP164	-0.369875
P53AIP1	-0.414333333333333
TOR2A	0.0876666666666667
ZNF136	-0.12925
MGP	2.4474
CCDC144A	-0.926
TRPC1	-1.2595
SMS	-0.991
MAPK7	-0.519666666666667
RRAGC	0.951
PARD6A	0.372666666666667
NUB1	0.688833333333333
SYNGR4	1.408
OR11H12	0.4955
WIF1	0.268625
GCH1	1.61725
OR11H4	-0.016
SLC44A5	-0.783
GPRIN2	-0.263166666666667
LOC401431	0.93275
CPA4	-2.7346
MELK	-0.944333333333333
IL15RA	1.1515
CUL3	0.10975
HMBOX1	-2.98725
PODXL	-2.252
CCT6B	0.149166666666667
COMTD1	-0.11775
MUC20	-0.0726666666666667
GPX2	-0.39175
ITK	0.23925
FBXL5	1.34225
C13orf27	-1.1545
DEFA5	0.606
TRHDE	0.0325
MTP18	-0.624666666666667
UQCRQ	1.0368
ITGB2	2.55783333333333
CSRP2BP	0.2785
TAS2R44	1.001
PHPT1	0.092625
FAM44C	-0.02425
ERH	-0.17075
MPHOSPH1	-0.912
MORC1	0.4815
PARVB	-1.185
LAMA1	-1.7815
PGBD3	-0.13025
GIMAP6	4.2625
AREG	1.2675
LIPT1	-0.30925
MGC99813	-1.082
C1orf201	0.09
GRIN2A	-0.8045
MAN2C1	-1.519625
NSUN5	0.14775
SF3B5	0.60575
MYC	-2.6675
NRXN1	0.1535
ZNF18	0.2505
SPDYA	0.184
SLC37A1	1.358
DECR2	0.339
ANKRD38	-0.216375
SPTLC3	-2.22316666666667
SUPT16H	-0.347625
DTWD2	0.2735
ULBP1	-0.593
ZADH1	-0.223666666666667
OIP5	-2.19175
IL10RB	0.270166666666667
OTUB2	-0.586375
VWA3A	0.0263333333333333
SPIC	1.24316666666667
OR6C4	0.0085
PSCD4	1.78216666666667
DPY19L2P2	-1.194
TRAPPC6A	0.881166666666667
C21orf2	-1.106
CEMP1	0.21175
LIN7B	0.875
E2F7	-1.31266666666667
VCP	0.3586875
LAMA3	-1.17358333333333
BGN	1.88475
GPR160	1.99116666666667
COCH	-3.01083333333333
GPR81	1.5905
APOBEC3F	-0.65075
tcag7.1017	-0.51775
C1orf32	1.934
SCGB1D2	6.41025
FLJ43987	0.0445
C6orf170	0.37875
KLK9	0.299
GPD1L	0.1195
VPS37B	0.22675
ATG3	0.316166666666667
ADAMTS17	0.0535
KLHDC2	0.844
NDUFV2	0.43075
BLK	-0.8525
MATN4	-0.9135
GPM6A	0.978125
GBP4	4.74916666666667
TMEM162	0.416833333333333
PKP2	-0.7805
HRASLS	0.411777777777778
MMP1	2.51
SFXN3	-0.0971
FSD1	-1.576
ST6GALNAC3	-1.014
CA12	0.948
NCOA6	0.426
C19orf58	0.1895
PPP4R1	0.101333333333333
MAN1A2	0.700666666666667
IKBKAP	-0.4505
UPF1	0.1105
KIAA1219	0.6175
WNT16	0.9226
SNW1	-0.72875
IL18RAP	3.167
RPP30	-0.02075
CDC40	-0.127785714285714
SETD3	0.759166666666667
SLAMF6	1.95075
ELK4	-0.322
TRIM47	1.13316666666667
ACOX3	2.836
TRIM6	0.81025
KIAA0372	-0.709833333333333
TP53AP1	1.760875
SMURF2	-0.33125
ADAD1	0.5055
EBP	-0.2944
KRTAP13-2	-0.5435
FLJ36874	-0.852166666666667
TOR1A	0.191333333333333
P2RY4	0.759
GPBP1	-0.06475
TRPV1	-0.28825
ADAMTS12	1.215
PES1	-0.3929
ATG4A	1.4485
MAGEA10	-4.28425
WFS1	1.2525
CC2D1B	0.011
PABPN1	-0.22475
SLC25A30	-0.07175
SLCO1C1	0.989833333333333
SLC22A5	1.74675
KIF23	-2.103
SYN2	-0.524666666666667
ASPN	8.32233333333333
CENTG2	-0.59575
QSOX2	-1.5784
FLJ10815	0.3205
STK24	-0.6566875
SPEG	0.1568
STK10	0.939333333333333
DACT2	-2.966
AAAS	-0.1735
SSX3	-1.194375
ABCD3	0.5651
C4orf12	0.387
PARVG	1.68516666666667
FIG4	1.2115
C9orf46	0.1125
TMCO6	-0.0995
IGHMBP2	-0.239
DUS2L	0.027
FAM3C	0.123125
TMEM16D	-1.57125
DCTN4	0.7315
KCNH3	0.0675
EIF2AK2	0.38675
AP1S3	0.454875
CST4	2.559
PAM	0.52575
NUTF2	-0.01925
CITED2	0.1999
SLC39A4	0.595
C2orf52	-0.7285
GRM3	0.07125
C12orf49	0.98225
CCDC49	-0.7044
GRAMD1B	-0.658125
FNDC4	0.275
SIAH2	0.52325
GDPD4	0.03125
C21orf87	0.134375
ATP5A1	0.0788333333333334
C16orf63	-0.537125
LOC388135	-1.091
ATP5J2	0.007375
MMP3	0.48825
EMID2	-0.09925
CRHR1	0.3705
WDR70	-0.32125
C13orf31	1.82775
ZFAND1	-0.1905
CCL18	4.1585
C3orf49	0.167
RINT1	-0.2885
KIAA0408	-1.83433333333333
F13A1	4.6697
SLC10A1	-0.100166666666667
OGN	0.40025
GIPC2	-1.40266666666667
XPO6	-0.564833333333333
LCE1A	1.0125
FMR1	0.315
LOC374920	-1.12725
DUSP3	0.159375
ANKMY1	-0.143
C7orf50	0.01475
BBS9	0.4629
UNC119B	-1.214625
C9orf72	-0.40775
MGC35440	0.5285
ENTPD6	0.0815
PPP1R2P9	0.94475
ERCC4	0.48175
FAHD2B	-0.1035
HMHA1	0.623
HACL1	-0.9045
RAD23A	-0.6215
FAM83B	0.29275
PPP5C	-0.662666666666667
RNASEH2C	-0.309875
C9orf153	-0.3675
SCAMP4	0.489875
GHITM	0.4229
NDUFB7	0.603625
ADCYAP1	0.646666666666667
SP110	2.0325
MAP3K7IP2	-0.68025
DHH	0.067
AGRN	-0.573357142857143
WDR33	0.1325
CEP290	-0.476833333333333
PRPS1L1	-0.527166666666667
KLRA1	-0.2685
GPR97	0.156
CHD7	-1.3225
TLR10	1.615
SLC30A8	3.297
HIC1	0.986333333333333
IAPP	0.4035
RXFP4	0.3935
GP1BB	0.89675
SHQ1	0.274
NKX2-3	0.391
API5	0.0365
FTHP1	0.219
MOV10L1	0.19
TRIM6-TRIM34	1.93766666666667
ADHFE1	2.0655
FAM117A	-0.06875
DDI1	0.326166666666667
CDON	-0.341333333333333
TRIM73	-1.9855
IGKC	5.2035
MMP14	-0.260583333333333
DYNC1LI1	-0.553125
C11orf66	-0.0255
TRBV3-1	-0.3605
FASTKD5	0.54225
BIVM	-2.39325
LHX4	0.583
CXCL2	-1.3644
RAB2B	0.177
IZUMO1	-0.58925
MAP3K15	-2.329125
FAM19A2	0.259833333333333
ZC3H8	-0.524
ZMAT1	1.864375
SPINK5L3	-2.57933333333333
SLC10A6	0.0335
APPL2	0.055375
CARD10	-0.502166666666667
LOC402176	-1.719375
EEF1D	0.5858
RAB6A	1.4074
C12orf5	0.072875
PAPOLG	-0.0555
MSRB2	1.4295
BCR	0.00266666666666669
PUS3	-0.30925
TIAM2	0.149
ZNF317	0.166666666666667
CHD2	-0.312642857142857
FZD5	-1.16886363636364
NUDT8	2.34975
ZNF763	-0.1255
PRC1	-1.65211111111111
ABCB9	0.315833333333333
SPATA3	0.50675
TRAK2	0.780875
STAB1	2.848625
LRRTM2	0.337333333333333
psiTPTE22	1.0575
DBI	2.22025
SERPINA11	-3.097
NAT5	0.8325
C20orf58	-2.384
RPS6KA4	0.5525
FLJ90650	-0.0995
TGFBRAP1	0.16225
CHRDL2	0.22675
FAHD2A	-0.515166666666667
CNTN1	-0.46175
BBS4	-1.0731
TMEM181	-0.43925
MINPP1	-1.876
MPHOSPH6	-0.04125
HOXC10	2.2316
ITPKB	0.475625
CLPTM1L	0.47425
MEOX2	0.125833333333333
ATP6V0C	1.297875
PRPF8	-0.992666666666667
TMC5	2.9495
FKBP3	0.55825
PLEKHB2	-0.21325
OR4D6	-0.1285
ZNF544	-0.843
D2HGDH	-0.239125
RPL18A	-0.8075
HEL308	-0.005875
MPP6	-3.772
TCERG1	-1.174
KRT16	-1.71766666666667
KLF17	-0.947
KLF5	-1.950875
CDR1	1.88175
VCX3A	-3.112
FBLN2	2.100875
C14orf104	0.077
HBE1	-4.5915
OR4S2	1.5135
C1orf108	-0.579333333333333
ROBO4	3.39066666666667
CPEB4	1.186
C11orf80	0.375833333333333
BCKDHA	0.5795
MYOC	0.402
GIF	0.3725
CKMT1A	1.312
RPL3	-0.1889
THBS1	2.045
APOO	-0.38025
ARMCX1	2.211
HSZFP36	0.57225
SNAPC5	-0.45275
EIF4ENIF1	0.47
ZNF433	-0.823
TNFRSF21	-0.840125
TMPRSS7	0.5395
SPATA18	0.4005
HPDL	-1.901
MKL2	0.8311
TBX3	0.0687692307692308
C21orf93	0.422833333333333
DAXX	0.29
ELMO1	0.366125
RGS13	2.5046
TAF11	-0.36075
UNC13A	-2.297875
LOC653314	-1.2613
ORC3L	-0.44125
IMAA	-2.3665
TARBP2	0.0435
CABIN1	-0.8118
TRIOBP	0.63375
HIST1H2AC	-0.239375
RGS22	-2.0585
NCOA1	0.219833333333333
IL25	0.4785
SNCG	0.199
GPR6	0.158
AMDHD1	-0.584666666666667
CHEK2	-0.763375
C6orf142	-0.8435
DRD4	0.83175
C14orf68	-0.78
GDF11	-0.8845
SEMG2	0.0295
CD247	0.62575
CDAN1	-0.708
RBMX2	0.660333333333333
TGS1	-0.53075
OIT3	1.30933333333333
SYF2	0.01
MCM4	-1.196125
PKHD1L1	1.67225
CEP192	-0.894333333333333
IFT88	-0.71325
RPL9	-0.620214285714286
RAB32	-0.140625
DDX43	-3.126
P2RX2	0.285333333333333
OR5D18	-0.1645
UBE1	-0.250333333333333
SLC24A1	-0.272875
ARHGAP5	-0.62025
CETP	-0.3685
KIAA1731	-0.182833333333333
SLC9A4	0.7265
PTPN6	1.1255
BAHD1	-0.28675
GRIK3	0.735
CACNB2	-0.7941
PDE10A	-0.2495
DGCR14	-0.4355
PCDHB9	-0.5555
RHOQ	0.698333333333333
MAP3K4	-0.1045
KTI12	0.252833333333333
RPL23AP13	-2.57125
GNG11	-0.904
CLCN3	0.305166666666667
GPAM	-0.649625
VSTM2A	0.8515
SLAMF7	5.12416666666667
INTS2	-0.9175
PPP2CA	0.4031
LRP12	-0.7378
SEC14L2	2.56066666666667
DKFZP586H2123	0.78125
MC3R	-0.1735
CIRH1A	-1.11183333333333
HIST1H2AB	0.1095
POLH	-0.64525
MGC16703	-1.7925
SNAPC2	0.4555
FILIP1L	1.517
RASGRP4	0.4825
LRRC1	1.38475
GAS1	0.401
PRAC	-1.11325
DGKA	0.6345
NT5C3	0.01975
PEG3	-3.68541666666667
NADK	-0.1375
PRR17	0.40675
LOC374569	-0.18
SGSH	0.5645
NLRP8	0.221
GALT	0.2117
MCF2	-1.2155
ZNF263	0.76975
TACSTD1	1.726
TYR	-6.3694
ATP6AP2	0.409
RNUXA	-0.2645
ABHD10	-1.3947
GDPD2	-1.0795
SLC35C1	0.61675
UBE2A	0.857125
HERC5	-0.0366666666666667
FAM112B	-3.3035
FBXL16	1.94225
DKFZP434A0131	-0.6825
ELA3A	-2.0965
RBM41	-0.31675
HAO2	0.084
RNH1	0.0305
SHANK2	1.206
OSBP2	-1.0235
DAK	-0.406833333333333
C3orf58	0.02125
TCL1B	1.392
KBTBD2	-0.41925
SUGT1L1	-0.1595
UBE2E2	-0.189
MYL9	2.053125
CDC23	-0.191
PBXIP1	1.9205
CXorf40B	0.87
NBL1	0.8085
RTBDN	0.1655
RAB11FIP5	-0.139
TTTY13	-0.035
SCOTIN	-0.191583333333333
SOHLH1	-0.548166666666667
CDKN1A	-0.248642857142857
NCK1	0.21925
ZNF550	-0.48025
SAPS3	0.7495
SPIN3	-0.182166666666667
MAGEE2	0.042
MIS12	-0.914166666666667
OR8H2	0.3515
KIAA0774	-2.291
UNC5D	-1.902
CUL7	-0.940833333333333
LIPC	-3.124
DIO1	0.11825
C20orf11	0.2095
CTRL	-0.39925
HS3ST2	3.3895
PAK4	0.9665
CCRL1	2.202
RNF10	0.490125
ZNF567	-0.03975
ZNF660	-1.675
TCEAL3	1.08525
MAGOH	-0.506666666666667
CENPB	0.52
C19orf7	0.468
LOC388965	0.67425
ZCCHC13	0.3525
JMJD1A	-0.8374
HIST1H4H	0.193
TBRG1	-0.4519
GPC3	-4.395125
TAF1C	-0.47025
EBNA1BP2	-0.5095
CIAPIN1	0.0475
PDGFRA	0.00355555555555554
CSTB	0.000250000000000004
CENPI	0.155333333333333
GTF2E2	0.927833333333333
RPP21	-0.10475
CCNF	-0.0968333333333333
KCNQ3	0.994
FAM79A	1.53225
SLC22A12	0.6065
NOVA1	-0.918
FZD3	-1.9722
AKAP8	0.06525
SOCS5	-0.634125
CFDP1	-0.55125
DLG5	-0.23475
PGM5	0.148333333333333
C1orf144	0.528
HDAC10	-1.091
RND2	-0.97125
C20orf199	-0.969
RNMT	-0.69875
SLURP1	0.311625
ASTN1	-0.7735
SH3BGR	1.061
MYCL1	0.59075
ZHX1	-0.929333333333333
CENPK	-2.104
FOSB	0.6089
LOC643406	0.117125
C2orf59	-0.774625
TMEM135	0.097375
SLC27A2	-3.36225
KRT33A	-0.0115
OVOL1	1.959
PAMCI	-3.31783333333333
S100A7	-0.942
ZNF789	-0.753
HARS2	0.9345
RPL23A	-1.56966666666667
TCF23	0.581
UPF3B	-0.576375
C17orf78	0.1965
HLA-DOB	2.03083333333333
C14orf142	-0.074
TEKT5	1.59766666666667
DMWD	1.209
POLD1	-1.54583333333333
GSCL	0.094
CALD1	-0.3724
SCRT1	0.389166666666667
AIG1	0.87025
UNC84B	-0.28425
ZNF404	-0.5005
TMED6	-0.021
KIAA1462	0.168
LRRC27	0.810833333333333
PYGO1	-0.391
PIGU	0.101666666666667
ALAS2	-3.50716666666667
WRNIP1	0.23975
CNNM3	-0.1535
ZNF2	0.51825
ST3GAL5	0.0520833333333333
MRPL23	-0.18425
TSSK6	-0.15875
PSMA6	0.37175
C16orf70	0.65525
KIAA1602	-0.14525
ALMS1	-0.00833333333333334
DCN	2.7655
TMEM132D	-0.37775
SUCLG2	0.35575
ABHD14A	-0.24525
DEXI	0.715333333333333
AMPD2	-1.216
IFNAR2	-0.178333333333333
CYB5A	2.1805
TLOC1	0.25755
NXF5	-0.653
NRBF2	0.284125
KCTD3	0.80575
ITGAE	-0.472666666666667
SLC30A3	-2.03
ZRF1	-0.0685
IFRD2	-1.319875
XAB1	-0.26975
PYCR2	-0.1345
SERPINB3	-4.0915
TMLHE	0.2672
GEFT	-1.454375
ABCA5	-0.286375
EMR4	0.0811666666666667
TSFM	0.17
HIST3H2BB	-0.0655
ARHGEF19	1.3335
TSPAN17	0.242333333333333
ABCC8	1.47025
MAP1S	0.1335
C22orf36	0.9885
BNC2	-0.836071428571429
HIST1H4A	-0.55025
NDUFS3	-0.0411666666666667
WDR3	-0.7345
XKR4	-0.239
TTC33	0.00335714285714286
STMN2	3.66575
CPN2	-0.630166666666667
HSPC105	1.567125
PCOLCE2	-1.955
C3orf55	1.2
KLHDC9	1.72433333333333
TBC1D23	0.272625
ATXN2L	-0.883083333333333
MAP2K3	-0.440916666666667
SCAP	-1.15075
ZNF486	0.464
C20orf96	0.45875
NARS	0.07075
ADAMTSL1	-0.641357142857143
PRCC	1.02266666666667
CCDC126	1.75316666666667
ZNF675	-0.82675
CALCOCO1	0.46325
ANKRD43	3.291
CWF19L2	0.209666666666667
ZBTB32	2.3945
BRAF	-0.42725
ODF4	0.1365
MGC14376	0.8725
HORMAD1	-2.09033333333333
AAK1	-0.21
PEBP1	0.441666666666667
TNFSF5IP1	0.094
DKFZp564N2472	1.03825
RMND1	-0.76425
IGKV1-5	5.28625
COL1A2	2.81508333333333
SERPINA5	-2.627
AANAT	0.813
C19orf21	-0.790833333333333
GEMIN5	-0.233
UBR4	-0.107333333333333
LTBP3	1.22816666666667
AMHR2	-2.32566666666667
PROCR	-0.827
MYBBP1A	-1.24
C20orf39	1.7645
ZNF697	-0.181
PASK	0.0793
ZNF776	0.24
RFXDC2	-1.031125
KIAA0467	0.0785
C10orf96	-2.369
ZNF503	-1.21475
GULP1	-1.28941666666667
KCNE4	-0.844333333333333
DKFZp434K191	-1.669875
LOC196913	-0.0625
BHLHB4	0.774
CH25H	-0.85125
LOC81691	0.735833333333333
ALPL	0.780714285714286
COL12A1	3.13225
FOLR3	-2.41083333333333
GPR123	-0.015
TRIM62	0.521714285714286
ABLIM1	0.773333333333333
MAST3	0.02325
RHBDD1	0.804833333333333
LOC338809	0.6965
RYBP	0.21
TTC26	0.1995
ZNF22	-1.16616666666667
ISCA2	-0.7785
RDM1	-3.5395
PIGM	0.732
GNB3	-0.6895
ACTR2	0.0917
HMGB1	-0.53415
EDG1	2.4655
SOAT2	-2.22025
OR10AD1	0.4245
RAP1GDS1	0.210583333333333
LCE1F	0.1835
ESM1	-1.2225
RCN3	2.24425
CREBL1	-0.3705
DBNL	0.0181666666666667
PTGER3	1.312875
USP30	0.589833333333333
BCL2L12	-0.644333333333333
KIF26B	2.06775
ZNF416	0.3465
ZNF225	-0.072
C17orf70	-0.09875
ZNF554	-0.29225
RAE1	-0.297166666666667
TNIK	0.558333333333333
ACTN3	0.1665
MGC45922	0.7215
CCNA1	-1.44083333333333
RYK	-0.212833333333333
IL26	-0.599
LRP3	0.431333333333333
QARS	-0.63825
SOX7	0.674142857142857
BID	-0.507375
OR2S2	-0.125
CXCL14	3.64175
C11orf47	0.021
MGC29891	0.619833333333333
HSPB8	-0.1927
PRDM14	-0.8045
NUFIP2	-0.68225
MNAT1	0.14075
ZDHHC2	-0.838833333333333
MBNL2	-0.078125
ADD3	-1.165875
CSNK2A1P	-0.695
KLK6	-2.22483333333333
TMEM111	0.313
KIAA1279	0.59475
NUBP2	0.581
RAB42	-0.16075
ID3	-1.1067
TM9SF1	0.95125
MDP-1	0.65375
POU4F2	0.40425
IQCK	1.32125
C16orf14	-0.0745
CAPN3	-1.677875
FAM43B	0.11225
RECQL	-0.78175
AP1G1	0.277428571428571
CTNNBL1	0.3905
ECHDC1	-1.82733333333333
SMARCC1	-1.0331
FOXQ1	-2.38275
GNAI3	0.242333333333333
POLG2	-1.311
CD4	1.779125
ITLN1	0.80575
EBI2	3.779
IRF1	1.88725
PTPRE	0.7707
PTK2B	0.26425
NXNL2	-0.0975
SOX4	0.893222222222222
TSPAN3	-1.16316666666667
SH2D1A	-0.655333333333333
C8orf58	-0.163333333333333
USP20	-0.80275
DUSP22	0.19925
CALB1	-1.8955
L3MBTL2	0.259
MCRS1	0.02075
TMEM118	-1.20183333333333
C18orf8	1.2205
FLJ10241	-0.114375
GJA12	0.476
PKD1	-0.401
ZFP3	0.2845
JAM3	-1.27925
LAPTM4A	1.2739
DIRC2	0.64225
KIAA2022	-1.13316666666667
MYOM1	0.0398333333333334
TRPM8	-2.71916666666667
MOP-1	1.21075
PHKG2	0.4375
ZNF650	0.057625
KIAA1522	1.036
PSG8	-1.325
DDX19B	0.1605
MOBKL1B	0.176
DIAPH2	-1.10075
PTPN12	0.31
CLN8	-0.8888
CRYZL1	-0.776833333333333
CRY2	0.443916666666667
FCGR2B	4.46566666666667
PNPLA4	1.48925
ZNF454	-0.188
DKFZp434B1231	0.07425
CLDN11	0.1997
RFWD2	1.0375
CIB2	-1.05016666666667
MXRA8	2.567375
HRK	-0.9765
MAML2	-0.5965
C4orf31	-1.633
C6orf192	-0.79525
COG6	-0.395125
FAM5B	-0.0075
NFATC1	0.2418
SEPT10	-0.53675
SCYL1	-0.0732
RPP40	-0.672
SCOC	-0.00790000000000001
KIAA1450	0.345
CTDSPL2	-1.30525
TBX5	1.3235
NAPG	0.329375
RHD	-4.116
C14orf45	0.902666666666667
ZBTB22	0.3615
PLCG1	-0.2065
ANKRD10	-1.773625
AQP7P2	0.88625
TAGLN2	1.1505
HTR2C	-0.995333333333333
SLC16A7	-1.0925
C17orf83	0.289666666666667
TSGA14	-0.81525
MDH1	-0.0455
PPP3R2	0.286666666666667
DCBLD2	-1.78957142857143
RBM33	-0.28175
DPH3	-0.94975
SYT10	-0.717166666666667
FMO4	2.165375
THYN1	-0.4125
DRD5	-0.923
OTOR	1.15875
PGRMC2	0.4205
KATNAL1	-1.116875
PAQR6	-1.95625
UBE2I	0.08175
C14orf28	1.01825
C8orf70	0.762
FLYWCH1	-0.0445
ANGPTL3	-1.044
GLRX2	1.15216666666667
ATP11A	-1.11671428571429
ARL5B	0.81175
MUC16	-3.09075
SLC25A5	0.314785714285714
ACRC	-0.622
MYO1C	-0.783
FAM89B	1.5855
FAS	0.940875
KIFAP3	1.28775
GLRA2	0.3535
BTN3A2	1.099
CNKSR3	0.49125
CSTF3	-0.719333333333333
ARPM1	-0.16875
KIAA1530	-0.1245
C9orf150	1.47
PRKCI	-0.35525
tcag7.1015	-1.16225
SOD3	0.24225
ZNF574	0.417
CYP21A2	0.6585
RPL12	-0.50125
COMMD2	-0.99025
WIZ	0.486
LOC344405	-1.48675
ALDH4A1	0.422941176470588
CRYAB	2.08225
COPA	0.8749
PCDHGA7	0.669
KIF11	-0.77075
RASD2	0.170125
SLC26A3	-0.391
ZNF175	-0.455
JAKMIP2	-1.184
C8orf4	-0.508833333333333
PTHLH	0.5615
SLC40A1	1.36766666666667
OR7D4	0.412333333333333
PCDHB17	-0.175
CD36	4.10657142857143
C6orf203	0.4488
PRKG2	0.3285
LOC400566	0.623
ANAPC13	0.104
SLCO3A1	-0.68675
ZNF692	-1.113
FANCL	-1.353
SH3GLB1	1.0965
C12orf61	0.1575
KBTBD6	-0.3225
SUPT5H	0.41175
XRCC6	-0.9355
HUS1B	0.3807
FAM133B	-0.543714285714286
LOC728276	0.1645
KCTD18	0.53975
SOS2	0.554666666666667
CCDC99	-1.069
C1QTNF5	2.622
NNAT	1.406
USP16	0.097
LARS	-1.048625
ZBTB2	0.656125
ABO	0.1545
TRAF3	-0.1785
GALNT5	-1.729
NAP5	0.90275
ALG14	0.729
KIAA0515	-0.676538461538462
WDR75	-0.656666666666667
TEX261	-0.149916666666667
LY86	1.05275
LOC389072	-1.2925
FLJ13611	0.235
MRGPRX2	0.238
SNRPA	-0.826375
OR2G2	0.3735
GPRASP2	0.70275
C7orf42	0.6443
C9orf163	-0.521
CYP11B2	0.0715
FCRL3	1.03383333333333
PRDX1	1.1345
FGB	-5.907
COX17	0.597666666666667
C16orf33	1.47025
PIWIL1	0.2242
FOLR1	-2.8085
KIAA0082	-0.1245
FREQ	-1.75166666666667
TMCC2	-0.886666666666667
TCF12	-0.576
ZNF721	0.11275
FAM130A2	0.726
POU4F1	-2.28675
SNRPF	-0.228125
SGIP1	2.0425
ZNF641	0.3485
EMG1	0.0385
PRRG4	1.5595
HIRA	-3.74
MYNN	0.2255
AEBP2	-0.85425
TBXA2R	0.2935
ISL2	-0.860833333333333
PCDHB11	0.34
RNF144A	-0.34825
MARCH5	0.235375
DULLARD	-0.3585
DCLRE1B	-0.591166666666667
ITGA8	1.145
TP73	-0.313
PRKCD	1.388
NDUFB4	0.71875
ATP13A4	2.809125
ANTXR2	-0.678333333333333
COL4A3	-0.217666666666667
MYO10	-0.5248
SLC6A18	0.572
PEX1	0.61375
TMEM74	-1.215
RBM19	0.16275
TAPBP	0.727
RUNX1	0.382125
MID1	-0.985
GPR64	-0.0373333333333333
RASEF	3.82325
GABRG1	0.37175
MYO16	-0.36625
DBF4	-0.349166666666667
TSHZ2	2.19875
RIPK2	0.675625
PPTC7	-0.375666666666667
KIF4B	-0.229
LRRC31	4.963125
ZNF540	0.74975
EFNB3	0.125833333333333
LOH12CR1	0.356125
STON2	-0.273
GLP1R	0.15875
CSTF2T	-0.605375
IREB2	-0.72525
GRSF1	0.142
PDCD7	-1.7135
LRRC43	-0.8115
CNR1	0.3425
IL1F7	-0.5975
C12orf64	-0.2485
FAM69B	-1.63725
NR2E1	-1.85666666666667
MS4A6A	3.1145
FTL	0.5922
C7orf36	-0.52425
PCLO	2.0434
DYRK2	1.21608333333333
ARIH2	-1.14375
SAMD7	0.112
SCNN1D	-1.21475
SLC32A1	-0.6555
C22orf25	-0.371
MRPS18A	-0.0658
GPR112	0.184
EARS2	-0.4495
ERN2	0.9175
ATPBD3	0.0953333333333333
PRH2	0.3805
CDKN2D	0.485666666666667
PGLYRP2	-0.78225
TRIM40	-0.0725
SEC14L3	0.0365
SLC22A1	0.16375
BTN2A3	0.162
RASA4	0.48575
CCNL2	-0.1805
MYBPC3	0.5395
GJA4	3.0165
CDC42SE1	1.354625
TRPV2	-0.17
MYPN	-3.2979
