Hybridization REF	TCGA-AN-A0AJ-01A-11R-A00Z-07
NBPF20	-0.9935
WDR24	0.548
NPTX2	-3.01475
CBLB	1.24116666666667
CETN1	0.1635
RPUSD1	0.886
FAF1	-1.4905
CDK6	-3.1314
HMX2	0.6665
CSK	-0.181
TEAD2	0.74025
SNAP25	-1.49575
TUFT1	1.2363
TMTC3	1.30983333333333
LCK	-0.60125
SGOL1	0.379666666666667
AKTIP	0.46875
FURIN	1.854625
SOX12	0.144
DEFB103A	-0.5085
RAMP1	0.5745
KIR3DX1	0.268
GAS2L3	0.199
PDE8A	-1.5143
EDN3	-0.76375
GMIP	0.6165
SF3A2	0.52675
FN3KRP	0.46925
SMAD7	0.52825
RHBDD2	0.114
OR11H6	0.6485
PPP1R3B	-0.5015
C9orf23	-1.037
CADPS	-1.797
GOLGA8A	-2.93475
TMEM57	0.995333333333333
RGL3	-2.219
S100A14	2.0595
FGFR2	1.3166875
XRCC3	-0.1795
RTN4RL2	0.60375
MGC3771	0.1005
GH2	-0.0261666666666667
BTBD2	-0.329
LMO2	-0.71275
RDBP	0.54
ACRBP	-1.1825
AMY2A	0.86675
DUOXA1	0.557
PTK7	1.34216666666667
TWF2	0.0128333333333333
FAM80A	1.86425
TNNI2	-2.72283333333333
GLT25D1	-1.05733333333333
OCC-1	-1.56225
CYC1	0.888333333333333
RPL22	0.177045454545455
MORN3	0.803166666666667
DISP1	1.398
PRB2	0.002
CHUK	0.075
HR	-0.694875
CCDC134	0.168125
DENND4B	-0.075
C14orf130	0.480375
RAB33A	-0.86125
DCST2	0.7275
TNMD	-1.584
PEX7	0.3775
FAM62A	0.405625
SRD5A2L	0.73425
IL22	0.2955
RPS26	-0.572666666666667
HOXC5	0.9435
SPATA6	-0.16575
FLJ38482	1.80025
ZNF234	0.559
C18orf22	-0.052
SPATA22	0.143
THOC1	-0.464
CYP7B1	1.923
KCNC3	-0.242
C8orf42	-0.6315
ALDH1B1	-0.442
CCDC100	0.7837
ARMC4	0.7065
FAM18B2	-0.5935
SLC44A1	1.0745
FBXO17	-2.20833333333333
C6orf107	0.70375
C19orf29	0.1385
ZC3HAV1L	-1.06025
PARP6	-0.00319999999999999
SULT2A1	-4.62
C1orf159	-0.14275
TMC1	0.696
CHST14	-0.428
GAMT	-3.394
SMCP	0.328166666666667
TSPAN33	0.113833333333333
MIDN	-0.34125
NOX4	2.997
RNASEN	-0.3158
TBX1	0.728333333333333
SALL2	-0.40775
C10orf35	1.622
CYP2E1	-0.331875
LRFN2	3.3185
ACO1	-1.447
IQCG	1.9959
MEGF9	1.93425
TM7SF4	3.42825
PLEKHA1	-0.2164
STK33	-3.116
C1orf210	2.95275
SNUPN	-0.1222
KIAA0406	0.2641
C20orf29	0.13625
TMEM55B	0.3965
OSTM1	1.4733125
CLCN7	0.17075
OTP	0.882
FLJ23049	3.291
HEATR4	1.4035
MAP3K10	0.400833333333333
PCDHGA9	0.308
AMDHD2	0.59375
LCTL	-1.5135
PDCD2L	-0.27025
CABLES2	-0.06075
SLC5A9	-0.53025
CLCA2	-1.1585
MGC16025	0.108
STRAP	-1.4095
C20orf196	-0.5315
RRBP1	0.397666666666667
NAT13	0.234
MAT2B	0.1115
CSNK1D	-0.147
KIR3DL1	0.70975
PRKAG3	2.0905
ZNF599	0.0595
PRM3	0.6835
PER2	0.754833333333333
ASPHD1	-3.0315
PRMT6	-1.7175
KCNE1L	-0.846785714285714
FAM118A	-0.6345
TAF4	-0.06325
NDUFB6	-0.42975
TRIM9	-1.82991666666667
PMFBP1	0.3785
KY	0.355
DKFZp762E1312	-0.657181818181818
CSMD1	-1.27825
TBP	-0.286
OR1Q1	0.1985
RETNLB	0.77125
HPGD	0.281071428571429
DNAJC12	-0.922
FKBP1B	-2.29875
ANKRD24	-0.0765
CXXC5	0.759833333333333
IL3	0.012875
DRAM	1.4512
PTCH1	-0.187125
TP53BP1	-0.0515
SLC17A7	0.42525
COL25A1	-1.0169
AMACR	0.554833333333333
RHCG	-0.3605
VPS13A	-1.08916666666667
FAM55D	-0.2915
PRPF38B	-1.03108333333333
OSBPL6	2.90475
PFDN5	0.3401
CMTM6	-0.0685
KCNK12	-1.53925
RP2	0.2335
C16orf52	-1.52725
PICK1	0.466
IFNE1	-1.1165
SEMA4B	0.3515
TYRO3	-1.61175
OR12D2	0.5645
CSNK1A1	1.2038
FANCF	0.5585
LONP2	0.0655
TBL1Y	-0.10075
LDOC1L	-0.284375
CCNC	0.1355
C3orf60	-0.11175
CHKA	-0.4615
UBAP1	-0.1485
MAP3K1	0.7095
ANKRD9	-0.51625
FAM92A1	0.3415
GAB2	0.00174999999999998
AZU1	0.085
DIS3	-0.913833333333333
C21orf109	-1.20775
IQCB1	-0.7355
SPATS2	-0.0796666666666667
EFCAB3	-0.84725
PRB3	0.410375
FUZ	-0.103
ZNF813	0.253
BMPER	-0.845
HEG1	-0.517125
ALS2CR11	-2.36625
SURF2	0.36075
PSMC1	-0.17175
OR2D2	0.353
SLC7A8	0.618
C4orf40	0.00799999999999999
SPATA7	0.58075
MAZ	0.0506666666666667
PIN4	-0.34225
PDE1A	-1.749625
TAF6L	0.679666666666667
OR2T34	0.539
KIAA0284	-0.136
ACADS	0.147363636363636
MKRN2	-0.2765
C18orf56	-2.64275
MS4A6E	0.746166666666667
GALNT4	0.7432
C22orf31	0.303
FLJ36070	0.565
PSME4	0.26425
TFG	-0.3466
EPHX2	-1.92075
ANXA5	-0.683625
KRTAP1-1	-0.096
BATF	2.29975
KARS	-1.9275
MSTP9	-1.085
GPR26	0.191
CCDC72	0.194
TEF	0.481833333333333
FOXK1	-0.4512
PRLHR	0.454
EMX1	0.85725
C11orf30	0.076125
ICK	1.289875
THSD7B	-0.08475
C21orf100	-1.0295
DUOX1	2.5165
EFCAB4B	-0.6905
UBE2G2	-0.721333333333333
C3orf54	-0.03025
PARP1	-0.1015
FAM60A	-0.6655
C6orf146	0.3475
OR9K2	0.6925
DDX55	-1.16783333333333
RPS15	-0.188
ZNF618	0.27475
DKFZp686D0972	0.92925
SSPO	-0.29
SHFM3P1	0.902166666666667
CPA6	-1.31175
JAG2	0.027
DEFA3	0.1375
PPBPL2	-0.0738333333333333
CD34	3.335125
SLCO4A1	-3.2665
AFG3L1	-1.9535
SHD	-0.50275
RP13-122B23.3	0.037
PRKCSH	-0.6985
DPH5	-0.6255
HLA-F	2.121625
TBC1D4	-0.98275
RIG	0.124166666666667
GLUD1	-0.640333333333333
HNRPCL1	0.473625
HBXIP	-0.6135
RNF207	-1.0715
APIP	0.2335
PLA2G3	2.07866666666667
CCDC84	-1.6465
MYLIP	0.0568461538461539
PHIP	0.3375
AARS2	0.360833333333333
DHX32	0.2545
SCAPER	-0.190166666666667
MEN1	0.278375
NIP7	-1.189
FLJ25404	0.6315
FASTKD3	0.12275
TMEM158	-1.90991666666667
RARA	1.76325
BDH1	1.0445
ANKRD16	0.35425
CARM1	-0.1505
SS18	1.0505
IKZF2	-0.45175
MYD88	0.227875
PML	0.3326
TAF1A	-0.7575
CBFB	-0.573625
HIST1H3H	-0.672166666666667
C7orf29	-2.56425
COMMD4	-0.356
DPP3	0.2915
DAB2	0.386375
LOC388882	-0.039
YPEL4	-0.16875
AGBL3	0.81025
LRP6	-0.1674
SERPINH1	0.07925
TLE1	-0.39975
CD244	1.684
ZDHHC15	-0.54625
MGLL	-1.017
PLDN	-0.59775
LOC654346	2.0045
FAP	2.19675
GPR37	-1.08533333333333
SCARA5	0.570833333333333
EBF4	1.559
LSM6	1.05425
MLLT1	0.1188125
SLC5A12	-0.00950000000000004
A2BP1	-1.11033333333333
COPS5	0.666333333333333
TPM4	-0.625571428571429
TNFSF4	2.72783333333333
ACADSB	1.64738888888889
HERPUD1	-0.34675
BCL2L11	-0.235611111111111
CEP78	-0.532875
CDCA3	0.17225
WBSCR19	0.00149999999999998
MYO1A	-1.773
PPEF1	2.78183333333333
LOC440348	-0.70325
CPEB2	0.773
BPTF	-0.0513333333333333
RPL21	-0.261625
GSX2	0.7445
ADPRH	1.1755
C17orf68	0.451333333333333
KCNS1	-0.838333333333333
MLLT6	0.0865
PIWIL4	-0.26225
RNF26	-0.78125
RAP1B	0.46325
ADAMTS1	-3.5039
ZNF571	0.709
P2RY6	0.52525
TRIM21	1.60583333333333
CADM3	0.5225
NLRC5	1.15816666666667
ADRA2B	-0.0906666666666667
LOC90835	1.23125
PCF11	0.01625
LOC400451	0.5465
GLTSCR1	0.4696
C17orf88	-0.585
CDH16	-1.6315
FGF7	0.58325
PCSK4	-0.904666666666667
NPC1L1	-0.31
TAT	0.203
TBCA	0.149
MGC33407	0.3045
GPR115	-0.921875
CYGB	0.152
FNBP4	-1.04
C12orf43	-0.5495
CBL	-0.7266
CLECL1	1.33725
PPAPDC1A	1.694
WDR25	0.68
SGCA	-0.5805
C22orf29	0.499666666666667
YIPF1	1.04875
GALK2	-0.752
RAB3B	-1.46091666666667
LOC440087	-0.318
UCP1	2.4325
REEP5	1.597125
FADD	2.4193
FOXA1	3.11325
CACNA1A	0.376333333333333
ABI1	0.106833333333333
GRIN2D	0.63075
SLC1A4	0.5615
LOC401127	0.15925
HINT2	-0.7345
PLD4	0.0065
ZNF286A	-0.4785
ENY2	1.001
IL1F6	-0.0555
PXDNL	1.4385
C20orf79	-0.021
TNFSF13B	3.82383333333333
DENND3	0.13275
JARID1D	-2.866
HIST1H2AK	-0.17
LOC93349	0.7349
SSH1	-0.0459
ENSA	1.865
LOC219854	-0.353333333333333
CKAP2	-0.5997
DKFZP564J102	-1.55433333333333
MGC87315	-0.680833333333333
HNRPAB	0.33975
AMH	-1.189
ZNF526	0.9375
BRUNOL5	-0.5058
CACNG3	0.295
TRPM1	-1.939
PPP2R1A	0.555375
COL2A1	-1.63225
DDN	-0.0246666666666667
FLJ25770	0.224416666666667
HK2	-0.450071428571429
ELOVL6	-1.701125
MDK	-0.85225
EPHX1	1.6545
RASSF2	0.596875
DKFZP434B0335	-1.334
DLX3	0.743625
PRTN3	-0.061
AVPR1A	1.252
C21orf125	-2.171
TNFAIP8	0.426666666666667
GNB2L1	0.298
CALCRL	1.95225
SCGB2A2	2.17766666666667
UBXD7	0.01425
ZNF674	-0.062
TMEM35	-0.166625
BRSK2	-0.29525
HECTD3	-0.235333333333333
TMEM188	-0.656666666666667
LGALS9	2.0965
SCARB2	0.950083333333333
USP34	-0.463333333333333
C17orf28	1.88091666666667
ZDHHC23	0.24125
AQP12B	0.2685
SLC16A3	-1.944125
APLP2	0.15725
ITIH2	-5.061
MICAL3	-0.60825
TNNI3K	0.0487
HDAC2	0.356375
PRR7	0.3069
THBS2	0.03225
LOC751071	0.460333333333333
CA2	1.02466666666667
RANBP17	-2.90325
RLN3	0.3365
CRYZ	-1.27133333333333
GBAS	-0.150833333333333
TAS1R1	-0.2675
MPZL3	0.2595
PCDH8	-2.77475
HSP90B1	-0.617083333333333
KCNK15	0.236
TNIP2	0.778333333333333
GPR146	0.3155
NOL6	-0.09475
SPC25	-1.24455555555556
STEAP2	0.509071428571429
VAMP3	-0.345333333333333
TCIRG1	0.08925
ZP4	-0.281
PARL	0.1855
TRIM39	0.842666666666667
KIAA1305	1.10325
CRNN	0.386666666666667
GRN	0.5535
HSH2D	-1.41275
SCAMP1	0.512125
KIAA1913	1.132
PTS	-0.5945
BANP	-0.120142857142857
PRKACG	-0.17925
ADCY6	0.716333333333333
C16orf46	0.113
CYP51A1	-0.66225
DDC	-5.817
ANPEP	-0.0873333333333333
PROM1	-1.68516666666667
SIGLEC10	2.465
COPG	0.8845
FAM26E	1.1995
TRIP4	0.263
SNX3	2.79366666666667
C1orf175	0.3325
PPY2	0.426
C14orf152	0.1255
FTSJ1	-0.2465
DST	-1.50285
LOC554235	0.18325
GLRX5	-0.2115
C20orf12	1.0556
CAB39	0.154166666666667
MSH2	-1.46066666666667
PIP4K2C	0.99375
CYLD	0.989125
WTAP	0.699375
MGAT4A	1.30033333333333
TSC22D4	-0.4685
CHRM2	-2.1225
PPYR1	0.448333333333333
CCNH	-0.297833333333333
RRM1	0.23975
ECAT8	-3.22475
LOC400120	-0.02925
GABRA4	0.046
C14orf4	0.884
C1orf59	-0.23875
CTDSPL	0.142916666666667
NHEDC2	-0.991
PDE11A	-1.6098125
KLHL29	-2.074
CD5	0.7414
TSPAN9	1.209125
WDR67	1.2615
THUMPD1	0.4338
C18orf17	-1.01525
CLYBL	-0.265166666666667
FLJ13231	-0.370625
CMBL	-0.443125
LECT2	-0.175
NKAPL	1.19733333333333
LOC654780	0.4095
OR4C6	-0.798
RAB30	1.15433333333333
TSSK4	-0.2075
TMEM163	1.311
OSBPL11	0.414166666666667
GNB5	-0.869166666666667
CCL21	0.61925
C1orf121	0.311166666666667
FMO2	0.640333333333333
RPTN	-0.0245
MSTN	1.192
VCL	2.45421428571429
FYTTD1	0.09825
C11orf1	-1.38675
CCDC88C	0.74175
HFE	0.222055555555556
MOGAT1	-0.869
FAM125B	0.653166666666667
IRGQ	0.45
RAVER2	-0.5475
AKAP5	-0.1515
SSSCA1	0.2415
C11orf63	-0.95175
ACTG2	-0.4777
PORCN	-0.4195
DTL	-0.483818181818182
TMEM151	0.6885
FAM122C	-1.75075
RSAD2	3.6827
BAT4	-0.3555
KRTDAP	-2.10233333333333
MYH8	0.3945
CRTC3	0.236
LRRFIP2	0.76
INTS4	-0.618833333333333
TTN	-1.5065
SLC26A5	0.3605
PLLP	-1.0095
RGS6	-0.683125
SRGAP3	0.4495
ZNF525	0.285333333333333
NBR2	0.244833333333333
C13orf1	0.2959
ZNF137	0.3365
CEP27	-1.20425
BEST2	0.374
RNF121	0.615
DMRTC2	2.865
C8orf76	1.01625
BCCIP	-0.19075
MEST	-0.361
HTRA2	0.2385
ANGPTL2	0.677
ILKAP	-0.145333333333333
ERAS	-0.263
HBS1L	-0.872
CPA5	0.569
TMEM30A	0.7325
CD300LF	2.8675
WISP3	-0.419
CRK	-0.496714285714286
PDS5A	0.343
BRPF3	0.533833333333333
NEDD9	-0.668375
SMPDL3B	-0.07125
PSG6	-0.78725
PSMD13	0.65825
ETV5	-2.6884375
OR51A4	0.1135
BTBD7	0.340583333333333
GSTO1	-0.5635
hCG_16001	1.1425
MAD2L1BP	0.766166666666667
COX6A2	0.714
SCNN1A	0.3005
LSM1	-0.602666666666667
UGT2B11	-1.76625
IDUA	0.5535
PPP2R3C	-0.765333333333333
COX11	0.662
PDZK1	-0.00925
ZNF443	0.3345
MGC21874	0.863833333333333
ZNF323	1.3137
KRTAP10-10	0.0185
CXCL6	-0.40225
SLC34A2	0.3722
LOC284402	0.325
NPTN	1.0445
UPP1	-1.51458333333333
SLC6A9	0.887
OR7G3	0.55125
CISD1	0.0893333333333333
ZNF545	-2.11633333333333
SYT14	-0.737
NT5C3L	-0.1635
ZNHIT3	0.659333333333333
SNRPD3	-0.54425
KIAA0701	0.051
UNC93B1	0.0361666666666667
GMNN	-0.419375
SPCS2	0.0643333333333333
LOC388524	0.54
NAPRT1	-0.40125
PNLIPRP1	0.4335
OR6V1	0.791
PRKAB1	-0.71
EYA4	-3.4735
KIF20A	-0.08175
ALG10	-0.13075
ITPKC	0.898666666666667
LMX1B	1.89066666666667
RPUSD4	-0.462333333333333
C7orf34	0.151833333333333
DLGAP2	0.223875
PFN1	0.7121
MICALL2	0.0849166666666667
ZNF654	-0.0085
SS18L1	-0.284875
SLC16A8	0.0815
MKI67IP	-0.179666666666667
ITGB3	-1.792625
TCEA3	1.92
CEP152	-1.6063125
CLIP1	-0.083375
ZNF75	0.3945625
ATP5C1	-0.2895
NUDT5	2.10166666666667
PSCDBP	1.39225
UBP1	0.13825
RBM27	0.26475
C13orf15	2.240375
ZNF282	-0.105
ZNF222	-0.329
COL10A1	5.7385
PRDM15	-0.49925
TTTY5	-0.0325
FAM9C	-0.354666666666667
C20orf67	0.24975
GNG13	2.0995
F12	0.08
C1orf41	-0.60475
CPXCR1	-0.0965
GSK3A	0.5375
SUPT6H	0.565
PI16	0.909666666666667
ELL2	-0.955833333333333
C9orf167	-1.713
PVRL3	-1.9212
FLJ38596	0.75375
ADAM20	-0.2525
GPR89A	-0.174
GPR87	-0.8585
ZNF30	0.6825
SMR3B	0.3985
ZNF770	-0.041125
TRPC4AP	0.2965
DKFZP686E2158	0.580333333333333
C2orf28	-1.00566666666667
FREM1	-1.27033333333333
LAMA4	0.246333333333333
ADPRHL2	0.571
EIF4G2	1.13816666666667
GUCA1A	-0.086
CTNNA2	-1.011
NUDT15	-1.1275
CEPT1	-0.596166666666667
ZNFX1	0.5914
CCDC92	0.50875
TDRD1	-1.114
KCNK5	1.50983333333333
ETNK1	-0.7125
LTA	0.882
TTPA	2.41483333333333
B3GALNT2	-0.01775
SC65	-0.6495
PEX5L	-1.32725
EPS15L1	0.1545
MGEA5	-0.41175
HIST1H3A	0.74775
ING1	0.134125
BCAT1	-2.192
ORC6L	-1.68754545454545
KLK11	1.87783333333333
C19orf28	-0.686625
DNER	-4.383625
MED22	-0.402428571428572
ETV6	0.944666666666667
CHAC2	-1.57775
CD300E	0.736
CEBPB	0.769666666666667
ZNF398	-0.569
LRCH3	0.468
HMGA1	-1.155
CAPN7	-0.235
MGC5566	-2.087
CCL3	3.748
NANOS1	0.00812500000000001
ZFYVE19	0.3285
APITD1	0.132833333333333
PARD3	0.407125
IRAK4	-0.157833333333333
SERPINI2	3.024
CEP170L	-0.6295
TTC9	2.507625
MYOM3	-1.819
MLPH	0.849625
LOC222699	-0.0445
NRG1	-1.27183333333333
TBC1D9	1.10772727272727
TTK	-0.0105
ZNF557	0.8644
DDX41	0.087
FANK1	2.018
UBE2D2	0.370375
PSMB10	0.6685
MYH7B	0.393
GABARAPL2	-1.100875
MARVELD2	1.83866666666667
DGCR2	-0.228
UNC45A	-0.192666666666667
C6orf72	0.09
ZNF683	4.76575
GIT2	0.0705
CASK	0.567666666666667
C14orf161	4.7885
LRRC44	-1.36225
TIFA	0.482125
UTP11L	-0.833
C6orf65	-1.34275
FDPS	-0.01
DUSP9	-1.7993
SLC17A8	0.264
OR51G1	0.609166666666667
NANS	-0.088
OLFML1	1.611
ATP10B	-1.401625
NPAS3	-1.91925
PRKCA	-2.6465
GGA2	0.0103125
LCE4A	0.5835
SPANXN3	0.38775
CCDC115	0.590625
SDCCAG3	-0.936
GLIPR1L1	-0.11575
TTC1	0.2635
C17orf76	0.8755
MAD2L2	-0.7085
HIPK1	-0.375
LRRC3B	-0.847666666666667
CLN3	0.0159545454545455
C17orf47	0.6835
FMN2	-3.276375
TUBB1	-1.22425
WAPAL	0.0945
C3orf21	0.06925
SCN5A	-0.3539
SMYD1	0.377
BEX5	0.46925
ZNF192	0.0495
SEC22A	0.752166666666667
GRIA2	0.729642857142857
KIAA0825	-0.744
NUSAP1	-0.690181818181818
LANCL1	-0.274375
C15orf40	-0.5263
ZNF645	0.100125
GPR61	-0.07625
NLRP14	0.055
SNX21	0.8415
C1QTNF8	0.1835
C17orf46	0.30175
IFNA8	0.1855
SPRR1B	-1.42083333333333
FLRT1	-0.45125
SNX17	0.153
ASB2	-0.469833333333333
HBG1	-5.163
RPRML	-1.31775
JOSD2	0.216666666666667
PLSCR3	-0.16925
SPOCD1	0.215333333333333
RAB39	-1.346
GHRH	-0.0365
ITIH5L	0.3865
C17orf37	0.378
SMCR8	0.4455
DPY19L2P3	0.5795
IL11RA	0.0606666666666667
GDF3	-3.58433333333333
RPS6KB1	-0.379916666666667
DNAJC19	0.0778
TOP1	0.243
CRCT1	0.154875
MPST	-0.172625
DPM2	0.135
FAM38B	-3.482
SLC18A1	-2.1555
FARP1	-0.706333333333333
PAX7	0.24825
TUBD1	-0.13075
GNL3	0.219125
BTG2	-0.149
NDUFS6	0.005
C1orf79	-1.14625
ERAL1	0.526
ECHS1	0.12575
VPS4A	-0.361
CYP11A1	-0.5935
ABCC6	0.449142857142857
PBX4	-1.072
MOSC1	0.387625
NCF4	0.94
HYMAI	0.427
NAGPA	-0.476
OTOP2	0.20425
ACOT12	0.0205
MTHFD2L	0.00224999999999999
LOC441376	3.57625
C19orf34	-0.2255
RAB1B	0.21575
ALDOAP2	0.5145
NTRK1	-1.34283333333333
ARTS-1	-0.8774
SLC6A11	-0.9165
NAP1L2	0.3795
CNGB1	0.549666666666667
EPB41L4B	0.96925
FAM134B	2.38625
HS3ST3A1	-1.148
CPXM2	4.1785
SIRPB2	0.3575
CHORDC1	-0.661666666666667
TRIB3	0.402666666666667
SLC2A5	1.0735
C2orf49	-0.132666666666667
DDX5	-0.17225
OR5L1	0.976
ANAPC4	-0.398833333333333
ZSWIM1	0.858375
LOC93622	0.07775
KCNK3	0.081
RP11-35N6.1	-2.08225
ZFP161	0.212
AQP9	5.0925
SLC15A2	1.35816666666667
MREG	0.843166666666667
OR9I1	0.2665
PDLIM2	-0.14675
ADAM7	0.53
GSTCD	-0.25
WDR21A	0.07875
SLC12A8	1.584
TMEM174	0.36775
IGSF3	0.7605
LRRN1	0.78825
LOC402117	-0.0775
SRPK1	-0.631333333333333
LY6K	-2.1874375
NFIA	2.0435
PTCD3	-0.243625
LEP	0.9095
PCDH21	-0.6625
MAPKAPK2	0.301857142857143
NMNAT1	-0.637833333333333
LHFPL2	0.7485
C9orf43	0.68325
DIP2A	0.176666666666667
ACTR8	-0.2885
CCDC34	-0.29625
PTPN22	-0.153375
ITGA3	-1.260625
FAM129C	0.763
RABGGTA	0.663
UNC45B	1.10625
KIAA1033	-0.406625
ZNF510	0.3075
CYP2D6	-0.337666666666667
SLC26A10	-1.6005
STX8	-0.00925
LUZP1	-0.41675
WDR89	0.509333333333333
EIF4G3	-0.8607
C5AR1	1.12675
ZNF623	2.125
A2M	-0.14875
TGM7	0.1325
GRPEL1	0.0225
LMNB2	-1.0721
ROCK2	-0.189666666666667
SNX16	0.90675
CCDC66	0.12625
ANXA3	-1.04975
KIAA1609	-0.46175
EED	-1.017
RNF32	0.691333333333333
HES1	-0.5834
CLC	0.928833333333333
ISL1	-0.115666666666667
KIAA0528	-0.6715
MANEA	0.722625
C1orf61	-1.951
hCG_2001000	1.24125
RAPGEF6	0.4362
KIAA0020	-0.789833333333333
NEIL1	1.055
C16orf45	-0.729625
RBM10	0.171833333333333
C10orf125	-0.474
MRS2L	0.483
DNAH17	-0.905125
C19orf10	-0.821
C1orf160	0.10975
SLFN12	0.37575
EXOC3	-0.00166666666666667
HIST3H3	0.79575
NCOR2	-0.570333333333333
TNFRSF9	1.765
MFSD8	0.25375
ALX1	-2.679
NOL1	-0.586
PODN	2.68875
TIAL1	-0.67125
HIST1H1E	-1.1405
NPY6R	0.33425
TM4SF4	-0.63725
CORO2A	0.9055
ETNK2	1.16566666666667
APOE	1.593
ANGPT4	0.217
HDGF2	-0.0215
G30	0.0025
ST8SIA4	0.016125
F2RL1	-0.258
FAM19A4	-2.27275
CCAR1	-0.17
B3GNT7	0.33925
OPHN1	0.00729999999999995
DSCR6	3.2635
C21orf13	1.796
GAS2L1	0.85275
RFX3	-0.167
COPS4	0.060125
BCHE	-4.9945
BCL2	0.337375
HBZ	-3.264
ARL13B	-0.170125
MAPBPIP	1.20975
MYO15B	-0.193375
SPZ1	0.5345
KIAA1324	2.02633333333333
PLCL2	-0.204875
C4orf29	-1.099
WDFY2	-0.55775
ZNF284	-0.38
NAALADL1	0.371
DUSP5	-0.0681666666666667
PXDN	0.41275
SLMO1	-0.48475
TNXB	0.4292
BIRC7	0.10075
A4GALT	0.855666666666667
TIMM22	-0.5465
FAM110C	1.1485
TOMM34	-0.478375
ABHD9	-0.0455
ADAM32	0.7175
CRHBP	-0.66275
AQP2	0.4655
LOC130355	0.42875
ZNF187	0.152833333333333
ZNF816A	0.346
F7	0.57175
CNOT1	-0.3535
SLC13A4	-0.95275
ZBTB11	-0.049
B3GALT5	0.4325
EXOC2	1.2705
IRS1	-1.238
TMEM1	0.0503333333333333
MRPL34	-0.986666666666667
SAMM50	-0.64275
CDC42EP3	-0.57475
HSF2	-0.341
MFN2	-0.7635
TSPAN7	-2.99733333333333
NUCB1	0.534416666666667
RHOH	-0.97475
ARL16	-0.06
TACR1	-0.1835
SFRS5	-0.898833333333333
SNX25	-0.774125
RHBDF1	0.333833333333333
PCDH18	1.73833333333333
HMG1L1	-0.35725
MYO5C	0.76825
MAPK10	-0.0905
LDHAL6A	-0.0993333333333333
NUDT12	0.679666666666667
NCAM1	-0.065875
GLIS2	0.723
GGTL4	-0.2325
DAPP1	0.2
ATF7	1.141375
KIAA0748	-0.1485
NFIL3	-0.85275
TM6SF1	0.5519
SEZ6	0.3515
NANOS3	-0.2715
DNAJA3	0.0638333333333333
CLDN6	-2.3725
CIITA	2.7957
EPHA4	-2.42941666666667
FANCC	0.41475
CMTM3	-0.27125
PSG3	-0.081875
MRPL15	0.857
C21orf59	0.0375
PLCXD2	0.375
C2orf34	-0.168875
UBE2L6	2.690375
MED14	0.125
HP1BP3	-0.7866
C6orf208	-0.458
TPBG	0.91075
OSR2	1.66525
XPC	0.130833333333333
KLHL7	0.033
CCR3	-0.103
AGTPBP1	-0.529833333333333
PCSK6	0.675666666666667
STAT5A	-1.2129
FAM18B	-0.487
LONRF2	-1.15516666666667
PTPN2	-0.527125
SF3A3	-1.23083333333333
EFCBP2	-0.51075
HCFC1	-0.3705
AHNAK	0.65365
ACTR5	1.10425
KIF14	-1.23514285714286
TENC1	0.0375
HEATR5B	0.305
YIPF2	0.309666666666667
MYEOV2	0.602166666666667
DUSP18	2.18525
KIAA1012	0.2105
AHR	-0.0155
C17orf53	0.355833333333333
PTPRH	-3.774
ATP6V1C1	0.7319
TAS2R3	0.2785
LOC440356	-0.8025
COQ10B	2.4615
PSMF1	0.389166666666667
SORBS2	-0.458166666666667
NFE2L2	-0.74225
TMCO7	-0.23575
SH3PXD2A	-0.6754
SH2D2A	-0.07375
SPINK5	0.86525
MRPS24	-1.07675
OPA3	0.280375
TRAF7	0.262333333333333
C4orf35	0.1195
MT1G	-1.31275
MGC39545	-0.3915
HS1BP3	0.2907
OR2B2	0.359
CHRM4	-0.196
SFRP2	2.99225
RIC3	-1.51125
ART1	0.2065
C6orf1	0.9325
DUS4L	-1.1895
C10orf104	-0.4315
TNFAIP6	2.171
RTEL1	0.07525
CCT4	-0.3025
ZNF709	-0.38425
CHMP6	0.520666666666667
UPP2	0.47625
CYP19A1	-1.605375
CD151	-0.676666666666667
NDUFA13	-0.369333333333333
ARFRP1	-0.5335
FAM26B	0.671
CRYBA1	-1.768
MRPL41	0.110333333333333
NPFFR2	-2.11775
HRH2	0.345
SCAMP3	1.023
MTMR6	0.0977
MTG1	-1.3465
UBTD1	0.98625
CRABP1	-2.9405
FLJ33790	0.2377
KIAA1908	-0.353666666666667
GPR158	1.89675
PACSIN3	0.217333333333333
OMD	2.93166666666667
CATSPER1	-0.428
HOXB8	-1.18325
FBXO46	1.088
OAS1	1.8655
SVIL	-0.15675
PHB2	-0.43475
ADCY3	-1.439
NDRG2	0.571666666666667
ERMAP	-0.3952
APBA2	-0.974333333333333
IGSF9	2.803
WNT6	-0.226857142857143
MYCBPAP	1.6775
ATP2B2	-0.3168
CPVL	-0.3757
TRAM2	-0.58525
NOP5/NOP58	-1.0365
ZNRF4	0.094
TLK1	-0.506
MTMR12	0.809142857142857
ZNF384	-0.117833333333333
FAM9B	-2.7435
RPN1	0.3328
PMVK	1.43175
EIF3D	-0.2613
SIX2	1.19375
HPS1	0.642571428571428
RNF7	0.037
PSKH2	0.6735
KCTD13	0.387166666666667
CSMD3	-0.699
FBF1	-0.2225
IL8	-3.90525
SERPINB13	-0.0193333333333333
FBXL20	1.08725
BLR1	0.5265
SH2B1	-0.773833333333333
RFNG	0.148625
RAB20	0.848666666666667
RBM7	-0.80575
POLR1A	-0.0835
