Hybridization REF	TCGA-A8-A06U-01A-11R-A00Z-07
AMDHD2	1.17525
LCTL	-2.121
PDCD2L	-0.8465
CABLES2	-0.02825
SLC5A9	-0.44075
CLCA2	-0.824666666666667
MGC16025	0.5
STRAP	-0.600666666666667
C20orf196	0.3815
RRBP1	1.22033333333333
NAT13	1.913
MAT2B	-0.396875
CSNK1D	0.344833333333333
KIR3DL1	0.71475
PRKAG3	0.491
ZNF599	-0.638
PRM3	0.768
PER2	1.02316666666667
ASPHD1	-2.2355
PRMT6	-1.5795
KCNE1L	-0.585785714285714
FAM118A	-0.117666666666667
TAF4	0.16375
NDUFB6	-0.33125
TRIM9	-1.64825
PMFBP1	-0.51975
KY	0.7695
DKFZp762E1312	-1.90681818181818
CSMD1	-1.127
TBP	-0.0356666666666667
OR1Q1	0.0403333333333333
RETNLB	1.109
HPGD	-0.976285714285714
DNAJC12	-1.2245
FKBP1B	-2.5845
ANKRD24	0.349
CXXC5	0.525
IL3	0.37475
DRAM	-0.6601
PTCH1	-0.99525
TP53BP1	-0.32175
SLC17A7	0.324625
COL25A1	-1.2562
AMACR	0.339166666666667
RHCG	0.47675
VPS13A	-0.603416666666667
FAM55D	0.105
PRPF38B	-1.06241666666667
OSBPL6	1.6645
PFDN5	0.4563
CMTM6	0.557875
KCNK12	-0.984
RP2	0.09825
C16orf52	-1.9755
PICK1	-0.1045
IFNE1	-1.18766666666667
SEMA4B	-0.27975
TYRO3	-1.879
OR12D2	0.1085
CSNK1A1	0.72165
FANCF	1.417
LONP2	1.382625
TBL1Y	0.66
LDOC1L	-0.170125
CCNC	0.45925
C3orf60	-0.41
CHKA	-0.6775
UBAP1	-0.17675
MAP3K1	0.1635
ANKRD9	0.117
FAM92A1	0.2455
GAB2	-0.2295
AZU1	-0.06375
DIS3	-1.63441666666667
C21orf109	-1.19666666666667
IQCB1	-1.6235
SPATS2	0.188833333333333
EFCAB3	-1.27625
PRB3	0.439375
FUZ	-0.470833333333333
ZNF813	0.423625
BMPER	-1.37833333333333
HEG1	-0.326625
ALS2CR11	0.705
SURF2	-0.15925
PSMC1	0.440416666666667
OR2D2	-0.131
SLC7A8	0.987666666666667
C4orf40	-0.313
SPATA7	-0.2485
MAZ	-0.0473333333333333
PIN4	0.45775
PDE1A	-1.834375
TAF6L	0.335333333333333
OR2T34	0.614
KIAA0284	0.993
ACADS	0.262454545454545
MKRN2	-1.331
C18orf56	-2.47975
MS4A6E	0.130833333333333
GALNT4	1.0194
C22orf31	0.41
FLJ36070	0.2755
PSME4	1.22925
TFG	2.0387
EPHX2	1.593125
ANXA5	-0.544875
KRTAP1-1	-0.065
BATF	1.402
KARS	-1.68975
MSTP9	-0.2075
GPR26	-0.093
CCDC72	-0.6075
TEF	0.836166666666667
FOXK1	-0.7841
PRLHR	0.0915
EMX1	1.51675
C11orf30	0.1635
ICK	0.449625
THSD7B	-0.31175
C21orf100	-0.838
DUOX1	2.316
EFCAB4B	-0.02775
UBE2G2	-0.9645
C3orf54	-0.33525
PARP1	-0.51225
FAM60A	-0.888916666666667
C6orf146	0.371
OR9K2	0.852
DDX55	-0.5665
RPS15	-0.3825
ZNF618	0.669
DKFZp686D0972	0.1385
SSPO	-1.909
SHFM3P1	0.471166666666667
CPA6	-0.907666666666667
JAG2	0.9785
DEFA3	1.21225
PPBPL2	-0.807833333333333
CD34	3.642125
SLCO4A1	-1.81725
AFG3L1	-1.14333333333333
SHD	-0.40075
RP13-122B23.3	-0.417333333333333
PRKCSH	-0.599
DPH5	-0.799
HLA-F	3.054875
TBC1D4	-1.60375
RIG	0.7224
GLUD1	-0.356833333333333
HNRPCL1	-0.00625
HBXIP	-1.14175
RNF207	-0.961
APIP	-0.52225
PLA2G3	-2.81333333333333
CCDC84	-0.98175
MYLIP	-0.424
PHIP	-0.569
AARS2	-0.0831666666666666
DHX32	0.3135
SCAPER	-0.195333333333333
MEN1	0.303125
NIP7	-1.1815
FLJ25404	0.0485
FASTKD3	-0.2035
TMEM158	-2.10958333333333
RARA	1.894
BDH1	1.696
ANKRD16	0.45375
CARM1	-0.2
SS18	-0.455166666666667
IKZF2	-0.26975
MYD88	-0.01175
PML	0.28605
TAF1A	-1.271
CBFB	-1.149375
HIST1H3H	0.0436666666666667
C7orf29	-2.90475
COMMD4	-0.435666666666667
DPP3	1.4835
DAB2	-0.130625
LOC388882	-0.638
YPEL4	-1.193125
AGBL3	0.77425
LRP6	0.3866
SERPINH1	-0.910333333333333
TLE1	0.9935
CD244	0.654666666666667
ZDHHC15	-2.102
MGLL	1.5002
PLDN	-0.2455
LOC654346	1.805
FAP	2.38225
GPR37	-1.87366666666667
SCARA5	-0.713833333333333
EBF4	1.70181818181818
LSM6	-0.973
MLLT1	0.2780625
SLC5A12	2.24575
A2BP1	-1.51033333333333
COPS5	-0.121333333333333
TPM4	0.0784285714285715
TNFSF4	2.04216666666667
ACADSB	1.52755555555556
HERPUD1	1.37275
BCL2L11	0.525833333333333
CEP78	-0.948625
CDCA3	-0.6745
WBSCR19	-0.3677
MYO1A	-1.7105
PPEF1	1.77183333333333
LOC440348	-0.781
CPEB2	0.884375
BPTF	-0.181083333333333
RPL21	-1.0336875
GSX2	-0.0525
ADPRH	0.949333333333333
C17orf68	1.16483333333333
KCNS1	-0.510666666666667
MLLT6	0.2471
PIWIL4	-0.21275
RNF26	-0.76175
RAP1B	0.25425
ADAMTS1	-2.8352
ZNF571	0.7885
P2RY6	0.06025
TRIM21	0.81
CADM3	0.47625
NLRC5	2.77133333333333
ADRA2B	-0.179166666666667
LOC90835	-0.44025
PCF11	-0.42575
LOC400451	1.63025
GLTSCR1	0.7387
C17orf88	-0.134666666666667
CDH16	-1.5445
FGF7	0.361125
PCSK4	-0.601166666666667
NPC1L1	-0.163
TAT	0.037
TBCA	0.3315
MGC33407	0.35825
GPR115	-0.780625
CYGB	-0.361
FNBP4	-1.16283333333333
C12orf43	0.248
CBL	0.2157
CLECL1	1.158
PPAPDC1A	1.20225
WDR25	0.555833333333333
SGCA	0.039
C22orf29	0.2755
YIPF1	0.82575
GALK2	-0.3125
RAB3B	-2.44441666666667
LOC440087	-0.1845
UCP1	0.155
REEP5	0.39575
FADD	0.2782
FOXA1	3.445
CACNA1A	0.0491666666666667
ABI1	0.431666666666667
GRIN2D	0.827
SLC1A4	0.0806666666666667
LOC401127	0.47825
HINT2	0.47725
PLD4	0.2285
ZNF286A	-0.78725
ENY2	0.46625
IL1F6	0.8375
PXDNL	4.7875
C20orf79	-0.33775
TNFSF13B	3.22966666666667
DENND3	0.804375
JARID1D	-2.59375
HIST1H2AK	1.902125
LOC93349	0.9951
SSH1	-0.9174
ENSA	1.2565
LOC219854	0.42
CKAP2	-1.8199
DKFZP564J102	-0.249166666666667
MGC87315	1.15816666666667
HNRPAB	-0.2315
AMH	-1.975
ZNF526	0.7065
BRUNOL5	0.4088
CACNG3	0.179666666666667
TRPM1	-2.2665
PPP2R1A	0.465
COL2A1	-1.5065
DDN	0.0166666666666667
FLJ25770	0.275363636363636
HK2	-1.18228571428571
ELOVL6	-1.556
MDK	-0.368
EPHX1	2.42525
RASSF2	0.118875
DKFZP434B0335	-0.12625
DLX3	-0.598375
PRTN3	-0.4825
AVPR1A	0.42975
C21orf125	-0.96325
TNFAIP8	-1.24266666666667
GNB2L1	-0.4325
CALCRL	2.52725
SCGB2A2	7.97883333333333
UBXD7	0.821
ZNF674	0.5185
TMEM35	-0.19
BRSK2	-1.2755
HECTD3	0.038
TMEM188	-1.41758333333333
LGALS9	2.070625
SCARB2	2.10758333333333
USP34	0.0176666666666666
C17orf28	2.39875
ZDHHC23	0.58925
AQP12B	-0.3645
SLC16A3	-1.94275
APLP2	-0.17475
ITIH2	-5.076
MICAL3	-0.66925
TNNI3K	0.109333333333333
HDAC2	0.239875
PRR7	0.1227
THBS2	-0.45675
LOC751071	-1.277
CA2	-1.14316666666667
RANBP17	-2.134
RLN3	0.1925
CRYZ	-0.462
GBAS	0.4325
TAS1R1	-0.5135
MPZL3	2.836
PCDH8	-0.349
HSP90B1	0.313833333333333
KCNK15	0.6095
TNIP2	0.346666666666667
GPR146	-0.96075
NOL6	-0.039
SPC25	-1.66455555555556
STEAP2	2.55228571428571
VAMP3	-0.0478333333333333
TCIRG1	-1.158
ZP4	-0.430833333333333
PARL	0.50625
TRIM39	0.3705
KIAA1305	0.23575
CRNN	0.3398
GRN	1.0865
HSH2D	1.213
SCAMP1	0.327375
KIAA1913	0.45975
PTS	-0.14325
BANP	0.0485714285714286
PRKACG	0.5605
ADCY6	0.2085
C16orf46	1.509
CYP51A1	-0.451625
DDC	-5.48475
ANPEP	-1.2665
PROM1	-0.551333333333333
SIGLEC10	2.727
COPG	0.498
FAM26E	0.3955
TRIP4	0.17025
SNX3	-0.0393333333333333
C1orf175	0.575333333333333
PPY2	0.06725
C14orf152	0.622
FTSJ1	-0.0821666666666667
DST	-0.62525
LOC554235	0.455
GLRX5	-0.066
C20orf12	1.9169
CAB39	0.268666666666667
MSH2	-1.6545
PIP4K2C	1.9345
CYLD	2.347125
WTAP	0.261875
MGAT4A	1.71377777777778
TSC22D4	-0.6521
CHRM2	0.4175
PPYR1	0.116
CCNH	-0.1995
RRM1	-0.93375
ECAT8	1.09475
LOC400120	0.2535
GABRA4	-0.422142857142857
C14orf4	0.929166666666667
C1orf59	0.12225
CTDSPL	-0.945916666666667
NHEDC2	-1.9445
PDE11A	-1.081875
KLHL29	-1.81225
CD5	-0.6228
TSPAN9	1.60425
WDR67	-0.697
THUMPD1	0.8614
C18orf17	-1.035
CLYBL	0.269666666666667
FLJ13231	0.437
CMBL	1.312625
LECT2	-0.145333333333333
NKAPL	1.29033333333333
LOC654780	0.489
OR4C6	-0.218
RAB30	2.44783333333333
TSSK4	-0.6815
TMEM163	1.106
OSBPL11	-0.30025
GNB5	0.258833333333333
CCL21	1.06025
C1orf121	0.124833333333333
FMO2	1.27266666666667
RPTN	-0.156
MSTN	0.388
VCL	-0.331857142857143
FYTTD1	1.12825
C11orf1	-0.2
CCDC88C	0.4449375
HFE	0.378777777777778
MOGAT1	0.2215
FAM125B	0.244
IRGQ	0.6955
RAVER2	-0.06025
AKAP5	-0.344
SSSCA1	0.7295
C11orf63	-1.245875
ACTG2	0.081
PORCN	-0.2225
DTL	-1.44718181818182
TMEM151	0.48575
FAM122C	-0.77925
RSAD2	4.097
BAT4	-0.812
KRTDAP	-1.02483333333333
MYH8	0.418
CRTC3	-0.13925
LRRFIP2	1.4962
INTS4	-0.3975
TTN	-1.7362
SLC26A5	0.846
PLLP	-0.43275
RGS6	-0.209375
SRGAP3	-0.095
ZNF525	0.495666666666667
NBR2	0.131333333333333
C13orf1	-0.3986
ZNF137	0.4645
CEP27	-1.20175
BEST2	0.3855
RNF121	-0.367
DMRTC2	1.96375
C8orf76	0.55525
BCCIP	-0.28575
MEST	-2.04775
HTRA2	-0.6035
ANGPTL2	-0.58075
ILKAP	-0.244833333333333
ERAS	0.476
HBS1L	0.2655
CPA5	0.2745
TMEM30A	1.24266666666667
CD300LF	2.4935
WISP3	1.1345
CRK	0.780428571428571
PDS5A	-0.2217
BRPF3	0.548666666666667
NEDD9	-0.178375
SMPDL3B	1.1505
PSG6	0.51825
PSMD13	0.20025
ETV5	-2.213125
OR51A4	-0.377
BTBD7	0.872416666666667
GSTO1	-1.049
hCG_16001	0.4085
MAD2L1BP	0.0371666666666667
COX6A2	0.955
SCNN1A	2.132
LSM1	-0.460666666666667
UGT2B11	-0.4825
IDUA	0.685
PPP2R3C	-0.691833333333333
COX11	-0.602833333333333
PDZK1	-3.1555
ZNF443	0.787333333333333
MGC21874	1.15683333333333
ZNF323	2.6058
KRTAP10-10	0.609
CXCL6	-0.578
SLC34A2	2.4709
LOC284402	0.7755
NPTN	0.819416666666667
UPP1	-1.88766666666667
SLC6A9	-0.4405
OR7G3	0.66075
CISD1	-0.5315
ZNF545	-1.22333333333333
SYT14	-3.598
NT5C3L	-0.0593333333333333
ZNHIT3	0.4775
SNRPD3	0.231
KIAA0701	-0.14075
UNC93B1	0.273833333333333
GMNN	-1.320875
SPCS2	0.105666666666667
LOC388524	-1.3365
NAPRT1	0.02775
PNLIPRP1	0.481
OR6V1	0.6255
PRKAB1	-0.03825
EYA4	-3.17866666666667
KIF20A	-1.618
ALG10	1.15975
ITPKC	1.19116666666667
LMX1B	1.96016666666667
RPUSD4	-0.964666666666667
C7orf34	-0.2795
DLGAP2	0.424375
PFN1	-0.4171
MICALL2	-1.19558333333333
ZNF654	0.245
SS18L1	-0.4365
SLC16A8	-0.021
MKI67IP	0.299
ITGB3	-0.758875
TCEA3	2.10291666666667
CEP152	-2.05725
CLIP1	1.677
ZNF75	1.069375
ATP5C1	-0.0405
NUDT5	-0.170666666666667
PSCDBP	0.18
UBP1	-0.75475
RBM27	0.10425
C13orf15	1.607875
ZNF282	-0.292
ZNF222	-0.0988
COL10A1	5.73275
PRDM15	-0.288875
TTTY5	0.04
FAM9C	-0.0384545454545455
C20orf67	0.46775
GNG13	0.9555
F12	-0.4385
C1orf41	-0.56125
CPXCR1	0.393
GSK3A	0.247875
SUPT6H	0.419333333333333
PI16	-0.399833333333333
ELL2	-1.04008333333333
C9orf167	-1.78866666666667
PVRL3	-2.948
FLJ38596	0.951
ADAM20	0.55275
GPR89A	-0.108
GPR87	-0.156
ZNF30	0.529
SMR3B	-0.19325
ZNF770	-0.202
TRPC4AP	0.374333333333333
DKFZP686E2158	0.4
C2orf28	-0.1575
FREM1	-2.66183333333333
LAMA4	-0.00833333333333332
ADPRHL2	0.046
EIF4G2	0.4475
GUCA1A	-0.6005
CTNNA2	-1.579375
NUDT15	-1.58833333333333
CEPT1	-0.324833333333333
ZNFX1	1.9177
CCDC92	0.8965
TDRD1	-0.5405
KCNK5	-1.11283333333333
ETNK1	0.0977499999999999
LTA	0.756
TTPA	-0.0812
B3GALNT2	1.229625
SC65	-1.1065
PEX5L	-0.710625
EPS15L1	0.15925
MGEA5	-0.356
HIST1H3A	0.809
ING1	-1.069125
BCAT1	-3.335125
ORC6L	-2.78809090909091
KLK11	-4.3975
C19orf28	-0.891625
DNER	-4.59775
MED22	-0.551714285714286
ETV6	1.18008333333333
CHAC2	-1.8865
CD300E	-0.911
CEBPB	1.28658333333333
ZNF398	-0.73975
LRCH3	0.5385
HMGA1	-1.78816666666667
CAPN7	-0.7865
MGC5566	-2.12125
CCL3	2.111875
NANOS1	0.82125
ZFYVE19	-0.87025
APITD1	-0.421333333333333
PARD3	0.561875
IRAK4	0.189
SERPINI2	-0.265
CEP170L	-1.13375
TTC9	2.94875
MYOM3	-1.2315
MLPH	1.864
LOC222699	0.6125
NRG1	-1.52716666666667
TBC1D9	4.35790909090909
TTK	-2.072
ZNF557	0.6835
DDX41	0.0193333333333333
FANK1	1.392
UBE2D2	0.052125
PSMB10	1.311
MYH7B	0.486
GABARAPL2	0.035
MARVELD2	2.22466666666667
DGCR2	0.710833333333333
UNC45A	-0.629833333333333
C6orf72	1.3085
ZNF683	4.526
GIT2	-0.48675
CASK	0.531166666666667
C14orf161	2.24283333333333
LRRC44	-1.3985
TIFA	-0.07575
UTP11L	-0.891875
C6orf65	-1.26275
FDPS	-0.97175
DUSP9	-1.7721
SLC17A8	-0.0175
OR51G1	0.327166666666667
NANS	0.77725
OLFML1	1.098
ATP10B	-1.1485
NPAS3	-0.74425
PRKCA	-2.6106
GGA2	-0.014375
LCE4A	0.4485
SPANXN3	-0.147
CCDC115	1.3535
SDCCAG3	-0.843
GLIPR1L1	0.710333333333333
TTC1	0.33575
C17orf76	0.81625
MAD2L2	-1.2445
HIPK1	-0.4872
LRRC3B	-0.6424
CLN3	-0.199772727272727
C17orf47	0.4735
FMN2	-2.455875
TUBB1	-0.4585
WAPAL	0.270166666666667
C3orf21	0.714375
SCN5A	-0.7481
SMYD1	0.08975
BEX5	1.20025
ZNF192	-2.1245
SEC22A	0.793666666666667
GRIA2	1.18271428571429
KIAA0825	-1.41425
NUSAP1	-2.20645454545455
LANCL1	0.413
C15orf40	-1.5154
ZNF645	0.098625
GPR61	0.26825
NLRP14	-0.071
SNX21	0.3282
C1QTNF8	0.4395
C17orf46	0.05225
IFNA8	0.575
SPRR1B	-1.25766666666667
FLRT1	-0.92925
SNX17	-0.228166666666667
ASB2	-0.546166666666667
HBG1	-4.8705
RPRML	-1.95033333333333
JOSD2	0.3685
PLSCR3	0.29675
SPOCD1	-0.339166666666667
RAB39	0.0375
GHRH	-0.0508333333333333
ITIH5L	-0.03975
C17orf37	1.09125
SMCR8	1.2675
DPY19L2P3	-0.4785
IL11RA	0.400833333333333
GDF3	-3.18783333333333
RPS6KB1	-0.834416666666666
DNAJC19	2.2133
TOP1	0.04175
CRCT1	-0.8235
MPST	0.076625
DPM2	0.19275
FAM38B	-2.54133333333333
SLC18A1	-1.99883333333333
FARP1	-0.713666666666667
PAX7	1.20925
TUBD1	-0.0295
GNL3	-1.211
BTG2	1.3444
NDUFS6	-0.3545
C1orf79	-1.85825
ERAL1	0.0955
ECHS1	0.612
VPS4A	0.148666666666667
CYP11A1	-1.197
ABCC6	-1.592
PBX4	-2.109
MOSC1	-1.155375
NCF4	0.04875
HYMAI	1.3295
NAGPA	0.083125
OTOP2	0.64475
ACOT12	-0.464
MTHFD2L	0.751125
LOC441376	3.2035
C19orf34	-0.675
RAB1B	0.39125
ALDOAP2	-0.1175
NTRK1	-1.68966666666667
ARTS-1	-0.2714
SLC6A11	-0.1515
NAP1L2	1.393
CNGB1	0.283833333333333
EPB41L4B	0.11825
FAM134B	3.127125
HS3ST3A1	-1.49616666666667
CPXM2	3.093
SIRPB2	0.7585
CHORDC1	-0.819833333333333
TRIB3	0.429166666666667
SLC2A5	0.7995
C2orf49	-0.0866666666666667
DDX5	0.24175
OR5L1	0.3155
ANAPC4	-0.552666666666667
ZSWIM1	1.499125
LOC93622	0.018
KCNK3	-0.626
RP11-35N6.1	-2.465875
ZFP161	-0.445
AQP9	3.2325
SLC15A2	-0.449666666666667
MREG	1.12333333333333
OR9I1	0.6285
PDLIM2	-0.193857142857143
ADAM7	0.5415
GSTCD	0.716166666666667
WDR21A	0.068125
SLC12A8	1.7465
TMEM174	-0.03175
IGSF3	0.571
LRRN1	-1.268
LOC402117	-0.09725
SRPK1	-1.64116666666667
LY6K	-2.090625
NFIA	1.799
PTCD3	-0.194125
LEP	0.535333333333333
PCDH21	-0.834666666666667
MAPKAPK2	0.748571428571429
NMNAT1	-0.883666666666667
LHFPL2	0.819875
C9orf43	0.8135
DIP2A	-0.247333333333333
ACTR8	-0.782625
CCDC34	0.5965
PTPN22	-0.942875
ITGA3	-0.647875
FAM129C	0.3435
RABGGTA	0.493666666666667
UNC45B	-0.19375
KIAA1033	0.492
ZNF510	0.1845
CYP2D6	-0.5825
SLC26A10	-1.9805
STX8	0.17525
LUZP1	-0.11525
WDR89	0.153
EIF4G3	0.0364
C5AR1	0.911
ZNF623	1.5695
A2M	0.004
TGM7	0.45
GRPEL1	0.3445
LMNB2	-1.5764
ROCK2	0.2365
SNX16	-0.4575
CCDC66	-0.6195
ANXA3	-1.08875
KIAA1609	-0.22125
EED	-0.116
RNF32	-0.975666666666667
HES1	1.0163
CLC	0.8705
ISL1	-0.396
KIAA0528	-0.416
MANEA	1.568125
C1orf61	-1.987
hCG_2001000	-0.042
RAPGEF6	0.3141
KIAA0020	-1.88283333333333
NEIL1	0.00275
C16orf45	-1.166875
RBM10	0.0778333333333334
C10orf125	-1.808125
MRS2L	-0.06
DNAH17	-1.316125
C19orf10	-0.009
C1orf160	0.3355
SLFN12	0.032
EXOC3	-0.064
HIST3H3	0.6915
NCOR2	0.268833333333333
TNFRSF9	0.8125
MFSD8	1.23125
ALX1	-3.5445
NOL1	-0.952
PODN	2.24225
TIAL1	-0.425
HIST1H1E	0.45175
NPY6R	0.5185
TM4SF4	-1.045
CORO2A	1.5505
ETNK2	1.02116666666667
APOE	0.7557
ANGPT4	0.545
HDGF2	-0.2805
G30	0.4045
ST8SIA4	-0.54025
F2RL1	0.5605
FAM19A4	-2.3735
CCAR1	-0.6995
B3GNT7	-0.01975
OPHN1	0.7353
DSCR6	1.9965
C21orf13	0.457166666666667
GAS2L1	0.420916666666667
RFX3	-0.307166666666667
COPS4	0.6545
BCHE	2.52933333333333
BCL2	0.281625
HBZ	-2.62266666666667
ARL13B	1.42825
MAPBPIP	0.615875
MYO15B	-0.57325
SPZ1	0.507
KIAA1324	1.62933333333333
PLCL2	-1.271125
C4orf29	-0.01675
WDFY2	-0.801
ZNF284	-0.3235
NAALADL1	-0.7305
DUSP5	1.22783333333333
PXDN	-0.530875
SLMO1	-1.63175
TNXB	0.3968
BIRC7	-0.438
A4GALT	1.35216666666667
TIMM22	0.418
FAM110C	1.91775
TOMM34	-0.228125
ABHD9	-0.041
ADAM32	-0.1635
CRHBP	-0.95
AQP2	0.424875
LOC130355	1.12275
ZNF187	0.4935
ZNF816A	0.503
F7	-0.7595
CNOT1	-0.3109
SLC13A4	0.2445
ZBTB11	1.037
B3GALT5	2.91825
EXOC2	0.517333333333333
IRS1	-0.7245
TMEM1	-0.490333333333333
MRPL34	-0.4105
SAMM50	-0.40425
CDC42EP3	-1.001625
HSF2	-0.5628
MFN2	-0.241
TSPAN7	-2.54766666666667
NUCB1	0.720833333333333
RHOH	1.97625
ARL16	0.1575
TACR1	-0.1115
SFRS5	-1.05816666666667
SNX25	-0.153625
RHBDF1	0.593166666666667
PCDH18	0.530666666666667
HMG1L1	-1.10025
MYO5C	1.734875
MAPK10	0.9245
LDHAL6A	-0.358666666666667
NUDT12	0.767833333333333
NCAM1	-0.2985
GLIS2	0.636
GGTL4	-0.5225
DAPP1	1.0775
ATF7	0.836
KIAA0748	-1.59625
NFIL3	0.08875
TM6SF1	-0.5049
SEZ6	-0.038125
NANOS3	-0.116
DNAJA3	0.335666666666667
CLDN6	-2.3515
CIITA	2.9762
EPHA4	-0.999333333333333
FANCC	-0.4675
CMTM3	-0.17
PSG3	-0.1115
MRPL15	-0.557
C21orf59	0.8355
PLCXD2	0.4295
C2orf34	-0.35175
UBE2L6	2.513875
MED14	0.306
HP1BP3	-0.3679
C6orf208	0.4675
TPBG	1.186
OSR2	0.517625
XPC	-0.6885
KLHL7	-0.0153333333333333
CCR3	-0.212166666666667
AGTPBP1	-0.385666666666667
PCSK6	-1.4738
STAT5A	-0.8456
FAM18B	0.13675
LONRF2	-0.262166666666667
PTPN2	-1.045375
SF3A3	-1.0105
EFCBP2	-1.1225
HCFC1	-0.285833333333333
AHNAK	0.275
ACTR5	0.73
KIF14	-2.19957142857143
TENC1	0.29925
HEATR5B	0.7035
YIPF2	0.858666666666667
MYEOV2	0.867333333333333
DUSP18	1.4425
KIAA1012	-1.06725
AHR	-0.357666666666667
C17orf53	-1.162
PTPRH	-3.539
ATP6V1C1	1.3883
TAS2R3	0.045
LOC440356	-0.03975
COQ10B	0.9695
PSMF1	1.04783333333333
SORBS2	0.780583333333333
NFE2L2	0.0975
TMCO7	0.0815
SH3PXD2A	-0.3255
SH2D2A	-0.52875
SPINK5	-2.61075
MRPS24	-0.632
OPA3	0.472375
TRAF7	0.7015
C4orf35	-0.249166666666667
MT1G	0.83725
MGC39545	0.42475
HS1BP3	0.6835
OR2B2	0.366
CHRM4	0.336
SFRP2	2.40908333333333
RIC3	-0.5455
ART1	-2.077
C6orf1	0.535625
DUS4L	-1.0725
C10orf104	0.10025
TNFAIP6	1.706
RTEL1	-1.014
CCT4	-0.4757
ZNF709	0.279
CHMP6	0.1195
UPP2	0.776
CYP19A1	-3.02814285714286
CD151	-0.620833333333333
NDUFA13	0.117666666666667
ARFRP1	-0.214333333333333
FAM26B	0.9135
CRYBA1	-2.6695
MRPL41	0.618166666666667
NPFFR2	-1.719125
HRH2	-0.012
SCAMP3	0.307
MTMR6	-0.4929
MTG1	-0.883
UBTD1	0.86725
CRABP1	-1.975
FLJ33790	-0.3961
KIAA1908	-1.744
GPR158	0.089
PACSIN3	0.219333333333333
OMD	1.86383333333333
CATSPER1	-0.939
HOXB8	-0.802125
FBXO46	0.989
OAS1	2.5185
SVIL	0.084
PHB2	-0.7135
ADCY3	-0.342
NDRG2	1.50766666666667
ERMAP	0.1156
APBA2	-1.7045
IGSF9	1.92275
WNT6	-0.466428571428571
MYCBPAP	0.4155
ATP2B2	-0.673111111111111
CPVL	-0.6812
TRAM2	-1.16308333333333
NOP5/NOP58	-0.24525
ZNRF4	-0.22825
TLK1	-0.038875
MTMR12	1.18692857142857
ZNF384	-0.507
FAM9B	-3.43475
RPN1	-0.2204
PMVK	1.06575
EIF3D	-0.4035
SIX2	0.83425
HPS1	0.0987857142857143
RNF7	1.83025
PSKH2	0.606
KCTD13	0.5045
CSMD3	-0.467
FBF1	-0.2945
IL8	-4.535375
SERPINB13	-0.0451818181818182
FBXL20	1.147
BLR1	0.7715
SH2B1	-0.354833333333333
RFNG	0.36825
RAB20	0.0438333333333333
RBM7	-0.78725
POLR1A	0.305833333333333
TMPRSS4	-2.08525
TAF9	-0.49425
TERF2	-0.223666666666667
TNFRSF1A	0.591166666666667
ACADVL	-0.276333333333333
GTF2H5	0.758
EDG8	1.309
C9orf140	-0.83025
UST6	0.102333333333333
ZBTB8OS	-0.18025
ZNF710	0.557
GPR174	-0.7305
ATP6V0A2	-0.223
KIAA0319L	0.12025
XKRX	1.014
DOPEY2	1.5321
SDHD	-1.04591666666667
SUMF1	0.6875
OSM	2.46275
OPN3	-1.34
DAGLB	0.3215
PPFIBP1	0.503
TRIM63	-3.77825
C10orf53	-0.182
LYPD3	0.317666666666667
BCL7A	-0.1005
AGER	-1.56833333333333
TCF19	-0.335875
SAT2	-0.28625
PFTK1	0.623833333333333
GABRE	-2.714875
C15orf38	0.9769
FIS1	-0.7805
KCNV2	0.61125
CLPS	0.54875
PPCDC	-0.33675
FOXN2	0.635833333333333
NT5E	-3.1151
CD83	0.47425
IL18	0.084625
VPS16	0.8685
IGFBP2	-0.174833333333333
NOTCH2	0.34375
SIGLEC1	3.182375
CD93	4.4505
SULF2	-1.20975
CEP164	-0.18925
P53AIP1	-0.076
TOR2A	0.136833333333333
ZNF136	0.252
MGP	3.8347
CCDC144A	-0.967833333333333
TRPC1	0.510666666666667
SMS	0.427333333333333
MAPK7	-0.279833333333333
RRAGC	0.28275
PARD6A	-0.2635
NUB1	0.0288333333333333
SYNGR4	0.51375
OR11H12	0.309
WIF1	0.092375
GCH1	0.3665
OR11H4	0.295
SLC44A5	0.781
GPRIN2	0.714166666666667
LOC401431	-0.7525
CPA4	-2.4716
MELK	-2.08866666666667
IL15RA	0.9715
CUL3	-0.10425
HMBOX1	1.9525
PODXL	-1.92125
CCT6B	0.724
COMTD1	1.23725
MUC20	2.3995
GPX2	-1.41125
ITK	-0.612125
FBXL5	1.926
C13orf27	-1.9875
DEFA5	0.278
TRHDE	0.915
MTP18	-0.725333333333333
UQCRQ	1.6091
ITGB2	0.66
CSRP2BP	0.83825
TAS2R44	0.9165
PHPT1	0.41275
FAM44C	0.426
ERH	0.000999999999999987
MPHOSPH1	-1.61633333333333
MORC1	-0.2965
PARVB	-0.58075
LAMA1	-2.097
PGBD3	-0.05325
GIMAP6	3.6305
AREG	2.16233333333333
LIPT1	0.3645
MGC99813	-0.62525
C1orf201	0.418166666666667
GRIN2A	-0.7766
MAN2C1	-1.297875
NSUN5	-0.66625
SF3B5	1.2295
MYC	-1.4561875
NRXN1	-0.790727272727273
ZNF18	0.391
SPDYA	-0.776142857142857
SLC37A1	1.4545
DECR2	0.251
ANKRD38	0.0755
SPTLC3	0.776083333333333
SUPT16H	-0.247625
DTWD2	1.49225
ULBP1	0.4325
ZADH1	-0.232
OIP5	-2.6085
