Hybridization REF	TCGA-A2-A0EY-01A-11R-A034-07
C20orf54	3.7635
ITGB8	-0.4305
THEM4	0.436166666666667
FRS3	-0.7555
OR10A6	0.3935
OTOF	0.1985
PPIL5	-0.0785
TEX14	-0.685571428571428
ZNF385	0.291
RRH	-0.148
CDR2L	0.0655
PDZD7	-1.35566666666667
SLC19A1	0.1605
C1orf217	-1.4755
LIMS1	0.334
FAM89A	-1.35625
MFAP3L	1.4247
PIK3CD	-0.264642857142857
DERL2	-0.179
FHL5	2.10025
ACAN	1.70425
BRWD2	-0.288333333333333
TINAGL1	-0.120333333333333
DCUN1D2	-0.449125
C3orf36	-0.617
MGC10850	-1.445
hCG_31916	0.46
FHAD1	0.854125
LCE1C	0.4885
ARPC1A	0.0796666666666667
CHST2	-1.59925
SPATA2	0.4785
PGLYRP4	3.13066666666667
RUFY1	0.15225
TXNDC12	-0.40325
RPS4Y1	-6.71475
TNFRSF8	-1.6115
PTGIR	1.78166666666667
FOXE3	0.073
ART4	-1.52366666666667
ZC3H12C	-0.10125
KIAA1841	0.8985
EVX1	0.431166666666667
WDR38	-0.185
LOC402057	-1.289
ACAA2	-0.13225
GLCE	0.71525
GPR18	3.52925
HIST1H2AG	-0.7214
PIGK	-0.184
C16orf67	-0.556666666666667
DAG1	0.102375
OR4D2	0.6
C21orf81	-0.97625
PLOD2	-2.62966666666667
TTC27	-0.5925
TSPAN2	0.873666666666666
PI3	3.003
ZFAND6	0.18725
C6orf57	-0.08675
NUF2	-1.88175
ARID2	-0.30825
RCC1	0.086
CD86	1.38633333333333
FAM91A1	0.52075
CALM2	0.456833333333333
GYG2	-0.233
PARS2	-0.281833333333333
INTS12	-0.3285
CTSF	2.34975
BNIPL	1.02525
GNA13	-0.16125
HUNK	0.82875
ZBTB4	0.455875
B4GALT4	0.20125
CHD1L	-1.03375
MSTO1	0.0228333333333333
FUT8	-0.605153846153846
AGA	0.269
TRMT11	-1.1465
WWP1	1.42533333333333
B9D2	0.22
STAT1	1.03525
PTTG1	-1.99866666666667
TMEM62	1.4765
SSBP2	-0.35275
MRFAP1	0.345916666666667
NME4	-0.617875
LOC55565	1.0415
DLL4	1.496
MYOCD	0.511666666666667
HTR3D	0.879
C9orf156	-0.1705
CHMP4C	2.4225
PROCA1	-2.86775
GCDH	-0.40875
APOF	2.5145
WEE1	-1.57083333333333
SSR4	-0.07125
RGS1	6.79675
ACCN4	-1.4935
FLJ20489	0.145875
ZNF215	-0.9776
AGPAT6	-0.58875
PDE7B	-0.45525
BBX	0.185125
MS4A3	-4.62883333333333
OR4A16	-0.2765
EFEMP1	1.00475
TULP2	-0.868833333333333
RERE	0.858125
BNC1	-3.112
PIGB	0.1945
COMMD8	0.24075
TRIP11	-0.441166666666667
FLJ40142	-0.919
PCDHB6	-0.77175
FKBP8	-0.268166666666667
FLJ12716	-0.7136
POT1	0.0158333333333333
KIAA1109	-0.179
PTPRC	1.36941666666667
UNQ9391	0.6485
CCT7	-0.3945
EEF1A2	-2.11375
MIPEP	1.52225
ZFX	0.6403
UCHL3	0.55525
LOC388419	0.131
GSG1L	-1.16783333333333
RAB24	0.02875
SLA2	-0.76725
SDS	3.188
LYPLA3	1.7225
CASQ1	1.33525
SLC25A40	-0.636166666666667
IRAK1BP1	0.991
ACOT6	0.80175
COL9A3	-1.922
ASB11	0.6
C2orf18	0.813333333333333
FOXD2	0.17625
C6orf211	0.23625
OR8G1	0.823833333333333
MDGA1	-0.32975
ADARB1	0.0800000000000001
GGT1	1.90475
WNT1	-0.5112
DBP	-0.211375
COL5A3	-0.6365
RHOD	1.21025
COL4A2	0.8505
LOC201164	0.4595
HEBP1	0.99875
LUM	1.46716666666667
ZCCHC6	-0.8935
PAGE1	-3.9498
DTX2	0.683
SLC7A13	4.273
H3F3A	0.886857142857143
RABIF	0.63075
D4S234E	-3.60333333333333
DYRK3	0.0751666666666667
PFAS	-1.91866666666667
ALOXE3	-0.6762
RPLP0	-0.759642857142857
RBM34	-0.168
C12orf28	3.676
U2AF2	-0.506666666666667
MKNK2	-0.3696875
SEC16A	1.16541666666667
ZNF44	0.819666666666667
YWHAG	0.781
IGF2BP2	-2.56427272727273
OR1D5	0.381
SIX6	-3.001
CCR6	1.96975
PALM	-0.312
PUM2	0.462571428571429
SPRYD5	-3.811
ALG10B	-0.00749999999999999
ZNF365	-0.00574999999999998
PHC1	-2.22275
KIAA0913	-0.4975
ARX	1.486
PPP3CB	0.3445
IRX6	-0.4634
ANGPTL4	-2.1998
LSM14B	0.3144
PCDHGB7	-0.246
INSM1	-0.344416666666667
WBP2NL	-0.182
ZNF493	0.8505
NGEF	-0.6035
RNASE13	-1.087
SPPL2A	-0.353166666666667
SFXN1	-1.98925
FAM102A	1.788
SAPS2	-0.655416666666667
JTV1	-0.1755
OR51B4	-1.80525
SCGB1A1	0.244
NEUROD2	-0.1845
tAKR	0.67375
C1orf26	0.838
RICH2	0.27825
TEDDM1	0.61375
CYP2S1	-0.6025
TBCE	0.187333333333333
MAPK1	-0.9885
HDHD1A	-0.5645
MRM1	-1.60275
ATP9A	0.124
HSD17B3	-0.0158
HN1L	1.78691666666667
RNF216	-0.384625
HOXD12	0.625
PPP1R14B	0.345625
SBF1	-1.249
TAS2R42	null
USP46	0.912333333333333
LILRB3	3.0465
SPI1	0.942
OXSM	-0.0525
GYS2	-0.278
NUPL2	-1.312
C8orf46	-1.19057142857143
SF3A1	-0.3264
C21orf99	-0.07425
HOXB4	0.445
YRDC	-0.9065
GPRC5D	0.457
BLVRA	0.25125
KIF12	-0.3435
LRRC23	0.7375
FAM14A	-0.1985
RASL12	0.742875
DAZAP2	1.33275
IKBKB	-0.375785714285714
ZNF271	0.274833333333333
BOK	0.6915
CXorf6	-0.3905
MYEOV	-1.8755
BTN2A2	-0.6317
FRG1	-0.98625
HSP90AB6P	-1.12
ENOX1	-0.718666666666667
ZNF706	0.7032
DOK1	-0.4199
PGAP1	0.110375
TMEM136	-1.02075
FSCN1	-2.7465
KIF17	-0.34825
TRIM66	0.29
CBR3	0.0761666666666667
C13orf24	0.461833333333333
C19orf52	0.158
BNIP1	0.30175
AQP3	2.155
KRT6C	-3.7215
SIRPA	-0.27975
IGFBP6	-0.837333333333333
PLEKHK1	-0.63625
RNASE7	-1.292
ARHGEF15	1.053
NPHS2	-0.2545
SRD5A1	0.01775
REXO4	0.0145
EEF1DP3	0.95125
SLC37A2	1.00125
ZNF142	0.75625
ANKHD1	-1.2885
MUT	0.8185
VPS37A	-0.092
GPRIN1	-0.86
SLC38A3	-1.82885714285714
BAZ2B	0.5905
WDR87	-0.524833333333333
BRD7	-0.68575
POU6F2	-0.3315
NISCH	0.14925
TCEB1	-0.135
LINGO2	-2.35325
TAX1BP3	-0.97075
RPL34	-0.144277777777778
MARK2	0.486833333333333
AKAP12	-2.0919
AMBN	-0.7555
SLC25A27	-3.85833333333333
FLJ21865	-0.519428571428571
KIR2DS2	-0.538
WDR77	-1.599
ATF2	-0.538833333333333
ITFG3	0.960333333333333
SLC39A13	0.314
ARL6IP5	1.632625
C10orf137	-0.2975
QTRT1	-0.996833333333333
CCNT1	0.03525
DYNLL1	-0.0316
WDR53	-0.00575000000000002
LIPG	0.606333333333333
ASAH3	-0.104
HELB	-1.78425
PHACTR2	0.505125
VENTX	0.2625
LAD1	1.3515
PAOX	1.202
MAPK8	-0.683
CCDC38	1.092
DNAJC8	-0.8195
RBBP8	-0.456
WNT11	-0.6102
KCNJ12	-0.369333333333333
HDAC8	-1.21333333333333
STARD4	-3.1195
ACVR1	0.3785
C14orf65	0.158583333333333
KLB	-1.421
C1orf65	0.499333333333333
ZFYVE28	-0.319875
NSUN6	0.025
KIF27	0.754333333333333
SYTL2	-0.639
UBXD2	0.8009
OR6T1	0.7825
CCDC91	1.25742857142857
GRID2	0.1855
CALN1	-1.451625
ZNF423	-0.2575
PSMB4	0.2935
XPNPEP3	0.162333333333333
ARPP-21	-3.509
SART1	-0.36025
RACGAP1P	-2.1485
SPTA1	-3.6505
C6orf113	-0.136833333333333
C7orf16	-2.119
CHST7	-0.168666666666667
C21orf29	0.505
SEMA6D	-1.818375
PCMTD1	1.6618125
KIAA1754	-1.21866666666667
MYCN	-1.2015625
KCNJ3	0.785
MAPK13	2.0711
ERO1LB	1.329
NTF3	-1.43366666666667
NKX6-2	-0.44575
GTF2B	-0.216
GSPT1	-1.17583333333333
GUSB	0.19
LOC221091	-0.8725
LIG1	-0.758
EXTL3	-0.234833333333333
NID2	-2.107
TTC29	3.25875
TMEM97	-0.558
EXTL2	-0.350166666666667
SUZ12	-0.49075
IL1F8	-0.684
KRT18	-0.569727272727273
MRPS16	-0.10275
PI4K2B	0.08775
LACRT	-0.455
OR51F2	0.6815
JMJD2C	-0.829875
KGFLP1	2.832
CDK5RAP3	-0.8709
YTHDF2	0.266666666666667
GGCX	0.8795
ARPC4	0.3995
EGLN2	0.577
KBTBD4	-0.104785714285714
ROBO3	-1.3326
DEFB118	1.3945
KIAA1543	1.49
RTCD1	-0.5425
MZF1	-0.47075
C18orf26	-1.047
CNIH4	0.592
ZFP2	1.12966666666667
HTATSF1	0.00100000000000001
WFDC2	3.122625
NDUFA7	1.146
TTC22	0.337666666666667
FAM40B	-2.35725
DCPS	-1.17675
SH2D1B	-1.1545
MRGPRE	1.1005
SBK1	0.71675
UNQ6411	-0.002
OSBPL9	-0.61875
NUP107	-1.05625
MYOZ3	-0.1727
PDE4B	-0.1305
FAM113A	-0.652
IDH3G	0.426166666666667
FBXL7	0.1725
ARFGAP3	-0.48575
MAPRE2	-1.306
IL1RN	-0.5402
KIF13A	0.9335
RAC3	-0.8885
TCTE1	-0.4255
TMEM14B	0.0168333333333333
ADIPOR1	0.237333333333333
GRINA	1.2715
CLIP4	-1.7175
LRIT2	0.895
TFPI	-3.74138461538462
FABP6	0.38675
SLITRK2	0.188857142857143
HKR1	0.142
SMTN	-0.135
C1orf75	1.39925
CD209	0.8495
CYB5R2	0.6205
DNTTIP2	-1.04316666666667
CSGlcA-T	0.029
GABRB3	-2.82833333333333
PCBD1	-0.0163333333333333
TAF3	0.171166666666667
HOXD3	-1.20716666666667
GIPC3	-0.505166666666667
P11	0.293666666666667
BFSP1	0.39825
LCP2	0.7675
TAS2R8	0.151
SEZ6L	-2.1246
NR2C1	-1.516375
EXDL2	0.1787
TNFRSF13B	-2.46
MKI67	-1.215
GLS	-0.660333333333333
C7orf54	-0.0396
LGALS13	0.0625
IL4R	0.70625
SEC11A	-0.759666666666667
SPP2	-0.45
C18orf32	1.96425
CLSPN	-2.20383333333333
SPAG1	-0.57625
C9orf82	1.2475
TM4SF1	-1.83325
EMILIN2	1.06225
SMG7	0.244333333333333
TAS2R13	0.738
ZNF628	0.587
DZIP1L	-2.0212
ANKRD13A	0.3738
VASP	1.50225
ZCCHC11	-2.35125
SYPL1	0.44225
MGC34774	0.55325
C4orf28	0.000625000000000014
KIAA1211	1.25041666666667
RPS27L	-1.42375
TATDN3	-0.6925
PDCD1	0.51725
OR5P2	0.028
IFIT1L	1.947
MIPOL1	0.76775
OR51D1	0.654
C1orf92	-0.675
LAMP2	1.22527777777778
CAT	0.320666666666667
C16orf80	-0.967
C15orf32	0.765
ZNF746	-0.2515
C1orf76	-1.231
ATXN1	1.094
LAMC2	-1.81942857142857
SLC2A7	-0.335
CPOX	-1.77975
APH1B	0.904166666666667
LOC442245	-1.641
CTNND1	1.11333333333333
GABRG2	-1.0455
MADCAM1	0.324333333333333
F5	-0.84025
SEMA4F	-0.390666666666667
NUDCD3	0.58425
PDZD11	-0.7275
TRIML1	-0.028
GCNT3	-0.931833333333333
TMEM120A	1.283
CNDP1	2.9335
N4BP1	-0.545125
SLC35F2	-2.466125
LCP1	1.08833333333333
IGBP1	-0.5417
DCAKD	-0.369
ELA2A	-2.086
C12orf56	-2.353375
PITRM1	-0.0838571428571428
GUK1	0.910833333333333
RASSF8	-1.56753333333333
OR2A14	-0.206
ADM	-2.95722222222222
FGD3	1.40583333333333
GHRHR	-0.138
RHPN2	0.505
C4orf39	-0.602
VPS72	-0.294
SERF2	1.46111111111111
CD22	1.81866666666667
CD47	0.0646
PPIC	0.435166666666667
IMPDH1	0.45225
ACP6	-0.3275
PRKACA	0.049125
PPP1R1A	2.166375
TRPV3	-1.2485
ASXL1	-1.127375
C17orf55	-1.37566666666667
FXYD1	-1.0056
LMOD2	-0.391
ANKRD33	0.6805
LCE2C	-0.0662857142857143
ZNF620	-1.388
DKFZP566E164	-1.185
VSIG2	2.5045
KIAA1128	1.606
USO1	-0.437333333333333
NUDT4	1.32985714285714
CLDN1	1.38385714285714
OR4Q3	0.075
FASTK	-0.646166666666667
ICOS	1.63616666666667
LDB1	0.15225
GSTA5	0.6265
ABCC1	-1.20366666666667
FAM54A	-0.97475
PCBP2	-1.02983333333333
NUP205	-1.4585
ACTA1	-0.878
GABBR2	-1.745
PIP5K1B	1.632
AGXT	-2.6845
RNF181	0.69725
ATP8A2	2.04525
AFTPH	1.46425
FGF21	0.433666666666667
FCER1G	2.10375
SNTB1	-0.67
SLC24A3	-0.507625
TXNL4B	-1.1927
RPL10L	-0.4795
LOC389517	-0.51095
TSGA13	-2.017
SHOX2	-0.934666666666667
ITGA7	-1.3663
KCNIP2	-0.6745
KLF13	-0.7228
ZFAND2A	0.35025
CEACAM1	1.52271428571429
PFKFB4	-3.136
MED19	1.33425
LRRC57	0.0793333333333333
RNF11	0.8105
ANKRD32	-2.4135
P117	0.93325
OBFC2A	-0.9625
POLD3	0.33775
RAB18	1.192125
TPH2	-0.1834
PHB	0.00869999999999996
JDP2	0.796
MORF4L1	-0.8226
POU2F1	-0.05825
CNNM2	-2.14863636363636
LOXHD1	-0.2028
ZC3H15	-0.524
ELK3	0.0351666666666666
FAM111B	1.589
CBLC	-0.96975
SBNO1	-0.16175
ANKMY2	-0.038
PLEKHA5	-0.166
DHX58	-0.0728333333333333
ARCN1	0.309333333333333
TREML1	-0.5663
KNCN	-0.174
SEC24A	-0.96675
PSCA	3.197
MGC24125	-0.655
DNA2L	-0.98925
CIB4	-0.598142857142857
HIGD2A	-0.2265
TBX6	-0.1315
TTLL5	-0.86
SGK3	1.27433333333333
GCN1L1	-1.2635
AMOT	1.3767
LDOC1	0.3485
NRK	-0.239166666666667
ASB9	-0.5105
NAT1	2.5637
TRAFD1	0.27125
PEAR1	-0.00466666666666668
FAM36A	0.32575
OR1S2	0.6005
LOC388323	-1.77975
PGS1	-0.34
LEPREL1	-3.8425
TFF1	-2.79891666666667
HAP1	0.125
EPHB2	0.02675
ACTG1	0.2025
ZFP42	-0.7492
HAVCR2	0.6926
NME1	-0.7335
SNX26	-0.388416666666667
LACTB	-0.372333333333333
ZKSCAN2	-0.596375
C5orf35	0.037
ANKS3	-0.4625
RBM28	-1.0375
DKFZP586P0123	-0.38175
HNRNPA1	-0.805
BCAS3	-1.64808333333333
FLJ20184	0.844
POLA2	-1.217
TMC7	-2.16683333333333
HSD17B6	2.8895
ZNF658B	0.188666666666667
TTTY10	0.089
RANBP9	0.722416666666667
CPNE7	-0.775833333333333
EVL	1.21147058823529
LNX1	0.681416666666666
IFNA21	0.1542
CFD	0.71325
PYCARD	0.0471666666666667
MYBPC2	-0.787
ENPP3	0.6405
ACSL4	-2.0805
LOC440258	-0.5305
TMEM176B	3.27783333333333
SOX2	-5.303875
SCO1	-1.195
COMT	-0.199
AOC2	0.39675
PDLIM5	0.304214285714286
SPHK2	0.525166666666667
NXPH2	1.0535
GPR108	0.889666666666667
RAD51L1	0.171833333333333
TMEM54	0.626
LETMD1	-1.54544444444444
SLC6A17	0.4935
KRT75	-0.488
STT3B	-0.664166666666667
CD3EAP	0.2845
TMEM63A	0.0745
DUSP13	-2.11825
CD1C	0.297
LASS2	0.588666666666667
AVP	0.696
PITPNM1	-0.641625
FLJ22795	-0.442
MCTP1	-2.38125
TRIM68	1.79416666666667
UCK2	-1.4635
ABHD1	1.1505
FAM50A	0.03425
RNASEH1	-1.17733333333333
PCP2	1.08483333333333
OR52H1	0.57
C20orf149	0.87775
RBP5	-0.1765
HYAL3	0.0275
CLPB	-1.13725
SMNDC1	-0.2455
DONSON	-1.22116666666667
FLJ27523	0.845
BARHL2	-0.1735
SLC30A9	0.851666666666667
TMPRSS11B	-0.2525
E2F8	-1.08666666666667
CCDC25	-0.056
C14orf48	-0.183
C20orf116	0.910375
TSPAN11	0.0255
YIF1B	-0.754333333333333
FAM12B	3.87225
OR1L6	0.815
HPN	0.991
NBN	1.34125
C14orf94	-0.433333333333333
OCLM	-0.2405
ZSCAN18	1.1614
L3MBTL	-1.2066
TSTA3	1.86683333333333
RAC1	0.491
C19orf15	0.128333333333333
NFE2	-4.255
KLK14	0.5285
ARSF	1.266
MAST2	-0.291
AMICA1	2.772
GTF2A1	0.38925
ATP1A3	-1.41
TC2N	3.2988
PNKP	0.32475
ODZ2	-0.158375
MATR3	-0.393875
S100P	0.919875
KRT82	0.926
CA13	0.7918
PROZ	-1.796
AASDH	0.46825
C19orf40	0.212666666666667
DCK	-0.451461538461539
FAM5C	2.43825
SLC6A4	0.85
MID1IP1	0.36175
TESSP5	-0.374
TMOD4	-0.581
DOCK2	-1.1195
TUG1	0.34275
NUP214	-0.4335
DPYSL2	-0.528727272727273
GOLM1	1.79241666666667
MPFL	0.1435
SOX13	1.37975
SDCCAG8	1.3348
KEL	-2.3555
NUP210L	-2.0315
GK	1.248375
DNAJB1	0.845
ALPK3	0.2415
CHID1	-0.2501
CYLC2	0.851833333333333
IKZF5	-0.07975
C8orf51	3.0085
PPM1J	2.30675
GIMAP8	3.05133333333333
GPR101	-0.297
NR2F1	2.5335
ACAD8	2.148
RBM35A	1.532
GNAI2	-0.597
METTL8	-0.845333333333333
SLC39A7	0.686
FBXO8	0.20925
CAMK1	-1.11325
RFC3	0.02125
FAM129A	0.203214285714286
ILF2	-0.5355
FGFBP3	-1.124125
NOM1	-0.909166666666667
PSMA3	-1.10875
ASCC3	0.7915
ZYG11A	0.18925
SOX21	-1.89185714285714
LYRM1	0.6155
DEFB1	-1.0895
LOC91431	-2.784
OR7C2	2.122
FAM46B	0.454125
TMEM18	-0.967375
ARHGAP30	1.1545
TMEM86A	4.78183333333333
EPHA2	-1.57166666666667
C10orf46	1.5093
TCHH	-0.896166666666667
C3orf30	0.113666666666667
LOC285636	-0.557
PAIP2	-1.043
CYP2U1	-0.560625
C12orf34	0.4785
SARS2	-0.499666666666667
ZCWPW1	1.69225
SAMD12	3.15275
KIAA1430	-0.831625
ACAT1	-0.68275
MEOX1	1.76
ADAMDEC1	6.125
PHKA2	-0.451
CARD11	-0.820166666666667
CALML4	-0.732
TSSC1	-1.114
TMEM45A	-0.711111111111111
MPP7	1.583625
POU1F1	0.51225
SLC2A13	-0.0185
FBN2	-0.239142857142857
ZC3H7A	0.0105
LAIR2	-0.52625
ST3GAL1	-0.380666666666667
LCT	-2.28775
GEMIN8	0.268666666666667
KLF16	0.6831
HIF3A	-0.466444444444444
FAM44A	0.183428571428571
AQP10	-1.0924
PLA2G2A	1.4965
FOLH1	1.23133333333333
C20orf186	1.7405
MAPKAP1	-0.672375
SPRR2D	-1.066
UBQLN4	0.143333333333333
RSHL1	0.4332
PIAS3	0.457625
MRPL24	0.83975
GREB1	-0.89625
FAM27E3	-1.5455
NUP62CL	-0.82225
NEUROG3	0.5245
REEP3	1.0575
MARK1	-1.85325
LMBRD1	1.27475
PRPF19	-0.998
PNMT	3.82616666666667
CTGLF1	-1.7745
SLC25A16	2.60375
EIF2B3	-0.963
RPA2	-0.89925
PAK6	0.875833333333333
CCDC26	-3.995
SEMA3E	3.421375
MXD4	1.3029
TNFSF10	4.8425
SMARCB1	-0.525333333333333
DTX3L	0.718
PLA2G4E	-0.0045
PPAP2A	-0.0335
ULK1	-0.131583333333333
TAS1R3	0.111
SLC2A3	-3.22263636363636
ARID3A	-1.5595
GNG5	0.21775
ACOX1	0.1697
KIF5B	-0.1165
NUP153	-0.25525
MUC7	0.127
CSDE1	-0.540142857142857
CLPTM1	-0.184
C3orf23	-0.0675
LRRC17	-1.2925
TTYH3	-0.253375
ATP5B	-0.8815
ELF3	0.9984
CPSF3L	-0.335333333333333
ZNF665	0.490666666666667
TLR6	0.2167
GPI	-0.947875
RAD9A	0.02025
NDST4	-2.5025
AGPAT3	0.548666666666667
MAGI3	1.01016666666667
ADORA2A	0.50375
CACNG7	-0.00750000000000001
CAMK2D	0.572071428571429
CCHCR1	-0.5265
RPS27A	-1.06125
OR10G7	-0.0802
GCM2	0.103
FAM135B	0.362333333333333
E2F1	-1.04625
PLCB3	-0.318
OR2AE1	1.4035
COIL	-1.0515
CDC25C	-2.05533333333333
RAB11FIP2	0.357916666666667
TSC2	0.6925
CTGLF5	-1.4455
CCDC108	0.445142857142857
OR13C4	0.0415
C10orf81	6.2745
PTPRB	1.1315
ACP2	-0.945
LAG3	1.44125
MRPL54	1.257
LOC201175	0.491
ITGB1BP3	-1.08225
SPTAN1	-0.3985
SIPA1L2	0.2995
RCAN2	-1.664
CDX2	0.05
ECOP	0.15675
ACTR1A	0.148785714285714
PPARG	-1.36333333333333
BBS10	0.693333333333333
TMEM44	-1.13125
BPIL2	-0.285333333333333
CITED1	-1.73175
IRF6	4.64525
PRDM4	0.502166666666667
RRP9	-0.6305
OR10H4	-0.639
IL31RA	-1.645
GNB1L	-1.0045
MYBL2	-1.196625
ZNF407	0.594666666666667
PPIG	-0.513666666666667
TTC18	3.56675
RPSA	-0.6685
MAPT	1.596875
MRE11A	-0.243785714285714
C8orf37	-0.527833333333333
RASGEF1C	-1.1395
STBD1	0.105
CTAG2	-0.7946
MGAT5B	-1.8675
ECM1	1.270375
RLN1	1.1075
PARP14	0.554733333333333
EPB41L1	1.2734
HOXA3	-1.01575
MAGEA9	-4.99133333333333
RPS8	-1.50566666666667
RPS19BP1	0.34475
FOXJ2	0.34475
C10orf76	0.350875
IL17RE	0.0855
C10orf65	-1.55725
ZNF343	-0.209166666666667
FBXO33	-0.6055
UHMK1	0.8535
LY6G6C	-1.4335
FGF19	-2.99
C14orf128	-0.7805
IFIT2	1.084125
TIGD1	-0.74625
S100G	0.793
GUCY1B3	1.289
NR3C1	-1.2831
CORO1B	0.499833333333333
PARP11	0.901333333333333
DNALI1	4.24483333333333
OR4N4	0.497625
MAP2K6	0.0215
FSTL4	0.83225
ANKRD47	1.01214285714286
TMEM171	0.7075
PNLIP	0.931
YY1	-0.0923333333333333
CCDC138	-1.62683333333333
AASDHPPT	0.3366
CKS1B	-0.3587
MCM3	-1.34133333333333
ANAPC7	-0.857333333333333
FAM110A	3.117
CDC37L1	0.636666666666667
THTPA	0.66425
NBPF20	-0.172
WDR24	0.759
NPTX2	-2.95775
CBLB	0.957
CETN1	0.0895
RPUSD1	0.692
FAF1	-0.852
CDK6	-0.766
HMX2	0.34
CSK	-0.811166666666667
TEAD2	0.07075
SNAP25	-1.82275
TUFT1	0.9791
TMTC3	1.87633333333333
LCK	-1.061
SGOL1	-1.097
AKTIP	0.186
FURIN	1.0955
SOX12	-0.499666666666667
DEFB103A	-1.094
RAMP1	2.00225
KIR3DX1	-2.433
GAS2L3	-0.45325
PDE8A	-0.1488
EDN3	0.288
GMIP	1.12575
SF3A2	-0.169
FN3KRP	-0.4955
SMAD7	-0.173
RHBDD2	0.989
OR11H6	-0.929
PPP1R3B	1.4628
C9orf23	0.91625
CADPS	-2.3265
GOLGA8A	-2.999625
TMEM57	0.978
RGL3	0.8585
S100A14	1.52275
FGFR2	2.602875
XRCC3	-0.93225
RTN4RL2	0.417
MGC3771	2.5695
GH2	0.0476666666666667
BTBD2	-0.3835
LMO2	-0.60225
RDBP	-0.1365
ACRBP	-0.225
AMY2A	1.92775
DUOXA1	0.935
PTK7	-1.5305
TWF2	-0.258166666666667
FAM80A	-0.5975
TNNI2	-2.4645
GLT25D1	-1.0055
OCC-1	0.0965
CYC1	-0.275666666666667
RPL22	-0.735363636363636
MORN3	1.05916666666667
DISP1	0.181
PRB2	-0.6905
CHUK	0.0745
HR	-0.597625
CCDC134	-0.267375
DENND4B	-0.81875
C14orf130	-0.644875
RAB33A	-1.47875
DCST2	0.7615
TNMD	-1.1265
PEX7	1.40225
FAM62A	0.158375
SRD5A2L	2.203
IL22	0.809
RPS26	-0.783166666666667
HOXC5	0.483
SPATA6	1.46575
FLJ38482	0.58275
ZNF234	1.736
C18orf22	-0.1295
SPATA22	0.456666666666667
THOC1	-1.28975
CYP7B1	1.9835
KCNC3	-0.4265
C8orf42	0.226
ALDH1B1	-0.719833333333333
CCDC100	-1.08
ARMC4	-1.70175
FAM18B2	0.06375
SLC44A1	0.44625
FBXO17	-1.5935
C6orf107	-0.843333333333333
C19orf29	-0.48175
ZC3HAV1L	-0.523
PARP6	-0.8226
SULT2A1	-4.011
C1orf159	-0.28925
TMC1	1.021
CHST14	-0.73075
GAMT	-1.10733333333333
SMCP	-0.1338
TSPAN33	0.592833333333333
MIDN	-0.410375
NOX4	2.86175
RNASEN	-1.203
TBX1	0.6055
SALL2	-0.293
C10orf35	1.618
CYP2E1	-0.7215
LRFN2	3.69583333333333
ACO1	-1.41666666666667
IQCG	1.7944
MEGF9	1.197
TM7SF4	1.7435
PLEKHA1	0.677
STK33	-2.41475
C1orf210	1.8085
SNUPN	-0.3269
KIAA0406	-0.8844
C20orf29	-0.117
TMEM55B	-0.492
OSTM1	-0.4904375
CLCN7	0.05
OTP	-0.0405
FLJ23049	2.13975
HEATR4	2.205
MAP3K10	0.464
PCDHGA9	-0.6155
AMDHD2	1.1705
LCTL	-1.4915
PDCD2L	-0.7335
CABLES2	0.7035
SLC5A9	-0.5385
CLCA2	3.45533333333333
MGC16025	-0.1815
STRAP	-0.963
C20orf196	0.266
RRBP1	0.6275
NAT13	0.296
MAT2B	-0.588625
CSNK1D	-1.07966666666667
KIR3DL1	0.66925
PRKAG3	4.7945
ZNF599	-0.1115
PRM3	0.698
PER2	0.457333333333333
ASPHD1	-3.5215
PRMT6	-0.2025
KCNE1L	-0.682714285714286
FAM118A	-0.642333333333333
TAF4	0.05425
NDUFB6	0.55825
TRIM9	-0.954363636363636
PMFBP1	-0.13225
KY	0.448
DKFZp762E1312	-2.14845454545455
CSMD1	-2.13
TBP	-0.241
OR1Q1	0.8636
RETNLB	0.908
HPGD	0.398583333333333
DNAJC12	1.34566666666667
FKBP1B	-1.4545
ANKRD24	-1.2165
CXXC5	-0.156
IL3	0.411142857142857
DRAM	1.9052
PTCH1	-1.30585714285714
TP53BP1	-0.42275
SLC17A7	0.416142857142857
COL25A1	-1.9818
AMACR	-0.356
RHCG	0.21925
VPS13A	-0.32125
FAM55D	2.0355
PRPF38B	-1.60136363636364
OSBPL6	-0.59275
PFDN5	-0.4771
CMTM6	1.622125
KCNK12	-1.12625
RP2	1.48075
C16orf52	-0.71775
PICK1	-0.1305
IFNE1	-1.6785
SEMA4B	-0.58425
TYRO3	-2.118
OR12D2	0.947
CSNK1A1	-0.50795
FANCF	1.09025
LONP2	0.872625
TBL1Y	0.552
LDOC1L	0.189375
CCNC	1.16825
C3orf60	0.20825
CHKA	0.30675
UBAP1	0.1985
MAP3K1	0.603
ANKRD9	-0.94675
FAM92A1	-1.31466666666667
GAB2	0.755571428571429
AZU1	-1.42466666666667
DIS3	0.50775
C21orf109	-0.692333333333333
IQCB1	0.27375
SPATS2	-0.577333333333333
EFCAB3	0.091
PRB3	0.656625
FUZ	-0.1495
ZNF813	0.290625
BMPER	0.715833333333333
HEG1	-0.370125
ALS2CR11	-1.0355
SURF2	0.465
PSMC1	-0.173666666666667
OR2D2	-1.2845
SLC7A8	1.6795
C4orf40	-0.6335
SPATA7	0.03625
MAZ	-0.533416666666667
PIN4	0.6425
PDE1A	-1.165
