Hybridization REF	TCGA-A2-A0SX-01A-12R-A084-07
CPA6	-1.044
JAG2	-0.2945
DEFA3	1.87525
PPBPL2	0.023
CD34	3.8165
SLCO4A1	-2.8125
AFG3L1	-0.465666666666667
SHD	-1.074
RP13-122B23.3	-0.2875
PRKCSH	0.231333333333333
DPH5	-0.1215
HLA-F	2.506875
TBC1D4	0.242
RIG	-0.303666666666667
GLUD1	-0.102
HNRPCL1	1.331625
HBXIP	-0.9665
RNF207	-0.0015
APIP	-0.47025
PLA2G3	-1.49616666666667
CCDC84	-1.42625
MYLIP	-0.481538461538462
PHIP	0.2475
AARS2	-0.355666666666667
DHX32	0.43275
SCAPER	-0.425833333333333
MEN1	-0.162125
NIP7	-0.859
FLJ25404	0.7245
FASTKD3	-1.595
TMEM158	-2.0525
RARA	0.59075
BDH1	-0.7215
ANKRD16	0.2165
CARM1	-0.0635
SS18	0.4475
IKZF2	0.47
MYD88	1.398125
PML	1.17185
TAF1A	-0.07275
CBFB	0.0345
HIST1H3H	-1.67516666666667
C7orf29	-1.0995
COMMD4	-1.52066666666667
DPP3	-0.07525
DAB2	0.81675
LOC388882	0.0355
YPEL4	-0.42175
AGBL3	0.2285
LRP6	-0.0448
SERPINH1	0.494833333333333
TLE1	1.35425
CD244	1.7255
ZDHHC15	0.22425
MGLL	-0.0533
PLDN	0.4345
LOC654346	2.2205
FAP	3.29075
GPR37	-1.03316666666667
SCARA5	1.39216666666667
EBF4	1.45309090909091
LSM6	-0.7325
MLLT1	0.446625
SLC5A12	-1.11625
A2BP1	-1.50333333333333
COPS5	-0.120333333333333
TPM4	-0.159714285714286
TNFSF4	2.0215
ACADSB	-0.970888888888889
HERPUD1	1.33625
BCL2L11	-0.243333333333333
CEP78	-1.66475
CDCA3	-1.09975
WBSCR19	-0.5544
MYO1A	-2.7305
PPEF1	1.4855
LOC440348	-1.086
CPEB2	0.02225
BPTF	-0.2835
RPL21	-0.0355625
GSX2	-0.4125
ADPRH	2.00666666666667
C17orf68	0.463166666666667
KCNS1	0.653666666666667
MLLT6	0.2566
PIWIL4	0.96825
RNF26	-1.18275
RAP1B	0.38825
ADAMTS1	-1.0997
ZNF571	2.301
P2RY6	0.4785
TRIM21	1.212
CADM3	-0.00724999999999998
NLRC5	2.01283333333333
ADRA2B	-0.029
LOC90835	-1.746375
PCF11	0.4795
LOC400451	-0.6885
GLTSCR1	0.3945
C17orf88	-0.866
CDH16	-2.36775
FGF7	1.886375
PCSK4	-1.906
NPC1L1	-1.5365
TAT	0.514875
TBCA	-1.21525
MGC33407	0.21875
GPR115	-0.013
CYGB	0.206
FNBP4	-0.835166666666667
C12orf43	-0.0655
CBL	-0.3532
CLECL1	2.44175
PPAPDC1A	1.94825
WDR25	-0.116
SGCA	-0.639
C22orf29	-0.730666666666667
YIPF1	1.05725
GALK2	-1.1955
RAB3B	-2.12458333333333
LOC440087	-1.5945
UCP1	-0.5495
REEP5	0.334125
FADD	0.1838
FOXA1	-1.47175
CACNA1A	0.0858333333333333
ABI1	1.5885
GRIN2D	0.21675
SLC1A4	-0.268833333333333
LOC401127	-0.841
HINT2	-0.177
PLD4	0.9555
ZNF286A	-0.133
ENY2	-0.93575
IL1F6	-0.18
PXDNL	1.09175
C20orf79	0.32
TNFSF13B	3.81633333333333
DENND3	1.1525
JARID1D	-3.374
HIST1H2AK	-1.055625
LOC93349	0.9534
SSH1	-0.7428
ENSA	0.1805
LOC219854	-0.0333333333333333
CKAP2	-0.3614
DKFZP564J102	1.20166666666667
MGC87315	-0.163666666666667
HNRPAB	0.38475
AMH	-3.3325
ZNF526	1.7925
BRUNOL5	-0.3571
CACNG3	-0.0178333333333334
TRPM1	-1.056
PPP2R1A	-0.403375
COL2A1	-1.92775
DDN	0.0421666666666667
FLJ25770	1.24836363636364
HK2	-1.02071428571429
ELOVL6	-1.8555
MDK	-0.02625
EPHX1	-0.41975
RASSF2	1.556875
DKFZP434B0335	-0.42375
DLX3	0.327
PRTN3	-0.8675
AVPR1A	0.76775
C21orf125	-1.93775
TNFAIP8	0.401666666666667
GNB2L1	0.006
CALCRL	2.144
SCGB2A2	0.721666666666667
UBXD7	0.614
ZNF674	-0.8815
TMEM35	-0.801875
BRSK2	-1.07825
HECTD3	0.547333333333333
TMEM188	0.105833333333333
LGALS9	2.80475
SCARB2	0.826083333333333
USP34	0.113
C17orf28	-0.106583333333333
ZDHHC23	0.353
AQP12B	-1.2345
SLC16A3	-2.040625
APLP2	0.139125
ITIH2	-6.18875
MICAL3	0.09275
TNNI3K	0.7722
HDAC2	0.87225
PRR7	-0.7889
THBS2	0.9075
LOC751071	-0.4815
CA2	-0.198666666666667
RANBP17	0.22775
RLN3	0.14975
CRYZ	-0.799333333333333
GBAS	-0.865833333333333
TAS1R1	-0.43075
MPZL3	-0.0045
PCDH8	4.8675
HSP90B1	-0.120583333333333
KCNK15	-0.174
TNIP2	0.841166666666667
GPR146	-0.4055
NOL6	0.253875
SPC25	-1.81255555555556
STEAP2	1.36485714285714
VAMP3	0.2085
TCIRG1	0.77275
ZP4	0.0686666666666667
PARL	0.965875
TRIM39	0.51
KIAA1305	1.868
CRNN	-0.117833333333333
GRN	1.0295
HSH2D	0.52575
SCAMP1	-0.0553125
KIAA1913	1.169
PTS	-1.4485
BANP	0.906714285714286
PRKACG	0.342
ADCY6	0.359666666666667
C16orf46	0.5215
CYP51A1	-0.34225
DDC	-2.14875
ANPEP	1.0705
PROM1	5.51033333333333
SIGLEC10	2.54075
COPG	1.022
FAM26E	1.85825
TRIP4	0.30025
SNX3	0.602833333333333
C1orf175	0.731166666666667
PPY2	-0.0725
C14orf152	0.215
FTSJ1	-0.312833333333333
DST	-0.38125
LOC554235	-0.24525
GLRX5	-0.647
C20orf12	0.6908
CAB39	0.7025
MSH2	-0.00949999999999999
PIP4K2C	0.259125
CYLD	1.5995
WTAP	1.005625
MGAT4A	1.19311111111111
TSC22D4	0.1751
CHRM2	0.42
PPYR1	0.1725
CCNH	-1.165
RRM1	-0.29775
ECAT8	-1.85575
LOC400120	0.07625
GABRA4	-0.102375
C14orf4	0.4695
C1orf59	0.74325
CTDSPL	-0.185583333333333
NHEDC2	1.3405
PDE11A	0.2326875
KLHL29	0.27175
CD5	1.5632
TSPAN9	0.729625
WDR67	-1.1385
THUMPD1	-0.5891
C18orf17	-0.84275
CLYBL	0.8755
FLJ13231	-1.074625
CMBL	-2.93275
LECT2	0.3645
NKAPL	1.2685
LOC654780	0.958
OR4C6	0.1855
RAB30	0.657333333333333
TSSK4	-0.864
TMEM163	1.5355
OSBPL11	1.06391666666667
GNB5	-0.964333333333333
CCL21	1.44
C1orf121	1.61933333333333
FMO2	3.99583333333333
RPTN	-0.525
MSTN	1.5475
VCL	0.886
FYTTD1	-0.48925
C11orf1	-1.093
CCDC88C	0.5398125
HFE	-0.217222222222222
MOGAT1	0.0995
FAM125B	0.762833333333333
IRGQ	0.0535
RAVER2	0.9645
AKAP5	0.0565
SSSCA1	-0.54
C11orf63	0.75875
ACTG2	-0.2661
PORCN	-1.531
DTL	-0.941545454545454
TMEM151	0.07725
FAM122C	-1.245
RSAD2	4.1171
BAT4	-0.7135
KRTDAP	1.81366666666667
MYH8	-0.137
CRTC3	0.822
LRRFIP2	1.0904
INTS4	-0.0543333333333333
TTN	-0.159
SLC26A5	0.851
PLLP	0.24975
RGS6	1.897875
SRGAP3	0.316375
ZNF525	0.0296666666666667
NBR2	-0.678
C13orf1	0.0369
ZNF137	0.251
CEP27	-1.99675
BEST2	-0.127
RNF121	-0.023
DMRTC2	0.34775
C8orf76	-0.18175
BCCIP	0.212625
MEST	-2.17975
HTRA2	-0.048
ANGPTL2	0.62175
ILKAP	0.7025
ERAS	-0.3945
HBS1L	-0.6765
CPA5	-0.5625
TMEM30A	1.04683333333333
CD300LF	2.6445
WISP3	-0.822
CRK	0.681285714285714
PDS5A	-0.7763
BRPF3	-0.1515
NEDD9	0.117875
SMPDL3B	1.64275
PSG6	-0.623
PSMD13	1.0725
ETV5	-2.052625
OR51A4	-0.00899999999999999
BTBD7	0.143083333333333
GSTO1	-0.5905
hCG_16001	-0.9585
MAD2L1BP	-0.500833333333333
COX6A2	0.474
SCNN1A	0.904
LSM1	-0.0261666666666667
UGT2B11	-1.9015
IDUA	0.15575
PPP2R3C	-0.174166666666667
COX11	-1.19966666666667
PDZK1	-4.49425
ZNF443	1.1035
MGC21874	0.900833333333333
ZNF323	1.4327
KRTAP10-10	-0.1755
CXCL6	2.765
SLC34A2	4.3214
LOC284402	0.179
NPTN	0.644333333333333
UPP1	-1.10591666666667
SLC6A9	0.8325
OR7G3	-0.033
CISD1	-0.677666666666667
ZNF545	1.918
SYT14	0.1385
NT5C3L	-0.210333333333333
ZNHIT3	-0.393166666666667
SNRPD3	-0.88025
KIAA0701	0.043375
UNC93B1	0.527166666666667
GMNN	-1.55075
SPCS2	-0.0641666666666667
LOC388524	-1.014
NAPRT1	-0.56775
PNLIPRP1	0.56775
OR6V1	0.546
PRKAB1	-0.0385
EYA4	-3.70966666666667
KIF20A	-0.81175
ALG10	-0.363
ITPKC	2.68133333333333
LMX1B	0.436166666666667
RPUSD4	-0.721333333333333
C7orf34	-0.0813333333333333
DLGAP2	0.105125
PFN1	0.3253
MICALL2	-0.94675
ZNF654	-1.0135
SS18L1	-0.178625
SLC16A8	1.39025
MKI67IP	0.501833333333333
ITGB3	0.142125
TCEA3	1.58508333333333
CEP152	-1.6515625
CLIP1	0.917
ZNF75	0.2531875
ATP5C1	-0.083
NUDT5	-0.0875
PSCDBP	2.911
UBP1	0.361
RBM27	-0.01075
C13orf15	3.17925
ZNF282	0.537833333333333
ZNF222	-0.819
COL10A1	5.64025
PRDM15	0.059625
TTTY5	-1.378
FAM9C	1.30508333333333
C20orf67	0.28125
GNG13	0.0005
F12	-0.37525
C1orf41	-0.57375
CPXCR1	0.5455
GSK3A	1.607125
SUPT6H	-0.133
PI16	2.52616666666667
ELL2	-0.69175
C9orf167	-0.163333333333333
PVRL3	0.2005
FLJ38596	0.38925
ADAM20	-0.11925
GPR89A	0.9735
GPR87	3.391
ZNF30	1.40925
SMR3B	-0.4105
ZNF770	-0.458
TRPC4AP	-0.286666666666667
DKFZP686E2158	-0.284166666666667
C2orf28	-0.213833333333333
FREM1	-0.635333333333333
LAMA4	1.17116666666667
ADPRHL2	0.77625
EIF4G2	0.308166666666667
GUCA1A	-0.4485
CTNNA2	-0.92075
NUDT15	0.0605
CEPT1	0.298666666666667
ZNFX1	0.7947
CCDC92	1.51175
TDRD1	2.244
KCNK5	0.0355
ETNK1	0.015
LTA	1.5655
TTPA	0.202333333333333
B3GALNT2	0.115625
SC65	-0.961833333333333
PEX5L	-1.551875
EPS15L1	0.08275
MGEA5	0.00562500000000005
HIST1H3A	1.33675
ING1	0.755375
BCAT1	-1.7515
ORC6L	-1.79790909090909
KLK11	-0.838166666666667
C19orf28	-1.352875
DNER	-2.692875
MED22	-0.370714285714286
ETV6	2.05716666666667
CHAC2	-1.34775
CD300E	-0.176
CEBPB	1.969
ZNF398	0.00925
LRCH3	0.1415
HMGA1	-1.13833333333333
CAPN7	-0.1275
MGC5566	-1.97275
CCL3	2.66425
NANOS1	-0.223875
ZFYVE19	-0.19425
APITD1	-0.8965
PARD3	1.041375
IRAK4	0.512166666666667
SERPINI2	0.074
CEP170L	0.6275
TTC9	1.761875
MYOM3	-1.04625
MLPH	-1.039625
LOC222699	-0.9895
NRG1	-0.902833333333333
TBC1D9	0.0480909090909091
TTK	-0.488
ZNF557	0.8815
DDX41	-0.683
FANK1	0.613
UBE2D2	0.04025
PSMB10	0.818
MYH7B	-0.194
GABARAPL2	-0.283125
MARVELD2	0.265833333333333
DGCR2	0.466333333333333
UNC45A	-0.4115
C6orf72	-0.2455
ZNF683	4.4215
GIT2	0.82275
CASK	0.599833333333333
C14orf161	2.12816666666667
LRRC44	0.90975
TIFA	0.948125
UTP11L	-0.050375
C6orf65	0.23
FDPS	-0.033
DUSP9	-2.5328
SLC17A8	0.309166666666667
OR51G1	-0.250666666666667
NANS	-0.2555
OLFML1	1.86425
ATP10B	-0.234375
NPAS3	-0.22925
PRKCA	-2.5853
GGA2	-0.0270625
LCE4A	-0.3035
SPANXN3	-0.0545
CCDC115	1.867375
SDCCAG3	-0.648
GLIPR1L1	0.4495
TTC1	0.26025
C17orf76	0.8415
MAD2L2	-0.71375
HIPK1	-0.0777
LRRC3B	-0.344833333333333
CLN3	-0.915681818181818
C17orf47	0.5965
FMN2	-2.614625
TUBB1	-1.250375
WAPAL	0.373666666666667
C3orf21	0.1555
SCN5A	-0.0703
SMYD1	0.18375
BEX5	0.894
ZNF192	0.5875
SEC22A	0.120666666666667
GRIA2	0.682714285714286
KIAA0825	-1.65325
NUSAP1	-0.983272727272727
LANCL1	-0.3755
C15orf40	-0.7756
ZNF645	-0.013
GPR61	0.3795
NLRP14	1.7915
SNX21	-0.3935
C1QTNF8	-0.239
C17orf46	0.5615
IFNA8	0.4565
SPRR1B	-1.17416666666667
FLRT1	-0.86075
SNX17	0.878
ASB2	0.887833333333333
HBG1	-5.996
RPRML	-0.32275
JOSD2	-0.837
PLSCR3	1.01275
SPOCD1	-0.510666666666667
RAB39	0.611
GHRH	-0.810166666666666
ITIH5L	-0.86825
C17orf37	-0.1725
SMCR8	-0.041
DPY19L2P3	-0.7335
IL11RA	1.53833333333333
GDF3	-4.5945
RPS6KB1	-1.57266666666667
DNAJC19	0.147
TOP1	-0.2435
CRCT1	-1.456375
MPST	-0.282875
DPM2	-0.43875
FAM38B	0.312
SLC18A1	-1.845
FARP1	1.48633333333333
PAX7	0.06225
TUBD1	-1.146
GNL3	-0.4805
BTG2	0.8072
NDUFS6	-1.317
C1orf79	0.096
ERAL1	-0.59
ECHS1	0.354
VPS4A	-0.505
CYP11A1	-0.651875
ABCC6	-2.40657142857143
PBX4	-0.494
MOSC1	-0.363
NCF4	2.05675
HYMAI	0.894
NAGPA	-0.361375
OTOP2	-0.4955
ACOT12	-0.03575
MTHFD2L	-0.461125
LOC441376	6.16025
C19orf34	-0.3815
RAB1B	-0.43625
ALDOAP2	-1.8395
NTRK1	-1.147
ARTS-1	0.5619
SLC6A11	0.1845
NAP1L2	-1.505
CNGB1	-0.208
EPB41L4B	0.290333333333333
FAM134B	0.6785
HS3ST3A1	-1.0735
CPXM2	5.073
SIRPB2	0.4285
CHORDC1	0.3405
TRIB3	-1.97766666666667
SLC2A5	1.469
C2orf49	-1.31216666666667
DDX5	-0.02
OR5L1	0.086
ANAPC4	0.449166666666667
ZSWIM1	-0.100625
LOC93622	0.468875
KCNK3	-0.18
RP11-35N6.1	-0.908875
ZFP161	0.297166666666667
AQP9	4.6505
SLC15A2	2.66166666666667
MREG	-0.719333333333333
OR9I1	-0.1895
PDLIM2	0.367571428571429
ADAM7	0.5165
GSTCD	-0.5305
WDR21A	-0.089375
SLC12A8	2.5565
TMEM174	-0.01925
IGSF3	0.655
LRRN1	0.5935
LOC402117	-0.608
SRPK1	-0.691833333333333
LY6K	1.2415
NFIA	1.4745
PTCD3	-0.524125
LEP	2.51716666666667
PCDH21	-0.367333333333333
MAPKAPK2	1.14978571428571
NMNAT1	-1.137
LHFPL2	0.94275
C9orf43	0.22625
DIP2A	-0.278166666666667
ACTR8	-0.19725
CCDC34	0.167
PTPN22	0.91725
ITGA3	-1.98925
FAM129C	2.162
RABGGTA	0.270666666666667
UNC45B	0.1255
KIAA1033	0.504
ZNF510	0.216166666666667
CYP2D6	-0.743833333333333
SLC26A10	-2.242
STX8	0.1515
LUZP1	1.037125
WDR89	-0.209833333333333
EIF4G3	-0.3883
C5AR1	1.335875
ZNF623	0.926
A2M	0.66525
TGM7	0.2545
GRPEL1	-0.36
LMNB2	-1.1227
ROCK2	0.368833333333333
SNX16	0.351625
CCDC66	-0.648
ANXA3	2.288
KIAA1609	1.329875
EED	-0.445
RNF32	1.67416666666667
HES1	2.3148
CLC	1.32066666666667
ISL1	-0.329
KIAA0528	0.1365
MANEA	1.077125
C1orf61	-0.0025
hCG_2001000	-0.58075
RAPGEF6	-0.3997
KIAA0020	0.402166666666667
NEIL1	-0.48725
C16orf45	-2.28375
RBM10	-0.512166666666667
C10orf125	-0.69825
MRS2L	-0.97675
DNAH17	-0.199
C19orf10	-1.06375
C1orf160	0.12825
SLFN12	1.3355
EXOC3	-0.320833333333333
HIST3H3	0.94575
NCOR2	0.258833333333333
TNFRSF9	2.54275
MFSD8	0.164
ALX1	-0.147166666666667
NOL1	-0.37775
PODN	2.75075
TIAL1	-0.86675
HIST1H1E	-2.15825
NPY6R	-0.0245
TM4SF4	0.5125
CORO2A	-0.58225
ETNK2	0.384166666666667
APOE	0.876
ANGPT4	-0.121
HDGF2	-0.37275
G30	1.0465
ST8SIA4	0.395875
F2RL1	1.0825
FAM19A4	0.46
CCAR1	-0.506
B3GNT7	0.22025
OPHN1	-0.1953
DSCR6	0.9265
C21orf13	-0.712166666666667
GAS2L1	0.133916666666667
RFX3	0.903666666666667
COPS4	-0.641375
BCHE	-4.30966666666667
BCL2	1.407625
HBZ	-3.60416666666667
ARL13B	-0.546
MAPBPIP	0.40275
MYO15B	-0.429625
SPZ1	-0.664
KIAA1324	-0.000222222222222227
PLCL2	0.689125
C4orf29	-0.68975
WDFY2	-0.071375
ZNF284	-0.77
NAALADL1	0.8065
DUSP5	0.111833333333333
PXDN	1.138
SLMO1	-0.33475
TNXB	0.3124
BIRC7	-1.438
A4GALT	0.891666666666667
TIMM22	0.361
FAM110C	0.73675
TOMM34	0.064375
ABHD9	2.413
ADAM32	2.681
CRHBP	0.4205
AQP2	0.192875
LOC130355	0.48875
ZNF187	0.495833333333333
ZNF816A	0.303
F7	-1.12075
CNOT1	0.1276
SLC13A4	-2.0535
ZBTB11	-0.3405
B3GALT5	2.16475
EXOC2	0.691166666666667
IRS1	-0.403
TMEM1	0.3755
MRPL34	-0.0875
SAMM50	-0.66125
CDC42EP3	0.6885
HSF2	0.1564
MFN2	0.10525
TSPAN7	-0.733666666666667
NUCB1	-0.1135
RHOH	-0.14525
ARL16	-0.612
TACR1	-0.1675
SFRS5	-0.694
SNX25	-0.559125
RHBDF1	0.436
PCDH18	2.82366666666667
HMG1L1	-0.15925
MYO5C	-0.533
MAPK10	0.118
LDHAL6A	-0.283
NUDT12	-1.9435
NCAM1	-0.474
GLIS2	-0.196
GGTL4	0.32125
DAPP1	1.1285
ATF7	0.2185
KIAA0748	0.478
NFIL3	0.34325
TM6SF1	0.4584
SEZ6	0.032375
NANOS3	0.0753333333333333
DNAJA3	-0.8585
CLDN6	-2.6795
CIITA	3.3468
EPHA4	0.425083333333333
FANCC	1.11575
CMTM3	1.365125
PSG3	-0.318
MRPL15	0.026
C21orf59	-0.53875
PLCXD2	0.125
C2orf34	0.17425
UBE2L6	1.497625
MED14	-0.534666666666667
HP1BP3	-0.0317
C6orf208	-0.263
TPBG	-0.1415
OSR2	1.708125
XPC	-0.00999999999999999
KLHL7	-0.525166666666667
CCR3	-0.0136666666666667
AGTPBP1	0.772166666666667
PCSK6	-1.89866666666667
STAT5A	0.3381
FAM18B	0.14775
LONRF2	-2.618
PTPN2	-0.36325
SF3A3	-0.0725
EFCBP2	-1.3425
HCFC1	0.421
AHNAK	0.51455
ACTR5	0.12675
KIF14	-1.21428571428571
TENC1	0.6075
HEATR5B	0.948
YIPF2	0.858166666666667
MYEOV2	-0.0446666666666667
DUSP18	1.0115
KIAA1012	-0.077
AHR	0.566
C17orf53	-0.973833333333333
PTPRH	-4.34375
ATP6V1C1	0.4913
TAS2R3	-0.981
LOC440356	0.86575
COQ10B	0.70425
PSMF1	0.719833333333333
SORBS2	4.00133333333333
NFE2L2	0.3565
TMCO7	-0.6225
SH3PXD2A	0.3338
SH2D2A	0.90825
SPINK5	-4.66525
MRPS24	-1.3205
OPA3	0.496875
TRAF7	0.180833333333333
C4orf35	-0.093
MT1G	-1.354
MGC39545	0.779666666666667
HS1BP3	0.0869
OR2B2	-0.00650000000000001
CHRM4	0.2785
SFRP2	3.90616666666667
RIC3	1.948
ART1	0.122
C6orf1	-0.189
DUS4L	-1.26725
C10orf104	0.51425
TNFAIP6	2.565
RTEL1	-1.08275
CCT4	0.0503
ZNF709	1.01625
CHMP6	-0.683
UPP2	0.116
CYP19A1	-2.190375
CD151	0.27
NDUFA13	-0.253166666666667
ARFRP1	-0.454333333333333
FAM26B	1.8015
CRYBA1	-2.267
MRPL41	-1.6375
NPFFR2	-1.604875
HRH2	0.0285
SCAMP3	0.334166666666667
MTMR6	1.0537
MTG1	-0.523333333333333
UBTD1	0.965
CRABP1	1.401
FLJ33790	-0.5048
KIAA1908	-1.52316666666667
GPR158	0.4955
PACSIN3	0.327
OMD	3.95333333333333
CATSPER1	-0.361166666666667
HOXB8	-0.742
FBXO46	2.011
OAS1	2.315
SVIL	0.96375
PHB2	-0.703
ADCY3	0.4215
NDRG2	1.36383333333333
ERMAP	2.1537
APBA2	0.851833333333333
IGSF9	2.53825
WNT6	1.66935714285714
MYCBPAP	0.102
ATP2B2	0.1335
CPVL	-0.1989
TRAM2	-1.00208333333333
NOP5/NOP58	-0.14375
ZNRF4	-0.0965
TLK1	0.178
MTMR12	0.0445714285714286
ZNF384	0.309166666666667
FAM9B	-3.03025
RPN1	1.0514
PMVK	0.32325
EIF3D	0.119
SIX2	1.5985
HPS1	0.572071428571429
RNF7	-0.0315
PSKH2	0.267
KCTD13	-0.564666666666667
CSMD3	-1.08422222222222
FBF1	-1.819
IL8	-3.75525
SERPINB13	0.4255
FBXL20	-0.03175
BLR1	0.45925
SH2B1	-0.284833333333333
RFNG	0.073
RAB20	1.534
RBM7	-0.0005
POLR1A	0.261333333333333
TMPRSS4	-3.52125
TAF9	-1.57525
TERF2	0.759
TNFRSF1A	0.3295
ACADVL	-0.411666666666667
GTF2H5	-0.314
EDG8	1.48666666666667
C9orf140	-1.716625
UST6	0.03475
ZBTB8OS	-0.488
ZNF710	0.5345
GPR174	0.272
ATP6V0A2	-0.388
KIAA0319L	-0.37575
XKRX	0.5735
DOPEY2	1.2642
SDHD	-0.496
SUMF1	0.71175
OSM	4.11425
OPN3	0.1925
DAGLB	-0.532333333333333
PPFIBP1	-0.2146
TRIM63	-3.18875
C10orf53	0.153
LYPD3	1.97266666666667
BCL7A	0.82575
AGER	-1.21333333333333
TCF19	0.184
SAT2	-0.2245
PFTK1	-0.111666666666667
GABRE	0.90225
C15orf38	0.0946
FIS1	-0.2135
KCNV2	-0.5905
CLPS	0.23225
PPCDC	-0.72275
FOXN2	0.0681666666666667
NT5E	-2.5249
CD83	1.852
IL18	1.98625
VPS16	0.4425
IGFBP2	-3.74
NOTCH2	0.89875
SIGLEC1	3.26275
CD93	4.801
SULF2	0.0455
CEP164	-0.543625
P53AIP1	0.0886666666666667
TOR2A	-0.197
ZNF136	0.996
MGP	2.2258
CCDC144A	0.975166666666667
TRPC1	-0.827166666666667
SMS	-0.766333333333333
MAPK7	0.484833333333333
RRAGC	1.2775
PARD6A	-0.499333333333333
NUB1	1.02883333333333
SYNGR4	0.23925
OR11H12	-0.257
WIF1	-0.106625
GCH1	0.34625
OR11H4	0.378
SLC44A5	1.651
GPRIN2	3.21
LOC401431	1.17825
CPA4	-0.6886
MELK	-0.146555555555556
IL15RA	1.42275
CUL3	0.840375
HMBOX1	0.93475
PODXL	-0.69225
CCT6B	0.4215
COMTD1	-0.86825
MUC20	2.79083333333333
GPX2	-4.626
ITK	1.05225
FBXL5	1.50375
C13orf27	-0.6155
DEFA5	0.8375
TRHDE	-1.339
MTP18	-1.53166666666667
UQCRQ	-1.5579
ITGB2	3.15125
CSRP2BP	1.01375
TAS2R44	-0.1485
PHPT1	-0.784375
FAM44C	-0.0035
ERH	-0.8055
MPHOSPH1	-0.124166666666667
MORC1	-0.833
PARVB	-0.88925
LAMA1	-1.71408333333333
PGBD3	0.03575
GIMAP6	3.913
AREG	-4.4175
LIPT1	-0.313
MGC99813	-1.18325
C1orf201	0.607833333333333
GRIN2A	-1.1309
MAN2C1	-1.722
NSUN5	-0.2825
SF3B5	0.395
MYC	-0.239875
NRXN1	-0.152583333333333
ZNF18	0.45925
SPDYA	1.974625
SLC37A1	1.2235
DECR2	-1.562
ANKRD38	0.68225
SPTLC3	-0.9425
SUPT16H	0.053
DTWD2	-0.17325
ULBP1	-0.2895
ZADH1	-1.1555
OIP5	-2.508
IL10RB	1.1585
OTUB2	-0.09725
VWA3A	-0.0576
SPIC	1.233
OR6C4	-0.5065
PSCD4	2.0525
DPY19L2P2	-0.193
TRAPPC6A	1.32733333333333
C21orf2	-0.548833333333333
CEMP1	-0.78175
LIN7B	-1.2265
E2F7	-0.898833333333333
VCP	0.84375
LAMA3	-0.239583333333333
BGN	1.8515
GPR160	-0.367
COCH	-1.01433333333333
GPR81	-0.3425
APOBEC3F	0.1665
tcag7.1017	-0.562
C1orf32	1.255
SCGB1D2	4.40275
FLJ43987	-0.25
C6orf170	0.936
KLK9	0.0115
GPD1L	-1.279875
VPS37B	-0.0815
ATG3	0.399
ADAMTS17	0.0205
KLHDC2	0.4005
NDUFV2	-1.34825
BLK	-0.5655
MATN4	0.626
GPM6A	1.05285714285714
GBP4	4.5165
TMEM162	0.157
PKP2	1.105
HRASLS	1.84666666666667
MMP1	-0.931
SFXN3	0.2995
FSD1	-2.28616666666667
ST6GALNAC3	-1.13483333333333
CA12	-2.2399
NCOA6	0.7
C19orf58	0.262
PPP4R1	0.982666666666667
MAN1A2	0.112166666666667
IKBKAP	-1.36275
UPF1	0.895
KIAA1219	0.8385
WNT16	0.0473333333333333
SNW1	0.130625
IL18RAP	2.65125
RPP30	0.21375
CDC40	0.201
SETD3	0.3365
SLAMF6	2.21175
ELK4	0.0065
TRIM47	0.926833333333333
ACOX3	0.9645
TRIM6	-0.18625
KIAA0372	-0.359833333333333
TP53AP1	-0.418875
SMURF2	0.43625
ADAD1	0.3705
EBP	-1.4283
KRTAP13-2	-0.306
FLJ36874	0.143
TOR1A	0.0851666666666667
P2RY4	-0.0895
GPBP1	-0.14625
TRPV1	-0.047125
ADAMTS12	0.470333333333333
PES1	-0.1008
ATG4A	0.5075
MAGEA10	-5.36325
WFS1	0.65775
CC2D1B	-0.095
PABPN1	-0.937625
SLC25A30	0.237
SLCO1C1	-0.00816666666666665
SLC22A5	-0.78375
KIF23	-1.31116666666667
SYN2	0.2795
ASPN	8.57033333333333
CENTG2	0.81925
QSOX2	-1.1261
FLJ10815	0.2085
STK24	1.0670625
SPEG	1.5789
STK10	0.700333333333333
DACT2	-1.3445
AAAS	-0.684
SSX3	-1.692
ABCD3	0.415
C4orf12	-0.65725
PARVG	1.8995
FIG4	1.3265
C9orf46	0.6065
TMCO6	-0.49
IGHMBP2	-0.28625
DUS2L	-0.306666666666667
FAM3C	0.10325
TMEM16D	-1.52525
DCTN4	0.2565
KCNH3	-0.17425
EIF2AK2	1.3935
AP1S3	0.467375
CST4	-0.542
PAM	0.879375
NUTF2	0.21925
CITED2	0.2578
SLC39A4	-0.53075
C2orf52	-0.574
GRM3	-0.369
C12orf49	0.59075
CCDC49	0.2863
GRAMD1B	-1.006125
FNDC4	0.77225
SIAH2	0.329125
GDPD4	-0.22575
C21orf87	0.022375
ATP5A1	-0.132333333333333
C16orf63	-1.296
LOC388135	-0.322333333333333
ATP5J2	-0.937625
MMP3	0.87225
EMID2	-0.905
CRHR1	0.79675
WDR70	-0.46225
C13orf31	2.298
ZFAND1	0.773
CCL18	3.77183333333333
C3orf49	-0.174
RINT1	-0.983
KIAA0408	-0.465833333333333
F13A1	4.5582
SLC10A1	-0.0658333333333333
OGN	1.22925
GIPC2	1.443
XPO6	-0.907
LCE1A	0.632
FMR1	0.3557
