Hybridization REF	TCGA-A8-A07C-01A-11R-A034-07
KLB	-1.307
C1orf65	0.107
ZFYVE28	-0.108
NSUN6	1.367
KIF27	0.730666666666667
SYTL2	-2.76233333333333
UBXD2	-0.0392
OR6T1	0.6115
CCDC91	1.16978571428571
GRID2	0.188
CALN1	-0.876375
ZNF423	-0.61925
PSMB4	0.782
XPNPEP3	-0.0456666666666667
ARPP-21	-2.7866
SART1	-0.055
RACGAP1P	-0.683
SPTA1	-4.628
C6orf113	0.670166666666667
C7orf16	-1.66275
CHST7	-1.002
C21orf29	-0.426166666666667
SEMA6D	-1.436
PCMTD1	1.677375
KIAA1754	-0.8925
MYCN	-0.77725
KCNJ3	-0.56625
MAPK13	1.8264
ERO1LB	-0.276
NTF3	-2.34816666666667
NKX6-2	-0.4045
GTF2B	0.69025
GSPT1	-1.2495
GUSB	-0.414833333333333
LOC221091	-2.9245
LIG1	-0.1995
EXTL3	0.335666666666667
NID2	-1.4495
TTC29	-0.30525
TMEM97	0.150625
EXTL2	0.241
SUZ12	0.35675
IL1F8	-0.038
KRT18	-3.47554545454545
MRPS16	-0.539166666666667
PI4K2B	0.74275
LACRT	1.024
OR51F2	0.609
JMJD2C	-1.149625
KGFLP1	1.78925
CDK5RAP3	-1.1619
YTHDF2	0.170666666666667
GGCX	0.552125
ARPC4	1.036
EGLN2	1.07916666666667
KBTBD4	0.518214285714286
ROBO3	-1.0978
DEFB118	-0.5115
KIAA1543	-0.4015
RTCD1	0.397833333333333
MZF1	-1.1495
C18orf26	0.38
CNIH4	1.07533333333333
ZFP2	0.593166666666667
HTATSF1	0.0965
WFDC2	-0.948625
NDUFA7	-0.014
TTC22	0.621
FAM40B	-2.524375
DCPS	-0.32375
SH2D1B	0.831166666666667
MRGPRE	0.5175
SBK1	1.998
UNQ6411	0.3
OSBPL9	-1.84675
NUP107	-0.36175
MYOZ3	-0.49
PDE4B	-0.564
FAM113A	-0.7125
IDH3G	-0.0728333333333333
FBXL7	-1.008125
ARFGAP3	-0.533
MAPRE2	-0.096
IL1RN	0.224
KIF13A	0.2845
RAC3	-0.1085
TCTE1	-0.326
TMEM14B	1.117
ADIPOR1	0.588333333333333
GRINA	-0.433
CLIP4	0.41425
LRIT2	0.0435
TFPI	-2.91671428571429
FABP6	0.10775
SLITRK2	-0.00439999999999998
HKR1	0.238
SMTN	-0.33525
C1orf75	1.6245
CD209	0.789375
CYB5R2	2.85075
DNTTIP2	-0.0423333333333333
CSGlcA-T	-0.451
GABRB3	-2.542
PCBD1	-0.754
TAF3	1.0565
HOXD3	2.086
GIPC3	-0.233333333333333
P11	0.1669
BFSP1	0.775
LCP2	1.02025
TAS2R8	-0.34
SEZ6L	-0.927
NR2C1	-1.180625
EXDL2	0.5378
TNFRSF13B	-1.54416666666667
MKI67	0.14375
GLS	0.366583333333333
C7orf54	-0.6008
LGALS13	0.254
IL4R	-0.5345
SEC11A	-0.125
SPP2	0.0768333333333334
C18orf32	0.03525
CLSPN	-0.730833333333333
SPAG1	0.6245
C9orf82	0.30875
TM4SF1	-0.228
EMILIN2	2.40775
SMG7	0.256833333333333
TAS2R13	0.168
ZNF628	0.6325
DZIP1L	-0.627
ANKRD13A	1.1253
VASP	0.844875
ZCCHC11	-0.45825
SYPL1	-0.090875
MGC34774	0.0805
C4orf28	0.858
KIAA1211	0.657833333333333
RPS27L	-1.33675
TATDN3	-0.93625
PDCD1	1.71275
OR5P2	0.5965
IFIT1L	-0.00650000000000001
MIPOL1	1.13625
OR51D1	0.065
C1orf92	-0.635833333333333
LAMP2	0.0731666666666667
CAT	0.369166666666667
C16orf80	-0.68375
C15orf32	0.8455
ZNF746	-0.3295
C1orf76	-0.5735
ATXN1	-0.4435
LAMC2	1.509375
SLC2A7	0.3315
CPOX	-1.1715
APH1B	0.344166666666667
LOC442245	-0.8515
CTNND1	0.349777777777778
GABRG2	-0.367125
MADCAM1	-0.3485
F5	-1.180375
SEMA4F	0.458
NUDCD3	-0.392875
PDZD11	0.0015
TRIML1	-0.1345
GCNT3	0.881833333333333
TMEM120A	0.54225
CNDP1	0.1965
N4BP1	0.137625
SLC35F2	-0.503625
LCP1	-0.18725
IGBP1	-0.9185
DCAKD	-0.361125
ELA2A	-0.431
C12orf56	0.56625
PITRM1	1.86357142857143
GUK1	-0.254166666666667
RASSF8	-0.8601875
OR2A14	0.09325
ADM	-3.50233333333333
FGD3	0.976833333333333
GHRHR	0.05
RHPN2	0.02225
C4orf39	1.2745
VPS72	1.1935
SERF2	0.241277777777778
CD22	0.402166666666667
CD47	0.2389
PPIC	0.392
IMPDH1	-0.294083333333333
ACP6	-0.140833333333333
PRKACA	0.275625
PPP1R1A	2.80425
TRPV3	-0.2855
ASXL1	0.059375
C17orf55	-0.682833333333333
FXYD1	-1.50183333333333
LMOD2	-0.056
ANKRD33	0.37
LCE2C	-0.250375
ZNF620	0.733
DKFZP566E164	-1.4
VSIG2	-0.69375
KIAA1128	0.738
USO1	-0.661333333333333
NUDT4	-0.964857142857143
CLDN1	-1.71264285714286
OR4Q3	0.237
FASTK	-1.497
ICOS	2.58533333333333
LDB1	0.21475
GSTA5	-0.59225
ABCC1	-1.369
FAM54A	1.18975
PCBP2	-0.86
NUP205	-0.23525
ACTA1	-2.12433333333333
GABBR2	-0.97625
PIP5K1B	-0.752
AGXT	-1.31033333333333
RNF181	-0.3245
ATP8A2	-1.7635
AFTPH	1.7735
FGF21	0.29475
FCER1G	1.98025
SNTB1	-1.60625
SLC24A3	0.07375
TXNL4B	-0.8927
RPL10L	-0.5535
LOC389517	-0.54985
TSGA13	0.1775
SHOX2	-1.24133333333333
ITGA7	-0.7293
KCNIP2	-0.575
KLF13	0.4539
ZFAND2A	-1.033
CEACAM1	0.204142857142857
PFKFB4	-2.81833333333333
MED19	0.44975
LRRC57	0.3925
RNF11	-0.55225
ANKRD32	-2.4015
P117	0.688
OBFC2A	-0.132833333333333
POLD3	-0.423666666666667
RAB18	-0.109
TPH2	-0.0666666666666667
PHB	0.358
JDP2	0.2575
MORF4L1	-0.7087
POU2F1	-0.3235
CNNM2	-0.282916666666667
LOXHD1	0.185833333333333
ZC3H15	0.07425
ELK3	0.0645
FAM111B	1.56175
CBLC	2.66783333333333
SBNO1	0.70875
ANKMY2	-1.95575
PLEKHA5	0.21675
DHX58	-0.634833333333333
ARCN1	-0.55
TREML1	0.1894
KNCN	-0.1555
SEC24A	-0.87275
PSCA	-1.212
MGC24125	0.0421666666666667
DNA2L	-0.7455
CIB4	0.625875
HIGD2A	-0.544333333333333
TBX6	-0.0805
TTLL5	-0.904666666666667
SGK3	2.29416666666667
GCN1L1	-0.40575
AMOT	-0.1001
LDOC1	0.138666666666667
NRK	-0.125
ASB9	-2.3185
NAT1	-0.4557
TRAFD1	0.38875
PEAR1	0.121666666666667
FAM36A	0.889625
OR1S2	0.434833333333333
LOC388323	-1.926
PGS1	-0.0786666666666667
LEPREL1	-4.10275
TFF1	-4.94533333333333
HAP1	0.148
EPHB2	-0.68075
ACTG1	0.7795
ZFP42	-0.537
HAVCR2	1.0909
NME1	-0.2385
SNX26	0.454416666666667
LACTB	-0.0956666666666667
ZKSCAN2	0.20325
C5orf35	1.165
ANKS3	-1.14475
RBM28	-0.1565
DKFZP586P0123	-0.70675
HNRNPA1	-0.444666666666667
BCAS3	-1.04208333333333
FLJ20184	0.236
POLA2	-0.660333333333333
TMC7	-0.195
HSD17B6	1.2685
ZNF658B	1.00533333333333
TTTY10	-0.0455
RANBP9	0.958833333333333
CPNE7	-2.31683333333333
EVL	-1.02858823529412
LNX1	0.605333333333333
IFNA21	-0.2655
CFD	0.23525
PYCARD	-0.856166666666667
MYBPC2	-1.5045
ENPP3	-1.80683333333333
ACSL4	-1.53825
LOC440258	-1.47866666666667
TMEM176B	3.51766666666667
SOX2	-3.915
SCO1	-0.333
COMT	0.03075
AOC2	-0.3675
PDLIM5	0.2915
SPHK2	0.648166666666667
NXPH2	-0.123
GPR108	0.726833333333333
RAD51L1	-0.671833333333333
TMEM54	1.201
LETMD1	-1.10222222222222
SLC6A17	0.32275
KRT75	-0.7365
STT3B	-0.881333333333333
CD3EAP	0.611
TMEM63A	-0.36325
DUSP13	-2.81825
CD1C	-1.13316666666667
LASS2	0.439833333333333
AVP	0.77
PITPNM1	-0.6775
FLJ22795	-0.4175
MCTP1	-1.7975
TRIM68	-1.66166666666667
UCK2	0.042
ABHD1	0.3715
FAM50A	-0.1675
RNASEH1	-0.0075
PCP2	-0.641833333333333
OR52H1	0.052
C20orf149	-1.064
RBP5	-0.336666666666667
HYAL3	-1.273
CLPB	-0.98375
SMNDC1	-0.03075
DONSON	-0.392166666666667
FLJ27523	0.02275
BARHL2	-0.0923333333333333
SLC30A9	0.5365
TMPRSS11B	-0.24275
E2F8	-0.104
CCDC25	-0.819416666666667
C14orf48	0.00133333333333333
C20orf116	-0.23125
TSPAN11	0.321
YIF1B	-0.651666666666667
FAM12B	0.3775
OR1L6	0.595
HPN	-3.3536
NBN	1.107375
C14orf94	-0.915833333333333
OCLM	-0.409
ZSCAN18	0.668
L3MBTL	-2.9358
TSTA3	-0.682833333333333
RAC1	-0.541875
C19orf15	0.161666666666667
NFE2	-5.221
KLK14	0.186
ARSF	0.2255
MAST2	0.0503333333333333
AMICA1	2.466
GTF2A1	0.162375
ATP1A3	0.94525
TC2N	1.6281
PNKP	-0.2775
ODZ2	-2.688375
MATR3	-0.072
S100P	-2.25875
KRT82	0.1555
CA13	0.6926
PROZ	-1.4525
AASDH	1.596625
C19orf40	0.320333333333333
DCK	-0.139692307692308
FAM5C	-0.146
SLC6A4	0.487
MID1IP1	-1.7395
TESSP5	0.2585
TMOD4	0.235833333333333
DOCK2	-0.475
TUG1	0.6925
NUP214	-0.8095
DPYSL2	0.300636363636364
GOLM1	-0.377083333333333
MPFL	0.41325
SOX13	1.5645
SDCCAG8	0.6156
KEL	-2.29683333333333
NUP210L	-0.912
GK	-0.283875
DNAJB1	0.6615
ALPK3	-0.188
CHID1	-0.7354
CYLC2	0.0346666666666667
IKZF5	1.22
C8orf51	-0.0783333333333333
PPM1J	-0.85575
GIMAP8	2.93966666666667
GPR101	-0.121
NR2F1	-3.0195
ACAD8	-0.17275
RBM35A	1.87425
GNAI2	-0.656166666666667
METTL8	0.462666666666667
SLC39A7	-0.76175
FBXO8	0.168
CAMK1	-1.2725
RFC3	0.606
FAM129A	0.431714285714286
ILF2	1.53225
FGFBP3	-0.42125
NOM1	-0.233166666666667
PSMA3	-1.67775
ASCC3	0.5121
ZYG11A	-0.87175
SOX21	-1.170125
LYRM1	-0.53375
DEFB1	-0.458
LOC91431	-1.7605
OR7C2	0.71
FAM46B	0.82325
TMEM18	-0.275125
ARHGAP30	1.60316666666667
TMEM86A	1.84191666666667
EPHA2	-0.2755
C10orf46	1.4424
TCHH	-0.886333333333333
C3orf30	0.104833333333333
LOC285636	0.3155
PAIP2	0.79
CYP2U1	0.26725
C12orf34	0.7925
SARS2	-0.008
ZCWPW1	0.63375
SAMD12	1.104875
KIAA1430	-0.274875
ACAT1	-0.533
MEOX1	0.596166666666667
ADAMDEC1	6.1615
PHKA2	-1.2445
CARD11	-0.7785
CALML4	-1.0195
TSSC1	-0.8685
TMEM45A	0.0327777777777778
MPP7	-2.055
POU1F1	-0.08725
SLC2A13	-0.952
FBN2	0.580928571428571
ZC3H7A	-0.8062
LAIR2	0.7385
ST3GAL1	-0.693833333333333
LCT	1.62175
GEMIN8	-1.10666666666667
KLF16	0.3189
HIF3A	0.3982
FAM44A	0.6825
AQP10	-0.9302
PLA2G2A	-1.94
FOLH1	3.00066666666667
C20orf186	0.325
MAPKAP1	0.641375
SPRR2D	-1.363
UBQLN4	1.16566666666667
RSHL1	0.448166666666667
PIAS3	0.445
MRPL24	0.94725
GREB1	-3.94875
FAM27E3	-0.9045
NUP62CL	-0.882
NEUROG3	1.4675
REEP3	-0.0855
MARK1	1.23675
LMBRD1	1.64275
PRPF19	-0.3835
PNMT	-0.193833333333333
CTGLF1	-0.67
SLC25A16	-0.616
EIF2B3	-0.861
RPA2	0.07025
PAK6	1.5275
CCDC26	-3.337625
SEMA3E	-0.2175
MXD4	0.7311
TNFSF10	1.9695
SMARCB1	0.322333333333333
DTX3L	-0.362166666666667
PLA2G4E	-0.436
PPAP2A	0.23
ULK1	-0.101583333333333
TAS1R3	0.096
SLC2A3	-2.70409090909091
ARID3A	-1.74375
GNG5	-0.12475
ACOX1	0.4396
KIF5B	-0.09225
NUP153	1.26975
MUC7	0.288
CSDE1	0.0448571428571428
CLPTM1	-0.1045
C3orf23	0.041625
LRRC17	-3.78733333333333
TTYH3	-0.397625
ATP5B	-1.177
ELF3	0.4108
CPSF3L	0.0315
ZNF665	0.3295
TLR6	0.462
GPI	-0.73675
RAD9A	0.151875
NDST4	-3.687
AGPAT3	0.8665
MAGI3	2.0505
ADORA2A	-0.0865
CACNG7	-0.0425
CAMK2D	-0.670714285714286
CCHCR1	-0.22075
RPS27A	1.18225
OR10G7	0.338333333333333
GCM2	0.1665
FAM135B	0.1909
E2F1	0.07025
PLCB3	0.23575
OR2AE1	-0.084
COIL	0.362666666666667
CDC25C	-0.276666666666667
RAB11FIP2	0.0555833333333333
TSC2	0.1625
CTGLF5	-1.07
CCDC108	0.2541
OR13C4	0.267
C10orf81	2.2075
PTPRB	0.62875
ACP2	0.86675
LAG3	2.226
MRPL54	-0.07925
LOC201175	0.8945
ITGB1BP3	-1.4725
SPTAN1	0.734
SIPA1L2	0.69775
RCAN2	-0.6885
CDX2	-0.719
ECOP	-0.845
ACTR1A	0.0117142857142857
PPARG	-1.47416666666667
BBS10	0.0878333333333333
TMEM44	-0.975125
BPIL2	-0.37675
CITED1	-2.27525
IRF6	4.476
PRDM4	0.475833333333333
RRP9	-1.37666666666667
OR10H4	0.303
IL31RA	-0.162
GNB1L	0.232333333333333
MYBL2	-0.877875
ZNF407	1.1725
PPIG	0.189666666666667
TTC18	0.9335
RPSA	1.3855
MAPT	-0.014125
MRE11A	-0.142714285714286
C8orf37	-0.283166666666667
RASGEF1C	-0.352333333333333
STBD1	-1.798
CTAG2	-0.3965
MGAT5B	-2.31416666666667
ECM1	-0.86375
RLN1	-0.124
PARP14	0.115
EPB41L1	-0.8399
HOXA3	0.666583333333333
MAGEA9	-3.63
RPS8	-1.09716666666667
RPS19BP1	0.5265
FOXJ2	0.513625
C10orf76	0.278
IL17RE	0.41925
C10orf65	-1.6595
ZNF343	-0.408166666666667
FBXO33	-0.837125
UHMK1	1.1961
LY6G6C	-0.5685
FGF19	-1.66525
C14orf128	-0.672
IFIT2	1.103125
TIGD1	-0.2985
S100G	-0.2815
GUCY1B3	2.7755
NR3C1	-0.9255
CORO1B	0.193166666666667
PARP11	0.77425
DNALI1	-1.24666666666667
OR4N4	0.13775
MAP2K6	0.479333333333333
FSTL4	-0.3995
ANKRD47	0.958
TMEM171	-0.575
PNLIP	0.0785
YY1	-0.1615
CCDC138	0.1915
AASDHPPT	0.0678
CKS1B	0.7545
MCM3	-0.248
ANAPC7	1.1465
FAM110A	0.577
CDC37L1	-0.720166666666667
THTPA	0.23175
NBPF20	-0.323
WDR24	-0.34125
NPTX2	-3.4225
CBLB	0.969
CETN1	0.159833333333333
RPUSD1	-0.066
FAF1	-0.09875
CDK6	-0.0971
HMX2	0.118
CSK	-0.574666666666667
TEAD2	1.7595
SNAP25	-1.07125
TUFT1	0.279
TMTC3	0.209
LCK	-0.51
SGOL1	1.879
AKTIP	0.12675
FURIN	0.074375
SOX12	-1.44033333333333
DEFB103A	-0.493
RAMP1	0.46575
KIR3DX1	-0.165
GAS2L3	-0.13075
PDE8A	-0.4021
EDN3	0.57875
GMIP	0.7425
SF3A2	0.5145
FN3KRP	0.8505
SMAD7	-0.4115
RHBDD2	0.53075
OR11H6	0.49
PPP1R3B	1.1032
C9orf23	-0.5455
CADPS	-1.55475
GOLGA8A	-3.41675
TMEM57	0.278833333333333
RGL3	-2.1705
S100A14	-1.69275
FGFR2	5.3786875
XRCC3	-0.71625
RTN4RL2	0.283
MGC3771	-0.3565
GH2	0.202333333333333
BTBD2	-0.4825
LMO2	-1.0305
RDBP	0.86
ACRBP	-0.75925
AMY2A	1.95225
DUOXA1	1.0115
PTK7	1.41716666666667
TWF2	-0.6605
FAM80A	-2.542
TNNI2	-2.72216666666667
GLT25D1	0.666333333333333
OCC-1	-1.92275
CYC1	-1.5615
RPL22	0.733454545454545
MORN3	1.92133333333333
DISP1	1.5255
PRB2	0.39
CHUK	0.1325
HR	1.6485
CCDC134	0.096375
DENND4B	-0.12125
C14orf130	-0.018625
RAB33A	-1.56075
DCST2	0.4385
TNMD	-1.781
PEX7	1.06425
FAM62A	-0.201875
SRD5A2L	1.702
IL22	0.1505
RPS26	-0.254833333333333
HOXC5	0.0435
SPATA6	0.0285
FLJ38482	-0.808625
ZNF234	1.1725
C18orf22	-0.30375
SPATA22	0.15825
THOC1	0.62625
CYP7B1	3.64825
KCNC3	0.00575
C8orf42	-0.077
ALDH1B1	-0.940833333333333
CCDC100	-0.3143
ARMC4	-2.90125
FAM18B2	0.0955
SLC44A1	0.75375
FBXO17	0.137333333333333
C6orf107	0.101
C19orf29	0.012
ZC3HAV1L	0.218
PARP6	-0.089
SULT2A1	-4.377625
C1orf159	0.34875
TMC1	0.1925
CHST14	-0.16225
GAMT	-3.62183333333333
SMCP	-0.00866666666666666
TSPAN33	2.68091666666667
MIDN	-0.28575
NOX4	2.1295
RNASEN	-0.2559
TBX1	-1.2755
SALL2	-0.579
C10orf35	1.777
CYP2E1	-1.068875
LRFN2	-0.628833333333333
ACO1	-1.29966666666667
IQCG	1.5172
MEGF9	1.526
TM7SF4	2.22525
PLEKHA1	0.7354
STK33	-1.26175
C1orf210	0.40575
SNUPN	0.0496
KIAA0406	-0.771
C20orf29	-0.237
TMEM55B	-0.35825
OSTM1	-0.9925625
CLCN7	0.2445
OTP	0.3395
FLJ23049	-0.24175
HEATR4	-0.1365
MAP3K10	0.752166666666667
PCDHGA9	0.421
AMDHD2	-0.257
LCTL	-1.758
PDCD2L	0.88025
CABLES2	0.19825
SLC5A9	-0.2855
CLCA2	-1.96333333333333
MGC16025	1.0725
STRAP	-0.743666666666667
C20orf196	-0.47
RRBP1	0.517333333333333
NAT13	-0.14
MAT2B	-0.25775
CSNK1D	-0.318333333333333
KIR3DL1	0.533
PRKAG3	1.1965
ZNF599	-0.618
PRM3	0.517
PER2	0.022
ASPHD1	-3.449
PRMT6	-0.603
KCNE1L	-0.460571428571429
FAM118A	-0.7035
TAF4	-0.34375
NDUFB6	0.63125
TRIM9	-0.972333333333334
PMFBP1	-0.42325
KY	-0.1695
DKFZp762E1312	-0.704181818181818
CSMD1	-0.63325
TBP	-0.502333333333333
OR1Q1	0.229
RETNLB	0.304
HPGD	-0.5565
DNAJC12	-1.0355
FKBP1B	-1.7445
ANKRD24	-0.656166666666667
CXXC5	-2.28183333333333
IL3	0.18875
DRAM	0.3659
PTCH1	0.527625
TP53BP1	0.02475
SLC17A7	0.257
COL25A1	-0.7242
AMACR	-1.54683333333333
RHCG	-0.178
VPS13A	-0.35
FAM55D	0.2765
PRPF38B	-0.483416666666667
OSBPL6	-1.479
PFDN5	-0.5336
CMTM6	1.775875
KCNK12	-0.8765
RP2	-0.28325
C16orf52	-0.29725
PICK1	0.7005
IFNE1	-1.16416666666667
SEMA4B	-0.78625
TYRO3	-0.12875
OR12D2	0.0815
CSNK1A1	-0.34415
FANCF	1.492
LONP2	-0.53875
TBL1Y	-1.45175
LDOC1L	0.309375
CCNC	1.43475
C3orf60	-1.61375
CHKA	-0.725
UBAP1	0.54325
MAP3K1	0.706
ANKRD9	-0.535
FAM92A1	0.804
GAB2	0.382875
AZU1	-0.455
DIS3	-0.643666666666667
C21orf109	-0.662
IQCB1	0.4615
SPATS2	-0.454166666666667
EFCAB3	-0.1385
PRB3	0.551875
FUZ	0.566833333333333
ZNF813	0.437625
BMPER	-1.07433333333333
HEG1	-0.563375
ALS2CR11	-0.976
SURF2	0.75
PSMC1	-0.0219166666666667
OR2D2	0.286
SLC7A8	-0.6295
C4orf40	0.2325
SPATA7	0.13225
MAZ	0.290583333333333
PIN4	0.271
PDE1A	-1.769375
TAF6L	0.729166666666667
OR2T34	0.3395
KIAA0284	0.09875
ACADS	-1.29745454545455
MKRN2	0.8055
C18orf56	-0.655
MS4A6E	0.267166666666667
GALNT4	-0.5808
C22orf31	0.4425
FLJ36070	0.477
PSME4	1.8715
TFG	0.1758
EPHX2	-1.66875
ANXA5	0.7575
KRTAP1-1	0.3662
BATF	0.72725
KARS	-1.436
MSTP9	-0.2455
GPR26	0.046625
CCDC72	-1.2045
TEF	-0.172333333333333
FOXK1	-0.5951
PRLHR	-0.305
EMX1	0.464
C11orf30	-0.10725
ICK	0.90075
THSD7B	-0.07
C21orf100	-0.602
DUOX1	1.9515
EFCAB4B	0.2725
UBE2G2	-0.173833333333333
C3orf54	-0.39
PARP1	-0.16775
FAM60A	0.34175
C6orf146	0.083
OR9K2	0.183
DDX55	-0.771
RPS15	-0.61875
ZNF618	0.706625
DKFZp686D0972	-0.17475
SSPO	-0.8985
SHFM3P1	-0.0928333333333333
CPA6	-0.69525
JAG2	0.608
DEFA3	0.1155
PPBPL2	0.241166666666667
CD34	3.60975
SLCO4A1	-2.906375
AFG3L1	-1.33833333333333
SHD	-0.61475
RP13-122B23.3	0.653166666666667
PRKCSH	-0.347166666666667
DPH5	-0.141166666666667
HLA-F	1.528625
TBC1D4	0.86075
RIG	0.0978333333333333
GLUD1	-0.990666666666667
HNRPCL1	0.4395
HBXIP	-0.33875
RNF207	-0.6065
APIP	0.7835
PLA2G3	-2.15633333333333
CCDC84	-1.6615
MYLIP	-1.36546153846154
PHIP	0.87775
AARS2	-0.389666666666667
DHX32	0.04275
SCAPER	-0.144833333333333
MEN1	0.2005
NIP7	-1.37475
FLJ25404	0.436
FASTKD3	-0.22175
TMEM158	-0.818583333333333
RARA	0.37425
BDH1	0.0195
ANKRD16	0.56025
CARM1	0.4075
SS18	0.162333333333333
IKZF2	-0.846416666666667
MYD88	0.919375
PML	0.2665
TAF1A	-0.03325
CBFB	-0.735125
HIST1H3H	-1.187
C7orf29	-1.27775
COMMD4	-0.932666666666667
DPP3	0.281
DAB2	0.220625
LOC388882	-0.21
YPEL4	-0.945625
AGBL3	0.95975
LRP6	1.9041
SERPINH1	-0.517166666666667
TLE1	0.3585
CD244	1.20133333333333
ZDHHC15	-0.1615
MGLL	-1.0197
PLDN	-0.457666666666667
LOC654346	0.9835
FAP	2.14
GPR37	0.996666666666667
SCARA5	-0.347833333333333
EBF4	-0.159909090909091
LSM6	1.058
MLLT1	0.4095
SLC5A12	-0.266
A2BP1	-1.251
COPS5	1.3495
TPM4	0.678571428571429
TNFSF4	1.01616666666667
ACADSB	-0.5715
HERPUD1	-0.3655
BCL2L11	-0.697777777777778
CEP78	-0.452375
CDCA3	0.833625
WBSCR19	-0.2825
MYO1A	-1.7605
PPEF1	2.1015
LOC440348	-1.09175
CPEB2	-0.153875
BPTF	-0.02575
RPL21	-0.2993125
GSX2	0.333
ADPRH	0.980166666666667
C17orf68	-0.0625
KCNS1	-0.7
MLLT6	0.6145
PIWIL4	-0.55725
RNF26	-0.327
RAP1B	0.209375
ADAMTS1	-1.6454
ZNF571	0.9085
P2RY6	0.484
TRIM21	-0.0538333333333333
CADM3	0.22775
NLRC5	0.470833333333333
ADRA2B	0.0636666666666667
LOC90835	-0.702
PCF11	-0.88125
LOC400451	-0.48375
GLTSCR1	0.699
C17orf88	-0.527333333333333
CDH16	-1.332
FGF7	1.662625
PCSK4	-1.677
NPC1L1	-1.33316666666667
TAT	-0.00875
TBCA	-0.3555
MGC33407	-0.05
GPR115	-0.991625
CYGB	-0.007
FNBP4	-1.189
C12orf43	-0.19325
CBL	-0.1492
CLECL1	1.10875
PPAPDC1A	1.744
WDR25	-0.635666666666667
SGCA	-0.2275
C22orf29	-0.161833333333333
YIPF1	0.4235
GALK2	-0.8555
RAB3B	-2.57716666666667
LOC440087	-0.938
UCP1	-0.4605
REEP5	-0.436
FADD	-0.0696
FOXA1	-1.416375
CACNA1A	0.463833333333333
ABI1	-0.015
GRIN2D	0.735
SLC1A4	-0.398
LOC401127	0.837
HINT2	-0.159
PLD4	-0.0776666666666667
ZNF286A	0.9545
ENY2	0.87375
IL1F6	0.099
PXDNL	4.6915
C20orf79	0.13675
TNFSF13B	3.55383333333333
DENND3	0.154375
JARID1D	-3.09525
HIST1H2AK	-0.743875
LOC93349	-0.5552
SSH1	-0.4037
ENSA	0.91975
LOC219854	-0.361833333333333
CKAP2	-1.1881
DKFZP564J102	0.937166666666667
MGC87315	-0.0923333333333333
HNRPAB	-0.78075
AMH	-2.6525
ZNF526	1.153
BRUNOL5	0.0478
CACNG3	0.0931666666666667
TRPM1	-0.916
PPP2R1A	0.13175
COL2A1	1.41375
DDN	0.0135
FLJ25770	0.381166666666667
HK2	0.353142857142857
ELOVL6	-1.877375
MDK	0.11425
EPHX1	-0.48575
RASSF2	1.887625
DKFZP434B0335	0.3505
DLX3	-0.195625
PRTN3	-0.64375
AVPR1A	0.76475
C21orf125	0.9065
TNFAIP8	-0.329
GNB2L1	-1.01825
CALCRL	2.63325
SCGB2A2	2.80266666666667
UBXD7	-0.03275
ZNF674	-0.035
TMEM35	-0.140625
BRSK2	-1.27375
HECTD3	-0.310166666666667
TMEM188	-0.49325
LGALS9	1.177125
SCARB2	0.16925
USP34	1.33808333333333
C17orf28	0.7085
ZDHHC23	0.2385
AQP12B	0.1265
SLC16A3	-2.746125
APLP2	0.354375
ITIH2	-5.66075
MICAL3	0.499875
TNNI3K	1.2028
HDAC2	1.701375
PRR7	-0.1781
THBS2	-0.002625
LOC751071	-0.601833333333333
CA2	0.563333333333333
RANBP17	0.55575
RLN3	0.19325
CRYZ	-1.11983333333333
GBAS	0.158833333333333
TAS1R1	-0.28375
MPZL3	0.3265
PCDH8	-0.63975
HSP90B1	-0.292833333333333
KCNK15	-0.445
TNIP2	-0.187333333333333
GPR146	-0.73475
NOL6	0.3585
SPC25	-1.62955555555556
STEAP2	0.331857142857143
VAMP3	-0.1775
TCIRG1	-0.963
ZP4	-0.230166666666667
PARL	0.431375
TRIM39	1.2125
KIAA1305	1.236
CRNN	0.208
GRN	0.78825
HSH2D	-1.65925
SCAMP1	0.9584375
KIAA1913	0.0905
PTS	0.409
BANP	0.164785714285714
PRKACG	-0.03075
ADCY6	-0.120666666666667
C16orf46	-0.003
CYP51A1	-0.61375
DDC	-1.34925
ANPEP	-1.166
PROM1	2.24816666666667
SIGLEC10	2.1565
COPG	-0.4095
FAM26E	0.812125
TRIP4	0.8305
SNX3	0.212
C1orf175	0.313666666666667
PPY2	0.02525
C14orf152	0.06975
FTSJ1	-1.2455
DST	0.1674
LOC554235	-0.01175
GLRX5	0.03425
C20orf12	2.8387
CAB39	-0.389333333333333
MSH2	-0.147666666666667
PIP4K2C	0.5705
CYLD	0.4875
WTAP	-0.0829375
MGAT4A	0.915777777777778
TSC22D4	0.2443
CHRM2	2.5475
PPYR1	0.1555
CCNH	-1.21
RRM1	0.12525
ECAT8	-3.87075
LOC400120	0.2045
GABRA4	0.232375
C14orf4	0.264833333333333
C1orf59	1.30175
CTDSPL	1.30875
NHEDC2	0.1445
PDE11A	-1.357
KLHL29	-1.8665
CD5	0.0995
TSPAN9	0.8395625
WDR67	-0.647
THUMPD1	-0.2452
C18orf17	0.42
CLYBL	0.3425
FLJ13231	-0.42975
CMBL	-2.97575
LECT2	0.10125
NKAPL	0.835
LOC654780	0.2195
OR4C6	0.361
RAB30	-0.511166666666667
TSSK4	-0.0855
TMEM163	0.3015
