Hybridization REF	TCGA-BH-A0BD-01A-11R-A034-07
GNB5	-0.42
CCL21	1.03775
C1orf121	1.14633333333333
FMO2	2.69783333333333
RPTN	0.347
MSTN	0.381
VCL	-0.239857142857143
FYTTD1	0.254
C11orf1	-0.7455
CCDC88C	-0.557125
HFE	0.163666666666667
MOGAT1	-0.2125
FAM125B	1.04366666666667
IRGQ	-0.1545
RAVER2	0.713
AKAP5	-1.118
SSSCA1	-0.9755
C11orf63	1.2285
ACTG2	0.4759
PORCN	-1.36
DTL	0.0587272727272727
TMEM151	1.1035
FAM122C	-0.17225
RSAD2	4.7763
BAT4	-0.401
KRTDAP	0.006
MYH8	1.39175
CRTC3	0.6435
LRRFIP2	0.0779
INTS4	1.98916666666667
TTN	-1.506
SLC26A5	0.8585
PLLP	-0.719
RGS6	-0.477875
SRGAP3	0.424625
ZNF525	-0.0703333333333333
NBR2	-0.799
C13orf1	0.2425
ZNF137	0.139
CEP27	-1.50825
BEST2	0.045
RNF121	-0.99325
DMRTC2	0.532
C8orf76	0.172
BCCIP	-0.278625
MEST	-0.09725
HTRA2	-0.5675
ANGPTL2	0.4045
ILKAP	-0.00116666666666667
ERAS	0.23
HBS1L	-1.2925
CPA5	0.3235
TMEM30A	0.818833333333333
CD300LF	2.17283333333333
WISP3	0.745
CRK	0.642285714285714
PDS5A	-0.0518
BRPF3	0.0616666666666667
NEDD9	0.21275
SMPDL3B	2.351
PSG6	-0.0995000000000001
PSMD13	-0.10425
ETV5	-1.4
OR51A4	-0.1565
BTBD7	0.391166666666667
GSTO1	-0.278
hCG_16001	0.282
MAD2L1BP	0.214833333333333
COX6A2	0.8235
SCNN1A	2.35416666666667
LSM1	0.252166666666667
UGT2B11	-4.33075
IDUA	1.86975
PPP2R3C	-0.625333333333333
COX11	-0.918166666666667
PDZK1	1.718
ZNF443	-0.0371666666666667
MGC21874	1.0315
ZNF323	0.4636
KRTAP10-10	0.0435
CXCL6	-0.37
SLC34A2	1.7084
LOC284402	0.047
NPTN	0.513166666666667
UPP1	-1.5755
SLC6A9	0.0285
OR7G3	0.37425
CISD1	-0.749666666666667
ZNF545	-0.0216666666666667
SYT14	-1.1135
NT5C3L	0.245
ZNHIT3	-0.382166666666667
SNRPD3	-0.2115
KIAA0701	0.486625
UNC93B1	0.169833333333333
GMNN	-1.58725
SPCS2	2.67983333333333
LOC388524	0.043
NAPRT1	0.57825
PNLIPRP1	-0.156
OR6V1	0.6545
PRKAB1	0.015
EYA4	-2.63116666666667
KIF20A	-1.01375
ALG10	-0.038
ITPKC	0.4995
LMX1B	0.430166666666667
RPUSD4	-1.33416666666667
C7orf34	0.440666666666667
DLGAP2	0.386625
PFN1	-0.2524
MICALL2	-0.21175
ZNF654	0
SS18L1	-1.417625
SLC16A8	0.62125
MKI67IP	-0.183166666666667
ITGB3	-1.201125
TCEA3	3.09858333333333
CEP152	-1.912375
CLIP1	1.19025
ZNF75	-0.13
ATP5C1	-0.363
NUDT5	-0.377833333333333
PSCDBP	1.09675
UBP1	-0.44775
RBM27	0.10425
C13orf15	2.1625
ZNF282	-0.110166666666667
ZNF222	-0.1055
COL10A1	5.85175
PRDM15	-0.822625
TTTY5	-0.3515
FAM9C	-0.512909090909091
C20orf67	-0.2305
GNG13	0.221
F12	1.29375
C1orf41	-0.2605
CPXCR1	-0.3565
GSK3A	0.096875
SUPT6H	-0.177166666666667
PI16	1.4335
ELL2	0.172083333333333
C9orf167	-1.69
PVRL3	-2.3105
FLJ38596	1.574
ADAM20	0.17125
GPR89A	1.3265
GPR87	-1.574
ZNF30	0.21125
SMR3B	0.973
ZNF770	0.3865
TRPC4AP	-0.456666666666667
DKFZP686E2158	0.141166666666667
C2orf28	0.4545
FREM1	-0.666666666666667
LAMA4	0.463833333333333
ADPRHL2	0.07925
EIF4G2	0.481833333333333
GUCA1A	-0.819
CTNNA2	-1.51075
NUDT15	-0.9275
CEPT1	-0.425833333333333
ZNFX1	0.9983
CCDC92	1.0465
TDRD1	-0.7135
KCNK5	-2.33433333333333
ETNK1	0.3075
LTA	0.9205
TTPA	-0.141
B3GALNT2	1.055
SC65	0.343
PEX5L	-1.643625
EPS15L1	0.25325
MGEA5	-0.372625
HIST1H3A	1.94275
ING1	-0.35425
BCAT1	-2.74325
ORC6L	-2.40509090909091
KLK11	-5.411
C19orf28	-1.32925
DNER	-4.794625
MED22	-0.451071428571429
ETV6	1.33891666666667
CHAC2	-2.1325
CD300E	0.2405
CEBPB	1.042
ZNF398	0.1945
LRCH3	-0.019
HMGA1	-1.89383333333333
CAPN7	0.0215
MGC5566	-3.08525
CCL3	3.08925
NANOS1	0.48675
ZFYVE19	0.1585
APITD1	0.18
PARD3	0.312375
IRAK4	-0.177666666666667
SERPINI2	0.2535
CEP170L	0.27375
TTC9	1.737
MYOM3	-1.63325
MLPH	1.52
LOC222699	-0.2155
NRG1	-1.33833333333333
TBC1D9	4.00118181818182
TTK	-1.1345
ZNF557	0.5685
DDX41	-0.593833333333333
FANK1	1.5345
UBE2D2	0.210375
PSMB10	0.848375
MYH7B	0.5735
GABARAPL2	-0.2265
MARVELD2	1.80233333333333
DGCR2	1.18483333333333
UNC45A	0.279333333333333
C6orf72	0.06
ZNF683	4.379
GIT2	0.16575
CASK	1.481
C14orf161	2.01433333333333
LRRC44	-1.20475
TIFA	0.936625
UTP11L	-0.383875
C6orf65	-0.48625
FDPS	0.51425
DUSP9	-2.0772
SLC17A8	2.01333333333333
OR51G1	0.323166666666667
NANS	-0.0615
OLFML1	1.91475
ATP10B	-0.611875
NPAS3	-0.1285
PRKCA	-2.7506
GGA2	-0.387
LCE4A	0.398
SPANXN3	0.01825
CCDC115	1.514375
SDCCAG3	-0.826
GLIPR1L1	0.36625
TTC1	0.02825
C17orf76	-0.056
MAD2L2	-0.97
HIPK1	1.313
LRRC3B	-0.260666666666667
CLN3	-0.595409090909091
C17orf47	0.0035
FMN2	1.43925
TUBB1	-1.697625
WAPAL	-0.0671666666666667
C3orf21	-0.588375
SCN5A	-0.7148
SMYD1	-0.387
BEX5	1.48625
ZNF192	-0.081
SEC22A	0.0281666666666667
GRIA2	5.43314285714286
KIAA0825	-1.5115
NUSAP1	-0.868636363636364
LANCL1	-0.3935
C15orf40	-0.2755
ZNF645	0.21175
GPR61	-0.14325
NLRP14	0.44
SNX21	0.0517
C1QTNF8	0.0435
C17orf46	0.1095
IFNA8	0.7775
SPRR1B	-2.07333333333333
FLRT1	-0.96225
SNX17	-0.0395
ASB2	0.418666666666667
HBG1	-5.2
RPRML	-3.048
JOSD2	0.170333333333333
PLSCR3	0.50275
SPOCD1	0.977333333333333
RAB39	-0.1205
GHRH	0.295833333333333
ITIH5L	-0.15675
C17orf37	0.3685
SMCR8	0.33725
DPY19L2P3	-0.757666666666667
IL11RA	0.3265
GDF3	-3.51516666666667
RPS6KB1	-1.00883333333333
DNAJC19	-0.3084
TOP1	-0.5775
CRCT1	-0.342625
MPST	0.56175
DPM2	-0.037375
FAM38B	-2.218
SLC18A1	-1.799
FARP1	0.396166666666667
PAX7	0.23675
TUBD1	-1.719
GNL3	-1.1355
BTG2	2.4002
NDUFS6	-0.40725
C1orf79	-1.677
ERAL1	-0.33975
ECHS1	0.66525
VPS4A	-0.205333333333333
CYP11A1	-0.413
ABCC6	-0.5
PBX4	-2.068
MOSC1	0.89625
NCF4	0.86675
HYMAI	-0.2345
NAGPA	-0.462625
OTOP2	0.1995
ACOT12	0.253
MTHFD2L	0.08475
LOC441376	5.18875
C19orf34	-0.148
RAB1B	0.999
ALDOAP2	-0.9655
NTRK1	-1.22383333333333
ARTS-1	0.9657
SLC6A11	-1.088
NAP1L2	-1.602
CNGB1	0.0506666666666667
EPB41L4B	-0.497416666666667
FAM134B	2.272625
HS3ST3A1	-1.43633333333333
CPXM2	4.54525
SIRPB2	0.1415
CHORDC1	-0.124166666666667
TRIB3	-1.306
SLC2A5	0.989
C2orf49	-1.226
DDX5	-0.39125
OR5L1	0.8695
ANAPC4	-0.266833333333333
ZSWIM1	-0.02375
LOC93622	-0.28625
KCNK3	0.4442
RP11-35N6.1	-1.542125
ZFP161	0.1405
AQP9	3.59425
SLC15A2	-1.14366666666667
MREG	0.592
OR9I1	0.325
PDLIM2	1.13625
ADAM7	0.755
GSTCD	0.336166666666667
WDR21A	-0.0575
SLC12A8	1.91833333333333
TMEM174	0.36925
IGSF3	1.68458333333333
LRRN1	0.8065
LOC402117	0.0515
SRPK1	-0.851333333333333
LY6K	-1.8155
NFIA	3.252
PTCD3	-0.908375
LEP	3.30783333333333
PCDH21	-0.717
MAPKAPK2	1.30421428571429
NMNAT1	-0.9035
LHFPL2	1.053375
C9orf43	-0.148
DIP2A	-0.529833333333333
ACTR8	-0.055875
CCDC34	-0.50275
PTPN22	-0.3865
ITGA3	-0.298
FAM129C	0.2535
RABGGTA	0.271333333333333
UNC45B	0.64225
KIAA1033	0.144125
ZNF510	-0.151
CYP2D6	-0.941833333333333
SLC26A10	-1.9705
STX8	0.544
LUZP1	-0.076375
WDR89	-0.221833333333333
EIF4G3	-0.2028
C5AR1	1.396375
ZNF623	0.0625
A2M	0.99925
TGM7	0.3575
GRPEL1	-0.496
LMNB2	-0.7295
ROCK2	-1.212
SNX16	0.53875
CCDC66	-0.22925
ANXA3	-0.91575
KIAA1609	0.24575
EED	-1.2985
RNF32	0.462333333333333
HES1	0.1235
CLC	0.643833333333333
ISL1	0.534166666666667
KIAA0528	0.182375
MANEA	1.1285
C1orf61	-2.3825
hCG_2001000	0.45075
RAPGEF6	-0.4483
KIAA0020	-0.502666666666667
NEIL1	1.492
C16orf45	-0.281
RBM10	-0.278666666666667
C10orf125	-0.83525
MRS2L	-0.72625
DNAH17	-0.3785
C19orf10	-0.15375
C1orf160	0.21275
SLFN12	0.099
EXOC3	-0.271166666666667
HIST3H3	1.058
NCOR2	-0.123166666666667
TNFRSF9	1.25525
MFSD8	0.36975
ALX1	-3.82533333333333
NOL1	-1.17
PODN	2.9695
TIAL1	-0.7955
HIST1H1E	-0.1255
NPY6R	0.74925
TM4SF4	-0.5715
CORO2A	-0.52225
ETNK2	1.82483333333333
APOE	1.0528
ANGPT4	0.097
HDGF2	-0.11925
G30	-0.304
ST8SIA4	-0.00312500000000002
F2RL1	0.5035
FAM19A4	-4.20025
CCAR1	-0.5565
B3GNT7	0.1125
OPHN1	-0.0338
DSCR6	1.9275
C21orf13	1.4715
GAS2L1	0.760083333333333
RFX3	0.516666666666667
COPS4	0.471
BCHE	-4.7985
BCL2	1.59275
HBZ	-3.03266666666667
ARL13B	-0.149375
MAPBPIP	1.923875
MYO15B	-1.056
SPZ1	-0.342
KIAA1324	1.858
PLCL2	-0.419
C4orf29	-0.81075
WDFY2	-0.547
ZNF284	-0.7925
NAALADL1	0.0675
DUSP5	-0.458166666666667
PXDN	0.9
SLMO1	-1.24625
TNXB	0.3487
BIRC7	-1.09825
A4GALT	1.33516666666667
TIMM22	0.1565
FAM110C	1.389
TOMM34	-0.907
ABHD9	0.2905
ADAM32	3.147
CRHBP	0.94525
AQP2	0.465875
LOC130355	1.49325
ZNF187	0.413833333333333
ZNF816A	0.0875
F7	1.235375
CNOT1	-0.3388
SLC13A4	-0.7205
ZBTB11	-0.8295
B3GALT5	0.4815
EXOC2	0.376
IRS1	1.7867
TMEM1	-0.124833333333333
MRPL34	-0.3435
SAMM50	-0.01475
CDC42EP3	0.5185
HSF2	-1.3323
MFN2	-0.1485
TSPAN7	-1.48416666666667
NUCB1	0.7755
RHOH	-0.272
ARL16	-0.8805
TACR1	0.3045
SFRS5	-0.7365
SNX25	-0.815625
RHBDF1	0.647666666666667
PCDH18	2.03583333333333
HMG1L1	-0.0525
MYO5C	0.996
MAPK10	1.839
LDHAL6A	-0.1535
NUDT12	0.825333333333333
NCAM1	-0.324
GLIS2	0.5285
GGTL4	0.33375
DAPP1	1.20675
ATF7	0.883375
KIAA0748	-0.10975
NFIL3	0.59175
TM6SF1	0.6508
SEZ6	0.22225
NANOS3	0.905833333333333
DNAJA3	-0.769166666666667
CLDN6	-1.838
CIITA	2.7319
EPHA4	-0.106666666666667
FANCC	-0.072
CMTM3	0.580125
PSG3	-0.184375
MRPL15	-0.25825
C21orf59	-0.01825
PLCXD2	-0.08375
C2orf34	-0.187
UBE2L6	1.43075
MED14	-0.259166666666667
HP1BP3	0.4787
C6orf208	0.284
TPBG	0.3505
OSR2	1.999
XPC	0.179333333333333
KLHL7	-1.03833333333333
CCR3	0.1268
AGTPBP1	-1.72733333333333
PCSK6	-0.1174
STAT5A	-0.5562
FAM18B	0.26225
LONRF2	0.102666666666667
PTPN2	-1.2655
SF3A3	-0.518666666666667
EFCBP2	-0.65325
HCFC1	-0.611333333333333
AHNAK	-0.0771
ACTR5	-0.678
KIF14	0.0487142857142857
TENC1	1.1435
HEATR5B	0.737
YIPF2	0.4395
MYEOV2	1.0305
DUSP18	1.0745
KIAA1012	-0.61325
AHR	0.186166666666667
C17orf53	-0.8955
PTPRH	-3.7325
ATP6V1C1	0.3361
TAS2R3	-0.207
LOC440356	-2.29975
COQ10B	0.26575
PSMF1	0.384916666666667
SORBS2	3.321
NFE2L2	0.353
TMCO7	0.44675
SH3PXD2A	-0.145
SH2D2A	-0.84575
SPINK5	-3.75025
MRPS24	-0.609
OPA3	0.0895
TRAF7	-0.369
C4orf35	0.514
MT1G	-0.489125
MGC39545	0.32575
HS1BP3	0.2876
OR2B2	0.6075
CHRM4	0.529
SFRP2	3.11516666666667
RIC3	-1.0175
ART1	0.1615
C6orf1	1.03725
DUS4L	-1.204
C10orf104	0.63125
TNFAIP6	2.79375
RTEL1	-1.05375
CCT4	-0.5399
ZNF709	0.0625
CHMP6	-0.0708333333333333
UPP2	0.40975
CYP19A1	-2.079
CD151	-0.865
NDUFA13	0.357333333333333
ARFRP1	-1.0745
FAM26B	2.1
CRYBA1	-1.6555
MRPL41	0.0193333333333333
NPFFR2	3.219125
HRH2	0.086
SCAMP3	1.22983333333333
MTMR6	1.0857
MTG1	-0.927666666666667
UBTD1	1.11
CRABP1	-1.3975
FLJ33790	2.0184
KIAA1908	-0.703333333333333
GPR158	-2.453
PACSIN3	-0.015
OMD	2.73666666666667
CATSPER1	0.367333333333333
HOXB8	1.716375
FBXO46	0.223
OAS1	2.2295
SVIL	1.053
PHB2	-0.79075
ADCY3	0.177
NDRG2	0.957
ERMAP	0.222
APBA2	-1.9135
IGSF9	2.05875
WNT6	-0.495428571428572
MYCBPAP	1.566
ATP2B2	-0.0241
CPVL	-0.5739
TRAM2	-1.17716666666667
NOP5/NOP58	-0.5205
ZNRF4	0.0855
TLK1	-0.05075
MTMR12	-0.105142857142857
ZNF384	-0.430666666666667
FAM9B	-3.09925
RPN1	0.9235
PMVK	1.69
EIF3D	-0.0401
SIX2	1.7765
HPS1	0.502428571428571
RNF7	0.11975
PSKH2	0.289
KCTD13	-0.314666666666667
CSMD3	-0.9876
FBF1	-0.4655
IL8	-3.868625
SERPINB13	0.204636363636364
FBXL20	-0.39775
BLR1	0.55775
SH2B1	-0.770166666666667
RFNG	-0.145625
RAB20	1.25433333333333
RBM7	-0.5425
POLR1A	-0.585666666666667
TMPRSS4	0.3945
TAF9	-0.699125
TERF2	0.455
TNFRSF1A	0.6365
ACADVL	0.301833333333333
GTF2H5	-0.25875
EDG8	0.708833333333333
C9orf140	-0.9785
UST6	0.45725
ZBTB8OS	-0.5265
ZNF710	0.062
GPR174	-1.2115
ATP6V0A2	-0.33275
KIAA0319L	0.0312500000000001
XKRX	1.433
DOPEY2	0.8918
SDHD	-0.86825
SUMF1	1.41025
OSM	2.5325
OPN3	0.67075
DAGLB	-0.628166666666667
PPFIBP1	0.2576
TRIM63	-2.2205
C10orf53	-0.608
LYPD3	1.49133333333333
BCL7A	-0.43325
AGER	-1.69633333333333
TCF19	-0.6795
SAT2	0.47075
PFTK1	0.593333333333333
GABRE	-2.992625
C15orf38	0.4149
FIS1	-0.027
KCNV2	-0.19
CLPS	1.807
PPCDC	-1.034375
FOXN2	0.599833333333333
NT5E	-2.9637
CD83	1.05325
IL18	0.404125
VPS16	0.2245
IGFBP2	-0.562833333333333
NOTCH2	1.414
SIGLEC1	3.427125
CD93	5.26
SULF2	1.73875
CEP164	-0.6705
P53AIP1	0.043
TOR2A	0.0186666666666667
ZNF136	0.503
MGP	3.3584
CCDC144A	0.299666666666667
TRPC1	-1.4125
SMS	-1.01383333333333
MAPK7	-0.365166666666667
RRAGC	0.925
PARD6A	1.2375
NUB1	0.7735
SYNGR4	1.2065
OR11H12	0.2435
WIF1	0.19275
GCH1	1.19275
OR11H4	0.146
SLC44A5	0.738
GPRIN2	1.6075
LOC401431	-0.3665
CPA4	-2.8662
MELK	-1.28811111111111
IL15RA	0.70875
CUL3	0.7105
HMBOX1	1.27675
PODXL	-2.416
CCT6B	0.652833333333333
COMTD1	-0.2655
MUC20	0.13
GPX2	-3.69375
ITK	-0.531625
FBXL5	1.955
C13orf27	-0.9805
DEFA5	0.5845
TRHDE	-0.1345
MTP18	-0.3145
UQCRQ	0.6354
ITGB2	1.78675
CSRP2BP	0.32225
TAS2R44	-0.004
PHPT1	1.020625
FAM44C	-0.32775
ERH	0.30875
MPHOSPH1	-0.748833333333333
MORC1	-0.412
PARVB	-0.35925
LAMA1	-2.03483333333333
PGBD3	0.18225
GIMAP6	4.1905
AREG	0.601833333333333
LIPT1	-0.4655
MGC99813	-0.39775
C1orf201	0.114666666666667
GRIN2A	-1.1503
MAN2C1	-1.220375
NSUN5	-0.73625
SF3B5	-0.472
MYC	-1.469125
NRXN1	-0.607583333333333
ZNF18	0.498
SPDYA	-0.22
SLC37A1	1.2275
DECR2	0.34225
ANKRD38	0.5
SPTLC3	-0.943833333333333
SUPT16H	-0.1795
DTWD2	0.0745
ULBP1	-0.1085
ZADH1	0.243833333333333
OIP5	-2.13425
IL10RB	0.227333333333333
OTUB2	-0.07525
VWA3A	1.002
SPIC	1.06916666666667
OR6C4	0.441
PSCD4	1.3195
DPY19L2P2	-0.7755
TRAPPC6A	0.667833333333333
C21orf2	-0.620833333333333
CEMP1	-0.6595
LIN7B	-0.1615
E2F7	-1.86466666666667
VCP	0.17775
LAMA3	1.16708333333333
BGN	1.7235
GPR160	0.921333333333333
COCH	-4.6845
GPR81	1.47366666666667
APOBEC3F	-1.334
tcag7.1017	-0.69175
C1orf32	0.2055
SCGB1D2	6.577
FLJ43987	-0.239
C6orf170	-0.69475
KLK9	0.4535
GPD1L	0.47425
VPS37B	-0.38425
ATG3	-0.271666666666667
ADAMTS17	-0.74
KLHDC2	-0.320166666666667
NDUFV2	-1.0465
BLK	-2.02125
MATN4	-1.8785
GPM6A	-0.535
GBP4	4.72
TMEM162	0.193666666666667
PKP2	-0.772
HRASLS	-1.84533333333333
MMP1	0.1735
SFXN3	0.1389
FSD1	-1.86016666666667
ST6GALNAC3	-2.16316666666667
CA12	3.2785
NCOA6	0.219
C19orf58	-0.2976
PPP4R1	-0.439166666666667
MAN1A2	1.84483333333333
IKBKAP	-1.10825
UPF1	0.0811666666666667
KIAA1219	0.18925
WNT16	0.218833333333333
SNW1	-0.060625
IL18RAP	2.53025
RPP30	-0.85
CDC40	-0.774714285714286
SETD3	0.0533333333333333
SLAMF6	0.66625
ELK4	0.2915
TRIM47	1.25283333333333
ACOX3	0.834625
TRIM6	1.54225
KIAA0372	-0.288333333333333
TP53AP1	1.3455
SMURF2	-0.48025
ADAD1	0.12675
EBP	-0.3095
KRTAP13-2	0.216
FLJ36874	-0.900166666666667
TOR1A	0.175333333333333
P2RY4	0.7045
GPBP1	0.08875
TRPV1	0.00750000000000002
ADAMTS12	0.647666666666667
PES1	-0.4583
ATG4A	0.338166666666667
MAGEA10	-4.85675
WFS1	1.983
CC2D1B	-0.362166666666667
PABPN1	-0.45625
SLC25A30	0.78475
SLCO1C1	0.0493333333333333
SLC22A5	1.4965
KIF23	-1.275
SYN2	-0.5255
ASPN	7.67516666666667
CENTG2	0.914
QSOX2	-2.3357
FLJ10815	0.0406666666666667
STK24	0.1276875
SPEG	0.1388
STK10	0.119333333333333
DACT2	-2.398
AAAS	-1.01825
SSX3	-1.995375
ABCD3	-0.0383
C4orf12	0.239125
PARVG	1.00066666666667
FIG4	0.35675
C9orf46	1.50075
TMCO6	-0.7585
IGHMBP2	-1.35725
DUS2L	-0.393333333333333
FAM3C	0.1004375
TMEM16D	-1.621
DCTN4	0.045
KCNH3	-0.0545
EIF2AK2	1.8115
AP1S3	0.622625
CST4	0.982
PAM	0.051625
NUTF2	-0.01575
CITED2	0.0194
SLC39A4	0.63525
C2orf52	-1.268
GRM3	-0.16325
C12orf49	0.028
CCDC49	-0.3201
GRAMD1B	-1.138625
FNDC4	0.76325
SIAH2	0.9385
GDPD4	-0.0525
C21orf87	0.523
ATP5A1	-0.747666666666667
C16orf63	-0.800875
LOC388135	-0.347333333333333
ATP5J2	-0.5295
MMP3	2.224
EMID2	-0.342
CRHR1	0.41275
WDR70	0.00325
C13orf31	2.15525
ZFAND1	0.113
CCL18	3.89716666666667
C3orf49	-0.097
RINT1	-0.3735
KIAA0408	-1.90866666666667
F13A1	4.5375
SLC10A1	-0.0745
OGN	1.0795
GIPC2	-0.890666666666667
XPO6	-0.686166666666667
LCE1A	0.683
FMR1	0.6879
LOC374920	-0.034
DUSP3	0.55975
ANKMY1	0.00349999999999999
C7orf50	-0.112
BBS9	0.0205
UNC119B	0.177875
C9orf72	-0.21125
MGC35440	-0.21225
ENTPD6	-0.347875
PPP1R2P9	-0.367
ERCC4	0.20825
FAHD2B	-0.455
HMHA1	-0.2095
HACL1	-1.0025
RAD23A	-0.28
FAM83B	-0.07475
PPP5C	-1.3355
RNASEH2C	-0.447
C9orf153	-0.74275
SCAMP4	0.504875
GHITM	0.4603
NDUFB7	0.139875
ADCYAP1	2.301
SP110	1.92
MAP3K7IP2	0.06425
DHH	-0.1795
AGRN	0.805142857142857
WDR33	0.287166666666667
CEP290	0.32
PRPS1L1	-2.237
KLRA1	-0.2635
GPR97	-0.2225
CHD7	-1.03466666666667
TLR10	1.876
SLC30A8	-1.461
HIC1	1.0875
IAPP	-0.2155
RXFP4	0.1265
GP1BB	0.75525
SHQ1	0.293
NKX2-3	0.226666666666667
API5	0.118
FTHP1	0.2735
MOV10L1	0.00733333333333335
TRIM6-TRIM34	2.32333333333333
ADHFE1	0.099
FAM117A	-1.351
DDI1	0.325166666666667
CDON	-0.701666666666667
TRIM73	-0.713
IGKC	4.2395
MMP14	-0.392166666666667
DYNC1LI1	-0.212125
C11orf66	0.31725
TRBV3-1	-0.93775
FASTKD5	-0.18725
BIVM	-0.84075
LHX4	-0.403
CXCL2	-0.1725
RAB2B	-0.772833333333333
IZUMO1	-0.839
MAP3K15	-1.9795
FAM19A2	0.419666666666667
ZC3H8	-0.514833333333333
ZMAT1	1.30975
SPINK5L3	-1.17425
SLC10A6	1.155
APPL2	-0.153
CARD10	0.110333333333333
LOC402176	-0.25575
EEF1D	1.1281
RAB6A	-0.2864
C12orf5	-0.706125
PAPOLG	-0.39275
MSRB2	1.4005
BCR	0.720777777777778
PUS3	-0.6175
TIAM2	1.045
ZNF317	-0.0923333333333333
CHD2	-0.130285714285714
FZD5	-0.932136363636364
NUDT8	-1.24875
ZNF763	-0.0225
PRC1	-0.557444444444444
ABCB9	0.732666666666667
SPATA3	0.40025
TRAK2	0.2005
STAB1	3.051
LRRTM2	0.3515
psiTPTE22	0.759
DBI	0.95325
SERPINA11	-2.84975
NAT5	0.30575
C20orf58	-2.619
RPS6KA4	-0.018
FLJ90650	1.085
TGFBRAP1	0.49975
CHRDL2	1.459625
FAHD2A	-0.674
CNTN1	0.22275
BBS4	0.0971
TMEM181	-1.085
MINPP1	0.2905
MPHOSPH6	0.530083333333333
HOXC10	-1.8378
ITPKB	0.789625
CLPTM1L	-0.1175
MEOX2	0.4155
ATP6V0C	0.0535
PRPF8	-0.189666666666667
TMC5	3.094
FKBP3	-0.061
PLEKHB2	-0.12225
OR4D6	-0.333
ZNF544	-0.8793
D2HGDH	-0.739875
RPL18A	-0.5742
HEL308	-0.434375
MPP6	-2.937
TCERG1	-1.3875
KRT16	1.43766666666667
KLF17	-1.27325
KLF5	-2.4545
CDR1	2.895625
VCX3A	-4.982
FBLN2	2.055125
C14orf104	-0.51775
HBE1	-4.6778
OR4S2	0.936
C1orf108	-0.2845
ROBO4	3.53866666666667
CPEB4	0.8465
C11orf80	0.388333333333333
BCKDHA	0.2515
MYOC	0.4145
GIF	0.1455
CKMT1A	0.8755
RPL3	0.2939
THBS1	3.2165
APOO	-0.48825
ARMCX1	2.34
HSZFP36	0.1385
SNAPC5	-0.12025
EIF4ENIF1	0.95175
ZNF433	0.0965
TNFRSF21	0.643625
TMPRSS7	0.1875
SPATA18	1.546
HPDL	-2.2515
MKL2	1.0822
TBX3	1.47784615384615
C21orf93	0.370666666666667
DAXX	0.39575
ELMO1	0.173875
RGS13	2.83833333333333
TAF11	-1.14
UNC13A	-2.003625
LOC653314	-0.2409
ORC3L	-0.38875
IMAA	-3.011
TARBP2	-1.06025
CABIN1	-0.2934
TRIOBP	0.22775
HIST1H2AC	1.027125
RGS22	1.64466666666667
NCOA1	1.12883333333333
IL25	2.4465
SNCG	2.443
GPR6	0.4735
AMDHD1	-0.758666666666667
CHEK2	-0.8515
C6orf142	0.798
DRD4	0.5075
C14orf68	-0.866
GDF11	-1.97525
SEMG2	0.0185
CD247	0.00199999999999999
CDAN1	-0.35225
RBMX2	-0.0455
TGS1	0.07975
OIT3	0.02325
SYF2	0.38375
MCM4	-1.226
PKHD1L1	0.1245
CEP192	-1.49383333333333
IFT88	0.89925
RPL9	0.182214285714286
RAB32	0.430875
DDX43	-4.0085
P2RX2	0.2905
OR5D18	0.5485
UBE1	-0.333083333333333
SLC24A1	0.713375
ARHGAP5	0.413
CETP	-0.038
KIAA1731	0.9725
SLC9A4	0.488
PTPN6	0.89975
BAHD1	0.4665
GRIK3	1.6865
CACNB2	-1.0065
PDE10A	0.03225
DGCR14	-0.00225
PCDHB9	-1.0895
RHOQ	0.545
MAP3K4	-0.589
KTI12	-0.114666666666667
RPL23AP13	-1.81525
GNG11	-0.626
CLCN3	1.06033333333333
GPAM	-0.336125
VSTM2A	-0.283
SLAMF7	3.27716666666667
INTS2	-1.03575
PPP2CA	0.348
LRP12	0.716466666666667
SEC14L2	1.95077777777778
DKFZP586H2123	2.69025
MC3R	-0.579
CIRH1A	-1.21266666666667
HIST1H2AB	0.275833333333333
POLH	-0.615625
MGC16703	-1.68083333333333
SNAPC2	0.5375
FILIP1L	1.5325
RASGRP4	0.1855
LRRC1	1.539
GAS1	0.8785
PRAC	-1.04275
DGKA	-0.182833333333333
NT5C3	0.26025
PEG3	-4.055
NADK	-0.37
PRR17	1.005
LOC374569	-0.26825
SGSH	0.450333333333333
NLRP8	1.9315
GALT	-0.4952
MCF2	1.2765
ZNF263	0.12975
TACSTD1	1.33016666666667
TYR	-6.497
ATP6AP2	0.542
RNUXA	-0.0395
ABHD10	-0.1045
GDPD2	3.59625
SLC35C1	0.2515
UBE2A	0.587875
HERC5	0.377833333333333
FAM112B	-4.30166666666667
FBXL16	0.27
DKFZP434A0131	-1.0505
ELA3A	-2.872
RBM41	-1.16475
HAO2	0.00375
RNH1	0.51975
SHANK2	0.305
OSBP2	-0.72275
DAK	-0.986666666666667
C3orf58	-0.43325
TCL1B	-0.769
KBTBD2	-0.450625
SUGT1L1	-0.05475
UBE2E2	-0.444166666666667
MYL9	2.349625
CDC23	-0.7325
PBXIP1	2.3822
CXorf40B	0.0525
NBL1	0.0525
RTBDN	0.237
RAB11FIP5	0.92
TTTY13	-1.13
SCOTIN	0.753083333333333
SOHLH1	-1.19616666666667
