Hybridization REF	TCGA-AO-A03N-01B-11R-A10J-07
CD93	4.135
SULF2	0.70675
CEP164	0.489875
P53AIP1	0.2645
TOR2A	0.2685
ZNF136	0.8915
MGP	1.8973
CCDC144A	0.329
TRPC1	-0.598166666666667
SMS	-0.0925
MAPK7	0.199333333333333
RRAGC	-0.09475
PARD6A	-0.057
NUB1	0.405666666666667
SYNGR4	1.7985
OR11H12	-0.256
WIF1	0.29375
GCH1	0.35225
OR11H4	0.2235
SLC44A5	0.434
GPRIN2	1.73516666666667
LOC401431	0.5445
CPA4	-2.1854
MELK	-1.58411111111111
IL15RA	0.005
CUL3	-0.504125
HMBOX1	0.32025
PODXL	-1.345
CCT6B	1.06316666666667
COMTD1	0.41125
MUC20	0.744166666666667
GPX2	-3.023875
ITK	-1.245375
FBXL5	0.73775
C13orf27	-1.737
DEFA5	0.2805
TRHDE	-0.46
MTP18	-1.36716666666667
UQCRQ	1.1705
ITGB2	0.484666666666667
CSRP2BP	0.3255
TAS2R44	0.482
PHPT1	0.36075
FAM44C	-1.35925
ERH	1.34825
MPHOSPH1	-2.641
MORC1	0.037
PARVB	-2.1985
LAMA1	-1.56008333333333
PGBD3	1.05275
GIMAP6	2.92575
AREG	-5.66216666666667
LIPT1	-0.68325
MGC99813	-0.46425
C1orf201	1.315
GRIN2A	-0.0751
MAN2C1	-1.599875
NSUN5	-0.839
SF3B5	-0.52375
MYC	-2.4379375
NRXN1	0.335833333333333
ZNF18	1.206
SPDYA	-0.183625
SLC37A1	1.981
DECR2	1.10475
ANKRD38	1.311125
SPTLC3	-0.39175
SUPT16H	-0.013375
DTWD2	0.9745
ULBP1	-0.233
ZADH1	-1.24566666666667
OIP5	-1.15975
IL10RB	-1.49283333333333
OTUB2	-0.128125
VWA3A	0.959
SPIC	0.00683333333333333
OR6C4	0.1065
PSCD4	0.484666666666667
DPY19L2P2	0.2545
TRAPPC6A	-0.0875
C21orf2	-0.272333333333333
CEMP1	0.82875
LIN7B	0.884
E2F7	-0.7425
VCP	-0.4726875
LAMA3	-0.261083333333333
BGN	2.59975
GPR160	1.06616666666667
COCH	-3.5795
GPR81	1.236
APOBEC3F	-2.1585
tcag7.1017	-0.19
C1orf32	0.254
SCGB1D2	8.075
FLJ43987	0.222
C6orf170	0.078
KLK9	0.9065
GPD1L	1.2065
VPS37B	1.287
ATG3	-1.23733333333333
ADAMTS17	0.336
KLHDC2	-0.368666666666667
NDUFV2	-0.05925
BLK	-2.305
MATN4	-0.9405
GPM6A	-0.00112499999999999
GBP4	2.7445
TMEM162	0.615333333333333
PKP2	1.2655
HRASLS	1.24066666666667
MMP1	-2.28525
SFXN3	-0.0866
FSD1	-1.55
ST6GALNAC3	-1.7825
CA12	2.1124
NCOA6	0.88
C19orf58	-0.5862
PPP4R1	-1.41716666666667
MAN1A2	1.61783333333333
IKBKAP	-2.36825
UPF1	0.34
KIAA1219	0.39725
WNT16	0.5005
SNW1	0.27725
IL18RAP	0.257
RPP30	-1.016375
CDC40	-0.0394285714285714
SETD3	0.898833333333333
SLAMF6	0.49625
ELK4	-0.0755
TRIM47	0.03
ACOX3	1.054
TRIM6	0.533625
KIAA0372	-0.8055
TP53AP1	1.879625
SMURF2	-1.0665
ADAD1	0.418
EBP	-0.5725
KRTAP13-2	-0.088
FLJ36874	-1.12483333333333
TOR1A	-0.662166666666667
P2RY4	1.3905
GPBP1	0.0745
TRPV1	0.15275
ADAMTS12	0.795666666666667
PES1	-0.9649
ATG4A	0.483666666666667
MAGEA10	-3.80825
WFS1	0.4095
CC2D1B	-0.178166666666667
PABPN1	1.000375
SLC25A30	0.01875
SLCO1C1	0.365333333333333
SLC22A5	2.5025
KIF23	-1.5615
SYN2	0.006
ASPN	7.41383333333333
CENTG2	1.094
QSOX2	-2.022
FLJ10815	0.652666666666667
STK24	-0.5506875
SPEG	1.0512
STK10	-0.8445
DACT2	-0.771
AAAS	0.0555
SSX3	-0.72725
ABCD3	-0.9335
C4orf12	-0.780125
PARVG	-0.411166666666667
FIG4	-0.14025
C9orf46	-0.14925
TMCO6	-1.003
IGHMBP2	-1.15
DUS2L	-1.51966666666667
FAM3C	-1.23325
TMEM16D	-1.08942857142857
DCTN4	0.66225
KCNH3	1.19875
EIF2AK2	2.16275
AP1S3	0.064375
CST4	1.6655
PAM	-0.0209375
NUTF2	0.2175
CITED2	0.5094
SLC39A4	0.0865
C2orf52	-0.014
GRM3	-0.09575
C12orf49	0.046375
CCDC49	-1.2543
GRAMD1B	-1.16275
FNDC4	-0.02225
SIAH2	-0.364375
GDPD4	-0.276
C21orf87	0.912
ATP5A1	-2.37583333333333
C16orf63	0.33975
LOC388135	0.1645
ATP5J2	0.152
MMP3	-2.6455
EMID2	0.01825
CRHR1	0.455
WDR70	0.1175
C13orf31	1.61925
ZFAND1	-1.823
CCL18	0.985166666666667
C3orf49	-0.056
RINT1	0.0255
KIAA0408	-0.848333333333333
F13A1	2.9075
SLC10A1	-0.076
OGN	2.771
GIPC2	-0.737666666666667
XPO6	0.0246666666666667
LCE1A	2.0515
FMR1	0.0793
LOC374920	1.478
DUSP3	0.019375
ANKMY1	0.49875
C7orf50	0.29775
BBS9	0.5687
UNC119B	-0.76675
C9orf72	-0.572875
MGC35440	0.72
ENTPD6	0.337625
PPP1R2P9	-0.0175
ERCC4	0.83475
FAHD2B	-1.2685
HMHA1	-1.577
HACL1	-1.515
RAD23A	-0.200666666666667
FAM83B	1.0895
PPP5C	-2.14433333333333
RNASEH2C	0.127375
C9orf153	0.14
SCAMP4	0.967125
GHITM	0.6967
NDUFB7	0.52575
ADCYAP1	0.179
SP110	2.09216666666667
MAP3K7IP2	0.9405
DHH	-0.1255
AGRN	0.0129285714285715
WDR33	0.362166666666667
CEP290	0.9275
PRPS1L1	-1.7755
KLRA1	-0.0175
GPR97	0.159
CHD7	0.339333333333333
TLR10	0.03125
SLC30A8	0.394
HIC1	1.53233333333333
IAPP	0.5645
RXFP4	0.31475
GP1BB	2.9235
SHQ1	0.6625
NKX2-3	0.5965
API5	-0.5315
FTHP1	-0.546
MOV10L1	0.196833333333333
TRIM6-TRIM34	2.95483333333333
ADHFE1	0.6435
FAM117A	-0.40075
DDI1	0.453666666666667
CDON	0.741333333333333
TRIM73	-0.034
IGKC	0.0505
MMP14	0.7
DYNC1LI1	-0.430125
C11orf66	0.70275
TRBV3-1	-1.5055
FASTKD5	0.6105
BIVM	-1.6065
LHX4	0.1035
CXCL2	-2.6694
RAB2B	-0.0408333333333333
IZUMO1	-0.3285
MAP3K15	-0.927375
FAM19A2	-0.195166666666667
ZC3H8	-1.1065
ZMAT1	2.80375
SPINK5L3	-1.18075
SLC10A6	0.1055
APPL2	-0.366
CARD10	-0.826
LOC402176	-2.06
EEF1D	0.144
RAB6A	0.8742
C12orf5	-0.275875
PAPOLG	0.31025
MSRB2	0.4675
BCR	-0.175555555555556
PUS3	0.0935
TIAM2	1.029
ZNF317	-0.0396666666666667
CHD2	-0.0957142857142857
FZD5	-0.272
NUDT8	0.9385
ZNF763	0.1225
PRC1	-1.57255555555556
ABCB9	0.011
SPATA3	0.559
TRAK2	0.7615
STAB1	1.757125
LRRTM2	0.0115
psiTPTE22	3.175
DBI	1.811
SERPINA11	-0.45675
NAT5	-0.04475
C20orf58	-0.89425
RPS6KA4	0.405833333333333
FLJ90650	-0.921666666666667
TGFBRAP1	0.6235
CHRDL2	0.563125
FAHD2A	-1.53066666666667
CNTN1	-0.0316666666666667
BBS4	-0.7142
TMEM181	0.606
MINPP1	-1.97225
MPHOSPH6	-0.737083333333333
HOXC10	2.5699
ITPKB	0.49925
CLPTM1L	-0.18325
MEOX2	0.0451666666666667
ATP6V0C	0.569625
PRPF8	-1.258
TMC5	4.8825
FKBP3	0.5945
PLEKHB2	-0.46
OR4D6	-0.4055
ZNF544	-0.5273
D2HGDH	-0.055375
RPL18A	-1.3502
HEL308	-0.67175
MPP6	-4.0905
TCERG1	-1.602
KRT16	-1.17
KLF17	-0.00874999999999999
KLF5	0.33975
CDR1	2.4105
VCX3A	-3.6355
FBLN2	1.47775
C14orf104	1.4995
HBE1	-5.4295
OR4S2	1.092
C1orf108	-1.72266666666667
ROBO4	3.89383333333333
CPEB4	1.139625
C11orf80	-1.11966666666667
BCKDHA	-0.542333333333333
MYOC	-0.21575
GIF	-0.2495
CKMT1A	1.7905
RPL3	-0.9325
THBS1	2.66625
APOO	0.52975
ARMCX1	1.51725
HSZFP36	-0.34925
SNAPC5	-0.4825
EIF4ENIF1	1.06
ZNF433	-0.1795
TNFRSF21	0.105
TMPRSS7	-0.011
SPATA18	0.4989
HPDL	-0.2295
MKL2	1.5248
TBX3	0.331307692307692
C21orf93	0.792166666666667
DAXX	0.477
ELMO1	-0.095625
RGS13	0.650166666666667
TAF11	-0.98025
UNC13A	-1.2855
LOC653314	-0.7327
ORC3L	-0.367
IMAA	-2.924
TARBP2	-0.52
CABIN1	1.1847
TRIOBP	0.49175
HIST1H2AC	0.70125
RGS22	-1.72566666666667
NCOA1	2.243
IL25	0.272
SNCG	1.539
GPR6	0.0015
AMDHD1	-1.74083333333333
CHEK2	-0.4055
C6orf142	0.796
DRD4	1.6955
C14orf68	0.231
GDF11	-0.98875
SEMG2	0.5415
CD247	-2.398
CDAN1	0.0965
RBMX2	-0.0135
TGS1	-1.75075
OIT3	0.43975
SYF2	-0.641
MCM4	-1.72575
PKHD1L1	0.39475
CEP192	-1.64683333333333
IFT88	0.95075
RPL9	-0.781857142857143
RAB32	-1.878125
DDX43	-1.2445
P2RX2	0.747
OR5D18	0.664
UBE1	-0.67875
SLC24A1	0.678375
ARHGAP5	1.099
CETP	0.4525
KIAA1731	0.481833333333333
SLC9A4	0.6745
PTPN6	0.32275
BAHD1	0.972
GRIK3	0.119
CACNB2	-0.4056
PDE10A	-0.11075
DGCR14	0.56
PCDHB9	0.472166666666667
RHOQ	1.05283333333333
MAP3K4	-0.33875
KTI12	-0.069
RPL23AP13	-0.89975
GNG11	0.295
CLCN3	1.1815
GPAM	-0.481375
VSTM2A	-0.0105
SLAMF7	0.317333333333333
INTS2	-0.88
PPP2CA	-0.3502
LRP12	0.3192
SEC14L2	3.83566666666667
DKFZP586H2123	1.362
MC3R	-0.5875
CIRH1A	-2.27666666666667
HIST1H2AB	0.477666666666667
POLH	-0.170375
MGC16703	-1.13066666666667
SNAPC2	0.467
FILIP1L	1.119
RASGRP4	0.1655
LRRC1	2.76725
GAS1	1.07675
PRAC	-0.21425
DGKA	-0.154666666666667
NT5C3	-0.95025
PEG3	-2.36525
NADK	-1.33075
PRR17	1.71675
LOC374569	-0.264
SGSH	0.786
NLRP8	0.131
GALT	-0.6171
MCF2	-0.2955
ZNF263	-0.311
TACSTD1	1.52783333333333
TYR	-6.3731
ATP6AP2	0.20175
RNUXA	0.4295
ABHD10	-0.4693
GDPD2	0.10125
SLC35C1	0.707
UBE2A	0.28275
HERC5	-1.90766666666667
FAM112B	-4.86183333333333
FBXL16	3.02175
DKFZP434A0131	0.1935
ELA3A	-1.6555
RBM41	-0.704
HAO2	0.277
RNH1	-0.09775
SHANK2	0.695
OSBP2	-0.830125
DAK	-1.00133333333333
C3orf58	0.233666666666667
TCL1B	0.658
KBTBD2	-0.783125
SUGT1L1	-0.0535
UBE2E2	-0.716666666666667
MYL9	3.13175
CDC23	-0.686333333333333
PBXIP1	1.3737
CXorf40B	-0.23
NBL1	1.22225
RTBDN	1.0865
RAB11FIP5	-0.298625
TTTY13	-0.3435
SCOTIN	-0.2805
SOHLH1	0.874166666666667
CDKN1A	-0.1765
NCK1	-0.4705
ZNF550	-0.89275
SAPS3	0.5765
SPIN3	0.800333333333333
MAGEE2	0.0495
MIS12	-0.883166666666667
OR8H2	-0.0415
KIAA0774	-0.885833333333334
UNC5D	-0.9995
CUL7	-1.0845
LIPC	-2.67383333333333
DIO1	-0.76975
C20orf11	0.0174
CTRL	-0.3355
HS3ST2	0.82825
PAK4	1.6735
CCRL1	3.91925
RNF10	2.09575
ZNF567	0.04825
ZNF660	0.4875
TCEAL3	1.93175
MAGOH	-0.197833333333333
CENPB	0.3605
C19orf7	1.4825
LOC388965	-1.2345
ZCCHC13	0.056
JMJD1A	-1.1773
HIST1H4H	-0.7455
TBRG1	-0.4323
GPC3	-4.8845
TAF1C	-0.824125
EBNA1BP2	-1.3135
CIAPIN1	-1.25025
PDGFRA	-0.7315
CSTB	0.650375
CENPI	-1.29766666666667
GTF2E2	-1.2645
RPP21	0.7465
CCNF	-0.657333333333333
KCNQ3	1.0215
FAM79A	-0.1995
SLC22A12	0.696
NOVA1	-0.626
FZD3	0.9096
AKAP8	-1.08475
SOCS5	0.066875
CFDP1	-1.0375
DLG5	0.68975
PGM5	-0.306
C1orf144	0.0861666666666667
HDAC10	-1.5
RND2	-0.57
C20orf199	-1.15
RNMT	-1.214625
SLURP1	0.38375
ASTN1	-0.01075
SH3BGR	2.43125
MYCL1	0.51075
ZHX1	0.1795
CENPK	-2.22775
FOSB	0.176
LOC643406	0.15225
C2orf59	-0.71375
TMEM135	-0.5325
SLC27A2	-1.96275
KRT33A	0.136
OVOL1	1.63285714285714
PAMCI	-2.25383333333333
S100A7	3.2505
ZNF789	-0.575
HARS2	-0.44475
RPL23A	-1.35333333333333
TCF23	0.782
UPF3B	-0.560625
C17orf78	0.3435
HLA-DOB	-0.309666666666667
C14orf142	0.833833333333333
TEKT5	2.24366666666667
DMWD	0.615
POLD1	-1.50516666666667
GSCL	-0.122
CALD1	1.2415
SCRT1	1.1555
AIG1	1.5995
UNC84B	-1.9005
ZNF404	0.51575
TMED6	-1.19525
KIAA1462	-0.0505
LRRC27	0.6414
PYGO1	0.089
PIGU	-1.6005
ALAS2	-3.99483333333333
WRNIP1	1.078
CNNM3	-0.942
ZNF2	0.04825
ST3GAL5	-0.689166666666667
MRPL23	0.141
TSSK6	-0.273
PSMA6	-0.37175
C16orf70	-0.43075
KIAA1602	0.8765
ALMS1	0.797333333333333
DCN	2.27175
TMEM132D	-0.36875
SUCLG2	-0.7695
ABHD14A	0.656
DEXI	0.395166666666667
AMPD2	-1.9995
IFNAR2	-0.2355
CYB5A	1.5469
TLOC1	0.0448
NXF5	-0.331666666666667
NRBF2	0.109
KCTD3	1.98225
ITGAE	-1.81366666666667
SLC30A3	-1.176
ZRF1	0.023
IFRD2	-0.901875
XAB1	-0.3865
PYCR2	0.663
SERPINB3	-3.9275
TMLHE	-1.0188
GEFT	-0.591625
ABCA5	-2.242625
EMR4	0.190666666666667
TSFM	0.4515
HIST3H2BB	-0.13925
ARHGEF19	-0.46
TSPAN17	-0.901166666666667
ABCC8	2.81025
MAP1S	0.268833333333333
C22orf36	1.79175
BNC2	0.952
HIST1H4A	0.17275
NDUFS3	-0.0391666666666667
WDR3	-0.00783333333333333
XKR4	0.33
TTC33	-0.686071428571429
STMN2	3.9005
CPN2	-0.156166666666667
HSPC105	0.210625
PCOLCE2	-5.6185
C3orf55	0.3395
KLHDC9	2.80566666666667
TBC1D23	0.245
ATXN2L	-0.466333333333333
MAP2K3	0.727333333333333
SCAP	-0.565
ZNF486	0.940666666666667
C20orf96	3.49375
NARS	-0.218
ADAMTSL1	-0.146
PRCC	1.12816666666667
CCDC126	0.756
ZNF675	-0.3635
CALCOCO1	-0.31975
ANKRD43	2.0265
CWF19L2	0.702833333333333
ZBTB32	0.232166666666667
BRAF	0.85
ODF4	0.136
MGC14376	0.4535
HORMAD1	-1.07183333333333
AAK1	0.0430833333333333
PEBP1	1.96383333333333
TNFSF5IP1	-0.996166666666667
DKFZp564N2472	0.1505
RMND1	-1.516125
IGKV1-5	1.3515
COL1A2	4.45541666666667
SERPINA5	0.605875
AANAT	0.9015
C19orf21	1.25516666666667
GEMIN5	0.376
UBR4	-1.25333333333333
LTBP3	0.629333333333333
AMHR2	-1.02216666666667
PROCR	-0.8565
MYBBP1A	-0.6845
C20orf39	2.80116666666667
ZNF697	0.3335
PASK	-0.3382
ZNF776	0.797333333333333
RFXDC2	0.82575
KIAA0467	-0.033
C10orf96	-0.61
ZNF503	2.242
GULP1	-0.321416666666667
KCNE4	0.931333333333333
DKFZp434K191	-0.794125
LOC196913	-0.494
BHLHB4	2.81
CH25H	-0.641
LOC81691	-0.4325
ALPL	-0.292785714285714
COL12A1	3.280875
FOLR3	-1.62433333333333
GPR123	0.101125
TRIM62	0.275214285714286
ABLIM1	0.566833333333333
MAST3	-1.17075
RHBDD1	0.610166666666667
LOC338809	0.745
RYBP	1.89875
TTC26	0.738125
ZNF22	0.5765
ISCA2	-0.3485
RDM1	-2.316
PIGM	0.79725
GNB3	-1.26
ACTR2	0.5833
HMGB1	1.68
EDG1	2.43366666666667
SOAT2	-2.6085
OR10AD1	-0.041
RAP1GDS1	0.0234166666666667
LCE1F	0.103
ESM1	1.684625
RCN3	2.32175
CREBL1	-0.19225
DBNL	-1.345
PTGER3	0.325125
USP30	0.278333333333333
BCL2L12	0.1595
KIF26B	2.09975
ZNF416	0.25975
ZNF225	-0.137
C17orf70	-0.30925
ZNF554	0.365
RAE1	-0.945166666666667
TNIK	-0.311666666666667
ACTN3	-0.074
MGC45922	2.5755
CCNA1	-0.308833333333333
RYK	0.696333333333333
IL26	-0.0295
LRP3	1.857
QARS	-1.171
SOX7	1.38271428571429
BID	-1.018875
OR2S2	-0.042
CXCL14	4.4745
C11orf47	-0.519
MGC29891	1.872
HSPB8	0.0025
PRDM14	-0.482
NUFIP2	-0.13175
MNAT1	0.409125
ZDHHC2	-1.80466666666667
MBNL2	-0.4
ADD3	-1.54375
CSNK2A1P	-0.76525
KLK6	-0.302333333333333
TMEM111	-0.589
KIAA1279	0.622
NUBP2	0.306666666666667
RAB42	-0.4725
ID3	-0.3774
TM9SF1	0.00875
MDP-1	-0.0455
POU4F2	0.05225
IQCK	2.80825
C16orf14	0.9015
CAPN3	-1.676
FAM43B	0.626
RECQL	-0.6255
AP1G1	-0.157285714285714
CTNNBL1	-0.981
ECHDC1	-1.9515
SMARCC1	0.7501
FOXQ1	-0.666625
GNAI3	-0.8075
POLG2	-2.68275
CD4	1.153875
ITLN1	-0.1565
EBI2	0.82925
IRF1	-0.45975
PTPRE	1.9932
PTK2B	-0.51625
NXNL2	-0.833
SOX4	2.33566666666667
TSPAN3	0.774666666666667
SH2D1A	-3.49683333333333
C8orf58	-0.153
USP20	-0.95725
DUSP22	-0.7245
CALB1	-1.02383333333333
L3MBTL2	0.933333333333333
MCRS1	-0.7755
TMEM118	0.1065
C18orf8	0.172
FLJ10241	-0.461875
GJA12	1.91325
PKD1	-0.3585
ZFP3	0.335
JAM3	-0.381125
LAPTM4A	0.963
DIRC2	0.918
KIAA2022	1.66866666666667
MYOM1	0.5335
TRPM8	-0.934666666666667
MOP-1	2.2375
PHKG2	0.6045
ZNF650	0.04225
KIAA1522	0.838
PSG8	-0.517833333333333
DDX19B	-1.331
MOBKL1B	-0.35675
DIAPH2	-0.292083333333333
PTPN12	0.39175
CLN8	-0.4677
CRYZL1	-0.9815
CRY2	0.2415
FCGR2B	1.0675
PNPLA4	1.3255
ZNF454	-0.077
DKFZp434B1231	0.15125
CLDN11	0.6217
RFWD2	1.10566666666667
CIB2	1.17566666666667
MXRA8	2.9645
HRK	0.892875
MAML2	-0.103
C4orf31	1.2815
C6orf192	-0.7835
COG6	0.322625
FAM5B	0.1335
NFATC1	0.1809
SEPT10	-0.48725
SCYL1	-0.4033
RPP40	-0.709
SCOC	-0.0508
KIAA1450	-0.74675
CTDSPL2	-0.77975
TBX5	1.6705
NAPG	0.972375
RHD	-2.94725
C14orf45	1.84633333333333
ZBTB22	1.181
PLCG1	-1.097
ANKRD10	-1.515375
AQP7P2	-0.0603333333333333
TAGLN2	0.460666666666667
HTR2C	-0.382333333333333
SLC16A7	-0.4795
C17orf83	-0.15725
TSGA14	-0.260333333333333
MDH1	-0.9365
PPP3R2	0.308
DCBLD2	-1.24135714285714
RBM33	0.5195
DPH3	-1.27475
SYT10	-0.243
FMO4	1.096875
THYN1	-0.81575
DRD5	-0.4005
OTOR	2.545
PGRMC2	-0.3016
KATNAL1	-0.070125
PAQR6	-2.4965
UBE2I	0.30375
C14orf28	0.0865
C8orf70	1.463
FLYWCH1	-0.289625
ANGPTL3	-0.555
GLRX2	0.1285
ATP11A	-0.1925
ARL5B	0.090125
MUC16	-1.63925
SLC25A5	-1.3025
ACRC	-1.21325
MYO1C	-0.14325
FAM89B	1.53283333333333
FAS	-0.44225
KIFAP3	-0.243
GLRA2	-0.1095
BTN3A2	-0.7164
CNKSR3	-0.56125
CSTF3	-0.727
ARPM1	-0.0475
KIAA1530	-1.155
C9orf150	2.81333333333333
PRKCI	0.358
tcag7.1015	-1.89
SOD3	2.06975
ZNF574	0.6575
CYP21A2	2.92225
RPL12	0.15625
COMMD2	-1.343
WIZ	0.48525
LOC344405	-0.8705
ALDH4A1	0.062
CRYAB	2.3575
COPA	0.7723
PCDHGA7	1.57683333333333
KIF11	-1.63033333333333
RASD2	0.18675
SLC26A3	0.4405
ZNF175	-0.994
JAKMIP2	-1.67014285714286
C8orf4	0.799333333333333
PTHLH	0.057
SLC40A1	3.40375
OR7D4	0.603166666666667
PCDHB17	0.336
CD36	2.18671428571429
C6orf203	1.0071
PRKG2	0.344
LOC400566	2.42675
ANAPC13	-0.096
SLCO3A1	-1.1735
ZNF692	-1.369
FANCL	-1.223
SH3GLB1	-0.33925
C12orf61	-0.002
KBTBD6	-0.2475
SUPT5H	0.23725
XRCC6	-0.7904
HUS1B	1.4769
FAM133B	0.971142857142857
LOC728276	-0.3125
KCTD18	0.958
SOS2	1.64383333333333
CCDC99	-1.55625
C1QTNF5	4.114
NNAT	0.152
USP16	0.05375
LARS	-0.807
ZBTB2	0.774875
ABO	0.0941666666666667
TRAF3	1.04775
GALNT5	-1.5805
NAP5	2.73275
ALG14	0.195833333333333
KIAA0515	-0.0788076923076923
WDR75	0.394833333333333
TEX261	-0.918833333333333
LY86	0.162
LOC389072	0.0305
FLJ13611	0.03875
MRGPRX2	0.1735
SNRPA	-0.798125
OR2G2	-0.049
GPRASP2	0.382
C7orf42	1.0805
C9orf163	-0.262
CYP11B2	-0.263
FCRL3	0.416666666666667
PRDX1	-0.6065
FGB	-6.06333333333333
COX17	1.27266666666667
C16orf33	-0.41175
PIWIL1	-0.038
FOLR1	-0.775333333333333
KIAA0082	-0.32675
FREQ	-0.0703333333333333
TMCC2	-0.835166666666667
TCF12	0.252916666666667
ZNF721	0.93975
FAM130A2	0.332
POU4F1	-1.55525
SNRPF	0.459875
SGIP1	1.29033333333333
ZNF641	-0.1125
EMG1	0.00225000000000002
PRRG4	2.592
HIRA	-4.38275
MYNN	-0.371
AEBP2	-0.0755833333333333
TBXA2R	0.990666666666666
ISL2	-0.871
PCDHB11	1.5985
RNF144A	-0.16075
MARCH5	-0.997625
DULLARD	-1.0535
DCLRE1B	-0.659166666666667
ITGA8	1.54075
TP73	0.159
PRKCD	2.24575
NDUFB4	0.40425
ATP13A4	0.332
ANTXR2	-0.238166666666667
COL4A3	-0.166166666666667
MYO10	-0.7691
SLC6A18	1.27475
PEX1	0.047
TMEM74	-0.299
RBM19	0.4305
TAPBP	0.80345
RUNX1	0.80275
MID1	-1.45308333333333
GPR64	-0.543666666666667
RASEF	2.96975
GABRG1	0.01475
MYO16	-0.32075
DBF4	-1.01133333333333
TSHZ2	0.786
RIPK2	0.34925
PPTC7	0.707666666666667
KIF4B	-0.736
LRRC31	1.459
ZNF540	0.28325
EFNB3	0.0866666666666667
LOH12CR1	0.524875
STON2	0.534
GLP1R	0.22075
CSTF2T	0.95575
IREB2	-0.421
GRSF1	-0.53875
PDCD7	-0.155833333333333
LRRC43	3.1045
CNR1	-0.385833333333333
IL1F7	0.325
C12orf64	0.28675
FAM69B	-0.2285
NR2E1	-1.16966666666667
MS4A6A	0.8916
FTL	-0.7356
C7orf36	0.9035
PCLO	2.1451
DYRK2	1.056
ARIH2	-0.245625
SAMD7	0.4
SCNN1D	-0.622
SLC32A1	-0.245875
C22orf25	-1.101
MRPS18A	-0.0654
GPR112	0.187
EARS2	-0.10525
ERN2	0.9495
ATPBD3	0.515
PRH2	0.3475
CDKN2D	0.419833333333333
PGLYRP2	-0.20725
TRIM40	-0.13025
SEC14L3	0.259333333333333
SLC22A1	-0.016
BTN2A3	0.61
RASA4	-0.6905
CCNL2	-1.22316666666667
MYBPC3	0.5695
GJA4	3.146
CDC42SE1	1.5175
TRPV2	-1.0425
MYPN	-2.3344
SIM1	1.1415
CDADC1	0.634416666666667
ZFHX4	2.05475
NIBP	1.034
ADAMTS19	1.43
ABTB2	-1.7335
TSPYL2	-0.255
EIF2S3	-0.6658
SOX30	0.0825
AP2A1	-0.636666666666667
DKFZP564O0523	0.257666666666667
LOC285398	-0.4205
CDH18	-3.25525
CHL1	0.982375
GATS	-0.4409
TBC1D2B	-0.193
OR1J1	0.081
GSN	0.744166666666667
DPCR1	0.21125
GARNL4	-0.323
SMARCA5	-0.34775
PLEKHG3	1.46883333333333
ZBTB45	1.2385
FRMD6	-0.3425
PLS1	-0.0201666666666666
DGKZ	0.985333333333333
EFNA1	2.6135
WDR85	-0.841
ANK2	-0.22075
PAGE4	0.0773333333333334
SENP6	0.1015
AKR7A2	-0.9115
FKBP10	-1.2775
VEGFC	-1.27333333333333
LARP1	0.1770625
SRBD1	0.95375
ITGB6	1.672
SLC1A2	-0.6365
INVS	-0.282166666666667
MPO	0.121
MOBKL3	-0.1696
CUTL2	0.294
KLK2	1.10658333333333
VIM	-0.4625
REG1B	0.04
PCDHGC4	0.1365
C3orf34	0.506
SUMO3	-0.981666666666667
CST9L	-0.1895
MLL4	-1.32725
SPR	1.531
SAMD9L	2.40275
ABCE1	-0.4615
SUPT3H	-0.921
ACTBL1	2.5505
ADAMTS4	1.2345
SLIT3	3.72
RHEBL1	-1.44875
NPM2	-0.74775
MAN1C1	0.648875
KIAA1856	2.5785
HSPA6	0.12375
LOC388152	0.772
C10orf140	1.41125
ZDHHC12	-0.62
LIN7A	0.2721
PHC2	-0.0745833333333333
SPHK1	0.0695
TRIM26	0.4115625
FAM83E	0.508
C18orf24	-1.088
ZNF578	-0.108833333333333
ORAI1	-1.02275
RUVBL1	-0.54075
C7orf20	-0.294
APAF1	-0.442
SLC36A4	-2.204
MYH11	4.33033333333333
NEK1	0.254
MPP2	-0.543875
C12orf24	-2.49025
TNK2	1.236875
ZNF289	-2.029
MATN3	-0.316285714285714
IFNGR2	1.45383333333333
ITPR1	-1.502875
EBF3	2.0918
TBC1D20	0.3589
OR10P1	0.6145
DDAH2	2.29175
SHPRH	-0.597875
STX7	-0.483
LOC554248	-1.5965
BCAR1	0.67175
ATXN3	0.797666666666667
TRIM27	-0.484
CDC42EP2	1.796
CHP	0.416
SOX17	3.163
ZNF259	-1.38383333333333
CHCHD1	1.1315
ZDHHC19	0.3355
GBP2	1.7985
GARNL3	0.661125
MRC2	-0.45475
C1orf52	-0.14475
AOF2	-1.402
LRPPRC	-0.3222
ACVR1C	-1.00283333333333
TM4SF18	2.10833333333333
TMEM169	-0.0766666666666667
PPP1R16A	0.018125
EBF1	1.85616666666667
RRS1	0.688166666666667
SNX2	-0.9545
OR2T2	0.781
RBX1	-0.43425
ANKRD54	0.968333333333333
TSNAX	0.433333333333333
TMEM83	-0.6075
ZBTB7A	1.953
ATM	-1.71166666666667
LOC338328	2.48916666666667
TIE1	1.22316666666667
HIST1H3G	0.000499999999999991
PASD1	-3.94316666666667
TINAG	0.55425
PCDHAC2	0.3845
LRRC15	0.895875
WBSCR17	-0.88575
TFF2	0.606
PARP2	-0.519
NDFIP2	-0.802375
PCDHGB2	0.5935
WDR60	-0.111
MAP7D2	-0.761
USP45	-1.5865
GSDML	-1.32975
