Hybridization REF	TCGA-A8-A08F-01A-11R-A00Z-07
SNRPD3	0.16925
KIAA0701	0.258625
UNC93B1	-0.215
GMNN	-0.479125
SPCS2	0.972833333333333
LOC388524	0.1235
NAPRT1	-0.474625
PNLIPRP1	0.807333333333333
OR6V1	0.303
PRKAB1	0.162
EYA4	-2.74633333333333
KIF20A	-0.929
ALG10	-0.2515
ITPKC	0.176833333333333
LMX1B	0.605666666666667
RPUSD4	-0.961833333333333
C7orf34	0.0546666666666667
DLGAP2	0.266375
PFN1	-0.1626
MICALL2	-1.04016666666667
ZNF654	1.317
SS18L1	-0.492
SLC16A8	-0.22375
MKI67IP	-0.1115
ITGB3	-1.3165
TCEA3	1.98083333333333
CEP152	-1.1161875
CLIP1	1.42375
ZNF75	0.0588125
ATP5C1	0.601
NUDT5	-0.273166666666667
PSCDBP	1.05375
UBP1	0.2855
RBM27	-0.31
C13orf15	2.020875
ZNF282	0.1025
ZNF222	0.2191
COL10A1	5.61625
PRDM15	-0.8685
TTTY5	0.253
FAM9C	-0.499
C20orf67	0.1795
GNG13	-0.6835
F12	1.06075
C1orf41	-0.17925
CPXCR1	0.163
GSK3A	-0.092625
SUPT6H	-0.450666666666667
PI16	0.2395
ELL2	-0.511833333333333
C9orf167	-1.4245
PVRL3	-2.447
FLJ38596	0.8525
ADAM20	-0.06675
GPR89A	-0.165
GPR87	-2.8175
ZNF30	1.16825
SMR3B	0.19075
ZNF770	0.0525
TRPC4AP	-0.110166666666667
DKFZP686E2158	1.903
C2orf28	-0.563
FREM1	-3.21066666666667
LAMA4	0.424666666666667
ADPRHL2	0.2165
EIF4G2	0.394833333333333
GUCA1A	0.607
CTNNA2	-1.715125
NUDT15	-1.87316666666667
CEPT1	-0.300666666666667
ZNFX1	1.2192
CCDC92	0.65925
TDRD1	-0.91
KCNK5	-2.2695
ETNK1	0.0358333333333333
LTA	0.4045
TTPA	-0.24
B3GALNT2	0.7965
SC65	0.463166666666667
PEX5L	-1.315625
EPS15L1	0.3135
MGEA5	-1.221
HIST1H3A	0.6235
ING1	0.110375
BCAT1	-1.714125
ORC6L	-1.94118181818182
KLK11	-5.4795
C19orf28	-1.257
DNER	-3.2545
MED22	-1.18935714285714
ETV6	0.490666666666667
CHAC2	-0.9405
CD300E	0.023
CEBPB	0.52075
ZNF398	0.321
LRCH3	0.066
HMGA1	-0.427666666666667
CAPN7	0.101833333333333
MGC5566	-2.4645
CCL3	2.881875
NANOS1	-0.215625
ZFYVE19	-0.03175
APITD1	0.144166666666667
PARD3	0.6175
IRAK4	0.095
SERPINI2	0.075
CEP170L	-0.977
TTC9	2.073125
MYOM3	-1.47675
MLPH	1.60875
LOC222699	0.195
NRG1	-1.26516666666667
TBC1D9	2.71018181818182
TTK	-1.93683333333333
ZNF557	0.7608
DDX41	0.538333333333333
FANK1	-1.109
UBE2D2	0.151875
PSMB10	0.8005
MYH7B	0.387
GABARAPL2	0.80375
MARVELD2	0.521166666666667
DGCR2	0.9095
UNC45A	-0.0516666666666667
C6orf72	0.3625
ZNF683	4.663
GIT2	-0.259125
CASK	2.42733333333333
C14orf161	3.38383333333333
LRRC44	2.9
TIFA	0.107875
UTP11L	-0.459375
C6orf65	-0.82125
FDPS	-0.44725
DUSP9	-2.0526
SLC17A8	-0.00533333333333332
OR51G1	0.0485
NANS	-0.01625
OLFML1	1.53975
ATP10B	-0.829142857142857
NPAS3	0.119
PRKCA	-2.4335
GGA2	-0.1850625
LCE4A	-0.0445
SPANXN3	0.10275
CCDC115	-0.001125
SDCCAG3	-0.883
GLIPR1L1	0.0935
TTC1	-0.04875
C17orf76	1.1965
MAD2L2	-1.05325
HIPK1	-0.235
LRRC3B	-0.540166666666667
CLN3	-0.0447727272727273
C17orf47	0.36
FMN2	-2.400125
TUBB1	-0.507857142857143
WAPAL	-0.0181666666666667
C3orf21	-0.80725
SCN5A	-0.5263
SMYD1	0.0656666666666667
BEX5	2.4775
ZNF192	0.261
SEC22A	0.184333333333333
GRIA2	0.459357142857143
KIAA0825	-1.708
NUSAP1	-0.791181818181818
LANCL1	0.284625
C15orf40	-1.501
ZNF645	0.0995
GPR61	-0.26775
NLRP14	-0.112
SNX21	0.0435
C1QTNF8	-0.043
C17orf46	0.21025
IFNA8	0.3775
SPRR1B	-1.46583333333333
FLRT1	-0.68325
SNX17	-0.0493333333333333
ASB2	-0.863666666666667
HBG1	-5.1165
RPRML	-2.216
JOSD2	0.280833333333333
PLSCR3	-0.02975
SPOCD1	-0.458333333333333
RAB39	-0.2345
GHRH	-0.0301666666666667
ITIH5L	1.24875
C17orf37	1.0825
SMCR8	0.43175
DPY19L2P3	-1.08233333333333
IL11RA	0.807166666666667
GDF3	-3.5885
RPS6KB1	-0.300416666666667
DNAJC19	0.5209
TOP1	-0.66175
CRCT1	-0.547125
MPST	-0.895125
DPM2	-0.24175
FAM38B	-2.67183333333333
SLC18A1	-2.158
FARP1	0.2015
PAX7	-0.12525
TUBD1	-0.33175
GNL3	0.019
BTG2	0.9306
NDUFS6	0.65625
C1orf79	-1.43325
ERAL1	-0.42375
ECHS1	0.35325
VPS4A	0.292666666666667
CYP11A1	-0.917
ABCC6	-0.6845
PBX4	-2.2425
MOSC1	0.152
NCF4	1.44275
HYMAI	0.2505
NAGPA	0.176125
OTOP2	0.02175
ACOT12	-0.31725
MTHFD2L	-0.622125
LOC441376	6.47575
C19orf34	0.0445
RAB1B	-0.276
ALDOAP2	-0.0095
NTRK1	-2.19316666666667
ARTS-1	-1.0705
SLC6A11	0.1225
NAP1L2	2.4675
CNGB1	0.203666666666667
EPB41L4B	-0.0970833333333333
FAM134B	3.298125
HS3ST3A1	-1.08366666666667
CPXM2	3.74675
SIRPB2	0.9905
CHORDC1	-0.439666666666667
TRIB3	-1.30883333333333
SLC2A5	1.8215
C2orf49	-1.0585
DDX5	0.14925
OR5L1	0.5585
ANAPC4	-0.861833333333333
ZSWIM1	0.4275
LOC93622	-0.40475
KCNK3	0.0738
RP11-35N6.1	-1.776625
ZFP161	-0.1485
AQP9	5.3095
SLC15A2	-0.620333333333333
MREG	1.01683333333333
OR9I1	0.1845
PDLIM2	0.0695
ADAM7	0.662
GSTCD	-0.602666666666667
WDR21A	-0.81
SLC12A8	1.254
TMEM174	0.033
IGSF3	0.0649166666666667
LRRN1	-2.32475
LOC402117	-0.085
SRPK1	-1.66416666666667
LY6K	2.5423125
NFIA	1.5005
PTCD3	-0.03875
LEP	0.180833333333333
PCDH21	-0.974333333333333
MAPKAPK2	0.453928571428571
NMNAT1	-0.796333333333333
LHFPL2	1.482125
C9orf43	0.40375
DIP2A	-0.926833333333333
ACTR8	0.00737500000000001
CCDC34	-0.3075
PTPN22	0.052375
ITGA3	-0.908375
FAM129C	-0.07575
RABGGTA	0.827666666666667
UNC45B	0.395
KIAA1033	0.13225
ZNF510	-0.0901666666666667
CYP2D6	-0.8875
SLC26A10	-1.767
STX8	0.25075
LUZP1	-0.18075
WDR89	0.175666666666667
EIF4G3	-0.8562
C5AR1	1.355875
ZNF623	0.288
A2M	0.23025
TGM7	0.2275
GRPEL1	-0.6285
LMNB2	-0.8929
ROCK2	-0.334833333333333
SNX16	-0.28475
CCDC66	0.59775
ANXA3	-3.02
KIAA1609	-0.488375
EED	-0.77625
RNF32	0.3125
HES1	0.9033
CLC	0.975333333333333
ISL1	-0.8414
KIAA0528	0.39525
MANEA	0.413625
C1orf61	-2.69
hCG_2001000	-0.5115
RAPGEF6	-0.9963
KIAA0020	-0.291166666666667
NEIL1	0.1695
C16orf45	-2.386
RBM10	-0.2075
C10orf125	-1.064
MRS2L	0.2705
DNAH17	-1.413875
C19orf10	-0.412
C1orf160	0.12475
SLFN12	0.251
EXOC3	0.114
HIST3H3	0.84125
NCOR2	0.250666666666667
TNFRSF9	1.54225
MFSD8	-0.1565
ALX1	-3.7675
NOL1	-1.1325
PODN	2.29825
TIAL1	-1.0065
HIST1H1E	0.77475
NPY6R	0.167
TM4SF4	0.13275
CORO2A	0.1065
ETNK2	0.8755
APOE	1.6399
ANGPT4	-0.1485
HDGF2	-0.18575
G30	0.199
ST8SIA4	0.23925
F2RL1	-1.02425
FAM19A4	-3.6215
CCAR1	-0.224
B3GNT7	0.379
OPHN1	-0.6417
DSCR6	2.1475
C21orf13	0.391
GAS2L1	0.384916666666667
RFX3	-0.770333333333333
COPS4	-0.16475
BCHE	-5.21616666666667
BCL2	1.148375
HBZ	-3.00966666666667
ARL13B	0.633375
MAPBPIP	0.603875
MYO15B	-0.046125
SPZ1	-0.20725
KIAA1324	2.349
PLCL2	-0.3185
C4orf29	-1.24125
WDFY2	-1.195125
ZNF284	-1.0595
NAALADL1	0.058
DUSP5	1.00716666666667
PXDN	-0.106125
SLMO1	-0.13725
TNXB	0.1175
BIRC7	-0.175
A4GALT	0.776333333333333
TIMM22	0.551
FAM110C	0.65425
TOMM34	-0.799
ABHD9	0.0455
ADAM32	0.5275
CRHBP	-0.54
AQP2	0.24475
LOC130355	0.848
ZNF187	0.881
ZNF816A	0.813
F7	-0.66725
CNOT1	0.3093
SLC13A4	-0.9915
ZBTB11	0.148
B3GALT5	0.705
EXOC2	1.63083333333333
IRS1	-0.2699
TMEM1	-0.835333333333333
MRPL34	0.087
SAMM50	-0.25825
CDC42EP3	-0.868125
HSF2	-0.7968
MFN2	-0.4845
TSPAN7	-2.46616666666667
NUCB1	0.746083333333333
RHOH	1.5185
ARL16	0.3425
TACR1	0.11075
SFRS5	-1.875
SNX25	-0.80575
RHBDF1	-0.2485
PCDH18	1.20816666666667
HMG1L1	0.00825
MYO5C	-0.373
MAPK10	1.254
LDHAL6A	0.226333333333333
NUDT12	0.717833333333333
NCAM1	-0.388
GLIS2	0.389
GGTL4	1.45175
DAPP1	0.73775
ATF7	0.6295
KIAA0748	-0.90025
NFIL3	-1.2615
TM6SF1	1.1271
SEZ6	0.04125
NANOS3	-0.515333333333333
DNAJA3	0.1935
CLDN6	-2.942
CIITA	3.1814
EPHA4	-1.83075
FANCC	-0.6575
CMTM3	0.1835
PSG3	-0.733125
MRPL15	0.4625
C21orf59	0.03025
PLCXD2	-0.416
C2orf34	-0.41425
UBE2L6	1.81
MED14	0.078
HP1BP3	-0.461
C6orf208	-0.1365
TPBG	-0.08025
OSR2	0.31225
XPC	0.360666666666667
KLHL7	-0.853666666666667
CCR3	-0.158166666666667
AGTPBP1	-0.976
PCSK6	1.37186666666667
STAT5A	-1.2209
FAM18B	0.1265
LONRF2	0.00450000000000001
PTPN2	-0.768875
SF3A3	-0.3715
EFCBP2	-0.4465
HCFC1	-0.258
AHNAK	1.1865
ACTR5	0.81475
KIF14	-0.862714285714286
TENC1	0.77675
HEATR5B	0.7945
YIPF2	0.536
MYEOV2	1.28683333333333
DUSP18	1.227
KIAA1012	0.2465
AHR	-0.453833333333333
C17orf53	0.590666666666667
PTPRH	-3.9165
ATP6V1C1	1.2711
TAS2R3	-0.1815
LOC440356	2.6085
COQ10B	0.58425
PSMF1	-0.0439166666666667
SORBS2	-0.0824166666666667
NFE2L2	-0.24375
TMCO7	0.251
SH3PXD2A	0.173
SH2D2A	-0.835
SPINK5	-3.577
MRPS24	-0.858
OPA3	-0.095
TRAF7	0.0966666666666667
C4orf35	0.1626
MT1G	0.350125
MGC39545	0.516
HS1BP3	0.0444
OR2B2	0.269
CHRM4	0.092
SFRP2	2.50158333333333
RIC3	-1.9385
ART1	0.53
C6orf1	0.938375
DUS4L	-0.97625
C10orf104	-0.4725
TNFAIP6	2.02775
RTEL1	0.21675
CCT4	-0.4439
ZNF709	0.7955
CHMP6	0.198833333333333
UPP2	0.25075
CYP19A1	-2.85075
CD151	-1.10883333333333
NDUFA13	0.629166666666667
ARFRP1	-0.0698333333333333
FAM26B	1.9675
CRYBA1	-1.2495
MRPL41	0.0631666666666667
NPFFR2	-1.179375
HRH2	0.0535
SCAMP3	0.472
MTMR6	0.6425
MTG1	-1.3165
UBTD1	0.772
CRABP1	-2.3725
FLJ33790	0.5504
KIAA1908	-1.36533333333333
GPR158	-1.0645
PACSIN3	-0.424166666666667
OMD	3.9735
CATSPER1	0.1705
HOXB8	-0.798375
FBXO46	-0.063
OAS1	1.60266666666667
SVIL	-0.113
PHB2	-1.324
ADCY3	-0.67
NDRG2	0.871666666666667
ERMAP	-0.1449
APBA2	-0.6735
IGSF9	2.44325
WNT6	-0.697071428571428
MYCBPAP	1.38325
ATP2B2	0.0563
CPVL	0.1316
TRAM2	-1.09758333333333
NOP5/NOP58	0.063
ZNRF4	-0.3485
TLK1	-0.126125
MTMR12	0.820071428571429
ZNF384	-0.742666666666667
FAM9B	-2.487
RPN1	0.4169
PMVK	0.84875
EIF3D	-0.0603
SIX2	1.738
HPS1	-0.211214285714286
RNF7	0.36375
PSKH2	0.034
KCTD13	-0.0115
CSMD3	0.2807
FBF1	0.865
IL8	-2.521375
SERPINB13	0.192181818181818
FBXL20	-0.28925
BLR1	0.27675
SH2B1	-0.6175
RFNG	0.267125
RAB20	-0.0678333333333333
RBM7	-1.395
POLR1A	-0.187166666666667
TMPRSS4	-1.34125
TAF9	-1.264625
TERF2	0.576166666666667
TNFRSF1A	0.0378333333333333
ACADVL	-0.000666666666666672
GTF2H5	-0.2085
EDG8	-0.954833333333333
C9orf140	-1.06625
UST6	0.64925
ZBTB8OS	-0.22825
ZNF710	1.054
GPR174	-0.7265
ATP6V0A2	0.05225
KIAA0319L	0.775833333333333
XKRX	1.1145
DOPEY2	1.2794
SDHD	-0.676166666666667
SUMF1	2.0455
OSM	3.826
OPN3	-1.7715
DAGLB	-0.501666666666667
PPFIBP1	0.4167
TRIM63	-3.64575
C10orf53	1.876
LYPD3	0.383166666666667
BCL7A	0.266875
AGER	-1.05033333333333
TCF19	0.324
SAT2	0.239
PFTK1	0.3685
GABRE	-3.63675
C15orf38	1.0667
FIS1	-0.0535
KCNV2	-0.60125
CLPS	0.122
PPCDC	-0.59
FOXN2	0.940666666666667
NT5E	-2.4189
CD83	1.09625
IL18	2.066375
VPS16	0.0615
IGFBP2	0.088
NOTCH2	0.07025
SIGLEC1	3.349125
CD93	5.079
SULF2	-1
CEP164	-0.436125
P53AIP1	0.169
TOR2A	-0.0578333333333333
ZNF136	1.09975
MGP	3.1896
CCDC144A	-0.819
TRPC1	-1.10433333333333
SMS	-0.257833333333333
MAPK7	-0.536666666666667
RRAGC	0.37175
PARD6A	1.69333333333333
NUB1	1.3465
SYNGR4	0.845
OR11H12	0.306
WIF1	0.00587500000000001
GCH1	0.6235
OR11H4	0.3105
SLC44A5	0.128
GPRIN2	1.24266666666667
LOC401431	0.00549999999999999
CPA4	-2.961
MELK	-0.822777777777778
IL15RA	1.0025
CUL3	1.52325
HMBOX1	0.11725
PODXL	-1.74825
CCT6B	-0.275333333333333
COMTD1	-0.8645
MUC20	-1.36216666666667
GPX2	-3.19375
ITK	-0.741875
FBXL5	1.0545
C13orf27	-0.59525
DEFA5	0.4535
TRHDE	1.192
MTP18	0.132166666666667
UQCRQ	-1.0724
ITGB2	2.77033333333333
CSRP2BP	-0.6265
TAS2R44	0.2195
PHPT1	-0.2265
FAM44C	0.0785
ERH	0.02225
MPHOSPH1	-0.8735
MORC1	-0.3935
PARVB	0.20425
LAMA1	-1.92641666666667
PGBD3	-0.0385
GIMAP6	4.03225
AREG	-0.988
LIPT1	-0.67375
MGC99813	0.58875
C1orf201	0.0341666666666667
GRIN2A	-1.1929
MAN2C1	-1.25675
NSUN5	-0.10025
SF3B5	0.401
MYC	-1.743375
NRXN1	-0.321583333333333
ZNF18	0.1795
SPDYA	-0.5105
SLC37A1	0.3655
DECR2	-0.272
ANKRD38	0.79325
SPTLC3	-1.55716666666667
SUPT16H	-0.086875
DTWD2	-0.000999999999999994
ULBP1	0.022
ZADH1	0.201333333333333
OIP5	-2.0705
IL10RB	0.181166666666667
OTUB2	1.40875
VWA3A	0.6275
SPIC	0.294666666666667
OR6C4	0.0315
PSCD4	1.43483333333333
DPY19L2P2	-1.669
TRAPPC6A	-0.0956666666666667
C21orf2	-0.939333333333333
CEMP1	-0.6005
LIN7B	0.767
E2F7	-1.47116666666667
VCP	0.353875
LAMA3	-0.921166666666667
BGN	1.68275
GPR160	1.7055
COCH	-2.9885
GPR81	2.872
APOBEC3F	-0.789
tcag7.1017	-0.477
C1orf32	0.264
SCGB1D2	5.4725
FLJ43987	-0.6035
C6orf170	0.36325
KLK9	-0.014
GPD1L	0.519125
VPS37B	0.45525
ATG3	-0.199666666666667
ADAMTS17	-0.595
KLHDC2	-0.4615
NDUFV2	0.0635
BLK	-2.36
MATN4	-2.16
GPM6A	-0.2635
GBP4	4.64683333333333
TMEM162	-0.124
PKP2	0.0935
HRASLS	1.95277777777778
MMP1	2.05825
SFXN3	-0.4312
FSD1	-1.558
ST6GALNAC3	-1.73033333333333
CA12	2.4566
NCOA6	0.55525
C19orf58	0.5865
PPP4R1	0.017
MAN1A2	0.868
IKBKAP	-0.99925
UPF1	0.106333333333333
KIAA1219	1.082
WNT16	0.00379999999999994
SNW1	-0.701875
IL18RAP	2.839
RPP30	-0.275375
CDC40	-0.243428571428571
SETD3	-0.0143333333333333
SLAMF6	0.71475
ELK4	-0.224
TRIM47	1.39083333333333
ACOX3	0.441125
TRIM6	0.98925
KIAA0372	-0.311
TP53AP1	-0.14575
SMURF2	0.257
ADAD1	0.38375
EBP	-0.1325
KRTAP13-2	0.0455
FLJ36874	0.265333333333333
TOR1A	-0.570333333333333
P2RY4	0.6595
GPBP1	-0.40575
TRPV1	0.0115
ADAMTS12	0.1145
PES1	0.1322
ATG4A	0.9815
MAGEA10	-4.7515
WFS1	1.164
CC2D1B	-0.34
PABPN1	-0.228
SLC25A30	-0.596
SLCO1C1	-0.416666666666667
SLC22A5	-1.46875
KIF23	-1.12183333333333
SYN2	-0.838
ASPN	7.783
CENTG2	0.5725
QSOX2	-1.6893
FLJ10815	0.801666666666667
STK24	-0.4016875
SPEG	0.1878
STK10	0.310666666666667
DACT2	-2.128
AAAS	-0.46675
SSX3	-1.77125
ABCD3	0.1957
C4orf12	0.098375
PARVG	1.53816666666667
FIG4	0.865
C9orf46	0.28175
TMCO6	-0.533
IGHMBP2	0.034
DUS2L	0.6165
FAM3C	-0.09025
TMEM16D	-2.050125
DCTN4	0.8035
KCNH3	-0.119
EIF2AK2	1.42025
AP1S3	0.422
CST4	0.4775
PAM	-0.4934375
NUTF2	0.10475
CITED2	-0.2115
SLC39A4	-0.54325
C2orf52	-0.5155
GRM3	-0.819
C12orf49	0.626375
CCDC49	0.3608
GRAMD1B	-1.002375
FNDC4	-0.46125
SIAH2	0.7625
GDPD4	0.02375
C21orf87	-0.00212500000000002
ATP5A1	0.0388333333333333
C16orf63	-0.0345
LOC388135	0.538333333333333
ATP5J2	-0.636
MMP3	2.73525
EMID2	-0.03425
CRHR1	0.293
WDR70	-0.024
C13orf31	1.99075
ZFAND1	-0.1795
CCL18	4.09883333333333
C3orf49	0.143
RINT1	-0.4215
KIAA0408	-1.67683333333333
F13A1	4.3968
SLC10A1	-0.003
OGN	1.56675
GIPC2	-2.62183333333333
XPO6	-0.0403333333333333
LCE1A	0.3275
FMR1	0.7286
LOC374920	-0.26375
DUSP3	0.47025
ANKMY1	0.4585
C7orf50	-0.79825
BBS9	-0.1318
UNC119B	0.138875
C9orf72	0.114125
MGC35440	0.552
ENTPD6	-0.59175
PPP1R2P9	-0.42925
ERCC4	0.43975
FAHD2B	-0.1675
HMHA1	-0.679
HACL1	-1.10225
RAD23A	0.0615
FAM83B	-0.814
PPP5C	-1.15683333333333
RNASEH2C	-0.048875
C9orf153	-0.41325
SCAMP4	0.5
GHITM	0.0234
NDUFB7	0.751125
ADCYAP1	-0.115666666666667
SP110	3.19233333333333
MAP3K7IP2	0.4305
DHH	0.322
AGRN	-0.227642857142857
WDR33	-0.352666666666667
CEP290	1.17783333333333
PRPS1L1	-1.67283333333333
KLRA1	-0.769
GPR97	-0.1815
CHD7	0.00100000000000001
TLR10	0.71075
SLC30A8	4.549
HIC1	1.201
IAPP	0.0545
RXFP4	0.2805
GP1BB	0.82
SHQ1	0.479
NKX2-3	0.403
API5	-1.0335
FTHP1	0.8675
MOV10L1	0.528
TRIM6-TRIM34	2.4135
ADHFE1	0.05475
FAM117A	-0.78875
DDI1	0.3534
CDON	-0.277666666666667
TRIM73	-0.2495
IGKC	1.674
MMP14	-0.1095
DYNC1LI1	1.0255
C11orf66	-0.01475
TRBV3-1	-1.122
FASTKD5	0.119
BIVM	-0.37675
LHX4	0.02425
CXCL2	-1.4272
RAB2B	0.0735
IZUMO1	-0.53075
MAP3K15	-1.85975
FAM19A2	0.656
ZC3H8	-0.393833333333333
ZMAT1	0.974
SPINK5L3	-3.27925
SLC10A6	0.8295
APPL2	-0.627375
CARD10	-1.01566666666667
LOC402176	-0.311625
EEF1D	0.6084
RAB6A	0.4782
C12orf5	-0.56425
PAPOLG	0.34825
MSRB2	0.37875
BCR	0.537055555555556
PUS3	-0.16825
TIAM2	-0.1355
ZNF317	0.2345
CHD2	0.0518571428571428
FZD5	-2.29668181818182
NUDT8	-2.3505
ZNF763	0.252
PRC1	-0.421111111111111
ABCB9	1.362
SPATA3	-0.039
TRAK2	0.729625
STAB1	2.856625
LRRTM2	0.305833333333333
psiTPTE22	1.029
DBI	0.14325
SERPINA11	-2.1215
NAT5	0.7515
C20orf58	-2.596
RPS6KA4	-0.0556666666666666
FLJ90650	-0.88825
TGFBRAP1	0.15825
CHRDL2	0.353875
FAHD2A	-0.3465
CNTN1	-0.01625
BBS4	-0.1654
TMEM181	-1.05475
MINPP1	-0.91775
MPHOSPH6	-1.12058333333333
HOXC10	2.1468
ITPKB	0.762375
CLPTM1L	0.358125
MEOX2	0.0851666666666667
ATP6V0C	1.082
PRPF8	0.143833333333333
TMC5	2.399
FKBP3	-0.179
PLEKHB2	-0.041625
OR4D6	0.4365
ZNF544	-0.2889
D2HGDH	-0.180625
RPL18A	-0.6292
HEL308	-0.541
MPP6	-4.0465
TCERG1	-0.874
KRT16	-2.5265
KLF17	-1.41175
KLF5	-1.727
CDR1	1.748875
VCX3A	-1.3035
FBLN2	1.3725
C14orf104	-0.816
HBE1	-4.5869
OR4S2	0.5315
C1orf108	-0.4105
ROBO4	3.17383333333333
CPEB4	1.1665
C11orf80	-1.01816666666667
BCKDHA	-0.1535
MYOC	-0.47
GIF	0.2875
CKMT1A	1.7455
RPL3	-0.2874
THBS1	2.99475
APOO	1.048
ARMCX1	0.73625
HSZFP36	1.484
SNAPC5	-0.1975
EIF4ENIF1	0.3205
ZNF433	1.093
TNFRSF21	-0.787625
TMPRSS7	0.327
SPATA18	0.6809
HPDL	-2.3675
MKL2	1.0409
TBX3	1.18207692307692
C21orf93	0.0801666666666667
DAXX	0.1455
ELMO1	0.03975
RGS13	0.554166666666667
TAF11	-1.2425
UNC13A	0.426875
LOC653314	0.0828
ORC3L	-0.2385
IMAA	-1.866
TARBP2	0.01575
CABIN1	-0.0564
TRIOBP	-0.01475
HIST1H2AC	1.4375
RGS22	-0.459166666666667
NCOA1	0.572
IL25	1.5285
SNCG	2.813
GPR6	-0.16
AMDHD1	-0.975833333333333
CHEK2	0.1255
C6orf142	-1.54075
DRD4	0.63175
C14orf68	-1.42425
GDF11	-0.22825
SEMG2	0.724
CD247	-0.658
CDAN1	-0.3335
RBMX2	0.162833333333333
TGS1	0.0905
OIT3	0.589
SYF2	-0.18775
MCM4	-0.5165
PKHD1L1	0.284125
CEP192	-0.680666666666667
IFT88	1.05275
RPL9	-0.642214285714286
RAB32	0.227125
DDX43	-1.977
P2RX2	0.228833333333333
OR5D18	0.2785
UBE1	0.103583333333333
SLC24A1	0.552375
ARHGAP5	0.711
CETP	-0.6845
KIAA1731	-0.5815
SLC9A4	0.5315
PTPN6	1.2855
BAHD1	0.4375
GRIK3	0.2745
CACNB2	-1.0226
PDE10A	-0.43125
DGCR14	0.31125
PCDHB9	-0.919333333333333
RHOQ	0.803166666666667
MAP3K4	-0.253
KTI12	-0.098
RPL23AP13	-0.27425
GNG11	-1.25
CLCN3	-0.368666666666667
GPAM	-0.532
VSTM2A	2.0345
SLAMF7	3.70066666666667
INTS2	-0.12
PPP2CA	-1.3191
LRP12	0.564
SEC14L2	-0.0378888888888889
DKFZP586H2123	1.32775
MC3R	-0.052
CIRH1A	-0.81
HIST1H2AB	1.24983333333333
POLH	-0.25675
MGC16703	-1.58083333333333
SNAPC2	-0.0155
FILIP1L	1.707
RASGRP4	0.43
LRRC1	1.47425
GAS1	0.72825
PRAC	-0.579
DGKA	-0.146666666666667
NT5C3	-0.461
PEG3	-1.78566666666667
NADK	-0.15425
PRR17	-0.45375
LOC374569	-0.513
SGSH	0.453
NLRP8	0.1335
GALT	-0.4396
MCF2	-0.3
ZNF263	0.49975
TACSTD1	1.9985
TYR	-6.418
ATP6AP2	0.7535
RNUXA	-1.06175
ABHD10	0.2152
GDPD2	-0.45
SLC35C1	-0.759
UBE2A	0.600375
HERC5	-0.514666666666667
FAM112B	-3.98883333333333
FBXL16	0.80725
DKFZP434A0131	-0.44075
ELA3A	-2.5675
RBM41	-0.7225
HAO2	-0.3765
RNH1	-0.649375
SHANK2	0.964666666666667
OSBP2	-0.22825
DAK	0.6785
C3orf58	-0.137416666666667
TCL1B	0.016
KBTBD2	-0.83425
SUGT1L1	-0.034
UBE2E2	-0.753833333333333
MYL9	1.872125
CDC23	-0.0323333333333333
PBXIP1	0.8415
CXorf40B	1.59
NBL1	0.5665
RTBDN	0.516
RAB11FIP5	0.18925
TTTY13	-0.6775
SCOTIN	0.5225
SOHLH1	-0.738166666666667
CDKN1A	-0.171928571428571
NCK1	0.23775
ZNF550	0.5205
SAPS3	0.34325
SPIN3	0.420666666666667
MAGEE2	0.225
MIS12	0.1965
OR8H2	0.027
KIAA0774	0.892
UNC5D	-1.9565
CUL7	-0.694333333333333
LIPC	-2.7045
DIO1	4.37475
C20orf11	0.3953
CTRL	-0.11025
HS3ST2	2.23325
PAK4	0.447166666666667
CCRL1	3.22375
RNF10	0.551
ZNF567	-0.4755
ZNF660	-0.0125
TCEAL3	1.58975
MAGOH	-1.91233333333333
CENPB	-0.271666666666667
C19orf7	-0.319
LOC388965	0.488
ZCCHC13	0.237
JMJD1A	-0.3829
HIST1H4H	1.507
TBRG1	-1.1526
GPC3	-2.465375
TAF1C	-1.08
EBNA1BP2	-0.2615
CIAPIN1	-0.195
PDGFRA	-0.583111111111111
CSTB	-0.385375
CENPI	-0.7935
GTF2E2	-0.482333333333333
RPP21	0.18525
CCNF	-0.207833333333333
KCNQ3	0.3105
FAM79A	1.155
SLC22A12	0.2135
NOVA1	2.93966666666667
FZD3	1.0592
AKAP8	0.10925
SOCS5	-0.067625
CFDP1	-0.7555
DLG5	0.659
PGM5	-0.413666666666667
C1orf144	0.07075
HDAC10	-0.995
RND2	-0.02675
C20orf199	-1.05275
RNMT	-0.025875
SLURP1	0.40525
ASTN1	-0.628
SH3BGR	0.9285
MYCL1	-0.816625
ZHX1	0.8135
CENPK	-1.72475
FOSB	0.3301
LOC643406	-0.15725
C2orf59	-0.435
TMEM135	0.7435
SLC27A2	0.769
KRT33A	2.025
OVOL1	1.9
PAMCI	-4.11216666666667
S100A7	-1.1495
ZNF789	-1.732
HARS2	0.22875
RPL23A	-0.852833333333333
TCF23	0.023
UPF3B	-1.101375
C17orf78	0.248
HLA-DOB	0.731166666666667
C14orf142	-0.107666666666667
TEKT5	1.48716666666667
DMWD	-0.2185
POLD1	-1.1365
GSCL	0.089
CALD1	0.2736
SCRT1	0.465833333333333
AIG1	1.30125
UNC84B	0.0885
ZNF404	-2.16425
TMED6	-3.303
KIAA1462	0.778
LRRC27	0.927833333333333
PYGO1	0.439
