Hybridization REF	TCGA-AO-A03R-01A-21R-A034-07
MED22	-0.499142857142857
ETV6	0.715666666666667
CHAC2	-1.4785
CD300E	0.8935
CEBPB	0.37875
ZNF398	0.1005
LRCH3	-0.1815
HMGA1	-1.38316666666667
CAPN7	-0.5315
MGC5566	-2.93833333333333
CCL3	2.82775
NANOS1	-1.050125
ZFYVE19	0.168
APITD1	-0.412833333333333
PARD3	-0.874
IRAK4	-0.0123333333333333
SERPINI2	0.3185
CEP170L	-2.01775
TTC9	1.852875
MYOM3	-1.04575
MLPH	1.975125
LOC222699	-0.8395
NRG1	-0.744583333333333
TBC1D9	3.36754545454545
TTK	-1.09916666666667
ZNF557	0.2056
DDX41	-0.679
FANK1	-0.4225
UBE2D2	-0.220875
PSMB10	0.232625
MYH7B	1.001
GABARAPL2	-0.916875
MARVELD2	2.2675
DGCR2	0.7155
UNC45A	-0.0476666666666667
C6orf72	-0.2055
ZNF683	4.24
GIT2	-0.381375
CASK	2.1295
C14orf161	2.3655
LRRC44	0.14075
TIFA	1.023125
UTP11L	-0.393375
C6orf65	-1.6785
FDPS	-1.036
DUSP9	-1.6223
SLC17A8	0.8065
OR51G1	-0.016
NANS	0.2925
OLFML1	1.08875
ATP10B	-0.2295
NPAS3	0.4535
PRKCA	-2.7258
GGA2	-0.4150625
LCE4A	0.4845
SPANXN3	-0.014
CCDC115	1.41525
SDCCAG3	-1.46075
GLIPR1L1	0.899
TTC1	-0.455
C17orf76	-1.02225
MAD2L2	-1.355
HIPK1	0.3584
LRRC3B	-0.167333333333333
CLN3	-0.923
C17orf47	0.2465
FMN2	-2.0815
TUBB1	-0.112285714285714
WAPAL	0.8655
C3orf21	-0.579375
SCN5A	-0.4651
SMYD1	0.30675
BEX5	0.0365
ZNF192	-0.691
SEC22A	-0.765166666666667
GRIA2	0.524538461538462
KIAA0825	-1.44175
NUSAP1	-0.504636363636364
LANCL1	-0.713125
C15orf40	-1.0731
ZNF645	0.09975
GPR61	0.32525
NLRP14	0.2235
SNX21	-0.137
C1QTNF8	0.2185
C17orf46	0.59925
IFNA8	1.3465
SPRR1B	-0.8645
FLRT1	0.03875
SNX17	-1.11033333333333
ASB2	0.1055
HBG1	-5.583
RPRML	-1.226
JOSD2	0.606833333333333
PLSCR3	-0.3955
SPOCD1	-1.28883333333333
RAB39	0.033
GHRH	0.674
ITIH5L	-0.0695
C17orf37	0.95825
SMCR8	0.962
DPY19L2P3	0.382333333333333
IL11RA	-0.322833333333333
GDF3	-3.897
RPS6KB1	-0.25875
DNAJC19	0.8614
TOP1	-0.23525
CRCT1	0.4605
MPST	0.3745
DPM2	-0.019875
FAM38B	-1.59033333333333
SLC18A1	-1.891
FARP1	0.886833333333333
PAX7	-0.15025
TUBD1	-0.56225
GNL3	-0.410875
BTG2	1.82313333333333
NDUFS6	-0.703
C1orf79	-1.2825
ERAL1	-0.47525
ECHS1	0.67525
VPS4A	-0.526833333333333
CYP11A1	-0.189125
ABCC6	-1.57564285714286
PBX4	-0.668
MOSC1	-0.0405
NCF4	-0.1115
HYMAI	0.7445
NAGPA	-1.0995
OTOP2	-0.131
ACOT12	0.19975
MTHFD2L	-0.823
LOC441376	2.40575
C19orf34	-0.1
RAB1B	-0.10675
ALDOAP2	-0.7165
NTRK1	-1.8
ARTS-1	-0.7755
SLC6A11	-0.955
NAP1L2	0.00475000000000001
CNGB1	-0.127166666666667
EPB41L4B	1.13483333333333
FAM134B	2.948125
HS3ST3A1	-2.01316666666667
CPXM2	4.59625
SIRPB2	0.0705
CHORDC1	-0.319666666666667
TRIB3	-2.04383333333333
SLC2A5	0.98775
C2orf49	-0.7835
DDX5	-0.6315
OR5L1	2.713
ANAPC4	-0.604666666666667
ZSWIM1	0.097
LOC93622	0.432
KCNK3	-0.1045
RP11-35N6.1	-1.123125
ZFP161	0.00266666666666667
AQP9	1.1925
SLC15A2	-0.6295
MREG	0.876666666666667
OR9I1	0.5575
PDLIM2	-0.652375
ADAM7	0.3515
GSTCD	-0.123666666666667
WDR21A	-0.548375
SLC12A8	0.691166666666667
TMEM174	-0.077
IGSF3	-0.91475
LRRN1	-1.05025
LOC402117	0.074
SRPK1	-1.01516666666667
LY6K	-1.154
NFIA	1.1225
PTCD3	-1.108875
LEP	3.1685
PCDH21	0.0291666666666667
MAPKAPK2	0.0917142857142857
NMNAT1	0.150833333333333
LHFPL2	0.264625
C9orf43	0.14075
DIP2A	-0.845166666666667
ACTR8	-0.814125
CCDC34	-1.3555
PTPN22	-0.600875
ITGA3	-0.802
FAM129C	1.2295
RABGGTA	0.1
UNC45B	0.501
KIAA1033	-0.12
ZNF510	0.439333333333333
CYP2D6	-0.128333333333333
SLC26A10	-2.442
STX8	-0.79075
LUZP1	-0.12475
WDR89	0.352166666666667
EIF4G3	-0.2976
C5AR1	0.46625
ZNF623	0.83
A2M	0.872
TGM7	-0.047
GRPEL1	0.0816666666666667
LMNB2	0.2258
ROCK2	-0.303833333333333
SNX16	1.614625
CCDC66	1.141
ANXA3	0.2275
KIAA1609	-0.76275
EED	-1.20575
RNF32	-0.228833333333333
HES1	1.7202
CLC	-0.2235
ISL1	-0.138166666666667
KIAA0528	0.389
MANEA	-0.094625
C1orf61	-3.351
hCG_2001000	0.08775
RAPGEF6	0.6157
KIAA0020	-0.624166666666667
NEIL1	1.33175
C16orf45	-1.498375
RBM10	-0.225333333333333
C10orf125	-1.999625
MRS2L	0.134
DNAH17	-0.7435
C19orf10	-1.0805
C1orf160	1.6455
SLFN12	-0.56775
EXOC3	-0.573333333333333
HIST3H3	0.60975
NCOR2	-0.464
TNFRSF9	1.27775
MFSD8	-0.07975
ALX1	-2.8106
NOL1	-0.5095
PODN	1.739
TIAL1	-0.9245
HIST1H1E	1.99725
NPY6R	0.66275
TM4SF4	-0.01575
CORO2A	-1.16575
ETNK2	-0.214166666666667
APOE	0.4202
ANGPT4	2.1615
HDGF2	-0.094
G30	1.5095
ST8SIA4	-0.527375
F2RL1	-1.551125
FAM19A4	-3.735
CCAR1	0.25175
B3GNT7	-0.123
OPHN1	-0.0988
DSCR6	2.64
C21orf13	-0.00683333333333333
GAS2L1	0.4515
RFX3	0.151166666666667
COPS4	-0.654875
BCHE	-3.2185
BCL2	2.4845
HBZ	-2.81866666666667
ARL13B	0.445375
MAPBPIP	0.738875
MYO15B	0.145875
SPZ1	1.37425
KIAA1324	1.628
PLCL2	-0.837
C4orf29	-1.388
WDFY2	-1.42075
ZNF284	-0.4015
NAALADL1	0.426
DUSP5	-0.266833333333333
PXDN	-1.39275
SLMO1	0.16475
TNXB	0.8656
BIRC7	-0.88375
A4GALT	0.4235
TIMM22	-0.0445
FAM110C	-0.67775
TOMM34	-1.146625
ABHD9	0.373
ADAM32	-0.9415
CRHBP	-0.1385
AQP2	0.584
LOC130355	0.93775
ZNF187	-0.378666666666667
ZNF816A	0.1135
F7	1.23225
CNOT1	-0.7114
SLC13A4	-0.75975
ZBTB11	-0.02775
B3GALT5	-0.5255
EXOC2	-0.198
IRS1	1.0467
TMEM1	-0.568833333333333
MRPL34	0.0906666666666667
SAMM50	-0.72
CDC42EP3	-0.0015
HSF2	-1.5457
MFN2	-0.20875
TSPAN7	-1.06966666666667
NUCB1	0.284166666666667
RHOH	2.109
ARL16	-0.777
TACR1	-0.0645
SFRS5	0.101666666666667
SNX25	0.377
RHBDF1	0.155833333333333
PCDH18	1.43116666666667
HMG1L1	-0.222
MYO5C	0.643375
MAPK10	-0.7515
LDHAL6A	-0.123833333333333
NUDT12	1.396
NCAM1	0.1045
GLIS2	2.041
GGTL4	0.68875
DAPP1	-0.1515
ATF7	0.463875
KIAA0748	-0.472
NFIL3	-0.01225
TM6SF1	-0.8219
SEZ6	-0.2075
NANOS3	0.5165
DNAJA3	-0.672166666666667
CLDN6	-1.425
CIITA	2.5064
EPHA4	-0.351666666666667
FANCC	0.3645
CMTM3	-1.04675
PSG3	-0.36075
MRPL15	0.349
C21orf59	-0.96625
PLCXD2	0.111
C2orf34	-0.3115
UBE2L6	0.043375
MED14	-0.244
HP1BP3	-0.2556
C6orf208	-0.0435
TPBG	1.14825
OSR2	0.612625
XPC	0.0471666666666667
KLHL7	-1.9825
CCR3	-0.0355
AGTPBP1	-1.145
PCSK6	-0.734666666666667
STAT5A	-1.4056
FAM18B	-1.09725
LONRF2	2.26733333333333
PTPN2	-0.36275
SF3A3	-0.788333333333333
EFCBP2	-0.28075
HCFC1	-1.17333333333333
AHNAK	1.01165
ACTR5	-0.29275
KIF14	-1.22014285714286
TENC1	1.436
HEATR5B	0.738
YIPF2	0.00583333333333336
MYEOV2	0.427666666666667
DUSP18	0.51175
KIAA1012	0.44375
AHR	1.30583333333333
C17orf53	-1.122
PTPRH	-3.64075
ATP6V1C1	0.5619
TAS2R3	-0.1485
LOC440356	-1.0255
COQ10B	-0.124
PSMF1	0.163333333333333
SORBS2	2.76958333333333
NFE2L2	0.472
TMCO7	-0.67775
SH3PXD2A	0.2588
SH2D2A	-0.0765
SPINK5	-1.929
MRPS24	-1.1885
OPA3	0.870875
TRAF7	-0.707333333333333
C4orf35	0.312166666666667
MT1G	0.443625
MGC39545	1.64525
HS1BP3	-0.373888888888889
OR2B2	0.2335
CHRM4	0.2655
SFRP2	0.72675
RIC3	0.50925
ART1	0.318
C6orf1	0.5395
DUS4L	-1.78525
C10orf104	0.04775
TNFAIP6	1.19
RTEL1	-0.36425
CCT4	-1.4256
ZNF709	-0.255
CHMP6	0.645333333333333
UPP2	0.20125
CYP19A1	-1.699125
CD151	0.116666666666667
NDUFA13	-0.128666666666667
ARFRP1	-1.22766666666667
FAM26B	0.60225
CRYBA1	-0.883
MRPL41	0.825833333333334
NPFFR2	-1.292125
HRH2	0.323
SCAMP3	-0.250666666666667
MTMR6	-0.2418
MTG1	-1.37616666666667
UBTD1	0.56525
CRABP1	3.5875
FLJ33790	-0.2704
KIAA1908	-0.630333333333333
GPR158	-2.02125
PACSIN3	-0.698
OMD	1.006
CATSPER1	-1.00583333333333
HOXB8	-0.441625
FBXO46	1.387
OAS1	0.146666666666667
SVIL	0.45325
PHB2	-0.64175
ADCY3	-0.263
NDRG2	1.79216666666667
ERMAP	-0.3185
APBA2	-1.37183333333333
IGSF9	2.35725
WNT6	0.446769230769231
MYCBPAP	1.87775
ATP2B2	0.451142857142857
CPVL	-1.4393
TRAM2	-0.681272727272727
NOP5/NOP58	0.6455
ZNRF4	0.2015
TLK1	0.36775
MTMR12	-0.431785714285714
ZNF384	-0.216333333333333
FAM9B	-2.84375
RPN1	0.7036
PMVK	0.624
EIF3D	-0.3396
SIX2	0.07925
HPS1	0.721928571428571
RNF7	0.13425
PSKH2	0.1125
KCTD13	-0.466666666666667
CSMD3	-0.9644
FBF1	-0.461
IL8	-4.8435
SERPINB13	1.10108333333333
FBXL20	-0.973
BLR1	0.43975
SH2B1	0.3455
RFNG	0.272125
RAB20	-0.776333333333333
RBM7	-2.13225
POLR1A	-0.3965
TMPRSS4	1.4955
TAF9	-0.444375
TERF2	-0.634666666666667
TNFRSF1A	0.7095
ACADVL	-0.6995
GTF2H5	0.517
EDG8	0.940166666666667
C9orf140	-0.368375
UST6	0.29675
ZBTB8OS	-0.1415
ZNF710	0.621
GPR174	-0.6695
ATP6V0A2	-1.112
KIAA0319L	0.457166666666667
XKRX	-0.326
DOPEY2	0.9805
SDHD	-0.655666666666667
SUMF1	1.839
OSM	1.57975
OPN3	-0.34275
DAGLB	-0.3425
PPFIBP1	-0.8648
TRIM63	-1.4455
C10orf53	0.8905
LYPD3	0.283166666666667
BCL7A	0.464875
AGER	-0.7318
TCF19	-0.667875
SAT2	-0.72325
PFTK1	0.475333333333333
GABRE	-2.8715
C15orf38	0.4556
FIS1	-0.29
KCNV2	0.82975
CLPS	0.67475
PPCDC	-0.337625
FOXN2	0.479333333333333
NT5E	-3.3331
CD83	1.00625
IL18	-0.22875
VPS16	-0.4555
IGFBP2	1.0635
NOTCH2	0.48775
SIGLEC1	1.193625
CD93	4.7995
SULF2	0.263
CEP164	0.195
P53AIP1	0.291
TOR2A	0.0961666666666667
ZNF136	1.21075
MGP	3.4734
CCDC144A	-1.13425
TRPC1	-1.283
SMS	-0.684333333333333
MAPK7	-0.643333333333333
RRAGC	0.07025
PARD6A	-0.304833333333333
NUB1	0.917833333333333
SYNGR4	1.27625
OR11H12	1.2095
WIF1	2.360375
GCH1	-0.4145
OR11H4	0.1745
SLC44A5	-1.3955
GPRIN2	1.353
LOC401431	-0.7055
CPA4	-3.1844
MELK	-0.632777777777778
IL15RA	0.25975
CUL3	0.637625
HMBOX1	-3.65925
PODXL	-3.09975
CCT6B	-0.450666666666667
COMTD1	0.31825
MUC20	-0.475333333333333
GPX2	-2.198625
ITK	0.505
FBXL5	2.21975
C13orf27	-1.473
DEFA5	-0.2585
TRHDE	0.789
MTP18	-0.5445
UQCRQ	0.5353
ITGB2	1.33375
CSRP2BP	-0.6835
TAS2R44	0.342
PHPT1	0.49375
FAM44C	-0.78025
ERH	1.40425
MPHOSPH1	0.511333333333333
MORC1	0.1535
PARVB	-0.217
LAMA1	-1.95725
PGBD3	0.088
GIMAP6	4.02225
AREG	-3.46883333333333
LIPT1	-0.32275
MGC99813	-0.82775
C1orf201	0.657
GRIN2A	-0.5054
MAN2C1	-0.748625
NSUN5	-0.8925
SF3B5	-0.834
MYC	0.2451875
NRXN1	0.0281666666666666
ZNF18	-0.022
SPDYA	0.4955
SLC37A1	0.9265
DECR2	1.156
ANKRD38	-0.4255
SPTLC3	-1.484
SUPT16H	-0.174125
DTWD2	0.80725
ULBP1	0.324
ZADH1	0.554
OIP5	-1.03675
IL10RB	-0.4785
OTUB2	-0.641375
VWA3A	-0.0633333333333334
SPIC	0.220666666666667
OR6C4	0.342
PSCD4	1.16483333333333
DPY19L2P2	-0.5045
TRAPPC6A	0.0385
C21orf2	-0.534833333333333
CEMP1	0.94325
LIN7B	1.0005
E2F7	-1.09466666666667
VCP	-0.11975
LAMA3	1.43991666666667
BGN	1.1615
GPR160	0.837333333333333
COCH	-4.694
GPR81	2.15733333333333
APOBEC3F	-0.5045
tcag7.1017	-0.5765
C1orf32	0.4345
SCGB1D2	6.47275
FLJ43987	0.06
C6orf170	-0.49275
KLK9	0.4255
GPD1L	1.19675
VPS37B	0.33675
ATG3	-0.844833333333333
ADAMTS17	-0.3495
KLHDC2	-0.574166666666667
NDUFV2	0.052
BLK	-0.9995
MATN4	-0.998
GPM6A	1.123375
GBP4	4.2835
TMEM162	0.720833333333333
PKP2	-0.391
HRASLS	-3.31888888888889
MMP1	-4.99625
SFXN3	-0.9738
FSD1	-1.37766666666667
ST6GALNAC3	-1.489
CA12	3.4824
NCOA6	0.89875
C19orf58	-0.0709
PPP4R1	-0.210333333333333
MAN1A2	2.06083333333333
IKBKAP	-1.82275
UPF1	0.1875
KIAA1219	0.06025
WNT16	0.6458
SNW1	-0.273375
IL18RAP	2.58125
RPP30	-0.3245
CDC40	-0.438428571428571
SETD3	1.164
SLAMF6	0.03925
ELK4	-0.149
TRIM47	0.583833333333333
ACOX3	0.971875
TRIM6	-1.114
KIAA0372	-0.525833333333333
TP53AP1	1.026
SMURF2	-1.3905
ADAD1	0.6935
EBP	-0.3529
KRTAP13-2	-0.166
FLJ36874	-0.8715
TOR1A	-0.599666666666667
P2RY4	2.0655
GPBP1	-0.35825
TRPV1	-0.60575
ADAMTS12	-0.690166666666667
PES1	-0.205
ATG4A	0.201833333333333
MAGEA10	-4.087
WFS1	1.85875
CC2D1B	0.0381666666666667
PABPN1	0.46675
SLC25A30	-0.6195
SLCO1C1	0.0855
SLC22A5	2.9655
KIF23	-0.619333333333333
SYN2	0.2815
ASPN	4.65783333333333
CENTG2	0.46725
QSOX2	-1.6868
FLJ10815	-0.142666666666667
STK24	-0.49975
SPEG	0.2742
STK10	-0.4865
DACT2	-0.215
AAAS	0.44125
SSX3	-0.947
ABCD3	0.6289
C4orf12	0.41325
PARVG	0.8485
FIG4	0.3735
C9orf46	0.417
TMCO6	-0.599
IGHMBP2	-1.0235
DUS2L	-1.13183333333333
FAM3C	-1.2811875
TMEM16D	-1.630625
DCTN4	1.14125
KCNH3	-0.52425
EIF2AK2	1.471
AP1S3	-0.564375
CST4	1.025
PAM	-1.12226666666667
NUTF2	-0.61125
CITED2	0.0941
SLC39A4	1.46825
C2orf52	-1.6205
GRM3	-0.15825
C12orf49	-0.616875
CCDC49	-1.0058
GRAMD1B	-1.00375
FNDC4	0.236
SIAH2	1.812125
GDPD4	0.25175
C21orf87	0.251625
ATP5A1	-0.87
C16orf63	-0.77125
LOC388135	2.2495
ATP5J2	-0.06675
MMP3	-1.31075
EMID2	-0.11675
CRHR1	0.04725
WDR70	-0.2605
C13orf31	1.551
ZFAND1	0.19375
CCL18	4.24083333333333
C3orf49	-0.067
RINT1	-0.502
KIAA0408	-0.956666666666667
F13A1	4.2125
SLC10A1	0.238833333333333
OGN	1.14625
GIPC2	-0.994166666666667
XPO6	-0.761333333333333
LCE1A	1.6405
FMR1	0.4077
LOC374920	0.5865
DUSP3	-0.2875
ANKMY1	0.26225
C7orf50	-0.144
BBS9	-0.6012
UNC119B	-0.438125
C9orf72	-0.7255
MGC35440	-0.23725
ENTPD6	-0.459125
PPP1R2P9	-0.06225
ERCC4	0.4645
FAHD2B	-0.286
HMHA1	-0.184
HACL1	-1.06325
RAD23A	0.248166666666667
FAM83B	0.7
PPP5C	-0.244166666666667
RNASEH2C	-0.548625
C9orf153	-0.275
SCAMP4	1.274
GHITM	-0.0486
NDUFB7	0.84125
ADCYAP1	-0.0542
SP110	1.772
MAP3K7IP2	-0.95475
DHH	-0.25
AGRN	0.0343571428571429
WDR33	0.648833333333333
CEP290	0.5925
PRPS1L1	-2.47966666666667
KLRA1	-0.7795
GPR97	-0.158
CHD7	-2.35991666666667
TLR10	0.27775
SLC30A8	-1.8095
HIC1	0.243166666666667
IAPP	1.212
RXFP4	0.485
GP1BB	1.9565
SHQ1	-0.2445
NKX2-3	1.23366666666667
API5	-0.20525
FTHP1	-0.677
MOV10L1	-0.2732
TRIM6-TRIM34	1.23983333333333
ADHFE1	1.7445
FAM117A	-1.35425
DDI1	0.315
CDON	-0.7965
TRIM73	-0.3005
IGKC	4.5345
MMP14	-0.950916666666667
DYNC1LI1	0.080875
C11orf66	0.65475
TRBV3-1	-1.10875
FASTKD5	-0.98275
BIVM	-1.5135
LHX4	0.119
CXCL2	0.1528
RAB2B	-0.440833333333333
IZUMO1	-0.54575
MAP3K15	-1.453375
FAM19A2	0.763
ZC3H8	-0.475
ZMAT1	2.35975
SPINK5L3	-3.07233333333333
SLC10A6	-0.632
APPL2	-0.27725
CARD10	-0.527666666666667
LOC402176	-1.9595
EEF1D	1.6955
RAB6A	0.3245
C12orf5	-1.04825
PAPOLG	1.08175
MSRB2	0.6085
BCR	0.390444444444444
PUS3	-0.19325
TIAM2	-0.038
ZNF317	0.0858333333333333
CHD2	-0.0444285714285714
FZD5	-0.535090909090909
NUDT8	-0.85225
ZNF763	0.2005
PRC1	-0.356777777777778
ABCB9	0.4535
SPATA3	0.805
TRAK2	0.117
STAB1	2.43125
LRRTM2	0.104666666666667
psiTPTE22	2.046
DBI	0.306
SERPINA11	-1.98425
NAT5	-0.81525
C20orf58	-2.549
RPS6KA4	0.0198333333333333
FLJ90650	-0.282
TGFBRAP1	0.71925
CHRDL2	0.202375
FAHD2A	-0.7555
CNTN1	-0.319
BBS4	-0.8628
TMEM181	0.4045
MINPP1	-2.29625
MPHOSPH6	0.0201666666666667
HOXC10	-1.4593
ITPKB	0.9215
CLPTM1L	-0.505
MEOX2	0.373833333333333
ATP6V0C	0.83425
PRPF8	-0.9685
TMC5	3.417
FKBP3	-0.113
PLEKHB2	0.17725
OR4D6	0.77
ZNF544	-0.1523
D2HGDH	-0.12425
RPL18A	-0.484
HEL308	-0.55
MPP6	-3.86375
TCERG1	-1.30025
KRT16	-0.981666666666667
KLF17	-0.6505
KLF5	-0.273
CDR1	1.960875
VCX3A	-4.137
FBLN2	0.89825
C14orf104	0.02725
HBE1	-4.8633
OR4S2	0.565
C1orf108	-0.926833333333333
ROBO4	3.817
CPEB4	2.224375
C11orf80	-0.672
BCKDHA	-0.000999999999999982
MYOC	0.73375
GIF	-0.7435
CKMT1A	1.685
RPL3	0.1309
THBS1	1.36
APOO	-0.50825
ARMCX1	0.29625
HSZFP36	1.27125
SNAPC5	-0.58075
EIF4ENIF1	0.83325
ZNF433	-0.05275
TNFRSF21	-1.27275
TMPRSS7	0.902
SPATA18	0.5697
HPDL	-2.246
MKL2	1.7005
TBX3	3.23215384615385
C21orf93	0.565166666666667
DAXX	0.26475
ELMO1	0.15175
RGS13	1.1686
TAF11	-1.51675
UNC13A	-2.31542857142857
LOC653314	-0.8131
ORC3L	-0.4675
IMAA	-2.5545
TARBP2	-0.44675
CABIN1	0.5724
TRIOBP	0.7975
HIST1H2AC	1.250875
RGS22	0.7315
NCOA1	1.25216666666667
IL25	0.728
SNCG	2.4175
GPR6	0.599
AMDHD1	-1.90816666666667
CHEK2	-0.457
C6orf142	-0.526
DRD4	1.03375
C14orf68	-0.8725
GDF11	-2.435
SEMG2	0.0065
CD247	0.54875
CDAN1	0.517
RBMX2	-0.6955
TGS1	0.64725
OIT3	0.0905
SYF2	-0.5655
MCM4	0.300375
PKHD1L1	-0.169
CEP192	-0.383333333333333
IFT88	-0.66675
RPL9	-0.185214285714286
RAB32	-1.264875
DDX43	-2.506
P2RX2	0.232
OR5D18	-0.6355
UBE1	0.0965
SLC24A1	0.390625
ARHGAP5	0.40725
CETP	0.6645
KIAA1731	0.0688333333333334
SLC9A4	-0.1425
PTPN6	1.63325
BAHD1	1.17925
GRIK3	0.428
CACNB2	-0.5757
PDE10A	-2.2385
DGCR14	0.1215
PCDHB9	-0.9145
RHOQ	0.643
MAP3K4	-0.77525
KTI12	-0.355333333333333
RPL23AP13	-1.1265
GNG11	-0.254
CLCN3	0.587
GPAM	-0.564625
VSTM2A	1.126
SLAMF7	2.8565
INTS2	-1.91675
PPP2CA	-0.7161
LRP12	-0.6334
SEC14L2	1.04444444444444
DKFZP586H2123	3.5985
MC3R	-0.223
CIRH1A	-1.69183333333333
HIST1H2AB	2.2345
POLH	-0.484875
MGC16703	-0.8816
SNAPC2	0.423
FILIP1L	1.52275
RASGRP4	0.0185
LRRC1	1.52575
GAS1	0.38975
PRAC	-0.757
DGKA	0.0723333333333333
NT5C3	0.512
PEG3	-1.87233333333333
NADK	-0.329
PRR17	1.782
LOC374569	0.0965
SGSH	0.6975
NLRP8	0.406
GALT	-1.1338
MCF2	-0.0535
ZNF263	-0.423
TACSTD1	0.6345
TYR	-6.0464
ATP6AP2	-0.029
RNUXA	0.144
ABHD10	-0.3624
GDPD2	-0.19725
SLC35C1	0.80725
UBE2A	0.231
HERC5	-0.535333333333333
FAM112B	-4.09066666666667
FBXL16	-0.92025
DKFZP434A0131	-0.345
ELA3A	-1.8135
RBM41	-1.528125
HAO2	-0.11
RNH1	-0.206
SHANK2	0.2025
OSBP2	-0.313625
DAK	-0.6365
C3orf58	-0.0548333333333334
TCL1B	-0.617
KBTBD2	-0.46525
SUGT1L1	-0.18225
UBE2E2	-1.26066666666667
MYL9	2.1935
CDC23	-0.709666666666667
PBXIP1	0.7721
CXorf40B	0.5945
NBL1	-0.34125
RTBDN	1.1985
RAB11FIP5	0.941375
TTTY13	-0.1815
SCOTIN	0.05275
SOHLH1	-0.248666666666667
CDKN1A	-0.196714285714286
NCK1	-0.255
ZNF550	-0.501
SAPS3	0.420416666666667
SPIN3	0.441833333333333
MAGEE2	0.237
MIS12	-1.1585
OR8H2	0.144
KIAA0774	-1.6648
UNC5D	-1.264
CUL7	-0.975833333333333
LIPC	-3.41466666666667
DIO1	4.228
C20orf11	-0.1733
CTRL	-0.33875
HS3ST2	0.6415
PAK4	2.13916666666667
CCRL1	0.52
RNF10	0.77475
ZNF567	-0.206
ZNF660	-0.891
TCEAL3	1.54275
MAGOH	-0.954666666666667
CENPB	0.264833333333333
C19orf7	0.865375
LOC388965	-0.34325
ZCCHC13	0.7735
JMJD1A	-1.3732
HIST1H4H	2.311
TBRG1	-0.6526
GPC3	-0.999375
TAF1C	-0.742375
EBNA1BP2	-1.23416666666667
CIAPIN1	-1.01
PDGFRA	-0.410944444444444
CSTB	-0.926625
CENPI	-1.3275
GTF2E2	-1.45716666666667
RPP21	0.15825
CCNF	-1.0425
KCNQ3	0.985
FAM79A	0.2885
SLC22A12	1.2545
NOVA1	3.4465
FZD3	0.3604
AKAP8	-0.6465
SOCS5	0.00325
CFDP1	-2.09975
DLG5	0.764
PGM5	-0.0231666666666666
C1orf144	0.126
HDAC10	-0.844
RND2	-0.29875
C20orf199	-0.65525
RNMT	-0.966125
SLURP1	0.692625
ASTN1	-0.138625
SH3BGR	-0.318
MYCL1	-1.099
ZHX1	1.12933333333333
CENPK	-2.7105
FOSB	2.6772
LOC643406	0.777
C2orf59	-1.233375
TMEM135	-1.13975
SLC27A2	0.326
KRT33A	1.902
OVOL1	0.582375
PAMCI	-2.5915
S100A7	0.7695
ZNF789	-0.644
HARS2	-0.1665
RPL23A	-0.744833333333333
TCF23	0.0635
UPF3B	-1.08975
C17orf78	-1.1135
HLA-DOB	0.813833333333333
C14orf142	0.3615
TEKT5	0.8445
DMWD	0.467
POLD1	-1.167
GSCL	0.8485
CALD1	0.1207
SCRT1	0.796666666666667
AIG1	1.5525
UNC84B	0.1375
ZNF404	-0.03425
TMED6	-2.73725
KIAA1462	-0.323
LRRC27	1.50883333333333
PYGO1	0.252
PIGU	-0.916833333333333
ALAS2	-3.85533333333333
WRNIP1	0.508875
CNNM3	0.5155
ZNF2	-0.067
ST3GAL5	-1.78533333333333
MRPL23	-0.062
TSSK6	-0.61
PSMA6	-0.86525
C16orf70	-0.80175
KIAA1602	-0.2005
ALMS1	0.581
DCN	0.447
TMEM132D	-0.41975
SUCLG2	0.282
ABHD14A	1.3825
DEXI	0.0426666666666667
AMPD2	-1.93416666666667
IFNAR2	-0.000333333333333343
CYB5A	1.6514
TLOC1	-0.24685
NXF5	-0.986
NRBF2	-0.686875
KCTD3	1.24975
ITGAE	-1.66116666666667
SLC30A3	-2.0135
ZRF1	-1.2035
IFRD2	-0.253375
XAB1	-0.93
PYCR2	0.0556666666666667
SERPINB3	-3.4225
TMLHE	-0.4655
GEFT	-1.043125
ABCA5	-0.029625
EMR4	-0.575
TSFM	-0.38975
HIST3H2BB	1.3625
ARHGEF19	0.8655
TSPAN17	-0.137166666666667
ABCC8	1.4985
MAP1S	0.350833333333333
C22orf36	1.00025
BNC2	-1.37342857142857
HIST1H4A	-0.416
NDUFS3	-0.097
WDR3	-0.581833333333333
XKR4	-0.10225
TTC33	-1.09207142857143
STMN2	1.46575
CPN2	-0.5445
HSPC105	0.831375
PCOLCE2	-2.494
C3orf55	-0.23
KLHDC9	2.11333333333333
TBC1D23	0.160875
ATXN2L	-0.780333333333333
MAP2K3	-0.13725
SCAP	0.05725
ZNF486	1.263
C20orf96	1.36
NARS	0.3565
ADAMTSL1	-1.084
PRCC	1.16883333333333
CCDC126	1.90741666666667
ZNF675	0.71875
CALCOCO1	0.83325
ANKRD43	5.902
CWF19L2	0.143666666666667
ZBTB32	1.56733333333333
BRAF	0.01875
ODF4	0.42825
MGC14376	0.1115
HORMAD1	-1.26633333333333
AAK1	0.716333333333333
PEBP1	1.59741666666667
TNFSF5IP1	-0.00516666666666667
DKFZp564N2472	-0.32975
RMND1	0.497125
IGKV1-5	5.243
COL1A2	1.25866666666667
SERPINA5	-3.825875
AANAT	0.519
C19orf21	0.519166666666667
GEMIN5	0.40575
UBR4	-1.25233333333333
LTBP3	1.04316666666667
