Hybridization REF	TCGA-AO-A03O-01A-11R-A00Z-07
SPOCD1	-0.967333333333333
RAB39	0.285
GHRH	1.40466666666667
ITIH5L	0.4565
C17orf37	0.74825
SMCR8	0.6025
DPY19L2P3	-1.169
IL11RA	1.391
GDF3	-3.50783333333333
RPS6KB1	-1.1075
DNAJC19	0.6021
TOP1	0.31825
CRCT1	-0.1585
MPST	0.357
DPM2	0.653875
FAM38B	-2.6825
SLC18A1	-2.20633333333333
FARP1	0.9985
PAX7	1.193
TUBD1	-1.3745
GNL3	-0.452625
BTG2	1.87673333333333
NDUFS6	-0.26125
C1orf79	-1.61125
ERAL1	0.12375
ECHS1	1.12275
VPS4A	-0.665166666666667
CYP11A1	-0.541125
ABCC6	-1.23735714285714
PBX4	-1.7865
MOSC1	-0.346125
NCF4	1.259
HYMAI	0.8165
NAGPA	-0.101125
OTOP2	0.53275
ACOT12	-0.256
MTHFD2L	0.521875
LOC441376	1.1365
C19orf34	0.097
RAB1B	-0.3365
ALDOAP2	0.3915
NTRK1	-1.61466666666667
ARTS-1	-1.3146
SLC6A11	-0.8795
NAP1L2	0.985
CNGB1	0.2535
EPB41L4B	-0.356333333333333
FAM134B	2.4935
HS3ST3A1	-1.595
CPXM2	3.67025
SIRPB2	-0.1125
CHORDC1	-1.45416666666667
TRIB3	-0.288833333333333
SLC2A5	1.1715
C2orf49	-0.805166666666667
DDX5	-0.1785
OR5L1	0.542
ANAPC4	-0.670166666666667
ZSWIM1	0.987
LOC93622	0.225875
KCNK3	1.0425
RP11-35N6.1	-1.960375
ZFP161	-0.0395
AQP9	3.98575
SLC15A2	1.34116666666667
MREG	0.284666666666667
OR9I1	0.167
PDLIM2	-0.251125
ADAM7	0.2285
GSTCD	0.199
WDR21A	1.20775
SLC12A8	1.84266666666667
TMEM174	-0.33525
IGSF3	0.7935
LRRN1	1.571
LOC402117	-0.195
SRPK1	-0.938666666666667
LY6K	-2.2626
NFIA	2.912
PTCD3	-0.233125
LEP	1.52866666666667
PCDH21	-0.8828
MAPKAPK2	0.2875
NMNAT1	-0.763166666666667
LHFPL2	0.377625
C9orf43	-0.247
DIP2A	-0.0201666666666667
ACTR8	-0.60125
CCDC34	-0.3535
PTPN22	-0.651875
ITGA3	-1.407125
FAM129C	1.2015
RABGGTA	0.874
UNC45B	0.99725
KIAA1033	-0.28875
ZNF510	-0.489666666666667
CYP2D6	-0.225166666666667
SLC26A10	-0.553
STX8	0.03175
LUZP1	-0.152625
WDR89	0.219833333333333
EIF4G3	-0.2681
C5AR1	1.1635
ZNF623	2.196
A2M	-0.05975
TGM7	-0.2765
GRPEL1	-0.258833333333333
LMNB2	-1.2687
ROCK2	-0.173166666666667
SNX16	0.170625
CCDC66	-0.5945
ANXA3	-4.3295
KIAA1609	0.00325
EED	-0.9695
RNF32	0.325333333333333
HES1	-0.1486
CLC	0.965166666666667
ISL1	-0.7055
KIAA0528	-0.794125
MANEA	0.362125
C1orf61	-2.5565
hCG_2001000	0.64975
RAPGEF6	0.5758
KIAA0020	-1.12916666666667
NEIL1	0.67875
C16orf45	-1.15125
RBM10	-0.599333333333333
C10orf125	0.177625
MRS2L	-0.76975
DNAH17	-1.07175
C19orf10	-0.60625
C1orf160	0.42525
SLFN12	-0.06375
EXOC3	-0.00650000000000001
HIST3H3	0.27525
NCOR2	-0.3015
TNFRSF9	1.6105
MFSD8	-0.00500000000000001
ALX1	-3.9935
NOL1	-1.285
PODN	1.8475
TIAL1	-0.72475
HIST1H1E	-0.105
NPY6R	0.52225
TM4SF4	-1.26125
CORO2A	-0.08425
ETNK2	2.33816666666667
APOE	1.1576
ANGPT4	0.3955
HDGF2	-0.06875
G30	-0.3365
ST8SIA4	-0.234
F2RL1	-1.3505
FAM19A4	-1.536
CCAR1	-0.598
B3GNT7	0.5915
OPHN1	-0.1144
DSCR6	0.5625
C21orf13	0.268666666666667
GAS2L1	0.779
RFX3	-0.632166666666667
COPS4	0.068375
BCHE	-5.9585
BCL2	1.155875
HBZ	-2.95483333333333
ARL13B	-0.230875
MAPBPIP	0.92525
MYO15B	-0.12275
SPZ1	0.7835
KIAA1324	3.98144444444444
PLCL2	-0.708125
C4orf29	-0.992
WDFY2	-0.705875
ZNF284	-1.974
NAALADL1	-0.161
DUSP5	1.20666666666667
PXDN	-0.42525
SLMO1	-0.498
TNXB	0.4941
BIRC7	-0.589
A4GALT	2.4735
TIMM22	0.36525
FAM110C	1.022
TOMM34	0.274625
ABHD9	0.03
ADAM32	0.5935
CRHBP	0.50025
AQP2	0.577875
LOC130355	0.853
ZNF187	-0.224666666666667
ZNF816A	1.0265
F7	0.732375
CNOT1	-0.5285
SLC13A4	-0.90875
ZBTB11	0.37125
B3GALT5	1.7715
EXOC2	1.50816666666667
IRS1	-0.9353
TMEM1	0.389666666666667
MRPL34	-0.677666666666667
SAMM50	0.08075
CDC42EP3	-0.6135
HSF2	-0.5586
MFN2	-0.17025
TSPAN7	-2.76083333333333
NUCB1	0.991083333333333
RHOH	-0.612
ARL16	-0.128
TACR1	0.213
SFRS5	0.0226666666666667
SNX25	-0.03175
RHBDF1	0.548166666666667
PCDH18	0.888666666666666
HMG1L1	0.13575
MYO5C	1.054
MAPK10	0.304
LDHAL6A	-0.440833333333333
NUDT12	0.178166666666667
NCAM1	-0.197875
GLIS2	0.695
GGTL4	1.14825
DAPP1	-0.36075
ATF7	0.4985
KIAA0748	-0.37175
NFIL3	-0.6085
TM6SF1	0.4256
SEZ6	0.1865
NANOS3	0.150833333333333
DNAJA3	0.2685
CLDN6	-2.541
CIITA	3.2311
EPHA4	-2.19975
FANCC	-0.30075
CMTM3	-0.979625
PSG3	-0.548625
MRPL15	0.0455
C21orf59	-0.25375
PLCXD2	0.26675
C2orf34	-0.5545
UBE2L6	2.540875
MED14	0.214666666666667
HP1BP3	-0.6955
C6orf208	-0.1685
TPBG	1.30175
OSR2	-2.069
XPC	0.622333333333333
KLHL7	-0.611083333333333
CCR3	-0.0466666666666667
AGTPBP1	-0.933166666666667
PCSK6	-1.9914
STAT5A	-0.5255
FAM18B	-0.51725
LONRF2	-1.99216666666667
PTPN2	-0.328
SF3A3	-0.831
EFCBP2	-0.327
HCFC1	-0.258
AHNAK	-0.39815
ACTR5	0.8255
KIF14	-0.892714285714286
TENC1	0.428
HEATR5B	0.4825
YIPF2	0.532
MYEOV2	0.724666666666667
DUSP18	1.66875
KIAA1012	2.3365
AHR	-0.303333333333333
C17orf53	-0.285666666666667
PTPRH	-4.02375
ATP6V1C1	1.624
TAS2R3	0.517
LOC440356	1.175
COQ10B	0.12125
PSMF1	0.171833333333333
SORBS2	-0.972333333333333
NFE2L2	-0.5315
TMCO7	0.66775
SH3PXD2A	-0.1489
SH2D2A	-0.12925
SPINK5	-1.8495
MRPS24	-1.1835
OPA3	0.462
TRAF7	0.542666666666667
C4orf35	0.344
MT1G	-0.376375
MGC39545	-0.20125
HS1BP3	0.28
OR2B2	0.808
CHRM4	0.088
SFRP2	1.52475
RIC3	-1.524
ART1	0.057
C6orf1	1.38275
DUS4L	-1.5385
C10orf104	-0.08275
TNFAIP6	1.569
RTEL1	0.8035
CCT4	-0.2793
ZNF709	0.1945
CHMP6	0.165166666666667
UPP2	0.58875
CYP19A1	-2.2495
CD151	-0.313666666666667
NDUFA13	-0.335333333333333
ARFRP1	-0.368666666666667
FAM26B	2.083
CRYBA1	-2.358
MRPL41	-0.208
NPFFR2	-1.844375
HRH2	0.5055
SCAMP3	0.516
MTMR6	-0.8547
MTG1	-0.522166666666667
UBTD1	0.846
CRABP1	-1.5965
FLJ33790	-0.0965
KIAA1908	-1.19016666666667
GPR158	0.20625
PACSIN3	0.399666666666667
OMD	2.59166666666667
CATSPER1	-0.845
HOXB8	-0.945375
FBXO46	1.689
OAS1	3.63233333333333
SVIL	0.8925
PHB2	-1.12875
ADCY3	-1.0115
NDRG2	2.08016666666667
ERMAP	0.3782
APBA2	-1.61333333333333
IGSF9	2.593
WNT6	0.0250714285714285
MYCBPAP	-0.80875
ATP2B2	-0.3438
CPVL	-0.4483
TRAM2	-0.654833333333333
NOP5/NOP58	-0.402
ZNRF4	-0.05975
TLK1	-0.149375
MTMR12	0.544428571428571
ZNF384	-0.7445
FAM9B	-3.2845
RPN1	0.5171
PMVK	0.90375
EIF3D	-0.3078
SIX2	0.372
HPS1	0.467
RNF7	0.07275
PSKH2	0.394
KCTD13	0.719833333333333
CSMD3	-0.9292
FBF1	0.312
IL8	-5.336125
SERPINB13	0.2317
FBXL20	0.30175
BLR1	0.41225
SH2B1	-0.454
RFNG	-0.054
RAB20	1.00433333333333
RBM7	-1.463
POLR1A	1.26
TMPRSS4	-1.8615
TAF9	-0.729
TERF2	0.155333333333333
TNFRSF1A	-0.141083333333333
ACADVL	-0.505
GTF2H5	0.627
EDG8	0.633833333333333
C9orf140	-0.6165
UST6	0.09275
ZBTB8OS	-0.598
ZNF710	1.0235
GPR174	-0.4595
ATP6V0A2	-0.689
KIAA0319L	0.636166666666667
XKRX	-0.811
DOPEY2	2.2819
SDHD	-1.42091666666667
SUMF1	3.23125
OSM	3.37175
OPN3	-1.346
DAGLB	-0.1855
PPFIBP1	0.6818
TRIM63	-3.204
C10orf53	0.4475
LYPD3	-1.293
BCL7A	0.248625
AGER	-1.28583333333333
TCF19	-0.527875
SAT2	0.4065
PFTK1	0.599333333333333
GABRE	-3.344625
C15orf38	0.289
FIS1	-1.1025
KCNV2	0.1225
CLPS	0.79175
PPCDC	-0.270625
FOXN2	0.139833333333333
NT5E	-3.0544
CD83	0.938
IL18	0.418625
VPS16	0.2845
IGFBP2	1.20166666666667
NOTCH2	-0.2695
SIGLEC1	3.82075
CD93	4.198
SULF2	-1.83075
CEP164	-0.452375
P53AIP1	-0.234
TOR2A	0.386666666666667
ZNF136	0.641
MGP	3.7114
CCDC144A	0.271833333333333
TRPC1	-2.625
SMS	0.361166666666667
MAPK7	-0.0085
RRAGC	0.60975
PARD6A	-0.989333333333333
NUB1	0.863833333333333
SYNGR4	0.6665
OR11H12	0.172
WIF1	-0.010875
GCH1	0.646
OR11H4	-0.111
SLC44A5	0.303
GPRIN2	0.681833333333333
LOC401431	0.04375
CPA4	-1.8176
MELK	-1.45022222222222
IL15RA	0.3495
CUL3	1.24775
HMBOX1	-0.194
PODXL	-2.74425
CCT6B	0.189166666666667
COMTD1	-0.2785
MUC20	-1.92933333333333
GPX2	-3.82775
ITK	-0.138
FBXL5	1.5645
C13orf27	-1.68875
DEFA5	0.5875
TRHDE	-0.459
MTP18	0.2805
UQCRQ	1.1482
ITGB2	1.89008333333333
CSRP2BP	0.136
TAS2R44	0.3895
PHPT1	-0.658125
FAM44C	0.04175
ERH	1.2455
MPHOSPH1	-0.541333333333333
MORC1	-0.3445
PARVB	-1.8405
LAMA1	-2.27183333333333
PGBD3	0.72825
GIMAP6	4.0665
AREG	-4.60466666666667
LIPT1	0.41825
MGC99813	0.19825
C1orf201	0.325833333333333
GRIN2A	-0.9845
MAN2C1	-1.079875
NSUN5	-0.6245
SF3B5	0.5775
MYC	-0.4491875
NRXN1	-0.960444444444444
ZNF18	-0.357
SPDYA	-0.24575
SLC37A1	1.561
DECR2	-0.0495
ANKRD38	-1.049
SPTLC3	0.676583333333333
SUPT16H	-0.228875
DTWD2	0.8105
ULBP1	0.2955
ZADH1	0.363166666666667
OIP5	-1.61125
IL10RB	-0.0535
OTUB2	1.564375
VWA3A	0.2105
SPIC	1.4345
OR6C4	0.1575
PSCD4	1.34616666666667
DPY19L2P2	-0.967
TRAPPC6A	1.06916666666667
C21orf2	-0.043
CEMP1	-0.03175
LIN7B	0.9585
E2F7	-1.1645
VCP	0.67475
LAMA3	-0.0220833333333334
BGN	0.9255
GPR160	0.519666666666667
COCH	-3.622
GPR81	2.608
APOBEC3F	-1.01975
tcag7.1017	-0.891
C1orf32	0.529
SCGB1D2	6.6825
FLJ43987	0.3685
C6orf170	0.81725
KLK9	0.3335
GPD1L	0.05625
VPS37B	0.1905
ATG3	-0.0101666666666667
ADAMTS17	0.37
KLHDC2	-0.159666666666667
NDUFV2	-0.89
BLK	-2.15475
MATN4	-1.088
GPM6A	-0.1205
GBP4	5.057
TMEM162	0.566333333333333
PKP2	0.3655
HRASLS	-3.14022222222222
MMP1	-3.444
SFXN3	-0.6429
FSD1	-1.755
ST6GALNAC3	-1.25666666666667
CA12	3.3803
NCOA6	0.156
C19orf58	0.0536
PPP4R1	0.114
MAN1A2	-0.0598333333333333
IKBKAP	-1.113
UPF1	0.111166666666667
KIAA1219	1.45875
WNT16	-0.00383333333333336
SNW1	-0.04975
IL18RAP	2.74675
RPP30	0.746875
CDC40	0.315142857142857
SETD3	0.225
SLAMF6	1.18425
ELK4	0.1615
TRIM47	-0.662666666666667
ACOX3	2.65275
TRIM6	-0.735625
KIAA0372	-0.257
TP53AP1	0.101125
SMURF2	-0.23325
ADAD1	0.2765
EBP	-0.501
KRTAP13-2	-0.316
FLJ36874	-1.33583333333333
TOR1A	-0.4195
P2RY4	1.1335
GPBP1	0.1225
TRPV1	0.491
ADAMTS12	-0.147166666666667
PES1	0.3135
ATG4A	1.0635
MAGEA10	-4.9875
WFS1	1.521
CC2D1B	-0.411666666666667
PABPN1	-0.034625
SLC25A30	-0.223
SLCO1C1	-0.553666666666667
SLC22A5	0.44025
KIF23	-1.2285
SYN2	-0.858
ASPN	5.6375
CENTG2	0.376
QSOX2	-1.7116
FLJ10815	0.239166666666667
STK24	0.0086875
SPEG	0.0002
STK10	0.538
DACT2	-2.479
AAAS	-0.79175
SSX3	-1.445625
ABCD3	1.1534
C4orf12	-0.851
PARVG	1.237
FIG4	1.31725
C9orf46	0.1265
TMCO6	-0.5455
IGHMBP2	1.04425
DUS2L	0.0998333333333333
FAM3C	-1.1470625
TMEM16D	-2.47242857142857
DCTN4	0.41975
KCNH3	0.2035
EIF2AK2	2.147
AP1S3	-0.597375
CST4	1.1665
PAM	-1.1059375
NUTF2	-0.328
CITED2	1.1725
SLC39A4	1.864
C2orf52	-0.368
GRM3	-0.27675
C12orf49	0.98125
CCDC49	0.2517
GRAMD1B	-1.32771428571429
FNDC4	-0.1805
SIAH2	1.894125
GDPD4	0.67775
C21orf87	0.9085
ATP5A1	0.0846666666666667
C16orf63	0.243125
LOC388135	-0.9065
ATP5J2	-0.847875
MMP3	-2.15875
EMID2	0.04
CRHR1	0.4155
WDR70	-0.5335
C13orf31	1.21575
ZFAND1	-0.157
CCL18	4.55283333333333
C3orf49	0.5835
RINT1	-2.9275
KIAA0408	-2.1675
F13A1	3.5161
SLC10A1	-0.0861666666666667
OGN	-0.11775
GIPC2	-2.5385
XPO6	0.202333333333333
LCE1A	0.6625
FMR1	1.0058
LOC374920	-0.31425
DUSP3	0.194875
ANKMY1	0.432
C7orf50	-0.1395
BBS9	-0.6731
UNC119B	-1.208125
C9orf72	-0.126
MGC35440	0.64625
ENTPD6	0.219375
PPP1R2P9	0.65275
ERCC4	1.121
FAHD2B	0.2195
HMHA1	0.604
HACL1	-0.60275
RAD23A	-0.0568333333333333
FAM83B	-3.36925
PPP5C	0.254666666666667
RNASEH2C	-0.797625
C9orf153	-0.776
SCAMP4	0.761875
GHITM	0.652
NDUFB7	-0.026875
ADCYAP1	-0.2056
SP110	3.83983333333333
MAP3K7IP2	0.667
DHH	0.2545
AGRN	0.992928571428571
WDR33	0.2755
CEP290	0.0698333333333333
PRPS1L1	-0.701166666666667
KLRA1	-0.686
GPR97	0.3705
CHD7	0.545083333333333
TLR10	0.8745
SLC30A8	-1.9245
HIC1	1.02916666666667
IAPP	0.7385
RXFP4	0.44425
GP1BB	0.94675
SHQ1	0.0035
NKX2-3	0.445333333333333
API5	-0.3435
FTHP1	-0.542
MOV10L1	0.156
TRIM6-TRIM34	2.5465
ADHFE1	1.99625
FAM117A	-0.32975
DDI1	0.0202
CDON	-1.08783333333333
TRIM73	-1.141
IGKC	5.098
MMP14	-1.23658333333333
DYNC1LI1	-0.8095
C11orf66	0.492
TRBV3-1	-0.70825
FASTKD5	0.44325
BIVM	-0.8255
LHX4	0.00175000000000004
CXCL2	-2.6865
RAB2B	0.3505
IZUMO1	-0.874
MAP3K15	-1.84025
FAM19A2	0.724666666666667
ZC3H8	-0.6125
ZMAT1	0.610125
SPINK5L3	-1.73875
SLC10A6	-0.3485
APPL2	-0.352
CARD10	-0.266333333333333
LOC402176	-0.684125
EEF1D	1.8686
RAB6A	-0.0779
C12orf5	-0.76925
PAPOLG	-0.11025
MSRB2	0.7345
BCR	1.21116666666667
PUS3	-1.0965
TIAM2	0.50425
ZNF317	0.103333333333333
CHD2	-0.287857142857143
FZD5	-2.48022727272727
NUDT8	-2.14125
ZNF763	0.2195
PRC1	-1.07455555555556
ABCB9	1.48733333333333
SPATA3	0.6945
TRAK2	-0.567875
STAB1	2.85525
LRRTM2	0.1755
psiTPTE22	0.99925
DBI	1.83425
SERPINA11	-1.54475
NAT5	0.2385
C20orf58	-2.35475
RPS6KA4	-0.169833333333333
FLJ90650	-0.16525
TGFBRAP1	0.56475
CHRDL2	-1.657375
FAHD2A	-0.113333333333333
CNTN1	0.061
BBS4	-0.3668
TMEM181	0.6865
MINPP1	-0.33275
MPHOSPH6	0.533416666666667
HOXC10	2.5352
ITPKB	0.32775
CLPTM1L	0.060375
MEOX2	-0.894333333333333
ATP6V0C	1.052125
PRPF8	-0.3055
TMC5	1.483
FKBP3	-0.01125
PLEKHB2	-0.24025
OR4D6	-0.012
ZNF544	-1.3821
D2HGDH	-0.19325
RPL18A	-0.0796
HEL308	-0.361125
MPP6	-3.79625
TCERG1	-1.35975
KRT16	-2.33966666666667
KLF17	0.30775
KLF5	0.181
CDR1	1.589875
VCX3A	-4.6945
FBLN2	1.498625
C14orf104	-0.25875
HBE1	-4.6404
OR4S2	0.842
C1orf108	-0.571166666666667
ROBO4	3.13383333333333
CPEB4	1.696125
C11orf80	-0.0475
BCKDHA	0.654166666666667
MYOC	-0.229333333333333
GIF	-0.3985
CKMT1A	1.397
RPL3	0.2354
THBS1	1.430625
APOO	-0.12025
ARMCX1	1.92675
HSZFP36	0.96875
SNAPC5	-0.16975
EIF4ENIF1	1.1635
ZNF433	0.557
TNFRSF21	-0.191
TMPRSS7	-0.00900000000000001
SPATA18	0.6408
HPDL	-1.4735
MKL2	1.7333
TBX3	2.11553846153846
C21orf93	0.738
DAXX	0.1855
ELMO1	-0.161
RGS13	0.642
TAF11	-0.2305
UNC13A	-2.55425
LOC653314	-0.1311
ORC3L	0.30275
IMAA	-2.6485
TARBP2	-0.54975
CABIN1	0.393
TRIOBP	0.08375
HIST1H2AC	1.72675
RGS22	-3.52916666666667
NCOA1	1.09666666666667
IL25	-1.017
SNCG	2.8205
GPR6	1.03
AMDHD1	-0.882833333333333
CHEK2	0.348875
C6orf142	-1.131
DRD4	0.71675
C14orf68	-1.102
GDF11	-1.7175
SEMG2	0.5165
CD247	0.2785
CDAN1	-0.0345
RBMX2	-0.232
TGS1	0.368
OIT3	-0.2185
SYF2	0.0165
MCM4	-1.709625
PKHD1L1	0.51875
CEP192	-0.869166666666667
IFT88	-0.5075
RPL9	0.284642857142857
RAB32	-1.241625
DDX43	-2.96875
P2RX2	0.368833333333333
OR5D18	1.0675
UBE1	0.399083333333333
SLC24A1	0.3895
ARHGAP5	3.38825
CETP	-0.5455
KIAA1731	-1.8655
SLC9A4	0.5725
PTPN6	1.2585
BAHD1	0.52
GRIK3	0.702
CACNB2	-1.1883
PDE10A	-0.98675
DGCR14	0.3205
PCDHB9	-1.16416666666667
RHOQ	-1.04433333333333
MAP3K4	-0.30625
KTI12	-0.34
RPL23AP13	-2.76575
GNG11	-1.3
CLCN3	0.1515
GPAM	-0.9325
VSTM2A	0.2285
SLAMF7	4.10316666666667
INTS2	-1.55575
PPP2CA	0.2596
LRP12	-0.434666666666667
SEC14L2	1.58855555555556
DKFZP586H2123	2.756
MC3R	0.186
CIRH1A	-1.36316666666667
HIST1H2AB	0.914
POLH	-0.55425
MGC16703	-0.9365
SNAPC2	0.3115
FILIP1L	0.04875
RASGRP4	0.719
LRRC1	0.956
GAS1	-0.41175
PRAC	-1.32825
DGKA	-0.46
NT5C3	-0.3815
PEG3	-0.884166666666667
NADK	0.043
PRR17	-0.08775
LOC374569	-0.25075
SGSH	-0.504833333333333
NLRP8	0.181
GALT	0.477
MCF2	-0.063
ZNF263	0.985
TACSTD1	1.33816666666667
TYR	-6.5102
ATP6AP2	1.343
RNUXA	-0.48775
ABHD10	-0.4076
GDPD2	-1.89225
SLC35C1	-0.5605
UBE2A	0.462125
HERC5	1.37866666666667
FAM112B	-4.40933333333333
FBXL16	-0.9715
DKFZP434A0131	-0.7195
ELA3A	-2.6585
RBM41	-0.90325
HAO2	0.76825
RNH1	0.20175
SHANK2	2.74283333333333
OSBP2	-0.84025
DAK	-0.731
C3orf58	-0.285
TCL1B	-0.38
KBTBD2	-0.223125
SUGT1L1	1.239
UBE2E2	1.20133333333333
MYL9	1.325125
CDC23	-0.0748333333333333
PBXIP1	1.5068
CXorf40B	1.7985
NBL1	0.97725
RTBDN	0.207
RAB11FIP5	0.057875
TTTY13	-1.0335
SCOTIN	0.795833333333333
SOHLH1	-1.44066666666667
CDKN1A	-0.634642857142857
NCK1	0.26275
ZNF550	-1.0985
SAPS3	0.0845
SPIN3	-0.332166666666667
MAGEE2	0.17875
MIS12	-0.633666666666667
OR8H2	0.266
KIAA0774	-2.4415
UNC5D	-2.8875
CUL7	-0.635666666666667
LIPC	-3.3625
DIO1	4.34025
C20orf11	0.6804
CTRL	-1.12625
HS3ST2	3.946
PAK4	1.71633333333333
CCRL1	3.422
RNF10	0.04075
ZNF567	0.40625
ZNF660	-1.313
TCEAL3	1.51975
MAGOH	-0.599
CENPB	-0.3685
C19orf7	0.497125
LOC388965	0.13975
ZCCHC13	0.3715
JMJD1A	-0.9816
HIST1H4H	1.1115
TBRG1	-1.8183
GPC3	0.057125
TAF1C	-1.09775
EBNA1BP2	-0.2345
CIAPIN1	0.49025
PDGFRA	-1.40788888888889
CSTB	0.081375
CENPI	-1.09533333333333
GTF2E2	-0.919333333333333
RPP21	-0.57625
CCNF	0.561833333333333
KCNQ3	0.4385
FAM79A	0.976
SLC22A12	0.706
NOVA1	-0.316833333333333
FZD3	-0.3572
AKAP8	-0.269
SOCS5	-0.4015
CFDP1	-0.68175
DLG5	0.51025
PGM5	0.0305833333333333
C1orf144	0.63625
HDAC10	-1.325
RND2	-0.78625
C20orf199	-0.67225
RNMT	-0.528
SLURP1	0.619625
ASTN1	-0.1625
SH3BGR	1.348
MYCL1	1.591625
ZHX1	0.667
CENPK	-2.413
FOSB	1.0183
LOC643406	-0.10325
C2orf59	-1.822
TMEM135	0.7265
SLC27A2	-0.64225
KRT33A	2.052
OVOL1	1.627875
PAMCI	-3.188
S100A7	-1.6645
ZNF789	-1.268
HARS2	0.7275
RPL23A	-0.5685
TCF23	0.55625
UPF3B	-1.747625
C17orf78	0.112
HLA-DOB	0.441833333333333
C14orf142	0.816
TEKT5	1.97516666666667
DMWD	0.3835
POLD1	-1.09733333333333
GSCL	0.00750000000000001
CALD1	-0.8827
SCRT1	0.192833333333333
AIG1	1.77425
UNC84B	0.00775
ZNF404	-2.836
TMED6	-3.388
KIAA1462	-0.1385
LRRC27	2.34666666666667
PYGO1	-0.7245
PIGU	0.1315
ALAS2	-3.72116666666667
WRNIP1	0.02825
CNNM3	1.2155
ZNF2	0.84425
ST3GAL5	2.10016666666667
MRPL23	-0.4305
TSSK6	0.4665
PSMA6	0.3035
C16orf70	-0.01025
KIAA1602	-0.05475
ALMS1	0.7315
DCN	1.27525
TMEM132D	-0.65175
SUCLG2	-0.37425
ABHD14A	0.51125
DEXI	0.852
AMPD2	-0.675333333333333
IFNAR2	-0.209333333333333
CYB5A	2.2757
TLOC1	0.25655
NXF5	-0.7835
NRBF2	0.098
KCTD3	1.01575
ITGAE	-0.647333333333333
SLC30A3	-1.837
ZRF1	-1.569
IFRD2	-0.911875
XAB1	-0.385
PYCR2	-0.0435
SERPINB3	-3.447
TMLHE	0.0615
GEFT	-1.5005
ABCA5	-1.671
EMR4	0.473833333333333
TSFM	1.877
HIST3H2BB	0.0285
ARHGEF19	2.534
TSPAN17	0.802166666666667
ABCC8	4.259
MAP1S	0.408666666666667
C22orf36	1.373
BNC2	-1.039
HIST1H4A	-0.03125
NDUFS3	-0.666166666666667
WDR3	-0.984666666666667
XKR4	-1.26425
TTC33	-0.664857142857143
STMN2	2.1475
CPN2	-0.9775
HSPC105	-2.18675
PCOLCE2	-4.1605
C3orf55	-0.1685
KLHDC9	2.83033333333333
TBC1D23	0.606125
ATXN2L	-1.125
MAP2K3	0.378833333333333
SCAP	0.2215
ZNF486	1.049
C20orf96	-0.98
NARS	-0.05425
ADAMTSL1	-0.721428571428571
PRCC	0.839833333333333
CCDC126	0.0939166666666667
ZNF675	0.29925
CALCOCO1	0.6185
ANKRD43	5.73
CWF19L2	-1.40966666666667
ZBTB32	2.31433333333333
BRAF	0.07325
ODF4	0.77425
MGC14376	0.0215
HORMAD1	-2.7052
AAK1	0.24325
PEBP1	0.6185
TNFSF5IP1	0.0465
DKFZp564N2472	0.52875
RMND1	2.567375
IGKV1-5	4.88225
COL1A2	1.62858333333333
SERPINA5	1.240375
AANAT	0.4985
C19orf21	0.198
GEMIN5	-0.03475
UBR4	-0.557833333333333
LTBP3	0.354166666666667
AMHR2	-2.7235
PROCR	-2.8105
MYBBP1A	-0.50475
C20orf39	-1.21
ZNF697	-0.531
PASK	-0.5526
ZNF776	0.7035
RFXDC2	0.134375
KIAA0467	0.0535
C10orf96	-1.11775
ZNF503	1.3855
GULP1	-1.48766666666667
KCNE4	-0.717833333333333
DKFZp434K191	-0.626625
LOC196913	-0.5645
BHLHB4	0.8935
CH25H	1.1595
LOC81691	-0.436
ALPL	0.313928571428571
COL12A1	0.50575
FOLR3	-2.72383333333333
GPR123	0.140375
TRIM62	0.861214285714286
ABLIM1	0.386
MAST3	-0.148
RHBDD1	0.877666666666667
LOC338809	0.161
RYBP	0.687
TTC26	-0.10075
ZNF22	-1.69416666666667
ISCA2	0.74575
RDM1	-2.96875
PIGM	1.24925
GNB3	-1.1815
ACTR2	0.102
HMGB1	0.47775
EDG1	1.82133333333333
SOAT2	-2.93025
OR10AD1	0.7555
RAP1GDS1	0.023
LCE1F	0.2025
ESM1	-0.640125
RCN3	1.173
CREBL1	-0.343
DBNL	0.005
PTGER3	1.18725
USP30	0.644666666666667
BCL2L12	0.3975
KIF26B	1.66375
ZNF416	-0.3105
ZNF225	-0.535
C17orf70	0.62875
ZNF554	1.1235
RAE1	0.7
TNIK	-1.13566666666667
ACTN3	0.487
MGC45922	0.948
CCNA1	-0.747666666666667
RYK	1.47216666666667
IL26	-1.11
LRP3	1.3045
QARS	0.48375
SOX7	0.253642857142857
BID	0.275625
OR2S2	0.335
CXCL14	5.973
C11orf47	-0.481
MGC29891	0.718833333333333
HSPB8	-1.0309
PRDM14	-2.51
NUFIP2	0.2955
MNAT1	-0.31725
ZDHHC2	-2.26725
MBNL2	-1.013375
ADD3	0.68025
CSNK2A1P	-0.37975
KLK6	-2.03666666666667
TMEM111	0.3753
KIAA1279	1.2225
NUBP2	0.6645
RAB42	-0.6965
ID3	-1.4187
TM9SF1	0.4335
MDP-1	-0.483
POU4F2	0.4175
IQCK	2.1215
C16orf14	-0.111
CAPN3	-1.4195
FAM43B	-0.640625
RECQL	-1.6825
AP1G1	-0.592
CTNNBL1	0.437833333333333
ECHDC1	-0.98
SMARCC1	0.2875
FOXQ1	-1.725125
GNAI3	0.514
POLG2	-1.5525
CD4	1.48175
ITLN1	1.18725
EBI2	4.28425
IRF1	1.48075
PTPRE	1.0793
