Hybridization REF	TCGA-BH-A0AY-01A-21R-A00Z-07
RAD51L1	-0.0763333333333333
TMEM54	0.118
LETMD1	-0.971111111111111
SLC6A17	0.2235
KRT75	-0.36
STT3B	-0.599166666666667
CD3EAP	0.5045
TMEM63A	0.65525
DUSP13	-2.5805
CD1C	-0.295333333333333
LASS2	0.7245
AVP	-0.275
PITPNM1	-1.62775
FLJ22795	-1.0615
MCTP1	-1.66925
TRIM68	-0.6245
UCK2	-0.4325
ABHD1	0.809
FAM50A	-0.113
RNASEH1	-0.917
PCP2	0.197
OR52H1	0.181
C20orf149	0.09225
RBP5	0.219666666666667
HYAL3	-1.0475
CLPB	-0.143
SMNDC1	-0.26425
DONSON	-1.51183333333333
FLJ27523	0.0403333333333333
BARHL2	-0.2004
SLC30A9	0.544833333333333
TMPRSS11B	-0.0723333333333334
E2F8	-1.72066666666667
CCDC25	-0.17775
C14orf48	0.153666666666667
C20orf116	0.349625
TSPAN11	0.341
YIF1B	-0.955833333333333
FAM12B	0.203333333333333
OR1L6	0.164
HPN	0.2334
NBN	1.16325
C14orf94	0.0538333333333333
OCLM	0.3745
ZSCAN18	-0.6708
L3MBTL	-2.54244444444444
TSTA3	2.5475
RAC1	0.981
C19orf15	0.454
NFE2	-4.505
KLK14	0.3385
ARSF	0.1055
MAST2	-0.404
AMICA1	2.49833333333333
GTF2A1	-0.58075
ATP1A3	-0.579
TC2N	2.9502
PNKP	0.366
ODZ2	-0.145875
MATR3	0.309875
S100P	-2.946125
KRT82	0.6935
CA13	-1.5343
PROZ	-1.37733333333333
AASDH	0.538857142857143
C19orf40	-0.3745
DCK	-0.354230769230769
FAM5C	-1.2185
SLC6A4	-1.441
MID1IP1	-0.36975
TESSP5	0.252
TMOD4	-0.172666666666667
DOCK2	-0.154333333333333
TUG1	0.219375
NUP214	-0.68275
DPYSL2	-0.120272727272727
GOLM1	3.03866666666667
MPFL	0.21975
SOX13	1.05325
SDCCAG8	1.1538
KEL	-1.93783333333333
NUP210L	-1.57375
GK	-0.7755
DNAJB1	0.815
ALPK3	0.2785
CHID1	0.0922
CYLC2	0.478833333333333
IKZF5	0.4165
C8orf51	2.0285
PPM1J	2.272
GIMAP8	3.55583333333333
GPR101	0.968
NR2F1	-1.481
ACAD8	0.28075
RBM35A	1.8285
GNAI2	0.0741666666666667
METTL8	0.017
SLC39A7	0.00525
FBXO8	1.0545
CAMK1	0.07
RFC3	-1.62125
FAM129A	0.0027142857142857
ILF2	-0.27875
FGFBP3	0.622875
NOM1	-0.705833333333333
PSMA3	-0.425
ASCC3	0.4878
ZYG11A	-0.63025
SOX21	-1.481875
LYRM1	0.4775
DEFB1	-0.208
LOC91431	-2.38733333333333
OR7C2	1.731
FAM46B	2.168375
TMEM18	-0.618875
ARHGAP30	1.66933333333333
TMEM86A	2.28183333333333
EPHA2	-0.937833333333333
C10orf46	1.6141
TCHH	-0.140166666666667
C3orf30	0.4728
LOC285636	-0.184333333333333
PAIP2	0.1335
CYP2U1	0.426
C12orf34	0.414
SARS2	-0.894666666666667
ZCWPW1	0.1835
SAMD12	2.581875
KIAA1430	0.270375
ACAT1	-0.57925
MEOX1	3.03866666666667
ADAMDEC1	5.59575
PHKA2	-0.83975
CARD11	-0.821666666666667
CALML4	0.43
TSSC1	-0.2585
TMEM45A	-0.0945555555555556
MPP7	1.357125
POU1F1	0.419666666666667
SLC2A13	0.1029
FBN2	0.926785714285714
ZC3H7A	-0.1222
LAIR2	-0.11875
ST3GAL1	0.837
LCT	-3.17325
GEMIN8	0.652333333333333
KLF16	0.1864
HIF3A	-0.0562
FAM44A	0.0856428571428571
AQP10	-0.8752
PLA2G2A	1.8485
FOLH1	0.876666666666667
C20orf186	0.45
MAPKAP1	-0.061125
SPRR2D	-0.9365
UBQLN4	0.0283333333333333
RSHL1	0.3432
PIAS3	0.198375
MRPL24	0.28925
GREB1	-0.304
FAM27E3	-2.1785
NUP62CL	-0.74125
NEUROG3	-1.0275
REEP3	1.181
MARK1	-0.317
LMBRD1	0.75375
PRPF19	-1.186
PNMT	-0.643833333333333
CTGLF1	-0.8875
SLC25A16	1.707
EIF2B3	-1.2525
RPA2	-0.61875
PAK6	1.13416666666667
CCDC26	-3.666875
SEMA3E	3.67475
MXD4	1.1314
TNFSF10	2.8969
SMARCB1	-0.528333333333333
DTX3L	1.2875
PLA2G4E	-0.205
PPAP2A	0.9775
ULK1	-0.543583333333333
TAS1R3	0.217
SLC2A3	-1.56418181818182
ARID3A	-2.29625
GNG5	-0.902
ACOX1	0.7813
KIF5B	0.49425
NUP153	-0.70725
MUC7	0.39
CSDE1	-0.124214285714286
CLPTM1	-0.12975
C3orf23	-0.154625
LRRC17	0.302166666666667
TTYH3	0.90525
ATP5B	-1.0285
ELF3	1.9145
CPSF3L	-0.0865
ZNF665	-0.0255
TLR6	0.668
GPI	-1.062875
RAD9A	-0.3835
NDST4	-2.53625
AGPAT3	0.386166666666667
MAGI3	1.47583333333333
ADORA2A	0.66125
CACNG7	0.472
CAMK2D	0.348357142857143
CCHCR1	-0.9585
RPS27A	-0.7675
OR10G7	0.529666666666667
GCM2	0.027
FAM135B	0.085
E2F1	-0.85475
PLCB3	1.32475
OR2AE1	0.2595
COIL	-0.075
CDC25C	-1.22583333333333
RAB11FIP2	0.784166666666667
TSC2	0.407
CTGLF5	-2.162
CCDC108	0.0724
OR13C4	0.09775
C10orf81	5.90625
PTPRB	2.2845
ACP2	0.39375
LAG3	0.40775
MRPL54	-0.40975
LOC201175	-0.925
ITGB1BP3	-1.58725
SPTAN1	0.0541666666666667
SIPA1L2	-0.18925
RCAN2	-0.126
CDX2	-0.251
ECOP	1.05375
ACTR1A	0.681428571428571
PPARG	0.407333333333333
BBS10	0.335666666666667
TMEM44	-0.93825
BPIL2	0.1115
CITED1	-0.64825
IRF6	3.226
PRDM4	0.624
RRP9	-0.803833333333333
OR10H4	0.36525
IL31RA	-0.5095
GNB1L	-0.613166666666667
MYBL2	-1.4485
ZNF407	1.0925
PPIG	0.0333333333333334
TTC18	1.00225
RPSA	-0.583
MAPT	1.124375
MRE11A	-0.122
C8orf37	0.591666666666667
RASGEF1C	-0.206
STBD1	0.6555
CTAG2	0.8225
MGAT5B	-2.445
ECM1	0.72075
RLN1	-0.486
PARP14	0.6631875
EPB41L1	0.9414
HOXA3	-0.619083333333333
MAGEA9	-4.814
RPS8	-0.241833333333333
RPS19BP1	-0.435
FOXJ2	0.629625
C10orf76	0.284625
IL17RE	0.4905
C10orf65	-1.5145
ZNF343	0.100833333333333
FBXO33	-0.3675
UHMK1	0.9878
LY6G6C	-0.57
FGF19	-1.49233333333333
C14orf128	0.1555
IFIT2	3.031375
TIGD1	-0.25625
S100G	0.6315
GUCY1B3	2.68
NR3C1	-0.4402
CORO1B	0.375
PARP11	0.201583333333333
DNALI1	4.24366666666667
OR4N4	0.34175
MAP2K6	-0.421833333333333
FSTL4	0.5315
ANKRD47	1.500125
TMEM171	-0.6295
PNLIP	0.71225
YY1	-0.526666666666667
CCDC138	-1.65166666666667
AASDHPPT	-0.1357
CKS1B	-0.5656
MCM3	-0.913833333333333
ANAPC7	-0.218833333333333
FAM110A	1.7315
CDC37L1	1.9245
THTPA	1.1055
NBPF20	-1.0375
WDR24	1.432
NPTX2	-2.41325
CBLB	0.327833333333333
CETN1	0.194166666666667
RPUSD1	0.82875
FAF1	-0.7225
CDK6	-2.708
HMX2	-0.1465
CSK	-0.401166666666667
TEAD2	0.958
SNAP25	-0.67775
TUFT1	1.2237
TMTC3	1.24666666666667
LCK	-1.23625
SGOL1	-1.39683333333333
AKTIP	0.98
FURIN	0.615875
SOX12	-0.307333333333333
DEFB103A	-0.73725
RAMP1	2.63825
KIR3DX1	0.556
GAS2L3	-0.35325
PDE8A	-1.1056
EDN3	-0.144
GMIP	0.9775
SF3A2	0.2985
FN3KRP	0.13725
SMAD7	0.71375
RHBDD2	0.9885
OR11H6	1.272
PPP1R3B	0.8338
C9orf23	0.38675
CADPS	-0.596
GOLGA8A	-4.653
TMEM57	0.883
RGL3	-0.5545
S100A14	0.028
FGFR2	0.356625
XRCC3	-0.50175
RTN4RL2	0.434
MGC3771	1.915
GH2	0.278
BTBD2	-0.27675
LMO2	0.53575
RDBP	-0.503625
ACRBP	-1.329
AMY2A	0.0635
DUOXA1	-0.00749999999999999
PTK7	1.65066666666667
TWF2	0.676166666666667
FAM80A	-1.877
TNNI2	-2.408
GLT25D1	0.353
OCC-1	-0.87
CYC1	-0.021
RPL22	0.0379090909090909
MORN3	0.9725
DISP1	0.62425
PRB2	0.0655
CHUK	-0.1745
HR	-0.22275
CCDC134	0.042125
DENND4B	-0.72725
C14orf130	0.69975
RAB33A	-0.986
DCST2	0.045
TNMD	0.9285
PEX7	1.02875
FAM62A	-0.00237500000000002
SRD5A2L	0.87725
IL22	0.164
RPS26	-1.13716666666667
HOXC5	0.7245
SPATA6	0.66425
FLJ38482	0.436875
ZNF234	0.802
C18orf22	0.70475
SPATA22	1.0355
THOC1	-1.11125
CYP7B1	3.39275
KCNC3	0.09225
C8orf42	0.2085
ALDH1B1	0.286833333333333
CCDC100	-0.3426
ARMC4	-1.99725
FAM18B2	-0.42075
SLC44A1	1.16975
FBXO17	-1.663
C6orf107	-0.26725
C19orf29	-0.84975
ZC3HAV1L	0.00875
PARP6	-0.4932
SULT2A1	-4.26325
C1orf159	-0.306
TMC1	0.241333333333333
CHST14	0.21725
GAMT	-0.166166666666667
SMCP	-0.336833333333333
TSPAN33	-0.427166666666667
MIDN	0.105625
NOX4	3.562
RNASEN	-0.7124
TBX1	1.204
SALL2	-0.48
C10orf35	2.1245
CYP2E1	0.417875
LRFN2	2.52333333333333
ACO1	-0.433666666666667
IQCG	1.2854
MEGF9	2.03575
TM7SF4	2.24175
PLEKHA1	0.813866666666667
STK33	-2.62225
C1orf210	1.953
SNUPN	-0.0229
KIAA0406	-0.5964
C20orf29	0.1655
TMEM55B	-0.3235
OSTM1	-0.7119375
CLCN7	0.204
OTP	-0.60525
FLJ23049	-0.23425
HEATR4	0.68
MAP3K10	0.121
PCDHGA9	0.4435
AMDHD2	0.66575
LCTL	-0.848
PDCD2L	-1.01025
CABLES2	-0.07675
SLC5A9	-0.52575
CLCA2	-1.34133333333333
MGC16025	-0.817
STRAP	-0.655833333333333
C20orf196	-0.966
RRBP1	0.675666666666667
NAT13	-0.58475
MAT2B	0.167125
CSNK1D	-0.686833333333333
KIR3DL1	0.25725
PRKAG3	-0.0865
ZNF599	-0.077
PRM3	1.2485
PER2	0.739166666666667
ASPHD1	-2.6335
PRMT6	0.341
KCNE1L	-0.344076923076923
FAM118A	-0.689666666666667
TAF4	-0.8665
NDUFB6	-0.20275
TRIM9	-1.09481818181818
PMFBP1	-0.4005
KY	0.38
DKFZp762E1312	-2.11645454545455
CSMD1	-1.40275
TBP	-0.280333333333333
OR1Q1	0.546166666666667
RETNLB	0.22875
HPGD	1.90607142857143
DNAJC12	-1.617
FKBP1B	-1.8135
ANKRD24	-0.232833333333333
CXXC5	0.979333333333333
IL3	-0.0405
DRAM	1.1698
PTCH1	-1.495875
TP53BP1	-0.18625
SLC17A7	0.323625
COL25A1	-1.0505
AMACR	0.123333333333333
RHCG	-0.54975
VPS13A	-0.580416666666667
FAM55D	0.548
PRPF38B	-0.890416666666667
OSBPL6	1.05375
PFDN5	0.8403
CMTM6	0.806875
KCNK12	-1.02133333333333
RP2	0.376
C16orf52	-1.858
PICK1	-0.5065
IFNE1	-0.7482
SEMA4B	0.40625
TYRO3	-1.20125
OR12D2	0.4595
CSNK1A1	0.5079
FANCF	0.0685
LONP2	0.188625
TBL1Y	-1.3775
LDOC1L	-0.233375
CCNC	0.27125
C3orf60	-0.44475
CHKA	-0.81475
UBAP1	0.021
MAP3K1	0.337
ANKRD9	-1.307
FAM92A1	-0.0458333333333333
GAB2	0.269375
AZU1	-0.3695
DIS3	-1.06016666666667
C21orf109	-1.3465
IQCB1	-1.033
SPATS2	-0.546166666666667
EFCAB3	0.113
PRB3	0.5225
FUZ	-0.123166666666667
ZNF813	0.093125
BMPER	-0.1455
HEG1	0.533125
ALS2CR11	-1.76925
SURF2	0.1625
PSMC1	-0.165416666666667
OR2D2	-0.151
SLC7A8	1.61433333333333
C4orf40	0.027
SPATA7	0.17325
MAZ	-0.1355
PIN4	0.7445
PDE1A	0.42925
TAF6L	-0.2585
OR2T34	0.4675
KIAA0284	0.525
ACADS	-0.241454545454545
MKRN2	-0.6905
C18orf56	-2.5655
MS4A6E	1.1885
GALNT4	-0.4591
C22orf31	-0.422
FLJ36070	0.187
PSME4	0.2765
TFG	-0.2636
EPHX2	1.14425
ANXA5	0.134
KRTAP1-1	0.0503333333333333
BATF	2.32725
KARS	-1.2605
MSTP9	0.0405
GPR26	0.812125
CCDC72	0.0725
TEF	1.17466666666667
FOXK1	-0.4229
PRLHR	0.02
EMX1	2.82375
C11orf30	-0.65725
ICK	0.322875
THSD7B	0.20725
C21orf100	1.429
DUOX1	-0.328
EFCAB4B	-0.25275
UBE2G2	-1.25916666666667
C3orf54	0.184
PARP1	-0.74025
FAM60A	-2.55366666666667
C6orf146	-0.96225
OR9K2	0.404
DDX55	-1.44133333333333
RPS15	-0.610333333333333
ZNF618	0.737375
DKFZp686D0972	1.2885
SSPO	0.0485
SHFM3P1	0.6785
CPA6	-1.10725
JAG2	1.0835
DEFA3	0.3785
PPBPL2	0.526166666666667
CD34	4.74425
SLCO4A1	-3.17825
AFG3L1	-2.29183333333333
SHD	0.01375
RP13-122B23.3	-0.844
PRKCSH	-0.734166666666667
DPH5	0.0616666666666667
HLA-F	2.008
TBC1D4	-0.465
RIG	-0.0146666666666667
GLUD1	0.0103333333333333
HNRPCL1	0.936375
HBXIP	-1.0135
RNF207	0.098
APIP	-0.2775
PLA2G3	-2.8105
CCDC84	-1.8015
MYLIP	0.0946153846153846
PHIP	-0.032
AARS2	-0.111166666666667
DHX32	0.55825
SCAPER	-0.931833333333334
MEN1	-0.0911428571428572
NIP7	-0.9565
FLJ25404	0.342
FASTKD3	-0.98775
TMEM158	-2.52258333333333
RARA	1.85725
BDH1	-0.283
ANKRD16	0.62075
CARM1	0.3505
SS18	0.460666666666667
IKZF2	0.131916666666667
MYD88	0.670875
PML	0.53735
TAF1A	-1.483
CBFB	-0.85775
HIST1H3H	-0.912333333333333
C7orf29	-1.92375
COMMD4	-0.988833333333333
DPP3	-0.88575
DAB2	1.451625
LOC388882	-0.744
YPEL4	-0.23125
AGBL3	0.53275
LRP6	-0.1838
SERPINH1	0.614833333333333
TLE1	0.4515
CD244	0.706666666666667
ZDHHC15	-1.5035
MGLL	0.2796
PLDN	-0.0465
LOC654346	1.706
FAP	3.5115
GPR37	-0.9395
SCARA5	2.95066666666667
EBF4	0.910818181818182
LSM6	-0.285
MLLT1	-0.479
SLC5A12	-0.102666666666667
A2BP1	-1.63333333333333
COPS5	1.028
TPM4	-0.083
TNFSF4	1.8115
ACADSB	1.45844444444444
HERPUD1	-0.44875
BCL2L11	-0.281
CEP78	-0.904375
CDCA3	-1.300625
WBSCR19	-0.2448
MYO1A	-1.634
PPEF1	3.17116666666667
LOC440348	-1.32025
CPEB2	1.098375
BPTF	-0.382166666666667
RPL21	0.373875
GSX2	0.2595
ADPRH	1.42666666666667
C17orf68	0.329333333333333
KCNS1	-0.7265
MLLT6	-0.1231
PIWIL4	0.60875
RNF26	-0.5305
RAP1B	0.4265
ADAMTS1	2.2622
ZNF571	0.40325
P2RY6	0.9155
TRIM21	1.00033333333333
CADM3	0.07725
NLRC5	0.524333333333333
ADRA2B	0.832666666666667
LOC90835	0.526375
PCF11	-0.36
LOC400451	1.0255
GLTSCR1	0.3188
C17orf88	0.1935
CDH16	-1.60025
FGF7	2.922
PCSK4	1.80983333333333
NPC1L1	-1.08583333333333
TAT	0.179
TBCA	-1.1165
MGC33407	0.35725
GPR115	-0.9625
CYGB	0.7325
FNBP4	-1.32916666666667
C12orf43	-0.21075
CBL	-0.3187
CLECL1	1.695
PPAPDC1A	2.00775
WDR25	0.481666666666667
SGCA	0.5275
C22orf29	1.0548
YIPF1	1.317
GALK2	-0.3585
RAB3B	-3.26075
LOC440087	-0.15375
UCP1	-0.195
REEP5	1.34225
FADD	-0.3956
FOXA1	2.98475
CACNA1A	0.387833333333333
ABI1	1.1625
GRIN2D	0.1495
SLC1A4	-0.772666666666667
LOC401127	-0.3055
HINT2	-0.09375
PLD4	-0.0461666666666667
ZNF286A	-1.22625
ENY2	0.553
IL1F6	0.49
PXDNL	1.9475
C20orf79	-0.376
TNFSF13B	3.59866666666667
DENND3	0.83525
JARID1D	-2.22725
HIST1H2AK	0.145875
LOC93349	0.3545
SSH1	-0.7564
ENSA	-0.30875
LOC219854	0.756333333333333
CKAP2	-1.422
DKFZP564J102	0.270833333333333
MGC87315	0.248166666666667
HNRPAB	-1.271
AMH	-1.1475
ZNF526	0.285
BRUNOL5	-0.1395
CACNG3	0.1958
TRPM1	-1.435
PPP2R1A	0.201625
COL2A1	-1.67025
DDN	0.0876666666666667
FLJ25770	1.44345454545455
HK2	-0.815
ELOVL6	-1.202
MDK	-0.54525
EPHX1	1.68725
RASSF2	0.866125
DKFZP434B0335	-0.33225
DLX3	0.629375
PRTN3	-0.1725
AVPR1A	1.4785
C21orf125	-1.447
TNFAIP8	0.310833333333333
GNB2L1	-0.25725
CALCRL	2.86425
SCGB2A2	8.5795
UBXD7	-0.5305
ZNF674	-0.4825
TMEM35	0.761125
BRSK2	-0.773125
HECTD3	0.2605
TMEM188	-0.5835
LGALS9	2.076
SCARB2	1.30883333333333
USP34	-0.299083333333333
C17orf28	1.61825
ZDHHC23	-1.42625
AQP12B	-0.025
SLC16A3	-1.72275
APLP2	0.724875
ITIH2	-4.831
MICAL3	0.095875
TNNI3K	0.0915
HDAC2	0.613
PRR7	-0.3605
THBS2	1.475125
LOC751071	0.114166666666667
CA2	-0.186833333333333
RANBP17	-1.07775
RLN3	0.34175
CRYZ	0.1495
GBAS	1.12433333333333
TAS1R1	-0.44425
MPZL3	0.1665
PCDH8	-1.90533333333333
HSP90B1	-0.360916666666667
KCNK15	0.192
TNIP2	0.172166666666667
GPR146	0.954
NOL6	-0.01275
SPC25	-2.55511111111111
STEAP2	3.14407142857143
VAMP3	-0.149666666666667
TCIRG1	0.05225
ZP4	-0.2545
PARL	0.2055
TRIM39	0.482166666666667
KIAA1305	1.46925
CRNN	0.314166666666667
GRN	0.2355
HSH2D	-2.0455
SCAMP1	0.6463125
KIAA1913	1.60475
PTS	-0.07675
BANP	0.0858571428571429
PRKACG	0.61425
ADCY6	0.852
C16orf46	0.418
CYP51A1	-0.456375
DDC	-4.6645
ANPEP	-0.561333333333333
PROM1	0.424666666666667
SIGLEC10	1.593
COPG	0.885
FAM26E	2.196125
TRIP4	0.317
SNX3	0.515
C1orf175	0.184333333333333
PPY2	0.1575
C14orf152	0.4415
FTSJ1	-0.526333333333333
DST	-0.26955
LOC554235	0.01175
GLRX5	-0.03875
C20orf12	0.6146
CAB39	0.228833333333333
MSH2	-1.07
PIP4K2C	0.1715
CYLD	0.8225
WTAP	0.8186875
MGAT4A	1.37677777777778
TSC22D4	-0.3487
CHRM2	-1.4355
PPYR1	0.242166666666667
CCNH	-0.772166666666667
RRM1	-0.9545
ECAT8	-3.2325
LOC400120	0.4615
GABRA4	-0.346833333333333
C14orf4	1.13116666666667
C1orf59	0.78825
CTDSPL	0.436583333333333
NHEDC2	-0.7845
PDE11A	-0.2815
KLHL29	-0.6365
CD5	0.1071
TSPAN9	1.6776875
WDR67	0.02725
THUMPD1	1.0469
C18orf17	0.25425
CLYBL	0.0691666666666667
FLJ13231	-0.74475
CMBL	-0.306375
LECT2	0.23825
NKAPL	2.11433333333333
LOC654780	0.4715
OR4C6	0.047
RAB30	3.053
TSSK4	-0.2585
TMEM163	0.613
OSBPL11	0.703666666666667
GNB5	-1.23233333333333
CCL21	0.782
C1orf121	0.3855
FMO2	2.337
RPTN	0.1465
MSTN	0.2935
VCL	-0.0273571428571429
FYTTD1	0.7795
C11orf1	-0.11625
CCDC88C	0.395125
HFE	-0.237388888888889
MOGAT1	-0.4535
FAM125B	0.670333333333333
IRGQ	0.289
RAVER2	-1.01225
AKAP5	-1.1895
SSSCA1	-0.654
C11orf63	0.121875
ACTG2	0.4186
PORCN	-1.1975
DTL	-1.52263636363636
TMEM151	0.45
FAM122C	-1.51925
RSAD2	3.7959
BAT4	-0.7915
KRTDAP	-1.93083333333333
MYH8	1.11875
CRTC3	0.59175
LRRFIP2	0.3364
INTS4	-0.3995
TTN	-1.0946
SLC26A5	0.2195
PLLP	-1.02525
RGS6	-0.318875
SRGAP3	0.0485
ZNF525	-0.148666666666667
NBR2	-1.01383333333333
C13orf1	-0.7674
ZNF137	-0.074
CEP27	-1.1595
BEST2	0.553
RNF121	0.11775
DMRTC2	1.81025
C8orf76	0.42025
BCCIP	0.199875
MEST	-0.00275
HTRA2	-0.1075
ANGPTL2	1.71625
ILKAP	-0.00116666666666667
ERAS	0.321
HBS1L	-0.957
CPA5	0.265
TMEM30A	1.15966666666667
CD300LF	2.36633333333333
WISP3	2.429
CRK	-0.0393571428571429
PDS5A	0.1852
BRPF3	0.695166666666667
NEDD9	-0.542
SMPDL3B	1.144
PSG6	-1.03925
PSMD13	-0.0345
ETV5	-1.424125
OR51A4	0.439
BTBD7	0.178083333333333
GSTO1	-0.8855
hCG_16001	-0.5155
MAD2L1BP	-0.335166666666667
COX6A2	0.586
SCNN1A	2.0975
LSM1	1.04683333333333
UGT2B11	-3.515
IDUA	1.05125
PPP2R3C	-0.836333333333333
COX11	-1.058
PDZK1	-1.7425
ZNF443	-0.240833333333333
MGC21874	1.543
ZNF323	2.6255
KRTAP10-10	0.1515
CXCL6	-0.561
SLC34A2	0.2058
LOC284402	0.0175
NPTN	1.25308333333333
UPP1	-1.81441666666667
SLC6A9	-0.5425
OR7G3	0.17325
CISD1	-0.1805
ZNF545	-0.884833333333333
SYT14	-0.096
NT5C3L	-0.663
ZNHIT3	-0.571833333333333
SNRPD3	-0.31525
KIAA0701	0.264875
UNC93B1	-0.0845
GMNN	-1.7325
SPCS2	0.614333333333333
LOC388524	-0.6455
NAPRT1	-0.243
PNLIPRP1	0.00575000000000001
OR6V1	0.6655
PRKAB1	0.03425
EYA4	-2.7455
KIF20A	-1.47175
ALG10	-0.64175
ITPKC	0.630333333333333
LMX1B	0.626666666666667
RPUSD4	0.265166666666667
C7orf34	0.227833333333333
DLGAP2	0.512
PFN1	-0.4467
MICALL2	-0.659583333333333
ZNF654	-0.344
SS18L1	-0.676375
SLC16A8	0.32025
MKI67IP	0.015
ITGB3	-0.8015
TCEA3	1.9605
CEP152	-2.1561875
CLIP1	0.731
ZNF75	0.325
ATP5C1	-0.123333333333333
NUDT5	-0.660166666666667
PSCDBP	1.1695
UBP1	0.1075
RBM27	-0.64525
C13orf15	2.41825
ZNF282	-0.407666666666667
ZNF222	-0.625
COL10A1	5.8465
PRDM15	-0.558
TTTY5	-0.313
FAM9C	0.184363636363636
C20orf67	-0.201
GNG13	0.9855
F12	1.03725
C1orf41	-0.80725
CPXCR1	-0.3555
GSK3A	0.01075
SUPT6H	-0.435666666666667
PI16	3.98733333333333
ELL2	-1.11316666666667
C9orf167	-1.49683333333333
PVRL3	-1.4718
FLJ38596	1.20175
ADAM20	0.0756666666666667
GPR89A	-0.401
GPR87	-2.491
ZNF30	0.9815
SMR3B	-0.03
ZNF770	-0.33675
TRPC4AP	-0.495333333333333
DKFZP686E2158	0.704166666666667
C2orf28	0.105666666666667
FREM1	-0.149166666666667
LAMA4	0.921
ADPRHL2	0.10475
EIF4G2	0.4005
GUCA1A	-0.086
CTNNA2	-0.82675
NUDT15	-0.91
CEPT1	0.101166666666667
ZNFX1	0.1417
CCDC92	0.7865
TDRD1	1.7555
KCNK5	1.0945
ETNK1	-0.556416666666667
LTA	0.461
TTPA	1.22
B3GALNT2	0.048875
SC65	-0.1695
PEX5L	-0.909714285714286
EPS15L1	0.381
MGEA5	-0.36925
HIST1H3A	0.757
ING1	0.06475
BCAT1	-1.88075
ORC6L	-3.199
KLK11	-4.56916666666667
C19orf28	-1.303
DNER	-3.78425
MED22	-0.260928571428571
ETV6	0.82475
CHAC2	-1.14825
CD300E	0.21
CEBPB	0.49325
ZNF398	-0.0575
LRCH3	0.054
HMGA1	-2.12466666666667
CAPN7	-0.273333333333333
MGC5566	-2.28
CCL3	2.571125
NANOS1	1.438375
ZFYVE19	0.21075
APITD1	-0.467
PARD3	-0.82775
IRAK4	-0.4255
SERPINI2	0.4945
CEP170L	-0.26275
TTC9	2.396125
MYOM3	-1.0935
MLPH	1.035375
LOC222699	-0.085
NRG1	-1.68308333333333
TBC1D9	2.70618181818182
TTK	-1.98983333333333
ZNF557	-0.1434
DDX41	-0.548833333333333
FANK1	2.6135
UBE2D2	-0.2225
PSMB10	0.358875
MYH7B	0.017
GABARAPL2	-0.054375
MARVELD2	1.9655
DGCR2	1.08883333333333
UNC45A	-0.130333333333333
C6orf72	0.8585
ZNF683	4.57
GIT2	0.11075
CASK	0.6145
C14orf161	-0.0943333333333333
LRRC44	-0.0695
TIFA	0.597375
UTP11L	-0.49225
C6orf65	-0.011
FDPS	-0.78425
DUSP9	-1.4843
SLC17A8	0.4926
OR51G1	0.157
NANS	1.05125
OLFML1	2.07275
ATP10B	-1.29525
NPAS3	0.306
PRKCA	-2.4512
GGA2	0.2156875
LCE4A	0.7125
SPANXN3	-0.489
CCDC115	1.576875
SDCCAG3	-0.44325
GLIPR1L1	0.419333333333333
TTC1	0.089
C17orf76	-0.04075
MAD2L2	-1.0435
HIPK1	-0.5797
LRRC3B	0.138166666666667
CLN3	-0.432954545454546
C17orf47	-0.1205
FMN2	-3.151875
TUBB1	-1.0015
WAPAL	0.353333333333333
C3orf21	-0.123125
SCN5A	-0.2501
SMYD1	-0.5005
BEX5	0.39875
ZNF192	0.183
SEC22A	0.1505
GRIA2	0.501928571428571
KIAA0825	-1.1205
NUSAP1	-2.24863636363636
LANCL1	-0.63375
C15orf40	-0.9964
ZNF645	0.17125
GPR61	0.2275
NLRP14	0.3045
SNX21	0.0142
C1QTNF8	-0.1735
C17orf46	0.43175
IFNA8	-0.1935
SPRR1B	-1.018
FLRT1	-0.53125
SNX17	-0.2645
ASB2	-0.354333333333333
HBG1	-4.5835
RPRML	-1.92325
JOSD2	0.0975
PLSCR3	0.37575
SPOCD1	-0.0965
RAB39	-0.939
GHRH	-0.218833333333333
ITIH5L	0.2535
C17orf37	-0.009
SMCR8	0.19875
DPY19L2P3	-0.942666666666666
IL11RA	0.842
GDF3	-3.35933333333333
RPS6KB1	-1.331
DNAJC19	-0.00699999999999997
TOP1	0.4035
CRCT1	0.132625
MPST	-0.01575
DPM2	0.07775
FAM38B	-0.614
SLC18A1	-2.2054
FARP1	0.266333333333333
PAX7	0.51525
TUBD1	-1.70725
GNL3	-0.113375
BTG2	1.02866666666667
NDUFS6	-0.7825
C1orf79	-1.54325
ERAL1	-0.532
ECHS1	1.09825
VPS4A	-0.696
CYP11A1	-0.28025
ABCC6	1.54721428571429
PBX4	-1.855
MOSC1	0.838
NCF4	1.25425
HYMAI	1.1465
NAGPA	-0.515375
OTOP2	0.44525
ACOT12	-0.027
MTHFD2L	-0.946875
LOC441376	2.713
C19orf34	-0.928
RAB1B	0.01
ALDOAP2	0.1335
NTRK1	-0.5375
ARTS-1	-0.2997
SLC6A11	0.402
NAP1L2	-1.037
CNGB1	-0.0445
EPB41L4B	1.13583333333333
FAM134B	0.752
HS3ST3A1	-0.936833333333333
CPXM2	5.89475
SIRPB2	0.329
CHORDC1	-0.229833333333333
TRIB3	-1.65183333333333
SLC2A5	1.0635
