Hybridization REF	TCGA-BH-A0BG-01A-11R-A115-07
ZNF343	-0.229333333333333
FBXO33	-0.45775
UHMK1	0.8042
LY6G6C	-1.064
FGF19	-2.31675
C14orf128	0.683666666666667
IFIT2	4.14975
TIGD1	0.6085
S100G	0.5125
GUCY1B3	1.8755
NR3C1	-0.0465
CORO1B	0.5665
PARP11	0.113833333333333
DNALI1	0.3085
OR4N4	0.531125
MAP2K6	0.466166666666667
FSTL4	-0.298
ANKRD47	0.93875
TMEM171	0.522
PNLIP	-0.4815
YY1	0.5695
CCDC138	-1.50616666666667
AASDHPPT	-0.9185
CKS1B	-0.195
MCM3	-0.974666666666667
ANAPC7	-0.455
FAM110A	0.55325
CDC37L1	0.793
THTPA	0.03125
NBPF20	0.1385
WDR24	0.01325
NPTX2	-3.09025
CBLB	0.911333333333333
CETN1	0.589166666666667
RPUSD1	0.08225
FAF1	-0.48275
CDK6	0.2176
HMX2	0.8625
CSK	0.169666666666667
TEAD2	1.39175
SNAP25	-1.24375
TUFT1	0.5313
TMTC3	0.717666666666667
LCK	-0.45675
SGOL1	-1.05883333333333
AKTIP	1.24475
FURIN	0.85475
SOX12	-1.12366666666667
DEFB103A	-0.6785
RAMP1	-0.32375
KIR3DX1	-0.702
GAS2L3	0.389
PDE8A	-0.6437
EDN3	1.7535
GMIP	0.589
SF3A2	1.38575
FN3KRP	0.08925
SMAD7	0.94475
RHBDD2	0.395
OR11H6	0.4115
PPP1R3B	0.3336
C9orf23	0.357
CADPS	-2.64775
GOLGA8A	-3.203875
TMEM57	0.277833333333333
RGL3	-2.6205
S100A14	2.8605
FGFR2	4.04375
XRCC3	-0.891
RTN4RL2	0.7345
MGC3771	0.2325
GH2	0.490666666666667
BTBD2	0.10275
LMO2	-0.25775
RDBP	0.017375
ACRBP	-1.5845
AMY2A	1.71125
DUOXA1	1.562
PTK7	0.788333333333333
TWF2	0.186166666666667
FAM80A	-3.12075
TNNI2	-0.6955
GLT25D1	-0.725666666666667
OCC-1	-0.45275
CYC1	-0.0318333333333333
RPL22	0.346181818181818
MORN3	1.36866666666667
DISP1	0.4935
PRB2	0.2
CHUK	-0.074
HR	0.765875
CCDC134	-0.133875
DENND4B	-0.868
C14orf130	-0.68675
RAB33A	-0.83825
DCST2	0.173
TNMD	0.02175
PEX7	-0.011
FAM62A	-0.190125
SRD5A2L	0.2795
IL22	-0.05525
RPS26	-1.66416666666667
HOXC5	-0.7695
SPATA6	-0.135
FLJ38482	0.58075
ZNF234	1.1885
C18orf22	0.21625
SPATA22	3.475
THOC1	0.6675
CYP7B1	3.78
KCNC3	0.38275
C8orf42	-1.9575
ALDH1B1	0.487166666666667
CCDC100	-0.0796
ARMC4	-2.7155
FAM18B2	0.526
SLC44A1	0.4975
FBXO17	-1.49833333333333
C6orf107	0.3355
C19orf29	-0.22925
ZC3HAV1L	0.1815
PARP6	-0.4741
SULT2A1	-4.704125
C1orf159	-0.52375
TMC1	1.67225
CHST14	0.0615
GAMT	-2.7245
SMCP	-0.106833333333333
TSPAN33	1.963
MIDN	-0.294375
NOX4	1.7825
RNASEN	-0.8523
TBX1	-1.45466666666667
SALL2	-2.43075
C10orf35	1.32375
CYP2E1	-0.137
LRFN2	-0.804333333333333
ACO1	-1.3155
IQCG	1.9714
MEGF9	0.378
TM7SF4	1.44525
PLEKHA1	1.82186666666667
STK33	-2.617
C1orf210	2.64175
SNUPN	0.7532
KIAA0406	-1.1629
C20orf29	-0.9455
TMEM55B	-0.60025
OSTM1	-0.6041875
CLCN7	-0.01
OTP	0.13075
FLJ23049	0.139
HEATR4	-0.409
MAP3K10	0.7705
PCDHGA9	0.133
AMDHD2	0.24875
LCTL	-1.0945
PDCD2L	-0.6875
CABLES2	-0.3885
SLC5A9	-0.5485
CLCA2	-2.8782
MGC16025	-0.106
STRAP	-0.5825
C20orf196	-1.1125
RRBP1	0.543833333333333
NAT13	-0.36
MAT2B	0.56025
CSNK1D	-0.645166666666667
KIR3DL1	0.63025
PRKAG3	1.6715
ZNF599	-0.41
PRM3	0.92
PER2	1.149
ASPHD1	-2.493
PRMT6	-0.6625
KCNE1L	0.260928571428571
FAM118A	-0.0955
TAF4	-0.705
NDUFB6	-0.4685
TRIM9	-2.02083333333333
PMFBP1	-1.4395
KY	0.974
DKFZp762E1312	-1.63436363636364
CSMD1	-0.54975
TBP	-1.24133333333333
OR1Q1	0.584666666666667
RETNLB	0.3365
HPGD	0.488
DNAJC12	-1.27783333333333
FKBP1B	-2.2055
ANKRD24	-0.686166666666667
CXXC5	-1.0185
IL3	0.195875
DRAM	2.0366
PTCH1	0.39475
TP53BP1	-0.746
SLC17A7	-0.03
COL25A1	-1.4757
AMACR	-1.27
RHCG	-0.13375
VPS13A	0.3755
FAM55D	0.098
PRPF38B	-0.718833333333333
OSBPL6	-2.1795
PFDN5	-0.4867
CMTM6	1.02125
KCNK12	-0.80225
RP2	0.39025
C16orf52	-0.528
PICK1	1.053
IFNE1	-1.05466666666667
SEMA4B	0.68775
TYRO3	-1.924
OR12D2	0.7
CSNK1A1	-0.7162
FANCF	1.81775
LONP2	-0.117125
TBL1Y	0.13375
LDOC1L	-0.209625
CCNC	0.51975
C3orf60	-0.74675
CHKA	-1.9825
UBAP1	0.87525
MAP3K1	0.736
ANKRD9	-1.22925
FAM92A1	-0.6155
GAB2	-0.11025
AZU1	-0.3925
DIS3	-0.273916666666667
C21orf109	-1.66475
IQCB1	-0.5785
SPATS2	-1.249
EFCAB3	-0.72525
PRB3	0.2915
FUZ	0.329166666666667
ZNF813	0.4425
BMPER	-1.6565
HEG1	-0.564875
ALS2CR11	-0.9285
SURF2	-0.61775
PSMC1	-0.304416666666667
OR2D2	0.4975
SLC7A8	-1.05733333333333
C4orf40	-0.289
SPATA7	-0.282
MAZ	0.296083333333333
PIN4	0.49775
PDE1A	-2.162875
TAF6L	0.247833333333333
OR2T34	0.1775
KIAA0284	0.3365
ACADS	0.0203636363636364
MKRN2	-1.3435
C18orf56	-0.911
MS4A6E	-0.0255
GALNT4	0.8983
C22orf31	-0.3075
FLJ36070	0.8125
PSME4	0.9235
TFG	0.4942
EPHX2	0.386125
ANXA5	0.328
KRTAP1-1	1.1305
BATF	0.62475
KARS	-0.35225
MSTP9	-0.026
GPR26	1.251625
CCDC72	-0.59375
TEF	1.29166666666667
FOXK1	-0.7406
PRLHR	0.3225
EMX1	0.64125
C11orf30	0.001875
ICK	1.321625
THSD7B	0.92475
C21orf100	-1.431
DUOX1	2.707
EFCAB4B	-0.3575
UBE2G2	-0.974
C3orf54	-0.35075
PARP1	-0.4595
FAM60A	0.3155
C6orf146	-0.181
OR9K2	0.435
DDX55	-1.1285
RPS15	-0.297166666666667
ZNF618	0.8910625
DKFZp686D0972	0.395
SSPO	-1.2805
SHFM3P1	0.6675
CPA6	-1.79375
JAG2	1.141
DEFA3	0.12725
PPBPL2	-0.112333333333333
CD34	3.58625
SLCO4A1	-2.55
AFG3L1	-1.03433333333333
SHD	-0.99075
RP13-122B23.3	-0.715
PRKCSH	-0.485666666666667
DPH5	-0.185166666666667
HLA-F	3.22525
TBC1D4	0.347
RIG	0.131333333333333
GLUD1	0.224833333333333
HNRPCL1	0.234125
HBXIP	-0.5575
RNF207	0.282
APIP	0.241
PLA2G3	-0.6815
CCDC84	-1.9885
MYLIP	-0.463230769230769
PHIP	-0.0355
AARS2	-0.649333333333333
DHX32	0.088
SCAPER	0.2195
MEN1	-0.1035
NIP7	-0.04625
FLJ25404	0.716
FASTKD3	-0.8335
TMEM158	0.252083333333333
RARA	0.577
BDH1	-0.163
ANKRD16	1.0025
CARM1	0.5485
SS18	1.319
IKZF2	0.1755
MYD88	0.318
PML	0.85475
TAF1A	-0.62975
CBFB	0.0625
HIST1H3H	-0.524166666666667
C7orf29	-1.256
COMMD4	-0.859166666666667
DPP3	-0.86925
DAB2	-0.00850000000000001
LOC388882	-0.061
YPEL4	-0.906125
AGBL3	1.1875
LRP6	2.1756
SERPINH1	-0.144916666666667
TLE1	0.898
CD244	1.4395
ZDHHC15	-0.97325
MGLL	-0.8087
PLDN	-0.04775
LOC654346	2.1285
FAP	1.82925
GPR37	0.915833333333333
SCARA5	0.547166666666667
EBF4	0.729363636363636
LSM6	0.24525
MLLT1	-0.39125
SLC5A12	-0.253
A2BP1	-1.605
COPS5	-0.417
TPM4	-0.037
TNFSF4	0.972
ACADSB	0.372333333333333
HERPUD1	0.665
BCL2L11	-0.8215
CEP78	-1.265
CDCA3	-0.66325
WBSCR19	0.0255
MYO1A	-2.405
PPEF1	1.71716666666667
LOC440348	-0.861
CPEB2	-0.33125
BPTF	0.449083333333333
RPL21	0.239875
GSX2	0.5725
ADPRH	2.26583333333333
C17orf68	0.5795
KCNS1	2.9555
MLLT6	0.4592
PIWIL4	0.72775
RNF26	-1.2465
RAP1B	0.479
ADAMTS1	-2.28
ZNF571	1.193
P2RY6	0.5315
TRIM21	2.084
CADM3	0.61975
NLRC5	1.83216666666667
ADRA2B	0.789333333333333
LOC90835	-1.34925
PCF11	-0.7525
LOC400451	0.411
GLTSCR1	0.9522
C17orf88	-0.653833333333333
CDH16	-1.7855
FGF7	2.01875
PCSK4	-1.03766666666667
NPC1L1	-1.5495
TAT	-0.03125
TBCA	-1.2035
MGC33407	-0.0175
GPR115	-1.218375
CYGB	-0.0935
FNBP4	-1.37566666666667
C12orf43	-0.282
CBL	-0.0806
CLECL1	1.74225
PPAPDC1A	1.04325
WDR25	0.0635
SGCA	-0.4865
C22orf29	-0.299833333333333
YIPF1	0.4325
GALK2	-0.39125
RAB3B	-3.48675
LOC440087	-0.97625
UCP1	-1.2085
REEP5	0.633125
FADD	-0.3152
FOXA1	-4.76075
CACNA1A	0.668833333333333
ABI1	1.21766666666667
GRIN2D	1.41625
SLC1A4	-1.27216666666667
LOC401127	-1.39475
HINT2	-0.282
PLD4	1.2825
ZNF286A	-0.30025
ENY2	-0.20825
IL1F6	0.1045
PXDNL	2.516
C20orf79	-0.0706666666666667
TNFSF13B	6.54166666666667
DENND3	1.952625
JARID1D	-3.415
HIST1H2AK	0.376125
LOC93349	1.1788
SSH1	-0.4895
ENSA	-0.52825
LOC219854	-0.4735
CKAP2	-0.9962
DKFZP564J102	0.850166666666667
MGC87315	0.273166666666667
HNRPAB	-0.9305
AMH	-1.878
ZNF526	1.0335
BRUNOL5	-0.4159
CACNG3	-0.294666666666667
TRPM1	-3.08
PPP2R1A	0.5005
COL2A1	1.90425
DDN	-0.515333333333333
FLJ25770	0.553083333333333
HK2	-0.757928571428572
ELOVL6	-1.442
MDK	-1.219
EPHX1	-0.3005
RASSF2	0.826
DKFZP434B0335	0.37925
DLX3	-0.443125
PRTN3	-1.0225
AVPR1A	-0.2145
C21orf125	-1.309
TNFAIP8	-0.154
GNB2L1	-0.714
CALCRL	2.61425
SCGB2A2	6.63
UBXD7	0.00825
ZNF674	0.1655
TMEM35	-0.478875
BRSK2	-1.2055
HECTD3	0.2685
TMEM188	0.0114166666666667
LGALS9	2.769
SCARB2	0.892
USP34	0.301
C17orf28	0.38275
ZDHHC23	-0.46175
AQP12B	-0.1195
SLC16A3	-1.653875
APLP2	-0.087375
ITIH2	-4.56475
MICAL3	0.197
TNNI3K	0.4414
HDAC2	0.272375
PRR7	-0.1521
THBS2	-0.860125
LOC751071	0.0516666666666667
CA2	-1.40066666666667
RANBP17	-0.69475
RLN3	-0.02475
CRYZ	-0.535166666666667
GBAS	-0.358166666666667
TAS1R1	-0.35475
MPZL3	0.442
PCDH8	2.685
HSP90B1	0.385416666666667
KCNK15	-1.3425
TNIP2	0.885666666666667
GPR146	-0.33025
NOL6	0.4205
SPC25	-2.29444444444444
STEAP2	0.749
VAMP3	-0.613166666666667
TCIRG1	0.18875
ZP4	-0.3395
PARL	-0.387875
TRIM39	0.437333333333333
KIAA1305	0.70075
CRNN	0.325666666666667
GRN	0.463
HSH2D	-0.57075
SCAMP1	0.1585625
KIAA1913	0.2085
PTS	-0.46425
BANP	0.0394285714285714
PRKACG	0.2045
ADCY6	-0.723666666666667
C16orf46	-0.243
CYP51A1	0.225625
DDC	-4.133
ANPEP	0.329
PROM1	3.85166666666667
SIGLEC10	2.5975
COPG	0.662
FAM26E	0.912625
TRIP4	-0.19625
SNX3	0.538666666666667
C1orf175	1.279
PPY2	-0.471
C14orf152	0.04775
FTSJ1	-0.683166666666667
DST	1.077
LOC554235	0.0145
GLRX5	-0.69675
C20orf12	0.8189
CAB39	0.420333333333333
MSH2	-0.682333333333333
PIP4K2C	0.289875
CYLD	2.05575
WTAP	-0.0188125
MGAT4A	0.159777777777778
TSC22D4	0.287
CHRM2	1.0645
PPYR1	0.3785
CCNH	-1.32116666666667
RRM1	-0.9875
ECAT8	-2.66075
LOC400120	-0.42875
GABRA4	-0.28125
C14orf4	0.5335
C1orf59	0.37075
CTDSPL	-0.475416666666667
NHEDC2	0.1135
PDE11A	0.3083125
KLHL29	-1.761
CD5	0.7233
TSPAN9	1.0145
WDR67	-0.356
THUMPD1	0.5857
C18orf17	0.203
CLYBL	0.269666666666667
FLJ13231	-0.44375
CMBL	-0.50275
LECT2	-0.4905
NKAPL	1.40766666666667
LOC654780	0.276
OR4C6	0.2895
RAB30	-0.576333333333333
TSSK4	-0.653
TMEM163	0.9455
OSBPL11	0.611333333333333
GNB5	-0.744833333333333
CCL21	1.332
C1orf121	0.791
FMO2	3.41416666666667
RPTN	-1.4225
MSTN	0.1
VCL	-0.0119285714285714
FYTTD1	-0.11425
C11orf1	-0.6045
CCDC88C	0.3666875
HFE	0.310666666666667
MOGAT1	-0.711
FAM125B	0.401833333333333
IRGQ	0.8475
RAVER2	1.184
AKAP5	-1.281
SSSCA1	-0.5925
C11orf63	-0.038625
ACTG2	0.8511
PORCN	-1.7635
DTL	-1.34563636363636
TMEM151	0.392
FAM122C	1.69975
RSAD2	4.5017
BAT4	-0.2375
KRTDAP	-2.47316666666667
MYH8	0.240428571428571
CRTC3	0.516
LRRFIP2	0.6178
INTS4	-0.465
TTN	-1.412
SLC26A5	0.4335
PLLP	-0.51775
RGS6	0.020125
SRGAP3	0.249125
ZNF525	0.288666666666667
NBR2	-0.534333333333333
C13orf1	-0.00829999999999998
ZNF137	0.446
CEP27	-1.88675
BEST2	-0.081
RNF121	0.0235
DMRTC2	-0.27075
C8orf76	0.69825
BCCIP	-0.202
MEST	-1.50425
HTRA2	0.1125
ANGPTL2	-0.0975
ILKAP	0.1865
ERAS	-0.7735
HBS1L	0.342125
CPA5	0.791
TMEM30A	1.298
CD300LF	1.90633333333333
WISP3	4.076
CRK	0.575857142857143
PDS5A	-0.5436
BRPF3	-0.014
NEDD9	0.5825
SMPDL3B	2.57375
PSG6	-1.842
PSMD13	0.80725
ETV5	-1.524375
OR51A4	-0.1595
BTBD7	0.62325
GSTO1	-0.63675
hCG_16001	0.599
MAD2L1BP	-0.6855
COX6A2	1.5865
SCNN1A	-0.622
LSM1	-0.420333333333333
UGT2B11	-3.56275
IDUA	0.9035
PPP2R3C	-0.969166666666667
COX11	-1.1695
PDZK1	-4.298
ZNF443	-1.0255
MGC21874	1.30116666666667
ZNF323	1.653
KRTAP10-10	0.134
CXCL6	-0.08825
SLC34A2	2.743
LOC284402	0.1395
NPTN	0.62825
UPP1	-1.73391666666667
SLC6A9	0.585
OR7G3	0.27175
CISD1	-0.623333333333333
ZNF545	0.236166666666667
SYT14	-1.1725
NT5C3L	0.514333333333333
ZNHIT3	-0.593666666666667
SNRPD3	-0.48025
KIAA0701	0.033625
UNC93B1	0.489333333333333
GMNN	-1.738125
SPCS2	0.535666666666667
LOC388524	-0.147
NAPRT1	1.7755
PNLIPRP1	-0.28325
OR6V1	1.0335
PRKAB1	-1.03825
EYA4	-2.87416666666667
KIF20A	-1.567
ALG10	-0.16025
ITPKC	1.59983333333333
LMX1B	0.004
RPUSD4	-1.03616666666667
C7orf34	0.0781666666666667
DLGAP2	0.466
PFN1	-0.0049
MICALL2	-0.213333333333333
ZNF654	0.839
SS18L1	-1.4565
SLC16A8	0.852
MKI67IP	0.393666666666667
ITGB3	-1.02875
TCEA3	1.60133333333333
CEP152	-1.4890625
CLIP1	1.828375
ZNF75	-0.00568750000000001
ATP5C1	-0.0648333333333333
NUDT5	0.0636666666666666
PSCDBP	1.32225
UBP1	-0.9775
RBM27	0.214
C13orf15	2.588875
ZNF282	-0.167666666666667
ZNF222	0.2114
COL10A1	4.771
PRDM15	-1.053375
TTTY5	-0.149
FAM9C	-0.386
C20orf67	0.40225
GNG13	-0.532
F12	0.0625
C1orf41	-1.17975
CPXCR1	0.5875
GSK3A	0.28575
SUPT6H	0.115666666666667
PI16	-0.110833333333333
ELL2	-1.916
C9orf167	-1.6655
PVRL3	-1.1187
FLJ38596	1.462
ADAM20	0.111
GPR89A	-0.0775
GPR87	-1.758
ZNF30	-1.71275
SMR3B	0.361333333333333
ZNF770	0.046375
TRPC4AP	-0.1175
DKFZP686E2158	-0.172166666666667
C2orf28	-0.2755
FREM1	-1.617
LAMA4	0.0268333333333333
ADPRHL2	-0.07125
EIF4G2	0.338166666666667
GUCA1A	-0.4615
CTNNA2	-1.7455
NUDT15	-0.626166666666667
CEPT1	-0.247
ZNFX1	1.2892
CCDC92	1.074
TDRD1	-0.814
KCNK5	1.12966666666667
ETNK1	0.6965
LTA	0.949
TTPA	0.6445
B3GALNT2	0.737625
SC65	-0.225333333333333
PEX5L	-1.552375
EPS15L1	-1.0545
MGEA5	-0.579625
HIST1H3A	0.959
ING1	-0.135875
BCAT1	-3.10825
ORC6L	-2.26763636363636
KLK11	-0.685333333333333
C19orf28	-0.497875
DNER	-1.56925
MED22	-0.978428571428571
ETV6	2.40775
CHAC2	-1.7035
CD300E	-0.1075
CEBPB	1.62308333333333
ZNF398	-0.91725
LRCH3	0.1475
HMGA1	-0.381666666666667
CAPN7	-0.5645
MGC5566	-2.47
CCL3	3.04625
NANOS1	1.201375
ZFYVE19	-0.49125
APITD1	-0.476833333333333
PARD3	0.781375
IRAK4	-0.1805
SERPINI2	0.2305
CEP170L	0.46175
TTC9	1.8915
MYOM3	-1.4415
MLPH	-2.1545
LOC222699	-0.0445
NRG1	-0.252083333333333
TBC1D9	-0.450454545454545
TTK	-1.3835
ZNF557	0.1205
DDX41	-0.638333333333333
FANK1	-0.047
UBE2D2	-0.610375
PSMB10	2.01575
MYH7B	-0.5915
GABARAPL2	0.240625
MARVELD2	1.1305
DGCR2	0.643166666666667
UNC45A	0.5515
C6orf72	0.0545
ZNF683	4.27125
GIT2	0.123625
CASK	0.879833333333333
C14orf161	1.55233333333333
LRRC44	-0.162
TIFA	1.586
UTP11L	-0.443125
C6orf65	-0.70025
FDPS	-0.4025
DUSP9	-1.9657
SLC17A8	0.3425
OR51G1	0.000666666666666667
NANS	-1.22075
OLFML1	1.436
ATP10B	-0.74
NPAS3	-0.35025
PRKCA	-0.6143
GGA2	0.3521875
LCE4A	0.4945
SPANXN3	-0.26375
CCDC115	1.7835
SDCCAG3	-1.2835
GLIPR1L1	0.364
TTC1	-0.49725
C17orf76	0.5465
MAD2L2	-1.653
HIPK1	0.0681
LRRC3B	-0.769166666666667
CLN3	-0.430863636363636
C17orf47	0.131
FMN2	0.0910000000000001
TUBB1	-1.85625
WAPAL	0.0301666666666667
C3orf21	-0.816
SCN5A	-0.6348
SMYD1	-0.11475
BEX5	0.15325
ZNF192	0.4685
SEC22A	-0.2395
GRIA2	0.433428571428571
KIAA0825	-2.32175
NUSAP1	-2.09345454545455
LANCL1	0.25575
C15orf40	0.0531
ZNF645	-0.022375
GPR61	-0.05375
NLRP14	-0.2205
SNX21	-0.3722
C1QTNF8	-0.093
C17orf46	0.55675
IFNA8	0.2695
SPRR1B	-2.9845
FLRT1	-0.96725
SNX17	-0.0248333333333333
ASB2	0.245833333333333
HBG1	-3.824
RPRML	2.5305
JOSD2	0.164333333333333
PLSCR3	0.71025
SPOCD1	-0.775333333333333
RAB39	0.513
GHRH	-0.304833333333333
ITIH5L	0.83725
C17orf37	0.57125
SMCR8	0.41175
DPY19L2P3	-1.0595
IL11RA	0.234166666666667
GDF3	-3.5265
RPS6KB1	-1.07
DNAJC19	-0.3545
TOP1	-0.20975
CRCT1	-0.554
MPST	-0.754375
DPM2	-0.2245
FAM38B	-2.80033333333333
SLC18A1	-2.02783333333333
FARP1	1.07766666666667
PAX7	-0.1365
TUBD1	-1.029
GNL3	-0.6895
BTG2	0.758866666666667
NDUFS6	-0.67625
C1orf79	-1.00625
ERAL1	-0.48625
ECHS1	0.34225
VPS4A	-0.0273333333333333
CYP11A1	-1.058
ABCC6	-2.05942857142857
PBX4	-2.011
MOSC1	-0.3135
NCF4	0.866
HYMAI	1.5865
NAGPA	-0.37675
OTOP2	0.283
ACOT12	-0.76475
MTHFD2L	0.474375
LOC441376	5.5985
C19orf34	0.0985
RAB1B	0.42375
ALDOAP2	-1.1565
NTRK1	-1.80283333333333
ARTS-1	0.1959
SLC6A11	-0.789
NAP1L2	-0.22925
CNGB1	-0.0725
EPB41L4B	0.640666666666667
FAM134B	0.903875
HS3ST3A1	-1.40033333333333
CPXM2	5.80075
SIRPB2	0.334
CHORDC1	-0.07
TRIB3	-2.5975
SLC2A5	1.096
C2orf49	-0.400666666666667
DDX5	-0.0925
OR5L1	1.459
ANAPC4	-0.741
ZSWIM1	0.074
LOC93622	-0.089375
KCNK3	-0.5451
RP11-35N6.1	0.612125
ZFP161	1.54783333333333
AQP9	2.81625
SLC15A2	0.1865
MREG	-0.461
OR9I1	0.4565
PDLIM2	0.489125
ADAM7	0.284
GSTCD	-0.4765
WDR21A	1.25475
SLC12A8	1.513
TMEM174	0.15175
IGSF3	1.15066666666667
LRRN1	-1.3735
LOC402117	-0.0615
SRPK1	-0.387166666666667
LY6K	2.236875
NFIA	0.9805
PTCD3	-0.650625
LEP	2.86783333333333
PCDH21	-0.382666666666667
MAPKAPK2	0.475142857142857
NMNAT1	0.0658333333333333
LHFPL2	0.953875
C9orf43	-1.26625
DIP2A	-0.667666666666667
ACTR8	-0.6005
CCDC34	-1.05525
PTPN22	0.02475
ITGA3	-0.97075
FAM129C	1.6815
RABGGTA	-0.3405
UNC45B	1.94575
KIAA1033	0.712
ZNF510	-0.241666666666667
CYP2D6	0.561666666666667
SLC26A10	-1.927
STX8	-0.242
LUZP1	-0.035875
WDR89	-0.0415
EIF4G3	-0.0921
C5AR1	1.18025
ZNF623	0.3145
A2M	2.98075
TGM7	0.0365
GRPEL1	0.274666666666667
LMNB2	-0.8975
ROCK2	0.72
SNX16	1.037125
CCDC66	-0.9635
ANXA3	0.46875
KIAA1609	1.385875
EED	-0.546
RNF32	0.5605
HES1	1.034
CLC	0.767
ISL1	-1.04366666666667
KIAA0528	0.86575
MANEA	1.50725
C1orf61	-2.414
hCG_2001000	0.688
RAPGEF6	-0.2934
KIAA0020	0.0448333333333333
NEIL1	0.6855
C16orf45	-2.230125
RBM10	-0.0473333333333333
C10orf125	-0.255125
MRS2L	-0.33525
DNAH17	-0.769
C19orf10	-0.77125
C1orf160	0.2535
SLFN12	-0.12775
EXOC3	0.0611666666666667
HIST3H3	0.9295
NCOR2	0.534666666666667
TNFRSF9	2.187
MFSD8	-0.513
ALX1	0.424833333333333
NOL1	-0.378
PODN	2.3665
TIAL1	-1.01925
HIST1H1E	-0.128
NPY6R	0.32825
TM4SF4	0.109
CORO2A	0.1105
ETNK2	-0.2165
APOE	0.0488
ANGPT4	0.2845
HDGF2	-0.414
G30	0.513
ST8SIA4	-0.031
F2RL1	0.472375
FAM19A4	-2.38325
CCAR1	-0.54675
B3GNT7	0.6645
OPHN1	0.0379
DSCR6	-0.9325
C21orf13	-0.2155
GAS2L1	0.837
RFX3	1.43633333333333
COPS4	0.0775
BCHE	-2.29266666666667
BCL2	1.6705
HBZ	-2.0165
ARL13B	1.561125
MAPBPIP	0.4975
MYO15B	-0.753125
SPZ1	0.53075
KIAA1324	2.12733333333333
PLCL2	-0.000874999999999994
C4orf29	-0.56575
WDFY2	-0.74675
ZNF284	-0.2175
NAALADL1	-0.3015
DUSP5	-1.16516666666667
PXDN	0.00825
SLMO1	1.61175
TNXB	0.43
BIRC7	-1.3555
A4GALT	1.83766666666667
TIMM22	-0.32975
FAM110C	0.37
TOMM34	-0.165
ABHD9	0.7115
ADAM32	2.1675
CRHBP	-0.5825
AQP2	0.55125
LOC130355	1.3695
ZNF187	0.169666666666667
ZNF816A	0.3165
F7	-1.217625
CNOT1	0.0423
SLC13A4	-1.17675
ZBTB11	-0.12775
B3GALT5	0.34125
EXOC2	0.131166666666667
IRS1	0.7272
TMEM1	-0.981833333333333
MRPL34	-0.294833333333333
SAMM50	-1.406
CDC42EP3	0.974
HSF2	-0.2262
MFN2	-0.38
TSPAN7	-1.97633333333333
NUCB1	1.4815
RHOH	-1.07725
ARL16	0.0985
TACR1	0.529
SFRS5	-0.696333333333333
SNX25	-0.3395
RHBDF1	0.962666666666667
PCDH18	1.9805
HMG1L1	1.11125
MYO5C	0.2525
MAPK10	-0.047
LDHAL6A	-0.2335
NUDT12	-0.3195
NCAM1	-0.187375
GLIS2	1.3355
GGTL4	-0.6025
DAPP1	2.76475
ATF7	0.85875
KIAA0748	-0.17825
NFIL3	0.71875
TM6SF1	1.0159
SEZ6	0.098125
NANOS3	-0.235333333333333
DNAJA3	-0.431
CLDN6	-1.864
CIITA	3.6606
EPHA4	-1.09483333333333
FANCC	1.0075
CMTM3	-0.055625
PSG3	-0.616125
MRPL15	-0.1075
C21orf59	-1.18825
PLCXD2	0.27825
C2orf34	0.502625
UBE2L6	2.2215
MED14	0.1185
HP1BP3	-0.0575
C6orf208	-0.553
TPBG	-0.51825
OSR2	-0.345125
XPC	-0.135166666666667
KLHL7	-0.9035
CCR3	-0.4262
AGTPBP1	0.322
PCSK6	0.890133333333333
STAT5A	-0.7126
FAM18B	1.04725
LONRF2	-1.418
PTPN2	1.092
SF3A3	-0.403833333333333
EFCBP2	-0.702
HCFC1	-0.488
AHNAK	1.26235
ACTR5	-0.32125
KIF14	-0.184857142857143
TENC1	0.719
HEATR5B	0.947
YIPF2	0.636
MYEOV2	0.354333333333333
DUSP18	1.37
KIAA1012	2.41025
AHR	1.075
C17orf53	-1.14216666666667
PTPRH	-3.369
ATP6V1C1	0.439
TAS2R3	-0.056
LOC440356	-1.3865
COQ10B	0.3505
PSMF1	-0.0365
SORBS2	4.31991666666667
NFE2L2	0.7005
TMCO7	0.0865
SH3PXD2A	0.0956
SH2D2A	0.20425
SPINK5	-4.438
MRPS24	-1.36375
OPA3	0.7915
TRAF7	0.579333333333333
C4orf35	-0.0148333333333333
MT1G	-0.0445
MGC39545	0.0175
HS1BP3	0.4481
OR2B2	0.091
CHRM4	-0.0655
SFRP2	2.12175
RIC3	1.47525
ART1	-0.626
C6orf1	0.09
DUS4L	-1.1305
C10orf104	0.36575
TNFAIP6	1.63375
RTEL1	-1.50025
CCT4	-0.4399
ZNF709	-0.3465
CHMP6	0.407666666666667
UPP2	-0.10725
CYP19A1	-2.417375
CD151	0.992
NDUFA13	-0.554166666666667
ARFRP1	-1.08833333333333
FAM26B	2.11375
CRYBA1	-2.204
MRPL41	-0.869166666666667
NPFFR2	-2.17975
HRH2	0.2995
SCAMP3	0.0201666666666667
MTMR6	0.9055
MTG1	-1.27516666666667
UBTD1	0.63825
CRABP1	0.059
FLJ33790	-0.5926
KIAA1908	-1.67566666666667
GPR158	3.1625
PACSIN3	0.830333333333333
OMD	1.98383333333333
CATSPER1	0.162666666666667
HOXB8	-1.58525
FBXO46	0.902
OAS1	1.91966666666667
SVIL	0.8545
PHB2	-0.25
ADCY3	1.4095
NDRG2	2.92133333333333
ERMAP	0.2606
APBA2	-1.16166666666667
IGSF9	1.64375
