Hybridization REF	TCGA-A2-A0CV-01A-31R-A115-07
IGF2BP2	-3.30716666666667
OR1D5	0.1805
SIX6	-3.09675
CCR6	0.5235
PALM	0.571
PUM2	-0.143642857142857
SPRYD5	-1.762
ALG10B	-0.103
ZNF365	1.315
PHC1	-1.5795
KIAA0913	-0.01075
ARX	0.101571428571429
PPP3CB	0.640666666666667
IRX6	0.1903
ANGPTL4	-1.4546
LSM14B	-0.3028
PCDHGB7	0.9125
INSM1	-1.20391666666667
WBP2NL	-0.32
ZNF493	-0.5805
NGEF	-1.00725
RNASE13	0.067
SPPL2A	-0.00133333333333333
SFXN1	-1.796875
FAM102A	1.69975
SAPS2	-0.517416666666667
JTV1	-1.44
OR51B4	-0.8375
SCGB1A1	0.0485
NEUROD2	0.16575
tAKR	0.54
C1orf26	0.603
RICH2	0.53375
TEDDM1	1.06375
CYP2S1	-0.6295
TBCE	-0.765333333333333
MAPK1	-0.93475
HDHD1A	-0.117
MRM1	-1.28075
ATP9A	0.0937857142857143
HSD17B3	-0.0753333333333333
HN1L	0.533
RNF216	-0.2205
HOXD12	0.213
PPP1R14B	-1.458375
SBF1	-1.11475
TAS2R42	-0.3645
USP46	0.249166666666667
LILRB3	2.703
SPI1	1.30625
OXSM	-0.1045
GYS2	0.238666666666667
NUPL2	-0.7575
C8orf46	-1.511125
SF3A1	-0.1532
C21orf99	1.6815
HOXB4	0.3314
YRDC	-0.745
GPRC5D	0.578
BLVRA	-0.269375
KIF12	2.5215
LRRC23	1.2085
FAM14A	1.14533333333333
RASL12	1.4005
DAZAP2	1.4
IKBKB	0.930285714285714
ZNF271	0.376
BOK	0.46475
CXorf6	-0.38775
MYEOV	-0.83025
BTN2A2	-0.7661
FRG1	-0.70375
HSP90AB6P	-0.33825
ENOX1	1.84733333333333
ZNF706	0.7124
DOK1	1.4366
PGAP1	-0.3675
TMEM136	-0.749
FSCN1	-1.85375
KIF17	0.98375
TRIM66	0.18
CBR3	1.53933333333333
C13orf24	0.483
C19orf52	-0.60925
BNIP1	-0.01025
AQP3	1.11525
KRT6C	0.753166666666667
SIRPA	0.305333333333333
IGFBP6	-0.758166666666667
PLEKHK1	-1.702375
RNASE7	0.423
ARHGEF15	0.37825
NPHS2	-0.01175
SRD5A1	-0.643
REXO4	-0.5935
EEF1DP3	0.46325
SLC37A2	-0.397
ZNF142	-0.26925
ANKHD1	-0.942
MUT	0.189
VPS37A	0.2385
GPRIN1	-1.29125
SLC38A3	-0.546625
BAZ2B	1.08575
WDR87	0.181333333333333
BRD7	-0.54275
POU6F2	-0.732
NISCH	0.83875
TCEB1	-0.28725
LINGO2	-1.777
TAX1BP3	-0.727
RPL34	0.586111111111111
MARK2	0.4735
AKAP12	-0.2351
AMBN	-0.1415
SLC25A27	-1.09166666666667
FLJ21865	-0.586125
KIR2DS2	0.702333333333333
WDR77	-1.57325
ATF2	-0.455833333333333
ITFG3	-0.0955
SLC39A13	0.95225
ARL6IP5	1.69675
C10orf137	-0.202125
QTRT1	-0.449333333333333
CCNT1	-0.26025
DYNLL1	0.2158
WDR53	-0.36625
LIPG	0.639333333333333
ASAH3	0.2805
HELB	0.154
PHACTR2	0.141875
VENTX	-0.31425
LAD1	0.0778333333333333
PAOX	1.57275
MAPK8	-0.335
CCDC38	0.014
DNAJC8	-0.2386
RBBP8	0.7565
WNT11	3.8737
KCNJ12	-1.0315
HDAC8	-0.0873333333333333
STARD4	-2.42775
ACVR1	1.14283333333333
C14orf65	-0.0180833333333333
KLB	-2.2375
C1orf65	0.4125
ZFYVE28	0.4725
NSUN6	-0.1
KIF27	1.53033333333333
SYTL2	-0.668833333333333
UBXD2	0.0411
OR6T1	0.8135
CCDC91	0.699857142857143
GRID2	0.0005
CALN1	-0.81675
ZNF423	1.0345
PSMB4	-0.157166666666667
XPNPEP3	-0.468166666666667
ARPP-21	-2.7144
SART1	-0.41675
RACGAP1P	-3.3575
SPTA1	-4.594
C6orf113	-0.896666666666667
C7orf16	-2.7965
CHST7	-0.3215
C21orf29	-0.559333333333333
SEMA6D	1.095125
PCMTD1	1.9145
KIAA1754	0.4565
MYCN	-1.480125
KCNJ3	1.725
MAPK13	1.8172
ERO1LB	-0.104
NTF3	-0.724833333333333
NKX6-2	-0.58625
GTF2B	0.32075
GSPT1	-0.916333333333333
GUSB	-0.3365
LOC221091	-0.09
LIG1	-1.5675
EXTL3	0.552833333333333
NID2	-0.19925
TTC29	1.825
TMEM97	-2.11525
EXTL2	-1.448
SUZ12	-0.614125
IL1F8	-0.0735
KRT18	-0.606454545454545
MRPS16	-0.88675
PI4K2B	-0.01175
LACRT	5.5955
OR51F2	0.474
JMJD2C	0.15475
KGFLP1	2.74675
CDK5RAP3	-0.9656
YTHDF2	0.438333333333333
GGCX	-0.197875
ARPC4	0.34825
EGLN2	0.289666666666667
KBTBD4	0.344357142857143
ROBO3	-0.3889
DEFB118	0.636
KIAA1543	1.7495
RTCD1	-0.2155
MZF1	0.3125
C18orf26	-0.1015
CNIH4	0.630666666666667
ZFP2	3.39183333333333
HTATSF1	-0.1765
WFDC2	2.63875
NDUFA7	0.1095
TTC22	0.177333333333333
FAM40B	-3.379125
DCPS	-0.90625
SH2D1B	-0.1755
MRGPRE	0.264
SBK1	0.40925
UNQ6411	0.0115
OSBPL9	-0.72225
NUP107	-1.1265
MYOZ3	-0.1635
PDE4B	1.3455
FAM113A	-0.341
IDH3G	0.274
FBXL7	-0.084875
ARFGAP3	0.08725
MAPRE2	0.0660769230769231
IL1RN	0.8731
KIF13A	-0.5515
RAC3	-0.8245
TCTE1	-0.2075
TMEM14B	-0.921
ADIPOR1	0.451333333333333
GRINA	0.735
CLIP4	0.99825
LRIT2	-0.0805
TFPI	-2.2405
FABP6	-2.55575
SLITRK2	0.1176
HKR1	0.283
SMTN	0.26375
C1orf75	-0.48025
CD209	0.317625
CYB5R2	-0.242
DNTTIP2	0.192833333333333
CSGlcA-T	0.424375
GABRB3	-2.17925
PCBD1	1.33783333333333
TAF3	0.457416666666667
HOXD3	0.216166666666667
GIPC3	-0.362333333333333
P11	1.0292
BFSP1	-0.57175
LCP2	1.0155
TAS2R8	0.099
SEZ6L	-0.672375
NR2C1	-1.563625
EXDL2	0.7409
TNFRSF13B	-1.17716666666667
MKI67	-4.763
GLS	-0.0494166666666667
C7orf54	-0.8376
LGALS13	0.339166666666667
IL4R	0.6355
SEC11A	-0.0386666666666667
SPP2	0.028
C18orf32	1.1185
CLSPN	-2.553
SPAG1	1.295375
C9orf82	0.1425
TM4SF1	-0.0344166666666667
EMILIN2	0.88775
SMG7	-0.350833333333333
TAS2R13	0.2555
ZNF628	0.0935
DZIP1L	-0.144166666666667
ANKRD13A	-0.3015
VASP	1.05575
ZCCHC11	-0.537375
SYPL1	0.463125
MGC34774	-0.0655
C4orf28	0.18425
KIAA1211	-0.791166666666667
RPS27L	0.33725
TATDN3	-0.41325
PDCD1	0.82375
OR5P2	0.585
IFIT1L	0.2735
MIPOL1	0.905
OR51D1	-0.086
C1orf92	0.871833333333333
LAMP2	0.548444444444444
CAT	0.382333333333333
C16orf80	-0.476
C15orf32	0.127
ZNF746	0.01975
C1orf76	-1.0565
ATXN1	0.51975
LAMC2	2.22
SLC2A7	-1.028
CPOX	-1.4025
APH1B	1.804
LOC442245	-0.31925
CTNND1	1.20083333333333
GABRG2	-1.0385
MADCAM1	-0.5035
F5	-0.401125
SEMA4F	-0.0948333333333333
NUDCD3	0.425375
PDZD11	0.179
TRIML1	0.0505
GCNT3	1.52833333333333
TMEM120A	0.83125
CNDP1	0.9725
N4BP1	0.257125
SLC35F2	-1.87575
LCP1	-0.669583333333333
IGBP1	0.7509
DCAKD	-0.605125
ELA2A	-0.4105
C12orf56	-2.391875
PITRM1	-0.220214285714286
GUK1	0.3445
RASSF8	-0.5810625
OR2A14	0.25075
ADM	-1.75977777777778
FGD3	3.12366666666667
GHRHR	0.300166666666667
RHPN2	1.83225
C4orf39	1.311
VPS72	-0.44825
SERF2	0.893
CD22	0.988166666666667
CD47	0.9361
PPIC	0.7815
IMPDH1	0.104083333333333
ACP6	0.361
PRKACA	-0.00524999999999999
PPP1R1A	2.051875
TRPV3	-0.50325
ASXL1	-0.514625
C17orf55	-1.6105
FXYD1	1.53033333333333
LMOD2	-0.032
ANKRD33	0.0695
LCE2C	-0.3845
ZNF620	-0.371
DKFZP566E164	-0.971
VSIG2	0.886
KIAA1128	0.9895
USO1	-0.306833333333333
NUDT4	0.0721428571428572
CLDN1	1.6925
OR4Q3	0.209
FASTK	-0.199333333333333
ICOS	2.21183333333333
LDB1	0.2025
GSTA5	-0.77625
ABCC1	-1.7325
FAM54A	-4.30075
PCBP2	-0.456166666666667
NUP205	-1.674
ACTA1	0.591833333333333
GABBR2	-1.74425
PIP5K1B	-0.731166666666667
AGXT	-1.81516666666667
RNF181	-0.45575
ATP8A2	2.01475
AFTPH	0.7131875
FGF21	0.24275
FCER1G	1.933625
SNTB1	-2.206
SLC24A3	1.582125
TXNL4B	-1.3955
RPL10L	0.539666666666667
LOC389517	-0.7142
TSGA13	0.273
SHOX2	-0.123166666666667
ITGA7	-0.1254
KCNIP2	-0.48
KLF13	0.0191
ZFAND2A	-0.94925
CEACAM1	2.01271428571429
PFKFB4	-2.00166666666667
MED19	0.47475
LRRC57	0.814833333333333
RNF11	1.5105
ANKRD32	-2.28925
P117	0.04875
OBFC2A	0.220833333333333
POLD3	-0.866833333333333
RAB18	1.083125
TPH2	0.297
PHB	-0.9756
JDP2	1.74916666666667
MORF4L1	0.067
POU2F1	-0.275
CNNM2	-0.498083333333333
LOXHD1	0.0595
ZC3H15	-0.77375
ELK3	0.743666666666667
FAM111B	-2.4105
CBLC	3.1195
SBNO1	-0.019
ANKMY2	-0.4175
PLEKHA5	0.172
DHX58	1.12216666666667
ARCN1	0.244833333333333
TREML1	0.2433
KNCN	0.755
SEC24A	-0.451875
PSCA	-0.05775
MGC24125	0.318666666666667
DNA2L	-2.91125
CIB4	-0.19275
HIGD2A	0.0498333333333333
TBX6	0.0588333333333333
TTLL5	-0.221166666666667
SGK3	1.57433333333333
GCN1L1	-0.541
AMOT	0.9763
LDOC1	0.0233333333333333
NRK	0.535333333333333
ASB9	-2.12025
NAT1	5.7369
TRAFD1	0.43625
PEAR1	0.591833333333333
FAM36A	0.39025
OR1S2	0.501166666666667
LOC388323	-1.96675
PGS1	-0.343833333333333
LEPREL1	-1.7215
TFF1	-3.2575
HAP1	0.351
EPHB2	0.026
ACTG1	0.500166666666667
ZFP42	-1.68633333333333
HAVCR2	0.9417
NME1	-1.339
SNX26	-0.488083333333333
LACTB	0.0581666666666667
ZKSCAN2	-0.515625
C5orf35	-0.88225
ANKS3	-0.62375
RBM28	-1.41425
DKFZP586P0123	-0.764
HNRNPA1	-0.185166666666667
BCAS3	-1.48566666666667
FLJ20184	1.246
POLA2	-1.60883333333333
TMC7	-0.638166666666667
HSD17B6	1.432
ZNF658B	2.13216666666667
TTTY10	-0.125666666666667
RANBP9	-1.05491666666667
CPNE7	-1.60933333333333
EVL	1.76970588235294
LNX1	0.922083333333333
IFNA21	0.0443333333333333
CFD	0.45475
PYCARD	1.52466666666667
MYBPC2	-1.63
ENPP3	0.313666666666667
ACSL4	-1.52925
LOC440258	-1.285
TMEM176B	3.26866666666667
SOX2	-5.042375
SCO1	-0.818666666666667
COMT	-0.568
AOC2	0.0475
PDLIM5	0.969857142857143
SPHK2	0.385666666666667
NXPH2	0.9345
GPR108	0.742333333333333
RAD51L1	-0.0731666666666667
TMEM54	0.5065
LETMD1	-0.666222222222222
SLC6A17	0.4015
KRT75	0.006
STT3B	-0.727
CD3EAP	-0.686
TMEM63A	1.25275
DUSP13	-2.896
CD1C	0.876333333333333
LASS2	1.389
AVP	0.5695
PITPNM1	-1.279
FLJ22795	-0.4965
MCTP1	-1.948
TRIM68	-0.0493333333333333
UCK2	-0.919833333333333
ABHD1	0.734
FAM50A	-0.30225
RNASEH1	-1.45866666666667
PCP2	1.5125
OR52H1	0.164
C20orf149	0.21075
RBP5	2.675
HYAL3	-0.2665
CLPB	-1.486
SMNDC1	-0.181
DONSON	-2.68383333333333
FLJ27523	-0.09925
BARHL2	0.124
SLC30A9	-0.091
TMPRSS11B	-0.15425
E2F8	-3.599
CCDC25	0.273
C14orf48	-0.220166666666667
C20orf116	0.439625
TSPAN11	0.1305
YIF1B	-1.076
FAM12B	0.23025
OR1L6	0.1375
HPN	1.1934
NBN	0.439375
C14orf94	0.275
OCLM	0.1235
ZSCAN18	0.7777
L3MBTL	-1.2618
TSTA3	1.07933333333333
RAC1	0.489
C19orf15	0.0691666666666667
NFE2	-4.83975
KLK14	0.2135
ARSF	0.596
MAST2	0.256
AMICA1	2.49233333333333
GTF2A1	0.28475
ATP1A3	-0.07975
TC2N	3.4203
PNKP	0.276
ODZ2	1.8885
MATR3	0.277125
S100P	-2.288875
KRT82	0.1035
CA13	0.2822
PROZ	-1.81133333333333
AASDH	0.389125
C19orf40	-0.493166666666667
DCK	-0.879615384615385
FAM5C	-1.747
SLC6A4	3.515
MID1IP1	0.57125
TESSP5	0.2805
TMOD4	-0.312
DOCK2	-0.332333333333333
TUG1	0.064875
NUP214	-0.239
DPYSL2	0.257545454545455
GOLM1	1.94375
MPFL	0.2185
SOX13	1.09975
SDCCAG8	1.13
KEL	-2.44883333333333
NUP210L	-2.55725
GK	-0.095875
DNAJB1	0.6295
ALPK3	0.0505
CHID1	0.1776
CYLC2	0.566833333333333
IKZF5	0.69
C8orf51	0.941333333333333
PPM1J	1.34125
GIMAP8	2.90833333333333
GPR101	-0.1895
NR2F1	1.488
ACAD8	-0.202
RBM35A	1.238
GNAI2	0.583333333333333
METTL8	-0.837166666666667
SLC39A7	-1.41775
FBXO8	0.7235
CAMK1	0.4585
RFC3	-1.69625
FAM129A	-0.144571428571429
ILF2	-0.77275
FGFBP3	-0.451375
NOM1	-0.114
PSMA3	-0.3965
ASCC3	0.0807
ZYG11A	-0.17325
SOX21	-1.448125
LYRM1	0.72725
DEFB1	3.3775
LOC91431	-3.41233333333333
OR7C2	1.977
FAM46B	1.7095
TMEM18	-0.662125
ARHGAP30	1.43583333333333
TMEM86A	1.97358333333333
EPHA2	-0.354166666666667
C10orf46	0.44105
TCHH	-1.19066666666667
C3orf30	0.213
LOC285636	-0.206833333333333
PAIP2	-0.01725
CYP2U1	0.108875
C12orf34	0.96775
SARS2	-0.8505
ZCWPW1	0.93875
SAMD12	1.598875
KIAA1430	0.1665
ACAT1	-0.172
MEOX1	2.69566666666667
ADAMDEC1	3.87525
PHKA2	-0.5485
CARD11	-0.4835
CALML4	1.5325
TSSC1	-1.02475
TMEM45A	-1.31922222222222
MPP7	1.9585
POU1F1	-0.14925
SLC2A13	1.7647
FBN2	0.390285714285714
ZC3H7A	-0.00850000000000001
LAIR2	-0.411
ST3GAL1	0.742666666666667
LCT	-3.526
GEMIN8	1.10633333333333
KLF16	0.4045
HIF3A	-0.2355
FAM44A	-0.0382857142857143
AQP10	-1.3244
PLA2G2A	-0.738
FOLH1	1.012
C20orf186	0.371
MAPKAP1	1.060125
SPRR2D	-1.259
UBQLN4	-0.404833333333333
RSHL1	-0.0168333333333333
PIAS3	0.04375
MRPL24	0.597
GREB1	-1.93725
FAM27E3	-1.2885
NUP62CL	-1.1895
NEUROG3	-0.274
REEP3	0.959333333333333
MARK1	1.35275
LMBRD1	0.79
PRPF19	-2.111
PNMT	-1.197
CTGLF1	-1.385
SLC25A16	-0.038
EIF2B3	-0.706
RPA2	-0.65425
PAK6	0.521166666666667
CCDC26	-4.437375
SEMA3E	4.61125
MXD4	0.7297
TNFSF10	4.6477
SMARCB1	-0.526166666666667
DTX3L	1.60833333333333
PLA2G4E	0.3215
PPAP2A	1.48
ULK1	-0.302
TAS1R3	0.0515
SLC2A3	-1.68709090909091
ARID3A	-2.19475
GNG5	0.007
ACOX1	-0.1019
KIF5B	-0.0205
NUP153	-1.14025
MUC7	1.058
CSDE1	-0.669357142857143
CLPTM1	0.27925
C3orf23	0.237
LRRC17	1.14283333333333
TTYH3	-0.54425
ATP5B	-1.613
ELF3	2.1963
CPSF3L	0.210333333333333
ZNF665	0.897166666666667
TLR6	0.4834
GPI	-1.26175
RAD9A	-0.437625
NDST4	-3.83075
AGPAT3	0.316833333333333
MAGI3	0.919833333333333
ADORA2A	0.473625
CACNG7	-0.1765
CAMK2D	0.365285714285714
CCHCR1	-1.0795
RPS27A	-0.20825
OR10G7	0.0816666666666667
GCM2	-0.453
FAM135B	1.4855
E2F1	-2.428
PLCB3	-0.07325
OR2AE1	0.4985
COIL	-0.793666666666667
CDC25C	-3.926
RAB11FIP2	0.525166666666667
TSC2	0.26025
CTGLF5	-1.6625
CCDC108	2.0118
OR13C4	0.304
C10orf81	5.58475
PTPRB	1.934
ACP2	0.29525
LAG3	0.514
MRPL54	0.4225
LOC201175	0.332
ITGB1BP3	-1.849
SPTAN1	0.746166666666667
SIPA1L2	-1.08175
RCAN2	-0.1595
CDX2	-0.954
ECOP	0.631
ACTR1A	-0.1475
PPARG	-1.82133333333333
BBS10	-0.0691666666666667
TMEM44	-1.121375
BPIL2	0.1455
CITED1	0.65475
IRF6	4.1075
PRDM4	0.216333333333333
RRP9	-0.141666666666667
OR10H4	0.4305
IL31RA	-0.2305
GNB1L	-1.40216666666667
MYBL2	-3.260375
ZNF407	0.992666666666667
PPIG	-0.186166666666667
TTC18	2.9275
RPSA	0.234
MAPT	1.501125
MRE11A	-0.131
C8orf37	0.156666666666667
RASGEF1C	-0.0325
STBD1	0.49025
CTAG2	-0.711
MGAT5B	-2.756
ECM1	2.4765
RLN1	1.065
PARP14	0.8748125
EPB41L1	0.9782
HOXA3	0.632166666666667
MAGEA9	-5.1965
RPS8	0.422333333333333
RPS19BP1	-0.69875
FOXJ2	0.41875
C10orf76	0.4595
IL17RE	-0.01325
C10orf65	-1.406
ZNF343	0.179833333333333
FBXO33	-0.4445
UHMK1	0.8949
LY6G6C	-0.316
FGF19	-1.88375
C14orf128	0.271333333333333
IFIT2	2.316375
TIGD1	-0.79825
S100G	0.205
GUCY1B3	2.7515
NR3C1	-0.2011
CORO1B	0.0741666666666667
PARP11	0.241333333333333
DNALI1	4.14066666666667
OR4N4	0.261375
MAP2K6	-0.408333333333333
FSTL4	1.33675
ANKRD47	1.603375
TMEM171	-1.396
PNLIP	3.3855
YY1	0.0273333333333333
CCDC138	-2.04716666666667
AASDHPPT	-0.5096
CKS1B	-1.6731
MCM3	-1.9425
ANAPC7	-0.8795
FAM110A	1.2425
CDC37L1	1.41666666666667
THTPA	0.67875
NBPF20	-0.483
WDR24	-0.03375
NPTX2	-3.0585
CBLB	1.00283333333333
CETN1	0.224833333333333
RPUSD1	-0.21625
FAF1	-0.53875
CDK6	-2.2623
HMX2	0.129
CSK	-0.1575
TEAD2	0.52275
SNAP25	-0.9105
TUFT1	2.2239
TMTC3	0.2695
LCK	-1.5005
SGOL1	-2.62483333333333
AKTIP	0.925
FURIN	-0.084375
SOX12	-0.528833333333333
DEFB103A	-1.895
RAMP1	1.18825
KIR3DX1	-0.108
GAS2L3	-0.97175
PDE8A	-0.7613
EDN3	5.01425
GMIP	0.75225
SF3A2	0.3065
FN3KRP	-0.85775
SMAD7	1.43925
RHBDD2	0.2355
OR11H6	1.124
PPP1R3B	0.9356
C9orf23	0.476
CADPS	-2.768
GOLGA8A	-2.741875
TMEM57	0.136
RGL3	0.6835
S100A14	1.71325
FGFR2	2.6719375
XRCC3	-0.59475
RTN4RL2	0.22325
MGC3771	2.109
GH2	0.252166666666667
BTBD2	0.38025
LMO2	0.528
RDBP	-0.82375
ACRBP	-0.83
AMY2A	1.53475
DUOXA1	0.164
PTK7	0.153666666666667
TWF2	0.0876666666666667
FAM80A	-0.2315
TNNI2	-2.435
GLT25D1	-0.718333333333333
OCC-1	-1.02
CYC1	-0.760333333333333
RPL22	0.494090909090909
MORN3	2.19683333333333
DISP1	0.54975
PRB2	-0.3675
CHUK	-0.2125
HR	0.14925
CCDC134	-0.5475
DENND4B	-0.75225
C14orf130	-0.594625
RAB33A	-1.10775
DCST2	0.4515
TNMD	-2.25375
PEX7	0.8605
FAM62A	-0.0355
SRD5A2L	-0.336
IL22	-0.12775
RPS26	-0.998
HOXC5	0.42
SPATA6	1.8815
FLJ38482	0.37875
ZNF234	1.463
C18orf22	0.1465
SPATA22	5.3905
THOC1	-0.549
CYP7B1	3.397
KCNC3	0.1735
C8orf42	0.779
ALDH1B1	0.0205
CCDC100	0.3375
ARMC4	0.75725
FAM18B2	0.899
SLC44A1	0.91025
FBXO17	-1.4155
C6orf107	-1.008
C19orf29	-0.21975
ZC3HAV1L	-0.0715
PARP6	0.0596
SULT2A1	-4.697625
C1orf159	-1.05825
TMC1	0.66175
CHST14	0.12525
GAMT	-0.541666666666667
SMCP	0.151333333333333
TSPAN33	0.835
MIDN	0.261875
NOX4	2.40925
RNASEN	-0.8252
TBX1	-1.117
SALL2	-0.433
C10orf35	1.06475
CYP2E1	-0.888125
LRFN2	1.17516666666667
ACO1	-1.17633333333333
IQCG	2.2772
MEGF9	2.48875
TM7SF4	0.3795
PLEKHA1	0.947933333333333
STK33	-1.5375
C1orf210	2.2055
SNUPN	0.0526
KIAA0406	-0.7567
C20orf29	0.248
TMEM55B	-0.172
OSTM1	-0.961125
CLCN7	-0.38925
OTP	-0.15725
FLJ23049	2.159
HEATR4	0.748
MAP3K10	0.129
PCDHGA9	0.5255
AMDHD2	0.63275
LCTL	-2.03
PDCD2L	-1.4465
CABLES2	-0.2585
SLC5A9	-0.64875
CLCA2	-0.367
MGC16025	-0.393
STRAP	-1.38333333333333
C20orf196	0.425
RRBP1	-0.0255
NAT13	-0.298
MAT2B	0.455
CSNK1D	-1.00566666666667
KIR3DL1	0.2655
PRKAG3	-0.003
ZNF599	0.737
PRM3	0.5605
PER2	1.711
ASPHD1	-2.756
PRMT6	-0.43275
KCNE1L	-0.543071428571429
FAM118A	-1.39616666666667
TAF4	-0.08525
NDUFB6	0.05475
TRIM9	-0.725083333333333
PMFBP1	-1.1465
KY	0.704
DKFZp762E1312	-5.08636363636364
CSMD1	-0.77225
TBP	-0.7855
OR1Q1	0.404
RETNLB	0.099
HPGD	0.0532857142857143
DNAJC12	2.57366666666667
FKBP1B	-1.335
ANKRD24	0.427333333333333
CXXC5	-0.7815
IL3	0.128375
DRAM	0.6124
PTCH1	-0.477125
TP53BP1	0.2675
SLC17A7	-0.272625
COL25A1	-1.3847
AMACR	-0.334666666666667
RHCG	0.043
VPS13A	-0.831666666666667
FAM55D	0.7085
PRPF38B	-0.546166666666667
OSBPL6	-1.92175
PFDN5	0.4779
CMTM6	0.699375
KCNK12	-1.63875
RP2	0.78325
C16orf52	-0.99
PICK1	0.135
IFNE1	-0.5315
SEMA4B	1.64175
TYRO3	-2.62625
OR12D2	-0.241
CSNK1A1	0.4579
FANCF	0.906
LONP2	0.653375
TBL1Y	0.16425
LDOC1L	0.02225
CCNC	-0.97
C3orf60	0.34625
CHKA	-1.70825
UBAP1	0.867
MAP3K1	1.925
ANKRD9	-0.7315
FAM92A1	-0.9445
GAB2	0.698125
AZU1	-0.12325
DIS3	-0.7855
C21orf109	-1.5765
IQCB1	-0.244
SPATS2	-1.0535
EFCAB3	0.430333333333333
PRB3	0.60725
FUZ	0.616666666666667
ZNF813	0.327625
BMPER	-1.00966666666667
HEG1	0.238
ALS2CR11	-1.9795
SURF2	-0.2135
PSMC1	-0.590916666666667
OR2D2	0.3585
SLC7A8	1.418
C4orf40	-0.216
SPATA7	1.1145
MAZ	-0.120833333333333
PIN4	-0.0945
PDE1A	0.392875
TAF6L	-0.278166666666667
OR2T34	0.1555
KIAA0284	0.54875
ACADS	0.0146363636363636
MKRN2	-0.2825
C18orf56	-2.16725
MS4A6E	-0.0778333333333334
GALNT4	0.672
C22orf31	0.0465
FLJ36070	0.57
PSME4	-0.52075
TFG	-0.2724
EPHX2	1.914875
ANXA5	-0.33275
KRTAP1-1	0.2802
BATF	2.50275
KARS	-1.66225
MSTP9	0.283
GPR26	-0.18425
CCDC72	0.80475
TEF	0.17
FOXK1	-0.2299
PRLHR	-0.1995
EMX1	0.7245
C11orf30	0.0195
ICK	0.457
THSD7B	0.88075
C21orf100	-0.9865
DUOX1	2.6655
EFCAB4B	0.28125
UBE2G2	-0.820333333333333
C3orf54	0.18
PARP1	-0.52475
FAM60A	-0.204333333333333
C6orf146	0.219333333333333
OR9K2	0.653
DDX55	-1.46216666666667
RPS15	0.479333333333333
ZNF618	0.974125
DKFZp686D0972	0.96875
SSPO	0.696
SHFM3P1	0.687333333333333
CPA6	-0.747
JAG2	0.6855
DEFA3	0.82575
PPBPL2	0.372666666666667
CD34	4.3975
SLCO4A1	-3.19275
AFG3L1	-1.80266666666667
SHD	-1.3535
RP13-122B23.3	-0.498
PRKCSH	-0.104166666666667
DPH5	-0.238333333333333
HLA-F	1.783375
TBC1D4	-0.78825
RIG	0.0446666666666667
GLUD1	0.0496666666666667
HNRPCL1	0.59275
HBXIP	-0.13825
RNF207	-0.2455
APIP	-0.3735
PLA2G3	-2.09583333333333
CCDC84	-1.298
MYLIP	0.169
PHIP	-0.2565
AARS2	-0.478333333333333
DHX32	1.22675
SCAPER	0.4395
MEN1	-0.068875
NIP7	-1.49275
FLJ25404	0.475
FASTKD3	-0.87025
TMEM158	-2.50975
RARA	0.48725
BDH1	1.07
ANKRD16	0.70425
CARM1	0.286
SS18	0.307
IKZF2	0.632666666666667
MYD88	0.810625
PML	0.78935
TAF1A	-0.534
CBFB	-1.157625
HIST1H3H	-0.2135
C7orf29	-0.95875
COMMD4	-0.451
DPP3	-1.356
DAB2	0.30625
LOC388882	-0.2455
YPEL4	0.044375
AGBL3	0.31175
LRP6	0.499
SERPINH1	-0.236666666666667
TLE1	1.33575
CD244	1.38816666666667
ZDHHC15	0.45475
MGLL	1.4504
PLDN	0.347333333333333
LOC654346	1.568
FAP	3.087
GPR37	1.55933333333333
SCARA5	2.15566666666667
EBF4	1.41809090909091
LSM6	-0.2045
MLLT1	-0.2365625
SLC5A12	-0.42525
A2BP1	-1.16166666666667
COPS5	-0.0931666666666667
TPM4	0.394214285714286
TNFSF4	-0.226666666666667
ACADSB	1.36883333333333
HERPUD1	0.021
BCL2L11	-0.192777777777778
CEP78	-1.2035
CDCA3	-2.726375
WBSCR19	0.4821
MYO1A	-1.9455
PPEF1	2.41766666666667
LOC440348	-0.30275
CPEB2	1.0875
BPTF	-0.51775
RPL21	0.242625
GSX2	-0.1655
ADPRH	1.852
C17orf68	0.3945
KCNS1	-0.171833333333333
MLLT6	0.0948
PIWIL4	-0.1145
RNF26	-0.95425
RAP1B	0.4265
ADAMTS1	-0.0808
ZNF571	1.02625
P2RY6	-0.32725
TRIM21	0.812333333333333
CADM3	0.5815
NLRC5	0.4255
ADRA2B	0.0795
LOC90835	0.781875
PCF11	-0.016
LOC400451	1.78925
GLTSCR1	0.3379
C17orf88	-0.595333333333333
CDH16	-1.93375
FGF7	2.96725
PCSK4	-0.271
NPC1L1	-0.830166666666667
TAT	2.680125
TBCA	-0.681
MGC33407	0.00649999999999999
GPR115	-1.509625
CYGB	0.731
FNBP4	-0.8325
C12orf43	-0.07925
CBL	-0.6153
CLECL1	2.26375
PPAPDC1A	1.2785
WDR25	0.128333333333333
SGCA	0.9665
C22orf29	-0.456333333333333
YIPF1	1.53125
GALK2	-0.55775
RAB3B	-3.231
LOC440087	1.56175
UCP1	-0.208
REEP5	1.552625
FADD	-0.8022
FOXA1	2.553125
CACNA1A	-0.1605
ABI1	0.126666666666667
GRIN2D	0.44675
SLC1A4	0.0388333333333333
LOC401127	-0.955
HINT2	0.82725
PLD4	1.7295
