Hybridization REF	TCGA-A7-A0DB-11A-33R-A089-07
OR8G1	-0.3435
MDGA1	1.43575
ADARB1	-0.336125
GGT1	-1.5135
WNT1	1.0372
DBP	-0.018
COL5A3	2.87875
RHOD	-0.34125
COL4A2	3.35575
LOC201164	-0.2255
HEBP1	1.53725
LUM	1.97025
ZCCHC6	0.25875
PAGE1	-3.686
DTX2	0.5395
SLC7A13	-0.09425
H3F3A	-0.422714285714286
RABIF	-0.37225
D4S234E	-2.1405
DYRK3	-0.474166666666667
PFAS	-1.16233333333333
ALOXE3	-0.004
RPLP0	-0.442642857142857
RBM34	-0.393833333333333
C12orf28	-1.058
U2AF2	-0.538333333333333
MKNK2	1.151875
SEC16A	0.310166666666667
ZNF44	0.0356
YWHAG	0.663625
IGF2BP2	-2.34063636363636
OR1D5	-0.019
SIX6	-2.995
CCR6	-1.79725
PALM	2.94425
PUM2	-0.0317142857142857
SPRYD5	-1.664
ALG10B	-0.658625
ZNF365	-1.01675
PHC1	-2.053
KIAA0913	-0.1105
ARX	0.425
PPP3CB	1.414
IRX6	1.5405
ANGPTL4	3.1357
LSM14B	-0.5683
PCDHGB7	0.5535
INSM1	-0.462916666666667
WBP2NL	-0.9215
ZNF493	-0.0766875
NGEF	-2.41375
RNASE13	0.7365
SPPL2A	0.5045
SFXN1	-2.098
FAM102A	-0.5485
SAPS2	-0.292916666666667
JTV1	-1.1595
OR51B4	-0.7735
SCGB1A1	-0.120166666666667
NEUROD2	-0.067
tAKR	-0.108
C1orf26	0.667
RICH2	0.035
TEDDM1	0.2755
CYP2S1	0.462
TBCE	-1.01266666666667
MAPK1	-0.178875
HDHD1A	-0.22125
MRM1	-1.001
ATP9A	0.926071428571429
HSD17B3	0.0596666666666667
HN1L	-1.10633333333333
RNF216	-0.2055
HOXD12	-0.096
PPP1R14B	-0.836875
SBF1	0.04875
TAS2R42	-0.707
USP46	-0.433833333333333
LILRB3	3.58983333333333
SPI1	2.396
OXSM	-1.01625
GYS2	0.714
NUPL2	-0.83375
C8orf46	-0.014
SF3A1	0.18725
C21orf99	-0.4455
HOXB4	1.4153
YRDC	-1.3705
GPRC5D	-0.0295
BLVRA	0.457375
KIF12	-1.176
LRRC23	0.49625
FAM14A	1.404
RASL12	1.89125
DAZAP2	0.82075
IKBKB	0.173571428571429
ZNF271	0.937
BOK	2.30075
CXorf6	0.233
MYEOV	-1.1755
BTN2A2	-0.8321
FRG1	0.21675
HSP90AB6P	-0.718
ENOX1	1.4465
ZNF706	0.4445
DOK1	1.9233
PGAP1	-0.3985
TMEM136	-0.646
FSCN1	-0.90675
KIF17	1.464
TRIM66	-0.041
CBR3	2.143
C13orf24	-0.282
C19orf52	-0.33775
BNIP1	0.4455
AQP3	-0.848125
KRT6C	-2.6555
SIRPA	1.98575
IGFBP6	3.295
PLEKHK1	-2.40825
RNASE7	-0.0135
ARHGEF15	1.46225
NPHS2	-0.217
SRD5A1	-0.88825
REXO4	-0.78325
EEF1DP3	-0.01175
SLC37A2	2.69875
ZNF142	-0.621
ANKHD1	-1.21
MUT	0.6385
VPS37A	-0.141
GPRIN1	-1.35225
SLC38A3	-0.824375
BAZ2B	1.05475
WDR87	0.338666666666667
BRD7	-0.24325
POU6F2	-0.1235
NISCH	1.0285
TCEB1	-0.741
LINGO2	-1.80175
TAX1BP3	1.21075
RPL34	-0.0968888888888889
MARK2	-0.334
AKAP12	2.3576
AMBN	0.001
SLC25A27	0.5425
FLJ21865	-0.178875
KIR2DS2	0.766166666666667
WDR77	-0.763
ATF2	0.199083333333333
ITFG3	0.604666666666667
SLC39A13	1.22175
ARL6IP5	1.92625
C10orf137	-0.562875
QTRT1	-0.483166666666667
CCNT1	-0.239
DYNLL1	0.2946
WDR53	-0.63575
LIPG	-1.473
ASAH3	0.5585
HELB	0.65075
PHACTR2	1.878125
VENTX	0.38875
LAD1	-2.68116666666667
PAOX	1.39125
MAPK8	-0.125
CCDC38	0.20025
DNAJC8	0.0979
RBBP8	-1.21875
WNT11	3.0122
KCNJ12	2.05183333333333
HDAC8	-0.0418333333333333
STARD4	-2.551
ACVR1	1.74833333333333
C14orf65	-1.70133333333333
KLB	2.3605
C1orf65	0.024
ZFYVE28	0.379375
NSUN6	0.31675
KIF27	-0.0625
SYTL2	-1.9385
UBXD2	0.0834
OR6T1	0.1705
CCDC91	0.456428571428571
GRID2	0.013
CALN1	0.0995
ZNF423	2.982
PSMB4	-0.593166666666667
XPNPEP3	9.25185853854297e-18
ARPP-21	-2.7898
SART1	-0.308
RACGAP1P	-1.4495
SPTA1	-2.12825
C6orf113	-0.965666666666667
C7orf16	-1.5045
CHST7	1.4875
C21orf29	0.001
SEMA6D	0.143125
PCMTD1	1.7615
KIAA1754	0.0771666666666666
MYCN	-1.2003125
KCNJ3	-0.82625
MAPK13	0.6563
ERO1LB	0.6065
NTF3	-0.797
NKX6-2	-0.99675
GTF2B	-0.3155
GSPT1	-0.674666666666667
GUSB	-0.244333333333333
LOC221091	3.2885
LIG1	-2.54225
EXTL3	-0.065
NID2	-0.25575
TTC29	-0.4895
TMEM97	-2.58375
EXTL2	-0.324166666666667
SUZ12	-1.070625
IL1F8	-0.421
KRT18	-4.56463636363636
MRPS16	-0.290833333333333
PI4K2B	-0.8275
LACRT	0.147
OR51F2	0.137
JMJD2C	-0.101
KGFLP1	3.362
CDK5RAP3	-1.1645
YTHDF2	-0.221
GGCX	0.538
ARPC4	0.655
EGLN2	0.9125
KBTBD4	0.425928571428571
ROBO3	0.6762
DEFB118	0.803
KIAA1543	-2.2515
RTCD1	-0.129666666666667
MZF1	-1.05575
C18orf26	0.2665
CNIH4	-0.625333333333333
ZFP2	2.2655
HTATSF1	0.14725
WFDC2	-1.97125
NDUFA7	-1.355
TTC22	-0.110166666666667
FAM40B	-2.67
DCPS	-0.872
SH2D1B	0.641
MRGPRE	0.442
SBK1	-0.22125
UNQ6411	0.256
OSBPL9	-0.96925
NUP107	-0.89375
MYOZ3	-0.3762
PDE4B	-0.579416666666667
FAM113A	-0.271
IDH3G	0.0745
FBXL7	0.6925
ARFGAP3	-0.04025
MAPRE2	0.335692307692308
IL1RN	-0.046
KIF13A	0.52025
RAC3	-0.8625
TCTE1	-0.2135
TMEM14B	-0.538833333333333
ADIPOR1	0.081
GRINA	1.0835
CLIP4	2.48225
LRIT2	0.122
TFPI	-0.248
FABP6	-2.27175
SLITRK2	0.1038
HKR1	-0.2275
SMTN	0.53675
C1orf75	-0.44775
CD209	2.1395
CYB5R2	0.77825
DNTTIP2	-0.535166666666667
CSGlcA-T	0.1155
GABRB3	-1.22675
PCBD1	0.475166666666667
TAF3	0.43225
HOXD3	0.995166666666667
GIPC3	-0.0633333333333333
P11	1.1791
BFSP1	-0.4575
LCP2	1.23375
TAS2R8	0.789
SEZ6L	-0.511375
NR2C1	-0.535875
EXDL2	0.5964
TNFRSF13B	-2.23416666666667
MKI67	-2.88425
GLS	0.301583333333333
C7orf54	-0.4606
LGALS13	0.326333333333333
IL4R	0.724
SEC11A	0.3105
SPP2	0.134166666666667
C18orf32	0.19975
CLSPN	-2.23533333333333
SPAG1	-0.716875
C9orf82	-0.66775
TM4SF1	-0.800333333333333
EMILIN2	4.49525
SMG7	-0.147333333333333
TAS2R13	-0.1335
ZNF628	-0.402
DZIP1L	0.541166666666667
ANKRD13A	-0.0496
VASP	-0.244125
ZCCHC11	-1.097125
SYPL1	0.306625
MGC34774	0.10925
C4orf28	0.00925000000000002
KIAA1211	-1.75083333333333
RPS27L	-0.082
TATDN3	0.10925
PDCD1	-0.97275
OR5P2	0.4165
IFIT1L	-0.4395
MIPOL1	-0.5865
OR51D1	-0.07125
C1orf92	-0.516333333333333
LAMP2	0.407444444444444
CAT	3.00116666666667
C16orf80	-0.45825
C15orf32	-0.034
ZNF746	0.6325
C1orf76	-0.616
ATXN1	0.37175
LAMC2	-0.557
SLC2A7	-0.5915
CPOX	-1.082
APH1B	1.91733333333333
LOC442245	1.13625
CTNND1	0.707166666666667
GABRG2	-0.85325
MADCAM1	-0.214166666666667
F5	-2.277875
SEMA4F	0.572166666666667
NUDCD3	0.315
PDZD11	-0.0725
TRIML1	-0.488
GCNT3	-2.26966666666667
TMEM120A	1.61425
CNDP1	-0.335
N4BP1	0.425625
SLC35F2	-1.864875
LCP1	0.551416666666667
IGBP1	0.4255
DCAKD	0.368125
ELA2A	-0.764
C12orf56	-1.77025
PITRM1	0.4325
GUK1	0.4265
RASSF8	-0.1681875
OR2A14	0.07875
ADM	0.377777777777778
FGD3	0.632666666666667
GHRHR	0.431333333333333
RHPN2	-1.9535
C4orf39	-0.554666666666667
VPS72	-0.44075
SERF2	0.853277777777778
CD22	0.747333333333333
CD47	0.5243
PPIC	1.47716666666667
IMPDH1	0.141583333333333
ACP6	-0.907833333333333
PRKACA	0.640125
PPP1R1A	4.514625
TRPV3	-0.1865
ASXL1	-0.58825
C17orf55	-0.505
FXYD1	3.404
LMOD2	0.182
ANKRD33	0.1935
LCE2C	-0.22175
ZNF620	-0.9335
DKFZP566E164	-1.0485
VSIG2	-0.17
KIAA1128	1.462
USO1	0.488
NUDT4	0.594214285714286
CLDN1	-3.11071428571429
OR4Q3	0.004
FASTK	-0.298166666666667
ICOS	-0.230333333333333
LDB1	-0.03875
GSTA5	-2.057
ABCC1	0.317166666666667
FAM54A	-3.2035
PCBP2	0.506333333333333
NUP205	-1.9455
ACTA1	-2.00233333333333
GABBR2	-1.7
PIP5K1B	0.0236666666666667
AGXT	-1.75616666666667
RNF181	-0.1865
ATP8A2	1.05775
AFTPH	0.3259375
FGF21	0.289
FCER1G	2.603375
SNTB1	-0.012
SLC24A3	1.05375
TXNL4B	-0.9013
RPL10L	-0.165
LOC389517	-0.9754
TSGA13	0.0585
SHOX2	0.931333333333333
ITGA7	2.7814
KCNIP2	3.80016666666667
KLF13	1.079
ZFAND2A	-1.029
CEACAM1	-1.37021428571429
PFKFB4	-3.0265
MED19	-0.1855
LRRC57	0.199833333333333
RNF11	0.845
ANKRD32	-3.695
P117	0.13075
OBFC2A	1.00833333333333
POLD3	-0.761833333333333
RAB18	0.901625
TPH2	-0.0605
PHB	-0.5292
JDP2	3.15583333333333
MORF4L1	0.5227
POU2F1	-1.0465
CNNM2	-0.483333333333333
LOXHD1	0.265333333333333
ZC3H15	-0.414
ELK3	0.917
FAM111B	-1.96725
CBLC	-0.813666666666667
SBNO1	-0.174
ANKMY2	0.0725
PLEKHA5	0.06725
DHX58	1.4655
ARCN1	0.359833333333333
TREML1	0.2003
KNCN	0.375
SEC24A	-1.033375
PSCA	-1.5845
MGC24125	0.470833333333333
DNA2L	-2.53475
CIB4	-0.178
HIGD2A	0.3325
TBX6	-0.004
TTLL5	-0.946
SGK3	0.134
GCN1L1	-0.15925
AMOT	0.4685
LDOC1	0.0246666666666667
NRK	-0.191833333333333
ASB9	-0.97625
NAT1	0.3446
TRAFD1	0.32975
PEAR1	1.19083333333333
FAM36A	-0.77975
OR1S2	0.0181666666666667
LOC388323	-2.22966666666667
PGS1	-0.5055
LEPREL1	-1.859
TFF1	-4.23875
HAP1	0.254
EPHB2	0.44875
ACTG1	0.201333333333333
ZFP42	-1.20116666666667
HAVCR2	2.7935
NME1	-1.023
SNX26	-0.210666666666667
LACTB	0.739833333333333
ZKSCAN2	-1.106125
C5orf35	0.08325
ANKS3	-0.95475
RBM28	-1.277
DKFZP586P0123	-1.08175
HNRNPA1	-1.29116666666667
BCAS3	-1.05158333333333
FLJ20184	-0.05
POLA2	-1.74233333333333
TMC7	-0.381166666666667
HSD17B6	-0.343
ZNF658B	0.8345
TTTY10	0.215666666666667
RANBP9	-0.337583333333333
CPNE7	-2.76
EVL	-1.024
LNX1	0.443166666666667
IFNA21	-0.105833333333333
CFD	5.16375
PYCARD	0.772166666666667
MYBPC2	-0.97
ENPP3	-1.607
ACSL4	0.337
LOC440258	-0.762166666666667
TMEM176B	3.2965
SOX2	-5.11275
SCO1	-0.393333333333333
COMT	0.2855
AOC2	1.05075
PDLIM5	0.994428571428571
SPHK2	0.397166666666667
NXPH2	-0.4015
GPR108	0.805666666666667
RAD51L1	-0.5985
TMEM54	-0.20725
LETMD1	0.0726666666666667
SLC6A17	0.30975
KRT75	-0.1895
STT3B	-0.586666666666667
CD3EAP	-1.2665
TMEM63A	-0.70825
DUSP13	-2.99575
CD1C	1.7575
LASS2	-0.127166666666667
AVP	0.408
PITPNM1	-1.13525
FLJ22795	-3.2895
MCTP1	-1.29475
TRIM68	0.7665
UCK2	-1.69916666666667
ABHD1	1.493
FAM50A	0.16775
RNASEH1	-0.568333333333333
PCP2	-1.00083333333333
OR52H1	0.4315
C20orf149	-0.6735
RBP5	0.657833333333333
HYAL3	-1.15075
CLPB	-0.222
SMNDC1	-0.52375
DONSON	-2.765
FLJ27523	0.738
BARHL2	-0.132166666666667
SLC30A9	-0.269666666666667
TMPRSS11B	-0.06075
E2F8	-2.44566666666667
CCDC25	0.109916666666667
C14orf48	-0.249333333333333
C20orf116	0.185375
TSPAN11	0.5735
YIF1B	-0.9495
FAM12B	-0.136
OR1L6	0.1255
HPN	-2.8052
NBN	0.16175
C14orf94	-0.0698333333333333
OCLM	-0.5115
ZSCAN18	0.9418
L3MBTL	-1.1844
TSTA3	-0.425333333333333
RAC1	0.423625
C19orf15	-0.220666666666667
NFE2	-4.5
KLK14	-0.128
ARSF	0.4445
MAST2	-0.140666666666667
AMICA1	2.6165
GTF2A1	-0.26725
ATP1A3	-0.562
TC2N	0.5591
PNKP	-0.11725
ODZ2	-3.290625
MATR3	-0.27225
S100P	-4.808
KRT82	0.0195
CA13	-0.2373
PROZ	-1.82416666666667
AASDH	-0.2465
C19orf40	-1.06783333333333
DCK	-0.868
FAM5C	-1.62475
SLC6A4	-1.8185
MID1IP1	0.369125
TESSP5	0.327
TMOD4	0.552166666666667
DOCK2	0.893
TUG1	0.047625
NUP214	-0.78
DPYSL2	1.2565
GOLM1	-0.157416666666667
MPFL	0.34325
SOX13	0.58475
SDCCAG8	1.004
KEL	-2.52216666666667
NUP210L	-2.34925
GK	-2.191
DNAJB1	0.79125
ALPK3	3.141
CHID1	0.3736
CYLC2	0.792333333333333
IKZF5	0.077
C8orf51	-1.88
PPM1J	-1.24475
GIMAP8	4.87483333333333
GPR101	0.0305
NR2F1	-0.2785
ACAD8	0.09025
RBM35A	-2.93475
GNAI2	1.3905
METTL8	-0.41
SLC39A7	-0.75475
FBXO8	1.17175
CAMK1	1.81075
RFC3	-1.652875
FAM129A	1.29185714285714
ILF2	-1.16025
FGFBP3	-0.8765
NOM1	-0.494166666666667
PSMA3	-0.579
ASCC3	-0.7252
ZYG11A	-4.87025
SOX21	-1.1855
LYRM1	1.5045
DEFB1	2.797
LOC91431	-2.84733333333333
OR7C2	-0.258
FAM46B	-1.417125
TMEM18	0.13
ARHGAP30	2.59716666666667
TMEM86A	2.36483333333333
EPHA2	-0.374833333333333
C10orf46	0.20565
TCHH	0.367333333333333
C3orf30	0.318666666666667
LOC285636	-0.306166666666667
PAIP2	0.39875
CYP2U1	0.999125
C12orf34	-1.35975
SARS2	-0.655666666666667
ZCWPW1	1.0295
SAMD12	-0.5595
KIAA1430	-0.257125
ACAT1	1.0145
MEOX1	4.784
ADAMDEC1	0.824
PHKA2	0.17575
CARD11	-1.80283333333333
CALML4	0.621
TSSC1	-0.74825
TMEM45A	-0.917222222222222
MPP7	0.589875
POU1F1	0.2245
SLC2A13	-0.2836
FBN2	-1.86485714285714
ZC3H7A	0.2553
LAIR2	0.10825
ST3GAL1	0.734
LCT	-3.04125
GEMIN8	0.114
KLF16	0.3405
HIF3A	1.3355
FAM44A	0.165214285714286
AQP10	-0.7673
PLA2G2A	3.9005
FOLH1	1.04933333333333
C20orf186	0.7485
MAPKAP1	0.695
SPRR2D	0.7705
UBQLN4	-0.186166666666667
RSHL1	0.772833333333333
PIAS3	-0.38675
MRPL24	0.2085
GREB1	-3.359875
FAM27E3	-2.3315
NUP62CL	-3.68275
NEUROG3	0.618
REEP3	0.931833333333333
MARK1	1.38675
LMBRD1	1.5825
PRPF19	-1.316
PNMT	-0.2225
CTGLF1	-0.2455
SLC25A16	0.82275
EIF2B3	-0.176
RPA2	-0.16275
PAK6	-0.206166666666667
CCDC26	-4.011875
SEMA3E	1.784
MXD4	1.4241
TNFSF10	3.2941
SMARCB1	-0.104666666666667
DTX3L	0.788833333333333
PLA2G4E	0.699
PPAP2A	2.79375
ULK1	-0.267333333333333
TAS1R3	0.0225
SLC2A3	-2.09581818181818
ARID3A	-1.79275
GNG5	-0.47975
ACOX1	1.2313
KIF5B	0.38925
NUP153	-0.7615
MUC7	-0.711
CSDE1	0.0597142857142857
CLPTM1	1.01825
C3orf23	0.278125
LRRC17	1.57083333333333
TTYH3	0.653
ATP5B	-0.601
ELF3	-2.9567
CPSF3L	-0.185666666666667
ZNF665	0.2085
TLR6	1.0868
GPI	-0.002625
RAD9A	-0.601375
NDST4	-3.44375
AGPAT3	0.567166666666667
MAGI3	0.807333333333333
ADORA2A	-0.84425
CACNG7	0.1645
CAMK2D	0.967142857142857
CCHCR1	-1.24425
RPS27A	-0.4185
OR10G7	0.142
GCM2	0.1755
FAM135B	0.6608
E2F1	-1.84125
PLCB3	0.84275
OR2AE1	-0.6555
COIL	-0.588333333333333
CDC25C	-2.903
RAB11FIP2	0.850083333333333
TSC2	0.10225
CTGLF5	-0.8365
CCDC108	0.2475
OR13C4	0.0615
C10orf81	-1.12425
PTPRB	3.32175
ACP2	1.42125
LAG3	-0.66725
MRPL54	0.124
LOC201175	0.4225
ITGB1BP3	-1.161
SPTAN1	0.746333333333333
SIPA1L2	-0.38275
RCAN2	0.207
CDX2	0.856
ECOP	0.365
ACTR1A	1.02678571428571
PPARG	3.33133333333333
BBS10	0.722
TMEM44	-0.25775
BPIL2	-0.5265
CITED1	-1.7235
IRF6	0.50575
PRDM4	0.2945
RRP9	-0.94
OR10H4	0.233
IL31RA	-0.37525
GNB1L	-1.31583333333333
MYBL2	-2.654375
ZNF407	0.749166666666667
PPIG	-0.395
TTC18	1.958
RPSA	-0.59
MAPT	0.70025
MRE11A	-0.340285714285714
C8orf37	0.0398333333333333
RASGEF1C	-0.515
STBD1	3.23075
CTAG2	-0.684166666666667
MGAT5B	-1.99733333333333
ECM1	2.225
RLN1	-0.6715
PARP14	1.0935625
EPB41L1	1.0304
HOXA3	0.35475
MAGEA9	-4.59875
RPS8	-0.275
RPS19BP1	0.119
FOXJ2	0.94625
C10orf76	0.743625
IL17RE	-0.041
C10orf65	1.88575
ZNF343	0.427666666666667
FBXO33	0.205875
UHMK1	1.1845
LY6G6C	-0.65675
FGF19	-1.941
C14orf128	0.224833333333333
IFIT2	2.366375
TIGD1	-1.206
S100G	0.1525
GUCY1B3	2.8655
NR3C1	1.5434
CORO1B	0.372666666666667
PARP11	0.647083333333333
DNALI1	2.0465
OR4N4	0.060125
MAP2K6	-0.304166666666667
FSTL4	-0.65525
ANKRD47	2.511125
TMEM171	-1.333
PNLIP	0.13025
YY1	0.035
CCDC138	-3.12616666666667
AASDHPPT	-0.8705
CKS1B	-1.3332
MCM3	-1.47283333333333
ANAPC7	-0.407333333333333
FAM110A	0.05225
CDC37L1	1.65333333333333
THTPA	0.955
NBPF20	1.457
WDR24	-0.46275
NPTX2	-3.09025
CBLB	1.3095
CETN1	0.0806666666666667
RPUSD1	-0.4065
FAF1	-0.6695
CDK6	-1.4238
HMX2	0.4015
CSK	0.203833333333333
TEAD2	0.53375
SNAP25	-0.39525
TUFT1	-0.5892
TMTC3	0.564
LCK	-2.45475
SGOL1	-2.09433333333333
AKTIP	1.5725
FURIN	1.156875
SOX12	-1.49233333333333
DEFB103A	-0.412
RAMP1	-2.1495
KIR3DX1	-0.257
GAS2L3	-0.45325
PDE8A	0.2274
EDN3	-0.11475
GMIP	0.6635
SF3A2	0.7385
FN3KRP	0.386
SMAD7	1.03925
RHBDD2	-0.22875
OR11H6	-0.9255
PPP1R3B	0.4459
C9orf23	-0.26625
CADPS	-2.93075
GOLGA8A	-3.374125
TMEM57	-0.246833333333333
RGL3	-0.806
S100A14	-4.08725
FGFR2	-1.3746875
XRCC3	-1.12075
RTN4RL2	0.09975
MGC3771	0.375
GH2	-0.145833333333333
BTBD2	0.479
LMO2	1.93475
RDBP	-0.478375
ACRBP	-0.5245
AMY2A	2.859
DUOXA1	0.565
PTK7	-1.71683333333333
TWF2	0.9135
FAM80A	-2.1105
TNNI2	-2.433
GLT25D1	0.8165
OCC-1	-1.95375
CYC1	-0.9735
RPL22	-0.0439545454545455
MORN3	-0.374
DISP1	1.91325
PRB2	-0.465
CHUK	0.356
HR	0.275125
CCDC134	-0.33025
DENND4B	-0.2915
C14orf130	-0.43125
RAB33A	-1.6755
DCST2	0.0725
TNMD	3.0565
PEX7	0.008
FAM62A	1.096375
SRD5A2L	-0.2035
IL22	0.08625
RPS26	-1.30483333333333
HOXC5	1.117
SPATA6	1.16775
FLJ38482	1.125875
ZNF234	1.204
C18orf22	0.74925
SPATA22	3.436
THOC1	-0.22
CYP7B1	3.4515
KCNC3	0.39625
C8orf42	-0.2365
ALDH1B1	-0.109
CCDC100	0.1732
ARMC4	-2.74125
FAM18B2	0.19675
SLC44A1	0.5385
FBXO17	-0.346333333333333
C6orf107	-0.47425
C19orf29	0.01625
ZC3HAV1L	-0.44775
PARP6	-0.0927
SULT2A1	-4.50875
C1orf159	-1.61675
TMC1	0.10525
CHST14	0.41175
GAMT	-1.52016666666667
SMCP	-0.220833333333333
TSPAN33	0.99125
MIDN	-0.6905
NOX4	3.65625
RNASEN	-0.7926
TBX1	-0.3315
SALL2	-1.163
C10orf35	-1.72375
CYP2E1	-1.150125
LRFN2	-1.00583333333333
ACO1	1.88283333333333
IQCG	0.9162
MEGF9	1.002
TM7SF4	1.97325
PLEKHA1	0.360666666666667
STK33	-2.684
C1orf210	-0.72725
SNUPN	0.4041
KIAA0406	-0.8639
C20orf29	0.12
TMEM55B	-0.1365
OSTM1	-0.090625
CLCN7	-0.3555
OTP	0.00175000000000001
FLJ23049	-0.22825
HEATR4	0.3
MAP3K10	0.747
PCDHGA9	0.5815
AMDHD2	0.24475
LCTL	-1.2685
PDCD2L	-1.12575
CABLES2	-1.488
SLC5A9	-0.43075
CLCA2	-0.383166666666667
MGC16025	-1.366
STRAP	-0.661666666666667
C20orf196	-0.367
RRBP1	0.1515
NAT13	-0.58575
MAT2B	0.67675
CSNK1D	-0.944666666666667
KIR3DL1	0.3635
PRKAG3	1.327
ZNF599	0.9995
PRM3	0.5115
PER2	0.374333333333333
ASPHD1	-3.2725
PRMT6	-1.28875
KCNE1L	1.29428571428571
FAM118A	-1.21916666666667
TAF4	-1.086
NDUFB6	-0.75625
TRIM9	-1.00433333333333
PMFBP1	0.758
KY	0.3005
DKFZp762E1312	-3.41227272727273
CSMD1	-1.362
TBP	-0.800166666666667
OR1Q1	0.435166666666667
RETNLB	0.30375
HPGD	0.587142857142857
DNAJC12	-3.82633333333333
FKBP1B	-0.9845
ANKRD24	0.064
CXXC5	0.2405
IL3	-0.164125
DRAM	2.0592
PTCH1	-0.267125
TP53BP1	-0.38475
SLC17A7	0.133625
COL25A1	-0.0444
AMACR	0.302333333333333
RHCG	0.20225
VPS13A	-0.353916666666667
FAM55D	0.341
PRPF38B	-0.77975
OSBPL6	-0.81675
PFDN5	0.7935
CMTM6	0.4255
KCNK12	-1.979
RP2	0.6365
C16orf52	-0.9465
PICK1	-0.4125
IFNE1	-1.59333333333333
SEMA4B	-0.4055
TYRO3	1.5575
OR12D2	0.3395
CSNK1A1	-0.0557
FANCF	-0.299
LONP2	0.033125
TBL1Y	-0.61575
LDOC1L	0.148125
CCNC	-0.384
C3orf60	0.11075
CHKA	-1.74375
UBAP1	0.917
MAP3K1	0.7385
ANKRD9	-0.76
FAM92A1	0.0266666666666667
GAB2	1.2855
AZU1	-0.465
DIS3	-0.0959166666666667
C21orf109	-0.92925
IQCB1	-0.83925
SPATS2	-1.27766666666667
EFCAB3	0.12675
PRB3	-0.194375
FUZ	0.0531666666666667
ZNF813	0.051875
BMPER	0.648
HEG1	1.284125
ALS2CR11	0.12575
SURF2	-0.82225
PSMC1	0.333333333333333
OR2D2	0.251
SLC7A8	2.0355
C4orf40	0.4
SPATA7	0.9105
MAZ	-1.0335
PIN4	0.29
PDE1A	0.618875
TAF6L	-0.4205
OR2T34	0.1025
KIAA0284	0.1225
ACADS	2.37390909090909
MKRN2	0.1195
C18orf56	-3.4975
MS4A6E	2.40616666666667
GALNT4	0.5434
C22orf31	0.711
FLJ36070	0.552
PSME4	-0.588
TFG	-0.0425
EPHX2	1.211125
ANXA5	0.907375
KRTAP1-1	-0.1836
BATF	0.74375
KARS	-0.3415
MSTP9	-0.156
GPR26	0.043875
CCDC72	-0.2465
TEF	1.2235
FOXK1	-0.3854
PRLHR	-0.0415
EMX1	0.519
C11orf30	-0.1345
ICK	0.56175
THSD7B	0.67825
C21orf100	-0.191
DUOX1	1.679
EFCAB4B	-0.887
UBE2G2	-0.417166666666667
C3orf54	0.87775
PARP1	-1.366
FAM60A	-3.00666666666667
C6orf146	0.81525
OR9K2	0.507
DDX55	-1.34683333333333
RPS15	-0.43875
ZNF618	0.3766875
DKFZp686D0972	0.9145
SSPO	-1.53
SHFM3P1	1.26516666666667
CPA6	-1.1595
JAG2	1.02225
DEFA3	1.76825
PPBPL2	-0.0913333333333333
CD34	5.487375
SLCO4A1	-2.406375
AFG3L1	-1.6515
SHD	-1.25475
RP13-122B23.3	-0.3345
PRKCSH	-0.862833333333333
DPH5	-0.328833333333333
HLA-F	1.859875
TBC1D4	0.26275
RIG	-0.207
GLUD1	0.353166666666667
HNRPCL1	0.55425
HBXIP	-0.62
RNF207	-0.038
APIP	0.6765
PLA2G3	-2.52666666666667
CCDC84	-1.058
MYLIP	0.818307692307692
PHIP	-0.34725
AARS2	-0.508166666666667
DHX32	0.06225
SCAPER	-0.302833333333333
MEN1	-0.423875
NIP7	-1.30525
FLJ25404	0.7985
FASTKD3	-1.3455
TMEM158	-2.8285
RARA	0.8925
BDH1	-0.267
ANKRD16	-0.27775
CARM1	-0.289
SS18	0.505666666666667
IKZF2	-0.68725
MYD88	0.86375
PML	0.83385
TAF1A	-1.1075
CBFB	-0.562
HIST1H3H	-2.65883333333333
C7orf29	-3.01575
COMMD4	-0.899166666666667
DPP3	-1.17625
DAB2	2.63425
LOC388882	0.5095
YPEL4	0.463
AGBL3	0.829
LRP6	0.1918
SERPINH1	0.735666666666667
TLE1	0.73825
CD244	1.67966666666667
ZDHHC15	-0.203666666666667
MGLL	2.5919
PLDN	0.759333333333333
LOC654346	1.954
FAP	2.961
GPR37	-1.89883333333333
SCARA5	4.54933333333333
EBF4	0.223090909090909
LSM6	0.17725
MLLT1	0.230125
SLC5A12	-0.225
A2BP1	-1.65966666666667
COPS5	-0.455333333333333
TPM4	-0.455285714285714
TNFSF4	1.595
ACADSB	-0.399277777777778
HERPUD1	0.20575
BCL2L11	-1.27383333333333
CEP78	-1.716
CDCA3	-2.138125
WBSCR19	-0.1554
MYO1A	-1.7495
PPEF1	-1.89866666666667
LOC440348	-0.6755
CPEB2	0.89725
BPTF	-0.55775
RPL21	-0.2048125
GSX2	0.3355
ADPRH	2.42433333333333
C17orf68	-0.1085
KCNS1	-0.625333333333333
MLLT6	0.149
PIWIL4	1.44825
RNF26	-0.727
RAP1B	0.964625
ADAMTS1	0.6454
ZNF571	0.43275
P2RY6	0.75075
TRIM21	1.36833333333333
CADM3	1.80525
NLRC5	0.871833333333333
ADRA2B	0.808166666666667
LOC90835	-1.91325
PCF11	-0.5235
LOC400451	0.0975
GLTSCR1	0.6678
C17orf88	-0.222
CDH16	-1.7
