Hybridization REF	TCGA-B6-A0IC-01A-11R-A034-07
NOX4	-0.45825
RNASEN	-0.2848
TBX1	-0.719833333333333
SALL2	1.57575
C10orf35	1.85675
CYP2E1	-0.474
LRFN2	1.8125
ACO1	-1.31033333333333
IQCG	0.9423
MEGF9	2.6835
TM7SF4	0.1925
PLEKHA1	1.01946666666667
STK33	-2.83625
C1orf210	3.105
SNUPN	0.7383
KIAA0406	-1.4898
C20orf29	0.72375
TMEM55B	-0.187
OSTM1	-1.0284375
CLCN7	0.2105
OTP	-0.3305
FLJ23049	-1.02675
HEATR4	1.237
MAP3K10	0.252833333333333
PCDHGA9	0.1445
AMDHD2	0.22
LCTL	-1.7205
PDCD2L	-0.893
CABLES2	-0.5515
SLC5A9	-0.455
CLCA2	-3.2102
MGC16025	-1.239
STRAP	-0.521333333333333
C20orf196	0.003
RRBP1	0.0135
NAT13	-0.28375
MAT2B	0.636625
CSNK1D	-0.803833333333333
KIR3DL1	0.38375
PRKAG3	-0.484
ZNF599	0.1545
PRM3	1.205
PER2	1.6305
ASPHD1	-1.0045
PRMT6	0.0045
KCNE1L	-0.228857142857143
FAM118A	-0.341333333333333
TAF4	-0.55225
NDUFB6	-0.05725
TRIM9	-1.33791666666667
PMFBP1	-0.89025
KY	-0.19
DKFZp762E1312	-2.36927272727273
CSMD1	-1.39225
TBP	-0.3725
OR1Q1	0.2805
RETNLB	0.76575
HPGD	-1.21015384615385
DNAJC12	3.99
FKBP1B	0.08475
ANKRD24	0.0465
CXXC5	0.0856666666666667
IL3	0.185166666666667
DRAM	-0.4842
PTCH1	-2.075875
TP53BP1	0.3105
SLC17A7	1.17442857142857
COL25A1	-1.79375
AMACR	0.249833333333333
RHCG	-0.5055
VPS13A	-0.740833333333333
FAM55D	3.169
PRPF38B	-0.215583333333333
OSBPL6	0.74525
PFDN5	0.415
CMTM6	0.839875
KCNK12	-1.722
RP2	0.38675
C16orf52	-0.6455
PICK1	0.734
IFNE1	-1.21666666666667
SEMA4B	0.202
TYRO3	-1.91275
OR12D2	-2.1895
CSNK1A1	0.8075
FANCF	1.52325
LONP2	0.614
TBL1Y	-0.09825
LDOC1L	0.3545
CCNC	0.41175
C3orf60	0.41525
CHKA	-1.17325
UBAP1	0.4815
MAP3K1	1.5565
ANKRD9	-0.18825
FAM92A1	-0.159833333333333
GAB2	-0.3885
AZU1	-0.48775
DIS3	-0.21875
C21orf109	-0.919
IQCB1	-0.71325
SPATS2	-0.0611666666666667
EFCAB3	-0.3145
PRB3	0.206875
FUZ	0.659833333333333
ZNF813	0.093625
BMPER	-2.1018
HEG1	-1.194875
ALS2CR11	-1.09725
SURF2	0.03575
PSMC1	0.0925833333333333
OR2D2	0.888
SLC7A8	2.08383333333333
C4orf40	0.249
SPATA7	0.76375
MAZ	-0.46575
PIN4	1.5475
PDE1A	-3.33575
TAF6L	-0.294333333333333
OR2T34	0.16
KIAA0284	0.823
ACADS	2.12054545454545
MKRN2	-0.584
C18orf56	-0.0795
MS4A6E	0.0543333333333333
GALNT4	0.1796
C22orf31	0.1655
FLJ36070	0.529
PSME4	-0.23775
TFG	0.0783
EPHX2	1.955125
ANXA5	-0.8715
KRTAP1-1	0.2743
BATF	3.042
KARS	-2.589
MSTP9	0.9755
GPR26	2.113875
CCDC72	0.321
TEF	1.31833333333333
FOXK1	-0.7551
PRLHR	-0.4795
EMX1	2.27875
C11orf30	-0.43875
ICK	0.647
THSD7B	0.0843333333333333
C21orf100	-0.049
DUOX1	2.2705
EFCAB4B	0.632
UBE2G2	-1.66616666666667
C3orf54	-0.688
PARP1	-0.70175
FAM60A	-2.86658333333333
C6orf146	-0.679333333333333
OR9K2	0.738
DDX55	-1.35766666666667
RPS15	0.101416666666667
ZNF618	0.8275
DKFZp686D0972	-1.3475
SSPO	-0.31
SHFM3P1	0.833333333333333
CPA6	5.33575
JAG2	-0.3835
DEFA3	0.84225
PPBPL2	0.1238
CD34	3.235125
SLCO4A1	-3.079375
AFG3L1	-2.091
SHD	-0.4785
RP13-122B23.3	-0.437666666666667
PRKCSH	-1.0455
DPH5	0.283666666666667
HLA-F	1.535
TBC1D4	-1.0455
RIG	-0.001
GLUD1	0.326666666666667
HNRPCL1	0.16425
HBXIP	0.542
RNF207	-0.764
APIP	-0.0265
PLA2G3	2.41033333333333
CCDC84	-0.096
MYLIP	0.0393846153846154
PHIP	0.1085
AARS2	-0.401833333333333
DHX32	0.5595
SCAPER	-0.0781666666666666
MEN1	-0.4765
NIP7	-1.91
FLJ25404	0.2095
FASTKD3	-0.3275
TMEM158	-3.61591666666667
RARA	1.25425
BDH1	0.7235
ANKRD16	1.25825
CARM1	-0.428
SS18	-0.4245
IKZF2	-2.4175
MYD88	-0.081625
PML	0.1873
TAF1A	-1.7435
CBFB	-1.249125
HIST1H3H	-1.40833333333333
C7orf29	-0.95775
COMMD4	-0.059
DPP3	-0.19725
DAB2	-1.18625
LOC388882	-0.6305
YPEL4	-1.76625
AGBL3	0.67475
LRP6	1.0705
SERPINH1	-2.02633333333333
TLE1	-0.483
CD244	-0.256666666666667
ZDHHC15	0.89125
MGLL	-2.3774
PLDN	-0.5325
LOC654346	1.324
FAP	-1.26325
GPR37	-0.862833333333333
SCARA5	-1.5625
EBF4	1.89445454545455
LSM6	-1.23425
MLLT1	0.0535
SLC5A12	-0.3655
A2BP1	-0.824833333333333
COPS5	0.0733333333333333
TPM4	-1.55042857142857
TNFSF4	-1.25116666666667
ACADSB	2.13861111111111
HERPUD1	-0.18525
BCL2L11	-0.370666666666667
CEP78	-0.9725
CDCA3	-1.495375
WBSCR19	0.1193
MYO1A	-1.8115
PPEF1	0.7245
LOC440348	0.03925
CPEB2	2.279
BPTF	-0.452333333333333
RPL21	-0.0445625
GSX2	0.034
ADPRH	0.217166666666667
C17orf68	1.1375
KCNS1	-1.19283333333333
MLLT6	-0.0189
PIWIL4	-0.874
RNF26	-0.70025
RAP1B	0.276
ADAMTS1	-4.1876
ZNF571	1.1995
P2RY6	-0.92575
TRIM21	-0.356833333333333
CADM3	-0.22875
NLRC5	-0.097
ADRA2B	-0.532833333333333
LOC90835	1.68725
PCF11	-0.41075
LOC400451	2.2095
GLTSCR1	0.3224
C17orf88	-0.611
CDH16	-1.8895
FGF7	0.702
PCSK4	1.19483333333333
NPC1L1	0.1905
TAT	0.68
TBCA	-0.29925
MGC33407	-0.1385
GPR115	-0.96775
CYGB	-1.7685
FNBP4	-0.802
C12orf43	-0.26125
CBL	-0.1309
CLECL1	-0.36875
PPAPDC1A	-1.75775
WDR25	0.466666666666667
SGCA	-0.146
C22orf29	0.752833333333333
YIPF1	1.662
GALK2	-0.75825
RAB3B	-2.77458333333333
LOC440087	-1.32975
UCP1	-0.093
REEP5	1.794125
FADD	-0.2276
FOXA1	4.31625
CACNA1A	0.131
ABI1	0.3235
GRIN2D	0.16775
SLC1A4	0.233
LOC401127	-1.32275
HINT2	1.2345
PLD4	-0.414666666666667
ZNF286A	-0.3755
ENY2	-0.47
IL1F6	0.409
PXDNL	2.74725
C20orf79	-0.02875
TNFSF13B	1.60016666666667
DENND3	0.587375
JARID1D	-3.337
HIST1H2AK	0.930125
LOC93349	-2.12288888888889
SSH1	-0.9553
ENSA	0.51375
LOC219854	0.920666666666667
CKAP2	-0.5962
DKFZP564J102	-0.0821666666666667
MGC87315	-0.136166666666667
HNRPAB	-1.4855
AMH	-1.053
ZNF526	0.213
BRUNOL5	-0.2594
CACNG3	-0.308333333333333
TRPM1	-0.8655
PPP2R1A	0.31525
COL2A1	1.839
DDN	-0.297333333333333
FLJ25770	0.967363636363636
HK2	-0.263285714285714
ELOVL6	-0.298125
MDK	-1.2765
EPHX1	0.96775
RASSF2	-0.411875
DKFZP434B0335	-1.564
DLX3	0.41225
PRTN3	-0.9035
AVPR1A	-0.01725
C21orf125	-1.388
TNFAIP8	-1.99233333333333
GNB2L1	-0.00175
CALCRL	0.437
SCGB2A2	6.63183333333333
UBXD7	-0.323
ZNF674	-0.087
TMEM35	-1.13325
BRSK2	-0.878375
HECTD3	-0.0475
TMEM188	-0.833333333333333
LGALS9	1.157125
SCARB2	0.00933333333333338
USP34	0.237916666666667
C17orf28	2.046
ZDHHC23	0.05375
AQP12B	0.2055
SLC16A3	-2.394125
APLP2	-0.180125
ITIH2	-5.27525
MICAL3	-0.6885
TNNI3K	-0.3775
HDAC2	-0.07475
PRR7	-0.2394
THBS2	-3.35575
LOC751071	-0.749333333333333
CA2	-1.05766666666667
RANBP17	0.69925
RLN3	0.60825
CRYZ	0.089
GBAS	1.44566666666667
TAS1R1	-0.479
MPZL3	1.2205
PCDH8	1.394
HSP90B1	-1.06525
KCNK15	1.6035
TNIP2	-0.208166666666667
GPR146	-0.45325
NOL6	-0.4065
SPC25	-2.75866666666667
STEAP2	2.68192857142857
VAMP3	-0.239
TCIRG1	0.4665
ZP4	-0.0576666666666667
PARL	-0.06925
TRIM39	0.206666666666667
KIAA1305	0.6515
CRNN	1.14916666666667
GRN	-0.38575
HSH2D	-0.295
SCAMP1	0.921875
KIAA1913	-2.943
PTS	-0.103
BANP	0.511357142857143
PRKACG	0.264
ADCY6	0.559166666666667
C16orf46	0.049
CYP51A1	-0.723
DDC	-6.644
ANPEP	-0.149
PROM1	-0.178833333333333
SIGLEC10	0.5805
COPG	0.576
FAM26E	-0.623428571428571
TRIP4	0.48075
SNX3	-0.309333333333333
C1orf175	0.541166666666667
PPY2	-0.2425
C14orf152	-0.3985
FTSJ1	-0.703
DST	-0.28515
LOC554235	-0.071
GLRX5	0.55225
C20orf12	1.4282
CAB39	-0.0486666666666667
MSH2	-0.971833333333333
PIP4K2C	1.10675
CYLD	-0.40775
WTAP	0.8874375
MGAT4A	2.96811111111111
TSC22D4	-1.1371
CHRM2	-2.15
PPYR1	0.00599999999999999
CCNH	0.451
RRM1	-0.3935
ECAT8	-3.118
LOC400120	0.25775
GABRA4	-0.1155
C14orf4	1.746
C1orf59	0.139
CTDSPL	1.97791666666667
NHEDC2	-2.7185
PDE11A	-0.1894
KLHL29	-2.53475
CD5	-2.3904
TSPAN9	1.648
WDR67	-0.80175
THUMPD1	0.5486
C18orf17	2.2845
CLYBL	-0.983833333333333
FLJ13231	-0.00775000000000005
CMBL	0.44175
LECT2	-0.44425
NKAPL	-0.6978
LOC654780	0.23
OR4C6	-1.0645
RAB30	2.47933333333333
TSSK4	0.1835
TMEM163	-0.604
OSBPL11	0.621583333333333
GNB5	-0.954166666666667
CCL21	0.15175
C1orf121	-0.363333333333333
FMO2	-0.2388
RPTN	-0.4555
MSTN	0.455
VCL	-0.294571428571429
FYTTD1	0.00199999999999999
C11orf1	0.91725
CCDC88C	0.9451875
HFE	-0.509777777777778
MOGAT1	-1.1635
FAM125B	0.707666666666667
IRGQ	0.4205
RAVER2	0.927
AKAP5	0.2085
SSSCA1	0.08825
C11orf63	1.891
ACTG2	-1.59655555555556
PORCN	0.0025
DTL	-2.08054545454545
TMEM151	0.42675
FAM122C	-1.757
RSAD2	1.7301
BAT4	0.2035
KRTDAP	-0.920833333333333
MYH8	-1.065125
CRTC3	0.925
LRRFIP2	0.7615
INTS4	-0.0193333333333333
TTN	-1.4165
SLC26A5	0.1455
PLLP	-0.5005
RGS6	-1.11085714285714
SRGAP3	1.25975
ZNF525	-0.188833333333333
NBR2	0.493833333333333
C13orf1	0.7362
ZNF137	-0.1975
CEP27	-2.01075
BEST2	0.113
RNF121	-0.565
DMRTC2	0.72
C8orf76	-0.259
BCCIP	-0.18825
MEST	-3.43625
HTRA2	-0.284
ANGPTL2	-1.542
ILKAP	0.0605
ERAS	0.3215
HBS1L	-0.366625
CPA5	0.592
TMEM30A	1.20866666666667
CD300LF	0.589166666666667
WISP3	-0.459
CRK	0.256571428571429
PDS5A	-0.2234
BRPF3	-0.235
NEDD9	-0.896375
SMPDL3B	1.5745
PSG6	-0.72525
PSMD13	-0.2145
ETV5	-2.143375
OR51A4	-0.0025
BTBD7	1.25725
GSTO1	-0.5845
hCG_16001	0.3615
MAD2L1BP	-0.0436666666666667
COX6A2	0.425
SCNN1A	2.64316666666667
LSM1	0.300166666666667
UGT2B11	2.1045
IDUA	0.6055
PPP2R3C	-0.971166666666667
COX11	-0.652166666666667
PDZK1	-1.057
ZNF443	0.853166666666667
MGC21874	1.19733333333333
ZNF323	1.5503
KRTAP10-10	0.776
CXCL6	0.49275
SLC34A2	0.180666666666667
LOC284402	0.364
NPTN	1.56375
UPP1	-2.40958333333333
SLC6A9	-0.343
OR7G3	-0.077
CISD1	-0.972833333333333
ZNF545	0.0993333333333333
SYT14	-0.7135
NT5C3L	-0.143
ZNHIT3	0.0531666666666666
SNRPD3	0.174
KIAA0701	0.74275
UNC93B1	0.0815
GMNN	-1.605125
SPCS2	0.834166666666667
LOC388524	-0.242
NAPRT1	0.38825
PNLIPRP1	0.616666666666667
OR6V1	0.464
PRKAB1	0.0725
EYA4	-2.21566666666667
KIF20A	-2.267
ALG10	0.07325
ITPKC	1.036
LMX1B	1.47833333333333
RPUSD4	-0.473333333333333
C7orf34	0.352666666666667
DLGAP2	0.381875
PFN1	-0.6303
MICALL2	0.756166666666667
ZNF654	-0.4255
SS18L1	-0.47175
SLC16A8	0.13875
MKI67IP	-0.4455
ITGB3	-1.06875
TCEA3	2.85041666666667
CEP152	-2.86233333333333
CLIP1	0.889
ZNF75	0.657066666666667
ATP5C1	-0.5565
NUDT5	-0.586166666666667
PSCDBP	-0.47225
UBP1	0.94025
RBM27	0.2075
C13orf15	1.99375
ZNF282	-0.4835
ZNF222	-0.1106
COL10A1	3.791
PRDM15	-1.018125
TTTY5	-0.391
FAM9C	-0.636222222222222
C20orf67	-0.03375
GNG13	2.5665
F12	0.08125
C1orf41	0.03425
CPXCR1	-1.8925
GSK3A	0.269125
SUPT6H	0.199833333333333
PI16	-2.51633333333333
ELL2	0.218333333333333
C9orf167	-2.60916666666667
PVRL3	-4.5234
FLJ38596	1.566
ADAM20	0.7285
GPR89A	0.268
GPR87	-2.3205
ZNF30	1.48275
SMR3B	1.878
ZNF770	0.09925
TRPC4AP	-0.786333333333333
DKFZP686E2158	0.304
C2orf28	0.0828333333333333
FREM1	-3.5138
LAMA4	-1.056
ADPRHL2	-0.257
EIF4G2	0.425
GUCA1A	-0.4455
CTNNA2	-3.35828571428571
NUDT15	-1.14433333333333
CEPT1	0.5735
ZNFX1	0.7392
CCDC92	0.98375
TDRD1	-0.586
KCNK5	-2.67683333333333
ETNK1	0.915
LTA	0.289
TTPA	0.6325
B3GALNT2	-0.04475
SC65	-0.256
PEX5L	2.616625
EPS15L1	0.553
MGEA5	-0.07425
HIST1H3A	0.91275
ING1	-0.038875
BCAT1	-3.07225
ORC6L	-3.99154545454545
KLK11	-5.02016666666667
C19orf28	-1.3095
DNER	-4.390875
MED22	-0.457857142857143
ETV6	1.32616666666667
CHAC2	-1.36325
CD300E	-0.7
CEBPB	-0.286666666666667
ZNF398	-1.00425
LRCH3	-0.0875
HMGA1	-1.724
CAPN7	0.2475
MGC5566	-2.922
CCL3	2.66057142857143
NANOS1	0.251125
ZFYVE19	0.82175
APITD1	0.390833333333333
PARD3	0.586625
IRAK4	-0.103666666666667
SERPINI2	-1.0055
CEP170L	-1.49475
TTC9	2.524625
MYOM3	-2.83475
MLPH	2.05075
LOC222699	0.521
NRG1	-1.83575
TBC1D9	3.80445454545455
TTK	-2.60533333333333
ZNF557	1.1086
DDX41	-0.651833333333333
FANK1	2.21
UBE2D2	-0.389625
PSMB10	-0.26275
MYH7B	0.257
GABARAPL2	-0.11225
MARVELD2	1.8615
DGCR2	0.976333333333333
UNC45A	0.281833333333333
C6orf72	0.444
ZNF683	2.41875
GIT2	-0.531125
CASK	0.225
C14orf161	3.758
LRRC44	0.87325
TIFA	1.262375
UTP11L	-0.78425
C6orf65	-2.01825
FDPS	-0.659
DUSP9	-1.9594
SLC17A8	-0.1234
OR51G1	-0.490166666666667
NANS	0.13625
OLFML1	0.90625
ATP10B	-0.758
NPAS3	3.93775
PRKCA	-2.302
GGA2	0.805875
LCE4A	0.2815
SPANXN3	-0.182333333333333
CCDC115	1.88275
SDCCAG3	-1.11125
GLIPR1L1	0.269333333333333
TTC1	-0.21675
C17orf76	1.219
MAD2L2	-1.607
HIPK1	0.2416
LRRC3B	-0.3135
CLN3	-0.165409090909091
C17orf47	0.4795
FMN2	-3.388
TUBB1	-0.193142857142857
WAPAL	0.271666666666667
C3orf21	-0.949625
SCN5A	-0.3854
SMYD1	0.9655
BEX5	2.29875
ZNF192	-1.9385
SEC22A	-0.173666666666667
GRIA2	7.308
KIAA0825	-0.69275
NUSAP1	-2.06854545454545
LANCL1	0.224
C15orf40	-0.2182
ZNF645	0.93725
GPR61	-0.40925
NLRP14	-0.671
SNX21	-0.4189
C1QTNF8	0.2575
C17orf46	0.1755
IFNA8	0.1595
SPRR1B	-1.53566666666667
FLRT1	-0.3705
SNX17	0.0473333333333333
ASB2	-1.46
HBG1	-5.4655
RPRML	-1.74675
JOSD2	0.180833333333333
PLSCR3	0.61125
SPOCD1	-1.1
RAB39	-1.3425
GHRH	1.69816666666667
ITIH5L	0.65975
C17orf37	1.11925
SMCR8	1.03225
DPY19L2P3	-0.2202
IL11RA	-0.3255
GDF3	-3.719
RPS6KB1	-0.703916666666667
DNAJC19	1.0533
TOP1	-0.37775
CRCT1	0.237875
MPST	0.3555
DPM2	0.407
FAM38B	1.6465
SLC18A1	-2.14283333333333
FARP1	0.909333333333333
PAX7	-0.2835
TUBD1	-1.30425
GNL3	-0.57125
BTG2	1.3464
NDUFS6	-0.082
C1orf79	-1.2065
ERAL1	-0.452
ECHS1	0.92975
VPS4A	-0.731
CYP11A1	-1.248
ABCC6	-0.0158571428571429
PBX4	-2.3945
MOSC1	-1.508
NCF4	-0.70875
HYMAI	-0.215
NAGPA	-0.519625
OTOP2	0.1795
ACOT12	-0.02725
MTHFD2L	-0.765
LOC441376	5.68225
C19orf34	-1.421
RAB1B	0.01225
ALDOAP2	-0.7535
NTRK1	-3.3625
ARTS-1	-0.067
SLC6A11	-1.418
NAP1L2	0.166
CNGB1	-0.5345
EPB41L4B	1.99425
FAM134B	2.593375
HS3ST3A1	-2.578
CPXM2	1.116
SIRPB2	-2.573
CHORDC1	-0.602
TRIB3	-1.42666666666667
SLC2A5	1.12325
C2orf49	-0.428333333333333
DDX5	0.25975
OR5L1	0.6095
ANAPC4	0.0975
ZSWIM1	0.67825
LOC93622	0.093
KCNK3	-0.843
RP11-35N6.1	-1.4205
ZFP161	0.730166666666667
AQP9	0.711
SLC15A2	-0.983
MREG	1.323
OR9I1	0.8225
PDLIM2	0.37125
ADAM7	0.6525
GSTCD	-0.2515
WDR21A	0.533
SLC12A8	1.14233333333333
TMEM174	0.04575
IGSF3	0.0430833333333333
LRRN1	-3.9765
LOC402117	-0.01
SRPK1	-0.732833333333333
LY6K	-1.9910625
NFIA	3.339
PTCD3	-0.317375
LEP	0.158166666666667
PCDH21	-0.953833333333333
MAPKAPK2	0.652714285714286
NMNAT1	-0.464
LHFPL2	-0.57825
C9orf43	1.714
DIP2A	-1.10916666666667
ACTR8	0.755875
CCDC34	0.01825
PTPN22	-3.047875
ITGA3	-0.595
FAM129C	-0.06075
RABGGTA	0.39
UNC45B	0.01175
KIAA1033	-0.65525
ZNF510	0.057
CYP2D6	-0.489833333333333
SLC26A10	-1.148
STX8	0.0795
LUZP1	-0.291375
WDR89	-0.1595
EIF4G3	0.3438
C5AR1	-0.145125
ZNF623	-0.3815
A2M	-1.19075
TGM7	-0.505
GRPEL1	-0.231666666666667
LMNB2	-1.8702
ROCK2	-1.2075
SNX16	0.331625
CCDC66	0.318
ANXA3	-1.28825
KIAA1609	-0.8365
EED	-0.58875
RNF32	-0.591333333333333
HES1	0.8201
CLC	-0.239166666666667
ISL1	-0.697833333333333
KIAA0528	0.32775
MANEA	0.972625
C1orf61	-2.496
hCG_2001000	0.5425
RAPGEF6	0.2676
KIAA0020	-0.889833333333333
NEIL1	2.591
C16orf45	1.826375
RBM10	-0.0573333333333333
C10orf125	-2.457125
MRS2L	-0.41375
DNAH17	-1.52228571428571
C19orf10	-0.31775
C1orf160	0.84425
SLFN12	0.98725
EXOC3	-0.5315
HIST3H3	0.33575
NCOR2	0.375166666666667
TNFRSF9	0.0535
MFSD8	0.70575
ALX1	-3.6195
NOL1	-1.43325
PODN	-0.4245
TIAL1	-0.9575
HIST1H1E	-0.561
NPY6R	0.13175
TM4SF4	-0.5405
CORO2A	0.534
ETNK2	0.8435
APOE	-1.3428
ANGPT4	0.339
HDGF2	-0.64925
G30	-0.409
ST8SIA4	-1.655625
F2RL1	0.42
FAM19A4	-2.43275
CCAR1	-0.333
B3GNT7	-0.188
OPHN1	-0.2745
DSCR6	2.569
C21orf13	2.197
GAS2L1	0.695666666666667
RFX3	-0.159833333333333
COPS4	0.60975
BCHE	-4.0414
BCL2	3.823625
HBZ	-3.0305
ARL13B	-0.845125
MAPBPIP	1.031875
MYO15B	0.904375
SPZ1	0.942333333333333
KIAA1324	3.59777777777778
PLCL2	-0.24675
C4orf29	-0.143
WDFY2	-0.557625
ZNF284	-0.3005
NAALADL1	-0.9555
DUSP5	0.6145
PXDN	-1.31725
SLMO1	-0.261
TNXB	-0.0669
BIRC7	-1.53975
A4GALT	-0.547
TIMM22	0.38875
FAM110C	1.30625
TOMM34	-0.380375
ABHD9	-0.2645
ADAM32	1.087
CRHBP	-0.992666666666667
AQP2	0.3235
LOC130355	1.22
ZNF187	0.646333333333333
ZNF816A	0.669
F7	1.09925
CNOT1	-0.9616
SLC13A4	-0.8605
ZBTB11	0.10925
B3GALT5	-0.3365
EXOC2	-0.057
IRS1	0.5913
TMEM1	0.225666666666667
MRPL34	0.300833333333333
SAMM50	-0.173
CDC42EP3	0.038625
HSF2	-0.186
MFN2	0.59825
TSPAN7	-3.34066666666667
NUCB1	0.214916666666667
RHOH	-0.83175
ARL16	-0.447
TACR1	-2.481
SFRS5	0.697333333333333
SNX25	0.601625
RHBDF1	1.05683333333333
PCDH18	-0.237166666666667
HMG1L1	-0.9835
MYO5C	1.97625
MAPK10	-0.4375
LDHAL6A	0.0295
NUDT12	2.29083333333333
NCAM1	-0.372285714285714
GLIS2	0.128
GGTL4	-0.50125
DAPP1	1.13775
ATF7	0.411125
KIAA0748	-1.5145
NFIL3	-4.74325
TM6SF1	0.8712
SEZ6	0.5595
NANOS3	0.932666666666667
DNAJA3	0.3585
CLDN6	-2.581
CIITA	1.6731
EPHA4	-1.14733333333333
FANCC	0.0955
CMTM3	-0.74375
PSG3	-0.385125
MRPL15	-0.772
C21orf59	0.295
PLCXD2	-0.995
C2orf34	0.817
UBE2L6	-0.203571428571429
MED14	-0.5355
HP1BP3	0.228
C6orf208	1.357
TPBG	1.59425
OSR2	-3.21225
XPC	-0.278666666666667
KLHL7	-0.761583333333333
CCR3	-0.218333333333333
AGTPBP1	-0.414
PCSK6	1.3482
STAT5A	-1.3799
FAM18B	0.57725
LONRF2	3.07466666666667
PTPN2	-0.315625
SF3A3	-0.983833333333333
EFCBP2	-0.79575
HCFC1	-0.872166666666667
AHNAK	-0.1476
ACTR5	-1.3115
KIF14	-2.71485714285714
TENC1	0.8895
HEATR5B	1.601
YIPF2	0.575833333333333
MYEOV2	1.163
DUSP18	1.098
KIAA1012	0.616
AHR	0.1335
C17orf53	-1.62766666666667
PTPRH	-4.28925
ATP6V1C1	0.2787
TAS2R3	0.993
LOC440356	-0.5925
COQ10B	0.6815
PSMF1	0.62
SORBS2	3.66575
NFE2L2	0.09375
TMCO7	-0.6375
SH3PXD2A	-1.68466666666667
SH2D2A	-2.49025
SPINK5	-3.555
MRPS24	0.20275
OPA3	0.44575
TRAF7	0.0515
C4orf35	-0.019
MT1G	-1.22325
MGC39545	-0.5
HS1BP3	0.2739
OR2B2	0.028
CHRM4	0.4165
SFRP2	-1.91608333333333
RIC3	1.00675
ART1	0.1255
C6orf1	0.992625
DUS4L	-1.77875
C10orf104	1.29925
TNFAIP6	-0.0985
RTEL1	-0.5475
CCT4	-0.3092
ZNF709	0.037
CHMP6	0.357833333333333
UPP2	0.315
CYP19A1	-2.525
CD151	-0.848333333333333
NDUFA13	0.741333333333333
ARFRP1	-1.07033333333333
FAM26B	0.874
CRYBA1	-1.0135
MRPL41	0.108
NPFFR2	1.907125
HRH2	0.131
SCAMP3	0.0121666666666667
MTMR6	1.1272
MTG1	-0.893833333333333
UBTD1	1.85925
CRABP1	-3.075
FLJ33790	0.2755
KIAA1908	-0.00283333333333334
GPR158	-0.279
PACSIN3	0.418166666666667
OMD	2.59416666666667
CATSPER1	-0.216666666666667
HOXB8	-0.521375
FBXO46	1.297
OAS1	0.6045
SVIL	-0.37275
PHB2	-0.205
ADCY3	-0.0575
NDRG2	1.45366666666667
ERMAP	1.058
APBA2	-2.5715
IGSF9	1.441
WNT6	-0.598071428571428
MYCBPAP	2.405
ATP2B2	-0.0115
CPVL	-2.3969
TRAM2	-0.972333333333333
NOP5/NOP58	-0.783
ZNRF4	0.63325
TLK1	0.668875
MTMR12	0.866714285714286
ZNF384	-0.5115
FAM9B	-2.598
RPN1	-0.3679
PMVK	0.8915
EIF3D	0.509
SIX2	1.23525
HPS1	0.587571428571429
RNF7	1.069
PSKH2	-0.2805
KCTD13	-0.383833333333333
CSMD3	-0.0598
FBF1	1.0435
IL8	-2.691125
SERPINB13	1.32885714285714
FBXL20	-0.078
BLR1	0.1245
SH2B1	0.187
RFNG	-0.104625
RAB20	0.627166666666667
RBM7	0.2035
POLR1A	-0.843666666666667
TMPRSS4	-2.54875
TAF9	-0.22625
TERF2	-0.641
TNFRSF1A	0.108916666666667
ACADVL	0.235666666666667
GTF2H5	0.779
EDG8	-1.4708
C9orf140	-1.1995
UST6	0.18975
ZBTB8OS	0.0615
ZNF710	-0.441
GPR174	-2.52
ATP6V0A2	-0.97075
KIAA0319L	-0.16125
XKRX	-0.316
DOPEY2	0.3665
SDHD	0.0605
SUMF1	1.44375
OSM	0.54275
OPN3	-2.47775
DAGLB	0.305
PPFIBP1	-0.8305
TRIM63	-3.0885
C10orf53	-3.296
LYPD3	1.215
BCL7A	-0.236125
AGER	-1.0285
TCF19	-1.14725
SAT2	1.392
PFTK1	-0.964833333333333
GABRE	-2.868875
C15orf38	1.9725
FIS1	-0.731
KCNV2	0.38025
CLPS	0.489
PPCDC	-0.35
FOXN2	-1.0315
NT5E	-4.4947
CD83	1.00125
IL18	-1.049625
VPS16	0.0705
IGFBP2	-0.185
NOTCH2	0.689
SIGLEC1	2.010875
CD93	4.038
SULF2	-0.312
CEP164	-0.126125
P53AIP1	0.251
TOR2A	-0.154333333333333
ZNF136	0.4755
MGP	3.0519
CCDC144A	-4.08375
TRPC1	-2.81533333333333
SMS	-0.672833333333333
MAPK7	-0.1995
RRAGC	0.23975
PARD6A	0.5035
NUB1	-0.350833333333333
SYNGR4	0.41775
OR11H12	0.3965
WIF1	0.118571428571429
GCH1	-0.11425
OR11H4	-0.6745
SLC44A5	-0.162
GPRIN2	3.23483333333333
LOC401431	0.39475
CPA4	-3.3087
MELK	-2.49677777777778
IL15RA	0.5275
CUL3	1.063625
HMBOX1	1.12875
PODXL	-2.92275
CCT6B	1.7205
COMTD1	0.267
MUC20	2.1475
GPX2	-3.55425
ITK	-2.68975
FBXL5	2.16
C13orf27	-1.62875
DEFA5	-0.3455
TRHDE	-2.732
MTP18	0.398833333333333
UQCRQ	0.6216
ITGB2	0.743
CSRP2BP	0.93725
TAS2R44	0.2625
PHPT1	0.640375
FAM44C	-0.30075
ERH	0.558
MPHOSPH1	-1.89883333333333
MORC1	0.037
PARVB	-1.77175
LAMA1	-3.01058333333333
PGBD3	0.78375
GIMAP6	2.93175
