Hybridization REF	TCGA-A2-A0YD-01A-11R-A109-07
RNF32	0.0423333333333333
HES1	0.9121
CLC	0.127333333333333
ISL1	-0.621833333333333
KIAA0528	0.160625
MANEA	0.289375
C1orf61	-1.982
hCG_2001000	0.32975
RAPGEF6	-0.4499
KIAA0020	-0.590166666666667
NEIL1	1.25775
C16orf45	0.873375
RBM10	-0.241
C10orf125	-0.92875
MRS2L	-0.87875
DNAH17	-1.40075
C19orf10	-0.61825
C1orf160	0.721
SLFN12	1.825
EXOC3	-0.2665
HIST3H3	0.56225
NCOR2	0.305166666666667
TNFRSF9	0.223
MFSD8	0.40775
ALX1	-3.029
NOL1	-1.482
PODN	3.278
TIAL1	-0.8745
HIST1H1E	-0.21975
NPY6R	0.40175
TM4SF4	0.0645
CORO2A	0.64125
ETNK2	0.547
APOE	1.085
ANGPT4	0.196
HDGF2	-0.6415
G30	1.827
ST8SIA4	0.13375
F2RL1	0.595125
FAM19A4	-2.4675
CCAR1	-0.721
B3GNT7	-0.3105
OPHN1	-0.5543
DSCR6	0.2115
C21orf13	1.05833333333333
GAS2L1	0.126416666666667
RFX3	0.305166666666667
COPS4	0.22225
BCHE	-3.61883333333333
BCL2	2.737
HBZ	-2.67766666666667
ARL13B	0.384375
MAPBPIP	1.483875
MYO15B	0.409375
SPZ1	0.32325
KIAA1324	2.32388888888889
PLCL2	0.1195
C4orf29	-0.86575
WDFY2	-0.8525
ZNF284	-0.7035
NAALADL1	0.7005
DUSP5	0.589
PXDN	1.09625
SLMO1	-0.89375
TNXB	0.6149
BIRC7	-1.2375
A4GALT	1.0835
TIMM22	0.3535
FAM110C	1.473
TOMM34	-0.615375
ABHD9	0.725
ADAM32	0.667
CRHBP	0.73375
AQP2	0.3635
LOC130355	0.902
ZNF187	0.083
ZNF816A	0.273
F7	0.6905
CNOT1	-0.949
SLC13A4	1.4605
ZBTB11	-0.3515
B3GALT5	1.7695
EXOC2	-0.0408333333333333
IRS1	1.3798
TMEM1	-0.28
MRPL34	-0.3635
SAMM50	-0.6755
CDC42EP3	0.259375
HSF2	-0.9504
MFN2	-0.27625
TSPAN7	-0.542833333333333
NUCB1	0.538
RHOH	-1.01525
ARL16	-0.935
TACR1	0.36975
SFRS5	-0.243833333333333
SNX25	0.09325
RHBDF1	0.977
PCDH18	2.90816666666667
HMG1L1	-0.81925
MYO5C	1.109125
MAPK10	1.36
LDHAL6A	0.0786666666666667
NUDT12	0.185
NCAM1	-0.692857142857143
GLIS2	0.312
GGTL4	-0.84075
DAPP1	1.38275
ATF7	1.139875
KIAA0748	-0.36675
NFIL3	0.1585
TM6SF1	0.9232
SEZ6	0.08625
NANOS3	0.491333333333333
DNAJA3	-0.362
CLDN6	-2.648
CIITA	3.1092
EPHA4	-0.407
FANCC	-1.3215
CMTM3	1.282875
PSG3	-0.547
MRPL15	-1.0115
C21orf59	-0.206
PLCXD2	-0.06575
C2orf34	-0.567375
UBE2L6	1.378625
MED14	-0.300166666666667
HP1BP3	0.5633
C6orf208	-0.409
TPBG	1.163
OSR2	-0.111125
XPC	-0.0321666666666667
KLHL7	-1.11141666666667
CCR3	-0.224166666666667
AGTPBP1	-0.798666666666667
PCSK6	-0.781066666666667
STAT5A	-1.1589
FAM18B	0.67825
LONRF2	0.582166666666667
PTPN2	-0.6275
SF3A3	-0.806333333333333
EFCBP2	-0.067
HCFC1	-1.06366666666667
AHNAK	0.2662
ACTR5	0.0855
KIF14	-2.43942857142857
TENC1	1.70225
HEATR5B	0.624
YIPF2	0.641333333333333
MYEOV2	0.526166666666667
DUSP18	1.1065
KIAA1012	0.2965
AHR	0.124166666666667
C17orf53	-1.7015
PTPRH	-2.1025
ATP6V1C1	-0.2254
TAS2R3	0.531
LOC440356	0.55825
COQ10B	0.7085
PSMF1	0.41375
SORBS2	2.56666666666667
NFE2L2	0.38075
TMCO7	-0.77475
SH3PXD2A	0.801
SH2D2A	-0.73275
SPINK5	-2.6135
MRPS24	-1.1765
OPA3	0.322625
TRAF7	-0.1755
C4orf35	0.0966666666666667
MT1G	-1.455875
MGC39545	0.81975
HS1BP3	0.1561
OR2B2	0.2615
CHRM4	0.00700000000000001
SFRP2	4.56633333333333
RIC3	1.74
ART1	0.2985
C6orf1	1.022875
DUS4L	-1.2845
C10orf104	0.2445
TNFAIP6	3.60675
RTEL1	-1.01025
CCT4	-0.7385
ZNF709	-0.05875
CHMP6	0.5505
UPP2	0.54225
CYP19A1	-0.612
CD151	-0.203166666666667
NDUFA13	0.155833333333333
ARFRP1	-0.562666666666667
FAM26B	2.24775
CRYBA1	-1.215
MRPL41	-0.151833333333333
NPFFR2	0.963875
HRH2	0.2675
SCAMP3	0.925333333333333
MTMR6	0.648
MTG1	-1.0925
UBTD1	1.73325
CRABP1	-2.4725
FLJ33790	0.6784
KIAA1908	-0.4185
GPR158	-2.00225
PACSIN3	0.027
OMD	4.65966666666667
CATSPER1	0.0421666666666667
HOXB8	-0.311625
FBXO46	0.6425
OAS1	1.97716666666667
SVIL	0.54225
PHB2	-0.6685
ADCY3	-0.238
NDRG2	1.0845
ERMAP	0.5534
APBA2	-1.79466666666667
IGSF9	2.469
WNT6	-0.0354999999999999
MYCBPAP	2.053
ATP2B2	-0.1872
CPVL	0.3124
TRAM2	-0.552083333333333
NOP5/NOP58	-0.858
ZNRF4	-0.03325
TLK1	-0.28975
MTMR12	-0.148357142857143
ZNF384	-0.320833333333333
FAM9B	-2.8505
RPN1	-0.2705
PMVK	1.49375
EIF3D	-0.1637
SIX2	-1.568
HPS1	0.3935
RNF7	0.25625
PSKH2	0.121
KCTD13	-0.0705
CSMD3	-0.254555555555556
FBF1	-0.1275
IL8	-1.74825
SERPINB13	0.524833333333333
FBXL20	0.039
BLR1	0.2035
SH2B1	-0.576333333333333
RFNG	-0.168625
RAB20	1.6205
RBM7	-0.177
POLR1A	-0.913
TMPRSS4	0.53675
TAF9	-0.636625
TERF2	-0.533833333333333
TNFRSF1A	0.808833333333333
ACADVL	0.132833333333333
GTF2H5	0.45775
EDG8	0.6945
C9orf140	-2.3385
UST6	-0.17125
ZBTB8OS	-0.49425
ZNF710	0.6535
GPR174	-0.7115
ATP6V0A2	-0.56325
KIAA0319L	-0.242583333333333
XKRX	-0.3675
DOPEY2	1.1159
SDHD	-0.0891666666666667
SUMF1	1.79625
OSM	4.1825
OPN3	-0.0205
DAGLB	-0.322166666666667
PPFIBP1	0.4275
TRIM63	-2.51125
C10orf53	0.2925
LYPD3	-0.145166666666667
BCL7A	-0.413
AGER	-1.24983333333333
TCF19	-1.599375
SAT2	0.069
PFTK1	0.587333333333333
GABRE	-2.02525
C15orf38	0.9978
FIS1	0.51
KCNV2	-0.3155
CLPS	0.14175
PPCDC	-0.606375
FOXN2	0.7475
NT5E	-2.273
CD83	1.75275
IL18	2.09225
VPS16	0.3585
IGFBP2	-0.601666666666667
NOTCH2	0.912
SIGLEC1	2.522625
CD93	6.208
SULF2	1.39075
CEP164	-0.09175
P53AIP1	-0.276166666666667
TOR2A	-0.1935
ZNF136	0.24425
MGP	3.2225
CCDC144A	0.400333333333333
TRPC1	-0.334666666666667
SMS	-1.77533333333333
MAPK7	0.0335
RRAGC	0.678
PARD6A	0.445833333333333
NUB1	0.779166666666667
SYNGR4	0.7035
OR11H12	0.311
WIF1	0.83875
GCH1	0.0465
OR11H4	-0.0645
SLC44A5	-1.918
GPRIN2	0.9745
LOC401431	0.7305
CPA4	-2.0878
MELK	-2.899
IL15RA	1.03225
CUL3	0.694125
HMBOX1	-0.244
PODXL	-1.4375
CCT6B	1.07266666666667
COMTD1	-0.54275
MUC20	0.867333333333333
GPX2	-3.107625
ITK	-0.516
FBXL5	2.00025
C13orf27	-1.54325
DEFA5	0.631
TRHDE	-1.342
MTP18	-0.771166666666667
UQCRQ	0.9819
ITGB2	1.90616666666667
CSRP2BP	0.15475
TAS2R44	0.172
PHPT1	0.187625
FAM44C	0.05925
ERH	0.2835
MPHOSPH1	-1.505
MORC1	0.1625
PARVB	-1.11675
LAMA1	-2.08558333333333
PGBD3	0.1785
GIMAP6	4.39625
AREG	1.909
LIPT1	0.18475
MGC99813	-1.52525
C1orf201	0.162666666666667
GRIN2A	-0.7471
MAN2C1	-0.77625
NSUN5	-0.7815
SF3B5	0.003
MYC	-1.4849375
NRXN1	-0.443083333333333
ZNF18	0.717
SPDYA	-0.605375
SLC37A1	0.835
DECR2	0.346
ANKRD38	1.73025
SPTLC3	-0.7465
SUPT16H	-0.635
DTWD2	0.071
ULBP1	-1.7685
ZADH1	-0.0495
OIP5	-3.17825
IL10RB	0.242
OTUB2	0.012375
VWA3A	0.137666666666667
SPIC	0.3045
OR6C4	0.3445
PSCD4	1.4215
DPY19L2P2	-0.2815
TRAPPC6A	0.2475
C21orf2	-0.2975
CEMP1	-0.2665
LIN7B	0.135
E2F7	-2.80433333333333
VCP	-0.3195
LAMA3	0.00408333333333335
BGN	2.558
GPR160	1.52816666666667
COCH	-3.84783333333333
GPR81	1.13733333333333
APOBEC3F	-0.84125
tcag7.1017	-0.52475
C1orf32	0.055
SCGB1D2	4.781
FLJ43987	0.4005
C6orf170	0.35325
KLK9	0.3755
GPD1L	0.91325
VPS37B	-0.27575
ATG3	-0.124166666666667
ADAMTS17	-0.252
KLHDC2	0.929833333333333
NDUFV2	0.00325
BLK	-2.1025
MATN4	-1.541
GPM6A	1.15371428571429
GBP4	3.62516666666667
TMEM162	0.329833333333333
PKP2	0.53
HRASLS	0.531777777777778
MMP1	-3.8265
SFXN3	0.3092
FSD1	-1.80233333333333
ST6GALNAC3	-1.17283333333333
CA12	3.22
NCOA6	0.65925
C19orf58	0.3238
PPP4R1	0.146666666666667
MAN1A2	0.638833333333333
IKBKAP	-1.17
UPF1	-0.267833333333333
KIAA1219	0.50925
WNT16	-0.257
SNW1	-0.198125
IL18RAP	2.4625
RPP30	0.028125
CDC40	-0.116285714285714
SETD3	-0.208
SLAMF6	0.27025
ELK4	0.3455
TRIM47	0.864166666666666
ACOX3	1.052875
TRIM6	0.96525
KIAA0372	-0.198166666666667
TP53AP1	0.927857142857143
SMURF2	-0.754
ADAD1	0.28625
EBP	-1.6872
KRTAP13-2	0.4495
FLJ36874	-0.625
TOR1A	-0.0381666666666666
P2RY4	1.032
GPBP1	0.2675
TRPV1	0.21625
ADAMTS12	1.0915
PES1	-1.1809
ATG4A	0.828333333333333
MAGEA10	-4.333
WFS1	1.975
CC2D1B	-0.748833333333333
PABPN1	-0.413875
SLC25A30	-0.199
SLCO1C1	0.815666666666667
SLC22A5	1.05425
KIF23	-2.54083333333333
SYN2	-0.0871666666666667
ASPN	9.41866666666667
CENTG2	0.30425
QSOX2	-1.8844
FLJ10815	-0.0561666666666667
STK24	-0.395
SPEG	0.1134
STK10	0.355666666666667
DACT2	-1.774
AAAS	-0.9915
SSX3	-1.750625
ABCD3	0.8089
C4orf12	0.573875
PARVG	1.48333333333333
FIG4	1.11025
C9orf46	1.71425
TMCO6	-0.3855
IGHMBP2	-1.223
DUS2L	-0.836
FAM3C	-0.09725
TMEM16D	-2.029875
DCTN4	0.52075
KCNH3	-0.3585
EIF2AK2	1.02575
AP1S3	-0.033125
CST4	1.381
PAM	1.034625
NUTF2	-0.7305
CITED2	0.5905
SLC39A4	-0.74525
C2orf52	-1.5355
GRM3	0.515
C12orf49	0.3275
CCDC49	-0.2716
GRAMD1B	-1.541625
FNDC4	0.9015
SIAH2	1.2425
GDPD4	0.013
C21orf87	0.001875
ATP5A1	-0.31
C16orf63	-0.11925
LOC388135	0.531833333333333
ATP5J2	-0.65175
MMP3	-0.60325
EMID2	-0.21275
CRHR1	0.348
WDR70	-0.3395
C13orf31	2.152
ZFAND1	-0.54925
CCL18	3.51333333333333
C3orf49	0.1425
RINT1	-0.487
KIAA0408	-1.11866666666667
F13A1	5.5024
SLC10A1	0.0784
OGN	4.20425
GIPC2	-1.035
XPO6	-0.631333333333333
LCE1A	0.916
FMR1	0.2005
LOC374920	-0.39
DUSP3	0.498
ANKMY1	-0.0765
C7orf50	-0.267
BBS9	0.3483
UNC119B	-0.697875
C9orf72	0.2515
MGC35440	-0.164
ENTPD6	0.364125
PPP1R2P9	0.42475
ERCC4	-0.0145
FAHD2B	-0.157
HMHA1	-0.0375
HACL1	-0.2835
RAD23A	-0.674666666666667
FAM83B	-0.62625
PPP5C	-0.960166666666667
RNASEH2C	0.12075
C9orf153	-1.093
SCAMP4	0.799375
GHITM	0.2201
NDUFB7	-0.083375
ADCYAP1	0.440166666666667
SP110	2.2315
MAP3K7IP2	0.77375
DHH	0.175
AGRN	0.7735
WDR33	-0.278333333333333
CEP290	0.0365
PRPS1L1	-2.26866666666667
KLRA1	-0.3175
GPR97	-0.3445
CHD7	-0.8285
TLR10	2.1425
SLC30A8	-0.057
HIC1	1.96766666666667
IAPP	-0.0495
RXFP4	-0.1485
GP1BB	1.45775
SHQ1	0.062
NKX2-3	0.2125
API5	-0.3405
FTHP1	0.734
MOV10L1	-0.708333333333333
TRIM6-TRIM34	2.46866666666667
ADHFE1	1.39025
FAM117A	-0.345
DDI1	0.0528333333333333
CDON	0.344666666666667
TRIM73	-2.4145
IGKC	3.812
MMP14	0.188166666666667
DYNC1LI1	-0.427125
C11orf66	0.131
TRBV3-1	-1.09625
FASTKD5	0.54575
BIVM	-1.247
LHX4	-0.5935
CXCL2	0.818
RAB2B	-0.332166666666667
IZUMO1	-0.13925
MAP3K15	-2.5145
FAM19A2	0.0313333333333333
ZC3H8	-0.7045
ZMAT1	1.24675
SPINK5L3	-2.33925
SLC10A6	1.01
APPL2	0.04075
CARD10	-0.196833333333333
LOC402176	-0.3365
EEF1D	0.4272
RAB6A	0.4559
C12orf5	0.01425
PAPOLG	0.5975
MSRB2	1.2085
BCR	-0.0772777777777777
PUS3	0.18425
TIAM2	0.805
ZNF317	-0.0733333333333333
CHD2	0.0282857142857143
FZD5	-1.96554545454546
NUDT8	-1.88675
ZNF763	-0.481
PRC1	-2.18577777777778
ABCB9	-0.855833333333333
SPATA3	-0.038
TRAK2	0.513
STAB1	2.79275
LRRTM2	0.305
psiTPTE22	1.55575
DBI	0.30275
SERPINA11	-1.0515
NAT5	0.50825
C20orf58	-1.5695
RPS6KA4	0.736166666666667
FLJ90650	0.14975
TGFBRAP1	-0.19725
CHRDL2	1.29225
FAHD2A	-0.6215
CNTN1	0.33825
BBS4	0.2871
TMEM181	-0.06875
MINPP1	-0.26825
MPHOSPH6	-1.40016666666667
HOXC10	1.8345
ITPKB	0.619
CLPTM1L	-0.42325
MEOX2	1.30333333333333
ATP6V0C	0.67225
PRPF8	-0.083
TMC5	3.3705
FKBP3	-0.48775
PLEKHB2	-0.215
OR4D6	-0.081
ZNF544	-0.5589
D2HGDH	-0.3255
RPL18A	-0.3289
HEL308	0.10675
MPP6	-2.90275
TCERG1	-1.6205
KRT16	0.068
KLF17	-1.45625
KLF5	-0.14925
CDR1	3.10975
VCX3A	-5.053
FBLN2	2.539125
C14orf104	-0.52275
HBE1	-4.4547
OR4S2	-0.6105
C1orf108	-0.116166666666667
ROBO4	3.89083333333333
CPEB4	0.86925
C11orf80	-0.350166666666667
BCKDHA	0.559666666666667
MYOC	1.93825
GIF	-0.124
CKMT1A	-0.2085
RPL3	0.2559
THBS1	3.127875
APOO	-0.80725
ARMCX1	2.66075
HSZFP36	0.985
SNAPC5	-0.27125
EIF4ENIF1	0.1785
ZNF433	0.05525
TNFRSF21	-0.4375
TMPRSS7	1.057
SPATA18	1.9611
HPDL	-2.9425
MKL2	1.3512
TBX3	-0.301461538461538
C21orf93	0.578666666666667
DAXX	0.577
ELMO1	0.337
RGS13	3.01816666666667
TAF11	-0.91225
UNC13A	-2.114
LOC653314	-0.1459
ORC3L	-0.19525
IMAA	-2.8515
TARBP2	-0.4515
CABIN1	-0.8599
TRIOBP	-0.0541875
HIST1H2AC	1.06375
RGS22	-1.0175
NCOA1	1.06966666666667
IL25	1.7425
SNCG	1.257
GPR6	0.473
AMDHD1	-0.0621666666666667
CHEK2	-1.520875
C6orf142	-0.657
DRD4	0.857
C14orf68	-1.09775
GDF11	-1.7095
SEMG2	0.4675
CD247	-0.34125
CDAN1	-0.50925
RBMX2	-0.0845
TGS1	-0.6875
OIT3	0.86525
SYF2	0.371
MCM4	-2.78325
PKHD1L1	-0.06725
CEP192	-0.741166666666667
IFT88	1.28725
RPL9	0.1265
RAB32	1.2095
DDX43	-0.42575
P2RX2	0.212
OR5D18	1.5705
UBE1	-0.159666666666667
SLC24A1	0.72275
ARHGAP5	-0.35575
CETP	-0.13475
KIAA1731	-0.6885
SLC9A4	-0.049
PTPN6	1.17775
BAHD1	0.2155
GRIK3	0.1405
CACNB2	-1.0138
PDE10A	0.3905
DGCR14	-0.59975
PCDHB9	-0.476666666666667
RHOQ	0.595166666666667
MAP3K4	-0.121
KTI12	-0.160333333333333
RPL23AP13	-2.05325
GNG11	0.7215
CLCN3	0.725166666666667
GPAM	0.070875
VSTM2A	0.7985
SLAMF7	2.70266666666667
INTS2	-1.26725
PPP2CA	-0.1171
LRP12	0.4434
SEC14L2	3.01444444444444
DKFZP586H2123	2.87475
MC3R	-0.249
CIRH1A	-1.56833333333333
HIST1H2AB	0.317166666666667
POLH	-0.33525
MGC16703	-1.51283333333333
SNAPC2	0.6135
FILIP1L	2.09425
RASGRP4	0.495
LRRC1	1.144
GAS1	1.58375
PRAC	-1.23
DGKA	-0.179166666666667
NT5C3	0.30675
PEG3	-3.27716666666667
NADK	-1.1025
PRR17	0.914
LOC374569	-0.88425
SGSH	0.114833333333333
NLRP8	-0.1265
GALT	0.041
MCF2	-0.541
ZNF263	0.34125
TACSTD1	0.422333333333333
TYR	-6.2314
ATP6AP2	0.24625
RNUXA	0.00700000000000001
ABHD10	-0.4351
GDPD2	-1.5435
SLC35C1	0.103
UBE2A	0.149625
HERC5	0.892333333333333
FAM112B	-4.16233333333333
FBXL16	2.1275
DKFZP434A0131	-1.0315
ELA3A	-2.068
RBM41	-1.22725
HAO2	-0.01975
RNH1	0.308
SHANK2	0.8095
OSBP2	-1.76275
DAK	-0.4865
C3orf58	-0.239416666666667
TCL1B	-0.8565
KBTBD2	-0.108375
SUGT1L1	0.6825
UBE2E2	-0.0173333333333333
MYL9	2.91075
CDC23	-0.614
PBXIP1	1.8611
CXorf40B	0.774
NBL1	1.4175
RTBDN	0.1665
RAB11FIP5	1.01
TTTY13	-0.3885
SCOTIN	0.633416666666667
SOHLH1	-0.202833333333333
CDKN1A	0.859357142857143
NCK1	0.22525
ZNF550	0.2265
SAPS3	0.112833333333333
SPIN3	-0.05
MAGEE2	0.3825
MIS12	-0.358333333333333
OR8H2	0.012
KIAA0774	-1.10466666666667
UNC5D	-2.6475
CUL7	-0.612333333333333
LIPC	-2.82316666666667
DIO1	-2.33375
C20orf11	-0.191
CTRL	-0.73375
HS3ST2	1.69525
PAK4	0.845
CCRL1	4.4755
RNF10	0.217375
ZNF567	0.39225
ZNF660	-0.59
TCEAL3	1.63625
MAGOH	0.037
CENPB	0.113666666666667
C19orf7	0.36175
LOC388965	0.55475
ZCCHC13	-0.265
JMJD1A	-0.8378
HIST1H4H	0.2635
TBRG1	-0.5681
GPC3	-3.709375
TAF1C	-0.897
EBNA1BP2	-0.680166666666667
CIAPIN1	-0.763
PDGFRA	0.362444444444444
CSTB	0.089
CENPI	-1.99466666666667
GTF2E2	-0.382333333333333
RPP21	-0.2305
CCNF	-1.15883333333333
KCNQ3	1.481
FAM79A	1.33425
SLC22A12	0.549
NOVA1	-0.445833333333333
FZD3	1.0217
AKAP8	-0.15975
SOCS5	0.7395
CFDP1	-1.3485
DLG5	0.4695
PGM5	0.631333333333333
C1orf144	0.331083333333333
HDAC10	-1.801
RND2	0.05425
C20orf199	-0.18675
RNMT	-0.47825
SLURP1	0.0665
ASTN1	0.420375
SH3BGR	0.13625
MYCL1	-0.51575
ZHX1	0.1525
CENPK	-2.978
FOSB	3.5715
LOC643406	0.328625
C2orf59	-0.515125
TMEM135	-0.372625
SLC27A2	-1.41125
KRT33A	2.603
OVOL1	0.882625
PAMCI	-1.41066666666667
S100A7	6.8265
ZNF789	-1.2145
HARS2	0.336
RPL23A	-0.360166666666667
TCF23	-0.2205
UPF3B	-1.9455
C17orf78	-0.279
HLA-DOB	1.45983333333333
C14orf142	-0.159
TEKT5	0.63
DMWD	0.1365
POLD1	-1.87933333333333
GSCL	0.4715
CALD1	0.7402
SCRT1	0.4675
AIG1	1.04025
UNC84B	-0.729
ZNF404	0.0115
TMED6	-3.3265
KIAA1462	0.7925
LRRC27	1.67266666666667
PYGO1	-0.7175
PIGU	-0.256166666666667
ALAS2	-3.561
WRNIP1	-0.1355
CNNM3	-0.0035
ZNF2	0.39825
ST3GAL5	-0.0430833333333333
MRPL23	-0.19675
TSSK6	-0.1935
PSMA6	-0.5295
C16orf70	-0.59125
KIAA1602	0.2005
ALMS1	0.411666666666667
DCN	3.86475
TMEM132D	-1.16775
SUCLG2	-0.49825
ABHD14A	0.12375
DEXI	0.781333333333333
AMPD2	-1.05816666666667
IFNAR2	-0.324
CYB5A	2.1016
TLOC1	0.63495
NXF5	-0.372
NRBF2	0.4175
KCTD3	2.33375
ITGAE	-0.394666666666667
SLC30A3	-2.00283333333333
ZRF1	-1.0095
IFRD2	-0.7435
XAB1	-0.09225
PYCR2	0.31
SERPINB3	-3.0805
TMLHE	-0.1037
GEFT	-0.580375
ABCA5	-1.17025
EMR4	0.534
TSFM	-0.16425
HIST3H2BB	0.03725
ARHGEF19	0.122
TSPAN17	-0.0271666666666667
ABCC8	3.81325
MAP1S	0.569333333333333
C22orf36	0.0195
BNC2	1.06057142857143
HIST1H4A	-0.5965
NDUFS3	-0.307333333333333
WDR3	-0.927166666666667
XKR4	-0.0425
TTC33	-0.376142857142857
STMN2	3.799
CPN2	-0.903666666666667
HSPC105	0.702625
PCOLCE2	-0.871
C3orf55	2.2905
KLHDC9	3.44933333333333
TBC1D23	0.323125
ATXN2L	-1.12641666666667
MAP2K3	0.0443333333333333
SCAP	-0.41975
ZNF486	0.2585
C20orf96	-0.23525
NARS	-0.163
ADAMTSL1	-0.596
PRCC	1.14016666666667
CCDC126	1.79991666666667
ZNF675	-0.30625
CALCOCO1	1.16175
ANKRD43	5.75
CWF19L2	0.343
ZBTB32	0.991333333333333
BRAF	-0.23475
ODF4	-0.02525
MGC14376	1.68133333333333
HORMAD1	-2.34933333333333
AAK1	0.0366666666666667
PEBP1	0.2785
TNFSF5IP1	-0.0285
DKFZp564N2472	0.21825
RMND1	-0.01625
IGKV1-5	3.881
COL1A2	3.50408333333333
SERPINA5	-1.0445
AANAT	0.073
C19orf21	1.162
GEMIN5	-0.49175
UBR4	-0.426
LTBP3	1.0755
AMHR2	-1.87883333333333
PROCR	0.0475
MYBBP1A	-1.03725
C20orf39	2.92433333333333
ZNF697	-0.22
PASK	-0.8297
ZNF776	0.572
RFXDC2	0.17975
KIAA0467	-0.02325
C10orf96	-1.17275
ZNF503	0.013
GULP1	-0.419833333333333
KCNE4	3.05933333333333
DKFZp434K191	-1.621375
LOC196913	-0.3845
BHLHB4	1.24
CH25H	2.9845
LOC81691	-1.19166666666667
ALPL	0.183
COL12A1	3.08775
FOLR3	-2.217
GPR123	-0.05325
TRIM62	0.315357142857143
ABLIM1	0.4795
MAST3	-0.4855
RHBDD1	0.7605
LOC338809	0.621
RYBP	1.0835
TTC26	-0.380375
ZNF22	0.302
ISCA2	-0.05075
RDM1	-2.59875
PIGM	1.394
GNB3	-1.075
ACTR2	0.4472
HMGB1	-0.2209
EDG1	3.551
SOAT2	-3.2085
OR10AD1	0.6195
RAP1GDS1	0.477833333333333
LCE1F	0.3815
ESM1	-0.778375
RCN3	2.54625
CREBL1	-0.39425
DBNL	-0.132
PTGER3	2.42375
USP30	0.345333333333333
BCL2L12	-0.971333333333333
KIF26B	2.57375
ZNF416	0.754
ZNF225	0.1305
C17orf70	-0.4215
ZNF554	0.0165
RAE1	-0.462666666666667
TNIK	0.937833333333333
ACTN3	0.577
MGC45922	1.222
CCNA1	0.162333333333333
RYK	0.074
IL26	0.3105
LRP3	0.827833333333333
QARS	-0.31125
SOX7	2.16707142857143
BID	-0.409625
OR2S2	-0.3885
CXCL14	4.26625
C11orf47	-1.041
MGC29891	1.77066666666667
HSPB8	2.1214
PRDM14	-1.6405
NUFIP2	0.5205
MNAT1	-0.527125
ZDHHC2	-0.61025
MBNL2	0.454875
ADD3	-0.179375
CSNK2A1P	-0.5335
KLK6	-1.14466666666667
TMEM111	0.1733
KIAA1279	0.921
NUBP2	0.0518333333333333
RAB42	-0.51975
ID3	-0.3125
TM9SF1	0.2445
MDP-1	-0.37825
POU4F2	0.32175
IQCK	1.663
C16orf14	-0.32
CAPN3	-1.341
FAM43B	0.326375
RECQL	-0.74475
AP1G1	-0.6045
CTNNBL1	-0.0245
ECHDC1	-0.3515
SMARCC1	-0.5132
FOXQ1	-1.150375
GNAI3	-0.0308333333333333
POLG2	-1.79875
CD4	1.37
ITLN1	-0.17625
EBI2	4.75225
IRF1	1.1335
PTPRE	2.3494
PTK2B	-0.87
NXNL2	1.9915
SOX4	0.336444444444444
TSPAN3	-0.3315
SH2D1A	-1.6645
C8orf58	0.170333333333333
USP20	-0.896
DUSP22	-0.237416666666667
CALB1	-2.00316666666667
L3MBTL2	0.65975
MCRS1	-0.5225
TMEM118	-1.26766666666667
C18orf8	0.6375
FLJ10241	-0.162
GJA12	1.084
PKD1	-0.427
ZFP3	0.229
JAM3	-0.053375
LAPTM4A	1.7434
DIRC2	0.56375
KIAA2022	-0.664333333333333
MYOM1	1.1855
TRPM8	-1.88
MOP-1	1.4275
PHKG2	0.37875
ZNF650	0.04575
KIAA1522	0.5395
PSG8	-1.89533333333333
DDX19B	-0.5845
MOBKL1B	0.2245
DIAPH2	-0.281416666666667
PTPN12	0.16225
CLN8	-0.5761
CRYZL1	0.225166666666667
CRY2	0.854
FCGR2B	4.4525
PNPLA4	1.562
ZNF454	0.011
DKFZp434B1231	0.3965
CLDN11	0.2589
RFWD2	0.945833333333333
CIB2	-0.551166666666667
MXRA8	3.337625
HRK	-0.39075
MAML2	-0.144
C4orf31	-0.66075
C6orf192	0.33175
COG6	0.793
FAM5B	-0.156
NFATC1	1.3079
SEPT10	-0.33025
SCYL1	-0.1945
RPP40	-1.15925
SCOC	0.14
KIAA1450	0.67975
CTDSPL2	-0.064
TBX5	2.338
NAPG	-0.12975
RHD	-4.08175
C14orf45	2.41466666666667
ZBTB22	0.9005
PLCG1	-1.177
ANKRD10	-1.19375
AQP7P2	2.36625
TAGLN2	0.758666666666667
HTR2C	-1.7955
SLC16A7	-0.311333333333333
C17orf83	0.192
TSGA14	-0.0273333333333333
MDH1	-0.37575
PPP3R2	0.252
DCBLD2	-1.78264285714286
RBM33	-0.620625
DPH3	-0.9475
SYT10	-1.41566666666667
FMO4	2.615875
THYN1	-0.373
DRD5	-2.6945
OTOR	0.428125
PGRMC2	-0.1976
KATNAL1	0.251875
PAQR6	0.156
UBE2I	-0.2475
C14orf28	0.2235
C8orf70	-0.2125
FLYWCH1	-0.452
ANGPTL3	-0.472
GLRX2	0.028
ATP11A	-0.858357142857143
ARL5B	0.341625
MUC16	1.15625
SLC25A5	-0.942357142857143
ACRC	-1.32475
MYO1C	0.0662499999999999
FAM89B	1.02933333333333
FAS	1.290625
KIFAP3	2.12
GLRA2	-0.2585
BTN3A2	0.6919
CNKSR3	-1.047875
CSTF3	-0.470333333333333
ARPM1	1.21525
KIAA1530	-0.675
C9orf150	1.45133333333333
PRKCI	0.133
tcag7.1015	-1.0755
SOD3	0.3815
ZNF574	0.2235
CYP21A2	2.55525
RPL12	0.33175
COMMD2	-0.427
WIZ	-0.0395
