Hybridization REF	TCGA-A8-A08L-01A-11R-A00Z-07
tcag7.1017	-0.31975
C1orf32	0.161
SCGB1D2	2.4795
FLJ43987	0.1155
C6orf170	0.872
KLK9	-0.042
GPD1L	0.105375
VPS37B	0.3215
ATG3	0.451333333333333
ADAMTS17	0.1305
KLHDC2	-0.123833333333333
NDUFV2	-0.73825
BLK	-1.82675
MATN4	-0.8945
GPM6A	-0.118571428571429
GBP4	4.351
TMEM162	0.6296
PKP2	0.046
HRASLS	2.43611111111111
MMP1	-4.84925
SFXN3	-0.3682
FSD1	-1.07816666666667
ST6GALNAC3	-2.02766666666667
CA12	-0.6958
NCOA6	0.29225
C19orf58	-0.4859
PPP4R1	-0.590666666666667
MAN1A2	-0.352
IKBKAP	-0.12775
UPF1	0.0976666666666667
KIAA1219	0.17325
WNT16	1.025
SNW1	-0.63
IL18RAP	2.94525
RPP30	-0.044875
CDC40	1.44478571428571
SETD3	0.488
SLAMF6	0.39175
ELK4	-1.2795
TRIM47	0.511666666666667
ACOX3	1.87375
TRIM6	-2.256375
KIAA0372	-0.609666666666667
TP53AP1	1.037875
SMURF2	0.35575
ADAD1	0.3585
EBP	-0.5244
KRTAP13-2	-0.2995
FLJ36874	-0.173
TOR1A	-0.0853333333333333
P2RY4	0.743
GPBP1	0.24575
TRPV1	-0.286125
ADAMTS12	-0.0166666666666667
PES1	0.1315
ATG4A	0.469666666666667
MAGEA10	-4.52975
WFS1	0.224
CC2D1B	0.0385
PABPN1	0.081375
SLC25A30	0.0835
SLCO1C1	0.2204
SLC22A5	1.1085
KIF23	-2.0235
SYN2	0.759
ASPN	8.349
CENTG2	0.7985
QSOX2	-0.834
FLJ10815	0.315833333333333
STK24	0.7728125
SPEG	-0.047
STK10	-0.0873333333333333
DACT2	-2.1905
AAAS	-0.8795
SSX3	-0.91375
ABCD3	-0.5378
C4orf12	-0.43875
PARVG	0.719166666666667
FIG4	2.48125
C9orf46	0.386
TMCO6	-0.4445
IGHMBP2	-0.81825
DUS2L	-0.377166666666667
FAM3C	-0.2599375
TMEM16D	-2.325625
DCTN4	0.96125
KCNH3	-0.2
EIF2AK2	1.36175
AP1S3	-0.027875
CST4	0.099
PAM	-0.6363125
NUTF2	0.48025
CITED2	1.5979
SLC39A4	1.15825
C2orf52	-0.0835
GRM3	0.07825
C12orf49	0.95225
CCDC49	0.3401
GRAMD1B	-1.31466666666667
FNDC4	-0.317
SIAH2	-0.10725
GDPD4	-0.054
C21orf87	0.88525
ATP5A1	0.232166666666667
C16orf63	-0.2725
LOC388135	-1.2394
ATP5J2	0.09775
MMP3	-4.46425
EMID2	0.28125
CRHR1	0.199
WDR70	-0.13025
C13orf31	1.5785
ZFAND1	-0.8275
CCL18	4.315
C3orf49	0.956
RINT1	-0.714
KIAA0408	-2.194
F13A1	3.2137
SLC10A1	-0.2165
OGN	0.80575
GIPC2	-1.87366666666667
XPO6	-0.629166666666667
LCE1A	0.491
FMR1	1.1904
LOC374920	-0.46575
DUSP3	-0.481125
ANKMY1	0.4785
C7orf50	-0.51175
BBS9	-0.2736
UNC119B	-0.71
C9orf72	0.725375
MGC35440	0.14175
ENTPD6	-0.311875
PPP1R2P9	0.7755
ERCC4	0.657
FAHD2B	-0.48
HMHA1	0.083
HACL1	-0.31625
RAD23A	0.225666666666667
FAM83B	2.36775
PPP5C	-0.5855
RNASEH2C	-0.6625
C9orf153	0.17275
SCAMP4	0.686375
GHITM	0.2594
NDUFB7	0.843375
ADCYAP1	0.377666666666667
SP110	1.606
MAP3K7IP2	0.86925
DHH	-0.364
AGRN	0.966714285714286
WDR33	0.697333333333333
CEP290	0.300333333333333
PRPS1L1	-1.8585
KLRA1	-0.887
GPR97	-0.086
CHD7	-0.214166666666667
TLR10	0.863
SLC30A8	4.4065
HIC1	0.761666666666667
IAPP	0.522
RXFP4	0.53725
GP1BB	0.7215
SHQ1	0.8255
NKX2-3	0.487166666666667
API5	0.35575
FTHP1	1.023
MOV10L1	-0.58925
TRIM6-TRIM34	0.497
ADHFE1	0.5585
FAM117A	-0.5645
DDI1	0.0333333333333333
CDON	-0.4495
TRIM73	-0.878
IGKC	2.629
MMP14	-0.373083333333333
DYNC1LI1	-0.38075
C11orf66	-0.04425
TRBV3-1	-1.25775
FASTKD5	-0.89375
BIVM	1.19725
LHX4	0.979
CXCL2	-1.3863
RAB2B	-0.0765
IZUMO1	-1.39775
MAP3K15	-1.463
FAM19A2	0.573666666666667
ZC3H8	-1.30083333333333
ZMAT1	1.03
SPINK5L3	-2.684
SLC10A6	0.179
APPL2	-0.72925
CARD10	-0.739
LOC402176	-1.3715
EEF1D	0.5626
RAB6A	-0.2301
C12orf5	-0.927
PAPOLG	0.743
MSRB2	0.39975
BCR	0.838111111111111
PUS3	-0.4485
TIAM2	-0.37
ZNF317	0.515
CHD2	0.194230769230769
FZD5	-1.38422727272727
NUDT8	0.06025
ZNF763	-0.2475
PRC1	-1.24766666666667
ABCB9	0.236333333333333
SPATA3	0.099
TRAK2	1.6205
STAB1	2.042625
LRRTM2	0.2968
psiTPTE22	0.946
DBI	1.59425
SERPINA11	-1.98975
NAT5	-0.769
C20orf58	-2.141
RPS6KA4	-0.26
FLJ90650	-0.82875
TGFBRAP1	-0.0025
CHRDL2	-0.74425
FAHD2A	-0.678166666666667
CNTN1	0.6355
BBS4	-1.0372
TMEM181	1.06475
MINPP1	-0.337
MPHOSPH6	0.252916666666667
HOXC10	1.5558
ITPKB	1.3715
CLPTM1L	0.00649999999999998
MEOX2	0.149
ATP6V0C	0.83775
PRPF8	-0.373333333333333
TMC5	2.80825
FKBP3	0.16775
PLEKHB2	0.56125
OR4D6	0.0985
ZNF544	-0.3971
D2HGDH	0.225625
RPL18A	-0.765
HEL308	-0.68875
MPP6	-3.63625
TCERG1	-0.80525
KRT16	-1.70083333333333
KLF17	-1.29575
KLF5	0.04625
CDR1	1.254
VCX3A	-3.1525
FBLN2	1.128125
C14orf104	-0.26525
HBE1	-4.7016
OR4S2	-3.1295
C1orf108	-0.482833333333333
ROBO4	3.066
CPEB4	1.0885
C11orf80	0.0171666666666667
BCKDHA	-0.0835
MYOC	0.308666666666667
GIF	-1.634
CKMT1A	0.3805
RPL3	-0.074
THBS1	0.3175
APOO	0.395
ARMCX1	1.40775
HSZFP36	0.7155
SNAPC5	-0.7525
EIF4ENIF1	0.748
ZNF433	0.13775
TNFRSF21	-0.123125
TMPRSS7	-0.4705
SPATA18	0.2314
HPDL	-2.7385
MKL2	0.2241
TBX3	2.29584615384615
C21orf93	0.241
DAXX	0.27175
ELMO1	-0.878
RGS13	0.591
TAF11	-0.165
UNC13A	-0.27125
LOC653314	-0.4454
ORC3L	1.239
IMAA	-2.5385
TARBP2	-0.468
CABIN1	0.4294
TRIOBP	0.166
HIST1H2AC	0.90475
RGS22	-2.8935
NCOA1	1.34666666666667
IL25	0.977
SNCG	0.366
GPR6	0.753
AMDHD1	-0.0998333333333333
CHEK2	-0.7
C6orf142	-0.261
DRD4	0.61875
C14orf68	-0.79275
GDF11	-1.282
SEMG2	1.367
CD247	0.027
CDAN1	-0.64025
RBMX2	0.349
TGS1	-0.25925
OIT3	0.986
SYF2	-0.45675
MCM4	-0.9575
PKHD1L1	0.205428571428571
CEP192	-0.893
IFT88	-0.19775
RPL9	-0.797
RAB32	-0.029375
DDX43	-3.0355
P2RX2	0.0605
OR5D18	0.301
UBE1	0.205916666666667
SLC24A1	-0.326625
ARHGAP5	0.0965
CETP	-0.456
KIAA1731	-0.675666666666667
SLC9A4	0.226
PTPN6	0.6715
BAHD1	-0.0835
GRIK3	0.6005
CACNB2	-1.7732
PDE10A	0.92525
DGCR14	-0.327
PCDHB9	0.483166666666667
RHOQ	0.216666666666667
MAP3K4	0.2985
KTI12	0.197333333333333
RPL23AP13	-2.56175
GNG11	-0.9315
CLCN3	0.0785
GPAM	-0.331375
VSTM2A	0.9075
SLAMF7	3.68233333333333
INTS2	-1.4455
PPP2CA	0.3113
LRP12	-0.2812
SEC14L2	0.0644444444444445
DKFZP586H2123	2.525
MC3R	0.6125
CIRH1A	-0.562666666666667
HIST1H2AB	0.7655
POLH	0.577375
MGC16703	-1.53433333333333
SNAPC2	0.5325
FILIP1L	2.18975
RASGRP4	0.435
LRRC1	2.78725
GAS1	-0.825
PRAC	-0.62275
DGKA	0.7565
NT5C3	-1.08625
PEG3	-3.60866666666667
NADK	-0.36875
PRR17	0.46125
LOC374569	-0.05225
SGSH	-0.213166666666667
NLRP8	-0.5475
GALT	-0.6542
MCF2	0.4245
ZNF263	0.14925
TACSTD1	2.3985
TYR	-6.3633
ATP6AP2	0.42925
RNUXA	0.4425
ABHD10	0.801666666666667
GDPD2	-0.51025
SLC35C1	0.16875
UBE2A	0.875
HERC5	-0.982666666666667
FAM112B	-4.70333333333333
FBXL16	0.92275
DKFZP434A0131	-0.41425
ELA3A	-1.576
RBM41	-0.799
HAO2	1.05125
RNH1	-0.686
SHANK2	0.947666666666667
OSBP2	-0.44025
DAK	-0.493333333333333
C3orf58	1.712
TCL1B	1.0105
KBTBD2	-0.717625
SUGT1L1	0.173
UBE2E2	-0.486333333333333
MYL9	1.060875
CDC23	-0.315166666666667
PBXIP1	1.8115
CXorf40B	0.5955
NBL1	0.691
RTBDN	0.314
RAB11FIP5	-0.403625
TTTY13	-0.436
SCOTIN	-0.752416666666667
SOHLH1	1.75883333333333
CDKN1A	1.167
NCK1	0.355
ZNF550	-0.07175
SAPS3	0.58525
SPIN3	-0.463333333333333
MAGEE2	-0.08975
MIS12	-0.525
OR8H2	0.4875
KIAA0774	0.4816
UNC5D	-3.7035
CUL7	-0.465166666666667
LIPC	-3.75983333333333
DIO1	3.24925
C20orf11	0.7881
CTRL	-0.1525
HS3ST2	0.725
PAK4	0.736333333333333
CCRL1	2.02675
RNF10	-0.27025
ZNF567	-0.25675
ZNF660	-0.3755
TCEAL3	1.196
MAGOH	-0.8365
CENPB	-0.333833333333333
C19orf7	0.136
LOC388965	0.33875
ZCCHC13	0.2445
JMJD1A	-0.3542
HIST1H4H	1.1925
TBRG1	-1.6203
GPC3	-3.125875
TAF1C	-0.736125
EBNA1BP2	-0.4985
CIAPIN1	-0.669
PDGFRA	-0.864588235294118
CSTB	-0.34875
CENPI	-0.597
GTF2E2	0.196
RPP21	0.24525
CCNF	-0.539666666666667
KCNQ3	0.9775
FAM79A	1.81975
SLC22A12	0.643
NOVA1	0.461
FZD3	1.6774
AKAP8	-0.173
SOCS5	-0.241625
CFDP1	0.55025
DLG5	-0.208
PGM5	0.132166666666667
C1orf144	0.518833333333333
HDAC10	-0.9145
RND2	-1.03
C20orf199	-1.789
RNMT	-1.00625
SLURP1	2.785
ASTN1	-1.443
SH3BGR	1.82175
MYCL1	0.404875
ZHX1	0.561166666666667
CENPK	-2.19
FOSB	0.0612
LOC643406	-0.181375
C2orf59	-0.630875
TMEM135	-0.81425
SLC27A2	0.3085
KRT33A	0.358
OVOL1	2.552
PAMCI	-3.1975
S100A7	0.7535
ZNF789	0.0535
HARS2	0.788
RPL23A	-0.867666666666667
TCF23	0.1245
UPF3B	-0.758
C17orf78	-0.898
HLA-DOB	0.6545
C14orf142	0.299333333333333
TEKT5	2.32883333333333
DMWD	-0.197
POLD1	-1.5945
GSCL	-0.492
CALD1	0.6392
SCRT1	0.689666666666667
AIG1	1.44125
UNC84B	0.58675
ZNF404	-2.47075
TMED6	-2.3205
KIAA1462	0.3265
LRRC27	0.803333333333333
PYGO1	-0.3565
PIGU	-0.1945
ALAS2	-4.109
WRNIP1	0.301625
CNNM3	0.546
ZNF2	0.503
ST3GAL5	-0.15475
MRPL23	-1.062
TSSK6	-0.819
PSMA6	0.0125
C16orf70	0.304
KIAA1602	-0.10425
ALMS1	1.06266666666667
DCN	1.65125
TMEM132D	-0.96375
SUCLG2	-0.32075
ABHD14A	-0.18325
DEXI	0.174333333333333
AMPD2	-1.60183333333333
IFNAR2	0.1235
CYB5A	1.6429
TLOC1	0.7677
NXF5	-0.706833333333333
NRBF2	-0.5485
KCTD3	2.183
ITGAE	-0.629666666666667
SLC30A3	-0.436666666666667
ZRF1	-1.2925
IFRD2	-1.378375
XAB1	0.03275
PYCR2	-0.298166666666667
SERPINB3	-3.96
TMLHE	-0.3291
GEFT	-1.618375
ABCA5	-0.227625
EMR4	0.513666666666667
TSFM	0.3375
HIST3H2BB	0.33625
ARHGEF19	2.26475
TSPAN17	-0.3865
ABCC8	3.35975
MAP1S	0.674666666666667
C22orf36	2.28725
BNC2	-0.178928571428571
HIST1H4A	-0.133
NDUFS3	0.6235
WDR3	-1.64083333333333
XKR4	-0.294
TTC33	-0.194230769230769
STMN2	1.61375
CPN2	-0.781166666666667
HSPC105	-2.412
PCOLCE2	-3.69425
C3orf55	-0.342
KLHDC9	2.66416666666667
TBC1D23	0.9435
ATXN2L	-1.04266666666667
MAP2K3	-0.394833333333333
SCAP	-0.62975
ZNF486	0.2645
C20orf96	0.325
NARS	0.51675
ADAMTSL1	-0.363571428571428
PRCC	0.320166666666667
CCDC126	0.424583333333333
ZNF675	0.05875
CALCOCO1	0.536
ANKRD43	4.411
CWF19L2	-0.8065
ZBTB32	2.4364
BRAF	-0.39875
ODF4	0.5205
MGC14376	-0.00166666666666669
HORMAD1	-1.42483333333333
AAK1	0.0656666666666666
PEBP1	0.581916666666667
TNFSF5IP1	-0.3535
DKFZp564N2472	0.39
RMND1	0.300875
IGKV1-5	3.17975
COL1A2	2.34808333333333
SERPINA5	-3.939875
AANAT	0.2975
C19orf21	-0.111
GEMIN5	0.35
UBR4	0.0743333333333333
LTBP3	1.04016666666667
AMHR2	-2.50583333333333
PROCR	-2.105
MYBBP1A	-1.188
C20orf39	-1.23433333333333
ZNF697	0.24875
PASK	0.4982
ZNF776	0.624
RFXDC2	-0.36325
KIAA0467	0.45975
C10orf96	-3.67666666666667
ZNF503	-1.28825
GULP1	-2.27836363636364
KCNE4	-0.3745
DKFZp434K191	-0.466625
LOC196913	-0.161
BHLHB4	0.5955
CH25H	0.63175
LOC81691	-0.0636666666666667
ALPL	-0.242142857142857
COL12A1	1.657875
FOLR3	-2.49616666666667
GPR123	-0.438125
TRIM62	0.308142857142857
ABLIM1	1.02916666666667
MAST3	0.04325
RHBDD1	0.732
LOC338809	-0.006
RYBP	1.81675
TTC26	0.21925
ZNF22	-1.2435
ISCA2	-0.434
RDM1	-1.1125
PIGM	1.03825
GNB3	-0.3915
ACTR2	0.4633
HMGB1	0.24795
EDG1	2.9365
SOAT2	-2.002
OR10AD1	-0.7895
RAP1GDS1	-0.419416666666667
LCE1F	0.393
ESM1	-0.002375
RCN3	1.4985
CREBL1	-0.62625
DBNL	-1.14
PTGER3	0.622666666666667
USP30	-0.495166666666667
BCL2L12	-1.29266666666667
KIF26B	1.4285
ZNF416	0.7035
ZNF225	-0.961
C17orf70	0.3395
ZNF554	1.3635
RAE1	-0.0775
TNIK	-0.790833333333333
ACTN3	-0.077
MGC45922	0.5775
CCNA1	-1.301
RYK	1.12683333333333
IL26	-0.2385
LRP3	0.996333333333333
QARS	-0.75325
SOX7	0.922714285714286
BID	-0.472625
OR2S2	-0.2365
CXCL14	3.601
C11orf47	-0.56
MGC29891	0.9635
HSPB8	-0.2961
PRDM14	-1.1525
NUFIP2	0.0815
MNAT1	-0.73375
ZDHHC2	-1.86983333333333
MBNL2	1.151
ADD3	-1.258625
CSNK2A1P	-1.06375
KLK6	-1.51283333333333
TMEM111	0.6453
KIAA1279	0.14875
NUBP2	0.1575
RAB42	-0.74225
ID3	-1.266
TM9SF1	0.33675
MDP-1	-1.8115
POU4F2	2.57733333333333
IQCK	1.73025
C16orf14	-0.46825
CAPN3	-0.934125
FAM43B	-0.78475
RECQL	0.011
AP1G1	0.910214285714286
CTNNBL1	-0.4045
ECHDC1	0.0673333333333334
SMARCC1	0.1408
FOXQ1	-1.74425
GNAI3	-0.074
POLG2	-1.3205
CD4	0.985125
ITLN1	0.265
EBI2	4.087
IRF1	0.5535
PTPRE	1.5424
PTK2B	-0.43025
NXNL2	-0.5505
SOX4	1.31927777777778
TSPAN3	-1.34033333333333
SH2D1A	-1.352
C8orf58	-0.7805
USP20	-0.42325
DUSP22	-0.37175
CALB1	-2.013
L3MBTL2	1.38458333333333
MCRS1	-0.5105
TMEM118	-0.970666666666667
C18orf8	-0.509166666666667
FLJ10241	-0.503625
GJA12	0.9305
PKD1	-0.299666666666667
ZFP3	-0.486
JAM3	-1.4195
LAPTM4A	1.2979
DIRC2	1.06725
KIAA2022	2.56933333333333
MYOM1	0.490833333333333
TRPM8	-2.35733333333333
MOP-1	0.844
PHKG2	-0.546
ZNF650	0.7415
KIAA1522	1.788875
PSG8	-1.985
DDX19B	0.1415
MOBKL1B	-0.4745
DIAPH2	-1.513
PTPN12	-0.02025
CLN8	0.0271
CRYZL1	0.327833333333333
CRY2	0.234333333333333
FCGR2B	2.94383333333333
PNPLA4	1.308875
ZNF454	-1.7265
DKFZp434B1231	-0.0435
CLDN11	-0.0734
RFWD2	1.126
CIB2	-0.299666666666667
MXRA8	1.963375
HRK	0.984625
MAML2	-0.4555
C4orf31	-1.161
C6orf192	-0.83225
COG6	0.22175
FAM5B	0.5145
NFATC1	0.7204
SEPT10	-1.817
SCYL1	-0.3928
RPP40	-1.01325
SCOC	-0.1958
KIAA1450	0.5635
CTDSPL2	-0.57175
TBX5	1.393
NAPG	-0.573375
RHD	-4.45025
C14orf45	1.0315
ZBTB22	0.738
PLCG1	0.2475
ANKRD10	0.1335
AQP7P2	-0.10975
TAGLN2	1.76633333333333
HTR2C	-0.37425
SLC16A7	-0.974
C17orf83	0.0596666666666667
TSGA14	0.293916666666667
MDH1	0.43475
PPP3R2	0.127666666666667
DCBLD2	-1.61278571428571
RBM33	-0.581714285714286
DPH3	-0.76275
SYT10	-1.40083333333333
FMO4	2.86225
THYN1	-0.9905
DRD5	-1.151
OTOR	1.016625
PGRMC2	0.2114
KATNAL1	-0.924375
PAQR6	-0.948
UBE2I	0.3425
C14orf28	0.02175
C8orf70	1.41175
FLYWCH1	-0.3945
ANGPTL3	-1.031
GLRX2	0.119166666666667
ATP11A	0.301785714285714
ARL5B	-0.61375
MUC16	-3.084
SLC25A5	-0.162357142857143
ACRC	-1.97675
MYO1C	-0.265125
FAM89B	1.4955
FAS	-0.28625
KIFAP3	1.956
GLRA2	1.752
BTN3A2	-0.1101
CNKSR3	2.083375
CSTF3	-0.585333333333333
ARPM1	-0.169
KIAA1530	-1.5465
C9orf150	0.851
PRKCI	1.0525
tcag7.1015	-1.255
SOD3	-0.79725
ZNF574	-0.05825
CYP21A2	-0.5795
RPL12	-0.41075
COMMD2	-0.10475
WIZ	0.5305
LOC344405	-2.82775
ALDH4A1	0.458294117647059
CRYAB	1.34475
COPA	0.697333333333333
PCDHGA7	0.531666666666667
KIF11	-0.714
RASD2	0.11675
SLC26A3	2.451
ZNF175	-2.287
JAKMIP2	-1.229375
C8orf4	0.455333333333333
PTHLH	4.51075
SLC40A1	1.40333333333333
OR7D4	0.463833333333333
PCDHB17	0.193
CD36	2.8195
C6orf203	1.7414
PRKG2	0.0565
LOC400566	0.56175
ANAPC13	0.7795
SLCO3A1	-0.94025
ZNF692	-1.5405
FANCL	-0.0585
SH3GLB1	-0.25975
C12orf61	0.5855
KBTBD6	0.000750000000000001
SUPT5H	-0.151
XRCC6	0.0835
HUS1B	0.4913
FAM133B	-0.0176428571428571
LOC728276	2.1965
KCTD18	0.9525
SOS2	1.14133333333333
CCDC99	-1.52475
C1QTNF5	1.681
NNAT	0.2295
USP16	1.0615
LARS	-0.4895
ZBTB2	0.705875
ABO	0.208666666666667
TRAF3	-0.53525
GALNT5	-2.7
NAP5	2.018
ALG14	-0.497833333333333
KIAA0515	0.796846153846154
WDR75	-0.15
TEX261	-0.199916666666667
LY86	0.42925
LOC389072	0.4245
FLJ13611	-0.4855
MRGPRX2	0.6715
SNRPA	-0.9335
OR2G2	0.4625
GPRASP2	0.783
C7orf42	0.4515
C9orf163	-0.455
CYP11B2	-0.447
FCRL3	1.43316666666667
PRDX1	0.421
FGB	-6.94966666666667
COX17	0.456333333333333
C16orf33	0.6005
PIWIL1	0.1635
FOLR1	-2.35966666666667
KIAA0082	0.000999999999999997
FREQ	0.473
TMCC2	-0.110333333333333
TCF12	-0.293
ZNF721	0.0115
FAM130A2	-0.211
POU4F1	-1.36375
SNRPF	-1.1715
SGIP1	-0.130833333333333
ZNF641	0.641666666666667
EMG1	-1.290375
PRRG4	0.3475
HIRA	-2.746
MYNN	0.890333333333333
AEBP2	-0.108916666666667
TBXA2R	0.0146666666666667
ISL2	-0.999833333333333
PCDHB11	1.5025
RNF144A	-0.00587500000000001
MARCH5	0.655875
DULLARD	-0.724166666666667
DCLRE1B	-0.759
ITGA8	-0.031
TP73	0.747375
PRKCD	1.11075
NDUFB4	0.37075
ATP13A4	1.3795
ANTXR2	-1.01766666666667
COL4A3	0.7005
MYO10	0.0518
SLC6A18	0.2665
PEX1	0.011
TMEM74	-0.39
RBM19	-0.41625
TAPBP	-0.21305
RUNX1	-0.89525
MID1	-1.65458333333333
GPR64	-0.872
RASEF	4.84275
GABRG1	-0.277285714285714
MYO16	0.99675
DBF4	-0.982333333333333
TSHZ2	2.491
RIPK2	-0.213
PPTC7	-0.710833333333333
KIF4B	-0.0345
LRRC31	3.383375
ZNF540	-0.15525
EFNB3	-0.2645
LOH12CR1	0.36725
STON2	-0.524166666666667
GLP1R	0.27475
CSTF2T	-0.287375
IREB2	-0.892875
GRSF1	-0.159
PDCD7	-0.843666666666667
LRRC43	-0.221
CNR1	0.3655
IL1F7	0.102
C12orf64	-0.352
FAM69B	0.38775
NR2E1	-1.83316666666667
MS4A6A	2.3707
FTL	-0.2337
C7orf36	0.14125
PCLO	0.9938
DYRK2	2.34608333333333
ARIH2	-0.673125
SAMD7	1.064
SCNN1D	-0.7645
SLC32A1	-0.268428571428571
C22orf25	-0.537666666666667
MRPS18A	0.5188
GPR112	0.9455
EARS2	-0.403
ERN2	0.4355
ATPBD3	-0.467
PRH2	0.0605
CDKN2D	0.9125
PGLYRP2	-0.2175
TRIM40	0.88525
SEC14L3	0.3738
SLC22A1	0.379
BTN2A3	-0.0825
RASA4	0.8695
CCNL2	-0.885916666666667
MYBPC3	0.529
GJA4	2.2505
CDC42SE1	1.929625
TRPV2	-1.0545
MYPN	-4.0539
SIM1	0.538
CDADC1	-0.0861666666666667
ZFHX4	0.617
NIBP	1.3455
ADAMTS19	-1.64775
ABTB2	-0.4875
TSPYL2	-0.555375
EIF2S3	-1.0496
SOX30	-0.10525
AP2A1	-0.707666666666667
DKFZP564O0523	0.199166666666667
LOC285398	0.07725
CDH18	-4.2185
CHL1	0.209875
GATS	0.296375
TBC1D2B	0.1265
OR1J1	-1.0015
GSN	1.01833333333333
DPCR1	0.288875
GARNL4	-0.7386
SMARCA5	-0.39325
PLEKHG3	0.0998333333333333
ZBTB45	0.976
FRMD6	-0.1255
PLS1	-0.403833333333333
DGKZ	1.2985
EFNA1	1.4251
WDR85	-0.118875
ANK2	-0.29575
PAGE4	-0.421166666666667
SENP6	0.992333333333333
AKR7A2	0.549
FKBP10	-2.83025
VEGFC	-1.197
LARP1	-0.53725
SRBD1	0.19175
ITGB6	1.61775
SLC1A2	-0.206076923076923
INVS	-0.554166666666667
MPO	0.58
MOBKL3	0.8541
CUTL2	-0.7625
KLK2	-0.0619166666666667
VIM	-0.7565
REG1B	0.61
PCDHGC4	0.72575
C3orf34	0.713833333333333
SUMO3	0.704
CST9L	-0.412
MLL4	-1.02175
SPR	-0.9935
SAMD9L	0.4595
ABCE1	-0.71225
SUPT3H	-1.52366666666667
ACTBL1	1.07875
ADAMTS4	0.99
SLIT3	2.07225
RHEBL1	-0.6
NPM2	-0.9735
MAN1C1	1.656875
KIAA1856	0.311
HSPA6	0.4895
LOC388152	-0.761
C10orf140	-1.4765
ZDHHC12	-0.342
LIN7A	-0.7973
PHC2	0.790583333333333
SPHK1	-0.847
TRIM26	0.45825
FAM83E	-1.195
C18orf24	-0.607166666666667
ZNF578	0.765
ORAI1	-0.57975
RUVBL1	-0.412333333333333
C7orf20	-1.18733333333333
APAF1	-1.4845
SLC36A4	-0.165833333333333
MYH11	1.96283333333333
NEK1	-0.0289
MPP2	-1.028375
C12orf24	-3.80775
TNK2	0.592375
ZNF289	-0.312
MATN3	-2.37142857142857
IFNGR2	1.77216666666667
ITPR1	1.772375
EBF3	3.1726
TBC1D20	-0.573
OR10P1	0.3605
DDAH2	1.65175
SHPRH	0.987875
STX7	0.698
LOC554248	-1.409
BCAR1	0.19125
ATXN3	-0.202083333333333
TRIM27	-0.28125
CDC42EP2	0.496
CHP	-0.344714285714286
SOX17	1.94225
ZNF259	-1.1635
CHCHD1	-0.06425
ZDHHC19	0.0575
GBP2	2.384
GARNL3	1.83475
MRC2	-0.062
C1orf52	-1.0345
AOF2	-0.259333333333333
LRPPRC	0.2251
ACVR1C	-0.3925
TM4SF18	2.30083333333333
TMEM169	0.799833333333333
PPP1R16A	0.5525
EBF1	0.335833333333333
RRS1	-0.442
SNX2	0.1205
OR2T2	0.473
RBX1	0.29025
ANKRD54	0.8525
TSNAX	0.5275
TMEM83	-1.36675
ZBTB7A	0.785
ATM	-2.32158333333333
LOC338328	1.15633333333333
TIE1	1.14483333333333
HIST1H3G	0.0585
PASD1	-4.49866666666667
TINAG	0.90925
PCDHAC2	-0.334
LRRC15	-0.55925
WBSCR17	-0.7465
TFF2	0.1145
PARP2	0.024
NDFIP2	-0.80975
PCDHGB2	0.4455
WDR60	-0.26425
MAP7D2	-1.5699
USP45	0.02775
GSDML	0.24975
TNS1	-0.6105
PLCD4	1.7225
IQCD	1.08366666666667
SMPX	-2.71733333333333
CD9	0.5705
SRGN	1.307375
CASP7	-0.656
INOC1	-0.385833333333333
DKFZp451M2119	-0.9805
VMAC	2.0495
USP53	-0.192
CAMK1G	-0.207625
TMEM106A	-0.0325
CDC20	-1.1804
ACSL5	-0.642166666666667
CBWD5	-1.486
C1orf87	-0.817
KIAA1274	-0.56075
PRUNE2	-2.52207142857143
LYPLA2	0.0131666666666667
DOK6	-0.242166666666667
GPR149	-0.10525
FAM30A	1.816
TMEM129	-1.37425
SLC35B3	0.20075
ACPP	1.2669
LOC200261	-1.406
SLC4A7	-0.6825
CCDC40	2.74725
GART	-1.052875
THOP1	-0.247
SCARB1	-1.68425
CACNA1F	-0.59275
TRIAP1	-0.339333333333333
SYT14L	-1.081
SFRS8	-0.357666666666667
PBOV1	0.7205
GOLSYN	0.18175
GJB7	-2.028
CAMK2N1	1.92141666666667
GREM1	0.171333333333333
FLJ20433	0.82975
QPCT	-3.076625
PRKAG2	0.455833333333333
H2AFX	-0.48425
C6orf154	1.40225
PLOD3	-1.09525
ZBTB39	-0.0975
WASF3	0.17075
DRG1	-0.13025
PRR4	1.985
SPCS1	-0.88325
KDELR3	0.450833333333333
SRP19	-0.432666666666667
GABRA6	0.957
MFSD1	0.95775
MMEL1	2.8325
PDXDC2	-0.1178
BUB1	-2.52522222222222
RNF138	-0.28325
MYLPF	-0.751333333333334
AIF1	0.317166666666667
DYNLRB1	0.754
HCN3	-0.236333333333333
HIST1H2AI	0.28225
MAP4K5	0.172333333333333
LASP1	1.315125
LOC130951	0.824
PLAA	1.032875
KRT6A	-1.6675
C6orf117	-3.63
ARHGAP23	-2.0835
PTF1A	-1.639
GPHA2	-0.10225
LCE3B	-0.011
MCL1	0.355857142857143
EHBP1	-0.431166666666667
PRNP	-1.3764375
ZSCAN1	0.67775
C1orf113	-1.1615
FOXA3	-3.418875
NEB	0.4545
ASGR1	-3.85616666666667
CTGF	0.320333333333333
RAB17	-0.195
MST101	-0.44725
JARID1B	1.2198
