Hybridization REF	TCGA-A8-A0A7-01A-11R-A040-07
CSMD1	-1.39175
TBP	-0.627
OR1Q1	0.107333333333333
RETNLB	0.2275
HPGD	-0.1195
DNAJC12	-2.711
FKBP1B	-1.0565
ANKRD24	-0.457166666666667
CXXC5	0.2
IL3	0.193125
DRAM	1.9598
PTCH1	-1.11675
TP53BP1	-1.15775
SLC17A7	-0.085875
COL25A1	-1.0791
AMACR	0.276166666666667
RHCG	-0.04625
VPS13A	-0.88225
FAM55D	0.5935
PRPF38B	-0.801416666666667
OSBPL6	0.00950000000000001
PFDN5	1.1893
CMTM6	0.934375
KCNK12	-0.7575
RP2	0.506
C16orf52	-1.4135
PICK1	-0.495
IFNE1	-1.42616666666667
SEMA4B	-0.41375
TYRO3	-2.46075
OR12D2	0.5205
CSNK1A1	0.1569
FANCF	1.16975
LONP2	0.724142857142857
TBL1Y	-0.928
LDOC1L	-0.467875
CCNC	0.30775
C3orf60	-0.273
CHKA	-0.5625
UBAP1	-0.2005
MAP3K1	0.708
ANKRD9	-0.999333333333333
FAM92A1	-1.54266666666667
GAB2	-0.18575
AZU1	-0.9725
DIS3	-0.430833333333333
C21orf109	-0.30625
IQCB1	-0.57125
SPATS2	-0.263666666666667
EFCAB3	0.073
PRB3	0.7155
FUZ	0.493666666666667
ZNF813	0.677
BMPER	-1.0175
HEG1	-0.036125
ALS2CR11	-1.43825
SURF2	-0.18125
PSMC1	0.19425
OR2D2	0.6995
SLC7A8	0.583833333333333
C4orf40	0.253
SPATA7	-0.3525
MAZ	-0.67375
PIN4	0.8045
PDE1A	-0.152125
TAF6L	-0.0758333333333333
OR2T34	0.2785
KIAA0284	-0.6315
ACADS	0.00154545454545455
MKRN2	-0.428
C18orf56	-1.28425
MS4A6E	0.439666666666667
GALNT4	-0.2852
C22orf31	0.104
FLJ36070	0.397
PSME4	0.27125
TFG	-0.568
EPHX2	-0.111625
ANXA5	-0.0655
KRTAP1-1	-0.3134
BATF	2.51925
KARS	-1.3105
MSTP9	-0.4485
GPR26	1.02575
CCDC72	0.34425
TEF	0.534166666666667
FOXK1	-0.8141
PRLHR	-0.284
EMX1	0.678
C11orf30	-0.335625
ICK	0.35225
THSD7B	0.36775
C21orf100	0.16
DUOX1	-0.4225
EFCAB4B	-0.53825
UBE2G2	-1.40083333333333
C3orf54	1.03625
PARP1	-1.23875
FAM60A	-1.2095
C6orf146	0.446
OR9K2	0.2215
DDX55	-1.7165
RPS15	0.287833333333333
ZNF618	-0.1089375
DKFZp686D0972	0.51675
SSPO	-0.0935
SHFM3P1	-0.1845
CPA6	-1.09025
JAG2	-0.3605
DEFA3	0.3985
PPBPL2	-0.113166666666667
CD34	3.819125
SLCO4A1	-2.449125
AFG3L1	-2.04166666666667
SHD	0.1175
RP13-122B23.3	-0.900666666666667
PRKCSH	-0.910833333333333
DPH5	-0.535666666666667
HLA-F	3.464375
TBC1D4	-0.24125
RIG	-0.305666666666667
GLUD1	-0.7545
HNRPCL1	0.3065
HBXIP	-0.14
RNF207	-0.7635
APIP	-0.81575
PLA2G3	-2.094
CCDC84	-1.6545
MYLIP	0.0595384615384616
PHIP	-0.216
AARS2	-0.361833333333333
DHX32	-0.1325
SCAPER	-0.456
MEN1	-0.04175
NIP7	-1.077
FLJ25404	0.545
FASTKD3	-0.89375
TMEM158	-2.41516666666667
RARA	0.64325
BDH1	0.151
ANKRD16	0.5415
CARM1	0.031
SS18	-0.310666666666667
IKZF2	0.450833333333333
MYD88	0.598125
PML	1.17245
TAF1A	-1.2515
CBFB	-0.584
HIST1H3H	-0.429333333333333
C7orf29	-1.66175
COMMD4	-0.764666666666666
DPP3	-0.20275
DAB2	0.92025
LOC388882	0.2005
YPEL4	-0.263125
AGBL3	1.326
LRP6	-0.3046
SERPINH1	-0.463333333333333
TLE1	-0.08775
CD244	2.2125
ZDHHC15	-0.66575
MGLL	0.4633
PLDN	-0.721916666666667
LOC654346	2.6035
FAP	3.095
GPR37	-1.731
SCARA5	1.14083333333333
EBF4	1.60672727272727
LSM6	0.29125
MLLT1	-0.1513125
SLC5A12	-0.6375
A2BP1	-1.58833333333333
COPS5	0.526666666666667
TPM4	-0.0357142857142857
TNFSF4	1.116
ACADSB	-0.305222222222222
HERPUD1	1.393
BCL2L11	-1.07983333333333
CEP78	-1.64575
CDCA3	-1.474
WBSCR19	-0.1399
MYO1A	-0.9325
PPEF1	1.52016666666667
LOC440348	-1.5835
CPEB2	-0.098125
BPTF	-0.828166666666667
RPL21	0.49775
GSX2	0.7585
ADPRH	1.514
C17orf68	0.0771666666666667
KCNS1	-0.428333333333333
MLLT6	-0.1835
PIWIL4	0.26975
RNF26	-0.32975
RAP1B	0.491625
ADAMTS1	-2.7647
ZNF571	0.7185
P2RY6	1.71025
TRIM21	1.99433333333333
CADM3	0.63575
NLRC5	1.16883333333333
ADRA2B	-0.0838333333333334
LOC90835	-0.7195
PCF11	-0.886
LOC400451	1.378
GLTSCR1	0.9014
C17orf88	-0.703833333333333
CDH16	-1.77175
FGF7	2.419125
PCSK4	-0.4765
NPC1L1	-1.5155
TAT	-0.03125
TBCA	-0.834
MGC33407	0.0155
GPR115	-0.613
CYGB	0.0345
FNBP4	-1.2545
C12orf43	-0.5315
CBL	-0.3355
CLECL1	3.69825
PPAPDC1A	2.3705
WDR25	-0.122833333333333
SGCA	-0.13
C22orf29	-0.2495
YIPF1	1.63675
GALK2	-0.6615
RAB3B	-2.94241666666667
LOC440087	1.42675
UCP1	-0.655
REEP5	1.721375
FADD	-0.1774
FOXA1	1.4125
CACNA1A	0.409833333333333
ABI1	0.233833333333333
GRIN2D	1.47525
SLC1A4	-0.736333333333333
LOC401127	-0.94225
HINT2	0.30725
PLD4	0.843666666666667
ZNF286A	-0.767
ENY2	0.233
IL1F6	0.463
PXDNL	0.2505
C20orf79	0.40925
TNFSF13B	5.52733333333333
DENND3	1.2615
JARID1D	-3.0155
HIST1H2AK	0.608125
LOC93349	1.0158
SSH1	-1.0016
ENSA	-1.4925
LOC219854	0.1135
CKAP2	-0.5065
DKFZP564J102	0.110666666666667
MGC87315	0.0466666666666667
HNRPAB	-1.696
AMH	-1.9295
ZNF526	1.5605
BRUNOL5	-0.0202
CACNG3	0.287
TRPM1	-1.413
PPP2R1A	0.673125
COL2A1	-1.40125
DDN	0.272833333333333
FLJ25770	0.378
HK2	-0.868571428571428
ELOVL6	-2.143
MDK	0.258
EPHX1	2.06575
RASSF2	1.636375
DKFZP434B0335	0.11525
DLX3	1.318125
PRTN3	-0.429
AVPR1A	0.14875
C21orf125	-0.582
TNFAIP8	1.265
GNB2L1	-0.524
CALCRL	1.51125
SCGB2A2	0.708833333333333
UBXD7	-0.635
ZNF674	0.1955
TMEM35	-0.93975
BRSK2	0.276
HECTD3	-0.372833333333333
TMEM188	0.0523333333333333
LGALS9	2.867625
SCARB2	0.51125
USP34	-0.696666666666667
C17orf28	1.51516666666667
ZDHHC23	-1.112
AQP12B	-0.2115
SLC16A3	-1.234625
APLP2	0.267625
ITIH2	-5.13625
MICAL3	-0.355
TNNI3K	0.0103
HDAC2	-0.9525
PRR7	-0.3622
THBS2	0.776375
LOC751071	-1.08533333333333
CA2	-1.04783333333333
RANBP17	0.29325
RLN3	0.45975
CRYZ	-0.133
GBAS	-0.577833333333333
TAS1R1	0.056
MPZL3	1.281
PCDH8	-1.60125
HSP90B1	-0.105
KCNK15	0.157
TNIP2	0.367833333333333
GPR146	-0.632
NOL6	-0.468375
SPC25	-1.75588888888889
STEAP2	1.05578571428571
VAMP3	0.0725
TCIRG1	0.70775
ZP4	-0.224
PARL	0.155875
TRIM39	0.3705
KIAA1305	1.21725
CRNN	-0.00600000000000001
GRN	0.97475
HSH2D	0.436
SCAMP1	0.298625
KIAA1913	1.85475
PTS	0.31175
BANP	-0.260928571428571
PRKACG	0.21625
ADCY6	0.340166666666667
C16orf46	-0.464
CYP51A1	-0.119875
DDC	-5.96325
ANPEP	-1.4355
PROM1	-1.57616666666667
SIGLEC10	3.86025
COPG	0.896
FAM26E	1.308875
TRIP4	0.77825
SNX3	0.103333333333333
C1orf175	0.422
PPY2	-0.126
C14orf152	0.56025
FTSJ1	-0.685666666666667
DST	0.0828
LOC554235	-0.10025
GLRX5	-0.98875
C20orf12	0.4529
CAB39	0.766333333333333
MSH2	-1.81883333333333
PIP4K2C	1.124
CYLD	1.49875
WTAP	0.4784375
MGAT4A	1.857
TSC22D4	0.0365
CHRM2	-2.1645
PPYR1	0.577
CCNH	-0.869666666666667
RRM1	-0.65325
ECAT8	1.92575
LOC400120	0.249
GABRA4	-0.312
C14orf4	0.936833333333333
C1orf59	0.34875
CTDSPL	0.43225
NHEDC2	-1.26
PDE11A	-0.9720625
KLHL29	-0.9885
CD5	1.5757
TSPAN9	1.039
WDR67	-0.49025
THUMPD1	0.4107
C18orf17	-0.2995
CLYBL	0.0308333333333333
FLJ13231	-1.026125
CMBL	-0.162625
LECT2	0.01225
NKAPL	1.7695
LOC654780	0.6935
OR4C6	0.2435
RAB30	-0.0413333333333333
TSSK4	-0.3425
TMEM163	1.9455
OSBPL11	0.479416666666667
GNB5	-1.31616666666667
CCL21	1.9845
C1orf121	0.0725
FMO2	2.5255
RPTN	0.4535
MSTN	0.4925
VCL	-0.624642857142857
FYTTD1	0.22875
C11orf1	-0.172
CCDC88C	0.2038125
HFE	-0.0651666666666667
MOGAT1	0.251
FAM125B	0.7385
IRGQ	0.783
RAVER2	-0.82
AKAP5	-0.655
SSSCA1	0.6765
C11orf63	0.453125
ACTG2	-0.4016
PORCN	-1.276
DTL	-1.80790909090909
TMEM151	0.73225
FAM122C	-1.411
RSAD2	4.2827
BAT4	-0.266
KRTDAP	-1.54816666666667
MYH8	0.708625
CRTC3	0.076
LRRFIP2	-0.289
INTS4	-0.377333333333333
TTN	-0.7265
SLC26A5	0.1255
PLLP	-1.5275
RGS6	-0.877375
SRGAP3	0.58175
ZNF525	0.4265
NBR2	-0.983666666666667
C13orf1	0.6562
ZNF137	0.5375
CEP27	-2.0395
BEST2	0.104
RNF121	0.2895
DMRTC2	2.626
C8orf76	0.73725
BCCIP	-0.58675
MEST	-1.888
HTRA2	-0.393
ANGPTL2	0.73975
ILKAP	-0.238
ERAS	-0.0895
HBS1L	-0.838125
CPA5	0.453
TMEM30A	0.832166666666667
CD300LF	2.662
WISP3	1.3805
CRK	0.0539285714285714
PDS5A	-0.1955
BRPF3	0.035
NEDD9	-0.05475
SMPDL3B	0.60175
PSG6	3.21675
PSMD13	1.0475
ETV5	-0.9224375
OR51A4	0.0935
BTBD7	0.0369166666666667
GSTO1	-0.396375
hCG_16001	0.4915
MAD2L1BP	0.1655
COX6A2	1.665
SCNN1A	1.6685
LSM1	0.025
UGT2B11	-2.8585
IDUA	0.51625
PPP2R3C	-0.5435
COX11	0.0906666666666667
PDZK1	-4.128
ZNF443	-0.115
MGC21874	0.859
ZNF323	1.9181
KRTAP10-10	0.1815
CXCL6	0.41775
SLC34A2	0.4835
LOC284402	0.332
NPTN	1.28541666666667
UPP1	-1.25866666666667
SLC6A9	-0.7995
OR7G3	0.5015
CISD1	0.0386666666666667
ZNF545	0.369
SYT14	-0.626
NT5C3L	-0.347333333333333
ZNHIT3	-0.5315
SNRPD3	-0.5905
KIAA0701	-0.036
UNC93B1	1.4775
GMNN	-1.6765
SPCS2	0.783333333333333
LOC388524	0.625
NAPRT1	2.524625
PNLIPRP1	0.44875
OR6V1	1.184
PRKAB1	-0.4945
EYA4	-3.20533333333333
KIF20A	-2.319
ALG10	-0.186
ITPKC	1.49433333333333
LMX1B	-0.173166666666667
RPUSD4	-0.411666666666667
C7orf34	-0.3815
DLGAP2	0.232375
PFN1	-0.2833
MICALL2	-0.214416666666667
ZNF654	0.0485
SS18L1	-1.056625
SLC16A8	1.45525
MKI67IP	-0.463333333333333
ITGB3	-1.714375
TCEA3	1.83708333333333
CEP152	-1.986375
CLIP1	0.469
ZNF75	0.1103125
ATP5C1	-0.7635
NUDT5	-1.18783333333333
PSCDBP	3.19575
UBP1	-0.53775
RBM27	0.11875
C13orf15	2.469375
ZNF282	-0.0141666666666666
ZNF222	0.908
COL10A1	6.48425
PRDM15	-0.787125
TTTY5	-0.502
FAM9C	-0.381416666666667
C20orf67	-0.184
GNG13	0.04
F12	0.361
C1orf41	-0.597
CPXCR1	-0.4135
GSK3A	0.5055
SUPT6H	-0.2374
PI16	2.49166666666667
ELL2	-0.0634166666666667
C9orf167	-0.878666666666667
PVRL3	-1.4938
FLJ38596	0.1715
ADAM20	-0.3905
GPR89A	-0.943
GPR87	-0.962
ZNF30	0.85125
SMR3B	0.245
ZNF770	-0.337375
TRPC4AP	-0.442833333333333
DKFZP686E2158	0.338833333333333
C2orf28	0.233666666666667
FREM1	-0.03
LAMA4	0.215666666666667
ADPRHL2	0.5315
EIF4G2	0.241666666666667
GUCA1A	-0.564
CTNNA2	-1.70225
NUDT15	-0.501666666666667
CEPT1	0.223166666666667
ZNFX1	1.3336
CCDC92	0.828
TDRD1	-0.5195
KCNK5	-1.91133333333333
ETNK1	0.133
LTA	0.991
TTPA	0.0711666666666667
B3GALNT2	0.331375
SC65	-0.865166666666667
PEX5L	-1.163125
EPS15L1	-0.73975
MGEA5	-0.374375
HIST1H3A	0.59675
ING1	-0.11025
BCAT1	-2.241125
ORC6L	-2.42863636363636
KLK11	-3.44866666666667
C19orf28	-1.329375
DNER	-3.1405
MED22	-1.01792857142857
ETV6	1.06383333333333
CHAC2	-1.4735
CD300E	0.0215
CEBPB	0.22225
ZNF398	0.2895
LRCH3	0.0255
HMGA1	-1.15283333333333
CAPN7	-0.392
MGC5566	-1.6595
CCL3	3.209375
NANOS1	0.395
ZFYVE19	-0.5445
APITD1	-0.802166666666667
PARD3	-0.230125
IRAK4	0.2625
SERPINI2	-0.0005
CEP170L	-1.073
TTC9	1.854
MYOM3	-1.602
MLPH	0.702
LOC222699	-0.0335
NRG1	-1.55291666666667
TBC1D9	1.25854545454545
TTK	-2.2385
ZNF557	0.7916
DDX41	-0.326666666666667
FANK1	0.045
UBE2D2	-0.01375
PSMB10	1.82725
MYH7B	0.2385
GABARAPL2	0.064
MARVELD2	1.19183333333333
DGCR2	0.505666666666667
UNC45A	0.165833333333333
C6orf72	0.5915
ZNF683	5.77175
GIT2	0.414
CASK	0.169666666666667
C14orf161	1.957
LRRC44	0.77275
TIFA	0.454
UTP11L	-0.837375
C6orf65	-0.59875
FDPS	-0.57925
DUSP9	-1.5891
SLC17A8	0.353166666666667
OR51G1	0.3815
NANS	0.043
OLFML1	1.89575
ATP10B	-0.556
NPAS3	-0.452
PRKCA	-1.6494
GGA2	0.197875
LCE4A	0.066
SPANXN3	-0.277
CCDC115	0.949125
SDCCAG3	-0.893
GLIPR1L1	0.34375
TTC1	0.3065
C17orf76	1.1675
MAD2L2	-1.04
HIPK1	0.1013
LRRC3B	-0.0156666666666667
CLN3	-0.403545454545455
C17orf47	0.287
FMN2	-2.590375
TUBB1	-1.149125
WAPAL	-0.297
C3orf21	-0.748875
SCN5A	-0.5637
SMYD1	0.058
BEX5	1.0675
ZNF192	-0.265
SEC22A	0.575666666666667
GRIA2	0.208923076923077
KIAA0825	-2.1435
NUSAP1	-2.79518181818182
LANCL1	-0.311125
C15orf40	-0.99
ZNF645	0.299625
GPR61	0.0985
NLRP14	0.1865
SNX21	0.4087
C1QTNF8	0.457
C17orf46	0.3085
IFNA8	0.817
SPRR1B	-1.3245
FLRT1	-0.27025
SNX17	0.324166666666667
ASB2	2.003
HBG1	-5.6
RPRML	-0.67425
JOSD2	1.37916666666667
PLSCR3	0.24175
SPOCD1	0.0285
RAB39	0.1965
GHRH	-0.209166666666667
ITIH5L	0.06025
C17orf37	3.1395
SMCR8	0.5055
DPY19L2P3	-0.645166666666667
IL11RA	1.03633333333333
GDF3	-2.80833333333333
RPS6KB1	-0.745666666666667
DNAJC19	-0.1404
TOP1	-0.855
CRCT1	0.293625
MPST	-0.132125
DPM2	-0.115875
FAM38B	-1.73033333333333
SLC18A1	-2.389
FARP1	-0.851166666666667
PAX7	-0.1435
TUBD1	-0.5375
GNL3	-1.075125
BTG2	1.43553333333333
NDUFS6	-0.3705
C1orf79	-1.9285
ERAL1	-0.913
ECHS1	0.2695
VPS4A	-0.215
CYP11A1	0.731875
ABCC6	-1.04771428571429
PBX4	-0.3955
MOSC1	-1.359125
NCF4	2.65225
HYMAI	-0.384
NAGPA	0.019875
OTOP2	0.31675
ACOT12	-0.18225
MTHFD2L	-1.028875
LOC441376	2.738
C19orf34	0.239
RAB1B	0.624
ALDOAP2	0.5505
NTRK1	-1.43383333333333
ARTS-1	0.9869
SLC6A11	0.8465
NAP1L2	0.5865
CNGB1	0.108666666666667
EPB41L4B	-0.836416666666667
FAM134B	0.26575
HS3ST3A1	-0.874166666666667
CPXM2	6.3915
SIRPB2	0.0565
CHORDC1	-0.4625
TRIB3	-0.2805
SLC2A5	1.6805
C2orf49	-0.3235
DDX5	-0.4145
OR5L1	0.162
ANAPC4	-0.205333333333333
ZSWIM1	-0.0485
LOC93622	0.2455
KCNK3	-0.6113
RP11-35N6.1	-2.67
ZFP161	0.100833333333333
AQP9	3.8075
SLC15A2	0.6295
MREG	-0.616666666666667
OR9I1	0.116
PDLIM2	0.379
ADAM7	0.4
GSTCD	-0.538833333333333
WDR21A	0.051375
SLC12A8	1.264
TMEM174	0.1215
IGSF3	0.198333333333333
LRRN1	-1.454
LOC402117	0.0115
SRPK1	-1.39016666666667
LY6K	-1.7480625
NFIA	1.755
PTCD3	-1.12975
LEP	0.506
PCDH21	-0.111666666666667
MAPKAPK2	0.415214285714286
NMNAT1	-1.12166666666667
LHFPL2	1.05325
C9orf43	-0.07975
DIP2A	-0.792
ACTR8	-0.12575
CCDC34	-0.96875
PTPN22	0.71775
ITGA3	0.720625
FAM129C	1.11925
RABGGTA	0.497166666666667
UNC45B	0.73025
KIAA1033	0.281375
ZNF510	-0.0838333333333334
CYP2D6	-0.603666666666667
SLC26A10	-2.1035
STX8	0.46425
LUZP1	-0.212875
WDR89	0.0453333333333333
EIF4G3	-0.6216
C5AR1	1.081375
ZNF623	0.379
A2M	1.2035
TGM7	0.08
GRPEL1	-0.103833333333333
LMNB2	-1.6098
ROCK2	0.0133333333333333
SNX16	0.6395
CCDC66	-1.19825
ANXA3	0.573
KIAA1609	0.092875
EED	-0.22725
RNF32	0.351333333333333
HES1	-0.7252
CLC	1.00516666666667
ISL1	0.749833333333333
KIAA0528	-0.265
MANEA	0.83225
C1orf61	-0.922
hCG_2001000	0.56
RAPGEF6	0.0215
KIAA0020	-1.37833333333333
NEIL1	-0.234
C16orf45	-1.23725
RBM10	-0.44
C10orf125	0.71
MRS2L	-0.47
DNAH17	-1.320375
C19orf10	-0.21975
C1orf160	0.62075
SLFN12	1.46275
EXOC3	-0.2765
HIST3H3	0.192
NCOR2	-0.188666666666667
TNFRSF9	1.593
MFSD8	0.95925
ALX1	-1.99
NOL1	-1.48925
PODN	2.5285
TIAL1	-1.069
HIST1H1E	0.683
NPY6R	0.21575
TM4SF4	0.21775
CORO2A	-1.774
ETNK2	-0.186833333333333
APOE	2.3376
ANGPT4	0.434
HDGF2	-0.53725
G30	0.4355
ST8SIA4	0.88175
F2RL1	0.63125
FAM19A4	-2.99775
CCAR1	-0.7435
B3GNT7	0.25825
OPHN1	-0.901111111111111
DSCR6	0.119
C21orf13	-0.191666666666667
GAS2L1	0.214666666666667
RFX3	-0.722333333333333
COPS4	0.417125
BCHE	-3.7185
BCL2	0.867625
HBZ	-2.81783333333333
ARL13B	-0.048
MAPBPIP	0.311375
MYO15B	-0.674
SPZ1	0.88225
KIAA1324	1.30766666666667
PLCL2	0.77675
C4orf29	-0.9305
WDFY2	-0.39225
ZNF284	-0.258
NAALADL1	0.9475
DUSP5	-0.680666666666667
PXDN	-0.472625
SLMO1	-1.45
TNXB	0.7826
BIRC7	0.22925
A4GALT	0.5285
TIMM22	0.5135
FAM110C	0.57275
TOMM34	-1.149375
ABHD9	0.1375
ADAM32	0.3305
CRHBP	0.062
AQP2	0.389125
LOC130355	0.734
ZNF187	0.396666666666667
ZNF816A	1.485
F7	-0.75775
CNOT1	-0.5292
SLC13A4	-0.7475
ZBTB11	-0.476
B3GALT5	-0.5275
EXOC2	0.165666666666667
IRS1	-1.5357
TMEM1	0.083
MRPL34	-0.102333333333333
SAMM50	-0.292
CDC42EP3	1.39
HSF2	-1.2795
MFN2	-0.2145
TSPAN7	-1.5535
NUCB1	0.633083333333333
RHOH	0.33675
ARL16	-0.099
TACR1	0.036
SFRS5	-1.369
SNX25	-0.42075
RHBDF1	0.195333333333333
PCDH18	1.73533333333333
HMG1L1	0.638
MYO5C	-1.49625
MAPK10	1.5115
LDHAL6A	-0.108833333333333
NUDT12	0.355666666666667
NCAM1	-0.3885
GLIS2	0.863
GGTL4	0.59975
DAPP1	1.00525
ATF7	0.47525
KIAA0748	0.621
NFIL3	-0.89725
TM6SF1	0.9994
SEZ6	0.003
NANOS3	-0.008
DNAJA3	-0.437833333333333
CLDN6	-2.768
CIITA	3.6326
EPHA4	0.027
FANCC	-0.82675
CMTM3	0.70925
PSG3	1.852875
MRPL15	0.17225
C21orf59	-0.26875
PLCXD2	0.309333333333333
C2orf34	-0.16025
UBE2L6	2.204625
MED14	-0.501166666666667
HP1BP3	-0.0593
C6orf208	0.0605
TPBG	-0.8955
OSR2	2.682625
XPC	-0.469333333333333
KLHL7	-0.75525
CCR3	-0.332333333333333
AGTPBP1	-0.368666666666667
PCSK6	-2.37273333333333
STAT5A	-0.6286
FAM18B	0.2275
LONRF2	-1.97366666666667
PTPN2	-0.23925
SF3A3	-0.724666666666667
EFCBP2	0.19925
HCFC1	-0.875333333333333
AHNAK	0.0565263157894737
ACTR5	0.244
KIF14	-2.252
TENC1	0.293
HEATR5B	-0.0655
YIPF2	0.403666666666667
MYEOV2	0.291166666666667
DUSP18	0.9295
KIAA1012	0.0865
AHR	-0.3615
C17orf53	-1.59533333333333
PTPRH	-1.30675
ATP6V1C1	0.6091
TAS2R3	-0.243
LOC440356	1.4965
COQ10B	0.68
PSMF1	0.531583333333333
SORBS2	-0.644666666666667
NFE2L2	-0.22
TMCO7	-0.23475
SH3PXD2A	-0.1259
SH2D2A	0.996
SPINK5	-3.04425
MRPS24	-0.3805
OPA3	0.768125
TRAF7	-0.638166666666667
C4orf35	0.596166666666667
MT1G	-0.834125
MGC39545	1.35833333333333
HS1BP3	0.4239
OR2B2	0.421
CHRM4	0.2765
SFRP2	4.57975
RIC3	-0.41525
ART1	0.225
C6orf1	0.573875
DUS4L	-1.36975
C10orf104	0.00299999999999999
TNFAIP6	2.43125
RTEL1	-0.65225
CCT4	-0.9181
ZNF709	-0.379
CHMP6	0.388833333333333
UPP2	-0.0175
CYP19A1	-1.7185
CD151	-0.937666666666667
NDUFA13	0.580833333333333
ARFRP1	-0.362
FAM26B	1.942
CRYBA1	-1.798
MRPL41	0.662333333333333
NPFFR2	-1.4935
HRH2	0.146
SCAMP3	-0.14
MTMR6	1.1683
MTG1	-0.939666666666667
UBTD1	1.07975
CRABP1	-2.276
FLJ33790	2.0426
KIAA1908	0.1625
GPR158	-0.11275
PACSIN3	-0.224166666666667
OMD	3.39433333333333
CATSPER1	-0.172333333333333
HOXB8	-0.549375
FBXO46	0.515
OAS1	2.7055
SVIL	-0.55275
PHB2	-1.2165
ADCY3	-0.4065
NDRG2	0.385333333333333
ERMAP	-0.00409999999999999
APBA2	-0.8325
IGSF9	0.876
WNT6	0.361285714285714
MYCBPAP	-0.09775
ATP2B2	-0.1334
CPVL	0.8371
TRAM2	-0.205
NOP5/NOP58	-0.57525
ZNRF4	0.02875
TLK1	-0.022125
MTMR12	-0.434428571428571
ZNF384	-0.568833333333333
FAM9B	-2.34675
RPN1	1.0717
PMVK	0.181
EIF3D	-0.0126
SIX2	0.35525
HPS1	0.703214285714286
RNF7	-0.10025
PSKH2	-0.272
KCTD13	-0.480666666666667
CSMD3	-0.2639
FBF1	0.113
IL8	-5.092375
SERPINB13	0.335166666666667
FBXL20	-0.59475
BLR1	0.4175
SH2B1	-0.865166666666667
RFNG	-0.6365
RAB20	1.75583333333333
RBM7	0.0715
POLR1A	-0.852833333333333
TMPRSS4	2.424
TAF9	-0.833625
TERF2	-0.361166666666667
TNFRSF1A	0.195083333333333
ACADVL	-0.328333333333333
GTF2H5	0.0065
EDG8	0.411
C9orf140	-1.285625
UST6	-0.00925
ZBTB8OS	0.20125
ZNF710	0.9185
GPR174	0.9045
ATP6V0A2	-0.30975
KIAA0319L	-0.137583333333333
XKRX	-0.2895
DOPEY2	0.8509
SDHD	-0.00416666666666667
SUMF1	0.851
OSM	2.13375
OPN3	-0.41325
DAGLB	0.0588333333333333
PPFIBP1	-0.0846
TRIM63	-1.50425
C10orf53	-0.1735
LYPD3	1.66766666666667
BCL7A	-1.038125
AGER	-1.3645
TCF19	-0.93825
SAT2	-0.02325
PFTK1	0.97
GABRE	-3.116375
C15orf38	1.8948
FIS1	0.593
KCNV2	-0.4565
CLPS	0.13525
PPCDC	-0.31675
FOXN2	1.87316666666667
NT5E	-2.3369
CD83	1.626
IL18	1.833625
VPS16	0.998
IGFBP2	-2.9155
NOTCH2	0.34625
SIGLEC1	3.64375
CD93	3.7715
SULF2	-0.82025
CEP164	-0.381625
P53AIP1	-0.408666666666667
TOR2A	0.0591666666666667
ZNF136	0.4805
MGP	3.1548
CCDC144A	-0.505333333333333
TRPC1	-0.175333333333333
SMS	-0.565
MAPK7	-0.3055
RRAGC	0.97375
PARD6A	0.1285
NUB1	0.907666666666667
SYNGR4	1.107
OR11H12	0.0975
WIF1	0.672125
GCH1	0.6745
OR11H4	0.115
SLC44A5	1.1225
GPRIN2	-0.517833333333333
LOC401431	0.60775
CPA4	-2.4519
MELK	-2.20688888888889
IL15RA	1.82775
CUL3	0.16975
HMBOX1	-1.1505
PODXL	-3.1135
CCT6B	-0.108833333333333
COMTD1	0.833
MUC20	2.18566666666667
GPX2	-0.947625
ITK	0.906
FBXL5	1.53475
C13orf27	-0.502
DEFA5	-0.211
TRHDE	0.3715
MTP18	-0.201
UQCRQ	0.3853
ITGB2	3.48875
CSRP2BP	0.4625
TAS2R44	1.179
PHPT1	0.396125
FAM44C	-0.38875
ERH	0.76125
MPHOSPH1	-2.05916666666667
MORC1	0.1955
PARVB	-0.65
LAMA1	-2.00791666666667
PGBD3	-0.109
GIMAP6	5.0205
AREG	-4.24166666666667
LIPT1	0.15775
MGC99813	-1.359
C1orf201	-0.00183333333333334
GRIN2A	-0.7588
MAN2C1	-0.650625
NSUN5	-0.4715
SF3B5	0.7
MYC	-3.002625
NRXN1	-0.666181818181818
ZNF18	0.25275
SPDYA	-0.330125
SLC37A1	1.384
DECR2	-0.30975
ANKRD38	0.666375
SPTLC3	-0.456666666666667
SUPT16H	-0.954625
DTWD2	0.23025
ULBP1	-0.2265
ZADH1	-1.62416666666667
OIP5	-2.6735
IL10RB	0.488166666666667
OTUB2	-0.23125
VWA3A	0.356166666666667
SPIC	1.2852
OR6C4	-0.2635
PSCD4	2.46316666666667
DPY19L2P2	-0.6675
TRAPPC6A	1.593
C21orf2	-0.5055
CEMP1	-0.677
LIN7B	1.15
E2F7	-2.06783333333333
VCP	0.106
LAMA3	-0.255
BGN	2.4635
GPR160	1.4725
COCH	-2.97033333333333
GPR81	1.032
APOBEC3F	-0.175
tcag7.1017	-0.6755
C1orf32	1.759
SCGB1D2	0.229
FLJ43987	-0.1605
C6orf170	-0.229
KLK9	0.97
GPD1L	0.019875
VPS37B	0.38475
ATG3	-0.0716666666666667
ADAMTS17	0.3765
KLHDC2	0.0616666666666667
NDUFV2	0.0875
BLK	0.40425
MATN4	-0.917
