Hybridization REF	TCGA-A8-A07G-01A-11R-A034-07
PUM2	0.307928571428571
SPRYD5	-2.068
ALG10B	-0.40375
ZNF365	2.39025
PHC1	-2.0765
KIAA0913	0.0435
ARX	0.4645
PPP3CB	0.639
IRX6	0.0177
ANGPTL4	1.3475
LSM14B	0.5957
PCDHGB7	0.2995
INSM1	-1.17425
WBP2NL	0.403
ZNF493	-0.5585
NGEF	-0.34525
RNASE13	0.3005
SPPL2A	0.682333333333333
SFXN1	-0.516875
FAM102A	0.672125
SAPS2	-0.529916666666667
JTV1	-1.048
OR51B4	-0.8615
SCGB1A1	0.267
NEUROD2	0.25175
tAKR	0.1245
C1orf26	0.54125
RICH2	1.028
TEDDM1	-0.2605
CYP2S1	-0.848
TBCE	0.0803333333333333
MAPK1	-0.437125
HDHD1A	-0.44475
MRM1	-0.53375
ATP9A	0.417285714285714
HSD17B3	0.0436666666666667
HN1L	0.0609166666666667
RNF216	-0.20125
HOXD12	-0.548
PPP1R14B	-0.4625
SBF1	-0.4805
TAS2R42	0.4245
USP46	0.791833333333333
LILRB3	2.198
SPI1	0.80575
OXSM	-0.28675
GYS2	0.314333333333333
NUPL2	-1.01725
C8orf46	-1.83575
SF3A1	0.00864999999999999
C21orf99	-0.09025
HOXB4	1.7339
YRDC	-1.16575
GPRC5D	0.161
BLVRA	0.327625
KIF12	1.683
LRRC23	0.22475
FAM14A	2.068
RASL12	1.021875
DAZAP2	1.28575
IKBKB	0.249571428571429
ZNF271	0.498
BOK	0.8265
CXorf6	-1.34725
MYEOV	-1.5365
BTN2A2	-0.5215
FRG1	-1.11425
HSP90AB6P	-0.934
ENOX1	1.241
ZNF706	0.1389
DOK1	0.8286
PGAP1	-0.423875
TMEM136	0.92925
FSCN1	-1.68625
KIF17	0.0495
TRIM66	-0.3095
CBR3	1.59066666666667
C13orf24	0.205333333333333
C19orf52	-0.247
BNIP1	1.11625
AQP3	-0.162125
KRT6C	-0.6
SIRPA	0.16475
IGFBP6	-0.62
PLEKHK1	-0.890625
RNASE7	0.04
ARHGEF15	0.3925
NPHS2	-0.026
SRD5A1	-0.31175
REXO4	-1.21525
EEF1DP3	0.103
SLC37A2	0.78075
ZNF142	0.60725
ANKHD1	-0.4615
MUT	-0.181
VPS37A	-0.61225
GPRIN1	-0.404
SLC38A3	-1.166625
BAZ2B	0.862
WDR87	-0.0338333333333333
BRD7	0.186
POU6F2	-0.2885
NISCH	-0.027
TCEB1	-0.35475
LINGO2	-2.0075
TAX1BP3	0.76075
RPL34	0.0284444444444444
MARK2	0.127166666666667
AKAP12	-0.3426
AMBN	0.117
SLC25A27	-1.15066666666667
FLJ21865	-0.14475
KIR2DS2	0.417666666666667
WDR77	-1.0815
ATF2	-0.147416666666667
ITFG3	-0.171833333333333
SLC39A13	1.522
ARL6IP5	1.36075
C10orf137	-0.801375
QTRT1	-1.43533333333333
CCNT1	0.1905
DYNLL1	0.8044
WDR53	-0.92225
LIPG	-0.781333333333333
ASAH3	0.3495
HELB	-0.39975
PHACTR2	0.661
VENTX	0.0075
LAD1	1.2625
PAOX	1.60175
MAPK8	-0.2085
CCDC38	-0.207
DNAJC8	-0.5878
RBBP8	-1.06525
WNT11	0.6377
KCNJ12	-0.485833333333333
HDAC8	0.379833333333333
STARD4	-1.1515
ACVR1	1.0425
C14orf65	0.0708333333333333
KLB	-1.168
C1orf65	0.2325
ZFYVE28	0.25925
NSUN6	0.323
KIF27	-0.394666666666667
SYTL2	0.0193333333333333
UBXD2	0.7601
OR6T1	0.1605
CCDC91	0.429714285714286
GRID2	0.3745
CALN1	-0.6515
ZNF423	1.57525
PSMB4	0.431166666666667
XPNPEP3	-0.216333333333333
ARPP-21	-3.072
SART1	-0.5515
RACGAP1P	-3.045
SPTA1	-4.24925
C6orf113	-0.0673333333333333
C7orf16	-2.33075
CHST7	-0.430166666666667
C21orf29	-0.205666666666667
SEMA6D	-0.4075
PCMTD1	1.2904375
KIAA1754	-0.6565
MYCN	-0.8043125
KCNJ3	-0.285
MAPK13	1.9438
ERO1LB	1.1285
NTF3	-1.71483333333333
NKX6-2	-0.39025
GTF2B	-0.13925
GSPT1	-0.544333333333333
GUSB	-0.236
LOC221091	0.205
LIG1	-1.48
EXTL3	-0.271833333333333
NID2	0.33
TTC29	0.12125
TMEM97	-1.196625
EXTL2	-0.557666666666667
SUZ12	-0.0595
IL1F8	0.0905
KRT18	0.336545454545454
MRPS16	-0.651333333333333
PI4K2B	-0.08675
LACRT	9.237
OR51F2	0.459
JMJD2C	-0.575375
KGFLP1	2.22425
CDK5RAP3	-0.2426
YTHDF2	0.63
GGCX	0.533125
ARPC4	0.34375
EGLN2	0.658333333333333
KBTBD4	0.381785714285714
ROBO3	-0.7216
DEFB118	-1.557
KIAA1543	0.41825
RTCD1	-0.079
MZF1	-0.1855
C18orf26	1.106
CNIH4	0.583666666666667
ZFP2	2.98333333333333
HTATSF1	0.27625
WFDC2	2.301125
NDUFA7	-0.099
TTC22	0.3795
FAM40B	-2.773875
DCPS	-0.679
SH2D1B	-1.085
MRGPRE	0.604
SBK1	-0.14125
UNQ6411	0.1275
OSBPL9	-0.85475
NUP107	-1.27975
MYOZ3	-0.1613
PDE4B	0.543083333333333
FAM113A	-0.6085
IDH3G	-0.227333333333333
FBXL7	0.145875
ARFGAP3	0.5565
MAPRE2	-0.639615384615385
IL1RN	0.5128
KIF13A	0.308
RAC3	-0.8295
TCTE1	-0.5455
TMEM14B	-0.4385
ADIPOR1	0.464
GRINA	0.888
CLIP4	0.8935
LRIT2	0.0765
TFPI	-3.04335714285714
FABP6	2.74125
SLITRK2	-0.3093
HKR1	-0.202
SMTN	-0.1705
C1orf75	-0.07675
CD209	0.266375
CYB5R2	2.0245
DNTTIP2	-0.4715
CSGlcA-T	0.87775
GABRB3	-1.92875
PCBD1	1.04183333333333
TAF3	0.148
HOXD3	-0.372166666666667
GIPC3	-0.677833333333333
P11	0.4838
BFSP1	-0.206
LCP2	0.35575
TAS2R8	0.4545
SEZ6L	-0.485125
NR2C1	-0.851875
EXDL2	0.6166
TNFRSF13B	-1.998
MKI67	-3.1385
GLS	0.546583333333333
C7orf54	-0.3282
LGALS13	0.162
IL4R	0.69725
SEC11A	-0.3745
SPP2	0.4625
C18orf32	0.713
CLSPN	-2.25666666666667
SPAG1	0.40675
C9orf82	-0.75225
TM4SF1	0.0584166666666667
EMILIN2	0.93425
SMG7	0.247666666666667
TAS2R13	0.4405
ZNF628	0.2105
DZIP1L	-0.0568333333333333
ANKRD13A	-0.0542
VASP	0.9305
ZCCHC11	-1.192125
SYPL1	0.16275
MGC34774	0.3295
C4orf28	-0.178625
KIAA1211	0.137666666666667
RPS27L	-0.649
TATDN3	-0.10125
PDCD1	0.04275
OR5P2	0.192
IFIT1L	0.5235
MIPOL1	0.333
OR51D1	0.06775
C1orf92	-0.423333333333333
LAMP2	0.843944444444444
CAT	0.574
C16orf80	-0.5835
C15orf32	0.425
ZNF746	0.01625
C1orf76	-1.564
ATXN1	0.989
LAMC2	2.5295
SLC2A7	-0.1635
CPOX	-1.91175
APH1B	1.60283333333333
LOC442245	0.12625
CTNND1	0.859444444444444
GABRG2	-0.382875
MADCAM1	-0.107333333333333
F5	-2.638875
SEMA4F	0.431666666666667
NUDCD3	0.209625
PDZD11	0.249
TRIML1	-0.259
GCNT3	-2.0345
TMEM120A	1.01725
CNDP1	-0.0665
N4BP1	0.47125
SLC35F2	-0.404375
LCP1	-0.727166666666667
IGBP1	-0.2433
DCAKD	0.109
ELA2A	-0.2965
C12orf56	-1.909375
PITRM1	0.809
GUK1	0.787
RASSF8	-0.66225
OR2A14	-0.02725
ADM	-1.30311111111111
FGD3	2.127
GHRHR	-0.0913333333333333
RHPN2	-0.17875
C4orf39	0.290333333333333
VPS72	0.05825
SERF2	0.852722222222222
CD22	0.4565
CD47	0.00699999999999999
PPIC	1.706
IMPDH1	-0.88825
ACP6	0.542333333333333
PRKACA	-0.135
PPP1R1A	3.61875
TRPV3	-0.13375
ASXL1	-1.315375
C17orf55	-0.230333333333333
FXYD1	-0.530666666666667
LMOD2	-0.0705
ANKRD33	0.347
LCE2C	-0.41225
ZNF620	-0.7865
DKFZP566E164	-1.1475
VSIG2	-0.21075
KIAA1128	1.475
USO1	0.820166666666667
NUDT4	0.0113571428571429
CLDN1	3.03764285714286
OR4Q3	0.288
FASTK	-0.423833333333333
ICOS	1.07783333333333
LDB1	0.012
GSTA5	-0.62775
ABCC1	-1.57833333333333
FAM54A	-3.11725
PCBP2	-0.3095
NUP205	-1.62325
ACTA1	0.867666666666667
GABBR2	-1.20275
PIP5K1B	-1.7405
AGXT	-1.67566666666667
RNF181	0.3225
ATP8A2	2.485
AFTPH	1.5755
FGF21	0.1355
FCER1G	1.484
SNTB1	-1.31025
SLC24A3	1.41825
TXNL4B	-1.4819
RPL10L	-0.963333333333333
LOC389517	-0.93555
TSGA13	-0.4985
SHOX2	0.402
ITGA7	-0.6276
KCNIP2	-0.5815
KLF13	0.847
ZFAND2A	-1.403
CEACAM1	0.0162142857142857
PFKFB4	-2.4435
MED19	0.7765
LRRC57	0.0153333333333333
RNF11	0.85775
ANKRD32	-2.68325
P117	0.449
OBFC2A	-0.9475
POLD3	-0.726666666666667
RAB18	1.43625
TPH2	-0.178166666666667
PHB	-0.0359
JDP2	1.79566666666667
MORF4L1	0.2993
POU2F1	-0.6595
CNNM2	-0.852416666666667
LOXHD1	0.113166666666667
ZC3H15	-0.46625
ELK3	0.519666666666667
FAM111B	-0.76475
CBLC	3.32
SBNO1	0.123
ANKMY2	-0.08175
PLEKHA5	0.12525
DHX58	1.4645
ARCN1	0.258
TREML1	0.0468
KNCN	0.4405
SEC24A	-0.196375
PSCA	-0.56375
MGC24125	0.0985
DNA2L	-2.475
CIB4	-0.08725
HIGD2A	0.343166666666667
TBX6	-0.0741666666666667
TTLL5	-1.17383333333333
SGK3	1.19333333333333
GCN1L1	-0.02325
AMOT	-0.1071
LDOC1	-0.1735
NRK	0.0835
ASB9	-1.79775
NAT1	5.0776
TRAFD1	-0.086
PEAR1	0.443
FAM36A	0.722875
OR1S2	0.466
LOC388323	-1.7625
PGS1	-0.693166666666667
LEPREL1	-2.5645
TFF1	-2.84341666666667
HAP1	0.20025
EPHB2	0.1635
ACTG1	1.41583333333333
ZFP42	-0.7975
HAVCR2	0.7066
NME1	-0.488
SNX26	-0.138416666666667
LACTB	0.144666666666667
ZKSCAN2	-0.464125
C5orf35	0.45625
ANKS3	-0.46275
RBM28	-1.4085
DKFZP586P0123	-0.61725
HNRNPA1	-0.518666666666667
BCAS3	-1.22308333333333
FLJ20184	0.6695
POLA2	-1.02533333333333
TMC7	-1.30066666666667
HSD17B6	2.799
ZNF658B	0.477
TTTY10	-0.196
RANBP9	-0.44825
CPNE7	-2.7025
EVL	0.308588235294118
LNX1	0.905916666666667
IFNA21	-0.299666666666667
CFD	0.67275
PYCARD	2.064
MYBPC2	-1.205
ENPP3	-1.808
ACSL4	-1.31625
LOC440258	-0.830166666666667
TMEM176B	3.50916666666667
SOX2	-4.771125
SCO1	-0.363333333333333
COMT	-0.551
AOC2	-0.27825
PDLIM5	2.06142857142857
SPHK2	0.604833333333333
NXPH2	0.187
GPR108	0.5235
RAD51L1	0.0471666666666667
TMEM54	0.23475
LETMD1	-1.06922222222222
SLC6A17	0.65725
KRT75	1.1985
STT3B	-0.721166666666667
CD3EAP	-0.554333333333333
TMEM63A	0.90625
DUSP13	-0.8355
CD1C	-0.3805
LASS2	1.45883333333333
AVP	0.914
PITPNM1	-1.0505
FLJ22795	-1.031
MCTP1	-2.1665
TRIM68	0.8485
UCK2	-0.895666666666667
ABHD1	0.68575
FAM50A	-0.249
RNASEH1	-0.8275
PCP2	-0.356166666666667
OR52H1	0.143
C20orf149	0.80175
RBP5	2.691
HYAL3	-1.45625
CLPB	-0.78675
SMNDC1	-0.652
DONSON	-2.11666666666667
FLJ27523	0.1075
BARHL2	0.308
SLC30A9	0.5795
TMPRSS11B	0.46525
E2F8	-2.51716666666667
CCDC25	-0.711083333333333
C14orf48	0.2985
C20orf116	0.938625
TSPAN11	0.453
YIF1B	-1.03766666666667
FAM12B	0.2515
OR1L6	0.132
HPN	0.799
NBN	0.450875
C14orf94	-0.54
OCLM	-0.034
ZSCAN18	0.8473
L3MBTL	-1.0353
TSTA3	0.978333333333333
RAC1	0.369625
C19orf15	0.0226666666666667
NFE2	-5.03725
KLK14	0.186
ARSF	0.438
MAST2	-0.305
AMICA1	2.2915
GTF2A1	-0.03025
ATP1A3	0.365
TC2N	2.6157
PNKP	0.2125
ODZ2	1.516875
MATR3	0.511
S100P	-3.104875
KRT82	-0.662
CA13	0.0318
PROZ	-1.708
AASDH	0.284875
C19orf40	-1.06333333333333
DCK	-0.159230769230769
FAM5C	-1.3815
SLC6A4	0.643
MID1IP1	-0.266375
TESSP5	0.036
TMOD4	-0.0916666666666667
DOCK2	-0.886
TUG1	0.103625
NUP214	-1.387
DPYSL2	-0.244227272727273
GOLM1	0.99
MPFL	0.3415
SOX13	0.30475
SDCCAG8	1.3122
KEL	-0.725333333333333
NUP210L	-2.39175
GK	0.689625
DNAJB1	0.69025
ALPK3	0.5135
CHID1	0.3249
CYLC2	-0.0415
IKZF5	0.06275
C8orf51	0.365333333333333
PPM1J	1.1985
GIMAP8	2.82416666666667
GPR101	-0.5485
NR2F1	-0.192
ACAD8	0.237
RBM35A	1.443
GNAI2	-0.223
METTL8	-0.524833333333333
SLC39A7	-0.1755
FBXO8	0.403
CAMK1	-0.502
RFC3	-1.24775
FAM129A	2.46828571428571
ILF2	0.06
FGFBP3	-1.584
NOM1	-1.11616666666667
PSMA3	0.44725
ASCC3	0.1885
ZYG11A	-1.21
SOX21	-1.268
LYRM1	-0.57625
DEFB1	0.8195
LOC91431	-3.14533333333333
OR7C2	0.6705
FAM46B	1.034
TMEM18	0.096875
ARHGAP30	1.12416666666667
TMEM86A	2.04125
EPHA2	-1.42483333333333
C10orf46	0.7631
TCHH	0.0341666666666667
C3orf30	0.124833333333333
LOC285636	-0.256833333333333
PAIP2	0.65225
CYP2U1	0.514
C12orf34	0.3945
SARS2	-0.385333333333333
ZCWPW1	0.35625
SAMD12	1.202875
KIAA1430	0.0895
ACAT1	-0.6705
MEOX1	0.911333333333333
ADAMDEC1	3.28225
PHKA2	-0.29925
CARD11	-0.905166666666667
CALML4	-1.13
TSSC1	-0.096
TMEM45A	0.257222222222222
MPP7	1.46025
POU1F1	0.12775
SLC2A13	-0.3354
FBN2	-1.19735714285714
ZC3H7A	-0.3572
LAIR2	-0.6455
ST3GAL1	0.646
LCT	-0.14325
GEMIN8	1.06333333333333
KLF16	0.665
HIF3A	-0.2129
FAM44A	0.557642857142857
AQP10	-0.7721
PLA2G2A	-1.3105
FOLH1	1.40966666666667
C20orf186	-0.0325
MAPKAP1	-0.656125
SPRR2D	-1.281
UBQLN4	-0.516333333333333
RSHL1	0.234333333333333
PIAS3	-0.13
MRPL24	1.20075
GREB1	-2.048
FAM27E3	-2.7195
NUP62CL	-0.7815
NEUROG3	1.327
REEP3	1.36191666666667
MARK1	1.446125
LMBRD1	0.90225
PRPF19	-1.558
PNMT	-0.034
CTGLF1	-1.452
SLC25A16	0.788
EIF2B3	-1.0225
RPA2	-0.78375
PAK6	1.72066666666667
CCDC26	-3.442375
SEMA3E	2.941125
MXD4	1.273
TNFSF10	3.7067
SMARCB1	-0.384333333333333
DTX3L	1.826
PLA2G4E	0.1495
PPAP2A	0.83075
ULK1	0.137833333333333
TAS1R3	0.1965
SLC2A3	-2.85963636363636
ARID3A	-2.5025
GNG5	-0.6165
ACOX1	0.6524
KIF5B	0.372
NUP153	-0.8955
MUC7	-0.136
CSDE1	-0.314142857142857
CLPTM1	-0.285
C3orf23	-0.82125
LRRC17	1.761
TTYH3	-0.83625
ATP5B	-0.852
ELF3	1.1917
CPSF3L	-0.210666666666667
ZNF665	0.103833333333333
TLR6	0.823
GPI	-0.227875
RAD9A	-0.55
NDST4	-3.3755
AGPAT3	0.56775
MAGI3	1.39483333333333
ADORA2A	0.442125
CACNG7	0.0945
CAMK2D	0.871285714285714
CCHCR1	-0.89875
RPS27A	-0.32425
OR10G7	0.155333333333333
GCM2	-0.3355
FAM135B	0.8023
E2F1	-2.56325
PLCB3	-0.01925
OR2AE1	0.191
COIL	0.0596666666666667
CDC25C	-2.1415
RAB11FIP2	0.708666666666667
TSC2	0.1255
CTGLF5	-1.8565
CCDC108	0.6289
OR13C4	0.24975
C10orf81	3.604
PTPRB	1.56075
ACP2	0.01725
LAG3	0.22325
MRPL54	0.10725
LOC201175	1.0315
ITGB1BP3	-1.60625
SPTAN1	0.133833333333333
SIPA1L2	-0.58925
RCAN2	0.456
CDX2	2.4605
ECOP	0.49175
ACTR1A	0.691285714285714
PPARG	-1.062
BBS10	0.541666666666667
TMEM44	-1.4355
BPIL2	0.18
CITED1	-1.824
IRF6	3.972
PRDM4	0.262166666666667
RRP9	-1.57433333333333
OR10H4	0.25875
IL31RA	-0.6605
GNB1L	-1.83116666666667
MYBL2	-2.92225
ZNF407	0.818666666666667
PPIG	-0.590833333333333
TTC18	1.87075
RPSA	-1.172
MAPT	1.999375
MRE11A	-0.242928571428571
C8orf37	-0.265833333333333
RASGEF1C	-0.512333333333333
STBD1	1.16425
CTAG2	-0.305166666666667
MGAT5B	-1.7995
ECM1	1.283625
RLN1	0.7915
PARP14	1.48125
EPB41L1	0.2511
HOXA3	0.0755833333333334
MAGEA9	-4.21775
RPS8	-0.7005
RPS19BP1	0.0005
FOXJ2	-0.062875
C10orf76	0.405375
IL17RE	-0.06075
C10orf65	0.50025
ZNF343	-0.202166666666667
FBXO33	-0.11325
UHMK1	1.2004
LY6G6C	-0.24175
FGF19	-2.3
C14orf128	-0.6915
IFIT2	2.232625
TIGD1	-1.01125
S100G	0.7165
GUCY1B3	2.6425
NR3C1	0.2548
CORO1B	0.498333333333333
PARP11	0.689
DNALI1	4.70433333333333
OR4N4	0.3075
MAP2K6	0.709833333333333
FSTL4	-0.04225
ANKRD47	0.9325
TMEM171	-0.781
PNLIP	0.26975
YY1	-0.0233333333333333
CCDC138	-1.74283333333333
AASDHPPT	-0.4143
CKS1B	-1.0236
MCM3	-1.447
ANAPC7	-0.1965
FAM110A	1.41925
CDC37L1	0.603333333333333
THTPA	1.1495
NBPF20	-0.334
WDR24	0.46825
NPTX2	-0.47575
CBLB	0.4965
CETN1	0.304166666666667
RPUSD1	-0.13525
FAF1	-0.8015
CDK6	-2.4427
HMX2	0.655
CSK	-0.685
TEAD2	0.04275
SNAP25	-1.2085
TUFT1	0.5879
TMTC3	0.886
LCK	-1.793
SGOL1	-1.51
AKTIP	1.396
FURIN	0.33025
SOX12	-0.8275
DEFB103A	-0.211
RAMP1	1.07925
KIR3DX1	0.149
GAS2L3	-0.86475
PDE8A	-1.3276
EDN3	-0.00549999999999999
GMIP	1.0055
SF3A2	0.911
FN3KRP	0.4265
SMAD7	0.52925
RHBDD2	0.3785
OR11H6	0.123
PPP1R3B	0.8013
C9orf23	-0.77725
CADPS	-1.02925
GOLGA8A	-3.154125
TMEM57	0.635833333333333
RGL3	0.564
S100A14	3.23525
FGFR2	0.9348125
XRCC3	-0.912
RTN4RL2	0.21025
MGC3771	0.911
GH2	0.443333333333333
BTBD2	-0.318
LMO2	-0.0305
RDBP	-0.354875
ACRBP	-1.05775
AMY2A	2.754
DUOXA1	1.6955
PTK7	1.21883333333333
TWF2	-0.0798333333333334
FAM80A	-0.23325
TNNI2	-2.76566666666667
GLT25D1	-0.4025
OCC-1	-1.8175
CYC1	-0.542666666666667
RPL22	-0.489636363636364
MORN3	1.72516666666667
DISP1	1.961
PRB2	-0.029
CHUK	-0.1885
HR	-0.13925
CCDC134	0.2725
DENND4B	-1.06675
C14orf130	0.622375
RAB33A	-1.17425
DCST2	0.2835
TNMD	-1.58275
PEX7	1.50425
FAM62A	0.387625
SRD5A2L	2.11125
IL22	0.257
RPS26	-0.946166666666667
HOXC5	0.614
SPATA6	0.90975
FLJ38482	0.08175
ZNF234	0.7965
C18orf22	0.48475
SPATA22	0.22875
THOC1	-1.1035
CYP7B1	3.137
KCNC3	0.5415
C8orf42	-0.788
ALDH1B1	0.658833333333333
CCDC100	0.1293
ARMC4	0.85625
FAM18B2	-0.105
SLC44A1	1.340125
FBXO17	-1.51766666666667
C6orf107	-0.1775
C19orf29	-0.4745
ZC3HAV1L	-0.26475
PARP6	-0.408
SULT2A1	-4.863625
C1orf159	-0.93275
TMC1	0.07325
CHST14	0.770125
GAMT	0.120833333333333
SMCP	0.230666666666667
TSPAN33	0.782916666666667
MIDN	-0.04775
NOX4	3.93525
RNASEN	-0.6585
TBX1	-1.33533333333333
SALL2	-0.4005
C10orf35	1.55925
CYP2E1	-0.554625
LRFN2	0.7505
ACO1	-0.866
IQCG	0.1605
MEGF9	1.44275
TM7SF4	0.79325
PLEKHA1	0.6352
STK33	-2.50525
C1orf210	2.18175
SNUPN	0.409
KIAA0406	-0.9231
C20orf29	0.6555
TMEM55B	-0.26025
OSTM1	-0.2430625
CLCN7	-0.242
OTP	0.25125
FLJ23049	-0.00825
HEATR4	0.0605
MAP3K10	0.879166666666667
PCDHGA9	0.0605
AMDHD2	0.3755
LCTL	-1.4355
PDCD2L	-0.5535
CABLES2	-0.368
SLC5A9	-0.53475
CLCA2	3.49216666666667
MGC16025	-0.498
STRAP	-0.848333333333333
C20orf196	-0.514
RRBP1	0.462833333333333
NAT13	-0.42075
MAT2B	0.681875
CSNK1D	-0.4365
KIR3DL1	0.329
PRKAG3	0.151
ZNF599	1.788
PRM3	0.511
PER2	1.05466666666667
ASPHD1	-3.0895
PRMT6	-0.89125
KCNE1L	-0.387
FAM118A	-0.263166666666667
TAF4	-0.38575
NDUFB6	-0.78725
TRIM9	-1.40975
PMFBP1	-0.786
KY	0.1265
DKFZp762E1312	-3.32609090909091
CSMD1	-0.2985
TBP	-0.546833333333333
OR1Q1	0.130333333333333
RETNLB	0.562
HPGD	-0.280428571428571
DNAJC12	-1.34216666666667
FKBP1B	-1.01225
ANKRD24	-0.548333333333333
CXXC5	0.8465
IL3	-0.10975
DRAM	0.8357
PTCH1	-1.284125
TP53BP1	0.6125
SLC17A7	0.240375
COL25A1	-0.6909
AMACR	0.317333333333333
RHCG	0.28275
VPS13A	-1.16925
FAM55D	0.7455
PRPF38B	-0.785833333333333
OSBPL6	0.021
PFDN5	0.6969
CMTM6	0.213625
KCNK12	-1.6425
RP2	0.49625
C16orf52	-1.696
PICK1	0.2575
IFNE1	-0.751333333333333
SEMA4B	0.92325
TYRO3	-1.5625
OR12D2	0.198
CSNK1A1	0.8907
FANCF	1.1955
LONP2	1.024125
TBL1Y	0.7915
LDOC1L	0.462
CCNC	0.04275
C3orf60	-0.58775
CHKA	-1.09775
UBAP1	-0.367
MAP3K1	1.928
ANKRD9	-0.44025
FAM92A1	-0.485
GAB2	-0.28025
AZU1	-0.09325
DIS3	-0.589666666666667
C21orf109	-0.821
IQCB1	-0.4745
SPATS2	-0.368833333333333
EFCAB3	-0.74775
PRB3	0.205625
FUZ	-0.258666666666667
ZNF813	0.539875
BMPER	-0.782333333333333
HEG1	0.486125
ALS2CR11	-1.64825
SURF2	-0.64325
PSMC1	-0.241416666666667
OR2D2	0.468
SLC7A8	2.41483333333333
C4orf40	0.3375
SPATA7	0.10575
MAZ	-1.0385
PIN4	0.66775
PDE1A	-0.755375
TAF6L	-0.0895
OR2T34	0.186
KIAA0284	1.0145
ACADS	0.0181818181818182
MKRN2	-0.438
C18orf56	-3.558
MS4A6E	0.478
GALNT4	0.6101
C22orf31	0.3155
FLJ36070	0.6375
PSME4	0.574
TFG	0.1648
EPHX2	1.16625
ANXA5	-0.025875
KRTAP1-1	-0.1627
BATF	2.1515
KARS	-1.534
MSTP9	-0.4675
GPR26	0.286375
CCDC72	-0.51525
TEF	-0.241333333333333
FOXK1	-0.5748
PRLHR	0.59
EMX1	0.4425
C11orf30	0.239125
ICK	0.921125
THSD7B	0.2265
C21orf100	-0.89
DUOX1	2.7965
EFCAB4B	-0.425
UBE2G2	-1.2835
C3orf54	0.537
PARP1	-0.28225
FAM60A	-1.68725
C6orf146	0.24325
OR9K2	0.251
DDX55	-1.38183333333333
RPS15	-0.341
ZNF618	0.41425
DKFZp686D0972	0.896
SSPO	-0.0965
SHFM3P1	0.836333333333333
CPA6	-0.482
JAG2	0.5175
DEFA3	0.30875
PPBPL2	0.00183333333333333
CD34	4.169
SLCO4A1	-3.136375
AFG3L1	-2.407
SHD	-0.56175
RP13-122B23.3	-1.13116666666667
PRKCSH	-0.9435
DPH5	-0.192166666666667
HLA-F	2.260625
TBC1D4	-1.03925
RIG	0.534666666666667
GLUD1	-0.151833333333333
HNRPCL1	0.466375
HBXIP	-0.3605
RNF207	-0.742
APIP	-0.615
PLA2G3	-2.37166666666667
CCDC84	-1.4645
MYLIP	-0.164538461538462
PHIP	-0.11875
AARS2	-0.6005
DHX32	0.421
SCAPER	0.6935
MEN1	-0.0875
NIP7	-1.556
FLJ25404	0.36
FASTKD3	-0.288
TMEM158	-1.58116666666667
RARA	1.78575
BDH1	-0.05
ANKRD16	0.98625
CARM1	0.198
SS18	0.228833333333333
IKZF2	0.302583333333333
MYD88	-0.035625
PML	0.92535
TAF1A	-1.0425
CBFB	-0.793625
HIST1H3H	-2.0465
C7orf29	-2.0185
COMMD4	-0.8245
DPP3	-0.26475
DAB2	0.629125
LOC388882	0.0785
YPEL4	-0.513125
AGBL3	1.13625
LRP6	0.0825
SERPINH1	0.467333333333333
TLE1	-0.34475
CD244	0.770166666666667
ZDHHC15	-0.5125
MGLL	-0.1159
PLDN	0.00258333333333334
LOC654346	1.452
FAP	3.91725
GPR37	0.590333333333333
SCARA5	0.2355
EBF4	1.348
LSM6	-0.442
MLLT1	-0.2453125
SLC5A12	-0.579
A2BP1	-1.20366666666667
COPS5	-0.133333333333333
TPM4	0.147214285714286
TNFSF4	1.561
ACADSB	0.803833333333333
HERPUD1	0.957
BCL2L11	-0.8335
CEP78	-1.86
CDCA3	-2.396375
WBSCR19	-0.382
MYO1A	-1.7105
PPEF1	3.7625
LOC440348	-1.281
CPEB2	0.987625
BPTF	0.01625
RPL21	0.01775
GSX2	0.5335
ADPRH	1.6375
C17orf68	-0.213
KCNS1	0.0585
MLLT6	-0.2802
PIWIL4	-0.13825
RNF26	-0.332
RAP1B	0.728625
ADAMTS1	-3.0479
ZNF571	0.896
P2RY6	-0.33025
TRIM21	1.0775
CADM3	0.39975
NLRC5	0.416
ADRA2B	-0.508333333333333
LOC90835	-0.468875
PCF11	0.0615
LOC400451	1.63625
GLTSCR1	0.7041
C17orf88	-0.609
CDH16	-1.62525
FGF7	2.80975
PCSK4	0.409833333333333
NPC1L1	-1.01183333333333
TAT	0.083375
TBCA	0.182
MGC33407	-0.03125
GPR115	-0.791875
CYGB	0.088
FNBP4	-1.4465
C12orf43	-0.182
CBL	-0.1776
CLECL1	1.49525
PPAPDC1A	3.372
WDR25	0.727833333333333
SGCA	1.263
C22orf29	0.0246666666666667
YIPF1	0.9565
GALK2	-0.57525
RAB3B	-3.14541666666667
LOC440087	0.77525
UCP1	1.0805
REEP5	2.060875
FADD	-0.0318
FOXA1	3.064375
CACNA1A	0.222166666666667
ABI1	0.201666666666667
GRIN2D	1.21825
SLC1A4	-0.545333333333333
LOC401127	-1.157
HINT2	-0.18125
PLD4	0.604333333333333
ZNF286A	-0.99725
ENY2	-0.6205
IL1F6	0.515
PXDNL	1.983
C20orf79	0.50175
TNFSF13B	2.95016666666667
DENND3	0.377875
JARID1D	-3.084
HIST1H2AK	-0.607875
LOC93349	-0.3502
SSH1	-0.7914
