Hybridization REF	TCGA-A2-A0YG-01A-21R-A109-07
ZNF557	0.2297
DDX41	0.1945
FANK1	1.449
UBE2D2	0.6745
PSMB10	1.33875
MYH7B	-0.2325
GABARAPL2	0.350625
MARVELD2	2.43633333333333
DGCR2	1.24233333333333
UNC45A	0.134166666666667
C6orf72	-0.0335
ZNF683	3.922
GIT2	-0.065875
CASK	0.0493333333333333
C14orf161	5.4815
LRRC44	-0.3635
TIFA	-0.231125
UTP11L	-0.927625
C6orf65	-1.05
FDPS	1.93875
DUSP9	-2.0215
SLC17A8	0.184666666666667
OR51G1	0.220833333333333
NANS	0.75275
OLFML1	1.39425
ATP10B	-0.79025
NPAS3	-1.5205
PRKCA	-2.8753
GGA2	-0.400375
LCE4A	0.702
SPANXN3	-0.222
CCDC115	1.034625
SDCCAG3	-0.29975
GLIPR1L1	-0.18275
TTC1	0.64475
C17orf76	-0.21925
MAD2L2	-0.751
HIPK1	-0.5782
LRRC3B	-0.5
CLN3	-0.203454545454545
C17orf47	0.053
FMN2	-3.495875
TUBB1	-1.98925
WAPAL	-0.0848333333333333
C3orf21	-0.589625
SCN5A	-0.5037
SMYD1	1.11775
BEX5	1.066
ZNF192	-0.0525
SEC22A	0.946833333333333
GRIA2	0.110142857142857
KIAA0825	-0.6645
NUSAP1	-1.10090909090909
LANCL1	-0.045875
C15orf40	-0.9344
ZNF645	0.306375
GPR61	0.27675
NLRP14	-0.1365
SNX21	-0.104
C1QTNF8	-0.0455
C17orf46	0.25225
IFNA8	0.2905
SPRR1B	-1.32283333333333
FLRT1	-0.82725
SNX17	-0.0486666666666667
ASB2	-0.709833333333333
HBG1	-5.62
RPRML	-2.14425
JOSD2	0.282
PLSCR3	0.14575
SPOCD1	-0.339666666666667
RAB39	-0.215
GHRH	-0.0568333333333333
ITIH5L	0.81525
C17orf37	3.01475
SMCR8	0.43925
DPY19L2P3	-1.17783333333333
IL11RA	-0.0853333333333333
GDF3	-3.88916666666667
RPS6KB1	1.802
DNAJC19	1.2775
TOP1	0.3235
CRCT1	-0.33475
MPST	0.18325
DPM2	0.77625
FAM38B	-2.25366666666667
SLC18A1	-2.39533333333333
FARP1	0.481333333333333
PAX7	2.005
TUBD1	1.0055
GNL3	-0.573375
BTG2	0.0854666666666667
NDUFS6	1.12
C1orf79	-1.40125
ERAL1	0.07675
ECHS1	1.069
VPS4A	-0.151166666666667
CYP11A1	-1.262375
ABCC6	-0.909
PBX4	-1.0685
MOSC1	0.390375
NCF4	0.126
HYMAI	0.0765
NAGPA	-0.542625
OTOP2	0.20475
ACOT12	0.10925
MTHFD2L	-0.660125
LOC441376	5.77025
C19orf34	-0.594
RAB1B	1.30725
ALDOAP2	-0.362
NTRK1	-1.85616666666667
ARTS-1	-0.4296
SLC6A11	0.2325
NAP1L2	-0.09
CNGB1	0.3225
EPB41L4B	1.02091666666667
FAM134B	2.364375
HS3ST3A1	-1.77033333333333
CPXM2	3.38575
SIRPB2	0.6785
CHORDC1	-0.875666666666667
TRIB3	0.434333333333333
SLC2A5	0.5665
C2orf49	-0.386
DDX5	-0.46625
OR5L1	1.134
ANAPC4	-0.404833333333333
ZSWIM1	0.907625
LOC93622	0.089625
KCNK3	-0.7206
RP11-35N6.1	-1.52075
ZFP161	-0.401833333333333
AQP9	3.4085
SLC15A2	-1.7275
MREG	0.9025
OR9I1	0.305
PDLIM2	-0.404125
ADAM7	0.2275
GSTCD	2.04
WDR21A	0.0915
SLC12A8	1.836
TMEM174	-0.032
IGSF3	0.636333333333333
LRRN1	-0.08775
LOC402117	0.015
SRPK1	-0.583666666666667
LY6K	-2.3453125
NFIA	1.6145
PTCD3	-0.234625
LEP	1.20633333333333
PCDH21	-0.838833333333333
MAPKAPK2	0.866714285714286
NMNAT1	-0.71
LHFPL2	0.56975
C9orf43	1.07375
DIP2A	0.0998333333333333
ACTR8	-0.40875
CCDC34	-1.087
PTPN22	-1.24925
ITGA3	-1.443
FAM129C	0.14225
RABGGTA	0.624333333333333
UNC45B	0.14
KIAA1033	0.639375
ZNF510	0.31
CYP2D6	-0.2155
SLC26A10	-1.616
STX8	0.15425
LUZP1	-0.024375
WDR89	-0.0843333333333333
EIF4G3	0.2122
C5AR1	1.071875
ZNF623	0.5225
A2M	0.24325
TGM7	0.607
GRPEL1	-0.217666666666667
LMNB2	-1.5078
ROCK2	-0.726166666666667
SNX16	0.5365
CCDC66	-0.17525
ANXA3	-1.70875
KIAA1609	0.521375
EED	-0.53675
RNF32	0.43
HES1	1.3872
CLC	0.744166666666667
ISL1	-0.364333333333333
KIAA0528	-0.976875
MANEA	0.45775
C1orf61	-1.9145
hCG_2001000	0.53775
RAPGEF6	-0.5079
KIAA0020	-0.443666666666667
NEIL1	-0.46675
C16orf45	-1.867875
RBM10	-0.509833333333333
C10orf125	-0.21675
MRS2L	0.08875
DNAH17	-1.627125
C19orf10	-0.86825
C1orf160	0.61125
SLFN12	-0.3735
EXOC3	0.347666666666667
HIST3H3	0.116
NCOR2	0.429666666666667
TNFRSF9	-0.1475
MFSD8	1.5445
ALX1	-3.44133333333333
NOL1	-1.0805
PODN	2.57975
TIAL1	-0.37775
HIST1H1E	0.905
NPY6R	0.52125
TM4SF4	0.36475
CORO2A	1.342
ETNK2	1.319
APOE	0.8074
ANGPT4	0.3175
HDGF2	-0.67125
G30	-0.002
ST8SIA4	-0.54075
F2RL1	-0.765875
FAM19A4	-0.87575
CCAR1	-0.4595
B3GNT7	0.0385
OPHN1	0.0133
DSCR6	-1.4365
C21orf13	1.28383333333333
GAS2L1	0.558416666666667
RFX3	-1.1795
COPS4	-0.06325
BCHE	-4.38183333333333
BCL2	-0.00325
HBZ	-3.13966666666667
ARL13B	0.11225
MAPBPIP	0.5535
MYO15B	-0.09
SPZ1	0.10825
KIAA1324	2.50433333333333
PLCL2	-0.87825
C4orf29	-0.758
WDFY2	0.026375
ZNF284	0.077
NAALADL1	-0.2135
DUSP5	1.18433333333333
PXDN	1.380875
SLMO1	-0.972
TNXB	0.3234
BIRC7	-1.1675
A4GALT	-0.1975
TIMM22	-0.21375
FAM110C	2.31025
TOMM34	-0.5815
ABHD9	-0.2855
ADAM32	-0.264
CRHBP	-0.2045
AQP2	0.387375
LOC130355	1.3465
ZNF187	-0.114833333333333
ZNF816A	1.056
F7	1.796375
CNOT1	0.2044
SLC13A4	0.4385
ZBTB11	0.38
B3GALT5	3.76375
EXOC2	0.756833333333333
IRS1	-0.1991
TMEM1	0.352666666666667
MRPL34	-0.304166666666667
SAMM50	0.123
CDC42EP3	-1.529
HSF2	-0.428
MFN2	-0.186
TSPAN7	-2.39366666666667
NUCB1	0.894833333333333
RHOH	0.677
ARL16	-0.3475
TACR1	0.2135
SFRS5	-0.852166666666667
SNX25	-0.4355
RHBDF1	0.593833333333333
PCDH18	0.600333333333333
HMG1L1	-0.758
MYO5C	0.755875
MAPK10	2.308
LDHAL6A	0.160666666666667
NUDT12	0.755
NCAM1	-0.273125
GLIS2	0.0745
GGTL4	1.595
DAPP1	0.42625
ATF7	0.486625
KIAA0748	-1.14975
NFIL3	-0.38925
TM6SF1	0.3173
SEZ6	0.26
NANOS3	-0.531
DNAJA3	0.192166666666667
CLDN6	-2.729
CIITA	2.3604
EPHA4	-1.8205
FANCC	0.24725
CMTM3	0.689125
PSG3	-0.156375
MRPL15	0.00625000000000001
C21orf59	0.3965
PLCXD2	0.11775
C2orf34	-0.04675
UBE2L6	1.428625
MED14	-0.144833333333333
HP1BP3	-0.2641
C6orf208	-0.0535
TPBG	0.7235
OSR2	1.3045
XPC	-0.410333333333333
KLHL7	-1.10875
CCR3	-0.317166666666667
AGTPBP1	-0.239833333333333
PCSK6	0.128533333333333
STAT5A	-2.1823
FAM18B	-0.41425
LONRF2	-2.542
PTPN2	-0.795375
SF3A3	-1.01383333333333
EFCBP2	-0.26975
HCFC1	-0.5745
AHNAK	-0.3102
ACTR5	0.31
KIF14	-1.10557142857143
TENC1	-0.04675
HEATR5B	0.827
YIPF2	0.701666666666667
MYEOV2	0.6065
DUSP18	1.26425
KIAA1012	-0.32675
AHR	0.219166666666667
C17orf53	-0.9645
PTPRH	-4.15225
ATP6V1C1	0.4927
TAS2R3	-0.1235
LOC440356	-1.26825
COQ10B	0.2655
PSMF1	0.811833333333333
SORBS2	2.17808333333333
NFE2L2	-0.27625
TMCO7	0.1945
SH3PXD2A	-0.2516
SH2D2A	-1.3635
SPINK5	-2.00725
MRPS24	-0.18
OPA3	0.4095
TRAF7	0.6025
C4orf35	0.188333333333333
MT1G	-1.019
MGC39545	0.396
HS1BP3	0.565
OR2B2	-0.0515
CHRM4	0.117
SFRP2	2.44333333333333
RIC3	1.0755
ART1	-0.3435
C6orf1	1.399125
DUS4L	0.166
C10orf104	-0.3915
TNFAIP6	1.91775
RTEL1	-0.7805
CCT4	-0.0123
ZNF709	-0.157
CHMP6	0.2425
UPP2	-0.021
CYP19A1	-3.138625
CD151	-0.126
NDUFA13	0.175833333333333
ARFRP1	-0.011
FAM26B	0.9
CRYBA1	-1.849
MRPL41	0.5195
NPFFR2	0.453625
HRH2	0.298
SCAMP3	2.8
MTMR6	-0.1082
MTG1	-0.286833333333333
UBTD1	0.605
CRABP1	-1.578
FLJ33790	-0.0608
KIAA1908	-0.924
GPR158	0.8735
PACSIN3	-0.561
OMD	1.89166666666667
CATSPER1	-1.063
HOXB8	-0.612125
FBXO46	0.7415
OAS1	1.623
SVIL	0.34325
PHB2	-0.9125
ADCY3	-2.117
NDRG2	0.286
ERMAP	1.2051
APBA2	-1.36483333333333
IGSF9	2.66325
WNT6	-0.548214285714286
MYCBPAP	-0.8525
ATP2B2	-0.193
CPVL	-0.9748
TRAM2	-0.690333333333333
NOP5/NOP58	-0.50025
ZNRF4	0.24925
TLK1	0.464
MTMR12	0.681857142857143
ZNF384	-0.2895
FAM9B	-2.962
RPN1	0.7608
PMVK	2.2855
EIF3D	0.4944
SIX2	-1.01
HPS1	0.139571428571429
RNF7	0.422
PSKH2	0.387
KCTD13	0.212166666666667
CSMD3	-0.8407
FBF1	0.0695
IL8	-5.541125
SERPINB13	0.459666666666667
FBXL20	3.37725
BLR1	0.36725
SH2B1	-0.382
RFNG	-0.864375
RAB20	1.14466666666667
RBM7	-0.6005
POLR1A	-0.366333333333333
TMPRSS4	-1.976
TAF9	-0.164375
TERF2	0.754333333333333
TNFRSF1A	0.208833333333333
ACADVL	-1.16316666666667
GTF2H5	0.3665
EDG8	-0.352333333333333
C9orf140	-0.098
UST6	-0.27175
ZBTB8OS	0.27625
ZNF710	1.3705
GPR174	-1.297
ATP6V0A2	-0.000750000000000004
KIAA0319L	-0.397166666666667
XKRX	0.952
DOPEY2	2.0841
SDHD	-0.06175
SUMF1	1.25275
OSM	3.594
OPN3	-1.5935
DAGLB	-0.00316666666666666
PPFIBP1	0.6315
TRIM63	-3.795
C10orf53	0.4665
LYPD3	1.2225
BCL7A	0.15225
AGER	-1.26783333333333
TCF19	-0.09925
SAT2	-0.85525
PFTK1	0.534666666666667
GABRE	-3.48
C15orf38	1.0828
FIS1	0.7885
KCNV2	0.17725
CLPS	0.663
PPCDC	-0.186375
FOXN2	-0.206666666666667
NT5E	-3.0895
CD83	0.29075
IL18	0.253125
VPS16	1.42425
IGFBP2	0.0326666666666667
NOTCH2	0.4785
SIGLEC1	3.042625
CD93	5.048
SULF2	-0.475
CEP164	-0.245375
P53AIP1	0.331
TOR2A	0.17
ZNF136	0.34475
MGP	3.6174
CCDC144A	-0.0413333333333333
TRPC1	-1.37216666666667
SMS	-1.32116666666667
MAPK7	-0.4595
RRAGC	-0.04875
PARD6A	1.39066666666667
NUB1	0.734166666666667
SYNGR4	0.7055
OR11H12	0.0355
WIF1	1.068
GCH1	0.60625
OR11H4	0.3565
SLC44A5	0.063
GPRIN2	0.063
LOC401431	-0.0515
CPA4	-2.6816
MELK	-0.115
IL15RA	-0.066
CUL3	-0.095375
HMBOX1	-0.12125
PODXL	-1.466
CCT6B	1.11433333333333
COMTD1	-0.36975
MUC20	1.73266666666667
GPX2	-2.288
ITK	-1.2065
FBXL5	1.341
C13orf27	-1.213
DEFA5	0.7965
TRHDE	-0.5585
MTP18	-0.322166666666667
UQCRQ	1.0076
ITGB2	0.75825
CSRP2BP	1.00625
TAS2R44	0.185
PHPT1	0.53775
FAM44C	-0.0685
ERH	0.3785
MPHOSPH1	-1.27683333333333
MORC1	-0.32
PARVB	-0.41575
LAMA1	-2.25616666666667
PGBD3	-0.4545
GIMAP6	3.7945
AREG	0.387666666666667
LIPT1	-0.74875
MGC99813	-1.4795
C1orf201	-0.048
GRIN2A	-0.7858
MAN2C1	-0.657125
NSUN5	0.179
SF3B5	0.3835
MYC	-2.1620625
NRXN1	-1.02083333333333
ZNF18	-0.1645
SPDYA	-0.277375
SLC37A1	1.957
DECR2	0.26375
ANKRD38	0.18775
SPTLC3	1.05966666666667
SUPT16H	-0.667
DTWD2	1.063
ULBP1	0.5825
ZADH1	0.734166666666667
OIP5	-1.5855
IL10RB	0.231
OTUB2	1.647625
VWA3A	0.573
SPIC	0.19
OR6C4	0.467
PSCD4	0.432666666666667
DPY19L2P2	-0.491
TRAPPC6A	0.4775
C21orf2	-0.412
CEMP1	-0.9165
LIN7B	1.1965
E2F7	-1.7075
VCP	0.31175
LAMA3	-0.155583333333333
BGN	1.52825
GPR160	2.92983333333333
COCH	-4.316
GPR81	1.69066666666667
APOBEC3F	-2.03875
tcag7.1017	-0.20675
C1orf32	0.2885
SCGB1D2	4.44025
FLJ43987	-0.37
C6orf170	0.4485
KLK9	0.532
GPD1L	1.284375
VPS37B	1.0305
ATG3	0.400833333333333
ADAMTS17	0.114
KLHDC2	-0.484
NDUFV2	-0.05625
BLK	-2.9835
MATN4	-0.88
GPM6A	0.04075
GBP4	2.964
TMEM162	0.426333333333333
PKP2	-0.4665
HRASLS	2.85777777777778
MMP1	-0.758
SFXN3	-1.2258
FSD1	-1.9675
ST6GALNAC3	-1.99633333333333
CA12	3.0245
NCOA6	0.74225
C19orf58	0.4453
PPP4R1	-0.4585
MAN1A2	0.561
IKBKAP	-0.975
UPF1	0.451666666666667
KIAA1219	0.6105
WNT16	-0.0628
SNW1	-0.11825
IL18RAP	2.01025
RPP30	-0.389125
CDC40	0.322571428571429
SETD3	0.053
SLAMF6	-0.11425
ELK4	-0.075
TRIM47	-1.37716666666667
ACOX3	2.45475
TRIM6	-1.22625
KIAA0372	0.0503333333333333
TP53AP1	0.994875
SMURF2	-1.463
ADAD1	0.19425
EBP	-1.5143
KRTAP13-2	-0.142
FLJ36874	-0.256666666666667
TOR1A	0.5285
P2RY4	0.874
GPBP1	0.7045
TRPV1	-0.135375
ADAMTS12	0.136333333333333
PES1	-0.1063
ATG4A	1.27383333333333
MAGEA10	-4.6225
WFS1	1.832
CC2D1B	0.00766666666666666
PABPN1	-0.089125
SLC25A30	0.2015
SLCO1C1	0.294
SLC22A5	0.8925
KIF23	-1.14016666666667
SYN2	-0.407166666666667
ASPN	6.46133333333333
CENTG2	0.52175
QSOX2	-1.3054
FLJ10815	0.761833333333333
STK24	0.06975
SPEG	0.3255
STK10	0.246833333333333
DACT2	-2.795
AAAS	-1.1335
SSX3	-1.8195
ABCD3	0.00729999999999998
C4orf12	-0.221875
PARVG	0.375166666666667
FIG4	1.38625
C9orf46	0.514
TMCO6	-0.017
IGHMBP2	-0.97575
DUS2L	0.332
FAM3C	0.077375
TMEM16D	-2.343875
DCTN4	0.58225
KCNH3	-0.2345
EIF2AK2	0.12925
AP1S3	0.50975
CST4	1.11
PAM	-0.4241875
NUTF2	0.6985
CITED2	0.0093
SLC39A4	0.6925
C2orf52	0.0855
GRM3	-0.01725
C12orf49	1.5175
CCDC49	-0.0276
GRAMD1B	-1.005875
FNDC4	-0.29525
SIAH2	0.44625
GDPD4	-0.09425
C21orf87	1.085
ATP5A1	-0.107333333333333
C16orf63	0.070875
LOC388135	2.79366666666667
ATP5J2	0.13625
MMP3	-1.4845
EMID2	0.1225
CRHR1	0.35725
WDR70	0.2
C13orf31	1.565
ZFAND1	-0.34175
CCL18	4.00533333333333
C3orf49	0.1885
RINT1	0.3245
KIAA0408	-1.69516666666667
F13A1	4.5844
SLC10A1	-0.317833333333333
OGN	1.53025
GIPC2	-2.03133333333333
XPO6	-0.341833333333333
LCE1A	0.715
FMR1	0.1082
LOC374920	-0.41325
DUSP3	0.065375
ANKMY1	0.8685
C7orf50	0.0795
BBS9	0.3324
UNC119B	-0.336875
C9orf72	-0.4275
MGC35440	-1.23375
ENTPD6	0.217625
PPP1R2P9	0.36575
ERCC4	0.3435
FAHD2B	0.0445
HMHA1	-1.2265
HACL1	-0.46225
RAD23A	-0.222666666666667
FAM83B	1.0825
PPP5C	-0.425
RNASEH2C	0.495625
C9orf153	-0.1975
SCAMP4	0.536875
GHITM	0.103
NDUFB7	-0.243375
ADCYAP1	-0.310166666666667
SP110	2.59616666666667
MAP3K7IP2	0.457
DHH	0.1445
AGRN	0.702
WDR33	0.1765
CEP290	-0.407166666666667
PRPS1L1	-1.84766666666667
KLRA1	-0.5145
GPR97	-0.223
CHD7	-0.179833333333333
TLR10	1.17975
SLC30A8	5.2285
HIC1	1.06666666666667
IAPP	0.4215
RXFP4	0.3955
GP1BB	0.46675
SHQ1	0.6655
NKX2-3	0.0915
API5	-0.42325
FTHP1	0.794
MOV10L1	0.105833333333333
TRIM6-TRIM34	2.11416666666667
ADHFE1	-1.463
FAM117A	-2.1155
DDI1	0.210166666666667
CDON	-0.293
TRIM73	-1.642
IGKC	4.4095
MMP14	-0.480583333333333
DYNC1LI1	-0.265375
C11orf66	-0.162
TRBV3-1	-1.20525
FASTKD5	0.4315
BIVM	-3.3115
LHX4	-0.12225
CXCL2	-1.4674
RAB2B	-0.7005
IZUMO1	-0.526
MAP3K15	-2.249
FAM19A2	0.4205
ZC3H8	-0.3595
ZMAT1	1.6255
SPINK5L3	-2.7015
SLC10A6	0.458
APPL2	0.191875
CARD10	0.145333333333333
LOC402176	-1.288375
EEF1D	0.4061
RAB6A	0.6398
C12orf5	-0.214125
PAPOLG	0.64425
MSRB2	2.393
BCR	0.518722222222222
PUS3	0.00525
TIAM2	-0.872
ZNF317	0.161333333333333
CHD2	-0.196
FZD5	-2.88940909090909
NUDT8	-0.48325
ZNF763	0.1095
PRC1	-0.497666666666667
ABCB9	1.035
SPATA3	0.12375
TRAK2	0.5945
STAB1	2.866
LRRTM2	-0.273
psiTPTE22	0.7445
DBI	0.39
SERPINA11	-2.459
NAT5	1.13625
C20orf58	-2.04675
RPS6KA4	0.173333333333333
FLJ90650	-0.46875
TGFBRAP1	0.00475
CHRDL2	-0.47375
FAHD2A	-0.184666666666667
CNTN1	-0.08975
BBS4	-0.283
TMEM181	0.33925
MINPP1	-1.10425
MPHOSPH6	-0.433833333333333
HOXC10	1.7793
ITPKB	0.0445
CLPTM1L	0.717625
MEOX2	-0.741833333333333
ATP6V0C	0.8445
PRPF8	-0.63
TMC5	2.6185
FKBP3	-0.18375
PLEKHB2	0.06575
OR4D6	0.0275
ZNF544	-0.0848000000000001
D2HGDH	0.291375
RPL18A	-0.0379
HEL308	-0.34225
MPP6	-1.8165
TCERG1	-0.9575
KRT16	-1.0885
KLF17	-1.23725
KLF5	0.1245
CDR1	1.324375
VCX3A	-4.9255
FBLN2	1.183
C14orf104	-0.36025
HBE1	-4.9536
OR4S2	0.5065
C1orf108	-0.784
ROBO4	3.305
CPEB4	0.560875
C11orf80	0.690333333333333
BCKDHA	0.5315
MYOC	0.2945
GIF	-0.493
CKMT1A	2.023
RPL3	-0.1925
THBS1	2.490625
APOO	-1.34225
ARMCX1	0.98825
HSZFP36	0.949
SNAPC5	0.10825
EIF4ENIF1	1.05475
ZNF433	0.3715
TNFRSF21	-0.63625
TMPRSS7	-0.6235
SPATA18	1.0724
HPDL	-3.806
MKL2	1.3979
TBX3	0.412076923076923
C21orf93	0.417833333333333
DAXX	-0.187
ELMO1	-0.42625
RGS13	1.38233333333333
TAF11	-0.42175
UNC13A	-1.918625
LOC653314	2.6872
ORC3L	-0.321
IMAA	-3.0995
TARBP2	-0.57125
CABIN1	-0.7194
TRIOBP	0.56625
HIST1H2AC	1.661125
RGS22	-1.43883333333333
NCOA1	0.746333333333333
IL25	0.498
SNCG	0.57
GPR6	0.418
AMDHD1	-0.902166666666667
CHEK2	-0.814125
C6orf142	-0.13875
DRD4	0.634
C14orf68	-0.774
GDF11	-0.5135
SEMG2	0.186
CD247	-1.65825
CDAN1	-0.63925
RBMX2	-0.096
TGS1	-0.6895
OIT3	0.2765
SYF2	0.03975
MCM4	-0.48975
PKHD1L1	0.7955
CEP192	-1.06383333333333
IFT88	0.1295
RPL9	-0.0918571428571429
RAB32	-0.171125
DDX43	-3.18975
P2RX2	0.364666666666667
OR5D18	-0.063
UBE1	-0.40975
SLC24A1	0.4635
ARHGAP5	-0.2665
CETP	-0.78
KIAA1731	-0.415
SLC9A4	0.586
PTPN6	1.193
BAHD1	0.29575
GRIK3	1.6055
CACNB2	-0.8366
PDE10A	-0.8245
DGCR14	-0.08775
PCDHB9	0.591333333333333
RHOQ	-0.151166666666667
MAP3K4	-0.72425
KTI12	-0.4635
RPL23AP13	-1.60725
GNG11	-1.446
CLCN3	0.906833333333333
GPAM	-0.422625
VSTM2A	0.9455
SLAMF7	2.53
INTS2	0.311
PPP2CA	0.5867
LRP12	-0.713133333333333
SEC14L2	1.48477777777778
DKFZP586H2123	1.95875
MC3R	0.1095
CIRH1A	-0.392333333333333
HIST1H2AB	1.28883333333333
POLH	-0.61
MGC16703	-2.10783333333333
SNAPC2	-0.502
FILIP1L	0.24225
RASGRP4	0.647
LRRC1	2.407
GAS1	-0.24025
PRAC	-1.314
DGKA	-1.31783333333333
NT5C3	-0.5625
PEG3	-3.3505
NADK	-0.07
PRR17	0.198
LOC374569	-0.4825
SGSH	0.171833333333333
NLRP8	0.4985
GALT	-1.2878
MCF2	-0.9855
ZNF263	0.309
TACSTD1	2.55633333333333
TYR	-6.5359
ATP6AP2	-0.15375
RNUXA	0.63875
ABHD10	-0.0468
GDPD2	0.6365
SLC35C1	-0.4785
UBE2A	0.679875
HERC5	-1.26966666666667
FAM112B	-4.95133333333333
FBXL16	0.32
DKFZP434A0131	-0.76925
ELA3A	-2.385
RBM41	0.019125
HAO2	0.4475
RNH1	-0.227
SHANK2	1.0615
OSBP2	-0.8305
DAK	0.475666666666667
C3orf58	-1.22275
TCL1B	-1.2365
KBTBD2	0.1265
SUGT1L1	0.23325
UBE2E2	0.9545
MYL9	1.897375
CDC23	-0.120166666666667
PBXIP1	2.9748
CXorf40B	1.226
NBL1	-0.1305
RTBDN	0.0405
RAB11FIP5	0.318125
TTTY13	-0.425
SCOTIN	0.587666666666667
SOHLH1	0.783666666666667
CDKN1A	0.0359285714285714
NCK1	0.76375
ZNF550	0.4705
SAPS3	0.495583333333333
SPIN3	0.895833333333333
MAGEE2	-0.4955
MIS12	-0.934
OR8H2	0.7145
KIAA0774	-0.0198333333333334
UNC5D	-1.885
CUL7	0.1565
LIPC	-3.8645
DIO1	0.298
C20orf11	0.5154
CTRL	-0.5095
HS3ST2	1.985
PAK4	1.105
CCRL1	2.12175
RNF10	0.69675
ZNF567	-0.0155
ZNF660	-1.588
TCEAL3	0.43575
MAGOH	0.0361666666666667
CENPB	0.550666666666667
C19orf7	0.441875
LOC388965	0.4275
ZCCHC13	0.3215
JMJD1A	-1.1274
HIST1H4H	2.938
TBRG1	-0.8189
GPC3	-5.06975
TAF1C	-0.432125
EBNA1BP2	-0.331166666666667
CIAPIN1	0.471
PDGFRA	-1.00583333333333
CSTB	0.139875
CENPI	-0.436666666666667
GTF2E2	-0.159833333333333
RPP21	0.02875
CCNF	-0.6105
KCNQ3	0.808
FAM79A	0.67025
SLC22A12	0.3745
NOVA1	-0.364833333333333
FZD3	-0.0289
AKAP8	0.1125
SOCS5	-0.511625
CFDP1	-0.00825
DLG5	0.10075
PGM5	0.32675
C1orf144	0.412583333333333
HDAC10	-1.5245
RND2	-1.74425
C20orf199	-1.328
RNMT	-0.379125
SLURP1	1.350125
ASTN1	0.101625
SH3BGR	0.82
MYCL1	0.41225
ZHX1	-0.00166666666666667
CENPK	-1.2485
FOSB	-0.0024
LOC643406	2.321375
C2orf59	-0.881875
TMEM135	0.74725
SLC27A2	-3.6915
KRT33A	-0.1515
OVOL1	0.569
PAMCI	-3.05316666666667
S100A7	4.8915
ZNF789	-1.829
HARS2	0.7015
RPL23A	-0.832333333333333
TCF23	0.8495
UPF3B	-1.536875
C17orf78	-0.8545
HLA-DOB	0.611833333333333
C14orf142	0.109333333333333
TEKT5	0.761
DMWD	0.399
POLD1	-1.55983333333333
GSCL	-0.194
CALD1	-0.8098
SCRT1	0.433
AIG1	1.15275
UNC84B	0.34975
ZNF404	-0.58975
TMED6	-0.45975
KIAA1462	0.3425
LRRC27	1.80716666666667
PYGO1	-0.302
PIGU	0.342833333333333
ALAS2	-3.81166666666667
WRNIP1	-0.13925
CNNM3	0.285
ZNF2	0.622
ST3GAL5	0.000416666666666658
MRPL23	-0.7275
TSSK6	0.17475
PSMA6	0.03325
C16orf70	0.38475
KIAA1602	-0.17675
ALMS1	-0.2195
DCN	1.74125
TMEM132D	-1.0855
SUCLG2	0.1555
ABHD14A	-0.4265
DEXI	-1.47716666666667
AMPD2	-1.21283333333333
IFNAR2	-0.960166666666667
CYB5A	2.9728
TLOC1	0.431
NXF5	-0.34
NRBF2	-0.354875
KCTD3	1.141
ITGAE	-0.631166666666667
SLC30A3	-1.67866666666667
ZRF1	-0.103
IFRD2	-0.38325
XAB1	-0.08125
PYCR2	-0.815666666666667
SERPINB3	-4.757
TMLHE	0.4748
GEFT	-1.658875
ABCA5	-1.2525
EMR4	0.201
TSFM	-0.34
HIST3H2BB	0.98075
ARHGEF19	0.8285
TSPAN17	1.07816666666667
ABCC8	2.26875
MAP1S	0.567666666666667
C22orf36	1.176
BNC2	-0.957785714285714
HIST1H4A	-0.60225
NDUFS3	-0.577166666666667
WDR3	-1.22983333333333
XKR4	-0.13325
TTC33	-0.908357142857143
STMN2	2.33375
CPN2	-1.25283333333333
HSPC105	-1.79175
PCOLCE2	-4.95
C3orf55	1.909
KLHDC9	3.09333333333333
TBC1D23	0.211625
ATXN2L	-0.756583333333333
MAP2K3	0.72075
SCAP	0.00875
ZNF486	1.2565
C20orf96	0.44125
NARS	-0.0385
ADAMTSL1	-0.547785714285714
PRCC	0.921666666666667
CCDC126	2.12783333333333
ZNF675	0.01325
CALCOCO1	0.2655
ANKRD43	1.44425
CWF19L2	0.109166666666667
ZBTB32	1.09766666666667
BRAF	1.4565
ODF4	0.5255
MGC14376	0.3635
HORMAD1	-2.5585
AAK1	0.00266666666666665
PEBP1	0.837583333333333
TNFSF5IP1	-0.0113333333333333
DKFZp564N2472	0.45175
RMND1	0.2155
IGKV1-5	4.65275
COL1A2	1.90941666666667
SERPINA5	0.641
AANAT	0.341
C19orf21	-1.502
GEMIN5	-0.17825
UBR4	-0.385833333333333
LTBP3	0.527833333333333
AMHR2	-2.6625
PROCR	-1.7285
MYBBP1A	-1.0855
C20orf39	0.220166666666667
ZNF697	-0.544
PASK	0.2935
ZNF776	0.475833333333333
RFXDC2	-0.017125
KIAA0467	-0.452
C10orf96	-1.955
ZNF503	-1.38825
GULP1	-1.99216666666667
KCNE4	-1.108
DKFZp434K191	-1.531375
LOC196913	0.063
BHLHB4	0.366
CH25H	-0.021
LOC81691	-0.873166666666667
ALPL	-0.251142857142857
COL12A1	1.405875
FOLR3	-2.65683333333333
GPR123	0.144
TRIM62	0.611785714285714
ABLIM1	1.18666666666667
MAST3	0.03725
RHBDD1	1.12666666666667
LOC338809	0.2245
