Hybridization REF	TCGA-A2-A0YT-01A-11R-A109-07
HES1	0.2106
CLC	1.04633333333333
ISL1	-0.804666666666667
KIAA0528	-0.63225
MANEA	-0.339
C1orf61	-1.9795
hCG_2001000	0.69575
RAPGEF6	0.3676
KIAA0020	-1.01133333333333
NEIL1	0.254
C16orf45	-1.39425
RBM10	-0.4845
C10orf125	-1.7915
MRS2L	-0.219
DNAH17	-1.355
C19orf10	-0.53025
C1orf160	0.9525
SLFN12	-0.26775
EXOC3	0.3035
HIST3H3	0.46475
NCOR2	-0.1755
TNFRSF9	-0.87275
MFSD8	1.43175
ALX1	-3.57216666666667
NOL1	-1.1005
PODN	2.6015
TIAL1	-0.36975
HIST1H1E	1.36425
NPY6R	0.23025
TM4SF4	0.7335
CORO2A	0.27625
ETNK2	-0.0755
APOE	0.4947
ANGPT4	0.241
HDGF2	-0.793
G30	-0.197
ST8SIA4	-0.63575
F2RL1	-0.023625
FAM19A4	-2.34775
CCAR1	-0.253
B3GNT7	0.039
OPHN1	-0.4237
DSCR6	0.4045
C21orf13	0.892666666666667
GAS2L1	0.512333333333333
RFX3	-0.659333333333333
COPS4	0.992375
BCHE	-4.7265
BCL2	1.76525
HBZ	-3.18083333333333
ARL13B	0.072625
MAPBPIP	0.8445
MYO15B	0.151375
SPZ1	-0.284
KIAA1324	2.36822222222222
PLCL2	-0.8645
C4orf29	0.1155
WDFY2	-0.54775
ZNF284	-2.8255
NAALADL1	0.1855
DUSP5	1.46
PXDN	-0.72725
SLMO1	-0.1075
TNXB	0.8173
BIRC7	-0.551
A4GALT	1.09533333333333
TIMM22	0.431
FAM110C	1.59025
TOMM34	0.063875
ABHD9	-0.1475
ADAM32	2.139
CRHBP	0.31625
AQP2	0.386875
LOC130355	1.5965
ZNF187	-0.0543333333333333
ZNF816A	0.4115
F7	0.181125
CNOT1	0.1935
SLC13A4	0.1175
ZBTB11	-0.11125
B3GALT5	-0.0545
EXOC2	0.355
IRS1	-0.4335
TMEM1	-0.4645
MRPL34	-0.0531666666666667
SAMM50	-0.03625
CDC42EP3	-1.163875
HSF2	-1.1554
MFN2	0.01425
TSPAN7	-1.3265
NUCB1	0.918833333333333
RHOH	-1.44125
ARL16	-0.2525
TACR1	0.2225
SFRS5	-0.856833333333333
SNX25	1.190125
RHBDF1	0.9295
PCDH18	1.36233333333333
HMG1L1	-1.365
MYO5C	0.82275
MAPK10	1.4035
LDHAL6A	0.154
NUDT12	0.225166666666667
NCAM1	-0.2245
GLIS2	0.658
GGTL4	1.55725
DAPP1	0.613
ATF7	0.7455
KIAA0748	-1.279
NFIL3	-0.56025
TM6SF1	0.6316
SEZ6	0.218875
NANOS3	-0.0223333333333333
DNAJA3	0.341666666666667
CLDN6	-2.3945
CIITA	1.9493
EPHA4	-1.36216666666667
FANCC	-0.25225
CMTM3	-0.806125
PSG3	-0.344375
MRPL15	-0.01025
C21orf59	-0.3575
PLCXD2	-0.1165
C2orf34	-0.04425
UBE2L6	2.39825
MED14	-0.289
HP1BP3	0.3379
C6orf208	-0.2115
TPBG	0.3345
OSR2	0.85475
XPC	-0.025
KLHL7	-1.25133333333333
CCR3	0.00633333333333333
AGTPBP1	-0.870666666666667
PCSK6	1.32126666666667
STAT5A	-2.2329
FAM18B	0.67475
LONRF2	-0.0756666666666667
PTPN2	-0.717625
SF3A3	-0.8235
EFCBP2	0.093
HCFC1	-0.776833333333333
AHNAK	-0.5596
ACTR5	0.605
KIF14	-1.61942857142857
TENC1	0.98075
HEATR5B	1.088
YIPF2	0.962
MYEOV2	0.639333333333333
DUSP18	0.927
KIAA1012	0.2225
AHR	-1.38433333333333
C17orf53	-0.939666666666667
PTPRH	-2.4895
ATP6V1C1	1.4472
TAS2R3	0.1445
LOC440356	-0.355
COQ10B	0.1935
PSMF1	0.230916666666667
SORBS2	1.68333333333333
NFE2L2	-0.294
TMCO7	-0.20775
SH3PXD2A	-1.3499
SH2D2A	-1.3345
SPINK5	-2.81825
MRPS24	-0.85975
OPA3	0.630875
TRAF7	0.592666666666667
C4orf35	0.403166666666667
MT1G	0.260375
MGC39545	0.383
HS1BP3	0.4939
OR2B2	0.5305
CHRM4	-0.066
SFRP2	1.54616666666667
RIC3	-1.0715
ART1	-0.0205
C6orf1	1.355125
DUS4L	-1.0045
C10orf104	0.30825
TNFAIP6	2.321
RTEL1	-0.1745
CCT4	0.0354000000000001
ZNF709	-0.42325
CHMP6	0.819
UPP2	0.111
CYP19A1	-1.91525
CD151	-0.00816666666666667
NDUFA13	0.381666666666667
ARFRP1	0.245666666666667
FAM26B	1.576
CRYBA1	-1.0385
MRPL41	0.995333333333333
NPFFR2	-1.235125
HRH2	0.2445
SCAMP3	0.726666666666667
MTMR6	-0.3476
MTG1	-0.056
UBTD1	1.2595
CRABP1	-1.764
FLJ33790	0.5007
KIAA1908	-0.648
GPR158	-1.32525
PACSIN3	-0.118166666666667
OMD	1.2725
CATSPER1	-0.729833333333333
HOXB8	-0.4375
FBXO46	-0.018
OAS1	2.50266666666667
SVIL	-0.94175
PHB2	-0.42025
ADCY3	-0.7615
NDRG2	0.469333333333333
ERMAP	-0.0973
APBA2	-2.65066666666667
IGSF9	2.078
WNT6	0.444571428571429
MYCBPAP	-0.432
ATP2B2	0.0331
CPVL	-0.1457
TRAM2	-0.45325
NOP5/NOP58	-0.5715
ZNRF4	0.131
TLK1	-0.768
MTMR12	0.906
ZNF384	-0.316333333333333
FAM9B	-2.7735
RPN1	-0.221
PMVK	1.0135
EIF3D	0.1193
SIX2	1.4545
HPS1	0.562857142857143
RNF7	0.29775
PSKH2	0.062
KCTD13	0.771666666666667
CSMD3	0.4773
FBF1	-0.364
IL8	-4.57475
SERPINB13	0.105666666666667
FBXL20	-0.7365
BLR1	0.08275
SH2B1	-0.5145
RFNG	0.24
RAB20	0.670833333333333
RBM7	-1.08175
POLR1A	-0.914333333333333
TMPRSS4	1.70775
TAF9	-0.00600000000000001
TERF2	-0.461166666666667
TNFRSF1A	0.31275
ACADVL	-0.006
GTF2H5	1.145
EDG8	0.195
C9orf140	-0.42575
UST6	0.207
ZBTB8OS	-0.02225
ZNF710	1.68
GPR174	-1.802
ATP6V0A2	-0.855
KIAA0319L	0.157333333333333
XKRX	-0.1575
DOPEY2	2.5352
SDHD	-0.20975
SUMF1	2.26075
OSM	2.91275
OPN3	-0.749
DAGLB	-0.334333333333333
PPFIBP1	-0.2338
TRIM63	-1.15925
C10orf53	0.805
LYPD3	0.338833333333333
BCL7A	-0.356625
AGER	-1.46933333333333
TCF19	-0.46325
SAT2	-0.21125
PFTK1	-0.827
GABRE	-3.70025
C15orf38	1.8967
FIS1	0.506
KCNV2	0.17975
CLPS	0.577
PPCDC	-0.02175
FOXN2	1.09383333333333
NT5E	-2.7176
CD83	0.579
IL18	-0.29025
VPS16	0.39375
IGFBP2	-0.9355
NOTCH2	-0.3275
SIGLEC1	3.228875
CD93	5.575
SULF2	-1.96325
CEP164	-0.269
P53AIP1	0.3145
TOR2A	0.1395
ZNF136	0.03125
MGP	3.0327
CCDC144A	-0.551
TRPC1	-2.04866666666667
SMS	0.210833333333333
MAPK7	-0.387333333333333
RRAGC	0.0485
PARD6A	1.46833333333333
NUB1	0.375333333333333
SYNGR4	1.7155
OR11H12	0.5735
WIF1	1.199375
GCH1	0.37525
OR11H4	0.334
SLC44A5	1.0615
GPRIN2	-0.096
LOC401431	-0.034
CPA4	-2.2635
MELK	-1.45655555555556
IL15RA	0.0975
CUL3	1.072875
HMBOX1	-0.36675
PODXL	-2.977
CCT6B	0.191666666666667
COMTD1	0.731
MUC20	3.727
GPX2	-1.770375
ITK	-0.9635
FBXL5	2.00275
C13orf27	-1.183
DEFA5	-0.0255
TRHDE	0.095
MTP18	0.0791666666666667
UQCRQ	1.1733
ITGB2	0.937083333333333
CSRP2BP	0.3555
TAS2R44	0.261
PHPT1	-0.3625
FAM44C	-0.01575
ERH	0.921
MPHOSPH1	-1.211
MORC1	-0.436
PARVB	-1.2565
LAMA1	-2.10716666666667
PGBD3	0.59325
GIMAP6	3.9815
AREG	-3.80066666666667
LIPT1	-0.68575
MGC99813	-0.88275
C1orf201	0.397166666666667
GRIN2A	-1.1063
MAN2C1	-0.766125
NSUN5	-0.2555
SF3B5	0.12875
MYC	-1.84975
NRXN1	-0.684916666666667
ZNF18	-0.156
SPDYA	-0.261875
SLC37A1	0.912
DECR2	-0.5135
ANKRD38	-0.650625
SPTLC3	-2.51725
SUPT16H	-1.0065
DTWD2	0.932
ULBP1	-0.4465
ZADH1	-0.2675
OIP5	-0.53025
IL10RB	-0.154666666666667
OTUB2	0.395125
VWA3A	0.973666666666667
SPIC	0.160333333333333
OR6C4	0.3175
PSCD4	0.781666666666667
DPY19L2P2	-1.197
TRAPPC6A	0.955833333333333
C21orf2	-0.495
CEMP1	0.96125
LIN7B	1.185
E2F7	-1.33966666666667
VCP	0.355
LAMA3	0.919416666666667
BGN	1.16625
GPR160	2.09383333333333
COCH	-4.666
GPR81	2.1965
APOBEC3F	-1.73
tcag7.1017	-0.34025
C1orf32	0.2335
SCGB1D2	6.4805
FLJ43987	0.7735
C6orf170	0.20225
KLK9	0.63
GPD1L	1.2275
VPS37B	0.731
ATG3	-0.061
ADAMTS17	-0.01
KLHDC2	0.475833333333333
NDUFV2	0.34925
BLK	-2.955
MATN4	-1.274
GPM6A	-0.169571428571429
GBP4	3.04766666666667
TMEM162	0.0816666666666667
PKP2	-0.041
HRASLS	-1.21722222222222
MMP1	-3.51325
SFXN3	-0.5132
FSD1	-1.787
ST6GALNAC3	-1.56616666666667
CA12	3.384
NCOA6	1.12775
C19orf58	0.7775
PPP4R1	-0.5945
MAN1A2	1.11433333333333
IKBKAP	-1.24425
UPF1	-0.2695
KIAA1219	1.00225
WNT16	0.6934
SNW1	-0.35175
IL18RAP	2.65875
RPP30	-0.313125
CDC40	-0.247928571428571
SETD3	-0.321833333333333
SLAMF6	0.057
ELK4	-0.661
TRIM47	0.954666666666667
ACOX3	1.977
TRIM6	-0.426125
KIAA0372	-0.178833333333333
TP53AP1	0.886625
SMURF2	-1.34275
ADAD1	0.614
EBP	-0.6748
KRTAP13-2	-0.2475
FLJ36874	-1.18533333333333
TOR1A	-0.158333333333333
P2RY4	1.3725
GPBP1	0.764
TRPV1	-0.176875
ADAMTS12	-0.25
PES1	-0.1915
ATG4A	0.819
MAGEA10	-4.52975
WFS1	2.648
CC2D1B	-0.739833333333333
PABPN1	-0.317125
SLC25A30	-0.529
SLCO1C1	0.0441666666666667
SLC22A5	0.3325
KIF23	-1.806
SYN2	-0.732833333333333
ASPN	6.55833333333333
CENTG2	0.041
QSOX2	-1.7626
FLJ10815	0.544666666666667
STK24	-1.056375
SPEG	-0.0402
STK10	0.411666666666667
DACT2	-3.3625
AAAS	-0.71175
SSX3	-1.469
ABCD3	0.0436
C4orf12	1.040875
PARVG	0.656166666666667
FIG4	0.87025
C9orf46	1.44625
TMCO6	-0.459
IGHMBP2	-0.37075
DUS2L	0.580666666666667
FAM3C	-0.658375
TMEM16D	-1.96775
DCTN4	0.8715
KCNH3	1.54625
EIF2AK2	0.13925
AP1S3	-0.43925
CST4	0.6855
PAM	-1.237875
NUTF2	0.08025
CITED2	-0.9053
SLC39A4	0.81525
C2orf52	-0.4935
GRM3	0.47275
C12orf49	1.02575
CCDC49	-0.4124
GRAMD1B	-1.445375
FNDC4	0.2645
SIAH2	1.26475
GDPD4	0.096
C21orf87	0.272875
ATP5A1	-0.6515
C16orf63	-0.114375
LOC388135	0.208166666666667
ATP5J2	-0.490125
MMP3	-0.93375
EMID2	-0.2785
CRHR1	0.362
WDR70	-0.33075
C13orf31	1.84725
ZFAND1	-0.21775
CCL18	3.89133333333333
C3orf49	0.081
RINT1	-0.1215
KIAA0408	-2.0255
F13A1	5.0257
SLC10A1	0.0136666666666667
OGN	1.6015
GIPC2	-1.15366666666667
XPO6	-0.115333333333333
LCE1A	0.5375
FMR1	0.796
LOC374920	-0.89825
DUSP3	0.6505
ANKMY1	-0.00274999999999997
C7orf50	-0.59
BBS9	-0.436
UNC119B	-0.670625
C9orf72	-0.0535
MGC35440	-0.78275
ENTPD6	0.701125
PPP1R2P9	0.036
ERCC4	-0.11
FAHD2B	-0.112
HMHA1	0.2465
HACL1	-0.333
RAD23A	0.0235
FAM83B	1.29075
PPP5C	0.236333333333333
RNASEH2C	-0.0845
C9orf153	-0.153
SCAMP4	0.55475
GHITM	1.1411
NDUFB7	0.10175
ADCYAP1	0.826833333333333
SP110	1.76766666666667
MAP3K7IP2	0.10775
DHH	0.6335
AGRN	0.232928571428571
WDR33	-0.188833333333333
CEP290	0.0796666666666667
PRPS1L1	-1.82966666666667
KLRA1	-1.481
GPR97	-0.2225
CHD7	-0.629666666666667
TLR10	0.72625
SLC30A8	3.0675
HIC1	1.24016666666667
IAPP	0.4265
RXFP4	1.1355
GP1BB	1.91325
SHQ1	-0.927
NKX2-3	0.357166666666667
API5	-0.048
FTHP1	-0.4075
MOV10L1	0.231833333333333
TRIM6-TRIM34	0.753833333333333
ADHFE1	0.38925
FAM117A	-0.56975
DDI1	-0.0688333333333334
CDON	-0.642833333333333
TRIM73	-0.976
IGKC	4.0435
MMP14	-1.09591666666667
DYNC1LI1	1.23575
C11orf66	-0.16975
TRBV3-1	-1.359
FASTKD5	0.664
BIVM	-1.5565
LHX4	-0.43
CXCL2	-1.8097
RAB2B	-1.44833333333333
IZUMO1	-0.68575
MAP3K15	-2.044875
FAM19A2	0.674166666666667
ZC3H8	-0.331833333333333
ZMAT1	1.560375
SPINK5L3	-2.57
SLC10A6	0.765
APPL2	-0.27925
CARD10	0.0231666666666667
LOC402176	-0.634875
EEF1D	1.9197
RAB6A	-0.2785
C12orf5	-1.811625
PAPOLG	-0.2385
MSRB2	0.829
BCR	0.555888888888889
PUS3	-0.661
TIAM2	-1.46575
ZNF317	-0.414666666666667
CHD2	-0.342
FZD5	-1.24731818181818
NUDT8	0.401
ZNF763	-0.8145
PRC1	-0.747
ABCB9	1.57916666666667
SPATA3	-0.12
TRAK2	-0.115125
STAB1	3.11225
LRRTM2	0.192833333333333
psiTPTE22	2.0245
DBI	0.96375
SERPINA11	-0.77325
NAT5	0.916
C20orf58	-2.14
RPS6KA4	0.130333333333333
FLJ90650	-0.73475
TGFBRAP1	-0.04975
CHRDL2	0.250125
FAHD2A	-0.291666666666667
CNTN1	-0.604
BBS4	0.2927
TMEM181	-0.41975
MINPP1	0.1685
MPHOSPH6	1.20883333333333
HOXC10	2.3031
ITPKB	-0.034875
CLPTM1L	0.416375
MEOX2	0.274833333333333
ATP6V0C	1.99225
PRPF8	0.0538333333333333
TMC5	1.39425
FKBP3	-0.216
PLEKHB2	0.826
OR4D6	-0.081
ZNF544	-0.7008
D2HGDH	0.42275
RPL18A	-0.2243
HEL308	0.1415
MPP6	-4.12475
TCERG1	-1.942
KRT16	-1.43766666666667
KLF17	-0.99025
KLF5	-1.518875
CDR1	1.2595
VCX3A	-1.5715
FBLN2	0.757875
C14orf104	-0.81925
HBE1	-4.8255
OR4S2	-0.0495
C1orf108	-0.206
ROBO4	3.53083333333333
CPEB4	0.401375
C11orf80	0.255666666666667
BCKDHA	1.018
MYOC	0.80325
GIF	0.181
CKMT1A	1.6675
RPL3	0.3021
THBS1	1.89775
APOO	0.3125
ARMCX1	0.09825
HSZFP36	0.82375
SNAPC5	0.098
EIF4ENIF1	0.5595
ZNF433	0.888
TNFRSF21	-1.108375
TMPRSS7	1.2785
SPATA18	1.5508
HPDL	-3.739
MKL2	1.2051
TBX3	-0.587923076923077
C21orf93	0.880666666666667
DAXX	0.518
ELMO1	-0.29025
RGS13	1.52016666666667
TAF11	-0.76575
UNC13A	-1.95575
LOC653314	0.2035
ORC3L	0.367
IMAA	-3.49
TARBP2	0.49725
CABIN1	-0.5499
TRIOBP	0.280625
HIST1H2AC	1.961
RGS22	-0.179666666666667
NCOA1	0.994166666666667
IL25	0.966
SNCG	3.2485
GPR6	-0.0565
AMDHD1	-2.46733333333333
CHEK2	-0.929375
C6orf142	-0.36075
DRD4	1.1655
C14orf68	-0.9785
GDF11	0.273
SEMG2	0.1785
CD247	-1.07
CDAN1	0.4515
RBMX2	-0.858666666666667
TGS1	-0.9005
OIT3	0.86325
SYF2	0.0175
MCM4	-1.889375
PKHD1L1	0.400375
CEP192	-1.1835
IFT88	0.64675
RPL9	0.414071428571429
RAB32	0.36575
DDX43	-3.78733333333333
P2RX2	0.540666666666667
OR5D18	0.509
UBE1	0.652083333333333
SLC24A1	0.394875
ARHGAP5	-0.339
CETP	-0.18425
KIAA1731	-1.38516666666667
SLC9A4	0.3025
PTPN6	1.3255
BAHD1	0.3315
GRIK3	0.7795
CACNB2	-1.4349
PDE10A	-1.055
DGCR14	-0.413
PCDHB9	-1.58383333333333
RHOQ	0.0771666666666667
MAP3K4	-0.66325
KTI12	-0.499833333333333
RPL23AP13	-3.164
GNG11	-0.59325
CLCN3	1.43583333333333
GPAM	-0.831125
VSTM2A	0.0950000000000001
SLAMF7	2.55183333333333
INTS2	-0.82425
PPP2CA	-0.0285
LRP12	-0.242466666666667
SEC14L2	-0.416777777777778
DKFZP586H2123	2.231
MC3R	-0.146
CIRH1A	-0.929166666666667
HIST1H2AB	2.33233333333333
POLH	-0.247125
MGC16703	-1.88216666666667
SNAPC2	0.0755
FILIP1L	0.548
RASGRP4	1.082
LRRC1	2.43625
GAS1	-0.52225
PRAC	-1.1615
DGKA	-0.870666666666667
NT5C3	-0.0965
PEG3	-3.77266666666667
NADK	0.2715
PRR17	1.54375
LOC374569	-0.3335
SGSH	0.324666666666667
NLRP8	0.262
GALT	0.1073
MCF2	-1.231
ZNF263	0.75325
TACSTD1	2.06566666666667
TYR	-6.8076
ATP6AP2	0.7275
RNUXA	0.3525
ABHD10	0.000800000000000012
GDPD2	-0.642
SLC35C1	-0.30825
UBE2A	0.576375
HERC5	0.193166666666667
FAM112B	-4.953
FBXL16	1.36625
DKFZP434A0131	-0.8645
ELA3A	-2.1735
RBM41	-1.38075
HAO2	-0.0955
RNH1	-0.06475
SHANK2	2.79983333333333
OSBP2	-1.52025
DAK	-0.0121666666666667
C3orf58	-0.0386666666666667
TCL1B	2.566
KBTBD2	-0.754625
SUGT1L1	0.46325
UBE2E2	0.657
MYL9	2.9525
CDC23	-0.116333333333333
PBXIP1	1.2007
CXorf40B	2.0045
NBL1	1.13075
RTBDN	0.5665
RAB11FIP5	0.177625
TTTY13	-1.094
SCOTIN	-0.14
SOHLH1	3.6735
CDKN1A	0.0923571428571428
NCK1	-0.15625
ZNF550	-0.33075
SAPS3	0.329666666666667
SPIN3	0.268166666666667
MAGEE2	-0.1645
MIS12	-0.4255
OR8H2	0.2395
KIAA0774	-1.1575
UNC5D	-2.194
CUL7	0.740666666666667
LIPC	-3.75416666666667
DIO1	2.782
C20orf11	0.4372
CTRL	-0.6805
HS3ST2	2.4785
PAK4	1.37233333333333
CCRL1	2.45025
RNF10	-0.407125
ZNF567	-0.54575
ZNF660	-1.2615
TCEAL3	0.1455
MAGOH	0.00116666666666667
CENPB	0.620833333333333
C19orf7	0.00637500000000003
LOC388965	0.68875
ZCCHC13	0.3365
JMJD1A	-1.7276
HIST1H4H	3.2585
TBRG1	-1.7763
GPC3	-4.56925
TAF1C	-0.69975
EBNA1BP2	-0.503833333333333
CIAPIN1	0.0285
PDGFRA	-0.330777777777778
CSTB	0.0035
CENPI	-1.3195
GTF2E2	-1.014
RPP21	0.77075
CCNF	-0.745
KCNQ3	0.6495
FAM79A	1.5575
SLC22A12	0.7345
NOVA1	-0.110166666666667
FZD3	0.6877
AKAP8	-0.28725
SOCS5	-0.265625
CFDP1	-0.97325
DLG5	0.04025
PGM5	0.566
C1orf144	0.549333333333333
HDAC10	-0.649
RND2	-0.92275
C20orf199	0.0595
RNMT	-0.867125
SLURP1	0.570875
ASTN1	0.034125
SH3BGR	1.487
MYCL1	-0.264
ZHX1	1.19966666666667
CENPK	-2.06775
FOSB	1.6966
LOC643406	-0.13775
C2orf59	-0.9695
TMEM135	-0.3885
SLC27A2	-2.07625
KRT33A	2.3895
OVOL1	1.401875
PAMCI	-2.17766666666667
S100A7	-1.108
ZNF789	-1.556
HARS2	0.74775
RPL23A	-0.330166666666667
TCF23	0.42275
UPF3B	-1.483125
C17orf78	-0.0855
HLA-DOB	0.138333333333333
C14orf142	0.544166666666667
TEKT5	2.18866666666667
DMWD	0.388
POLD1	-1.89166666666667
GSCL	0.5365
CALD1	-1.107
SCRT1	0.986833333333333
AIG1	0.2545
UNC84B	-0.28875
ZNF404	-1.87975
TMED6	-2.8775
KIAA1462	-0.342
LRRC27	1.19716666666667
PYGO1	-0.2755
PIGU	0.886666666666667
ALAS2	-3.98466666666667
WRNIP1	0.548375
CNNM3	0.513
ZNF2	-0.55025
ST3GAL5	-1.54558333333333
MRPL23	-0.23975
TSSK6	-0.36925
PSMA6	0.157
C16orf70	0.57775
KIAA1602	-0.06575
ALMS1	0.2
DCN	1.831125
TMEM132D	-0.83875
SUCLG2	-0.79175
ABHD14A	-0.13375
DEXI	0.4135
AMPD2	-1.45866666666667
IFNAR2	-0.691833333333333
CYB5A	2.2555
TLOC1	0.6529
NXF5	-0.423166666666667
NRBF2	-0.19725
KCTD3	0.463
ITGAE	0.4955
SLC30A3	-1.76983333333333
ZRF1	-1.1045
IFRD2	-0.890875
XAB1	0.01425
PYCR2	0.152333333333333
SERPINB3	-4.553
TMLHE	-1.8966
GEFT	-2.130125
ABCA5	0.07775
EMR4	0.253166666666667
TSFM	1.1165
HIST3H2BB	1.80025
ARHGEF19	1.648
TSPAN17	0.727333333333333
ABCC8	1.0405
MAP1S	0.0771666666666667
C22orf36	0.8545
BNC2	-1.18821428571429
HIST1H4A	-0.0355
NDUFS3	-0.2105
WDR3	-1.28416666666667
XKR4	0.0545
TTC33	-1.10892857142857
STMN2	4.16875
CPN2	-1.14133333333333
HSPC105	1.436125
PCOLCE2	-2.49425
C3orf55	0.316
KLHDC9	3.10483333333333
TBC1D23	0.263375
ATXN2L	-0.94175
MAP2K3	-0.113666666666667
SCAP	-0.516
ZNF486	-0.404333333333333
C20orf96	-0.6465
NARS	-0.58825
ADAMTSL1	-0.443714285714286
PRCC	0.664
CCDC126	0.1495
ZNF675	-0.7705
CALCOCO1	0.113
ANKRD43	1.79825
CWF19L2	-1.03833333333333
ZBTB32	0.725166666666667
BRAF	-0.754
ODF4	0.03025
MGC14376	0.032
HORMAD1	-1.79533333333333
AAK1	0.0359166666666667
PEBP1	0.68775
TNFSF5IP1	-0.203666666666667
DKFZp564N2472	0.33975
RMND1	2.872375
IGKV1-5	4.36725
COL1A2	0.887666666666667
SERPINA5	0.43025
AANAT	0.8325
C19orf21	1.86133333333333
GEMIN5	-0.52325
UBR4	-0.344166666666667
LTBP3	0.558333333333333
AMHR2	-2.398
PROCR	0.20975
MYBBP1A	-0.9065
C20orf39	-2.10166666666667
ZNF697	-0.90575
PASK	-0.9268
ZNF776	0.146333333333333
RFXDC2	-0.172125
KIAA0467	-0.56925
C10orf96	-2.13475
ZNF503	-1.5515
GULP1	-0.848083333333333
KCNE4	-0.241
DKFZp434K191	-1.243125
LOC196913	-0.055
BHLHB4	1.7875
CH25H	1.7875
LOC81691	-0.364
ALPL	0.307642857142857
COL12A1	-0.03825
FOLR3	-1.56866666666667
GPR123	0.013375
TRIM62	0.619285714285714
ABLIM1	0.450833333333333
MAST3	-0.07775
RHBDD1	0.890833333333333
LOC338809	0.0585
RYBP	-0.08875
TTC26	-0.36875
ZNF22	-1.60883333333333
ISCA2	1.71125
RDM1	-0.64225
PIGM	1.11975
GNB3	-1.2815
ACTR2	0.2843
HMGB1	-0.48965
EDG1	3.05216666666667
SOAT2	-2.09025
OR10AD1	0.631
RAP1GDS1	1.05483333333333
LCE1F	0.4705
ESM1	-2.454625
RCN3	1.54966666666667
CREBL1	-0.16675
DBNL	-0.311666666666667
PTGER3	0.52375
USP30	0.439333333333333
BCL2L12	0.0413333333333333
KIF26B	1.20475
ZNF416	0.013
ZNF225	-1.147
C17orf70	0.47475
ZNF554	0.19275
RAE1	0.220666666666667
TNIK	-0.4945
ACTN3	-0.459
MGC45922	1.726
CCNA1	-0.224333333333333
RYK	-0.458
IL26	-0.0325
LRP3	0.943833333333333
QARS	-0.84175
SOX7	1.44071428571429
BID	0.098125
OR2S2	-0.441
CXCL14	1.80725
C11orf47	-0.763
MGC29891	0.8065
HSPB8	3.4538
PRDM14	-1.594
NUFIP2	0.28675
MNAT1	-0.387
ZDHHC2	-1.89525
MBNL2	-0.451125
ADD3	-1.3785
CSNK2A1P	-0.88275
KLK6	-2.10233333333333
TMEM111	1.1359
KIAA1279	1.1425
NUBP2	1.10166666666667
RAB42	-1.3935
ID3	-0.2416
TM9SF1	0.547
MDP-1	-0.76625
POU4F2	0.14325
IQCK	1.3685
C16orf14	0.447
CAPN3	-1.9065
FAM43B	-0.10875
RECQL	-1.60925
AP1G1	0.618285714285714
CTNNBL1	0.861166666666667
ECHDC1	-0.872
SMARCC1	-1.0502
FOXQ1	-1.8725
GNAI3	0.178666666666667
POLG2	-1.258
CD4	1.28175
ITLN1	0.2885
EBI2	4.73
IRF1	0.28425
PTPRE	1.375
PTK2B	-0.79775
NXNL2	-0.712
SOX4	0.362833333333333
TSPAN3	0.08
SH2D1A	-2.83816666666667
C8orf58	-0.585833333333333
USP20	-1.19425
DUSP22	-0.842083333333333
CALB1	-2.44283333333333
L3MBTL2	1.1265
MCRS1	0.83275
TMEM118	-0.714166666666667
C18orf8	0.9455
FLJ10241	-0.022625
GJA12	1.995
PKD1	-0.1965
ZFP3	0.1545
JAM3	-1.724375
LAPTM4A	1.348
DIRC2	0.868
KIAA2022	1.743
MYOM1	-0.463333333333333
TRPM8	-0.275833333333333
MOP-1	2.114
PHKG2	0.695875
ZNF650	0.62975
KIAA1522	1.1505
PSG8	-0.8475
DDX19B	-0.7835
MOBKL1B	1.21175
DIAPH2	-1.07733333333333
PTPN12	-0.22075
CLN8	-0.1232
CRYZL1	-0.456333333333333
CRY2	-0.160666666666667
FCGR2B	4.574
PNPLA4	1.420375
ZNF454	-0.3505
DKFZp434B1231	0.37475
CLDN11	0.3786
RFWD2	0.552833333333333
CIB2	-1.18433333333333
MXRA8	1.699625
HRK	0.107125
MAML2	-0.87575
C4orf31	-1.00525
C6orf192	-1.4105
COG6	0.806125
FAM5B	-0.0125
NFATC1	0.4262
SEPT10	-0.8665
SCYL1	-0.3836
RPP40	-0.751
SCOC	1.2117
KIAA1450	0.13425
CTDSPL2	-0.32375
TBX5	0.398666666666667
NAPG	-0.0205
RHD	-4.56975
C14orf45	1.0315
ZBTB22	0.574
PLCG1	-1.1385
ANKRD10	-2.441625
AQP7P2	-0.08575
TAGLN2	0.127333333333333
HTR2C	-1.2965
SLC16A7	-1.3865
C17orf83	0.2255
TSGA14	-0.87275
MDH1	0.04375
PPP3R2	0.4855
DCBLD2	-2.66914285714286
RBM33	-0.885
DPH3	-0.57725
SYT10	-1.05833333333333
FMO4	1.4915
THYN1	-0.21075
DRD5	-1.0195
OTOR	1.67125
PGRMC2	0.6101
KATNAL1	-0.7025
PAQR6	-0.86075
UBE2I	-0.13575
C14orf28	-0.34675
C8orf70	-0.3615
FLYWCH1	-0.106375
ANGPTL3	-0.705
GLRX2	0.657833333333333
ATP11A	-1.68814285714286
ARL5B	0.2125
MUC16	1.428
SLC25A5	0.192857142857143
ACRC	-1.3885
MYO1C	-0.306125
FAM89B	0.939833333333333
FAS	-0.14425
KIFAP3	0.1835
GLRA2	1.87
BTN3A2	-0.55
CNKSR3	-0.91675
CSTF3	-0.0321666666666667
ARPM1	0.69725
KIAA1530	-0.3235
C9orf150	1.7865
