Hybridization REF	TCGA-AN-A0FZ-01A-11R-A034-07
UNC93B1	1.84483333333333
GMNN	-1.721125
SPCS2	2.213
LOC388524	-0.4695
NAPRT1	2.231125
PNLIPRP1	-0.9395
OR6V1	0.176
PRKAB1	-0.3675
EYA4	-2.4112
KIF20A	-2.2355
ALG10	-0.27225
ITPKC	0.8035
LMX1B	1.99383333333333
RPUSD4	-0.689833333333333
C7orf34	0.401166666666667
DLGAP2	0.218428571428571
PFN1	-0.9327
MICALL2	-0.00641666666666669
ZNF654	-0.8255
SS18L1	1.0135
SLC16A8	0.5655
MKI67IP	-0.387166666666667
ITGB3	-0.65375
TCEA3	2.72766666666667
CEP152	-1.9565
CLIP1	0.70575
ZNF75	0.395375
ATP5C1	0.0196666666666667
NUDT5	0.381166666666667
PSCDBP	-2.01225
UBP1	0.27675
RBM27	0.96925
C13orf15	2.21125
ZNF282	-0.189166666666667
ZNF222	-1.5882
COL10A1	7.08075
PRDM15	-0.914375
TTTY5	-0.694
FAM9C	-0.921818181818182
C20orf67	0.24075
GNG13	2.718
F12	1.2025
C1orf41	-0.48
CPXCR1	-0.8945
GSK3A	0.067875
SUPT6H	-0.0318333333333333
PI16	0.987833333333333
ELL2	-1.93116666666667
C9orf167	-2.03133333333333
PVRL3	-2.4947
FLJ38596	-0.839333333333333
ADAM20	0.68475
GPR89A	0.579
GPR87	-2.115
ZNF30	-1.0285
SMR3B	-0.5055
ZNF770	-0.290625
TRPC4AP	-0.2995
DKFZP686E2158	0.200166666666667
C2orf28	-0.262333333333333
FREM1	-2.0105
LAMA4	0.558
ADPRHL2	0.0655
EIF4G2	0.0883333333333333
GUCA1A	-1.916
CTNNA2	-1.66142857142857
NUDT15	-0.176333333333333
CEPT1	0.594666666666667
ZNFX1	0.877
CCDC92	0.187
TDRD1	-1.27
KCNK5	-2.70166666666667
ETNK1	0.21225
LTA	0.0305
TTPA	-0.926666666666667
B3GALNT2	0.154
SC65	-0.337
PEX5L	-1.83925
EPS15L1	0.17725
MGEA5	-0.064
HIST1H3A	1.14525
ING1	-0.09475
BCAT1	-2.67675
ORC6L	-3.07345454545454
KLK11	-5.38016666666667
C19orf28	-1.205
DNER	-4.87125
MED22	-0.859357142857143
ETV6	1.07308333333333
CHAC2	-2.96175
CD300E	0.812
CEBPB	0.522833333333333
ZNF398	-0.6355
LRCH3	-0.2945
HMGA1	-1.49333333333333
CAPN7	0.136166666666667
MGC5566	-3.3135
CCL3	1.96071428571429
NANOS1	-0.721875
ZFYVE19	0.55875
APITD1	-0.201166666666667
PARD3	1.707625
IRAK4	-0.368
SERPINI2	-0.733
CEP170L	-0.702
TTC9	1.964
MYOM3	-1.943
MLPH	2.047875
LOC222699	-0.0735
NRG1	-2.03763636363636
TBC1D9	4.37072727272727
TTK	-2.38566666666667
ZNF557	1.2538
DDX41	-0.249333333333333
FANK1	1.813
UBE2D2	-0.21
PSMB10	1.3185
MYH7B	-1.262
GABARAPL2	0.531375
MARVELD2	1.871
DGCR2	0.161833333333333
UNC45A	-0.0625
C6orf72	0.8485
ZNF683	2.26775
GIT2	-0.387625
CASK	1.559
C14orf161	0.501
LRRC44	1.2675
TIFA	0.901625
UTP11L	-0.520875
C6orf65	-0.99675
FDPS	-0.76775
DUSP9	-1.8759
SLC17A8	0.4955
OR51G1	0.236333333333333
NANS	-0.437
OLFML1	2.02225
ATP10B	-0.88925
NPAS3	-2.21425
PRKCA	-2.1469
GGA2	1.32525
LCE4A	0.31
SPANXN3	-0.39775
CCDC115	1.288625
SDCCAG3	-0.86275
GLIPR1L1	-0.209
TTC1	-0.18425
C17orf76	0.13625
MAD2L2	-1.50075
HIPK1	0.5373
LRRC3B	-0.1288
CLN3	0.860909090909091
C17orf47	0.3585
FMN2	-2.976125
TUBB1	-1.262125
WAPAL	-0.258166666666667
C3orf21	-0.92625
SCN5A	-0.8739
SMYD1	0.28975
BEX5	-1.0085
ZNF192	0.169
SEC22A	-0.244833333333333
GRIA2	0.549307692307692
KIAA0825	-2.40275
NUSAP1	-1.99209090909091
LANCL1	-0.8505
C15orf40	-0.6154
ZNF645	-0.173625
GPR61	-0.3415
NLRP14	-0.008
SNX21	-1.2754
C1QTNF8	1.0535
C17orf46	0.82675
IFNA8	0.266
SPRR1B	-1.4565
FLRT1	0.33825
SNX17	-0.648833333333333
ASB2	-1.8555
HBG1	-6.354
RPRML	-1.19675
JOSD2	0.267666666666667
PLSCR3	0.1295
SPOCD1	2.21966666666667
RAB39	0.492
GHRH	-0.464
ITIH5L	2.2085
C17orf37	1.292
SMCR8	0.89325
DPY19L2P3	-0.0131666666666666
IL11RA	-0.350833333333333
GDF3	-4.1145
RPS6KB1	-1.02691666666667
DNAJC19	0.1057
TOP1	0.4325
CRCT1	-0.746625
MPST	0.289
DPM2	0.75875
FAM38B	1.02016666666667
SLC18A1	-2.0912
FARP1	0.721333333333333
PAX7	-0.054
TUBD1	-1.0115
GNL3	-0.667375
BTG2	1.72733333333333
NDUFS6	-0.96525
C1orf79	-1.656
ERAL1	-0.53425
ECHS1	0.3905
VPS4A	0.239333333333333
CYP11A1	-1.153875
ABCC6	-2.13535714285714
PBX4	-0.7395
MOSC1	-0.602
NCF4	-1.25125
HYMAI	0.3045
NAGPA	-0.134625
OTOP2	0.51225
ACOT12	-0.67425
MTHFD2L	-1.404875
LOC441376	4.631
C19orf34	-0.486
RAB1B	-0.39875
ALDOAP2	-0.5315
NTRK1	-2.36283333333333
ARTS-1	0.1646
SLC6A11	-1.0915
NAP1L2	-2.19675
CNGB1	0.0206666666666667
EPB41L4B	-0.700272727272727
FAM134B	0.987625
HS3ST3A1	-1.24033333333333
CPXM2	3.68075
SIRPB2	1.1845
CHORDC1	-0.731
TRIB3	-0.359333333333333
SLC2A5	-0.23825
C2orf49	-0.1915
DDX5	-0.1395
OR5L1	1.333
ANAPC4	-0.170333333333333
ZSWIM1	0.810625
LOC93622	0.322875
KCNK3	-1.0537
RP11-35N6.1	-1.986625
ZFP161	0.431
AQP9	1.37025
SLC15A2	-0.0263333333333333
MREG	1.25516666666667
OR9I1	0.681
PDLIM2	0.559285714285714
ADAM7	0.7095
GSTCD	-0.409166666666667
WDR21A	1.10425
SLC12A8	0.474333333333333
TMEM174	-1.01775
IGSF3	0.673333333333333
LRRN1	-2.085
LOC402117	0.02075
SRPK1	-1.00133333333333
LY6K	0.2494375
NFIA	2.5515
PTCD3	-0.336125
LEP	2.842
PCDH21	-1.02133333333333
MAPKAPK2	1.28942857142857
NMNAT1	0.542666666666667
LHFPL2	0.201625
C9orf43	-0.19875
DIP2A	0.451833333333333
ACTR8	-0.28825
CCDC34	-1.76825
PTPN22	-1.852875
ITGA3	-1.1205
FAM129C	-0.2405
RABGGTA	0.278
UNC45B	-0.04675
KIAA1033	-0.395125
ZNF510	-0.409666666666667
CYP2D6	-0.654333333333333
SLC26A10	-1.9215
STX8	-0.55375
LUZP1	0.241125
WDR89	0.390166666666667
EIF4G3	-0.3613
C5AR1	0.6185
ZNF623	1.304
A2M	0.022
TGM7	0.1735
GRPEL1	0.279666666666667
LMNB2	-1.7703
ROCK2	-0.102666666666667
SNX16	1.421625
CCDC66	-0.9395
ANXA3	-1.8845
KIAA1609	1.855625
EED	1.26225
RNF32	-0.242
HES1	0.927
CLC	-0.771666666666667
ISL1	-2.17966666666667
KIAA0528	-0.268
MANEA	0.121
C1orf61	-3.257
hCG_2001000	0.442
RAPGEF6	-0.3302
KIAA0020	-0.463833333333333
NEIL1	0.45075
C16orf45	-0.03925
RBM10	-0.122333333333333
C10orf125	0.33325
MRS2L	-0.40125
DNAH17	0.114428571428571
C19orf10	-0.44075
C1orf160	0.864
SLFN12	-0.312
EXOC3	-0.896666666666667
HIST3H3	0.62525
NCOR2	0.316333333333333
TNFRSF9	-0.883
MFSD8	-1.0495
ALX1	-3.85166666666667
NOL1	-1.22275
PODN	3.26075
TIAL1	-1.3915
HIST1H1E	-1.90325
NPY6R	0.33
TM4SF4	2.0965
CORO2A	1.411
ETNK2	0.923166666666667
APOE	0.1207
ANGPT4	-0.136
HDGF2	-0.6145
G30	-0.917
ST8SIA4	-0.677
F2RL1	-0.4615
FAM19A4	-2.5795
CCAR1	-0.56975
B3GNT7	0.28075
OPHN1	0.3675
DSCR6	3.556
C21orf13	0.794333333333333
GAS2L1	0.262333333333333
RFX3	-0.559833333333333
COPS4	-0.093625
BCHE	-5.93416666666667
BCL2	1.981625
HBZ	-3.57683333333333
ARL13B	-0.632375
MAPBPIP	1.5485
MYO15B	0.81225
SPZ1	0.35775
KIAA1324	3.28766666666667
PLCL2	-1.291375
C4orf29	-1.11
WDFY2	-0.737875
ZNF284	-0.648
NAALADL1	-0.4465
DUSP5	0.639666666666667
PXDN	0.762625
SLMO1	-0.66025
TNXB	0.5598
BIRC7	-0.69
A4GALT	1.87883333333333
TIMM22	-0.313
FAM110C	-0.08775
TOMM34	0.11725
ABHD9	0.931
ADAM32	0.65
CRHBP	-1.2955
AQP2	0.264125
LOC130355	1.76675
ZNF187	0.544333333333333
ZNF816A	0.6725
F7	0.56575
CNOT1	-0.3703
SLC13A4	-0.572
ZBTB11	-0.4915
B3GALT5	-0.52775
EXOC2	0.722833333333333
IRS1	-0.1271
TMEM1	0.378666666666667
MRPL34	-0.632833333333333
SAMM50	-1.0755
CDC42EP3	-1.4455
HSF2	-0.5698
MFN2	0.518
TSPAN7	-2.386
NUCB1	0.562583333333333
RHOH	1.9875
ARL16	-0.323
TACR1	-0.145
SFRS5	-0.3855
SNX25	0.684375
RHBDF1	0.98
PCDH18	1.90816666666667
HMG1L1	0.022
MYO5C	1.0095
MAPK10	-0.225
LDHAL6A	0.6294
NUDT12	0.656166666666667
NCAM1	-0.068
GLIS2	0.5735
GGTL4	2.32675
DAPP1	-1.69475
ATF7	0.47825
KIAA0748	-1.76025
NFIL3	-1.81375
TM6SF1	0.924777777777778
SEZ6	0.015625
NANOS3	-0.278833333333333
DNAJA3	0.515166666666667
CLDN6	-2.203
CIITA	2.4728
EPHA4	-1.32283333333333
FANCC	-1.183
CMTM3	0.17325
PSG3	-1.039125
MRPL15	0.36625
C21orf59	0.3395
PLCXD2	-0.6645
C2orf34	-0.81175
UBE2L6	0.69875
MED14	-0.311333333333333
HP1BP3	-0.9644
C6orf208	-0.0535
TPBG	1.795
OSR2	0.910375
XPC	-0.154666666666667
KLHL7	-0.356416666666667
CCR3	-1.2802
AGTPBP1	-1.41733333333333
PCSK6	0.554266666666667
STAT5A	-0.3645
FAM18B	-0.42775
LONRF2	-3.82583333333333
PTPN2	-1.19625
SF3A3	-1.033
EFCBP2	0.04725
HCFC1	-0.804166666666667
AHNAK	-0.1763
ACTR5	0.20075
KIF14	-3.08428571428571
TENC1	1.611
HEATR5B	1.1005
YIPF2	0.168
MYEOV2	1.5532
DUSP18	1.506
KIAA1012	-0.079
AHR	-0.412833333333333
C17orf53	-1.21166666666667
PTPRH	-3.821
ATP6V1C1	1.3052
TAS2R3	-0.356
LOC440356	-1.68775
COQ10B	1.148
PSMF1	0.360166666666667
SORBS2	-0.957916666666667
NFE2L2	-0.0325
TMCO7	-0.671
SH3PXD2A	0.4443
SH2D2A	-1.8715
SPINK5	-1.493
MRPS24	-1.8405
OPA3	0.502375
TRAF7	1.14866666666667
C4orf35	0.455333333333333
MT1G	-1.994875
MGC39545	0.7395
HS1BP3	0.8259
OR2B2	0.606
CHRM4	-0.396
SFRP2	3.53591666666667
RIC3	-1.41275
ART1	0.482
C6orf1	0.976875
DUS4L	-1.2125
C10orf104	-0.0595
TNFAIP6	2.93825
RTEL1	-0.69825
CCT4	-0.6674
ZNF709	0.3265
CHMP6	1.03966666666667
UPP2	1.48733333333333
CYP19A1	-1.796875
CD151	-0.318
NDUFA13	-0.0151666666666667
ARFRP1	-0.681333333333333
FAM26B	1.72225
CRYBA1	-0.8235
MRPL41	0.22
NPFFR2	-1.568
HRH2	-0.046
SCAMP3	-0.0198333333333333
MTMR6	1.7398
MTG1	-1.41283333333333
UBTD1	1.149
CRABP1	-3.1445
FLJ33790	2.1882
KIAA1908	-1.79
GPR158	-1.4155
PACSIN3	-0.6625
OMD	3.24633333333333
CATSPER1	0.114
HOXB8	-0.02
FBXO46	1.229
OAS1	1.52883333333333
SVIL	0.31175
PHB2	-0.754
ADCY3	-0.1265
NDRG2	0.130166666666667
ERMAP	-0.1181
APBA2	-1.30133333333333
IGSF9	1.51875
WNT6	-0.581071428571429
MYCBPAP	-0.8105
ATP2B2	-0.2993
CPVL	-1.5147
TRAM2	-0.432583333333333
NOP5/NOP58	-0.6645
ZNRF4	0.61325
TLK1	0.152625
MTMR12	-0.130357142857143
ZNF384	-0.4525
FAM9B	-3.15175
RPN1	0.5987
PMVK	0.9555
EIF3D	-0.5162
SIX2	0.3795
HPS1	0.651428571428571
RNF7	0.69125
PSKH2	-0.5485
KCTD13	0.178
CSMD3	-0.1801
FBF1	-0.336
IL8	-6.33075
SERPINB13	0.677
FBXL20	0.68575
BLR1	0.21425
SH2B1	-0.861666666666666
RFNG	0.0365
RAB20	-0.125166666666667
RBM7	-0.759
POLR1A	-0.759666666666667
TMPRSS4	-0.7195
TAF9	-1.1345
TERF2	-0.129166666666667
TNFRSF1A	0.0204166666666667
ACADVL	-1.03866666666667
GTF2H5	0.84225
EDG8	0.540333333333333
C9orf140	-1.095625
UST6	-0.1145
ZBTB8OS	-0.5095
ZNF710	0.85
GPR174	-1.6715
ATP6V0A2	-0.70125
KIAA0319L	-0.415083333333333
XKRX	-0.882
DOPEY2	1.1178
SDHD	-0.85425
SUMF1	1.66675
OSM	1.25525
OPN3	-3.029
DAGLB	0.0738333333333333
PPFIBP1	0.0851
TRIM63	-0.069
C10orf53	0.795
LYPD3	0.8465
BCL7A	-0.62625
AGER	-1.2745
TCF19	-1.15175
SAT2	-0.15975
PFTK1	-0.708833333333333
GABRE	-3.11325
C15orf38	2.3566
FIS1	-0.433
KCNV2	0.551
CLPS	1.46525
PPCDC	-0.504625
FOXN2	0.437666666666667
NT5E	-3.0107
CD83	-0.678
IL18	-0.412875
VPS16	0.15025
IGFBP2	-0.0703333333333333
NOTCH2	1.9395
SIGLEC1	1.69475
CD93	5.6035
SULF2	-0.07025
CEP164	-0.458375
P53AIP1	-0.3605
TOR2A	0.123
ZNF136	0.39825
MGP	2.2642
CCDC144A	-1.63883333333333
TRPC1	-0.809333333333333
SMS	-0.214833333333333
MAPK7	-0.498333333333333
RRAGC	0.7975
PARD6A	-0.790333333333333
NUB1	0.193833333333333
SYNGR4	0.4925
OR11H12	-0.29
WIF1	0.0864285714285714
GCH1	0.342
OR11H4	-0.128
SLC44A5	-0.603
GPRIN2	-0.313666666666667
LOC401431	0.59925
CPA4	-1.8136
MELK	-2.29322222222222
IL15RA	-0.1145
CUL3	0.988625
HMBOX1	-1.89325
PODXL	-1.77675
CCT6B	0.299833333333333
COMTD1	-0.05375
MUC20	2.88916666666667
GPX2	-0.104375
ITK	-3.0335
FBXL5	1.4025
C13orf27	-1.27425
DEFA5	-0.1155
TRHDE	-0.85
MTP18	-0.574166666666667
UQCRQ	1.0444
ITGB2	0.630833333333333
CSRP2BP	0.525
TAS2R44	0.193
PHPT1	0.0595
FAM44C	-0.03125
ERH	0.83375
MPHOSPH1	-2.555
MORC1	0.1075
PARVB	-1.78775
LAMA1	-2.58075
PGBD3	0.171
GIMAP6	4.0975
AREG	3.6725
LIPT1	-0.21825
MGC99813	-1.04125
C1orf201	0.679666666666667
GRIN2A	-1.02966666666667
MAN2C1	-1.3205
NSUN5	-0.24275
SF3B5	0.1265
MYC	-1.7959375
NRXN1	-0.335833333333333
ZNF18	-0.2225
SPDYA	-1.35975
SLC37A1	1.996
DECR2	1.009
ANKRD38	1.890625
SPTLC3	-2.92891666666667
SUPT16H	-0.35225
DTWD2	0.8545
ULBP1	-0.2925
ZADH1	-0.252833333333333
OIP5	-2.00675
IL10RB	0.1
OTUB2	-0.114625
VWA3A	-0.0246666666666667
SPIC	0.9464
OR6C4	0.9335
PSCD4	0.277166666666667
DPY19L2P2	-0.6295
TRAPPC6A	1.27333333333333
C21orf2	-0.272166666666667
CEMP1	1.85075
LIN7B	-0.3435
E2F7	-1.13633333333333
VCP	0.0655625
LAMA3	0.0796666666666666
BGN	2.5335
GPR160	1.7635
COCH	-4.10983333333333
GPR81	2.09766666666667
APOBEC3F	-2.774
tcag7.1017	-0.63325
C1orf32	0.494
SCGB1D2	3.4805
FLJ43987	0.125
C6orf170	-0.0425
KLK9	0.7875
GPD1L	2.165625
VPS37B	0.0905
ATG3	-0.249
ADAMTS17	-0.1455
KLHDC2	-0.509666666666667
NDUFV2	-0.70725
BLK	-4.222
MATN4	1.02
GPM6A	0.104
GBP4	3.146
TMEM162	-0.117666666666667
PKP2	-0.3415
HRASLS	-3.435
MMP1	-2.494
SFXN3	-0.1378
FSD1	-2.17383333333333
ST6GALNAC3	-0.987833333333333
CA12	3.1398
NCOA6	1.077
C19orf58	0.0977
PPP4R1	-0.762666666666667
MAN1A2	0.378333333333333
IKBKAP	-1.59825
UPF1	0.283333333333333
KIAA1219	1.34725
WNT16	1.74783333333333
SNW1	0.228625
IL18RAP	0.82325
RPP30	-0.810375
CDC40	0.0604285714285714
SETD3	0.224666666666667
SLAMF6	-0.1915
ELK4	-0.42
TRIM47	0.983166666666667
ACOX3	3.411
TRIM6	1.099125
KIAA0372	-1.30533333333333
TP53AP1	1.3655
SMURF2	-1.17175
ADAD1	0.099
EBP	-1.1048
KRTAP13-2	-0.893
FLJ36874	-1.54583333333333
TOR1A	-0.157
P2RY4	1.0935
GPBP1	-0.106
TRPV1	-0.532375
ADAMTS12	0.743666666666667
PES1	-1.1133
ATG4A	0.401833333333333
MAGEA10	-1.86425
WFS1	1.573
CC2D1B	-0.659
PABPN1	0.295375
SLC25A30	0.60625
SLCO1C1	-0.14
SLC22A5	2.46075
KIF23	-2.14516666666667
SYN2	-0.966666666666666
ASPN	8.0435
CENTG2	0.00125
QSOX2	-2.5659
FLJ10815	0.676833333333333
STK24	0.1190625
SPEG	1.1949
STK10	0.925333333333333
DACT2	-3.2495
AAAS	-0.54
SSX3	-1.83
ABCD3	0.7722
C4orf12	-0.9355
PARVG	-0.353833333333333
FIG4	0.2475
C9orf46	1.654
TMCO6	-0.029
IGHMBP2	-1.647
DUS2L	-0.0441666666666667
FAM3C	-0.362875
TMEM16D	-1.968375
DCTN4	0.6825
KCNH3	-0.313
EIF2AK2	0.72425
AP1S3	-0.116875
CST4	-0.9605
PAM	0.1525625
NUTF2	0.36
CITED2	-0.1868
SLC39A4	1.61575
C2orf52	-0.669
GRM3	-0.348
C12orf49	1.30925
CCDC49	-0.0105
GRAMD1B	-1.563
FNDC4	0.1795
SIAH2	-0.155875
GDPD4	-0.167
C21orf87	0.23
ATP5A1	-0.832
C16orf63	0.21825
LOC388135	2.0795
ATP5J2	-0.446125
MMP3	-1.4645
EMID2	0.04825
CRHR1	0.451
WDR70	-0.33275
C13orf31	1.90025
ZFAND1	0.63925
CCL18	3.86283333333333
C3orf49	-0.0105
RINT1	-0.921
KIAA0408	-1.30716666666667
F13A1	3.8778
SLC10A1	0.313166666666667
OGN	2.07275
GIPC2	-1.39983333333333
XPO6	-0.079
LCE1A	0.6005
FMR1	0.9632
LOC374920	-0.2925
DUSP3	0.801375
ANKMY1	-0.05775
C7orf50	-0.6425
BBS9	0.2357
UNC119B	-0.719625
C9orf72	-0.968375
MGC35440	-1.5365
ENTPD6	-0.09
PPP1R2P9	0.97875
ERCC4	0.79775
FAHD2B	-0.033
HMHA1	1.0065
HACL1	-0.79325
RAD23A	-0.595333333333333
FAM83B	0.87325
PPP5C	-1.61983333333333
RNASEH2C	-0.7875
C9orf153	-0.20375
SCAMP4	0.67975
GHITM	0.1174
NDUFB7	-0.2135
ADCYAP1	0.0173333333333333
SP110	0.938
MAP3K7IP2	0.809
DHH	0.155
AGRN	0.399214285714286
WDR33	0.119333333333333
CEP290	-1.02283333333333
PRPS1L1	-3.20633333333333
KLRA1	-0.8525
GPR97	0.11
CHD7	1.22175
TLR10	0.227666666666667
SLC30A8	-0.1125
HIC1	1.5195
IAPP	0.1015
RXFP4	0.02075
GP1BB	0.5655
SHQ1	-0.4145
NKX2-3	0.7284
API5	-0.67375
FTHP1	0.254
MOV10L1	0.127
TRIM6-TRIM34	2.2055
ADHFE1	2.95475
FAM117A	0.8985
DDI1	0.4035
CDON	0.2155
TRIM73	-0.4025
IGKC	0.7945
MMP14	0.660916666666667
DYNC1LI1	-0.425125
C11orf66	1.2225
TRBV3-1	-1.94166666666667
FASTKD5	0.46325
BIVM	-2.04
LHX4	0.59675
CXCL2	-3.5902
RAB2B	0.425833333333333
IZUMO1	-1.21225
MAP3K15	-1.67075
FAM19A2	-0.357833333333333
ZC3H8	-0.887
ZMAT1	-0.739375
SPINK5L3	-2.14875
SLC10A6	0.39
APPL2	0.091
CARD10	-0.254833333333333
LOC402176	-0.23775
EEF1D	1.0528
RAB6A	2.0791
C12orf5	0.615125
PAPOLG	0.7355
MSRB2	1.508
BCR	0.208944444444444
PUS3	-0.51175
TIAM2	-0.11725
ZNF317	0.055
CHD2	-0.000846153846153881
FZD5	-1.52040909090909
NUDT8	-2.05575
ZNF763	0.295
PRC1	-1.71944444444444
ABCB9	1.07033333333333
SPATA3	0.40175
TRAK2	1.32875
STAB1	3.2435
LRRTM2	-0.445333333333333
psiTPTE22	0.44525
DBI	0.31225
SERPINA11	1.613
NAT5	0.9435
C20orf58	-2.33225
RPS6KA4	-0.0283333333333333
FLJ90650	-0.15125
TGFBRAP1	0.06475
CHRDL2	0.912375
FAHD2A	-0.3635
CNTN1	-0.607
BBS4	-0.4465
TMEM181	0.96425
MINPP1	-1.13375
MPHOSPH6	-0.531166666666667
HOXC10	0.6868
ITPKB	0.4585
CLPTM1L	-1.064875
MEOX2	-0.977333333333333
ATP6V0C	1.916875
PRPF8	-1.09733333333333
TMC5	4.153
FKBP3	-0.19775
PLEKHB2	0.317875
OR4D6	0.1635
ZNF544	-0.3399
D2HGDH	-0.244875
RPL18A	-0.7096
HEL308	-0.038125
MPP6	-3.70825
TCERG1	-1.71275
KRT16	-1.70533333333333
KLF17	-1.19125
KLF5	0.369
CDR1	2.548
VCX3A	0.456
FBLN2	1.43125
C14orf104	-0.725
HBE1	-5.143
OR4S2	7.398
C1orf108	-0.9055
ROBO4	4.15016666666667
CPEB4	0.7905
C11orf80	-0.452166666666667
BCKDHA	0.144666666666667
MYOC	0.5435
GIF	1.541
CKMT1A	1.618
RPL3	-0.3855
THBS1	2.5085
APOO	-0.39775
ARMCX1	-0.23475
HSZFP36	0.46275
SNAPC5	0.292
EIF4ENIF1	0.41025
ZNF433	0.14125
TNFRSF21	-2.287875
TMPRSS7	0.36
SPATA18	1.1482
HPDL	-2.873
MKL2	2.6874
TBX3	0.958307692307692
C21orf93	0.666833333333333
DAXX	0.061
ELMO1	-0.263125
RGS13	0.150333333333333
TAF11	-1.14675
UNC13A	-2.330625
LOC653314	-0.4946
ORC3L	-0.6955
IMAA	-0.569
TARBP2	0.0835
CABIN1	-0.4898
TRIOBP	-0.391
HIST1H2AC	-0.228125
RGS22	-2.2655
NCOA1	0.984833333333333
IL25	1.12
SNCG	0.5715
GPR6	0.1455
AMDHD1	-2.7885
CHEK2	-1.944
C6orf142	-0.49375
DRD4	0.51475
C14orf68	-0.62625
GDF11	-0.9495
SEMG2	2.079
CD247	-3.042
CDAN1	-0.2135
RBMX2	0.603666666666667
TGS1	-0.162
OIT3	1.31525
SYF2	0.844
MCM4	-1.80925
PKHD1L1	0.344666666666667
CEP192	-0.772833333333333
IFT88	0.66675
RPL9	0.182214285714286
RAB32	-0.565125
DDX43	-1.7345
P2RX2	0.4915
OR5D18	-0.0675
UBE1	-0.0886666666666667
SLC24A1	0.9305
ARHGAP5	-0.54325
CETP	-0.066
KIAA1731	-0.836333333333333
SLC9A4	1.172
PTPN6	1.52325
BAHD1	0.814
GRIK3	0.186
CACNB2	-0.4324
PDE10A	-0.841
DGCR14	-0.875
PCDHB9	-0.0678333333333333
RHOQ	0.224
MAP3K4	-0.57575
KTI12	0.279
RPL23AP13	-0.62925
GNG11	-0.654
CLCN3	1.569
GPAM	-1.5065
VSTM2A	1.545
SLAMF7	-0.681
INTS2	-0.346
PPP2CA	0.5786
LRP12	-0.607333333333333
SEC14L2	1.39955555555556
DKFZP586H2123	2.21475
MC3R	0
CIRH1A	-1.68116666666667
HIST1H2AB	-0.357833333333333
POLH	-0.886875
MGC16703	-1.95016666666667
SNAPC2	1.676
FILIP1L	0.55375
RASGRP4	0.204
LRRC1	2.05425
GAS1	-0.00474999999999998
PRAC	-1.5515
DGKA	-1.14766666666667
NT5C3	-0.1585
PEG3	-3.88225
NADK	-0.7415
PRR17	0.1095
LOC374569	-0.82675
SGSH	0.497333333333333
NLRP8	1.074
GALT	0.3493
MCF2	0.093
ZNF263	0.36275
TACSTD1	1.08616666666667
TYR	-6.7241
ATP6AP2	-0.14625
RNUXA	-0.00849999999999999
ABHD10	-0.2113
GDPD2	-1.23425
SLC35C1	0.3725
UBE2A	0.085
HERC5	0.516666666666667
FAM112B	-5.0225
FBXL16	2.24325
DKFZP434A0131	-0.52125
ELA3A	-2.196
RBM41	-0.92975
HAO2	-0.84125
RNH1	-0.080125
SHANK2	1.80216666666667
OSBP2	-2.06775
DAK	-0.0406666666666667
C3orf58	0.441
TCL1B	4.8595
KBTBD2	0.247125
SUGT1L1	0.796
UBE2E2	-0.605833333333333
MYL9	2.9245
CDC23	0.160833333333333
PBXIP1	1.291
CXorf40B	2.3465
NBL1	1.27075
RTBDN	0.383
RAB11FIP5	1.079
TTTY13	-0.8485
SCOTIN	-0.0155
SOHLH1	0.836833333333333
CDKN1A	-0.225857142857143
NCK1	-0.0315
ZNF550	-0.9385
SAPS3	0.32175
SPIN3	0.427
MAGEE2	-0.514
MIS12	-1.27333333333333
OR8H2	0.7805
KIAA0774	-2.63033333333333
UNC5D	-2.413
CUL7	-0.327833333333333
LIPC	-2.74083333333333
DIO1	-0.677
C20orf11	2.4011
CTRL	-0.56275
HS3ST2	0.944
PAK4	0.910333333333333
CCRL1	2.19475
RNF10	0.402125
ZNF567	-1.0265
ZNF660	-1.1215
TCEAL3	1.11575
MAGOH	1.5435
CENPB	0.406
C19orf7	1.168125
LOC388965	0.2365
ZCCHC13	1.514
JMJD1A	-0.8533
HIST1H4H	-0.75
TBRG1	-1.0138
GPC3	-5.384625
TAF1C	-0.457
EBNA1BP2	-0.321666666666667
CIAPIN1	-0.363
PDGFRA	-0.167777777777778
CSTB	0.833
CENPI	-1.887
GTF2E2	-0.546666666666667
RPP21	-0.376
CCNF	-0.664166666666667
KCNQ3	0.6875
FAM79A	1.5205
SLC22A12	0.4495
NOVA1	-0.517
FZD3	-0.7753
AKAP8	-0.33875
SOCS5	-0.314875
CFDP1	-0.1375
DLG5	1.247
PGM5	-0.123272727272727
C1orf144	0.416583333333333
HDAC10	-0.708
RND2	-0.46975
C20orf199	0.07075
RNMT	-1.42925
SLURP1	-0.573875
ASTN1	-0.0895
SH3BGR	0.86175
MYCL1	-1.496625
ZHX1	0.222666666666667
CENPK	-3.23325
FOSB	-0.3712
LOC643406	0.904125
C2orf59	-0.9835
TMEM135	2.780125
SLC27A2	-2.62
KRT33A	2.1705
OVOL1	1.52625
PAMCI	-2.6885
S100A7	0.931
ZNF789	-2.0605
HARS2	0.823
RPL23A	-0.896166666666667
TCF23	0.258
UPF3B	-1.122625
C17orf78	null
HLA-DOB	-0.4275
C14orf142	0.401333333333333
TEKT5	0.928
DMWD	0.3595
POLD1	-2.13416666666667
GSCL	0.1165
CALD1	0.1943
SCRT1	0.325833333333333
AIG1	-0.039
